アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
白虎と話して、イッシュを安全な場所まで送り届けた。イッシュは、帰路の途中に合流したハンコックのもとで、仕立て屋として働くことが決まる。四聖獣との再会を誓った冒険者は、タタルたちとクガネへと戻った。クガネのウルダハ商館の近くにいる「イッシュ」と話そう。			白虎と話して、イッシュを安全な場所まで送り届けた。イッシュは、帰路の途中に合流したハンコックのもとで、仕立て屋として働くことが決まる。四聖獣との再会を誓った冒険者は、タタルたちとクガネへと戻った。クガネのウルダハ商館の近くにいる「イッシュ」と話そう。			紅玉海に繋がれ、大繁盛の輪！							
イッシュと話した。今回のお礼として、かつてイッシュが仕立て屋として働いていた頃に作った服をもらった。ハンコックからも、四聖獣たちへの協力の礼として、ネックレスの素材を受け取った。オールド・シャーレアンのアゴラの「メジナ」と話そう。			イッシュと話した。今回のお礼として、かつてイッシュが仕立て屋として働いていた頃に作った服をもらった。ハンコックからも、四聖獣たちへの協力の礼として、ネックレスの素材を受け取った。オールド・シャーレアンのアゴラの「メジナ」と話そう。			紅玉海に繋がれ、大繁盛の輪！							
メジナと話した。ハンコックがネックレスの素材として渡してくれたのは、紅玉海の珊瑚台に生息するクロチョウガイから採れる真珠だった。ハンコックやイッシュ、四聖獣たちと再会できる日を楽しみにしつつ、メジナからの次なる依頼を待とう。			メジナと話した。ハンコックがネックレスの素材として渡してくれたのは、紅玉海の珊瑚台に生息するクロチョウガイから採れる真珠だった。ハンコックやイッシュ、四聖獣たちと再会できる日を楽しみにしつつ、メジナからの次なる依頼を待とう。			紅玉海に繋がれ、大繁盛の輪！							
クガネの指定地点で待機			クガネの指定地点で待機			紅玉海に繋がれ、大繁盛の輪！							
サカズキ島の指定地点で待機			サカズキ島の指定地点で待機			紅玉海に繋がれ、大繁盛の輪！							
クガネのソロバンと話す			クガネのソロバンと話す			紅玉海に繋がれ、大繁盛の輪！							
ソロバンと再度話す			ソロバンと再度話す			紅玉海に繋がれ、大繁盛の輪！							
朱雀と話す			朱雀と話す			紅玉海に繋がれ、大繁盛の輪！							
朱雀と青龍を連れてテンゼンの子孫を騙る男の情報を探す			朱雀と青龍を連れてテンゼンの子孫を騙る男の情報を探す			紅玉海に繋がれ、大繁盛の輪！							
朱雀と青龍を連れてテンゼンの子孫を騙る男の情報を再度探す			朱雀と青龍を連れてテンゼンの子孫を騙る男の情報を再度探す			紅玉海に繋がれ、大繁盛の輪！							
ベッコウ島の朱雀と話す			ベッコウ島の朱雀と話す			紅玉海に繋がれ、大繁盛の輪！							
白虎と話す			白虎と話す			紅玉海に繋がれ、大繁盛の輪！							
クガネのイッシュと話す			クガネのイッシュと話す			紅玉海に繋がれ、大繁盛の輪！							
オールド・シャーレアンのメジナと話す			オールド・シャーレアンのメジナと話す			紅玉海に繋がれ、大繁盛の輪！							
本クエストを進行するためには、「クロニクルクエスト：四聖獣奇譚」を、完了する必要があります。			本クエストを進行するためには、「クロニクルクエスト：四聖獣奇譚」を、完了する必要があります。			紅玉海に繋がれ、大繁盛の輪！							
紅玉海の「ソロバン」から、クエスト「鬼の棲む島」を受注し、クロニクルクエスト：四聖獣奇譚を進めましょう！			紅玉海の「ソロバン」から、クエスト「鬼の棲む島」を受注し、クロニクルクエスト：四聖獣奇譚を進めましょう！			紅玉海に繋がれ、大繁盛の輪！							
なお、クロニクルクエスト：四聖獣奇譚の進行状況は、ジャーナルから確認することができます。			なお、クロニクルクエスト：四聖獣奇譚の進行状況は、ジャーナルから確認することができます。			紅玉海に繋がれ、大繁盛の輪！							
Forenameさん！急ぎお願いしたい仕事があるんですが、引き受けていただけませんか？			Forenameさん！急ぎお願いしたい仕事があるんですが、引き受けていただけませんか？			紅玉海に繋がれ、大繁盛の輪！							
ありがとうございます！実は、とある異国の商会の方から、大繁盛商店に対して、取引がもちかけられたんです！			ありがとうございます！実は、とある異国の商会の方から、大繁盛商店に対して、取引がもちかけられたんです！			紅玉海に繋がれ、大繁盛の輪！							
東アルデナード商会の、ハンコックさんという方なんですが、ご存知ですか？			東アルデナード商会の、ハンコックさんという方なんですが、ご存知ですか？			紅玉海に繋がれ、大繁盛の輪！							
まさか、お知り合いだったとは！だったらご存知かもしれませんが、ハンコックさんは、タタルさんが「油断ならない相手」と警戒する御方です。			まさか、お知り合いだったとは！だったらご存知かもしれませんが、ハンコックさんは、タタルさんが「油断ならない相手」と警戒する御方です。			紅玉海に繋がれ、大繁盛の輪！							
そんな相手との取引にはリスクがありますが……クガネでの商売経験が豊かな商人さんと手を組めば、東方進出の足がかりになるかもしれません！			そんな相手との取引にはリスクがありますが……クガネでの商売経験が豊かな商人さんと手を組めば、東方進出の足がかりになるかもしれません！			紅玉海に繋がれ、大繁盛の輪！							
そう考えたタタルさんは、商談に応じる決意をしたんですが、先方はForenameさんの同席を、求めてきたそうなんです！			そう考えたタタルさんは、商談に応じる決意をしたんですが、先方はForenameさんの同席を、求めてきたそうなんです！			紅玉海に繋がれ、大繁盛の輪！							
つまり、今回お願いしたいのは、クガネでの商談に参加していただきたいということ。			つまり、今回お願いしたいのは、クガネでの商談に参加していただきたいということ。			紅玉海に繋がれ、大繁盛の輪！							
それから、タタルさんに内緒で進めている、例の計画についても、お話しさせてください。			それから、タタルさんに内緒で進めている、例の計画についても、お話しさせてください。			紅玉海に繋がれ、大繁盛の輪！							
……タタルさんのお母さまが残したネックレス。これを仕立て直して、プレゼントするために、素材集めをしているところです。			……タタルさんのお母さまが残したネックレス。これを仕立て直して、プレゼントするために、素材集めをしているところです。			紅玉海に繋がれ、大繁盛の輪！							
なので、商談でクガネを訪れる際には、ぜひ計画のための素材も探してみてください。新たな繋がりを通じて、発見があるかもしれませんから。			なので、商談でクガネを訪れる際には、ぜひ計画のための素材も探してみてください。新たな繋がりを通じて、発見があるかもしれませんから。			紅玉海に繋がれ、大繁盛の輪！							
……お伝えしたいことは以上です！			……お伝えしたいことは以上です！			紅玉海に繋がれ、大繁盛の輪！							
それでは、クガネのウルダハ商館の近くで、タタルさんと合流してください！お気をつけて行ってらっしゃいませ！			それでは、クガネのウルダハ商館の近くで、タタルさんと合流してください！お気をつけて行ってらっしゃいませ！			紅玉海に繋がれ、大繁盛の輪！							
クガネのウルダハ商館の近くで、タタルさんと合流してください。油断ならないハンコックさんとの取引が上手くいきますように……！			クガネのウルダハ商館の近くで、タタルさんと合流してください。油断ならないハンコックさんとの取引が上手くいきますように……！			紅玉海に繋がれ、大繁盛の輪！							
メジナさんから連絡があって、お迎えにあがりまっした。Forenameさん、よく来てくださいまっした！			メジナさんから連絡があって、お迎えにあがりまっした。Forenameさん、よく来てくださいまっした！			紅玉海に繋がれ、大繁盛の輪！							
またお目にかかれてうれしいデ～ス！			またお目にかかれてうれしいデ～ス！			紅玉海に繋がれ、大繁盛の輪！							
さあハンコックさん、白状していただきまっすよ！今回の商談を始めるにあたって、Forenameさんを呼んだ理由を！			さあハンコックさん、白状していただきまっすよ！今回の商談を始めるにあたって、Forenameさんを呼んだ理由を！			紅玉海に繋がれ、大繁盛の輪！							
アッハッハ。まるで私がよからぬ企みをしているみたいじゃありませんか！			アッハッハ。まるで私がよからぬ企みをしているみたいじゃありませんか！			紅玉海に繋がれ、大繁盛の輪！							
あなたをお呼びした理由をお話しする前に、まずは、今回提案させていただく取引について、ご説明いたしましょう。			あなたをお呼びした理由をお話しする前に、まずは、今回提案させていただく取引について、ご説明いたしましょう。			紅玉海に繋がれ、大繁盛の輪！							
実は最近、我々東アルデナード商会出資のもと、ここクガネに新しい呉服屋を出店したのデスが……正直なところ、順調とは言いがたい状況が続いているのデス。			実は最近、我々東アルデナード商会出資のもと、ここクガネに新しい呉服屋を出店したのデスが……正直なところ、順調とは言いがたい状況が続いているのデス。			紅玉海に繋がれ、大繁盛の輪！							
開店当初は、ウルダハの裁縫師ギルドが手がけた洋服を、東方の方々に買っていただくことが目的でした。しかしクガネの皆さんには、あまり興味を持っていただけず……。			開店当初は、ウルダハの裁縫師ギルドが手がけた洋服を、東方の方々に買っていただくことが目的でした。しかしクガネの皆さんには、あまり興味を持っていただけず……。			紅玉海に繋がれ、大繁盛の輪！							
それならば、ウルダハ名産の生地を、着物に仕立てることで、販売しようと計画したのデス。			それならば、ウルダハ名産の生地を、着物に仕立てることで、販売しようと計画したのデス。			紅玉海に繋がれ、大繁盛の輪！							
ところが、そのために雇った職人さんが、怪我をしてしまい、ご破算になってしまったんデスよ！			ところが、そのために雇った職人さんが、怪我をしてしまい、ご破算になってしまったんデスよ！			紅玉海に繋がれ、大繁盛の輪！							
このままでは開店したばかりの店が潰れて大赤字！そんな折、大繁盛商店が売り出した装備品の中に、東方風のものがあるという噂を聞いたのデス！			このままでは開店したばかりの店が潰れて大赤字！そんな折、大繁盛商店が売り出した装備品の中に、東方風のものがあるという噂を聞いたのデス！			紅玉海に繋がれ、大繁盛の輪！							
忍者や侍の方などに向けた装備のことでっすね。			忍者や侍の方などに向けた装備のことでっすね。			紅玉海に繋がれ、大繁盛の輪！							
それをサンプルとして展示することで、我々、西方の商会が、東方風の装束も作れると示せる。そう考えたのデス。			それをサンプルとして展示することで、我々、西方の商会が、東方風の装束も作れると示せる。そう考えたのデス。			紅玉海に繋がれ、大繁盛の輪！							
聞けば、タタルさんも将来的には、このひんがしの国での商売を考えておられる様子……。			聞けば、タタルさんも将来的には、このひんがしの国での商売を考えておられる様子……。			紅玉海に繋がれ、大繁盛の輪！							
ならばその先駆けとして、我が呉服屋に装備を卸していただくというのはいかがでしょう？			ならばその先駆けとして、我が呉服屋に装備を卸していただくというのはいかがでしょう？			紅玉海に繋がれ、大繁盛の輪！							
……たしかに、そういうやり方で様子を見るのは、悪くない話でっすね。			……たしかに、そういうやり方で様子を見るのは、悪くない話でっすね。			紅玉海に繋がれ、大繁盛の輪！							
そうでしょうそうでしょう。つまり、この取引は互いにウィンウィンというわけデ～ス！			そうでしょうそうでしょう。つまり、この取引は互いにウィンウィンというわけデ～ス！			紅玉海に繋がれ、大繁盛の輪！							
取引についてはわかりまっした。で、それがForenameさんを呼んだ理由と、どう関係するんでっすか？			取引についてはわかりまっした。で、それがForenameさんを呼んだ理由と、どう関係するんでっすか？			紅玉海に繋がれ、大繁盛の輪！							
ええ、それをこれからご説明いたしマス。			ええ、それをこれからご説明いたしマス。			紅玉海に繋がれ、大繁盛の輪！							
あなたをお呼びした理由なのデスが……最近、ひょんなことから縁を結んだ「とある方々」が、Forenameさんとの再会をご所望でして。			あなたをお呼びした理由なのデスが……最近、ひょんなことから縁を結んだ「とある方々」が、Forenameさんとの再会をご所望でして。			紅玉海に繋がれ、大繁盛の輪！							
私としても、今後の商売のために、その方々に恩を売っておきたい。			私としても、今後の商売のために、その方々に恩を売っておきたい。			紅玉海に繋がれ、大繁盛の輪！							
しかし、東アルデナード商会の名前で呼びつけると、Forenameさんに警戒されかねません。ゆえに、こうして回りくどい方法を用いたのデス。			しかし、東アルデナード商会の名前で呼びつけると、Forenameさんに警戒されかねません。ゆえに、こうして回りくどい方法を用いたのデス。			紅玉海に繋がれ、大繁盛の輪！							
もちろん、あなたへの報酬は別にお支払いいたしマス！何がほしいか考えておいてくださいネ！			もちろん、あなたへの報酬は別にお支払いいたしマス！何がほしいか考えておいてくださいネ！			紅玉海に繋がれ、大繁盛の輪！							
あなたが来るとわかった時点で、勝手ながら、先方には連絡を入れておきました。紅玉海の「サカズキ島」でお会いしたいとのことデス。			あなたが来るとわかった時点で、勝手ながら、先方には連絡を入れておきました。紅玉海の「サカズキ島」でお会いしたいとのことデス。			紅玉海に繋がれ、大繁盛の輪！							
さっそく、向かっていただけますか？			さっそく、向かっていただけますか？			紅玉海に繋がれ、大繁盛の輪！							
ありがとうございマス！では、よろしく頼みましたヨ！			ありがとうございマス！では、よろしく頼みましたヨ！			紅玉海に繋がれ、大繁盛の輪！							
私たちは今後について具体的な話を進めておきますので、またあとでお会いしましょう！			私たちは今後について具体的な話を進めておきますので、またあとでお会いしましょう！			紅玉海に繋がれ、大繁盛の輪！							
タタルさんでしたら、いまは席を外されていマスよ。それはそうと、「とある方々」の件、頼みましたヨ！			タタルさんでしたら、いまは席を外されていマスよ。それはそうと、「とある方々」の件、頼みましたヨ！			紅玉海に繋がれ、大繁盛の輪！							
(-？？？？-)やぁやぁ、お待たせぇ～。			(-？？？？-)やぁやぁ、お待たせぇ～。			紅玉海に繋がれ、大繁盛の輪！							
あれ、ハンコックから聞いてなかったの～？実はアンタに頼みたいことがあって、呼んでもらったんだぁ～。			あれ、ハンコックから聞いてなかったの～？実はアンタに頼みたいことがあって、呼んでもらったんだぁ～。			紅玉海に繋がれ、大繁盛の輪！							
オイラは次代の玄武として、相変わらずつらい修行の毎日でねぇ～。			オイラは次代の玄武として、相変わらずつらい修行の毎日でねぇ～。			紅玉海に繋がれ、大繁盛の輪！							
たとえば、99個の「わさび入りタコ焼き」の中から、1個だけある「ふつうのタコ焼き」を当てたりとかぁ～。			たとえば、99個の「わさび入りタコ焼き」の中から、1個だけある「ふつうのタコ焼き」を当てたりとかぁ～。			紅玉海に繋がれ、大繁盛の輪！							
未来の吉兆を見通す力を養う鍛錬らしいんだけど、ハズレを引きすぎて、涙がぽろぽろ止まらなくてねぇ～。海亀じゃないんだからさぁ～！			未来の吉兆を見通す力を養う鍛錬らしいんだけど、ハズレを引きすぎて、涙がぽろぽろ止まらなくてねぇ～。海亀じゃないんだからさぁ～！			紅玉海に繋がれ、大繁盛の輪！							
ともかくこの調子だと、四聖獣として認めてもらうには、まだまだ時間がかかりそうだよぉ～。			ともかくこの調子だと、四聖獣として認めてもらうには、まだまだ時間がかかりそうだよぉ～。			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)これ、ソロバン！いつまで長話をしとるんじゃ！早く本題に入らんか！			(-玄武の声-)これ、ソロバン！いつまで長話をしとるんじゃ！早く本題に入らんか！			紅玉海に繋がれ、大繁盛の輪！							
あぁ、そうだったぁ～！			あぁ、そうだったぁ～！			紅玉海に繋がれ、大繁盛の輪！							
みんなぁ～、もう姿を見せてもいいよぉ～！			みんなぁ～、もう姿を見せてもいいよぉ～！			紅玉海に繋がれ、大繁盛の輪！							
久しぶりだな、Forename。			久しぶりだな、Forename。			紅玉海に繋がれ、大繁盛の輪！							
いろいろ大変だったようですが、元気そうで安心しました。			いろいろ大変だったようですが、元気そうで安心しました。			紅玉海に繋がれ、大繁盛の輪！							
フン、当然さ。彼女彼はあのテンゼンに次いで、この僕が認めたヒトなんだから。どんな困難だって乗り越えてみせるとわかっていたよ。			フン、当然さ。彼女彼はあのテンゼンに次いで、この僕が認めたヒトなんだから。どんな困難だって乗り越えてみせるとわかっていたよ。			紅玉海に繋がれ、大繁盛の輪！							
……青龍、そんな言い方をされては、私が彼女彼を信じていなかったようではありませんか。訂正していただけますか？			……青龍、そんな言い方をされては、私が彼女彼を信じていなかったようではありませんか。訂正していただけますか？			紅玉海に繋がれ、大繁盛の輪！							
おい、揉めている場合じゃないだろう。あのハンコックとかいう胡乱(うろん)な商人に借りを作ってまで、Forenameを呼んだ理由を話してやれ。			おい、揉めている場合じゃないだろう。あのハンコックとかいう胡乱(うろん)な商人に借りを作ってまで、Forenameを呼んだ理由を話してやれ。			紅玉海に繋がれ、大繁盛の輪！							
……実は最近、博識のセンリがおやつを求めてクガネを訪れた際、小金通りという市場で、気になる男を見かけたらしい。			……実は最近、博識のセンリがおやつを求めてクガネを訪れた際、小金通りという市場で、気になる男を見かけたらしい。			紅玉海に繋がれ、大繁盛の輪！							
その男はテンゼンそっくりの装具を身につけた上で、自らを「テンゼンの子孫」と称して、路上販売を行っていたそうだ。			その男はテンゼンそっくりの装具を身につけた上で、自らを「テンゼンの子孫」と称して、路上販売を行っていたそうだ。			紅玉海に繋がれ、大繁盛の輪！							
そやつが売っていたのは、何の神通力も持たないただの御守り。十中八九、テンゼンの名声を利用した詐欺に違いあるまい。			そやつが売っていたのは、何の神通力も持たないただの御守り。十中八九、テンゼンの名声を利用した詐欺に違いあるまい。			紅玉海に繋がれ、大繁盛の輪！							
あのヒトの名を悪事に利用するなんて、許せるはずがありません！我が炎で、その罪ごと魂を焼き尽くしてあげましょう！！			あのヒトの名を悪事に利用するなんて、許せるはずがありません！我が炎で、その罪ごと魂を焼き尽くしてあげましょう！！			紅玉海に繋がれ、大繁盛の輪！							
いや、それじゃ生ぬるい。この世のありとあらゆる痛みを味わわせてやる……！			いや、それじゃ生ぬるい。この世のありとあらゆる痛みを味わわせてやる……！			紅玉海に繋がれ、大繁盛の輪！							
……ふたりとも、アラミタマが暴走してるわけじゃないよねぇ～？			……ふたりとも、アラミタマが暴走してるわけじゃないよねぇ～？			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)件の男はテンゼンの子孫を名乗っただけでなく、四聖獣まで連れていると大ボラを吹いておるらしくてのう。			(-玄武の声-)件の男はテンゼンの子孫を名乗っただけでなく、四聖獣まで連れていると大ボラを吹いておるらしくてのう。			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)朱雀と青龍がそやつを葬る前に、穏便に済ませたいが、ワシらはヒトの世の決まりごとには疎い。そこで、おぬしの手を借りたいのじゃよ。			(-玄武の声-)朱雀と青龍がそやつを葬る前に、穏便に済ませたいが、ワシらはヒトの世の決まりごとには疎い。そこで、おぬしの手を借りたいのじゃよ。			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)依頼を引き受けるかどうか、いますぐ決めなくともよい。まずは件の男がどんな人物なのか、見に行こうではないか。			(-玄武の声-)依頼を引き受けるかどうか、いますぐ決めなくともよい。まずは件の男がどんな人物なのか、見に行こうではないか。			紅玉海に繋がれ、大繁盛の輪！							
えぇ～？オイラはともかく、四聖獣のみんなが人里に向かえば、騒ぎになっちゃうんじゃないのぉ～？			えぇ～？オイラはともかく、四聖獣のみんなが人里に向かえば、騒ぎになっちゃうんじゃないのぉ～？			紅玉海に繋がれ、大繁盛の輪！							
案ずるな。これでも我らは聖獣ぞ？世を忍ぶ仮の姿ぐらい、持ち合わせておるわ。			案ずるな。これでも我らは聖獣ぞ？世を忍ぶ仮の姿ぐらい、持ち合わせておるわ。			紅玉海に繋がれ、大繁盛の輪！							
では、クガネで合流しよう。仮の姿があるとはいえ、注目を集めるのは避けたい。ソロバンを先行させて、ひとけの少ない場所から上陸する。			では、クガネで合流しよう。仮の姿があるとはいえ、注目を集めるのは避けたい。ソロバンを先行させて、ひとけの少ない場所から上陸する。			紅玉海に繋がれ、大繁盛の輪！							
こうして人里を訪ねると、あのヒトとふたりで茶屋に立ち寄ったことを思い出します。			こうして人里を訪ねると、あのヒトとふたりで茶屋に立ち寄ったことを思い出します。			紅玉海に繋がれ、大繁盛の輪！							
ヒトに扮した姿であのヒトと歩いていると、さながら逢い引きのようで、心が焼け焦げそうになりました。その後、どこぞの高僧に正体がばれて騒ぎになるまでは……。			ヒトに扮した姿であのヒトと歩いていると、さながら逢い引きのようで、心が焼け焦げそうになりました。その後、どこぞの高僧に正体がばれて騒ぎになるまでは……。			紅玉海に繋がれ、大繁盛の輪！							
ハンコックとは、ひょんなことから縁が結ばれてね。僕たち四聖獣と懇意にしたいと言うから、君との再会を取り付けることを条件に挙げたのさ。			ハンコックとは、ひょんなことから縁が結ばれてね。僕たち四聖獣と懇意にしたいと言うから、君との再会を取り付けることを条件に挙げたのさ。			紅玉海に繋がれ、大繁盛の輪！							
この着ぐるみは、西方に見物に行ったときに手に入れたのだ。モフモフな手触りが割と気に入っている。			この着ぐるみは、西方に見物に行ったときに手に入れたのだ。モフモフな手触りが割と気に入っている。			紅玉海に繋がれ、大繁盛の輪！							
クガネにやってきたはいいけどぉ～……。			クガネにやってきたはいいけどぉ～……。			紅玉海に繋がれ、大繁盛の輪！							
これ、本当に世を忍べてるのかなぁ～……？			これ、本当に世を忍べてるのかなぁ～……？			紅玉海に繋がれ、大繁盛の輪！							
何を言っているんだい。どこからどう見ても、四聖獣には見えないだろう？			何を言っているんだい。どこからどう見ても、四聖獣には見えないだろう？			紅玉海に繋がれ、大繁盛の輪！							
四聖獣には見えないけど、怪しいヒトに見えるよぉ～。			四聖獣には見えないけど、怪しいヒトに見えるよぉ～。			紅玉海に繋がれ、大繁盛の輪！							
我らは神通力を使ってヒト型に変身することはできるが、見る者が見ればヒトならざる者だと見抜かれてしまう。ゆえに、この着ぐるみを着て注目を避けているというわけだ。			我らは神通力を使ってヒト型に変身することはできるが、見る者が見ればヒトならざる者だと見抜かれてしまう。ゆえに、この着ぐるみを着て注目を避けているというわけだ。			紅玉海に繋がれ、大繁盛の輪！							
余計に注目を集めちゃってる気がするんだよなぁ～。			余計に注目を集めちゃってる気がするんだよなぁ～。			紅玉海に繋がれ、大繁盛の輪！							
さて、センリがテンゼンの子孫を自称する男を見かけたのは、小金通りという市場でしたね？さっそく向かいましょう。			さて、センリがテンゼンの子孫を自称する男を見かけたのは、小金通りという市場でしたね？さっそく向かいましょう。			紅玉海に繋がれ、大繁盛の輪！							
(-？？？？-)さあさあ、みなさん、ご注目あれ！			(-？？？？-)さあさあ、みなさん、ご注目あれ！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)我こそは、かの鬼退治で有名な古の英雄、テンゼンの血を受け継いだ子孫にござる！			(-テンゼンの子孫を騙る男-)我こそは、かの鬼退治で有名な古の英雄、テンゼンの血を受け継いだ子孫にござる！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)と、口で言うだけでは信じてもらえないでござろう。まずはこいつをご覧じろ！			(-テンゼンの子孫を騙る男-)と、口で言うだけでは信じてもらえないでござろう。まずはこいつをご覧じろ！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)これこそ、かのテンゼンが愛した神刀、鳳凰丸にござる！			(-テンゼンの子孫を騙る男-)これこそ、かのテンゼンが愛した神刀、鳳凰丸にござる！			紅玉海に繋がれ、大繁盛の輪！							
ほ、鳳凰丸を持ってるってことは、本当にテンゼンの子孫なのか！？			ほ、鳳凰丸を持ってるってことは、本当にテンゼンの子孫なのか！？			紅玉海に繋がれ、大繁盛の輪！							
ふん、鳳凰丸がこんなところにあってたまるか。本物は僕たちが管理しているんだから。			ふん、鳳凰丸がこんなところにあってたまるか。本物は僕たちが管理しているんだから。			紅玉海に繋がれ、大繁盛の輪！							
でも、なんだか怪しいわ……。			でも、なんだか怪しいわ……。			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)おや、まだ疑っているのでござるか？ならば、致し方あるまい。紹介しよう、我が盟友……四聖獣たちを！			(-テンゼンの子孫を騙る男-)おや、まだ疑っているのでござるか？ならば、致し方あるまい。紹介しよう、我が盟友……四聖獣たちを！			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)テンゼンの子孫はともかく、四聖獣とはのう。さてはて、いかなる偽物が現れるやら。			(-玄武の声-)テンゼンの子孫はともかく、四聖獣とはのう。さてはて、いかなる偽物が現れるやら。			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)さあ、皆さん出番ですよ……！先払いした分の働きはしてもらいますからね……！			(-テンゼンの子孫を騙る男-)さあ、皆さん出番ですよ……！先払いした分の働きはしてもらいますからね……！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)凶兆を視て、災いを予見する……亀の瑞獣、玄武！			(-テンゼンの子孫を騙る男-)凶兆を視て、災いを予見する……亀の瑞獣、玄武！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)多くの命を救いし、再生の炎操るは……鳥の瑞獣、朱雀！			(-テンゼンの子孫を騙る男-)多くの命を救いし、再生の炎操るは……鳥の瑞獣、朱雀！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)好物はうら若き乙女……辰の瑞獣、青龍！			(-テンゼンの子孫を騙る男-)好物はうら若き乙女……辰の瑞獣、青龍！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)ちっちゃくてもふもふ可愛い！猫の瑞獣、白虎！			(-テンゼンの子孫を騙る男-)ちっちゃくてもふもふ可愛い！猫の瑞獣、白虎！			紅玉海に繋がれ、大繁盛の輪！							
なぜ、私だけ猫なのだ！「ろすがる」なる種族でも……いや、せめて「みこって」でも構わぬだろうに！			なぜ、私だけ猫なのだ！「ろすがる」なる種族でも……いや、せめて「みこって」でも構わぬだろうに！			紅玉海に繋がれ、大繁盛の輪！							
僕だって、ヒトの女を喰ったことなんてないぞ……。			僕だって、ヒトの女を喰ったことなんてないぞ……。			紅玉海に繋がれ、大繁盛の輪！							
おいおい、どう見ても偽物じゃねえか！四聖「獣」なんだから、獣であるはずだろ！			おいおい、どう見ても偽物じゃねえか！四聖「獣」なんだから、獣であるはずだろ！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)これは、世を忍ぶ仮の姿にござる。聖獣がおいそれと俗世に姿を現すわけにはいかぬからな。			(-テンゼンの子孫を騙る男-)これは、世を忍ぶ仮の姿にござる。聖獣がおいそれと俗世に姿を現すわけにはいかぬからな。			紅玉海に繋がれ、大繁盛の輪！							
だからって、四聖獣が、こんなふざけた格好してるわけないだろ！			だからって、四聖獣が、こんなふざけた格好してるわけないだろ！			紅玉海に繋がれ、大繁盛の輪！							
まさか、本物の方がふざけた格好してるとは思わないよねぇ～……。			まさか、本物の方がふざけた格好してるとは思わないよねぇ～……。			紅玉海に繋がれ、大繁盛の輪！							
先ほどから聞いていれば……テンゼンと私たちの絆を愚弄するかのような茶番、見過ごすわけにはいきません。			先ほどから聞いていれば……テンゼンと私たちの絆を愚弄するかのような茶番、見過ごすわけにはいきません。			紅玉海に繋がれ、大繁盛の輪！							
朱雀の言うとおりだ！いますぐやめさせるぞ！			朱雀の言うとおりだ！いますぐやめさせるぞ！			紅玉海に繋がれ、大繁盛の輪！							
そもそも、テンゼンに子孫なんかいるのかよ！			そもそも、テンゼンに子孫なんかいるのかよ！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)彼が誰と子を成したのか、気になるでござろう？その相手こそ、見目麗しい女人に変身できると言われている、朱雀なのでござるよ！			(-テンゼンの子孫を騙る男-)彼が誰と子を成したのか、気になるでござろう？その相手こそ、見目麗しい女人に変身できると言われている、朱雀なのでござるよ！			紅玉海に繋がれ、大繁盛の輪！							
……ふむ、悪い人ではないのかもしれません。もう少し様子を見ることにしましょう。			……ふむ、悪い人ではないのかもしれません。もう少し様子を見ることにしましょう。			紅玉海に繋がれ、大繁盛の輪！							
おい！さっきまでの怒りはどうしたんだよ！			おい！さっきまでの怒りはどうしたんだよ！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)さて、拙者がテンゼンの子孫だという証明も済んだところで、今日ご紹介したい商品はこちら！			(-テンゼンの子孫を騙る男-)さて、拙者がテンゼンの子孫だという証明も済んだところで、今日ご紹介したい商品はこちら！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)テンゼンが鬼退治を成功させた背景には、この霊験あらたかな御守りのご利益があったのでござる！			(-テンゼンの子孫を騙る男-)テンゼンが鬼退治を成功させた背景には、この霊験あらたかな御守りのご利益があったのでござる！			紅玉海に繋がれ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)これを身につけるだけで、家内安全、無病息災、学業成就、商売繁盛、良縁祈願！なんでもござれ！			(-テンゼンの子孫を騙る男-)これを身につけるだけで、家内安全、無病息災、学業成就、商売繁盛、良縁祈願！なんでもござれ！			紅玉海に繋がれ、大繁盛の輪！							
