リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
名前と由来が知りたいの？ワタシは「ユル＝フェオ」！「イチイの木と宝物」って意味だよぉ！			名前と由来が知りたいの？ワタシは「ユル＝フェオ」！「イチイの木と宝物」って意味だよぉ！			名前の意味							
ワタシは「ユル＝フェオ」！「イチイの木と宝物」って意味だよぉ！			ワタシは「ユル＝フェオ」！「イチイの木と宝物」って意味だよぉ！			名前の意味							
ぼくの名前？　「ヤラ＝スール」っていうんだ！きみたちヒトの言葉だと、「季節の巡りと花」って意味になるよ。ふふん、カワイイ名前でしょ？			ぼくの名前？　「ヤラ＝スール」っていうんだ！きみたちヒトの言葉だと、「季節の巡りと花」って意味になるよ。ふふん、カワイイ名前でしょ？			名前の意味							
ぼくの名前？　「ヤラ＝スール」っていうんだ！きみたちヒトの言葉だと、「季節の巡りと花」って意味になるよ。ふふん、カワイイ名前でしょ？			ぼくの名前？　「ヤラ＝スール」っていうんだ！きみたちヒトの言葉だと、「季節の巡りと花」って意味になるよ。ふふん、カワイイ名前でしょ？			名前の意味							
あたしの名前は「インク＝ウィン」よ！意味は「水と喜び」！　今のあたしも大喜び！だってアナタがいるんだもの……どうやって遊ぼうかしら！			あたしの名前は「インク＝ウィン」よ！意味は「水と喜び」！　今のあたしも大喜び！だってアナタがいるんだもの……どうやって遊ぼうかしら！			名前の意味							
あたしの名前は「インク＝ウィン」よ！意味は「水と喜び」！　今のあたしも大喜び！だってアナタがいるんだもの……どうやって遊ぼうかしら！			あたしの名前は「インク＝ウィン」よ！意味は「水と喜び」！　今のあたしも大喜び！だってアナタがいるんだもの……どうやって遊ぼうかしら！			名前の意味							
おかえりなさい！　皆の名前は聞けたかしら？ちゃんと覚えているか、試させてもらうわよ！			おかえりなさい！　皆の名前は聞けたかしら？ちゃんと覚えているか、試させてもらうわよ！			名前の意味							
さあ、ひとつめの問題！「イチイの木と宝物」の子は誰だったかしら？			さあ、ひとつめの問題！「イチイの木と宝物」の子は誰だったかしら？			名前の意味							
「イチイの木と宝物」なピクシーは？			「イチイの木と宝物」なピクシーは？			名前の意味							
ユル＝フェオ			ユル＝フェオ			名前の意味							
ヤラ＝スール			ヤラ＝スール			名前の意味							
インク＝ウィン			インク＝ウィン			名前の意味							
ふふ～ん……なるほどなるほど。それじゃあ次の問題よ。「季節の巡りと花」な子は、どこで遊んでいたかしら？			ふふ～ん……なるほどなるほど。それじゃあ次の問題よ。「季節の巡りと花」な子は、どこで遊んでいたかしら？			名前の意味							
「季節の巡りと花」なピクシーはどこにいた？			「季節の巡りと花」なピクシーはどこにいた？			名前の意味							
エーテライトの近く			エーテライトの近く			名前の意味							
牧場の近く			牧場の近く			名前の意味							
姿見の湖の近く			姿見の湖の近く			名前の意味							
はずれ～！　もっとちゃんと覚えてほしいわ！ほらほら、もう一度皆に聞いてらっしゃい！			はずれ～！　もっとちゃんと覚えてほしいわ！ほらほら、もう一度皆に聞いてらっしゃい！			名前の意味							
うーん……1問間違ってるけど、まあいいわ！わたしたちの名前について、もっと詳しく教えてあげる！			うーん……1問間違ってるけど、まあいいわ！わたしたちの名前について、もっと詳しく教えてあげる！			名前の意味							
大正解！　嬉しいわ、ちゃんと覚えてくれたのね！特別に、わたしたちの名前について、もっと詳しく教えてあげる！			大正解！　嬉しいわ、ちゃんと覚えてくれたのね！特別に、わたしたちの名前について、もっと詳しく教えてあげる！			名前の意味							
わたしたちの名前はね、魔力が込められた、特別な「ルーン」の組み合わせでできているの。それぞれの命の煌めき、魔力の性質に、ぴったりな言葉を選ぶのよ。			わたしたちの名前はね、魔力が込められた、特別な「ルーン」の組み合わせでできているの。それぞれの命の煌めき、魔力の性質に、ぴったりな言葉を選ぶのよ。			名前の意味							
アナタの名前をつけるなら……。そうね、「シグン＝ティル」……いえ、もしかしたら、「ウル＝ティル」かもしれないわね。			アナタの名前をつけるなら……。そうね、「シグン＝ティル」……いえ、もしかしたら、「ウル＝ティル」かもしれないわね。			名前の意味							
ふふふ！　意味は教えてあげない！どこかで調べてみてちょうだい！お話してくれて、ありがと、楽しかったわ！			ふふふ！　意味は教えてあげない！どこかで調べてみてちょうだい！お話してくれて、ありがと、楽しかったわ！			名前の意味							
特殊ルール： レベルアジャストリダ・ラーンのラド＝ケンは、ひどく焦っているようだ。			特殊ルール： レベルアジャストリダ・ラーンのラド＝ケンは、ひどく焦っているようだ。			スタンド・バイ・ユアセルフ							
ケン＝ギュフを探す			ケン＝ギュフを探す			スタンド・バイ・ユアセルフ							
チャットの「Say」モードで『ケン＝ギュフ』と入力し指定地点でケン＝ギュフを探す			チャットの「Say」モードで『ケン＝ギュフ』と入力し指定地点でケン＝ギュフを探す			スタンド・バイ・ユアセルフ							
ラド＝ケンに報告			ラド＝ケンに報告			スタンド・バイ・ユアセルフ							
ねえ、お願い、ワタシの友だちを探してほしいの！仲間たちの間では、絶対に行っちゃダメって言われている、「フィソー・ラーン」の方に行ってしまって……			ねえ、お願い、ワタシの友だちを探してほしいの！仲間たちの間では、絶対に行っちゃダメって言われている、「フィソー・ラーン」の方に行ってしまって……			スタンド・バイ・ユアセルフ							
本当は、追いかけて止めたいのだけれど……ワタシ、とてもじゃないけど怖くて行けないわ！だって、「アレ」が出るのよ！？			本当は、追いかけて止めたいのだけれど……ワタシ、とてもじゃないけど怖くて行けないわ！だって、「アレ」が出るのよ！？			スタンド・バイ・ユアセルフ							
アナタ、とっても勇気があるのよね？お願い、友だちの「ケン＝ギュフ」を連れ戻して！今から向かえば、到着前に追いつけるはずよ！			アナタ、とっても勇気があるのよね？お願い、友だちの「ケン＝ギュフ」を連れ戻して！今から向かえば、到着前に追いつけるはずよ！			スタンド・バイ・ユアセルフ							
お願い、友だちの「ケン＝ギュフ」を連れ戻して！今から向かえば、到着前に追いつけるはずよ！			お願い、友だちの「ケン＝ギュフ」を連れ戻して！今から向かえば、到着前に追いつけるはずよ！			スタンド・バイ・ユアセルフ							
あれ？　キミ、ウリエンジェの友だちだよね？ボクに何か用でもあるの？			あれ？　キミ、ウリエンジェの友だちだよね？ボクに何か用でもあるの？			スタンド・バイ・ユアセルフ							
ふ～ん、あの子が心配してるんだ。でもさ……絶対に行くなって言われたら、も～っと、行きたくなっちゃうよね～！			ふ～ん、あの子が心配してるんだ。でもさ……絶対に行くなって言われたら、も～っと、行きたくなっちゃうよね～！			スタンド・バイ・ユアセルフ							
アハハハハ！誰にもボクは、止められな～い！			アハハハハ！誰にもボクは、止められな～い！			スタンド・バイ・ユアセルフ							
「フィソー・ラーン」の方に、飛び去ってしまった。このまま追いかけ、「ケン＝ギュフ」と呼びかけよう。			「フィソー・ラーン」の方に、飛び去ってしまった。このまま追いかけ、「ケン＝ギュフ」と呼びかけよう。			スタンド・バイ・ユアセルフ							
ケン＝ギュフ			ケン＝ギュフ			スタンド・バイ・ユアセルフ							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『ケン＝ギュフ』を含む好きな言葉を入力しましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『ケン＝ギュフ』を含む好きな言葉を入力しましょう。			スタンド・バイ・ユアセルフ							
(-ビーバーらしき声-)ガウガウ～！			(-ビーバーらしき声-)ガウガウ～！			スタンド・バイ・ユアセルフ							
(-ビーバーらしき何か-)ガウガウガウ！			(-ビーバーらしき何か-)ガウガウガウ！			スタンド・バイ・ユアセルフ							
不思議と言葉が理解できる。『ミルクをおくれ』と言っているようだ。			不思議と言葉が理解できる。『ミルクをおくれ』と言っているようだ。			スタンド・バイ・ユアセルフ							
しかし、周囲にケン＝ギュフの姿はない。リダ・ラーンに戻り、「ラド＝ケン」に報告しよう。			しかし、周囲にケン＝ギュフの姿はない。リダ・ラーンに戻り、「ラド＝ケン」に報告しよう。			スタンド・バイ・ユアセルフ							
ガウガウガウ！			ガウガウガウ！			スタンド・バイ・ユアセルフ							
『ミルクをおくれ』と言っているようだ。しかし、周囲にケン＝ギュフの姿はない。リダ・ラーンに戻り、「ラド＝ケン」に報告しよう。			『ミルクをおくれ』と言っているようだ。しかし、周囲にケン＝ギュフの姿はない。リダ・ラーンに戻り、「ラド＝ケン」に報告しよう。			スタンド・バイ・ユアセルフ							
おかえりなさい！……ねえ、ケン＝ギュフはどうしたの？			おかえりなさい！……ねえ、ケン＝ギュフはどうしたの？			スタンド・バイ・ユアセルフ							
あ、ああ……そんなぁ……。ケン＝ギュフの姿はなく、奇妙な生き物がいたですって！			あ、ああ……そんなぁ……。ケン＝ギュフの姿はなく、奇妙な生き物がいたですって！			スタンド・バイ・ユアセルフ							
う、う、うわあああん！やっぱり、噂は本当だったんだぁ……！			う、う、うわあああん！やっぱり、噂は本当だったんだぁ……！			スタンド・バイ・ユアセルフ							
うっ、うっ、うっ……取り乱してごめんなさい。とにかく、いろいろ、確かめてきてくれて、ありがとね。これからのこと、考えなくちゃ……。			うっ、うっ、うっ……取り乱してごめんなさい。とにかく、いろいろ、確かめてきてくれて、ありがとね。これからのこと、考えなくちゃ……。			スタンド・バイ・ユアセルフ							
特殊ルール： レベルアジャストリダ・ラーンの花好きのピクシーは、何やら怒っているようだ。			特殊ルール： レベルアジャストリダ・ラーンの花好きのピクシーは、何やら怒っているようだ。			怒りのオシオキ							
悪いヒトたちに話しかけて討伐			悪いヒトたちに話しかけて討伐			怒りのオシオキ							
花好きのピクシーに報告			花好きのピクシーに報告			怒りのオシオキ							
花好きのピクシーと話す			花好きのピクシーと話す			怒りのオシオキ							
むぅう～、もう怒ったぞぉ！ねえねえ、聞いてよ、イル・メグに入り込んで、わたしたちが植えたお花を、盗もうとしてるヒトがいたの！			むぅう～、もう怒ったぞぉ！ねえねえ、聞いてよ、イル・メグに入り込んで、わたしたちが植えたお花を、盗もうとしてるヒトがいたの！			怒りのオシオキ							
一回、惑わしの術をかけて追い払ったんだけど、道に迷ってヤケクソになったみたいで、わたしの仲間を、冷たい尖った鉄の棒で、突き刺したんですって！			一回、惑わしの術をかけて追い払ったんだけど、道に迷ってヤケクソになったみたいで、わたしの仲間を、冷たい尖った鉄の棒で、突き刺したんですって！			怒りのオシオキ							
もう許さない、絶対、オシオキするんだから！「悪いヒト」たちは、ここから南西のあたりにいるらしいわ！いっしょに、オシオキしに行こうよ！			もう許さない、絶対、オシオキするんだから！「悪いヒト」たちは、ここから南西のあたりにいるらしいわ！いっしょに、オシオキしに行こうよ！			怒りのオシオキ							
どっちが先に悪いヒトたちにオシオキできるか競争ね！終わったら、イル・メグの入口で会いましょう！			どっちが先に悪いヒトたちにオシオキできるか競争ね！終わったら、イル・メグの入口で会いましょう！			怒りのオシオキ							
ああ！？　なんだてめえ、妖精どもの仲間か！？			ああ！？　なんだてめえ、妖精どもの仲間か！？			怒りのオシオキ							
な、なんだってんだ！邪魔するんじゃねえ、オレはここの花で大儲けするんだ！			な、なんだってんだ！邪魔するんじゃねえ、オレはここの花で大儲けするんだ！			怒りのオシオキ							
わぁ、もう、オシオキしてきたのね！サラマンダーより、ずっと早い！			わぁ、もう、オシオキしてきたのね！サラマンダーより、ずっと早い！			怒りのオシオキ							
……ん、サラマンダーって何かしら？			……ん、サラマンダーって何かしら？			怒りのオシオキ							
とにかく、悪いヒトたちも、これで懲りたはずよね！さあ、オシオキはおわり、リダ・ラーンに戻ろう～！			とにかく、悪いヒトたちも、これで懲りたはずよね！さあ、オシオキはおわり、リダ・ラーンに戻ろう～！			怒りのオシオキ							
手伝ってくれて、ありがとう～！これで、綺麗なお花を思う存分楽しめるはずよ！			手伝ってくれて、ありがとう～！これで、綺麗なお花を思う存分楽しめるはずよ！			怒りのオシオキ							
でも、あなたにオシオキ競争で負けちゃったのは、ちょっぴり残念だったかも！			でも、あなたにオシオキ競争で負けちゃったのは、ちょっぴり残念だったかも！			怒りのオシオキ							
だって、わたしなら、あのヒトたちを草人に変えて、ずーっといっしょに遊べたはずだもの！どこかで見かけたら、また来てねって伝えておいてね！			だって、わたしなら、あのヒトたちを草人に変えて、ずーっといっしょに遊べたはずだもの！どこかで見かけたら、また来てねって伝えておいてね！			怒りのオシオキ							
特殊ルール： レベルアジャストリダ・ラーンのラド＝ケンは、恐怖に震えているようだ。			特殊ルール： レベルアジャストリダ・ラーンのラド＝ケンは、恐怖に震えているようだ。			ビーバーの呼び声							
ウィン＝ハガンと話す			ウィン＝ハガンと話す			ビーバーの呼び声							
ジャイアントビーバーに新鮮な羊乳を渡す			ジャイアントビーバーに新鮮な羊乳を渡す			ビーバーの呼び声							
ウィン＝ハガンと話す			ウィン＝ハガンと話す			ビーバーの呼び声							
ラド＝ケンに報告			ラド＝ケンに報告			ビーバーの呼び声							
ところで……アナタ、「アレ」を見たのよね？どんな外見をしていたか教えてくれる？			ところで……アナタ、「アレ」を見たのよね？どんな外見をしていたか教えてくれる？			ビーバーの呼び声							
やっぱり、伝説の「ジャイアントビーバー」のようね……。アレに出会ったピクシーは、忽然と姿を消してしまう。だから、フィソー・ラーンには近づくなって、言われていたのよ！			やっぱり、伝説の「ジャイアントビーバー」のようね……。アレに出会ったピクシーは、忽然と姿を消してしまう。だから、フィソー・ラーンには近づくなって、言われていたのよ！			ビーバーの呼び声							
どこから来て、なぜピクシーを消すのか……すべてが謎に包まれた存在、それがビーバー。いったい何を考えているというの……？			どこから来て、なぜピクシーを消すのか……すべてが謎に包まれた存在、それがビーバー。いったい何を考えているというの……？			ビーバーの呼び声							
えっ……ミルクを欲しがっていたですって？嗚呼、これはきっと、貢物を差し出さないと、ワタシも危ないってことね！			えっ……ミルクを欲しがっていたですって？嗚呼、これはきっと、貢物を差し出さないと、ワタシも危ないってことね！			ビーバーの呼び声							
お願い！アナタは、ビーバーの言葉もわかるし、出会っても危害を加えられることはなかった……！			お願い！アナタは、ビーバーの言葉もわかるし、出会っても危害を加えられることはなかった……！			ビーバーの呼び声							
だから、厩舎の方にいる羊飼いのピクシー、「ウィン＝ハガン」から、「新鮮な羊乳」をもらって、ビーバーに渡してきて……どうかお願いよ！			だから、厩舎の方にいる羊飼いのピクシー、「ウィン＝ハガン」から、「新鮮な羊乳」をもらって、ビーバーに渡してきて……どうかお願いよ！			ビーバーの呼び声							
「ウィン＝ハガン」から「新鮮な羊乳」をもらって、ビーバーに渡してきて……どうかお願いよ！			「ウィン＝ハガン」から「新鮮な羊乳」をもらって、ビーバーに渡してきて……どうかお願いよ！			ビーバーの呼び声							
ん～？　なにかご用なのぉ？			ん～？　なにかご用なのぉ？			ビーバーの呼び声							
「新鮮な羊乳」ならここにあるわ、はい、どうぞ！……それにしても、ケン＝ギュフはどこに行ったのかなぁ。その羊乳、あの子の好物だったのよねぇ……。			「新鮮な羊乳」ならここにあるわ、はい、どうぞ！……それにしても、ケン＝ギュフはどこに行ったのかなぁ。その羊乳、あの子の好物だったのよねぇ……。			ビーバーの呼び声							
「新鮮な羊乳」を受け取った。フィソー・ラーンにいる「ジャイアントビーバー」に届けよう。			「新鮮な羊乳」を受け取った。フィソー・ラーンにいる「ジャイアントビーバー」に届けよう。			ビーバーの呼び声							
……それにしても、ケン＝ギュフはどこに行ったのかなぁ。その羊乳、あの子の好物だったのよねぇ……。			……それにしても、ケン＝ギュフはどこに行ったのかなぁ。その羊乳、あの子の好物だったのよねぇ……。			ビーバーの呼び声							
ガウガウ、ガウガウ。			ガウガウ、ガウガウ。			ビーバーの呼び声							
『ミルクをおくれ』と言っているようだ。「新鮮な羊乳」を渡そう。			『ミルクをおくれ』と言っているようだ。「新鮮な羊乳」を渡そう。			ビーバーの呼び声							
ガウガウ！　ガウガウガウ！			ガウガウ！　ガウガウガウ！			ビーバーの呼び声							
『ミルク大好き、ありがとう』と言っているようだ。どうやら、とても喜んでいるらしい。			『ミルク大好き、ありがとう』と言っているようだ。どうやら、とても喜んでいるらしい。			ビーバーの呼び声							
ガウガウ、ガウ、ガウガウガウ！			ガウガウ、ガウ、ガウガウガウ！			ビーバーの呼び声							
『綺麗なビー玉、姿見の湖のほとりの木の下のあたりに隠した、　お礼にあげる、ウィン＝ハガンに教えてあげて』と言っているようだ。			『綺麗なビー玉、姿見の湖のほとりの木の下のあたりに隠した、　お礼にあげる、ウィン＝ハガンに教えてあげて』と言っているようだ。			ビーバーの呼び声							
ガウガウ、ガウ、ガウガウガウ！			ガウガウ、ガウ、ガウガウガウ！			ビーバーの呼び声							
『綺麗なビー玉、姿見の湖のほとりの木の下のあたりに隠した、　お礼にあげる、ウィン＝ハガンに教えてあげて』と言っているようだ。			『綺麗なビー玉、姿見の湖のほとりの木の下のあたりに隠した、　お礼にあげる、ウィン＝ハガンに教えてあげて』と言っているようだ。			ビーバーの呼び声							
あれぇ、どうしたの？			あれぇ、どうしたの？			ビーバーの呼び声							
ええ～！　ほんと！？やったぁ、ビー玉欲しかったんだぁ～！			ええ～！　ほんと！？やったぁ、ビー玉欲しかったんだぁ～！			ビーバーの呼び声							
ウィン＝ハガンは嬉しそうに飛び去っていった……。リダ・ラーンに戻り、「ラド＝ケン」に報告しよう。			ウィン＝ハガンは嬉しそうに飛び去っていった……。リダ・ラーンに戻り、「ラド＝ケン」に報告しよう。			ビーバーの呼び声							
おかえりなさいっ！ね、ねえ、どうだった……？			おかえりなさいっ！ね、ねえ、どうだった……？			ビーバーの呼び声							
あ、あああ……そんな……っ！なんてこと……なんてことだぁぁぁぁぁ！！			あ、あああ……そんな……っ！なんてこと……なんてことだぁぁぁぁぁ！！			ビーバーの呼び声							
アナタは、悪くない……むしろ、いろいろと駆け回ってくれて、助かったわ。でも……でも……うっ、うっ、うっ……。			アナタは、悪くない……むしろ、いろいろと駆け回ってくれて、助かったわ。でも……でも……うっ、うっ、うっ……。			ビーバーの呼び声							
特殊ルール： レベルアジャストリダ・ラーンのラド＝ケンは、恐怖のあまり震えているようだ。			特殊ルール： レベルアジャストリダ・ラーンのラド＝ケンは、恐怖のあまり震えているようだ。			そして誰もいなくなった							
ジャイアントビーバーと話す			ジャイアントビーバーと話す			そして誰もいなくなった							
ラド＝ケンと話す			ラド＝ケンと話す			そして誰もいなくなった							
チャットの「Say」モードで『ラド＝ケン』と入力し指定地点でラド＝ケンを探す			チャットの「Say」モードで『ラド＝ケン』と入力し指定地点でラド＝ケンを探す			そして誰もいなくなった							
ニイ＝イスと話す			ニイ＝イスと話す			そして誰もいなくなった							
うう、取り乱している場合じゃないわね。まだ間に合うかもしれないんだもの！			うう、取り乱している場合じゃないわね。まだ間に合うかもしれないんだもの！			そして誰もいなくなった							
あのね、「綺麗なビー玉」は、最初に消えてしまったケン＝ギュフの宝物だったの。羊飼いのウィン＝ハガンも、とても欲しがっていたわ！			あのね、「綺麗なビー玉」は、最初に消えてしまったケン＝ギュフの宝物だったの。羊飼いのウィン＝ハガンも、とても欲しがっていたわ！			そして誰もいなくなった							
ウィン＝ハガンは、姿見の湖のほとりの木の下のあたりまで、隠されたビー玉を取りに行ったのよね？ワタシ、急いで追いかけて、あの子の無事を確かめてくる！			ウィン＝ハガンは、姿見の湖のほとりの木の下のあたりまで、隠されたビー玉を取りに行ったのよね？ワタシ、急いで追いかけて、あの子の無事を確かめてくる！			そして誰もいなくなった							
だから、アナタは、もう一度「フィソー・ラーン」に行って、「ジャイアントビーバー」の様子を見てきてちょうだい！その後、厩舎で落ち合いましょう！			だから、アナタは、もう一度「フィソー・ラーン」に行って、「ジャイアントビーバー」の様子を見てきてちょうだい！その後、厩舎で落ち合いましょう！			そして誰もいなくなった							
ガウガウガウ！			ガウガウガウ！			そして誰もいなくなった							
『ミルク大好き、ありがとう』と言っているようだ。			『ミルク大好き、ありがとう』と言っているようだ。			そして誰もいなくなった							
ガウガウ、ガウガウ～！			ガウガウ、ガウガウ～！			そして誰もいなくなった							
『ビー玉綺麗、ありがとう』と言っているようだ。			『ビー玉綺麗、ありがとう』と言っているようだ。			そして誰もいなくなった							
ふえ～ん……ウィン＝ハガンの姿は、どこにもなかったよぉ……。アナタの方はどうだった？			ふえ～ん……ウィン＝ハガンの姿は、どこにもなかったよぉ……。アナタの方はどうだった？			そして誰もいなくなった							
あ、あうあうあう……ワタシのせいだわ……！ワタシのせいで、お友だちがふたりとも消えちゃった！			あ、あうあうあう……ワタシのせいだわ……！ワタシのせいで、お友だちがふたりとも消えちゃった！			そして誰もいなくなった							
ゆ、許せない……！……そうよ、あのビーバーがいけないんだわ！泣いても許してあげない、絶対に懲らしめてやるんだから！			ゆ、許せない……！……そうよ、あのビーバーがいけないんだわ！泣いても許してあげない、絶対に懲らしめてやるんだから！			そして誰もいなくなった							
「フィソー・ラーン」の方に、飛び去ってしまった。このまま追いかけ、「ラド＝ケン」を探そう。			「フィソー・ラーン」の方に、飛び去ってしまった。このまま追いかけ、「ラド＝ケン」を探そう。			そして誰もいなくなった							
ラド＝ケン			ラド＝ケン			そして誰もいなくなった							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『ラド＝ケン』を含む好きな言葉を入力しましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『ラド＝ケン』を含む好きな言葉を入力しましょう。			そして誰もいなくなった							
ガウガウ、ガウガウ～ガウ！			ガウガウ、ガウガウ～ガウ！			そして誰もいなくなった							
『友だち、会えた、見つかった。　アナタにお礼あげる、ニイ＝イスと話してみて』と言っているようだ。			『友だち、会えた、見つかった。　アナタにお礼あげる、ニイ＝イスと話してみて』と言っているようだ。			そして誰もいなくなった							
ガウ、ガウガウガウ！			ガウ、ガウガウガウ！			そして誰もいなくなった							
『もし、ニイ＝イスが、お礼を出し渋るようなら、　綺麗な靴が屋根裏に隠してあると、伝えてみて』と言っているようだ。			『もし、ニイ＝イスが、お礼を出し渋るようなら、　綺麗な靴が屋根裏に隠してあると、伝えてみて』と言っているようだ。			そして誰もいなくなった							
ガウガウガウ！			ガウガウガウ！			そして誰もいなくなった							
『ミルク大好き、ありがとう』と言っているようだ。			『ミルク大好き、ありがとう』と言っているようだ。			そして誰もいなくなった							
ガウガウ、ガウガウ～！			ガウガウ、ガウガウ～！			そして誰もいなくなった							
『ビー玉綺麗、ありがとう』と言っているようだ。			『ビー玉綺麗、ありがとう』と言っているようだ。			そして誰もいなくなった							
ガウガウ、ガウガウ～ガウ！			ガウガウ、ガウガウ～ガウ！			そして誰もいなくなった							
『友だち、会えた、見つかった。　アナタにお礼あげる、ニイ＝イスと話してみて』と言っているようだ。			『友だち、会えた、見つかった。　アナタにお礼あげる、ニイ＝イスと話してみて』と言っているようだ。			そして誰もいなくなった							
ガウ、ガウガウガウ！			ガウ、ガウガウガウ！			そして誰もいなくなった							
『もし、ニイ＝イスが、お礼を出し渋るようなら、　綺麗な靴が屋根裏に隠してあると、伝えてみて』と言っているようだ。			『もし、ニイ＝イスが、お礼を出し渋るようなら、　綺麗な靴が屋根裏に隠してあると、伝えてみて』と言っているようだ。			そして誰もいなくなった							
なあに、アタシと遊びたいの？			なあに、アタシと遊びたいの？			そして誰もいなくなった							
ええ、お礼の品がほしい？なんで、アナタに、渡さなくちゃいけないわけ？			ええ、お礼の品がほしい？なんで、アナタに、渡さなくちゃいけないわけ？			そして誰もいなくなった							
そうだ！アタシと遊んでくれたら、報酬をあげる！そうだなぁ……ざっと2年間くらいでいいわよ？			そうだ！アタシと遊んでくれたら、報酬をあげる！そうだなぁ……ざっと2年間くらいでいいわよ？			そして誰もいなくなった							
え、綺麗な靴が屋根裏に……？やったぁ、ラド＝ケンに靴を自慢されて、悔しかったのよね！			え、綺麗な靴が屋根裏に……？やったぁ、ラド＝ケンに靴を自慢されて、悔しかったのよね！			そして誰もいなくなった							
いいコト教えてくれたアナタに、お礼をあげる！さあ、コレを受け取ってちょうだい！アタシは、さっそく靴を取りに行くんだから……じゃあね！			いいコト教えてくれたアナタに、お礼をあげる！さあ、コレを受け取ってちょうだい！アタシは、さっそく靴を取りに行くんだから……じゃあね！			そして誰もいなくなった							
特殊ルール： レベルアジャスト篤学者の荘園の派手好きのピクシーは、考え事をしているようだ。			特殊ルール： レベルアジャスト篤学者の荘園の派手好きのピクシーは、考え事をしているようだ。			素敵な飾り付け							
水中でクルクル蔓草を入手			水中でクルクル蔓草を入手			素敵な飾り付け							
派手好きのピクシーにクルクル蔓草を渡す			派手好きのピクシーにクルクル蔓草を渡す			素敵な飾り付け							
指定地点にポカポカ紅花を置く			指定地点にポカポカ紅花を置く			素敵な飾り付け							
派手好きのピクシーと話す			派手好きのピクシーと話す			素敵な飾り付け							
う～ん、どうしようかしら…………そうだ！　アナタ、手伝ってちょうだい！ウリエンジェのお友達なんでしょう？			う～ん、どうしようかしら…………そうだ！　アナタ、手伝ってちょうだい！ウリエンジェのお友達なんでしょう？			素敵な飾り付け							
ウリエンジェのおうちを、もっとかわいく飾りたいの！アナタも一緒にやったと知ったら、彼もきっと喜ぶわ！			ウリエンジェのおうちを、もっとかわいく飾りたいの！アナタも一緒にやったと知ったら、彼もきっと喜ぶわ！			素敵な飾り付け							
そうね……せっかくだし、「クルクル蔓草」を使いましょう！水の中に生えてる、とってもかわいい草なのよ。いつもはフーア族に頼んで、取ってきてもらっているの。			そうね……せっかくだし、「クルクル蔓草」を使いましょう！水の中に生えてる、とってもかわいい草なのよ。いつもはフーア族に頼んで、取ってきてもらっているの。			素敵な飾り付け							
でも、アナタは泳ぎが得意なんでしょう？「クルクル蔓草」は、アナタが摘んできてちょうだい！姿見の湖の、水没した教会の辺りに生えているはずだから！			でも、アナタは泳ぎが得意なんでしょう？「クルクル蔓草」は、アナタが摘んできてちょうだい！姿見の湖の、水没した教会の辺りに生えているはずだから！			素敵な飾り付け							
アタシはその間に、お花をいっぱい摘んでくるわ！「クルクル蔓草」を摘んだら、「篤学者の荘園」まで来てね！一緒におうちを飾りましょう！			アタシはその間に、お花をいっぱい摘んでくるわ！「クルクル蔓草」を摘んだら、「篤学者の荘園」まで来てね！一緒におうちを飾りましょう！			素敵な飾り付け							
「クルクル蔓草」は摘めたかしら？			「クルクル蔓草」は摘めたかしら？			素敵な飾り付け							
素敵だわ！　これで準備ができたわね！「クルクル蔓草」は水の中に生えるから、アタシたちの魔法がないと、おうちに生やすことはできないの。			素敵だわ！　これで準備ができたわね！「クルクル蔓草」は水の中に生えるから、アタシたちの魔法がないと、おうちに生やすことはできないの。			素敵な飾り付け							
それじゃ、アタシは蔓草を生やしてくるわ！アナタは、おうちの中に、この「ポカポカ紅花」を飾り付けてちょうだいね！			それじゃ、アタシは蔓草を生やしてくるわ！アナタは、おうちの中に、この「ポカポカ紅花」を飾り付けてちょうだいね！			素敵な飾り付け							
飾り付ける場所は、そうね……階段のあたりがいいわ。味気ないのが、かわいくなること間違いなしよ！それじゃ、よろしくね！			飾り付ける場所は、そうね……階段のあたりがいいわ。味気ないのが、かわいくなること間違いなしよ！それじゃ、よろしくね！			素敵な飾り付け							
ふふふふふ！　とっても素敵よ！アナタとアタシが飾り付けたんだもの。あの仏頂面なウリエンジェも、きっと大喜びよ！			ふふふふふ！　とっても素敵よ！アナタとアタシが飾り付けたんだもの。あの仏頂面なウリエンジェも、きっと大喜びよ！			素敵な飾り付け							
そしたらきっと、ず～っとここに住んでくれるわ！もちろん、そのときはアナタも一緒よ？			そしたらきっと、ず～っとここに住んでくれるわ！もちろん、そのときはアナタも一緒よ？			素敵な飾り付け							
特殊ルール： レベルアジャスト篤学者の荘園にいる陰気なピクシーは、ふてくされているようだ。			特殊ルール： レベルアジャスト篤学者の荘園にいる陰気なピクシーは、ふてくされているようだ。			焼き菓子こわい							
陽気なピクシーと話す			陽気なピクシーと話す			焼き菓子こわい							
重い水桶を陰気なピクシーに渡す			重い水桶を陰気なピクシーに渡す			焼き菓子こわい							
