クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			人魚の肉							
第二波止場から「紅玉台場」とやらへ向かえばいいんだねぇ？わかった、すぐに出発するよ！			第二波止場から「紅玉台場」とやらへ向かえばいいんだねぇ？わかった、すぐに出発するよ！			魂宿る宝玉							
お、おい、オルミン！オレを置いて行くなよ！			お、おい、オルミン！オレを置いて行くなよ！			魂宿る宝玉							
オルミンの軍服以外の姿は初めて見たぜ……。			オルミンの軍服以外の姿は初めて見たぜ……。			魂宿る宝玉							
ここが紅玉台場とやらかい。			ここが紅玉台場とやらかい。			魂宿る宝玉							
ふぅ、着替えてくれたおかげで、いつもの調子が戻ってきたぜ……。			ふぅ、着替えてくれたおかげで、いつもの調子が戻ってきたぜ……。			魂宿る宝玉							
今は、そんなことより、アルパとナザの目撃情報を集めることが先決だろうが！手分けして聞き込みをして、何か掴んだらオレに報告してくれ！			今は、そんなことより、アルパとナザの目撃情報を集めることが先決だろうが！手分けして聞き込みをして、何か掴んだらオレに報告してくれ！			魂宿る宝玉							
安心したぜ……でも……少しだけ残念な気も……。			安心したぜ……でも……少しだけ残念な気も……。			魂宿る宝玉							
無闇に大筒を触るでないぞ。			無闇に大筒を触るでないぞ。			魂宿る宝玉							
異常なし！			異常なし！			魂宿る宝玉							
アルパは絶対取り戻す！！			アルパは絶対取り戻す！！			魂宿る宝玉							
なに？仮面をつけた怪しい男を見ていないかだと？			なに？仮面をつけた怪しい男を見ていないかだと？			魂宿る宝玉							
いや、知らぬな。もし本当にそんなヤツがいたら、自慢の大筒で追い払ってやるわい！			いや、知らぬな。もし本当にそんなヤツがいたら、自慢の大筒で追い払ってやるわい！			魂宿る宝玉							
人魚を連れた怪しい男を見なかったかって？			人魚を連れた怪しい男を見なかったかって？			魂宿る宝玉							
ハハハハハ、私を謀っているのか？人魚など、現実におるわけがなかろう！紅玉海の海水で頭を冷やしたほうがいいぞ！			ハハハハハ、私を謀っているのか？人魚など、現実におるわけがなかろう！紅玉海の海水で頭を冷やしたほうがいいぞ！			魂宿る宝玉							
手分けして聞き込みをして、何か掴んだらオレに報告してくれ！			手分けして聞き込みをして、何か掴んだらオレに報告してくれ！			魂宿る宝玉							
チッ、あの野郎、アルパをどこに連れて行きやがった！			チッ、あの野郎、アルパをどこに連れて行きやがった！			魂宿る宝玉							
なに？仮面をつけた怪しい男を見ていないかだと？			なに？仮面をつけた怪しい男を見ていないかだと？			魂宿る宝玉							
いや、知らぬな。もし本当にそんなヤツがいたら、自慢の大筒で追い払ってやるわい！			いや、知らぬな。もし本当にそんなヤツがいたら、自慢の大筒で追い払ってやるわい！			魂宿る宝玉							
人魚を連れた怪しい男を見なかったかって？			人魚を連れた怪しい男を見なかったかって？			魂宿る宝玉							
ハハハハハ、私を謀っているのか？人魚など、現実におるわけがなかろう！紅玉海の海水で頭を冷やしたほうがいいぞ！			ハハハハハ、私を謀っているのか？人魚など、現実におるわけがなかろう！紅玉海の海水で頭を冷やしたほうがいいぞ！			魂宿る宝玉							
そっちはどうだった？			そっちはどうだった？			魂宿る宝玉							
空振りか……こっちも似たようなもんだよ。まいったねぇ、これじゃアルパを探すなんて……			空振りか……こっちも似たようなもんだよ。まいったねぇ、これじゃアルパを探すなんて……			魂宿る宝玉							
(-メ・ゼト・ティアの声-)おわぁぁぁぁぁぁぁぁぁぁぁぁ！！！			(-メ・ゼト・ティアの声-)おわぁぁぁぁぁぁぁぁぁぁぁぁ！！！			魂宿る宝玉							
今の声は……メ・ゼトかい？急ぐよ、Forename！			今の声は……メ・ゼトかい？急ぐよ、Forename！			魂宿る宝玉							
何なんだよ、お前！急に海から現れたと思ったら、いきなり刀を向けてきやがって！			何なんだよ、お前！急に海から現れたと思ったら、いきなり刀を向けてきやがって！			魂宿る宝玉							
拙者にとって、ツクモはどんなお宝にも代え難い大事な存在～！痛い目に遭いたくなければ、大人しく返すのだぁ～！			拙者にとって、ツクモはどんなお宝にも代え難い大事な存在～！痛い目に遭いたくなければ、大人しく返すのだぁ～！			魂宿る宝玉							
し、師匠、助けてください！この亀男が、意味のわからないことばかりまくし立ててきて……。			し、師匠、助けてください！この亀男が、意味のわからないことばかりまくし立ててきて……。			魂宿る宝玉							
おお、Forename殿ではないかぁ～！またお目にかかることができて、拙者は嬉しいぞぉ～！			おお、Forename殿ではないかぁ～！またお目にかかることができて、拙者は嬉しいぞぉ～！			魂宿る宝玉							
どうやら、こちらの御仁は、Forename殿のご友人のようだなぁ～。驚かせてしまい面目ない～。			どうやら、こちらの御仁は、Forename殿のご友人のようだなぁ～。驚かせてしまい面目ない～。			魂宿る宝玉							
気にすんなって！師匠の知り合いなら、オレのダチみたいなもんよ！			気にすんなって！師匠の知り合いなら、オレのダチみたいなもんよ！			魂宿る宝玉							
オレは、将来メ族を背負って立つ男、メ・ゼト・ティアだ。アンタは？			オレは、将来メ族を背負って立つ男、メ・ゼト・ティアだ。アンタは？			魂宿る宝玉							
碧の宝探衆で頭目を務める、カブトと申す～。			碧の宝探衆で頭目を務める、カブトと申す～。			魂宿る宝玉							
オレは、アラミゴ解放軍国境警備隊のジャ・オルミンだ。ところでカブト、どうしてアンタはメ・ゼトを襲ったんだい？			オレは、アラミゴ解放軍国境警備隊のジャ・オルミンだ。ところでカブト、どうしてアンタはメ・ゼトを襲ったんだい？			魂宿る宝玉							
メ・ゼト殿に刀を向けたことは、深く反省している～。拙者からツクモを奪っていった男とよく似た姿をしていたので、見間違えてしまったのだぁ～。			メ・ゼト殿に刀を向けたことは、深く反省している～。拙者からツクモを奪っていった男とよく似た姿をしていたので、見間違えてしまったのだぁ～。			魂宿る宝玉							
なあ、さっきからカブトが言ってる「ツクモ」って何のことだ？			なあ、さっきからカブトが言ってる「ツクモ」って何のことだ？			魂宿る宝玉							
ツクモは、拙者を正しき道に導いてくれた大事な仲間だぁ～。元々はカラクリ人形に宿った付喪神であったが、宝玉に姿を変えた今も、拙者を見守ってくれている～。			ツクモは、拙者を正しき道に導いてくれた大事な仲間だぁ～。元々はカラクリ人形に宿った付喪神であったが、宝玉に姿を変えた今も、拙者を見守ってくれている～。			魂宿る宝玉							
……そういえば、望海泉に現れたナザは、手に玉のような物を持っていたねぇ。もしかしたら、あれがカブトの言うツクモなのかもしれない。			……そういえば、望海泉に現れたナザは、手に玉のような物を持っていたねぇ。もしかしたら、あれがカブトの言うツクモなのかもしれない。			魂宿る宝玉							
ということは、カブトが襲われたのは、アルパが連れ去られる前ということになるねぇ。だとすると、これ以上、紅玉海を探すのは無駄か……。			ということは、カブトが襲われたのは、アルパが連れ去られる前ということになるねぇ。だとすると、これ以上、紅玉海を探すのは無駄か……。			魂宿る宝玉							
え、何でだ？			え、何でだ？			魂宿る宝玉							
アルパを連れたままの状態で、ツクモを奪い返そうとするカブトと出くわしたら面倒だろ？もしオレがナザなら、とっとと大陸側に逃げるだろうさ。			アルパを連れたままの状態で、ツクモを奪い返そうとするカブトと出くわしたら面倒だろ？もしオレがナザなら、とっとと大陸側に逃げるだろうさ。			魂宿る宝玉							
なるほど……ジャ・オルミン殿の言うことはもっともだぁ～。大陸側に上陸するとなれば、イサリ村の方へと、向かった可能性が高いはず～。			なるほど……ジャ・オルミン殿の言うことはもっともだぁ～。大陸側に上陸するとなれば、イサリ村の方へと、向かった可能性が高いはず～。			魂宿る宝玉							
よし、早速「イサリ村」で情報を集めようじゃないか。カブト、道案内してくれるかい？			よし、早速「イサリ村」で情報を集めようじゃないか。カブト、道案内してくれるかい？			魂宿る宝玉							
ここがイサリ村か、静かな漁村って感じだね。			ここがイサリ村か、静かな漁村って感じだね。			魂宿る宝玉							
よし、早速ナザの目撃情報を集めるよ！話を聞き終えたら、この場所に戻ってきてくれ。			よし、早速ナザの目撃情報を集めるよ！話を聞き終えたら、この場所に戻ってきてくれ。			魂宿る宝玉							
なんとしてもツクモを奪い返さねばぁ～。			なんとしてもツクモを奪い返さねばぁ～。			魂宿る宝玉							
何だって、仮面男はアルパを誘拐したんだ……？			何だって、仮面男はアルパを誘拐したんだ……？			魂宿る宝玉							
人魚を担いだ仮面の男を見ていないかって？悪いが、知らないね……。			人魚を担いだ仮面の男を見ていないかって？悪いが、知らないね……。			魂宿る宝玉							
だが、仮面をつけた男なら、小舟で渡ってきたのを見かけたよ。その後、姿は見かけないから、今頃はアジムステップか、ヤンサのどっちかじゃないかね。			だが、仮面をつけた男なら、小舟で渡ってきたのを見かけたよ。その後、姿は見かけないから、今頃はアジムステップか、ヤンサのどっちかじゃないかね。			魂宿る宝玉							
人魚を連れた怪しい男、ですか……。			人魚を連れた怪しい男、ですか……。			魂宿る宝玉							
そこまで不審な男は、生まれてこの方見たことがないですね……。お力になれず、すみません。			そこまで不審な男は、生まれてこの方見たことがないですね……。お力になれず、すみません。			魂宿る宝玉							
は？　人魚を連れた男？			は？　人魚を連れた男？			魂宿る宝玉							
人魚と言えば……クガネでは、三種の至宝と呼ばれている幻のお宝が有名で、その内のひとつが「人魚の肉」だと言われてる。			人魚と言えば……クガネでは、三種の至宝と呼ばれている幻のお宝が有名で、その内のひとつが「人魚の肉」だと言われてる。			魂宿る宝玉							
それに最近、クガネのさる名家の姫君が、結婚の持参金として、三種の至宝を揃えることを条件に挙げたって話を聞いたことがある。			それに最近、クガネのさる名家の姫君が、結婚の持参金として、三種の至宝を揃えることを条件に挙げたって話を聞いたことがある。			魂宿る宝玉							
とは言え、三種の至宝なんてただの伝承上の存在に過ぎん。その姫君は、よほど結婚したくないんだろうなぁ。			とは言え、三種の至宝なんてただの伝承上の存在に過ぎん。その姫君は、よほど結婚したくないんだろうなぁ。			魂宿る宝玉							
村の連中の話を聞き終えたら、さっきの場所まで戻ってきてくれ。			村の連中の話を聞き終えたら、さっきの場所まで戻ってきてくれ。			魂宿る宝玉							
みんな、ご苦労さん。早速だけど、集めた情報を聞かせてくれるかい？			みんな、ご苦労さん。早速だけど、集めた情報を聞かせてくれるかい？			魂宿る宝玉							
ふむ、ナザを目撃した者はいたが、行き先まではわからない、と。アルパを連れていないということは、イサリ村に来る前に、どこかに監禁したか……。			ふむ、ナザを目撃した者はいたが、行き先まではわからない、と。アルパを連れていないということは、イサリ村に来る前に、どこかに監禁したか……。			魂宿る宝玉							
三種の至宝の話も無関係ではなさそうだなぁ～。ひんがしの国では有名なお宝で、「人魚の肉」に加えて、「賢者のヒレ」と「魂宿る宝玉」の三種から成るとかぁ～。			三種の至宝の話も無関係ではなさそうだなぁ～。ひんがしの国では有名なお宝で、「人魚の肉」に加えて、「賢者のヒレ」と「魂宿る宝玉」の三種から成るとかぁ～。			魂宿る宝玉							
クガネの姫様との結婚が目的かはわからないけど、ナザが三種の至宝とやらを集めているのは間違いなさそうだねぇ。			クガネの姫様との結婚が目的かはわからないけど、ナザが三種の至宝とやらを集めているのは間違いなさそうだねぇ。			魂宿る宝玉							
おそらく「魂宿る宝玉」はツクモの宝玉のことだろう～。アルパ殿は、「人魚の肉」の代わりとして連れて行かれたかぁ～？			おそらく「魂宿る宝玉」はツクモの宝玉のことだろう～。アルパ殿は、「人魚の肉」の代わりとして連れて行かれたかぁ～？			魂宿る宝玉							
じゃあ、遅かれ早かれ、アルパはバラバラにされちまうってことか！？			じゃあ、遅かれ早かれ、アルパはバラバラにされちまうってことか！？			魂宿る宝玉							
縁起でもないこと言うんじゃないよ！そうなる前に……なんとしても助けるんだ！			縁起でもないこと言うんじゃないよ！そうなる前に……なんとしても助けるんだ！			魂宿る宝玉							
人魚を担いだ仮面の男を見ていないかって？悪いが、知らないね……。			人魚を担いだ仮面の男を見ていないかって？悪いが、知らないね……。			魂宿る宝玉							
だが、仮面をつけた男なら、小舟で渡ってきたのを見かけたよ。その後、姿は見かけないから、今頃はアジムステップか、ヤンサのどっちかじゃないかね。			だが、仮面をつけた男なら、小舟で渡ってきたのを見かけたよ。その後、姿は見かけないから、今頃はアジムステップか、ヤンサのどっちかじゃないかね。			魂宿る宝玉							
人魚を連れた怪しい男、ですか……。			人魚を連れた怪しい男、ですか……。			魂宿る宝玉							
そこまで不審な男は、生まれてこの方見たことがないですね……。お力になれず、すみません。			そこまで不審な男は、生まれてこの方見たことがないですね……。お力になれず、すみません。			魂宿る宝玉							
は？　人魚を連れた男？			は？　人魚を連れた男？			魂宿る宝玉							
人魚と言えば……クガネでは、三種の至宝と呼ばれている幻のお宝が有名で、その内のひとつが「人魚の肉」だと言われてる。			人魚と言えば……クガネでは、三種の至宝と呼ばれている幻のお宝が有名で、その内のひとつが「人魚の肉」だと言われてる。			魂宿る宝玉							
それに最近、クガネのさる名家の姫君が、結婚の持参金として、三種の至宝を揃えることを条件に挙げたって話を聞いたことがある。			それに最近、クガネのさる名家の姫君が、結婚の持参金として、三種の至宝を揃えることを条件に挙げたって話を聞いたことがある。			魂宿る宝玉							
とは言え、三種の至宝なんてただの伝承上の存在に過ぎん。その姫君は、よほど結婚したくないんだろうなぁ。			とは言え、三種の至宝なんてただの伝承上の存在に過ぎん。その姫君は、よほど結婚したくないんだろうなぁ。			魂宿る宝玉							
イサリ村のジャ・オルミンは、悩んでいるようだ。			イサリ村のジャ・オルミンは、悩んでいるようだ。			賢者のヒレ							
ジャ・オルミンと話した。賢者のヒレがナマズオ族を指していると推察した冒険者たちは、二手にわかれて、ジャ・オルミンとメ・ゼト・ティアはユヅカ代官屋敷へ、冒険者とカブトはドーロ・イローに向かうことに決めた。アジムステップのドーロ・イローにいる「カブト」と話そう。			ジャ・オルミンと話した。賢者のヒレがナマズオ族を指していると推察した冒険者たちは、二手にわかれて、ジャ・オルミンとメ・ゼト・ティアはユヅカ代官屋敷へ、冒険者とカブトはドーロ・イローに向かうことに決めた。アジムステップのドーロ・イローにいる「カブト」と話そう。			賢者のヒレ							
カブトと話していると、ギョシンと光風院セイゲツが現れた。次にナザ・ア・ジャーブが狙うのは、近々開催する奇祭で賢者役を務めるギョレイである可能性が高いようだ。明けの玉座の「指定地点」で見渡して、ギョレイを探そう。			カブトと話していると、ギョシンと光風院セイゲツが現れた。次にナザ・ア・ジャーブが狙うのは、近々開催する奇祭で賢者役を務めるギョレイである可能性が高いようだ。明けの玉座の「指定地点」で見渡して、ギョレイを探そう。			賢者のヒレ							
ギョレイがナザ・ア・ジャーブに連れ去られてしまった。明けの玉座の「ギョシン」と話そう。			ギョレイがナザ・ア・ジャーブに連れ去られてしまった。明けの玉座の「ギョシン」と話そう。			賢者のヒレ							
ギョシンと話した。まずは、光風院セイゲツに状況を報告しておきたいという。ドーロ・イローの「ギョシン」と話そう。			ギョシンと話した。まずは、光風院セイゲツに状況を報告しておきたいという。ドーロ・イローの「ギョシン」と話そう。			賢者のヒレ							
ギョシンと話した。光風院セイゲツとともに、ギョレイを取り戻すための秘策の準備をするという。一方、ギョレイを連れ去ったことで、三種の至宝をすべて揃えたナザ・ア・ジャーブの目的とは……。			ギョシンと話した。光風院セイゲツとともに、ギョレイを取り戻すための秘策の準備をするという。一方、ギョレイを連れ去ったことで、三種の至宝をすべて揃えたナザ・ア・ジャーブの目的とは……。			賢者のヒレ							
ドーロ・イローのカブトと話す			ドーロ・イローのカブトと話す			賢者のヒレ							
明けの玉座の指定地点で見渡す			明けの玉座の指定地点で見渡す			賢者のヒレ							
ギョシンと話す			ギョシンと話す			賢者のヒレ							
ドーロ・イローのギョシンと話す			ドーロ・イローのギョシンと話す			賢者のヒレ							
ナザの足跡についての情報は得たけど、アルパは紅玉海のどこかに監禁されている可能性が高い。この場合、どちらを探すのが正解か……。			ナザの足跡についての情報は得たけど、アルパは紅玉海のどこかに監禁されている可能性が高い。この場合、どちらを探すのが正解か……。			賢者のヒレ							
ならば、アルパ殿の居所は、宝探衆の仲間たちに連絡して探させてみよう～。			ならば、アルパ殿の居所は、宝探衆の仲間たちに連絡して探させてみよう～。			賢者のヒレ							
……この手でアルパを助け出せないのは悔しいけど、土地勘のないオレよりも、現地の者に任せたほうがいいか。オレたちは引き続きナザを追おう。			……この手でアルパを助け出せないのは悔しいけど、土地勘のないオレよりも、現地の者に任せたほうがいいか。オレたちは引き続きナザを追おう。			賢者のヒレ							
ナザが探している三種の至宝の内、まだ手に入れていないのは「賢者のヒレ」だっけか？			ナザが探している三種の至宝の内、まだ手に入れていないのは「賢者のヒレ」だっけか？			賢者のヒレ							
この際、至宝が実在するかどうかは、ナザにとっては重要じゃないらしいからな……。			この際、至宝が実在するかどうかは、ナザにとっては重要じゃないらしいからな……。			賢者のヒレ							
なぁ、Forename、ヒレのある賢者に心当たりはあるかい？			なぁ、Forename、ヒレのある賢者に心当たりはあるかい？			賢者のヒレ							
なんと答える？			なんと答える？			賢者のヒレ							
ナマズオ族の光風院セイゲツ！			ナマズオ族の光風院セイゲツ！			賢者のヒレ							
ナマズオ族のギョケイ！			ナマズオ族のギョケイ！			賢者のヒレ							
確かに、ヒトの言葉を操るナマズオ族は、ヒレを持つ賢者と言えるかもしれぬ～。			確かに、ヒトの言葉を操るナマズオ族は、ヒレを持つ賢者と言えるかもしれぬ～。			賢者のヒレ							
だけど、その者がいるというドーロ・イロー以外にも、ギョケイのようにヤンサのユヅカ代官屋敷を、根城にしているナマズオ族も多いぞぉ～？			だけど、その者がいるというドーロ・イロー以外にも、ギョケイのようにヤンサのユヅカ代官屋敷を、根城にしているナマズオ族も多いぞぉ～？			賢者のヒレ							
だけど、ギョケイたち以外にも、ドーロ・イローで祭りをやってるナマズオ族がいると、聞いたことがあるぞぉ～？			だけど、ギョケイたち以外にも、ドーロ・イローで祭りをやってるナマズオ族がいると、聞いたことがあるぞぉ～？			賢者のヒレ							
ナマズオ族の主な集落が二ヵ所あるなら、二手に分かれた方がよさそうだな。			ナマズオ族の主な集落が二ヵ所あるなら、二手に分かれた方がよさそうだな。			賢者のヒレ							
なら、オレとメ・ゼトで、ユヅカ代官屋敷に向かうよ。行き方なんかは、イサリ村の連中に聞くとするさ。			なら、オレとメ・ゼトで、ユヅカ代官屋敷に向かうよ。行き方なんかは、イサリ村の連中に聞くとするさ。			賢者のヒレ							
では、拙者たちは「ドーロ・イロー」に向かうとしよう～。			では、拙者たちは「ドーロ・イロー」に向かうとしよう～。			賢者のヒレ							
なんとしてもツクモを奪い返さねばぁ～。			なんとしてもツクモを奪い返さねばぁ～。			賢者のヒレ							
待ってろよ……アルパ！			待ってろよ……アルパ！			賢者のヒレ							
祭の噂は耳にしていたが、こんなにも賑やかだったとは、知らなかったぞぉ～。			祭の噂は耳にしていたが、こんなにも賑やかだったとは、知らなかったぞぉ～。			賢者のヒレ							
誰かと思えば、姐さん兄さんだっぺな！もしや、次の奇祭の噂を聞きつけて来てくれたっぺか？			誰かと思えば、姐さん兄さんだっぺな！もしや、次の奇祭の噂を聞きつけて来てくれたっぺか？			賢者のヒレ							
ふむ、詳しい説明が必要なようだな。この程、古典『東方三賢録』に記されていた、文明的な祭を模倣して、開催することになっているのだよ。			ふむ、詳しい説明が必要なようだな。この程、古典『東方三賢録』に記されていた、文明的な祭を模倣して、開催することになっているのだよ。			賢者のヒレ							
そこで集客のため、クガネやヤンサで、大いに喧伝して回っていたのだ。			そこで集客のため、クガネやヤンサで、大いに喧伝して回っていたのだ。			賢者のヒレ							
ところで、そちらはコウジン族と見受けるが……？			ところで、そちらはコウジン族と見受けるが……？			賢者のヒレ							
いかにも拙者は、コウジン族……碧の宝探衆で頭目を務める、カブトと申す～。			いかにも拙者は、コウジン族……碧の宝探衆で頭目を務める、カブトと申す～。			賢者のヒレ							
我ら「賢者のヒレ」を狙う悪漢を追い、はるばるアジムステップへと、やってきたのだぁ～。			我ら「賢者のヒレ」を狙う悪漢を追い、はるばるアジムステップへと、やってきたのだぁ～。			賢者のヒレ							
それは、かの歴史的資料『新古語拾遺』にも記されている、三種の至宝のひとつ、「賢者のヒレ」のことかね？なぜ、そのような代物がここにあると？			それは、かの歴史的資料『新古語拾遺』にも記されている、三種の至宝のひとつ、「賢者のヒレ」のことかね？なぜ、そのような代物がここにあると？			賢者のヒレ							
なるほど……Forename君が、この光風院セイゲツを、賢者のヒレの持ち主であると、そう考えたことも無理からぬことと言えような！			なるほど……Forename君が、この光風院セイゲツを、賢者のヒレの持ち主であると、そう考えたことも無理からぬことと言えような！			賢者のヒレ							
ギョフ……光風院セイゲツ、何を言ってるっぺな？次の奇祭で「賢者役」を務めるのは、揉めに揉めた末に、ギョレイにするって決めたはずっぺよ！？			ギョフ……光風院セイゲツ、何を言ってるっぺな？次の奇祭で「賢者役」を務めるのは、揉めに揉めた末に、ギョレイにするって決めたはずっぺよ！？			賢者のヒレ							
奇祭の「賢者役」とは、何のことだぁ～？詳しく聞かせてもらえぬかぁ～？			奇祭の「賢者役」とは、何のことだぁ～？詳しく聞かせてもらえぬかぁ～？			賢者のヒレ							
クッ……次に催す予定の奇祭は、かつて西方へと旅した、大賢者の旅程を現した、実に文化的な祭でな……。その仮装行列の「賢者役」にギョレイ君が選ばれたのだよ。			クッ……次に催す予定の奇祭は、かつて西方へと旅した、大賢者の旅程を現した、実に文化的な祭でな……。その仮装行列の「賢者役」にギョレイ君が選ばれたのだよ。			賢者のヒレ							
本来ならば、ナマズオ随一の読書家であり愛書家、歴史的名著『大鯰大祭記』の執筆者としても知られる、この俺、光風院セイゲツが選ばれるところを、ギョシン君が……			本来ならば、ナマズオ随一の読書家であり愛書家、歴史的名著『大鯰大祭記』の執筆者としても知られる、この俺、光風院セイゲツが選ばれるところを、ギョシン君が……			賢者のヒレ							
そうか！ナザは奇祭についての噂をどこかで耳にしたに違いない～！ゆえに、ヤツはアジムステップを目指していたのだぁ～！			そうか！ナザは奇祭についての噂をどこかで耳にしたに違いない～！ゆえに、ヤツはアジムステップを目指していたのだぁ～！			賢者のヒレ							
となれば、賢者役のギョレイ殿が狙われるは必然～！ギョレイ殿は、今どちらにおられるかぁ～！？			となれば、賢者役のギョレイ殿が狙われるは必然～！ギョレイ殿は、今どちらにおられるかぁ～！？			賢者のヒレ							
確か、奇祭で必要な神饌(しんせん)……供物を分けてもらいに、明けの玉座のオロニル族の下へと向かったはずだが……。			確か、奇祭で必要な神饌(しんせん)……供物を分けてもらいに、明けの玉座のオロニル族の下へと向かったはずだが……。			賢者のヒレ							
ならば、我らも急がねばぁ～！これ以上、ナザの悪行を許してはならぬ～！			ならば、我らも急がねばぁ～！これ以上、ナザの悪行を許してはならぬ～！			賢者のヒレ							
なんだかよくわからないけど、ギョレイが狙われてるっぺか？なら、オイラもヒレを貸すっぺよ！			なんだかよくわからないけど、ギョレイが狙われてるっぺか？なら、オイラもヒレを貸すっぺよ！			賢者のヒレ							
……全員で動くのは得策ではなかろう。俺は、ギョレイ君が戻ってくるのをここで待とう。貴君たちは「明けの玉座」へ向かってくれたまえ。			……全員で動くのは得策ではなかろう。俺は、ギョレイ君が戻ってくるのをここで待とう。貴君たちは「明けの玉座」へ向かってくれたまえ。			賢者のヒレ							
この連中がナマズオ族かい？なんだか、可愛いような気持ち悪いような……。とても、賢者には思えないがねぇ……。			この連中がナマズオ族かい？なんだか、可愛いような気持ち悪いような……。とても、賢者には思えないがねぇ……。			賢者のヒレ							
うぺぺぺぺっ、師匠！オレの様子を見にきてくれたっぺか？			うぺぺぺぺっ、師匠！オレの様子を見にきてくれたっぺか？			賢者のヒレ							
……はっ！こいつらの口調が感染っちまったっぺよ……			……はっ！こいつらの口調が感染っちまったっぺよ……			賢者のヒレ							
いや～、こんなに食材を分けてもらえて助かったっぺよ。オロニル族はえらく気前がいいっぺな。			いや～、こんなに食材を分けてもらえて助かったっぺよ。オロニル族はえらく気前がいいっぺな。			賢者のヒレ							
あら、あたしに何か用っぺか？			あら、あたしに何か用っぺか？			賢者のヒレ							
このバカづらが賢者だと？そうは思えんが「ヒレ」はあるか……見てくれがそれらしければ、奴も納得するはずだ。			このバカづらが賢者だと？そうは思えんが「ヒレ」はあるか……見てくれがそれらしければ、奴も納得するはずだ。			賢者のヒレ							
うぺぺぺぺ！何するっぺな！？			うぺぺぺぺ！何するっぺな！？			賢者のヒレ							
あ～～～～～れ～～～～～だっぺな～～～～～！！			あ～～～～～れ～～～～～だっぺな～～～～～！！			賢者のヒレ							
ま、待つっぺよ！			ま、待つっぺよ！			賢者のヒレ							
ど、ど、ど、どうしようっぺな！逃げられてしまったっぺよ！			ど、ど、ど、どうしようっぺな！逃げられてしまったっぺよ！			賢者のヒレ							
急いでギョレイを探すっぺよ！			急いでギョレイを探すっぺよ！			賢者のヒレ							
ナザよりも早くギョレイ殿を見つけなければぁ～。			ナザよりも早くギョレイ殿を見つけなければぁ～。			賢者のヒレ							
うぺぺぺぺっ！ギョレイが連れ去られてしまったっぺよ！カブトが言ってたことは本当だったっぺな！			うぺぺぺぺっ！ギョレイが連れ去られてしまったっぺよ！カブトが言ってたことは本当だったっぺな！			賢者のヒレ							
ともかく、ユヅカ代官屋敷へ向かったふたりに連絡しなければぁ～。Forename殿、お願いできるかぁ～？			ともかく、ユヅカ代官屋敷へ向かったふたりに連絡しなければぁ～。Forename殿、お願いできるかぁ～？			賢者のヒレ							
(-ジャ・オルミンの声-)オルミンだ。何かあったのかい？			(-ジャ・オルミンの声-)オルミンだ。何かあったのかい？			賢者のヒレ							
(-ジャ・オルミンの声-)ギョレイというナマズオ族がさらわれた？なら、これでヤツは三種の至宝をすべて揃えたことになるわけだ。			(-ジャ・オルミンの声-)ギョレイというナマズオ族がさらわれた？なら、これでヤツは三種の至宝をすべて揃えたことになるわけだ。			賢者のヒレ							
(-ジャ・オルミンの声-)ヤツの行動の目的が、クガネの姫君との婚姻が無関係ではないと考えた場合……ナザが再びクガネに現れる公算は高いと思う。			(-ジャ・オルミンの声-)ヤツの行動の目的が、クガネの姫君との婚姻が無関係ではないと考えた場合……ナザが再びクガネに現れる公算は高いと思う。			賢者のヒレ							
(-ジャ・オルミンの声-)そうなれば、ナザはクガネに戻る道中で、何処かに監禁したアルパを回収するかもしれないねぇ……。オレとメ・ゼトが先回りしてクガネへ戻り、ナザを待ち伏せするよ。			(-ジャ・オルミンの声-)そうなれば、ナザはクガネに戻る道中で、何処かに監禁したアルパを回収するかもしれないねぇ……。オレとメ・ゼトが先回りしてクガネへ戻り、ナザを待ち伏せするよ。			賢者のヒレ							
(-ジャ・オルミンの声-)Forenameたちも、後から来てくれ。落ち合う場所は、そうだな……望海楼にしよう。			(-ジャ・オルミンの声-)Forenameたちも、後から来てくれ。落ち合う場所は、そうだな……望海楼にしよう。			賢者のヒレ							
ジャ・オルミン殿は、なんとぉ～？			ジャ・オルミン殿は、なんとぉ～？			賢者のヒレ							
おお、クガネにてナザを待ち伏せるとなぁ～。ならば、我らも急ぎ戻らねばぁ～！			おお、クガネにてナザを待ち伏せるとなぁ～。ならば、我らも急ぎ戻らねばぁ～！			賢者のヒレ							
ちょっと待ってほしいっぺな。その前にドーロ・イローのギョフ……光風院セイゲツに、状況を伝えておきたいっぺよ！			ちょっと待ってほしいっぺな。その前にドーロ・イローのギョフ……光風院セイゲツに、状況を伝えておきたいっぺよ！			賢者のヒレ							
では、そうしよう～。「光風院セイゲツ」殿も、心配しておられるだろうからなぁ～。			では、そうしよう～。「光風院セイゲツ」殿も、心配しておられるだろうからなぁ～。			賢者のヒレ							
おのれ……ナザ・ア・ジャーブ～！			おのれ……ナザ・ア・ジャーブ～！			賢者のヒレ							
光風院セイゲツを呼んでくるから、少し待っていてほしいっぺな！			光風院セイゲツを呼んでくるから、少し待っていてほしいっぺな！			賢者のヒレ							
コトのあらましは、ギョシン君から聞いている。大変なことになったものだ。それで、貴君たちは、どう動くつもりだね？			コトのあらましは、ギョシン君から聞いている。大変なことになったものだ。それで、貴君たちは、どう動くつもりだね？			賢者のヒレ							
