テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
エルヴォワと合流した。彼はオ・ベン・ティアから雑用をまたしても任されたことに、とても不満を感じているようだが……。			エルヴォワと合流した。彼はオ・ベン・ティアから雑用をまたしても任されたことに、とても不満を感じているようだが……。			口より手を							
チョコボの森の南東でチョコボトラップを討伐			チョコボの森の南東でチョコボトラップを討伐			口より手を							
エルヴォワに報告			エルヴォワに報告			口より手を							
オ・ベン・ティアに報告			オ・ベン・ティアに報告			口より手を							
エルヴォワと合流			エルヴォワと合流			口より手を							
あなた、冒険者さんっすよね……？ちょっとお願いしたいことがあるんすけど、頼まれてくれませんか？			あなた、冒険者さんっすよね……？ちょっとお願いしたいことがあるんすけど、頼まれてくれませんか？			口より手を							
チョコボを襲う、「チョコボトラップ」って魔物がいるんす。先輩たちが、まめに駆除してるんすけど、さっき、南東にあるキャンプの高台に現れちゃったみたいで……。			チョコボを襲う、「チョコボトラップ」って魔物がいるんす。先輩たちが、まめに駆除してるんすけど、さっき、南東にあるキャンプの高台に現れちゃったみたいで……。			口より手を							
そしたら、ひどいんすよ。相方の先輩が、俺に「魔物を狩ってこい」って言ったんです。そんなの、チョコボ猟師の仕事じゃないっすよ……。			そしたら、ひどいんすよ。相方の先輩が、俺に「魔物を狩ってこい」って言ったんです。そんなの、チョコボ猟師の仕事じゃないっすよ……。			口より手を							
でも、冒険者さんはそういうの得意っすよね？少しなら報酬も出せますから、代わりにやってくれません？			でも、冒険者さんはそういうの得意っすよね？少しなら報酬も出せますから、代わりにやってくれません？			口より手を							
ありがとうっす！魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			ありがとうっす！魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			口より手を							
魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			口より手を							
あ、冒険者さん！チョコボトラップの駆除をやってくれたんっすね！			あ、冒険者さん！チョコボトラップの駆除をやってくれたんっすね！			口より手を							
ほんっとうにありがとうございまっす！じゃ、さっそく先輩に報告しにいってきまっす！			ほんっとうにありがとうございまっす！じゃ、さっそく先輩に報告しにいってきまっす！			口より手を							
ああ、報酬はあとで渡しますね！よかった、俺がやらずに済んだ～！いやっほ～う！			ああ、報酬はあとで渡しますね！よかった、俺がやらずに済んだ～！いやっほ～う！			口より手を							
……あっ、冒険者さん。これから、報告するんっすから、報酬はそのあとで！			……あっ、冒険者さん。これから、報告するんっすから、報酬はそのあとで！			口より手を							
先輩！　頼まれた駆除をやってきやした！マジで、すげぇ大変だったっす。でも、ちゃ～んとやってきたっすよ！			先輩！　頼まれた駆除をやってきやした！マジで、すげぇ大変だったっす。でも、ちゃ～んとやってきたっすよ！			口より手を							
……あっ、冒険者さん。今、報告中なんっすから、報酬はまだ……。			……あっ、冒険者さん。今、報告中なんっすから、報酬はまだ……。			口より手を							
ん、どうかしたか？報酬……とか言わなかったか？			ん、どうかしたか？報酬……とか言わなかったか？			口より手を							
い、いやいや！なんでもないっすよ、空耳じゃないっすか～？あはは……。			い、いやいや！なんでもないっすよ、空耳じゃないっすか～？あはは……。			口より手を							
まぁ、思ったより早かったな。それじゃあ……こっちも頼む、ホイ。			まぁ、思ったより早かったな。それじゃあ……こっちも頼む、ホイ。			口より手を							
……これ、また雑用の指示書！？猟以外の仕事は、やりたくないっすよ～！			……これ、また雑用の指示書！？猟以外の仕事は、やりたくないっすよ～！			口より手を							
ぐだぐだとうるせぇな。口動かしてる暇あるなら、さっさと行ってこい！指示書には、3つ指示を書いてあるからな！			ぐだぐだとうるせぇな。口動かしてる暇あるなら、さっさと行ってこい！指示書には、3つ指示を書いてあるからな！			口より手を							
はぁ……了解っす……。			はぁ……了解っす……。			口より手を							
それにしても、エルヴォワのやつ、思ったより早かったな。本当にちゃんとやってきたんだろうな……？			それにしても、エルヴォワのやつ、思ったより早かったな。本当にちゃんとやってきたんだろうな……？			口より手を							
ったく……信じらんねーよ、何なんだよまったく……。マジでありえねーっつうの……。			ったく……信じらんねーよ、何なんだよまったく……。マジでありえねーっつうの……。			口より手を							
……あぁ、そういや報酬をお渡ししてなかったっすね。すいませんっした、これをどーぞ。どうも、ありがとうございました～！			……あぁ、そういや報酬をお渡ししてなかったっすね。すいませんっした、これをどーぞ。どうも、ありがとうございました～！			口より手を							
は～、次の雑用指示書……それも3つかあ。見るの、いやだなぁ。			は～、次の雑用指示書……それも3つかあ。見るの、いやだなぁ。			口より手を							
テイルフェザーのマルスシャンは、樹木を気にかけているようだ。			テイルフェザーのマルスシャンは、樹木を気にかけているようだ。			樹木の保護							
マルスシャンにドラヴァニア・スラッグの駆除を頼まれた。高地ドラヴァニアのチョコボの森の「蝕まれた樹木」で「香り立つ濁水」を使い、寄ってきた「ドラヴァニア・スラッグ」を3体討伐しよう。			マルスシャンにドラヴァニア・スラッグの駆除を頼まれた。高地ドラヴァニアのチョコボの森の「蝕まれた樹木」で「香り立つ濁水」を使い、寄ってきた「ドラヴァニア・スラッグ」を3体討伐しよう。			樹木の保護							
ドラヴァニア・スラッグを討伐した。テイルフェザーの「マルスシャン」に報告しよう。			ドラヴァニア・スラッグを討伐した。テイルフェザーの「マルスシャン」に報告しよう。			樹木の保護							
マルスシャンに報告した。ドラヴァニア・スラッグは木を蝕み、森を弱らせてしまうという。そうなると良いチョコボが寄り付かなくなるため、彼らはドラヴァニア・スラッグを討伐して森を守っているらしい。			マルスシャンに報告した。ドラヴァニア・スラッグは木を蝕み、森を弱らせてしまうという。そうなると良いチョコボが寄り付かなくなるため、彼らはドラヴァニア・スラッグを討伐して森を守っているらしい。			樹木の保護							
蝕まれた樹木で香り立つ濁水を使いドラヴァニア・スラッグを討伐			蝕まれた樹木で香り立つ濁水を使いドラヴァニア・スラッグを討伐			樹木の保護							
マルスシャンに報告			マルスシャンに報告			樹木の保護							
急ぎ頼みたい仕事があるんだが、やってみる気はないか？この辺りの樹木に、スラッグが棲み着いてるもんで、その駆除を頼みたいんだ。			急ぎ頼みたい仕事があるんだが、やってみる気はないか？この辺りの樹木に、スラッグが棲み着いてるもんで、その駆除を頼みたいんだ。			樹木の保護							
奴らは木を蝕み、森を弱らせてしまう。仲間にも頼んでいるが、なにぶん人手不足でな。			奴らは木を蝕み、森を弱らせてしまう。仲間にも頼んでいるが、なにぶん人手不足でな。			樹木の保護							
ここから南に行った付近が手薄なんだ。樹木の根元に、この「香り立つ濁水」を撒けば、「ドラヴァニア・スラッグ」が姿を見せるはずだからよ。			ここから南に行った付近が手薄なんだ。樹木の根元に、この「香り立つ濁水」を撒けば、「ドラヴァニア・スラッグ」が姿を見せるはずだからよ。			樹木の保護							
ここから南に行った付近が手薄なんだ。樹木の根元に、この「香り立つ濁水」を撒けば、「ドラヴァニア・スラッグ」が姿を見せるはずだからよ。			ここから南に行った付近が手薄なんだ。樹木の根元に、この「香り立つ濁水」を撒けば、「ドラヴァニア・スラッグ」が姿を見せるはずだからよ。			樹木の保護							
おお、戻ってきたか。放っておいたら森が弱ってしまうからな、本当に助かった。			おお、戻ってきたか。放っておいたら森が弱ってしまうからな、本当に助かった。			樹木の保護							
この辺りにチョコボを含めた獣が多いのは、樹冠によって、上空のドラゴン族から守られているせいさ。だからこそ、森を守るのも、大切な仕事ってわけだ。			この辺りにチョコボを含めた獣が多いのは、樹冠によって、上空のドラゴン族から守られているせいさ。だからこそ、森を守るのも、大切な仕事ってわけだ。			樹木の保護							
……ところで、例の濁水で汚れたなら、手をよく洗っとけよ？なにせあれはチョコボの……いや、気にするな。ハハハハハ！			……ところで、例の濁水で汚れたなら、手をよく洗っとけよ？なにせあれはチョコボの……いや、気にするな。ハハハハハ！			樹木の保護							
テイルフェザー周辺キャンプの猟師は、ウィロームリバーの上流を気にしているようだ。			テイルフェザー周辺キャンプの猟師は、ウィロームリバーの上流を気にしているようだ。			森に棲まう獣							
テイルフェザーの猟師にブラウンベアー退治を頼まれた。高地ドラヴァニアの悲嘆の飛泉で「ブラウンベアー」を4体討伐しよう。			テイルフェザーの猟師にブラウンベアー退治を頼まれた。高地ドラヴァニアの悲嘆の飛泉で「ブラウンベアー」を4体討伐しよう。			森に棲まう獣							
ブラウンベアーを討伐した。テイルフェザー周辺キャンプの「テイルフェザーの猟師」に報告しよう。			ブラウンベアーを討伐した。テイルフェザー周辺キャンプの「テイルフェザーの猟師」に報告しよう。			森に棲まう獣							
テイルフェザーの猟師に報告した。これでブラウンベアーに悩まされることなく狩りが出来るだろう。			テイルフェザーの猟師に報告した。これでブラウンベアーに悩まされることなく狩りが出来るだろう。			森に棲まう獣							
ブラウンベアーを討伐			ブラウンベアーを討伐			森に棲まう獣							
テイルフェザーの猟師に報告			テイルフェザーの猟師に報告			森に棲まう獣							
なぁ、お前さん、ウィロームリバーの上流まで行ったことはあるか？あの辺りにブラウンベアーが出没して困ってるんだよ。			なぁ、お前さん、ウィロームリバーの上流まで行ったことはあるか？あの辺りにブラウンベアーが出没して困ってるんだよ。			森に棲まう獣							
本当は、上流にある滝つぼあたりに隠れて、水を飲みにくるチョコボを狙いたいんだが……。			本当は、上流にある滝つぼあたりに隠れて、水を飲みにくるチョコボを狙いたいんだが……。			森に棲まう獣							
4体ほど「ブラウンベアー」を倒してくれれば、狩りをする間の安全は、確保できると思うんだ。もちろん、報酬はちゃんと支払うから、頼むな？			4体ほど「ブラウンベアー」を倒してくれれば、狩りをする間の安全は、確保できると思うんだ。もちろん、報酬はちゃんと支払うから、頼むな？			森に棲まう獣							
4体ほど「ブラウンベアー」を倒してくれれば、狩りをする間の安全は、確保できると思うんだ。もちろん、報酬はちゃんと支払うから、頼むな？			4体ほど「ブラウンベアー」を倒してくれれば、狩りをする間の安全は、確保できると思うんだ。もちろん、報酬はちゃんと支払うから、頼むな？			森に棲まう獣							
倒してきてくれたのか、ありがとうな！矢の仕込みもできたから、もう少し暖まったら狩りに行くとするぜ！			倒してきてくれたのか、ありがとうな！矢の仕込みもできたから、もう少し暖まったら狩りに行くとするぜ！			森に棲まう獣							
テイルフェザーのレマクロンは、何かに怯えているようだ。			テイルフェザーのレマクロンは、何かに怯えているようだ。			ドラゴン族の影							
レマクロンが見たというドラゴン族を確認してくるように頼まれた。高地ドラヴァニアのメアズオウス遺跡に向かい、「指定地点」で見渡そう。			レマクロンが見たというドラゴン族を確認してくるように頼まれた。高地ドラヴァニアのメアズオウス遺跡に向かい、「指定地点」で見渡そう。			ドラゴン族の影							
指定地点で見渡した。メアズオウス遺跡には、ドラゴン族の彫像が残されていた。テイルフェザーの「レマクロン」に、その事を伝えよう。			指定地点で見渡した。メアズオウス遺跡には、ドラゴン族の彫像が残されていた。テイルフェザーの「レマクロン」に、その事を伝えよう。			ドラゴン族の影							
レマクロンに報告した。彼は、ドラゴン族を模した彫像を、本物と見間違えたらしい。テイルフェザー北西一帯の遺跡は、異端者が造ったものだという噂があるため、あまり近づかないようにしているそうだ。			レマクロンに報告した。彼は、ドラゴン族を模した彫像を、本物と見間違えたらしい。テイルフェザー北西一帯の遺跡は、異端者が造ったものだという噂があるため、あまり近づかないようにしているそうだ。			ドラゴン族の影							
指定地点で見渡す			指定地点で見渡す			ドラゴン族の影							
レマクロンに報告			レマクロンに報告			ドラゴン族の影							
さて、もう少し暖まったら狩りに行くとするぜ！			さて、もう少し暖まったら狩りに行くとするぜ！			ドラゴン族の影							
まさかな、あんな場所に奴らがいるわけ……。あぁ、冒険者か……ちょうどいい、聞いてほしい話があるんだ。			まさかな、あんな場所に奴らがいるわけ……。あぁ、冒険者か……ちょうどいい、聞いてほしい話があるんだ。			ドラゴン族の影							
実は、夕暮れ時に道に迷って、遺跡に迷い込んじまったんだが、そこで見たんだよ……2体のドラゴン族の影をな！本当にいるなら大事だ……様子を見て来てくれないか？			実は、夕暮れ時に道に迷って、遺跡に迷い込んじまったんだが、そこで見たんだよ……2体のドラゴン族の影をな！本当にいるなら大事だ……様子を見て来てくれないか？			ドラゴン族の影							
実は、夕暮れ時に道に迷って、遺跡に迷い込んじまったんだが、そこで見たんだよ……2体のドラゴン族の影をな！本当にいるなら大事だ……様子を見て来てくれないか？			実は、夕暮れ時に道に迷って、遺跡に迷い込んじまったんだが、そこで見たんだよ……2体のドラゴン族の影をな！本当にいるなら大事だ……様子を見て来てくれないか？			ドラゴン族の影							
ドラゴン族を模した彫像がある……。どうやらレマクロンは、この彫像の影をドラゴン族だと勘違いしたようだ……。			ドラゴン族を模した彫像がある……。どうやらレマクロンは、この彫像の影をドラゴン族だと勘違いしたようだ……。			ドラゴン族の影							
どどど、どうだった！？……えっ、ただの彫像だったって！？…………なんだ…………よかった。			どどど、どうだった！？……えっ、ただの彫像だったって！？…………なんだ…………よかった。			ドラゴン族の影							
ここの北西一帯の遺跡は、ドラゴン族に味方する異端者が造ったという噂でさ。下手すりゃ、近寄るだけで、異端者だと思われちまう。			ここの北西一帯の遺跡は、ドラゴン族に味方する異端者が造ったという噂でさ。下手すりゃ、近寄るだけで、異端者だと思われちまう。			ドラゴン族の影							
そんな場所だったから、なるべく行かないようにしてたんだ。とりあえず何もないみたいで安心したよ、ありがとう。			そんな場所だったから、なるべく行かないようにしてたんだ。とりあえず何もないみたいで安心したよ、ありがとう。			ドラゴン族の影							
悲嘆の飛泉にいる困り果てた猟師は、涙目で滝つぼを見ているようだ。			悲嘆の飛泉にいる困り果てた猟師は、涙目で滝つぼを見ているようだ。			泉での落としもの							
困り果てた猟師から落とした武器の探索を頼まれた。高地ドラヴァニアの悲嘆の飛泉のどこかにある「木製の猟弓」を見つけてこよう。			困り果てた猟師から落とした武器の探索を頼まれた。高地ドラヴァニアの悲嘆の飛泉のどこかにある「木製の猟弓」を見つけてこよう。			泉での落としもの							
木製の猟弓を発見した。悲嘆の飛泉にいる「困り果てた猟師」に「木製の猟弓」を渡そう。			木製の猟弓を発見した。悲嘆の飛泉にいる「困り果てた猟師」に「木製の猟弓」を渡そう。			泉での落としもの							
困り果てた猟師に木製の猟弓を渡した。木製の猟弓は、滝に揉まれている間に弦が伸びてしまったため、テイルフェザーで修理するようだ。			困り果てた猟師に木製の猟弓を渡した。木製の猟弓は、滝に揉まれている間に弦が伸びてしまったため、テイルフェザーで修理するようだ。			泉での落としもの							
木製の猟弓を入手			木製の猟弓を入手			泉での落としもの							
困り果てた猟師に木製の猟弓を渡す			困り果てた猟師に木製の猟弓を渡す			泉での落としもの							
うわぁっ……って人か、驚かさないでください。さっきも獣に驚いて、愛用の弓を落としちゃったんですから……。			うわぁっ……って人か、驚かさないでください。さっきも獣に驚いて、愛用の弓を落としちゃったんですから……。			泉での落としもの							
探しに行こうにも、武器がないから危険だし……。……あの、よければ、私の弓を見つけてきてくれませんか？			探しに行こうにも、武器がないから危険だし……。……あの、よければ、私の弓を見つけてきてくれませんか？			泉での落としもの							
「悲嘆の飛泉」付近に、「木製の猟弓」が落ちていると思うんです。どうか、よろしくお願いしますね。			「悲嘆の飛泉」付近に、「木製の猟弓」が落ちていると思うんです。どうか、よろしくお願いしますね。			泉での落としもの							
「悲嘆の飛泉」付近に、「木製の猟弓」が落ちていると思うんです。どうか、よろしくお願いしますね。			「悲嘆の飛泉」付近に、「木製の猟弓」が落ちていると思うんです。どうか、よろしくお願いしますね。			泉での落としもの							
「悲嘆の飛泉」付近に、「木製の猟弓」があると思うんです。どうか、よろしくお願いしますね。			「悲嘆の飛泉」付近に、「木製の猟弓」があると思うんです。どうか、よろしくお願いしますね。			泉での落としもの							
それ！　私の武器……！本当に見つけてくれたんですね！ありがとうございます！			それ！　私の武器……！本当に見つけてくれたんですね！ありがとうございます！			泉での落としもの							
……あれ、これ弦が伸びちゃって、張り替えないと使い物になりませんね……。うぅ、テイルフェザーで修理してこよう。			……あれ、これ弦が伸びちゃって、張り替えないと使い物になりませんね……。うぅ、テイルフェザーで修理してこよう。			泉での落としもの							
テイルフェザーのエルヴォワは、先輩から任された仕事を押しつける気満々のようだ。			テイルフェザーのエルヴォワは、先輩から任された仕事を押しつける気満々のようだ。			見慣れぬ魔物							
エルヴォワが先輩に依頼されたのは、見慣れない魔物の討伐だったようだ。魔物についての情報を探るため、高地ドラヴァニアのチョコボの森の東にあるキャンプで、「ゲナレ」と話そう。			エルヴォワが先輩に依頼されたのは、見慣れない魔物の討伐だったようだ。魔物についての情報を探るため、高地ドラヴァニアのチョコボの森の東にあるキャンプで、「ゲナレ」と話そう。			見慣れぬ魔物							
ゲナレによれば、大きな蜘蛛のような魔物を見かけたという。チョコボの森の東にあるキャンプ付近を見回り、現れた魔物を討伐しよう。			ゲナレによれば、大きな蜘蛛のような魔物を見かけたという。チョコボの森の東にあるキャンプ付近を見回り、現れた魔物を討伐しよう。			見慣れぬ魔物							
魔物を発見し、討伐した。テイルフェザーで「エルヴォワ」に報告しよう。			魔物を発見し、討伐した。テイルフェザーで「エルヴォワ」に報告しよう。			見慣れぬ魔物							
エルヴォワに報告した。エルヴォワは依頼の危険さに驚き、先輩が自分を嫌っているのではないかと疑い始めたようだ……。			エルヴォワに報告した。エルヴォワは依頼の危険さに驚き、先輩が自分を嫌っているのではないかと疑い始めたようだ……。			見慣れぬ魔物							
ゲナレと話す			ゲナレと話す			見慣れぬ魔物							
魔物を討伐			魔物を討伐			見慣れぬ魔物							
エルヴォワに報告			エルヴォワに報告			見慣れぬ魔物							
はあ……気が進まないけど、先輩の雑用指示書を見るかぁ。どれどれ……？			はあ……気が進まないけど、先輩の雑用指示書を見るかぁ。どれどれ……？			見慣れぬ魔物							
「東にあるキャンプ付近で、見慣れない魔物の報告があった。　放っておいて面倒になったら困る、駆除してこい」……。			「東にあるキャンプ付近で、見慣れない魔物の報告があった。　放っておいて面倒になったら困る、駆除してこい」……。			見慣れぬ魔物							
……あ～あ、やっぱり雑用かよ。いつになったら、チョコボ狩りをさせてくれるんだ。こういうのは、優秀な冒険者さんに……ね？			……あ～あ、やっぱり雑用かよ。いつになったら、チョコボ狩りをさせてくれるんだ。こういうのは、優秀な冒険者さんに……ね？			見慣れぬ魔物							
お願いしまっす！　お礼は勿論しまっす！これ、やってきてもらえませんか？			お願いしまっす！　お礼は勿論しまっす！これ、やってきてもらえませんか？			見慣れぬ魔物							
ここから東に行ったところに、キャンプがあります。魔物の情報は、そこのゲナレさんに聞くといいっす！冒険者さん、よろしくお願いしやっす！			ここから東に行ったところに、キャンプがあります。魔物の情報は、そこのゲナレさんに聞くといいっす！冒険者さん、よろしくお願いしやっす！			見慣れぬ魔物							
ここから東に行ったところに、キャンプがあります。冒険者さん、よろしくお願いしやっす！			ここから東に行ったところに、キャンプがあります。冒険者さん、よろしくお願いしやっす！			見慣れぬ魔物							
……見慣れない魔物を探しているんですか？そういえば、大きい蜘蛛みたいな魔物を、北で見かけました。			……見慣れない魔物を探しているんですか？そういえば、大きい蜘蛛みたいな魔物を、北で見かけました。			見慣れぬ魔物							
駆除しようと思ったら、オ・ベン・ティアさんが割り込んできて、「俺の後輩にやらせるから、お前はやらないでくれ～」……って言ってきたんです、なんででしょうね？			駆除しようと思ったら、オ・ベン・ティアさんが割り込んできて、「俺の後輩にやらせるから、お前はやらないでくれ～」……って言ってきたんです、なんででしょうね？			見慣れぬ魔物							
大きい蜘蛛みたいな魔物を、北で見かけましたよ。			大きい蜘蛛みたいな魔物を、北で見かけましたよ。			見慣れぬ魔物							
あ、冒険者さん！魔物の駆除、どうでしたか！？			あ、冒険者さん！魔物の駆除、どうでしたか！？			見慣れぬ魔物							
蜘蛛みたいな魔物……うっわ、気持ち悪ぅ……。ってか、ゲナレさんが言っていたことが本当なら、先輩はわざわざ、そいつを俺に倒させようとしてた……？			蜘蛛みたいな魔物……うっわ、気持ち悪ぅ……。ってか、ゲナレさんが言っていたことが本当なら、先輩はわざわざ、そいつを俺に倒させようとしてた……？			見慣れぬ魔物							
……もしかして俺、先輩から嫌われてるんっすかね？			……もしかして俺、先輩から嫌われてるんっすかね？			見慣れぬ魔物							
まぁ、それは置いとくとして……。代わりに討伐してくれて、ありがとうございました～！			まぁ、それは置いとくとして……。代わりに討伐してくれて、ありがとうございました～！			見慣れぬ魔物							
テイルフェザーのエルヴォワは、先輩から任された仕事を丸投げするつもりのようだ。			テイルフェザーのエルヴォワは、先輩から任された仕事を丸投げするつもりのようだ。			森の清掃							
エルヴォワに、ゴミ拾いの雑用を丸投げされた。高地ドラヴァニアの、チョコボの森の北東にあるキャンプで「エムベル」と話そう。			エルヴォワに、ゴミ拾いの雑用を丸投げされた。高地ドラヴァニアの、チョコボの森の北東にあるキャンプで「エムベル」と話そう。			森の清掃							
エムベルと話した。問題のゴミを捨てたのは、猟師くずれの無法な連中のようだ。チョコボの森の北東にあるキャンプ付近で「荒くれの無法者」と話し、襲われたら懲らしめよう。			エムベルと話した。問題のゴミを捨てたのは、猟師くずれの無法な連中のようだ。チョコボの森の北東にあるキャンプ付近で「荒くれの無法者」と話し、襲われたら懲らしめよう。			森の清掃							
荒くれの無法者が呼んだ仲間を倒した。チョコボの森の北東にあるキャンプ付近で、「荒くれの無法者」を問いつめよう。			荒くれの無法者が呼んだ仲間を倒した。チョコボの森の北東にあるキャンプ付近で、「荒くれの無法者」を問いつめよう。			森の清掃							
荒くれの無法者を問いつめ、ゴミ掃除を命じた。テイルフェザーの「エルヴォワ」に報告しよう。			荒くれの無法者を問いつめ、ゴミ掃除を命じた。テイルフェザーの「エルヴォワ」に報告しよう。			森の清掃							
エルヴォワに報告した。エルヴォワは、雑用ばかり押しつける先輩の真意がつかめず、納得がいかないようだ。			エルヴォワに報告した。エルヴォワは、雑用ばかり押しつける先輩の真意がつかめず、納得がいかないようだ。			森の清掃							
エムベルと話す			エムベルと話す			森の清掃							
荒くれの無法者と話し、襲われたら討伐			荒くれの無法者と話し、襲われたら討伐			森の清掃							
荒くれの無法者と再度話す			荒くれの無法者と再度話す			森の清掃							
エルヴォワに報告			エルヴォワに報告			森の清掃							
はぁ……先輩は、俺に何をやれって言うんだぁ？			はぁ……先輩は、俺に何をやれって言うんだぁ？			森の清掃							
「北東のキャンプ周辺に、多数のゴミが落ちていた。　拾って片付けてこい」……。			「北東のキャンプ周辺に、多数のゴミが落ちていた。　拾って片付けてこい」……。			森の清掃							
なるほどね、ゴミ拾いね～！って、俺は森のゴミ拾いをしにきたんじゃねえっての！俺は、猟師なの！			なるほどね、ゴミ拾いね～！って、俺は森のゴミ拾いをしにきたんじゃねえっての！俺は、猟師なの！			森の清掃							
……冒険者さん、ちょっとお時間あったりしませんか？例によって、片付け、お願いできませんか？			……冒険者さん、ちょっとお時間あったりしませんか？例によって、片付け、お願いできませんか？			森の清掃							
ありがとうっす！キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			ありがとうっす！キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			森の清掃							
キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			キャンプは、ここから北東に行ったところにあります。詳細は、猟師のエムベルさんに聞くといいっす！			森の清掃							
あぁ、ゴミのことか……。しょうがねぇから拾っておこうかと思ったら、オ・ベン・ティアに止められてさ、放置したままだぞ。			あぁ、ゴミのことか……。しょうがねぇから拾っておこうかと思ったら、オ・ベン・ティアに止められてさ、放置したままだぞ。			森の清掃							
大方、チョコボを求めてやってきた無法者の連中が、置き去りにしたものだろう。最近、この辺りでよく見かけるからな……。			大方、チョコボを求めてやってきた無法者の連中が、置き去りにしたものだろう。最近、この辺りでよく見かけるからな……。			森の清掃							
もし、無法者らしきやつを見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			もし、無法者らしきやつを見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			森の清掃							
ついでに、そいつにゴミ掃除もさせちまえばいいさ。よろしく頼むぜ。			ついでに、そいつにゴミ掃除もさせちまえばいいさ。よろしく頼むぜ。			森の清掃							
もし、無法者らしき奴を見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			もし、無法者らしき奴を見つけたら、声をかけて正体を確かめてくれ。刃向かうようなら、懲らしめてくれて構わんぞ。			森の清掃							
貴様、テイルフェザーの連中か？口うるさいことを言うと、ブチのめすぞ！			貴様、テイルフェザーの連中か？口うるさいことを言うと、ブチのめすぞ！			森の清掃							
お前たち、やっちまいな……！！			お前たち、やっちまいな……！！			森の清掃							
や、や、やめてくれ、降参だ！もう二度と悪さはしねぇ！だから、命だけは……！			や、や、やめてくれ、降参だ！もう二度と悪さはしねぇ！だから、命だけは……！			森の清掃							
……へっ、ゴミを片付けておくように？わ、わかりました、すぐに片付けておきます！！すいませんでした～！			……へっ、ゴミを片付けておくように？わ、わかりました、すぐに片付けておきます！！すいませんでした～！			森の清掃							
ゴミは、すぐに片付けておきます。すいませんでした～！			ゴミは、すぐに片付けておきます。すいませんでした～！			森の清掃							
あ、冒険者さん！ゴミはどうでしたか？			あ、冒険者さん！ゴミはどうでしたか？			森の清掃							
……はぁ、マジでゴミ拾いだったんっすね。実は、ゴミじゃなくて撒き餌に群がるチョコボが……なんて、少し期待しちゃった俺がバカみたいっす。			……はぁ、マジでゴミ拾いだったんっすね。実は、ゴミじゃなくて撒き餌に群がるチョコボが……なんて、少し期待しちゃった俺がバカみたいっす。			森の清掃							
しかも、無法者を懲らしめるなんて、俺には無理っすよ！ってか、なんで雑用を俺に押し付けてくるんだろ。そんなことより、狩りを教えてくれよ……。			しかも、無法者を懲らしめるなんて、俺には無理っすよ！ってか、なんで雑用を俺に押し付けてくるんだろ。そんなことより、狩りを教えてくれよ……。			森の清掃							
あっ、愚痴っちゃってすんません！こちら、お礼っす……ゴミ拾い、おつかれっした！			あっ、愚痴っちゃってすんません！こちら、お礼っす……ゴミ拾い、おつかれっした！			森の清掃							
テイルフェザーにいるエルヴォワは、先輩から任された仕事をそのまま渡すつもりのようだ。			テイルフェザーにいるエルヴォワは、先輩から任された仕事をそのまま渡すつもりのようだ。			いけない罠							
エルヴォワに、またしても雑用を任された。高地ドラヴァニアの、チョコボの森の北にあるキャンプで「テイルフェザーの猟師」から話を聞こう。			エルヴォワに、またしても雑用を任された。高地ドラヴァニアの、チョコボの森の北にあるキャンプで「テイルフェザーの猟師」から話を聞こう。			いけない罠							
テイルフェザーの猟師に、トラバサミの危険性について教わった。チョコボの森の北にあるキャンプ付近を捜索し、妨害を退けて、「トラバサミ」を3つ撤去しよう。			テイルフェザーの猟師に、トラバサミの危険性について教わった。チョコボの森の北にあるキャンプ付近を捜索し、妨害を退けて、「トラバサミ」を3つ撤去しよう。			いけない罠							
トラバサミを撤去した。テイルフェザーの「エルヴォワ」に報告しよう。			トラバサミを撤去した。テイルフェザーの「エルヴォワ」に報告しよう。			いけない罠							
エルヴォワに報告した。エルヴォワは、後輩である自分に危険が及ぶような仕事だったことに驚き、先輩への不信を感じているようだ。			エルヴォワに報告した。エルヴォワは、後輩である自分に危険が及ぶような仕事だったことに驚き、先輩への不信を感じているようだ。			いけない罠							
テイルフェザーの猟師と話す			テイルフェザーの猟師と話す			いけない罠							
妨害を退けトラバサミを撤去			妨害を退けトラバサミを撤去			いけない罠							
エルヴォワに報告			エルヴォワに報告			いけない罠							
んっと、先輩にあたえられた雑用は……？			んっと、先輩にあたえられた雑用は……？			いけない罠							
「北にある、無人のキャンプ付近で、　トラバサミの発見報告があった、撤去してこい」……。			「北にある、無人のキャンプ付近で、　トラバサミの発見報告があった、撤去してこい」……。			いけない罠							
