聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
ここで作業していいそうです！資材もたくさんあって、ありがたい……！			ここで作業していいそうです！資材もたくさんあって、ありがたい……！			それでも一歩、前へ							
ああ、ここにあるものは、どれでも使っていいよ。それ以外に、必要なものはあるかな？			ああ、ここにあるものは、どれでも使っていいよ。それ以外に、必要なものはあるかな？			それでも一歩、前へ							
ええと、そうですね……。英雄様と、エル・トゥにお願いしたいのですが、軟膏用の薬草と、染色用のカララントが必要なんです。			ええと、そうですね……。英雄様と、エル・トゥにお願いしたいのですが、軟膏用の薬草と、染色用のカララントが必要なんです。			それでも一歩、前へ							
こんなことお願いするのは申し訳ないけれど、自分が動くと、また大騒ぎになってしまう……。			こんなことお願いするのは申し訳ないけれど、自分が動くと、また大騒ぎになってしまう……。			それでも一歩、前へ							
でも、英雄様は街を自由に行き来できるし、エル・トゥには翼がある。どうか、助けてください……！			でも、英雄様は街を自由に行き来できるし、エル・トゥには翼がある。どうか、助けてください……！			それでも一歩、前へ							
ふふん！　そんなの鱗を落とすくらい簡単でち！じゃあ、あたくちは薬草を採ってくるでちよ！			ふふん！　そんなの鱗を落とすくらい簡単でち！じゃあ、あたくちは薬草を採ってくるでちよ！			それでも一歩、前へ							
では英雄様には、「カララント:クリームイエロー」の調達をお願いできますか？どうしてもこの染料が、2つほしいんです……！			では英雄様には、「カララント:クリームイエロー」の調達をお願いできますか？どうしてもこの染料が、2つほしいんです……！			それでも一歩、前へ							
名も無き者たちの広場の「エイロンウィー」という商人が、いろいろなものを扱っていると、住人たちが話していました。もしかしたら、そこでも売っているかも……！			名も無き者たちの広場の「エイロンウィー」という商人が、いろいろなものを扱っていると、住人たちが話していました。もしかしたら、そこでも売っているかも……！			それでも一歩、前へ							
英雄様、「カララント:クリームイエロー」の調達をお願いします。どうしてもこの染料が、2つほしいんです……！			英雄様、「カララント:クリームイエロー」の調達をお願いします。どうしてもこの染料が、2つほしいんです……！			それでも一歩、前へ							
名も無き者たちの広場の「エイロンウィー」という商人が、いろいろなものを扱っていると、住人たちが話していました。もしかしたら、そこでも売っているかも……！			名も無き者たちの広場の「エイロンウィー」という商人が、いろいろなものを扱っていると、住人たちが話していました。もしかしたら、そこでも売っているかも……！			それでも一歩、前へ							
英雄様、お願いした色の染料はありました……？			英雄様、お願いした色の染料はありました……？			それでも一歩、前へ							
ありがとうございます！　コレです、コレ！さっそく製作に使わせてもらいますね！			ありがとうございます！　コレです、コレ！さっそく製作に使わせてもらいますね！			それでも一歩、前へ							
食器は完成したし、英雄様のおかげで、オデーヌたちへの贈り物も、もう一息です。あとは、エル・トゥが薬草を持って帰ってきてくれれば……			食器は完成したし、英雄様のおかげで、オデーヌたちへの贈り物も、もう一息です。あとは、エル・トゥが薬草を持って帰ってきてくれれば……			それでも一歩、前へ							
では先に、住人たちに集まってもらおうか。その後「聖ロエル広場」の西に集合しよう。			では先に、住人たちに集まってもらおうか。その後「聖ロエル広場」の西に集合しよう。			それでも一歩、前へ							
フォンクリノーさん、声をかけてきてもらえるかな？			フォンクリノーさん、声をかけてきてもらえるかな？			それでも一歩、前へ							
かしこまりました。			かしこまりました。			それでも一歩、前へ							
Forename様。「オデーヌ」殿には、あなたからお声かけ願えますかな？知己のほうが、安心するでしょう。			Forename様。「オデーヌ」殿には、あなたからお声かけ願えますかな？知己のほうが、安心するでしょう。			それでも一歩、前へ							
僕はマルセロアと一緒に、エル・トゥを待つよ。			僕はマルセロアと一緒に、エル・トゥを待つよ。			それでも一歩、前へ							
皆様、まもなくこちらにいらっしゃるそうです。			皆様、まもなくこちらにいらっしゃるそうです。			それでも一歩、前へ							
エル・トゥが戻ってきたら、すぐに軟膏を完成させて、持っていきます！			エル・トゥが戻ってきたら、すぐに軟膏を完成させて、持っていきます！			それでも一歩、前へ							
あら、英雄様。いかがされました？			あら、英雄様。いかがされました？			それでも一歩、前へ							
そうですか、あの人が……。そういうところは、やっぱりあの人らしいですね。			そうですか、あの人が……。そういうところは、やっぱりあの人らしいですね。			それでも一歩、前へ							
ですが……夫とはいえ、ドラゴンを受け入れるか判断するなんて、私のような平民には、荷が重いです。			ですが……夫とはいえ、ドラゴンを受け入れるか判断するなんて、私のような平民には、荷が重いです。			それでも一歩、前へ							
それにもし娘が、あの人のせいで周りからなにか言われたらと思うと……。			それにもし娘が、あの人のせいで周りからなにか言われたらと思うと……。			それでも一歩、前へ							
何と言う？			何と言う？			それでも一歩、前へ							
大事なのは、一歩踏みだす勇気だ			大事なのは、一歩踏みだす勇気だ			それでも一歩、前へ							
自分たちを信じろ			自分たちを信じろ			それでも一歩、前へ							
…………やっぱり、英雄様はすごいわ。あなたと話していると、私まで前向きになれるみたい。			…………やっぱり、英雄様はすごいわ。あなたと話していると、私まで前向きになれるみたい。			それでも一歩、前へ							
英雄様もフランセル卿もいらっしゃるし、きっと大丈夫って思えてきます。			英雄様もフランセル卿もいらっしゃるし、きっと大丈夫って思えてきます。			それでも一歩、前へ							
きちんと、あの人の話を聞いてみなくてはいけませんね。場所は確か、「聖ロエル広場」の西でしたよね？ノアルと一緒に、伺います。			きちんと、あの人の話を聞いてみなくてはいけませんね。場所は確か、「聖ロエル広場」の西でしたよね？ノアルと一緒に、伺います。			それでも一歩、前へ							
支度が済んだら、すぐに向かいますね。			支度が済んだら、すぐに向かいますね。			それでも一歩、前へ							
パパが呼んでるの？			パパが呼んでるの？			それでも一歩、前へ							
アインハルト家のお方に呼ばれたのじゃが……あ、あんたは…………。			アインハルト家のお方に呼ばれたのじゃが……あ、あんたは…………。			それでも一歩、前へ							
じ、自分は元職人の平民です！フランセル卿や英雄様、それに子竜のエル・トゥ、みんなに手伝ってもらって作ったコレを、お渡ししたくて……！			じ、自分は元職人の平民です！フランセル卿や英雄様、それに子竜のエル・トゥ、みんなに手伝ってもらって作ったコレを、お渡ししたくて……！			それでも一歩、前へ							
あなたにも、コレを……！			あなたにも、コレを……！			それでも一歩、前へ							
この木製の食器……家族が多いもんで、助かるが……。			この木製の食器……家族が多いもんで、助かるが……。			それでも一歩、前へ							
どうか受け取ってください！あなたのために作ったんですから……！			どうか受け取ってください！あなたのために作ったんですから……！			それでも一歩、前へ							
信じられないかもしれませんが、昔は街で、小さな雑貨屋を営んでいたんです。また、この腕を近所の人たちのために役立てられればと……。			信じられないかもしれませんが、昔は街で、小さな雑貨屋を営んでいたんです。また、この腕を近所の人たちのために役立てられればと……。			それでも一歩、前へ							
乾燥する日は背中の傷がひきつって痛いから、この軟膏、大事に使わせてもらうよ。その……ありがとう……。			乾燥する日は背中の傷がひきつって痛いから、この軟膏、大事に使わせてもらうよ。その……ありがとう……。			それでも一歩、前へ							
若いもんは、頭が柔らかくて羨ましいのう。あんたが悪いやつじゃないのは、わかったが……わしは娘を殺した異端者という存在が、どうしても許せん……。			若いもんは、頭が柔らかくて羨ましいのう。あんたが悪いやつじゃないのは、わかったが……わしは娘を殺した異端者という存在が、どうしても許せん……。			それでも一歩、前へ							
抱えてきた思いや価値観を、無理に曲げることはありません。ただ、目の前の相手と、個人として真摯に向き合い……歩み寄ることを、試みては。			抱えてきた思いや価値観を、無理に曲げることはありません。ただ、目の前の相手と、個人として真摯に向き合い……歩み寄ることを、試みては。			それでも一歩、前へ							
ううっ……！すまない、ありがとうよ……。			ううっ……！すまない、ありがとうよ……。			それでも一歩、前へ							
おふたりとも、身体に障るといけない。さあ、街へ戻りましょう。			おふたりとも、身体に障るといけない。さあ、街へ戻りましょう。			それでも一歩、前へ							
オデーヌ、ノアル。君たちにもこれを……			オデーヌ、ノアル。君たちにもこれを……			それでも一歩、前へ							
わぁ……！もしかしてそれ、私たちのお洋服？ねぇママ、着替えてこよう！？			わぁ……！もしかしてそれ、私たちのお洋服？ねぇママ、着替えてこよう！？			それでも一歩、前へ							
これ、おうちがなくなったときに焼けちゃった、お気に入りのお洋服といっしょね！私のだいすきな色！			これ、おうちがなくなったときに焼けちゃった、お気に入りのお洋服といっしょね！私のだいすきな色！			それでも一歩、前へ							
私、パパがドラゴンでも平気よ！友だちのマエリちゃんが、ドラゴンさんは怖くないよって、教えてくれたもん！			私、パパがドラゴンでも平気よ！友だちのマエリちゃんが、ドラゴンさんは怖くないよって、教えてくれたもん！			それでも一歩、前へ							
その指じゃ前とは勝手が違って、大変だったでしょう。あなたは変わらず、私たちのことを想っていたのね。素敵なお洋服を、ありがとう。			その指じゃ前とは勝手が違って、大変だったでしょう。あなたは変わらず、私たちのことを想っていたのね。素敵なお洋服を、ありがとう。			それでも一歩、前へ							
でも……戦争が激しくなって、最もつらいときに、あなたが側にいてくれなかったのは、心細かったわ。正直、憎らしかったくらいね。			でも……戦争が激しくなって、最もつらいときに、あなたが側にいてくれなかったのは、心細かったわ。正直、憎らしかったくらいね。			それでも一歩、前へ							
だから、これから……			だから、これから……			それでも一歩、前へ							
すまない！　本当に君の言うとおりだと思う。俺には、君たちに受け入れてもらう資格なんてない。服を受け取ってくれただけで充分だ、俺はこの街から出ていくよ。			すまない！　本当に君の言うとおりだと思う。俺には、君たちに受け入れてもらう資格なんてない。服を受け取ってくれただけで充分だ、俺はこの街から出ていくよ。			それでも一歩、前へ							
違うわ、最後まで話を聞いて。これからは、あの新しい家で関係を築きなおしましょう、って、言いたかったの。			違うわ、最後まで話を聞いて。これからは、あの新しい家で関係を築きなおしましょう、って、言いたかったの。			それでも一歩、前へ							
あなたも私も、胸に抱えたままの想いがある。それでも、あなたの心が「人」であるなら話しあうことができる。これからのことを決めるのは、その後でも遅くないでしょう？			あなたも私も、胸に抱えたままの想いがある。それでも、あなたの心が「人」であるなら話しあうことができる。これからのことを決めるのは、その後でも遅くないでしょう？			それでも一歩、前へ							
オデーヌ……！ああ、ありがとう！！			オデーヌ……！ああ、ありがとう！！			それでも一歩、前へ							
英雄様、本当にありがとうございます。聖徒門や家の前での、あなたの力強い言葉に、私は勇気をもらいました。			英雄様、本当にありがとうございます。聖徒門や家の前での、あなたの力強い言葉に、私は勇気をもらいました。			それでも一歩、前へ							
この人を本当の意味で許して受け入れていくのは、これからになるでしょうけれど……きっと大丈夫だわ。			この人を本当の意味で許して受け入れていくのは、これからになるでしょうけれど……きっと大丈夫だわ。			それでも一歩、前へ							
俺からも、礼を言わせてください。「フランセル」卿にもお伝えしたいので、よければ彼のところに戻って、改めて……！			俺からも、礼を言わせてください。「フランセル」卿にもお伝えしたいので、よければ彼のところに戻って、改めて……！			それでも一歩、前へ							
おじちゃんに薬草渡したあと、フランセルに「オルスバンしてようね」って言われたけど、オルスバンってなんでちか？			おじちゃんに薬草渡したあと、フランセルに「オルスバンしてようね」って言われたけど、オルスバンってなんでちか？			それでも一歩、前へ							
市民の方々は、それぞれご自宅へお帰りになりました。ご老人も穏やかな顔をされていましたから、きっとマルセロア殿のことを、受け入れてくださるでしょう。			市民の方々は、それぞれご自宅へお帰りになりました。ご老人も穏やかな顔をされていましたから、きっとマルセロア殿のことを、受け入れてくださるでしょう。			それでも一歩、前へ							
あなたと「フランセル」卿に、ぜひとも礼を言わせてください……！			あなたと「フランセル」卿に、ぜひとも礼を言わせてください……！			それでも一歩、前へ							
あの人を本当の意味で許して受け入れていくのは、これからになるでしょうけれど、きっと大丈夫だわ。本当に、あなたのおかげです。			あの人を本当の意味で許して受け入れていくのは、これからになるでしょうけれど、きっと大丈夫だわ。本当に、あなたのおかげです。			それでも一歩、前へ							
あとでパパのうろこ、さわらせてもらおうっとー！			あとでパパのうろこ、さわらせてもらおうっとー！			それでも一歩、前へ							
おかえり、Forename。先に戻ってきたフォンクリノーさんから、話は聞いているよ。			おかえり、Forename。先に戻ってきたフォンクリノーさんから、話は聞いているよ。			それでも一歩、前へ							
マルセロア、本当にお疲れさま。キミの想いが他の市民に届いたようで、なによりだ。ご家族も喜んでいたかな？			マルセロア、本当にお疲れさま。キミの想いが他の市民に届いたようで、なによりだ。ご家族も喜んでいたかな？			それでも一歩、前へ							
はい……！一緒に暮らすことを、許してくれました。本当にあなたや、英雄様のおかげです！			はい……！一緒に暮らすことを、許してくれました。本当にあなたや、英雄様のおかげです！			それでも一歩、前へ							
それで、実は……あなた方へのお礼の品も、作ってみたんです。まずはフランセル卿、よければ着てみてもらえませんか？			それで、実は……あなた方へのお礼の品も、作ってみたんです。まずはフランセル卿、よければ着てみてもらえませんか？			それでも一歩、前へ							
いいのかい？　ありがとう！では少し待っててくれるかな…………			いいのかい？　ありがとう！では少し待っててくれるかな…………			それでも一歩、前へ							
わぁ、すごい！　ぴったりだよ！嬉しいなぁ！			わぁ、すごい！　ぴったりだよ！嬉しいなぁ！			それでも一歩、前へ							
いいないいな！　ヒトだけずるいでち！おじさんを連れてきて、薬草を取ってきた、あたくちにだって、お礼してくれてもいいんでちよ！			いいないいな！　ヒトだけずるいでち！おじさんを連れてきて、薬草を取ってきた、あたくちにだって、お礼してくれてもいいんでちよ！			それでも一歩、前へ							
ああ、そうだね。キミはイシュガルドの民を救ってくれた、かけがえのない恩人だ。			ああ、そうだね。キミはイシュガルドの民を救ってくれた、かけがえのない恩人だ。			それでも一歩、前へ							
いままで、皇都への竜の立ち入りは、式典などでこちらが招待した場合に限られていたけれど……			いままで、皇都への竜の立ち入りは、式典などでこちらが招待した場合に限られていたけれど……			それでも一歩、前へ							
キミさえよければ、蒼天街を自由に出入りするよう計らおう。誰もキミに危害を加えないよう、総監として触れを出すよ。それで手をうってはくれないかな？			キミさえよければ、蒼天街を自由に出入りするよう計らおう。誰もキミに危害を加えないよう、総監として触れを出すよ。それで手をうってはくれないかな？			それでも一歩、前へ							
ふふん！　それはとってもありがたいでち！あたくち、街もヒトも、もっともっと見て回りたいって、思ってまちたの！			ふふん！　それはとってもありがたいでち！あたくち、街もヒトも、もっともっと見て回りたいって、思ってまちたの！			それでも一歩、前へ							
じゃあ僕たちは、手続きをして通常業務に戻るよ。困ったことがあったら、いつでも声をかけてほしい。			じゃあ僕たちは、手続きをして通常業務に戻るよ。困ったことがあったら、いつでも声をかけてほしい。			それでも一歩、前へ							
英雄様も、本当にありがとうございました！あなたがいなかったら俺はきっと、家族と和解できないまま、処刑されていたはずだ……！			英雄様も、本当にありがとうございました！あなたがいなかったら俺はきっと、家族と和解できないまま、処刑されていたはずだ……！			それでも一歩、前へ							
英雄様には、これをお渡ししますね。あなたの冒険に、少しでもお役に立てますように！			英雄様には、これをお渡ししますね。あなたの冒険に、少しでもお役に立てますように！			それでも一歩、前へ							
リズンソング文化区のコノンは、冒険者に相談事があるようだ。			リズンソング文化区のコノンは、冒険者に相談事があるようだ。			サプライズのお手伝い							
コノンたち住人から復興事業完遂を祝う演奏会の企画を持ちかけられた。イシュガルドの蒼天街の十字鍬通りにいる「フォンクリノー」に相談してみよう。			コノンたち住人から復興事業完遂を祝う演奏会の企画を持ちかけられた。イシュガルドの蒼天街の十字鍬通りにいる「フォンクリノー」に相談してみよう。			サプライズのお手伝い							
フォンクリノーに相談した。人を呼んでくるらしいので、十字鍬通りの「指定地点」で待っていよう。			フォンクリノーに相談した。人を呼んでくるらしいので、十字鍬通りの「指定地点」で待っていよう。			サプライズのお手伝い							
フォンクリノーが連れてきたのはアルトアレールだった。彼も演奏会の企画に協力してくれるらしい。演奏会に奏者として参加するため、聖ロエル広場に設置してある「ピアノ」を練習してみよう。			フォンクリノーが連れてきたのはアルトアレールだった。彼も演奏会の企画に協力してくれるらしい。演奏会に奏者として参加するため、聖ロエル広場に設置してある「ピアノ」を練習してみよう。			サプライズのお手伝い							
ピアノの練習をした。手ごたえを感じたので、もう一度「ピアノ」を練習してみよう。			ピアノの練習をした。手ごたえを感じたので、もう一度「ピアノ」を練習してみよう。			サプライズのお手伝い							
ピアノをマスターした！演奏会の段取りをまとめている聖ロエル広場の「マリオリー」に報告しよう。			ピアノをマスターした！演奏会の段取りをまとめている聖ロエル広場の「マリオリー」に報告しよう。			サプライズのお手伝い							
マリオリーに報告すると、他の準備も順調であることを教えてくれた。いよいよ演奏会を開催できるだろう。			マリオリーに報告すると、他の準備も順調であることを教えてくれた。いよいよ演奏会を開催できるだろう。			サプライズのお手伝い							
十字鍬通りのフォンクリノーと話す			十字鍬通りのフォンクリノーと話す			サプライズのお手伝い							
指定地点で待機			指定地点で待機			サプライズのお手伝い							
ピアノの練習をする			ピアノの練習をする			サプライズのお手伝い							
再度ピアノの練習をする			再度ピアノの練習をする			サプライズのお手伝い							
マリオリーと話す			マリオリーと話す			サプライズのお手伝い							
リズンソング文化区の様子は、お気に召しましたかな？Surname様。			リズンソング文化区の様子は、お気に召しましたかな？Surname様。			サプライズのお手伝い							
ああ、英雄様！相談に乗ってくれるのですね。ありがとうございます！			ああ、英雄様！相談に乗ってくれるのですね。ありがとうございます！			サプライズのお手伝い							
それでですね、お話というのが……			それでですね、お話というのが……			サプライズのお手伝い							
(-？？？？-)その先の話は、俺たちも混ぜてくれ！			(-？？？？-)その先の話は、俺たちも混ぜてくれ！			サプライズのお手伝い							
英雄様、どうもご無沙汰しています。この街もずいぶん人が増えて、雑貨屋としての仕事も順調です！本当に、あなたとフランセル卿のおかげです。			英雄様、どうもご無沙汰しています。この街もずいぶん人が増えて、雑貨屋としての仕事も順調です！本当に、あなたとフランセル卿のおかげです。			サプライズのお手伝い							
だから、フランセル卿への感謝の気持ちと、蒼天街の復興完了のお祝いを兼ねて、俺たちにできることはないか、って相談したんです。			だから、フランセル卿への感謝の気持ちと、蒼天街の復興完了のお祝いを兼ねて、俺たちにできることはないか、って相談したんです。			サプライズのお手伝い							
フォンクリノーさんから、フランセル卿は、楽団を設立するのが夢だと聞きました。			フォンクリノーさんから、フランセル卿は、楽団を設立するのが夢だと聞きました。			サプライズのお手伝い							
そこで、楽器と楽団を用意し、演奏会を開催する企画を立てているんです。			そこで、楽器と楽団を用意し、演奏会を開催する企画を立てているんです。			サプライズのお手伝い							
フランセル卿にはまだ内緒で、こっそりと……！			フランセル卿にはまだ内緒で、こっそりと……！			サプライズのお手伝い							
英雄様は、フランセル卿とご友人だと聞いています。あなた様にもサプライズのお手伝いをお願いできれば、フランセル卿も大喜びの、大成功間違いなしと思うのですが……！			英雄様は、フランセル卿とご友人だと聞いています。あなた様にもサプライズのお手伝いをお願いできれば、フランセル卿も大喜びの、大成功間違いなしと思うのですが……！			サプライズのお手伝い							
ありがとうございます！俺は楽器を用意しているんです。出稼ぎの職人さんから、楽器の作り方を教わって！			ありがとうございます！俺は楽器を用意しているんです。出稼ぎの職人さんから、楽器の作り方を教わって！			サプライズのお手伝い							
少し小規模かもしれないけど……ピアノと、そして管楽器、弦楽器を用意しました！ピアノはすでに、聖ロエル広場に置いてあります。			少し小規模かもしれないけど……ピアノと、そして管楽器、弦楽器を用意しました！ピアノはすでに、聖ロエル広場に置いてあります。			サプライズのお手伝い							
英雄様がフランセル卿と一緒の楽器を演奏してくれたら、フランセル卿も、見にきてくれる人も、きっと喜ぶだろうなぁって、どの楽器も、ふたつずつ用意してあるんです。			英雄様がフランセル卿と一緒の楽器を演奏してくれたら、フランセル卿も、見にきてくれる人も、きっと喜ぶだろうなぁって、どの楽器も、ふたつずつ用意してあるんです。			サプライズのお手伝い							
だから英雄様、フランセル卿はどの楽器がお得意か、「十字鍬通り」の「フォンクリノー」さんに、こっそり聞いて、その楽器を演奏してくれませんか！			だから英雄様、フランセル卿はどの楽器がお得意か、「十字鍬通り」の「フォンクリノー」さんに、こっそり聞いて、その楽器を演奏してくれませんか！			サプライズのお手伝い							
何と言う？			何と言う？			サプライズのお手伝い							
任せて			任せて			サプライズのお手伝い							
努力はする			努力はする			サプライズのお手伝い							
ありがとうございます！では、俺たちも聖ロエル広場で準備を進めますね。			ありがとうございます！では、俺たちも聖ロエル広場で準備を進めますね。			サプライズのお手伝い							
演奏会の段取りについては、こちらのマリオリーさんがまとめてくれているんです。困ったことがあったら、聞いてみてください！			演奏会の段取りについては、こちらのマリオリーさんがまとめてくれているんです。困ったことがあったら、聞いてみてください！			サプライズのお手伝い							
では、フランセル卿にはまだ気づかれないよう、くれぐれも内密に……！			では、フランセル卿にはまだ気づかれないよう、くれぐれも内密に……！			サプライズのお手伝い							
楽器はすべて、俺の手製です。音が響きやすいように風のクリスタルを仕込んだりと、ちょっと工夫しているんですよ！			楽器はすべて、俺の手製です。音が響きやすいように風のクリスタルを仕込んだりと、ちょっと工夫しているんですよ！			サプライズのお手伝い							
この規模なら……どのくらい人が呼べるだろうか……。			この規模なら……どのくらい人が呼べるだろうか……。			サプライズのお手伝い							
英雄様が参加する演奏会、楽しみです！私たちが裏方としてしっかり支えますから、英雄様は奏者のひとりとして、楽しんでくださいね！			英雄様が参加する演奏会、楽しみです！私たちが裏方としてしっかり支えますから、英雄様は奏者のひとりとして、楽しんでくださいね！			サプライズのお手伝い							
おや、Surname様。フランセル坊ちゃんなら邸宅にお戻りですが……。わたくしにご用ですか？			おや、Surname様。フランセル坊ちゃんなら邸宅にお戻りですが……。わたくしにご用ですか？			サプライズのお手伝い							
ほう……！復興完遂の祝いに、みなさんが演奏会を企画していると……！それはそれは、ぜひとも応援したい催しでございますね。			ほう……！復興完遂の祝いに、みなさんが演奏会を企画していると……！それはそれは、ぜひとも応援したい催しでございますね。			サプライズのお手伝い							
楽器はふたつずつあり、すでに準備がされているとのこと……。坊ちゃんはさまざまな楽器の心得がございますが、ふむ……。			楽器はふたつずつあり、すでに準備がされているとのこと……。坊ちゃんはさまざまな楽器の心得がございますが、ふむ……。			サプライズのお手伝い							
わたくしに良い考えがございます。あるお方をお呼びしてまいりますから、こちらでお待ちいただけますか？			わたくしに良い考えがございます。あるお方をお呼びしてまいりますから、こちらでお待ちいただけますか？			サプライズのお手伝い							
お待たせいたしました、Surname様。			お待たせいたしました、Surname様。			サプライズのお手伝い							
Forename殿、久しいな！まさか貴殿が、皇都の復興事業まで協力していようとは！			Forename殿、久しいな！まさか貴殿が、皇都の復興事業まで協力していようとは！			サプライズのお手伝い							
ギムリトの前線は膠着状態だ。アイメリク卿に少し遅れ、私も戻ってきたのだ。倒れたと聞くが、ふむ、顔色は悪くなさそうだな。			ギムリトの前線は膠着状態だ。アイメリク卿に少し遅れ、私も戻ってきたのだ。倒れたと聞くが、ふむ、顔色は悪くなさそうだな。			サプライズのお手伝い							
膠着状態のギムリトの前線からは、アイメリク卿に少し遅れて、私もすぐに戻ってきていたのだ。皇都での職務を放ったままにはできないからな。			膠着状態のギムリトの前線からは、アイメリク卿に少し遅れて、私もすぐに戻ってきていたのだ。皇都での職務を放ったままにはできないからな。			サプライズのお手伝い							
家令のフィルミアンを介し、アインハルト家の執事から、復興事業完遂の祝いの話を聞いたぞ。貴殿も参加するのか？			家令のフィルミアンを介し、アインハルト家の執事から、復興事業完遂の祝いの話を聞いたぞ。貴殿も参加するのか？			サプライズのお手伝い							
アルトアレール様には、蒼天街の復興完遂を記念し、楽団を設立して演奏会を開催する旨をお伝えいたしました。			アルトアレール様には、蒼天街の復興完遂を記念し、楽団を設立して演奏会を開催する旨をお伝えいたしました。			サプライズのお手伝い							
アルトアレール様は、オーケストリオン譜の収集がご趣味と聞いております。またとない機会、ご興味があるのではと思いまして。			アルトアレール様は、オーケストリオン譜の収集がご趣味と聞いております。またとない機会、ご興味があるのではと思いまして。			サプライズのお手伝い							
ああ、その……余暇の時間を使って、少しずつ自分でも譜を書いていてな。よければ、その譜を使ってもらえればと思ったのだ。			ああ、その……余暇の時間を使って、少しずつ自分でも譜を書いていてな。よければ、その譜を使ってもらえればと思ったのだ。			サプライズのお手伝い							
楽器はいずれも、ふたつずつあると聞いている。この曲は、ピアノの連弾が特徴的な楽曲だ。貴殿とフランセル卿が演奏すると良い。			楽器はいずれも、ふたつずつあると聞いている。この曲は、ピアノの連弾が特徴的な楽曲だ。貴殿とフランセル卿が演奏すると良い。			サプライズのお手伝い							
それはいい、坊ちゃんもピアノはお得意です。先ほどのお話によると、すでに「聖ロエル広場」に、「ピアノ」が用意されているのでしたね？			それはいい、坊ちゃんもピアノはお得意です。先ほどのお話によると、すでに「聖ロエル広場」に、「ピアノ」が用意されているのでしたね？			サプライズのお手伝い							
それならば、先んじてピアノに触れ、少しばかり慣れておいてはいかがでしょう？手製の楽器には、少々癖があるやもしれませぬ。			それならば、先んじてピアノに触れ、少しばかり慣れておいてはいかがでしょう？手製の楽器には、少々癖があるやもしれませぬ。			サプライズのお手伝い							
その間にわたくしは、ほかにも楽器の演奏が得意な方々に声をかけてまいります。お話を聞くかぎり、他の演者の手配はまだのようですし。			その間にわたくしは、ほかにも楽器の演奏が得意な方々に声をかけてまいります。お話を聞くかぎり、他の演者の手配はまだのようですし。			サプライズのお手伝い							
では私もついていき、譜面を配ろう。			では私もついていき、譜面を配ろう。			サプライズのお手伝い							
それにしてもこのような楽しい催しは初めてだな。恥ずかしいが、私も少し浮かれているよ。			それにしてもこのような楽しい催しは初めてだな。恥ずかしいが、私も少し浮かれているよ。			サプライズのお手伝い							
ピアノがある。練習してみようか……？			ピアノがある。練習してみようか……？			サプライズのお手伝い							
ピアノの練習をする？			ピアノの練習をする？			サプライズのお手伝い							
ピアノが、うまくなった！			ピアノが、うまくなった！			サプライズのお手伝い							
さきほどの練習で、手ごたえを感じた。さらにピアノを練習してみようか……？			さきほどの練習で、手ごたえを感じた。さらにピアノを練習してみようか……？			サプライズのお手伝い							
ピアノの練習をする？			ピアノの練習をする？			サプライズのお手伝い							
ピアノマスター！！			ピアノマスター！！			サプライズのお手伝い							
ピアノの上達を感じた。「マリオリー」に演奏会の準備について尋ねてみよう。			ピアノの上達を感じた。「マリオリー」に演奏会の準備について尋ねてみよう。			サプライズのお手伝い							
Forename様！ピアノの練習の様子、聞こえておりましたよ！もう演奏する準備はバッチリのようですね！			Forename様！ピアノの練習の様子、聞こえておりましたよ！もう演奏する準備はバッチリのようですね！			サプライズのお手伝い							
演奏会の設営も、着々と進んでおりますよ！ほかの奏者さんも決まったので、もう間もなくいらっしゃるかと思います！			演奏会の設営も、着々と進んでおりますよ！ほかの奏者さんも決まったので、もう間もなくいらっしゃるかと思います！			サプライズのお手伝い							
クイックサンドのフランセルは、最後の商談へ向かうようだ。			クイックサンドのフランセルは、最後の商談へ向かうようだ。			海都への交易交渉							
フランセルと話し、シャルルマン・ド・デュランデル伯爵の心持ちが少し変化したのを感じた。最後の商談のため、リムサ・ロミンサのブルワークホールに向かった「シャルルマン・ド・デュランデル伯爵」を追おう。			フランセルと話し、シャルルマン・ド・デュランデル伯爵の心持ちが少し変化したのを感じた。最後の商談のため、リムサ・ロミンサのブルワークホールに向かった「シャルルマン・ド・デュランデル伯爵」を追おう。			海都への交易交渉							
シャルルマン・ド・デュランデル伯爵やフランセルと話し、情報収集へ向かうことになった。メルヴァン税関公社へ向かった「シャルルマン・ド・デュランデル伯爵」と話そう。			シャルルマン・ド・デュランデル伯爵やフランセルと話し、情報収集へ向かうことになった。メルヴァン税関公社へ向かった「シャルルマン・ド・デュランデル伯爵」と話そう。			海都への交易交渉							
シャルルマン・ド・デュランデル伯爵、フランセルと共に、メルヴァン税関公社で話を聞いた。リムサ・ロミンサの永遠の乙女亭前の「シャルルマン・ド・デュランデル伯爵」と話そう。			シャルルマン・ド・デュランデル伯爵、フランセルと共に、メルヴァン税関公社で話を聞いた。リムサ・ロミンサの永遠の乙女亭前の「シャルルマン・ド・デュランデル伯爵」と話そう。			海都への交易交渉							
