潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
酒がなけりゃ、酒風呂は始まらんでな。潮風亭で「ひんがしの酒」をもらってきてくれんかのう。女将の「コトカゼ」に言えば、わかってくれるはずじゃ。			酒がなけりゃ、酒風呂は始まらんでな。潮風亭で「ひんがしの酒」をもらってきてくれんかのう。女将の「コトカゼ」に言えば、わかってくれるはずじゃ。			至高の湯							
潮風亭で「ひんがしの酒」をもらってきてくれんかのう。女将の「コトカゼ」に言えば、わかってくれるはずじゃ。			潮風亭で「ひんがしの酒」をもらってきてくれんかのう。女将の「コトカゼ」に言えば、わかってくれるはずじゃ。			至高の湯							
アマジ爺さんの代わりに、酒を取りに来たって？ほらよ、「ひんがしの酒」だ、もってきな。極上の逸品なんだ、楽しみにしておくんだね。			アマジ爺さんの代わりに、酒を取りに来たって？ほらよ、「ひんがしの酒」だ、もってきな。極上の逸品なんだ、楽しみにしておくんだね。			至高の湯							
どうした、酒を持っていかなくていいのか？アマジ爺さんに頼まれてるんだろう。			どうした、酒を持っていかなくていいのか？アマジ爺さんに頼まれてるんだろう。			至高の湯							
おお、なんとも優しいお方じゃ。助けたついでに、「ひんがしの酒」を湯船に入れてもらえんかの？			おお、なんとも優しいお方じゃ。助けたついでに、「ひんがしの酒」を湯船に入れてもらえんかの？			至高の湯							
助けたついでに、「ひんがしの酒」を湯船に入れてもらえんかの？			助けたついでに、「ひんがしの酒」を湯船に入れてもらえんかの？			至高の湯							
やってくれたか。本当に、助かったわい。用済みの器は、ワシが受け取ろう。			やってくれたか。本当に、助かったわい。用済みの器は、ワシが受け取ろう。			至高の湯							
よしよし、残っておったわ。ひとつ、味見をさせてもらおうかの。			よしよし、残っておったわ。ひとつ、味見をさせてもらおうかの。			至高の湯							
コレじゃ、コレ！今日の酒風呂も、いい出来になるじゃろうな。			コレじゃ、コレ！今日の酒風呂も、いい出来になるじゃろうな。			至高の湯							
なんじゃ、あきれたような顔をしおって。酒を運んだ者には、底に残った酒を飲む権利があるんじゃ。旅人のお前さんは知らんかったから、代わりにワシが飲んだまでよ。			なんじゃ、あきれたような顔をしおって。酒を運んだ者には、底に残った酒を飲む権利があるんじゃ。旅人のお前さんは知らんかったから、代わりにワシが飲んだまでよ。			至高の湯							
「望海泉」では、季節ごとに変わり湯を用意しておるんじゃ。酒風呂の時期は、どうにも張り切りすぎていかんのぅ。			「望海泉」では、季節ごとに変わり湯を用意しておるんじゃ。酒風呂の時期は、どうにも張り切りすぎていかんのぅ。			至高の湯							
……もちろん、お客さんの喜ぶ顔を見たいからじゃよ？だから、この歳になっても仕事をやめられん。ありがとうよ、旅人さん。			……もちろん、お客さんの喜ぶ顔を見たいからじゃよ？だから、この歳になっても仕事をやめられん。ありがとうよ、旅人さん。			至高の湯							
クガネの茶屋の娘は、酔っ払った男にうんざりしているようだ。			クガネの茶屋の娘は、酔っ払った男にうんざりしているようだ。			ウミネコ茶屋							
茶屋の下働きと話す			茶屋の下働きと話す			ウミネコ茶屋							
酔っ払った男によく冷えた井戸水を使う			酔っ払った男によく冷えた井戸水を使う			ウミネコ茶屋							
茶屋の娘と話す			茶屋の娘と話す			ウミネコ茶屋							
もう、それくらいにしてください！いったい、いつまで同じ話を繰り返す気なんですか？			もう、それくらいにしてください！いったい、いつまで同じ話を繰り返す気なんですか？			ウミネコ茶屋							
と、とくと見るがよい……この像を！これが、かの有名な武将……ブヘンのズイコウ様よぉ！さっすが……「末ノ国」を確立させた御方ぁ……渋い！			と、とくと見るがよい……この像を！これが、かの有名な武将……ブヘンのズイコウ様よぉ！さっすが……「末ノ国」を確立させた御方ぁ……渋い！			ウミネコ茶屋							
さ、遡ること……何年だったかぁ？……末ノ国の、国主様はぁ……うっぷ。			さ、遡ること……何年だったかぁ？……末ノ国の、国主様はぁ……うっぷ。			ウミネコ茶屋							
あの、そちらの通りすがりのお方……。この困った方の頭を冷やすのを手伝っていただけませんか？			あの、そちらの通りすがりのお方……。この困った方の頭を冷やすのを手伝っていただけませんか？			ウミネコ茶屋							
ちょうど、井戸の側に「茶屋の下働き」がいるので、言えば「よく冷えた井戸水」をもらえるはずです。私は、この方がほかの人に絡まないよう相手をしておきます。			ちょうど、井戸の側に「茶屋の下働き」がいるので、言えば「よく冷えた井戸水」をもらえるはずです。私は、この方がほかの人に絡まないよう相手をしておきます。			ウミネコ茶屋							
ちょうど、井戸の側に「茶屋の下働き」がいるので、言えば「よく冷えた井戸水」をもらえるはずです。私は、この方がほかの人に絡まないよう相手をしておきます。			ちょうど、井戸の側に「茶屋の下働き」がいるので、言えば「よく冷えた井戸水」をもらえるはずです。私は、この方がほかの人に絡まないよう相手をしておきます。			ウミネコ茶屋							
ここからが……いいとこなんだぁ。あれぇ？　なんだっけ……えっとぉ……。			ここからが……いいとこなんだぁ。あれぇ？　なんだっけ……えっとぉ……。			ウミネコ茶屋							
また、あの酔っ払いか。そういうことなら、「よく冷えた井戸水」をもってってくれ。頭から、勢いよくかけてやんな。			また、あの酔っ払いか。そういうことなら、「よく冷えた井戸水」をもってってくれ。頭から、勢いよくかけてやんな。			ウミネコ茶屋							
「よく冷えた井戸水」を頭から、勢いよくかけてやんな。そうすりゃ、酔いも醒めるだろうよ。			「よく冷えた井戸水」を頭から、勢いよくかけてやんな。そうすりゃ、酔いも醒めるだろうよ。			ウミネコ茶屋							
す、すまねえ……俺ぁまた、酔っ払っちまったのか……。昔は、ブヘン家の分家の分家の、そのまた分家の墓守を、任されてたってのによ。			す、すまねえ……俺ぁまた、酔っ払っちまったのか……。昔は、ブヘン家の分家の分家の、そのまた分家の墓守を、任されてたってのによ。			ウミネコ茶屋							
……酒のせいで、今じゃこんな様だ。迷惑をかけるつもりは、なかったんだ。すまねぇ……ほんとに、すまねぇな。			……酒のせいで、今じゃこんな様だ。迷惑をかけるつもりは、なかったんだ。すまねぇ……ほんとに、すまねぇな。			ウミネコ茶屋							
景気よく、頭からかけてやってください！			景気よく、頭からかけてやってください！			ウミネコ茶屋							
お手数をおかけして、すみません。「ウミネコ茶屋」は、クガネでも指折りの待ち合わせ場所ですし、酒場からも近いので、ああいうお客さんも、少なくないんです。			お手数をおかけして、すみません。「ウミネコ茶屋」は、クガネでも指折りの待ち合わせ場所ですし、酒場からも近いので、ああいうお客さんも、少なくないんです。			ウミネコ茶屋							
もっとも、悪いことばかりじゃないんですよ。酔っ払って、気が大きくなってるものだから、勧められるままに、高いお団子を買ってくれたりしてね。			もっとも、悪いことばかりじゃないんですよ。酔っ払って、気が大きくなってるものだから、勧められるままに、高いお団子を買ってくれたりしてね。			ウミネコ茶屋							
そんなところも含めて、私はこの街が好きなんです。あなたも、好きになってくれると嬉しいですけど。それでは、ありがとうございました。			そんなところも含めて、私はこの街が好きなんです。あなたも、好きになってくれると嬉しいですけど。それでは、ありがとうございました。			ウミネコ茶屋							
クガネの異国風の少女は、真剣な眼差しで辺りを見回している。			クガネの異国風の少女は、真剣な眼差しで辺りを見回している。			少女が見た景色							
大きな鈴の絵と壮麗な門の絵をヒントに絵が描かれた場所を探す			大きな鈴の絵と壮麗な門の絵をヒントに絵が描かれた場所を探す			少女が見た景色							
異国風の少女と話す			異国風の少女と話す			少女が見た景色							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			少女が見た景色							
ちょっと、そこのアナタ。そう、間の抜けた顔でキョロキョロしてる、お上りさんみたいな、アナタのことよ。			ちょっと、そこのアナタ。そう、間の抜けた顔でキョロキョロしてる、お上りさんみたいな、アナタのことよ。			少女が見た景色							
ちょっと、この絵を見てもらえるかしら。私、この絵が描かれた場所を探してるの。			ちょっと、この絵を見てもらえるかしら。私、この絵が描かれた場所を探してるの。			少女が見た景色							
少女が差し出した2枚の絵には、クガネの風景が描かれている。			少女が差し出した2枚の絵には、クガネの風景が描かれている。			少女が見た景色							
どこからどう見ても、クガネの絵なんだけど、この2枚と同じ風景を描ける場所が、どうしても見つけられないの。			どこからどう見ても、クガネの絵なんだけど、この2枚と同じ風景を描ける場所が、どうしても見つけられないの。			少女が見た景色							
大切なものだけど……しょうがないから、貸してあげる。絵の「描かれた場所」がわかったら、返してね。……絶対だからね！			大切なものだけど……しょうがないから、貸してあげる。絵の「描かれた場所」がわかったら、返してね。……絶対だからね！			少女が見た景色							
「大きな鈴の絵」と「壮麗な門の絵」を使用し、表示された場所をヒントに、絵が「描かれた場所」を探しだそう。			「大きな鈴の絵」と「壮麗な門の絵」を使用し、表示された場所をヒントに、絵が「描かれた場所」を探しだそう。			少女が見た景色							
観光のついでに、貸してあげた絵が「描かれた場所」を探して、私に教えてよ。終わったら、絶対に返してもらうんだからね！			観光のついでに、貸してあげた絵が「描かれた場所」を探して、私に教えてよ。終わったら、絶対に返してもらうんだからね！			少女が見た景色							
「大きな鈴の絵」が描かれた場所を見つけた！			「大きな鈴の絵」が描かれた場所を見つけた！			少女が見た景色							
「壮麗な門の絵」が描かれた場所を見つけた！			「壮麗な門の絵」が描かれた場所を見つけた！			少女が見た景色							
絵が描かれた場所は、見つかった？え？　酒場の「潮風亭」と、建物の屋根の上？			絵が描かれた場所は、見つかった？え？　酒場の「潮風亭」と、建物の屋根の上？			少女が見た景色							
酒場には入っちゃダメって言われてるし、屋根なんて、服が汚れるから登ったりできないし……。私が見つけられなかったのも、トーゼンね。			酒場には入っちゃダメって言われてるし、屋根なんて、服が汚れるから登ったりできないし……。私が見つけられなかったのも、トーゼンね。			少女が見た景色							
はい、絵は返してね。それは、私が小さいときに死んじゃった……お母さんが描いた形見なんだから。			はい、絵は返してね。それは、私が小さいときに死んじゃった……お母さんが描いた形見なんだから。			少女が見た景色							
……私、お母さんのこと、ぜんぜん覚えてないんだ。お父さんはいつも、キレイな人だったよって、私に言うの。仕事でクガネに来たときに、一目惚れしたんだって。			……私、お母さんのこと、ぜんぜん覚えてないんだ。お父さんはいつも、キレイな人だったよって、私に言うの。仕事でクガネに来たときに、一目惚れしたんだって。			少女が見た景色							
お母さんと結婚するときは、お父さんの家族がすごく反対したみたい。それでも一緒になるって、ふたりでカケオチしたんだよ。			お母さんと結婚するときは、お父さんの家族がすごく反対したみたい。それでも一緒になるって、ふたりでカケオチしたんだよ。			少女が見た景色							
私ね、クガネにお墓参りに来るって決まってから、ずっと、この絵の場所を探そうって、思ってたんだ。どんな人だったんだろうって、いろいろ想像したりして……。			私ね、クガネにお墓参りに来るって決まってから、ずっと、この絵の場所を探そうって、思ってたんだ。どんな人だったんだろうって、いろいろ想像したりして……。			少女が見た景色							
お母さんがこの絵を描いたの、私と同じくらいの歳のときだって、聞いてたんだけど……。酒場とか屋上って、おテンバだったのかしら？			お母さんがこの絵を描いたの、私と同じくらいの歳のときだって、聞いてたんだけど……。酒場とか屋上って、おテンバだったのかしら？			少女が見た景色							
えっと……クガネは私にとっても故郷みたいなものだし、楽しんでいって。それじゃ……その……ありがとね。			えっと……クガネは私にとっても故郷みたいなものだし、楽しんでいって。それじゃ……その……ありがとね。			少女が見た景色							
潮風亭のエストリルドは、相変わらず道行く人を見定めているようだ。			潮風亭のエストリルドは、相変わらず道行く人を見定めているようだ。			ベテラン・モブハント（リスキー）							
ウルヴィヴァと話す			ウルヴィヴァと話す			ベテラン・モブハント（リスキー）							
あ、Forenameちゃんくん！ねえねえ、聞いてよ！			あ、Forenameちゃんくん！ねえねえ、聞いてよ！			ベテラン・モブハント（リスキー）							
ウルヴィヴァったら、ひどいんだよ。通行人を、無闇やたらに「クラン・セントリオ」に勧誘するなって！私はただ、みんなで遊びたかっただけなのに……。			ウルヴィヴァったら、ひどいんだよ。通行人を、無闇やたらに「クラン・セントリオ」に勧誘するなって！私はただ、みんなで遊びたかっただけなのに……。			ベテラン・モブハント（リスキー）							
ま、私が「モブハント」に誘った子たちは、キミ以外は、なぜか姿を現さなくなっちゃったんだけどね！アハハハハハ！			ま、私が「モブハント」に誘った子たちは、キミ以外は、なぜか姿を現さなくなっちゃったんだけどね！アハハハハハ！			ベテラン・モブハント（リスキー）							
ったく、どいつもこいつもクソ雑魚すぎて反吐が出るぜ。その点、テメェはしぶとく生き残りやがって。腕前は知っていたが、まさか「上級」を越えてきやがるとはな。			ったく、どいつもこいつもクソ雑魚すぎて反吐が出るぜ。その点、テメェはしぶとく生き残りやがって。腕前は知っていたが、まさか「上級」を越えてきやがるとはな。			ベテラン・モブハント（リスキー）							
……よし、いいだろう……合格だ！今日まで生き抜いてきたテメェを、「クラン・セントリオ」の正クラン員として認めてやる！			……よし、いいだろう……合格だ！今日まで生き抜いてきたテメェを、「クラン・セントリオ」の正クラン員として認めてやる！			ベテラン・モブハント（リスキー）							
同時に、テメェには「リスキーモブ」への挑戦権が与えられる！イシュガルドで「リスキーモブ」を狩っていたテメェに、説明はいらねェだろうが、一応「ウルヴィヴァ」から話を聞いとけ。			同時に、テメェには「リスキーモブ」への挑戦権が与えられる！イシュガルドで「リスキーモブ」を狩っていたテメェに、説明はいらねェだろうが、一応「ウルヴィヴァ」から話を聞いとけ。			ベテラン・モブハント（リスキー）							
それじゃ、頑張ってね！……Forenameちゃんくんは、すぐに死んだらやだよ？			それじゃ、頑張ってね！……Forenameちゃんくんは、すぐに死んだらやだよ？			ベテラン・モブハント（リスキー）							
Forenameか。エストリルドから、正クラン員昇格の件、伝え聞いたようだな。			Forenameか。エストリルドから、正クラン員昇格の件、伝え聞いたようだな。			ベテラン・モブハント（リスキー）							
フフフ、今さら、お前の実力を疑う者はいまい。我々、「クラン・セントリオ」は、常に強者を求めている！歓迎するぞ、Forename。			フフフ、今さら、お前の実力を疑う者はいまい。我々、「クラン・セントリオ」は、常に強者を求めている！歓迎するぞ、Forename。			ベテラン・モブハント（リスキー）							
さて、正クラン員となったことで、お前は、今後「リスキーモブ」に挑戦することができる。			さて、正クラン員となったことで、お前は、今後「リスキーモブ」に挑戦することができる。			ベテラン・モブハント（リスキー）							
「リスキーモブ」には、強さに応じたランク付けがされている。高ランクになればなるほど、討伐時の報酬が増えるが、同時にリスクも高くなる。			「リスキーモブ」には、強さに応じたランク付けがされている。高ランクになればなるほど、討伐時の報酬が増えるが、同時にリスクも高くなる。			ベテラン・モブハント（リスキー）							
せいぜい、自身の実力を過信しないことだ。「エストリルド」が初めて認めた仲間であるお前に、今さら、つまらん忠告は不要かもしれないがな。			せいぜい、自身の実力を過信しないことだ。「エストリルド」が初めて認めた仲間であるお前に、今さら、つまらん忠告は不要かもしれないがな。			ベテラン・モブハント（リスキー）							
クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・リスキーモブ手配書」を入手できるようになりました。			クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・リスキーモブ手配書」を入手できるようになりました。			ベテラン・モブハント（リスキー）							
これで、私とテメェは正式に仲間となった。言っとくが、簡単に死んだら承知しねェからな。わかったら、さっさと「ウルヴィヴァ」と話してこい。			これで、私とテメェは正式に仲間となった。言っとくが、簡単に死んだら承知しねェからな。わかったら、さっさと「ウルヴィヴァ」と話してこい。			ベテラン・モブハント（リスキー）							
クガネのよろず屋の男は、何か困っているようだ。			クガネのよろず屋の男は、何か困っているようだ。			望海泉の湯							
望海泉の湯を汲む			望海泉の湯を汲む			望海泉の湯							
帝国大使館の守衛に望海泉の湯を渡す			帝国大使館の守衛に望海泉の湯を渡す			望海泉の湯							
よろず屋の男と話す			よろず屋の男と話す			望海泉の湯							
アンタ、いい身体してるな。おっと……変な意味じゃない、ちょっと力仕事を頼みたいだけだ。			アンタ、いい身体してるな。おっと……変な意味じゃない、ちょっと力仕事を頼みたいだけだ。			望海泉の湯							
オレはこの街でよろず屋、いわば何でも屋をやってるもんだ。望海泉の湯を帝国の大使館まで運ぶ途中、最後の一桶って所で、腰を痛めちまった。			オレはこの街でよろず屋、いわば何でも屋をやってるもんだ。望海泉の湯を帝国の大使館まで運ぶ途中、最後の一桶って所で、腰を痛めちまった。			望海泉の湯							
信用第一の仕事だから、途中で投げ出すわけにはいかなくてな。すまんが、俺の代わりに望海泉の湯を汲んできてほしいんだ。			信用第一の仕事だから、途中で投げ出すわけにはいかなくてな。すまんが、俺の代わりに望海泉の湯を汲んできてほしいんだ。			望海泉の湯							
温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			望海泉の湯							
温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			温泉「望海泉」は楽座街の西、階段を上った先にある。温め直すなんて粋じゃないし、自慢の湯が台無しだ。汲んだ湯は、「帝国大使館の守衛」に届けてくれ。			望海泉の湯							
なんだ、貴様は……。用がないなら、さっさと立ち去れ。			なんだ、貴様は……。用がないなら、さっさと立ち去れ。			望海泉の湯							
大使館は、ここから南だ。冷めないように急いでくれると助かる。話は通ってるから、「帝国大使館の守衛」に渡してくれればいい。			大使館は、ここから南だ。冷めないように急いでくれると助かる。話は通ってるから、「帝国大使館の守衛」に渡してくれればいい。			望海泉の湯							
なんだ、貴様は……。用がないなら、さっさと立ち去れ。			なんだ、貴様は……。用がないなら、さっさと立ち去れ。			望海泉の湯							
望海泉の湯か……話は聞いている。下手な詮索はせず、すみやかに立ち去れ。			望海泉の湯か……話は聞いている。下手な詮索はせず、すみやかに立ち去れ。			望海泉の湯							
用が済んだのなら、下手な詮索はせず、すみやかに立ち去れ。			用が済んだのなら、下手な詮索はせず、すみやかに立ち去れ。			望海泉の湯							
無事に届けてくれて、助かったよ。あそこの守衛……感じが悪いだろう？ここの湯には、傷の治りが早くなる効能があってな。			無事に届けてくれて、助かったよ。あそこの守衛……感じが悪いだろう？ここの湯には、傷の治りが早くなる効能があってな。			望海泉の湯							
クガネじゃ刃傷沙汰は御法度だが、帝国の連中には、血の気の多い奴らも多くてね。湯で裸を見られるわけには…………。			クガネじゃ刃傷沙汰は御法度だが、帝国の連中には、血の気の多い奴らも多くてね。湯で裸を見られるわけには…………。			望海泉の湯							
っと……詮索するなって言われたんだったな。聞かなかったことにしてくれ。手伝ってくれて、ありがとよ。			っと……詮索するなって言われたんだったな。聞かなかったことにしてくれ。手伝ってくれて、ありがとよ。			望海泉の湯							
クガネのヤマビコは、簡単な仕事を頼みたいようだ。			クガネのヤマビコは、簡単な仕事を頼みたいようだ。			不治の病の荷運び人							
ヤマビコの言伝を伝える			ヤマビコの言伝を伝える			不治の病の荷運び人							
ヤマビコと話す			ヤマビコと話す			不治の病の荷運び人							
おっと、そこのお嬢さんお兄さん。簡単な仕事を頼みたいんだが、時間はあるかい。			おっと、そこのお嬢さんお兄さん。簡単な仕事を頼みたいんだが、時間はあるかい。			不治の病の荷運び人							
荷運び人が「不治の病」のせいで、仕事をすっぽかしやがった。船には、大事な荷をたくさん載せているから、俺はこの場を、離れるわけにはいかないんだ。			荷運び人が「不治の病」のせいで、仕事をすっぽかしやがった。船には、大事な荷をたくさん載せているから、俺はこの場を、離れるわけにはいかないんだ。			不治の病の荷運び人							
本来なら、客のところまで運ぶのが筋ってもんだが、今回にかぎって、取りに来てもらいたいと、伝えてほしい。言伝を頼みたい客は、全部で4人いる。			本来なら、客のところまで運ぶのが筋ってもんだが、今回にかぎって、取りに来てもらいたいと、伝えてほしい。言伝を頼みたい客は、全部で4人いる。			不治の病の荷運び人							
潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。少ないが、報酬もきちんと出すから、頼むよ。			潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。少ないが、報酬もきちんと出すから、頼むよ。			不治の病の荷運び人							
言伝を頼みたい客は、全部で4人。潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。			言伝を頼みたい客は、全部で4人。潮風亭の「コトカゼ」と、望海楼の「カラク」、赤誠組屯所の「ミヤマギ」と、小金通りの「ヤマブキ」だ。			不治の病の荷運び人							
おや？……お客さんってわけじゃなさそうだね。			おや？……お客さんってわけじゃなさそうだね。			不治の病の荷運び人							
不治の病とは、大変だな。わかったよ、店の者を取りに行かせよう。「ヤマビコ」にも、そう伝えとくれ。			不治の病とは、大変だな。わかったよ、店の者を取りに行かせよう。「ヤマビコ」にも、そう伝えとくれ。			不治の病の荷運び人							
本場コウシュウの酒蔵から取り寄せてる酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。			本場コウシュウの酒蔵から取り寄せてる酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。			不治の病の荷運び人							
コウシュウの酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。「ヤマビコ」にも、取りに行くと伝えとくれ。			コウシュウの酒は、うちでも人気の商品だからね。それくらいの労力は、惜しまないよ。「ヤマビコ」にも、取りに行くと伝えとくれ。			不治の病の荷運び人							
おいでませ！……っと、どうやらお客さんじゃないみたいですね。何かご用で？			おいでませ！……っと、どうやらお客さんじゃないみたいですね。何かご用で？			不治の病の荷運び人							
荷運び人が、不治の病とは……。そういうことでしたら、取りに行くのに異論はございません。			荷運び人が、不治の病とは……。そういうことでしたら、取りに行くのに異論はございません。			不治の病の荷運び人							
ここクガネがある島、シシュウ産の米も悪くないんですがね、隣のコウシュウ産の米の方が、やっぱり上でしてね。高い金を払って、取り寄せているんですよ。			ここクガネがある島、シシュウ産の米も悪くないんですがね、隣のコウシュウ産の米の方が、やっぱり上でしてね。高い金を払って、取り寄せているんですよ。			不治の病の荷運び人							
これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			不治の病の荷運び人							
これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			不治の病の荷運び人							
待っていたぞ。おぬし、ヤマビコ殿の使いだろう？			待っていたぞ。おぬし、ヤマビコ殿の使いだろう？			不治の病の荷運び人							
なんと不治の病で、荷運び人が休んでしまったと？遅いとは思っていたが、そんな事情があったのなら、仕方あるまい。			なんと不治の病で、荷運び人が休んでしまったと？遅いとは思っていたが、そんな事情があったのなら、仕方あるまい。			不治の病の荷運び人							
幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			不治の病の荷運び人							
幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			不治の病の荷運び人							
アンタ、何か用かい？			アンタ、何か用かい？			不治の病の荷運び人							
不治の病ねえ……まあ、ありゃ一生治らないか。わかった、後で取りに行くよ。「ヤマビコ」にも、そう伝えておいてくれ。			不治の病ねえ……まあ、ありゃ一生治らないか。わかった、後で取りに行くよ。「ヤマビコ」にも、そう伝えておいてくれ。			不治の病の荷運び人							
コウシュウでしか採れない、珍しい生薬でなきゃ、ラザハンの交易商も、納得しないだろうしな。あの国は錬金術がお盛んだから、ほんと、品質には気を遣うよ。			コウシュウでしか採れない、珍しい生薬でなきゃ、ラザハンの交易商も、納得しないだろうしな。あの国は錬金術がお盛んだから、ほんと、品質には気を遣うよ。			不治の病の荷運び人							
コウシュウでしか採れない、珍しい生薬じゃなきゃ、ラザハンの交易商も、納得しないだろうしな。後で取りに行くって、「ヤマビコ」に伝えておいてくれ。			コウシュウでしか採れない、珍しい生薬じゃなきゃ、ラザハンの交易商も、納得しないだろうしな。後で取りに行くって、「ヤマビコ」に伝えておいてくれ。			不治の病の荷運び人							
いやぁ、助かった。コウシュウから、はるばる船で渡ってきた甲斐があるってもんだ。これで、次の交易の準備に取りかかれる。			いやぁ、助かった。コウシュウから、はるばる船で渡ってきた甲斐があるってもんだ。これで、次の交易の準備に取りかかれる。			不治の病の荷運び人							
この港には、異国の船がたくさん係留してるだろ。だが、俺みたいな国内の商人の船も少なくないんだ。ひんがしの国は島国だし、海路は海の街道ってなもんさ。			この港には、異国の船がたくさん係留してるだろ。だが、俺みたいな国内の商人の船も少なくないんだ。ひんがしの国は島国だし、海路は海の街道ってなもんさ。			不治の病の荷運び人							
ん？　荷運び人の心配は、しなくていいぞ。どうせ、ただの仮病だ。定期的に尻を叩かなきゃ、働かないってだけのことよ。			ん？　荷運び人の心配は、しなくていいぞ。どうせ、ただの仮病だ。定期的に尻を叩かなきゃ、働かないってだけのことよ。			不治の病の荷運び人							
だが、いくら叩いても、しばらく経ったら忘れちまう。だから、不治の病ってね。客にも、そう言っておいたほうが、角が立たないだろ。			だが、いくら叩いても、しばらく経ったら忘れちまう。だから、不治の病ってね。客にも、そう言っておいたほうが、角が立たないだろ。			不治の病の荷運び人							
安心しろ、奴の尻を叩くのは俺の仕事だ。金をもらったって、ほかの奴にはやらせやしないよ。それじゃ、ありがとな。			安心しろ、奴の尻を叩くのは俺の仕事だ。金をもらったって、ほかの奴にはやらせやしないよ。それじゃ、ありがとな。			不治の病の荷運び人							
クガネの艶やかな芸子は、何かを探しているようだ。			クガネの艶やかな芸子は、何かを探しているようだ。			姿見の街							
逃げ出したレッサーパンダを探す			逃げ出したレッサーパンダを探す			姿見の街							
艶やかな芸子にレッサーパンダを渡す			艶やかな芸子にレッサーパンダを渡す			姿見の街							
あの子たち、どこにいっちゃったのかしら……。			あの子たち、どこにいっちゃったのかしら……。			姿見の街							
……あなたいい人そうね。あたしのお願い、聞いてくれない？			……あなたいい人そうね。あたしのお願い、聞いてくれない？			姿見の街							
うちの子たちが、置屋(おきや)から逃げ出してしまったの。高い場所に登って、降りられなくなったのかも……。			うちの子たちが、置屋(おきや)から逃げ出してしまったの。高い場所に登って、降りられなくなったのかも……。			姿見の街							
「レッサーパンダ」は、2匹ともとっても臆病だし、外に出たこともほとんどないから、町の外にはいかないはず。お願い、探し出して連れてきて！			「レッサーパンダ」は、2匹ともとっても臆病だし、外に出たこともほとんどないから、町の外にはいかないはず。お願い、探し出して連れてきて！			姿見の街							
「レッサーパンダ」は、2匹ともとっても臆病だし、外に出たこともほとんどないから、町の外にはいかないはず。お願い、探し出して連れてきて！			「レッサーパンダ」は、2匹ともとっても臆病だし、外に出たこともほとんどないから、町の外にはいかないはず。お願い、探し出して連れてきて！			姿見の街							
(-レッサーパンダ-)キィ～。			(-レッサーパンダ-)キィ～。			姿見の街							
あの子たちは、見つかった？			あの子たちは、見つかった？			姿見の街							
ああ、ありがとう！この町はいろいろな望みを満たしてくれるから……少し、自分に素直な人が多いのよね。			ああ、ありがとう！この町はいろいろな望みを満たしてくれるから……少し、自分に素直な人が多いのよね。			姿見の街							
