ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			ミンフィリアは、さっそく冒険者に蛮神問題に関する依頼をしたいようだ。			蛮神の真なる力							
……どんなにガルーダが荒々しさを増していても、君なら打ち破ることができるだろう。僕は君の勝利を信じているよ！			……どんなにガルーダが荒々しさを増していても、君なら打ち破ることができるだろう。僕は君の勝利を信じているよ！			真なる嵐神ガルーダ							
[GC Rank]おや、Forenameじゃないか。あぁ、君を待っていたよ。蛮神「ラムウ」のときはありがとう。だがね、今回は「話し合いで解決」とはいかなさそうだ。			[GC Rank]おや、Forenameじゃないか。あぁ、君を待っていたよ。蛮神「ラムウ」のときはありがとう。だがね、今回は「話し合いで解決」とはいかなさそうだ。			真なる嵐神ガルーダ							
イクサル族の神降ろしによって、蛮神「ガルーダ」が再び顕現してしまってねえ。すでに何名もの犠牲者が出ているんだよ……。			イクサル族の神降ろしによって、蛮神「ガルーダ」が再び顕現してしまってねえ。すでに何名もの犠牲者が出ているんだよ……。			真なる嵐神ガルーダ							
君にお願いしたいのは、もちろん蛮神「ガルーダ」の討滅さ。これはキミにしかできないことなんだ……悔しいけどね。			君にお願いしたいのは、もちろん蛮神「ガルーダ」の討滅さ。これはキミにしかできないことなんだ……悔しいけどね。			真なる嵐神ガルーダ							
蛮神「ガルーダ」のいる「ハウリングアイ石塔群」へ繋がっているエーテライトは、クルザス中央高地の「ナタラン入植地」で見つけたよ。			蛮神「ガルーダ」のいる「ハウリングアイ石塔群」へ繋がっているエーテライトは、クルザス中央高地の「ナタラン入植地」で見つけたよ。			真なる嵐神ガルーダ							
あのクルザスの住人が、捜索に協力してくれてねえ。これも、君の数々の功績のおかげだと、カヌ・エ・センナ様がおっしゃっていたよ。			あのクルザスの住人が、捜索に協力してくれてねえ。これも、君の数々の功績のおかげだと、カヌ・エ・センナ様がおっしゃっていたよ。			真なる嵐神ガルーダ							
……グリダニア、そしてクルザスの民のためにも、君の力を貸してほしいんだ。よろしく頼むよ。			……グリダニア、そしてクルザスの民のためにも、君の力を貸してほしいんだ。よろしく頼むよ。			真なる嵐神ガルーダ							
ヤ・シュトラは、蛮神「タイタン」の討伐を頼みたいようだ。			ヤ・シュトラは、蛮神「タイタン」の討伐を頼みたいようだ。			真なる岩神タイタン							
ついに、蛮神「タイタン」が再召喚されてしまった。今回再召喚された「タイタン」は、蛮神「ガルーダ」を上回る強さらしい。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に話を聞こう。			ついに、蛮神「タイタン」が再召喚されてしまった。今回再召喚された「タイタン」は、蛮神「ガルーダ」を上回る強さらしい。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に話を聞こう。			真なる岩神タイタン							
ル・アシャ大甲佐によると「タイタン」のいる「オ・ゴモロ火口神殿」に行くためには、外地ラノシアのウ・ガマロ武装鉱山にある「エーテライト」を使うといいらしい。			ル・アシャ大甲佐によると「タイタン」のいる「オ・ゴモロ火口神殿」に行くためには、外地ラノシアのウ・ガマロ武装鉱山にある「エーテライト」を使うといいらしい。			真なる岩神タイタン							
エーテライトと交感した。仲間と共に、再召喚された蛮神「タイタン」を倒そう！※コンテンツファインダーから攻略に参加できます。			エーテライトと交感した。仲間と共に、再召喚された蛮神「タイタン」を倒そう！※コンテンツファインダーから攻略に参加できます。			真なる岩神タイタン							
黒渦団：軍令部のル・アシャ大甲佐と話す			黒渦団：軍令部のル・アシャ大甲佐と話す			真なる岩神タイタン							
ウ・ガマロ武装鉱山のエーテライトと交感			ウ・ガマロ武装鉱山のエーテライトと交感			真なる岩神タイタン							
Surname……。蛮神「タイタン」なら問題ないわよ。って言いたいところなんだけど……。			Surname……。蛮神「タイタン」なら問題ないわよ。って言いたいところなんだけど……。			真なる岩神タイタン							
残念ながら再召喚されてしまったわ。ほかの蛮神たちと同様に、さらなる力を得てね。			残念ながら再召喚されてしまったわ。ほかの蛮神たちと同様に、さらなる力を得てね。			真なる岩神タイタン							
……迂闊だったわ。神降ろしの兆候が見られた3つの蛮族の中で、コボルド族だけは途中で、その徴候が弱まったの。			……迂闊だったわ。神降ろしの兆候が見られた3つの蛮族の中で、コボルド族だけは途中で、その徴候が弱まったの。			真なる岩神タイタン							
もしや再召喚を諦めたと考えていたのだけど……。彼らは、私たちの目を欺いていただけだった。			もしや再召喚を諦めたと考えていたのだけど……。彼らは、私たちの目を欺いていただけだった。			真なる岩神タイタン							
裏ではゆっくり、確実に再召喚の準備を進めていたの。大量のクリスタルを蓄えて、ね。			裏ではゆっくり、確実に再召喚の準備を進めていたの。大量のクリスタルを蓄えて、ね。			真なる岩神タイタン							
これまでは、蛮神「ガルーダ」が最強だと言われていたけど、再召喚された「タイタン」からは、その「ガルーダ」を上回る量のエーテルが計測されている。			これまでは、蛮神「ガルーダ」が最強だと言われていたけど、再召喚された「タイタン」からは、その「ガルーダ」を上回る量のエーテルが計測されている。			真なる岩神タイタン							
蛮神の強さは、捧げられたクリスタルの総量と、テンパードたちの願いの強さで決まる……。……この説の裏付けは、私の方で調査を進めておくわ。			蛮神の強さは、捧げられたクリスタルの総量と、テンパードたちの願いの強さで決まる……。……この説の裏付けは、私の方で調査を進めておくわ。			真なる岩神タイタン							
リムサ・ロミンサの「黒渦団」からは、蛮神「タイタン」討伐の実績があるあなたに、すでに討伐依頼がでているわ。			リムサ・ロミンサの「黒渦団」からは、蛮神「タイタン」討伐の実績があるあなたに、すでに討伐依頼がでているわ。			真なる岩神タイタン							
前回、海雄旅団に教えてもらった、「蛮風エーテライト」はもう壊れてしまったけど……「黒渦団」が新たなエーテライトを見つけたらしいの。			前回、海雄旅団に教えてもらった、「蛮風エーテライト」はもう壊れてしまったけど……「黒渦団」が新たなエーテライトを見つけたらしいの。			真なる岩神タイタン							
詳細は、リムサ・ロミンサの「黒渦団：軍令部」にいる、「ル・アシャ大甲佐」に聞いてくれるかしら。			詳細は、リムサ・ロミンサの「黒渦団：軍令部」にいる、「ル・アシャ大甲佐」に聞いてくれるかしら。			真なる岩神タイタン							
以前の蛮神「タイタン」とは全く違う強さよ……。気をつけなさい。……あなたの勝利を祈っているわ。			以前の蛮神「タイタン」とは全く違う強さよ……。気をつけなさい。……あなたの勝利を祈っているわ。			真なる岩神タイタン							
[GC Rank]Forename、ご苦労さま！やぁ、待ってたよ。またキミに、蛮神「タイタン」の討伐をお願いすることになるとはね。			[GC Rank]Forename、ご苦労さま！やぁ、待ってたよ。またキミに、蛮神「タイタン」の討伐をお願いすることになるとはね。			真なる岩神タイタン							
今回コボルド族が顕現させた蛮神「タイタン」は、その力も凶暴性も前とは大違いだ。			今回コボルド族が顕現させた蛮神「タイタン」は、その力も凶暴性も前とは大違いだ。			真なる岩神タイタン							
コボルド族があそこまで大量のクリスタルを、貯めこんでたなんて。本当に想定外だったよ……。			コボルド族があそこまで大量のクリスタルを、貯めこんでたなんて。本当に想定外だったよ……。			真なる岩神タイタン							
再召喚された蛮神「タイタン」の討伐は、実績があるキミじゃなきゃ頼めない。			再召喚された蛮神「タイタン」の討伐は、実績があるキミじゃなきゃ頼めない。			真なる岩神タイタン							
「オ・ゴモロ火口神殿」につながるエーテライトなら、外地ラノシアの「ウ・ガマロ武装鉱山」で見つけた。すぐにでも向かってほしい。			「オ・ゴモロ火口神殿」につながるエーテライトなら、外地ラノシアの「ウ・ガマロ武装鉱山」で見つけた。すぐにでも向かってほしい。			真なる岩神タイタン							
コボルド族の動きも激しくなってきた。このままでは都市部に被害が出るのも時間の問題だ。……どうか、よろしく頼むよ。			コボルド族の動きも激しくなってきた。このままでは都市部に被害が出るのも時間の問題だ。……どうか、よろしく頼むよ。			真なる岩神タイタン							
ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			蛮神の極まりし力							
双蛇党から、蛮神「ガルーダ」が再召喚されたという報せがあったらしい。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」に話を聞こう。			双蛇党から、蛮神「ガルーダ」が再召喚されたという報せがあったらしい。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」に話を聞こう。			蛮神の極まりし力							
ボルセル大牙佐によると、今回の討伐は過酷な任務になるという。再度、ボルセル大牙佐に話しかけて、詳しい話を聞いてみよう。			ボルセル大牙佐によると、今回の討伐は過酷な任務になるという。再度、ボルセル大牙佐に話しかけて、詳しい話を聞いてみよう。			蛮神の極まりし力							
双蛇党：統合司令部のボルセル大牙佐と話す			双蛇党：統合司令部のボルセル大牙佐と話す			蛮神の極まりし力							
我が務めのうちでももっとも重要かつ困難なもの……それは、蛮神の秘められし真実の解明……。核心へ至るまでに開かねばならぬ扉があまりにも多い……			我が務めのうちでももっとも重要かつ困難なもの……それは、蛮神の秘められし真実の解明……。核心へ至るまでに開かねばならぬ扉があまりにも多い……			蛮神の極まりし力							
扉を開く鍵のひとつは、まさにこの地の利……。長き時を費やし、この地に張り巡らせたる情報網は、金脈に勝る価値があります……。			扉を開く鍵のひとつは、まさにこの地の利……。長き時を費やし、この地に張り巡らせたる情報網は、金脈に勝る価値があります……。			蛮神の極まりし力							
ですが、進化をつづける蛮神の今の様相を記した書物は存在しません……。			ですが、進化をつづける蛮神の今の様相を記した書物は存在しません……。			蛮神の極まりし力							
「暁」の本部は移転が決まりましたが……私は、この悲劇の地に残り、我が務めを果たしましょう。蛮神の秘められし真実の解明にあたることになりました……。			「暁」の本部は移転が決まりましたが……私は、この悲劇の地に残り、我が務めを果たしましょう。蛮神の秘められし真実の解明にあたることになりました……。			蛮神の極まりし力							
真実を求めるにも地の利あり……。長き時を費やし、この地に張り巡らせたる情報網は、金脈に勝る価値あるゆえに……。			真実を求めるにも地の利あり……。長き時を費やし、この地に張り巡らせたる情報網は、金脈に勝る価値あるゆえに……。			蛮神の極まりし力							
ですが、真実に至る扉を開くには、解かねばならぬ錠前が、あまりに多い……。			ですが、真実に至る扉を開くには、解かねばならぬ錠前が、あまりに多い……。			蛮神の極まりし力							
ゆえに、あなたの力が、我が師が語りし「神狩る白き剣」が必要となるのです。			ゆえに、あなたの力が、我が師が語りし「神狩る白き剣」が必要となるのです。			蛮神の極まりし力							
実は、あなたが討伐した蛮神「ガルーダ」が、再召喚されたとの報せが、双蛇党より届いております。それも、かつてない力を身に宿して……。			実は、あなたが討伐した蛮神「ガルーダ」が、再召喚されたとの報せが、双蛇党より届いております。それも、かつてない力を身に宿して……。			蛮神の極まりし力							
蛮神が短期間のうちに、力を増したとなれば、必ずや何らかの成因があるはず……。これは、真実に至る鍵のひとつやも知れぬのです。			蛮神が短期間のうちに、力を増したとなれば、必ずや何らかの成因があるはず……。これは、真実に至る鍵のひとつやも知れぬのです。			蛮神の極まりし力							
また、もはや各都市のグランドカンパニーでは手に負えぬ状況であることも、火を見るより明らか……。今一度、狂える嵐神を狩るのです。			また、もはや各都市のグランドカンパニーでは手に負えぬ状況であることも、火を見るより明らか……。今一度、狂える嵐神を狩るのです。			蛮神の極まりし力							
急ぎ、「双蛇党：統合司令部」へ向かい、「ボルセル大牙佐」から詳細を確認してください。私は、砂の家にて吉報を待ちましょう……。			急ぎ、「双蛇党：統合司令部」へ向かい、「ボルセル大牙佐」から詳細を確認してください。私は、砂の家にて吉報を待ちましょう……。			蛮神の極まりし力							
やあ、[GC Rank]Forename、君か。どうやら、すでに話は聞いているようだね。……そう、蛮神「ガルーダ」が再召喚されたんだ。			やあ、[GC Rank]Forename、君か。どうやら、すでに話は聞いているようだね。……そう、蛮神「ガルーダ」が再召喚されたんだ。			蛮神の極まりし力							
今回の蛮神は、これまで以上に過酷になるだろう。しっかりとした準備、それに覚悟ができたら、もう一度、僕に声をかけてくれるかい？			今回の蛮神は、これまで以上に過酷になるだろう。しっかりとした準備、それに覚悟ができたら、もう一度、僕に声をかけてくれるかい？			蛮神の極まりし力							
ボルセル大牙佐は、再召喚された蛮神「ガルーダ」の討伐を依頼したいようだ。			ボルセル大牙佐は、再召喚された蛮神「ガルーダ」の討伐を依頼したいようだ。			極まりし嵐神ガルーダ							
イクサル族によって再召喚された蛮神「ガルーダ」は、今回も「ハウリングアイ石塔群」にいるという。蛮神「ガルーダ」を討伐するために、クルザス中央高地のナタラン入植地にある「ナタラン・エーテライト」に触れよう。			イクサル族によって再召喚された蛮神「ガルーダ」は、今回も「ハウリングアイ石塔群」にいるという。蛮神「ガルーダ」を討伐するために、クルザス中央高地のナタラン入植地にある「ナタラン・エーテライト」に触れよう。			極まりし嵐神ガルーダ							
ナタラン・エーテライトに触れた。仲間と共に、再召喚された蛮神「ガルーダ」を倒そう！※コンテンツファインダーから攻略に参加できます。			ナタラン・エーテライトに触れた。仲間と共に、再召喚された蛮神「ガルーダ」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし嵐神ガルーダ							
再召喚された蛮神「ガルーダ」を討伐し、嵐神の祭器を手に入れた。クルザス中央高地に戻ろう。			再召喚された蛮神「ガルーダ」を討伐し、嵐神の祭器を手に入れた。クルザス中央高地に戻ろう。			極まりし嵐神ガルーダ							
クルザス中央高地に戻った。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」に嵐神の祭器を届け、蛮神「ガルーダ」の討伐が完了した旨を報告しよう。			クルザス中央高地に戻った。グリダニアの双蛇党：統合司令部にいる「ボルセル大牙佐」に嵐神の祭器を届け、蛮神「ガルーダ」の討伐が完了した旨を報告しよう。			極まりし嵐神ガルーダ							
ボルセル大牙佐によると、冒険者がもたらした祭器は未知の品物だという。ベスパーベイの「砂の家」に戻り、ウリエンジェに嵐神の祭器を届けよう。			ボルセル大牙佐によると、冒険者がもたらした祭器は未知の品物だという。ベスパーベイの「砂の家」に戻り、ウリエンジェに嵐神の祭器を届けよう。			極まりし嵐神ガルーダ							
蛮神「ガルーダ」が凶悪化した背景には、イクサル族が新たな召喚方法を使用した可能性があるという。冒険者が入手した嵐神の祭器も、新たな召喚方法と関係があるかもしれない。再びアシエンが動き出したのだろうか……。他の蛮神についても、動向を確認する必要がありそうだ。			蛮神「ガルーダ」が凶悪化した背景には、イクサル族が新たな召喚方法を使用した可能性があるという。冒険者が入手した嵐神の祭器も、新たな召喚方法と関係があるかもしれない。再びアシエンが動き出したのだろうか……。他の蛮神についても、動向を確認する必要がありそうだ。			極まりし嵐神ガルーダ							
クルザス中央高地のナタラン・エーテライトに触れる			クルザス中央高地のナタラン・エーテライトに触れる			極まりし嵐神ガルーダ							
「極ガルーダ討滅戦」を攻略			「極ガルーダ討滅戦」を攻略			極まりし嵐神ガルーダ							
双蛇党：統合司令部のボルセル大牙佐に嵐神の祭器を見せる			双蛇党：統合司令部のボルセル大牙佐に嵐神の祭器を見せる			極まりし嵐神ガルーダ							
砂の家のウリエンジェに嵐神の祭器を渡す			砂の家のウリエンジェに嵐神の祭器を渡す			極まりし嵐神ガルーダ							
イクサル族対策として新たな監視哨を建設していた青狢隊が、蛮神「ガルーダ」に襲撃されて、壊滅的被害を受けた……。			イクサル族対策として新たな監視哨を建設していた青狢隊が、蛮神「ガルーダ」に襲撃されて、壊滅的被害を受けた……。			極まりし嵐神ガルーダ							
ただひとり生き残った隊士の報告では、現れた蛮神「ガルーダ」は、片手で烈風を生み出し、建設中の監視哨を粉々に砕いて隊員を殺したというんだ。			ただひとり生き残った隊士の報告では、現れた蛮神「ガルーダ」は、片手で烈風を生み出し、建設中の監視哨を粉々に砕いて隊員を殺したというんだ。			極まりし嵐神ガルーダ							
……どうやら、再召喚された蛮神「ガルーダ」は、以前に比べ、さらに力をつけてるようでね。被害が広がる前に、是が非でもやつを止めなくてはならない。			……どうやら、再召喚された蛮神「ガルーダ」は、以前に比べ、さらに力をつけてるようでね。被害が広がる前に、是が非でもやつを止めなくてはならない。			極まりし嵐神ガルーダ							
だけど、ガルーダの再召喚で勢いづいたイクサル族への対応に、僕らは手一杯でね……。とても、蛮神討伐に割ける戦力がないんだ。			だけど、ガルーダの再召喚で勢いづいたイクサル族への対応に、僕らは手一杯でね……。とても、蛮神討伐に割ける戦力がないんだ。			極まりし嵐神ガルーダ							
そこで、やつの討伐経験があり、歴戦の英雄である君の力を借りたくて連絡したというわけさ。どうか、蛮神「ガルーダ」を今一度討伐してほしい。			そこで、やつの討伐経験があり、歴戦の英雄である君の力を借りたくて連絡したというわけさ。どうか、蛮神「ガルーダ」を今一度討伐してほしい。			極まりし嵐神ガルーダ							
蛮神「ガルーダ」は、前に召喚されたときと同じく、「ハウリングアイ石塔群」に鎮座しているようだ。			蛮神「ガルーダ」は、前に召喚されたときと同じく、「ハウリングアイ石塔群」に鎮座しているようだ。			極まりし嵐神ガルーダ							
あそこに行くには、クルザス中央高地のナタラン入植地にある「ナタラン・エーテライト」が使えるはず。……厳しい戦いになるだろうけど、頼んだよ。			あそこに行くには、クルザス中央高地のナタラン入植地にある「ナタラン・エーテライト」が使えるはず。……厳しい戦いになるだろうけど、頼んだよ。			極まりし嵐神ガルーダ							
嵐神の力を高める試みは、想定通りに成功したが……これほど容易に倒されるとは、いささか予想外だったな。			嵐神の力を高める試みは、想定通りに成功したが……これほど容易に倒されるとは、いささか予想外だったな。			極まりし嵐神ガルーダ							
あの光の使徒が相手では、生ぬるかったかナ。しかもあの冒険者、依代まで目ざとく見つけたようだネ。			あの光の使徒が相手では、生ぬるかったかナ。しかもあの冒険者、依代まで目ざとく見つけたようだネ。			極まりし嵐神ガルーダ							
心配にはおよばない。新たな召喚方法に勘付かれたところで奴らに、召喚を食い止める術はない……。			心配にはおよばない。新たな召喚方法に勘付かれたところで奴らに、召喚を食い止める術はない……。			極まりし嵐神ガルーダ							
それに蛮族どもが、より強い蛮神を求めるしネ。この連鎖が続くかぎり、ますます混沌は深まるはずだヨ。			それに蛮族どもが、より強い蛮神を求めるしネ。この連鎖が続くかぎり、ますます混沌は深まるはずだヨ。			極まりし嵐神ガルーダ							
その判断を下されるのは、あの方々だ。われらは事実を報告するまで……戻るぞ。			その判断を下されるのは、あの方々だ。われらは事実を報告するまで……戻るぞ。			極まりし嵐神ガルーダ							
おかえり、見事に討伐してくれたんだね！さすがは[GC Rank]Forename、感謝するよ！……おや？　蛮神から気になるものを手に入れたって？			おかえり、見事に討伐してくれたんだね！さすがは[GC Rank]Forename、感謝するよ！……おや？　蛮神から気になるものを手に入れたって？			極まりし嵐神ガルーダ							
……うわっ、なんだいこの不気味な骨の塊は？こんなもの今まで見たこともないよ。			……うわっ、なんだいこの不気味な骨の塊は？こんなもの今まで見たこともないよ。			極まりし嵐神ガルーダ							
何に使うものなのか、僕じゃ見当もつかないけど……蛮神「ガルーダ」の居場所にあったのなら、きっと、蛮神に関係するものなんだろうね。			何に使うものなのか、僕じゃ見当もつかないけど……蛮神「ガルーダ」の居場所にあったのなら、きっと、蛮神に関係するものなんだろうね。			極まりし嵐神ガルーダ							
ここは、「砂の家」の賢人「ウリエンジェ」殿に確認してもらったほうがいいだろう。この品を手渡し、調査を依頼してもらえるかな？			ここは、「砂の家」の賢人「ウリエンジェ」殿に確認してもらったほうがいいだろう。この品を手渡し、調査を依頼してもらえるかな？			極まりし嵐神ガルーダ							
双蛇党より報告は受けています、よくぞ戻られました。真実に至る扉を開ける鍵……嵐神との戦いにおいて、何か気づかれたことはありますか……？			双蛇党より報告は受けています、よくぞ戻られました。真実に至る扉を開ける鍵……嵐神との戦いにおいて、何か気づかれたことはありますか……？			極まりし嵐神ガルーダ							
……これは、イクサル族の骨で作られた「祭器」のようです。しかし、如何なる代物かを知るには、しばしの時が必要……。真実を解き明かすまで、一旦預からせていただきましょう。			……これは、イクサル族の骨で作られた「祭器」のようです。しかし、如何なる代物かを知るには、しばしの時が必要……。真実を解き明かすまで、一旦預からせていただきましょう。			極まりし嵐神ガルーダ							
この短期間で、嵐神がさらに凶悪化していたという事実……クリスタルとテンパードの蓄えだけとは思えません。もしや、「未知なる召喚法」が用いられているのでは……。			この短期間で、嵐神がさらに凶悪化していたという事実……クリスタルとテンパードの蓄えだけとは思えません。もしや、「未知なる召喚法」が用いられているのでは……。			極まりし嵐神ガルーダ							
イクサル族が独自の召喚法を編み出したとは信じがたい。より深く蛮神を知るもの……はたして、闇の者……アシエンの策動と考えるのが筋か……。			イクサル族が独自の召喚法を編み出したとは信じがたい。より深く蛮神を知るもの……はたして、闇の者……アシエンの策動と考えるのが筋か……。			極まりし嵐神ガルーダ							
だとすれば、ほかの蛮族たちに動きがあることも必定……。……実は、すでに気になる報せが届いています……。再び、あなたの力を貸していただくことになるでしょう。			だとすれば、ほかの蛮族たちに動きがあることも必定……。……実は、すでに気になる報せが届いています……。再び、あなたの力を貸していただくことになるでしょう。			極まりし嵐神ガルーダ							
ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			ウリエンジェは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし岩神タイタン							
蛮神「タイタン」も再召喚された可能性があるという。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に話を聞こう。			蛮神「タイタン」も再召喚された可能性があるという。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に話を聞こう。			極まりし岩神タイタン							
コボルド族によって再召喚された蛮神「タイタン」は、今回も「オ・ゴモロ火口神殿」にいるという。蛮神「タイタン」を討伐するために、外地ラノシアのウ・ガマロ武装鉱山にある「ウ・ガマロ・エーテライト」に触れよう。			コボルド族によって再召喚された蛮神「タイタン」は、今回も「オ・ゴモロ火口神殿」にいるという。蛮神「タイタン」を討伐するために、外地ラノシアのウ・ガマロ武装鉱山にある「ウ・ガマロ・エーテライト」に触れよう。			極まりし岩神タイタン							
ウ・ガマロ・エーテライトに触れた。仲間と共に、再召喚された蛮神「タイタン」を倒そう！※コンテンツファインダーから攻略に参加できます。			ウ・ガマロ・エーテライトに触れた。仲間と共に、再召喚された蛮神「タイタン」を倒そう！※コンテンツファインダーから攻略に参加できます。			極まりし岩神タイタン							
再召喚された蛮神「タイタン」を討伐し、岩神の祭器を手に入れた。外地ラノシアに戻ろう。			再召喚された蛮神「タイタン」を討伐し、岩神の祭器を手に入れた。外地ラノシアに戻ろう。			極まりし岩神タイタン							
外地ラノシアに戻った。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に岩神の祭器を届け、蛮神「タイタン」討伐完了の旨を報告しよう。			外地ラノシアに戻った。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に岩神の祭器を届け、蛮神「タイタン」討伐完了の旨を報告しよう。			極まりし岩神タイタン							
ル・アシャ大甲佐は、岩神の祭器に関する情報を持ち合わせていなかった。ベスパーベイの「砂の家」に戻り、ウリエンジェに岩神の祭器を見せよう。			ル・アシャ大甲佐は、岩神の祭器に関する情報を持ち合わせていなかった。ベスパーベイの「砂の家」に戻り、ウリエンジェに岩神の祭器を見せよう。			極まりし岩神タイタン							
ウリエンジェは冒険者の報告を受け、蛮神「ガルーダ」と蛮神「タイタン」の召喚に関して、いくつかの類似点があることに気づいたようだ。冒険者が力をつけるたびに蛮神が強くなっているのは、単なる偶然だろうか……？			ウリエンジェは冒険者の報告を受け、蛮神「ガルーダ」と蛮神「タイタン」の召喚に関して、いくつかの類似点があることに気づいたようだ。冒険者が力をつけるたびに蛮神が強くなっているのは、単なる偶然だろうか……？			極まりし岩神タイタン							
黒渦団：軍令部のル・アシャ大甲佐と話す			黒渦団：軍令部のル・アシャ大甲佐と話す			極まりし岩神タイタン							
外地ラノシアのウ・ガマロ・エーテライトに触れる			外地ラノシアのウ・ガマロ・エーテライトに触れる			極まりし岩神タイタン							
「極タイタン討滅戦」を攻略			「極タイタン討滅戦」を攻略			極まりし岩神タイタン							
黒渦団：軍令部のル・アシャ大甲佐に岩神の祭器を見せる			黒渦団：軍令部のル・アシャ大甲佐に岩神の祭器を見せる			極まりし岩神タイタン							
砂の家のウリエンジェに岩神の祭器を渡す			砂の家のウリエンジェに岩神の祭器を渡す			極まりし岩神タイタン							
……報せとは、ほかでもありません。バイルブランド島北方にて大地震が観測されたとの一報が、黒渦団よりもたらされたのです……。			……報せとは、ほかでもありません。バイルブランド島北方にて大地震が観測されたとの一報が、黒渦団よりもたらされたのです……。			極まりし岩神タイタン							
先のイクサル族と同様……コボルド族もまた、「未知なる召喚法」を用いて岩神「タイタン」を呼び降ろしたのやもしれません……。			先のイクサル族と同様……コボルド族もまた、「未知なる召喚法」を用いて岩神「タイタン」を呼び降ろしたのやもしれません……。			極まりし岩神タイタン							
リムサ・ロミンサへ向かい、「黒渦団：軍令部」にいる「ル・アシャ大甲佐」より事情を聞いてみてください。どうか、お気をつけて……。			リムサ・ロミンサへ向かい、「黒渦団：軍令部」にいる「ル・アシャ大甲佐」より事情を聞いてみてください。どうか、お気をつけて……。			極まりし岩神タイタン							
[GC Rank]Forenameか。キミか。よく来てくれた、キミがいれば心強いよ。			[GC Rank]Forenameか。キミか。よく来てくれた、キミがいれば心強いよ。			極まりし岩神タイタン							
……どうやらコボルド族によって蛮神「タイタン」が再召喚されてしまったようなんだ。			……どうやらコボルド族によって蛮神「タイタン」が再召喚されてしまったようなんだ。			極まりし岩神タイタン							
先日の大地震も、タイタンの仕業に間違いない。その激震ぶりから考えて、ウリエンジェ殿の情報どおり、蛮神の力が格段に強まっているのは確実だろうね。			先日の大地震も、タイタンの仕業に間違いない。その激震ぶりから考えて、ウリエンジェ殿の情報どおり、蛮神の力が格段に強まっているのは確実だろうね。			極まりし岩神タイタン							
もちろん、我々の手で討ちたい！でも、テンパード化の脅威がある以上、悔しいけど今は「暁」に頼るしかないんだ……。			もちろん、我々の手で討ちたい！でも、テンパード化の脅威がある以上、悔しいけど今は「暁」に頼るしかないんだ……。			極まりし岩神タイタン							
観測の結果から、蛮神「タイタン」は、前回と同様に「オ・ゴモロ火口神殿」にいるようだ。			観測の結果から、蛮神「タイタン」は、前回と同様に「オ・ゴモロ火口神殿」にいるようだ。			極まりし岩神タイタン							
あそこは、外地ラノシアのウ・ガマロ武装鉱山にある「ウ・ガマロ・エーテライト」から潜入できるはずさ。……それじゃ頼むね、くれぐれも気をつけて！			あそこは、外地ラノシアのウ・ガマロ武装鉱山にある「ウ・ガマロ・エーテライト」から潜入できるはずさ。……それじゃ頼むね、くれぐれも気をつけて！			極まりし岩神タイタン							
贄の力で降ろした岩神は、申し分ない力を発揮してくれたネ。依代の効果はテキメンといったところかナ。			贄の力で降ろした岩神は、申し分ない力を発揮してくれたネ。依代の効果はテキメンといったところかナ。			極まりし岩神タイタン							
岩神が討たれるのは想定内ではあるが……光の使徒は、その想定を上回る力をつけているようだ。			岩神が討たれるのは想定内ではあるが……光の使徒は、その想定を上回る力をつけているようだ。			極まりし岩神タイタン							
だとしても、力の応酬は、より大きな力を求める原動力になるだけサ。			だとしても、力の応酬は、より大きな力を求める原動力になるだけサ。			極まりし岩神タイタン							
ああ……光が強まれば、闇もまた濃くなる。次が楽しみだ……。			ああ……光が強まれば、闇もまた濃くなる。次が楽しみだ……。			極まりし岩神タイタン							
連絡は受けているよ、討伐してくれてありがとう！予想どおり、蛮神「タイタン」は力をつけていたんだね……。……なに？　討伐時に気になる物があったって？			連絡は受けているよ、討伐してくれてありがとう！予想どおり、蛮神「タイタン」は力をつけていたんだね……。……なに？　討伐時に気になる物があったって？			極まりし岩神タイタン							
……こ、これは骨っ！？ずいぶん悪趣味だな……。コボルド族の感性って、ぜんぜん理解できないよ。			……こ、これは骨っ！？ずいぶん悪趣味だな……。コボルド族の感性って、ぜんぜん理解できないよ。			極まりし岩神タイタン							
