流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
アイメリク卿にも話は伝えてあるゆえ、すぐにいらっしゃるはずだ。みなで話を聞こう。			アイメリク卿にも話は伝えてあるゆえ、すぐにいらっしゃるはずだ。みなで話を聞こう。			赦しもなく、救いもなく							
クレム助祭、ご足労感謝する。さっそくだが、いくつか聞かせてほしいことがある。			クレム助祭、ご足労感謝する。さっそくだが、いくつか聞かせてほしいことがある。			赦しもなく、救いもなく							
ええ、わたくしに答えられるものであれば、是非とも協力させてください。			ええ、わたくしに答えられるものであれば、是非とも協力させてください。			赦しもなく、救いもなく							
ではさっそくだが……保護した者たちは、獣に転じた異端審問官と知己であり、彼らはイシュガルド正教の聖職者であった。			ではさっそくだが……保護した者たちは、獣に転じた異端審問官と知己であり、彼らはイシュガルド正教の聖職者であった。			赦しもなく、救いもなく							
そして人里離れた地域に移り住んだ理由は、皇都の一部市民による、正教への糾弾を恐れるため……。これに間違いはないか？			そして人里離れた地域に移り住んだ理由は、皇都の一部市民による、正教への糾弾を恐れるため……。これに間違いはないか？			赦しもなく、救いもなく							
ええ、そのようです。皇都は敬虔な信徒が多かったぶん反動も大きく、一部には厳しい批判の声もありましたから。			ええ、そのようです。皇都は敬虔な信徒が多かったぶん反動も大きく、一部には厳しい批判の声もありましたから。			赦しもなく、救いもなく							
正教が偽りの歴史を教えてきたことは事実ですが、何も知らされていなかったのは、我々も同じなのです。それを問いただしても、軋轢を生むだけだというのに……。			正教が偽りの歴史を教えてきたことは事実ですが、何も知らされていなかったのは、我々も同じなのです。それを問いただしても、軋轢を生むだけだというのに……。			赦しもなく、救いもなく							
貴殿の言うとおりだ。だが、誰かを責めずにはいられない者が少なくないのも、悲しいかな、現実ではあるのだろう……。			貴殿の言うとおりだ。だが、誰かを責めずにはいられない者が少なくないのも、悲しいかな、現実ではあるのだろう……。			赦しもなく、救いもなく							
もうひとつ聞かせてくれ。獣化してしまった者たちを含めて、貴殿ら聖職者が、竜詩戦争終結後に、どんな葛藤を抱いてきたのかを……。			もうひとつ聞かせてくれ。獣化してしまった者たちを含めて、貴殿ら聖職者が、竜詩戦争終結後に、どんな葛藤を抱いてきたのかを……。			赦しもなく、救いもなく							
戦争の終結は、もちろん悲願ではありましたが……我ら聖職者たちにかぎっては、現状に満足している者はいないと言っていいでしょう。			戦争の終結は、もちろん悲願ではありましたが……我ら聖職者たちにかぎっては、現状に満足している者はいないと言っていいでしょう。			赦しもなく、救いもなく							
我々聖職者にとって、我が身を捧げんとした正教は、己を己たらしめる思想の核のようなものです。			我々聖職者にとって、我が身を捧げんとした正教は、己を己たらしめる思想の核のようなものです。			赦しもなく、救いもなく							
その欺瞞と真実を知って、みな葛藤しています。裏切られた悲しみ、何も知らなかった自分への無力感や自責、そして、思想や行動の規範が失われた喪失感……。			その欺瞞と真実を知って、みな葛藤しています。裏切られた悲しみ、何も知らなかった自分への無力感や自責、そして、思想や行動の規範が失われた喪失感……。			赦しもなく、救いもなく							
我々はずっと……暗闇の只中にいる思いです。			我々はずっと……暗闇の只中にいる思いです。			赦しもなく、救いもなく							
しかし、わたくしは信じております。正教が新しい道をみつけ、また人々の希望となることを……。			しかし、わたくしは信じております。正教が新しい道をみつけ、また人々の希望となることを……。			赦しもなく、救いもなく							
正直なところを語ってくれて、ありがとう。しかし、これで確信が持てた……。			正直なところを語ってくれて、ありがとう。しかし、これで確信が持てた……。			赦しもなく、救いもなく							
クレム助祭、貴殿には話しておきたいことがある。エオルゼア各地で発生している人の獣化現象は、人の「絶望」に起因する。			クレム助祭、貴殿には話しておきたいことがある。エオルゼア各地で発生している人の獣化現象は、人の「絶望」に起因する。			赦しもなく、救いもなく							
貴殿の話してくれた聖職者たちの抱える不安。それがときに絶望にまで至り、彼らを獣化させているというのが、現状の私たちの推察だ。			貴殿の話してくれた聖職者たちの抱える不安。それがときに絶望にまで至り、彼らを獣化させているというのが、現状の私たちの推察だ。			赦しもなく、救いもなく							
貴殿も聖職者ではあるが、改革の希望を信じていたがゆえに、獣に転じなかったのだろう。その心根の強さを見込み、調査に協力してほしい。			貴殿も聖職者ではあるが、改革の希望を信じていたがゆえに、獣に転じなかったのだろう。その心根の強さを見込み、調査に協力してほしい。			赦しもなく、救いもなく							
…………同志を絶望から救うためならば、喜んで。			…………同志を絶望から救うためならば、喜んで。			赦しもなく、救いもなく							
クレム助祭のおかげで、推察はより現実味を帯びたが、そうなると偽神獣の正体が気にかかりますな。			クレム助祭のおかげで、推察はより現実味を帯びたが、そうなると偽神獣の正体が気にかかりますな。			赦しもなく、救いもなく							
この皇都で誰よりも正教の現状を嘆き、強大な偽神獣となった……彼もまた、聖職者だったのでしょうか？			この皇都で誰よりも正教の現状を嘆き、強大な偽神獣となった……彼もまた、聖職者だったのでしょうか？			赦しもなく、救いもなく							
わたくしが姿を見たのは、転じる前の一瞬でしたが……外套も羽織らず、ひどく簡素な身なりをした男性でした。聖職者のようには、とても……。			わたくしが姿を見たのは、転じる前の一瞬でしたが……外套も羽織らず、ひどく簡素な身なりをした男性でした。聖職者のようには、とても……。			赦しもなく、救いもなく							
ラザハンの報告書によると、偽神獣の行動は、生前の人格や記憶に影響を受けている可能性があるという。			ラザハンの報告書によると、偽神獣の行動は、生前の人格や記憶に影響を受けている可能性があるという。			赦しもなく、救いもなく							
偽神獣の行動原理がわかれば、討伐にも役立てるだろう。そのためにも、偽神獣ファーヴニルの正体を探らねばな。			偽神獣の行動原理がわかれば、討伐にも役立てるだろう。そのためにも、偽神獣ファーヴニルの正体を探らねばな。			赦しもなく、救いもなく							
クレム助祭には、不安を抱える聖職者への呼びかけを頼みたい。彼らの心が、少しでも落ち着くように。			クレム助祭には、不安を抱える聖職者への呼びかけを頼みたい。彼らの心が、少しでも落ち着くように。			赦しもなく、救いもなく							
もちろんです。人の心に寄り添い、救うことこそが、わたくしの使命ですから。			もちろんです。人の心に寄り添い、救うことこそが、わたくしの使命ですから。			赦しもなく、救いもなく							
やはり、鍵は偽神獣の正体にある。神殿騎士団に捜査を任せてきたが、いまいちど、我々も目撃情報の洗い出しを行ってみよう。			やはり、鍵は偽神獣の正体にある。神殿騎士団に捜査を任せてきたが、いまいちど、我々も目撃情報の洗い出しを行ってみよう。			赦しもなく、救いもなく							
偽神獣が発生した際、グランド・ホプロンには、聖職者たちだけではなく一般市民がいたはずだ。皇都の上層で、偽神獣となった男の目撃証言を集めよう。			偽神獣が発生した際、グランド・ホプロンには、聖職者たちだけではなく一般市民がいたはずだ。皇都の上層で、偽神獣となった男の目撃証言を集めよう。			赦しもなく、救いもなく							
Forename。君は「グランド・ホプロン」の周辺での聞き込みを頼む。			Forename。君は「グランド・ホプロン」の周辺での聞き込みを頼む。			赦しもなく、救いもなく							
手分けをして、偽神獣となった男の目撃証言を集めよう。			手分けをして、偽神獣となった男の目撃証言を集めよう。			赦しもなく、救いもなく							
こちらは順調だ。貴殿は「グランド・ホプロン」方面で目撃証言を集めてくれ。			こちらは順調だ。貴殿は「グランド・ホプロン」方面で目撃証言を集めてくれ。			赦しもなく、救いもなく							
皇都に巨大な竜が出現したとき？私はその時こちらにはおりませんでしたの。			皇都に巨大な竜が出現したとき？私はその時こちらにはおりませんでしたの。			赦しもなく、救いもなく							
それにしても恐ろしいかぎりですわ。議会の発表ではドラゴン族の襲来ではないとのことですけど、それって本当ですの？			それにしても恐ろしいかぎりですわ。議会の発表ではドラゴン族の襲来ではないとのことですけど、それって本当ですの？			赦しもなく、救いもなく							
グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			赦しもなく、救いもなく							
グランド・ホプロンでの事件には居合わせておらぬが、外套も羽織らない簡素な身なりの男なら、すれ違ったぞ。			グランド・ホプロンでの事件には居合わせておらぬが、外套も羽織らない簡素な身なりの男なら、すれ違ったぞ。			赦しもなく、救いもなく							
どうやら、蒼天街のルーシュマンド記念病院を抜け出したようでな。病院の職員が彼を探していたから、覚えているんじゃ。ええっと「ヴァンドロー」という名だったかの。			どうやら、蒼天街のルーシュマンド記念病院を抜け出したようでな。病院の職員が彼を探していたから、覚えているんじゃ。ええっと「ヴァンドロー」という名だったかの。			赦しもなく、救いもなく							
皇都に巨大な竜が出現した際、私はその時こちらにはおりませんでしたの。			皇都に巨大な竜が出現した際、私はその時こちらにはおりませんでしたの。			赦しもなく、救いもなく							
グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			赦しもなく、救いもなく							
外套も羽織らない簡素な身なりの男性なら、すれ違ったぞ。蒼天街のルーシュマンド記念病院を抜け出した、ええっと「ヴァンドロー」という名だったかの。			外套も羽織らない簡素な身なりの男性なら、すれ違ったぞ。蒼天街のルーシュマンド記念病院を抜け出した、ええっと「ヴァンドロー」という名だったかの。			赦しもなく、救いもなく							
有力な情報はあったか？			有力な情報はあったか？			赦しもなく、救いもなく							
Forename、戻ったか。そちらで集めてきた情報を教えてくれ。			Forename、戻ったか。そちらで集めてきた情報を教えてくれ。			赦しもなく、救いもなく							
なるほど。復興特区である蒼天街、そこに設立された病院から、抜け出したとおぼしき男か……。			なるほど。復興特区である蒼天街、そこに設立された病院から、抜け出したとおぼしき男か……。			赦しもなく、救いもなく							
なるほど。蒼天街の病院を抜け出したとおぼしき男か……。			なるほど。蒼天街の病院を抜け出したとおぼしき男か……。			赦しもなく、救いもなく							
こちらでも、寒さを忘れた様子で、呆然自失の状態で歩いている者を見た、という証言がありましたね。			こちらでも、寒さを忘れた様子で、呆然自失の状態で歩いている者を見た、という証言がありましたね。			赦しもなく、救いもなく							
病院から着の身着のまま抜け出した格好であれば、説明がつきますな。			病院から着の身着のまま抜け出した格好であれば、説明がつきますな。			赦しもなく、救いもなく							
ああ、おそらく証言は偽神獣となった男で一致しているだろう。それにしても「ヴァンドロー」とはな……。			ああ、おそらく証言は偽神獣となった男で一致しているだろう。それにしても「ヴァンドロー」とはな……。			赦しもなく、救いもなく							
いやな、皇都では有名な名なのだ。ヴァンドロー・ド・ルーシュマンド……奇しくも病院の名にもなっている、先代蒼天騎士団総長だ。			いやな、皇都では有名な名なのだ。ヴァンドロー・ド・ルーシュマンド……奇しくも病院の名にもなっている、先代蒼天騎士団総長だ。			赦しもなく、救いもなく							
彼は老齢のために蒼天騎士団総長を引退したのち、人知れず、旅に出たと聞いておりますが……。はたして本人でしょうか？			彼は老齢のために蒼天騎士団総長を引退したのち、人知れず、旅に出たと聞いておりますが……。はたして本人でしょうか？			赦しもなく、救いもなく							
ともかく、私が一足先に蒼天街へ向かい、詳しい者を呼んでまいりましょう。おふたりは雲霧街でお待ちください。			ともかく、私が一足先に蒼天街へ向かい、詳しい者を呼んでまいりましょう。おふたりは雲霧街でお待ちください。			赦しもなく、救いもなく							
アルトアレール卿が戻るまで、我々はここで待っていよう。			アルトアレール卿が戻るまで、我々はここで待っていよう。			赦しもなく、救いもなく							
こちら、「ヴァンドロー」なる人物の看護を担当していたという、ロヴリック殿です。			こちら、「ヴァンドロー」なる人物の看護を担当していたという、ロヴリック殿です。			赦しもなく、救いもなく							
あ、あの……もしやヴァンドローさんが見つかったのですか？病院を抜け出したまま、未だに帰らないのです……。			あ、あの……もしやヴァンドローさんが見つかったのですか？病院を抜け出したまま、未だに帰らないのです……。			赦しもなく、救いもなく							
では、やはり行方がわからないと……？我々は、ある事情で「ヴァンドロー」氏の身元を調べていてな。詳しく教えてはもらえぬだろうか？			では、やはり行方がわからないと……？我々は、ある事情で「ヴァンドロー」氏の身元を調べていてな。詳しく教えてはもらえぬだろうか？			赦しもなく、救いもなく							
ええ、彼はクルザス中央高地で保護された青年です。しばらくは神殿騎士団病院にいたのですが、長期療養のために、ルーシュマンド記念病院に転院してこられました。			ええ、彼はクルザス中央高地で保護された青年です。しばらくは神殿騎士団病院にいたのですが、長期療養のために、ルーシュマンド記念病院に転院してこられました。			赦しもなく、救いもなく							
青年か……。つまり、ヴァンドロー・ド・ルーシュマンドとは、別人と考えてよさそうだな。			青年か……。つまり、ヴァンドロー・ド・ルーシュマンドとは、別人と考えてよさそうだな。			赦しもなく、救いもなく							
あの蒼天騎士団総長だった方とは、ええ、もちろん別人ですとも。			あの蒼天騎士団総長だった方とは、ええ、もちろん別人ですとも。			赦しもなく、救いもなく							
ただ、その名は目を覚ました本人が語ったものですが、記憶が曖昧で、身分を示す品を持っていたわけでもなく……。正直、私たちにも詳しいことは……。			ただ、その名は目を覚ました本人が語ったものですが、記憶が曖昧で、身分を示す品を持っていたわけでもなく……。正直、私たちにも詳しいことは……。			赦しもなく、救いもなく							
そうこうするうちに、病室から抜け出してしまい、捜索願を出していたのです……。			そうこうするうちに、病室から抜け出してしまい、捜索願を出していたのです……。			赦しもなく、救いもなく							
…………彼は先日グランド・ホプロンにて、強大な終末の獣「ファーヴニル」に転じた可能性が高い。			…………彼は先日グランド・ホプロンにて、強大な終末の獣「ファーヴニル」に転じた可能性が高い。			赦しもなく、救いもなく							
そ、そんな……！！平和になった皇都で、やっと目覚めたっていうのに……！			そ、そんな……！！平和になった皇都で、やっと目覚めたっていうのに……！			赦しもなく、救いもなく							
入院中に気になるような言動はなかったか、聞いてもよいか？			入院中に気になるような言動はなかったか、聞いてもよいか？			赦しもなく、救いもなく							
気になること……。			気になること……。			赦しもなく、救いもなく							
そうだ、昏睡状態だった頃、度々、うなされながら同じ言葉を口にしていました。			そうだ、昏睡状態だった頃、度々、うなされながら同じ言葉を口にしていました。			赦しもなく、救いもなく							
「教皇猊下」、それから「主教猊下」とか……。だからきっと、敬虔な正教信者だったのだろうとは、思っていましたが……。			「教皇猊下」、それから「主教猊下」とか……。だからきっと、敬虔な正教信者だったのだろうとは、思っていましたが……。			赦しもなく、救いもなく							
そうか、感謝する。引き続き調査を続けていくゆえ、真相がわかり次第、貴殿へ伝えよう。			そうか、感謝する。引き続き調査を続けていくゆえ、真相がわかり次第、貴殿へ伝えよう。			赦しもなく、救いもなく							
では我々も、一度「作戦立案室」へ戻りましょう。			では我々も、一度「作戦立案室」へ戻りましょう。			赦しもなく、救いもなく							
ヴァンドロー……。いったい彼は何者なんだ……。			ヴァンドロー……。いったい彼は何者なんだ……。			赦しもなく、救いもなく							
偽神獣ファーヴニルと化した男、「ヴァンドロー」の正体については、あと一歩というところですな。			偽神獣ファーヴニルと化した男、「ヴァンドロー」の正体については、あと一歩というところですな。			赦しもなく、救いもなく							
クレム助祭の話によると聖職者ではなさそうだが、彼が昏睡時に発していた言葉からは、敬虔さが窺い知れる。やはり、転化に至った絶望は、信仰と無縁ではないらしい。			クレム助祭の話によると聖職者ではなさそうだが、彼が昏睡時に発していた言葉からは、敬虔さが窺い知れる。やはり、転化に至った絶望は、信仰と無縁ではないらしい。			赦しもなく、救いもなく							
しかし、王権を有していた教皇はともかくとして、聖堂の長にすぎない主教を、なぜ呼んでいたのか……。			しかし、王権を有していた教皇はともかくとして、聖堂の長にすぎない主教を、なぜ呼んでいたのか……。			赦しもなく、救いもなく							
この皇都で主教を名乗れる高位聖職者はごく一部……。彼らに、協力要請を打診すべきでしょうな。			この皇都で主教を名乗れる高位聖職者はごく一部……。彼らに、協力要請を打診すべきでしょうな。			赦しもなく、救いもなく							
ヴァルティノア主教には、クレム助祭を通じて、直接話を伺えるかもしれません。			ヴァルティノア主教には、クレム助祭を通じて、直接話を伺えるかもしれません。			赦しもなく、救いもなく							
では、私から主教へと取次を頼んでこよう。だがヴァルティノア主教は多忙の身。すぐには都合がつかないかもしれないな。			では、私から主教へと取次を頼んでこよう。だがヴァルティノア主教は多忙の身。すぐには都合がつかないかもしれないな。			赦しもなく、救いもなく							
Forename。君は、頃合いを見計らって作戦立案室に戻ってきてくれるか？			Forename。君は、頃合いを見計らって作戦立案室に戻ってきてくれるか？			赦しもなく、救いもなく							
偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			赦しもなく、救いもなく							
「作戦立案室」へ移動しますか？			「作戦立案室」へ移動しますか？			赦しもなく、救いもなく							
イシュガルドの作戦立案室のアルトアレールは、冒険者の来訪を待っていたようだ。			イシュガルドの作戦立案室のアルトアレールは、冒険者の来訪を待っていたようだ。			あるのは正義と復讐のみ							
アルトアレールと話した。ヴァルティノア主教に話を聞くため、アイメリクが先に向かっているようだ。アルトアレールとともにイシュガルドの上層の聖レマノー大聖堂へ向かい、「クレム」助祭と話そう。			アルトアレールと話した。ヴァルティノア主教に話を聞くため、アイメリクが先に向かっているようだ。アルトアレールとともにイシュガルドの上層の聖レマノー大聖堂へ向かい、「クレム」助祭と話そう。			あるのは正義と復讐のみ							
クレムから、ヴァルティノア主教が謁見に応じておきながら外出してしまったことを聞いた。聖レマノー大聖堂付近で「ヴァルティノア」主教を探そう。			クレムから、ヴァルティノア主教が謁見に応じておきながら外出してしまったことを聞いた。聖レマノー大聖堂付近で「ヴァルティノア」主教を探そう。			あるのは正義と復讐のみ							
ヴァルティノア主教の過去を視て、彼がナイツ・オブ・ラウンドの再召喚を目論んでいたことを知った。その目論見が露見したヴァルティノア主教は、絶望のはてに終末の獣と化してしまった。アイメリクが討伐することで事なきを得たため、一度作戦立案室に戻って「アイメリク」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			ヴァルティノア主教の過去を視て、彼がナイツ・オブ・ラウンドの再召喚を目論んでいたことを知った。その目論見が露見したヴァルティノア主教は、絶望のはてに終末の獣と化してしまった。アイメリクが討伐することで事なきを得たため、一度作戦立案室に戻って「アイメリク」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			あるのは正義と復讐のみ							
アイメリク、アルトアレールに、過去視で視たことを話した。ナイツ・オブ・ラウンドが呼び降ろされたクローンこそが、ヴァンドローだったのだろうか。引き続き、調査を続けていこう。※いずれかの遠隔魔法DPSジョブのレベルが88以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			アイメリク、アルトアレールに、過去視で視たことを話した。ナイツ・オブ・ラウンドが呼び降ろされたクローンこそが、ヴァンドローだったのだろうか。引き続き、調査を続けていこう。※いずれかの遠隔魔法DPSジョブのレベルが88以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			あるのは正義と復讐のみ							
聖レマノー大聖堂のクレムと話す			聖レマノー大聖堂のクレムと話す			あるのは正義と復讐のみ							
ヴァルティノアを探す			ヴァルティノアを探す			あるのは正義と復讐のみ							
作戦立案室のアイメリクと話す			作戦立案室のアイメリクと話す			あるのは正義と復讐のみ							
Forename殿。待たせてしまったか？			Forename殿。待たせてしまったか？			あるのは正義と復讐のみ							
ついさきほど、クレム助祭から連絡があってな。ヴァルティノア主教が、お時間を作ってくださったそうだ。待たせては悪いと、アイメリク卿が先に向かっておられる。			ついさきほど、クレム助祭から連絡があってな。ヴァルティノア主教が、お時間を作ってくださったそうだ。待たせては悪いと、アイメリク卿が先に向かっておられる。			あるのは正義と復讐のみ							
偽神獣となったヴァンドローなる男が、病床にてなぜ、主教を呼んでいたのか……。それを明らかにせねばな。			偽神獣となったヴァンドローなる男が、病床にてなぜ、主教を呼んでいたのか……。それを明らかにせねばな。			あるのは正義と復讐のみ							
さっそくではあるが、「聖レマノー大聖堂」へ向かおう。			さっそくではあるが、「聖レマノー大聖堂」へ向かおう。			あるのは正義と復讐のみ							
Forename、来てくれたか。			Forename、来てくれたか。			あるのは正義と復讐のみ							
ヴァルティノア主教の姿がないようだが……？			ヴァルティノア主教の姿がないようだが……？			あるのは正義と復讐のみ							
ああ、皆様おそろいで。ご足労いただいたところ、申し訳ございません。			ああ、皆様おそろいで。ご足労いただいたところ、申し訳ございません。			あるのは正義と復讐のみ							
ヴァルティノア主教猊下にお話があるとのことで、その旨をお伝えしていたのですが……			ヴァルティノア主教猊下にお話があるとのことで、その旨をお伝えしていたのですが……			あるのは正義と復讐のみ							
アイメリク卿や皆様がいらっしゃる直前に、「少し出てくる」とおっしゃって、外出なさってしまって。			アイメリク卿や皆様がいらっしゃる直前に、「少し出てくる」とおっしゃって、外出なさってしまって。			あるのは正義と復讐のみ							
遠くには行かれていないと思いますから、お手数ですが、付近を探してみていただけませんか？			遠くには行かれていないと思いますから、お手数ですが、付近を探してみていただけませんか？			あるのは正義と復讐のみ							
謁見に応じておきながら、「ヴァルティノア」主教はどこへ向かったのだ……。わかれて探してみることにしよう。			謁見に応じておきながら、「ヴァルティノア」主教はどこへ向かったのだ……。わかれて探してみることにしよう。			あるのは正義と復讐のみ							
Forename殿も来てくれたか。ヴァルティノア主教はこちらにいらっしゃったぞ。			Forename殿も来てくれたか。ヴァルティノア主教はこちらにいらっしゃったぞ。			あるのは正義と復讐のみ							
聖堂内には、戻られていないようです……。			聖堂内には、戻られていないようです……。			あるのは正義と復讐のみ							
あ、ああ、英雄殿まで……。いかがされましたかな……？			あ、ああ、英雄殿まで……。いかがされましたかな……？			あるのは正義と復讐のみ							
ヴァルティノア主教猊下、拝謁の機会を設けていただいていたはずですが、急用ですかな？			ヴァルティノア主教猊下、拝謁の機会を設けていただいていたはずですが、急用ですかな？			あるのは正義と復讐のみ							
こ、これは議長殿まで……。いま、参ろうとしていたところでした。			こ、これは議長殿まで……。いま、参ろうとしていたところでした。			あるのは正義と復讐のみ							
それには及ばない、こちらも急ぎゆえ。知ってのとおり、我々はヴァンドローと名乗る青年を追っている。心当たりはないだろうか……？			それには及ばない、こちらも急ぎゆえ。知ってのとおり、我々はヴァンドローと名乗る青年を追っている。心当たりはないだろうか……？			あるのは正義と復讐のみ							
い、いいえ……。ヴァンドローなる名、先代の蒼天騎士団総長を除いては、聞いたこともございませぬ。			い、いいえ……。ヴァンドローなる名、先代の蒼天騎士団総長を除いては、聞いたこともございませぬ。			あるのは正義と復讐のみ							
教皇猊下と、主教を呼んでいたとのことですが、かの青年はきっと正教の敬虔な信徒だったのでしょう。辛い病床で心の支えになれたのなら、聖職者として本望です……。			教皇猊下と、主教を呼んでいたとのことですが、かの青年はきっと正教の敬虔な信徒だったのでしょう。辛い病床で心の支えになれたのなら、聖職者として本望です……。			あるのは正義と復讐のみ							
話がそれだけならば、私は聖務の途中なのでこれにて……			話がそれだけならば、私は聖務の途中なのでこれにて……			あるのは正義と復讐のみ							
私が……私が教皇猊下の意志を継ぐのだ……。			私が……私が教皇猊下の意志を継ぐのだ……。			あるのは正義と復讐のみ							
ヴァルティノア主教猊下、ご指示通りに準備いたしましたが、これで本当に……？			ヴァルティノア主教猊下、ご指示通りに準備いたしましたが、これで本当に……？			あるのは正義と復讐のみ							
ああ、アイメリク卿の報告によると、教皇猊下は蛮神を用いて信仰の強化を計画しておられたそうだ。当初、私は捏造を疑ったのだが……			ああ、アイメリク卿の報告によると、教皇猊下は蛮神を用いて信仰の強化を計画しておられたそうだ。当初、私は捏造を疑ったのだが……			あるのは正義と復讐のみ							
猊下の遺品の処理を聖徒評議会が請け負った際、私はある手記を見つけたのだ……。			猊下の遺品の処理を聖徒評議会が請け負った際、私はある手記を見つけたのだ……。			あるのは正義と復讐のみ							
そこには、こう記されておった。竜の眼のような膨大な「エーテル」と「祈り」で、人に神を降ろすことができるのだと……！！			そこには、こう記されておった。竜の眼のような膨大な「エーテル」と「祈り」で、人に神を降ろすことができるのだと……！！			あるのは正義と復讐のみ							
そして、この魔大陸は膨大なエネルギーを有しているそうだ。偶然発見したアラグの遺物である、魂なき人形(ひとがた)と、遺されていた、この剣を依り代に……			そして、この魔大陸は膨大なエネルギーを有しているそうだ。偶然発見したアラグの遺物である、魂なき人形(ひとがた)と、遺されていた、この剣を依り代に……			あるのは正義と復讐のみ							
我らがナイツ・オブ・ラウンドを再召喚し、イシュガルドに神権政治を取り戻すのだ！！			我らがナイツ・オブ・ラウンドを再召喚し、イシュガルドに神権政治を取り戻すのだ！！			あるのは正義と復讐のみ							
な、なんだこれは……。ただの人のように見えるが……。			な、なんだこれは……。ただの人のように見えるが……。			あるのは正義と復讐のみ							
あ、あぁ……猊下……教皇猊下……お守りせねば……あ、あっ……あぁ…………。			あ、あぁ……猊下……教皇猊下……お守りせねば……あ、あっ……あぁ…………。			あるのは正義と復讐のみ							
出来損ないだ……。違う、違う、こんなもの、我らが望んだナイツ・オブ・ラウンドなどではない！			出来損ないだ……。違う、違う、こんなもの、我らが望んだナイツ・オブ・ラウンドなどではない！			あるのは正義と復讐のみ							
クソッ、失敗作めが！早く皇都に戻って、猊下の手記をもう一度、あらためなければ……！			クソッ、失敗作めが！早く皇都に戻って、猊下の手記をもう一度、あらためなければ……！			あるのは正義と復讐のみ							
主教猊下！お、お待ちください、こやつは……？			主教猊下！お、お待ちください、こやつは……？			あるのは正義と復讐のみ							
捨て置け、どうせ何の役にも立たぬ……！			捨て置け、どうせ何の役にも立たぬ……！			あるのは正義と復讐のみ							
Forename、大丈夫か？もしや、過去を視たのでは……？			Forename、大丈夫か？もしや、過去を視たのでは……？			あるのは正義と復讐のみ							
ナイツ・オブ・ラウンドの再召喚だと……！？			ナイツ・オブ・ラウンドの再召喚だと……！？			あるのは正義と復讐のみ							
ヴァルティノア主教、蛮神の召喚は、絶対の禁忌であるとご存じのはずだ！神殿騎士団本部にて、詳しい話をお聞かせ願おう……！			ヴァルティノア主教、蛮神の召喚は、絶対の禁忌であるとご存じのはずだ！神殿騎士団本部にて、詳しい話をお聞かせ願おう……！			あるのは正義と復讐のみ							
わ、私は……！私は生涯をかけて正教に尽くし、学び、人々に教えを説いてきたのだッ！！			わ、私は……！私は生涯をかけて正教に尽くし、学び、人々に教えを説いてきたのだッ！！			あるのは正義と復讐のみ							
それを貴様らが突然「欺瞞だ、改革だ」と騒ぎたて、私たち聖職者から正しき教えを奪い取った！			それを貴様らが突然「欺瞞だ、改革だ」と騒ぎたて、私たち聖職者から正しき教えを奪い取った！			あるのは正義と復讐のみ							
私を私たらしめる思想を否定され、蔑まれる無念さが！！貴様たちにわかるか！？			私を私たらしめる思想を否定され、蔑まれる無念さが！！貴様たちにわかるか！？			あるのは正義と復讐のみ							
正教を信じぬ民など、決して私は望まない！教皇が率いぬ皇都など、決して私は望まない！			正教を信じぬ民など、決して私は望まない！教皇が率いぬ皇都など、決して私は望まない！			あるのは正義と復讐のみ							
正教なき未来など、決して私は望まなィィイイイイイイイ！			正教なき未来など、決して私は望まなィィイイイイイイイ！			あるのは正義と復讐のみ							
あああ……！！主教猊下……！！			あああ……！！主教猊下……！！			あるのは正義と復讐のみ							
……すみません、アイメリク卿。こうなっては救えないとはいえ、皇都の民を、あなたの手にかけさせてしまった……。			……すみません、アイメリク卿。こうなっては救えないとはいえ、皇都の民を、あなたの手にかけさせてしまった……。			あるのは正義と復讐のみ							
事後処理は、お任せください。それに……今のクレム助祭はたやすく絶望に堕ちかねません。誰かが側にいるべきかと……。			事後処理は、お任せください。それに……今のクレム助祭はたやすく絶望に堕ちかねません。誰かが側にいるべきかと……。			あるのは正義と復讐のみ							
アイメリク卿、Forename殿。ふたりは先に「作戦立案室」にお戻りを……。あなた方には休息が必要です。			アイメリク卿、Forename殿。ふたりは先に「作戦立案室」にお戻りを……。あなた方には休息が必要です。			あるのは正義と復讐のみ							
