ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			街の金荒物屋さん							
依頼主は、行商でトライヨラを訪れているペルペル族だ。出発までにできるだけたくさん、「トラベルランタン」を用意してほしいとのこと。			依頼主は、行商でトライヨラを訪れているペルペル族だ。出発までにできるだけたくさん、「トラベルランタン」を用意してほしいとのこと。			仕事の早い金荒物屋							
自分たちが使うのはもちろん、里に持ち帰って、仲間にも売りたいらしい。ふたりとも、よろしく頼むよ。			自分たちが使うのはもちろん、里に持ち帰って、仲間にも売りたいらしい。ふたりとも、よろしく頼むよ。			仕事の早い金荒物屋							
ええと……！！その「トラベルランタン」は、アルパカに下げて使うもの？それとも、人が持つもの？			ええと……！！その「トラベルランタン」は、アルパカに下げて使うもの？それとも、人が持つもの？			仕事の早い金荒物屋							
使い方によって要求される強度も変わるし、大きさや持ちやすさも考えたくて……！			使い方によって要求される強度も変わるし、大きさや持ちやすさも考えたくて……！			仕事の早い金荒物屋							
相変わらずの凝り性だな……。わかったわかった、作業しながら教えるから！			相変わらずの凝り性だな……。わかったわかった、作業しながら教えるから！			仕事の早い金荒物屋							
Forenameさん、あなたは……詳しい要件を聞かなくても大丈夫なの？			Forenameさん、あなたは……詳しい要件を聞かなくても大丈夫なの？			仕事の早い金荒物屋							
何と言う？			何と言う？			仕事の早い金荒物屋							
ペルペル族の暮らしを知っているので大丈夫			ペルペル族の暮らしを知っているので大丈夫			仕事の早い金荒物屋							
己の信念に従って作るのみ！			己の信念に従って作るのみ！			仕事の早い金荒物屋							
なるほど……。私は外に出てなかったから、知見が足りないのかもしれない……。だから使う人の目線がわからなくて手間取るんじゃ……？			なるほど……。私は外に出てなかったから、知見が足りないのかもしれない……。だから使う人の目線がわからなくて手間取るんじゃ……？			仕事の早い金荒物屋							
なるほど……。私は素材も作るべきものもお膳立てしてもらっていたから、自分の信念というものが足りないのかも……。			なるほど……。私は素材も作るべきものもお膳立てしてもらっていたから、自分の信念というものが足りないのかも……。			仕事の早い金荒物屋							
いったいどうしたら……。いや、でも、今は目の前の仕事に集中しないと……。			いったいどうしたら……。いや、でも、今は目の前の仕事に集中しないと……。			仕事の早い金荒物屋							
こいつに教えるのは、俺がやっとく。すまんが、大至急「トラベルランタン」を6つ頼む！			こいつに教えるのは、俺がやっとく。すまんが、大至急「トラベルランタン」を6つ頼む！			仕事の早い金荒物屋							
行商で使うということは、利便性と頑丈さを両立したうえで、軽量にするのも大事だから、そのために必要なのは……。うう、頭が混乱してきた……！			行商で使うということは、利便性と頑丈さを両立したうえで、軽量にするのも大事だから、そのために必要なのは……。うう、頭が混乱してきた……！			仕事の早い金荒物屋							
依頼人の出立まであまり日がない。できるだけ急ぎで「トラベルランタン」の製作を頼む。			依頼人の出立まであまり日がない。できるだけ急ぎで「トラベルランタン」の製作を頼む。			仕事の早い金荒物屋							
ああ、充分に使いやすそうな、立派な「トラベルランタン」だ！これがあれば、森の暗がりも安心して進めるだろう。			ああ、充分に使いやすそうな、立派な「トラベルランタン」だ！これがあれば、森の暗がりも安心して進めるだろう。			仕事の早い金荒物屋							
ああ、俺がつくるよりもずっと立派で、使いやすそうな「トラベルランタン」だ！これがあれば、夜の悪路だって安心して進めるだろう。			ああ、俺がつくるよりもずっと立派で、使いやすそうな「トラベルランタン」だ！これがあれば、夜の悪路だって安心して進めるだろう。			仕事の早い金荒物屋							
おや、もう出立の時間か？			おや、もう出立の時間か？			仕事の早い金荒物屋							
ういうい、もらっていくよ、できあがっている分の「トラベルランタン」を。			ういうい、もらっていくよ、できあがっている分の「トラベルランタン」を。			仕事の早い金荒物屋							
ちょうどよかった。今しがた、このForenameが、仕上げたものを持ってきてくれたところだ。			ちょうどよかった。今しがた、このForenameが、仕上げたものを持ってきてくれたところだ。			仕事の早い金荒物屋							
素晴らしい品だね。限られた時間で作ってくれて、とてもありがたい。			素晴らしい品だね。限られた時間で作ってくれて、とてもありがたい。			仕事の早い金荒物屋							
あんたたち商売人にとっては、時間は金も同然……出立前に、満足いく品を渡せてよかったよ。			あんたたち商売人にとっては、時間は金も同然……出立前に、満足いく品を渡せてよかったよ。			仕事の早い金荒物屋							
ああ、助かるよ。ではよい商いを、これからも。			ああ、助かるよ。ではよい商いを、これからも。			仕事の早い金荒物屋							
Forename。あんたのおかげで、なんとかなってよかった。			Forename。あんたのおかげで、なんとかなってよかった。			仕事の早い金荒物屋							
それというのも……当の本人が一番わかっているだろうが、今回パパーニはひとつも完成させられなかったんだ。			それというのも……当の本人が一番わかっているだろうが、今回パパーニはひとつも完成させられなかったんだ。			仕事の早い金荒物屋							
お客には時間がないことは伝えたはずだ。行商にランタンがなければ、どうなるかくらいはわかるだろ？			お客には時間がないことは伝えたはずだ。行商にランタンがなければ、どうなるかくらいはわかるだろ？			仕事の早い金荒物屋							
できるだけ早く、依頼品を納めるのが信条だと伝えてるはずだ！ここで働く気があるなら、頼むから、手早く製作を済ませてくれ……！			できるだけ早く、依頼品を納めるのが信条だと伝えてるはずだ！ここで働く気があるなら、頼むから、手早く製作を済ませてくれ……！			仕事の早い金荒物屋							
うっ……ぐっ……ごべんなざい……！！			うっ……ぐっ……ごべんなざい……！！			仕事の早い金荒物屋							
Forenameさんみたいに、品質と仕事の早さを両立するなんて技術、私にはない……。			Forenameさんみたいに、品質と仕事の早さを両立するなんて技術、私にはない……。			仕事の早い金荒物屋							
でも、でも……！私はどうしても、品質を無視することはできない！手にとってくれる人には、心地よく使ってほしいから！			でも、でも……！私はどうしても、品質を無視することはできない！手にとってくれる人には、心地よく使ってほしいから！			仕事の早い金荒物屋							
それは元壺匠として、そして職人として、譲れない私の矜持……！私は壺匠を辞めるべきじゃなかった！			それは元壺匠として、そして職人として、譲れない私の矜持……！私は壺匠を辞めるべきじゃなかった！			仕事の早い金荒物屋							
やっぱりモブリン族のところに戻らせてもらいますっ！			やっぱりモブリン族のところに戻らせてもらいますっ！			仕事の早い金荒物屋							
なっ、おい……！！			なっ、おい……！！			仕事の早い金荒物屋							
モブリン族……？どうして彼らの話がでてくる？			モブリン族……？どうして彼らの話がでてくる？			仕事の早い金荒物屋							
いやはや、Forename。うちの店のことですまねぇ……。			いやはや、Forename。うちの店のことですまねぇ……。			仕事の早い金荒物屋							
俺自身、人を雇うことに慣れてねぇから、パパーニにも混乱させちまったのかもしれねぇ。ちょっと頭を整理してから……改めて話をしていいか？			俺自身、人を雇うことに慣れてねぇから、パパーニにも混乱させちまったのかもしれねぇ。ちょっと頭を整理してから……改めて話をしていいか？			仕事の早い金荒物屋							
金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「信頼できる金荒物職人」と感じているようです！			金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「信頼できる金荒物職人」と感じているようです！			仕事の早い金荒物屋							
また、「ラルソジ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「ラルソジ」から受注可能な、万貨街取引のストーリークエストが発行されました！			仕事の早い金荒物屋							
ワチュメキメキ万貨街のラルソジは落胆している。			ワチュメキメキ万貨街のラルソジは落胆している。			金荒物屋の新人の悩み							
ラルソジと話し、仕事に対する想いを聞いた。パパーニを探すため、コザマル・カのアースンシャイアに向かった「ラルソジ」と話そう。			ラルソジと話し、仕事に対する想いを聞いた。パパーニを探すため、コザマル・カのアースンシャイアに向かった「ラルソジ」と話そう。			金荒物屋の新人の悩み							
ラルソジと話し、パパーニを見つけた。かつてパパーニのお世話をしていたモブリン族から天秤の修理を頼まれたため、アースンシャイアにいる「ラルソジ」と再度話そう。			ラルソジと話し、パパーニを見つけた。かつてパパーニのお世話をしていたモブリン族から天秤の修理を頼まれたため、アースンシャイアにいる「ラルソジ」と再度話そう。			金荒物屋の新人の悩み							
ラルソジから、天秤を修理するための交換用の天秤軸部材を受け取った。「交換用の天秤軸」を製作し、アースンシャイアにいる「パパーニ」に渡そう。※「交換用の天秤軸部材」を失った場合は、ラルソジに話しかけましょう。材料を入手し、再挑戦が可能になります。			ラルソジから、天秤を修理するための交換用の天秤軸部材を受け取った。「交換用の天秤軸」を製作し、アースンシャイアにいる「パパーニ」に渡そう。※「交換用の天秤軸部材」を失った場合は、ラルソジに話しかけましょう。材料を入手し、再挑戦が可能になります。			金荒物屋の新人の悩み							
渡した交換用の天秤軸をもとに、パパーニが天秤の修理を完了させた。再びラルソジの店で働くことになったパパーニとともに、ワチュメキメキ万貨街へと戻って「ラルソジ」と話そう。			渡した交換用の天秤軸をもとに、パパーニが天秤の修理を完了させた。再びラルソジの店で働くことになったパパーニとともに、ワチュメキメキ万貨街へと戻って「ラルソジ」と話そう。			金荒物屋の新人の悩み							
ラルソジと話した。仕事の早さと品質を兼ね備えた店にするべく励むふたりを、引き続き手伝おう。			ラルソジと話した。仕事の早さと品質を兼ね備えた店にするべく励むふたりを、引き続き手伝おう。			金荒物屋の新人の悩み							
アースンシャイアのラルソジと話す			アースンシャイアのラルソジと話す			金荒物屋の新人の悩み							
ラルソジと再度話す			ラルソジと再度話す			金荒物屋の新人の悩み							
製作手帳 万貨街取引：交換用の天秤軸を製作パパーニに交換用の天秤軸を納品			製作手帳 万貨街取引：交換用の天秤軸を製作パパーニに交換用の天秤軸を納品			金荒物屋の新人の悩み							
トライヨラのラルソジと話す			トライヨラのラルソジと話す			金荒物屋の新人の悩み							
はぁ……。こんなときにひとりじゃなくてよかった。あんたという相談相手がいてくれて助かるよ。			はぁ……。こんなときにひとりじゃなくてよかった。あんたという相談相手がいてくれて助かるよ。			金荒物屋の新人の悩み							
行っちまったパパーニを追うべきなのかどうか……自分の頭を整理するためにも、話を聞いてもらっていいか？			行っちまったパパーニを追うべきなのかどうか……自分の頭を整理するためにも、話を聞いてもらっていいか？			金荒物屋の新人の悩み							
ありがとう。俺としちゃあ、これでもパパーニのことは買ってるんだ。			ありがとう。俺としちゃあ、これでもパパーニのことは買ってるんだ。			金荒物屋の新人の悩み							
初めて店に来たときは、なにやら気落ちした様子だったが、それでもあいつは、自分からここで働きたいと言ってきた。職人であり続けようという強い意志を感じたものさ。			初めて店に来たときは、なにやら気落ちした様子だったが、それでもあいつは、自分からここで働きたいと言ってきた。職人であり続けようという強い意志を感じたものさ。			金荒物屋の新人の悩み							
実際、パパーニの製作に対する熱意は本物だ。だが、丁寧に仕事をしようとするあまり作業に時間がかかりすぎ、できるだけ早く仕上げるという、うちの方針とは合っていない。			実際、パパーニの製作に対する熱意は本物だ。だが、丁寧に仕事をしようとするあまり作業に時間がかかりすぎ、できるだけ早く仕上げるという、うちの方針とは合っていない。			金荒物屋の新人の悩み							
まぁ、そもそも俺が、この店をそうあるべしと決めているのは……俺自身が、品質と仕事の早さを両立できる職人じゃないからだ。			まぁ、そもそも俺が、この店をそうあるべしと決めているのは……俺自身が、品質と仕事の早さを両立できる職人じゃないからだ。			金荒物屋の新人の悩み							
手際よく高い品質を完成させられる、あんたのことは、心の底から尊敬しているよ。やっぱり、独学で冶金術を学んだ俺とは大違いだな……。			手際よく高い品質を完成させられる、あんたのことは、心の底から尊敬しているよ。やっぱり、独学で冶金術を学んだ俺とは大違いだな……。			金荒物屋の新人の悩み							
そういえば、これまで俺のことも、ちゃんと話したことがなかったか……。			そういえば、これまで俺のことも、ちゃんと話したことがなかったか……。			金荒物屋の新人の悩み							
若い頃、俺は辺境の村で狩猟道具を作っていたんだが、そのうち、ものづくりを追求したいと思うようになってな。人が集まるトライヨラまで出てきたんだ。			若い頃、俺は辺境の村で狩猟道具を作っていたんだが、そのうち、ものづくりを追求したいと思うようになってな。人が集まるトライヨラまで出てきたんだ。			金荒物屋の新人の悩み							
そして、モブリン族を探して雇ってくれと頼むことにした。金属製品といえば彼らが一番だって評判は知っていたし、仕事を通じて技を学べると思ったからな。			そして、モブリン族を探して雇ってくれと頼むことにした。金属製品といえば彼らが一番だって評判は知っていたし、仕事を通じて技を学べると思ったからな。			金荒物屋の新人の悩み							
頭を下げて頼み込んで、どうにか彼らも頷いてくれたが、雇うにはコザマル・カへの移住が条件だと提示されたんだ……。			頭を下げて頼み込んで、どうにか彼らも頷いてくれたが、雇うにはコザマル・カへの移住が条件だと提示されたんだ……。			金荒物屋の新人の悩み							
だから俺は断った。製品を使う人たちの近くで、ものづくりをしたかったからな。			だから俺は断った。製品を使う人たちの近くで、ものづくりをしたかったからな。			金荒物屋の新人の悩み							
そうして、モブリン族の下で働くことなく……彼らの高級志向なものづくりとは異なる、普段使いの品を手早く作ることを信条に店を開いたわけさ。			そうして、モブリン族の下で働くことなく……彼らの高級志向なものづくりとは異なる、普段使いの品を手早く作ることを信条に店を開いたわけさ。			金荒物屋の新人の悩み							
何と言う？			何と言う？			金荒物屋の新人の悩み							
モブリン族は世話と調達の達人だ			モブリン族は世話と調達の達人だ			金荒物屋の新人の悩み							
彼らの商品を作っていたのは壺匠だ			彼らの商品を作っていたのは壺匠だ			金荒物屋の新人の悩み							
どういうことだ？パパーニも、飛び出していく前にそんなことを言っていたが……詳しく教えてくれないか。			どういうことだ？パパーニも、飛び出していく前にそんなことを言っていたが……詳しく教えてくれないか。			金荒物屋の新人の悩み							
そういうことだったのか……。あの精巧で素晴らしい品々は、てっきりモブリン族が作ってるものだと思い込んでいた。			そういうことだったのか……。あの精巧で素晴らしい品々は、てっきりモブリン族が作ってるものだと思い込んでいた。			金荒物屋の新人の悩み							
俺が雇ってほしいと頼んだとき、移住を条件にされたのは……その壺匠とやらの見習いとして受け入れよう、という意図だったんだな。			俺が雇ってほしいと頼んだとき、移住を条件にされたのは……その壺匠とやらの見習いとして受け入れよう、という意図だったんだな。			金荒物屋の新人の悩み							
パパーニも、そこで壺匠として働いていて……だから客から礼を言われたことがなかったのか……。			パパーニも、そこで壺匠として働いていて……だから客から礼を言われたことがなかったのか……。			金荒物屋の新人の悩み							
だが、壺匠に戻るとはいっても、なにかしらの理由があって、一度は辞めたんだろう？そう簡単に戻れるものなのか……。			だが、壺匠に戻るとはいっても、なにかしらの理由があって、一度は辞めたんだろう？そう簡単に戻れるものなのか……。			金荒物屋の新人の悩み							
パパーニが心配だし、俺も一度、壺匠たちがいる村へ行ってみたい。「アースンシャイア」というところへ、一緒に来てもらえるか？			パパーニが心配だし、俺も一度、壺匠たちがいる村へ行ってみたい。「アースンシャイア」というところへ、一緒に来てもらえるか？			金荒物屋の新人の悩み							
ここがモブリン族と職人たちの集落か……！パパーニは……			ここがモブリン族と職人たちの集落か……！パパーニは……			金荒物屋の新人の悩み							
そう……もう別の職人を迎えたと……。			そう……もう別の職人を迎えたと……。			金荒物屋の新人の悩み							
ああっ！Forenameさん、ラルソジさん……！どうして、ここに……！？			ああっ！Forenameさん、ラルソジさん……！どうして、ここに……！？			金荒物屋の新人の悩み							
モブリン族のことや、壺匠のことを……Forenameが教えてくれた。その上で、あんたを追いかけようと思ったからだ。			モブリン族のことや、壺匠のことを……Forenameが教えてくれた。その上で、あんたを追いかけようと思ったからだ。			金荒物屋の新人の悩み							
あんたが品質を重視するのも納得だ。ここで丁寧に、最高のものづくりをしてたんだな。			あんたが品質を重視するのも納得だ。ここで丁寧に、最高のものづくりをしてたんだな。			金荒物屋の新人の悩み							
それで……壺匠に戻るのか？			それで……壺匠に戻るのか？			金荒物屋の新人の悩み							
いえ、それが……以前私が契約していたこちらの方は、もう別の人の製作を世話するのに忙しいらしく……			いえ、それが……以前私が契約していたこちらの方は、もう別の人の製作を世話するのに忙しいらしく……			金荒物屋の新人の悩み							
なら戻ってこいよ！あんたの経験を知った今なら、品質を重視するような仕事を回すことだってできるはずだ。			なら戻ってこいよ！あんたの経験を知った今なら、品質を重視するような仕事を回すことだってできるはずだ。			金荒物屋の新人の悩み							
でもそれじゃ……ラルソジさんが掲げてきた信条とは、違ってしまう！			でもそれじゃ……ラルソジさんが掲げてきた信条とは、違ってしまう！			金荒物屋の新人の悩み							
私は……戻れないっ！「金荒物屋ラルソジ」のためにも戻っちゃいけないんだ！			私は……戻れないっ！「金荒物屋ラルソジ」のためにも戻っちゃいけないんだ！			金荒物屋の新人の悩み							
何と言う？			何と言う？			金荒物屋の新人の悩み							
ふたりで手を組めばいいのに……			ふたりで手を組めばいいのに……			金荒物屋の新人の悩み							
きちんと話しあえ！			きちんと話しあえ！			金荒物屋の新人の悩み							
フゴォ……フゴォ……モブはたくさん　職人　見てきて　特徴違うの　すぐわかる！恐らく　パパーニ　ラルソジは　得意不得意　正反対～！			フゴォ……フゴォ……モブはたくさん　職人　見てきて　特徴違うの　すぐわかる！恐らく　パパーニ　ラルソジは　得意不得意　正反対～！			金荒物屋の新人の悩み							
それぞれ　不得意　違うなら～おぎない合えば　大丈夫　助けあえば　大成功！あなたも　そうだと　思ってるね～？			それぞれ　不得意　違うなら～おぎない合えば　大丈夫　助けあえば　大成功！あなたも　そうだと　思ってるね～？			金荒物屋の新人の悩み							
フゴォ……フゴォ……それではひとつ　試してみたら？共同作業　してみたら～？			フゴォ……フゴォ……それではひとつ　試してみたら？共同作業　してみたら～？			金荒物屋の新人の悩み							
ちょうど天秤　壊れてて　修理する人　探してた～！軸が歪んで　秤が揺れて　重さが確かか　計れない～！			ちょうど天秤　壊れてて　修理する人　探してた～！軸が歪んで　秤が揺れて　重さが確かか　計れない～！			金荒物屋の新人の悩み							
だから　みんなで　修理して？ラルソジ　素材を　ざっくり加工～パパーニ　仕上げを　丁寧に～！			だから　みんなで　修理して？ラルソジ　素材を　ざっくり加工～パパーニ　仕上げを　丁寧に～！			金荒物屋の新人の悩み							
Forenameは　お手伝い～ふたりの間　繋げてあげて～！			Forenameは　お手伝い～ふたりの間　繋げてあげて～！			金荒物屋の新人の悩み							
ひとりで、すべての工程を担当するのではなく、得意分野を活かして分業するということか……。			ひとりで、すべての工程を担当するのではなく、得意分野を活かして分業するということか……。			金荒物屋の新人の悩み							
わかった。困っているというなら、やらせてもらおう。パパーニもそれでいいか？			わかった。困っているというなら、やらせてもらおう。パパーニもそれでいいか？			金荒物屋の新人の悩み							
は、はい……！			は、はい……！			金荒物屋の新人の悩み							
じゃあ、ふたりを少し待たせてしまうことにはなるが、今からすぐに、俺が部材を用意しよう。			じゃあ、ふたりを少し待たせてしまうことにはなるが、今からすぐに、俺が部材を用意しよう。			金荒物屋の新人の悩み							
分業……。上手くできるかな……頑張らなくちゃ……！			分業……。上手くできるかな……頑張らなくちゃ……！			金荒物屋の新人の悩み							
よし、待たせたな。とり急ぎ、「交換用の天秤軸部材」を用意したから、Forenameに組み立ててほしい。			よし、待たせたな。とり急ぎ、「交換用の天秤軸部材」を用意したから、Forenameに組み立ててほしい。			金荒物屋の新人の悩み							
そして、組み上がった「交換用の天秤軸」を、パパーニに渡して、部品の交換と最終調整をやってもらう。これなら効率的に作業を終えられるはずだ。			そして、組み上がった「交換用の天秤軸」を、パパーニに渡して、部品の交換と最終調整をやってもらう。これなら効率的に作業を終えられるはずだ。			金荒物屋の新人の悩み							
「交換用の天秤軸部材」が足りなければ、いつでも渡すから、言ってくれ。			「交換用の天秤軸部材」が足りなければ、いつでも渡すから、言ってくれ。			金荒物屋の新人の悩み							
じゃあお手数だけど、「交換用の天秤軸」が組み上がったら、私にください！それまでに壊れた天秤を調べて、調整方針を考えておきますので！			じゃあお手数だけど、「交換用の天秤軸」が組み上がったら、私にください！それまでに壊れた天秤を調べて、調整方針を考えておきますので！			金荒物屋の新人の悩み							
フゴォ……フゴォ……パパーニ　仕事は　丁寧　繊細～！契約解除は　今でも後悔　残念無念の大後悔～！			フゴォ……フゴォ……パパーニ　仕事は　丁寧　繊細～！契約解除は　今でも後悔　残念無念の大後悔～！			金荒物屋の新人の悩み							
「交換用の天秤軸部材」の用意なら、俺に任せてくれ。それを使って「交換用の天秤軸」の製作を頼む。			「交換用の天秤軸部材」の用意なら、俺に任せてくれ。それを使って「交換用の天秤軸」の製作を頼む。			金荒物屋の新人の悩み							
もう「交換用の天秤軸」ができたのか、さすがだな！天秤を調べているパパーニに渡してやってくれ。			もう「交換用の天秤軸」ができたのか、さすがだな！天秤を調べているパパーニに渡してやってくれ。			金荒物屋の新人の悩み							
この天秤を修理するには、やっぱり「交換用の天秤軸」が必要不可欠……。Forenameさんの進捗はいかがで……？			この天秤を修理するには、やっぱり「交換用の天秤軸」が必要不可欠……。Forenameさんの進捗はいかがで……？			金荒物屋の新人の悩み							
ああ、ありがとうございます！すぐに軸をこれに交換して、調整作業に入らなくては！			ああ、ありがとうございます！すぐに軸をこれに交換して、調整作業に入らなくては！			金荒物屋の新人の悩み							
長いこと使い続けていたようで歪んでいたけど……新しい軸に取り替えたことで、修理できました。可動部に油もさして、微調整もばっちり！			長いこと使い続けていたようで歪んでいたけど……新しい軸に取り替えたことで、修理できました。可動部に油もさして、微調整もばっちり！			金荒物屋の新人の悩み							
フゴォ……フゴォ……実にお見事　ばっちり修復！迅速丁寧　重さも正確　計測できる～！			フゴォ……フゴォ……実にお見事　ばっちり修復！迅速丁寧　重さも正確　計測できる～！			金荒物屋の新人の悩み							
職人みんなに　感謝　感激！適材適所で　素敵な仕事～！			職人みんなに　感謝　感激！適材適所で　素敵な仕事～！			金荒物屋の新人の悩み							
こちらこそありがとうございます。お客さんに直接お礼を言ってもらえるのって、やっぱり嬉しい……。			こちらこそありがとうございます。お客さんに直接お礼を言ってもらえるのって、やっぱり嬉しい……。			金荒物屋の新人の悩み							
モブの得意は　創作環境　ばっちり整え　お手伝い！だから知ってる　求める環境　人それぞれに　違うこと～！			モブの得意は　創作環境　ばっちり整え　お手伝い！だから知ってる　求める環境　人それぞれに　違うこと～！			金荒物屋の新人の悩み							
パパーニに大事なの　お礼言われる場所　だったのね～！自分の実力　出せる環境　見つけたならば　大事にね～！			パパーニに大事なの　お礼言われる場所　だったのね～！自分の実力　出せる環境　見つけたならば　大事にね～！			金荒物屋の新人の悩み							
それなら私は……許されるなら……丁寧さが活かせる仕事を回してもらえるなら……			それなら私は……許されるなら……丁寧さが活かせる仕事を回してもらえるなら……			金荒物屋の新人の悩み							
やっぱり「金荒物屋ラルソジ」で働きたい……！			やっぱり「金荒物屋ラルソジ」で働きたい……！			金荒物屋の新人の悩み							
パパーニ、あんたは俺が切り捨てた夢だ。できることなら品質も認められる店になりたかったが、力不足でそれを諦め、早さばかりを売りにしていたんだからな。			パパーニ、あんたは俺が切り捨てた夢だ。できることなら品質も認められる店になりたかったが、力不足でそれを諦め、早さばかりを売りにしていたんだからな。			金荒物屋の新人の悩み							
あんたと一緒なら、手早さと品質を両立できる。俺の方からも頼むよ、ぜひうちの店で働いてほしい。			あんたと一緒なら、手早さと品質を両立できる。俺の方からも頼むよ、ぜひうちの店で働いてほしい。			金荒物屋の新人の悩み							
はい……！よろしくお願いします……！！			はい……！よろしくお願いします……！！			金荒物屋の新人の悩み							
これで　円満　仲直り～働く場所は　変わったけれど　パパーニ活躍　願ってる～！			これで　円満　仲直り～働く場所は　変わったけれど　パパーニ活躍　願ってる～！			金荒物屋の新人の悩み							
Forename……。パパーニと腹を割って話せたのは、あんたが間に入って、作業を手伝ってくれたおかげだ。			Forename……。パパーニと腹を割って話せたのは、あんたが間に入って、作業を手伝ってくれたおかげだ。			金荒物屋の新人の悩み							
やっぱり職人たるもの、仕事でぶつかりあうのが一番だな。旅人でもあるあんたは人との関わりに長けてるだろうから、そういうところに助けられたよ。			やっぱり職人たるもの、仕事でぶつかりあうのが一番だな。旅人でもあるあんたは人との関わりに長けてるだろうから、そういうところに助けられたよ。			金荒物屋の新人の悩み							
あんたをずっと、店に引き止めるわけにはいかないだろうが……パパーニとの新しい仕事のやり方が軌道に乗るまで、あともう少しだけ力を貸してくれ……！			あんたをずっと、店に引き止めるわけにはいかないだろうが……パパーニとの新しい仕事のやり方が軌道に乗るまで、あともう少しだけ力を貸してくれ……！			金荒物屋の新人の悩み							
ありがとう。じゃあ、万貨街の店に戻るか。			ありがとう。じゃあ、万貨街の店に戻るか。			金荒物屋の新人の悩み							
辞めた壺匠に戻ろうとしたり……自分の優柔不断な態度でお騒がせして、ごめんなさい！			辞めた壺匠に戻ろうとしたり……自分の優柔不断な態度でお騒がせして、ごめんなさい！			金荒物屋の新人の悩み							
こだわりゆえ手が遅い私を雇ってもらうことに、引け目があって……。でも、ラルソジさんが自分を求めてくれて嬉しかった……！			こだわりゆえ手が遅い私を雇ってもらうことに、引け目があって……。でも、ラルソジさんが自分を求めてくれて嬉しかった……！			金荒物屋の新人の悩み							
いってらっしゃい　応援してる～！職人パパーニ　素敵な仕事場　モブもとてとて　嬉しいよ～！			いってらっしゃい　応援してる～！職人パパーニ　素敵な仕事場　モブもとてとて　嬉しいよ～！			金荒物屋の新人の悩み							
素材も住まいも食事も用意してくれるモブリン族の集落は、職人にとっては夢のような環境だが……俺はなんだかんだ、この店が落ち着くな。			素材も住まいも食事も用意してくれるモブリン族の集落は、職人にとっては夢のような環境だが……俺はなんだかんだ、この店が落ち着くな。			金荒物屋の新人の悩み							
はい、アースンシャイアにはアースンシャイアの、そして、この店には、この店の良さがあると知りました。			はい、アースンシャイアにはアースンシャイアの、そして、この店には、この店の良さがあると知りました。			金荒物屋の新人の悩み							
壺匠だった頃も楽しかったけど……お客さんの顔が見られる環境が、私にとって向いていたんだって。			壺匠だった頃も楽しかったけど……お客さんの顔が見られる環境が、私にとって向いていたんだって。			金荒物屋の新人の悩み							
なら、改めて「金荒物屋ラルソジ」の職人として、これからも頼むぞ、パパーニ。			なら、改めて「金荒物屋ラルソジ」の職人として、これからも頼むぞ、パパーニ。			金荒物屋の新人の悩み							
俺たちはこれからの仕事のやり方を相談しておく。Forenameは、少し待っていてくれ。			俺たちはこれからの仕事のやり方を相談しておく。Forenameは、少し待っていてくれ。			金荒物屋の新人の悩み							
「鍛冶師／甲冑師／彫金師」の、いずれかがレベル98以上になると、万貨街の「ラルソジ」から、次のクエストが受注可能です。			「鍛冶師／甲冑師／彫金師」の、いずれかがレベル98以上になると、万貨街の「ラルソジ」から、次のクエストが受注可能です。			金荒物屋の新人の悩み							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「心をひとつに」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「心をひとつに」を完了する必要があります。			金荒物屋の新人の悩み							
本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			本クエストで製作した「NQアイテム」を所持しています。このアイテムは、使用することはありません。売却もできませんので、不用でしたら破棄してください。			金荒物屋の新人の悩み							
ワチュメキメキ万貨街のラルソジは、新たな試みに挑戦しようとしているようだ。			ワチュメキメキ万貨街のラルソジは、新たな試みに挑戦しようとしているようだ。			金荒物屋の新たな挑戦							
ラルソジはついに、品質を問われる日用品の製作依頼を引き受けた。「瞑想用の香炉」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			ラルソジはついに、品質を問われる日用品の製作依頼を引き受けた。「瞑想用の香炉」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			金荒物屋の新たな挑戦							
ラルソジに瞑想用の香炉を納品したところ、ブネワ族の宮廷祭司が礼を言いにやってきた。パパーニと協力して製作するラルソジを、あともう少しだけ見守っていこう。			ラルソジに瞑想用の香炉を納品したところ、ブネワ族の宮廷祭司が礼を言いにやってきた。パパーニと協力して製作するラルソジを、あともう少しだけ見守っていこう。			金荒物屋の新たな挑戦							
ラルソジに瞑想用の香炉を納品			ラルソジに瞑想用の香炉を納品			金荒物屋の新たな挑戦							
