潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
改めて、ドマの民として、お礼申し上げる。そして、これからもよろしく頼むでござる！			改めて、ドマの民として、お礼申し上げる。そして、これからもよろしく頼むでござる！			その赤に祈りをこめて							
もちろんです！今度は私たちが、できるかぎり力になりますから！			もちろんです！今度は私たちが、できるかぎり力になりますから！			その赤に祈りをこめて							
……あっ、そうだ。今後のことも考えると、アジムステップとヤンサを繋ぐ道を、使えるようにした方がいいかもしれませんね。			……あっ、そうだ。今後のことも考えると、アジムステップとヤンサを繋ぐ道を、使えるようにした方がいいかもしれませんね。			その赤に祈りをこめて							
紅玉海を経由するよりも早いのですが……ドマの戦火が激しくなってからは、ドタール族によって、封印が施されているんです。			紅玉海を経由するよりも早いのですが……ドマの戦火が激しくなってからは、ドタール族によって、封印が施されているんです。			その赤に祈りをこめて							
ほう、確かに封印を解くなら今だな。ドタール・カーに行って、頼んでおくとするか。			ほう、確かに封印を解くなら今だな。ドタール・カーに行って、頼んでおくとするか。			その赤に祈りをこめて							
ついでに、明けの玉座に寄ってもよいか？あの気高き族長とも、今後について少し話しておきたくてな。			ついでに、明けの玉座に寄ってもよいか？あの気高き族長とも、今後について少し話しておきたくてな。			その赤に祈りをこめて							
うーん……。同盟を組んだとはいえ、合戦の直後だよ？アタシたちがあっちの拠点を訪ねても平気かな……。			うーん……。同盟を組んだとはいえ、合戦の直後だよ？アタシたちがあっちの拠点を訪ねても平気かな……。			その赤に祈りをこめて							
……リセさん。私たち草原のアウラ族は、戦いを繰り返しながらも、長い間、この暮らしを続けています。			……リセさん。私たち草原のアウラ族は、戦いを繰り返しながらも、長い間、この暮らしを続けています。			その赤に祈りをこめて							
今回も、合戦によって多くの血が流れ、大地は赤く染まりました……。			今回も、合戦によって多くの血が流れ、大地は赤く染まりました……。			その赤に祈りをこめて							
だけど……赤は、昼と夜を入れかえる色。終わりの色にして、新しきを始める色。			だけど……赤は、昼と夜を入れかえる色。終わりの色にして、新しきを始める色。			その赤に祈りをこめて							
私たちは、流した血と因縁を過去にして、新しい季節へと歩みだすんです。殺されたところから生まれよと、最初の父母が言ったように。			私たちは、流した血と因縁を過去にして、新しい季節へと歩みだすんです。殺されたところから生まれよと、最初の父母が言ったように。			その赤に祈りをこめて							
だから……きっと大丈夫です！			だから……きっと大丈夫です！			その赤に祈りをこめて							
……そっか！じゃあ、ふたつの部族のところに寄って、ヤンサへ帰ろう。まずは「明けの玉座」だね！			……そっか！じゃあ、ふたつの部族のところに寄って、ヤンサへ帰ろう。まずは「明けの玉座」だね！			その赤に祈りをこめて							
はいっ！お見送りも兼ねて、途中までご一緒させていただきますね。			はいっ！お見送りも兼ねて、途中までご一緒させていただきますね。			その赤に祈りをこめて							
本当に、すんなり通してもらえちゃった！			本当に、すんなり通してもらえちゃった！			その赤に祈りをこめて							
さて、気高き族長殿の機嫌がよいといいのだが。			さて、気高き族長殿の機嫌がよいといいのだが。			その赤に祈りをこめて							
ふむ……人が減ったか……。			ふむ……人が減ったか……。			その赤に祈りをこめて							
族長さんと、きちんとお話しするのははじめてで……。少し、緊張します……。			族長さんと、きちんとお話しするのははじめてで……。少し、緊張します……。			その赤に祈りをこめて							
また、いつでもいらっしゃい。明るき星がいつまでも天に輝き、地の人を導きますように……。			また、いつでもいらっしゃい。明るき星がいつまでも天に輝き、地の人を導きますように……。			その赤に祈りをこめて							
そうか、出立か……。また会うときまで、達者でな。俺も養生しておこう。			そうか、出立か……。また会うときまで、達者でな。俺も養生しておこう。			その赤に祈りをこめて							
フン……余輩は今、気分が悪い。それでもなお拝謁を許しているのだ、簡潔に要件を述べろ。			フン……余輩は今、気分が悪い。それでもなお拝謁を許しているのだ、簡潔に要件を述べろ。			その赤に祈りをこめて							
あ、相変わらず偉そうだなぁ……。			あ、相変わらず偉そうだなぁ……。			その赤に祈りをこめて							
偉そうではない、偉いのだ。合戦の結果を認めてなお、余輩らがアジム神の子であることは変わりない。			偉そうではない、偉いのだ。合戦の結果を認めてなお、余輩らがアジム神の子であることは変わりない。			その赤に祈りをこめて							
……そこにいたバートゥの行方が気になるか？今は戦のあと、ここは敗軍の陣なのだぞ。			……そこにいたバートゥの行方が気になるか？今は戦のあと、ここは敗軍の陣なのだぞ。			その赤に祈りをこめて							
…………安心しろ。奴に関しては、一命を取り留めた。少し時間はかかろうが、いずれ歩けるようにもなるだろう。			…………安心しろ。奴に関しては、一命を取り留めた。少し時間はかかろうが、いずれ歩けるようにもなるだろう。			その赤に祈りをこめて							
それ以上は問うな、余計な気遣いこそ不敬だ。余輩らの威光は、一度の敗北で衰えるものではない。覇者はただ、鷹揚に前だけ見ていろ。			それ以上は問うな、余計な気遣いこそ不敬だ。余輩らの威光は、一度の敗北で衰えるものではない。覇者はただ、鷹揚に前だけ見ていろ。			その赤に祈りをこめて							
それで、此度は何用だ？この玉座を差し出せというなら、それも致し方がないが。			それで、此度は何用だ？この玉座を差し出せというなら、それも致し方がないが。			その赤に祈りをこめて							
あ、いえ……私たちは神託でいつ移動するとも知れませんから。この玉座は引き続き、オロニル族とブドゥガ族のみなさんで、使っていただいて構いません。			あ、いえ……私たちは神託でいつ移動するとも知れませんから。この玉座は引き続き、オロニル族とブドゥガ族のみなさんで、使っていただいて構いません。			その赤に祈りをこめて							
わしらがヤンサに戻るのでな。今後のことについて確認しておこうと、立ち寄ったのだ。			わしらがヤンサに戻るのでな。今後のことについて確認しておこうと、立ち寄ったのだ。			その赤に祈りをこめて							
フン……案じずとも、すでに盟約は結ばれた。お前たちが策と号令をよこせば、いつでも出よう。			フン……案じずとも、すでに盟約は結ばれた。お前たちが策と号令をよこせば、いつでも出よう。			その赤に祈りをこめて							
それはありがたい。では、一度ヤンサに戻ったのち、改めて反乱軍から使いを出そう。			それはありがたい。では、一度ヤンサに戻ったのち、改めて反乱軍から使いを出そう。			その赤に祈りをこめて							
よかったですね！オロニル族が協力してくれるとあれば、まさに百人力です。			よかったですね！オロニル族が協力してくれるとあれば、まさに百人力です。			その赤に祈りをこめて							
慈愛にあふれ……可憐で控えめ……儚い朝焼けの雲がごとき乙女……だと……？それでいて戦える……完璧か……ッ！			慈愛にあふれ……可憐で控えめ……儚い朝焼けの雲がごとき乙女……だと……？それでいて戦える……完璧か……ッ！			その赤に祈りをこめて							
おい、そこの麗しき乙女……！お前が余輩のナーマか！？　そうであろう！！			おい、そこの麗しき乙女……！お前が余輩のナーマか！？　そうであろう！！			その赤に祈りをこめて							
えっと……？よくわかりませんが遠慮します、結構です。どうぞそのまま座ってください。			えっと……？よくわかりませんが遠慮します、結構です。どうぞそのまま座ってください。			その赤に祈りをこめて							
よ、よーし、次は「ドタール・カー」だね！さあ、行こ行こっ！			よ、よーし、次は「ドタール・カー」だね！さあ、行こ行こっ！			その赤に祈りをこめて							
ここが、ドタール・カーだね。乾いた風……少しギラバニアに似てるかな。			ここが、ドタール・カーだね。乾いた風……少しギラバニアに似てるかな。			その赤に祈りをこめて							
やっとここへ来れたわ！前回の機会は、投獄でふいにしたからな。			やっとここへ来れたわ！前回の機会は、投獄でふいにしたからな。			その赤に祈りをこめて							
ゲセル殿は、無事に還ったであろうか。……いや、案じるまでもござらんか。			ゲセル殿は、無事に還ったであろうか。……いや、案じるまでもござらんか。			その赤に祈りをこめて							
サドゥさんとも、実はちゃんと話したことがなくて……。			サドゥさんとも、実はちゃんと話したことがなくて……。			その赤に祈りをこめて							
なぜだ……また違うのか……？どうしてこうも、余輩のナーマだけ見つからない……！			なぜだ……また違うのか……？どうしてこうも、余輩のナーマだけ見つからない……！			その赤に祈りをこめて							
……なんだ、そろいもそろっておでましか？			……なんだ、そろいもそろっておでましか？			その赤に祈りをこめて							
これより、ヤンサに戻るのでござる。サドゥ殿、そちらの様子はどうか？			これより、ヤンサに戻るのでござる。サドゥ殿、そちらの様子はどうか？			その赤に祈りをこめて							
どうもこうも、合戦でまた一族の数が減った。			どうもこうも、合戦でまた一族の数が減った。			その赤に祈りをこめて							
……だが、命を燃やせる、いい戦だったからな。懸命に戦って散った奴らは、きっと戻ってくることだろう。			……だが、命を燃やせる、いい戦だったからな。懸命に戦って散った奴らは、きっと戻ってくることだろう。			その赤に祈りをこめて							
現に、すでにひとり戻ってきたらしい。ゲセルの忘れ形見は、さて、どいつの魂を宿しているかな。			現に、すでにひとり戻ってきたらしい。ゲセルの忘れ形見は、さて、どいつの魂を宿しているかな。			その赤に祈りをこめて							
オレたちも、新しい季節に向けて再出発だ。もっともっと強くなるために、お呼びがかかれば、いつでもテメェらの戦場に駆けつけてやるよ。			オレたちも、新しい季節に向けて再出発だ。もっともっと強くなるために、お呼びがかかれば、いつでもテメェらの戦場に駆けつけてやるよ。			その赤に祈りをこめて							
まこと、心強いかぎりだ。頼りにしているぞ、草原いち勇敢なドタール族よ。			まこと、心強いかぎりだ。頼りにしているぞ、草原いち勇敢なドタール族よ。			その赤に祈りをこめて							
それから、もうひとつお願いがあって……南東の、ヤンサに続く道の封印を解いていただきたいんです。			それから、もうひとつお願いがあって……南東の、ヤンサに続く道の封印を解いていただきたいんです。			その赤に祈りをこめて							
ああ、そういうことか。いいぞ、術は解いておくから、好きに通れ。			ああ、そういうことか。いいぞ、術は解いておくから、好きに通れ。			その赤に祈りをこめて							
では、これにて失礼いたす。……互いに、悔いなく戦い抜こうぞ。			では、これにて失礼いたす。……互いに、悔いなく戦い抜こうぞ。			その赤に祈りをこめて							
ハッ、言われるまでもない。そっちこそ老体なんだ、無念を残してコロッと死ぬなよ。			ハッ、言われるまでもない。そっちこそ老体なんだ、無念を残してコロッと死ぬなよ。			その赤に祈りをこめて							
この先が、ヤンサ……。			この先が、ヤンサ……。			その赤に祈りをこめて							
草原の風景とも、これでしばしの別れか。わしにとっては、一日千秋、長い時を過ごした場所であった。……必ずや、また来るとしよう。			草原の風景とも、これでしばしの別れか。わしにとっては、一日千秋、長い時を過ごした場所であった。……必ずや、また来るとしよう。			その赤に祈りをこめて							
サドゥ殿の激励も効いた。さあ、これより、満を持しての帰還でござる！			サドゥ殿の激励も効いた。さあ、これより、満を持しての帰還でござる！			その赤に祈りをこめて							
いつでもオレたちを呼べ。クソ偉そうなあの男より、よほど戦果を上げてやるよ。			いつでもオレたちを呼べ。クソ偉そうなあの男より、よほど戦果を上げてやるよ。			その赤に祈りをこめて							
母親になるのって、なんだか不思議な気持ちね。この子が誰の生まれ変わりでもいい……早く会いたいなって思うの。			母親になるのって、なんだか不思議な気持ちね。この子が誰の生まれ変わりでもいい……早く会いたいなって思うの。			その赤に祈りをこめて							
……うん、ちゃんと封印が解けてます。この洞窟の先が、みなさんの目指すヤンサです。			……うん、ちゃんと封印が解けてます。この洞窟の先が、みなさんの目指すヤンサです。			その赤に祈りをこめて							
だから……私のお見送りもここまで。出陣の合図をいただくまで、しばらくお別れです。			だから……私のお見送りもここまで。出陣の合図をいただくまで、しばらくお別れです。			その赤に祈りをこめて							
シリナ……ちょっとの間だけど、元気でね。テムルンおばあちゃんにも、子どもたちにも……モル族のみんなに、またねって伝えておいて。			シリナ……ちょっとの間だけど、元気でね。テムルンおばあちゃんにも、子どもたちにも……モル族のみんなに、またねって伝えておいて。			その赤に祈りをこめて							
はい、必ず！私からも……これを持って行ってください。			はい、必ず！私からも……これを持って行ってください。			その赤に祈りをこめて							
これは……赤い旗？モル族の旗かな……？			これは……赤い旗？モル族の旗かな……？			その赤に祈りをこめて							
じ、実用品じゃなくてすみません……。お守り代わりにと思って……。			じ、実用品じゃなくてすみません……。お守り代わりにと思って……。			その赤に祈りをこめて							
……私は、ドマの事情も、リセさんの国の事情も知りません。ただ、どちらもとても苦しい状況だと聞きました。			……私は、ドマの事情も、リセさんの国の事情も知りません。ただ、どちらもとても苦しい状況だと聞きました。			その赤に祈りをこめて							
そんな現実を前にしたら、あまりにちっぽけで、無力かもしれないけれど……そこに織り込んだ赤い糸に、祈りを込めたんです。			そんな現実を前にしたら、あまりにちっぽけで、無力かもしれないけれど……そこに織り込んだ赤い糸に、祈りを込めたんです。			その赤に祈りをこめて							
流した血のあとに……燃え盛る炎の果てに……悲嘆しながら迎える朝焼けの先に……始まるものが、ありますようにと。			流した血のあとに……燃え盛る炎の果てに……悲嘆しながら迎える朝焼けの先に……始まるものが、ありますようにと。			その赤に祈りをこめて							
みなさんが、始まりをもたらす赤……紅蓮の解放者になれますようにと、心から祈っています……！			みなさんが、始まりをもたらす赤……紅蓮の解放者になれますようにと、心から祈っています……！			その赤に祈りをこめて							
その祈り、天でなくとも、わしらが聞いた！しかれば、必ず果たしてみせよう！……世話になったな、シリナ。			その祈り、天でなくとも、わしらが聞いた！しかれば、必ず果たしてみせよう！……世話になったな、シリナ。			その赤に祈りをこめて							
……それでは、また！みなさん、どうかご無事で！			……それでは、また！みなさん、どうかご無事で！			その赤に祈りをこめて							
モル・イローのヒエンは、大層嬉しげだ。			モル・イローのヒエンは、大層嬉しげだ。			歓声は遠く高く							
テムルンと話す			テムルンと話す			歓声は遠く高く							
勤勉なモル族戦士と話す			勤勉なモル族戦士と話す			歓声は遠く高く							
モル・イローの印の上で「勝利を喜ぶ」をする			モル・イローの印の上で「勝利を喜ぶ」をする			歓声は遠く高く							
シリナと話す			シリナと話す			歓声は遠く高く							
きっとみんな、あなたを待ってるよ！			きっとみんな、あなたを待ってるよ！			歓声は遠く高く							
ほかに戦っていた者らも、戻ってきているようでござる。			ほかに戦っていた者らも、戻ってきているようでござる。			歓声は遠く高く							
Forenameさん……。本当に勝ったんですね、私たち……！			Forenameさん……。本当に勝ったんですね、私たち……！			歓声は遠く高く							
っつ……傷を負ったが、なに、問題ない……。子どもたちが、薬草をとってきてくれるそうだ。			っつ……傷を負ったが、なに、問題ない……。子どもたちが、薬草をとってきてくれるそうだ。			歓声は遠く高く							
だが、あと少し戦いが長引けば、生きて戻れなかったかもしれない。……ありがとう。			だが、あと少し戦いが長引けば、生きて戻れなかったかもしれない。……ありがとう。			歓声は遠く高く							
Forenameさん！すごい、すごい、勝ったんですよっ！！			Forenameさん！すごい、すごい、勝ったんですよっ！！			歓声は遠く高く							
はー……。もう、一歩も動ける気がしないよ！			はー……。もう、一歩も動ける気がしないよ！			歓声は遠く高く							
うぉぉぉぉ！あんた、めちゃくちゃかっこよかったな！？俺、感動しちゃったよ！			うぉぉぉぉ！あんた、めちゃくちゃかっこよかったな！？俺、感動しちゃったよ！			歓声は遠く高く							
無理はするなよ。あーあー、派手に折ったもんだ！			無理はするなよ。あーあー、派手に折ったもんだ！			歓声は遠く高く							
いててて……い、生きててよかったぁ……へへ……。			いててて……い、生きててよかったぁ……へへ……。			歓声は遠く高く							
さぁて、わしばかりそなたと語っておっては、皆もやきもきするというもの。			さぁて、わしばかりそなたと語っておっては、皆もやきもきするというもの。			歓声は遠く高く							
まずは「テムルン」婆に顔を見せねばな！そして大いに勝利を喜び、誇るぞ、Forename！			まずは「テムルン」婆に顔を見せねばな！そして大いに勝利を喜び、誇るぞ、Forename！			歓声は遠く高く							
戦ってたみんな、無事だといいんだけど……。			戦ってたみんな、無事だといいんだけど……。			歓声は遠く高く							
テムルン婆、シリナ！今帰ったぞ！			テムルン婆、シリナ！今帰ったぞ！			歓声は遠く高く							
ほれ、おぬしが声をかけてやらんでどうする！			ほれ、おぬしが声をかけてやらんでどうする！			歓声は遠く高く							
ああ……おかえりなさい、Forename。おかえりなさい、みなさん。			ああ……おかえりなさい、Forename。おかえりなさい、みなさん。			歓声は遠く高く							
合戦での活躍、見ていたわ。あなたたちが勝利に届いたときには、涙をこぼしてしまったほどよ。			合戦での活躍、見ていたわ。あなたたちが勝利に届いたときには、涙をこぼしてしまったほどよ。			歓声は遠く高く							
本当に、どう感謝を伝えたらいいか……おかげで、一族のみんなも帰ってきたの。ええ……欠けることなく、みんなよ。			本当に、どう感謝を伝えたらいいか……おかげで、一族のみんなも帰ってきたの。ええ……欠けることなく、みんなよ。			歓声は遠く高く							
大怪我を負った子は少なくないですが……それでも、一族中が勝利の喜びに浸っています。			大怪我を負った子は少なくないですが……それでも、一族中が勝利の喜びに浸っています。			歓声は遠く高く							
みなさん、どうか彼らに声をかけてきてもらえませんか？きっと、今か今かと待っているはずですから！			みなさん、どうか彼らに声をかけてきてもらえませんか？きっと、今か今かと待っているはずですから！			歓声は遠く高く							
アタシたちは、アタシたちの目的があって、合戦に参加する道を選んだわけだけどさ……。その中で、誰かを救えた……って、思ってもいいのかな。			アタシたちは、アタシたちの目的があって、合戦に参加する道を選んだわけだけどさ……。その中で、誰かを救えた……って、思ってもいいのかな。			歓声は遠く高く							
あっはっは！痛がるか喜ぶか、どっちかにせい！			あっはっは！痛がるか喜ぶか、どっちかにせい！			歓声は遠く高く							
……勝利に笑む人々を見たのは、いつぶりでござろうか。遠からぬうちに、またお目にかかりたいものよ。			……勝利に笑む人々を見たのは、いつぶりでござろうか。遠からぬうちに、またお目にかかりたいものよ。			歓声は遠く高く							
ほらほら、みんなのところに行ってあげてください！……その間に、この感謝の気持ちをどうやって伝えようか、考えなきゃいけないんですから！			ほらほら、みんなのところに行ってあげてください！……その間に、この感謝の気持ちをどうやって伝えようか、考えなきゃいけないんですから！			歓声は遠く高く							
神と、あなたを受け入れた土地に……そして何より戦ったすべての子たちに、永く永く、感謝の祈りを捧げます。			神と、あなたを受け入れた土地に……そして何より戦ったすべての子たちに、永く永く、感謝の祈りを捧げます。			歓声は遠く高く							
Forenameさん！勝ちました、あたしたち勝ったんです！			Forenameさん！勝ちました、あたしたち勝ったんです！			歓声は遠く高く							
合戦の最中、強敵を前に、挫けそうにもなりました。でも、シリナやみなさんが進んでいくのを見て、とにかくついていこう、戦おう……って。			合戦の最中、強敵を前に、挫けそうにもなりました。でも、シリナやみなさんが進んでいくのを見て、とにかくついていこう、戦おう……って。			歓声は遠く高く							
ああ、嬉しくてたまらない！きっとこの瞬間のために、神託がおりたんだ！			ああ、嬉しくてたまらない！きっとこの瞬間のために、神託がおりたんだ！			歓声は遠く高く							
さあ、Forenameさん。みんなの前で、勝者の勇姿を！おもいっきり「勝利を喜んで」ください！			さあ、Forenameさん。みんなの前で、勝者の勇姿を！おもいっきり「勝利を喜んで」ください！			歓声は遠く高く							
みんなの前で、勝者の勇姿を！おもいっきり「勝利を喜んで」ください！			みんなの前で、勝者の勇姿を！おもいっきり「勝利を喜んで」ください！			歓声は遠く高く							
Forenameさん！かっこよかったぞ、ありがとう！			Forenameさん！かっこよかったぞ、ありがとう！			歓声は遠く高く							
勇敢な旅人、頼もしき家族に、これから百の季節が巡らんことを！			勇敢な旅人、頼もしき家族に、これから百の季節が巡らんことを！			歓声は遠く高く							
ああ、そうとも！災いなく、福は大きく栄えあれ！			ああ、そうとも！災いなく、福は大きく栄えあれ！			歓声は遠く高く							
見てたよー？大人気だったね、Forename！			見てたよー？大人気だったね、Forename！			歓声は遠く高く							
あれだけ喜ばれては、戦のあとであれ、疲れた顔は見せられんな！			あれだけ喜ばれては、戦のあとであれ、疲れた顔は見せられんな！			歓声は遠く高く							
父の背を見て子が育ち、先達の背を追って後輩がゆくように、あの者らは、きっとおぬしを目指すことでござろう。			父の背を見て子が育ち、先達の背を追って後輩がゆくように、あの者らは、きっとおぬしを目指すことでござろう。			歓声は遠く高く							
はーっ、かっこいいなぁ！あたしも、そんな風に武器を扱ってみたいです。			はーっ、かっこいいなぁ！あたしも、そんな風に武器を扱ってみたいです。			歓声は遠く高く							
ここから見てたよ、さっきの騒ぎ。くたくたなんだけど、なんだか元気がでちゃった。これは勝利の宴といくかぁ！？			ここから見てたよ、さっきの騒ぎ。くたくたなんだけど、なんだか元気がでちゃった。これは勝利の宴といくかぁ！？			歓声は遠く高く							
くぅぅぅ……！あんた、旦那はいるのか！？　告白しても！？あんたになら、シリナを嫁にもらわれても許せるぜ……！			くぅぅぅ……！あんた、旦那はいるのか！？　告白しても！？あんたになら、シリナを嫁にもらわれても許せるぜ……！			歓声は遠く高く							
早く治せよ。合戦に勝ったって、明日は明日の仕事があるんだからさ！			早く治せよ。合戦に勝ったって、明日は明日の仕事があるんだからさ！			歓声は遠く高く							
ふー……ほんっと……生きててよかったなぁ！			ふー……ほんっと……生きててよかったなぁ！			歓声は遠く高く							
聞きましたよ、みんな大喜びだったそうですね！私も、とっても嬉しいです。			聞きましたよ、みんな大喜びだったそうですね！私も、とっても嬉しいです。			歓声は遠く高く							
それで……この感謝をどう伝えようかと考えたのですが、うまく言葉にならなくて……。だから、一族の伝統にのっとって、これをお渡しします。			それで……この感謝をどう伝えようかと考えたのですが、うまく言葉にならなくて……。だから、一族の伝統にのっとって、これをお渡しします。			歓声は遠く高く							
それは「モリンホール」という伝統的な楽器です。			それは「モリンホール」という伝統的な楽器です。			歓声は遠く高く							
私たちの間では、特別なことを成し遂げた仲間に、あなたの偉業が歌となり、讃えられ続けますように……と、願いをこめてそれを贈るんです。			私たちの間では、特別なことを成し遂げた仲間に、あなたの偉業が歌となり、讃えられ続けますように……と、願いをこめてそれを贈るんです。			歓声は遠く高く							
モル族は、みなさんの英雄譚を歌い続けます。どうかそのモリンホールをそばにおいて、時折でいいので、草原であなたを讃える者がいることを、思い出してくださいね。			モル族は、みなさんの英雄譚を歌い続けます。どうかそのモリンホールをそばにおいて、時折でいいので、草原であなたを讃える者がいることを、思い出してくださいね。			歓声は遠く高く							
ナーマ砂漠北端のヒエンは、いよいよヤンサへ帰還するようだ。			ナーマ砂漠北端のヒエンは、いよいよヤンサへ帰還するようだ。			再び動乱の地へ							
ヤンサのゴウセツと話す			ヤンサのゴウセツと話す			再び動乱の地へ							
ヒエンと話す			ヒエンと話す			再び動乱の地へ							
アルフィノと話す			アルフィノと話す			再び動乱の地へ							
シリナの想いや、この草原で感じたこと……全部もって、ヤンサへ戻ろう！			シリナの想いや、この草原で感じたこと……全部もって、ヤンサへ戻ろう！			再び動乱の地へ							
ユウギリも、今か今かと帰りを待っておろう。大腕を振って、よい報せを持ち帰るでござる。			ユウギリも、今か今かと帰りを待っておろう。大腕を振って、よい報せを持ち帰るでござる。			再び動乱の地へ							
では、これよりアジムステップを後にし、ヤンサへと帰還する。……ゆくぞ、ゴウセツ、リセ、Forename！			では、これよりアジムステップを後にし、ヤンサへと帰還する。……ゆくぞ、ゴウセツ、リセ、Forename！			再び動乱の地へ							
ここは……ヤンサのどのあたりだろう？			ここは……ヤンサのどのあたりだろう？			再び動乱の地へ							
ああ、この空気、まぎれもなく我が故郷……懐かしのヤンサだ。			ああ、この空気、まぎれもなく我が故郷……懐かしのヤンサだ。			再び動乱の地へ							
ふむ、この道は拙者もはじめて使ったが、なるほど……この辺りに出るのでござるな。			ふむ、この道は拙者もはじめて使ったが、なるほど……この辺りに出るのでござるな。			再び動乱の地へ							
であれば、目指す「烈士庵」は南の方角でござる。どれ、拙者が先に行って、門兵と皆に若の帰還を告げておこう。			であれば、目指す「烈士庵」は南の方角でござる。どれ、拙者が先に行って、門兵と皆に若の帰還を告げておこう。			再び動乱の地へ							
こっち側から烈士庵に入るのは、はじめてだね。			こっち側から烈士庵に入るのは、はじめてだね。			再び動乱の地へ							
おう、来たな。わしも使うのは久方ぶりだが、ここが烈士庵の出入り口のひとつだ。			おう、来たな。わしも使うのは久方ぶりだが、ここが烈士庵の出入り口のひとつだ。			再び動乱の地へ							
さあ、中に入って、皆に帰還を告げるとしよう！			さあ、中に入って、皆に帰還を告げるとしよう！			再び動乱の地へ							
さて、これからどう動こうか……。			さて、これからどう動こうか……。			再び動乱の地へ							
具体的な作戦については、アルフィノが説明してくれるはずよ。			具体的な作戦については、アルフィノが説明してくれるはずよ。			再び動乱の地へ							
烈士庵を懐かしんでおる暇はないな。			烈士庵を懐かしんでおる暇はないな。			再び動乱の地へ							
よくヒエン様を連れて戻ってくれた。			よくヒエン様を連れて戻ってくれた。			再び動乱の地へ							
若が戻り、皆もいっそう覇気に満ちた様子でござる。			若が戻り、皆もいっそう覇気に満ちた様子でござる。			再び動乱の地へ							
ヒエン様が戻られる日が来ようとは……！今度こそ、帝国からドマを取り戻してみせようぞ！			ヒエン様が戻られる日が来ようとは……！今度こそ、帝国からドマを取り戻してみせようぞ！			再び動乱の地へ							
名前はもちろん存じ上げていましたが、ヒエン様にお会いするのは、初めてなのです。なんと凛々しいお方なのでしょう……！			名前はもちろん存じ上げていましたが、ヒエン様にお会いするのは、初めてなのです。なんと凛々しいお方なのでしょう……！			再び動乱の地へ							
改めて、君たちの帰還を祝おう。……おかえり、Forename。			改めて、君たちの帰還を祝おう。……おかえり、Forename。			再び動乱の地へ							
現状は先の報告どおりだが、実はね、もうひとつ朗報があるんだ。			現状は先の報告どおりだが、実はね、もうひとつ朗報があるんだ。			再び動乱の地へ							
私とアリゼーと……その道の権威だったムーンブリダが遺してくれた知識で、どうにかエーテライトを復旧させることに成功した！			私とアリゼーと……その道の権威だったムーンブリダが遺してくれた知識で、どうにかエーテライトを復旧させることに成功した！			再び動乱の地へ							
これで、君も行動しやすくなるはずだ。戦いはここから激化していく……存分に役立ててもらえたら、私たちも嬉しいよ。			これで、君も行動しやすくなるはずだ。戦いはここから激化していく……存分に役立ててもらえたら、私たちも嬉しいよ。			再び動乱の地へ							
モル・イローのブジェグは、儀礼の準備に取りかかりたいようだ。			モル・イローのブジェグは、儀礼の準備に取りかかりたいようだ。			新たな季節へ							
指定地点で清めの水を入手			指定地点で清めの水を入手			新たな季節へ							
マスグッドから奉納用の供物を入手			マスグッドから奉納用の供物を入手			新たな季節へ							
チャカ・ゾーの守人にモル族の剣、清めの水、奉納用の供物を渡す			チャカ・ゾーの守人にモル族の剣、清めの水、奉納用の供物を渡す			新たな季節へ							
ブジェグに報告			ブジェグに報告			新たな季節へ							
モル族を勝利へと導いた英雄よ。お前に、ぜひやってもらいたいことがあるのだ。			モル族を勝利へと導いた英雄よ。お前に、ぜひやってもらいたいことがあるのだ。			新たな季節へ							
合戦に勝利した部族は、西の祠へ供物を奉納するしきたりなのだが、それは、一番の功労者が行なうようにと決まっていてな。満場一致で、お前が選ばれたゆえ、よろしく頼む。			合戦に勝利した部族は、西の祠へ供物を奉納するしきたりなのだが、それは、一番の功労者が行なうようにと決まっていてな。満場一致で、お前が選ばれたゆえ、よろしく頼む。			新たな季節へ							
奉納するのは、「モル族の剣」、そして「清めの水」と「奉納用の供物」の3つだ。これらを揃え、祠にいる「チャカ・ゾーの守人」へ渡してくれ。			奉納するのは、「モル族の剣」、そして「清めの水」と「奉納用の供物」の3つだ。これらを揃え、祠にいる「チャカ・ゾーの守人」へ渡してくれ。			新たな季節へ							
まずは「モル族の剣」をお前に渡そう。「清めの水」は、明けの玉座の下にある湖、アジム・カートから汲むといい。			まずは「モル族の剣」をお前に渡そう。「清めの水」は、明けの玉座の下にある湖、アジム・カートから汲むといい。			新たな季節へ							
「奉納用の供物」の手配は、再会の市の「マスグッド」に頼んだ。英雄よ、手間をかけるが、奉納をよろしくお願いする。			「奉納用の供物」の手配は、再会の市の「マスグッド」に頼んだ。英雄よ、手間をかけるが、奉納をよろしくお願いする。			新たな季節へ							
祠の「チャカ・ゾーの守人」へ奉納すべき物は、「モル族の剣」と、「清めの水」、「奉納用の供物」の3つだ。			祠の「チャカ・ゾーの守人」へ奉納すべき物は、「モル族の剣」と、「清めの水」、「奉納用の供物」の3つだ。			新たな季節へ							
明けの玉座の下にある湖から「清めの水」が、再会の市の「マスグッド」から「奉納用の供物」が手に入る。手間をかけるが、よろしく頼んだぞ。			明けの玉座の下にある湖から「清めの水」が、再会の市の「マスグッド」から「奉納用の供物」が手に入る。手間をかけるが、よろしく頼んだぞ。			新たな季節へ							
