ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			灯りの消えた日							
傷病兵にウォームワインを渡す			傷病兵にウォームワインを渡す			あったかスパイスワイン							
ア・ルンリカに報告			ア・ルンリカに報告			あったかスパイスワイン							
ワイン瓶にアクションして、ホットワインゲット×4			ワイン瓶にアクションして、ホットワインゲット×4			あったかスパイスワイン							
ここでは、ワインポート産のスパイスワインを、怪我をされた方々の治療に役立てているんですよ。温かいスパイスワインは、体にいいですから。			ここでは、ワインポート産のスパイスワインを、怪我をされた方々の治療に役立てているんですよ。温かいスパイスワインは、体にいいですから。			あったかスパイスワイン							
ちょうどよかったわ、冒険者さん。この「スパイスワイン」を温めて、「ウォームワイン」にして、皆さんに配ってくれませんか？			ちょうどよかったわ、冒険者さん。この「スパイスワイン」を温めて、「ウォームワイン」にして、皆さんに配ってくれませんか？			あったかスパイスワイン							
ワイン置き場にワイン瓶を使う？トレード？（とにかく一回)			ワイン置き場にワイン瓶を使う？トレード？（とにかく一回)			あったかスパイスワイン							
イテテ、なかなか痛みがとれない……。まだ完治は先だな……。			イテテ、なかなか痛みがとれない……。まだ完治は先だな……。			あったかスパイスワイン							
ありがたくいただきます！このままじゃ、散っていった仲間に申し訳が立たない。頑張って怪我を治して、もっかい戦場に立たなきゃ！			ありがたくいただきます！このままじゃ、散っていった仲間に申し訳が立たない。頑張って怪我を治して、もっかい戦場に立たなきゃ！			あったかスパイスワイン							
ふう、だいぶ傷が治ったかなぁ。痛みも引いてきたみたいだ。			ふう、だいぶ傷が治ったかなぁ。痛みも引いてきたみたいだ。			あったかスパイスワイン							
ありがとう。このスパイスワインには、体にいい生薬が、いっぱい入っているそうね。……はやく元気にならなくちゃ。			ありがとう。このスパイスワインには、体にいい生薬が、いっぱい入っているそうね。……はやく元気にならなくちゃ。			あったかスパイスワイン							
いてて……傷跡に湯が染みる……だけど、これも生きてる有り難さだよなあ。			いてて……傷跡に湯が染みる……だけど、これも生きてる有り難さだよなあ。			あったかスパイスワイン							
おう、ありがとなぁ！「カルテノーの戦い」では、多くの仲間を失ったよ。散っていった奴等のためにも、もっと頑張らないとな。			おう、ありがとなぁ！「カルテノーの戦い」では、多くの仲間を失ったよ。散っていった奴等のためにも、もっと頑張らないとな。			あったかスパイスワイン							
うん、かなり痛みが引いてきたわね！			うん、かなり痛みが引いてきたわね！			あったかスパイスワイン							
ありがとね！　こんな傷さっさと治して、あの「光の戦士たち」のように、みんなの命を守らなきゃ！			ありがとね！　こんな傷さっさと治して、あの「光の戦士たち」のように、みんなの命を守らなきゃ！			あったかスパイスワイン							
お手伝いしてくださって、ありがとうございました！ここにいる皆さんは、私たち都市民のために戦って、怪我をされた方々です。			お手伝いしてくださって、ありがとうございました！ここにいる皆さんは、私たち都市民のために戦って、怪我をされた方々です。			あったかスパイスワイン							
皆さんの命がけの働きがあればこそ、今の私たちがあるの。せめて、ここではゆっくり療養して、英気を養ってもらいたいものです。			皆さんの命がけの働きがあればこそ、今の私たちがあるの。せめて、ここではゆっくり療養して、英気を養ってもらいたいものです。			あったかスパイスワイン							
キャンプ・ブロンズレイクの治療院の管理人ルクサ・ファルサは、何やら困っているようだ。			キャンプ・ブロンズレイクの治療院の管理人ルクサ・ファルサは、何やら困っているようだ。			謎の彫金師							
傷病兵を癒すための集落を、なぜか彫金師が訪れているらしい。「サラマンダー」から、患部の乾燥に効く「サラマンダー油」を4本分入手しよう。			傷病兵を癒すための集落を、なぜか彫金師が訪れているらしい。「サラマンダー」から、患部の乾燥に効く「サラマンダー油」を4本分入手しよう。			謎の彫金師							
サラマンダー油を4本分入手した。キャンプ・ブロンズレイクの彫金師に見せよう。			サラマンダー油を4本分入手した。キャンプ・ブロンズレイクの彫金師に見せよう。			謎の彫金師							
ゴッドベルトに、「サラマンダー油」をぶち撒けよう。			ゴッドベルトに、「サラマンダー油」をぶち撒けよう。			謎の彫金師							
ゴッドベルトに、「サラマンダー油」をもういっちょぶち撒けよう。			ゴッドベルトに、「サラマンダー油」をもういっちょぶち撒けよう。			謎の彫金師							
ゴッドベルトに「サラマンダー油」を塗り込もう。			ゴッドベルトに「サラマンダー油」を塗り込もう。			謎の彫金師							
ゴッドベルトに「サラマンダー油」を再度塗り込もう。			ゴッドベルトに「サラマンダー油」を再度塗り込もう。			謎の彫金師							
ゴッドベルトにサラマンダー油を塗り込んだ。キャンプ・ブロンズレイクの「ルクサ・ファルサ」に報告しよう。			ゴッドベルトにサラマンダー油を塗り込んだ。キャンプ・ブロンズレイクの「ルクサ・ファルサ」に報告しよう。			謎の彫金師							
ルクサ・ファルサは、ウルダハのお金持ちの考えることがわからないそうだ。ゴッドベルト、不思議な人物である。			ルクサ・ファルサは、ウルダハのお金持ちの考えることがわからないそうだ。ゴッドベルト、不思議な人物である。			謎の彫金師							
サラマンダーからサラマンダー油を入手			サラマンダーからサラマンダー油を入手			謎の彫金師							
ゴッドベルトにサラマンダー油を見せる			ゴッドベルトにサラマンダー油を見せる			謎の彫金師							
ゴッドベルトにサラマンダー油を使う			ゴッドベルトにサラマンダー油を使う			謎の彫金師							
ゴッドベルトにサラマンダー油を再度使う			ゴッドベルトにサラマンダー油を再度使う			謎の彫金師							
ゴッドベルトにサラマンダー油を塗る			ゴッドベルトにサラマンダー油を塗る			謎の彫金師							
ゴッドベルトにサラマンダー油を再度塗る			ゴッドベルトにサラマンダー油を再度塗る			謎の彫金師							
ルクサ・ファルサに報告			ルクサ・ファルサに報告			謎の彫金師							
ここ「キャンプ・ブロンズレイク」は、傷病兵の皆さまの体を、温泉で癒すための施設です。……それが、今なぜか「彫金師」様がおいででして……。			ここ「キャンプ・ブロンズレイク」は、傷病兵の皆さまの体を、温泉で癒すための施設です。……それが、今なぜか「彫金師」様がおいででして……。			謎の彫金師							
患部の乾燥に効く「サラマンダー油」を求めておられるのですが、あいにく備蓄がございません。			患部の乾燥に効く「サラマンダー油」を求めておられるのですが、あいにく備蓄がございません。			謎の彫金師							
冒険者さん、よろしければ、「サラマンダー」から「サラマンダー油」を4本分程入手し、お客様にお渡ししていただけませんか？			冒険者さん、よろしければ、「サラマンダー」から「サラマンダー油」を4本分程入手し、お客様にお渡ししていただけませんか？			謎の彫金師							
さんしょううおからサラマンダー油をゲット×3			さんしょううおからサラマンダー油をゲット×3			謎の彫金師							
ホゥ！　キミが「サラマンダー油」を持ってきてくれたのですかね！？			ホゥ！　キミが「サラマンダー油」を持ってきてくれたのですかね！？			謎の彫金師							
大角を調達するべく、ノコ1本でグレートなバッファローに挑んだところ、不覚にも、かすり傷を負ってしまいましてな！			大角を調達するべく、ノコ1本でグレートなバッファローに挑んだところ、不覚にも、かすり傷を負ってしまいましてな！			謎の彫金師							
このエオルゼア最強の彫金師……ゴッドベルトとしたことが、お恥ずかしいかぎり！			このエオルゼア最強の彫金師……ゴッドベルトとしたことが、お恥ずかしいかぎり！			謎の彫金師							
さあキミ！　遠慮はいりませんよ！この私の大胸筋に！　広背筋に！　腹・直・筋・にッ！ドバっとサラマンダー油をかけたま～え！			さあキミ！　遠慮はいりませんよ！この私の大胸筋に！　広背筋に！　腹・直・筋・にッ！ドバっとサラマンダー油をかけたま～え！			謎の彫金師							
「サラマンダー油」は、まだですかねっ！？			「サラマンダー油」は、まだですかねっ！？			謎の彫金師							
フゥー！　もういっちょ！			フゥー！　もういっちょ！			謎の彫金師							
フォーウ！　染み渡りますな！さぁさぁ、早く塗りこんでいただけますかね！？			フォーウ！　染み渡りますな！さぁさぁ、早く塗りこんでいただけますかね！？			謎の彫金師							
フォーウ！　染み渡りますな！さぁさぁ、早く塗りこんでいただけますかね！？			フォーウ！　染み渡りますな！さぁさぁ、早く塗りこんでいただけますかね！？			謎の彫金師							
オゥ！　いいですな！			オゥ！　いいですな！			謎の彫金師							
……オゥ……。なかなかいいテクニックを持っておいでですね！このゴッドベルト、うっかり寝オチするところでした！			……オゥ……。なかなかいいテクニックを持っておいでですね！このゴッドベルト、うっかり寝オチするところでした！			謎の彫金師							
さて、すこし休憩したら、もう8時間くらい風呂に浸かってきますかね！ピッカピッカ！　ツールツール！　ワッハッハ！！			さて、すこし休憩したら、もう8時間くらい風呂に浸かってきますかね！ピッカピッカ！　ツールツール！　ワッハッハ！！			謎の彫金師							
ありがとうございます。ウ、ウルダハのお金持ちって、変な人ばかりですね……。ともかく助かりました！！			ありがとうございます。ウ、ウルダハのお金持ちって、変な人ばかりですね……。ともかく助かりました！！			謎の彫金師							
キャンプ・ブロンズレイクのブラウギバル上等甲兵は、冒険者に届けてほしいものがあるようだ。			キャンプ・ブロンズレイクのブラウギバル上等甲兵は、冒険者に届けてほしいものがあるようだ。			キャンプ・オーバールックへの便り							
ブラウギバル上等甲兵は、キャンプ・オーバールックにいる「ブルーエイディン少甲佐」にブルーエイディン宛の封書を届けてほしいらしい。ジジルン交易商店の船渡しを使い、湖の対岸から北上して外地ラノシアを目指そう。			ブラウギバル上等甲兵は、キャンプ・オーバールックにいる「ブルーエイディン少甲佐」にブルーエイディン宛の封書を届けてほしいらしい。ジジルン交易商店の船渡しを使い、湖の対岸から北上して外地ラノシアを目指そう。			キャンプ・オーバールックへの便り							
ブルーエイディン少甲佐にブルーエイディン宛の封書を渡した。ブラウギバル上等甲兵のことを甘ちゃんと称するブルーエイディン少甲佐だが、内心では彼のことを気にかけているようだ。			ブルーエイディン少甲佐にブルーエイディン宛の封書を渡した。ブラウギバル上等甲兵のことを甘ちゃんと称するブルーエイディン少甲佐だが、内心では彼のことを気にかけているようだ。			キャンプ・オーバールックへの便り							
キャンプ・オーバールックのブルーエイディン少甲佐にブルーエイディン宛の封書を渡す			キャンプ・オーバールックのブルーエイディン少甲佐にブルーエイディン宛の封書を渡す			キャンプ・オーバールックへの便り							
僕は「黒渦団」の打撃艦隊に所属する陸戦兵でね。コボルド族との戦いで大怪我を負って、今は療養中の身……なんだけどさ。			僕は「黒渦団」の打撃艦隊に所属する陸戦兵でね。コボルド族との戦いで大怪我を負って、今は療養中の身……なんだけどさ。			キャンプ・オーバールックへの便り							
「キャンプ・オーバールック」にいる僕の上官に、この「ブルーエイディン宛の封書」を渡してくれないかい？あんまりノンビリもできないしね、復隊届ってわけ。			「キャンプ・オーバールック」にいる僕の上官に、この「ブルーエイディン宛の封書」を渡してくれないかい？あんまりノンビリもできないしね、復隊届ってわけ。			キャンプ・オーバールックへの便り							
治療に専念するために休ませてもらったけど、もう十分。まだ怪我は完治していないけど……斧を握ることくらいはできるさ。			治療に専念するために休ませてもらったけど、もう十分。まだ怪我は完治していないけど……斧を握ることくらいはできるさ。			キャンプ・オーバールックへの便り							
キャンプ・オーバールックはコボルド勢力圏の向こう側だ。南西にあるジジルン交易商店の船渡しを使って、湖の対岸を北上しながら、外地ラノシアを目指すといいよ。			キャンプ・オーバールックはコボルド勢力圏の向こう側だ。南西にあるジジルン交易商店の船渡しを使って、湖の対岸を北上しながら、外地ラノシアを目指すといいよ。			キャンプ・オーバールックへの便り							
冒険者か……。オレたちに何か用なのか。			冒険者か……。オレたちに何か用なのか。			キャンプ・オーバールックへの便り							
オレに手紙だと？……けッ、甘ちゃんのブラウギバルからじゃないか。			オレに手紙だと？……けッ、甘ちゃんのブラウギバルからじゃないか。			キャンプ・オーバールックへの便り							
ウチの部隊は、通称「紅燕陸戦隊」といってな。構成員は大半が海賊上がりで、黒渦団でも「最狂」の部隊とも言われているんだ。			ウチの部隊は、通称「紅燕陸戦隊」といってな。構成員は大半が海賊上がりで、黒渦団でも「最狂」の部隊とも言われているんだ。			キャンプ・オーバールックへの便り							
ここじゃ、寝ても覚めてもコボルド族との激戦だ。戦傷で前線を退いた甘ちゃんが、おいそれと戻ってこれる場所じゃねぇ！			ここじゃ、寝ても覚めてもコボルド族との激戦だ。戦傷で前線を退いた甘ちゃんが、おいそれと戻ってこれる場所じゃねぇ！			キャンプ・オーバールックへの便り							
……ブラウギバルめ、気持ちが空回りしてやがるな。ちゃんと完治するまで、美味いもんを食って、ゆっくり療養する罰をあたえねばならんな。			……ブラウギバルめ、気持ちが空回りしてやがるな。ちゃんと完治するまで、美味いもんを食って、ゆっくり療養する罰をあたえねばならんな。			キャンプ・オーバールックへの便り							
キャンプ・オーバールックのオーガスティン二等甲兵には、気になっていることがあるようだ。			キャンプ・オーバールックのオーガスティン二等甲兵には、気になっていることがあるようだ。			空路を護れ							
物資の輸送に使う気球が、ハイランド・コンドルに襲われることがあるらしい。キャンプ・オーバールックの西方にいる「ハイランド・コンドル」を5匹討伐しよう。			物資の輸送に使う気球が、ハイランド・コンドルに襲われることがあるらしい。キャンプ・オーバールックの西方にいる「ハイランド・コンドル」を5匹討伐しよう。			空路を護れ							
ハイランド・コンドルを5匹討伐した。キャンプ・オーバールックの「オーガスティン二等甲兵」に報告しよう。			ハイランド・コンドルを5匹討伐した。キャンプ・オーバールックの「オーガスティン二等甲兵」に報告しよう。			空路を護れ							
オーガスティン二等甲兵は、気球の安全が確保されて安心しているようだ。しかし、ここではハイランド・コンドルより、腹を減らした兵のほうが怖いらしい……。			オーガスティン二等甲兵は、気球の安全が確保されて安心しているようだ。しかし、ここではハイランド・コンドルより、腹を減らした兵のほうが怖いらしい……。			空路を護れ							
ハイランド・コンドルを討伐			ハイランド・コンドルを討伐			空路を護れ							
オーガスティン二等甲兵に報告			オーガスティン二等甲兵に報告			空路を護れ							
キャンプ・オーバールックでは、陸路を使うと、コボルド族に襲われるってんで重要物資の輸送には、空路……気球を使っているっす。			キャンプ・オーバールックでは、陸路を使うと、コボルド族に襲われるってんで重要物資の輸送には、空路……気球を使っているっす。			空路を護れ							
でも、その気球がハイランド・コンドルにちょっかいを出されることがあるっすよ。奴らをシメれば輸送が楽になるんすが……頼めないっすか？			でも、その気球がハイランド・コンドルにちょっかいを出されることがあるっすよ。奴らをシメれば輸送が楽になるんすが……頼めないっすか？			空路を護れ							
ハイランド・コンドルを倒す×5			ハイランド・コンドルを倒す×5			空路を護れ							
助かったっす。この気球は、食料や武器を運んでくれる、俺らにとっては超重要なものっすよ。			助かったっす。この気球は、食料や武器を運んでくれる、俺らにとっては超重要なものっすよ。			空路を護れ							
たまに、腹を減らした兵が、肉を奪いに襲ってくることもあるっす。黒渦団打撃艦隊、怖いっすよ……。			たまに、腹を減らした兵が、肉を奪いに襲ってくることもあるっす。黒渦団打撃艦隊、怖いっすよ……。			空路を護れ							
キャンプ・オーバールックのスウィグレール甲軍曹には、持ってきてほしいものがあるようだ。			キャンプ・オーバールックのスウィグレール甲軍曹には、持ってきてほしいものがあるようだ。			激戦地の豆知識							
スウィグレール甲軍曹は、忘れ物をしてしまったらしい。「ヴェロキラプトルの鉤爪」と「鋭い矢尻」を3つずつ集めよう。			スウィグレール甲軍曹は、忘れ物をしてしまったらしい。「ヴェロキラプトルの鉤爪」と「鋭い矢尻」を3つずつ集めよう。			激戦地の豆知識							
ヴェロキラプトルの鉤爪と鋭い矢尻をすべて集めた。キャンプ・オーバールックの「スウィグレール甲軍曹」に渡そう。			ヴェロキラプトルの鉤爪と鋭い矢尻をすべて集めた。キャンプ・オーバールックの「スウィグレール甲軍曹」に渡そう。			激戦地の豆知識							
コボルド族の冶金技術の高さは、彼らと敵対する者にとって厄介であるらしい。キャンプ・オーバールックでも、様々な対策を講じているようだ。			コボルド族の冶金技術の高さは、彼らと敵対する者にとって厄介であるらしい。キャンプ・オーバールックでも、様々な対策を講じているようだ。			激戦地の豆知識							
ヴェロキラプトルの鉤爪を入手			ヴェロキラプトルの鉤爪を入手			激戦地の豆知識							
鋭い矢尻を入手			鋭い矢尻を入手			激戦地の豆知識							
スウィグレール甲軍曹にヴェロキラプトルの鉤爪と鋭い矢尻を渡す			スウィグレール甲軍曹にヴェロキラプトルの鉤爪と鋭い矢尻を渡す			激戦地の豆知識							
ちょっと、そこのあんた！　聞いとくれよ！ラプトルの鉤爪が必要で、さくっと倒したんだがよ。肝心の鉤爪を採ってくるのも、さくっと忘れちまったんだよ！			ちょっと、そこのあんた！　聞いとくれよ！ラプトルの鉤爪が必要で、さくっと倒したんだがよ。肝心の鉤爪を採ってくるのも、さくっと忘れちまったんだよ！			激戦地の豆知識							
あたしが射抜いたラプトルの死骸が、そこら辺に転がってるからよ。死骸から「ヴェロキラプトルの鉤爪」を持ってきとくれよ！			あたしが射抜いたラプトルの死骸が、そこら辺に転がってるからよ。死骸から「ヴェロキラプトルの鉤爪」を持ってきとくれよ！			激戦地の豆知識							
ああそうだ、私の射った矢が残ってたら、その「鋭い矢尻」も持ってきとくれ！			ああそうだ、私の射った矢が残ってたら、その「鋭い矢尻」も持ってきとくれ！			激戦地の豆知識							
ラプトルの死体を調べて、爪を集める×3ラプトルに刺さった矢を採る（矢は個別のEOBJ)×3			ラプトルの死体を調べて、爪を集める×3ラプトルに刺さった矢を採る（矢は個別のEOBJ)×3			激戦地の豆知識							
ちょっと、そこのあんた！「ヴェロキラプトルの鉤爪」と「鋭い矢尻」を採ってきてくれよ！			ちょっと、そこのあんた！「ヴェロキラプトルの鉤爪」と「鋭い矢尻」を採ってきてくれよ！			激戦地の豆知識							
ありがとよ！　コボルド族は冶金術に長けてるからよ！金属の矢尻がついた矢で射かけると、それを拾い集めて、溶かして武器に変えてしまうのよ。			ありがとよ！　コボルド族は冶金術に長けてるからよ！金属の矢尻がついた矢で射かけると、それを拾い集めて、溶かして武器に変えてしまうのよ。			激戦地の豆知識							
奴らに物資をあたえるなっていう上官の命令でよ、鉤爪で矢尻を作っているってわけよ！使った矢も全部回収して、大事に再利用よ！			奴らに物資をあたえるなっていう上官の命令でよ、鉤爪で矢尻を作っているってわけよ！使った矢も全部回収して、大事に再利用よ！			激戦地の豆知識							
キャンプ・ブロンズレイクの治療院管理人ルクサ・ファルサは、困りはてているようだ。			キャンプ・ブロンズレイクの治療院管理人ルクサ・ファルサは、困りはてているようだ。			不思議な彫金師							
彫金師ゴッドベルトが、温泉でのぼせてしまったようだ。「ゴッドベルト」にエモート「つつく」をしよう。			彫金師ゴッドベルトが、温泉でのぼせてしまったようだ。「ゴッドベルト」にエモート「つつく」をしよう。			不思議な彫金師							
ゴッドベルトは反応しないようだ。ゴッドベルトに「ブロンズレイクの冷水」を使ってみよう。			ゴッドベルトは反応しないようだ。ゴッドベルトに「ブロンズレイクの冷水」を使ってみよう。			不思議な彫金師							
ゴッドベルトは、まだ反応しないようだ。ゴッドベルトに「ブロンズレイクの冷水」を再度使ってみよう。			ゴッドベルトは、まだ反応しないようだ。ゴッドベルトに「ブロンズレイクの冷水」を再度使ってみよう。			不思議な彫金師							
ゴッドベルトは、僅かに反応したようだ。ゴッドベルトに「ブロンズレイクの冷水」をもう一度使ってみよう。			ゴッドベルトは、僅かに反応したようだ。ゴッドベルトに「ブロンズレイクの冷水」をもう一度使ってみよう。			不思議な彫金師							
ゴッドベルトはついに意識を取り戻した。キャンプ・ブロンズレイクの「ルクサ・ファルサ」に報告しよう。			ゴッドベルトはついに意識を取り戻した。キャンプ・ブロンズレイクの「ルクサ・ファルサ」に報告しよう。			不思議な彫金師							
ゴッドベルトの手によるという「メテオサバイバーリング」を手に入れた。ルクサ・ファルサによれば、この指輪にはエオルゼア復興への願いが込められているという。ありがたく使わせてもらおう。			ゴッドベルトの手によるという「メテオサバイバーリング」を手に入れた。ルクサ・ファルサによれば、この指輪にはエオルゼア復興への願いが込められているという。ありがたく使わせてもらおう。			不思議な彫金師							
ゴッドベルトに「つつく」をする			ゴッドベルトに「つつく」をする			不思議な彫金師							
ゴッドベルトにブロンズレイクの冷水を使う			ゴッドベルトにブロンズレイクの冷水を使う			不思議な彫金師							
ゴッドベルトにブロンズレイクの冷水を再度使う			ゴッドベルトにブロンズレイクの冷水を再度使う			不思議な彫金師							
ゴッドベルトにブロンズレイクの冷水をもう一度使う			ゴッドベルトにブロンズレイクの冷水をもう一度使う			不思議な彫金師							
ルクサ・ファルサに報告			ルクサ・ファルサに報告			不思議な彫金師							
あのぅ……先ほどの変な彫金師様が、温泉に浸かりすぎて、のぼせてしまったようなんです。あれだけ、長湯が過ぎると注意したのに……。			あのぅ……先ほどの変な彫金師様が、温泉に浸かりすぎて、のぼせてしまったようなんです。あれだけ、長湯が過ぎると注意したのに……。			不思議な彫金師							
何度か「つついて」みて起きなかったら、この「ブロンズレイクの冷水」をぶっかけて、起こしてあげてください！			何度か「つついて」みて起きなかったら、この「ブロンズレイクの冷水」をぶっかけて、起こしてあげてください！			不思議な彫金師							
…………。			…………。			不思議な彫金師							
………………。			………………。			不思議な彫金師							
………………？			………………？			不思議な彫金師							
つめったぁぁぁぁぁぁぁぁぁぁいですぞ！！！！！			つめったぁぁぁぁぁぁぁぁぁぁいですぞ！！！！！			不思議な彫金師							
……はッ！？油塗りの上手なキミでしたかね！！			……はッ！？油塗りの上手なキミでしたかね！！			不思議な彫金師							
ハッハッハ！　ゴッドベルトとしたことが！温かい湯の中で、うっかり走馬灯を見ていましたぞ！あと少しで、走馬灯に豪華な彫金細工を加えるところ……。			ハッハッハ！　ゴッドベルトとしたことが！温かい湯の中で、うっかり走馬灯を見ていましたぞ！あと少しで、走馬灯に豪華な彫金細工を加えるところ……。			不思議な彫金師							
……おお！　傷も癒え、お肌がプリップリに！？これが温泉の効能、うーん……素晴らしい！！さっそく我が家のある、ウルダハに帰るとしましょう！			……おお！　傷も癒え、お肌がプリップリに！？これが温泉の効能、うーん……素晴らしい！！さっそく我が家のある、ウルダハに帰るとしましょう！			不思議な彫金師							
あの、先ほどの彫金師様が……冒険者さんにこちらの指輪を、と。なんでも、お世話になったお礼だとか……。			あの、先ほどの彫金師様が……冒険者さんにこちらの指輪を、と。なんでも、お世話になったお礼だとか……。			不思議な彫金師							
この指輪は、第七霊災で落ちた、「メテオ」の欠片から製作した一品……。その名も「メテオサバイバーリング」だそうです！！			この指輪は、第七霊災で落ちた、「メテオ」の欠片から製作した一品……。その名も「メテオサバイバーリング」だそうです！！			不思議な彫金師							
第七霊災を生き残った人への激励……。そしてご自身が失った、大切なものへの祈りをこめて……エオルゼア全土の復興を願い、製作した指輪らしいですよ。			第七霊災を生き残った人への激励……。そしてご自身が失った、大切なものへの祈りをこめて……エオルゼア全土の復興を願い、製作した指輪らしいですよ。			不思議な彫金師							
凄いなあ、羨ましいなあ。あの変なオジさん、何者だったんでしょう……。こんなことなら、私が対応に出ればよかったですよぉ……。			凄いなあ、羨ましいなあ。あの変なオジさん、何者だったんでしょう……。こんなことなら、私が対応に出ればよかったですよぉ……。			不思議な彫金師							
キャンプ・オーバールックのブルーエイディン少甲佐は、冒険者に頼みがあるようだ。			キャンプ・オーバールックのブルーエイディン少甲佐は、冒険者に頼みがあるようだ。			戦の前の腹ごしらえ							
ブルーエイディン少甲佐は、見張りに向かう部下たちに焼き魚を配りたいらしい。キャンプ・オーバールックの「焚き火」に「大ぶりのウォームトラウト」を使おう。			ブルーエイディン少甲佐は、見張りに向かう部下たちに焼き魚を配りたいらしい。キャンプ・オーバールックの「焚き火」に「大ぶりのウォームトラウト」を使おう。			戦の前の腹ごしらえ							
上手く焼けたようだ。「焚き火」から「大ぶりのグリルドトラウト」を取ろう。			上手く焼けたようだ。「焚き火」から「大ぶりのグリルドトラウト」を取ろう。			戦の前の腹ごしらえ							
大ぶりのグリルドトラウトを入手した。ブルーエイディン少甲佐の部下3名に「大ぶりのグリルドトラウト」を渡そう。			大ぶりのグリルドトラウトを入手した。ブルーエイディン少甲佐の部下3名に「大ぶりのグリルドトラウト」を渡そう。			戦の前の腹ごしらえ							
大ぶりのグリルドトラウトを配った。キャンプ・オーバールックの「ブルーエイディン少甲佐」に報告しよう。			大ぶりのグリルドトラウトを配った。キャンプ・オーバールックの「ブルーエイディン少甲佐」に報告しよう。			戦の前の腹ごしらえ							
ブルーエイディン少甲佐に報告した。彼なりに、部下たちの生還を願っているようだ。			ブルーエイディン少甲佐に報告した。彼なりに、部下たちの生還を願っているようだ。			戦の前の腹ごしらえ							
焚き火に大ぶりのウォームトラウトを使う			焚き火に大ぶりのウォームトラウトを使う			戦の前の腹ごしらえ							
焚き火から大ぶりのグリルドトラウトを入手			焚き火から大ぶりのグリルドトラウトを入手			戦の前の腹ごしらえ							
兵士に大ぶりのグリルドトラウトを渡す			兵士に大ぶりのグリルドトラウトを渡す			戦の前の腹ごしらえ							
ブルーエイディン少甲佐に報告			ブルーエイディン少甲佐に報告			戦の前の腹ごしらえ							
いいか、このキャンプ・オーバールックでは、力こそがすべてだ。敵をブチ殺すための武器と力が無いものは、ゴミ屑同然！			いいか、このキャンプ・オーバールックでは、力こそがすべてだ。敵をブチ殺すための武器と力が無いものは、ゴミ屑同然！			戦の前の腹ごしらえ							
だが、さすがのオレの部下でも、腹が減っては戦えねぇ！この「大ぶりのウォームトラウト」を焚き火で焼いて、戦いに備えている部下たちに配ってくれないか。			だが、さすがのオレの部下でも、腹が減っては戦えねぇ！この「大ぶりのウォームトラウト」を焚き火で焼いて、戦いに備えている部下たちに配ってくれないか。			戦の前の腹ごしらえ							
焚き火に川魚を使う×3			焚き火に川魚を使う×3			戦の前の腹ごしらえ							
焼きあがった焼き魚をget×3			焼きあがった焼き魚をget×3			戦の前の腹ごしらえ							
うーっし！！コボルド族め、いつでもかかってきやがれ！			うーっし！！コボルド族め、いつでもかかってきやがれ！			戦の前の腹ごしらえ							
隊長殿から飯の差し入れか！！……って、今日は肉じゃねぇのかよぉー！！まあいいや、道中食っとくぜ！			隊長殿から飯の差し入れか！！……って、今日は肉じゃねぇのかよぉー！！まあいいや、道中食っとくぜ！			戦の前の腹ごしらえ							
さぁって、今日も死線を潜り抜けるぜ。			さぁって、今日も死線を潜り抜けるぜ。			戦の前の腹ごしらえ							
今日は肉じゃないのか、俺の筋肉パワーは1割減だ……。まぁ、それでもコボルド族ごとき、ひと捻りだけどな！			今日は肉じゃないのか、俺の筋肉パワーは1割減だ……。まぁ、それでもコボルド族ごとき、ひと捻りだけどな！			戦の前の腹ごしらえ							
うう、戦いの前なのに、お腹が鳴ってる……。だって、焼き魚の匂いがすんだもん……。			うう、戦いの前なのに、お腹が鳴ってる……。だって、焼き魚の匂いがすんだもん……。			戦の前の腹ごしらえ							
うお！　さっすが隊長殿、気が利いてるぜ！肉じゃねぇのは残念だが、元気100倍だっ！コボルド族め、ぶった切ってやる！！			うお！　さっすが隊長殿、気が利いてるぜ！肉じゃねぇのは残念だが、元気100倍だっ！コボルド族め、ぶった切ってやる！！			戦の前の腹ごしらえ							
がっはっはっは！助かったぜ、オレは料理なんてできねぇからな！これであいつらは、今日も生きて帰ってくるだろうさ！			がっはっはっは！助かったぜ、オレは料理なんてできねぇからな！これであいつらは、今日も生きて帰ってくるだろうさ！			戦の前の腹ごしらえ							
命を賭けて戦う奴らは、皆オレの家族だ。オレは家族を死なせねぇ！　家族もオレを死なせねぇ！それが「最狂」たる紅燕陸戦隊って奴だ！			命を賭けて戦う奴らは、皆オレの家族だ。オレは家族を死なせねぇ！　家族もオレを死なせねぇ！それが「最狂」たる紅燕陸戦隊って奴だ！			戦の前の腹ごしらえ							
キャンプ・オーバールックのスウィグレール甲軍曹は、何か閃いたようだ。			キャンプ・オーバールックのスウィグレール甲軍曹は、何か閃いたようだ。			甲軍曹のひらめき							
スウィグレール甲軍曹は、クァールを飼いならしたいらしい。ヤング・クァールの体力を減らし、「巨大な麻袋」で捕まえよう。			スウィグレール甲軍曹は、クァールを飼いならしたいらしい。ヤング・クァールの体力を減らし、「巨大な麻袋」で捕まえよう。			甲軍曹のひらめき							
