酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			懐かしき忘れ物							
つまり、何かの目的があって、そこに行ったってことだ。行方知れずのシルフの長老の可能性が高い。地図に目撃地点を記しておいたから、見てくるといいぜ。			つまり、何かの目的があって、そこに行ったってことだ。行方知れずのシルフの長老の可能性が高い。地図に目撃地点を記しておいたから、見てくるといいぜ。			木立を縫う者							
（指定地点を見回るＡ×５）			（指定地点を見回るＡ×５）			木立を縫う者							
（指定地点を見回るＢ×５）			（指定地点を見回るＢ×５）			木立を縫う者							
（指定地点を見回るＣ×５）			（指定地点を見回るＣ×５）			木立を縫う者							
（指定地点を見回るＤ×５）			（指定地点を見回るＤ×５）			木立を縫う者							
（指定地点を見回るＥ×５）			（指定地点を見回るＥ×５）			木立を縫う者							
よう、帰ってきたか。何か足取りはつかめたか？……なに、帝国兵が潜んでいただと？			よう、帰ってきたか。何か足取りはつかめたか？……なに、帝国兵が潜んでいただと？			木立を縫う者							
帝国兵が、いったい何の目的で……。……まてよ、目撃地点で出くわしたってことは、奴ら、シルフを追っているのか……？			帝国兵が、いったい何の目的で……。……まてよ、目撃地点で出くわしたってことは、奴ら、シルフを追っているのか……？			木立を縫う者							
……しかし、こんな森の奥深くまでどうやって……。各所に監視哨が建てられ、神勇隊や鬼哭隊だっている。それらの目を盗んで入ってくるなんて、どういったことだ？			……しかし、こんな森の奥深くまでどうやって……。各所に監視哨が建てられ、神勇隊や鬼哭隊だっている。それらの目を盗んで入ってくるなんて、どういったことだ？			木立を縫う者							
……そうか……そういうことか。手引きしてやがる奴がいるな。……しかも、犯人はおそらくグリダニアの衛士だ。			……そうか……そういうことか。手引きしてやがる奴がいるな。……しかも、犯人はおそらくグリダニアの衛士だ。			木立を縫う者							
敵の気配を感じた！！			敵の気配を感じた！！			木立を縫う者							
酒房「バスカロンドラザーズ」のオフィリオーは、バスカロンのことで冒険者に相談があるようだ。			酒房「バスカロンドラザーズ」のオフィリオーは、バスカロンのことで冒険者に相談があるようだ。			胡蝶のはばたき							
森の中にいた帝国兵のことでバスカロンが悩んでいるらしい。「密猟団の狩人」と「似我蜂団の伝令」に、帝国兵に警戒するよう伝えよう。			森の中にいた帝国兵のことでバスカロンが悩んでいるらしい。「密猟団の狩人」と「似我蜂団の伝令」に、帝国兵に警戒するよう伝えよう。			胡蝶のはばたき							
帝国兵を警戒するよう、無事に伝えることができた。酒房「バスカロンドラザーズ」へ戻り「オフィリオー」に報告しよう。			帝国兵を警戒するよう、無事に伝えることができた。酒房「バスカロンドラザーズ」へ戻り「オフィリオー」に報告しよう。			胡蝶のはばたき							
オフィリオーが冒険者に伝言を頼んだのは、賊や密猟団との顔つなぎをさせるためでもあったらしい。バスカロンドラザーズを取り巻く状況について、またひとつ知ることができた。経験を糧に、今後ともバスカロンドラザーズの人々の役に立とう。			オフィリオーが冒険者に伝言を頼んだのは、賊や密猟団との顔つなぎをさせるためでもあったらしい。バスカロンドラザーズを取り巻く状況について、またひとつ知ることができた。経験を糧に、今後ともバスカロンドラザーズの人々の役に立とう。			胡蝶のはばたき							
密猟団の狩人と話す			密猟団の狩人と話す			胡蝶のはばたき							
似我蜂団の伝令と話す			似我蜂団の伝令と話す			胡蝶のはばたき							
オフィリオーに報告			オフィリオーに報告			胡蝶のはばたき							
バスカロンの親父の奴、どうも森の中にいた帝国兵のことを心配してるらしい。			バスカロンの親父の奴、どうも森の中にいた帝国兵のことを心配してるらしい。			胡蝶のはばたき							
そこで相談なんだが……バスカロンドラザーズの近くに、この辺を根城にしてる賊や密猟者が集まる場所がある。			そこで相談なんだが……バスカロンドラザーズの近くに、この辺を根城にしてる賊や密猟者が集まる場所がある。			胡蝶のはばたき							
そいつらに、帝国兵に注意するよう伝えてきてくれ。そんじゃ、うまいこと頼んだぜ。			そいつらに、帝国兵に注意するよう伝えてきてくれ。そんじゃ、うまいこと頼んだぜ。			胡蝶のはばたき							
バスカロンが帝国兵のことを心配してるって？そうか……あの親父が心配するぐらいだ、警戒だけはしておいた方がよさそうだな。			バスカロンが帝国兵のことを心配してるって？そうか……あの親父が心配するぐらいだ、警戒だけはしておいた方がよさそうだな。			胡蝶のはばたき							
……ところで、最近ここらで噂になってる[Race]族の冒険者ってなぁお前だろ？そのうち「アイサツ」に行くからよ、そんときゃ頼まあ。			……ところで、最近ここらで噂になってる[Race]族の冒険者ってなぁお前だろ？そのうち「アイサツ」に行くからよ、そんときゃ頼まあ。			胡蝶のはばたき							
……森の中に帝国兵がいた？バスカロンの情報なら、信じねえわけにはいかねえな。ひとまず兵隊の数増やして、警戒しといてやるよ。			……森の中に帝国兵がいた？バスカロンの情報なら、信じねえわけにはいかねえな。ひとまず兵隊の数増やして、警戒しといてやるよ。			胡蝶のはばたき							
そういえば、ここのとこ噂になってるめっぽう強い[Job]の冒険者ってのは、お前だろ？			そういえば、ここのとこ噂になってるめっぽう強い[Job]の冒険者ってのは、お前だろ？			胡蝶のはばたき							
ウチの若い奴が、お前と戦うのを楽しみにしてる。森でウチのに出くわしたときは、お手柔らかに頼むぜ。……もちろん、お互いにな。			ウチの若い奴が、お前と戦うのを楽しみにしてる。森でウチのに出くわしたときは、お手柔らかに頼むぜ。……もちろん、お互いにな。			胡蝶のはばたき							
よう、賊どもには会えたようだな。……ああいう奴らと顔をつなぐのはイヤだったか？			よう、賊どもには会えたようだな。……ああいう奴らと顔をつなぐのはイヤだったか？			胡蝶のはばたき							
だけどよ、ここらでああいう連中と顔を合わせとくのも悪かねえと思ったんだよ。			だけどよ、ここらでああいう連中と顔を合わせとくのも悪かねえと思ったんだよ。			胡蝶のはばたき							
最近のお前は、良かれ悪しかれ目立ちはじめてる。お前の噂を聞いて、興味を持ってる連中も多かったし……			最近のお前は、良かれ悪しかれ目立ちはじめてる。お前の噂を聞いて、興味を持ってる連中も多かったし……			胡蝶のはばたき							
面倒くせえことになる前に、顔合わせだけでもしといた方がいいと思ったのさ。			面倒くせえことになる前に、顔合わせだけでもしといた方がいいと思ったのさ。			胡蝶のはばたき							
酒房「バスカロンドラザーズ」のバスカロンは冒険者に頼みたいことがあるようだ。			酒房「バスカロンドラザーズ」のバスカロンは冒険者に頼みたいことがあるようだ。			犯人をとっちめろ！							
*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」の「バスカロン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」の「バスカロン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			犯人をとっちめろ！							
「ローレンティス」は立ち去ってしまった。追いかけて、もう一度話しかけてみよう。			「ローレンティス」は立ち去ってしまった。追いかけて、もう一度話しかけてみよう。			犯人をとっちめろ！							
「ローレンティス」は、また立ち去ってしまった。追いかけて、もう一度話しかけてみよう。			「ローレンティス」は、また立ち去ってしまった。追いかけて、もう一度話しかけてみよう。			犯人をとっちめろ！							
ローレンティスが呼んだ帝国兵を倒した。ローレンティスは帝国軍とつながっているかもしれない、もう一度「ローレンティス」に話しかけよう。			ローレンティスが呼んだ帝国兵を倒した。ローレンティスは帝国軍とつながっているかもしれない、もう一度「ローレンティス」に話しかけよう。			犯人をとっちめろ！							
ローレンティスは、またまた立ち去ってしまった。もう一度「ローレンティス」を追いかけよう。			ローレンティスは、またまた立ち去ってしまった。もう一度「ローレンティス」を追いかけよう。			犯人をとっちめろ！							
ローレンティスは、またまたまた立ち去ってしまった。もう一度「ローレンティス」を追いかけよう。			ローレンティスは、またまたまた立ち去ってしまった。もう一度「ローレンティス」を追いかけよう。			犯人をとっちめろ！							
再度ローレンティスが呼んだ帝国兵たちを倒した。ローレンティスは帝国軍に情報や食料を売っていたことを反省し、双蛇党に出頭するようだ。酒房「バスカロンドラザーズ」に戻り、「バスカロン」に報告しよう。			再度ローレンティスが呼んだ帝国兵たちを倒した。ローレンティスは帝国軍に情報や食料を売っていたことを反省し、双蛇党に出頭するようだ。酒房「バスカロンドラザーズ」に戻り、「バスカロン」に報告しよう。			犯人をとっちめろ！							
バスカロンに、ことの顛末を報告した。どうやらバスカロンがシルフ族の長の情報を掴んだらしいが……？			バスカロンに、ことの顛末を報告した。どうやらバスカロンがシルフ族の長の情報を掴んだらしいが……？			犯人をとっちめろ！							
*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」のバスカロンから再受注してください			*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」のバスカロンから再受注してください			犯人をとっちめろ！							
お前さんの耳に入れておきたいことがある。例の、帝国兵を手引きしていると思われる犯人についてだ。			お前さんの耳に入れておきたいことがある。例の、帝国兵を手引きしていると思われる犯人についてだ。			犯人をとっちめろ！							
急に金遣いが荒くなった常連客がいる。以前は安酒ばかりだったんだが、ここ最近、高級酒を頼むようになった。			急に金遣いが荒くなった常連客がいる。以前は安酒ばかりだったんだが、ここ最近、高級酒を頼むようになった。			犯人をとっちめろ！							
一本、数万ギルもする酒をガブ飲みだ。ただの客なら、こっちも儲かるってもんなんだが……。問題は、その客がグリダニアの鬼哭隊士だってことだ。			一本、数万ギルもする酒をガブ飲みだ。ただの客なら、こっちも儲かるってもんなんだが……。問題は、その客がグリダニアの鬼哭隊士だってことだ。			犯人をとっちめろ！							
隊士の俸給で、あの金の使い方はどうにも怪しい。最初は、やけ酒か何かとも思っていたんだがな。……帝国兵の話を聞いて、ピンときたのさ。			隊士の俸給で、あの金の使い方はどうにも怪しい。最初は、やけ酒か何かとも思っていたんだがな。……帝国兵の話を聞いて、ピンときたのさ。			犯人をとっちめろ！							
鬼哭隊士が工作活動をしてるなんてことになれば、グリダニアの危機にもつながりかねん。			鬼哭隊士が工作活動をしてるなんてことになれば、グリダニアの危機にもつながりかねん。			犯人をとっちめろ！							
さっき南に向かう奴を……ローレンティスを見かけた。後を追ってみるんだ。そして、悪事を働いているようなら、とっちめてやんな！			さっき南に向かう奴を……ローレンティスを見かけた。後を追ってみるんだ。そして、悪事を働いているようなら、とっちめてやんな！			犯人をとっちめろ！							
ぼ、冒険者が何の用だ。……僕は今、見回りで忙しいんだ。鬼哭隊に用があるなら、鬼哭隊屯所に行ってくれよ。			ぼ、冒険者が何の用だ。……僕は今、見回りで忙しいんだ。鬼哭隊に用があるなら、鬼哭隊屯所に行ってくれよ。			犯人をとっちめろ！							
ま、また君か。……見回りで忙しいと言っただろう。仕事の邪魔をしないでくれよ。			ま、また君か。……見回りで忙しいと言っただろう。仕事の邪魔をしないでくれよ。			犯人をとっちめろ！							
そろそろ約束の時間だけど、入れ忘れた物はないよな……。……えへへ、巡回経路の情報と食料を売るだけで、こんなに金をもらえるだなんて……。			そろそろ約束の時間だけど、入れ忘れた物はないよな……。……えへへ、巡回経路の情報と食料を売るだけで、こんなに金をもらえるだなんて……。			犯人をとっちめろ！							
うちの安い俸給じゃ、酒も女も贅沢はできないもんなぁ。いやぁ「ガレマール帝国軍」ってスゴイなぁ。もう鬼哭隊を辞めて帝国で働いちゃおうかなぁ……って。			うちの安い俸給じゃ、酒も女も贅沢はできないもんなぁ。いやぁ「ガレマール帝国軍」ってスゴイなぁ。もう鬼哭隊を辞めて帝国で働いちゃおうかなぁ……って。			犯人をとっちめろ！							
うあぁぁぁ！　さっきの冒険者！？こここ、これはその……。どどど、どうしよう……。……そうだっ！			うあぁぁぁ！　さっきの冒険者！？こここ、これはその……。どどど、どうしよう……。……そうだっ！			犯人をとっちめろ！							
たすけてー！　山賊に襲われてまーす！帝国軍のみなさーん、ここでーす！僕はここにいまーす！			たすけてー！　山賊に襲われてまーす！帝国軍のみなさーん、ここでーす！僕はここにいまーす！			犯人をとっちめろ！							
凶悪で悪質な山賊めー！ボッコボコにされてしまえー！			凶悪で悪質な山賊めー！ボッコボコにされてしまえー！			犯人をとっちめろ！							
な、な、なんて強さなんだよ……。……たたた、たまたま帝国軍が現れただけだよ！く、くそ……ほっといてくれ！			な、な、なんて強さなんだよ……。……たたた、たまたま帝国軍が現れただけだよ！く、くそ……ほっといてくれ！			犯人をとっちめろ！							
うあぁぁ、また出たぁぁぁぁ！ななな、なんで僕の後を付け回すんだよ！……付いてきたって、もう何もないよ、ホントだよ。			うあぁぁ、また出たぁぁぁぁ！ななな、なんで僕の後を付け回すんだよ！……付いてきたって、もう何もないよ、ホントだよ。			犯人をとっちめろ！							
ままま、また君か！……いい加減にしてくれよ。僕がいったい何をしたって言うんだい。			ままま、また君か！……いい加減にしてくれよ。僕がいったい何をしたって言うんだい。			犯人をとっちめろ！							
……さすがに……バレちゃったのか……。そうだよ、帝国軍に情報や食料を売っていたのは僕さ。……金が欲しかったんだ。			……さすがに……バレちゃったのか……。そうだよ、帝国軍に情報や食料を売っていたのは僕さ。……金が欲しかったんだ。			犯人をとっちめろ！							
鬼哭隊は強いけど、隊士ひとりでは何にもできない。正義感を振りかざしたところで、何も解決しない。いつも最後には、金を持ってる奴が全部持っていく……。			鬼哭隊は強いけど、隊士ひとりでは何にもできない。正義感を振りかざしたところで、何も解決しない。いつも最後には、金を持ってる奴が全部持っていく……。			犯人をとっちめろ！							
結局、モノを言うのは金なんだなって……。君には迷惑をかけたみたいだ。……すまなかった……謝るよ……。			結局、モノを言うのは金なんだなって……。君には迷惑をかけたみたいだ。……すまなかった……謝るよ……。			犯人をとっちめろ！							
……なーんてね！小さい時に習わなかったかい？知らない人に付いていってはいけませんって。			……なーんてね！小さい時に習わなかったかい？知らない人に付いていってはいけませんって。			犯人をとっちめろ！							
帝国軍のみなさーん、いまでーす！さっきの冒険者を誘い込みましたー！			帝国軍のみなさーん、いまでーす！さっきの冒険者を誘い込みましたー！			犯人をとっちめろ！							
前から疑問があるんだよね。たかが冒険者がさぁ、強大な権力と戦ったとして、ひとりで勝つことなんてできるのかなぁ？			前から疑問があるんだよね。たかが冒険者がさぁ、強大な権力と戦ったとして、ひとりで勝つことなんてできるのかなぁ？			犯人をとっちめろ！							
金があれば、それができるんだよねー。権力と戦うことも、権力を作ることも。このグリダニアを作り変えることだって！			金があれば、それができるんだよねー。権力と戦うことも、権力を作ることも。このグリダニアを作り変えることだって！			犯人をとっちめろ！							
(-？？？？-)やれやれ、やっぱりそういうことかい。帝国軍とつるんでいたとはねぇ。			(-？？？？-)やれやれ、やっぱりそういうことかい。帝国軍とつるんでいたとはねぇ。			犯人をとっちめろ！							
見たところ、冒険者のようだな。バスカロンの親父から依頼されてきたんだろ？親父への恩義によって助太刀するぜ！			見たところ、冒険者のようだな。バスカロンの親父から依頼されてきたんだろ？親父への恩義によって助太刀するぜ！			犯人をとっちめろ！							
（ＱＩＢ）			（ＱＩＢ）			犯人をとっちめろ！							
そんな……帝国軍を倒してしまうだなんて……。いったい、君はどこまで強いんだい……。……それにしても、なんで山賊や密猟者がいっしょに。			そんな……帝国軍を倒してしまうだなんて……。いったい、君はどこまで強いんだい……。……それにしても、なんで山賊や密猟者がいっしょに。			犯人をとっちめろ！							
……そうか、バスカロンの親父の……。金がなくても、人の心は掴めるってことなのか……。僕は……なんてバカなことをやってきたんだろう。			……そうか、バスカロンの親父の……。金がなくても、人の心は掴めるってことなのか……。僕は……なんてバカなことをやってきたんだろう。			犯人をとっちめろ！							
……すまなかった。これから「双蛇党」に出頭して、罪を告白してくる。いや、今度は騙すつもりはないよ、本当さ……。			……すまなかった。これから「双蛇党」に出頭して、罪を告白してくる。いや、今度は騙すつもりはないよ、本当さ……。			犯人をとっちめろ！							
バスカロンの親父に、伝えてほしいことがあるんだ。……ありがとうって。何か、わかったような気がするよ。			バスカロンの親父に、伝えてほしいことがあるんだ。……ありがとうって。何か、わかったような気がするよ。			犯人をとっちめろ！							
ローレンティスを、とっちめてくれたようじゃないか。ついさっき「双蛇党」から連絡があったぜ。……野郎、ちゃんと出頭したようだ、安心しな。			ローレンティスを、とっちめてくれたようじゃないか。ついさっき「双蛇党」から連絡があったぜ。……野郎、ちゃんと出頭したようだ、安心しな。			犯人をとっちめろ！							
奴は幼い頃、母親をならず者に殺されてな……。グリダニアの治安を守ると、鬼哭隊に入隊したんだ。			奴は幼い頃、母親をならず者に殺されてな……。グリダニアの治安を守ると、鬼哭隊に入隊したんだ。			犯人をとっちめろ！							
ローレンティスは悩んでいたよ。何とかしてグリダニアを守りたいのに、自分ひとりの力では、何もできないと。			ローレンティスは悩んでいたよ。何とかしてグリダニアを守りたいのに、自分ひとりの力では、何もできないと。			犯人をとっちめろ！							
そんな時、金の力に身を委ねてしまったんだろう。……自分ひとりでやれなきゃ、みんなでやりゃぁいい。これだけのことだってのによ。			そんな時、金の力に身を委ねてしまったんだろう。……自分ひとりでやれなきゃ、みんなでやりゃぁいい。これだけのことだってのによ。			犯人をとっちめろ！							
……ローレンティスが、俺にそんな伝言を？奴が罪を償ったら、いっぱい奢ってやるさ。お前さんには世話になったな、ありがとうよ。			……ローレンティスが、俺にそんな伝言を？奴が罪を償ったら、いっぱい奢ってやるさ。お前さんには世話になったな、ありがとうよ。			犯人をとっちめろ！							
っと、お前さんに朗報があったんだ。お待ちかねの情報が入ってきたぜ。……シルフたちの長老の居場所だ！			っと、お前さんに朗報があったんだ。お待ちかねの情報が入ってきたぜ。……シルフたちの長老の居場所だ！			犯人をとっちめろ！							
敵の気配を感じた！！			敵の気配を感じた！！			犯人をとっちめろ！							
ローレンティスたちを倒せ！			ローレンティスたちを倒せ！			犯人をとっちめろ！							
山賊ごときが加勢したところで、帝国軍に敵うもんか！皆さん、やっちゃってください！			山賊ごときが加勢したところで、帝国軍に敵うもんか！皆さん、やっちゃってください！			犯人をとっちめろ！							
その山賊ごときの厄介さ、鬼哭隊なら知ってんだろ！			その山賊ごときの厄介さ、鬼哭隊なら知ってんだろ！			犯人をとっちめろ！							
こんな奴らになめられすぎだな。騒ぎが大きくなる前に片付けるぞ。			こんな奴らになめられすぎだな。騒ぎが大きくなる前に片付けるぞ。			犯人をとっちめろ！							
隊長殿っ！　帝国の力をみせつけちゃってください！			隊長殿っ！　帝国の力をみせつけちゃってください！			犯人をとっちめろ！							
まったく、騒がしいこと……。バスカロンへの義理立てよ、私たちも手を貸すわ。			まったく、騒がしいこと……。バスカロンへの義理立てよ、私たちも手を貸すわ。			犯人をとっちめろ！							
密猟団クァールクロウまで！？　どうして……！			密猟団クァールクロウまで！？　どうして……！			犯人をとっちめろ！							
ここまでか……！			ここまでか……！			犯人をとっちめろ！							
くっそー、こんなところで……。			くっそー、こんなところで……。			犯人をとっちめろ！							
酒房「バスカロンドラザーズ」のバスカロンは冒険者に頼みたいことがあるようだ。			酒房「バスカロンドラザーズ」のバスカロンは冒険者に頼みたいことがあるようだ。			犯人をとっちめろ！							
急に金回りのよくなったローレンティスが怪しいそうだ。南の森に向かい、「ローレンティス」に話しかけてみよう。			急に金回りのよくなったローレンティスが怪しいそうだ。南の森に向かい、「ローレンティス」に話しかけてみよう。			犯人をとっちめろ！							
「ローレンティス」は立ち去ってしまった。追いかけて、もう一度話しかけてみよう。			「ローレンティス」は立ち去ってしまった。追いかけて、もう一度話しかけてみよう。			犯人をとっちめろ！							
ローレンティスが呼んだ帝国兵を倒した。ローレンティスは帝国軍とつながっているかもしれない、もう一度「ローレンティス」に話しかけよう。			ローレンティスが呼んだ帝国兵を倒した。ローレンティスは帝国軍とつながっているかもしれない、もう一度「ローレンティス」に話しかけよう。			犯人をとっちめろ！							
ローレンティスは、また立ち去ってしまった。もう一度「ローレンティス」を追いかけよう。			ローレンティスは、また立ち去ってしまった。もう一度「ローレンティス」を追いかけよう。			犯人をとっちめろ！							
再度ローレンティスが呼んだ帝国兵たちを倒した。ローレンティスは帝国軍に情報や食料を売っていたことを反省し、双蛇党に出頭するようだ。酒房「バスカロンドラザーズ」に戻り、「バスカロン」に報告しよう。			再度ローレンティスが呼んだ帝国兵たちを倒した。ローレンティスは帝国軍に情報や食料を売っていたことを反省し、双蛇党に出頭するようだ。酒房「バスカロンドラザーズ」に戻り、「バスカロン」に報告しよう。			犯人をとっちめろ！							
バスカロンに、ことの顛末を報告した。どうやらバスカロンがシルフ族の長の情報を掴んだらしいが……？			バスカロンに、ことの顛末を報告した。どうやらバスカロンがシルフ族の長の情報を掴んだらしいが……？			犯人をとっちめろ！							
ローレンティスと話す			ローレンティスと話す			犯人をとっちめろ！							
またローレンティスと話す			またローレンティスと話す			犯人をとっちめろ！							
またまたローレンティスと話す			またまたローレンティスと話す			犯人をとっちめろ！							
またまたまたローレンティスと話す			またまたまたローレンティスと話す			犯人をとっちめろ！							
バスカロンに報告			バスカロンに報告			犯人をとっちめろ！							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			犯人をとっちめろ！							
お前さんの耳に入れておきたいことがある。例の、帝国兵を手引きしていると思われる犯人についてだ。			お前さんの耳に入れておきたいことがある。例の、帝国兵を手引きしていると思われる犯人についてだ。			犯人をとっちめろ！							
急に金遣いが荒くなった常連客がいる。以前は安酒ばかりだったんだが、ここ最近、高級酒を頼むようになった。			急に金遣いが荒くなった常連客がいる。以前は安酒ばかりだったんだが、ここ最近、高級酒を頼むようになった。			犯人をとっちめろ！							
一本、数万ギルもする酒をガブ飲みだ。ただの客なら、こっちも儲かるってもんなんだが……。問題は、その客がグリダニアの鬼哭隊士だってことだ。			一本、数万ギルもする酒をガブ飲みだ。ただの客なら、こっちも儲かるってもんなんだが……。問題は、その客がグリダニアの鬼哭隊士だってことだ。			犯人をとっちめろ！							
隊士の俸給で、あの金の使い方はどうにも怪しい。最初は、やけ酒か何かとも思っていたんだがな。……帝国兵の話を聞いて、ピンときたのさ。			隊士の俸給で、あの金の使い方はどうにも怪しい。最初は、やけ酒か何かとも思っていたんだがな。……帝国兵の話を聞いて、ピンときたのさ。			犯人をとっちめろ！							
鬼哭隊士が工作活動をしてるなんてことになれば、グリダニアの危機にもつながりかねん。			鬼哭隊士が工作活動をしてるなんてことになれば、グリダニアの危機にもつながりかねん。			犯人をとっちめろ！							
さっき南に向かう奴を……ローレンティスを見かけた。後を追ってみるんだ。そして、悪事を働いているようなら、とっちめてやんな！			さっき南に向かう奴を……ローレンティスを見かけた。後を追ってみるんだ。そして、悪事を働いているようなら、とっちめてやんな！			犯人をとっちめろ！							
ぼ、冒険者が何の用だ。……僕は今、見回りで忙しいんだ。鬼哭隊に用があるなら、鬼哭隊屯所に行ってくれよ。			ぼ、冒険者が何の用だ。……僕は今、見回りで忙しいんだ。鬼哭隊に用があるなら、鬼哭隊屯所に行ってくれよ。			犯人をとっちめろ！							
そろそろ約束の時間だけど、入れ忘れた物はないよな……。……えへへ、巡回経路の情報と食料を売るだけで、こんなに金をもらえるだなんて……。			そろそろ約束の時間だけど、入れ忘れた物はないよな……。……えへへ、巡回経路の情報と食料を売るだけで、こんなに金をもらえるだなんて……。			犯人をとっちめろ！							
うちの安い俸給じゃ、酒も女も贅沢はできないもんなぁ。いやぁ「ガレマール帝国軍」ってスゴイなぁ。もう鬼哭隊を辞めて帝国で働いちゃおうかなぁ……って。			うちの安い俸給じゃ、酒も女も贅沢はできないもんなぁ。いやぁ「ガレマール帝国軍」ってスゴイなぁ。もう鬼哭隊を辞めて帝国で働いちゃおうかなぁ……って。			犯人をとっちめろ！							
うあぁぁぁ！　さっきの冒険者！？こここ、これはその……。どどど、どうしよう……。……そうだっ！			うあぁぁぁ！　さっきの冒険者！？こここ、これはその……。どどど、どうしよう……。……そうだっ！			犯人をとっちめろ！							
たすけてー！　山賊に襲われてまーす！帝国軍のみなさーん、ここでーす！僕はここにいまーす！			たすけてー！　山賊に襲われてまーす！帝国軍のみなさーん、ここでーす！僕はここにいまーす！			犯人をとっちめろ！							
凶悪で悪質な山賊めー！ボッコボコにされてしまえー！			凶悪で悪質な山賊めー！ボッコボコにされてしまえー！			犯人をとっちめろ！							
な、な、なんて強さなんだよ……。……たたた、たまたま帝国軍が現れただけだよ！く、くそ……ほっといてくれ！			な、な、なんて強さなんだよ……。……たたた、たまたま帝国軍が現れただけだよ！く、くそ……ほっといてくれ！			犯人をとっちめろ！							
ローレンティスを、とっちめてくれたようじゃないか。ついさっき「双蛇党」から連絡があったぜ。……野郎、ちゃんと出頭したようだ、安心しな。			ローレンティスを、とっちめてくれたようじゃないか。ついさっき「双蛇党」から連絡があったぜ。……野郎、ちゃんと出頭したようだ、安心しな。			犯人をとっちめろ！							
奴は幼い頃、母親をならず者に殺されてな……。グリダニアの治安を守ると、鬼哭隊に入隊したんだ。			奴は幼い頃、母親をならず者に殺されてな……。グリダニアの治安を守ると、鬼哭隊に入隊したんだ。			犯人をとっちめろ！							
ローレンティスは悩んでいたよ。何とかしてグリダニアを守りたいのに、自分ひとりの力では、何もできないと。			ローレンティスは悩んでいたよ。何とかしてグリダニアを守りたいのに、自分ひとりの力では、何もできないと。			犯人をとっちめろ！							
そんな時、金の力に身を委ねてしまったんだろう。……自分ひとりでやれなきゃ、みんなでやりゃぁいい。これだけのことだってのによ。			そんな時、金の力に身を委ねてしまったんだろう。……自分ひとりでやれなきゃ、みんなでやりゃぁいい。これだけのことだってのによ。			犯人をとっちめろ！							
……ローレンティスが、俺にそんな伝言を？奴が罪を償ったら、イッパイ奢ってやるさ。お前さんには世話になったな、ありがとうよ。			……ローレンティスが、俺にそんな伝言を？奴が罪を償ったら、イッパイ奢ってやるさ。お前さんには世話になったな、ありがとうよ。			犯人をとっちめろ！							
っと、お前さんに朗報があったんだ。お待ちかねの情報が入ってきたぜ。……シルフたちの長老の居場所だ！			っと、お前さんに朗報があったんだ。お待ちかねの情報が入ってきたぜ。……シルフたちの長老の居場所だ！			犯人をとっちめろ！							
