シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
何年前の話をしてるんだ……。3年前に帰ってきたときも会ってるだろう。			何年前の話をしてるんだ……。3年前に帰ってきたときも会ってるだろう。			ロネークの背に揺られて							
あら、そうだっけ？ごめんごめん、長く生きてると記憶が曖昧になってさあ。			あら、そうだっけ？ごめんごめん、長く生きてると記憶が曖昧になってさあ。			ロネークの背に揺られて							
この人は同郷のイヤーテさん。俺の師であるカフキワの幼馴染みだ。			この人は同郷のイヤーテさん。俺の師であるカフキワの幼馴染みだ。			ロネークの背に揺られて							
よろしくね！			よろしくね！			ロネークの背に揺られて							
それにしても、友達連れでふたり旅とはねぇ……あのエレネッシパが！			それにしても、友達連れでふたり旅とはねぇ……あのエレネッシパが！			ロネークの背に揺られて							
何と言う？			何と言う？			ロネークの背に揺られて							
エレネッ……なんて？			エレネッ……なんて？			ロネークの背に揺られて							
それが元の名前？			それが元の名前？			ロネークの背に揺られて							
……エレネッシパは俺の故郷での名だ。グリーナーとして働き始めるときに、面倒が起きないよう、あっちのヴィエラ族に倣って名前を変えたんだ。			……エレネッシパは俺の故郷での名だ。グリーナーとして働き始めるときに、面倒が起きないよう、あっちのヴィエラ族に倣って名前を変えたんだ。			ロネークの背に揺られて							
まあ、帰郷するなら、どのみちおたくには知られてただろうけどな。……とりあえず、今までどおりに呼んでくれ。			まあ、帰郷するなら、どのみちおたくには知られてただろうけどな。……とりあえず、今までどおりに呼んでくれ。			ロネークの背に揺られて							
なるほど、里帰りのついでに立ち寄ってくれたんだね。いいなあ、私もカフキワに会いたくなってきちゃったよ。			なるほど、里帰りのついでに立ち寄ってくれたんだね。いいなあ、私もカフキワに会いたくなってきちゃったよ。			ロネークの背に揺られて							
カフキワはエレネッシパの師であり、母親なんだよ。あの子、すんごい弓の名手でさあ……会うたびに、ご馳走を狩ってきてくれるんだ。			カフキワはエレネッシパの師であり、母親なんだよ。あの子、すんごい弓の名手でさあ……会うたびに、ご馳走を狩ってきてくれるんだ。			ロネークの背に揺られて							
俺から見れば、イヤーテさんも相当だったけどな。シャトナ族は、自然の恵みを受けて生きる狩猟採集民……一流の狩人が多い。			俺から見れば、イヤーテさんも相当だったけどな。シャトナ族は、自然の恵みを受けて生きる狩猟採集民……一流の狩人が多い。			ロネークの背に揺られて							
カフキワは別格だよ！武器の扱いもだけど、何より動物に詳しいのなんのって！			カフキワは別格だよ！武器の扱いもだけど、何より動物に詳しいのなんのって！			ロネークの背に揺られて							
なにせ、その知識を見込まれて、グルージャジャ様の一行に加わっていたくらいなんだから！			なにせ、その知識を見込まれて、グルージャジャ様の一行に加わっていたくらいなんだから！			ロネークの背に揺られて							
もともと好奇心が強い方だったけど、あの旅で大陸のあちこちに行って、火が付いたんだろうね。			もともと好奇心が強い方だったけど、あの旅で大陸のあちこちに行って、火が付いたんだろうね。			ロネークの背に揺られて							
子ども……エレネッシパが生まれてからも、折を見ては私に預けて、未知の動物を探しに行ってさ。			子ども……エレネッシパが生まれてからも、折を見ては私に預けて、未知の動物を探しに行ってさ。			ロネークの背に揺られて							
あの頃のエレネッシパ、寂しくて泣いちゃったり、一緒に連れていけって必死にせがんだり……大変だったよねえ？			あの頃のエレネッシパ、寂しくて泣いちゃったり、一緒に連れていけって必死にせがんだり……大変だったよねえ？			ロネークの背に揺られて							
……おい、余計なことを喋るな。			……おい、余計なことを喋るな。			ロネークの背に揺られて							
いいじゃないの、せっかく友達を連れてきてるんだから。			いいじゃないの、せっかく友達を連れてきてるんだから。			ロネークの背に揺られて							
でもカフキワは、「一人前になるまでは連れていかない」って……。それが、あの子なりのケジメだったんだろうね。			でもカフキワは、「一人前になるまでは連れていかない」って……。それが、あの子なりのケジメだったんだろうね。			ロネークの背に揺られて							
で、その一人前として認める条件として出されたのが、黄金郷を見つけだすこと、だったわけだ。……前にも話したとおりな。			で、その一人前として認める条件として出されたのが、黄金郷を見つけだすこと、だったわけだ。……前にも話したとおりな。			ロネークの背に揺られて							
俺はバカ正直に探し始めて、その努力が無駄に終わると、「おとぎ話」だったんだと考えるようになった。俺の目を外に向けさせるための方便だったんだろうってさ。			俺はバカ正直に探し始めて、その努力が無駄に終わると、「おとぎ話」だったんだと考えるようになった。俺の目を外に向けさせるための方便だったんだろうってさ。			ロネークの背に揺られて							
だが、本当に「黄金郷の扉」を見つけられた。			だが、本当に「黄金郷の扉」を見つけられた。			ロネークの背に揺られて							
え、うそ！？見つけたの！？			え、うそ！？見つけたの！？			ロネークの背に揺られて							
継承の儀の課題だったんだ。トラル大陸に住んでて、なんで知らないんだよ……。			継承の儀の課題だったんだ。トラル大陸に住んでて、なんで知らないんだよ……。			ロネークの背に揺られて							
すごい……すごいよ、エレネッシパ！カフキワ、ぜったい喜ぶよ……！			すごい……すごいよ、エレネッシパ！カフキワ、ぜったい喜ぶよ……！			ロネークの背に揺られて							
まあ、今回の旅について、あれこれ聞いてはくるだろうな。			まあ、今回の旅について、あれこれ聞いてはくるだろうな。			ロネークの背に揺られて							
それじゃあ、そろそろ出発するか。			それじゃあ、そろそろ出発するか。			ロネークの背に揺られて							
立ち寄ってくれてありがとね。カフキワによろしく……			立ち寄ってくれてありがとね。カフキワによろしく……			ロネークの背に揺られて							
(-？？？？-)誰か、誰かたすけて！！			(-？？？？-)誰か、誰かたすけて！！			ロネークの背に揺られて							
今のって……悲鳴！？			今のって……悲鳴！？			ロネークの背に揺られて							
イヤーテさんはここに居てくれ。			イヤーテさんはここに居てくれ。			ロネークの背に揺られて							
無事だといいけど……。あんたも、危ない目に遭いそうになったらすぐ逃げるんだよ！？			無事だといいけど……。あんたも、危ない目に遭いそうになったらすぐ逃げるんだよ！？			ロネークの背に揺られて							
……どうやら、野盗の類らしいな。			……どうやら、野盗の類らしいな。			ロネークの背に揺られて							
ああ、お願いします……どうか助けてください……！大切な物を奪われてしまったんです……！			ああ、お願いします……どうか助けてください……！大切な物を奪われてしまったんです……！			ロネークの背に揺られて							
おたくはたしかウクラマトの乳母の……ナミーカさんか！？			おたくはたしかウクラマトの乳母の……ナミーカさんか！？			ロネークの背に揺られて							
(-ナミーカ-)まあ、あなた方は……！			(-ナミーカ-)まあ、あなた方は……！			ロネークの背に揺られて							
おい、勝手にベラベラ喋ってんじゃねえ！失せねえと、このババアの命はないぜ。			おい、勝手にベラベラ喋ってんじゃねえ！失せねえと、このババアの命はないぜ。			ロネークの背に揺られて							
……この場合、命がないのはおたくらの方だと思うがな。			……この場合、命がないのはおたくらの方だと思うがな。			ロネークの背に揺られて							
アァ！？			アァ！？			ロネークの背に揺られて							
な、なぁ……こいつ、さっきウクラマトって言わなかったか？それになんか……やたらと強そうな奴を連れてるぜ……。			な、なぁ……こいつ、さっきウクラマトって言わなかったか？それになんか……やたらと強そうな奴を連れてるぜ……。			ロネークの背に揺られて							
おい……奪ったブツを、ボスのところへ持っていけ！ここは俺たちに任せろ！			おい……奪ったブツを、ボスのところへ持っていけ！ここは俺たちに任せろ！			ロネークの背に揺られて							
(-ナミーカ-)待って、それはとても大事な物なんです！どうか返してっ……！			(-ナミーカ-)待って、それはとても大事な物なんです！どうか返してっ……！			ロネークの背に揺られて							
……野盗の相手は任せていいか？俺はナミーカさんを追う！			……野盗の相手は任せていいか？俺はナミーカさんを追う！			ロネークの背に揺られて							
クソッ！　あの野郎、勝手なマネを！すぐに捕まえて……			クソッ！　あの野郎、勝手なマネを！すぐに捕まえて……			ロネークの背に揺られて							
チッ……こいつをとっとと片付けるぞ。ババアと野郎の口封じはそのあとだ。			チッ……こいつをとっとと片付けるぞ。ババアと野郎の口封じはそのあとだ。			ロネークの背に揺られて							
つ、つえぇ…なんだこいつ…			つ、つえぇ…なんだこいつ…			ロネークの背に揺られて							
ううっ…ボスにバレたら殺される…			ううっ…ボスにバレたら殺される…			ロネークの背に揺られて							
Forename様。助けていただき、本当にありがとうございました……。			Forename様。助けていただき、本当にありがとうございました……。			ロネークの背に揺られて							
悪い、野盗は逃しちまった。向かった先の見当はついてるが……			悪い、野盗は逃しちまった。向かった先の見当はついてるが……			ロネークの背に揺られて							
……さっき、大切な物を奪われたって言ってたよな。どんな物だか、聞いてもいいか？			……さっき、大切な物を奪われたって言ってたよな。どんな物だか、聞いてもいいか？			ロネークの背に揺られて							
は、はい……奪われたのは、ウクラマト様から感謝の気持ちにと頂いた腕輪なのです……。			は、はい……奪われたのは、ウクラマト様から感謝の気持ちにと頂いた腕輪なのです……。			ロネークの背に揺られて							
そいつは……替えが効くような物じゃないな。			そいつは……替えが効くような物じゃないな。			ロネークの背に揺られて							
……たしかおたくは、あいつがガキのころから世話をしてた、専属の乳母だったよな？			……たしかおたくは、あいつがガキのころから世話をしてた、専属の乳母だったよな？			ロネークの背に揺られて							
ええ、そうですが……私もいい歳ですからね。ウクラマト様の独り立ちを見届けたあとには、故郷のヤースラニ荒野に帰ろうと決めていたのです。			ええ、そうですが……私もいい歳ですからね。ウクラマト様の独り立ちを見届けたあとには、故郷のヤースラニ荒野に帰ろうと決めていたのです。			ロネークの背に揺られて							
ウクラマト様ときたら、育ててくれたお礼だなんて言って、こんな私に素敵な腕輪を贈ってくださいました。			ウクラマト様ときたら、育ててくれたお礼だなんて言って、こんな私に素敵な腕輪を贈ってくださいました。			ロネークの背に揺られて							
それがあまりに嬉しくて……人目のあるところで腕輪を身に着けてしまったのが、よくなかったのでしょう。			それがあまりに嬉しくて……人目のあるところで腕輪を身に着けてしまったのが、よくなかったのでしょう。			ロネークの背に揺られて							
金銭ならいくら盗られても構いません。でも、あれだけは……本当に大切な品だったのに……！			金銭ならいくら盗られても構いません。でも、あれだけは……本当に大切な品だったのに……！			ロネークの背に揺られて							
……どうする？まあ、その様子じゃ聞くまでもなさそうだが。			……どうする？まあ、その様子じゃ聞くまでもなさそうだが。			ロネークの背に揺られて							
何と言う？			何と言う？			ロネークの背に揺られて							
腕輪は自分が取り戻す！			腕輪は自分が取り戻す！			ロネークの背に揺られて							
ラマチの代わりにぶっ飛ばす！			ラマチの代わりにぶっ飛ばす！			ロネークの背に揺られて							
そんな……あなた様が危険な目に遭ってしまったら……！			そんな……あなた様が危険な目に遭ってしまったら……！			ロネークの背に揺られて							
……十中八九、危険な目に遭うのは奴らの方だ。Forenameの強さは信じていい。			……十中八九、危険な目に遭うのは奴らの方だ。Forenameの強さは信じていい。			ロネークの背に揺られて							
どちらかと言えば、いかに「法」ってやつに触れないよう、腕輪を取り戻すかが腕の見せ所だろう。もちろん俺も協力する。			どちらかと言えば、いかに「法」ってやつに触れないよう、腕輪を取り戻すかが腕の見せ所だろう。もちろん俺も協力する。			ロネークの背に揺られて							
まあ、なんて頼もしい……！さすが、ウクラマト様が心から信頼を寄せる方々ですね。			まあ、なんて頼もしい……！さすが、ウクラマト様が心から信頼を寄せる方々ですね。			ロネークの背に揺られて							
ひとまずナミーカさんを、シェシェネ青燐泉まで送ろう。人目も多いし、イヤーテさんに付いててもらえば、何かあったときも安心だろ？			ひとまずナミーカさんを、シェシェネ青燐泉まで送ろう。人目も多いし、イヤーテさんに付いててもらえば、何かあったときも安心だろ？			ロネークの背に揺られて							
本当に何から何まで……ありがとうございます。			本当に何から何まで……ありがとうございます。			ロネークの背に揺られて							
ナミーカさんは無事だ。怪我もしていないから安心してくれ。			ナミーカさんは無事だ。怪我もしていないから安心してくれ。			ロネークの背に揺られて							
ふたりから事情は聞いたよ……ナミーカさんは私が責任もって守ったげる！野盗どもが近づいてきたら、騒ぎまくって追い払ってやるわ！			ふたりから事情は聞いたよ……ナミーカさんは私が責任もって守ったげる！野盗どもが近づいてきたら、騒ぎまくって追い払ってやるわ！			ロネークの背に揺られて							
……にしても、人の物を盗む奴らは本当に許せないよ。大切な思い出まで、平気で奪っていくんだからさ。			……にしても、人の物を盗む奴らは本当に許せないよ。大切な思い出まで、平気で奪っていくんだからさ。			ロネークの背に揺られて							
何はともあれ、みんなが無事でよかった。			何はともあれ、みんなが無事でよかった。			ロネークの背に揺られて							
町にはイヤーテさんの採掘仲間も多いらしい。ここにいればひとまず安全だろう。			町にはイヤーテさんの採掘仲間も多いらしい。ここにいればひとまず安全だろう。			ロネークの背に揺られて							
モシュトラル・ズージャのウクラマトは何事か考え込んでいる。			モシュトラル・ズージャのウクラマトは何事か考え込んでいる。			星の欠片を集めて							
集まったマムージャ族と話す			集まったマムージャ族と話す			星の欠片を集めて							
ウクラマトと話す			ウクラマトと話す			星の欠片を集めて							
ウクラマトと再度話す			ウクラマトと再度話す			星の欠片を集めて							
幻煌樹付近を調べて剥落した隕石の欠片を入手			幻煌樹付近を調べて剥落した隕石の欠片を入手			星の欠片を集めて							
コーナに剥落した隕石の欠片を渡す			コーナに剥落した隕石の欠片を渡す			星の欠片を集めて							
ウクラマトと話す			ウクラマトと話す			星の欠片を集めて							
本当ならあの子も、ここでウクラマト王女の話を聞きたいのでしょうね。でも、双頭の前では、皆が本音を言いづらいでしょうから……。			本当ならあの子も、ここでウクラマト王女の話を聞きたいのでしょうね。でも、双頭の前では、皆が本音を言いづらいでしょうから……。			星の欠片を集めて							
あのバクージャジャ様が認めたとはいえ、トライヨラの王女と言葉を交わすなんて……。			あのバクージャジャ様が認めたとはいえ、トライヨラの王女と言葉を交わすなんて……。			星の欠片を集めて							
「双血の教え」を終わらせる……？			「双血の教え」を終わらせる……？			星の欠片を集めて							
もうずっと、胸に渦巻く苦しみを、双頭への期待に代えてきた。それを誰かが……王女が、本当に聞いてくれるなら……！			もうずっと、胸に渦巻く苦しみを、双頭への期待に代えてきた。それを誰かが……王女が、本当に聞いてくれるなら……！			星の欠片を集めて							
いったい何が何だか……。			いったい何が何だか……。			星の欠片を集めて							
マムージャたちに話を聞く前に、まずはウケブに聞いたことを思い出してみようぜ。			マムージャたちに話を聞く前に、まずはウケブに聞いたことを思い出してみようぜ。			星の欠片を集めて							
マムージャ族は、長年にわたりシュバラール族と戦争していた。上の森、「ウトォームの地平線」を手に入れたかったからだ。			マムージャ族は、長年にわたりシュバラール族と戦争していた。上の森、「ウトォームの地平線」を手に入れたかったからだ。			星の欠片を集めて							
彼らはシュバラール族に勝つため、部族間の連携を深めようと異部族婚をした……それによって、双頭が誕生したんだよな。			彼らはシュバラール族に勝つため、部族間の連携を深めようと異部族婚をした……それによって、双頭が誕生したんだよな。			星の欠片を集めて							
そういう歴史を踏まえた上で、こいつらが双頭に託そうとしてる願いを聞いてみようぜ！			そういう歴史を踏まえた上で、こいつらが双頭に託そうとしてる願いを聞いてみようぜ！			星の欠片を集めて							
まだ話を聞いてねぇ奴がいるんだ、悪ぃけどもう少し付き合ってくれ！			まだ話を聞いてねぇ奴がいるんだ、悪ぃけどもう少し付き合ってくれ！			星の欠片を集めて							
私が双頭に何を願うか…それを知るには、なぜ同胞たちの大半が、トライヨラに移住したかを理解する必要があるわ。			私が双頭に何を願うか…それを知るには、なぜ同胞たちの大半が、トライヨラに移住したかを理解する必要があるわ。			星の欠片を集めて							
彼らはね、陽の光を……暖かく安全で暮らしやすい環境を求めて出ていったのよ。この森で生きていくのは、簡単ではないから……。			彼らはね、陽の光を……暖かく安全で暮らしやすい環境を求めて出ていったのよ。この森で生きていくのは、簡単ではないから……。			星の欠片を集めて							
それでも私たちにとっては、他部族と暮らすことの怖さの方が受け入れがたかった。			それでも私たちにとっては、他部族と暮らすことの怖さの方が受け入れがたかった。			星の欠片を集めて							
だからこの森に残って願い続けてきたのよ。いつか双頭が、この呪われた森から肥沃な土地へと、マムージャ族だけの安全な場所へと導いてくれることを……。			だからこの森に残って願い続けてきたのよ。いつか双頭が、この呪われた森から肥沃な土地へと、マムージャ族だけの安全な場所へと導いてくれることを……。			星の欠片を集めて							
豊かな土地を……それも自分たちだけの土地を求めてたってことか……。			豊かな土地を……それも自分たちだけの土地を求めてたってことか……。			星の欠片を集めて							
今さら、誰かにわかってもらおうとは思わないわ……。			今さら、誰かにわかってもらおうとは思わないわ……。			星の欠片を集めて							
私たちの頭上を覆う樹冠を見ればわかると思いますが、この森は日光が届かないため、農作物が育ちにくい。			私たちの頭上を覆う樹冠を見ればわかると思いますが、この森は日光が届かないため、農作物が育ちにくい。			星の欠片を集めて							
土を耕し、肥料や水を工夫して、ようやく芽が出たと思っても、すぐに枯れてしまう。この森は、呪われているのですよ。			土を耕し、肥料や水を工夫して、ようやく芽が出たと思っても、すぐに枯れてしまう。この森は、呪われているのですよ。			星の欠片を集めて							
唯一まともに育つのはナジュール……トライヨラの言葉で言うジャティーカバナナくらいのものです。何百年もそんな暮らしが続けば、嫌になってしまいますよ。			唯一まともに育つのはナジュール……トライヨラの言葉で言うジャティーカバナナくらいのものです。何百年もそんな暮らしが続けば、嫌になってしまいますよ。			星の欠片を集めて							
作物が死ぬ、呪われた森……。そこから抜け出すために、双頭に頼っていたのか……。			作物が死ぬ、呪われた森……。そこから抜け出すために、双頭に頼っていたのか……。			星の欠片を集めて							
忌まわしい存在ですよ、隕石とやらは。			忌まわしい存在ですよ、隕石とやらは。			星の欠片を集めて							
はるか昔、この森には豊かな鉱脈があったそうだが、ヨカフイ族が支配していた時代に、粗方掘り尽くされてね。			はるか昔、この森には豊かな鉱脈があったそうだが、ヨカフイ族が支配していた時代に、粗方掘り尽くされてね。			星の欠片を集めて							
今では、残っている資源と言えば隕石の欠片ぐらいのもの。そんな状態で、どうやって他の部族と対等な取引ができる？この何もない森で生き続けるかぎり、できるはずもない。			今では、残っている資源と言えば隕石の欠片ぐらいのもの。そんな状態で、どうやって他の部族と対等な取引ができる？この何もない森で生き続けるかぎり、できるはずもない。			星の欠片を集めて							
生まれ育った森で豊かに暮らしていけるなら、それ以上に幸せなことはないのだが……。			生まれ育った森で豊かに暮らしていけるなら、それ以上に幸せなことはないのだが……。			星の欠片を集めて							
利用しやすい資源がなく、商いも上手くはいかないってことか……。			利用しやすい資源がなく、商いも上手くはいかないってことか……。			星の欠片を集めて							
せめて特産となる物でもあればな……。			せめて特産となる物でもあればな……。			星の欠片を集めて							
食料も資源も豊富にある森で、のうのうと生きてきた奴らに、我らの願いが理解できるはずもない。			食料も資源も豊富にある森で、のうのうと生きてきた奴らに、我らの願いが理解できるはずもない。			星の欠片を集めて							
もはや戦いで奪うことでしか、マムークの同胞たちが幸福に暮らせる路はない……。			もはや戦いで奪うことでしか、マムークの同胞たちが幸福に暮らせる路はない……。			星の欠片を集めて							
だったら探すまでだ、戦い以外の路を……！			だったら探すまでだ、戦い以外の路を……！			星の欠片を集めて							
戦い以外の路などない。この貧しい森に生まれた以上、奪う側に回るしかないのだ。			戦い以外の路などない。この貧しい森に生まれた以上、奪う側に回るしかないのだ。			星の欠片を集めて							
これでひととおり話を聞けたはずだ。			これでひととおり話を聞けたはずだ。			星の欠片を集めて							
いろいろな意見はあったけどよ、みんな、この森の貧しさを語っていたよな。			いろいろな意見はあったけどよ、みんな、この森の貧しさを語っていたよな。			星の欠片を集めて							
農作物も育たず、利用しやすい鉱脈も尽きちまった上に、特産物がないから商いの面でも、不利を強いられる……。ほかの部族の土地を羨む気持ちも理解できるぜ。			農作物も育たず、利用しやすい鉱脈も尽きちまった上に、特産物がないから商いの面でも、不利を強いられる……。ほかの部族の土地を羨む気持ちも理解できるぜ。			星の欠片を集めて							
この森に残ってる資源は、隕石の欠片くらいだなんて意見もあった。			この森に残ってる資源は、隕石の欠片くらいだなんて意見もあった。			星の欠片を集めて							
下の森に入ったときに、エレンヴィルが言ってたよな。隕石の異質なエーテルが、植生に影響を与えてる説があるって。それが本当なら、農作物が育たないことと関係があるのかもな。			下の森に入ったときに、エレンヴィルが言ってたよな。隕石の異質なエーテルが、植生に影響を与えてる説があるって。それが本当なら、農作物が育たないことと関係があるのかもな。			星の欠片を集めて							
隕石の欠片を調べてみるべきだろうね。この森の暮らしを豊かにする方法が思いつくかもしれない。			隕石の欠片を調べてみるべきだろうね。この森の暮らしを豊かにする方法が思いつくかもしれない。			星の欠片を集めて							
そして、この森でもっとも強い力を持っているとされるのが、南にある「幻煌樹」という大樹に取り込まれた隕石の核だ。サンプルを採取するなら、その近くに行くべきだろう。			そして、この森でもっとも強い力を持っているとされるのが、南にある「幻煌樹」という大樹に取り込まれた隕石の核だ。サンプルを採取するなら、その近くに行くべきだろう。			星の欠片を集めて							
マムークのみんな、話を聞かせてくれてありがとな！おかげで、この森が抱えてる問題に、隕石が発するエーテルが関係してるかもしれねぇことがわかった！			マムークのみんな、話を聞かせてくれてありがとな！おかげで、この森が抱えてる問題に、隕石が発するエーテルが関係してるかもしれねぇことがわかった！			星の欠片を集めて							
それを解決する方法を見つけるために、今すぐ隕石の欠片を調べにいってくる！必ず良い結果を持ち帰ってみせるから、信じて待っててくれ！			それを解決する方法を見つけるために、今すぐ隕石の欠片を調べにいってくる！必ず良い結果を持ち帰ってみせるから、信じて待っててくれ！			星の欠片を集めて							
かつて、トラル大陸に隕石が降り注いだことは知っていました。しかし、それが人々の生活にどう影響しているかなんて、考えたことがありませんでした……。			かつて、トラル大陸に隕石が降り注いだことは知っていました。しかし、それが人々の生活にどう影響しているかなんて、考えたことがありませんでした……。			星の欠片を集めて							
見た目は幻想的で綺麗な森だけれど、ずっとこの森で暮らしてきた人たちは、苦しんできたのよね。なんとかしてあげられると良いのだけれど……。			見た目は幻想的で綺麗な森だけれど、ずっとこの森で暮らしてきた人たちは、苦しんできたのよね。なんとかしてあげられると良いのだけれど……。			星の欠片を集めて							
作物が死ぬ、呪われた森……なら、俺にできることは……。			作物が死ぬ、呪われた森……なら、俺にできることは……。			星の欠片を集めて							
あれが「幻煌樹」だね。何か問題解決の手がかりが見つかればいいのだが……注意深く観察してみよう。			あれが「幻煌樹」だね。何か問題解決の手がかりが見つかればいいのだが……注意深く観察してみよう。			星の欠片を集めて							
ウクラマト王女たちが帰ってくるまでの間、「双血の教え」の信奉者たちは、私が引き留めておくわ。あなたたちを信じて、ここで待ってる。			ウクラマト王女たちが帰ってくるまでの間、「双血の教え」の信奉者たちは、私が引き留めておくわ。あなたたちを信じて、ここで待ってる。			星の欠片を集めて							
相変わらず、すげぇ光景だぜ。隕石の欠片を木が取りこんでやがる。			相変わらず、すげぇ光景だぜ。隕石の欠片を木が取りこんでやがる。			星の欠片を集めて							
これだけ近づけば、放射される濃密なエーテルに嫌でも気づく……。			これだけ近づけば、放射される濃密なエーテルに嫌でも気づく……。			星の欠片を集めて							
幻煌樹を見て、あらためて確信したよ。隕石のエーテルに耐えられる植物だけが、それを糧として異様に大きく育つのだろうね。			幻煌樹を見て、あらためて確信したよ。隕石のエーテルに耐えられる植物だけが、それを糧として異様に大きく育つのだろうね。			星の欠片を集めて							
その代表が、下の森に茂る大樹であり、密集した樹冠が、地上に届くはずの陽光を阻んでしまう。結果、育つのは同じく耐性のあるジャティーカバナナのみ……。			その代表が、下の森に茂る大樹であり、密集した樹冠が、地上に届くはずの陽光を阻んでしまう。結果、育つのは同じく耐性のあるジャティーカバナナのみ……。			星の欠片を集めて							
この仮説を裏付けるためにも、隕石の欠片を採集し、僕が持っている簡易測定器で分析します。エーテルの異質さを証明する必要がありますから。			この仮説を裏付けるためにも、隕石の欠片を採集し、僕が持っている簡易測定器で分析します。エーテルの異質さを証明する必要がありますから。			星の欠片を集めて							
アルフィノ殿とクルル殿にもお付き合いいただけますか？			アルフィノ殿とクルル殿にもお付き合いいただけますか？			星の欠片を集めて							
俺も付き合いますよ。正確なエーテル波長のデータさえあれば、それに耐えうる作物を探すアテはあるのでね。			俺も付き合いますよ。正確なエーテル波長のデータさえあれば、それに耐えうる作物を探すアテはあるのでね。			星の欠片を集めて							
この森が農作物が育たない呪われた森なんかじゃないって、あいつらに証明できれば……ほかの土地を奪う必要もなくなる！双頭を生み続ける理由だってなくなるんだ！			この森が農作物が育たない呪われた森なんかじゃないって、あいつらに証明できれば……ほかの土地を奪う必要もなくなる！双頭を生み続ける理由だってなくなるんだ！			星の欠片を集めて							
そうと決まれば、すぐに採取しようぜ！幻煌樹に取りこまれた隕石を引き剥がしてくりゃいいのか！？			そうと決まれば、すぐに採取しようぜ！幻煌樹に取りこまれた隕石を引き剥がしてくりゃいいのか！？			星の欠片を集めて							
わざわざ木に登らずとも、辺りには、隕石から剥落した欠片が落ちているはずだよ。そうだな……ひとりあたり5つほど欠片を採れば十分だろう。			わざわざ木に登らずとも、辺りには、隕石から剥落した欠片が落ちているはずだよ。そうだな……ひとりあたり5つほど欠片を採れば十分だろう。			星の欠片を集めて							
なら、みんなで手分けして採取しましょう。			なら、みんなで手分けして採取しましょう。			星の欠片を集めて							
では、幻煌樹の周辺を探して、「剥落した隕石の欠片」を5つほど採取し、僕に渡してください。			では、幻煌樹の周辺を探して、「剥落した隕石の欠片」を5つほど採取し、僕に渡してください。			星の欠片を集めて							
剥落した隕石の欠片を5つほど採取できたら、僕に渡してください。			剥落した隕石の欠片を5つほど採取できたら、僕に渡してください。			星の欠片を集めて							
「剥落した隕石の欠片」は見つかりましたか？5つ集めたら、僕に渡してください。			「剥落した隕石の欠片」は見つかりましたか？5つ集めたら、僕に渡してください。			星の欠片を集めて							
ありがとうございます。たしかに受け取りました。			ありがとうございます。たしかに受け取りました。			星の欠片を集めて							
皆さんも集め終えたころでしょうし、僕が回収に向かいますよ。アルフィノ殿とクルル殿には、引き続き分析にお付き合いいただくことになります。			皆さんも集め終えたころでしょうし、僕が回収に向かいますよ。アルフィノ殿とクルル殿には、引き続き分析にお付き合いいただくことになります。			星の欠片を集めて							
分析には少しばかり時間がかかると思いますが、隕石が放つエーテル波長のデータが手に入るはず……。あとは、エレンヴィルの「アテ」に賭けるだけです。			分析には少しばかり時間がかかると思いますが、隕石が放つエーテル波長のデータが手に入るはず……。あとは、エレンヴィルの「アテ」に賭けるだけです。			星の欠片を集めて							
そんなわけで、あなたとラマチは、先にモシュトラル・ズージャに戻って待っていてください。欠片を回収しがてら、妹にも伝えておきますので。			そんなわけで、あなたとラマチは、先にモシュトラル・ズージャに戻って待っていてください。欠片を回収しがてら、妹にも伝えておきますので。			星の欠片を集めて							
ウクラマト王女に対して、半信半疑の者もいたようだけど、皆、ここで待つことに同意してくれたわ。きっと、どこかであなたたちに期待してるのよ。			ウクラマト王女に対して、半信半疑の者もいたようだけど、皆、ここで待つことに同意してくれたわ。きっと、どこかであなたたちに期待してるのよ。			星の欠片を集めて							
アタシらにできることはやった。あとはコーナ兄さんとエレンヴィルに任せるさ。			アタシらにできることはやった。あとはコーナ兄さんとエレンヴィルに任せるさ。			星の欠片を集めて							
こんなときに頼りになるんだよな、シャーレアンに行ってた連中はさ……！			こんなときに頼りになるんだよな、シャーレアンに行ってた連中はさ……！			星の欠片を集めて							
なんだか楽しみになってきたぜ。この森は呪われてなんかない……子どもの命を犠牲にしてまで、双頭に願いを託す必要がないって証明できそうだからな！			なんだか楽しみになってきたぜ。この森は呪われてなんかない……子どもの命を犠牲にしてまで、双頭に願いを託す必要がないって証明できそうだからな！			星の欠片を集めて							
サカ・トラル関門前のエレンヴィルは、出発したいようだ。			サカ・トラル関門前のエレンヴィルは、出発したいようだ。			サカ・トラルへ							
出発の準備は万全だ。サカ・トラル関門前の「勇連隊の門番」と話そう。			出発の準備は万全だ。サカ・トラル関門前の「勇連隊の門番」と話そう。			サカ・トラルへ							
門番に通行許可証を見せた。ゾーゴー永結橋を渡ってシャーローニ荒野へ向かおう。			門番に通行許可証を見せた。ゾーゴー永結橋を渡ってシャーローニ荒野へ向かおう。			サカ・トラルへ							
サカ・トラルに足を踏み入れた。シャーローニ荒野のトライヨラ関門付近にいる「エレンヴィル」と話そう。			サカ・トラルに足を踏み入れた。シャーローニ荒野のトライヨラ関門付近にいる「エレンヴィル」と話そう。			サカ・トラルへ							
