アドネール占星台のカリローは、冒険者へひそかに仕事を頼みたいようだ。			アドネール占星台のカリローは、冒険者へひそかに仕事を頼みたいようだ。			アインハルト家の受難							
クルザスといえば、宗教都市「イシュガルド」の治める地。かの都は門を閉ざして久しく、カルテノーの戦いにも、不干渉を貫いていたはずだが……。			クルザスといえば、宗教都市「イシュガルド」の治める地。かの都は門を閉ざして久しく、カルテノーの戦いにも、不干渉を貫いていたはずだが……。			あの山を越えて							
飛空艇の行方を追うつもりなら、クルザス中央高地の「アドネール占星台」の衛士を訪ねるといい。奴らは四六時中、空を監視しているからな。			飛空艇の行方を追うつもりなら、クルザス中央高地の「アドネール占星台」の衛士を訪ねるといい。奴らは四六時中、空を監視しているからな。			あの山を越えて							
……飛空艇について聞きたい？貴様、よほど無知な冒険者のようだな。			……飛空艇について聞きたい？貴様、よほど無知な冒険者のようだな。			あの山を越えて							
ここ、クルザス中央高地は、我らが都「イシュガルド」の前庭。通行こそ容認しているが、よそ者と馴れあうつもりはない。			ここ、クルザス中央高地は、我らが都「イシュガルド」の前庭。通行こそ容認しているが、よそ者と馴れあうつもりはない。			あの山を越えて							
占星台の記録を開示するなど、もってのほかだ。我々は冒険者を頼るつもりはない。貴様も我々を頼らず、早々に立ち去るんだな。			占星台の記録を開示するなど、もってのほかだ。我々は冒険者を頼るつもりはない。貴様も我々を頼らず、早々に立ち去るんだな。			あの山を越えて							
聖アダマ・ランダマ教会のイリュドは、飛空艇「エンタープライズ」の情報を持っているようだ。			聖アダマ・ランダマ教会のイリュドは、飛空艇「エンタープライズ」の情報を持っているようだ。			飛空艇エンタープライズの行方							
第七霊災直前にグリダニアから北へ飛び立ったという「エンタープライズ」。黒衣森・北部森林の「フォールゴウド」にいる「エーセルメール牙曹長」と話そう			第七霊災直前にグリダニアから北へ飛び立ったという「エンタープライズ」。黒衣森・北部森林の「フォールゴウド」にいる「エーセルメール牙曹長」と話そう			飛空艇エンタープライズの行方							
「エンタープライズ」は、さらに北のクルザス方面に飛び去ったという。より詳細な情報を得るため、フォールゴウド西にあるフロランテル監視哨の「ヴォルトゥフォール少牙士」と話そう。			「エンタープライズ」は、さらに北のクルザス方面に飛び去ったという。より詳細な情報を得るため、フォールゴウド西にあるフロランテル監視哨の「ヴォルトゥフォール少牙士」と話そう。			飛空艇エンタープライズの行方							
ヴォルトゥフォール少牙士は「エンタープライズ」の情報を知っているらしい。さっそく話を聞いてみよう。			ヴォルトゥフォール少牙士は「エンタープライズ」の情報を知っているらしい。さっそく話を聞いてみよう。			飛空艇エンタープライズの行方							
フォールゴウドのエーセルメール牙曹長と話す			フォールゴウドのエーセルメール牙曹長と話す			飛空艇エンタープライズの行方							
ヴォルトゥフォール少牙士と話す			ヴォルトゥフォール少牙士と話す			飛空艇エンタープライズの行方							
そうでしたか……まさかマルケズが、ガーロンド・アイアンワークスのシドだったとは。……彼はきっと、あなたと同じ運命の中にいるのでしょうな。			そうでしたか……まさかマルケズが、ガーロンド・アイアンワークスのシドだったとは。……彼はきっと、あなたと同じ運命の中にいるのでしょうな。			飛空艇エンタープライズの行方							
たしか、飛空艇「エンタープライズ」を探しに行くとおっしゃっていましたな。			たしか、飛空艇「エンタープライズ」を探しに行くとおっしゃっていましたな。			飛空艇エンタープライズの行方							
第七霊災直前に、グリダニアからエンタープライズが北へ飛び立ったとの話を聞いたことがあります。行き先まではわかりませんが……。			第七霊災直前に、グリダニアからエンタープライズが北へ飛び立ったとの話を聞いたことがあります。行き先まではわかりませんが……。			飛空艇エンタープライズの行方							
黒衣森の北部森林にある「フォールゴウド」には「双蛇党」の詰所があったはず。現地で話を聞いてみるといいでしょう。			黒衣森の北部森林にある「フォールゴウド」には「双蛇党」の詰所があったはず。現地で話を聞いてみるといいでしょう。			飛空艇エンタープライズの行方							
私も「暁の血盟」の一員……。あなた方のお力になれるよう努めましょう。マルケズ……いえ、シドのこと、よろしくお願いしますね。			私も「暁の血盟」の一員……。あなた方のお力になれるよう努めましょう。マルケズ……いえ、シドのこと、よろしくお願いしますね。			飛空艇エンタープライズの行方							
ここは、グリダニアのグランドカンパニー「双蛇党」の詰所である。			ここは、グリダニアのグランドカンパニー「双蛇党」の詰所である。			飛空艇エンタープライズの行方							
……飛空艇「エンタープライズ」を探していると？それは、ガーロンド・アイアンワークスの船のことか？			……飛空艇「エンタープライズ」を探していると？それは、ガーロンド・アイアンワークスの船のことか？			飛空艇エンタープライズの行方							
たしかに霊災前、この上空を飛んでいたのは覚えている。そのまま、クルザス方面に向かって飛び去っていったため、その後の足取りは知らないがね。			たしかに霊災前、この上空を飛んでいたのは覚えている。そのまま、クルザス方面に向かって飛び去っていったため、その後の足取りは知らないがね。			飛空艇エンタープライズの行方							
ここから西にある「フロランテル監視哨」で目撃者を探したほうが良いかもしれんぞ。			ここから西にある「フロランテル監視哨」で目撃者を探したほうが良いかもしれんぞ。			飛空艇エンタープライズの行方							
しかし……何だって今頃、あの船の話を？たとえ手に入れたところで、第七霊災以降シドは行方不明。まともに操縦できる者などいないだろうに……。			しかし……何だって今頃、あの船の話を？たとえ手に入れたところで、第七霊災以降シドは行方不明。まともに操縦できる者などいないだろうに……。			飛空艇エンタープライズの行方							
冒険者が、このようなところに何用か……。			冒険者が、このようなところに何用か……。			飛空艇エンタープライズの行方							
この先はクルザス中央高地。霊災以降、急激に寒冷化し始め、現在もなお悪化の一途だ。遊びで行けるような場所ではないぞ。			この先はクルザス中央高地。霊災以降、急激に寒冷化し始め、現在もなお悪化の一途だ。遊びで行けるような場所ではないぞ。			飛空艇エンタープライズの行方							
霊災の際に、北へ向かった飛空艇を探していると？……それなら、覚えておるぞ。			霊災の際に、北へ向かった飛空艇を探していると？……それなら、覚えておるぞ。			飛空艇エンタープライズの行方							
