空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			魂を扱う者たち							
……ダメだ。反響していて内容までは聞き取れない。			……ダメだ。反響していて内容までは聞き取れない。			雲の上へ							
進もう……。待ち伏せに警戒しながら、な。			進もう……。待ち伏せに警戒しながら、な。			雲の上へ							
いよいよ頭が追いつかなくなってきたけど……カフキワが無事で本当によかったぜ。			いよいよ頭が追いつかなくなってきたけど……カフキワが無事で本当によかったぜ。			雲の上へ							
あれはエレンヴィルのお母様……そう、あれはエレンヴィルのお母様よ……。			あれはエレンヴィルのお母様……そう、あれはエレンヴィルのお母様よ……。			雲の上へ							
なんだか、この先何が出てきても驚かない気がするわ。			なんだか、この先何が出てきても驚かない気がするわ。			雲の上へ							
アラグ文明の遺物の中には、遠くから操ることのできる機械もあるんだが……あれも似たようなものなのか？			アラグ文明の遺物の中には、遠くから操ることのできる機械もあるんだが……あれも似たようなものなのか？			雲の上へ							
……ったく、人騒がせな人だぜ。銃なんか向けて悪かったな。			……ったく、人騒がせな人だぜ。銃なんか向けて悪かったな。			雲の上へ							
はあ……。私たちも状況がよくわかってないんです……。			はあ……。私たちも状況がよくわかってないんです……。			雲の上へ							
ええと……よろしくお願いします……？			ええと……よろしくお願いします……？			雲の上へ							
さあ、座って座って！			さあ、座って座って！			雲の上へ							
……頭が痛いが、俺やウクラマトに対する物言いからして、おふくろに違いない。あんなのが、世に何人もいてたまるか。			……頭が痛いが、俺やウクラマトに対する物言いからして、おふくろに違いない。あんなのが、世に何人もいてたまるか。			雲の上へ							
なんでこんなことになってるのか……。小一時間、問い質す必要があるな。			なんでこんなことになってるのか……。小一時間、問い質す必要があるな。			雲の上へ							
蓄雷増幅施設のカフキワは、冒険者たちの様子を窺っているようだ。			蓄雷増幅施設のカフキワは、冒険者たちの様子を窺っているようだ。			手を取り合うという路							
カフキワと話し、空の坑道のアジトへ戻ることになった。ヘリテージファウンドの空の坑道前にいる「ウクラマト」と話そう。			カフキワと話し、空の坑道のアジトへ戻ることになった。ヘリテージファウンドの空の坑道前にいる「ウクラマト」と話そう。			手を取り合うという路							
ウクラマトはオブリビオンと手を組むことを提案した。空の坑道のアジトにいる「カフキワ」と話そう。			ウクラマトはオブリビオンと手を組むことを提案した。空の坑道のアジトにいる「カフキワ」と話そう。			手を取り合うという路							
オブリビオンと手を組むことになった。空の坑道のアジトにいる「ジオード」と話そう。			オブリビオンと手を組むことになった。空の坑道のアジトにいる「ジオード」と話そう。			手を取り合うという路							
ジオードから、オブリビオンのメンバーを紹介された。ゾラージャによる被害は、国内にも及んでいるようだ……。			ジオードから、オブリビオンのメンバーを紹介された。ゾラージャによる被害は、国内にも及んでいるようだ……。			手を取り合うという路							
ウクラマトと話す			ウクラマトと話す			手を取り合うという路							
空の坑道のアジトのカフキワと話す			空の坑道のアジトのカフキワと話す			手を取り合うという路							
ジオードと話す			ジオードと話す			手を取り合うという路							
星海をこの目で見てきた者としては……この歪な環境には、どうしても抵抗があるわ。			星海をこの目で見てきた者としては……この歪な環境には、どうしても抵抗があるわ。			手を取り合うという路							
環境が違えば文化も違う……。それはわかっているのだけれど、少しショックで……。			環境が違えば文化も違う……。それはわかっているのだけれど、少しショックで……。			手を取り合うという路							
エメトセルクが語ったという、鏡像世界に興った「驚くべき文明」……。そのひとつが、アレクサンドリアを示すのかもしれないな。			エメトセルクが語ったという、鏡像世界に興った「驚くべき文明」……。そのひとつが、アレクサンドリアを示すのかもしれないな。			手を取り合うという路							
スフェーンが、あの見た目で30年以上前の話をすることを、妙だとは思っていたんだがな……。これほど技術が進んでるなら、あり得ないことでもない……か？			スフェーンが、あの見た目で30年以上前の話をすることを、妙だとは思っていたんだがな……。これほど技術が進んでるなら、あり得ないことでもない……か？			手を取り合うという路							
レギュレーター……これがゾラージャが得た力のひとつか。			レギュレーター……これがゾラージャが得た力のひとつか。			手を取り合うという路							
あいつを確実に倒すためには、もっと、この国の技術について知らないとな……。			あいつを確実に倒すためには、もっと、この国の技術について知らないとな……。			手を取り合うという路							
てなわけで、少しはレギュレーターと、魂資源への理解が深まったかい？			てなわけで、少しはレギュレーターと、魂資源への理解が深まったかい？			手を取り合うという路							
あたしも最初は信じがたかったし、混乱するのも無理はないよ。空の坑道に戻って、ゆっくり考えればいいさ。			あたしも最初は信じがたかったし、混乱するのも無理はないよ。空の坑道に戻って、ゆっくり考えればいいさ。			手を取り合うという路							
今のままじゃ……。			今のままじゃ……。			手を取り合うという路							
空の坑道に戻る前に、相談してぇことがあるんだ。みんなを呼び止めておくから、少し時間をもらえねぇか？			空の坑道に戻る前に、相談してぇことがあるんだ。みんなを呼び止めておくから、少し時間をもらえねぇか？			手を取り合うという路							
魂資源か……この国の文化として成り立っているなら、拒絶してばかりなのもいけないわよね……。			魂資源か……この国の文化として成り立っているなら、拒絶してばかりなのもいけないわよね……。			手を取り合うという路							
相談したいことって、何かしら？カフキワさんは先に行っちゃったけれど……。			相談したいことって、何かしら？カフキワさんは先に行っちゃったけれど……。			手を取り合うという路							
レギュレーターの使い方を、今のうちに見学できてよかった。魔物の魂まで取り込むとは恐れ入る……この力を得たゾラージャとまともに戦うとなると、厄介だな。			レギュレーターの使い方を、今のうちに見学できてよかった。魔物の魂まで取り込むとは恐れ入る……この力を得たゾラージャとまともに戦うとなると、厄介だな。			手を取り合うという路							
おふくろたちは、こんな土地で30年暮らしてきたわけか。この文化に慣れるくらいに……。			おふくろたちは、こんな土地で30年暮らしてきたわけか。この文化に慣れるくらいに……。			手を取り合うという路							
みんな、呼び止めてすまねぇ。……少しアタシの考えを聞いてほしいんだ。			みんな、呼び止めてすまねぇ。……少しアタシの考えを聞いてほしいんだ。			手を取り合うという路							
ここまで見てきて、みんなもわかってると思うけどよ……トライヨラとアレクサンドリアじゃ、技術力も価値観も、あまりにも違いすぎる。			ここまで見てきて、みんなもわかってると思うけどよ……トライヨラとアレクサンドリアじゃ、技術力も価値観も、あまりにも違いすぎる。			手を取り合うという路							
ゾラージャはこちらの手の内を知り尽くしている一方で、アタシたちには、まだまだ情報が足りねぇ。			ゾラージャはこちらの手の内を知り尽くしている一方で、アタシたちには、まだまだ情報が足りねぇ。			手を取り合うという路							
そうだな……オレたちはまだ、エバーキープの中にすら入っていない。アレクサンドリアの中心地にそびえる、あの巨大な塔だ。			そうだな……オレたちはまだ、エバーキープの中にすら入っていない。アレクサンドリアの中心地にそびえる、あの巨大な塔だ。			手を取り合うという路							
そこで、みんなに提案があるんだ！			そこで、みんなに提案があるんだ！			手を取り合うという路							
ここから先は、カフキワたちの組織……オブリビオンと手を組むってのはどうだ？			ここから先は、カフキワたちの組織……オブリビオンと手を組むってのはどうだ？			手を取り合うという路							
ゾラージャがいつ侵攻を再開するかわからねぇ今、一刻も早くアレクサンドリアのことを学ぶ必要がある。その助けになると思うんだ。			ゾラージャがいつ侵攻を再開するかわからねぇ今、一刻も早くアレクサンドリアのことを学ぶ必要がある。その助けになると思うんだ。			手を取り合うという路							
もちろん、まだ出会ったばかりだし、簡単に信用すべきじゃねぇってことはわかってる。だけど、少なくともゾラージャを止めたいって点で思いは同じだ。			もちろん、まだ出会ったばかりだし、簡単に信用すべきじゃねぇってことはわかってる。だけど、少なくともゾラージャを止めたいって点で思いは同じだ。			手を取り合うという路							
反ゾラージャという点なら、スフェーン王も同じはずだ。すぐに彼女の手をとらず、オブリビオンと協力する……その意図を聞かせてくれるか？			反ゾラージャという点なら、スフェーン王も同じはずだ。すぐに彼女の手をとらず、オブリビオンと協力する……その意図を聞かせてくれるか？			手を取り合うという路							
……やっぱり、リーダーであるカフキワの存在が大きい。エレンヴィルの母親なんだからな。			……やっぱり、リーダーであるカフキワの存在が大きい。エレンヴィルの母親なんだからな。			手を取り合うという路							
それにスフェーンの想いがどうあれ、あいつは連王なんだ。ゾラージャに情報が流れる可能性は否定できねぇし……その危険性を上回るだけの信頼は、まだあいつとは築けてねぇ。			それにスフェーンの想いがどうあれ、あいつは連王なんだ。ゾラージャに情報が流れる可能性は否定できねぇし……その危険性を上回るだけの信頼は、まだあいつとは築けてねぇ。			手を取り合うという路							
ああ、それには同感だ。相手はあのゾラージャ……理王を据え置くだけの理由が、何かあるはずだからな。			ああ、それには同感だ。相手はあのゾラージャ……理王を据え置くだけの理由が、何かあるはずだからな。			手を取り合うという路							
……そうね、それにここはあくまでも敵地。目的を同じとする味方がいるというのは心強いわ。			……そうね、それにここはあくまでも敵地。目的を同じとする味方がいるというのは心強いわ。			手を取り合うという路							
バルデシオン委員会としても、私個人としても……情報はいくらあっても足りないくらいだしね。			バルデシオン委員会としても、私個人としても……情報はいくらあっても足りないくらいだしね。			手を取り合うという路							
……待ってくれ。あの機械を操ってるのが、カフキワ本人だと確証があるわけじゃないだろ。			……待ってくれ。あの機械を操ってるのが、カフキワ本人だと確証があるわけじゃないだろ。			手を取り合うという路							
あくまでも俺がそうだと感じてるだけだ。姿が見えない以上、何か裏がある可能性だってある……。			あくまでも俺がそうだと感じてるだけだ。姿が見えない以上、何か裏がある可能性だってある……。			手を取り合うという路							
それでも信頼するっていうのか？もしもこれが罠なら、ここにいる全員どころか、大勢の人を危険に晒すことになるんだぞ……！			それでも信頼するっていうのか？もしもこれが罠なら、ここにいる全員どころか、大勢の人を危険に晒すことになるんだぞ……！			手を取り合うという路							
まあ、そうだな……。カフキワが本物だって言い切る根拠はねぇさ。			まあ、そうだな……。カフキワが本物だって言い切る根拠はねぇさ。			手を取り合うという路							
だけど、その危険も承知の上での提案なんだ。			だけど、その危険も承知の上での提案なんだ。			手を取り合うという路							
ドーム内のことを何もわからないままじゃ、事態の根本的な解決なんて望めねぇ。戦うにも平和を目指すにも、「知る」ことが必要だろう？			ドーム内のことを何もわからないままじゃ、事態の根本的な解決なんて望めねぇ。戦うにも平和を目指すにも、「知る」ことが必要だろう？			手を取り合うという路							
なら、アタシたちがここでやるべきことは、少しでも多くの情報を得ること……そして、ゾラージャを確実に討つことだと思うんだ。			なら、アタシたちがここでやるべきことは、少しでも多くの情報を得ること……そして、ゾラージャを確実に討つことだと思うんだ。			手を取り合うという路							
それによ……。			それによ……。			手を取り合うという路							
エレンヴィルの直感は、昔から結構当たるんだぜ。なにせ、カフキワを追いかけるために必死で培ってきた、観察力と洞察力に基づいてるからな！			エレンヴィルの直感は、昔から結構当たるんだぜ。なにせ、カフキワを追いかけるために必死で培ってきた、観察力と洞察力に基づいてるからな！			手を取り合うという路							
これは子どもの遊びじゃないんだぞ！？相手が身内だからこそ見誤る可能性だって……！			これは子どもの遊びじゃないんだぞ！？相手が身内だからこそ見誤る可能性だって……！			手を取り合うという路							
何と言う？			何と言う？			手を取り合うという路							
罠だったら戦うまで！			罠だったら戦うまで！			手を取り合うという路							
エレンヴィルを信じる			エレンヴィルを信じる			手を取り合うという路							
はあ……おたくまで……。そこまで言うなら、俺はもう何も言わないが……。			はあ……おたくまで……。そこまで言うなら、俺はもう何も言わないが……。			手を取り合うという路							
……ありがとな。			……ありがとな。			手を取り合うという路							
それじゃあ、方針は固まったことだし、「空の坑道のアジト」に戻って、交渉してみようぜ！			それじゃあ、方針は固まったことだし、「空の坑道のアジト」に戻って、交渉してみようぜ！			手を取り合うという路							
ゾラージャを止めることに異論はないけど、民衆に与える影響についても、慎重に検討しないとね。アレクサンドリアの国民は敵じゃないんだから……。			ゾラージャを止めることに異論はないけど、民衆に与える影響についても、慎重に検討しないとね。アレクサンドリアの国民は敵じゃないんだから……。			手を取り合うという路							
ラマチの意見には賛成よ。相手を信じることにも、信じないことにも、同じようにリスクはあるもの……。			ラマチの意見には賛成よ。相手を信じることにも、信じないことにも、同じようにリスクはあるもの……。			手を取り合うという路							
ウクラマトには、揺るぎない信念と若々しい柔軟性がある。道中で聞いた報告のとおりなら、継承の儀で、本当に多くのことを学んだんだろうな。			ウクラマトには、揺るぎない信念と若々しい柔軟性がある。道中で聞いた報告のとおりなら、継承の儀で、本当に多くのことを学んだんだろうな。			手を取り合うという路							
ウクラマトの奴、妙なところで王らしい決断力がでてきたな。優柔不断に振る舞われるよりも何倍もいいが……。			ウクラマトの奴、妙なところで王らしい決断力がでてきたな。優柔不断に振る舞われるよりも何倍もいいが……。			手を取り合うという路							
こんな場所に隠れ家を持ってるような奴らだし、仲間になってくれたらきっと頼りになるぜ！			こんな場所に隠れ家を持ってるような奴らだし、仲間になってくれたらきっと頼りになるぜ！			手を取り合うという路							
カフキワ……それとオブリビオンのみんなに、聞いてもらいたい話がある。			カフキワ……それとオブリビオンのみんなに、聞いてもらいたい話がある。			手を取り合うという路							
アタシらがここに来た目的は、ゾラージャを討つことだ。			アタシらがここに来た目的は、ゾラージャを討つことだ。			手を取り合うという路							
……本気なのか？ゾラージャ王はあんたの義理の兄だと聞いた。			……本気なのか？ゾラージャ王はあんたの義理の兄だと聞いた。			手を取り合うという路							
最悪、家族を殺すことになるんだぞ。			最悪、家族を殺すことになるんだぞ。			手を取り合うという路							
奴は、トライヨラのみんなから笑顔を奪った。だからアタシは武王として、ゾラージャを討つ！			奴は、トライヨラのみんなから笑顔を奪った。だからアタシは武王として、ゾラージャを討つ！			手を取り合うという路							
その覚悟は、ここに来た時点でとっくにできてる！			その覚悟は、ここに来た時点でとっくにできてる！			手を取り合うという路							
オブリビオンの目的は、領土拡大を狙うゾラージャを、止めることだったよな。だったら、アタシらと手を組まねぇか？			オブリビオンの目的は、領土拡大を狙うゾラージャを、止めることだったよな。だったら、アタシらと手を組まねぇか？			手を取り合うという路							
急にこんなこと言われても、すぐには信用できないかもしれねぇ。			急にこんなこと言われても、すぐには信用できないかもしれねぇ。			手を取り合うという路							
だけど、ゾラージャを討つっていうアタシの覚悟は本物だ！同じ志を持つ奴らと手を取り合えるなら、その方がいい！だから……仲間として、ともに戦ってくれ！			だけど、ゾラージャを討つっていうアタシの覚悟は本物だ！同じ志を持つ奴らと手を取り合えるなら、その方がいい！だから……仲間として、ともに戦ってくれ！			手を取り合うという路							
ウクラマトの覚悟は十分伝わったよ。たしかに、ゾラージャを止めるという点で、互いの目的は同じだ。			ウクラマトの覚悟は十分伝わったよ。たしかに、ゾラージャを止めるという点で、互いの目的は同じだ。			手を取り合うという路							
つまり、あんたたちからの提案は、あたしたちにとっても願ったり叶ったりなのさ。			つまり、あんたたちからの提案は、あたしたちにとっても願ったり叶ったりなのさ。			手を取り合うという路							
正直なところ、あたしたちだけでは手詰まりだったんだ。ゾラージャ王に対抗するために情報や物資を集めてきたけど、戦力が欠けていたからね。			正直なところ、あたしたちだけでは手詰まりだったんだ。ゾラージャ王に対抗するために情報や物資を集めてきたけど、戦力が欠けていたからね。			手を取り合うという路							
……それにさ。信用するに決まってるじゃないか。			……それにさ。信用するに決まってるじゃないか。			手を取り合うという路							
あたしにとっちゃ、今こうして目の前にいるのは、紛れもないひとり息子なんだ。理由はそれだけで十分さ。			あたしにとっちゃ、今こうして目の前にいるのは、紛れもないひとり息子なんだ。理由はそれだけで十分さ。			手を取り合うという路							
んじゃ、決まりだね。そういうわけで、改めてよろしく！			んじゃ、決まりだね。そういうわけで、改めてよろしく！			手を取り合うという路							
カフキワ、みんな……ありがとよ！こちらこそよろしく頼む！			カフキワ、みんな……ありがとよ！こちらこそよろしく頼む！			手を取り合うという路							
それじゃさっそく、ゾラージャの居場所だけど……あの塔の中に、王宮があったりするわけ？			それじゃさっそく、ゾラージャの居場所だけど……あの塔の中に、王宮があったりするわけ？			手を取り合うという路							
あるにはあるはずだ……恐らく、塔の最上層あたりにな。なにせ、理王があちこちフラフラと出歩く一方で、武王は滅多に姿を現さず、動向は機密扱いでよ……。			あるにはあるはずだ……恐らく、塔の最上層あたりにな。なにせ、理王があちこちフラフラと出歩く一方で、武王は滅多に姿を現さず、動向は機密扱いでよ……。			手を取り合うという路							
軍の将校でさえ、知り得る情報は限られてるって話だ。ゾラージャ王の居場所を知ってるのは、実質、スフェーン様くらいなんじゃないか？			軍の将校でさえ、知り得る情報は限られてるって話だ。ゾラージャ王の居場所を知ってるのは、実質、スフェーン様くらいなんじゃないか？			手を取り合うという路							
居場所がわからずとも、ゾラージャは必ず動く。トライヨラへの侵攻という、目的を果たすためにね……そこを捕捉すればいい。			居場所がわからずとも、ゾラージャは必ず動く。トライヨラへの侵攻という、目的を果たすためにね……そこを捕捉すればいい。			手を取り合うという路							
もっとも、この案には懸念もある。まず、阻止すべき侵攻を待つことになるわけだから、トライヨラの民の命を危険に晒してしまうこと。			もっとも、この案には懸念もある。まず、阻止すべき侵攻を待つことになるわけだから、トライヨラの民の命を危険に晒してしまうこと。			手を取り合うという路							
そして、ゾラージャ本人が襲撃時に姿を見せなかった場合……たとえば指揮を部下に任せた場合は、策が破綻しちまうことだ。			そして、ゾラージャ本人が襲撃時に姿を見せなかった場合……たとえば指揮を部下に任せた場合は、策が破綻しちまうことだ。			手を取り合うという路							
……いや、ゾラージャなら自ら打って出るはずだ。			……いや、ゾラージャなら自ら打って出るはずだ。			手を取り合うという路							
へえ……言い切る理由を、聞かせてもらってもいいかい？			へえ……言い切る理由を、聞かせてもらってもいいかい？			手を取り合うという路							
あいつは、ずっとオヤジを超えたがってた。30年もかけてドームの外へ出られるようになって、まず最初にやった行動がトライヨラの襲撃だ……。			あいつは、ずっとオヤジを超えたがってた。30年もかけてドームの外へ出られるようになって、まず最初にやった行動がトライヨラの襲撃だ……。			手を取り合うという路							
つまり、何よりも最優先で証明しようとしたんだ。己の力を……今のゾラージャがどういう存在なのかを……。			つまり、何よりも最優先で証明しようとしたんだ。己の力を……今のゾラージャがどういう存在なのかを……。			手を取り合うという路							
ただ、オヤジを殺しても満足した様子はなかった。だとしたら、次に目指すのは継承の儀で負けた相手に勝ち、自らの手でトライヨラを我が物にすること……。			ただ、オヤジを殺しても満足した様子はなかった。だとしたら、次に目指すのは継承の儀で負けた相手に勝ち、自らの手でトライヨラを我が物にすること……。			手を取り合うという路							
決闘なんて回りくどい真似を選んだのも、きっと、自分が「トライヨラの連王」にまさっていると証明するためだ。なら、指揮を部下に任せるなんてありえねぇ。			決闘なんて回りくどい真似を選んだのも、きっと、自分が「トライヨラの連王」にまさっていると証明するためだ。なら、指揮を部下に任せるなんてありえねぇ。			手を取り合うという路							
だとしたら、現時点で姿を現さない理由は？私たちの侵入に気づいてないわけはないだろうし……。			だとしたら、現時点で姿を現さない理由は？私たちの侵入に気づいてないわけはないだろうし……。			手を取り合うという路							
自分が手に入れた国を見せつけるつもりなのか、なんなのか……正直、そこまでの意図はわからねぇ……。ただ、表に出てこないなら、引きずり出せばいい。			自分が手に入れた国を見せつけるつもりなのか、なんなのか……正直、そこまでの意図はわからねぇ……。ただ、表に出てこないなら、引きずり出せばいい。			手を取り合うという路							
あいつが痺れを切らすまで、こっちはあえて戦意を見せないでおくのさ。……裏ではこの国にまつわる情報を集めながらな。			あいつが痺れを切らすまで、こっちはあえて戦意を見せないでおくのさ。……裏ではこの国にまつわる情報を集めながらな。			手を取り合うという路							
そうすればきっとアタシに失望して、コーナ兄さんに狙いを定め、トライヨラを目指すはずだ。			そうすればきっとアタシに失望して、コーナ兄さんに狙いを定め、トライヨラを目指すはずだ。			手を取り合うという路							
……なるほどね。あんたがそこまで言うなら、異論はないよ。			……なるほどね。あんたがそこまで言うなら、異論はないよ。			手を取り合うという路							
トライヨラをもう一度攻めるとなると、奴は外界に通じるヴァンガードに姿を現すことになる。そこを見張っておけば、必ず捉えられるだろうからね。			トライヨラをもう一度攻めるとなると、奴は外界に通じるヴァンガードに姿を現すことになる。そこを見張っておけば、必ず捉えられるだろうからね。			手を取り合うという路							
たしかに理にかなっているけど……。その策を採るなら、トライヨラ側にも報せておくべきだわ。			たしかに理にかなっているけど……。その策を採るなら、トライヨラ側にも報せておくべきだわ。			手を取り合うという路							
ええ、コーナとアルフィノに状況を伝えて、防衛体制の完成を急いでもらいましょう。			ええ、コーナとアルフィノに状況を伝えて、防衛体制の完成を急いでもらいましょう。			手を取り合うという路							
外との連携ならオレに任せてくれ。ヤ・シュトラとの情報共有も兼ねて、こちらの状況は適宜伝えておこう。			外との連携ならオレに任せてくれ。ヤ・シュトラとの情報共有も兼ねて、こちらの状況は適宜伝えておこう。			手を取り合うという路							
んじゃ、ヴァンガードの見張りは俺たちの役目だな。何か動きがあれば、すぐに報せてやる。			んじゃ、ヴァンガードの見張りは俺たちの役目だな。何か動きがあれば、すぐに報せてやる。			手を取り合うという路							
方針は決まりだね。			方針は決まりだね。			手を取り合うという路							
それじゃあ、ゾラージャが動きだすのを待つ間に、あんたたちには決戦に備えてもらおうか。奴が使っている技術を、もっと深く知っておいてもらいたい。			それじゃあ、ゾラージャが動きだすのを待つ間に、あんたたちには決戦に備えてもらおうか。奴が使っている技術を、もっと深く知っておいてもらいたい。			手を取り合うという路							
そのためにも……オブリビオンの本拠地に案内しよう！			そのためにも……オブリビオンの本拠地に案内しよう！			手を取り合うという路							
ここ以外にも拠点があるのか？			ここ以外にも拠点があるのか？			手を取り合うという路							
ふふん、驚くなかれ。あの塔の居住区、ソリューション・ナインの一角に、オブリビオンの中枢が隠されているのさ！			ふふん、驚くなかれ。あの塔の居住区、ソリューション・ナインの一角に、オブリビオンの中枢が隠されているのさ！			手を取り合うという路							
木を隠すなら、なんとやらってね。人が多い場所の方が、何をするにも都合がいいのさ。			木を隠すなら、なんとやらってね。人が多い場所の方が、何をするにも都合がいいのさ。			手を取り合うという路							
問題は、見張りの機械兵をどう撒くかだけど……。			問題は、見張りの機械兵をどう撒くかだけど……。			手を取り合うという路							
あ、そういえばスフェーンが、通れるようにしてくれるって言ってたな。			あ、そういえばスフェーンが、通れるようにしてくれるって言ってたな。			手を取り合うという路							
……スフェーン様が？彼女、機械兵への命令権は持ってないはずだけど……。			……スフェーン様が？彼女、機械兵への命令権は持ってないはずだけど……。			手を取り合うという路							
たしか、私たちを客人として登録する……そんなようなことを言っていたわ。			たしか、私たちを客人として登録する……そんなようなことを言っていたわ。			手を取り合うという路							
なるほどね……まあ、それなら手間が省けたわ。			なるほどね……まあ、それなら手間が省けたわ。			手を取り合うという路							
じゃあ、各自準備が整ったら塔のたもとに集合しとくれ。			じゃあ、各自準備が整ったら塔のたもとに集合しとくれ。			手を取り合うという路							
改めてよろしくな。このアジトも好きに出入りしてくれていいぜ。			改めてよろしくな。このアジトも好きに出入りしてくれていいぜ。			手を取り合うという路							
ああそうだ、ソリューション・ナインに向かう前に、ここにいる仲間を紹介させてくれよ。名前くらいは覚えていってくれると、こいつらも喜ぶと思うぜ。			ああそうだ、ソリューション・ナインに向かう前に、ここにいる仲間を紹介させてくれよ。名前くらいは覚えていってくれると、こいつらも喜ぶと思うぜ。			手を取り合うという路							
いよいよ塔の中に入れるのね。カフキワさんたちが頼もしいのも相まって、ちょっとワクワクしちゃうわね。			いよいよ塔の中に入れるのね。カフキワさんたちが頼もしいのも相まって、ちょっとワクワクしちゃうわね。			手を取り合うという路							
他意はないんだけど……カフキワさんとエレンヴィルさんって、全然性格が違うのね。			他意はないんだけど……カフキワさんとエレンヴィルさんって、全然性格が違うのね。			手を取り合うという路							
ひとまず心強い味方ができたな。彼らの情報網をアテにさせてもらおう。			ひとまず心強い味方ができたな。彼らの情報網をアテにさせてもらおう。			手を取り合うという路							
あの奇妙な丸っこい機械から身内の声がするのは、冷静になるとおぞましいものがあるな……。			あの奇妙な丸っこい機械から身内の声がするのは、冷静になるとおぞましいものがあるな……。			手を取り合うという路							
ここがオブリビオンの本拠地じゃなかったんだな……！どんなところか、もうまったく想像つかねぇぜ。			ここがオブリビオンの本拠地じゃなかったんだな……！どんなところか、もうまったく想像つかねぇぜ。			手を取り合うという路							
カフキワさんが信じる方々なら信頼できます。改めて、よろしくお願いしますね！			カフキワさんが信じる方々なら信頼できます。改めて、よろしくお願いしますね！			手を取り合うという路							
その……よ、よろしくお願いします……。			その……よ、よろしくお願いします……。			手を取り合うという路							
オブリビオンの人員はそれなりに多いんだが、ひとまずこのアジトの主要メンバーを紹介させてくれ。			オブリビオンの人員はそれなりに多いんだが、ひとまずこのアジトの主要メンバーを紹介させてくれ。			手を取り合うという路							
俺はジオード。一応、このアジトのまとめ役をやってる。			俺はジオード。一応、このアジトのまとめ役をやってる。			手を取り合うという路							
それから、後ろにいるふたりは、ノスタルジアとワヤッケ。双子の姉妹で、まだ若いが頼もしいメンバーだ。			それから、後ろにいるふたりは、ノスタルジアとワヤッケ。双子の姉妹で、まだ若いが頼もしいメンバーだ。			手を取り合うという路							
ノスタルジアです、みなさんよろしくお願いします！			ノスタルジアです、みなさんよろしくお願いします！			手を取り合うという路							
私と妹のワヤッケは、この障壁の中で生まれ育ったアレクサンドリア人で……オブリビオンに所属して3年ほどになります。			私と妹のワヤッケは、この障壁の中で生まれ育ったアレクサンドリア人で……オブリビオンに所属して3年ほどになります。			手を取り合うという路							
ここでは主に、軍の動向を監視したり、仲間のための物資を調達したりしてるんですよ。			ここでは主に、軍の動向を監視したり、仲間のための物資を調達したりしてるんですよ。			手を取り合うという路							
へえ、ふたりは血の繋がった姉妹なのか？ワヤッケっていう名前は、トラル大陸のものだよな？			へえ、ふたりは血の繋がった姉妹なのか？ワヤッケっていう名前は、トラル大陸のものだよな？			手を取り合うという路							
ええ、そうなんです。母がトライヨラ人で、父がアレクサンドリア人なもので、私たちには両方の土地の名が受け継がれました。			ええ、そうなんです。母がトライヨラ人で、父がアレクサンドリア人なもので、私たちには両方の土地の名が受け継がれました。			手を取り合うという路							
30年も経っていれば、そういうこともあるのね。どちらも素敵な名前だわ。			30年も経っていれば、そういうこともあるのね。どちらも素敵な名前だわ。			手を取り合うという路							
あ、あの……ありがとうございます……。母の記憶はないのですが……私も好きな名前なんです……。			あ、あの……ありがとうございます……。母の記憶はないのですが……私も好きな名前なんです……。			手を取り合うという路							
それで……ふたりはなんで、オブリビオンに入ったんだ？			それで……ふたりはなんで、オブリビオンに入ったんだ？			手を取り合うという路							
父アンブローズの仇を取るためです。			父アンブローズの仇を取るためです。			手を取り合うという路							
数年前のことになるんですが……父が小さなことでゾラージャ率いる軍の兵士と揉めて……			数年前のことになるんですが……父が小さなことでゾラージャ率いる軍の兵士と揉めて……			手を取り合うという路							
その後、いつまで待っても釈放される様子はなく、私たちは決意して、レギュレーターを外しました。			その後、いつまで待っても釈放される様子はなく、私たちは決意して、レギュレーターを外しました。			手を取り合うという路							
すでに母の記憶を失っていましたから、この悔しさは……父の記憶だけは失いたくなかった……。			すでに母の記憶を失っていましたから、この悔しさは……父の記憶だけは失いたくなかった……。			手を取り合うという路							
レギュレーターを着けている知り合いは、今はもう、みんな父のことを「忘れて」しまっています。つまり……そういうことです。			レギュレーターを着けている知り合いは、今はもう、みんな父のことを「忘れて」しまっています。つまり……そういうことです。			手を取り合うという路							
あいつ……！自分の国民に何てことを……！			あいつ……！自分の国民に何てことを……！			手を取り合うという路							
そうして呆然としていたときに、オブリビオンのメンバーに声をかけられて……。いつか父の仇を討てればと考えて、加入を決めたんです。			そうして呆然としていたときに、オブリビオンのメンバーに声をかけられて……。いつか父の仇を討てればと考えて、加入を決めたんです。			手を取り合うという路							
……なんか、暗い話になっちゃってすみません。			……なんか、暗い話になっちゃってすみません。			手を取り合うという路							
いいんだ、話してくれてありがとよ。お前のオヤジの仇、絶対取ろうな。			いいんだ、話してくれてありがとよ。お前のオヤジの仇、絶対取ろうな。			手を取り合うという路							
ありがとうございます。みなさんとなら、やれる気がしています。			ありがとうございます。みなさんとなら、やれる気がしています。			手を取り合うという路							
ほら、あんたも何か自己紹介しな。			ほら、あんたも何か自己紹介しな。			手を取り合うという路							
ええと……オブリビオンに入った理由は、ノスタルジアが説明してくれたとおりで……。			ええと……オブリビオンに入った理由は、ノスタルジアが説明してくれたとおりで……。			手を取り合うという路							
