潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
カーティスと出会って革命軍に身を投じる前、オレとランバードは、「赤魔法」の知識を求めて、遺跡を探索した。思えばヤツの真の目的は、封じられた古の秘術だったんだろう。			カーティスと出会って革命軍に身を投じる前、オレとランバードは、「赤魔法」の知識を求めて、遺跡を探索した。思えばヤツの真の目的は、封じられた古の秘術だったんだろう。			血に塗れた起源							
「紅の疾風」として革命軍に身を投じる前、オレとランバードは、「赤魔法」の知識を求めて、遺跡を探索した。思えばヤツの真の目的は、封じられた古の秘術だったんだろう。			「紅の疾風」として革命軍に身を投じる前、オレとランバードは、「赤魔法」の知識を求めて、遺跡を探索した。思えばヤツの真の目的は、封じられた古の秘術だったんだろう。			血に塗れた起源							
実践に重きをおくオレと、理論構築を得意としていたヤツとで、数々の技を編みだしたよ……いまとなっては、詮ない話だな。			実践に重きをおくオレと、理論構築を得意としていたヤツとで、数々の技を編みだしたよ……いまとなっては、詮ない話だな。			血に塗れた起源							
現在、遺跡はキキルン族の拠点になっちまってるが……残された遺物から、何かわかるかもしれん。……ランバードが自身の肉体に施したという、秘術のことがな。			現在、遺跡はキキルン族の拠点になっちまってるが……残された遺物から、何かわかるかもしれん。……ランバードが自身の肉体に施したという、秘術のことがな。			血に塗れた起源							
アリアは、ここで静養を続けてくれ。それから……つらいと思うが、魔法の修行は当分おあずけだ。			アリアは、ここで静養を続けてくれ。それから……つらいと思うが、魔法の修行は当分おあずけだ。			血に塗れた起源							
おそらくは、魔力の消耗が「飢え」のきっかけになっている。おとなしくしていないと、また……			おそらくは、魔力の消耗が「飢え」のきっかけになっている。おとなしくしていないと、また……			血に塗れた起源							
はい……また誰かを襲ったりするのは、いやですから。			はい……また誰かを襲ったりするのは、いやですから。			血に塗れた起源							
それよりも、本当にいいんでしょうか？わたしなんかのために、遠いギラバニアまで…………。			それよりも、本当にいいんでしょうか？わたしなんかのために、遠いギラバニアまで…………。			血に塗れた起源							
アリア、立場が逆だったら、お前はどうする……？Forenameの身に異変が起きて、ギラバニアの山奥で答えが見つかるかも……となったら？			アリア、立場が逆だったら、お前はどうする……？Forenameの身に異変が起きて、ギラバニアの山奥で答えが見つかるかも……となったら？			血に塗れた起源							
え…………先輩に何かあったら……？もちろん、すぐにギラバニアへ行きます！			え…………先輩に何かあったら……？もちろん、すぐにギラバニアへ行きます！			血に塗れた起源							
アリアに何と言う？			アリアに何と言う？			血に塗れた起源							
ありがとう			ありがとう			血に塗れた起源							
……そ、そうか			……そ、そうか			血に塗れた起源							
ハハハ！アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			ハハハ！アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			血に塗れた起源							
ハハハ、即答か！Forenameが戸惑ってるぞ。			ハハハ、即答か！Forenameが戸惑ってるぞ。			血に塗れた起源							
アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			アリアがそういうヤツだから、助けたいって思うのさ。だから気にせず、休んでろ！			血に塗れた起源							
あんなに張り切ってたのに、修行できないのはつらいだろう……。まずは体調だけでも、戻してやりたいな。			あんなに張り切ってたのに、修行できないのはつらいだろう……。まずは体調だけでも、戻してやりたいな。			血に塗れた起源							
それでは、「赤のジグラート」へ向けて出発しよう。アリアはここで、朗報を待っていろ。			それでは、「赤のジグラート」へ向けて出発しよう。アリアはここで、朗報を待っていろ。			血に塗れた起源							
ご迷惑をおかけしてしまって……ごめんなさい。せめて早く元気になれるように、おとなしく休んでます……。			ご迷惑をおかけしてしまって……ごめんなさい。せめて早く元気になれるように、おとなしく休んでます……。			血に塗れた起源							
さっそく、探索を始めるか！赤魔道士の歴史が書かれた「石板」を集めるぞ。			さっそく、探索を始めるか！赤魔道士の歴史が書かれた「石板」を集めるぞ。			血に塗れた起源							
「赤のジグラート」は、赤魔道士の始祖たちが築いた建造物だ。霊災で不安定になった気候を、制御するための装置らしい。乱れた地脈を鎮めるための、重しみたいなもんか。			「赤のジグラート」は、赤魔道士の始祖たちが築いた建造物だ。霊災で不安定になった気候を、制御するための装置らしい。乱れた地脈を鎮めるための、重しみたいなもんか。			血に塗れた起源							
歴代の赤魔道士は、歴史や秘術を刻んだ石板をここに安置した。盗掘や風化で、大部分が失われちまったが……			歴代の赤魔道士は、歴史や秘術を刻んだ石板をここに安置した。盗掘や風化で、大部分が失われちまったが……			血に塗れた起源							
ランバードが手を染めた秘術の、手がかりくらいは見つけたい。「赤のジグラート」の内外を、手わけして探そう。ただし見てのとおり、キキルン族の巣窟だ……気をつけろよ！			ランバードが手を染めた秘術の、手がかりくらいは見つけたい。「赤のジグラート」の内外を、手わけして探そう。ただし見てのとおり、キキルン族の巣窟だ……気をつけろよ！			血に塗れた起源							
どうだ、成果はあったか？オレの方でも、石板をいくつか見つけた。いくつか気になる記述はあったが……どうにも決め手を欠くな。			どうだ、成果はあったか？オレの方でも、石板をいくつか見つけた。いくつか気になる記述はあったが……どうにも決め手を欠くな。			血に塗れた起源							
こいつは…………！石板のひとつに、とんでもないことが書いてあるぞ。ランバードが自身に施した、秘術の正体だ。			こいつは…………！石板のひとつに、とんでもないことが書いてあるぞ。ランバードが自身に施した、秘術の正体だ。			血に塗れた起源							
第六霊災の直後、「赤魔法」がまだ体系化される前……異界「ヴォイド」の妖異と契約し、その血を体内に入れて、力を借りた赤魔道士たちがいたというんだ……！			第六霊災の直後、「赤魔法」がまだ体系化される前……異界「ヴォイド」の妖異と契約し、その血を体内に入れて、力を借りた赤魔道士たちがいたというんだ……！			血に塗れた起源							
……妖異のなかには、獲物の生命力を喰らうバケモノがいる。ランバードも、妖異の血を自分に移植したんだろう。そして、「ソウルスティール」の力を得た……。			……妖異のなかには、獲物の生命力を喰らうバケモノがいる。ランバードも、妖異の血を自分に移植したんだろう。そして、「ソウルスティール」の力を得た……。			血に塗れた起源							
もとは第六霊災前、マハのとある大魔道士の一族が始めた術らしい。己のエーテルを激しく消耗する赤魔道士にとって、敵から奪った力を使える利点は大きい。			もとは第六霊災前、マハのとある大魔道士の一族が始めた術らしい。己のエーテルを激しく消耗する赤魔道士にとって、敵から奪った力を使える利点は大きい。			血に塗れた起源							
ランバードのように、奪った力を肉体の維持にまわせば、「人」の限界を超えた、強大な魔法すらも行使できるわけだ……！			ランバードのように、奪った力を肉体の維持にまわせば、「人」の限界を超えた、強大な魔法すらも行使できるわけだ……！			血に塗れた起源							
この秘術はのちに禁じ手とされ、術者は絶えたようだ。飢えて人を襲うような副作用があるなら……無理もない話か。			この秘術はのちに禁じ手とされ、術者は絶えたようだ。飢えて人を襲うような副作用があるなら……無理もない話か。			血に塗れた起源							
ふむ…………彼らは獲物の生命を喰らえないとき、特殊な錬金薬を使って、「飢え」をしのいだらしいな。……その調合法が、こっちの石板に書いてあるぞ！			ふむ…………彼らは獲物の生命を喰らえないとき、特殊な錬金薬を使って、「飢え」をしのいだらしいな。……その調合法が、こっちの石板に書いてあるぞ！			血に塗れた起源							
アリアの症状は、ランバードと酷似している。ならば、この錬金薬も効く可能性が高い……！			アリアの症状は、ランバードと酷似している。ならば、この錬金薬も効く可能性が高い……！			血に塗れた起源							
主な材料は、半結晶状態のエーテルだな。このあたりだと「ウロリス」という魔物の心核から取りだせる。……なるべく大物のヤツがいいようだ。			主な材料は、半結晶状態のエーテルだな。このあたりだと「ウロリス」という魔物の心核から取りだせる。……なるべく大物のヤツがいいようだ。			血に塗れた起源							
ウロリスは、ここギラバニア山岳地帯の東部……「スリーピングストーンズ採石場」あたりに出没する。大物を見つけしだい、狩って心核をいただこう。			ウロリスは、ここギラバニア山岳地帯の東部……「スリーピングストーンズ採石場」あたりに出没する。大物を見つけしだい、狩って心核をいただこう。			血に塗れた起源							
「大物ウロリスの心核」を手に入れたら、「アラガーナ」で落ちあうぞ。ほかにも必要な材料があるが、それはオレが調達しておこう。			「大物ウロリスの心核」を手に入れたら、「アラガーナ」で落ちあうぞ。ほかにも必要な材料があるが、それはオレが調達しておこう。			血に塗れた起源							
え……わたしの症状と関係がありそうな石板が見つかった……？ありがとうございます、先輩……！期待して、次の報せを待つことにします！			え……わたしの症状と関係がありそうな石板が見つかった……？ありがとうございます、先輩……！期待して、次の報せを待つことにします！			血に塗れた起源							
どうだ……？「大物ウロリスの心核」は手に入ったか？			どうだ……？「大物ウロリスの心核」は手に入ったか？			血に塗れた起源							
状態もよさそうだな！オレが狩ったのもあわせて、2体ぶん……調合には充分な量だ。			状態もよさそうだな！オレが狩ったのもあわせて、2体ぶん……調合には充分な量だ。			血に塗れた起源							
ほかの材料も、すでにそろえてある。仕上げは、ウルダハの錬金術師ギルドに依頼しよう。			ほかの材料も、すでにそろえてある。仕上げは、ウルダハの錬金術師ギルドに依頼しよう。			血に塗れた起源							
……アリアも寂しがってるだろう。野暮用はオレにまかせて、お前はひと足早く、イディルシャイアへ戻ってくれ！			……アリアも寂しがってるだろう。野暮用はオレにまかせて、お前はひと足早く、イディルシャイアへ戻ってくれ！			血に塗れた起源							
えっ……わたしの症状を抑える薬が……？材料まで手に入れてくれたんですか！？			えっ……わたしの症状を抑える薬が……？材料まで手に入れてくれたんですか！？			血に塗れた起源							
あとは師匠が帰ってくるのを、待てばいいんですね……？			あとは師匠が帰ってくるのを、待てばいいんですね……？			血に塗れた起源							
……よっ、戻ったぜ！			……よっ、戻ったぜ！			血に塗れた起源							
まずはアリア、この薬を飲め。その間にギラバニアでわかったことを話そう。			まずはアリア、この薬を飲め。その間にギラバニアでわかったことを話そう。			血に塗れた起源							
わ……すごいです……！			わ……すごいです……！			血に塗れた起源							
味はその、何とも言えませんけど……嘘みたいに楽になりました！内側の渇きが、満たされる感じで……先輩、師匠……本当に、何てお礼を言っていいか……！			味はその、何とも言えませんけど……嘘みたいに楽になりました！内側の渇きが、満たされる感じで……先輩、師匠……本当に、何てお礼を言っていいか……！			血に塗れた起源							
その笑顔が、いちばんのお返しさ。だが、そいつは力を補うための薬……あくまで対症療法だ。原因を根本から治してくれるわけじゃない。			その笑顔が、いちばんのお返しさ。だが、そいつは力を補うための薬……あくまで対症療法だ。原因を根本から治してくれるわけじゃない。			血に塗れた起源							
はい……魔力を使い果たしたら、また誰かを襲ってしまうかもしれない……だから修行は禁止ですね？			はい……魔力を使い果たしたら、また誰かを襲ってしまうかもしれない……だから修行は禁止ですね？			血に塗れた起源							
つらいだろうが、いまは耐えてくれ。			つらいだろうが、いまは耐えてくれ。			血に塗れた起源							
わたし……ランバードにつかまっていたときに、妖異の血を移植されたんでしょうか？			わたし……ランバードにつかまっていたときに、妖異の血を移植されたんでしょうか？			血に塗れた起源							
イエロージャケットの記録と照合したが……アリアの失踪から救出までの時間は、実はかなり短い。			イエロージャケットの記録と照合したが……アリアの失踪から救出までの時間は、実はかなり短い。			血に塗れた起源							
しかも大部分は、荷箱で運ばれていた時間……。大がかりな儀式をするヒマはなかった。真相の解明は、これからだな。			しかも大部分は、荷箱で運ばれていた時間……。大がかりな儀式をするヒマはなかった。真相の解明は、これからだな。			血に塗れた起源							
……わたしにも、手伝わせてください！			……わたしにも、手伝わせてください！			血に塗れた起源							
少しでも早く、赤魔道士としての修行に戻りたいんです！先輩の背中を追いかけていた……わたしがわたしでいられた時間を、取り戻すために。			少しでも早く、赤魔道士としての修行に戻りたいんです！先輩の背中を追いかけていた……わたしがわたしでいられた時間を、取り戻すために。			血に塗れた起源							
アリアに何と答える？			アリアに何と答える？			血に塗れた起源							
いっしょにがんばろう			いっしょにがんばろう			血に塗れた起源							
追いつけるかな？			追いつけるかな？			血に塗れた起源							
はいっ！あっ……でも、何をすれば…………？			はいっ！あっ……でも、何をすれば…………？			血に塗れた起源							
フッ……Forenameは容赦ないな。だが、アリアを気づかって立ち止まるようなヤツじゃ、追いかける甲斐も、ないってもんだ！			フッ……Forenameは容赦ないな。だが、アリアを気づかって立ち止まるようなヤツじゃ、追いかける甲斐も、ないってもんだ！			血に塗れた起源							
それじゃ……アリアには文献探しでも手伝ってもらうか。このあたりには、シャーレアン人が残した書物が山とある。			それじゃ……アリアには文献探しでも手伝ってもらうか。このあたりには、シャーレアン人が残した書物が山とある。			血に塗れた起源							
そしてForenameは、技に磨きをかけろ。アリアが修行に戻ったとき、より高い目標でいられるようにな！			そしてForenameは、技に磨きをかけろ。アリアが修行に戻ったとき、より高い目標でいられるようにな！			血に塗れた起源							
雲霧街のヒルダは、冒険者に頼みたいことがあるようだ。			雲霧街のヒルダは、冒険者に頼みたいことがあるようだ。			銃と宝剣							
ヒルダから、神殿騎士団の叙任式における警備の打ち合わせに同席してほしいと頼まれた。イシュガルドの神殿騎士団本部にいる「ミュースカダン」と話そう。			ヒルダから、神殿騎士団の叙任式における警備の打ち合わせに同席してほしいと頼まれた。イシュガルドの神殿騎士団本部にいる「ミュースカダン」と話そう。			銃と宝剣							
ミュースカダンと話した。打ち合わせ中、叙任式に使用する宝剣フルンティングが盗まれたと判明。その捜査に協力することになった。イシュガルドのグランド・ホプロンにいる「警備担当の神殿騎士」と話そう。			ミュースカダンと話した。打ち合わせ中、叙任式に使用する宝剣フルンティングが盗まれたと判明。その捜査に協力することになった。イシュガルドのグランド・ホプロンにいる「警備担当の神殿騎士」と話そう。			銃と宝剣							
警備担当の神殿騎士と話した。彼から潰れた銃弾を受け取った。また話の途中に割り込んできた厚化粧の女貴族から、銃使いの野盗について聞いた。イシュガルドのスカイスチール機工房にいる「ステファニヴィアン」に「潰れた銃弾」を渡そう。			警備担当の神殿騎士と話した。彼から潰れた銃弾を受け取った。また話の途中に割り込んできた厚化粧の女貴族から、銃使いの野盗について聞いた。イシュガルドのスカイスチール機工房にいる「ステファニヴィアン」に「潰れた銃弾」を渡そう。			銃と宝剣							
ステファニヴィアンに潰れた銃弾を渡した。彼でも、潰れた銃弾から有力な情報は得られなかった。クルザス西部高地のヘムロックで「ヒルダ」を探そう。			ステファニヴィアンに潰れた銃弾を渡した。彼でも、潰れた銃弾から有力な情報は得られなかった。クルザス西部高地のヘムロックで「ヒルダ」を探そう。			銃と宝剣							
ヒルダを襲っていた獣を倒し、つけていた革製の首輪を手に入れた。ヘムロックの「ヒルダ」に「革製の首輪」を渡そう。			ヒルダを襲っていた獣を倒し、つけていた革製の首輪を手に入れた。ヘムロックの「ヒルダ」に「革製の首輪」を渡そう。			銃と宝剣							
ヒルダに「革製の首輪」を渡した。イシュガルドの雲霧街にいる「ヒルダ」と話そう。			ヒルダに「革製の首輪」を渡した。イシュガルドの雲霧街にいる「ヒルダ」と話そう。			銃と宝剣							
ヒルダと話した。女貴族から聞いた銃使いの野盗が、宝剣を盗んだ賊の可能性があると判断し、ヒルダはヘムロックの捜索を行うことに決めた。銃士隊による捜索の結果が出るころ、また訪れてみよう。※機工士のレベルが65以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます			ヒルダと話した。女貴族から聞いた銃使いの野盗が、宝剣を盗んだ賊の可能性があると判断し、ヒルダはヘムロックの捜索を行うことに決めた。銃士隊による捜索の結果が出るころ、また訪れてみよう。※機工士のレベルが65以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます			銃と宝剣							
ミュースカダンと話す			ミュースカダンと話す			銃と宝剣							
グランド・ホプロンの警備担当の神殿騎士と話す			グランド・ホプロンの警備担当の神殿騎士と話す			銃と宝剣							
スカイスチール機工房のステファニヴィアンに潰れた銃弾を渡す			スカイスチール機工房のステファニヴィアンに潰れた銃弾を渡す			銃と宝剣							
ヘムロックのヒルダを探す			ヘムロックのヒルダを探す			銃と宝剣							
ヒルダに革製の首輪を渡す			ヒルダに革製の首輪を渡す			銃と宝剣							
雲霧街のヒルダと話す			雲霧街のヒルダと話す			銃と宝剣							
こいつらの訓練は任せておけ。お前が失望しない程度には、仕込んでやるさ。			こいつらの訓練は任せておけ。お前が失望しない程度には、仕込んでやるさ。			銃と宝剣							
よう、Forename。様子を見にきてくれたのかい？			よう、Forename。様子を見にきてくれたのかい？			銃と宝剣							
こっちは順調だが……。まだまだ評価してもらうような段階じゃないな。お前やジョイと比べると、どうにも覚えが悪い。			こっちは順調だが……。まだまだ評価してもらうような段階じゃないな。お前やジョイと比べると、どうにも覚えが悪い。			銃と宝剣							
ははは……手厳しい指南役は置いておいてだ。アンタにちょいと頼みたいことがある。			ははは……手厳しい指南役は置いておいてだ。アンタにちょいと頼みたいことがある。			銃と宝剣							
自警団に大きな仕事が入った。神殿騎士団の叙任式を、警備することになったんだ。……これも面倒くさい「政治」ってヤツでね。			自警団に大きな仕事が入った。神殿騎士団の叙任式を、警備することになったんだ。……これも面倒くさい「政治」ってヤツでね。			銃と宝剣							
神殿騎士団の叙任式は、教皇庁の公式行事だ。その警備を平民がやることで、貴族と平民の融和っていう、変革後の方針を内外に示そうってわけだな。			神殿騎士団の叙任式は、教皇庁の公式行事だ。その警備を平民がやることで、貴族と平民の融和っていう、変革後の方針を内外に示そうってわけだな。			銃と宝剣							
それだけに、失敗すればいろんなところが騒ぎ出す。発足したばかりの銃士隊の進退にも、関わるだろう……って、ルキアが言ってたよ。			それだけに、失敗すればいろんなところが騒ぎ出す。発足したばかりの銃士隊の進退にも、関わるだろう……って、ルキアが言ってたよ。			銃と宝剣							
おっと、話がずれちまったから、本題に戻そう。アンタには、叙任式警備の打ち合わせに同席してほしいんだ。			おっと、話がずれちまったから、本題に戻そう。アンタには、叙任式警備の打ち合わせに同席してほしいんだ。			銃と宝剣							
神殿騎士団側の担当者が、ムカつく野郎でね。何度、あの頭を撃ち抜いてやろうかと……！アタシがブチ切れないよう、その場にいてもらえないか？			神殿騎士団側の担当者が、ムカつく野郎でね。何度、あの頭を撃ち抜いてやろうかと……！アタシがブチ切れないよう、その場にいてもらえないか？			銃と宝剣							
ありがとよ、本当に助かった。あの野郎の名前は「ミュースカダン」。神殿騎士団本部でやる予定だから、よろしくな！			ありがとよ、本当に助かった。あの野郎の名前は「ミュースカダン」。神殿騎士団本部でやる予定だから、よろしくな！			銃と宝剣							
最初の訓練で、魔物と戦わせてみたんだが、倒せはしたものの、これがまた無駄弾の多いこと……。お前やジョイとは大違いだな……。			最初の訓練で、魔物と戦わせてみたんだが、倒せはしたものの、これがまた無駄弾の多いこと……。お前やジョイとは大違いだな……。			銃と宝剣							
指南役の訓練をこなしてると、ときたま、戦神ハルオーネの姿が見えるんだぜ。へへへ……なんでだろうなあ……。			指南役の訓練をこなしてると、ときたま、戦神ハルオーネの姿が見えるんだぜ。へへへ……なんでだろうなあ……。			銃と宝剣							
邪竜狩りの英雄や、機工房の筆頭機工士を基準に、訓練を組み立てるっておかしいだろう……。いや、指南役に直接こんなことは言えないが……。			邪竜狩りの英雄や、機工房の筆頭機工士を基準に、訓練を組み立てるっておかしいだろう……。いや、指南役に直接こんなことは言えないが……。			銃と宝剣							
打ち合わせは、神殿騎士団本部でやる予定だ。……アタシが「ミュースカダン」を撃ちそうになったら、全力で止めてくれよ。			打ち合わせは、神殿騎士団本部でやる予定だ。……アタシが「ミュースカダン」を撃ちそうになったら、全力で止めてくれよ。			銃と宝剣							
おや、貴公は……。			おや、貴公は……。			銃と宝剣							
ソイツはアタシの助言役さ。実力は折り紙つき、経験も実績も飛び抜けた冒険者だ。どこぞの騎士サマよりも、よっぽど信頼できるからね。			ソイツはアタシの助言役さ。実力は折り紙つき、経験も実績も飛び抜けた冒険者だ。どこぞの騎士サマよりも、よっぽど信頼できるからね。			銃と宝剣							
ふん……英雄殿とあれば、否やはない。むしろ、助言役を置かなければ任務を遂行できない、どこぞの平民殿の方を、拒否したいところだ。			ふん……英雄殿とあれば、否やはない。むしろ、助言役を置かなければ任務を遂行できない、どこぞの平民殿の方を、拒否したいところだ。			銃と宝剣							
お、お話し中のところ失礼します！ミュースカダン卿、至急ご報告したいことが……。			お、お話し中のところ失礼します！ミュースカダン卿、至急ご報告したいことが……。			銃と宝剣							
構わん。ここで話せ。			構わん。ここで話せ。			銃と宝剣							
はっ！教皇庁の宝物庫に賊が侵入し、「宝剣フルンティング」が盗まれました！			はっ！教皇庁の宝物庫に賊が侵入し、「宝剣フルンティング」が盗まれました！			銃と宝剣							
宝剣フルンティングってのは、叙任式で使う剣だよ。神殿騎士が「厳重に」警備している宝物庫から、コイツが盗まれるなんて、解せない話だね。			宝剣フルンティングってのは、叙任式で使う剣だよ。神殿騎士が「厳重に」警備している宝物庫から、コイツが盗まれるなんて、解せない話だね。			銃と宝剣							
馬鹿な……宝物庫の扉には鍵が7つ。さらに、昼夜を問わず神殿騎士が歩哨に立っているのだぞ！賊が侵入する隙などないはずだ！			馬鹿な……宝物庫の扉には鍵が7つ。さらに、昼夜を問わず神殿騎士が歩哨に立っているのだぞ！賊が侵入する隙などないはずだ！			銃と宝剣							
歩哨の者は、何者かに昏倒させられたと証言しており、気がついたときには、宝物庫の扉が開け放たれていたとか……。急ぎ調べたところ、宝剣のみが姿を消していたとのことです。			歩哨の者は、何者かに昏倒させられたと証言しており、気がついたときには、宝物庫の扉が開け放たれていたとか……。急ぎ調べたところ、宝剣のみが姿を消していたとのことです。			銃と宝剣							
その間、わずか数分の出来事……手際のよさから、計画的な犯行であることは、間違いないでしょう……。			その間、わずか数分の出来事……手際のよさから、計画的な犯行であることは、間違いないでしょう……。			銃と宝剣							
……宝剣のみ、なくなっただと？いや、それよりも叙任式を前にこの不祥事はまずい。アイメリク総長の権威に傷がつき、また国が荒れかねん……。			……宝剣のみ、なくなっただと？いや、それよりも叙任式を前にこの不祥事はまずい。アイメリク総長の権威に傷がつき、また国が荒れかねん……。			銃と宝剣							
なんとしても、秘密裏に宝剣を奪還せねば。しかし、今動かせる人員は……。			なんとしても、秘密裏に宝剣を奪還せねば。しかし、今動かせる人員は……。			銃と宝剣							
それなら、アタシら銃士隊の出番だな。自警団の中でも、より抜きの精鋭を集めている。口の硬い連中がそろっているから、今回の仕事にはうってつけだ。			それなら、アタシら銃士隊の出番だな。自警団の中でも、より抜きの精鋭を集めている。口の硬い連中がそろっているから、今回の仕事にはうってつけだ。			銃と宝剣							
叙任式は、ウチの銃士隊にとっても晴れ舞台さ。ソイツにケチがつくのを、見過ごせるわけないだろ。それに……アイメリクに貸しを作るのも、悪くない。			叙任式は、ウチの銃士隊にとっても晴れ舞台さ。ソイツにケチがつくのを、見過ごせるわけないだろ。それに……アイメリクに貸しを作るのも、悪くない。			銃と宝剣							
……ふん、勝手にしろ。英雄殿が力を貸してくださるなら、平民の貴様らでも、ある程度の働きはできよう。			……ふん、勝手にしろ。英雄殿が力を貸してくださるなら、平民の貴様らでも、ある程度の働きはできよう。			銃と宝剣							
チッ……クソ貴族め、協力してやるってのに嫌味かよ。			チッ……クソ貴族め、協力してやるってのに嫌味かよ。			銃と宝剣							
……まあいいや、あんな奴よりも宝剣奪還だ。Forename、悪いが協力してくれ。			……まあいいや、あんな奴よりも宝剣奪還だ。Forename、悪いが協力してくれ。			銃と宝剣							
まずはアタシらも、情報を集めよう。ひとまずは、現場を見たヤツへの聞き込み……で、問題ないよな？			まずはアタシらも、情報を集めよう。ひとまずは、現場を見たヤツへの聞き込み……で、問題ないよな？			銃と宝剣							
よし、ちょうど話を聞けそうな心当たりを知ってる。教皇庁突入作戦にも参加した、警備担当の神殿騎士さ。いまなら上層の「グランド・ホプロン」にいるはずだ。			よし、ちょうど話を聞けそうな心当たりを知ってる。教皇庁突入作戦にも参加した、警備担当の神殿騎士さ。いまなら上層の「グランド・ホプロン」にいるはずだ。			銃と宝剣							
宝剣奪還とは、面白い。こういう捜査も、治安維持部隊の任務だ。お前がいれば、銃士隊はいい経験を積めるだろう。			宝剣奪還とは、面白い。こういう捜査も、治安維持部隊の任務だ。お前がいれば、銃士隊はいい経験を積めるだろう。			銃と宝剣							
宝剣奪還ねえ……へへっ、いいじゃねえか！俺も聞き込みを、と思ったんだが、指南役が「お前は訓練だ」とさ……トホホ……。			宝剣奪還ねえ……へへっ、いいじゃねえか！俺も聞き込みを、と思ったんだが、指南役が「お前は訓練だ」とさ……トホホ……。			銃と宝剣							
指南役によると、今の俺たちじゃ足手まとい、だそうだ。だから、初動捜査ってやつは、姐さんとアンタに任せる。			指南役によると、今の俺たちじゃ足手まとい、だそうだ。だから、初動捜査ってやつは、姐さんとアンタに任せる。			銃と宝剣							
指南役たちには、状況を説明しておいたよ。その上で、まずはアタシたちだけで捜査だ。すまねえが、協力よろしくな。			指南役たちには、状況を説明しておいたよ。その上で、まずはアタシたちだけで捜査だ。すまねえが、協力よろしくな。			銃と宝剣							
これはこれは、英雄殿……と、ヒルダ殿。ミュースカダン卿から、お話は聞いておりますよ。			これはこれは、英雄殿……と、ヒルダ殿。ミュースカダン卿から、お話は聞いておりますよ。			銃と宝剣							
あのクソ貴族め、手回しがいいことだ。……悪いが、協力してもらえないか？			あのクソ貴族め、手回しがいいことだ。……悪いが、協力してもらえないか？			銃と宝剣							
ええ、もちろんですとも！まずは、こちらをお受けとりください。			ええ、もちろんですとも！まずは、こちらをお受けとりください。			銃と宝剣							
宝物庫の扉にある7つの鍵は、すべて破壊されていましたが、その鍵穴から、このような金属片が発見されたのです。			宝物庫の扉にある7つの鍵は、すべて破壊されていましたが、その鍵穴から、このような金属片が発見されたのです。			銃と宝剣							
Forename……それ、銃弾じゃないか？着弾の衝撃で変形してるが、間違いない……。……ってことは、犯行に銃が使われたってことか？			Forename……それ、銃弾じゃないか？着弾の衝撃で変形してるが、間違いない……。……ってことは、犯行に銃が使われたってことか？			銃と宝剣							
(-？？？？-)銃ですって！？			(-？？？？-)銃ですって！？			銃と宝剣							
(-厚化粧の女貴族-)いやだわ、また銃絡みの事件ですの？近頃は物騒で、不安になりますわね。これもまた、アイメリク卿のいう改革のせいかしら。			(-厚化粧の女貴族-)いやだわ、また銃絡みの事件ですの？近頃は物騒で、不安になりますわね。これもまた、アイメリク卿のいう改革のせいかしら。			銃と宝剣							
ええと、いきなり出てきてアンタ、いったい……。いや、それよりも「また」銃絡みの事件ってのは、どういう意味か教えてもらえないかい？			ええと、いきなり出てきてアンタ、いったい……。いや、それよりも「また」銃絡みの事件ってのは、どういう意味か教えてもらえないかい？			銃と宝剣							
(-厚化粧の女貴族-)社交界の友人から聞いた話なのですけど、最近、銃を使った野盗が、西部高地に現れたとか。やっと異端者の被害も減りましたのに、恐ろしいですこと。			(-厚化粧の女貴族-)社交界の友人から聞いた話なのですけど、最近、銃を使った野盗が、西部高地に現れたとか。やっと異端者の被害も減りましたのに、恐ろしいですこと。			銃と宝剣							
(-厚化粧の女貴族-)出入りの行商人も、ヘムロックあたりで、銃声を聞いて、肝を冷やしたと言っていましたわ。あぁ、恐ろしや、恐ろしや……。			(-厚化粧の女貴族-)出入りの行商人も、ヘムロックあたりで、銃声を聞いて、肝を冷やしたと言っていましたわ。あぁ、恐ろしや、恐ろしや……。			銃と宝剣							
(-厚化粧の女貴族-)神殿騎士のみなさんには、外交協力もよろしいですが、国内の治安維持を、しっかりとお願いしたいものですわ。では、ごめんあそばせ……。			(-厚化粧の女貴族-)神殿騎士のみなさんには、外交協力もよろしいですが、国内の治安維持を、しっかりとお願いしたいものですわ。では、ごめんあそばせ……。			銃と宝剣							
何だ、あの厚化粧の女貴族は……。聞いてるアタシの顔すら見ずに、神殿騎士に言いたいことを言って、帰っちまった……。			何だ、あの厚化粧の女貴族は……。聞いてるアタシの顔すら見ずに、神殿騎士に言いたいことを言って、帰っちまった……。			銃と宝剣							
