赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
きっとジッカンは、シオサイのところにいるはずです。私も、すぐにサナナさんと「スイの里」へ向かいますので……。			きっとジッカンは、シオサイのところにいるはずです。私も、すぐにサナナさんと「スイの里」へ向かいますので……。			「外」を知るために							
ヒスイが、ジッカン殿とやってきたということは……。ついに、気づかれてしまったのですね……。			ヒスイが、ジッカン殿とやってきたということは……。ついに、気づかれてしまったのですね……。			「外」を知るために							
私のせいで、姫様の願いが潰えるようなことになったら、なんとお詫びしたらいいか……。			私のせいで、姫様の願いが潰えるようなことになったら、なんとお詫びしたらいいか……。			「外」を知るために							
やっとお越しになりましたか、待ちくたびれましたぞ。それにしても……。			やっとお越しになりましたか、待ちくたびれましたぞ。それにしても……。			「外」を知るために							
こうして並ばれると、本当に瓜ふたつですな。わしら官吏も、すっかり騙されておりましたわ……。			こうして並ばれると、本当に瓜ふたつですな。わしら官吏も、すっかり騙されておりましたわ……。			「外」を知るために							
だが……民を謀り、紅玉姫が外を出歩くなど言語道断！姫様とヒスイには、今すぐ本来の務めに戻っていただきます。もちろん、外との交流とやらも打ち切らせていただこう！			だが……民を謀り、紅玉姫が外を出歩くなど言語道断！姫様とヒスイには、今すぐ本来の務めに戻っていただきます。もちろん、外との交流とやらも打ち切らせていただこう！			「外」を知るために							
待ってください……。私への処罰はともかく、交流の件はまったく別の話です！			待ってください……。私への処罰はともかく、交流の件はまったく別の話です！			「外」を知るために							
サナナさんと、Forename様のご尽力により、多くの民が、耐えるしかなかった苦痛を和らげてきました。伝統に固執するだけでは、なし得なかったことです！			サナナさんと、Forename様のご尽力により、多くの民が、耐えるしかなかった苦痛を和らげてきました。伝統に固執するだけでは、なし得なかったことです！			「外」を知るために							
どうか、ジッカンも思い出してください……。そもそも私たちアウラは、草原に暮らす民だったということを。			どうか、ジッカンも思い出してください……。そもそも私たちアウラは、草原に暮らす民だったということを。			「外」を知るために							
それを変えたのは、私たちの先祖が革新的な選択をしたからこそ！彼らが勇気を出してコウジン族と交流し、技術を学んだことで、こうして海中に里を築くことが出来たのではありませんか……。			それを変えたのは、私たちの先祖が革新的な選択をしたからこそ！彼らが勇気を出してコウジン族と交流し、技術を学んだことで、こうして海中に里を築くことが出来たのではありませんか……。			「外」を知るために							
私は為政者として、今こそふたたび変革をすべきと考えました。民に我慢を強いて、消せるはずの悲しみに目を瞑り涙するのは、もう、嫌なのです……！			私は為政者として、今こそふたたび変革をすべきと考えました。民に我慢を強いて、消せるはずの悲しみに目を瞑り涙するのは、もう、嫌なのです……！			「外」を知るために							
それは、詭弁に過ぎませぬ。民が本当に、そうした変化を望んでいるとお思いか。目先の実利に目がくらんでは、その奥の脅威に飲み込まれるのみ！			それは、詭弁に過ぎませぬ。民が本当に、そうした変化を望んでいるとお思いか。目先の実利に目がくらんでは、その奥の脅威に飲み込まれるのみ！			「外」を知るために							
……たしかに、最初は、「外」を恐れていた民も多くおりました。ですが、冒険者殿が納品してくださった品や姫様の言葉を受けて、皆も、考えを改めつつありますぞ……。			……たしかに、最初は、「外」を恐れていた民も多くおりました。ですが、冒険者殿が納品してくださった品や姫様の言葉を受けて、皆も、考えを改めつつありますぞ……。			「外」を知るために							
これも、民ひとりひとりが、真剣にこの里の未来を考えた結果。目の前で品物を手渡してきた相手が「紅玉姫」と知らずとも、民を想う姫様の心は、しかと皆に伝わっております……！			これも、民ひとりひとりが、真剣にこの里の未来を考えた結果。目の前で品物を手渡してきた相手が「紅玉姫」と知らずとも、民を想う姫様の心は、しかと皆に伝わっております……！			「外」を知るために							
ぬうっ……。だが、それも外の恐怖を知らぬゆえに違いない！！			ぬうっ……。だが、それも外の恐怖を知らぬゆえに違いない！！			「外」を知るために							
外が危険だ、危険だ……って二言目にはそればっかだな……。「外」からの代表として、アンタもなんか言ってやんなよ。			外が危険だ、危険だ……って二言目にはそればっかだな……。「外」からの代表として、アンタもなんか言ってやんなよ。			「外」を知るために							
ジッカンに何と言う？			ジッカンに何と言う？			「外」を知るために							
わからないから不安なのだ			わからないから不安なのだ			「外」を知るために							
自分の目で外を見てみれば？			自分の目で外を見てみれば？			「外」を知るために							
……となれば、外を知るところから始めてもらわないとな！ただの知識ではなく、心の底から理解してもらうには、自分の足で「外」へと踏み出すほかないねっ！			……となれば、外を知るところから始めてもらわないとな！ただの知識ではなく、心の底から理解してもらうには、自分の足で「外」へと踏み出すほかないねっ！			「外」を知るために							
おお、言うじゃねえか！確かに……自分の目で「外」を見るのが一番手っ取り早いよなあ！			おお、言うじゃねえか！確かに……自分の目で「外」を見るのが一番手っ取り早いよなあ！			「外」を知るために							
まあ、なんと素晴らしい提案でしょう！おふたりの仰るとおり、直接私たちが外へと赴き、この目で、実際の世界を確かめようではありませんか！			まあ、なんと素晴らしい提案でしょう！おふたりの仰るとおり、直接私たちが外へと赴き、この目で、実際の世界を確かめようではありませんか！			「外」を知るために							
な、何を世迷い言を！姫様はもちろん、高官たる私が危険な目にあったら……！			な、何を世迷い言を！姫様はもちろん、高官たる私が危険な目にあったら……！			「外」を知るために							
その心配は、ご無用。こちらの冒険者殿は、妖異に侵されたヒスイを救うべく、姫様に付き従い、護衛の任を見事に果たされた実績の持ち主です！			その心配は、ご無用。こちらの冒険者殿は、妖異に侵されたヒスイを救うべく、姫様に付き従い、護衛の任を見事に果たされた実績の持ち主です！			「外」を知るために							
お願いです、これが私の最後の我儘……。あなたのその目で見ても、外が脅威しかない世界に映るのなら、私はおとなしく、夢を諦めましょう。			お願いです、これが私の最後の我儘……。あなたのその目で見ても、外が脅威しかない世界に映るのなら、私はおとなしく、夢を諦めましょう。			「外」を知るために							
…………承知いたしました。今の誓い、ゆめゆめ忘れることのなきよう。			…………承知いたしました。今の誓い、ゆめゆめ忘れることのなきよう。			「外」を知るために							
よし、話は決まったな！この辺りで、外と交流するために見るべきところっていったら、やっぱり、様々な国の人間が集まるクガネかねえ。			よし、話は決まったな！この辺りで、外と交流するために見るべきところっていったら、やっぱり、様々な国の人間が集まるクガネかねえ。			「外」を知るために							
わ、私もお供します！姫様の側にお仕えすることが、私の本来の役目ですから！			わ、私もお供します！姫様の側にお仕えすることが、私の本来の役目ですから！			「外」を知るために							
そりゃ構わんが、これだけ大所帯だと、さすがに変装が必要だな。見た目はアウラ・レンとそう変わりねえし……よしっ、アタシがあんたらの服を用立ててやる！			そりゃ構わんが、これだけ大所帯だと、さすがに変装が必要だな。見た目はアウラ・レンとそう変わりねえし……よしっ、アタシがあんたらの服を用立ててやる！			「外」を知るために							
アタシは、この3人を着替えさせてから向かうからよ。「紅玉台場」で待ち合わせといこうぜ。			アタシは、この3人を着替えさせてから向かうからよ。「紅玉台場」で待ち合わせといこうぜ。			「外」を知るために							
クガネまでの付き添い、どうぞよろしくお願いいたします……。			クガネまでの付き添い、どうぞよろしくお願いいたします……。			「外」を知るために							
姫様のこと、どうぞよろしくお願いいたします……。そして、どうかジッカンの目を開いてやってください。			姫様のこと、どうぞよろしくお願いいたします……。そして、どうかジッカンの目を開いてやってください。			「外」を知るために							
よう、待たせたな！3人には、バッチリ着替えてもらったぜ！			よう、待たせたな！3人には、バッチリ着替えてもらったぜ！			「外」を知るために							
これが、異国の装いなのですね。自分がこうした服をまとえる日が来るとは、夢にも思っておりませんでした……。			これが、異国の装いなのですね。自分がこうした服をまとえる日が来るとは、夢にも思っておりませんでした……。			「外」を知るために							
なんだか、脚に布がまとわりつくような……。私たちと違い、常日頃から泳ぐ必要がないから、こうした作りでも問題ないのですね。			なんだか、脚に布がまとわりつくような……。私たちと違い、常日頃から泳ぐ必要がないから、こうした作りでも問題ないのですね。			「外」を知るために							
フンッ、たかが異国の装いでそんな興奮なさるとは……。私は、早く着慣れたスイの服に戻りたいですよ。			フンッ、たかが異国の装いでそんな興奮なさるとは……。私は、早く着慣れたスイの服に戻りたいですよ。			「外」を知るために							
そうですね、私、とてもドキドキしております。紅玉海の外へと出るのは、これが初めてですし……。でも遊びではないのですから、しっかりしないといけませんね。			そうですね、私、とてもドキドキしております。紅玉海の外へと出るのは、これが初めてですし……。でも遊びではないのですから、しっかりしないといけませんね。			「外」を知るために							
どうでしょう……。あなた様から見て、私はクガネの装いを着こなせていますか？服装に合わせて、髪も結ってみたのですが……。			どうでしょう……。あなた様から見て、私はクガネの装いを着こなせていますか？服装に合わせて、髪も結ってみたのですが……。			「外」を知るために							
良かった……。あなた様にそう言っていただけると安心できます。			良かった……。あなた様にそう言っていただけると安心できます。			「外」を知るために							
外と交流をして、有益な品を輸入しようってんなら、クガネの連中が商取引に励んでる様子を見たほうがいいだろう。確か、楽座街ってところが、商店が立ち並ぶ通りのはずだ。			外と交流をして、有益な品を輸入しようってんなら、クガネの連中が商取引に励んでる様子を見たほうがいいだろう。確か、楽座街ってところが、商店が立ち並ぶ通りのはずだ。			「外」を知るために							
承知いたしました……では、「楽座街」へ参るといたしましょう。現地では、よろしくお願いいたします。			承知いたしました……では、「楽座街」へ参るといたしましょう。現地では、よろしくお願いいたします。			「外」を知るために							
あわわ……こんなにも沢山の人、初めて見ましたよ。ちょっと酔いそう……。			あわわ……こんなにも沢山の人、初めて見ましたよ。ちょっと酔いそう……。			「外」を知るために							
これだけ、建物や店構えに趣向を凝らしているのは、通行客の目にとまるようにか……？我々の感覚にはない観点だ……。			これだけ、建物や店構えに趣向を凝らしているのは、通行客の目にとまるようにか……？我々の感覚にはない観点だ……。			「外」を知るために							
くぅ～、この活気、にぎわい！この街にいると、商人としての血が騒ぐよ。			くぅ～、この活気、にぎわい！この街にいると、商人としての血が騒ぐよ。			「外」を知るために							
まあ……なんと活気あふれる街並みでしょう。これほど多くの商店が立ち並んでいる通りは、初めて見ました！			まあ……なんと活気あふれる街並みでしょう。これほど多くの商店が立ち並んでいる通りは、初めて見ました！			「外」を知るために							
私の目が、もっと沢山あればいいのに……！あそこにいるのは、遠方からいらした旅商でしょうか……。どちらを向いても、今まで見たことがない景色ばかりです！			私の目が、もっと沢山あればいいのに……！あそこにいるのは、遠方からいらした旅商でしょうか……。どちらを向いても、今まで見たことがない景色ばかりです！			「外」を知るために							
もうっ、あんなにはしゃいで……。……夢にまで見た異国にいることが嬉しいんでしょうね。			もうっ、あんなにはしゃいで……。……夢にまで見た異国にいることが嬉しいんでしょうね。			「外」を知るために							
ここは繁華街だから、アンタらが目指す国のあり方には、そぐわない部分も大いにあるだろうけどよ……。自分たちがどれだけ井の中の蛙だったか、思い知ったかい？			ここは繁華街だから、アンタらが目指す国のあり方には、そぐわない部分も大いにあるだろうけどよ……。自分たちがどれだけ井の中の蛙だったか、思い知ったかい？			「外」を知るために							
たしかに、いろいろな種族・出身の者がいるようだ。それに、なんと多種多様な品が溢れていることか……。これが……「外」の世界なのだな。			たしかに、いろいろな種族・出身の者がいるようだ。それに、なんと多種多様な品が溢れていることか……。これが……「外」の世界なのだな。			「外」を知るために							
ジッカン、この光景を見ていかがでしょう……。クガネは、様々な国の船が停泊する寄港地。多くの品が各地から集まった結果が、この発展と活気です。			ジッカン、この光景を見ていかがでしょう……。クガネは、様々な国の船が停泊する寄港地。多くの品が各地から集まった結果が、この発展と活気です。			「外」を知るために							
異国の者たちと接する中で、ときには諍いも起きるでしょう。でも、そのエネルギーは、使い方を誤らねば、これだけの発展を生む力ともなるのです！			異国の者たちと接する中で、ときには諍いも起きるでしょう。でも、そのエネルギーは、使い方を誤らねば、これだけの発展を生む力ともなるのです！			「外」を知るために							
……まったく、姫様や彼らの言うとおりでしたな。外の民は、ただ争いを起こすだけの人間ではなさそうだ……。大海に出る勇気を持てば、スイの里は大いに発展するでしょう。			……まったく、姫様や彼らの言うとおりでしたな。外の民は、ただ争いを起こすだけの人間ではなさそうだ……。大海に出る勇気を持てば、スイの里は大いに発展するでしょう。			「外」を知るために							
……しかし、まだひとつ懸念がございます。それが晴れるまでは、交流を支持するわけにはいきません。			……しかし、まだひとつ懸念がございます。それが晴れるまでは、交流を支持するわけにはいきません。			「外」を知るために							
なんだ、まどろっこしいなあ！いったい何だよ、その懸念ってのは。			なんだ、まどろっこしいなあ！いったい何だよ、その懸念ってのは。			「外」を知るために							
私たちは、長らく門戸を閉ざしてきたがゆえに、外と交流するための準備が圧倒的に足りておりません。			私たちは、長らく門戸を閉ざしてきたがゆえに、外と交流するための準備が圧倒的に足りておりません。			「外」を知るために							
今のまま門戸を開いても、より便利な外の品々に押されて、たちまち里の経済は牛耳られてしまうでしょう……。「外に生かされる」状態にならないような対策が必要です。			今のまま門戸を開いても、より便利な外の品々に押されて、たちまち里の経済は牛耳られてしまうでしょう……。「外に生かされる」状態にならないような対策が必要です。			「外」を知るために							
なんだ、そんなことかい！だったら簡単さ、交流が一方通行である必要なんて、どこにもないんだからね！			なんだ、そんなことかい！だったら簡単さ、交流が一方通行である必要なんて、どこにもないんだからね！			「外」を知るために							
アンタらも、外の連中に負けない特産品を持てばいいんだよ！「アウラ・スイここにあり」と知らしめるような逸品をさ！			アンタらも、外の連中に負けない特産品を持てばいいんだよ！「アウラ・スイここにあり」と知らしめるような逸品をさ！			「外」を知るために							
それは素晴らしい提案にございますが……。海底で質素な生活を送ってきた私たちに、特産品が生み出せるでしょうか……。			それは素晴らしい提案にございますが……。海底で質素な生活を送ってきた私たちに、特産品が生み出せるでしょうか……。			「外」を知るために							
なに、いまさら乗りかかった船を降りるもんか。アタシらも一緒に、アイデアや見本くらい捻り出してやるさ！……な、そうだろ？			なに、いまさら乗りかかった船を降りるもんか。アタシらも一緒に、アイデアや見本くらい捻り出してやるさ！……な、そうだろ？			「外」を知るために							
わかった……。お前たちが挑戦している間、姫様の入れ替わりには、目を瞑ろう。だが、結果が出なかったときは……そこまでだぞ。			わかった……。お前たちが挑戦している間、姫様の入れ替わりには、目を瞑ろう。だが、結果が出なかったときは……そこまでだぞ。			「外」を知るために							
ジッカン、ありがとうございます。そして、おふたりにも、なんとお礼を言えばいいか……。あなた方に巡り会えたことは、私の生涯最高の幸せです……！			ジッカン、ありがとうございます。そして、おふたりにも、なんとお礼を言えばいいか……。あなた方に巡り会えたことは、私の生涯最高の幸せです……！			「外」を知るために							
よ、よせやい、まだ何も解決したわけじゃないんだ。そうと決まれば、碧のタマミズに戻って、特産品を考えようぜ！			よ、よせやい、まだ何も解決したわけじゃないんだ。そうと決まれば、碧のタマミズに戻って、特産品を考えようぜ！			「外」を知るために							
……外との交流について、まだ持論を翻すわけにはいかんが、ひとつだけ、お前に礼を言っておく。			……外との交流について、まだ持論を翻すわけにはいかんが、ひとつだけ、お前に礼を言っておく。			「外」を知るために							
私は、姫様が幼少の頃よりお仕えしてきたが、ああして飛び跳ねるように喜ぶ姫様を見たのは、初めてだ。あの笑顔は、お前が引き出したものだ……感謝する。			私は、姫様が幼少の頃よりお仕えしてきたが、ああして飛び跳ねるように喜ぶ姫様を見たのは、初めてだ。あの笑顔は、お前が引き出したものだ……感謝する。			「外」を知るために							
先ほどは、現地への付き添い、ありがとうございました。クガネで話したとおり、里が外とも対等に渡り合えるような、新たな特産品が、次の依頼となります。			先ほどは、現地への付き添い、ありがとうございました。クガネで話したとおり、里が外とも対等に渡り合えるような、新たな特産品が、次の依頼となります。			「外」を知るために							
戻る道中、サナナさんとも話したのですが、この紅玉海で採れる資源と、外の世界の技術が融合したような、品がいいのではないかと……。			戻る道中、サナナさんとも話したのですが、この紅玉海で採れる資源と、外の世界の技術が融合したような、品がいいのではないかと……。			「外」を知るために							
技術は、交流の中で磨くことができるし、海の資源は、海中に住む者しか得ることのできない宝だからね。それらが合わされば、きっと素晴らしい特産品になるはずさ。			技術は、交流の中で磨くことができるし、海の資源は、海中に住む者しか得ることのできない宝だからね。それらが合わされば、きっと素晴らしい特産品になるはずさ。			「外」を知るために							
問題は、海中のどんな資源を特産品とするかだな。外の世界と対等に渡り合えるだけの値打ち物となると……宝石や装飾品とか……？			問題は、海中のどんな資源を特産品とするかだな。外の世界と対等に渡り合えるだけの値打ち物となると……宝石や装飾品とか……？			「外」を知るために							
そうですね……この海底にも、光り物ならば存在します。ただ、「外」の方々が目を向けるような物ではありません。			そうですね……この海底にも、光り物ならば存在します。ただ、「外」の方々が目を向けるような物ではありません。			「外」を知るために							
たとえば、真珠や海底にて産する結晶などですね。とはいえ近頃は、生活の糧を得ることにのみ力を注いでおり、まれに、漁網にかかっているのを見かける程度ですが……。			たとえば、真珠や海底にて産する結晶などですね。とはいえ近頃は、生活の糧を得ることにのみ力を注いでおり、まれに、漁網にかかっているのを見かける程度ですが……。			「外」を知るために							
…………ん？そりゃあ、立派な値打ち物じゃねえか……！？			…………ん？そりゃあ、立派な値打ち物じゃねえか……！？			「外」を知るために							
そうなのですか！？たしかに、美しい物だとは思いますが、クガネで見た、きらびやかな品々に勝るとは……。			そうなのですか！？たしかに、美しい物だとは思いますが、クガネで見た、きらびやかな品々に勝るとは……。			「外」を知るために							
そっか、暗い海底で見ているから、わからないんだな。明るい太陽の下でなら、そうした宝石の光は、100倍……いや、1000倍にもなって輝くんだ！			そっか、暗い海底で見ているから、わからないんだな。明るい太陽の下でなら、そうした宝石の光は、100倍……いや、1000倍にもなって輝くんだ！			「外」を知るために							
そこにForenameの技術が加われば、きっと、誰もが一目置く特産品が生み出せるだろう。「外」の連中も、スイの里に一目置くこと間違いなしさ！			そこにForenameの技術が加われば、きっと、誰もが一目置く特産品が生み出せるだろう。「外」の連中も、スイの里に一目置くこと間違いなしさ！			「外」を知るために							
まあ……おかげさまで、希望が見えてまいりました！あとは、あなた様の腕前を信じるだけ。里の新たな特産品となる品を、どうかお願いいたします……！			まあ……おかげさまで、希望が見えてまいりました！あとは、あなた様の腕前を信じるだけ。里の新たな特産品となる品を、どうかお願いいたします……！			「外」を知るために							
サカズキ島のユウスイは、紅玉台場に用があるようだ。			サカズキ島のユウスイは、紅玉台場に用があるようだ。			黒い関係							
紅玉台場のイカルガと話す			紅玉台場のイカルガと話す			黒い関係							
逃亡した防人と話し襲われたら討伐			逃亡した防人と話し襲われたら討伐			黒い関係							
イカルガに報告			イカルガに報告			黒い関係							
お前、紅玉台場って知ってるか？あそこは、ひんがしの国の幕府が作った砲台でな、防人たちが、大陸を牽制するため詰めてるんだ。			お前、紅玉台場って知ってるか？あそこは、ひんがしの国の幕府が作った砲台でな、防人たちが、大陸を牽制するため詰めてるんだ。			黒い関係							
先日、拿捕した船に、そこの防人が乗っていてな。軽くシメてやったところ、上役に命じられて、紅甲羅のコウジン族と取引していたと、ゲロったんだ。			先日、拿捕した船に、そこの防人が乗っていてな。軽くシメてやったところ、上役に命じられて、紅甲羅のコウジン族と取引していたと、ゲロったんだ。			黒い関係							
帆別銭を払わずに、海を渡ろうなんざ、見過ごせねえ！なんとしてもヤツの上役から帆別銭を取り立てたいが、連中、帝国の圧力に屈して、俺らとの交流を断ってやがる。			帆別銭を払わずに、海を渡ろうなんざ、見過ごせねえ！なんとしてもヤツの上役から帆別銭を取り立てたいが、連中、帝国の圧力に屈して、俺らとの交流を断ってやがる。			黒い関係							
そこにきて、俺らが紅玉台場に乗り込んだ日にゃ、大筒が火を噴くのは、火を見るより明らかだろ？			そこにきて、俺らが紅玉台場に乗り込んだ日にゃ、大筒が火を噴くのは、火を見るより明らかだろ？			黒い関係							
すまないが、俺の代わりに紅玉台場に赴いて、「イカルガ」という男から、黒幕の探りを入れてくれんか？昔馴染みだから、取り合ってくれるはずさ。			すまないが、俺の代わりに紅玉台場に赴いて、「イカルガ」という男から、黒幕の探りを入れてくれんか？昔馴染みだから、取り合ってくれるはずさ。			黒い関係							
紅玉台場の「イカルガ」に、黒幕について探りを入れてみてくれ。			紅玉台場の「イカルガ」に、黒幕について探りを入れてみてくれ。			黒い関係							
ふむ、防人がひとり、海賊衆の世話になっていると？なるほど、続け様に脱走兵が出て騒ぎになっていたのだが、密輸の首謀者が、手下の不手際に勘付き、逃亡したというわけか。			ふむ、防人がひとり、海賊衆の世話になっていると？なるほど、続け様に脱走兵が出て騒ぎになっていたのだが、密輸の首謀者が、手下の不手際に勘付き、逃亡したというわけか。			黒い関係							
無断での異人との取引など、許されるものではない。紅甲羅と通じていたとなれば、取引先を頼るため、北西へと逃げたはず……。			無断での異人との取引など、許されるものではない。紅甲羅と通じていたとなれば、取引先を頼るため、北西へと逃げたはず……。			黒い関係							
すぐに追いたいが、上の許可なく持ち場を離れるわけにもいかん。すまないが、代わりに「逃亡した防人」を探してほしい。抵抗するようなら、斬って捨てて構わんぞ。			すぐに追いたいが、上の許可なく持ち場を離れるわけにもいかん。すまないが、代わりに「逃亡した防人」を探してほしい。抵抗するようなら、斬って捨てて構わんぞ。			黒い関係							
すぐに追いたいが、上の許可なく持ち場を離れるわけにもいかん。すまないが、代わりに「逃亡した防人」を探してほしい。抵抗するようなら、斬って捨てて構わんぞ。			すぐに追いたいが、上の許可なく持ち場を離れるわけにもいかん。すまないが、代わりに「逃亡した防人」を探してほしい。抵抗するようなら、斬って捨てて構わんぞ。			黒い関係							
おぬし、もしや追手か……！？だが、捕まるつもりはない！コウジン族に渡りを付ければ、俺は……！			おぬし、もしや追手か……！？だが、捕まるつもりはない！コウジン族に渡りを付ければ、俺は……！			黒い関係							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			黒い関係							
なんとか、黒幕を探し出してくれよ。			なんとか、黒幕を探し出してくれよ。			黒い関係							
そうか、抵抗されたので倒したか……。我らの不始末で迷惑をかけたな。かたじけない。			そうか、抵抗されたので倒したか……。我らの不始末で迷惑をかけたな。かたじけない。			黒い関係							
ユウスイには、こちらから報告しておこう。堂々とは接触できぬが投げ文くらいなら、どうにかできる。やれやれ、昔のように海賊衆と話ができれば楽なものを……。			ユウスイには、こちらから報告しておこう。堂々とは接触できぬが投げ文くらいなら、どうにかできる。やれやれ、昔のように海賊衆と話ができれば楽なものを……。			黒い関係							
サカズキ島のヒウンは、興奮した顔で周りを見渡している。			サカズキ島のヒウンは、興奮した顔で周りを見渡している。			鬼が咳							
赤熱した溶岩を入手			赤熱した溶岩を入手			鬼が咳							
ヒウンに赤熱した溶岩を渡す			ヒウンに赤熱した溶岩を渡す			鬼が咳							
お前も、鬼が咳き込んだのを見たか？このあたりじゃ、獄之蓋の噴火をこういうんだ。いつも以上に激しくて、俺もおったまげたぜ……。			お前も、鬼が咳き込んだのを見たか？このあたりじゃ、獄之蓋の噴火をこういうんだ。いつも以上に激しくて、俺もおったまげたぜ……。			鬼が咳							
だが、いつまでも腰抜かしてるわけにもいかねえ。若い衆をかき集めて、溶岩集めに行かねえと！			だが、いつまでも腰抜かしてるわけにもいかねえ。若い衆をかき集めて、溶岩集めに行かねえと！			鬼が咳							
なあ、腕に覚えがあるなら、お前も手伝ってくれないか？魔物と溶岩の熱気に満ちた過酷な場所から、生きて戻ってこれる猛者は貴重なもんでね！			なあ、腕に覚えがあるなら、お前も手伝ってくれないか？魔物と溶岩の熱気に満ちた過酷な場所から、生きて戻ってこれる猛者は貴重なもんでね！			鬼が咳							
溶岩集めの道具なら、一式貸してやる。さあ、獄之蓋に行って、「赤熱した溶岩」を壺に詰めてきてくれ。くれぐれも、火傷には気をつけろよ！			溶岩集めの道具なら、一式貸してやる。さあ、獄之蓋に行って、「赤熱した溶岩」を壺に詰めてきてくれ。くれぐれも、火傷には気をつけろよ！			鬼が咳							
獄之蓋で、「赤熱した溶岩」を壺に詰めてきてくれ。くれぐれも、火傷には気をつけろよ！			獄之蓋で、「赤熱した溶岩」を壺に詰めてきてくれ。くれぐれも、火傷には気をつけろよ！			鬼が咳							
おお、無事に帰ってきたか！？噴火直後の獄之蓋は、さぞかし暑かっただろ？「赤熱した溶岩」は、首尾よく集められたか？			おお、無事に帰ってきたか！？噴火直後の獄之蓋は、さぞかし暑かっただろ？「赤熱した溶岩」は、首尾よく集められたか？			鬼が咳							
おっ、上出来じゃねえか！あんな過酷な場所で、溶岩を集められるとは、流石だな！			おっ、上出来じゃねえか！あんな過酷な場所で、溶岩を集められるとは、流石だな！			鬼が咳							
ん？この赤熱した溶岩を、どう使うのか気になるのか？			ん？この赤熱した溶岩を、どう使うのか気になるのか？			鬼が咳							
昔から、獄之蓋で採れた溶岩で、鋼を鍛えれば、鬼さえも一刀両断にできる業物に仕上がると言われてるんだ。俺たち海賊衆には、切れ味抜群の業物が欠かせないからな！			昔から、獄之蓋で採れた溶岩で、鋼を鍛えれば、鬼さえも一刀両断にできる業物に仕上がると言われてるんだ。俺たち海賊衆には、切れ味抜群の業物が欠かせないからな！			鬼が咳							
いや～お前のおかげで、助かったぜ！ほら、世話になった礼だ、持っていけ。			いや～お前のおかげで、助かったぜ！ほら、世話になった礼だ、持っていけ。			鬼が咳							
サカズキ島のシホジは、頼みたいことがあるようだ。			サカズキ島のシホジは、頼みたいことがあるようだ。			生涯現役							
トビザメからトビザメの肝を入手			トビザメからトビザメの肝を入手			生涯現役							
シホジにトビザメの肝を渡す			シホジにトビザメの肝を渡す			生涯現役							
なあ、ねえちゃんあんちゃん。この島の北側にいる「トビザメ」から、「トビザメの肝」を3つほど採ってきちゃくんねぇか？			なあ、ねえちゃんあんちゃん。この島の北側にいる「トビザメ」から、「トビザメの肝」を3つほど採ってきちゃくんねぇか？			生涯現役							
どうしても入用なんだが、寄る年波には勝てなくてな。うまいこと仕留められねえもんだから、頼むよ。もちろん駄賃はくれてやるからよ！			どうしても入用なんだが、寄る年波には勝てなくてな。うまいこと仕留められねえもんだから、頼むよ。もちろん駄賃はくれてやるからよ！			生涯現役							
この島の北側にいる「トビザメ」から、「トビザメの肝」を3つほど採ってきちゃくんねぇか？もちろん駄賃はくれてやるから、頼むよ！			この島の北側にいる「トビザメ」から、「トビザメの肝」を3つほど採ってきちゃくんねぇか？もちろん駄賃はくれてやるから、頼むよ！			生涯現役							
「トビザメの肝」は、用意できたか？			「トビザメの肝」は、用意できたか？			生涯現役							
ひゃ～恩に着るぜ！こいつで、肝油を作るんだ。			ひゃ～恩に着るぜ！こいつで、肝油を作るんだ。			生涯現役							
肝油ってのは、昔から目にいいって言われててな。紅玉台場の防人の泣き面も見える、オレの自慢の眼力に、なくてはならない商売道具ってわけさ。			肝油ってのは、昔から目にいいって言われててな。紅玉台場の防人の泣き面も見える、オレの自慢の眼力に、なくてはならない商売道具ってわけさ。			生涯現役							
海賊衆は、死ぬまで現役だからな！足腰じゃあ若造にかなわなくなったって、見張り番の座は、あと20年は譲ってたまるかってんだ！			海賊衆は、死ぬまで現役だからな！足腰じゃあ若造にかなわなくなったって、見張り番の座は、あと20年は譲ってたまるかってんだ！			生涯現役							
紅玉台場のハヤマは、怯えているようだ。			紅玉台場のハヤマは、怯えているようだ。			不気味な鬼火							
指定地点で見渡して不気味な鬼火が現れたら討伐			指定地点で見渡して不気味な鬼火が現れたら討伐			不気味な鬼火							
ハヤマと話す			ハヤマと話す			不気味な鬼火							
ヒイッ！い、いきなり話しかけるんじゃない！こちとら見張りという大切な務めを果たしているんだぞって……			ヒイッ！い、いきなり話しかけるんじゃない！こちとら見張りという大切な務めを果たしているんだぞって……			不気味な鬼火							
むむっ、よく見れば腕が立ちそうだな。実に好都合だ、貴様……サカズキ島の東の浜まで行って、「不気味な鬼火」の正体を確かめて来い！			むむっ、よく見れば腕が立ちそうだな。実に好都合だ、貴様……サカズキ島の東の浜まで行って、「不気味な鬼火」の正体を確かめて来い！			不気味な鬼火							
