アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
……ただ、ひとつ思いだしたことがある。むかしランバードが、やけに熱心に読んでいた書物のことだ。			……ただ、ひとつ思いだしたことがある。むかしランバードが、やけに熱心に読んでいた書物のことだ。			夜の血族							
あいにく書名は忘れたんだが……。イシュガルドで異端者として処刑された、猟奇殺人鬼の手記でな。特異な呪術を用いて、儀式殺人をくりかえした罪状らしい。			あいにく書名は忘れたんだが……。イシュガルドで異端者として処刑された、猟奇殺人鬼の手記でな。特異な呪術を用いて、儀式殺人をくりかえした罪状らしい。			夜の血族							
当時は、悪趣味なヤツだと眉をひそめていたが……いま思うと「特異な呪術」というのがひっかかる。ヤツはこの本から、秘術のヒントを得たんじゃないか？			当時は、悪趣味なヤツだと眉をひそめていたが……いま思うと「特異な呪術」というのがひっかかる。ヤツはこの本から、秘術のヒントを得たんじゃないか？			夜の血族							
な、なんだか恐ろしい本ですね……。でも手がかりになるかもしれないのなら、その本を探してみます！			な、なんだか恐ろしい本ですね……。でも手がかりになるかもしれないのなら、その本を探してみます！			夜の血族							
ただ、そいつは稀覯本(きこうぼん)……滅多に出まわらない本だ。貴重なお宝となりゃ、宝探しの専門家に聞くのがいいだろう。			ただ、そいつは稀覯本(きこうぼん)……滅多に出まわらない本だ。貴重なお宝となりゃ、宝探しの専門家に聞くのがいいだろう。			夜の血族							
Forename……トレジャーハンターの「ミッドナイト・デュー」は知ってるな？彼女のところへ、アリアと向かってくれないか？			Forename……トレジャーハンターの「ミッドナイト・デュー」は知ってるな？彼女のところへ、アリアと向かってくれないか？			夜の血族							
オレも別のルートを探ってみよう。案外、ロウェナ商会に入荷していたりしないモンかな……？			オレも別のルートを探ってみよう。案外、ロウェナ商会に入荷していたりしないモンかな……？			夜の血族							
先輩！この方が、ミッドナイト・デューさんですよね……？			先輩！この方が、ミッドナイト・デューさんですよね……？			夜の血族							
よう、アンタかい。え…………そっちの娘が、異端者の手記を探してる？ははぁん……顔に似合わず、物騒な趣味してるねえ……。			よう、アンタかい。え…………そっちの娘が、異端者の手記を探してる？ははぁん……顔に似合わず、物騒な趣味してるねえ……。			夜の血族							
何だ、「真紅のシ・ルン・ティア」の差し金かい。イシュガルドの異端者……猟奇殺人の本…………ああっ！			何だ、「真紅のシ・ルン・ティア」の差し金かい。イシュガルドの異端者……猟奇殺人の本…………ああっ！			夜の血族							
それ、トレジャーハンターの間で噂になってる本だよ！「グブラ幻想図書館」の狂想禁書庫で、見かけたってヤツがいる。たしか「夜の血族」って言ったかね……。			それ、トレジャーハンターの間で噂になってる本だよ！「グブラ幻想図書館」の狂想禁書庫で、見かけたってヤツがいる。たしか「夜の血族」って言ったかね……。			夜の血族							
書いたのは、自分は魔性の一族とかいう妄想に憑かれた殺人鬼で、日記とも、創作とも、魔術書ともつかない手記だそうだよ。			書いたのは、自分は魔性の一族とかいう妄想に憑かれた殺人鬼で、日記とも、創作とも、魔術書ともつかない手記だそうだよ。			夜の血族							
先輩……きっと探してる本ですよね！「ロウェナ総合文化会館」へ戻って、師匠に確かめましょう。			先輩……きっと探してる本ですよね！「ロウェナ総合文化会館」へ戻って、師匠に確かめましょう。			夜の血族							
ありがとうございました、ミッドナイト・デューさん！			ありがとうございました、ミッドナイト・デューさん！			夜の血族							
ちょうど、師匠も戻ってたみたいです……！ミッドナイト・デューさんに聞いたこと、報告しましょう。			ちょうど、師匠も戻ってたみたいです……！ミッドナイト・デューさんに聞いたこと、報告しましょう。			夜の血族							
ん、探してる本の書名がわかった？「夜の血族」……そうだ、その本だ！			ん、探してる本の書名がわかった？「夜の血族」……そうだ、その本だ！			夜の血族							
著者は、魔性の生まれを自称する殺人鬼か……怪しいな。イシュガルドでは異端者あつかいだろうが、ランバードと同じ、秘術に手を染めた魔道士だったとも考えられる。			著者は、魔性の生まれを自称する殺人鬼か……怪しいな。イシュガルドでは異端者あつかいだろうが、ランバードと同じ、秘術に手を染めた魔道士だったとも考えられる。			夜の血族							
「グブラ幻想図書館」の禁書庫か。シャーレアン人がここを去ってからは、入ったことがないが……。			「グブラ幻想図書館」の禁書庫か。シャーレアン人がここを去ってからは、入ったことがないが……。			夜の血族							
…………ほう、行ったことがあるって？そんじゃひとつ、案内してもらうとするか。			…………ほう、行ったことがあるって？そんじゃひとつ、案内してもらうとするか。			夜の血族							
ふむ……館内は、シャーレアン人が残した番人が暴れてると？とすると、アリアは留守番だな。強敵と出くわしたら、魔法を使ってしまうかもしれん。			ふむ……館内は、シャーレアン人が残した番人が暴れてると？とすると、アリアは留守番だな。強敵と出くわしたら、魔法を使ってしまうかもしれん。			夜の血族							
はい……先輩も師匠も、どうか気をつけて。			はい……先輩も師匠も、どうか気をつけて。			夜の血族							
……Forename、さっそく低地ドラヴァニアへ向かうぞ。めざすは、もちろん「グブラ幻想図書館」だ！			……Forename、さっそく低地ドラヴァニアへ向かうぞ。めざすは、もちろん「グブラ幻想図書館」だ！			夜の血族							
「夜の血族」……いったい、どんな本なんでしょうか……？			「夜の血族」……いったい、どんな本なんでしょうか……？			夜の血族							
そんじゃ、いきますか……目的はひとつ。狂想禁書庫で目撃されたという、禁書「夜の血族」の入手だ。			そんじゃ、いきますか……目的はひとつ。狂想禁書庫で目撃されたという、禁書「夜の血族」の入手だ。			夜の血族							
ランバードが読んでいたのは、「革表紙の書物」だった……。それらしい本を、片っ端から確認していくぞ！			ランバードが読んでいたのは、「革表紙の書物」だった……。それらしい本を、片っ端から確認していくぞ！			夜の血族							
図書館っていうより、魔窟だな……。この奥に、めざす狂想禁書庫があるんだな？			図書館っていうより、魔窟だな……。この奥に、めざす狂想禁書庫があるんだな？			夜の血族							
……ったく、守護者だか何だか知らないが、シャーレアンの連中も、面倒なモンを残してくれたぜ！			……ったく、守護者だか何だか知らないが、シャーレアンの連中も、面倒なモンを残してくれたぜ！			夜の血族							
この先が、狂想禁書庫だな……！もうひと踏ん張りだ……いくぞ、Forename！			この先が、狂想禁書庫だな……！もうひと踏ん張りだ……いくぞ、Forename！			夜の血族							
ここが狂想禁書庫か……！よし、目的の「夜の血族」を探そう。			ここが狂想禁書庫か……！よし、目的の「夜の血族」を探そう。			夜の血族							
(-『断罪の騎士』-)第六星暦960年代のこと、クルザスのとある教会にて、司祭が斬殺される事件が起きた。下手人の名はトリファニエル、平民出身の騎士であった。			(-『断罪の騎士』-)第六星暦960年代のこと、クルザスのとある教会にて、司祭が斬殺される事件が起きた。下手人の名はトリファニエル、平民出身の騎士であった。			夜の血族							
(-『断罪の騎士』-)件の司祭が悪霊祓いと称し、貧民の幼子を連れ込んで、背徳的な行為を行っていたのを目撃し、剣で斬り伏せたのだ。これぞ真の正義であり、腐敗した正教を断罪する光と言えよう！			(-『断罪の騎士』-)件の司祭が悪霊祓いと称し、貧民の幼子を連れ込んで、背徳的な行為を行っていたのを目撃し、剣で斬り伏せたのだ。これぞ真の正義であり、腐敗した正教を断罪する光と言えよう！			夜の血族							
(-『健全な宗教画名作選』-)女神たちの緻密すぎる絵画が載っている。男神が収録されていない理由は、推して知るべし……。			(-『健全な宗教画名作選』-)女神たちの緻密すぎる絵画が載っている。男神が収録されていない理由は、推して知るべし……。			夜の血族							
(-『アルカナの惨劇』-)「アルカナの惨劇」は、ソーン朝時代にウルダハを震撼させ、十数名に及ぶ犠牲者を出し、迷宮入りとなった連続殺人である。遺体には占星術などで用いられる「アルカナ」が添えられていた。			(-『アルカナの惨劇』-)「アルカナの惨劇」は、ソーン朝時代にウルダハを震撼させ、十数名に及ぶ犠牲者を出し、迷宮入りとなった連続殺人である。遺体には占星術などで用いられる「アルカナ」が添えられていた。			夜の血族							
(-『アルカナの惨劇』-)犯人はアルカナ占いによって標的を決めていたとされるが、犠牲者のなかには、宮廷抗争にかかわる要人も含まれていた。そのため、無差別殺人を装った暗殺だとする説もある。			(-『アルカナの惨劇』-)犯人はアルカナ占いによって標的を決めていたとされるが、犠牲者のなかには、宮廷抗争にかかわる要人も含まれていた。そのため、無差別殺人を装った暗殺だとする説もある。			夜の血族							
(-『闇に葬られた聖女』-)インクがかすれていて、よく読めない……。			(-『闇に葬られた聖女』-)インクがかすれていて、よく読めない……。			夜の血族							
(-『ある彫金師の日記』-)今日は、黒衣森に向かった。常連客であるダルタンクール家のアマンディヌお嬢様から、邸宅に立ち寄るように依頼されたからだ。			(-『ある彫金師の日記』-)今日は、黒衣森に向かった。常連客であるダルタンクール家のアマンディヌお嬢様から、邸宅に立ち寄るように依頼されたからだ。			夜の血族							
(-『ある彫金師の日記』-)そして、新作を手に訪れたハウケタ御用邸にて、私は知ってしまった……。究極の美とは、いかなるものなのかを……。			(-『ある彫金師の日記』-)そして、新作を手に訪れたハウケタ御用邸にて、私は知ってしまった……。究極の美とは、いかなるものなのかを……。			夜の血族							
……そいつは目的の本じゃない。オレたちが探しているのは、「夜の血族」だ。			……そいつは目的の本じゃない。オレたちが探しているのは、「夜の血族」だ。			夜の血族							
これも違うな……。ゆっくり読んでいるヒマはない、次を探すぞ。			これも違うな……。ゆっくり読んでいるヒマはない、次を探すぞ。			夜の血族							
出たな、禁書庫の番人め！Forename、まずはコイツをやっつけるぞ！			出たな、禁書庫の番人め！Forename、まずはコイツをやっつけるぞ！			夜の血族							
仲間を呼ぶつもりだ！魔紋に乗って、召喚を邪魔してやれ！			仲間を呼ぶつもりだ！魔紋に乗って、召喚を邪魔してやれ！			夜の血族							
だいぶ効いてるぞ！もう少しだ、Forename！			だいぶ効いてるぞ！もう少しだ、Forename！			夜の血族							
フン……オレたちの手にかかれば、こんなモンだな！ん……番人のヤツ、腹に禁書を隠してたみたいだぞ？			フン……オレたちの手にかかれば、こんなモンだな！ん……番人のヤツ、腹に禁書を隠してたみたいだぞ？			夜の血族							
(-『夜の血族』-)我は血の供儀が産みし、魔性の一族の末裔なり。我はこの書を、闇夜に生を受けし我が同胞……「夜の血族」たちに向けて記す。			(-『夜の血族』-)我は血の供儀が産みし、魔性の一族の末裔なり。我はこの書を、闇夜に生を受けし我が同胞……「夜の血族」たちに向けて記す。			夜の血族							
(-『夜の血族』-)司祭どもは我を殺人鬼に仕立て、我が言葉を妄言と呼ぶだろう。しかし、これから記すことは、すべて魔術的な真実であり、彼らの教義こそ虚構である……。			(-『夜の血族』-)司祭どもは我を殺人鬼に仕立て、我が言葉を妄言と呼ぶだろう。しかし、これから記すことは、すべて魔術的な真実であり、彼らの教義こそ虚構である……。			夜の血族							
「夜の血族」……！間違いない、探してた本はコイツだ！			「夜の血族」……！間違いない、探してた本はコイツだ！			夜の血族							
……これさえ手に入れれば、長居は無用だ。こんな紙魚（しみ）くさい場所、さっさとおいとまするぞ！			……これさえ手に入れれば、長居は無用だ。こんな紙魚（しみ）くさい場所、さっさとおいとまするぞ！			夜の血族							
こんな場所で…………不覚を取るとはッ……！			こんな場所で…………不覚を取るとはッ……！			夜の血族							
すごいです……ついに、禁書を見つけたんですね！あれっ…………でも、師匠は？まだ、図書館の方にいるんでしょうか……？			すごいです……ついに、禁書を見つけたんですね！あれっ…………でも、師匠は？まだ、図書館の方にいるんでしょうか……？			夜の血族							
Forename、ごくろうさん！案内してくれて助かったぜ。手に入れた「夜の血族」を見せてくれるか？			Forename、ごくろうさん！案内してくれて助かったぜ。手に入れた「夜の血族」を見せてくれるか？			夜の血族							
……たしかに「魔性の一族」を称する殺人鬼の手記のようだ。当時は、異端者の妄言で片づけられただろうが……どうやらこの男の魔術知識は、本物だぞ。			……たしかに「魔性の一族」を称する殺人鬼の手記のようだ。当時は、異端者の妄言で片づけられただろうが……どうやらこの男の魔術知識は、本物だぞ。			夜の血族							
手記自体が、邪法の指南書になっている。やはりランバードは、この書から肉体強化の知識を得たんだ！			手記自体が、邪法の指南書になっている。やはりランバードは、この書から肉体強化の知識を得たんだ！			夜の血族							
それだけじゃない……。知りたかったことが、この禁書にあらかた記されているようだ……！イディルシャイアへ戻って、アリアを交えて話すとしよう。			それだけじゃない……。知りたかったことが、この禁書にあらかた記されているようだ……！イディルシャイアへ戻って、アリアを交えて話すとしよう。			夜の血族							
先輩、おかえりなさい！「夜の血族」……ついに手に入ったんですね。			先輩、おかえりなさい！「夜の血族」……ついに手に入ったんですね。			夜の血族							
いましがた、「夜の血族」を読み終えた。気が重くなるような事実がわかったが……アリアがもとに戻るための希望も、見つかったぞ！			いましがた、「夜の血族」を読み終えた。気が重くなるような事実がわかったが……アリアがもとに戻るための希望も、見つかったぞ！			夜の血族							
だからふたりとも、最後までオレの話を聞いてほしい。まずは、禁書の著者のことだが……。			だからふたりとも、最後までオレの話を聞いてほしい。まずは、禁書の著者のことだが……。			夜の血族							
えっと、つまり……「夜の血族」を書いたのは、ただの殺人鬼じゃなくて、古の魔法に通じた魔道士だった、ということですか？			えっと、つまり……「夜の血族」を書いたのは、ただの殺人鬼じゃなくて、古の魔法に通じた魔道士だった、ということですか？			夜の血族							
そう……100年ほど前のイシュガルドで、古代マハの妖異召喚から赤魔法まで、あらゆる秘術の文献を渉猟し、独学で実践におよんだ怪人物だ。			そう……100年ほど前のイシュガルドで、古代マハの妖異召喚から赤魔法まで、あらゆる秘術の文献を渉猟し、独学で実践におよんだ怪人物だ。			夜の血族							
そしてこの男の血筋には、秘密があった。彼は、異界から召喚した大妖異「リリス」の血を注入した、マハの大魔道士の子孫だったんだ……！			そしてこの男の血筋には、秘密があった。彼は、異界から召喚した大妖異「リリス」の血を注入した、マハの大魔道士の子孫だったんだ……！			夜の血族							
妖異の血の移植は、マハの大魔道士の一族が始めた邪法。赤魔道士たちはこれを禁じ手としたという話は、前にしたな？……だがそれは、遅きに失した。			妖異の血の移植は、マハの大魔道士の一族が始めた邪法。赤魔道士たちはこれを禁じ手としたという話は、前にしたな？……だがそれは、遅きに失した。			夜の血族							
リリスの血はすでに、大魔道士の子孫に広がっていたんだ！他者の生命を吸って生きる彼らは、闇夜に生を受けし者……「夜の血族」と呼ばれた。			リリスの血はすでに、大魔道士の子孫に広がっていたんだ！他者の生命を吸って生きる彼らは、闇夜に生を受けし者……「夜の血族」と呼ばれた。			夜の血族							
ここからが、話の核心だ。死んだランバードも……そしておそらくは……アリア、お前もリリスの血を宿す一族の末裔だ。			ここからが、話の核心だ。死んだランバードも……そしておそらくは……アリア、お前もリリスの血を宿す一族の末裔だ。			夜の血族							
「夜の血族」の著者は、カロワイズという一族の出身。ランバードの名字も、これと同じ。			「夜の血族」の著者は、カロワイズという一族の出身。ランバードの名字も、これと同じ。			夜の血族							
そこで、あらためて調べたんだが……アリアの母方の系譜に、カロワイズの名が含まれていた……。偶然の一致とは思えない。			そこで、あらためて調べたんだが……アリアの母方の系譜に、カロワイズの名が含まれていた……。偶然の一致とは思えない。			夜の血族							
わたしに…………大妖異の血が？			わたしに…………大妖異の血が？			夜の血族							
アリアの魔法適性は、黒魔法の系統に偏っていたが……それもリリスの血がなせるわざだ。そう……あのランバードも、そういうタイプだった。			アリアの魔法適性は、黒魔法の系統に偏っていたが……それもリリスの血がなせるわざだ。そう……あのランバードも、そういうタイプだった。			夜の血族							
ヤツは、新たに妖異の血を移植したのではなく、持っていた力を覚醒させたんだ。……禁書には、未来の血族のためにと、その秘術も記されていた。			ヤツは、新たに妖異の血を移植したのではなく、持っていた力を覚醒させたんだ。……禁書には、未来の血族のためにと、その秘術も記されていた。			夜の血族							
わたしも、秘術を施されたんでしょうか……？			わたしも、秘術を施されたんでしょうか……？			夜の血族							
それは考えにくい……かなり手のかかる術だからな。「赤魔道士の証」を手にしたことで、その血が覚醒したか、だな。			それは考えにくい……かなり手のかかる術だからな。「赤魔道士の証」を手にしたことで、その血が覚醒したか、だな。			夜の血族							
しかしランバードですら、十数年の歳月を要したのに、アリアの場合は、瞬く間に力が目覚めた……。			しかしランバードですら、十数年の歳月を要したのに、アリアの場合は、瞬く間に力が目覚めた……。			夜の血族							
フン……資質の差、か。しかもそのきっかけが、「抗う力」を手にしたことだとすれば、ヤツの言ったとおり、あまりにも皮肉な定めだ……。			フン……資質の差、か。しかもそのきっかけが、「抗う力」を手にしたことだとすれば、ヤツの言ったとおり、あまりにも皮肉な定めだ……。			夜の血族							
……が、悪い報せはここまでだ！妖異の血の「呪い」を解く方法は、ある！			……が、悪い報せはここまでだ！妖異の血の「呪い」を解く方法は、ある！			夜の血族							
リリスは異界から、「依代」となるこちら側の生物に、魂を憑依させることで、物質界に召喚されたわけだが……			リリスは異界から、「依代」となるこちら側の生物に、魂を憑依させることで、物質界に召喚されたわけだが……			夜の血族							
初代カロワイズはリリスと契約を結び、その血を移植すると、すぐに相手を魔法の匣(はこ)に封じた。……閉じ込めて、リリスが異界へ戻ることを阻止したのさ。			初代カロワイズはリリスと契約を結び、その血を移植すると、すぐに相手を魔法の匣(はこ)に封じた。……閉じ込めて、リリスが異界へ戻ることを阻止したのさ。			夜の血族							
そうまでして、リリスを物質界に留めておかないと、妖異の血もまた、効力を失うからっていう理屈らしい。アリア…………このことが、何を意味するかわかるか？			そうまでして、リリスを物質界に留めておかないと、妖異の血もまた、効力を失うからっていう理屈らしい。アリア…………このことが、何を意味するかわかるか？			夜の血族							
えっと…………リリスが物質界から消えれば、わたしに流れる妖異の血も、力を失うってことですよね……？			えっと…………リリスが物質界から消えれば、わたしに流れる妖異の血も、力を失うってことですよね……？			夜の血族							
あっ……だったらその匣を見つけて、大妖異リリスを倒せば……！			あっ……だったらその匣を見つけて、大妖異リリスを倒せば……！			夜の血族							
そう……呪われた血も、力を失うってわけだ！			そう……呪われた血も、力を失うってわけだ！			夜の血族							
リリスは「妖異の女王」とも呼ばれ、人の手には余る大妖異。だが召喚者はその力を恐れ、依代にあえて弱い魔物を選んだらしい。不完全な状態なら、オレたちだけでも勝機はある……！			リリスは「妖異の女王」とも呼ばれ、人の手には余る大妖異。だが召喚者はその力を恐れ、依代にあえて弱い魔物を選んだらしい。不完全な状態なら、オレたちだけでも勝機はある……！			夜の血族							
「夜の血族」の著者は当時、リリスの匣の所在をつかんでいた。ことによると、生前に手に入れていた可能性すらある……！その足取りを追うのが、早道だろう。			「夜の血族」の著者は当時、リリスの匣の所在をつかんでいた。ことによると、生前に手に入れていた可能性すらある……！その足取りを追うのが、早道だろう。			夜の血族							
やっと希望が見えてきたぞ……！次の行動にそなえて、ゆっくり疲れを癒してくれ。			やっと希望が見えてきたぞ……！次の行動にそなえて、ゆっくり疲れを癒してくれ。			夜の血族							
雲霧街のヒルダは、冒険者にヘムロックの調査結果を報告したいようだ。			雲霧街のヒルダは、冒険者にヘムロックの調査結果を報告したいようだ。			強襲、銃士隊							
銃士隊の調査により、宝剣フルンティングの売買契約書らしき物が発見された。その契約書に名前が載っていた商人がクルザス入りしたため、銃士隊で監視することになった。クルザス中央高地の巨石の丘付近にいる「ヒルダ」と合流しよう。			銃士隊の調査により、宝剣フルンティングの売買契約書らしき物が発見された。その契約書に名前が載っていた商人がクルザス入りしたため、銃士隊で監視することになった。クルザス中央高地の巨石の丘付近にいる「ヒルダ」と合流しよう。			強襲、銃士隊							
ヒルダと合流した。監視中の商人が、誰かと商談しているようで、状況を偵察することになった。巨石の丘の「シム」と話そう。			ヒルダと合流した。監視中の商人が、誰かと商談しているようで、状況を偵察することになった。巨石の丘の「シム」と話そう。			強襲、銃士隊							
シムと話した。偵察により確信を得たヒルダは、商人と野盗の取引現場に突入。商人と野盗の頭目を逃したものの、宝剣フルンティングの奪還に成功した。クルザス中央高地に向かおう。			シムと話した。偵察により確信を得たヒルダは、商人と野盗の取引現場に突入。商人と野盗の頭目を逃したものの、宝剣フルンティングの奪還に成功した。クルザス中央高地に向かおう。			強襲、銃士隊							
ウデスタンたちは、追っていた野盗の頭目に逃げられてしまったようだ。巨石の丘の「ロスティンスタル」と話そう。			ウデスタンたちは、追っていた野盗の頭目に逃げられてしまったようだ。巨石の丘の「ロスティンスタル」と話そう。			強襲、銃士隊							
ロスティンスタルと話した。彼は野盗の使っていた銃について何か気がついたらしく、調べてみるそうだ。雲霧街の「ヒルダ」と話そう。			ロスティンスタルと話した。彼は野盗の使っていた銃について何か気がついたらしく、調べてみるそうだ。雲霧街の「ヒルダ」と話そう。			強襲、銃士隊							
雲霧街のヒルダと話した。ロスティンスタルの調査結果がわかるころに、また顔を出してみよう。※機工士のレベルが68以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます			雲霧街のヒルダと話した。ロスティンスタルの調査結果がわかるころに、また顔を出してみよう。※機工士のレベルが68以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます			強襲、銃士隊							
巨石の丘付近のヒルダと合流			巨石の丘付近のヒルダと合流			強襲、銃士隊							
シムと話す			シムと話す			強襲、銃士隊							
ロスティンスタルと話す			ロスティンスタルと話す			強襲、銃士隊							
雲霧街のヒルダと話す			雲霧街のヒルダと話す			強襲、銃士隊							
銃士隊を援護して野盗を倒せ			銃士隊を援護して野盗を倒せ			強襲、銃士隊							
ヘムロックがらみの調査は、俺が面倒を見よう。この際だ、バラクーダ騎士団仕込みの捜査術を、じっくり教えてやるさ。			ヘムロックがらみの調査は、俺が面倒を見よう。この際だ、バラクーダ騎士団仕込みの捜査術を、じっくり教えてやるさ。			強襲、銃士隊							
どうやら、アンタを失望させずに済みそうだ。ヘムロック近辺の調査で発見した焚き火跡から、焼け残った紙切れを発見したんだが、驚きの内容でね。			どうやら、アンタを失望させずに済みそうだ。ヘムロック近辺の調査で発見した焚き火跡から、焼け残った紙切れを発見したんだが、驚きの内容でね。			強襲、銃士隊							
リムサ・ロミンサの商人に対して、「歴史的に価値の高い名剣」を売り渡す契約書だったのさ。これ、どう考えても宝剣フルンティングのことだろ。			リムサ・ロミンサの商人に対して、「歴史的に価値の高い名剣」を売り渡す契約書だったのさ。これ、どう考えても宝剣フルンティングのことだろ。			強襲、銃士隊							
相手の商人は、霊災以降、急速に業績を伸ばした貿易商だ。きな臭い噂は聞いていたが、盗品売買に手を染めていたとはな……。			相手の商人は、霊災以降、急速に業績を伸ばした貿易商だ。きな臭い噂は聞いていたが、盗品売買に手を染めていたとはな……。			強襲、銃士隊							
で、ソイツが、国境付近の網に引っかかった。宝剣の持ち出しを警戒していた神殿騎士団のお手柄だよ。クルザス入りしたあとは、巨石の丘へ向かったみたいだ。			で、ソイツが、国境付近の網に引っかかった。宝剣の持ち出しを警戒していた神殿騎士団のお手柄だよ。クルザス入りしたあとは、巨石の丘へ向かったみたいだ。			強襲、銃士隊							
どうだい、発見した契約書の真実味が増すってもんだろ？だから、アタシらで商人の行動を監視して、取引相手……犯人たちが現れたら、その首根っこを押さえるつもりさ。			どうだい、発見した契約書の真実味が増すってもんだろ？だから、アタシらで商人の行動を監視して、取引相手……犯人たちが現れたら、その首根っこを押さえるつもりさ。			強襲、銃士隊							
でだ、ここからが本題。その作戦に、アンタと指南役も参加してもらえないか？			でだ、ここからが本題。その作戦に、アンタと指南役も参加してもらえないか？			強襲、銃士隊							
待て、その要請は俺も初耳だぞ。お前たちへの指南は請け負ったが、強制捜査の手伝いなんざ、受けた覚えはない！			待て、その要請は俺も初耳だぞ。お前たちへの指南は請け負ったが、強制捜査の手伝いなんざ、受けた覚えはない！			強襲、銃士隊							
アタシは、手伝えなんて一言も言ってないよ。やってほしいのは、現場での指南さ。……ま、自衛する必要はあるかもしれないけどな。			アタシは、手伝えなんて一言も言ってないよ。やってほしいのは、現場での指南さ。……ま、自衛する必要はあるかもしれないけどな。			強襲、銃士隊							
ったく、口だけは達者だな……。まあ海都がらみの不祥事でもあるし、手伝ってやるか。Forename、お前も付き合え。			ったく、口だけは達者だな……。まあ海都がらみの不祥事でもあるし、手伝ってやるか。Forename、お前も付き合え。			強襲、銃士隊							
よし、これで百人力だ！準備が整ったら、巨石の丘近くで合流しよう。よろしく頼んだよ、ふたりとも！			よし、これで百人力だ！準備が整ったら、巨石の丘近くで合流しよう。よろしく頼んだよ、ふたりとも！			強襲、銃士隊							
実戦でどこまでやれるか、確認する必要もあったしな、これも給料のうちだと、諦めてやるか。まあ、俺とお前がいるなら、滅多なことにはならんだろう。			実戦でどこまでやれるか、確認する必要もあったしな、これも給料のうちだと、諦めてやるか。まあ、俺とお前がいるなら、滅多なことにはならんだろう。			強襲、銃士隊							
へへへっ……銃士隊としての初の実戦だ。腕が鳴るぜ！			へへへっ……銃士隊としての初の実戦だ。腕が鳴るぜ！			強襲、銃士隊							
穏便に済めばいいが、どう考えても鉄火場になるだろう。指南役にしごかれた結果、どこまでやれるか確かめてみるさ。			穏便に済めばいいが、どう考えても鉄火場になるだろう。指南役にしごかれた結果、どこまでやれるか確かめてみるさ。			強襲、銃士隊							
アタシらの士気は十分さ。「イシュガルド銃士隊」の実力を、存分に見せつけてやるよ。さあ、準備が終わったら、巨石の丘で合流だ。			アタシらの士気は十分さ。「イシュガルド銃士隊」の実力を、存分に見せつけてやるよ。さあ、準備が終わったら、巨石の丘で合流だ。			強襲、銃士隊							
このあと、強制捜査になる可能性は高い。得物の最終確認は、しっかりやっておけ。			このあと、強制捜査になる可能性は高い。得物の最終確認は、しっかりやっておけ。			強襲、銃士隊							
べ、べ別に、きき緊張なんてしてねーし。ここここ、こいつは、む、武者震いってヤツだからな！			べ、べ別に、きき緊張なんてしてねーし。ここここ、こいつは、む、武者震いってヤツだからな！			強襲、銃士隊							
雲霧街での鉄火場とは、雰囲気が違う。柄にもなく、緊張している……。			雲霧街での鉄火場とは、雰囲気が違う。柄にもなく、緊張している……。			強襲、銃士隊							
……当たりだよ、Forename。この先で、件の商人が、誰かと取引してやがる。相手は宝剣窃盗犯だろうが……状況を確認しておきたいな。			……当たりだよ、Forename。この先で、件の商人が、誰かと取引してやがる。相手は宝剣窃盗犯だろうが……状況を確認しておきたいな。			強襲、銃士隊							
シム。お前はもうひとり連れて、偵察に行ってこい。宝剣の取引が確認できたら、突入して確保するよ！			シム。お前はもうひとり連れて、偵察に行ってこい。宝剣の取引が確認できたら、突入して確保するよ！			強襲、銃士隊							
念のためだ。Forename、シムの偵察に同行して支援を頼む。			念のためだ。Forename、シムの偵察に同行して支援を頼む。			強襲、銃士隊							
悪いね、Forename。シムがしくじったら、容赦なく尻を引っぱたいてくれ。			悪いね、Forename。シムがしくじったら、容赦なく尻を引っぱたいてくれ。			強襲、銃士隊							
偵察に出た「シム」を頼む……。しくじったときは、容赦なく尻を引っぱたいてくれ。			偵察に出た「シム」を頼む……。しくじったときは、容赦なく尻を引っぱたいてくれ。			強襲、銃士隊							
……武者震いはなんとか治まったぜ。大丈夫、アイツらを確認すればいいんだろ？あの訓練を乗りこえた俺ならやれるさ。			……武者震いはなんとか治まったぜ。大丈夫、アイツらを確認すればいいんだろ？あの訓練を乗りこえた俺ならやれるさ。			強襲、銃士隊							
……しかし、よろしかったのですかな？「教皇庁から譲り受けた名剣」は、発注元へ納品する予定だと、記憶しておりましたが。			……しかし、よろしかったのですかな？「教皇庁から譲り受けた名剣」は、発注元へ納品する予定だと、記憶しておりましたが。			強襲、銃士隊							
ああ、そのはずだったんだがな。納品したはいいが、先方の手違いだってんで返品よ。物が物だけに処分に困ったが、お前なら扱えるだろ？			ああ、そのはずだったんだがな。納品したはいいが、先方の手違いだってんで返品よ。物が物だけに処分に困ったが、お前なら扱えるだろ？			強襲、銃士隊							
ええ、ええ、私とお客様の仲ですから、最大限、お勉強させていただきますとも！			ええ、ええ、私とお客様の仲ですから、最大限、お勉強させていただきますとも！			強襲、銃士隊							
……うっす……「教皇庁から譲り受けた名剣」だと……。宝剣は取引相手が腰に差してました……はい……。了解っす。			……うっす……「教皇庁から譲り受けた名剣」だと……。宝剣は取引相手が腰に差してました……はい……。了解っす。			強襲、銃士隊							
