シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			本当の自分							
今の俺たちの役目は、有り体に言えば「世界の平和を護ること」だ。なら……見届けなくちゃだろ？			今の俺たちの役目は、有り体に言えば「世界の平和を護ること」だ。なら……見届けなくちゃだろ？			みんなのために							
無論、こいつの人となりをよく見た上で協力を了承してる。ウリエンジェ以上にわかりにくいが、この王子様は意外と……。			無論、こいつの人となりをよく見た上で協力を了承してる。ウリエンジェ以上にわかりにくいが、この王子様は意外と……。			みんなのために							
っ……おしゃべりは結構です！早く先へ進みますよ！			っ……おしゃべりは結構です！早く先へ進みますよ！			みんなのために							
待って。ふたりにひとつだけ聞かせて。			待って。ふたりにひとつだけ聞かせて。			みんなのために							
コーナ王子は、ウクラマトと王位を争う相手。その協力者ということは、私たちともやり合うつもり……そう思っていていいのよね？			コーナ王子は、ウクラマトと王位を争う相手。その協力者ということは、私たちともやり合うつもり……そう思っていていいのよね？			みんなのために							
協力すると決めた以上、ほかの陣営に戦友がいようと、一切の手を抜くつもりはない。			協力すると決めた以上、ほかの陣営に戦友がいようと、一切の手を抜くつもりはない。			みんなのために							
お前たちも、そのつもりでくるんだな。			お前たちも、そのつもりでくるんだな。			みんなのために							
上等じゃない！			上等じゃない！			みんなのために							
あれ、船に乗るんじゃ……			あれ、船に乗るんじゃ……			みんなのために							
ラマチたちが船を選んだということは、ほかも然り。逃げ場の少ない水上で争うのは、リスクがある。効率的に考えたまでさ。			ラマチたちが船を選んだということは、ほかも然り。逃げ場の少ない水上で争うのは、リスクがある。効率的に考えたまでさ。			みんなのために							
正直、船は嫌だけど……			正直、船は嫌だけど……			みんなのために							
アタシは、このルートを選んだエレンヴィルを信じる！			アタシは、このルートを選んだエレンヴィルを信じる！			みんなのために							
プヌティーの扱いは、俺に任せてくれ。ただ、野生生物に襲われたら制御しきれなくなる可能性がある。なるべくプヌティーから引き離して、甲板で撃退してくれるか？			プヌティーの扱いは、俺に任せてくれ。ただ、野生生物に襲われたら制御しきれなくなる可能性がある。なるべくプヌティーから引き離して、甲板で撃退してくれるか？			みんなのために							
となると、私たちは甲板で待機することになるが……誰かひとりくらいは、万が一に備えて、操舵席の方でエレンヴィルとプヌティーを護衛すべきかな。			となると、私たちは甲板で待機することになるが……誰かひとりくらいは、万が一に備えて、操舵席の方でエレンヴィルとプヌティーを護衛すべきかな。			みんなのために							
私は甲板へ……。ピクトマンサーとしての力を試させてほしいの。			私は甲板へ……。ピクトマンサーとしての力を試させてほしいの。			みんなのために							
ちゃんと戦えるってところ、この機会に証明してみせるわ！			ちゃんと戦えるってところ、この機会に証明してみせるわ！			みんなのために							
では、クルルさんは彼と一緒に甲板に……。			では、クルルさんは彼と一緒に甲板に……。			みんなのために							
では、クルルさんは彼女と一緒に甲板に……。			では、クルルさんは彼女と一緒に甲板に……。			みんなのために							
そういうことなら、私がエレンヴィルの護衛に回るわよ。アルフィノよりは、咄嗟に動きやすいはずだし。			そういうことなら、私がエレンヴィルの護衛に回るわよ。アルフィノよりは、咄嗟に動きやすいはずだし。			みんなのために							
頼む、こっちは戦いは苦手なんでね。			頼む、こっちは戦いは苦手なんでね。			みんなのために							
では、私は状況に合わせて、不足している役に回らせてもらうよ。			では、私は状況に合わせて、不足している役に回らせてもらうよ。			みんなのために							
アタシだって、それぐらいやってやるぜ！			アタシだって、それぐらいやってやるぜ！			みんなのために							
とにかく、作戦は決まったな。準備ができたら、船に乗りこんでくれ。			とにかく、作戦は決まったな。準備ができたら、船に乗りこんでくれ。			みんなのために							
(-戦のバクージャジャ-)ゲッグッグッグ……			(-戦のバクージャジャ-)ゲッグッグッグ……			みんなのために							
(-戦のバクージャジャ-)さあ、狩りを始めるぜェ！			(-戦のバクージャジャ-)さあ、狩りを始めるぜェ！			みんなのために							
どうする？			どうする？			みんなのために							
話す			話す			みんなのために							
パーティを編成して突入			パーティを編成して突入			みんなのために							
キャンセル			キャンセル			みんなのために							
たとえ危険が待ち受けていようとも、こんなところで立ち止まってらんねぇぜ！			たとえ危険が待ち受けていようとも、こんなところで立ち止まってらんねぇぜ！			みんなのために							
コーナ王子の言うとおり、逃げ場のない水上では無防備にならざるを得ない。何が起こってもいいよう、十分に注意を払いながら進もう。			コーナ王子の言うとおり、逃げ場のない水上では無防備にならざるを得ない。何が起こってもいいよう、十分に注意を払いながら進もう。			みんなのために							
良い機会だから、あなたにも見てほしいの。私の修行の成果を……ね！			良い機会だから、あなたにも見てほしいの。私の修行の成果を……ね！			みんなのために							
この小舟を使って、プヌティーの引く船に乗り込むぞ。			この小舟を使って、プヌティーの引く船に乗り込むぞ。			みんなのために							
コーナ王子はリスクを考慮して川上りを断念したけど、ほかの継承候補者たちは、どうかしらね……。			コーナ王子はリスクを考慮して川上りを断念したけど、ほかの継承候補者たちは、どうかしらね……。			みんなのために							
一時はどうなるかと思ったけど、合流できてよかったわ。			一時はどうなるかと思ったけど、合流できてよかったわ。			みんなのために							
おたくらが通ってきたという洞窟は、かつてヨカフイ族が金を掘り出すために使ってたものだ。この辺には、結構残ってるらしい。			おたくらが通ってきたという洞窟は、かつてヨカフイ族が金を掘り出すために使ってたものだ。この辺には、結構残ってるらしい。			みんなのために							
ガイドはありがてぇんだけどよ……ウッ……まだ陸地に着かねぇのか……！			ガイドはありがてぇんだけどよ……ウッ……まだ陸地に着かねぇのか……！			みんなのために							
ずいぶん川を上ってきたし、もう着くはずだ。その証拠に……あれを見ろ。			ずいぶん川を上ってきたし、もう着くはずだ。その証拠に……あれを見ろ。			みんなのために							
遠くからでもすごかったが、間近で見ると、改めてその迫力に圧倒されるね。			遠くからでもすごかったが、間近で見ると、改めてその迫力に圧倒されるね。			みんなのために							
いいから……早く降ろして……。			いいから……早く降ろして……。			みんなのために							
ウゥ……もう限界……			ウゥ……もう限界……			みんなのために							
大丈夫……じゃないわよね……。			大丈夫……じゃないわよね……。			みんなのために							
無理もない。私たちですら、だいぶ体力を消耗したくらいだ。			無理もない。私たちですら、だいぶ体力を消耗したくらいだ。			みんなのために							
この近くに、簡易的な山小屋がある。「翼なき姉弟の大階段」を上ってきた連中が休む場所だが、俺たちが使っても問題ないはずだ。			この近くに、簡易的な山小屋がある。「翼なき姉弟の大階段」を上ってきた連中が休む場所だが、俺たちが使っても問題ないはずだ。			みんなのために							
では、そこを目指して歩こうか。			では、そこを目指して歩こうか。			みんなのために							
ウクラマト、もう少し頑張れるかい？無理なようなら、ここで休憩を挟んでもいいが……			ウクラマト、もう少し頑張れるかい？無理なようなら、ここで休憩を挟んでもいいが……			みんなのために							
ちくしょう……。			ちくしょう……。			みんなのために							
王女として、民を引っ張らなきゃいけねぇアタシが、何度もこんな醜態を晒して……情けねぇ……！			王女として、民を引っ張らなきゃいけねぇアタシが、何度もこんな醜態を晒して……情けねぇ……！			みんなのために							
ウクラマトさん……。			ウクラマトさん……。			みんなのために							
……悪い、弱音を吐いちまって。アタシなら、もう大丈夫だ。ゆっくりあとを追いかけるから、先に行っててくれ。			……悪い、弱音を吐いちまって。アタシなら、もう大丈夫だ。ゆっくりあとを追いかけるから、先に行っててくれ。			みんなのために							
わかった。でもこれだけは言わせて。			わかった。でもこれだけは言わせて。			みんなのために							
王女だからって、次代の王を目指す立場だからって、つらいことや苦しいこと全部、ひとりで抱える必要なんてない。私たちでよければ、いつでも聞くからね。			王女だからって、次代の王を目指す立場だからって、つらいことや苦しいこと全部、ひとりで抱える必要なんてない。私たちでよければ、いつでも聞くからね。			みんなのために							
クルル……だけどよ……。			クルル……だけどよ……。			みんなのために							
ウクラマトに何と言う？			ウクラマトに何と言う？			みんなのために							
誰だって弱さを見せていいんだ！			誰だって弱さを見せていいんだ！			みんなのために							
継承の儀を勝つためにも吐きだしておけ			継承の儀を勝つためにも吐きだしておけ			みんなのために							
お前まで……。			お前まで……。			みんなのために							
いいのか……？ずっと誰にも知られないように、抱えてきたってのに……。			いいのか……？ずっと誰にも知られないように、抱えてきたってのに……。			みんなのために							
少し、時間をくれねぇか……。聞いてもらいてぇ話があるんだ。			少し、時間をくれねぇか……。聞いてもらいてぇ話があるんだ。			みんなのために							
ええ、もちろん。			ええ、もちろん。			みんなのために							
準備ができたら、追いついてこい。この先の山小屋で待ってる。			準備ができたら、追いついてこい。この先の山小屋で待ってる。			みんなのために							
ずっと、誰にも言えなかったんだ。迷ったときも、苦しいときも……。それがオヤジの名に恥じぬ生き方だと思ってたから。			ずっと、誰にも言えなかったんだ。迷ったときも、苦しいときも……。それがオヤジの名に恥じぬ生き方だと思ってたから。			みんなのために							
だけどお前らが、聞いてくれるって言うなら……アタシ、話したい。			だけどお前らが、聞いてくれるって言うなら……アタシ、話したい。			みんなのために							
その前に、アルフィノたちに追いつかねぇとな。たしか、北の方に向かって歩いていったはずだ。			その前に、アルフィノたちに追いつかねぇとな。たしか、北の方に向かって歩いていったはずだ。			みんなのために							
いざ自分のことを話すとなると、なんか緊張するな……。			いざ自分のことを話すとなると、なんか緊張するな……。			みんなのために							
ここは「朋友の灯火」と言ってな。大階段を上ってきた行商人なんかが休むための山小屋だ。			ここは「朋友の灯火」と言ってな。大階段を上ってきた行商人なんかが休むための山小屋だ。			みんなのために							
ここなら、ウクラマトさんの話をじっくり聞けそうね。			ここなら、ウクラマトさんの話をじっくり聞けそうね。			みんなのために							
ハヌハヌ族の集落があった森と打って変わって、こっち側は色彩豊かな植物が多いのね。			ハヌハヌ族の集落があった森と打って変わって、こっち側は色彩豊かな植物が多いのね。			みんなのために							
今日はここで休むとしよう。			今日はここで休むとしよう。			みんなのために							
先を急ぎたくなる気持ちもわかるが、過酷な船旅で疲れているのは、皆同じさ。			先を急ぎたくなる気持ちもわかるが、過酷な船旅で疲れているのは、皆同じさ。			みんなのために							
なら、泊まる支度をしよう。火起こしから食料の調達まで、やることは多い。分担して取りかかるぞ。			なら、泊まる支度をしよう。火起こしから食料の調達まで、やることは多い。分担して取りかかるぞ。			みんなのために							
ウクラマトの奴、やっと迷いがなくなったようだな。			ウクラマトの奴、やっと迷いがなくなったようだな。			みんなのために							
ゆっくり話ができて何よりだったわ。今のウクラマトさん、良い顔をしているもの。			ゆっくり話ができて何よりだったわ。今のウクラマトさん、良い顔をしているもの。			みんなのために							
他者を導く立場として、相応しくあらねば……その重責は、私も僅かながらわかっているつもりだよ。故に、少しでもウクラマトの支えになりたいと思っている。			他者を導く立場として、相応しくあらねば……その重責は、私も僅かながらわかっているつもりだよ。故に、少しでもウクラマトの支えになりたいと思っている。			みんなのために							
アルパカが怖かろうが、乗り物酔いが酷かろうが良いのよ。ウクラマトがウクラマトである理由に、そんなことは関係ないんだから。			アルパカが怖かろうが、乗り物酔いが酷かろうが良いのよ。ウクラマトがウクラマトである理由に、そんなことは関係ないんだから。			みんなのために							
今日ここで、お前らと話せて良かった。おかげで、胸の中でモヤモヤしてたもんが、すーっと消えていったぜ。			今日ここで、お前らと話せて良かった。おかげで、胸の中でモヤモヤしてたもんが、すーっと消えていったぜ。			みんなのために							
これからアタシがどう変わっていくか、この先の旅をとおして、見届けてくれよ。			これからアタシがどう変わっていくか、この先の旅をとおして、見届けてくれよ。			みんなのために							
「濁流遡上 イフイカ・トゥム」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			「濁流遡上 イフイカ・トゥム」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			みんなのために							
エーテライト・プラザの目を輝かせた少女が、何やら熱弁している。			エーテライト・プラザの目を輝かせた少女が、何やら熱弁している。			ピルグリム・トラバースの目覚め							
目を輝かせた少女と、母親らしき女性の会話を立ち聞きした。クリスタリウムのホルトリウム園芸館で「フーア族らしきもの」を探そう。			目を輝かせた少女と、母親らしき女性の会話を立ち聞きした。クリスタリウムのホルトリウム園芸館で「フーア族らしきもの」を探そう。			ピルグリム・トラバースの目覚め							
フーア族のインク＝ダエンと出会い、その主たるフェオ＝ウルから依頼を受けた。イル・メグのヴォレクドルフにいる「インク＝ダエン」と話そう。			フーア族のインク＝ダエンと出会い、その主たるフェオ＝ウルから依頼を受けた。イル・メグのヴォレクドルフにいる「インク＝ダエン」と話そう。			ピルグリム・トラバースの目覚め							
インク＝ダエンから光耀教会について聞いた。イル・メグのダメルン巡礼教会跡にいる「オセ＝ウィド」と話そう。			インク＝ダエンから光耀教会について聞いた。イル・メグのダメルン巡礼教会跡にいる「オセ＝ウィド」と話そう。			ピルグリム・トラバースの目覚め							
オセ＝ウィドたちと問題の現場を見た。ヴォレクドルフの「インク＝ダエン」と話そう。			オセ＝ウィドたちと問題の現場を見た。ヴォレクドルフの「インク＝ダエン」と話そう。			ピルグリム・トラバースの目覚め							
インク＝ダエンと方針の確認をした。ヴォレクドルフの「ヴァンサウ」と話そう。			インク＝ダエンと方針の確認をした。ヴォレクドルフの「ヴァンサウ」と話そう。			ピルグリム・トラバースの目覚め							
ヴァンサウに準備ができたことを告げ、ピルグリム・トラバースに踏み込めるようになった。騒動の原因と思しき存在を排除するまで、知恵と力、そして運をふるって巡礼路を進んでいこう！			ヴァンサウに準備ができたことを告げ、ピルグリム・トラバースに踏み込めるようになった。騒動の原因と思しき存在を排除するまで、知恵と力、そして運をふるって巡礼路を進んでいこう！			ピルグリム・トラバースの目覚め							
フーア族らしきものを探す			フーア族らしきものを探す			ピルグリム・トラバースの目覚め							
ヴォレクドルフのインク＝ダエンと話す			ヴォレクドルフのインク＝ダエンと話す			ピルグリム・トラバースの目覚め							
オセ＝ウィドと話す			オセ＝ウィドと話す			ピルグリム・トラバースの目覚め							
インク＝ダエンと話す			インク＝ダエンと話す			ピルグリム・トラバースの目覚め							
ヴァンサウと話す			ヴァンサウと話す			ピルグリム・トラバースの目覚め							
クエスト「ピルグリム・トラバースの目覚め」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			クエスト「ピルグリム・トラバースの目覚め」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			ピルグリム・トラバースの目覚め							
「死者の宮殿」を開放していない場合は、グリダニア：新市街で受注できるクエスト、「奇異なる地下迷宮」を進めましょう！			「死者の宮殿」を開放していない場合は、グリダニア：新市街で受注できるクエスト、「奇異なる地下迷宮」を進めましょう！			ピルグリム・トラバースの目覚め							
ああ、ごめんなさい、煩かったかしら。もう行きますから、ご心配なく……！			ああ、ごめんなさい、煩かったかしら。もう行きますから、ご心配なく……！			ピルグリム・トラバースの目覚め							
本当だよ、お母さん！わたし、さっきそこで見たんだもん！			本当だよ、お母さん！わたし、さっきそこで見たんだもん！			ピルグリム・トラバースの目覚め							
ツルンとした緑の肌に、まぁるくて大きな瞳……羽つき帽を被って、お尻には葉っぱみたいな短いしっぽ……。			ツルンとした緑の肌に、まぁるくて大きな瞳……羽つき帽を被って、お尻には葉っぱみたいな短いしっぽ……。			ピルグリム・トラバースの目覚め							
ほら、絵本に出てくる「フーア族」にそっくりでしょ？絶対のぜーーーったいに、本物だったんだから！			ほら、絵本に出てくる「フーア族」にそっくりでしょ？絶対のぜーーーったいに、本物だったんだから！			ピルグリム・トラバースの目覚め							
ねえ、追いかけてみようよ！水の妖精さんだから、水があるところに行ったと思うんだ。「ホルトリウム園芸館」とか……！			ねえ、追いかけてみようよ！水の妖精さんだから、水があるところに行ったと思うんだ。「ホルトリウム園芸館」とか……！			ピルグリム・トラバースの目覚め							
はいはい。本物なら、なおさら追いかけちゃだめよ。妖精郷に連れていかれちゃいますからね。			はいはい。本物なら、なおさら追いかけちゃだめよ。妖精郷に連れていかれちゃいますからね。			ピルグリム・トラバースの目覚め							
それよりも、お買い物の続きを済ませないと。お父さんも待たせてるし、急ぎましょ。			それよりも、お買い物の続きを済ませないと。お父さんも待たせてるし、急ぎましょ。			ピルグリム・トラバースの目覚め							
あっ、待ってよー！！フーア族、本当にいたんだけどなぁ……。			あっ、待ってよー！！フーア族、本当にいたんだけどなぁ……。			ピルグリム・トラバースの目覚め							
フーア族が紛れ込んでいるのなら、街の人々に悪戯を働くかもしれない。ホルトリウム園芸館あたりを見回ってみようか……。			フーア族が紛れ込んでいるのなら、街の人々に悪戯を働くかもしれない。ホルトリウム園芸館あたりを見回ってみようか……。			ピルグリム・トラバースの目覚め							
グゲェ……。まったくもって疲労困憊……こんなにヒトが多くっちゃあ……。			グゲェ……。まったくもって疲労困憊……こんなにヒトが多くっちゃあ……。			ピルグリム・トラバースの目覚め							
そもそもフーアってもんはねェ、群れから独り離れたヒトを、不意にドボン！が楽しいわけで、こっちが群れにドボンだなんて…………			そもそもフーアってもんはねェ、群れから独り離れたヒトを、不意にドボン！が楽しいわけで、こっちが群れにドボンだなんて…………			ピルグリム・トラバースの目覚め							
ゲェーッ！？！？なぜだかもう目を付けられているー！？！？			ゲェーッ！？！？なぜだかもう目を付けられているー！？！？			ピルグリム・トラバースの目覚め							
待て待て、どうかお待ちになって！早まっちゃあいけやせん！			待て待て、どうかお待ちになって！早まっちゃあいけやせん！			ピルグリム・トラバースの目覚め							
あたしはとっても善いフーア！この澄んだ泥水色のおめめに誓って、人畜無害な正直者でさァ！			あたしはとっても善いフーア！この澄んだ泥水色のおめめに誓って、人畜無害な正直者でさァ！			ピルグリム・トラバースの目覚め							
ここへ来たのだってほら、命令されて仕方なく……やむにやまれぬ事情があると申しますかァ……。			ここへ来たのだってほら、命令されて仕方なく……やむにやまれぬ事情があると申しますかァ……。			ピルグリム・トラバースの目覚め							
(-？？？？-)もうっ！しっかりなさいな、清き水のインク＝ダエン。			(-？？？？-)もうっ！しっかりなさいな、清き水のインク＝ダエン。			ピルグリム・トラバースの目覚め							
(-？？？？-)あなたは城の書庫へと入り込み、読書ついでに、そこらじゅうを水浸しにした。管理を担うン・モゥ族たちが、そろって卒倒するほどにね。			(-？？？？-)あなたは城の書庫へと入り込み、読書ついでに、そこらじゅうを水浸しにした。管理を担うン・モゥ族たちが、そろって卒倒するほどにね。			ピルグリム・トラバースの目覚め							
(-？？？？-)その罪を清算するため、「今回の件」に手を貸すと言ったのは、あなた自身なのだわ！			(-？？？？-)その罪を清算するため、「今回の件」に手を貸すと言ったのは、あなた自身なのだわ！			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)お、おいででしたか、妖精王……！			(-インク＝ダエン-)お、おいででしたか、妖精王……！			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)いやァ、お役に立ちたい気持ちはございますよ？お叱り誹りを受けずに済むなら、これ幸いと謹んで、埋め合わせをする次第……。			(-インク＝ダエン-)いやァ、お役に立ちたい気持ちはございますよ？お叱り誹りを受けずに済むなら、これ幸いと謹んで、埋め合わせをする次第……。			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)とは言っても、ここは乾いた陸の上。おまけにヒトの住処とあらば、あたしにとってはまさしく彼岸！			(-インク＝ダエン-)とは言っても、ここは乾いた陸の上。おまけにヒトの住処とあらば、あたしにとってはまさしく彼岸！			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)此岸と彼岸の境界を、誰が好んで越えましょう？できるとしたらば、よほどの阿呆か、分別のつかぬ生まれたて……			(-インク＝ダエン-)此岸と彼岸の境界を、誰が好んで越えましょう？できるとしたらば、よほどの阿呆か、分別のつかぬ生まれたて……			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)あとは、あんた様のような『狂い咲き』くらいでさァ！			(-インク＝ダエン-)あとは、あんた様のような『狂い咲き』くらいでさァ！			ピルグリム・トラバースの目覚め							
まったく……。器用に回る長い舌だこと！			まったく……。器用に回る長い舌だこと！			ピルグリム・トラバースの目覚め							
おつかいができない子には困ったものだけれど、会えて嬉しいわ、私の『かわいい若木』。			おつかいができない子には困ったものだけれど、会えて嬉しいわ、私の『かわいい若木』。			ピルグリム・トラバースの目覚め							
もっとも、私はいつだって、あなたのことを見ていたのよ？ふたつのあいだに継ぎ目はないのだもの。			もっとも、私はいつだって、あなたのことを見ていたのよ？ふたつのあいだに継ぎ目はないのだもの。			ピルグリム・トラバースの目覚め							
ねえ、せっかくだし、たまにはこっちの話も聞いて頂戴。			ねえ、せっかくだし、たまにはこっちの話も聞いて頂戴。			ピルグリム・トラバースの目覚め							
実はね……私たちの『虹の国(イル・メグ)』に、はぐれ罪喰いが現れるようになってしまったの。			実はね……私たちの『虹の国(イル・メグ)』に、はぐれ罪喰いが現れるようになってしまったの。			ピルグリム・トラバースの目覚め							
どうやら「光耀(こうよう)教会」の跡地から、這い出してきたようなのだけれど……			どうやら「光耀(こうよう)教会」の跡地から、這い出してきたようなのだけれど……			ピルグリム・トラバースの目覚め							
教会の敷地内には、妖精除けのまじないが掛かっていて、私たちでは調べることすらできないのだわ。			教会の敷地内には、妖精除けのまじないが掛かっていて、私たちでは調べることすらできないのだわ。			ピルグリム・トラバースの目覚め							
そこで、インク＝ダエンをクリスタリウムへ遣って、ヒトの手を借りようとしていたわけ。			そこで、インク＝ダエンをクリスタリウムへ遣って、ヒトの手を借りようとしていたわけ。			ピルグリム・トラバースの目覚め							
この子は私よりもずっと古い妖精だから、光耀教会についても詳しいそうよ。案内役として適切なのだわ……一応ね。			この子は私よりもずっと古い妖精だから、光耀教会についても詳しいそうよ。案内役として適切なのだわ……一応ね。			ピルグリム・トラバースの目覚め							
何と言う？			何と言う？			ピルグリム・トラバースの目覚め							
自分を頼ってくれていいのに			自分を頼ってくれていいのに			ピルグリム・トラバースの目覚め							
誰かいいヒトが見つかるといいね			誰かいいヒトが見つかるといいね			ピルグリム・トラバースの目覚め							
あらまあ！いったいどのおクチが、そんなことを言うのかしら！			あらまあ！いったいどのおクチが、そんなことを言うのかしら！			ピルグリム・トラバースの目覚め							
私が頼ってもらいたかったときには、ちーっとも頼ってくれなかったのに！			私が頼ってもらいたかったときには、ちーっとも頼ってくれなかったのに！			ピルグリム・トラバースの目覚め							
ふふ……これでおあいこね？			ふふ……これでおあいこね？			ピルグリム・トラバースの目覚め							
だったらお互いに、もう遠慮はなしよ。あなたの力を、どうか貸して頂戴な。			だったらお互いに、もう遠慮はなしよ。あなたの力を、どうか貸して頂戴な。			ピルグリム・トラバースの目覚め							
もうっ！そこは「自分が」って言うところじゃないかしら！？			もうっ！そこは「自分が」って言うところじゃないかしら！？			ピルグリム・トラバースの目覚め							
私の若木は、やっぱりつれないのね。それからとっても意地悪なのだわ……！			私の若木は、やっぱりつれないのね。それからとっても意地悪なのだわ……！			ピルグリム・トラバースの目覚め							
こうして会えたのだから、「誰か」じゃなくてあなたがいいと、わざわざ言葉にさせるだなんて！			こうして会えたのだから、「誰か」じゃなくてあなたがいいと、わざわざ言葉にさせるだなんて！			ピルグリム・トラバースの目覚め							
聞こえなかったとは言わないでね？……あなたの力を、どうか貸して頂戴な。			聞こえなかったとは言わないでね？……あなたの力を、どうか貸して頂戴な。			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)何やらトントン拍子で助っ人が決まった模様……。あたしはこのあと、いかが致しやしょう？			(-インク＝ダエン-)何やらトントン拍子で助っ人が決まった模様……。あたしはこのあと、いかが致しやしょう？			ピルグリム・トラバースの目覚め							
このヒトを、問題の教会跡まで案内して。事態がすっかり解決するまで、付き合わなくては駄目よ。			このヒトを、問題の教会跡まで案内して。事態がすっかり解決するまで、付き合わなくては駄目よ。			ピルグリム・トラバースの目覚め							
私もそちらに向かうわ。またあとで会いましょう、親切で勇敢な私の若木……。			私もそちらに向かうわ。またあとで会いましょう、親切で勇敢な私の若木……。			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)それじゃあ、不肖インク＝ダエンが、あんたをご案内いたしやす。			(-インク＝ダエン-)それじゃあ、不肖インク＝ダエンが、あんたをご案内いたしやす。			ピルグリム・トラバースの目覚め							
(-インク＝ダエン-)ひとまずは、ヴォレクドルフまでお越しいただきたく。目的の教会跡は、その先にあるんでさァ。			(-インク＝ダエン-)ひとまずは、ヴォレクドルフまでお越しいただきたく。目的の教会跡は、その先にあるんでさァ。			ピルグリム・トラバースの目覚め							
ああ来た来た。さすがは妖精王の縁者、『虹の国』にも慣れたもんだ。			ああ来た来た。さすがは妖精王の縁者、『虹の国』にも慣れたもんだ。			ピルグリム・トラバースの目覚め							
ときにあんた、光耀教会については、どこまでご存じで……？			ときにあんた、光耀教会については、どこまでご存じで……？			ピルグリム・トラバースの目覚め							
あまり詳しくはないと。……まァ、無理からぬ話でさァ。			あまり詳しくはないと。……まァ、無理からぬ話でさァ。			ピルグリム・トラバースの目覚め							
まず光耀教ってのが、その昔、ノルヴラントを中心に広く信仰されていやしてね。			まず光耀教ってのが、その昔、ノルヴラントを中心に広く信仰されていやしてね。			ピルグリム・トラバースの目覚め							
善く生きた者は、死したあとに「光の神」の導きを受け、再び現世に生まれ直すことができる……そんな風に教えていたわけです。			善く生きた者は、死したあとに「光の神」の導きを受け、再び現世に生まれ直すことができる……そんな風に教えていたわけです。			ピルグリム・トラバースの目覚め							
けど、およそ100年前に「光の氾濫」が起きた……するとどうしたって、光ってもんが忌々しくなるでしょう？「光の神」なんて、その最たるものですよ。			けど、およそ100年前に「光の氾濫」が起きた……するとどうしたって、光ってもんが忌々しくなるでしょう？「光の神」なんて、その最たるものですよ。			ピルグリム・トラバースの目覚め							
加えて、続く罪喰いとの戦いにおいても、光耀教会は立ち回りを間違え続けた。			加えて、続く罪喰いとの戦いにおいても、光耀教会は立ち回りを間違え続けた。			ピルグリム・トラバースの目覚め							
かくしてヒトの心は離れ、最後の光耀教国だったフッブート王国の陥落を機に、教会は実質的に消え去った……という次第でさァ。			かくしてヒトの心は離れ、最後の光耀教国だったフッブート王国の陥落を機に、教会は実質的に消え去った……という次第でさァ。			ピルグリム・トラバースの目覚め							
とどのつまり、教会の建物だって、今となっては単なる廃墟のはずなんですがねェ……。			とどのつまり、教会の建物だって、今となっては単なる廃墟のはずなんですがねェ……。			ピルグリム・トラバースの目覚め							
何はともあれ、北東のダメルン巡礼教会跡に行きやしょう。そこが問題の場所でしてね、仲間の「オセ＝ウィド」たちが警戒にあたっているはずです。			何はともあれ、北東のダメルン巡礼教会跡に行きやしょう。そこが問題の場所でしてね、仲間の「オセ＝ウィド」たちが警戒にあたっているはずです。			ピルグリム・トラバースの目覚め							
いたいた。全員、逃げ出さずにやってるみたいでさァ。			いたいた。全員、逃げ出さずにやってるみたいでさァ。			ピルグリム・トラバースの目覚め							
あっ……こ、こんにちは…………。			あっ……こ、こんにちは…………。			ピルグリム・トラバースの目覚め							
あら～、あなたが手を貸してくれるヒトかしら？どうぞよろしくね～。			あら～、あなたが手を貸してくれるヒトかしら？どうぞよろしくね～。			ピルグリム・トラバースの目覚め							
ん？　ん？　んんん～～？			ん？　ん？　んんん～～？			ピルグリム・トラバースの目覚め							
なんだよ、こいつは驚きだ！誰が来るかと思っていたら、妖精王の若木くんとは！			なんだよ、こいつは驚きだ！誰が来るかと思っていたら、妖精王の若木くんとは！			ピルグリム・トラバースの目覚め							
おいらはオセ＝ウィド、よろしくな。どこぞのフーアほどじゃあないが、アレやコレやをやらかして、気付けばここで見張り役！			おいらはオセ＝ウィド、よろしくな。どこぞのフーアほどじゃあないが、アレやコレやをやらかして、気付けばここで見張り役！			ピルグリム・トラバースの目覚め							
そこにいるのが、アマロのヴァンサウ。身体はいちばん大きいものの、小心者のビビり屋だ。			そこにいるのが、アマロのヴァンサウ。身体はいちばん大きいものの、小心者のビビり屋だ。			ピルグリム・トラバースの目覚め							
それからあっちが、ティル＝マーン。……紹介？　嫌だぃ、あとが怖い！			それからあっちが、ティル＝マーン。……紹介？　嫌だぃ、あとが怖い！			ピルグリム・トラバースの目覚め							
で、様子はどうなんです？			で、様子はどうなんです？			ピルグリム・トラバースの目覚め							
