イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
二枚目なホウキに泣いて見せた。はじめて見た涙に感激した二枚目なホウキは、シャーレアンについて教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			二枚目なホウキに泣いて見せた。はじめて見た涙に感激した二枚目なホウキは、シャーレアンについて教えてくれた。しかし、マトーヤの望みについては知らないようだ……。			二番目の欲求							
低地ドラヴァニアの西側でキレイな湧水地を探してキレイな湧水を入手			低地ドラヴァニアの西側でキレイな湧水地を探してキレイな湧水を入手			二番目の欲求							
マトーヤの洞窟の二枚目なホウキにキレイな湧水を渡す			マトーヤの洞窟の二枚目なホウキにキレイな湧水を渡す			二番目の欲求							
二枚目なホウキに望みのものを見せる			二枚目なホウキに望みのものを見せる			二番目の欲求							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			二番目の欲求							
ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			ナニカ、ゴヨウデ、サッサカサ！ボクらの知識を望むなら、ボクらの望みも叶えてヨ！			二番目の欲求							
ボクは「キレイ」の探求者。本当にキレイなものが、いつもほしくてたまらナイ。……なんといっても、ホウキだし。			ボクは「キレイ」の探求者。本当にキレイなものが、いつもほしくてたまらナイ。……なんといっても、ホウキだし。			二番目の欲求							
それでね、今いちばん見てみたいのが、「本当にキレイな水」ってワケ。			それでね、今いちばん見てみたいのが、「本当にキレイな水」ってワケ。			二番目の欲求							
洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の岩壁の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の岩壁の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			二番目の欲求							
それが本当にキレイな水だったなら、ボクの知識をオスソワケ！			それが本当にキレイな水だったなら、ボクの知識をオスソワケ！			二番目の欲求							
洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の山の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			洞窟を出たとこや、シャーレアン学士街に水場があるでショウ？あれを西の山の方にさかのぼって、キレイな湧水地から「キレイな湧水」を汲んできてほしいのサ。			二番目の欲求							
オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？とびきりキレイな湧水は！			オカエリ、ナサイデ、サッサカサ！それで、サッサと見つかった？とびきりキレイな湧水は！			二番目の欲求							
スゴイヤ、オドロキ、サッサカサ！向こう側まで透き通って、あるのかないのか、わからナイ！			スゴイヤ、オドロキ、サッサカサ！向こう側まで透き通って、あるのかないのか、わからナイ！			二番目の欲求							
……うーん、でもでも、何でダロウ。思ったよりも、ただの水。やっぱり、「アレ」でなきゃ駄目なのカシラ……。			……うーん、でもでも、何でダロウ。思ったよりも、ただの水。やっぱり、「アレ」でなきゃ駄目なのカシラ……。			二番目の欲求							
「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			二番目の欲求							
ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			二番目の欲求							
ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			二番目の欲求							
「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			「アレ」は、ボクらホウキの間で、幻の水と呼ばれるモノ。どんな水よりキレイと聞くけど、顔のないホウキには、まるで無縁のものなのサ。			二番目の欲求							
ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			ヒトなら、みんな持ってるけれど、マトーヤ様は見せてくれナイ。緋汐海よりしょっぱくて、サリャク河より清んでる「アレ」。			二番目の欲求							
ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			ねえねえ、キミも持ってるんでショウ？見せてくれたら今度こそ、ボクの知識をオスソワケ！			二番目の欲求							
ナニナニ、ドウシタ、サッサカサ！ちょこっと興味を引かれたけれど、ボクが見たいのは「アレ」なのサ！			ナニナニ、ドウシタ、サッサカサ！ちょこっと興味を引かれたけれど、ボクが見たいのは「アレ」なのサ！			二番目の欲求							
…………！			…………！			二番目の欲求							
ナ……ナンダカ、ドキドキ、サッサカサ！これが噂の……そう「ナミダ」！キラキラ落ちて、とってもキレイ……。			ナ……ナンダカ、ドキドキ、サッサカサ！これが噂の……そう「ナミダ」！キラキラ落ちて、とってもキレイ……。			二番目の欲求							
ありがとう、お礼にサッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「シャーレアン」にツイテ！			ありがとう、お礼にサッサと教えるヨ！ボクがマトーヤ様から授かった知識……ずばり、「シャーレアン」にツイテ！			二番目の欲求							
シャーレアンは、知の都。そこで生み出される知恵の数々は、「哲学者議会」っていうヒトたちが吟味してたんダ。			シャーレアンは、知の都。そこで生み出される知恵の数々は、「哲学者議会」っていうヒトたちが吟味してたんダ。			二番目の欲求							
マトーヤ様は、「哲学者議会」をはじめ、他人に研究を振り回されるのが大嫌いダッタ。妬まれ、恨まれ、決まりだからと縛られることがサ……。			マトーヤ様は、「哲学者議会」をはじめ、他人に研究を振り回されるのが大嫌いダッタ。妬まれ、恨まれ、決まりだからと縛られることがサ……。			二番目の欲求							
ホウキにはわかんないけど、そういうのって、穂先に絡んだ埃みたいなものなんでショウ？			ホウキにはわかんないけど、そういうのって、穂先に絡んだ埃みたいなものなんでショウ？			二番目の欲求							
……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			……エッ？　知りたいのは、マトーヤ様の「望み」ダッテ？あらあら残念、それはボクの知らないことサ。だって、教えられていないモノ！			二番目の欲求							
マトーヤの洞窟のサロ・ロッゴは、悲嘆に暮れているようだ。			マトーヤの洞窟のサロ・ロッゴは、悲嘆に暮れているようだ。			役目は果たせず							
サロ・ロッゴは、すっかりトードに戻されるつもりで、水辺を荒らす乱暴者の討伐を依頼してきた。低地ドラヴァニアのマトーヤの洞窟前にある「指定地点」3箇所で待機し、現れた「フラットフット・オプケン」を討伐しよう。			サロ・ロッゴは、すっかりトードに戻されるつもりで、水辺を荒らす乱暴者の討伐を依頼してきた。低地ドラヴァニアのマトーヤの洞窟前にある「指定地点」3箇所で待機し、現れた「フラットフット・オプケン」を討伐しよう。			役目は果たせず							
フラットフット・オプケンを討伐した。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			フラットフット・オプケンを討伐した。マトーヤの洞窟の「サロ・ロッゴ」に報告しよう。			役目は果たせず							
サロ・ロッゴに報告した。これでトードに戻されても安心だと語るサロ・ロッゴだが、諦めきれない様子で、冒険者に何かを求めている。サロ・ロッゴの様子をよく観察して、彼の望む行動をとろう。			サロ・ロッゴに報告した。これでトードに戻されても安心だと語るサロ・ロッゴだが、諦めきれない様子で、冒険者に何かを求めている。サロ・ロッゴの様子をよく観察して、彼の望む行動をとろう。			役目は果たせず							
サロ・ロッゴを励ました。やる気を取り戻した彼を後押しすべく、マトーヤの洞窟の「マトーヤ」に声をかけよう。			サロ・ロッゴを励ました。やる気を取り戻した彼を後押しすべく、マトーヤの洞窟の「マトーヤ」に声をかけよう。			役目は果たせず							
マトーヤに声をかけ、サロ・ロッゴを交えて話した。望みはないと語るマトーヤだったが、自分の死後、その目を閉じさせ、四つ葉なホウキを呼んでくる役目を、サロ・ロッゴに託した。冒険者も、意地っ張りの彼女の様子を、たまには見にくることにしよう。			マトーヤに声をかけ、サロ・ロッゴを交えて話した。望みはないと語るマトーヤだったが、自分の死後、その目を閉じさせ、四つ葉なホウキを呼んでくる役目を、サロ・ロッゴに託した。冒険者も、意地っ張りの彼女の様子を、たまには見にくることにしよう。			役目は果たせず							
マトーヤの洞窟前の指定地点で待機してフラットフット・オプケンを討伐			マトーヤの洞窟前の指定地点で待機してフラットフット・オプケンを討伐			役目は果たせず							
マトーヤの洞窟のサロ・ロッゴに報告			マトーヤの洞窟のサロ・ロッゴに報告			役目は果たせず							
サロ・ロッゴに望みの行動をとる			サロ・ロッゴに望みの行動をとる			役目は果たせず							
マトーヤと話す			マトーヤと話す			役目は果たせず							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			役目は果たせず							
ゲコォ……ゲコォ……。思い返せば、長くて短い日々でありましたケロ……。			ゲコォ……ゲコォ……。思い返せば、長くて短い日々でありましたケロ……。			役目は果たせず							
ゲコゲコと鳴くだけのトードだったわたくしが、たまたまマトーヤ様に選ばれて、ポロッゴとして、知恵と名前をいただいたケロ……。			ゲコゲコと鳴くだけのトードだったわたくしが、たまたまマトーヤ様に選ばれて、ポロッゴとして、知恵と名前をいただいたケロ……。			役目は果たせず							
失敗ばかりだったけど、幸せな毎日でしたケロ。それが、ついに終わってしまうなんて……ゲコゲコ……。			失敗ばかりだったけど、幸せな毎日でしたケロ。それが、ついに終わってしまうなんて……ゲコゲコ……。			役目は果たせず							
お客人様、わたくしめが物言わぬトードに戻される前に、最後の頼みを聞いてはいただけませんか……？			お客人様、わたくしめが物言わぬトードに戻される前に、最後の頼みを聞いてはいただけませんか……？			役目は果たせず							
トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			役目は果たせず							
トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			トードの住処でもある、この洞窟前の水辺に、乱暴なフラットフット・オプケンが降りてくることがあるケロ。奴らを退治し、わたくしめに安住の地を……どうか……！			役目は果たせず							
ゲコッ……ああ、お客人様！フラットフット・オプケンめを、退治してくださったのですね！			ゲコッ……ああ、お客人様！フラットフット・オプケンめを、退治してくださったのですね！			役目は果たせず							
ありがとうございます……。ここまで付き合ってくださったお客人様のおかげで、ただのトードに戻されても、もう安心ケロ。			ありがとうございます……。ここまで付き合ってくださったお客人様のおかげで、ただのトードに戻されても、もう安心ケロ。			役目は果たせず							
それでは……さようならケロ、優しいお方。草むらで跳ねるわたくしと出会っても、踏みつぶしたり、しないでくださいね。			それでは……さようならケロ、優しいお方。草むらで跳ねるわたくしと出会っても、踏みつぶしたり、しないでくださいね。			役目は果たせず							
…………ハァ、本当は諦めたくないケロ。でも、もはや励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。			…………ハァ、本当は諦めたくないケロ。でも、もはや励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。			役目は果たせず							
……………………………………チラッ。			……………………………………チラッ。			役目は果たせず							
サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			役目は果たせず							
もはや、励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。……………………………………チラッ。			もはや、励まされてもダメダメだケロ……。もっと元気に、「がんばれ」って背中を押してくれなくちゃ……。……………………………………チラッ。			役目は果たせず							
サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			サロ・ロッゴは意気消沈しているようだ。何かを求めるように、こちらを見ている……。			役目は果たせず							
…………何ケロ？こんな、だめトードなんて、捨て置くケロ。今さらがんばっても、きっと無駄ケロ……。			…………何ケロ？こんな、だめトードなんて、捨て置くケロ。今さらがんばっても、きっと無駄ケロ……。			役目は果たせず							
ケロッ……！お、お、お客人様ぁ～～～！			ケロッ……！お、お、お客人様ぁ～～～！			役目は果たせず							
熱い応援、感謝ケロ！沼の底のようだったわたくしの心が、ボコボコと煮立ってきましたケロ！			熱い応援、感謝ケロ！沼の底のようだったわたくしの心が、ボコボコと煮立ってきましたケロ！			役目は果たせず							
諦めるにはまだ早い……！マトーヤ様の望みなら、ご本人に伺ってみるべきケロ！いざ、当たって砕けるケロ～～～～ッ！			諦めるにはまだ早い……！マトーヤ様の望みなら、ご本人に伺ってみるべきケロ！いざ、当たって砕けるケロ～～～～ッ！			役目は果たせず							
ということで……あのぉ……まずはお客人様から、マトーヤ様にお声掛けくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			ということで……あのぉ……まずはお客人様から、マトーヤ様にお声掛けくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			役目は果たせず							
まずはお客人様から、マトーヤ様にお声がけくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			まずはお客人様から、マトーヤ様にお声がけくださいませんか？そうしたらわたくしも、あとに続きますので……ゲコォ。			役目は果たせず							
……何だい、真剣な話だって？どれ、シュトラたちには席を外させるかね。これでくだらない用件だったら、容赦しないよ。			……何だい、真剣な話だって？どれ、シュトラたちには席を外させるかね。これでくだらない用件だったら、容赦しないよ。			役目は果たせず							
……何だい、真剣な話だって？フン、くだらない用件だったら、容赦しないよ。			……何だい、真剣な話だって？フン、くだらない用件だったら、容赦しないよ。			役目は果たせず							
おお、我が主、マトーヤ様！このサロ・ロッゴの質問に、どうか答えてほしいケロ。			おお、我が主、マトーヤ様！このサロ・ロッゴの質問に、どうか答えてほしいケロ。			役目は果たせず							
ずばり、マトーヤ様の望みは何ですか？わたくしめは、あなた様のお役に立ってみたいケロ！			ずばり、マトーヤ様の望みは何ですか？わたくしめは、あなた様のお役に立ってみたいケロ！			役目は果たせず							
何かと思えば、サロ・ロッゴ。お前はずいぶんと馬鹿げたことを聞くんだね。……おおかた、トードに戻されるとでも思ったか。			何かと思えば、サロ・ロッゴ。お前はずいぶんと馬鹿げたことを聞くんだね。……おおかた、トードに戻されるとでも思ったか。			役目は果たせず							
いくら探っても、ワシに望みなどありはしないよ。あるのはただ、意地だけさ。			いくら探っても、ワシに望みなどありはしないよ。あるのはただ、意地だけさ。			役目は果たせず							
ワシは研究に心血を注ぎ、だからこそ周囲に反発もしてきた。その反発は、ワシをつき動かすばかりでなく、ついには世界を拒絶して、固い岩戸と成り果てた……。			ワシは研究に心血を注ぎ、だからこそ周囲に反発もしてきた。その反発は、ワシをつき動かすばかりでなく、ついには世界を拒絶して、固い岩戸と成り果てた……。			役目は果たせず							
岩戸は、じきに棺の蓋と化すだろう。ワシは誰にも知られず、一切の音も立てず、ただこの暗がりで骨となるのさ。			岩戸は、じきに棺の蓋と化すだろう。ワシは誰にも知られず、一切の音も立てず、ただこの暗がりで骨となるのさ。			役目は果たせず							
……そんな世捨て人が、今さら何を望むんだい。			……そんな世捨て人が、今さら何を望むんだい。			役目は果たせず							
ゲコゲコ、そんな捨て鉢な……！マトーヤ様は、素晴らしい知識と力をお持ちなのに！			ゲコゲコ、そんな捨て鉢な……！マトーヤ様は、素晴らしい知識と力をお持ちなのに！			役目は果たせず							
そうだ、どうぞわたくしめに命じてください。賢人マトーヤの為した偉業を、世界にふれて回るようにと。それを、あなた様の望みとするケロ……！			そうだ、どうぞわたくしめに命じてください。賢人マトーヤの為した偉業を、世界にふれて回るようにと。それを、あなた様の望みとするケロ……！			役目は果たせず							
……お前は、つくづくお馬鹿だね。そんなことを望むなら、ハナから意地など張っていないよ。			……お前は、つくづくお馬鹿だね。そんなことを望むなら、ハナから意地など張っていないよ。			役目は果たせず							
ワシの知識を求める者には、うんしょと岩戸を開けさせて、ホウキどもの謎かけに、心底うんざりしてもらう。たとえ骨となっても、それでこそのマトーヤさ。			ワシの知識を求める者には、うんしょと岩戸を開けさせて、ホウキどもの謎かけに、心底うんざりしてもらう。たとえ骨となっても、それでこそのマトーヤさ。			役目は果たせず							
で、では本当に……マトーヤ様のために、できることはないのですか……？			で、では本当に……マトーヤ様のために、できることはないのですか……？			役目は果たせず							
くどいよ。だが、それほど働きたいというのなら……いいだろう、お前に役目を授けよう。			くどいよ。だが、それほど働きたいというのなら……いいだろう、お前に役目を授けよう。			役目は果たせず							
いずれ、ワシが果てたとき。世界の一片まで見逃さんとする、この目を閉じておくれ。			いずれ、ワシが果てたとき。世界の一片まで見逃さんとする、この目を閉じておくれ。			役目は果たせず							
そして……知ってるんだろう、隠されたホウキのことを。あれをここへ呼んできて、ワシのそばに置くんだよ。			そして……知ってるんだろう、隠されたホウキのことを。あれをここへ呼んできて、ワシのそばに置くんだよ。			役目は果たせず							
ゲコゲコォ！お安いご用です、マトーヤ様！その役目、きっと完璧にこなしてみせるケロ！			ゲコゲコォ！お安いご用です、マトーヤ様！その役目、きっと完璧にこなしてみせるケロ！			役目は果たせず							
……そうかい。では、せいぜい頼んだよ。			……そうかい。では、せいぜい頼んだよ。			役目は果たせず							
お聞きになりましたか、お客人様！あなた様の応援のおかげで、大役をいただけたケロ。この役目があるかぎり、ダメポロッゴには戻らないケロッ！			お聞きになりましたか、お客人様！あなた様の応援のおかげで、大役をいただけたケロ。この役目があるかぎり、ダメポロッゴには戻らないケロッ！			役目は果たせず							
…………まだ、何かあるのかい？			…………まだ、何かあるのかい？			役目は果たせず							
いえ、しっかりお役目を果たすために、マトーヤ様が事切れる瞬間を、見逃してはならないと思いまして……。			いえ、しっかりお役目を果たすために、マトーヤ様が事切れる瞬間を、見逃してはならないと思いまして……。			役目は果たせず							
そうとっとと死んでたまるかい、この大馬鹿がっ！！突っ立ってないで、今すぐお茶を淹れてきな！！			そうとっとと死んでたまるかい、この大馬鹿がっ！！突っ立ってないで、今すぐお茶を淹れてきな！！			役目は果たせず							
ゲ、ゲコォ～～～！			ゲ、ゲコォ～～～！			役目は果たせず							
マトーヤの洞窟のマトーヤは、言いたいことがあるようだ。			マトーヤの洞窟のマトーヤは、言いたいことがあるようだ。			禁書庫に眠る論文							
マトーヤから、エーテル収束器の話を聞いた。エーテル収束器に関する論文が、グブラ幻想図書館に封印されているそうだ。マトーヤの洞窟の「マトーヤ」と話そう。			マトーヤから、エーテル収束器の話を聞いた。エーテル収束器に関する論文が、グブラ幻想図書館に封印されているそうだ。マトーヤの洞窟の「マトーヤ」と話そう。			禁書庫に眠る論文							
マトーヤから話を聞いた。グブラ幻想図書館の扉を、彼女の使い魔が開けてくれるという。マトーヤの洞窟の「魔法仕掛けのホウキ」と話そう。			マトーヤから話を聞いた。グブラ幻想図書館の扉を、彼女の使い魔が開けてくれるという。マトーヤの洞窟の「魔法仕掛けのホウキ」と話そう。			禁書庫に眠る論文							
魔法仕掛けのホウキと話した。グブラ幻想図書館は、マトーヤの洞窟の東にあるそうだ。低地ドラヴァニアのグブラ幻想図書館付近にいる「魔法仕掛けのホウキ」と話そう。			魔法仕掛けのホウキと話した。グブラ幻想図書館は、マトーヤの洞窟の東にあるそうだ。低地ドラヴァニアのグブラ幻想図書館付近にいる「魔法仕掛けのホウキ」と話そう。			禁書庫に眠る論文							
魔法仕掛けのホウキが、グブラ幻想図書館の扉を開いてくれた。「禁書回収 グブラ幻想図書館」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			魔法仕掛けのホウキが、グブラ幻想図書館の扉を開いてくれた。「禁書回収 グブラ幻想図書館」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			禁書庫に眠る論文							
「禁書回収 グブラ幻想図書館」を攻略した。低地ドラヴァニアに戻ろう。			「禁書回収 グブラ幻想図書館」を攻略した。低地ドラヴァニアに戻ろう。			禁書庫に眠る論文							
グブラ幻想図書館の守護者を倒したところ、水属性の光のクリスタルが輝きを取り戻した。その直後、冒険者はエーテル収束器について書かれた論文と思しき書物を発見した。マトーヤの洞窟のマトーヤに「エーテル収束器の論文」を渡そう。			グブラ幻想図書館の守護者を倒したところ、水属性の光のクリスタルが輝きを取り戻した。その直後、冒険者はエーテル収束器について書かれた論文と思しき書物を発見した。マトーヤの洞窟のマトーヤに「エーテル収束器の論文」を渡そう。			禁書庫に眠る論文							
エーテル収束器の論文を、マトーヤに渡した。さっそく、論文を確認してみよう。			エーテル収束器の論文を、マトーヤに渡した。さっそく、論文を確認してみよう。			禁書庫に眠る論文							
マトーヤと話す			マトーヤと話す			禁書庫に眠る論文							
魔法仕掛けのホウキと話す			魔法仕掛けのホウキと話す			禁書庫に眠る論文							
グブラ幻想図書館付近の魔法仕掛けのホウキと話す			グブラ幻想図書館付近の魔法仕掛けのホウキと話す			禁書庫に眠る論文							
「禁書回収 グブラ幻想図書館」を攻略する			「禁書回収 グブラ幻想図書館」を攻略する			禁書庫に眠る論文							
マトーヤの洞窟のマトーヤにエーテル収束器の論文を渡す			マトーヤの洞窟のマトーヤにエーテル収束器の論文を渡す			禁書庫に眠る論文							
「マトーヤの洞窟」に来ると、見習いだったころを思い出すわ。何年前のことなのか、何歳頃のことなのか……決して言うつもりはないわよ？			「マトーヤの洞窟」に来ると、見習いだったころを思い出すわ。何年前のことなのか、何歳頃のことなのか……決して言うつもりはないわよ？			禁書庫に眠る論文							
Forename、ここはすごい場所だぞ。無造作に置かれてる書は、どれも一級品のものばかり……本国のシャーレアン魔法大学の蔵書にも匹敵するくらいさ。			Forename、ここはすごい場所だぞ。無造作に置かれてる書は、どれも一級品のものばかり……本国のシャーレアン魔法大学の蔵書にも匹敵するくらいさ。			禁書庫に眠る論文							
あんたたちの腕なら、禁書庫の守護兵も問題なく倒せるだろうさ。			あんたたちの腕なら、禁書庫の守護兵も問題なく倒せるだろうさ。			禁書庫に眠る論文							
そうでなければ、とてもじゃないが、「エーテル収束器」のような危険な代物を任せられない。婆があたえた試練だと思って、行っておいで。			そうでなければ、とてもじゃないが、「エーテル収束器」のような危険な代物を任せられない。婆があたえた試練だと思って、行っておいで。			禁書庫に眠る論文							
それから、使い魔を二体貸してやろう。一体は蔵書の中から論文を探すためのポロッゴ……。			それから、使い魔を二体貸してやろう。一体は蔵書の中から論文を探すためのポロッゴ……。			禁書庫に眠る論文							
もう一体は「グブラ幻想図書館」の扉を開くためのカギ代わり。そこの「魔法仕掛けのホウキ」に声をかけるこったね。			もう一体は「グブラ幻想図書館」の扉を開くためのカギ代わり。そこの「魔法仕掛けのホウキ」に声をかけるこったね。			禁書庫に眠る論文							
入口の扉は固く閉ざされているだろうが、ワシの使い魔を、カギ代わりに貸してやろうじゃないか。そこの「魔法仕掛けのホウキ」に声をかけるこったね。			入口の扉は固く閉ざされているだろうが、ワシの使い魔を、カギ代わりに貸してやろうじゃないか。そこの「魔法仕掛けのホウキ」に声をかけるこったね。			禁書庫に眠る論文							
「グブラ幻想図書館」は、蔵書の保管だけでなく、エーテル学を始めとする、さまざまな学問の研究の場でもあったの。			「グブラ幻想図書館」は、蔵書の保管だけでなく、エーテル学を始めとする、さまざまな学問の研究の場でもあったの。			禁書庫に眠る論文							
今も、研究の成果である魔法生物が、守護兵として護り続けているはずよ。気を引き締めていきましょう。			今も、研究の成果である魔法生物が、守護兵として護り続けているはずよ。気を引き締めていきましょう。			禁書庫に眠る論文							
マトーヤ老と言えば、使い魔の専門家でもあったはず。後で、教えを乞うことができればいいのだが……。			マトーヤ老と言えば、使い魔の専門家でもあったはず。後で、教えを乞うことができればいいのだが……。			禁書庫に眠る論文							
フシギナ、ホウキ、サ、サッサカサ！			フシギナ、ホウキ、サ、サッサカサ！			禁書庫に眠る論文							
ハジメ、マシテデ、サッサカサ！ワタクシ、マトーヤ様より、冒険者サマの案内を、仰せつかりました、この道、50年の使い魔でゴザイマス！			ハジメ、マシテデ、サッサカサ！ワタクシ、マトーヤ様より、冒険者サマの案内を、仰せつかりました、この道、50年の使い魔でゴザイマス！			禁書庫に眠る論文							
さあさあ、サッサと参りまショウ。「グブラ幻想図書館」は、洞窟をでて東に進んだ先。崩落した橋を登れば、すぐに見えるはずデス！			さあさあ、サッサと参りまショウ。「グブラ幻想図書館」は、洞窟をでて東に進んだ先。崩落した橋を登れば、すぐに見えるはずデス！			禁書庫に眠る論文							
お供のポロッゴを呼んできますので、どうか図書館の入口でお声がけを……。ではでは、ゴキゲンヨウ！			お供のポロッゴを呼んできますので、どうか図書館の入口でお声がけを……。ではでは、ゴキゲンヨウ！			禁書庫に眠る論文							
こんなところで油を売ってるんじゃないよ！さっさと禁書庫に行っておいで！			こんなところで油を売ってるんじゃないよ！さっさと禁書庫に行っておいで！			禁書庫に眠る論文							
マッテ、イマシタ、サッサカサ！こちらがかの有名な「グブラ幻想図書館」でゴザイマス！			マッテ、イマシタ、サッサカサ！こちらがかの有名な「グブラ幻想図書館」でゴザイマス！			禁書庫に眠る論文							
15年前に放棄されて以来、ホウキも入らぬ状態で、荒れ放題の散らかり放題。			15年前に放棄されて以来、ホウキも入らぬ状態で、荒れ放題の散らかり放題。			禁書庫に眠る論文							
ササッと扉を開けますから、サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！			ササッと扉を開けますから、サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！			禁書庫に眠る論文							
サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！			サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！			禁書庫に眠る論文							
おや、もう戻ったのかい。例の論文は見つかったんだろうね？			おや、もう戻ったのかい。例の論文は見つかったんだろうね？			禁書庫に眠る論文							
よしよし、上出来だよ。これがなくちゃ、始まるモンも始まらないからね。			よしよし、上出来だよ。これがなくちゃ、始まるモンも始まらないからね。			禁書庫に眠る論文							
あれだけ厳重に守られた禁書庫に、近所へお使いにでもやるように行かせるなんて……マトーヤの人使いの荒さは、昔と変わらないわね。			あれだけ厳重に守られた禁書庫に、近所へお使いにでもやるように行かせるなんて……マトーヤの人使いの荒さは、昔と変わらないわね。			禁書庫に眠る論文							
ペロ・ロッゴ君がいてくれて助かりました。さすがはマトーヤ様がお創りになられた使い魔……魔法生物に関して、良い勉強になりましたよ。			ペロ・ロッゴ君がいてくれて助かりました。さすがはマトーヤ様がお創りになられた使い魔……魔法生物に関して、良い勉強になりましたよ。			禁書庫に眠る論文							
彼にかけられていた魔法の術式を、自分なりに応用することで、新しいカーバンクルだって作れそうな気がします。			彼にかけられていた魔法の術式を、自分なりに応用することで、新しいカーバンクルだって作れそうな気がします。			禁書庫に眠る論文							
