リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
おかえり、Forename！辺境地帯の代表者たちの反応はどうだったかい？			おかえり、Forename！辺境地帯の代表者たちの反応はどうだったかい？			それぞれの立場、それぞれの責任							
メ族とウィルラ派の代表が俺に感謝を！？身に余る光栄だよ……。			メ族とウィルラ派の代表が俺に感謝を！？身に余る光栄だよ……。			それぞれの立場、それぞれの責任							
ともかく、ふたりが慰霊祭に賛成してくれて良かった。これも信頼の厚いForenameのおかげさ。協力してくれて本当にありがとう。			ともかく、ふたりが慰霊祭に賛成してくれて良かった。これも信頼の厚いForenameのおかげさ。協力してくれて本当にありがとう。			それぞれの立場、それぞれの責任							
素性をよく知らない人たちに対して警戒してしまうのは仕方ない。それでも、人となりを知れば共感できる部分だってあるはずなんだ。対話を諦めてはいけない……俺はナナモ様にそれを教わった。			素性をよく知らない人たちに対して警戒してしまうのは仕方ない。それでも、人となりを知れば共感できる部分だってあるはずなんだ。対話を諦めてはいけない……俺はナナモ様にそれを教わった。			それぞれの立場、それぞれの責任							
……まだ、そんな大層なことはしてないけどさ、誰かのためにできることがあるなら、俺はやりたい。たとえそれが地味でも、自分なりの英雄への道を模索するんだ。			……まだ、そんな大層なことはしてないけどさ、誰かのためにできることがあるなら、俺はやりたい。たとえそれが地味でも、自分なりの英雄への道を模索するんだ。			それぞれの立場、それぞれの責任							
さてと……！これで慰霊祭の説明会に向けて、代表者たちへの案内は完了した。当然、反対の人たちもいたが、ひとまずは足を運んでくれそうだよ。			さてと……！これで慰霊祭の説明会に向けて、代表者たちへの案内は完了した。当然、反対の人たちもいたが、ひとまずは足を運んでくれそうだよ。			それぞれの立場、それぞれの責任							
Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			それぞれの立場、それぞれの責任							
Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			Forenameにも、ぜひ出席してもらいたい。「解放軍の案内人」には伝えてあるから、声をかけてくれ。俺もラガンフリッドと合流してすぐに向かうとするよ。			それぞれの立場、それぞれの責任							
代表者による「慰霊祭」の説明会が開かれております。会場へ向かわれますか？			代表者による「慰霊祭」の説明会が開かれております。会場へ向かわれますか？			それぞれの立場、それぞれの責任							
「アラミゴ王宮」へ移動しますか？			「アラミゴ王宮」へ移動しますか？			それぞれの立場、それぞれの責任							
慰霊祭を開催するにあたって、髑髏連隊の関係者を呼ぶことに、異論があるのは承知している。私とて家族を殺された身……その気持ちは痛いほどわかる。			慰霊祭を開催するにあたって、髑髏連隊の関係者を呼ぶことに、異論があるのは承知している。私とて家族を殺された身……その気持ちは痛いほどわかる。			それぞれの立場、それぞれの責任							
しかし、もとをただせば、彼らも私たちと同じアラミゴ人。この非常事態だからこそ共に……			しかし、もとをただせば、彼らも私たちと同じアラミゴ人。この非常事態だからこそ共に……			それぞれの立場、それぞれの責任							
髑髏連隊は……奴らは同胞を殺しているんだぞ！			髑髏連隊は……奴らは同胞を殺しているんだぞ！			それぞれの立場、それぞれの責任							
だが、以前ここで我らが、あのフォルドラに命を救われたことも確かだ。			だが、以前ここで我らが、あのフォルドラに命を救われたことも確かだ。			それぞれの立場、それぞれの責任							
しかし、それとこれとは……！			しかし、それとこれとは……！			それぞれの立場、それぞれの責任							
しばし、吾輩の言葉に耳を傾けてくれないだろうか。			しばし、吾輩の言葉に耳を傾けてくれないだろうか。			それぞれの立場、それぞれの責任							
吾輩には、このアラミゴを守るという、大きな責任がある。そして誰しもが社会に生きる上で、大なり小なり、何かしらの責を負って生きているはずだ。			吾輩には、このアラミゴを守るという、大きな責任がある。そして誰しもが社会に生きる上で、大なり小なり、何かしらの責を負って生きているはずだ。			それぞれの立場、それぞれの責任							
家族を守る責任、誇りを守る責任……ここに居るあなた方なら特に、その重みがわかるだろう。			家族を守る責任、誇りを守る責任……ここに居るあなた方なら特に、その重みがわかるだろう。			それぞれの立場、それぞれの責任							
それは、帝国側に付いた者たちも同じだったはず。我らに不幸があったとすれば、他国に侵されたときに、それぞれが異なる方法で、大切なものを守ろうとしたことだ。			それは、帝国側に付いた者たちも同じだったはず。我らに不幸があったとすれば、他国に侵されたときに、それぞれが異なる方法で、大切なものを守ろうとしたことだ。			それぞれの立場、それぞれの責任							
耐え忍ぶことを選んだ者、戦い抗うことを選んだ者、そして、征服者に膝を突くことを選んだ者……。皆、守りたかっただけなのだ。			耐え忍ぶことを選んだ者、戦い抗うことを選んだ者、そして、征服者に膝を突くことを選んだ者……。皆、守りたかっただけなのだ。			それぞれの立場、それぞれの責任							
終末の獣による危機が訪れている今だからこそ、皆で考えてほしい。今度こそ、苦しいときに団結できる、助け合えるアラミゴにしようではないか！			終末の獣による危機が訪れている今だからこそ、皆で考えてほしい。今度こそ、苦しいときに団結できる、助け合えるアラミゴにしようではないか！			それぞれの立場、それぞれの責任							
俺たちはさ、本来平等にあるはずの自由を獲得するために、多くの血を流して戦い、守られ……そして、生き延びた。			俺たちはさ、本来平等にあるはずの自由を獲得するために、多くの血を流して戦い、守られ……そして、生き延びた。			それぞれの立場、それぞれの責任							
だから、自由を得た今こそ……犠牲となったすべての命に、敬意を払うべきだと思うんだ。			だから、自由を得た今こそ……犠牲となったすべての命に、敬意を払うべきだと思うんだ。			それぞれの立場、それぞれの責任							
同じ地で生まれ育ち、ただ自由に憧れたその命に、違いなんてない……ましてや、今も苦しみ続けている同胞がいる。			同じ地で生まれ育ち、ただ自由に憧れたその命に、違いなんてない……ましてや、今も苦しみ続けている同胞がいる。			それぞれの立場、それぞれの責任							
あなた方にも辛い過去があるのはわかっているさ。それを忘れろだなんて、言うつもりはない……。ただ、このアラミゴを救う、手伝いをさせてもらえないだろうか？			あなた方にも辛い過去があるのはわかっているさ。それを忘れろだなんて、言うつもりはない……。ただ、このアラミゴを救う、手伝いをさせてもらえないだろうか？			それぞれの立場、それぞれの責任							
そうやって少しずつ、少しずつ……皆が手を取り合えるアラミゴを、一緒に作っていきたいんだ。			そうやって少しずつ、少しずつ……皆が手を取り合えるアラミゴを、一緒に作っていきたいんだ。			それぞれの立場、それぞれの責任							
代表者たちへの案内を手伝ってくれたこと、吾輩からも礼を言わせてくれ。			代表者たちへの案内を手伝ってくれたこと、吾輩からも礼を言わせてくれ。			それぞれの立場、それぞれの責任							
それから、アレンヴァルドのおかげで、「慰霊祭」は開催に向けて動きだすことになるだろう。まだ納得していない者にも、根気強く対話を試みるそうだ。			それから、アレンヴァルドのおかげで、「慰霊祭」は開催に向けて動きだすことになるだろう。まだ納得していない者にも、根気強く対話を試みるそうだ。			それぞれの立場、それぞれの責任							
今すぐに開催とはいかずとも、皆が同じ方向を向き、互いを理解するきっかけとなるだろう。そしてこの一歩こそが、遺族らを照らす希望の光となることを祈る。			今すぐに開催とはいかずとも、皆が同じ方向を向き、互いを理解するきっかけとなるだろう。そしてこの一歩こそが、遺族らを照らす希望の光となることを祈る。			それぞれの立場、それぞれの責任							
実はな……先日、アラガーナで救われた親子が、恩人に礼をしたいと、フォルドラに面会を求めてきたそうだ。これもまた、吾輩にはひとつの希望に思える。			実はな……先日、アラガーナで救われた親子が、恩人に礼をしたいと、フォルドラに面会を求めてきたそうだ。これもまた、吾輩にはひとつの希望に思える。			それぞれの立場、それぞれの責任							
国を内から変える動きが、にわかに生じつつあるということだ。残るは、偽神獣の討伐……。動きがあればこちらから連絡するので、引き続きよろしく頼むぞ。			国を内から変える動きが、にわかに生じつつあるということだ。残るは、偽神獣の討伐……。動きがあればこちらから連絡するので、引き続きよろしく頼むぞ。			それぞれの立場、それぞれの責任							
代表者の人たちがぞろぞろ集まってきたので、ちょっと緊張してしまいました！			代表者の人たちがぞろぞろ集まってきたので、ちょっと緊張してしまいました！			それぞれの立場、それぞれの責任							
黒渦団：軍令部の黒渦団の書記官は、急いで報告したいことがあるようだ。			黒渦団：軍令部の黒渦団の書記官は、急いで報告したいことがあるようだ。			母なる女王							
黒渦団の書記官によると、キャンドルキープ埠頭が海嘯派のサハギン族の襲撃を受けているようだ。上甲板層の黒渦団：軍令部の「黒渦団の通信兵」と話して、海雄旅団への出撃を命じよう。			黒渦団の書記官によると、キャンドルキープ埠頭が海嘯派のサハギン族の襲撃を受けているようだ。上甲板層の黒渦団：軍令部の「黒渦団の通信兵」と話して、海雄旅団への出撃を命じよう。			母なる女王							
黒渦団の通信兵を通して、海雄旅団に出撃を命じた。低地ラノシアのキャンドルキープ埠頭付近の「ヴェイスケート」と話そう。			黒渦団の通信兵を通して、海雄旅団に出撃を命じた。低地ラノシアのキャンドルキープ埠頭付近の「ヴェイスケート」と話そう。			母なる女王							
ヴェイスケートと話した。海雄旅団の尋問によって、海嘯派のサハギン族から得た情報によると、彼らは、リムサ・ロミンサ侵攻の足がかりとするために、キャンドルキープ埠頭を襲撃したと話し、その切り札が偽神獣であるという。下甲板層の船着場：リムサ・ロミンサ付近の「メルウィブ」と話して、ドォウが潜伏する小島に向かおう。			ヴェイスケートと話した。海雄旅団の尋問によって、海嘯派のサハギン族から得た情報によると、彼らは、リムサ・ロミンサ侵攻の足がかりとするために、キャンドルキープ埠頭を襲撃したと話し、その切り札が偽神獣であるという。下甲板層の船着場：リムサ・ロミンサ付近の「メルウィブ」と話して、ドォウが潜伏する小島に向かおう。			母なる女王							
メルウィブや海雄旅団とともに、ドォウのもとを訪ねると、ついに偽神獣と遭遇を果たした。冒険者は超える力によって、偽神獣の正体がサハギン族の女王である「蒼茫の母」であることを知る。偽神獣が操るエーテルを吸収する技によって、メルウィブと海雄旅団は窮地に立たされるも、どこからか撃たれた銃撃に救われる形で、一行は偽神獣を前にして撤退する。船着場：リムサ・ロミンサ付近の「メルウィブ」と再度話そう。			メルウィブや海雄旅団とともに、ドォウのもとを訪ねると、ついに偽神獣と遭遇を果たした。冒険者は超える力によって、偽神獣の正体がサハギン族の女王である「蒼茫の母」であることを知る。偽神獣が操るエーテルを吸収する技によって、メルウィブと海雄旅団は窮地に立たされるも、どこからか撃たれた銃撃に救われる形で、一行は偽神獣を前にして撤退する。船着場：リムサ・ロミンサ付近の「メルウィブ」と再度話そう。			母なる女王							
メルウィブと話した。望潮のノォルは、偽神獣の正体が母なる女王であったことにショックを隠せないようだ。黒渦団：軍令部の「メルウィブ」と話そう。			メルウィブと話した。望潮のノォルは、偽神獣の正体が母なる女王であったことにショックを隠せないようだ。黒渦団：軍令部の「メルウィブ」と話そう。			母なる女王							
メルウィブは、偽神獣が使う技は厄介だが、「超える力」を持たずとも、幾度も蛮神を討伐してきた海雄旅団を信じると話す。しかし、念には念を入れて、ある男を呼び戻すことも考えているようだ。いまは偽神獣との戦いで疲弊した身体を休めながら、何か動きがあるのを待とう。※いずれかの近接物理DPSジョブのレベルが89以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			メルウィブは、偽神獣が使う技は厄介だが、「超える力」を持たずとも、幾度も蛮神を討伐してきた海雄旅団を信じると話す。しかし、念には念を入れて、ある男を呼び戻すことも考えているようだ。いまは偽神獣との戦いで疲弊した身体を休めながら、何か動きがあるのを待とう。※いずれかの近接物理DPSジョブのレベルが89以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			母なる女王							
黒渦団の通信兵と話す			黒渦団の通信兵と話す			母なる女王							
キャンドルキープ埠頭付近のヴェイスケートと話す			キャンドルキープ埠頭付近のヴェイスケートと話す			母なる女王							
船着場：リムサ・ロミンサ付近のメルウィブと話す			船着場：リムサ・ロミンサ付近のメルウィブと話す			母なる女王							
メルウィブと再度話す			メルウィブと再度話す			母なる女王							
黒渦団：軍令部のメルウィブと話す			黒渦団：軍令部のメルウィブと話す			母なる女王							
Forenameさん、大変です、またもや海嘯派による襲撃が発生しました！			Forenameさん、大変です、またもや海嘯派による襲撃が発生しました！			母なる女王							
複数の海嘯派サハギン族が、キャンドルキープ埠頭に上陸、襲撃を開始した模様です！「黒渦団の通信兵」を介し、海雄旅団に出撃を命じてください！			複数の海嘯派サハギン族が、キャンドルキープ埠頭に上陸、襲撃を開始した模様です！「黒渦団の通信兵」を介し、海雄旅団に出撃を命じてください！			母なる女王							
海雄旅団の団員たちに、通信を繋ぎます！彼らへの指示をお願いします！			海雄旅団の団員たちに、通信を繋ぎます！彼らへの指示をお願いします！			母なる女王							
(-ヴェイスケートの声-)なに……海嘯派がキャンドルキープ埠頭に！？			(-ヴェイスケートの声-)なに……海嘯派がキャンドルキープ埠頭に！？			母なる女王							
(-ヴェイスケートの声-)現在、低地ラノシアには、ランドゥネルとウ・オドが出向いているはずだ。ふたりに指示を頼む、団長代行！			(-ヴェイスケートの声-)現在、低地ラノシアには、ランドゥネルとウ・オドが出向いているはずだ。ふたりに指示を頼む、団長代行！			母なる女王							
ランドゥネルは、勇猛果敢な熱血漢。ウ・オド・ヌンは、冷静沈着な狩りの達人だ。ふたりの役割が偏らないように、バランス良く指示を与えよう。			ランドゥネルは、勇猛果敢な熱血漢。ウ・オド・ヌンは、冷静沈着な狩りの達人だ。ふたりの役割が偏らないように、バランス良く指示を与えよう。			母なる女王							
ランドゥネルに何と指示を出す？			ランドゥネルに何と指示を出す？			母なる女王							
海嘯派を迎撃せよ！			海嘯派を迎撃せよ！			母なる女王							
現地住民の救援に当たれ！			現地住民の救援に当たれ！			母なる女王							
(-ランドゥネルの声-)っしゃァ、暴れるぜェ！			(-ランドゥネルの声-)っしゃァ、暴れるぜェ！			母なる女王							
ウ・オド・ヌンに何と指示を出す？			ウ・オド・ヌンに何と指示を出す？			母なる女王							
海嘯派を迎撃せよ！			海嘯派を迎撃せよ！			母なる女王							
現地住民の救援に当たれ！			現地住民の救援に当たれ！			母なる女王							
(-ウ・オド・ヌンの声-)フン、やってやろうじゃねぇか。			(-ウ・オド・ヌンの声-)フン、やってやろうじゃねぇか。			母なる女王							
(-ヴェイスケートの声-)すでに俺やほかの団員たちも向かってる！お前と提督も後から来てくれ！			(-ヴェイスケートの声-)すでに俺やほかの団員たちも向かってる！お前と提督も後から来てくれ！			母なる女王							
提督には、私から連絡しておきます。どうか、団長であるあなたもキャンドルキープ埠頭に向かい、「ヴェイスケート」殿らに、加勢をお願いします！			提督には、私から連絡しておきます。どうか、団長であるあなたもキャンドルキープ埠頭に向かい、「ヴェイスケート」殿らに、加勢をお願いします！			母なる女王							
「黒渦団の通信兵」を介し、海雄旅団に出撃を命じてください！			「黒渦団の通信兵」を介し、海雄旅団に出撃を命じてください！			母なる女王							
よう、海嘯派の連中は、すでに大人しくなってるぜ。心配せずとも、殺しちゃいない。			よう、海嘯派の連中は、すでに大人しくなってるぜ。心配せずとも、殺しちゃいない。			母なる女王							
さて、今回のお前の采配ぶりを振り返ってみよう。			さて、今回のお前の采配ぶりを振り返ってみよう。			母なる女王							
海嘯派の相手を任されたランドゥネルは、水を得た魚のように暴れ回ったようだな。まったく、どっちが悪者なんだかわかりゃしねえ。			海嘯派の相手を任されたランドゥネルは、水を得た魚のように暴れ回ったようだな。まったく、どっちが悪者なんだかわかりゃしねえ。			母なる女王							
住民の保護を任されたランドゥネルは、文句を言いながらも全員を守ってみせたようだ。素行は悪いが、情に厚い男だからな。			住民の保護を任されたランドゥネルは、文句を言いながらも全員を守ってみせたようだ。素行は悪いが、情に厚い男だからな。			母なる女王							
海嘯派の相手を任されたウ・オドは、団員随一の「技量」を持つ男だ。こいつらを制圧するのに、5分もかからなかっただろう。			海嘯派の相手を任されたウ・オドは、団員随一の「技量」を持つ男だ。こいつらを制圧するのに、5分もかからなかっただろう。			母なる女王							
住民の保護を任されたウ・オドは、ひとりの怪我人も出すことなく、住民を守り抜いた。さすがは、ウ族を率いる族長といったところだな。			住民の保護を任されたウ・オドは、ひとりの怪我人も出すことなく、住民を守り抜いた。さすがは、ウ族を率いる族長といったところだな。			母なる女王							
まとめると、お前は団長代行として上手くやってみせた！的確な指示を出すことで、迅速に事態を解決まで導いたんだ！			まとめると、お前は団長代行として上手くやってみせた！的確な指示を出すことで、迅速に事態を解決まで導いたんだ！			母なる女王							
お前がふたりに迎撃を命じたことで、逃げ遅れた住民の中に、怪我人が出ちまった。俺たちが駆けつけたことで、最悪の事態は免れたがな……。			お前がふたりに迎撃を命じたことで、逃げ遅れた住民の中に、怪我人が出ちまった。俺たちが駆けつけたことで、最悪の事態は免れたがな……。			母なる女王							
お前はふたりに住民の救援を命じたが、そのぶん海嘯派の制圧が遅れ、港湾施設に被害が出ちまった。慎重なのは悪いことじゃないが、次はもっとよく考えるんだ。			お前はふたりに住民の救援を命じたが、そのぶん海嘯派の制圧が遅れ、港湾施設に被害が出ちまった。慎重なのは悪いことじゃないが、次はもっとよく考えるんだ。			母なる女王							
まとめると、団長代行としては、まずまずと言ったところだ。だが、お前の指揮能力なら、もっと上手くやれるはずだ。次も期待してるぜ！			まとめると、団長代行としては、まずまずと言ったところだ。だが、お前の指揮能力なら、もっと上手くやれるはずだ。次も期待してるぜ！			母なる女王							
遅くなってすまない。だが、すでに片付いているようだな。さすがは海雄旅団といったところか。			遅くなってすまない。だが、すでに片付いているようだな。さすがは海雄旅団といったところか。			母なる女王							
さて、キャンドルキープ埠頭を襲った理由について、聞かせてもらいたいものだが……。			さて、キャンドルキープ埠頭を襲った理由について、聞かせてもらいたいものだが……。			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ……貴様らヒレナシどもと交わす言葉などないわ！			(-強情な海嘯派のサハギン族-)フスィーッ……貴様らヒレナシどもと交わす言葉などないわ！			母なる女王							
と来れば、俺たちがやることはたったひとつだ。			と来れば、俺たちがやることはたったひとつだ。			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ、拷問でもしようというのか？野蛮なヒレナシらしいやり方だな！			(-強情な海嘯派のサハギン族-)フスィーッ、拷問でもしようというのか？野蛮なヒレナシらしいやり方だな！			母なる女王							
拷問なんて、とんでもありませんよ。			拷問なんて、とんでもありませんよ。			母なる女王							
シュコォ……　シュコォ……素直に　おしゃべり　したくな～る！それが　ゴブたちの　やり方～！			シュコォ……　シュコォ……素直に　おしゃべり　したくな～る！それが　ゴブたちの　やり方～！			母なる女王							
海雄旅団では、尋問と言えば、シャマニ・ローマニかブレイフロクスに任せるのが常だ。			海雄旅団では、尋問と言えば、シャマニ・ローマニかブレイフロクスに任せるのが常だ。			母なる女王							
シャマニ・ローマニは、理知的な男だ。尋問と言えど、暴力的な振る舞いはしない。			シャマニ・ローマニは、理知的な男だ。尋問と言えど、暴力的な振る舞いはしない。			母なる女王							
一方、ブレイフロクスは……正直、何を考えているかわからん。突拍子もない振る舞いも多いが、当たった時はドデカイ成果を出す。			一方、ブレイフロクスは……正直、何を考えているかわからん。突拍子もない振る舞いも多いが、当たった時はドデカイ成果を出す。			母なる女王							
さあ、団長代行。海嘯派の尋問をどちらに任せるか、決めてくれ！			さあ、団長代行。海嘯派の尋問をどちらに任せるか、決めてくれ！			母なる女王							
どちらに尋問をさせる？			どちらに尋問をさせる？			母なる女王							
シャマニ・ローマニ			シャマニ・ローマニ			母なる女王							
ブレイフロクス			ブレイフロクス			母なる女王							
では、私が聞き出してみせますよ。無論、平和的にね。			では、私が聞き出してみせますよ。無論、平和的にね。			母なる女王							
サハギン族は、ラノシアオレンジを好むと聞いたことがあります。だとしたら、この新鮮なオレンジを使った極上の果実酒に、魅了されずにはいられないのでは？			サハギン族は、ラノシアオレンジを好むと聞いたことがあります。だとしたら、この新鮮なオレンジを使った極上の果実酒に、魅了されずにはいられないのでは？			母なる女王							
(-強情な海嘯派のサハギン族-)フ、フスイーッ！こ、これは……！！			(-強情な海嘯派のサハギン族-)フ、フスイーッ！こ、これは……！！			母なる女王							
(-強情な海嘯派のサハギン族-)何と美味なのか！このような、美味な酒は味わったことが……！た、たのむ、もう一杯……いや、せめてもう一口だけでも！			(-強情な海嘯派のサハギン族-)何と美味なのか！このような、美味な酒は味わったことが……！た、たのむ、もう一杯……いや、せめてもう一口だけでも！			母なる女王							
もちろん。質問に答えていただけたなら、一杯とは言わず、ひと瓶でも、ひと樽でも……。			もちろん。質問に答えていただけたなら、一杯とは言わず、ひと瓶でも、ひと樽でも……。			母なる女王							
(-強情な海嘯派のサハギン族-)ハァ……ハァ……ゴクリ……な、何が知りたいのだ、言ってみろ！だから、もっと果実酒を……このとおりだ！！			(-強情な海嘯派のサハギン族-)ハァ……ハァ……ゴクリ……な、何が知りたいのだ、言ってみろ！だから、もっと果実酒を……このとおりだ！！			母なる女王							
シュコォ……　シュコォ……吐かぬなら～　吐くまで聞くよ～　このチーズで～			シュコォ……　シュコォ……吐かぬなら～　吐くまで聞くよ～　このチーズで～			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ……な、なにをするつもりだ！			(-強情な海嘯派のサハギン族-)フスィーッ……な、なにをするつもりだ！			母なる女王							
(-強情な海嘯派のサハギン族-)な……なん……この……臭……い……！！			(-強情な海嘯派のサハギン族-)な……なん……この……臭……い……！！			母なる女王							
(-強情な海嘯派のサハギン族-)グ、グエェーッ！オボボボボボボボボボボ！！			(-強情な海嘯派のサハギン族-)グ、グエェーッ！オボボボボボボボボボボ！！			母なる女王							
シュコォ……　シュコォ……ゴブリンチーズ　とてとて美味いが　とてとて臭い！吐かぬなら～　吐くまで嗅がすぞ～　ゴブリンチーズ～！			シュコォ……　シュコォ……ゴブリンチーズ　とてとて美味いが　とてとて臭い！吐かぬなら～　吐くまで嗅がすぞ～　ゴブリンチーズ～！			母なる女王							
違うもんなら、とっくに吐いてるがな……。			違うもんなら、とっくに吐いてるがな……。			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ……わかったからもうやめてくれ……何でも答えるから許してくれーッ！			(-強情な海嘯派のサハギン族-)フスィーッ……わかったからもうやめてくれ……何でも答えるから許してくれーッ！			母なる女王							
改めて問おう。なぜこの埠頭を襲ったのだ？			改めて問おう。なぜこの埠頭を襲ったのだ？			母なる女王							
(-強情な海嘯派のサハギン族-)フスィーッ……ドォウ様の命令だ。貴様らヒレナシどもの都へ攻めこむための、足がかりにしようと考えていたようだ。			(-強情な海嘯派のサハギン族-)フスィーッ……ドォウ様の命令だ。貴様らヒレナシどもの都へ攻めこむための、足がかりにしようと考えていたようだ。			母なる女王							
リムサ・ロミンサを攻める、だと……？海嘯派の戦力だけでは無謀にも思えるが……。			リムサ・ロミンサを攻める、だと……？海嘯派の戦力だけでは無謀にも思えるが……。			母なる女王							
(-強情な海嘯派のサハギン族-)ドォウ様には切り札があるのだ。それが何かは知らぬが、絶大な力だと聞いている。			(-強情な海嘯派のサハギン族-)ドォウ様には切り札があるのだ。それが何かは知らぬが、絶大な力だと聞いている。			母なる女王							
やはり、水神リヴァイアサンを召喚するつもりか？			やはり、水神リヴァイアサンを召喚するつもりか？			母なる女王							
(-強情な海嘯派のサハギン族-)違う。もっとも色濃く水神様の祝福を受けた、最初の存在という噂だ。			(-強情な海嘯派のサハギン族-)違う。もっとも色濃く水神様の祝福を受けた、最初の存在という噂だ。			母なる女王							
……そうであっては、ほしくなかったが、ドォウ殿の切り札とは、偽神獣のことで間違いあるまい。			……そうであっては、ほしくなかったが、ドォウ殿の切り札とは、偽神獣のことで間違いあるまい。			母なる女王							
これが最後の質問だ。ドォウ殿は、いまどこに？			これが最後の質問だ。ドォウ殿は、いまどこに？			母なる女王							
(-強情な海嘯派のサハギン族-)……南東にある諸島の外れ、名もなき小島の洞窟にて儀式を行っておられる。祝福されし存在を呼ぶために違いあるまい……！			(-強情な海嘯派のサハギン族-)……南東にある諸島の外れ、名もなき小島の洞窟にて儀式を行っておられる。祝福されし存在を呼ぶために違いあるまい……！			母なる女王							
情報提供、感謝する。			情報提供、感謝する。			母なる女王							
ドォウ殿が潜伏しているという小島は、おそらく、シェルダレー諸島にある無人島のことだろう。そこで海都攻めの準備を整えている、といったところか。			ドォウ殿が潜伏しているという小島は、おそらく、シェルダレー諸島にある無人島のことだろう。そこで海都攻めの準備を整えている、といったところか。			母なる女王							
ところでよ……偽神獣ってのは、そう簡単に手懐けられる存在なのか？			ところでよ……偽神獣ってのは、そう簡単に手懐けられる存在なのか？			母なる女王							
終末の獣を制御することなど、誰にもできるはずがない。すぐに止めなければ、海嘯派の者たちにも累が及ぶだろう。			終末の獣を制御することなど、誰にもできるはずがない。すぐに止めなければ、海嘯派の者たちにも累が及ぶだろう。			母なる女王							
潜伏先と目される小島までは、黒渦団の軍船で向かおう。各自、リムサ・ロミンサの船着場に集まってくれ。			潜伏先と目される小島までは、黒渦団の軍船で向かおう。各自、リムサ・ロミンサの船着場に集まってくれ。			母なる女王							
まだ隠していることがないとも限らん。シャマニ・ローマニとブレイフロクスは、引き続き尋問を続けてくれ。			まだ隠していることがないとも限らん。シャマニ・ローマニとブレイフロクスは、引き続き尋問を続けてくれ。			母なる女王							
遅かったじゃねェか、団長代行。ま、俺にかかればこんなモンよ。			遅かったじゃねェか、団長代行。ま、俺にかかればこんなモンよ。			母なる女王							
こいつらじゃ、準備運動にもなりゃしねぇ。			こいつらじゃ、準備運動にもなりゃしねぇ。			母なる女王							
久しぶりの召集だったので、少し張り切っちゃいました。			久しぶりの召集だったので、少し張り切っちゃいました。			母なる女王							
シュコォ……　シュコォ……この程度　ゴブにかかれば　なんのその～全員まとめて　一網打尽～！			シュコォ……　シュコォ……この程度　ゴブにかかれば　なんのその～全員まとめて　一網打尽～！			母なる女王							
キャンドルキープ埠頭に向かい、「ヴェイスケート」さんたちに、加勢をお願いします！			キャンドルキープ埠頭に向かい、「ヴェイスケート」さんたちに、加勢をお願いします！			母なる女王							
まさか、音に聞こえし海雄旅団と共闘することになろうとは……。黒渦団にいて良かった……。			まさか、音に聞こえし海雄旅団と共闘することになろうとは……。黒渦団にいて良かった……。			母なる女王							
皆、揃っているな。これより、海嘯派の司祭、ドォウ殿が拠点にしていると思われる小島へ向かう！			皆、揃っているな。これより、海嘯派の司祭、ドォウ殿が拠点にしていると思われる小島へ向かう！			母なる女王							
融和派のノォル殿も、現地にて、我々と合流するつもりのようだ。			融和派のノォル殿も、現地にて、我々と合流するつもりのようだ。			母なる女王							
件の小島には、偽神獣が潜んでいる可能性もあるだろう。くれぐれも注意して事に当たってくれ！			件の小島には、偽神獣が潜んでいる可能性もあるだろう。くれぐれも注意して事に当たってくれ！			母なる女王							
君も、海雄旅団の団長代行として、皆の士気が上がる言葉をかけてくれ！			君も、海雄旅団の団長代行として、皆の士気が上がる言葉をかけてくれ！			母なる女王							
何と言う？			何と言う？			母なる女王							
強き力は！			強き力は！			母なる女王							
我ら～？			我ら～？			母なる女王							
(-海雄旅団一同-)弱き者のために！さあ、行くぞ！			(-海雄旅団一同-)弱き者のために！さあ、行くぞ！			母なる女王							
そんな掛け声、聞いたこともねぇが……。			そんな掛け声、聞いたこともねぇが……。			母なる女王							
ともかく、行くぞ！			ともかく、行くぞ！			母なる女王							
探したぞ、ドォウ殿……。			探したぞ、ドォウ殿……。			母なる女王							
貴殿は偽神獣の居場所について心当たりがあるようだが、詳しく教えてはもらえないだろうか？			貴殿は偽神獣の居場所について心当たりがあるようだが、詳しく教えてはもらえないだろうか？			母なる女王							
フシュシュシュシュ……。			フシュシュシュシュ……。			母なる女王							
おい……見るからにヤバそうなヤツが来たぜ！			おい……見るからにヤバそうなヤツが来たぜ！			母なる女王							
フスィーッ……あの姿、間違いない……拙者どもが海で最初に目撃した獣でござる！			フスィーッ……あの姿、間違いない……拙者どもが海で最初に目撃した獣でござる！			母なる女王							
