クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
それは、未だ人々の記憶に刻まれたことのない神……。これなる蛮神を放置することはできません……。			それは、未だ人々の記憶に刻まれたことのない神……。これなる蛮神を放置することはできません……。			黒衣森の伝説							
グリダニアは神勇隊司令室……隊長「リュウィン」殿が、調査にあたっています。白日導くあなたの光で、彼の地を照らしてください……。			グリダニアは神勇隊司令室……隊長「リュウィン」殿が、調査にあたっています。白日導くあなたの光で、彼の地を照らしてください……。			黒衣森の伝説							
Surnameではないか。お前の活躍は噂で聞いているぞ。			Surnameではないか。お前の活躍は噂で聞いているぞ。			黒衣森の伝説							
……未確認の蛮神の件だろう。お前がいれば、我々も心強い。よろしく頼む。			……未確認の蛮神の件だろう。お前がいれば、我々も心強い。よろしく頼む。			黒衣森の伝説							
「神勇隊司令室」に移動しますか？			「神勇隊司令室」に移動しますか？			黒衣森の伝説							
はい			はい			黒衣森の伝説							
いいえ			いいえ			黒衣森の伝説							
シドはミンフィリア救出作戦を開始したいようだ。			シドはミンフィリア救出作戦を開始したいようだ。			カストルム・セントリからの救出							
ミンフィリア救出のため、ついに作戦を決行することになった。「リペアド・インペリアルポットヘルム」と「リペアド・インペリアルショートローブ」を装備して、シドに話しかけよう。			ミンフィリア救出のため、ついに作戦を決行することになった。「リペアド・インペリアルポットヘルム」と「リペアド・インペリアルショートローブ」を装備して、シドに話しかけよう。			カストルム・セントリからの救出							
変装が功を奏し、帝国基地へ無事潜入することに成功した。帝国兵3人にエモート「帝国式敬礼」をして、ミンフィリアたちの情報を集めよう。			変装が功を奏し、帝国基地へ無事潜入することに成功した。帝国兵3人にエモート「帝国式敬礼」をして、ミンフィリアたちの情報を集めよう。			カストルム・セントリからの救出							
ミンフィリアたち「暁」の仲間は、物資保管塔に幽閉されているらしい。帝国兵に再度エモート「帝国式敬礼」をして、彼女らを逃がす算段をつけよう。			ミンフィリアたち「暁」の仲間は、物資保管塔に幽閉されているらしい。帝国兵に再度エモート「帝国式敬礼」をして、彼女らを逃がす算段をつけよう。			カストルム・セントリからの救出							
帝国兵から「帝国軍認証鍵」を入手した。ともに潜入中のビッグスに渡そう。			帝国兵から「帝国軍認証鍵」を入手した。ともに潜入中のビッグスに渡そう。			カストルム・セントリからの救出							
帝国軍認証鍵を使って、物資保管塔のある区画に潜入した。「物資保管塔の扉」の前でミンフィリアたちを救出する機会を窺おう。			帝国軍認証鍵を使って、物資保管塔のある区画に潜入した。「物資保管塔の扉」の前でミンフィリアたちを救出する機会を窺おう。			カストルム・セントリからの救出							
見事、ミンフィリアたちを救出することに成功した冒険者たちだが……。			見事、ミンフィリアたちを救出することに成功した冒険者たちだが……。			カストルム・セントリからの救出							
ウルダハ・ランディングのミンフィリアと話そう。			ウルダハ・ランディングのミンフィリアと話そう。			カストルム・セントリからの救出							
苦難の末にミンフィリアらの救出に成功した冒険者。状況はけっして楽ではないが、このまま暁の灯を絶やすわけにはいかない。まずはエオルゼア諸都市の首領を説得する必要があるだろう。			苦難の末にミンフィリアらの救出に成功した冒険者。状況はけっして楽ではないが、このまま暁の灯を絶やすわけにはいかない。まずはエオルゼア諸都市の首領を説得する必要があるだろう。			カストルム・セントリからの救出							
帝国兵の装備でカストルム・セントリ東のシドと話す			帝国兵の装備でカストルム・セントリ東のシドと話す			カストルム・セントリからの救出							
帝国兵に「帝国式敬礼」をして情報を集める			帝国兵に「帝国式敬礼」をして情報を集める			カストルム・セントリからの救出							
帝国軍百人隊長に「帝国式敬礼」をして鍵をもらう			帝国軍百人隊長に「帝国式敬礼」をして鍵をもらう			カストルム・セントリからの救出							
ビッグスに帝国軍認証鍵を渡す			ビッグスに帝国軍認証鍵を渡す			カストルム・セントリからの救出							
物資保管塔の扉を調べる			物資保管塔の扉を調べる			カストルム・セントリからの救出							
ウルダハ・ランディングのミンフィリアと話す			ウルダハ・ランディングのミンフィリアと話す			カストルム・セントリからの救出							
Forename、準備はできたか？そろそろ出発するぜ。			Forename、準備はできたか？そろそろ出発するぜ。			カストルム・セントリからの救出							
……来てくれたのか。ちょうど、これから出ようと思っていたところだ。			……来てくれたのか。ちょうど、これから出ようと思っていたところだ。			カストルム・セントリからの救出							
ああ、見送りにな。なんせ、ようやくオレの願いが叶うってんだからよ。			ああ、見送りにな。なんせ、ようやくオレの願いが叶うってんだからよ。			カストルム・セントリからの救出							
……そういえば、聞いていなかったな。いったい帝国にどんな恨みが……？ああ、すまない。辛い思い出なら言わなくても……。			……そういえば、聞いていなかったな。いったい帝国にどんな恨みが……？ああ、すまない。辛い思い出なら言わなくても……。			カストルム・セントリからの救出							
いやいや、いいってことよ。オレも、あんたらには話しておきたいと思っていたんだ。……とはいっても、よくある話で面白みはないぜ？			いやいや、いいってことよ。オレも、あんたらには話しておきたいと思っていたんだ。……とはいっても、よくある話で面白みはないぜ？			カストルム・セントリからの救出							
帝国軍に家族を奪われたんだよ。……母ちゃん、いっつも笑顔でな。オレや妹にも、すげーやさしかったんだ。			帝国軍に家族を奪われたんだよ。……母ちゃん、いっつも笑顔でな。オレや妹にも、すげーやさしかったんだ。			カストルム・セントリからの救出							
でもよ、戦争で帝国軍に捕まっちまってさ……。最後は妹と2人、断崖から身を投げたよ。……オレの目の前でな。			でもよ、戦争で帝国軍に捕まっちまってさ……。最後は妹と2人、断崖から身を投げたよ。……オレの目の前でな。			カストルム・セントリからの救出							
……もう何年前になるかなぁ。昔、アラミゴが陥落した時の話さ。			……もう何年前になるかなぁ。昔、アラミゴが陥落した時の話さ。			カストルム・セントリからの救出							
なんとか帝国に復讐してやろうと、オレは冒険者になった。……これでも頑張ってきたんだぜ？だけどさ、結局、何にもできなかった。			なんとか帝国に復讐してやろうと、オレは冒険者になった。……これでも頑張ってきたんだぜ？だけどさ、結局、何にもできなかった。			カストルム・セントリからの救出							
でもな、オレは、あんたらを見てて思ったよ。オレにはやれないことを、できるヤツらなんだって。			でもな、オレは、あんたらを見てて思ったよ。オレにはやれないことを、できるヤツらなんだって。			カストルム・セントリからの救出							
俺たちは仲間の救出に行くだけだ。「カストルム・セントリ」を攻めに行くわけじゃない。			俺たちは仲間の救出に行くだけだ。「カストルム・セントリ」を攻めに行くわけじゃない。			カストルム・セントリからの救出							
わかっているって。でも、お仲間を無事助けたら、帝国とやり合うつもりだろ？……だったら、やっぱりオレの願いは叶うさ。			わかっているって。でも、お仲間を無事助けたら、帝国とやり合うつもりだろ？……だったら、やっぱりオレの願いは叶うさ。			カストルム・セントリからの救出							
オレの願いは、オレの復讐を果たしてくれるヤツを探すことだったからなぁ。あんたらなら、きっとやってくれる。			オレの願いは、オレの復讐を果たしてくれるヤツを探すことだったからなぁ。あんたらなら、きっとやってくれる。			カストルム・セントリからの救出							
お前は、直接復讐しなくていいのか。帝国が憎いんだろう？なんなら、いっしょに……。			お前は、直接復讐しなくていいのか。帝国が憎いんだろう？なんなら、いっしょに……。			カストルム・セントリからの救出							
お誘いはありがたいけどな。……ダメなんだ。			お誘いはありがたいけどな。……ダメなんだ。			カストルム・セントリからの救出							
母ちゃんが死ぬ前に、オレの背中を斬りやがってよ。心中を図るつもりだったんだろうけど、それ以来、戦いになると体が思うように動かなくてさ。			母ちゃんが死ぬ前に、オレの背中を斬りやがってよ。心中を図るつもりだったんだろうけど、それ以来、戦いになると体が思うように動かなくてさ。			カストルム・セントリからの救出							
ヘヘ、一方的な願いだ、気にしないでいいぜ。オレ自身はこれで満足してるんだから。			ヘヘ、一方的な願いだ、気にしないでいいぜ。オレ自身はこれで満足してるんだから。			カストルム・セントリからの救出							
作戦の完遂と、お仲間の無事を祈ってるぜ。……じゃあな。どーんと行って、どーんとあざむいてこい！			作戦の完遂と、お仲間の無事を祈ってるぜ。……じゃあな。どーんと行って、どーんとあざむいてこい！			カストルム・セントリからの救出							
帝国による支配は、悲しみしか生まない。……こんな戦い、一刻も早く終わらせるんだ。エオルゼアの民のためにもな……。			帝国による支配は、悲しみしか生まない。……こんな戦い、一刻も早く終わらせるんだ。エオルゼアの民のためにもな……。			カストルム・セントリからの救出							
まずはミンフィリアを助ける。そして、戦いを終わらせる。……俺たちの手で！			まずはミンフィリアを助ける。そして、戦いを終わらせる。……俺たちの手で！			カストルム・セントリからの救出							
よし、出発だ。これから「カストルム・セントリ」に侵入して、ミンフィリアを救出する。			よし、出発だ。これから「カストルム・セントリ」に侵入して、ミンフィリアを救出する。			カストルム・セントリからの救出							
俺とビッグス、それにウェッジの3人は、先行して「カストルム・セントリ」の付近に控えておく。お前も、準備ができたら来てくれ。			俺とビッグス、それにウェッジの3人は、先行して「カストルム・セントリ」の付近に控えておく。お前も、準備ができたら来てくれ。			カストルム・セントリからの救出							
おっと、帝国軍の服を着るのを忘れるなよ。これは侵入作戦なんだからな。			おっと、帝国軍の服を着るのを忘れるなよ。これは侵入作戦なんだからな。			カストルム・セントリからの救出							
工房に入るのか？我々も気をつけているが、コッソリ入るのだぞ。			工房に入るのか？我々も気をつけているが、コッソリ入るのだぞ。			カストルム・セントリからの救出							
「隠された工房」に入りますか？			「隠された工房」に入りますか？			カストルム・セントリからの救出							
はい			はい			カストルム・セントリからの救出							
いいえ			いいえ			カストルム・セントリからの救出							
いよいよ「カストルム・セントリ」へ侵入だ。そろそろ、哨戒中の部隊が帰ってくる。早く帝国軍の服を着るんだ。			いよいよ「カストルム・セントリ」へ侵入だ。そろそろ、哨戒中の部隊が帰ってくる。早く帝国軍の服を着るんだ。			カストルム・セントリからの救出							
もし帝国兵の装備を失くしたのなら、レヴナンツトールでグラウムントにもらうといい。予備を用意してくれているはずだ。			もし帝国兵の装備を失くしたのなら、レヴナンツトールでグラウムントにもらうといい。予備を用意してくれているはずだ。			カストルム・セントリからの救出							
あんたらは出発したと思ったが……？ははあ、さては帝国兵の装備を失くしたんだな？予備をやるから、今度こそ失くすなよ！			あんたらは出発したと思ったが……？ははあ、さては帝国兵の装備を失くしたんだな？予備をやるから、今度こそ失くすなよ！			カストルム・セントリからの救出							
砦に再突入する準備はいいか？今度こそ「暁」の奴らを助けるぞ。			砦に再突入する準備はいいか？今度こそ「暁」の奴らを助けるぞ。			カストルム・セントリからの救出							
カストルム・セントリに再突入しますか？			カストルム・セントリに再突入しますか？			カストルム・セントリからの救出							
はい			はい			カストルム・セントリからの救出							
いいえ			いいえ			カストルム・セントリからの救出							
よう、なかなか似合ってるじゃないか。……ハハ、やめてくれって顔だな。			よう、なかなか似合ってるじゃないか。……ハハ、やめてくれって顔だな。			カストルム・セントリからの救出							
このまま進めば「カストルム・セントリ」にたどり着くはずだ。			このまま進めば「カストルム・セントリ」にたどり着くはずだ。			カストルム・セントリからの救出							
数刻前に、哨戒のために帝国兵の小隊が「カストルム・セントリ」を出ている。			数刻前に、哨戒のために帝国兵の小隊が「カストルム・セントリ」を出ている。			カストルム・セントリからの救出							
俺とアルフィノは残って、哨戒部隊の注意を引く。お前たちは、そいつらと入れ替わるように侵入するんだ。			俺とアルフィノは残って、哨戒部隊の注意を引く。お前たちは、そいつらと入れ替わるように侵入するんだ。			カストルム・セントリからの救出							
何かあれば、お前のリンクパールに連絡を入れるさ。いつでも出られるように、用意をしておけよ。			何かあれば、お前のリンクパールに連絡を入れるさ。いつでも出られるように、用意をしておけよ。			カストルム・セントリからの救出							
ウェッジが「魔導アーマー」で先導する。こいつから離れないように進行してくれ。			ウェッジが「魔導アーマー」で先導する。こいつから離れないように進行してくれ。			カストルム・セントリからの救出							
間違っても、要塞の中で、帝国兵の軍服を脱ぐなよ。そん時は、さすがに命の保証までできないからな。			間違っても、要塞の中で、帝国兵の軍服を脱ぐなよ。そん時は、さすがに命の保証までできないからな。			カストルム・セントリからの救出							
さっきまで、イダとヤ・シュトラが居たんだが、なんでも、気になるものを見つけたらしく、調査のために先行している。			さっきまで、イダとヤ・シュトラが居たんだが、なんでも、気になるものを見つけたらしく、調査のために先行している。			カストルム・セントリからの救出							
2人からの伝言だ。無茶をするな……だとさ。			2人からの伝言だ。無茶をするな……だとさ。			カストルム・セントリからの救出							
そろそろ、哨戒中の小隊が帰る時間だ。出発してくれ。			そろそろ、哨戒中の小隊が帰る時間だ。出発してくれ。			カストルム・セントリからの救出							
俺からも言っとくぜ、無茶はするなよ。……成功を祈っているぜ！			俺からも言っとくぜ、無茶はするなよ。……成功を祈っているぜ！			カストルム・セントリからの救出							
ホントに強情なんだから。黙っていても、いいことないのに。			ホントに強情なんだから。黙っていても、いいことないのに。			カストルム・セントリからの救出							
くっ！			くっ！			カストルム・セントリからの救出							
あなたたちの能力……「超える力」……。あれは私たちが必要な力。だから、いろいろと知りたいのよね。			あなたたちの能力……「超える力」……。あれは私たちが必要な力。だから、いろいろと知りたいのよね。			カストルム・セントリからの救出							
あなたたちの目的は、蛮神退治なんでしょ？			あなたたちの目的は、蛮神退治なんでしょ？			カストルム・セントリからの救出							
アタシたちが、代わりにやってやるって言ってんだから、大人しく言うこと聞けばいいのよ！			アタシたちが、代わりにやってやるって言ってんだから、大人しく言うこと聞けばいいのよ！			カストルム・セントリからの救出							
ぐはっ！			ぐはっ！			カストルム・セントリからの救出							
すべて吐いて、この場で死ぬか。耐え難い辱めを受けて、苦しんで死ぬか。			すべて吐いて、この場で死ぬか。耐え難い辱めを受けて、苦しんで死ぬか。			カストルム・セントリからの救出							
どちらがいいかしらね？			どちらがいいかしらね？			カストルム・セントリからの救出							
がっ！			がっ！			カストルム・セントリからの救出							
「暁の血盟」盟主、ミンフィリア。			「暁の血盟」盟主、ミンフィリア。			カストルム・セントリからの救出							
「超える力」を持つあなたの身体……。ゆっくり調べさせてもらうわ。			「超える力」を持つあなたの身体……。ゆっくり調べさせてもらうわ。			カストルム・セントリからの救出							
おい、コイツらをキャンプに連れていけ。カストルム・メリディアヌムの研究室へ送る。			おい、コイツらをキャンプに連れていけ。カストルム・メリディアヌムの研究室へ送る。			カストルム・セントリからの救出							
ハッ！			ハッ！			カストルム・セントリからの救出							
みんな……。			みんな……。			カストルム・セントリからの救出							
貴様、「オクシデンス」から出向している整備班の者か？上官に話すのに「敬礼」のひとつもできんのか？まったく、これだから技術畑の奴らは……。			貴様、「オクシデンス」から出向している整備班の者か？上官に話すのに「敬礼」のひとつもできんのか？まったく、これだから技術畑の奴らは……。			カストルム・セントリからの救出							
貴様、その格好は何だ！まるで冒険者のようではないか！			貴様、その格好は何だ！まるで冒険者のようではないか！			カストルム・セントリからの救出							
さては「オクシデンス」から出向している整備班の者だな？服装もだらしない上に「敬礼」のひとつもできんとは。まったく、これだから技術畑の奴らは……。			さては「オクシデンス」から出向している整備班の者だな？服装もだらしない上に「敬礼」のひとつもできんとは。まったく、これだから技術畑の奴らは……。			カストルム・セントリからの救出							
うむ、ご苦労である！帝国軍に勤める以上、敬礼は忘れるでないぞ！……なに？　捕虜はどこかだと？			うむ、ご苦労である！帝国軍に勤める以上、敬礼は忘れるでないぞ！……なに？　捕虜はどこかだと？			カストルム・セントリからの救出							
制服も着用できない、いい加減な奴かと思ったが……うむ、敬礼はビシッと決まっておるな！……なに？　捕虜はどこかだと？			制服も着用できない、いい加減な奴かと思ったが……うむ、敬礼はビシッと決まっておるな！……なに？　捕虜はどこかだと？			カストルム・セントリからの救出							
捕らえた「暁の血盟」の者たちなら、全員、物資保管塔に叩きこんでおいたぞ。			捕らえた「暁の血盟」の者たちなら、全員、物資保管塔に叩きこんでおいたぞ。			カストルム・セントリからの救出							
そんなことより、貴様もアレの整備を急げよ。ガイウス閣下より直々に特務が出ているのであろう？			そんなことより、貴様もアレの整備を急げよ。ガイウス閣下より直々に特務が出ているのであろう？			カストルム・セントリからの救出							
こら貴様！　「帝国式敬礼」すらできんのか！いくら貴様ら整備班が、こういった場に出ることに慣れてないといっても大概だぞ！　やり直せ！			こら貴様！　「帝国式敬礼」すらできんのか！いくら貴様ら整備班が、こういった場に出ることに慣れてないといっても大概だぞ！　やり直せ！			カストルム・セントリからの救出							
あれ……今流行の冒険者ファッションってやつですか？いいですね、自分も憧れます……。			あれ……今流行の冒険者ファッションってやつですか？いいですね、自分も憧れます……。			カストルム・セントリからの救出							
しかし、なんだって輸送班は、こんなに忙しいんだよ。捕虜の移送といい……新兵器の輸送といい……まったく、忙しくて「敬礼」するヒマすらないよ……。			しかし、なんだって輸送班は、こんなに忙しいんだよ。捕虜の移送といい……新兵器の輸送といい……まったく、忙しくて「敬礼」するヒマすらないよ……。			カストルム・セントリからの救出							
おおっと、失礼しました！……いえ、急に捕虜を移送することになりまして、準備をしているところです。			おおっと、失礼しました！……いえ、急に捕虜を移送することになりまして、準備をしているところです。			カストルム・セントリからの救出							
おっと、その格好でも帝国魂を忘れないとは、さすがです。……自分は、急に捕虜を移送することになりまして、準備をしております。			おっと、その格好でも帝国魂を忘れないとは、さすがです。……自分は、急に捕虜を移送することになりまして、準備をしております。			カストルム・セントリからの救出							
捕虜は現在、物資保管塔に幽閉されているはずです。何人か居たはずですが、移送するのは一人だけとか。……残りの捕虜はどうなってしまうんでしょう……。			捕虜は現在、物資保管塔に幽閉されているはずです。何人か居たはずですが、移送するのは一人だけとか。……残りの捕虜はどうなってしまうんでしょう……。			カストルム・セントリからの救出							
おおっと……それは何でありますか？てっきり、ちゃんと「帝国式敬礼」をしろと、怒られるところかと思いましたよ。			おおっと……それは何でありますか？てっきり、ちゃんと「帝国式敬礼」をしろと、怒られるところかと思いましたよ。			カストルム・セントリからの救出							
き、君……ちゃんと制服を着ないと怒られるよ……。でも、冒険者ファッションも素敵だよね。あの娘の服も可愛かったなぁ……。			き、君……ちゃんと制服を着ないと怒られるよ……。でも、冒険者ファッションも素敵だよね。あの娘の服も可愛かったなぁ……。			カストルム・セントリからの救出							
どうしよう……。……捕虜の女の子に恋をしてしまったのかも……。あの子に「敬礼」してもらいたいだなんて……。			どうしよう……。……捕虜の女の子に恋をしてしまったのかも……。あの子に「敬礼」してもらいたいだなんて……。			カストルム・セントリからの救出							
そう、その敬礼をしてもらいたいんだよ！き、君も捕虜の可愛い娘をみたかい？……金髪の女？　何を言ってるんだ。			そう、その敬礼をしてもらいたいんだよ！き、君も捕虜の可愛い娘をみたかい？……金髪の女？　何を言ってるんだ。			カストルム・セントリからの救出							
僕が言ってるのは、あのララフェルの娘だよ！もう、ぎゅーってしたいくらい可愛いんだよ！……もう一度会いたいけど、鍵は隊長が管理してるしなぁ。			僕が言ってるのは、あのララフェルの娘だよ！もう、ぎゅーってしたいくらい可愛いんだよ！……もう一度会いたいけど、鍵は隊長が管理してるしなぁ。			カストルム・セントリからの救出							
ちがうよ、僕がやってもらいたいのは「帝国式敬礼」なの！あの娘にやってもらいたいなぁ。こうピシっと決めてもらいたい……。			ちがうよ、僕がやってもらいたいのは「帝国式敬礼」なの！あの娘にやってもらいたいなぁ。こうピシっと決めてもらいたい……。			カストルム・セントリからの救出							
何をふらふらしている！現在、カストルム・セントリ内は警戒態勢がしかれている。監房行きになりたくなければ「敬礼」をして用件を話せ。			何をふらふらしている！現在、カストルム・セントリ内は警戒態勢がしかれている。監房行きになりたくなければ「敬礼」をして用件を話せ。			カストルム・セントリからの救出							
……この警戒態勢の最中に、基地内で冒険者のマネゴトとはよほど監房行きになりたいようだな。それが嫌ならば、早急に「敬礼」をして用件を告げろ。			……この警戒態勢の最中に、基地内で冒険者のマネゴトとはよほど監房行きになりたいようだな。それが嫌ならば、早急に「敬礼」をして用件を告げろ。			カストルム・セントリからの救出							
物資保管塔へ向かうための鍵だと？お前のような一兵卒が、捕虜の拘留所に何の用だ。さては……。			物資保管塔へ向かうための鍵だと？お前のような一兵卒が、捕虜の拘留所に何の用だ。さては……。			カストルム・セントリからの救出							
物資保管塔へ向かうための鍵だと？制服も着用せずに、捕虜の拘留所へ何の用だ。さては、本当に冒険者……。			物資保管塔へ向かうための鍵だと？制服も着用せずに、捕虜の拘留所へ何の用だ。さては、本当に冒険者……。			カストルム・セントリからの救出							
……まあいい、これが「帝国軍認証鍵」だ。担当の部隊には、お前が向かうことを私から連絡しておいてやろう……。			……まあいい、これが「帝国軍認証鍵」だ。担当の部隊には、お前が向かうことを私から連絡しておいてやろう……。			カストルム・セントリからの救出							
……いい度胸だな。ベッドで眠れるのは今夜で最後だと思っておけ。明日からは、監房の床がお前の寝床だ。			……いい度胸だな。ベッドで眠れるのは今夜で最後だと思っておけ。明日からは、監房の床がお前の寝床だ。			カストルム・セントリからの救出							
さすがに警備が厳重だな……。この隔壁を開けるには、専用の鍵がいるみたいだ。			さすがに警備が厳重だな……。この隔壁を開けるには、専用の鍵がいるみたいだ。			カストルム・セントリからの救出							
その手を離しなさい！			その手を離しなさい！			カストルム・セントリからの救出							
あれは、ミンフィリアさん！それにみんなも。……よかった、無事だったんだな。			あれは、ミンフィリアさん！それにみんなも。……よかった、無事だったんだな。			カストルム・セントリからの救出							
あなたたちの目的は、わたしの「力」でしょう！？ならば、わたしだけを連れていけばいい！			あなたたちの目的は、わたしの「力」でしょう！？ならば、わたしだけを連れていけばいい！			カストルム・セントリからの救出							
ほかの者たちに、指一本触れてみなさい！この場で舌を噛むわよ！			ほかの者たちに、指一本触れてみなさい！この場で舌を噛むわよ！			カストルム・セントリからの救出							
タタルさん……。今助けるッス！			タタルさん……。今助けるッス！			カストルム・セントリからの救出							
だけど、こうも警備が厳重では……。			だけど、こうも警備が厳重では……。			カストルム・セントリからの救出							
……そうだな、戦うしかないか。			……そうだな、戦うしかないか。			カストルム・セントリからの救出							
こちら、第III分隊。どうした？			こちら、第III分隊。どうした？			カストルム・セントリからの救出							
……なに？哨戒中の「魔導リーパー」が強奪されただと？			……なに？哨戒中の「魔導リーパー」が強奪されただと？			カストルム・セントリからの救出							
エオルゼアの野蛮人どもが活動しているのか。しかし、なんだって、そんな情報が今頃……。			エオルゼアの野蛮人どもが活動しているのか。しかし、なんだって、そんな情報が今頃……。			カストルム・セントリからの救出							
なんだぁ！？この要塞に、味方を装って侵入しているだぁ！？			なんだぁ！？この要塞に、味方を装って侵入しているだぁ！？			カストルム・セントリからの救出							
今だッ、行くぞ！			今だッ、行くぞ！			カストルム・セントリからの救出							
な、何者だ！？……まさか、奪われた魔導リーパーってこれかぁ！？			な、何者だ！？……まさか、奪われた魔導リーパーってこれかぁ！？			カストルム・セントリからの救出							
そ、総員！侵入者を迎撃せよ！			そ、総員！侵入者を迎撃せよ！			カストルム・セントリからの救出							
Forenameさん！……すごく、すっごく怖かったでっす！あううう。			Forenameさん！……すごく、すっごく怖かったでっす！あううう。			カストルム・セントリからの救出							
助けに来てくれたのね……。もう、無茶するんだから！			助けに来てくれたのね……。もう、無茶するんだから！			カストルム・セントリからの救出							
でも、ありがとう！……囚われたのは、これで全員。少し怪我はしているけど、みんな無事よ。			でも、ありがとう！……囚われたのは、これで全員。少し怪我はしているけど、みんな無事よ。			カストルム・セントリからの救出							
サンクレッドを見なかったか？どこにも見当たらないんだ！			サンクレッドを見なかったか？どこにも見当たらないんだ！			カストルム・セントリからの救出							
さぁ、ここから脱出を……。我々はまだ……いばらの筺の中にいる……。			さぁ、ここから脱出を……。我々はまだ……いばらの筺の中にいる……。			カストルム・セントリからの救出							
侵入者にミンフィリアを奪われただと！？いったい、何をやっているのか！……貴様ら、それでもガイウス閣下の軍団兵か！			侵入者にミンフィリアを奪われただと！？いったい、何をやっているのか！……貴様ら、それでもガイウス閣下の軍団兵か！			カストルム・セントリからの救出							
早急に兵を回せ！いいか、ここから外に出すんじゃないぞ！			早急に兵を回せ！いいか、ここから外に出すんじゃないぞ！			カストルム・セントリからの救出							
……鼠か。			……鼠か。			カストルム・セントリからの救出							
第XIV軍団分遣隊長、リウィア・サス・ユニウス。本当に居ただなんて。……イダの目の良さには驚かされるわ。			第XIV軍団分遣隊長、リウィア・サス・ユニウス。本当に居ただなんて。……イダの目の良さには驚かされるわ。			カストルム・セントリからの救出							
こんなに真っ白い鎧だもの！それに、帝国の「ダルマスカの魔女」くらい、あたしでも知ってるよ！			こんなに真っ白い鎧だもの！それに、帝国の「ダルマスカの魔女」くらい、あたしでも知ってるよ！			カストルム・セントリからの救出							
貴様ら「暁の血盟」の賢人たちか……。どうやってここまで入った？			貴様ら「暁の血盟」の賢人たちか……。どうやってここまで入った？			カストルム・セントリからの救出							
あの人たちが騒ぎを起こしてくれたおかげで、案外すんなりとね。			あの人たちが騒ぎを起こしてくれたおかげで、案外すんなりとね。			カストルム・セントリからの救出							
貨物室はちょっと狭かったけどね！あと寒い！			貨物室はちょっと狭かったけどね！あと寒い！			カストルム・セントリからの救出							
輸送魔列車に紛れ込んだのか。……役立たずの警備兵どもが！			輸送魔列車に紛れ込んだのか。……役立たずの警備兵どもが！			カストルム・セントリからの救出							
もっとも、こんな侵入方法では、単独で動くことしかできないけど……。ミンフィリアの救出は、あの人に任せるわ。			もっとも、こんな侵入方法では、単独で動くことしかできないけど……。ミンフィリアの救出は、あの人に任せるわ。			カストルム・セントリからの救出							
情報を集めていて辿り着いたの。「砂の家」を襲い……仲間たちを殺し……。ミンフィリアたちを拐ったのは、あなただったのね。			情報を集めていて辿り着いたの。「砂の家」を襲い……仲間たちを殺し……。ミンフィリアたちを拐ったのは、あなただったのね。			カストルム・セントリからの救出							
みんな死んじゃったんだ！絶対にゆるさないよ！			みんな死んじゃったんだ！絶対にゆるさないよ！			カストルム・セントリからの救出							
あなたは、エオルゼアの脅威となる。……ここで沈んでもらうわ。			あなたは、エオルゼアの脅威となる。……ここで沈んでもらうわ。			カストルム・セントリからの救出							
リウィア様ッ！……き、貴様ら何者だ！？			リウィア様ッ！……き、貴様ら何者だ！？			カストルム・セントリからの救出							
チッ、ここまでか……。……イダ！			チッ、ここまでか……。……イダ！			カストルム・セントリからの救出							
ここにも侵入者だ！追えっ！			ここにも侵入者だ！追えっ！			カストルム・セントリからの救出							
閣下はどこに居られる！？			閣下はどこに居られる！？			カストルム・セントリからの救出							
例の男と、地下格納房です！			例の男と、地下格納房です！			カストルム・セントリからの救出							
すぐに連絡し、状況をお伝えしろ！			すぐに連絡し、状況をお伝えしろ！			カストルム・セントリからの救出							
ハッ！			ハッ！			カストルム・セントリからの救出							
……何たる失態か！			……何たる失態か！			カストルム・セントリからの救出							
いたぞ、侵入者だ！包囲しろ！			いたぞ、侵入者だ！包囲しろ！			カストルム・セントリからの救出							
これ以上、我慢ならないッス！タタルさんは、オイラが守ってみせるッス！！……ビッグス、あとのことは任せたッス！			これ以上、我慢ならないッス！タタルさんは、オイラが守ってみせるッス！！……ビッグス、あとのことは任せたッス！			カストルム・セントリからの救出							
待て、ウェッジ！やめろぉぉぉ！			待て、ウェッジ！やめろぉぉぉ！			カストルム・セントリからの救出							
くっそ……！ミンフィリアさんたちはオレが守る！あいつらを食い止めてくれ！			くっそ……！ミンフィリアさんたちはオレが守る！あいつらを食い止めてくれ！			カストルム・セントリからの救出							
金髪の女以外は殺しても構わん！てぇ！			金髪の女以外は殺しても構わん！てぇ！			カストルム・セントリからの救出							
なにっ！？			なにっ！？			カストルム・セントリからの救出							
ヤ・シュトラ！			ヤ・シュトラ！			カストルム・セントリからの救出							
待たせたわね、ミンフィリア。			待たせたわね、ミンフィリア。			カストルム・セントリからの救出							
パパリモ！ミンフィリア！			パパリモ！ミンフィリア！			カストルム・セントリからの救出							
イダ！			イダ！			カストルム・セントリからの救出							
遅いぞ、イダ！			遅いぞ、イダ！			カストルム・セントリからの救出							
えへへ、よかった無事で。			えへへ、よかった無事で。			カストルム・セントリからの救出							
さて……。			さて……。			カストルム・セントリからの救出							
よーし！やっちゃるか！			よーし！やっちゃるか！			カストルム・セントリからの救出							
しかし、この数が相手では……。			しかし、この数が相手では……。			カストルム・セントリからの救出							
