朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
継承の儀など、余興に過ぎぬ。そこに意味など問うまい。			継承の儀など、余興に過ぎぬ。そこに意味など問うまい。			壺の試練							
ではでは　試練　開始モブ～！でもでも　無理やり　ダメ絶対！モブリン　壺匠　両方笑う　それが条件　忘れずに～！			ではでは　試練　開始モブ～！でもでも　無理やり　ダメ絶対！モブリン　壺匠　両方笑う　それが条件　忘れずに～！			壺の試練							
(-魔のバクージャジャ-)誰かの壺匠を奪っちゃいけないなんて説明はなかった。だから、ね……。			(-魔のバクージャジャ-)誰かの壺匠を奪っちゃいけないなんて説明はなかった。だから、ね……。			壺の試練							
(-魔のバクージャジャ-)いただいちゃおうよ、ほかの連中からさ……。			(-魔のバクージャジャ-)いただいちゃおうよ、ほかの連中からさ……。			壺の試練							
(-戦のバクージャジャ-)ゲッグッグッグ！			(-戦のバクージャジャ-)ゲッグッグッグ！			壺の試練							
(-戦のバクージャジャ-)そいつぁ良い！さすがはオレサマの弟だ！			(-戦のバクージャジャ-)そいつぁ良い！さすがはオレサマの弟だ！			壺の試練							
(-魔のバクージャジャ-)でしょ？さっそく、準備に移ろうよ！			(-魔のバクージャジャ-)でしょ？さっそく、準備に移ろうよ！			壺の試練							
……また何か、悪巧みをしてるようね。			……また何か、悪巧みをしてるようね。			壺の試練							
川上りのときのような妨害に注意しつつ、今は、試練をどう進めていくかを話し合おう。			川上りのときのような妨害に注意しつつ、今は、試練をどう進めていくかを話し合おう。			壺の試練							
ウクラマトさんはどうかしら。壺匠になってくれそうな人に心当たりはない？			ウクラマトさんはどうかしら。壺匠になってくれそうな人に心当たりはない？			壺の試練							
アタシを応援してくれてる奴らの中にも、職人はいるけど、みんな爺ちゃん婆ちゃんだからなぁ……。			アタシを応援してくれてる奴らの中にも、職人はいるけど、みんな爺ちゃん婆ちゃんだからなぁ……。			壺の試練							
トライヨラでの生活を捨てて、この村で壺匠として暮らしてくれってのはキツイと思う。			トライヨラでの生活を捨てて、この村で壺匠として暮らしてくれってのはキツイと思う。			壺の試練							
コーナ兄さんなら、若い職人の支持者が多いから、すぐに見つかるんだろうけどよ。			コーナ兄さんなら、若い職人の支持者が多いから、すぐに見つかるんだろうけどよ。			壺の試練							
あ、これは別に兄さんとアタシを比べてるわけじゃなくて！ただ事実を言っただけだからな！			あ、これは別に兄さんとアタシを比べてるわけじゃなくて！ただ事実を言っただけだからな！			壺の試練							
……あとはそうだな、見つかるかはわからねぇけど、職人が集まる万貨街にでも、相談しにいってみるか？			……あとはそうだな、見つかるかはわからねぇけど、職人が集まる万貨街にでも、相談しにいってみるか？			壺の試練							
ああ、それがよさそうだね。さっそくトライヨラに戻るとしよう。			ああ、それがよさそうだね。さっそくトライヨラに戻るとしよう。			壺の試練							
ん、待てよ？トライヨラに戻るってことは……もしかして、また船に乗るってことか……？			ん、待てよ？トライヨラに戻るってことは……もしかして、また船に乗るってことか……？			壺の試練							
無理無理無理、やだやだやだ！もう船になんか乗りたくねぇよぉ！			無理無理無理、やだやだやだ！もう船になんか乗りたくねぇよぉ！			壺の試練							
弱みを見せていいって言うから、告白するけどよ。			弱みを見せていいって言うから、告白するけどよ。			壺の試練							
実はな………………			実はな………………			壺の試練							
…………アタシ、船が苦手なんだ。			…………アタシ、船が苦手なんだ。			壺の試練							
それはさすがに、今更すぎるだろ……。			それはさすがに、今更すぎるだろ……。			壺の試練							
話してくれてありがとう。帰りは流れに乗るだけだから、そこまで揺れないわよ。			話してくれてありがとう。帰りは流れに乗るだけだから、そこまで揺れないわよ。			壺の試練							
本当か？　信じるぞ？			本当か？　信じるぞ？			壺の試練							
たぶん、おそらく……きっと、ね……。			たぶん、おそらく……きっと、ね……。			壺の試練							
指定されたものを収集してくることなら問題ないんだが、壺匠の世話人なんて、二度とごめんだ……。			指定されたものを収集してくることなら問題ないんだが、壺匠の世話人なんて、二度とごめんだ……。			壺の試練							
ウクラマトさん、船酔いで気分が悪そうね……。何とかしてあげたいけれど、こればかりは、私にもどうしていいか……。			ウクラマトさん、船酔いで気分が悪そうね……。何とかしてあげたいけれど、こればかりは、私にもどうしていいか……。			壺の試練							
私たちが担当した壺匠は、常に誰かに応援されていないと、創作に向き合い続けることができないという人でね。			私たちが担当した壺匠は、常に誰かに応援されていないと、創作に向き合い続けることができないという人でね。			壺の試練							
ひたすらに4人で声援を送り続けたんだ、何十回も、何百回も。エレンヴィルだけは、腹から声を出せと何度も怒られていたよ。			ひたすらに4人で声援を送り続けたんだ、何十回も、何百回も。エレンヴィルだけは、腹から声を出せと何度も怒られていたよ。			壺の試練							
バクージャジャの奴、次はどんな手で妨害してくるか。ううん、妨害だけならまだしも……。			バクージャジャの奴、次はどんな手で妨害してくるか。ううん、妨害だけならまだしも……。			壺の試練							
うぅ……また船酔いが……。やっぱ、イフイカ・トゥムの荒ぶる流れには抗えねぇな……。			うぅ……また船酔いが……。やっぱ、イフイカ・トゥムの荒ぶる流れには抗えねぇな……。			壺の試練							
けど、強がって虚勢を張る必要がなくなったからか、前よりは気持ち悪さがマシになった気がするぜ。船に乗らずに済むなら、それに越したことはねぇけどな……。			けど、強がって虚勢を張る必要がなくなったからか、前よりは気持ち悪さがマシになった気がするぜ。船に乗らずに済むなら、それに越したことはねぇけどな……。			壺の試練							
それはさておき、壺匠について、万貨街の「ローペリ」に相談してみようぜ……。			それはさておき、壺匠について、万貨街の「ローペリ」に相談してみようぜ……。			壺の試練							
ふぅ……ようやく船酔いが治まってきたぜ。			ふぅ……ようやく船酔いが治まってきたぜ。			壺の試練							
万貨街には優秀な職人が集まる。壺匠の候補を探すには申し分ないだろうな。			万貨街には優秀な職人が集まる。壺匠の候補を探すには申し分ないだろうな。			壺の試練							
ここがワチュメキメキ万貨街ね。来るのはこれが初めてだわ。			ここがワチュメキメキ万貨街ね。来るのはこれが初めてだわ。			壺の試練							
私とアリゼーは、エレンヴィルの案内で万貨街を訪れているが、ゆっくり見て回るほどの時間はなかった。どんな職人が働いているのか、興味深いよ。			私とアリゼーは、エレンヴィルの案内で万貨街を訪れているが、ゆっくり見て回るほどの時間はなかった。どんな職人が働いているのか、興味深いよ。			壺の試練							
ウクラマトのために、壺匠になってくれる人が見つかるといいわね。まずはローペリさんと話してみましょ。			ウクラマトのために、壺匠になってくれる人が見つかるといいわね。まずはローペリさんと話してみましょ。			壺の試練							
ういうい。我らが万貨街に今度は何の御用かな、ウクラマト様。			ういうい。我らが万貨街に今度は何の御用かな、ウクラマト様。			壺の試練							
ああ、聞いてくれローペリ。それがよ……			ああ、聞いてくれローペリ。それがよ……			壺の試練							
ってわけでな。壺匠としてアースンシャイアで働いてくれる職人を探してんだ。万貨街にいい奴がいたら紹介してくれねぇか？			ってわけでな。壺匠としてアースンシャイアで働いてくれる職人を探してんだ。万貨街にいい奴がいたら紹介してくれねぇか？			壺の試練							
なるほど理解したよ、用件は。王女自ら万貨街を頼ってくれるとは光栄なこと。本人さえ望むなら、引き抜きには目を瞑るとしよう。			なるほど理解したよ、用件は。王女自ら万貨街を頼ってくれるとは光栄なこと。本人さえ望むなら、引き抜きには目を瞑るとしよう。			壺の試練							
しかし……すぐには思い浮かばないな、適任者は。モブリン族の求める技術を持っていて、かつ、アースンシャイアへの移住に抵抗がない者となるとね。			しかし……すぐには思い浮かばないな、適任者は。モブリン族の求める技術を持っていて、かつ、アースンシャイアへの移住に抵抗がない者となるとね。			壺の試練							
何と言う？			何と言う？			壺の試練							
エシュテム宝飾店で働いていた……			エシュテム宝飾店で働いていた……			壺の試練							
万貨街で働き始めたエレゼン族の……			万貨街で働き始めたエレゼン族の……			壺の試練							
それってフォンジャンテーンのことか？そういやあいつは、外つ国で有名な宝飾店で働いてたんだよな。			それってフォンジャンテーンのことか？そういやあいつは、外つ国で有名な宝飾店で働いてたんだよな。			壺の試練							
わざわざ長い航海を経てトラル大陸までやってくるくらいだ、移住にも抵抗はねぇように思える。			わざわざ長い航海を経てトラル大陸までやってくるくらいだ、移住にも抵抗はねぇように思える。			壺の試練							
ただなぁ、せっかく新しい職に就いたばかりなのに、いきなり壺匠になってくれなんて言っていいのか……？			ただなぁ、せっかく新しい職に就いたばかりなのに、いきなり壺匠になってくれなんて言っていいのか……？			壺の試練							
話をするぐらいなら問題ないだろ。万貨街よりも良い条件で働けるなら、そいつにとっても悪い話じゃないだろうしな。			話をするぐらいなら問題ないだろ。万貨街よりも良い条件で働けるなら、そいつにとっても悪い話じゃないだろうしな。			壺の試練							
どうするにしても、彼は今日の仕事を終えて退勤済みだよ。今ごろは一杯やってるんじゃないか、シャバーブチェで。			どうするにしても、彼は今日の仕事を終えて退勤済みだよ。今ごろは一杯やってるんじゃないか、シャバーブチェで。			壺の試練							
だったら、大勢で押しかけたら断りづれぇだろうし、面識のあるアタシとお前で話しに行くか。			だったら、大勢で押しかけたら断りづれぇだろうし、面識のあるアタシとお前で話しに行くか。			壺の試練							
ほかのみんなは、宿屋で休んでてくれ。			ほかのみんなは、宿屋で休んでてくれ。			壺の試練							
んじゃ、シャバーブチェで「フォンジャンテーン」と話そうぜ！			んじゃ、シャバーブチェで「フォンジャンテーン」と話そうぜ！			壺の試練							
本当に、フォンジャンテーンを壺匠に誘っていいのか……？			本当に、フォンジャンテーンを壺匠に誘っていいのか……？			壺の試練							
フォンジャンテーンが来たばかりのころは、外つ国との違いに戸惑うことも多かったようだ。けど慣れてきたみたいだよ、最近はね。			フォンジャンテーンが来たばかりのころは、外つ国との違いに戸惑うことも多かったようだ。けど慣れてきたみたいだよ、最近はね。			壺の試練							
どうも、Forenameさん。なんでもウクラマト王女ともども、僕に話があるとか。ちょうど食事が終わったところなので、外で話しましょうか。			どうも、Forenameさん。なんでもウクラマト王女ともども、僕に話があるとか。ちょうど食事が終わったところなので、外で話しましょうか。			壺の試練							
前にお前と話したのも、この砂浜だったよな。生きるのが下手な自分に落ちこんでたんだっけか。			前にお前と話したのも、この砂浜だったよな。生きるのが下手な自分に落ちこんでたんだっけか。			壺の試練							
ははは、そうでしたね。あのときは、自分がどう生きていけばいいのかわからなかった。でもおふたりのおかげで、自信が持てるようになったんです。			ははは、そうでしたね。あのときは、自分がどう生きていけばいいのかわからなかった。でもおふたりのおかげで、自信が持てるようになったんです。			壺の試練							
新しい職場である万貨街の皆さんも優しくしてくださいますし、今は悩むようなことはありませんよ。			新しい職場である万貨街の皆さんも優しくしてくださいますし、今は悩むようなことはありませんよ。			壺の試練							
そうか、そりゃよかった。			そうか、そりゃよかった。			壺の試練							
それで僕に話というのは？			それで僕に話というのは？			壺の試練							
いや、そのな……仕事が上手くいってるところで言いづれぇんだけどよ、壺匠になってくれる奴を探してるんだ。			いや、そのな……仕事が上手くいってるところで言いづれぇんだけどよ、壺匠になってくれる奴を探してるんだ。			壺の試練							
壺匠……聞いたことがあります。モブリン族と専属契約した職人のことでしたよね。でもどうして？			壺匠……聞いたことがあります。モブリン族と専属契約した職人のことでしたよね。でもどうして？			壺の試練							
新しい壺匠をモブリン族に紹介することが、アタシが王になるための試練なんだ。			新しい壺匠をモブリン族に紹介することが、アタシが王になるための試練なんだ。			壺の試練							
なるほど、そういうことですか。			なるほど、そういうことですか。			壺の試練							
ああ、お前とは何の関係もないアタシ個人の都合だ。万貨街で働くのを後押ししたくせに、今度は壺匠になれなんて、自分でも虫が良いこと言ってるのはわかってる。			ああ、お前とは何の関係もないアタシ個人の都合だ。万貨街で働くのを後押ししたくせに、今度は壺匠になれなんて、自分でも虫が良いこと言ってるのはわかってる。			壺の試練							
ウクラマト王女、顔を上げてください。			ウクラマト王女、顔を上げてください。			壺の試練							
先日、トライヨラでの居住手続きが正式に受理されて、僕は晴れてこの国の民となれたんです。			先日、トライヨラでの居住手続きが正式に受理されて、僕は晴れてこの国の民となれたんです。			壺の試練							
自分の国のことを知らねばと、継承の儀について調べました。ウクラマト王女や、ほかの継承候補者のこともです。			自分の国のことを知らねばと、継承の儀について調べました。ウクラマト王女や、ほかの継承候補者のこともです。			壺の試練							
以前、話しましたよね。僕が彫金師を目指したのは、父への憧れがきっかけだったと。			以前、話しましたよね。僕が彫金師を目指したのは、父への憧れがきっかけだったと。			壺の試練							
その父は、イーストエンド混交林という場所で起こった、ガレマール帝国との戦いに巻き込まれて、命を落としました。			その父は、イーストエンド混交林という場所で起こった、ガレマール帝国との戦いに巻き込まれて、命を落としました。			壺の試練							
僕が敬愛する父を、戦争が奪っていった。もう二度と、あんな思いはしたくありません。			僕が敬愛する父を、戦争が奪っていった。もう二度と、あんな思いはしたくありません。			壺の試練							
あなたたちは、僕の新たな人生を後押ししてくれた恩人です。ですがそれ以上に、平和を愛するトライヨラの民として……僕はウクラマト王女に、王位を勝ち取ってほしいんです。			あなたたちは、僕の新たな人生を後押ししてくれた恩人です。ですがそれ以上に、平和を愛するトライヨラの民として……僕はウクラマト王女に、王位を勝ち取ってほしいんです。			壺の試練							
そのために、僕にできることがあるのなら……喜んで協力させてください。			そのために、僕にできることがあるのなら……喜んで協力させてください。			壺の試練							
フォンジャンテーン……ありがとよ。			フォンジャンテーン……ありがとよ。			壺の試練							
では、僕は万貨街に戻ります。事情を説明しなければ。			では、僕は万貨街に戻ります。事情を説明しなければ。			壺の試練							
いや、お前が辞める原因がアタシにあるのは事実だ。ローペリには、アタシから話す。			いや、お前が辞める原因がアタシにあるのは事実だ。ローペリには、アタシから話す。			壺の試練							
よう、俺のこと覚えてるか？シャバーブチェの店主、ブルケブだ。			よう、俺のこと覚えてるか？シャバーブチェの店主、ブルケブだ。			壺の試練							
あんた、外つ国から来たウクラマト王女の協力者なんだって？噂じゃ、めっぽう腕が立つって聞いてるぜ。			あんた、外つ国から来たウクラマト王女の協力者なんだって？噂じゃ、めっぽう腕が立つって聞いてるぜ。			壺の試練							
実は、あんたに頼みたいことがあってよ。そっちの用事が落ち着いてからでいいから、話だけでも聞いちゃくれねぇか？			実は、あんたに頼みたいことがあってよ。そっちの用事が落ち着いてからでいいから、話だけでも聞いちゃくれねぇか？			壺の試練							
ありがとよ！シャバーブチェで待ってるからな！			ありがとよ！シャバーブチェで待ってるからな！			壺の試練							
シャバーブチェの「ブルケブ」に話しかけることで、「ロールクエスト」を開放できるようになりました！継承の儀の旅路と合わせて進んでみましょう！			シャバーブチェの「ブルケブ」に話しかけることで、「ロールクエスト」を開放できるようになりました！継承の儀の旅路と合わせて進んでみましょう！			壺の試練							
フォンジャンテーンと話すことができたようだね。			フォンジャンテーンと話すことができたようだね。			壺の試練							
ローペリさんには良くしていただいたので、申し訳ない気持ちでいっぱいですが……この国のため、僕にできることがあるなら……！			ローペリさんには良くしていただいたので、申し訳ない気持ちでいっぱいですが……この国のため、僕にできることがあるなら……！			壺の試練							
ローペリ、礼を言うぜ。おかげで、フォンジャンテーンと話すことができた。それで、悪ぃんだけどよ……			ローペリ、礼を言うぜ。おかげで、フォンジャンテーンと話すことができた。それで、悪ぃんだけどよ……			壺の試練							
壺匠になるのだろう、彼が。フォンジャンテーンの顔を見ればわかるとも。			壺匠になるのだろう、彼が。フォンジャンテーンの顔を見ればわかるとも。			壺の試練							
先ほども伝えたように、王女直々の引き抜きなど、万貨街にとっては光栄なことだから問題はないよ。少し残念だけどね、腕の良い職人が減るのは。			先ほども伝えたように、王女直々の引き抜きなど、万貨街にとっては光栄なことだから問題はないよ。少し残念だけどね、腕の良い職人が減るのは。			壺の試練							
ありがとよ、ローペリ。			ありがとよ、ローペリ。			壺の試練							
もし、フォンジャンテーンのような優秀な職人がいたら、分野を問わずまた紹介してほしい。			もし、フォンジャンテーンのような優秀な職人がいたら、分野を問わずまた紹介してほしい。			壺の試練							
それがきみ自身だと言うなら、それもいい。			それがきみ自身だと言うなら、それもいい。			壺の試練							
ああ、覚えとくぜ。			ああ、覚えとくぜ。			壺の試練							
ローペリさん、短い間でしたが……お世話になりました。この国に来て初めての職場が、万貨街で良かった。			ローペリさん、短い間でしたが……お世話になりました。この国に来て初めての職場が、万貨街で良かった。			壺の試練							
モブリン族に見放されたら、戻ってくるといい。また雇ってあげるからさ。			モブリン族に見放されたら、戻ってくるといい。また雇ってあげるからさ。			壺の試練							
それでは、アースンシャイアへ向かう荷造りをしてきます。またあとで合流しましょう。			それでは、アースンシャイアへ向かう荷造りをしてきます。またあとで合流しましょう。			壺の試練							
(-アルフィノ-)フォンジャンテーンは見つかったかい？			(-アルフィノ-)フォンジャンテーンは見つかったかい？			壺の試練							
ああ、壺匠になることを引き受けてくれたぜ。あいつの準備が終わるまでは、自由行動だ。			ああ、壺匠になることを引き受けてくれたぜ。あいつの準備が終わるまでは、自由行動だ。			壺の試練							
(-アルフィノ-)それは良かったよ。では、またあとで。			(-アルフィノ-)それは良かったよ。では、またあとで。			壺の試練							
負けられねぇ理由が、またひとつ増えたぜ。アタシは必ず、フォンジャンテーンの想いに応えてみせる。王になることでな！			負けられねぇ理由が、またひとつ増えたぜ。アタシは必ず、フォンジャンテーンの想いに応えてみせる。王になることでな！			壺の試練							
ワチュメキメキ万貨街の「ローペリ」に話しかけることで、「ワチュメキメキ万貨街取引」を開放できるようになりました！継承の儀の旅路と合わせて進んでみましょう！			ワチュメキメキ万貨街の「ローペリ」に話しかけることで、「ワチュメキメキ万貨街取引」を開放できるようになりました！継承の儀の旅路と合わせて進んでみましょう！			壺の試練							
ワチュメキメキ万貨街のウクラマトは、連王宮へ報告に行きたいようだ。			ワチュメキメキ万貨街のウクラマトは、連王宮へ報告に行きたいようだ。			王として、父として							
ウクラマトと別れ、休むことになった。トライヨラのフォルアード・キャビンズにいる「ペシェカ」と話そう。			ウクラマトと別れ、休むことになった。トライヨラのフォルアード・キャビンズにいる「ペシェカ」と話そう。			王として、父として							
休もうとしたところ、グルージャジャから呼び出された。トライヨラのヴォロク連王宮にいる「連王宮の門番」と話そう。			休もうとしたところ、グルージャジャから呼び出された。トライヨラのヴォロク連王宮にいる「連王宮の門番」と話そう。			王として、父として							
連王宮の門番と話した。ヴォロク連王宮の金凰の間でグルージャジャに謁見しよう。			連王宮の門番と話した。ヴォロク連王宮の金凰の間でグルージャジャに謁見しよう。			王として、父として							
グルージャジャは手合わせを通じ、冒険者がウクラマトを託せる相手だと認めたようだ。ヴォロク連王宮の「ウクラマト」と話そう。			グルージャジャは手合わせを通じ、冒険者がウクラマトを託せる相手だと認めたようだ。ヴォロク連王宮の「ウクラマト」と話そう。			王として、父として							
ウクラマトは、手合わせ好きのグルージャジャに呆れているようだ。グルージャジャから託されたように、引き続きウクラマトに手を貸していこう。			ウクラマトは、手合わせ好きのグルージャジャに呆れているようだ。グルージャジャから託されたように、引き続きウクラマトに手を貸していこう。			王として、父として							
ペシェカと話す			ペシェカと話す			王として、父として							
連王宮の門番と話す			連王宮の門番と話す			王として、父として							
ウクラマトと話す			ウクラマトと話す			王として、父として							
それじゃアタシは、連王宮で用事を済ませてくる。			それじゃアタシは、連王宮で用事を済ませてくる。			王として、父として							
お前も自由に過ごしてくれて構わないけど、冒険者稼業はほどほどにして、宿で休んでおけよな！			お前も自由に過ごしてくれて構わないけど、冒険者稼業はほどほどにして、宿で休んでおけよな！			王として、父として							
ちゃんと、フォルアード・キャビンズに行って、「ペシェカ」に声をかけろよ！それじゃ、またあとで！			ちゃんと、フォルアード・キャビンズに行って、「ペシェカ」に声をかけろよ！それじゃ、またあとで！			王として、父として							
やっと戻ってきたか……。			やっと戻ってきたか……。			王として、父として							
お帰りなさいませ。あなたを訪ねてきた勇連隊の伝令さんがお待ちですよ。			お帰りなさいませ。あなたを訪ねてきた勇連隊の伝令さんがお待ちですよ。			王として、父として							
ウクラマト様の協力者、Forenameだな。ずいぶん探したぞ。			ウクラマト様の協力者、Forenameだな。ずいぶん探したぞ。			王として、父として							
武王グルージャジャ様がお前をお呼びだ。ヴォロク連王宮まで来てもらえば、「連王宮の門番」に武王様のもとまで案内させよう。			武王グルージャジャ様がお前をお呼びだ。ヴォロク連王宮まで来てもらえば、「連王宮の門番」に武王様のもとまで案内させよう。			王として、父として							
そうそう……くれぐれも、ウクラマト様には内密にな。			そうそう……くれぐれも、ウクラマト様には内密にな。			王として、父として							
金凰の間で連王がお待ちです。あなたをお呼びした理由は知らされておりませんが、それなりの覚悟をしておくことを勧めますよ。			金凰の間で連王がお待ちです。あなたをお呼びした理由は知らされておりませんが、それなりの覚悟をしておくことを勧めますよ。			王として、父として							
本クエストを進行するためには、現在のクラス・ジョブが、レベル92以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル92以上の、ファイター、もしくはソーサラーである必要があります。			王として、父として							
あのジジイの手合わせ好きは相変わらずだな。			あのジジイの手合わせ好きは相変わらずだな。			王として、父として							
それにしても、オヤジとやり合って最後まで立ってたのは、アタシの知るかぎりじゃ3人しかいねぇ。お前と、お前の仲間の槍使いと、ゾラージャ兄さんだ。			それにしても、オヤジとやり合って最後まで立ってたのは、アタシの知るかぎりじゃ3人しかいねぇ。お前と、お前の仲間の槍使いと、ゾラージャ兄さんだ。			王として、父として							
やっぱお前って、とんでもねぇ奴なんだな！			やっぱお前って、とんでもねぇ奴なんだな！			王として、父として							
で、オヤジとは手合わせしただけだったのか？			で、オヤジとは手合わせしただけだったのか？			王として、父として							
何と言う？			何と言う？			王として、父として							
ちょっとした頼まれごとをされた			ちょっとした頼まれごとをされた			王として、父として							
……手合わせしただけだよ			……手合わせしただけだよ			王として、父として							
ふーん……そうなのか。お前に変なことでも言ったんじゃねぇかって思ったけど、アタシの思い過ごしみてぇだな！			ふーん……そうなのか。お前に変なことでも言ったんじゃねぇかって思ったけど、アタシの思い過ごしみてぇだな！			王として、父として							
ヴォロク連王宮のウクラマトは、皆と合流したいようだ。			ヴォロク連王宮のウクラマトは、皆と合流したいようだ。			望んだ平和の形							
指定地点で待機			指定地点で待機			望んだ平和の形							
コザマル・カに向かう			コザマル・カに向かう			望んだ平和の形							
ウクラマトと話す			ウクラマトと話す			望んだ平和の形							
ウクラマトと再度話す			ウクラマトと再度話す			望んだ平和の形							
指定地点で待機する			指定地点で待機する			望んだ平和の形							
指定地点で再度待機する			指定地点で再度待機する			望んだ平和の形							
指定地点でさらに待機する			指定地点でさらに待機する			望んだ平和の形							
レディロクと話す			レディロクと話す			望んだ平和の形							
アタシは、オヤジのせいで食いっぱぐれた、ナミーカのメシを食ってから行くぜ。			アタシは、オヤジのせいで食いっぱぐれた、ナミーカのメシを食ってから行くぜ。			望んだ平和の形							
みんなとは、フォルアード・キャビンズで合流する手はずだ。さっきの手合わせで疲れてるようなら、急がなくていいからな。			みんなとは、フォルアード・キャビンズで合流する手はずだ。さっきの手合わせで疲れてるようなら、急がなくていいからな。			望んだ平和の形							
まったく……我が親ながら、困ったオヤジだぜ。			まったく……我が親ながら、困ったオヤジだぜ。			望んだ平和の形							
仲間たちと合流しますか？			仲間たちと合流しますか？			望んだ平和の形							
お待たせしました。			お待たせしました。			望んだ平和の形							
もういいのか？			もういいのか？			望んだ平和の形							
もともと働き口を探してエオルゼアから出てきたわけですから、身軽なものですよ。お世話になった方々に挨拶していたら、遅くなりましたが。			もともと働き口を探してエオルゼアから出てきたわけですから、身軽なものですよ。お世話になった方々に挨拶していたら、遅くなりましたが。			望んだ平和の形							
そうか……。改めてありがとな、フォンジャンテーン。			そうか……。改めてありがとな、フォンジャンテーン。			望んだ平和の形							
では、アースンシャイアに戻るとしよう。			では、アースンシャイアに戻るとしよう。			望んだ平和の形							
(-？？？？-)待ちたまえ。			(-？？？？-)待ちたまえ。			望んだ平和の形							
お、ウケブじゃねぇか。			お、ウケブじゃねぇか。			望んだ平和の形							
ハッ！このウケブ、常日頃から礼儀を語っておきながら、無礼にも王女を呼び止めるなどという狼藉を……！！			ハッ！このウケブ、常日頃から礼儀を語っておきながら、無礼にも王女を呼び止めるなどという狼藉を……！！			望んだ平和の形							
かくなる上は、その斧で私を、タコス・カルネアサーダの具のように叩き斬ってください！			かくなる上は、その斧で私を、タコス・カルネアサーダの具のように叩き斬ってください！			望んだ平和の形							
要求が、いちいち生々しいなぁ！それと、無礼だとか気にすんなって言ってんだろ！！			要求が、いちいち生々しいなぁ！それと、無礼だとか気にすんなって言ってんだろ！！			望んだ平和の形							
そうですか、では気にしません。			そうですか、では気にしません。			望んだ平和の形							
何なの、この切り替えの早さ……。			何なの、この切り替えの早さ……。			望んだ平和の形							
素材の買付けにきたところで、お見かけしましてな。ときにウクラマト王女、黄金郷をお探しというのは本当で？			素材の買付けにきたところで、お見かけしましてな。ときにウクラマト王女、黄金郷をお探しというのは本当で？			望んだ平和の形							
ああ、継承の儀の最終目標だからな。なにか知ってることがあれば、教えてくれよ。			ああ、継承の儀の最終目標だからな。なにか知ってることがあれば、教えてくれよ。			望んだ平和の形							
それでは、ひとつ講釈を。ご存知のとおり黄金郷とはトラル大陸において、千年の昔から囁かれる伝説の地……。			それでは、ひとつ講釈を。ご存知のとおり黄金郷とはトラル大陸において、千年の昔から囁かれる伝説の地……。			望んだ平和の形							
ところが、どんな場所なのかは諸説あり判然としない。文字通りに黄金の建物が並ぶ都だとする説もあれば、秘宝の在り処とも語られている。			ところが、どんな場所なのかは諸説あり判然としない。文字通りに黄金の建物が並ぶ都だとする説もあれば、秘宝の在り処とも語られている。			望んだ平和の形							
なぜなら、黄金郷を探しに行った者たちは、誰ひとりとして生きて帰ってはこないから……。			なぜなら、黄金郷を探しに行った者たちは、誰ひとりとして生きて帰ってはこないから……。			望んだ平和の形							
つまりは、探索にすら相応の危険が伴うということ。どうかくれぐれも警戒を怠りませんように……。			つまりは、探索にすら相応の危険が伴うということ。どうかくれぐれも警戒を怠りませんように……。			望んだ平和の形							
伝えたかったことは以上です。王女、旅の無事を祈っておりますよ。			伝えたかったことは以上です。王女、旅の無事を祈っておりますよ。			望んだ平和の形							
ああ。ありがとよ、ウケブ。			ああ。ありがとよ、ウケブ。			望んだ平和の形							
黄金郷を探しに行った者は、誰も生きて帰らなかった、か。徒労に終わる冒険に出ることを諫めるための訓話にも思えるが、そんな場所を、連王はどうやって見つけたんだか……。			黄金郷を探しに行った者は、誰も生きて帰らなかった、か。徒労に終わる冒険に出ることを諫めるための訓話にも思えるが、そんな場所を、連王はどうやって見つけたんだか……。			望んだ平和の形							
やっぱり、伝承の出処だという、ヨカフイ族から情報を引き出したいところね。			やっぱり、伝承の出処だという、ヨカフイ族から情報を引き出したいところね。			望んだ平和の形							
黄金郷のことは気になるが、何にしても、まずは「壺の試練」を超えなければ。フォンジャンテーン殿を連れて、アースンシャイアに戻ろう。			黄金郷のことは気になるが、何にしても、まずは「壺の試練」を超えなければ。フォンジャンテーン殿を連れて、アースンシャイアに戻ろう。			望んだ平和の形							
よう、待たせたな。壺匠になってくれる奴を連れてきたぜ。外つ国の有名な宝飾店、「エシュテム」で働いてた腕利きだ。			よう、待たせたな。壺匠になってくれる奴を連れてきたぜ。外つ国の有名な宝飾店、「エシュテム」で働いてた腕利きだ。			望んだ平和の形							
あっぱれ　お見事　すばらしい！ウクラマト王女が　一番乗り！			あっぱれ　お見事　すばらしい！ウクラマト王女が　一番乗り！			望んだ平和の形							
外つ国　職人　珍しい！知らない技に　知らないセンス　とてとてたくさん　持ってそう！さっそく案内　新たな工房　歓迎　優待　いらっしゃ～い！			外つ国　職人　珍しい！知らない技に　知らないセンス　とてとてたくさん　持ってそう！さっそく案内　新たな工房　歓迎　優待　いらっしゃ～い！			望んだ平和の形							
それでは、僕はこれで……。絶対、王様になってくださいね！			それでは、僕はこれで……。絶対、王様になってくださいね！			望んだ平和の形							
