自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
サンクレッドから、ここが「妖精郷」イル・メグであることを聞いた。さっそくピクシー族にイタズラされてしまったようだが、無事にウリエンジェと合流し、大罪喰いを倒すことができるのだろうか……。			サンクレッドから、ここが「妖精郷」イル・メグであることを聞いた。さっそくピクシー族にイタズラされてしまったようだが、無事にウリエンジェと合流し、大罪喰いを倒すことができるのだろうか……。			ミンフィリア救出作戦							
特製の飼料を入手			特製の飼料を入手			ミンフィリア救出作戦							
アマロに特製の飼料を与える			アマロに特製の飼料を与える			ミンフィリア救出作戦							
ライナと話す			ライナと話す			ミンフィリア救出作戦							
衛兵団の斥候と話す			衛兵団の斥候と話す			ミンフィリア救出作戦							
サンクレッドと話す			サンクレッドと話す			ミンフィリア救出作戦							
ギュイッ、ギュイッ！			ギュイッ、ギュイッ！			ミンフィリア救出作戦							
ギュー……。			ギュー……。			ミンフィリア救出作戦							
ギュギュッ、ギュイー！			ギュギュッ、ギュイー！			ミンフィリア救出作戦							
ギュ～？			ギュ～？			ミンフィリア救出作戦							
作戦開始にあたって、あなたが医療館で飲んだのと同じ薬を、アマロたちにも摂取してもらわなければなりません。			作戦開始にあたって、あなたが医療館で飲んだのと同じ薬を、アマロたちにも摂取してもらわなければなりません。			ミンフィリア救出作戦							
しかし、数が多い上に、あの独特の風味を警戒され、任務が難航している様子……。そこで「新入り」のあなたにも、助力を要請します。			しかし、数が多い上に、あの独特の風味を警戒され、任務が難航している様子……。そこで「新入り」のあなたにも、助力を要請します。			ミンフィリア救出作戦							
薬をまぶした「特製の飼料」がアマロ留の近くにあるので、それをアマロに食べさせてください。4体ほど、よろしくお願いします。			薬をまぶした「特製の飼料」がアマロ留の近くにあるので、それをアマロに食べさせてください。4体ほど、よろしくお願いします。			ミンフィリア救出作戦							
薬をまぶした「特製の飼料」がアマロ留の近くにあるので、この城のアマロに食べさせてください。「新入り」として、頼みますよ。			薬をまぶした「特製の飼料」がアマロ留の近くにあるので、この城のアマロに食べさせてください。「新入り」として、頼みますよ。			ミンフィリア救出作戦							
ギュギュッ、ギュイー！			ギュギュッ、ギュイー！			ミンフィリア救出作戦							
元気なアマロは、特製の飼料を食べた！			元気なアマロは、特製の飼料を食べた！			ミンフィリア救出作戦							
ギュイ……？ギュ……ムギュー……。			ギュイ……？ギュ……ムギュー……。			ミンフィリア救出作戦							
眠たげなアマロは、よくわかっていない様子で、差し出された特製の飼料を食んでいる……。			眠たげなアマロは、よくわかっていない様子で、差し出された特製の飼料を食んでいる……。			ミンフィリア救出作戦							
ギュイッ、ギュイッ、ギュイッ！ギュー…………ギュイッ！			ギュイッ、ギュイッ、ギュイッ！ギュー…………ギュイッ！			ミンフィリア救出作戦							
神経質そうなアマロは、特製の飼料を警戒していたが、どうにかこうにか食べさせることに成功した！			神経質そうなアマロは、特製の飼料を警戒していたが、どうにかこうにか食べさせることに成功した！			ミンフィリア救出作戦							
ギュイ？…………………………グゲ。			ギュイ？…………………………グゲ。			ミンフィリア救出作戦							
おっとりしたアマロは、心なしかマズそうな顔をしながら、特製の飼料を食べた！			おっとりしたアマロは、心なしかマズそうな顔をしながら、特製の飼料を食べた！			ミンフィリア救出作戦							
ギュッギュイー！			ギュッギュイー！			ミンフィリア救出作戦							
ムギュ……ムギュ…………ギュ……。			ムギュ……ムギュ…………ギュ……。			ミンフィリア救出作戦							
ギュイイイィィィ！			ギュイイイィィィ！			ミンフィリア救出作戦							
………………グゲ。			………………グゲ。			ミンフィリア救出作戦							
アマロたちにも、無事に薬を……？			アマロたちにも、無事に薬を……？			ミンフィリア救出作戦							
わかりました、ご苦労様です。ほかのアマロについても、概ね準備が整ったと報告を受けています。			わかりました、ご苦労様です。ほかのアマロについても、概ね準備が整ったと報告を受けています。			ミンフィリア救出作戦							
間もなく、ここオスタル厳命城をはじめ、すべての拠点が、準備を終えることでしょう。そうなったら……作戦開始です。			間もなく、ここオスタル厳命城をはじめ、すべての拠点が、準備を終えることでしょう。そうなったら……作戦開始です。			ミンフィリア救出作戦							
あなたは、戦いの準備を整えて、北側にある監視塔の上へ。制服も、届き次第そちらに送りましょう。			あなたは、戦いの準備を整えて、北側にある監視塔の上へ。制服も、届き次第そちらに送りましょう。			ミンフィリア救出作戦							
……勝利と闇は、我らとともに。光の巫女を、必ず助け出してみせます！			……勝利と闇は、我らとともに。光の巫女を、必ず助け出してみせます！			ミンフィリア救出作戦							
北の監視塔で待機をお願いします。そこからなら、作戦の状況が一望できるでしょう。			北の監視塔で待機をお願いします。そこからなら、作戦の状況が一望できるでしょう。			ミンフィリア救出作戦							
ま、間もなく作戦が開始となります！突入部隊の方は、こちらで待機をお願いします！			ま、間もなく作戦が開始となります！突入部隊の方は、こちらで待機をお願いします！			ミンフィリア救出作戦							
このクエストバトルでは、一部の装備に特別な外見が反映されます。性能は、現在の装備のまま変更されません。			このクエストバトルでは、一部の装備に特別な外見が反映されます。性能は、現在の装備のまま変更されません。			ミンフィリア救出作戦							
(-白衣の少女-)あ、ありがとうございます……。あなたたちは……クリスタリウムの衛兵団、ですか……？			(-白衣の少女-)あ、ありがとうございます……。あなたたちは……クリスタリウムの衛兵団、ですか……？			ミンフィリア救出作戦							
ええ……。皆の意志で、あなたを……「光の巫女ミンフィリア」を助けにきました。			ええ……。皆の意志で、あなたを……「光の巫女ミンフィリア」を助けにきました。			ミンフィリア救出作戦							
水晶公の指示でお持ちした、あなたの武器です。以前、サンクレッド氏が工芸館に発注したものと、同じ型のものだとか。			水晶公の指示でお持ちした、あなたの武器です。以前、サンクレッド氏が工芸館に発注したものと、同じ型のものだとか。			ミンフィリア救出作戦							
……少々危険な脱出劇になりそうですが、よろしいですね。			……少々危険な脱出劇になりそうですが、よろしいですね。			ミンフィリア救出作戦							
はい、がんばります……！			はい、がんばります……！			ミンフィリア救出作戦							
……そこにもおったか。小賢しい、泥棒鼠めが……。			……そこにもおったか。小賢しい、泥棒鼠めが……。			ミンフィリア救出作戦							
その娘……返してもらうぞ……！			その娘……返してもらうぞ……！			ミンフィリア救出作戦							
メインクエストを進行させますか？			メインクエストを進行させますか？			ミンフィリア救出作戦							
まさか……ゆうれ……い、いや、まずはサンクレッドの意見を聞いてみよう。			まさか……ゆうれ……い、いや、まずはサンクレッドの意見を聞いてみよう。			ミンフィリア救出作戦							
レイクランドに残ったライナの方を心配してたけど、こっちも一筋縄じゃいかなさそうね……！			レイクランドに残ったライナの方を心配してたけど、こっちも一筋縄じゃいかなさそうね……！			ミンフィリア救出作戦							
ご、ごめんなさい……。頭の中に、そこだけ霧がかかったみたいで……。			ご、ごめんなさい……。頭の中に、そこだけ霧がかかったみたいで……。			ミンフィリア救出作戦							
イル・メグの別名は、妖精郷……その名のとおり、さまざまな妖精が住まっている土地だ。			イル・メグの別名は、妖精郷……その名のとおり、さまざまな妖精が住まっている土地だ。			ミンフィリア救出作戦							
中でも代表的なのが、イタズラ好きの「ピクシー族」だろう。連中は、自分たちの領域に踏み込んだ者に惑わしの術をかけ、場所の認識をぼやかしてしまう……。			中でも代表的なのが、イタズラ好きの「ピクシー族」だろう。連中は、自分たちの領域に踏み込んだ者に惑わしの術をかけ、場所の認識をぼやかしてしまう……。			ミンフィリア救出作戦							
そうなれば、よく知った場所にすら、たどり着けなくなるんだ。あるいは、着いたはずが別の場所だった……とかな。			そうなれば、よく知った場所にすら、たどり着けなくなるんだ。あるいは、着いたはずが別の場所だった……とかな。			ミンフィリア救出作戦							
……この不可解な状態は、まず間違いなくソレだろう。どうにかして、手を打たないとな。			……この不可解な状態は、まず間違いなくソレだろう。どうにかして、手を打たないとな。			ミンフィリア救出作戦							
奥へ進み、ミンフィリアを救出しろ！			奥へ進み、ミンフィリアを救出しろ！			ミンフィリア救出作戦							
ラクサン城から脱出しろ！			ラクサン城から脱出しろ！			ミンフィリア救出作戦							
ランジートの体力を削れ！			ランジートの体力を削れ！			ミンフィリア救出作戦							
すでに別部隊が突入しています。私たちも続きましょう！			すでに別部隊が突入しています。私たちも続きましょう！			ミンフィリア救出作戦							
Forename、いいところに！眠っていない兵の制圧に、力を貸してくれ！			Forename、いいところに！眠っていない兵の制圧に、力を貸してくれ！			ミンフィリア救出作戦							
何事だ……！？クリスタリウムの連中が、次々と……！			何事だ……！？クリスタリウムの連中が、次々と……！			ミンフィリア救出作戦							
中央広場は、敵が多い……制圧は、衛兵団の仲間に任せましょう。			中央広場は、敵が多い……制圧は、衛兵団の仲間に任せましょう。			ミンフィリア救出作戦							
私たちは、城壁沿いに奥を目指します！ついてきてください！			私たちは、城壁沿いに奥を目指します！ついてきてください！			ミンフィリア救出作戦							
こっちにもいたぞ！これ以上の侵入を許すな！			こっちにもいたぞ！これ以上の侵入を許すな！			ミンフィリア救出作戦							
くっ、新手ですか……迎撃しましょう！			くっ、新手ですか……迎撃しましょう！			ミンフィリア救出作戦							
あなたたち、遅かったじゃない。急いで蹴散らして、さらに奥を目指すわよ！			あなたたち、遅かったじゃない。急いで蹴散らして、さらに奥を目指すわよ！			ミンフィリア救出作戦							
アリゼー、張り切るのはいいが、変装中だってことを忘れないでおくれよ。			アリゼー、張り切るのはいいが、変装中だってことを忘れないでおくれよ。			ミンフィリア救出作戦							
時間が惜しいですね……。ここも衛兵団の仲間に任せて、先を急ぎましょう。			時間が惜しいですね……。ここも衛兵団の仲間に任せて、先を急ぎましょう。			ミンフィリア救出作戦							
ユールモア軍……かつて世界最強と謳われた兵士たち……。			ユールモア軍……かつて世界最強と謳われた兵士たち……。			ミンフィリア救出作戦							
今でも十分に強敵です。しかし、私たちだって……！			今でも十分に強敵です。しかし、私たちだって……！			ミンフィリア救出作戦							
いたぞ、侵入者だ！　ここで止めろ！			いたぞ、侵入者だ！　ここで止めろ！			ミンフィリア救出作戦							
ああ、もうっ！次から次へと、鬱陶しいわね！			ああ、もうっ！次から次へと、鬱陶しいわね！			ミンフィリア救出作戦							
進め！　クリスタリウムの連中の蛮行を許すな！			進め！　クリスタリウムの連中の蛮行を許すな！			ミンフィリア救出作戦							
まだ兵がいるとは……街への進軍も、本気だったようだ。			まだ兵がいるとは……街への進軍も、本気だったようだ。			ミンフィリア救出作戦							
起きた奴は続け！　反転攻勢だ！			起きた奴は続け！　反転攻勢だ！			ミンフィリア救出作戦							
ドリームパウダーが効いていない兵が、まだいるようですね……。			ドリームパウダーが効いていない兵が、まだいるようですね……。			ミンフィリア救出作戦							
長期戦になれば、眠らせた兵も起きてくる……急ぎましょう！			長期戦になれば、眠らせた兵も起きてくる……急ぎましょう！			ミンフィリア救出作戦							
くっ、このまま応戦していても、きりがないな……。			くっ、このまま応戦していても、きりがないな……。			ミンフィリア救出作戦							
Forename、ライナ！ここは私たちに任せて、奥に進んで！			Forename、ライナ！ここは私たちに任せて、奥に進んで！			ミンフィリア救出作戦							
感謝します！Forename、私についてきてください！			感謝します！Forename、私についてきてください！			ミンフィリア救出作戦							
警備が手薄になっていますね。皆のおかげで、兵が出払っているのでしょう。			警備が手薄になっていますね。皆のおかげで、兵が出払っているのでしょう。			ミンフィリア救出作戦							
いました、彼女が「光の巫女」です！			いました、彼女が「光の巫女」です！			ミンフィリア救出作戦							
急いで縄をほどいて、ここから連れ出しましょう！			急いで縄をほどいて、ここから連れ出しましょう！			ミンフィリア救出作戦							
さあ、皆さんと合流して、城を脱出しましょう！はぐれずに、ついてきてください！			さあ、皆さんと合流して、城を脱出しましょう！はぐれずに、ついてきてください！			ミンフィリア救出作戦							
了解です。……ごめんなさい、私のせいで。			了解です。……ごめんなさい、私のせいで。			ミンフィリア救出作戦							
話は後にしましょう。まずは、ここから脱出することに集中を！			話は後にしましょう。まずは、ここから脱出することに集中を！			ミンフィリア救出作戦							
……中央広場が、妙に静かですね。			……中央広場が、妙に静かですね。			ミンフィリア救出作戦							
あれは……ランジート将軍！？いけません、急いで加勢に向かいましょう！			あれは……ランジート将軍！？いけません、急いで加勢に向かいましょう！			ミンフィリア救出作戦							
「光の巫女」の教育も、我が勤め……。主の望みどおり、連れ戻してくれよう。			「光の巫女」の教育も、我が勤め……。主の望みどおり、連れ戻してくれよう。			ミンフィリア救出作戦							
い、嫌です……私は、もう……！			い、嫌です……私は、もう……！			ミンフィリア救出作戦							
たわけ！　あの堅牢な監獄のみが、お前を闘争から護れるのだ……！			たわけ！　あの堅牢な監獄のみが、お前を闘争から護れるのだ……！			ミンフィリア救出作戦							
……っ！			……っ！			ミンフィリア救出作戦							
この程度か……茶番だな……。			この程度か……茶番だな……。			ミンフィリア救出作戦							
なっ……大丈夫！？			なっ……大丈夫！？			ミンフィリア救出作戦							
へ、平気です……でも、体が痺れて……。			へ、平気です……でも、体が痺れて……。			ミンフィリア救出作戦							
ミンフィリア、お前はそこで待つがいい。			ミンフィリア、お前はそこで待つがいい。			ミンフィリア救出作戦							
さすが、ユールモア軍の大将軍。老いてなお、これほどとは……！			さすが、ユールモア軍の大将軍。老いてなお、これほどとは……！			ミンフィリア救出作戦							
逃げる隙を、作れればいいのだが……！			逃げる隙を、作れればいいのだが……！			ミンフィリア救出作戦							
無駄なことを……うるさい鼠は黙らせてくれよう。			無駄なことを……うるさい鼠は黙らせてくれよう。			ミンフィリア救出作戦							
残りは貴様だけだ。すぐに始末し、巫女を回収する。			残りは貴様だけだ。すぐに始末し、巫女を回収する。			ミンフィリア救出作戦							
くっ、体が……！Forename、気をつけてくれ！			くっ、体が……！Forename、気をつけてくれ！			ミンフィリア救出作戦							
ふむ、多少は骨があるか。ならば……！			ふむ、多少は骨があるか。ならば……！			ミンフィリア救出作戦							
次だ……この技、貴様に見切れてか……！			次だ……この技、貴様に見切れてか……！			ミンフィリア救出作戦							
我に応じよ……グクマッツ……！			我に応じよ……グクマッツ……！			ミンフィリア救出作戦							
なるほど、雑兵ではないらしい……。			なるほど、雑兵ではないらしい……。			ミンフィリア救出作戦							
まだ屈さぬか……だが！			まだ屈さぬか……だが！			ミンフィリア救出作戦							
貴様の力量、見切ったぞ。戯れは、もはやこれまでだ……。			貴様の力量、見切ったぞ。戯れは、もはやこれまでだ……。			ミンフィリア救出作戦							
さて……「光の巫女」は返してもらおう……。			さて……「光の巫女」は返してもらおう……。			ミンフィリア救出作戦							
イル・メグのサンクレッドは、思案しているようだ。			イル・メグのサンクレッドは、思案しているようだ。			妖精郷イル・メグ							
サンクレッドから、ピクシー族の集落になら到達できるかもしれないと言われた。イル・メグのリダ・ラーンにいる「サンクレッド」と話そう。			サンクレッドから、ピクシー族の集落になら到達できるかもしれないと言われた。イル・メグのリダ・ラーンにいる「サンクレッド」と話そう。			妖精郷イル・メグ							
サンクレッドと話した。リダ・ラーンの「妖しい茂み」から「透鏡草」を入手しよう。			サンクレッドと話した。リダ・ラーンの「妖しい茂み」から「透鏡草」を入手しよう。			妖精郷イル・メグ							
透鏡草を入手した。リダ・ラーンの「サンクレッド」に「透鏡草を渡そう。			透鏡草を入手した。リダ・ラーンの「サンクレッド」に「透鏡草を渡そう。			妖精郷イル・メグ							
サンクレッドによって、ピクシー族の姿が暴かれた。ウリエンジェと一刻も早く合流するためにも、ピクシー族に手を貸していこう。			サンクレッドによって、ピクシー族の姿が暴かれた。ウリエンジェと一刻も早く合流するためにも、ピクシー族に手を貸していこう。			妖精郷イル・メグ							
サンクレッドと話す			サンクレッドと話す			妖精郷イル・メグ							
妖しい茂みから透鏡草を入手			妖しい茂みから透鏡草を入手			妖精郷イル・メグ							
サンクレッドに透鏡草を渡す			サンクレッドに透鏡草を渡す			妖精郷イル・メグ							
幽霊ではなく、妖精の仕業なのか。…………………ほっ。			幽霊ではなく、妖精の仕業なのか。…………………ほっ。			妖精郷イル・メグ							
レイクランドに残ったライナの方を心配してたけど、こっちも一筋縄じゃいかなさそうね……！			レイクランドに残ったライナの方を心配してたけど、こっちも一筋縄じゃいかなさそうね……！			妖精郷イル・メグ							
ご、ごめんなさい……。頭の中に、そこだけ霧がかかったみたいで……。			ご、ごめんなさい……。頭の中に、そこだけ霧がかかったみたいで……。			妖精郷イル・メグ							
ふむ……。こういうときは、無暗に歩き回るより、ピクシー族にイタズラをやめさせた方が確実だろうな。			ふむ……。こういうときは、無暗に歩き回るより、ピクシー族にイタズラをやめさせた方が確実だろうな。			妖精郷イル・メグ							
さっきのささやき声からすると、連中は俺たちを遊びに招き入れたいらしい。ということは、ピクシー族の集落へは辿り着けるかもしれない。			さっきのささやき声からすると、連中は俺たちを遊びに招き入れたいらしい。ということは、ピクシー族の集落へは辿り着けるかもしれない。			妖精郷イル・メグ							
ひとまず、まっすぐ進んでみよう。あちらにその気があるのなら、連中の集落……「リダ・ラーン」に着くはずだ。			ひとまず、まっすぐ進んでみよう。あちらにその気があるのなら、連中の集落……「リダ・ラーン」に着くはずだ。			妖精郷イル・メグ							
……それから、ミンフィリアについては、原初世界のことも含めて、こちらの事情を伝えてある。その点については心配せずに、同行させてやってくれ。			……それから、ミンフィリアについては、原初世界のことも含めて、こちらの事情を伝えてある。その点については心配せずに、同行させてやってくれ。			妖精郷イル・メグ							
本当に、おかしな感覚だ。私たちは、どちらの方向から来たのだろうか……？			本当に、おかしな感覚だ。私たちは、どちらの方向から来たのだろうか……？			妖精郷イル・メグ							
いくらか家があるようだけど、人は住んでいないみたいね。それにしては、視線を感じる気がするわ……。			いくらか家があるようだけど、人は住んでいないみたいね。それにしては、視線を感じる気がするわ……。			妖精郷イル・メグ							
えっと……こういうときは、たしか……。			えっと……こういうときは、たしか……。			妖精郷イル・メグ							
やはり、リダ・ラーンには辿り着けたな。だが、交渉しようにもピクシー族の姿はなしか……。			やはり、リダ・ラーンには辿り着けたな。だが、交渉しようにもピクシー族の姿はなしか……。			妖精郷イル・メグ							
Forename、悪いがお前も、先が渦のように丸まった草を探してくれないか？			Forename、悪いがお前も、先が渦のように丸まった草を探してくれないか？			妖精郷イル・メグ							
そいつは「透鏡草(とうきょうそう)」といって、ピクシー族を見つけるのに必要なものなんだ。必ずこの集落のそばに生えているから、注意深く見てみてくれ。			そいつは「透鏡草(とうきょうそう)」といって、ピクシー族を見つけるのに必要なものなんだ。必ずこの集落のそばに生えているから、注意深く見てみてくれ。			妖精郷イル・メグ							
それから、途中でどこからともなく声をかけられても、決して返事はしないこと。あいつらの術に、ますます引き込まれちまうからな。			それから、途中でどこからともなく声をかけられても、決して返事はしないこと。あいつらの術に、ますます引き込まれちまうからな。			妖精郷イル・メグ							
先が渦のように丸まった草を探してくれ。途中で声をかけられても、決して返事はするなよ。			先が渦のように丸まった草を探してくれ。途中で声をかけられても、決して返事はするなよ。			妖精郷イル・メグ							
「透鏡草」らしき草はないようだ。どこからともなく、声が聞こえてくる……。			「透鏡草」らしき草はないようだ。どこからともなく、声が聞こえてくる……。			妖精郷イル・メグ							
(-愛らしい子どもの声-)うふふふ……。ねえねえ、アナタお名前はなんて言うの？			(-愛らしい子どもの声-)うふふふ……。ねえねえ、アナタお名前はなんて言うの？			妖精郷イル・メグ							
何と言う？			何と言う？			妖精郷イル・メグ							
Forename Surname			Forename Surname			妖精郷イル・メグ							
…………			…………			妖精郷イル・メグ							
(-愛らしい子どもの声-)Forename Surname！朝露みたいにかわいくて、芋虫みたいにおかしな名前！			(-愛らしい子どもの声-)Forename Surname！朝露みたいにかわいくて、芋虫みたいにおかしな名前！			妖精郷イル・メグ							
(-愛らしい子どもの声-)刻んで千切って縫いつけて、ワタシの言葉に変えましょう。ワタシの言葉になったなら、アナタはすっかりワタシのものよ。うふふふふ……。			(-愛らしい子どもの声-)刻んで千切って縫いつけて、ワタシの言葉に変えましょう。ワタシの言葉になったなら、アナタはすっかりワタシのものよ。うふふふふ……。			妖精郷イル・メグ							
体が重くなっていく……。			体が重くなっていく……。			妖精郷イル・メグ							
(-愛らしい子どもの声-)あら、答えてくれないの？ざぁんねん……うふふふ…………。			(-愛らしい子どもの声-)あら、答えてくれないの？ざぁんねん……うふふふ…………。			妖精郷イル・メグ							
(-ささやくような声-)くすくすくす……何か探し物かしら。お手伝いしましょうか？			(-ささやくような声-)くすくすくす……何か探し物かしら。お手伝いしましょうか？			妖精郷イル・メグ							
何と言う？			何と言う？			妖精郷イル・メグ							
透鏡草を知っている？			透鏡草を知っている？			妖精郷イル・メグ							
…………			…………			妖精郷イル・メグ							
(-ささやくような声-)もちろん、もちろん、知ってるわ。私は優しい妖精だから、あなたに教えてあげましょう。			(-ささやくような声-)もちろん、もちろん、知ってるわ。私は優しい妖精だから、あなたに教えてあげましょう。			妖精郷イル・メグ							
(-ささやくような声-)さあ、眠るように目を閉じて……。私の声だけ、よく聞いて……？この花園の奥深くまで、私と一緒に行きましょう……？			(-ささやくような声-)さあ、眠るように目を閉じて……。私の声だけ、よく聞いて……？この花園の奥深くまで、私と一緒に行きましょう……？			妖精郷イル・メグ							
あら、失礼で賢いヒト！おもしろくないわねぇ……。			あら、失礼で賢いヒト！おもしろくないわねぇ……。			妖精郷イル・メグ							
「透鏡草」らしき草を見つけた！どこからともなく、声が聞こえてくる……。			「透鏡草」らしき草を見つけた！どこからともなく、声が聞こえてくる……。			妖精郷イル・メグ							
(-楽しそうな子どもの声-)ねえねえ、教えて！君、どこから来たのかな？			(-楽しそうな子どもの声-)ねえねえ、教えて！君、どこから来たのかな？			妖精郷イル・メグ							
何と言う？			何と言う？			妖精郷イル・メグ							
クリスタリウムから			クリスタリウムから			妖精郷イル・メグ							
…………			…………			妖精郷イル・メグ							
(-楽しそうな子どもの声-)はてはて、さてさて、クリスタリウム……。それはいったい、どこのこと？　夢の中の都かな？			(-楽しそうな子どもの声-)はてはて、さてさて、クリスタリウム……。それはいったい、どこのこと？　夢の中の都かな？			妖精郷イル・メグ							
(-楽しそうな子どもの声-)君はずーっと、ここイル・メグの住民さ！今日も、明日も、永遠に……。			(-楽しそうな子どもの声-)君はずーっと、ここイル・メグの住民さ！今日も、明日も、永遠に……。			妖精郷イル・メグ							
(-楽しそうな子どもの声-)あれれ、聞こえなかったのかな？ねえってば、君はどうしてここにいるの？			(-楽しそうな子どもの声-)あれれ、聞こえなかったのかな？ねえってば、君はどうしてここにいるの？			妖精郷イル・メグ							
何と言う？			何と言う？			妖精郷イル・メグ							
ウリエンジェに会うためだ			ウリエンジェに会うためだ			妖精郷イル・メグ							
あっちへ行け！			あっちへ行け！			妖精郷イル・メグ							
…………			…………			妖精郷イル・メグ							
(-楽しそうな子どもの声-)なんだ、聞こえてるんじゃない！だったらもーっと、お話しよう……？			(-楽しそうな子どもの声-)なんだ、聞こえてるんじゃない！だったらもーっと、お話しよう……？			妖精郷イル・メグ							
(-楽しそうな子どもの声-)ぺちゃくちゃ、べらべら、だらだらと。ほかのことは忘れてさ。今日も、明日も、永遠に……。			(-楽しそうな子どもの声-)ぺちゃくちゃ、べらべら、だらだらと。ほかのことは忘れてさ。今日も、明日も、永遠に……。			妖精郷イル・メグ							
(-楽しそうな子どもの声-)うーん、やっぱり聞こえてないのかな？ちぇっ……つまらないの！			(-楽しそうな子どもの声-)うーん、やっぱり聞こえてないのかな？ちぇっ……つまらないの！			妖精郷イル・メグ							
(-楽しそうな子どもの声-)だけど、僕らの郷に生えてる草を採ったからには、もう「踏み込んだ」ってことでいいよね……？ふふ……ずっと一緒にいようね……。			(-楽しそうな子どもの声-)だけど、僕らの郷に生えてる草を採ったからには、もう「踏み込んだ」ってことでいいよね……？ふふ……ずっと一緒にいようね……。			妖精郷イル・メグ							
……悪い、災難に遭わせちまったみたいだな。			……悪い、災難に遭わせちまったみたいだな。			妖精郷イル・メグ							
だが、戻って来たということは……「透鏡草」が見つかったのか？			だが、戻って来たということは……「透鏡草」が見つかったのか？			妖精郷イル・メグ							
ああ、間違いない……！これで妖精たちの姿を暴けば、少しは対等な交渉に持ち込めるはずだ。			ああ、間違いない……！これで妖精たちの姿を暴けば、少しは対等な交渉に持ち込めるはずだ。			妖精郷イル・メグ							
さっそく、みんなも集めてやってみるとしよう。ウリエンジェ大先生直伝の方法だ。			さっそく、みんなも集めてやってみるとしよう。ウリエンジェ大先生直伝の方法だ。			妖精郷イル・メグ							
彷徨う階段亭のジオットは、呑んだくれているようだ。			彷徨う階段亭のジオットは、呑んだくれているようだ。			ソープロシュネーの光							
ジオットは、ソープロシュネーの再生能力を冒険者に分析してほしいらしい。コルシア島の穴あき小舟亭で「ジオット」と話そう。			ジオットは、ソープロシュネーの再生能力を冒険者に分析してほしいらしい。コルシア島の穴あき小舟亭で「ジオット」と話そう。			ソープロシュネーの光							
はぐれ罪喰いを倒しておけば、ソープロシュネーを呼び寄せられるかもしれない。ブライトクリフの「指定地点」で見渡し、現れたはぐれ罪喰いを討伐しよう。			はぐれ罪喰いを倒しておけば、ソープロシュネーを呼び寄せられるかもしれない。ブライトクリフの「指定地点」で見渡し、現れたはぐれ罪喰いを討伐しよう。			ソープロシュネーの光							
はぐれ罪喰いを討伐した。ブライトクリフの「指定地点」で見渡し、現れた別種のはぐれ罪喰いを討伐しよう。			はぐれ罪喰いを討伐した。ブライトクリフの「指定地点」で見渡し、現れた別種のはぐれ罪喰いを討伐しよう。			ソープロシュネーの光							
はぐれ罪喰いを必要なだけ討伐した。ブライトクリフの「ジオット」と話そう。			はぐれ罪喰いを必要なだけ討伐した。ブライトクリフの「ジオット」と話そう。			ソープロシュネーの光							
ソープロシュネーが罪喰いを再生している姿をきっかけに、過去視が起きてしまった。どうやら、アルバートとラミットの出会いと、彼らの旅路の一端を視たようだ。彷徨う階段亭に戻り「ジオット」と話そう。			ソープロシュネーが罪喰いを再生している姿をきっかけに、過去視が起きてしまった。どうやら、アルバートとラミットの出会いと、彼らの旅路の一端を視たようだ。彷徨う階段亭に戻り「ジオット」と話そう。			ソープロシュネーの光							
ソープロシュネーの再生能力を目撃することはできたが、封じるための具体的な手段までは思いつかなかった。ジオットは酒を呑みながら思案にふけるという。冒険者も、癒し手の修行を積みながら対応法を考えておこう。※いずれかのHEALERジョブのレベルが74以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ソープロシュネーの再生能力を目撃することはできたが、封じるための具体的な手段までは思いつかなかった。ジオットは酒を呑みながら思案にふけるという。冒険者も、癒し手の修行を積みながら対応法を考えておこう。※いずれかのHEALERジョブのレベルが74以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ソープロシュネーの光							
穴あき小舟亭のジオットと話す			穴あき小舟亭のジオットと話す			ソープロシュネーの光							
指定地点で見渡し、現れた罪喰いを討伐			指定地点で見渡し、現れた罪喰いを討伐			ソープロシュネーの光							
指定地点で見渡し、現れた罪喰いを更に討伐			指定地点で見渡し、現れた罪喰いを更に討伐			ソープロシュネーの光							
ジオットと話す			ジオットと話す			ソープロシュネーの光							
彷徨う階段亭のジオットと話す			彷徨う階段亭のジオットと話す			ソープロシュネーの光							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			ソープロシュネーの光							
おやおや、誰かと思えば……ヒック……誰じゃったかの？			おやおや、誰かと思えば……ヒック……誰じゃったかの？			ソープロシュネーの光							
…………お前さん、呆れておるな？冗談じゃ、冗談、相棒のことを忘れるものか。命を預け合う者として、親睦を深めようとしただけじゃよ。			…………お前さん、呆れておるな？冗談じゃ、冗談、相棒のことを忘れるものか。命を預け合う者として、親睦を深めようとしただけじゃよ。			ソープロシュネーの光							
ともかく、アバラの具合も酒の……いや、お前さんの治癒魔法のお陰でよくなったでな。本格的に、ソープロシュネー退治を始めようと思っておる。			ともかく、アバラの具合も酒の……いや、お前さんの治癒魔法のお陰でよくなったでな。本格的に、ソープロシュネー退治を始めようと思っておる。			ソープロシュネーの光							
