ヘディンは、冒険者に偏属性クリスタルを返したいようだ。			ヘディンは、冒険者に偏属性クリスタルを返したいようだ。			始動！ エンタープライズ							
よくきてくれたな。スウィフト大闘佐から話は聞いている。さっそく、任務の詳細を説明しよう。			よくきてくれたな。スウィフト大闘佐から話は聞いている。さっそく、任務の詳細を説明しよう。			荒野に逆巻く騒擾							
アマルジャ族の動きが活発化していることは聞いているな？最近、この南ザナラーンでは、商隊や旅人が襲われ、拐われる被害が多発しているのだ。			アマルジャ族の動きが活発化していることは聞いているな？最近、この南ザナラーンでは、商隊や旅人が襲われ、拐われる被害が多発しているのだ。			荒野に逆巻く騒擾							
近ごろでは特に手口が荒っぽくなり、白昼堂々、凶行が行われる始末だ。			近ごろでは特に手口が荒っぽくなり、白昼堂々、凶行が行われる始末だ。			荒野に逆巻く騒擾							
しかも、被害はこのリトルアラミゴに留まらない。ここより南にあるサゴリー砂漠にも、奴らの凶行が及んでいると聞く。			しかも、被害はこのリトルアラミゴに留まらない。ここより南にあるサゴリー砂漠にも、奴らの凶行が及んでいると聞く。			荒野に逆巻く騒擾							
冒険者よ、まずは「人拐い」の現場を押さえ、アマルジャ族どもの尻尾を掴むぞ。			冒険者よ、まずは「人拐い」の現場を押さえ、アマルジャ族どもの尻尾を掴むぞ。			荒野に逆巻く騒擾							
現在、リトルアラミゴ周辺で小休止中の商隊がある。まずは、その様子を見てきてくれないか？何かあったら、その時は頼む！			現在、リトルアラミゴ周辺で小休止中の商隊がある。まずは、その様子を見てきてくれないか？何かあったら、その時は頼む！			荒野に逆巻く騒擾							
現在、リトルアラミゴ周辺で小休止中の商隊がある。まずは、その様子を見てきてくれないか？何かあったら、その時は頼む！			現在、リトルアラミゴ周辺で小休止中の商隊がある。まずは、その様子を見てきてくれないか？何かあったら、その時は頼む！			荒野に逆巻く騒擾							
なんだい？　チョコボを放牧して休んでいるとこなんだが。……アマルジャ族の人拐いだって？　まさか！そんなに心配なら、その辺に待機して見守っててくれよ。			なんだい？　チョコボを放牧して休んでいるとこなんだが。……アマルジャ族の人拐いだって？　まさか！そんなに心配なら、その辺に待機して見守っててくれよ。			荒野に逆巻く騒擾							
うひゃあ、助かった！それにしても、アマルジャ族をアマルジャ族が攻撃ねぇ。もしかして……仲間割れか？			うひゃあ、助かった！それにしても、アマルジャ族をアマルジャ族が攻撃ねぇ。もしかして……仲間割れか？			荒野に逆巻く騒擾							
(-灰塗りのアマルジャ族-)油断大敵、乾坤一擲！			(-灰塗りのアマルジャ族-)油断大敵、乾坤一擲！			荒野に逆巻く騒擾							
(-アマルジャ族の雑兵-)不覚！き、貴様ら……「灰の一党」かッ!?			(-アマルジャ族の雑兵-)不覚！き、貴様ら……「灰の一党」かッ!?			荒野に逆巻く騒擾							
(-灰塗りのアマルジャ族-)いかにも。多勢に無勢なりとも、あに後れをとるべけんや！			(-灰塗りのアマルジャ族-)いかにも。多勢に無勢なりとも、あに後れをとるべけんや！			荒野に逆巻く騒擾							
(-アマルジャ族の雑兵-)背信棄義っ！　道連れなりっ！			(-アマルジャ族の雑兵-)背信棄義っ！　道連れなりっ！			荒野に逆巻く騒擾							
(-アマルジャ族の雑兵-)ぎぃえええええええっ!!			(-アマルジャ族の雑兵-)ぎぃえええええええっ!!			荒野に逆巻く騒擾							
(-異装のミコッテ族-)背後から敵に刃を向けるたぁ……てめぇら、それでも誇り高き高祖の血を引く兵(つわもの)かっ！？			(-異装のミコッテ族-)背後から敵に刃を向けるたぁ……てめぇら、それでも誇り高き高祖の血を引く兵(つわもの)かっ！？			荒野に逆巻く騒擾							
(-灰塗りのアマルジャ族-)兵は詭道なり。敵を知り、己を知れば百戦危からず。これ兵法の第一義なり。			(-灰塗りのアマルジャ族-)兵は詭道なり。敵を知り、己を知れば百戦危からず。これ兵法の第一義なり。			荒野に逆巻く騒擾							
(-灰塗りのアマルジャ族-)名うての冒険者とお見受けする。此は我が戦、手出し無用！			(-灰塗りのアマルジャ族-)名うての冒険者とお見受けする。此は我が戦、手出し無用！			荒野に逆巻く騒擾							
我は戦鬼、ハムジ・ガーと覚えておいて頂こう。……我らは「灰の一党」。炎獄で燃え盛る炎より生まれし、一握の灰燼を成す者なり。			我は戦鬼、ハムジ・ガーと覚えておいて頂こう。……我らは「灰の一党」。炎獄で燃え盛る炎より生まれし、一握の灰燼を成す者なり。			荒野に逆巻く騒擾							
ヒトの子よ、戦士として貴君に興味あり。特別に我が巣「灰の陣営」に招待いたす。合縁奇縁、一期一会、お待ち申しておるぞ。			ヒトの子よ、戦士として貴君に興味あり。特別に我が巣「灰の陣営」に招待いたす。合縁奇縁、一期一会、お待ち申しておるぞ。			荒野に逆巻く騒擾							
我が招きに応え、よくぞ参られた。此は「灰の陣営」。我が長を務めし「灰の一党」の居留地なり。			我が招きに応え、よくぞ参られた。此は「灰の陣営」。我が長を務めし「灰の一党」の居留地なり。			荒野に逆巻く騒擾							
我ら「灰の一党」は、至強の高みを求め、遊牧の民にして武の民なる、高祖の血と心を継がんとする者。強き者には、例えヒトの子とて相応の礼を尽くすものなり。			我ら「灰の一党」は、至強の高みを求め、遊牧の民にして武の民なる、高祖の血と心を継がんとする者。強き者には、例えヒトの子とて相応の礼を尽くすものなり。			荒野に逆巻く騒擾							
ふむ、その只ならぬ気配……もしや貴君は焔神を退けし、噂の冒険者では？			ふむ、その只ならぬ気配……もしや貴君は焔神を退けし、噂の冒険者では？			荒野に逆巻く騒擾							
……我に本旨は解らぬが、その身に纏う気迫は真。なれば貴君も感じよう、我らが同胞の堕落ぶりを。			……我に本旨は解らぬが、その身に纏う気迫は真。なれば貴君も感じよう、我らが同胞の堕落ぶりを。			荒野に逆巻く騒擾							
戦に死するを本望とせし、武勇の民たる矜持を忘れ、今や弱者を拐い、古の神に捧げて祝福を得んとする始末……。まさしく厚顔無恥！			戦に死するを本望とせし、武勇の民たる矜持を忘れ、今や弱者を拐い、古の神に捧げて祝福を得んとする始末……。まさしく厚顔無恥！			荒野に逆巻く騒擾							
昨今、我らが同胞の堕落には目を見張るばかり。かつて戦に生き、戦に死するを本望とした、誇り高きアマルジャ族の矜持は、今や泥に塗れて見る影なし。			昨今、我らが同胞の堕落には目を見張るばかり。かつて戦に生き、戦に死するを本望とした、誇り高きアマルジャ族の矜持は、今や泥に塗れて見る影なし。			荒野に逆巻く騒擾							
剣すら持たぬ弱き者を拐い、古き神に捧げ祝福を得んとするは、その最たる行為。まさしく笑止千万！			剣すら持たぬ弱き者を拐い、古き神に捧げ祝福を得んとするは、その最たる行為。まさしく笑止千万！			荒野に逆巻く騒擾							
我らは「ザンラク」に集う、堕落せしアマルジャ族を狩る者。貴君にその意思あらば、いざ我ら「灰の一党」と共に戦わん！			我らは「ザンラク」に集う、堕落せしアマルジャ族を狩る者。貴君にその意思あらば、いざ我ら「灰の一党」と共に戦わん！			荒野に逆巻く騒擾							
(-？？？？-)ちょっと待てよ。そいつぁ聞き捨てならねぇな！			(-？？？？-)ちょっと待てよ。そいつぁ聞き捨てならねぇな！			荒野に逆巻く騒擾							
(-異装のミコッテ族-)オメェ、本当にイフリートを倒した英雄なのか？……フン、ホントかどうか眉唾モンだな。そう吹聴したヤロウを、俺はもう10人は斬り殺してるぜ？			(-異装のミコッテ族-)オメェ、本当にイフリートを倒した英雄なのか？……フン、ホントかどうか眉唾モンだな。そう吹聴したヤロウを、俺はもう10人は斬り殺してるぜ？			荒野に逆巻く騒擾							
戦士ルーン・ガーよ、口出し無用。一党の意思は、このハムジ・ガーが決めるものなり。			戦士ルーン・ガーよ、口出し無用。一党の意思は、このハムジ・ガーが決めるものなり。			荒野に逆巻く騒擾							
……おいオメェ、いいか？　足手まといにはなるなよ！ただでさえ、数だけは多い「ザンラク」の連中相手に、こちとら手ぇいっぱいなんだからなっ！			……おいオメェ、いいか？　足手まといにはなるなよ！ただでさえ、数だけは多い「ザンラク」の連中相手に、こちとら手ぇいっぱいなんだからなっ！			荒野に逆巻く騒擾							
焔神を打破せし者が貴君であるか、知る術はなし。されど貴君からは、只者ならぬ気配を感じる。このハムジ・ガーの目は節穴にあらず。			焔神を打破せし者が貴君であるか、知る術はなし。されど貴君からは、只者ならぬ気配を感じる。このハムジ・ガーの目は節穴にあらず。			荒野に逆巻く騒擾							
貴君の目的は、ヒトを拐うアマルジャ族の打倒なりや。ならば我らに組すること、すなわち貴君の益でもある。まずは我らに協力し、しかるのち意を決めるがよかろう。			貴君の目的は、ヒトを拐うアマルジャ族の打倒なりや。ならば我らに組すること、すなわち貴君の益でもある。まずは我らに協力し、しかるのち意を決めるがよかろう。			荒野に逆巻く騒擾							
敵は「ザンラク」のアマルジャ族！弱者を糧に古き神にすがる、きゃつらの牙を共に折らん！旗幟鮮明、確乎不動！			敵は「ザンラク」のアマルジャ族！弱者を糧に古き神にすがる、きゃつらの牙を共に折らん！旗幟鮮明、確乎不動！			荒野に逆巻く騒擾							
灰の陣営のハムジ・ガーは、冒険者に依頼したいことがあるようだ。			灰の陣営のハムジ・ガーは、冒険者に依頼したいことがあるようだ。			灰燼を成す者							
アマルジャ族の一派、「炎牙衆（えんがしゅう）」が凶行に及ぼうとしている。南ザナラーンのレッドラビリンスにある「指定地点」に向かい、彼らを止めよう。			アマルジャ族の一派、「炎牙衆（えんがしゅう）」が凶行に及ぼうとしている。南ザナラーンのレッドラビリンスにある「指定地点」に向かい、彼らを止めよう。			灰燼を成す者							
襲ってきた「炎牙衆」を倒した。「緊張した商人」と話そう。			襲ってきた「炎牙衆」を倒した。「緊張した商人」と話そう。			灰燼を成す者							
商人は冒険者に礼を言うと帰っていった。「灰の陣営」に戻り、「ルーン・ガー」と話そう。			商人は冒険者に礼を言うと帰っていった。「灰の陣営」に戻り、「ルーン・ガー」と話そう。			灰燼を成す者							
ルーン・ガーは、冒険者の力をある程度は認めてくれたようだ。灰の陣営の「ハムジ・ガー」に報告をしよう。			ルーン・ガーは、冒険者の力をある程度は認めてくれたようだ。灰の陣営の「ハムジ・ガー」に報告をしよう。			灰燼を成す者							
商人を助けることはできたが、「炎牙衆」の暗躍は続いている。アマルジャ族との親交を深め、彼らの企みに対抗していこう。			商人を助けることはできたが、「炎牙衆」の暗躍は続いている。アマルジャ族との親交を深め、彼らの企みに対抗していこう。			灰燼を成す者							
レッドラビリンスの指定地点で待機し炎牙衆を討伐			レッドラビリンスの指定地点で待機し炎牙衆を討伐			灰燼を成す者							
緊張した商人と話す			緊張した商人と話す			灰燼を成す者							
灰の陣営のルーン・ガーと話す			灰の陣営のルーン・ガーと話す			灰燼を成す者							
ハムジ・ガーに報告			ハムジ・ガーに報告			灰燼を成す者							
我らアマルジャ族は、大平原「パガルザン」を巡りて暮らす遊牧の民にして、旅路をさえぎる敵あらば、力で征す武勇の民なり。			我らアマルジャ族は、大平原「パガルザン」を巡りて暮らす遊牧の民にして、旅路をさえぎる敵あらば、力で征す武勇の民なり。			灰燼を成す者							
古来より、死期を悟ったアマルジャの戦士は、ここ聖地「ザンラク」へと向かい、死に相対して参った。鍛えし魂を劫火にくべ、肉体を灰に帰すことこそ我らが本懐！			古来より、死期を悟ったアマルジャの戦士は、ここ聖地「ザンラク」へと向かい、死に相対して参った。鍛えし魂を劫火にくべ、肉体を灰に帰すことこそ我らが本懐！			灰燼を成す者							
されど、「ザハラク」に集う者どもは死を恐れ、己を鍛えず、安易に神の加護を得んとするばかり……。神にすがるは、これ即ち己の弱さ！			されど、「ザハラク」に集う者どもは死を恐れ、己を鍛えず、安易に神の加護を得んとするばかり……。神にすがるは、これ即ち己の弱さ！			灰燼を成す者							
あまつさえ、剣すら持たぬ弱者を襲い、これを拐いて、古き神に捧げるとは言語道断！至強とは、強きに勝ち、己に勝ってこそのものなり！			あまつさえ、剣すら持たぬ弱者を襲い、これを拐いて、古き神に捧げるとは言語道断！至強とは、強きに勝ち、己に勝ってこそのものなり！			灰燼を成す者							
我が長ハムジ・ガー、焦眉之急(しょうびのきゅう)！「炎牙衆(えんがしゅう)」、凶行に及びたる模様！直ちに征討に赴かれたし！			我が長ハムジ・ガー、焦眉之急(しょうびのきゅう)！「炎牙衆(えんがしゅう)」、凶行に及びたる模様！直ちに征討に赴かれたし！			灰燼を成す者							
む、冒険者よ……今まさに貴君の出番なり！「炎牙衆」こそ我らが宿敵、惰弱なるアマルジャ族ぞ。……戦士ルーン・ガー！			む、冒険者よ……今まさに貴君の出番なり！「炎牙衆」こそ我らが宿敵、惰弱なるアマルジャ族ぞ。……戦士ルーン・ガー！			灰燼を成す者							
何の用だよ？　ハムジ・ガーの親父。			何の用だよ？　ハムジ・ガーの親父。			灰燼を成す者							
これなるは、戦士ルーン・ガーと申す者。姿かたちはミコッテ族なれど、その魂に炎を宿す同志なり。我ら「灰の一党」が求むるは至強のみ、種や性に別なし。			これなるは、戦士ルーン・ガーと申す者。姿かたちはミコッテ族なれど、その魂に炎を宿す同志なり。我ら「灰の一党」が求むるは至強のみ、種や性に別なし。			灰燼を成す者							
戦士ルーン・ガー。冒険者を補佐し、共に敵にあたるべし。			戦士ルーン・ガー。冒険者を補佐し、共に敵にあたるべし。			灰燼を成す者							
はぁぁぁ！？　ちょ、ちょっとまてよっ！なんで俺が、こんなヤツと……！誰かほかのヤツにしろよ、いんだろ？　ほかに！			はぁぁぁ！？　ちょ、ちょっとまてよっ！なんで俺が、こんなヤツと……！誰かほかのヤツにしろよ、いんだろ？　ほかに！			灰燼を成す者							
問答無用！このハムジ・ガーの決定に否は許さじ！言い訳あらば剣で聞くが如何？			問答無用！このハムジ・ガーの決定に否は許さじ！言い訳あらば剣で聞くが如何？			灰燼を成す者							
…………チッ。しょうがねぇな……。			…………チッ。しょうがねぇな……。			灰燼を成す者							
オイ、さっそく、化けの皮が剥げる機会がきたな！地図に印をつけてやっから、現地で合流すんぞ。さっさと行け！			オイ、さっそく、化けの皮が剥げる機会がきたな！地図に印をつけてやっから、現地で合流すんぞ。さっさと行け！			灰燼を成す者							
ひいいい……助け……助けてぇ……！			ひいいい……助け……助けてぇ……！			灰燼を成す者							
遅せぇぞ、何やってたんだ！斥候は俺が片付けた！			遅せぇぞ、何やってたんだ！斥候は俺が片付けた！			灰燼を成す者							
この装備……やはり敵は「炎牙衆」か。気を抜くな、まだ近くに本隊がいるぞ……！オメェは「指定地点」で待機し、敵を迎え討て！			この装備……やはり敵は「炎牙衆」か。気を抜くな、まだ近くに本隊がいるぞ……！オメェは「指定地点」で待機し、敵を迎え討て！			灰燼を成す者							
ふいいい、助かった……。どなたか存じませんが、ありがとうございます。			ふいいい、助かった……。どなたか存じませんが、ありがとうございます。			灰燼を成す者							
ここいらでは、アマルジャ族の人拐いが横行していましてね。一時期、鳴りを潜めたと思っていたのですが……最近、以前にも増して被害が増えているようなんです。			ここいらでは、アマルジャ族の人拐いが横行していましてね。一時期、鳴りを潜めたと思っていたのですが……最近、以前にも増して被害が増えているようなんです。			灰燼を成す者							
次からは、腕利きの冒険者を護衛に雇うことにします。ううう、経費がかさむなぁ……商売あがったりだ……。			次からは、腕利きの冒険者を護衛に雇うことにします。ううう、経費がかさむなぁ……商売あがったりだ……。			灰燼を成す者							
フン、死に損ねたみてぇだな。さっさと「灰の陣営」に帰るぞ……道草食うなよ！			フン、死に損ねたみてぇだな。さっさと「灰の陣営」に帰るぞ……道草食うなよ！			灰燼を成す者							
オメェの実力は、たっぷり見させてもらったぜ。……あっ、でも調子に乗んじゃねぇぞ！戦士としての覚悟と決意は、俺の方が上だかんな！			オメェの実力は、たっぷり見させてもらったぜ。……あっ、でも調子に乗んじゃねぇぞ！戦士としての覚悟と決意は、俺の方が上だかんな！			灰燼を成す者							
俺たち「灰の一党」は、孤高の戦闘集団。長のハムジ・ガー主導のもと、ザンラクに巣食うアマルジャ族と敵対してんだ。			俺たち「灰の一党」は、孤高の戦闘集団。長のハムジ・ガー主導のもと、ザンラクに巣食うアマルジャ族と敵対してんだ。			灰燼を成す者							
アイツらは、この聖地のあちこちに祭壇や戦陣を築き、我が物顔でのさばってやがる。フン、まともに戦えもしねぇ卑怯者のくせに……。			アイツらは、この聖地のあちこちに祭壇や戦陣を築き、我が物顔でのさばってやがる。フン、まともに戦えもしねぇ卑怯者のくせに……。			灰燼を成す者							
さっき商隊を襲ったのは「炎牙衆」と呼ばれる、ザンラク勢の中でも人拐いを専門とした集団だ。……そして、俺たち「灰の一党」の宿敵でもある。			さっき商隊を襲ったのは「炎牙衆」と呼ばれる、ザンラク勢の中でも人拐いを専門とした集団だ。……そして、俺たち「灰の一党」の宿敵でもある。			灰燼を成す者							
ヤツらの野望を潰し、一網打尽にする……！それが俺たち「灰の一党」の目的であり、正統なるアマルジャ族の戦士の使命なんだ。			ヤツらの野望を潰し、一網打尽にする……！それが俺たち「灰の一党」の目的であり、正統なるアマルジャ族の戦士の使命なんだ。			灰燼を成す者							
……オメェに忠告だ。俺たちの問題に首を突っ込むのは、ほどほどにしろ。アマルジャ族でもねぇヤツが、深入りすんじゃねぇ！			……オメェに忠告だ。俺たちの問題に首を突っ込むのは、ほどほどにしろ。アマルジャ族でもねぇヤツが、深入りすんじゃねぇ！			灰燼を成す者							
……あン？　オメェの表情、「お前だってアマルジャ族じゃないクセに」って顔だな？ウダウダ言うようなら、ブッ飛ばすぞ！			……あン？　オメェの表情、「お前だってアマルジャ族じゃないクセに」って顔だな？ウダウダ言うようなら、ブッ飛ばすぞ！			灰燼を成す者							
さっさと、ハムジ・ガーの親父に戦果を報告してきやがれってんだ！			さっさと、ハムジ・ガーの親父に戦果を報告してきやがれってんだ！			灰燼を成す者							
強き者よ、聞きしに勝るその手並、実に見事なり。まさに八面六臂、一騎当千。このハムジ・ガー、戦士として感服いたした。			強き者よ、聞きしに勝るその手並、実に見事なり。まさに八面六臂、一騎当千。このハムジ・ガー、戦士として感服いたした。			灰燼を成す者							
貴君にその意思あらば、我ら「灰の一党」の同志となりて、ザンラク勢との対決に、助太刀願いたき所存。貴君にその意思ありや？			貴君にその意思あらば、我ら「灰の一党」の同志となりて、ザンラク勢との対決に、助太刀願いたき所存。貴君にその意思ありや？			灰燼を成す者							
「灰の一党」の同志となって戦う？			「灰の一党」の同志となって戦う？			灰燼を成す者							
もちろん！　共に戦う所存！			もちろん！　共に戦う所存！			灰燼を成す者							
……いや、遠慮させてもらいます。			……いや、遠慮させてもらいます。			灰燼を成す者							
うむ！　よくぞ言った、強き者よ！			うむ！　よくぞ言った、強き者よ！			灰燼を成す者							
我ら姿かたちは違えども、倒すべき敵は同じ。即ち、不倶戴天たる「炎牙衆」ぞ！願わくは、共に彼奴らの野望の炎をかき消さん！			我ら姿かたちは違えども、倒すべき敵は同じ。即ち、不倶戴天たる「炎牙衆」ぞ！願わくは、共に彼奴らの野望の炎をかき消さん！			灰燼を成す者							
ふむ……それは至極残念。しかし、貴君には貴君の道があろう。たとえ袂を分かつとも、我らの志は変わらず。			ふむ……それは至極残念。しかし、貴君には貴君の道があろう。たとえ袂を分かつとも、我らの志は変わらず。			灰燼を成す者							
敵の気配を感じた！！			敵の気配を感じた！！			灰燼を成す者							
「アマルジャ族：灰の一党」との友好関係が「中立」になり、アマルジャ族の「友好部族クエスト」が開放されました。			「アマルジャ族：灰の一党」との友好関係が「中立」になり、アマルジャ族の「友好部族クエスト」が開放されました。			灰燼を成す者							
これ以降、灰の陣営にいる「フィブブ・ガー」より、繰り返し可能な「友好部族デイリークエスト」を受注することができます。			これ以降、灰の陣営にいる「フィブブ・ガー」より、繰り返し可能な「友好部族デイリークエスト」を受注することができます。			灰燼を成す者							
また、「アマルジャ族のよろず屋」より、友好部族の取り扱う商品が購入できるようになりました。今後の冒険に役立てましょう！			また、「アマルジャ族のよろず屋」より、友好部族の取り扱う商品が購入できるようになりました。今後の冒険に役立てましょう！			灰燼を成す者							
