双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
やれやれ……まさか、再び旅団が結成される日が来ようとはな……。			やれやれ……まさか、再び旅団が結成される日が来ようとはな……。			復活、海雄旅団！							
ところで一応、確認しておきたいんだが、団長とは、まだ連絡は取れないのか？			ところで一応、確認しておきたいんだが、団長とは、まだ連絡は取れないのか？			復活、海雄旅団！							
団長は、俺たちに各々の生き方を見つけさせるために、表舞台から姿を消したんだ。もう二度と会うことはねぇかもな。			団長は、俺たちに各々の生き方を見つけさせるために、表舞台から姿を消したんだ。もう二度と会うことはねぇかもな。			復活、海雄旅団！							
ともかく、だ。海雄旅団に任せたい仕事は大きくふたつある。			ともかく、だ。海雄旅団に任せたい仕事は大きくふたつある。			復活、海雄旅団！							
ラノシア近海の偽神獣討伐への協力、そして海嘯派サハギン族による蛮神召喚の阻止だ。			ラノシア近海の偽神獣討伐への協力、そして海嘯派サハギン族による蛮神召喚の阻止だ。			復活、海雄旅団！							
再結成して早々、大役を任せられたものですね。誰にどの役割を与えるか、団員の特色を考慮して決めなければ……。			再結成して早々、大役を任せられたものですね。誰にどの役割を与えるか、団員の特色を考慮して決めなければ……。			復活、海雄旅団！							
さっそく、団長代行の仕事がやってきたな。時間をやるから、俺たちをどう編成するか考えてくれ。			さっそく、団長代行の仕事がやってきたな。時間をやるから、俺たちをどう編成するか考えてくれ。			復活、海雄旅団！							
私は、海雄旅団のかつての副団長、ヴェイスケートと話してくる。君は「溺れた海豚亭」で待っていてくれ。			私は、海雄旅団のかつての副団長、ヴェイスケートと話してくる。君は「溺れた海豚亭」で待っていてくれ。			復活、海雄旅団！							
フスィーッ……海嘯派を見張る役目は、拙者どもにお任せあれ。			フスィーッ……海嘯派を見張る役目は、拙者どもにお任せあれ。			復活、海雄旅団！							
さて、俺たちがしなけりゃならんのは、第一に偽神獣の捜索。見つけないことには、倒しようがないからな。野性的な勘の持ち主や、道具の扱いに長けた者が向いているだろう。			さて、俺たちがしなけりゃならんのは、第一に偽神獣の捜索。見つけないことには、倒しようがないからな。野性的な勘の持ち主や、道具の扱いに長けた者が向いているだろう。			復活、海雄旅団！							
そして第二に、海嘯派サハギン族による、リヴァイアサン再召喚を確実に阻止すること、だ。冷静に海嘯派の行動を読んだ上で、妨害工作を行える者が適任だな。			そして第二に、海嘯派サハギン族による、リヴァイアサン再召喚を確実に阻止すること、だ。冷静に海嘯派の行動を読んだ上で、妨害工作を行える者が適任だな。			復活、海雄旅団！							
団長代行として、誰にどの役割を与えるか、こいつらの特性を考慮しつつ考えてくれ。			団長代行として、誰にどの役割を与えるか、こいつらの特性を考慮しつつ考えてくれ。			復活、海雄旅団！							
そのためにまず、ひとりずつ面談を行い、団員たちのことをよく知ってもらうぞ。			そのためにまず、ひとりずつ面談を行い、団員たちのことをよく知ってもらうぞ。			復活、海雄旅団！							
ひとつ言っておくぜ、団長代行。俺にできるのは、目の前の敵を串刺しにすることだ！敵は強ければ強いほど燃えるってもんよォ！			ひとつ言っておくぜ、団長代行。俺にできるのは、目の前の敵を串刺しにすることだ！敵は強ければ強いほど燃えるってもんよォ！			復活、海雄旅団！							
リヴァイアサン召喚の阻止なんて、まだるっこしいことしねェで、あの海蛇野郎を串刺しの蒲焼きにしちまえばいいんじゃねェのか！？			リヴァイアサン召喚の阻止なんて、まだるっこしいことしねェで、あの海蛇野郎を串刺しの蒲焼きにしちまえばいいんじゃねェのか！？			復活、海雄旅団！							
ランドゥネルに与える役割は？			ランドゥネルに与える役割は？			復活、海雄旅団！							
偽神獣の捜索			偽神獣の捜索			復活、海雄旅団！							
蛮神召喚の阻止			蛮神召喚の阻止			復活、海雄旅団！							
ほう、良い判断だ。血気盛んなランドゥネルに蛮神召喚の阻止を任せたら、いつの間にかリヴァイアサンと戦うことになっていそうだからな。			ほう、良い判断だ。血気盛んなランドゥネルに蛮神召喚の阻止を任せたら、いつの間にかリヴァイアサンと戦うことになっていそうだからな。			復活、海雄旅団！							
おいおい、それでいいのか？こいつは、リヴァイアサンと戦いたがるようなアブナイ奴だぞ？			おいおい、それでいいのか？こいつは、リヴァイアサンと戦いたがるようなアブナイ奴だぞ？			復活、海雄旅団！							
言っておくが、俺はランドゥネルのような脳筋野郎とは違う。ウ族の族長として下のモンを束ねるためには、どんな時もどっしりと構えていられる冷静さが求められるんだ。			言っておくが、俺はランドゥネルのような脳筋野郎とは違う。ウ族の族長として下のモンを束ねるためには、どんな時もどっしりと構えていられる冷静さが求められるんだ。			復活、海雄旅団！							
「技量」を磨いてきたのは荒事のためではあるが、一族を守るためには、時に戦いを避けることも必要だ。無駄な体力を使わないことが、砂漠で生きる秘訣なんだよ。			「技量」を磨いてきたのは荒事のためではあるが、一族を守るためには、時に戦いを避けることも必要だ。無駄な体力を使わないことが、砂漠で生きる秘訣なんだよ。			復活、海雄旅団！							
ウ・オド・ヌンに与える役割は？			ウ・オド・ヌンに与える役割は？			復活、海雄旅団！							
偽神獣の捜索			偽神獣の捜索			復活、海雄旅団！							
蛮神召喚の阻止			蛮神召喚の阻止			復活、海雄旅団！							
確かに、ウ・オドのようなクレバーな奴は、どんな任務でも、的確にこなしてくれるだろうが……いや、いいさ。			確かに、ウ・オドのようなクレバーな奴は、どんな任務でも、的確にこなしてくれるだろうが……いや、いいさ。			復活、海雄旅団！							
さすが、団長代行だな。蛮神召喚に手を染めようという危険な連中を相手させるには、確かに冷静なウ・オドが適任だろう。			さすが、団長代行だな。蛮神召喚に手を染めようという危険な連中を相手させるには、確かに冷静なウ・オドが適任だろう。			復活、海雄旅団！							
ご存じのとおり、私の目は光を失っています。それでも、心理戦や工作活動では、誰にも引けを取らない自信があります。			ご存じのとおり、私の目は光を失っています。それでも、心理戦や工作活動では、誰にも引けを取らない自信があります。			復活、海雄旅団！							
それに、私は探し物が得意な方ではないんですよ。いや、得意ではなくなった……という言い方が正しいですね。			それに、私は探し物が得意な方ではないんですよ。いや、得意ではなくなった……という言い方が正しいですね。			復活、海雄旅団！							
シャマニ・ローマニに与える役割は？			シャマニ・ローマニに与える役割は？			復活、海雄旅団！							
偽神獣の捜索			偽神獣の捜索			復活、海雄旅団！							
蛮神召喚の阻止			蛮神召喚の阻止			復活、海雄旅団！							
シャマニ・ローマニに偽神獣の捜索は向いてないんじゃないか？団長代行が決めたことなら、従うがな。			シャマニ・ローマニに偽神獣の捜索は向いてないんじゃないか？団長代行が決めたことなら、従うがな。			復活、海雄旅団！							
わかってるな。根回しや工作に長けているシャマニ・ローマニなら、海嘯派の行動を読んで先回りすることができるだろう。			わかってるな。根回しや工作に長けているシャマニ・ローマニなら、海嘯派の行動を読んで先回りすることができるだろう。			復活、海雄旅団！							
シュコォ……　シュコォ……「青の手」作った　お宝いっぱいいまこそ　こここそ　使い時　ゴブ！			シュコォ……　シュコォ……「青の手」作った　お宝いっぱいいまこそ　こここそ　使い時　ゴブ！			復活、海雄旅団！							
特殊レンズの　望遠鏡　水の中も　なんのそ～の！海に隠れた　落とし物　ゴブの道具で大発見～！			特殊レンズの　望遠鏡　水の中も　なんのそ～の！海に隠れた　落とし物　ゴブの道具で大発見～！			復活、海雄旅団！							
ブレイフロクスに与える役割は？			ブレイフロクスに与える役割は？			復活、海雄旅団！							
偽神獣の捜索			偽神獣の捜索			復活、海雄旅団！							
蛮神召喚の阻止			蛮神召喚の阻止			復活、海雄旅団！							
冴えてるじゃないか。ブレイフロクスが持つ道具の中には、捜索に長けた物もあるだろう。			冴えてるじゃないか。ブレイフロクスが持つ道具の中には、捜索に長けた物もあるだろう。			復活、海雄旅団！							
蛮神召喚の阻止をさせるのか？「機転」のブレイフロクスとは言うが、「青の手」からチーズのレシピを盗むのとは訳が違うぞ？			蛮神召喚の阻止をさせるのか？「機転」のブレイフロクスとは言うが、「青の手」からチーズのレシピを盗むのとは訳が違うぞ？			復活、海雄旅団！							
よし、これで編成が決まったな。			よし、これで編成が決まったな。			復活、海雄旅団！							
見事、全員の個性を汲んだ編成をしてみせたな。団長代行として申し分ない采配だ！			見事、全員の個性を汲んだ編成をしてみせたな。団長代行として申し分ない采配だ！			復活、海雄旅団！							
まだ団員たちについて知ってもらう必要はありそうだが、団長代行の滑り出しとしては、悪くない。			まだ団員たちについて知ってもらう必要はありそうだが、団長代行の滑り出しとしては、悪くない。			復活、海雄旅団！							
俺たちのことを理解できてないようだな。団長代行としての采配には不安が残るが……少しずつ慣れてくれ。			俺たちのことを理解できてないようだな。団長代行としての采配には不安が残るが……少しずつ慣れてくれ。			復活、海雄旅団！							
では、それぞれの役割が決まったところで、連絡を取り合うためのリンクパールを渡しておこう。帰り際、黒渦団本部にて受け取ってくれ。			では、それぞれの役割が決まったところで、連絡を取り合うためのリンクパールを渡しておこう。帰り際、黒渦団本部にて受け取ってくれ。			復活、海雄旅団！							
それじゃ、俺たちはいったん帰るぜ。何かあれば召集してくれ。			それじゃ、俺たちはいったん帰るぜ。何かあれば召集してくれ。			復活、海雄旅団！							
我らも黒渦団本部へ向かい、海雄旅団との連携作戦を書記官に共有しよう。君もついてきてくれ、海雄旅団団長代行殿……フフ。			我らも黒渦団本部へ向かい、海雄旅団との連携作戦を書記官に共有しよう。君もついてきてくれ、海雄旅団団長代行殿……フフ。			復活、海雄旅団！							
団長代行としての最初の仕事だな。頼りにしているよ。			団長代行としての最初の仕事だな。頼りにしているよ。			復活、海雄旅団！							
とっとと編成を終わらせて暴れに行こうぜェ！			とっとと編成を終わらせて暴れに行こうぜェ！			復活、海雄旅団！							
団長代行さんよォ、さっさと暴れさせろや！			団長代行さんよォ、さっさと暴れさせろや！			復活、海雄旅団！							
俺とランドゥネルは別の編成にしてくれよ。いちいち突っかかってこられたら暑苦しいからな。			俺とランドゥネルは別の編成にしてくれよ。いちいち突っかかってこられたら暑苦しいからな。			復活、海雄旅団！							
海雄旅団が復活したからと言って、族長の務めがなくなるわけじゃねぇのさ。			海雄旅団が復活したからと言って、族長の務めがなくなるわけじゃねぇのさ。			復活、海雄旅団！							
まさか、またこの賑やかな日々が戻ってこようとは。			まさか、またこの賑やかな日々が戻ってこようとは。			復活、海雄旅団！							
ここで何をしているのかって？いえいえ、ワインを放っておくわけにはいかないでしょう？			ここで何をしているのかって？いえいえ、ワインを放っておくわけにはいかないでしょう？			復活、海雄旅団！							
シュコォ……　シュコォ……ゴブの盟友　またまた　会えて　嬉しいゴブ！			シュコォ……　シュコォ……ゴブの盟友　またまた　会えて　嬉しいゴブ！			復活、海雄旅団！							
シュコォ……　シュコォ……いけい～け　海雄旅団～！悪の集団　やっつけ～ろ！			シュコォ……　シュコォ……いけい～け　海雄旅団～！悪の集団　やっつけ～ろ！			復活、海雄旅団！							
お前には団長代行としてやることがあるんじゃないのか？			お前には団長代行としてやることがあるんじゃないのか？			復活、海雄旅団！							
Forenameさん、おつかれさまです。すでに提督より話は聞いております。			Forenameさん、おつかれさまです。すでに提督より話は聞いております。			復活、海雄旅団！							
彼女彼にも、海雄旅団と同じリンクパールを渡してくれ。			彼女彼にも、海雄旅団と同じリンクパールを渡してくれ。			復活、海雄旅団！							
承知しました。			承知しました。			復活、海雄旅団！							
……さっそく、海雄旅団から通信が入っているようですが。			……さっそく、海雄旅団から通信が入っているようですが。			復活、海雄旅団！							
(-ランドゥネルの声-)よう、団長代行さんよォ！誰でもいいからとっととぶっ潰しに行こうや！			(-ランドゥネルの声-)よう、団長代行さんよォ！誰でもいいからとっととぶっ潰しに行こうや！			復活、海雄旅団！							
(-ウ・オド・ヌンの声-)五月蝿いぞ、意味のない発言をするな……。			(-ウ・オド・ヌンの声-)五月蝿いぞ、意味のない発言をするな……。			復活、海雄旅団！							
(-ランドゥネルの声-)んだとォ……てめェから串刺しにしてやろうか！			(-ランドゥネルの声-)んだとォ……てめェから串刺しにしてやろうか！			復活、海雄旅団！							
……本当に彼らを束ねることなどできるのでしょうか。			……本当に彼らを束ねることなどできるのでしょうか。			復活、海雄旅団！							
それは、Forename次第だな。頼むぞ、団長代行殿。			それは、Forename次第だな。頼むぞ、団長代行殿。			復活、海雄旅団！							
さて、何か進展があればリンクパールで伝える……と言いたいが、一部、早まりそうな連中がいるのでな。君には、いつもどおり書記官から伝えさせよう。			さて、何か進展があればリンクパールで伝える……と言いたいが、一部、早まりそうな連中がいるのでな。君には、いつもどおり書記官から伝えさせよう。			復活、海雄旅団！							
私は、融和派のサハギン族とともに、海嘯派の潜伏先を探るため、動くつもりだ。			私は、融和派のサハギン族とともに、海嘯派の潜伏先を探るため、動くつもりだ。			復活、海雄旅団！							
朗報を期待して待っていてくれ、団長代行殿。			朗報を期待して待っていてくれ、団長代行殿。			復活、海雄旅団！							
書記官には、私から情報共有を済ませてあるが、彼女から君に渡してもらいたいものがあるんだ。			書記官には、私から情報共有を済ませてあるが、彼女から君に渡してもらいたいものがあるんだ。			復活、海雄旅団！							
私は、あなたと海雄旅団を繋ぐ連絡役を任された者です！まずは「書記官」とお話しいただけますか？			私は、あなたと海雄旅団を繋ぐ連絡役を任された者です！まずは「書記官」とお話しいただけますか？			復活、海雄旅団！							
ドマ町人地のユウギリは、冒険者に頼みがあるようだ。			ドマ町人地のユウギリは、冒険者に頼みがあるようだ。			ユウギリの帰郷							
ユウギリはキセイの正体を調査するためスイの里に向かうという。冒険者はそれに同行することになった。紅玉海の筋違砦にいる「ユウギリ」と話そう。			ユウギリはキセイの正体を調査するためスイの里に向かうという。冒険者はそれに同行することになった。紅玉海の筋違砦にいる「ユウギリ」と話そう。			ユウギリの帰郷							
ユウギリと話し、彼女の故郷への想いを聞いた。紅玉海のスイの里にいる「ユウギリ」と話そう。			ユウギリと話し、彼女の故郷への想いを聞いた。紅玉海のスイの里にいる「ユウギリ」と話そう。			ユウギリの帰郷							
年配の者からキセイの話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。※同行状態が解除された場合、再度「ユウギリ」に話しかけることで同行を再開できます。			年配の者からキセイの話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。※同行状態が解除された場合、再度「ユウギリ」に話しかけることで同行を再開できます。			ユウギリの帰郷							
ほかの年配の者から話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。			ほかの年配の者から話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。			ユウギリの帰郷							
ユウナギから話を聞くことになった。ユウギリと同行して、スイの里の「ユウナギ」と話そう。			ユウナギから話を聞くことになった。ユウギリと同行して、スイの里の「ユウナギ」と話そう。			ユウギリの帰郷							
ユウナギと話し、キセイが幼い頃から不思議な才を持っていたことを聞いた。筋違砦にいる「ユウギリ」と話そう。			ユウナギと話し、キセイが幼い頃から不思議な才を持っていたことを聞いた。筋違砦にいる「ユウギリ」と話そう。			ユウギリの帰郷							
ユウギリと話し、ヒエンに報告することになった。ドマ町人地に戻り「ヒエン」と話そう。			ユウギリと話し、ヒエンに報告することになった。ドマ町人地に戻り「ヒエン」と話そう。			ユウギリの帰郷							
ヒエンと話した。彼は帰還者を匿っている帰燕館の護りを固めたという。鍛錬を積んで、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが88以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ヒエンと話した。彼は帰還者を匿っている帰燕館の護りを固めたという。鍛錬を積んで、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが88以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ユウギリの帰郷							
筋違砦のユウギリと話す			筋違砦のユウギリと話す			ユウギリの帰郷							
ユウギリと話して同行させる			ユウギリと話して同行させる			ユウギリの帰郷							
ユウギリを連れてスイの里の年配者と話す			ユウギリを連れてスイの里の年配者と話す			ユウギリの帰郷							
ユウギリを連れて再度スイの里の年配者と話す			ユウギリを連れて再度スイの里の年配者と話す			ユウギリの帰郷							
ユウギリを連れてユウナギと話す			ユウギリを連れてユウナギと話す			ユウギリの帰郷							
筋違砦のユウギリと話す			筋違砦のユウギリと話す			ユウギリの帰郷							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			ユウギリの帰郷							
Forename殿。面目ないことに、相変わらず偽神獣は発見できていない。			Forename殿。面目ないことに、相変わらず偽神獣は発見できていない。			ユウギリの帰郷							
しかし、標的とされていた捕虜交換の帰還者たちを、帰燕館に匿ったことで、新たな犠牲者は出さずに済んでいる。ヒエン様は、偽神獣捜索の指揮に奔走中だ。			しかし、標的とされていた捕虜交換の帰還者たちを、帰燕館に匿ったことで、新たな犠牲者は出さずに済んでいる。ヒエン様は、偽神獣捜索の指揮に奔走中だ。			ユウギリの帰郷							
獣化についても、あれからずっと抑え込まれていて、状況は膠着している。			獣化についても、あれからずっと抑え込まれていて、状況は膠着している。			ユウギリの帰郷							
この間に、私はできることをしておきたい。実は、偽神獣をイザナミであると触れ回っている、キセイについて気になることがあるのだ。			この間に、私はできることをしておきたい。実は、偽神獣をイザナミであると触れ回っている、キセイについて気になることがあるのだ。			ユウギリの帰郷							
イサリ村で暮らし、息子を儲けていたようだが、彼女は、私と同じスイの民であるように見えてな……。			イサリ村で暮らし、息子を儲けていたようだが、彼女は、私と同じスイの民であるように見えてな……。			ユウギリの帰郷							
とはいえ、私はスイの里を追放された身……。まずは里との連絡役を務めてくれているコウジン族を介して、情報提供を求めてみたのだ。			とはいえ、私はスイの里を追放された身……。まずは里との連絡役を務めてくれているコウジン族を介して、情報提供を求めてみたのだ。			ユウギリの帰郷							
ここ最近は紅玉姫も開明的になり、明るい兆しもあったのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ここ最近は紅玉姫も開明的になり、明るい兆しもあったのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ユウギリの帰郷							
ここ最近は最低限のやりとりこそできていたのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ここ最近は最低限のやりとりこそできていたのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ユウギリの帰郷							
こうなれば里の者から直接話を聞くしかない。とはいえ、追放者がひとりで里に赴くというのは、いかにも具合が悪い。			こうなれば里の者から直接話を聞くしかない。とはいえ、追放者がひとりで里に赴くというのは、いかにも具合が悪い。			ユウギリの帰郷							
十数年、帰郷していないゆえ、頭巾で顔を隠せば、ある程度ごまかせるとは思うが……里と交流がある貴殿の同行があれば、より安心なのだ。			十数年、帰郷していないゆえ、頭巾で顔を隠せば、ある程度ごまかせるとは思うが……里と交流がある貴殿の同行があれば、より安心なのだ。			ユウギリの帰郷							
かたじけない、恩に着る。それでは、まずは紅玉海の「筋違砦」まで向かおう。			かたじけない、恩に着る。それでは、まずは紅玉海の「筋違砦」まで向かおう。			ユウギリの帰郷							
この装束、もはや懐かしさすら感じる。ドマの難民を引き連れて、エオルゼアに向かったときのものだ。久しく身につけてはいなかったが、正体を隠すには丁度いい。			この装束、もはや懐かしさすら感じる。ドマの難民を引き連れて、エオルゼアに向かったときのものだ。久しく身につけてはいなかったが、正体を隠すには丁度いい。			ユウギリの帰郷							
スイの里に戻るのは、追放を言い渡されたとき以来なのだが、その件で、少し頼みたいことがある。			スイの里に戻るのは、追放を言い渡されたとき以来なのだが、その件で、少し頼みたいことがある。			ユウギリの帰郷							
以前にも話したが、私はドマの忍びではありつつ、根底には、故郷を戦乱から護りたいという想いが常にあった。			以前にも話したが、私はドマの忍びではありつつ、根底には、故郷を戦乱から護りたいという想いが常にあった。			ユウギリの帰郷							
それが芽生えたのは、幼少の頃。好奇心ゆえに幼馴染らと里を抜け出し、ドマの城下へと物見遊山にでかけたときのことだ。			それが芽生えたのは、幼少の頃。好奇心ゆえに幼馴染らと里を抜け出し、ドマの城下へと物見遊山にでかけたときのことだ。			ユウギリの帰郷							
だが、町で目にしたのは民が帝国兵に暴行される陰惨な光景でな。皆、怖れてたちまち逃げ出したのだが、私だけはぐれ、竹藪に迷い込んでしまった……。			だが、町で目にしたのは民が帝国兵に暴行される陰惨な光景でな。皆、怖れてたちまち逃げ出したのだが、私だけはぐれ、竹藪に迷い込んでしまった……。			ユウギリの帰郷							
そこで出会ったのが、まだ元服前のヒエン様だ。あの方は、汗水を流しながら木刀で素振りをされていた。「民を護るために力をつけている」とな。			そこで出会ったのが、まだ元服前のヒエン様だ。あの方は、汗水を流しながら木刀で素振りをされていた。「民を護るために力をつけている」とな。			ユウギリの帰郷							
私は己より年若い少年が、帝国から人々を護ろうと考えていることに衝撃を受けた。そして交流を深めるうちに、その想いに感化されていったのだ。			私は己より年若い少年が、帝国から人々を護ろうと考えていることに衝撃を受けた。そして交流を深めるうちに、その想いに感化されていったのだ。			ユウギリの帰郷							
だが、所詮は幼子……。戦に備えるようにと説く私の言葉は、里の大人たちに無視された。結局、武器を手に取る道を選んだのは私ひとり。			だが、所詮は幼子……。戦に備えるようにと説く私の言葉は、里の大人たちに無視された。結局、武器を手に取る道を選んだのは私ひとり。			ユウギリの帰郷							
そうとなれば、スイの里で孤立するのも当然のこと。やがて戦乱をもたらす者だとして、追放されることになるのだが、私は後悔しておらぬし、里への想いも変わっていない。			そうとなれば、スイの里で孤立するのも当然のこと。やがて戦乱をもたらす者だとして、追放されることになるのだが、私は後悔しておらぬし、里への想いも変わっていない。			ユウギリの帰郷							
むろん里を恋しく想う気持ちはある。だが、追放令を破って里に立ち入ったことが露見すれば、父様と母様の穏やかな暮らしを、乱すことにもなろう。			むろん里を恋しく想う気持ちはある。だが、追放令を破って里に立ち入ったことが露見すれば、父様と母様の穏やかな暮らしを、乱すことにもなろう。			ユウギリの帰郷							
ゆえに今回は、あくまで貴殿の同行者を務める、名もなき忍びとして扱ってもらいたい。			ゆえに今回は、あくまで貴殿の同行者を務める、名もなき忍びとして扱ってもらいたい。			ユウギリの帰郷							
恩に着る……。とりとめのない話を聞かせてすまなかった。それでは、スイの里に向かうとしよう。			恩に着る……。とりとめのない話を聞かせてすまなかった。それでは、スイの里に向かうとしよう。			ユウギリの帰郷							
客人とは珍しいのう……。			客人とは珍しいのう……。			ユウギリの帰郷							
外から来たのかい？まあゆっくりしておいき。でも、争いごとだけは持ち込まないでおくれよ。			外から来たのかい？まあゆっくりしておいき。でも、争いごとだけは持ち込まないでおくれよ。			ユウギリの帰郷							
里を飛び出したときから何も変わっていない。まるで、十数年の歳月が嘘のようだ……。			里を飛び出したときから何も変わっていない。まるで、十数年の歳月が嘘のようだ……。			ユウギリの帰郷							
いや、感傷に浸っている場合ではないな。さっそく、キセイに関する調査を始めよう。			いや、感傷に浸っている場合ではないな。さっそく、キセイに関する調査を始めよう。			ユウギリの帰郷							
彼女が里を出たのはおそらく数十年前、ここは年配の者から話を聞くのがいいだろう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			彼女が里を出たのはおそらく数十年前、ここは年配の者から話を聞くのがいいだろう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			ユウギリの帰郷							
何をする？			何をする？			ユウギリの帰郷							
話す			話す			ユウギリの帰郷							
同行状態を解除する			同行状態を解除する			ユウギリの帰郷							
キャンセル			キャンセル			ユウギリの帰郷							
何もかもが懐かしい……。			何もかもが懐かしい……。			ユウギリの帰郷							
すまぬ、また感傷に浸ってしまった。先を急ごう。			すまぬ、また感傷に浸ってしまった。先を急ごう。			ユウギリの帰郷							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			ユウギリの帰郷							
急用があるようだな。では、私はスイの里の入口で待っていよう。			急用があるようだな。では、私はスイの里の入口で待っていよう。			ユウギリの帰郷							
用は済んだようだな。それでは、キセイについて年配の者から話を聞こう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			用は済んだようだな。それでは、キセイについて年配の者から話を聞こう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			ユウギリの帰郷							
このクエストを進行させるには、ユウギリが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ユウギリが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			ユウギリの帰郷							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			ユウギリの帰郷							
キセイ？はて、ずいぶん前に聞いたことがあるような……。			キセイ？はて、ずいぶん前に聞いたことがあるような……。			ユウギリの帰郷							
うーむ、思い出せん。最近は、物忘れが激しくてのう……。			うーむ、思い出せん。最近は、物忘れが激しくてのう……。			ユウギリの帰郷							
別のご老人から話を聞いてみよう。			別のご老人から話を聞いてみよう。			ユウギリの帰郷							
そういえば飯はまだかのう……？			そういえば飯はまだかのう……？			ユウギリの帰郷							
キセイとは、また懐かしい名前だ。昔、そういう名の巫女がいたのだけど、先代紅玉姫様の怒りを買って、里から追放されてね……。			キセイとは、また懐かしい名前だ。昔、そういう名の巫女がいたのだけど、先代紅玉姫様の怒りを買って、里から追放されてね……。			ユウギリの帰郷							
外の世界で、いま頃どうしているのやら……。			外の世界で、いま頃どうしているのやら……。			ユウギリの帰郷							
キセイのこと、どうかもっと詳しく教えてもらえないだろうか？			キセイのこと、どうかもっと詳しく教えてもらえないだろうか？			ユウギリの帰郷							
それ以上のことは、私には……。そんなにキセイのことが知りたいなら、彼女と仲のよかったユウナギさんに聞いてみるといい。			それ以上のことは、私には……。そんなにキセイのことが知りたいなら、彼女と仲のよかったユウナギさんに聞いてみるといい。			ユウギリの帰郷							
貴殿も会ったことがあると思うが、ユウナギは私の母だ。親に会うつもりは毛頭なかったが、こうなっては致し方ない。母様に、キセイのことを尋ねてもらえるだろうか？			貴殿も会ったことがあると思うが、ユウナギは私の母だ。親に会うつもりは毛頭なかったが、こうなっては致し方ない。母様に、キセイのことを尋ねてもらえるだろうか？			ユウギリの帰郷							
キセイのことを知りたいというなら、彼女と仲がよかった、ユウナギさんに聞いてみるといい、いろいろ教えてくれるはずさ。			キセイのことを知りたいというなら、彼女と仲がよかった、ユウナギさんに聞いてみるといい、いろいろ教えてくれるはずさ。			ユウギリの帰郷							
いつぞやの旅のお方ではありませんか。ドマの解放が成し遂げられたようで、心よりお祝い申しあげます。			いつぞやの旅のお方ではありませんか。ドマの解放が成し遂げられたようで、心よりお祝い申しあげます。			ユウギリの帰郷							
あなたは、娘を救ってくださった方ではありませんか。			あなたは、娘を救ってくださった方ではありませんか。			ユウギリの帰郷							
これはこれは、お久しぶりです。此度は、私に何用でしょうか？			これはこれは、お久しぶりです。此度は、私に何用でしょうか？			ユウギリの帰郷							
確かに彼女とは、幼馴染の間柄でしたが……			確かに彼女とは、幼馴染の間柄でしたが……			ユウギリの帰郷							
いえ、娘の恩人であるあなたの頼みとあらば、無下にするわけにもまいりませんね。わかりました、私の知るところを、お話しいたしましょう。			いえ、娘の恩人であるあなたの頼みとあらば、無下にするわけにもまいりませんね。わかりました、私の知るところを、お話しいたしましょう。			ユウギリの帰郷							
キセイは、神事を司る家系の生まれでした。幼き頃より、才の豊かな子でしたが……あるとき、「死者の霊魂を口寄せできる」と言い出したのです。			キセイは、神事を司る家系の生まれでした。幼き頃より、才の豊かな子でしたが……あるとき、「死者の霊魂を口寄せできる」と言い出したのです。			ユウギリの帰郷							
最初は誰も信じておりませんでした。しかし、キセイが知り得ない過去の出来事を語ったことで、その能力を信じる者が出てきました。			最初は誰も信じておりませんでした。しかし、キセイが知り得ない過去の出来事を語ったことで、その能力を信じる者が出てきました。			ユウギリの帰郷							
たちまち里中で評判となって、先代の紅玉姫様の耳にまで入り、キセイは紫水宮に呼ばれることになります。			たちまち里中で評判となって、先代の紅玉姫様の耳にまで入り、キセイは紫水宮に呼ばれることになります。			ユウギリの帰郷							
