忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
そういう訳だ、引き続き協力を頼みたい。まずは、ウチの猟師といっしょに、奴の足取りを追ってくれ。			そういう訳だ、引き続き協力を頼みたい。まずは、ウチの猟師といっしょに、奴の足取りを追ってくれ。			大物の駆除							
……よろしくな、冒険者。情報によれば、「ウィロームリバー」付近に仕掛けた罠が、壊されていたらしい……ひとまず様子を見に行ってみよう。			……よろしくな、冒険者。情報によれば、「ウィロームリバー」付近に仕掛けた罠が、壊されていたらしい……ひとまず様子を見に行ってみよう。			大物の駆除							
そういう訳だ、引き続き協力を頼みたい。まずは、ウチの猟師といっしょに、奴の足取りを追ってくれ。			そういう訳だ、引き続き協力を頼みたい。まずは、ウチの猟師といっしょに、奴の足取りを追ってくれ。			大物の駆除							
クエエエエエッ！！			クエエエエエッ！！			大物の駆除							
クエエエエエッ！！			クエエエエエッ！！			大物の駆除							
イテテ……お、俺は大丈夫だ。潜んでいたヤツが、突然襲ってきてな……。暴れ続けるなら情けは無用、追って仕留めるのを手伝ってくれ！			イテテ……お、俺は大丈夫だ。潜んでいたヤツが、突然襲ってきてな……。暴れ続けるなら情けは無用、追って仕留めるのを手伝ってくれ！			大物の駆除							
なに、奴が現れたか！追跡を頼む！　くれぐれも気をつけろよ！			なに、奴が現れたか！追跡を頼む！　くれぐれも気をつけろよ！			大物の駆除							
くそ……。こいつ、かなりやりやがる……気をつけろ！			くそ……。こいつ、かなりやりやがる……気をつけろ！			大物の駆除							
クエエエエエッ！！			クエエエエエッ！！			大物の駆除							
早急に討伐準備を進めないとな……！			早急に討伐準備を進めないとな……！			大物の駆除							
やれやれ、こんなにデカくて強いチョコボは、初めてだぞ……。……「マルスシャン」への報告を頼んでもいいか？仕留めたのはあんただ、その手柄を横取りはできんからな。			やれやれ、こんなにデカくて強いチョコボは、初めてだぞ……。……「マルスシャン」への報告を頼んでもいいか？仕留めたのはあんただ、その手柄を横取りはできんからな。			大物の駆除							
やれやれ、こんなにデカくて強いチョコボは、初めてだぞ……。……「マルスシャン」への報告を頼んでもいいか？仕留めたのはあんただ、その手柄を横取りはできんからな。			やれやれ、こんなにデカくて強いチョコボは、初めてだぞ……。……「マルスシャン」への報告を頼んでもいいか？仕留めたのはあんただ、その手柄を横取りはできんからな。			大物の駆除							
……なんと、準備している間に無事終わったと！？恐れいったよ、本当に感謝する。			……なんと、準備している間に無事終わったと！？恐れいったよ、本当に感謝する。			大物の駆除							
チョコボは賢い生き物だからな、人を襲うようになっては駆除するしかない……。辛い仕事を任せた形になって悪かったな。			チョコボは賢い生き物だからな、人を襲うようになっては駆除するしかない……。辛い仕事を任せた形になって悪かったな。			大物の駆除							
不浄の三塔のトー・イスラは、冒険者を気にしているようだ。			不浄の三塔のトー・イスラは、冒険者を気にしているようだ。			ヒトの食べ物							
トー・イスラに人の食べ物について質問された。高地ドラヴァニアのチョコボの森で、「レオニュルフ」に聞いてみよう。			トー・イスラに人の食べ物について質問された。高地ドラヴァニアのチョコボの森で、「レオニュルフ」に聞いてみよう。			ヒトの食べ物							
レオニュルフに肉の調達を頼まれた。チョコボの森で、「ワイルドチョコボ」から「チョコボのモモ肉」を手に入れよう。			レオニュルフに肉の調達を頼まれた。チョコボの森で、「ワイルドチョコボ」から「チョコボのモモ肉」を手に入れよう。			ヒトの食べ物							
チョコボのモモ肉を手に入れた。チョコボの森の「レオニュルフ」に「チョコボのモモ肉」を渡そう。			チョコボのモモ肉を手に入れた。チョコボの森の「レオニュルフ」に「チョコボのモモ肉」を渡そう。			ヒトの食べ物							
レオニュルフにチョコボのモモ肉を渡した。お礼として揚げモモ肉を持っていっていいと言われた。チョコボの森で、「揚げモモ肉」を手に入れよう。			レオニュルフにチョコボのモモ肉を渡した。お礼として揚げモモ肉を持っていっていいと言われた。チョコボの森で、「揚げモモ肉」を手に入れよう。			ヒトの食べ物							
揚げモモ肉を手に入れた。不浄の三塔の「トー・イスラ」に「揚げモモ肉」を渡そう			揚げモモ肉を手に入れた。不浄の三塔の「トー・イスラ」に「揚げモモ肉」を渡そう			ヒトの食べ物							
トー・イスラに揚げモモ肉を渡した。調理してある肉が理解できないようで、焼いた肉はあまりお気に召さなかったようだ。			トー・イスラに揚げモモ肉を渡した。調理してある肉が理解できないようで、焼いた肉はあまりお気に召さなかったようだ。			ヒトの食べ物							
レオニュルフと話す			レオニュルフと話す			ヒトの食べ物							
ワイルドチョコボからチョコボのモモ肉を入手			ワイルドチョコボからチョコボのモモ肉を入手			ヒトの食べ物							
レオニュルフにチョコボのモモ肉を渡す			レオニュルフにチョコボのモモ肉を渡す			ヒトの食べ物							
揚げモモ肉を入手			揚げモモ肉を入手			ヒトの食べ物							
トー・イスラに揚げモモ肉を渡す			トー・イスラに揚げモモ肉を渡す			ヒトの食べ物							
ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ヒトの食べ物							
ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ヒトの食べ物							
……ほう、食事を分けてほしい？まあ、別に構わないけど、食材は貴重だからね。代わりに「チョコボのモモ肉」を取ってきてくれるか？			……ほう、食事を分けてほしい？まあ、別に構わないけど、食材は貴重だからね。代わりに「チョコボのモモ肉」を取ってきてくれるか？			ヒトの食べ物							
……ほう、食事を分けてほしい？まあ、別に構わないけど、食材は貴重だからね。代わりに「チョコボのモモ肉」を取ってきてくれるか？			……ほう、食事を分けてほしい？まあ、別に構わないけど、食材は貴重だからね。代わりに「チョコボのモモ肉」を取ってきてくれるか？			ヒトの食べ物							
ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ヒトの食べ物							
ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ヒトの食べ物							
……ほう、食事を分けてほしい？まあ、別に構わないけど、食材は貴重だからね。代わりに「チョコボのモモ肉」を取ってきてくれるか？			……ほう、食事を分けてほしい？まあ、別に構わないけど、食材は貴重だからね。代わりに「チョコボのモモ肉」を取ってきてくれるか？			ヒトの食べ物							
ふむ、なかなかいいモモ肉じゃないか。よし、作り立ての「揚げモモ肉」があるから、代わりに、そこのを持っていくといい。			ふむ、なかなかいいモモ肉じゃないか。よし、作り立ての「揚げモモ肉」があるから、代わりに、そこのを持っていくといい。			ヒトの食べ物							
ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食べ物を食べてみたいなぁ……。			ヒトの食べ物							
ふむ、なかなかいいモモ肉じゃないか。よし、作り立ての「揚げモモ肉」があるから、代わりに、そこのを持っていくといい。			ふむ、なかなかいいモモ肉じゃないか。よし、作り立ての「揚げモモ肉」があるから、代わりに、そこのを持っていくといい。			ヒトの食べ物							
よし、作り立ての「揚げモモ肉」があるから、代わりに、そこのを持っていくといい。			よし、作り立ての「揚げモモ肉」があるから、代わりに、そこのを持っていくといい。			ヒトの食べ物							
ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食事を食べてみたいなぁ……。			ねぇねぇ、ヒトさん！　ヒトって、どんなもの食べてるの？たとえば、東の森にいるヒトたちとか。ボクもヒトの食事を食べてみたいなぁ……。			ヒトの食べ物							
……これが、森のヒトたちの食べ物！？わぁーほぉー！とりあえず、いただきまーす！			……これが、森のヒトたちの食べ物！？わぁーほぉー！とりあえず、いただきまーす！			ヒトの食べ物							
な……なにこれぇぇぇええ！！すっごいビミョー！！　なんかギトギトしてるし何なのコレ！？肉はナマでしょ！？　やっぱ変わってるなぁ、ヒトって……。			な……なにこれぇぇぇええ！！すっごいビミョー！！　なんかギトギトしてるし何なのコレ！？肉はナマでしょ！？　やっぱ変わってるなぁ、ヒトって……。			ヒトの食べ物							
不浄の三塔のトー・イスラは、やっぱり涎を垂らしているようだ。			不浄の三塔のトー・イスラは、やっぱり涎を垂らしているようだ。			丸のみしたいもの							
トー・イスラはガッリミムスの卵を丸のみしてみたいそうだ。高地ドラヴァニアのソーム・アル山麓で「ガッリミムスの卵」を5つ入手しよう。			トー・イスラはガッリミムスの卵を丸のみしてみたいそうだ。高地ドラヴァニアのソーム・アル山麓で「ガッリミムスの卵」を5つ入手しよう。			丸のみしたいもの							
ガッリミムスの卵を入手した。不浄の三塔の「トー・イスラ」に「ガッリミムスの卵」を渡そう。			ガッリミムスの卵を入手した。不浄の三塔の「トー・イスラ」に「ガッリミムスの卵」を渡そう。			丸のみしたいもの							
トー・イスラにガッリミムスの卵を渡した。お気に召したらしく、今度は自分でも取ってこようと目を輝かせていた。			トー・イスラにガッリミムスの卵を渡した。お気に召したらしく、今度は自分でも取ってこようと目を輝かせていた。			丸のみしたいもの							
ガッリミムスの卵を入手			ガッリミムスの卵を入手			丸のみしたいもの							
トー・イスラにガッリミムスの卵を渡す			トー・イスラにガッリミムスの卵を渡す			丸のみしたいもの							
ねぇねぇ、ヒトさん！えへへへ、実は、ある卵を取ってきてほしいの。おいしそうだったし、丸のみしてみたいと思ってたんだ。			ねぇねぇ、ヒトさん！えへへへ、実は、ある卵を取ってきてほしいの。おいしそうだったし、丸のみしてみたいと思ってたんだ。			丸のみしたいもの							
「ソーム・アル山麓」にたくさんあったから、「ガッリミムスの卵」を5個ぐらい取ってきてほしいな。			「ソーム・アル山麓」にたくさんあったから、「ガッリミムスの卵」を5個ぐらい取ってきてほしいな。			丸のみしたいもの							
「ソーム・アル山麓」にたくさんあったから、「ガッリミムスの卵」を5個ぐらい取ってきてほしいな。			「ソーム・アル山麓」にたくさんあったから、「ガッリミムスの卵」を5個ぐらい取ってきてほしいな。			丸のみしたいもの							
「ソーム・アル山麓」にたくさんあったから、「ガッリミムスの卵」を5個ぐらい取ってきてほしいな。			「ソーム・アル山麓」にたくさんあったから、「ガッリミムスの卵」を5個ぐらい取ってきてほしいな。			丸のみしたいもの							
やったやった！　ガッリミムスの卵だー！ありがとねヒトさん、それじゃいただきまーす。モゴモゴ……こ、これは……！？			やったやった！　ガッリミムスの卵だー！ありがとねヒトさん、それじゃいただきまーす。モゴモゴ……こ、これは……！？			丸のみしたいもの							
ひやぁああ、うまぁぁぁい！今度、自分でも取りに行ってみよっと！			ひやぁああ、うまぁぁぁい！今度、自分でも取りに行ってみよっと！			丸のみしたいもの							
不浄の三塔のグリンカムビは、不快に鼻を動かしている。			不浄の三塔のグリンカムビは、不快に鼻を動かしている。			不快な臭い							
グリンカムビから不快な匂いの元を断つよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、煙を上げる「不快な香炉」を3基見つけ、停止しよう。			グリンカムビから不快な匂いの元を断つよう頼まれた。高地ドラヴァニアのアヴァロニア・フォールンで、煙を上げる「不快な香炉」を3基見つけ、停止しよう。			不快な臭い							
すべての不快な香炉を止めた。不浄の三塔の「グリンカムビ」に報告しよう。			すべての不快な香炉を止めた。不浄の三塔の「グリンカムビ」に報告しよう。			不快な臭い							
グリンカムビに報告した。不快な匂いが収まったことで、冒険者は感謝された。			グリンカムビに報告した。不快な匂いが収まったことで、冒険者は感謝された。			不快な臭い							
不快な香炉を停止させる			不快な香炉を停止させる			不快な臭い							
グリンカムビに報告			グリンカムビに報告			不快な臭い							
まったく……目障りなグナース族どもが、また悪臭放つ「不快な香炉」を設置していったようだねぇ。			まったく……目障りなグナース族どもが、また悪臭放つ「不快な香炉」を設置していったようだねぇ。			不快な臭い							
この匂いのきつさからして、3基はあるはずだ。行って「不快な香炉」を、残らず全部、止めてきておくれ。……私はタマゴを温めてて動けないからねぇ。			この匂いのきつさからして、3基はあるはずだ。行って「不快な香炉」を、残らず全部、止めてきておくれ。……私はタマゴを温めてて動けないからねぇ。			不快な臭い							
この匂いのきつさからして、3基はあるはずだ。行って「不快な香炉」を、残らず全部、止めてきておくれ。……私はタマゴを温めてて動けないからねぇ。			この匂いのきつさからして、3基はあるはずだ。行って「不快な香炉」を、残らず全部、止めてきておくれ。……私はタマゴを温めてて動けないからねぇ。			不快な臭い							
……ふぅ、ようやく不快な匂いが収まった……ありがとうね。これで、気兼ねなくタマゴを温めることができるよ。しかし、グナース族どもには困ったものだねぇ。			……ふぅ、ようやく不快な匂いが収まった……ありがとうね。これで、気兼ねなくタマゴを温めることができるよ。しかし、グナース族どもには困ったものだねぇ。			不快な臭い							
不浄の三塔のエス・カースは、冒険者を値踏みしている。			不浄の三塔のエス・カースは、冒険者を値踏みしている。			ヒトを侮るなかれ							
エス・カースから、自らの子たちと戦ってほしいと頼まれた。高地ドラヴァニアのアヴァロニア・フォールンの「コーム・ガーン」と話そう。			エス・カースから、自らの子たちと戦ってほしいと頼まれた。高地ドラヴァニアのアヴァロニア・フォールンの「コーム・ガーン」と話そう。			ヒトを侮るなかれ							
コーム・ガーンと話した。アヴァロニア・フォールンの「コーム・ガーン」と勝負しよう。			コーム・ガーンと話した。アヴァロニア・フォールンの「コーム・ガーン」と勝負しよう。			ヒトを侮るなかれ							
コーム・ガーンとの戦いに勝利した。なんでも、コーム・ガーンよりも「コーム・スコール」のほうが強いらしい。アヴァロニア・フォールンの「コーム・スコール」と話そう。			コーム・ガーンとの戦いに勝利した。なんでも、コーム・ガーンよりも「コーム・スコール」のほうが強いらしい。アヴァロニア・フォールンの「コーム・スコール」と話そう。			ヒトを侮るなかれ							
コーム・スコールと話した。アヴァロニア・フォールンの「コーム・スコール」と勝負しよう。			コーム・スコールと話した。アヴァロニア・フォールンの「コーム・スコール」と勝負しよう。			ヒトを侮るなかれ							
コーム・スコールとの戦いに勝利した。なんでも、コーム・スコールよりも「コーム・クール」のほうが強いらしい。アヴァロニア・フォールンの「コーム・クール」と話そう。			コーム・スコールとの戦いに勝利した。なんでも、コーム・スコールよりも「コーム・クール」のほうが強いらしい。アヴァロニア・フォールンの「コーム・クール」と話そう。			ヒトを侮るなかれ							
コーム・クールと話した。アヴァロニア・フォールンの「コーム・クール」と勝負しよう。			コーム・クールと話した。アヴァロニア・フォールンの「コーム・クール」と勝負しよう。			ヒトを侮るなかれ							
コーム・クールとの戦いに勝利した。コーム・クールたちは、人に負けたことが信じられないようだ。不浄の三塔の「エス・カース」に報告しよう。			コーム・クールとの戦いに勝利した。コーム・クールたちは、人に負けたことが信じられないようだ。不浄の三塔の「エス・カース」に報告しよう。			ヒトを侮るなかれ							
エス・カースに報告した。子どもたちと戦わせた理由は、ヒトと争いたかったわけではなく、若いドラゴン族にはヒトを侮っている者がいるため、ヒトにも強い者がいると思い知らせたかったからのようだ。			エス・カースに報告した。子どもたちと戦わせた理由は、ヒトと争いたかったわけではなく、若いドラゴン族にはヒトを侮っている者がいるため、ヒトにも強い者がいると思い知らせたかったからのようだ。			ヒトを侮るなかれ							
コーム・ガーンと話す			コーム・ガーンと話す			ヒトを侮るなかれ							
アヴァロニア・フォールンでコーム・ガーンを討伐			アヴァロニア・フォールンでコーム・ガーンを討伐			ヒトを侮るなかれ							
コーム・スコールと話す			コーム・スコールと話す			ヒトを侮るなかれ							
アヴァロニア・フォールンでコーム・スコールを討伐			アヴァロニア・フォールンでコーム・スコールを討伐			ヒトを侮るなかれ							
コーム・クールと話す			コーム・クールと話す			ヒトを侮るなかれ							
アヴァロニア・フォールンでコーム・クールを討伐			アヴァロニア・フォールンでコーム・クールを討伐			ヒトを侮るなかれ							
エス・カースに報告			エス・カースに報告			ヒトを侮るなかれ							
うむ……申し分ない力を秘めているようだ。貴公であれば、後れを取ることもあるまい。			うむ……申し分ない力を秘めているようだ。貴公であれば、後れを取ることもあるまい。			ヒトを侮るなかれ							
頼みがある……我が3頭の子らと戦ってくれぬだろうか？むろん殺せとは言わぬ、軽く相手してやるだけでいい。「不浄の三塔」の外にいるはずだ、よろしく頼むぞ。			頼みがある……我が3頭の子らと戦ってくれぬだろうか？むろん殺せとは言わぬ、軽く相手してやるだけでいい。「不浄の三塔」の外にいるはずだ、よろしく頼むぞ。			ヒトを侮るなかれ							
頼みがある……我が3頭の子らと戦ってくれぬだろうか？むろん殺せとは言わぬ、軽く相手してやるだけでいい。「不浄の三塔」の外にいるはずだ、よろしく頼むぞ。			頼みがある……我が3頭の子らと戦ってくれぬだろうか？むろん殺せとは言わぬ、軽く相手してやるだけでいい。「不浄の三塔」の外にいるはずだ、よろしく頼むぞ。			ヒトを侮るなかれ							
ヒトが私の相手？　勝負にならないわよ！コーム・ガーンに勝てないような奴に興味ないから！			ヒトが私の相手？　勝負にならないわよ！コーム・ガーンに勝てないような奴に興味ないから！			ヒトを侮るなかれ							
弱い者いじめはしないたちなんだ！コーム・スコールに勝てないようじゃ、俺には勝てないからね。			弱い者いじめはしないたちなんだ！コーム・スコールに勝てないようじゃ、俺には勝てないからね。			ヒトを侮るなかれ							
おとうたんは、なにをかんがえてるのかなぁ。ヒトとドラゴンじゃ、ぜんぜん、しょうぶにならないのに。おいでよ、あいてをしてあげる！			おとうたんは、なにをかんがえてるのかなぁ。ヒトとドラゴンじゃ、ぜんぜん、しょうぶにならないのに。おいでよ、あいてをしてあげる！			ヒトを侮るなかれ							
頼みがある……我が子らと戦ってくれぬだろうか？不浄の三塔の外にいるはずだ、よろしく頼むぞ。			頼みがある……我が子らと戦ってくれぬだろうか？不浄の三塔の外にいるはずだ、よろしく頼むぞ。			ヒトを侮るなかれ							
うわあああん！！　いたいよおおお！！おねえたんにいいつけてやるー！！			うわあああん！！　いたいよおおお！！おねえたんにいいつけてやるー！！			ヒトを侮るなかれ							
弱い者いじめはしないたちなんだ！コーム・スコールに勝てないようじゃ、俺には勝てないからね。			弱い者いじめはしないたちなんだ！コーム・スコールに勝てないようじゃ、俺には勝てないからね。			ヒトを侮るなかれ							
よくもコーム・ガーンをいじめたわね！！か弱いヒトだとしても、容赦しないんだから！！さあ、むこうで勝負よ！			よくもコーム・ガーンをいじめたわね！！か弱いヒトだとしても、容赦しないんだから！！さあ、むこうで勝負よ！			ヒトを侮るなかれ							
頼みがある……我が子らと戦ってくれぬだろうか？不浄の三塔の外にいるはずだ、よろしく頼むぞ。			頼みがある……我が子らと戦ってくれぬだろうか？不浄の三塔の外にいるはずだ、よろしく頼むぞ。			ヒトを侮るなかれ							
うわあああん！！　おねえたんまでー！！おにいたまにいいつけてやるー！！			うわあああん！！　おねえたんまでー！！おにいたまにいいつけてやるー！！			ヒトを侮るなかれ							
そんな……ヒトがこんなに強いなんて……。で、でも！　お兄様には勝てないんだから！泣きべそかくまえに逃げなさいよ！			そんな……ヒトがこんなに強いなんて……。で、でも！　お兄様には勝てないんだから！泣きべそかくまえに逃げなさいよ！			ヒトを侮るなかれ							
コーム・ガーンとコーム・スコールを倒しただと……。ヒト風情が俺を怒らせるか！次は俺が相手になってやる、逃げるなよ！			コーム・ガーンとコーム・スコールを倒しただと……。ヒト風情が俺を怒らせるか！次は俺が相手になってやる、逃げるなよ！			ヒトを侮るなかれ							
うわあああん！！　おにいたままでー！！ヒ、ヒトってすごーい！！			うわあああん！！　おにいたままでー！！ヒ、ヒトってすごーい！！			ヒトを侮るなかれ							
まさかお兄様に勝つなんて。ヒトは弱い生き物じゃなかったのね。			まさかお兄様に勝つなんて。ヒトは弱い生き物じゃなかったのね。			ヒトを侮るなかれ							
ヒトがドラゴン族である俺を倒した……？くっ、ヒトはこんなに強いのか。			ヒトがドラゴン族である俺を倒した……？くっ、ヒトはこんなに強いのか。			ヒトを侮るなかれ							
はっはっは！　しかと見させてもらったぞ。我が子らは、貴公に手痛くやられたようだな。いい勉強になったはずだ。			はっはっは！　しかと見させてもらったぞ。我が子らは、貴公に手痛くやられたようだな。いい勉強になったはずだ。			ヒトを侮るなかれ							
安心してほしい、我々はヒトと争う気はない。だが若いドラゴンの中には、ヒトを侮っている者もいる。これで、強いヒトもいるのだと理解してくれただろう。			安心してほしい、我々はヒトと争う気はない。だが若いドラゴンの中には、ヒトを侮っている者もいる。これで、強いヒトもいるのだと理解してくれただろう。			ヒトを侮るなかれ							
ヴァスの塚のアルフィノは、危険な作戦を心配しているようだ。			ヴァスの塚のアルフィノは、危険な作戦を心配しているようだ。			危険な賭け							
蛮神と戦うために、適度に暴れた後で、グナース族に捕まることになった。高地ドラヴァニアのグナースの塚にいる「グナースの雑兵」と話して討伐しよう。			蛮神と戦うために、適度に暴れた後で、グナース族に捕まることになった。高地ドラヴァニアのグナースの塚にいる「グナースの雑兵」と話して討伐しよう。			危険な賭け							
襲いかかってきたグナースの雑兵たちを討伐した。グナースの塚付近の「イゼル」と話そう。			襲いかかってきたグナースの雑兵たちを討伐した。グナースの塚付近の「イゼル」と話そう。			危険な賭け							
イゼルと話し、内部に侵入することになった。「グナースの塚」の中程で、グナース族を蹴散らして暴れよう。			イゼルと話し、内部に侵入することになった。「グナースの塚」の中程で、グナース族を蹴散らして暴れよう。			危険な賭け							
グナース族を蹴散らして、存分に暴れた。グナースの塚の奥の「指定地点」で待機し、イゼルと合流しよう。			グナース族を蹴散らして、存分に暴れた。グナースの塚の奥の「指定地点」で待機し、イゼルと合流しよう。			危険な賭け							
イゼルと合流した。暴れるのはもう十分、次はあえて捕まることとなるが……。			イゼルと合流した。暴れるのはもう十分、次はあえて捕まることとなるが……。			危険な賭け							
グナースの雑兵と話して討伐			グナースの雑兵と話して討伐			危険な賭け							
イゼルと話す			イゼルと話す			危険な賭け							
グナースの塚の中程で暴れる			グナースの塚の中程で暴れる			危険な賭け							
指定地点で待機してイゼルと合流			指定地点で待機してイゼルと合流			危険な賭け							
グナース族の蛮神と戦う方法……あえてグナース族の領地を侵犯し、生け贄として、蛮神の前に引きずりだされるのを待つ……危険な賭けになるな。			グナース族の蛮神と戦う方法……あえてグナース族の領地を侵犯し、生け贄として、蛮神の前に引きずりだされるのを待つ……危険な賭けになるな。			危険な賭け							
私は異存ない。Forenameも、無茶は慣れたものだろう？			私は異存ない。Forenameも、無茶は慣れたものだろう？			危険な賭け							
今でも覚えているぞ。「シヴァ」召喚を止めようと乗り込んできた日のことを……。……すまないが、私の無茶にも付き合ってくれ。			今でも覚えているぞ。「シヴァ」召喚を止めようと乗り込んできた日のことを……。……すまないが、私の無茶にも付き合ってくれ。			危険な賭け							
悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。			悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。			危険な賭け							
よし、「グナースの塚」に赴き、番兵に接触しよう。戦いとなれば、適度に暴れつつ、頃合いを見計らって投降して、虜囚となるぞ。			よし、「グナースの塚」に赴き、番兵に接触しよう。戦いとなれば、適度に暴れつつ、頃合いを見計らって投降して、虜囚となるぞ。			危険な賭け							
エスティニアン殿の言葉で、自分の傲慢さを思い知らされた。いつの間にか、君に頼ることが当たり前になっていたんだな……。Forename、無事の帰りを待っているよ。			エスティニアン殿の言葉で、自分の傲慢さを思い知らされた。いつの間にか、君に頼ることが当たり前になっていたんだな……。Forename、無事の帰りを待っているよ。			危険な賭け							
悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。			悪いな、Forename。「竜の眼」の力とて、蛮神の祝福の前には役に立たない。足手まといにならぬよう、アルフィノと帰りを待たせてもらう。			危険な賭け							
なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。			なるほどな……。こいつらが、自分たちの神であるはずの蛮神について、意外なほどに無知なのは、そのためか……。			危険な賭け							
しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。			しかし、こうも言っていたぞ。領地を侵して捕らえられれば、必ずや生け贄として、神に差し出されることになるとな……。			危険な賭け							
シシシシシ……ここは我らグナースの地！それを知っての狼藉か！集え、集え、同胞たちよ！！			シシシシシ……ここは我らグナースの地！それを知っての狼藉か！集え、集え、同胞たちよ！！			危険な賭け							
グナース族は、領土を侵されることに対し、過敏なほどに反応する。……慎重に行くぞ。			グナース族は、領土を侵されることに対し、過敏なほどに反応する。……慎重に行くぞ。			危険な賭け							
さすがだな、ああも簡単に蹴散らしてしまうとは……。よし、このまま内部に侵入し、適度に暴れるぞ。後ほど、奥で合流するとしよう！			さすがだな、ああも簡単に蹴散らしてしまうとは……。よし、このまま内部に侵入し、適度に暴れるぞ。後ほど、奥で合流するとしよう！			危険な賭け							
シシシシシ…侵入者をコロせ！			シシシシシ…侵入者をコロせ！			危険な賭け							
この辺りは、任せておいてくれ。Forenameは、このまま奥へ向かえ！			この辺りは、任せておいてくれ。Forenameは、このまま奥へ向かえ！			危険な賭け							
ふふふ、なかなかの侵入者ぶりだな。これで、連中の目を引きつけられたはずだ。			ふふふ、なかなかの侵入者ぶりだな。これで、連中の目を引きつけられたはずだ。			危険な賭け							
さあ、いよいよだ……。グナース族に捕まれば、その後は出たとこ勝負になる。覚悟が決まったら、声をかけてくれ。			さあ、いよいよだ……。グナース族に捕まれば、その後は出たとこ勝負になる。覚悟が決まったら、声をかけてくれ。			危険な賭け							
不浄の三塔のエス・カースは、冒険者を不敵に睨みつけている。			不浄の三塔のエス・カースは、冒険者を不敵に睨みつけている。			激った血							
エス・カースは我が子と戦っている冒険者の姿を見て、血が激ったようだ。高地ドラヴァニアのアヴァロニア・フォールンで、「コーム・クール」と話し、現れた「エス・カース」の相手をしよう。			エス・カースは我が子と戦っている冒険者の姿を見て、血が激ったようだ。高地ドラヴァニアのアヴァロニア・フォールンで、「コーム・クール」と話し、現れた「エス・カース」の相手をしよう。			激った血							
エス・カースとの戦いに勝利した。アヴァロニア・フォールンの「コーム・クール」と話そう。			エス・カースとの戦いに勝利した。アヴァロニア・フォールンの「コーム・クール」と話そう。			激った血							
コーム・クールから滑らかな竜鱗を受け取った。不浄の三塔の「エス・カース」に「滑らかな竜鱗」を渡そう。			コーム・クールから滑らかな竜鱗を受け取った。不浄の三塔の「エス・カース」に「滑らかな竜鱗」を渡そう。			激った血							
エス・カースに滑らかな竜鱗を渡した。エス・カースは上機嫌で、かつて自分の父も、ヒトの騎士との試合を楽しんでいたらしいと話した。			エス・カースに滑らかな竜鱗を渡した。エス・カースは上機嫌で、かつて自分の父も、ヒトの騎士との試合を楽しんでいたらしいと話した。			激った血							
コーム・クールと話しエス・カースと戦う			コーム・クールと話しエス・カースと戦う			激った血							
コーム・クールと話す			コーム・クールと話す			激った血							
エス・カースに滑らかな竜鱗を渡す			エス・カースに滑らかな竜鱗を渡す			激った血							
