ドライボーンのケートリンは何やら困っているようだ。			ドライボーンのケートリンは何やら困っているようだ。			ゴールドバザーの活気							
日神アーゼマ様は、太陽と真理を司る。汝、冒険者よ。アーゼマ様に、過去の悪行を懺悔せよ！			日神アーゼマ様は、太陽と真理を司る。汝、冒険者よ。アーゼマ様に、過去の悪行を懺悔せよ！			消えた者たちの行方							
仕事中よ。話しかけないでちょうだい。			仕事中よ。話しかけないでちょうだい。			消えた者たちの行方							
もう、あんたみたいな貧民に構ってらんないのよ！お仲間の貧民なら、ドライボーンの池のほとりよ！いっしょに水でも飲んでれば！？			もう、あんたみたいな貧民に構ってらんないのよ！お仲間の貧民なら、ドライボーンの池のほとりよ！いっしょに水でも飲んでれば！？			消えた者たちの行方							
……悪いけど、忙しいのよ。他をあたってちょうだい。			……悪いけど、忙しいのよ。他をあたってちょうだい。			消えた者たちの行方							
何か、お探しでしょうか？			何か、お探しでしょうか？			消えた者たちの行方							
……ここにあるものは、すごくお高いんですよ。さあ、ドライボーンの池のほとりのお仲間のところへお戻りなさいな。			……ここにあるものは、すごくお高いんですよ。さあ、ドライボーンの池のほとりのお仲間のところへお戻りなさいな。			消えた者たちの行方							
気になる商品がありましたら、カウンターでお買い求めくださいね！			気になる商品がありましたら、カウンターでお買い求めくださいね！			消えた者たちの行方							
なんだい、まったく。話がちょうど盛り上がっているのに……。			なんだい、まったく。話がちょうど盛り上がっているのに……。			消えた者たちの行方							
まぁた、新しい貧民が来たのかい……。ここには仕事はないよ、早く出ていきな。			まぁた、新しい貧民が来たのかい……。ここには仕事はないよ、早く出ていきな。			消えた者たちの行方							
ああ、冒険者さんかい。この付近はアマルジャ族が多いからな。道中、気をつけな。			ああ、冒険者さんかい。この付近はアマルジャ族が多いからな。道中、気をつけな。			消えた者たちの行方							
噂は十分に広まったみたいだな。……しかも、ドライボーンの池のほとりに、貧民が集まっているという情報付きとはね。			噂は十分に広まったみたいだな。……しかも、ドライボーンの池のほとりに、貧民が集まっているという情報付きとはね。			消えた者たちの行方							
確かにあの辺りは人気がない。ニセ司祭が貧民を拐うには、いい場所かもしれないな。			確かにあの辺りは人気がない。ニセ司祭が貧民を拐うには、いい場所かもしれないな。			消えた者たちの行方							
準備ができたら出発だ。一緒に待ち構えるとしよう。			準備ができたら出発だ。一緒に待ち構えるとしよう。			消えた者たちの行方							
さて、ニセ司祭に乗せられてやろうじゃないか。おっと、この場合は乗せさせる……かな。			さて、ニセ司祭に乗せられてやろうじゃないか。おっと、この場合は乗せさせる……かな。			消えた者たちの行方							
おいおい、作戦を忘れたのか？「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を装備するんだ。			おいおい、作戦を忘れたのか？「ウェザードシェパードチュニック」と「ウェザードシェパードスロップ」を装備するんだ。			消えた者たちの行方							
もし、なくしたのなら、イセムバードさんに相談してみてくれ。それじゃ、用意は頼んだぞ。			もし、なくしたのなら、イセムバードさんに相談してみてくれ。それじゃ、用意は頼んだぞ。			消えた者たちの行方							
変装はバッチリのようだな。それじゃ、ここでニセ司祭を待つとしよう。			変装はバッチリのようだな。それじゃ、ここでニセ司祭を待つとしよう。			消えた者たちの行方							
(-？？？？-)貧しき者よ、私はナル・ザル教団の司祭。もしや、あなたは職を探しているのではないですか？			(-？？？？-)貧しき者よ、私はナル・ザル教団の司祭。もしや、あなたは職を探しているのではないですか？			消えた者たちの行方							
貴方は、司祭様……ですか？			貴方は、司祭様……ですか？			消えた者たちの行方							
(-？？？？-)そうです、怯えることはありません。私は聖アダマ・ランダマ教会の司祭です……。			(-？？？？-)そうです、怯えることはありません。私は聖アダマ・ランダマ教会の司祭です……。			消えた者たちの行方							
(-？？？？-)これをご覧なさい。ナル神がもたらす現世利益について書かれています。私たちに任せておけば、必ずや職にありつけましょう。			(-？？？？-)これをご覧なさい。ナル神がもたらす現世利益について書かれています。私たちに任せておけば、必ずや職にありつけましょう。			消えた者たちの行方							
司祭様、これは……。……フフッ、なるほどね。			司祭様、これは……。……フフッ、なるほどね。			消えた者たちの行方							
……お前がニセ司祭。アマルジャ族の共謀者ってわけか。なぁ、ガラの悪い商人……ウグストさんよ。			……お前がニセ司祭。アマルジャ族の共謀者ってわけか。なぁ、ガラの悪い商人……ウグストさんよ。			消えた者たちの行方							
な……なんで俺のことを！？お前ら貧民のふりをして、俺をはめやがったな……。			な……なんで俺のことを！？お前ら貧民のふりをして、俺をはめやがったな……。			消えた者たちの行方							
お、俺だって好きでこんなことをやってる訳じゃねぇ！ゴールドバザーを守るためだったんだ！			お、俺だって好きでこんなことをやってる訳じゃねぇ！ゴールドバザーを守るためだったんだ！			消えた者たちの行方							
ゴールドバザーを？言ってみろ。			ゴールドバザーを？言ってみろ。			消えた者たちの行方							
ああ……。……俺は、ゴールドバザーに住む商人なんだよ。			ああ……。……俺は、ゴールドバザーに住む商人なんだよ。			消えた者たちの行方							
実は、そのゴールドバザーが、少し前からアマルジャ族に襲われていてな……。			実は、そのゴールドバザーが、少し前からアマルジャ族に襲われていてな……。			消えた者たちの行方							
みんなを守るために、アマルジャ族に取引を持ちかけたんだ。			みんなを守るために、アマルジャ族に取引を持ちかけたんだ。			消えた者たちの行方							
するとヤツらは、襲撃しない協定を結ぶ代わりにと、条件を出してきやがったのさ。			するとヤツらは、襲撃しない協定を結ぶ代わりにと、条件を出してきやがったのさ。			消えた者たちの行方							
……そんなことがあったのか。アマルジャ族は、どういう要求を？			……そんなことがあったのか。アマルジャ族は、どういう要求を？			消えた者たちの行方							
ヤツらの要求は、ナナワ銀山のクリスタルの運搬予定を、流せというものだった……。だから、銀山労働者を買収して、運搬予定を入手したんだ。			ヤツらの要求は、ナナワ銀山のクリスタルの運搬予定を、流せというものだった……。だから、銀山労働者を買収して、運搬予定を入手したんだ。			消えた者たちの行方							
そしたら、次の要求は人を集めろと……。困った俺は、司祭に扮して貧民たちを集め、アマルジャ族に引き渡していたのさ。			そしたら、次の要求は人を集めろと……。困った俺は、司祭に扮して貧民たちを集め、アマルジャ族に引き渡していたのさ。			消えた者たちの行方							
しかし、いくらゴールドバザーを守るためとはいえ、不滅隊に相談するなどの手はあったはずだ。なぜ、商人だけでそんなことをした？			しかし、いくらゴールドバザーを守るためとはいえ、不滅隊に相談するなどの手はあったはずだ。なぜ、商人だけでそんなことをした？			消えた者たちの行方							
……が……よかったんだ……。			……が……よかったんだ……。			消えた者たちの行方							
なんだって？			なんだって？			消えた者たちの行方							
報酬がよかったんだよ！かなりのギルだ！いくらモールの肉を売っても、こんなには儲からねぇ！			報酬がよかったんだよ！かなりのギルだ！いくらモールの肉を売っても、こんなには儲からねぇ！			消えた者たちの行方							
自分の利益のために、人を、国を売ったのか……！このゲス野郎が！			自分の利益のために、人を、国を売ったのか……！このゲス野郎が！			消えた者たちの行方							
恨むんなら、自分かザル神にしてくれよな。あばよ！			恨むんなら、自分かザル神にしてくれよな。あばよ！			消えた者たちの行方							
って、うわあああ！……お、お前は、前に俺に絡んできた！？通りすがりの冒険者じゃなかったってわけかよ！？			って、うわあああ！……お、お前は、前に俺に絡んできた！？通りすがりの冒険者じゃなかったってわけかよ！？			消えた者たちの行方							
不滅隊の警備の情報をアマルジャ族に流していたのもお前か？			不滅隊の警備の情報をアマルジャ族に流していたのもお前か？			消えた者たちの行方							
ち、違う！それは俺じゃねぇ！本当だ！			ち、違う！それは俺じゃねぇ！本当だ！			消えた者たちの行方							
まぁいいさ。お前の身柄は不滅隊に引き渡す。じっくり絞られるんだな。			まぁいいさ。お前の身柄は不滅隊に引き渡す。じっくり絞られるんだな。			消えた者たちの行方							
くっそぉぉぉ……。			くっそぉぉぉ……。			消えた者たちの行方							
Surname。お前はミンフィリアに報告してくれ。			Surname。お前はミンフィリアに報告してくれ。			消えた者たちの行方							
俺は、このゲス野郎から、次の取引場所と時間を聞き出す。			俺は、このゲス野郎から、次の取引場所と時間を聞き出す。			消えた者たちの行方							
取引に罠を張って、現場に現れたアマルジャ族から、誘拐された人たちの居場所を吐かせるんだ。			取引に罠を張って、現場に現れたアマルジャ族から、誘拐された人たちの居場所を吐かせるんだ。			消えた者たちの行方							
おかえりなさい！サンクレッドとは、上手くやっているみたいね。			おかえりなさい！サンクレッドとは、上手くやっているみたいね。			消えた者たちの行方							
……なるほど。そんなことがあったのね。状況は理解できたわ、報告をありがとう。			……なるほど。そんなことがあったのね。状況は理解できたわ、報告をありがとう。			消えた者たちの行方							
では、次は、誘拐された人の行方をつきとめるために、アマルジャ族と接触するのね。			では、次は、誘拐された人の行方をつきとめるために、アマルジャ族と接触するのね。			消えた者たちの行方							
彼らが簡単に教えてくれるとは思えない。戦いは避けられないはずよ……。準備を進めましょう。			彼らが簡単に教えてくれるとは思えない。戦いは避けられないはずよ……。準備を進めましょう。			消えた者たちの行方							
おや、貧民の衣装をなくしてしまったのか？それでは、これをあげよう。……もうなくさないようにな。			おや、貧民の衣装をなくしてしまったのか？それでは、これをあげよう。……もうなくさないようにな。			消えた者たちの行方							
ミンフィリアは冒険者にある人物を紹介したいようだ。			ミンフィリアは冒険者にある人物を紹介したいようだ。			生命、マテリア、すべての答え							
ミンフィリアから、ゴブリン族の学者「ミュタミクス」を紹介された。ミュタミクスは、武器や防具を強化する高い技術を持っており、しかもその技術を冒険者に広めたいと考えているのだそうだ。狼煙の丘にいる「ミュタミクス」に「ミンフィリアの短剣」を渡そう。			ミンフィリアから、ゴブリン族の学者「ミュタミクス」を紹介された。ミュタミクスは、武器や防具を強化する高い技術を持っており、しかもその技術を冒険者に広めたいと考えているのだそうだ。狼煙の丘にいる「ミュタミクス」に「ミンフィリアの短剣」を渡そう。			生命、マテリア、すべての答え							
ミュタミクスから「マテリア」の装着について学んだ。クラフターとして経験を積めば、自らマテリアを装着することもできるようになるらしい。砂の家にいる「ミンフィリア」に「マテリア付の短剣」を渡そう。			ミュタミクスから「マテリア」の装着について学んだ。クラフターとして経験を積めば、自らマテリアを装着することもできるようになるらしい。砂の家にいる「ミンフィリア」に「マテリア付の短剣」を渡そう。			生命、マテリア、すべての答え							
ミンフィリアに、ミュタミクスから学んだことを報告した。これから多くの戦いに身を投じるであろう冒険者にとって、武器や防具の強化は必須事項であるという。ミュタミクスから学んだマテリアの知識を活用し、次の作戦に備えよう。			ミンフィリアに、ミュタミクスから学んだことを報告した。これから多くの戦いに身を投じるであろう冒険者にとって、武器や防具の強化は必須事項であるという。ミュタミクスから学んだマテリアの知識を活用し、次の作戦に備えよう。			生命、マテリア、すべての答え							
狼煙の丘のミュタミクスにミンフィリアの短剣を渡す			狼煙の丘のミュタミクスにミンフィリアの短剣を渡す			生命、マテリア、すべての答え							
砂の家のミンフィリアにマテリア付の短剣を渡す			砂の家のミンフィリアにマテリア付の短剣を渡す			生命、マテリア、すべての答え							
これからの戦いに備えて、あなたに紹介したい人がいるの。「ミュタミクス」というゴブリン族の学者よ。			これからの戦いに備えて、あなたに紹介したい人がいるの。「ミュタミクス」というゴブリン族の学者よ。			生命、マテリア、すべての答え							
彼は、武器や防具の強化について、独自の素晴らしい技術を持っているわ。そして、それを冒険者に広めたいと考えている……。			彼は、武器や防具の強化について、独自の素晴らしい技術を持っているわ。そして、それを冒険者に広めたいと考えている……。			生命、マテリア、すべての答え							
ゴブリン族に偏見を持たない篤学(とくがく)の士に未来を託したいと、常々言っているそうなの。あなたが望めば、きっと協力してくれる。			ゴブリン族に偏見を持たない篤学(とくがく)の士に未来を託したいと、常々言っているそうなの。あなたが望めば、きっと協力してくれる。			生命、マテリア、すべての答え							
剣を一振り預けるから、その目で直接、彼の技術を見ていらっしゃい。			剣を一振り預けるから、その目で直接、彼の技術を見ていらっしゃい。			生命、マテリア、すべての答え							
ミュタミクスの工房があるのは、中央ザナラーンの「狼煙の丘」。不思議な色の煙が見えたら、そこが目的地よ。			ミュタミクスの工房があるのは、中央ザナラーンの「狼煙の丘」。不思議な色の煙が見えたら、そこが目的地よ。			生命、マテリア、すべての答え							
とつぜん　なんぞ　なにようぞ～？			とつぜん　なんぞ　なにようぞ～？			生命、マテリア、すべての答え							
(-？？？？-)武具にやどりし　ヒトがココロ～。マテリアかわりて　かがやきはなつ～。			(-？？？？-)武具にやどりし　ヒトがココロ～。マテリアかわりて　かがやきはなつ～。			生命、マテリア、すべての答え							
(-？？？？-)マテリアかがやき　ココロのキオク～。あらたな武具へと　マテリアつけりゃ～。			(-？？？？-)マテリアかがやき　ココロのキオク～。あらたな武具へと　マテリアつけりゃ～。			生命、マテリア、すべての答え							
(-？？？？-)キオクのチカラ　うけつぐぞ～！いかなるチカラを　うけつぐか～？			(-？？？？-)キオクのチカラ　うけつぐぞ～！いかなるチカラを　うけつぐか～？			生命、マテリア、すべての答え							
はよう　ためして　みたいぞなー！			はよう　ためして　みたいぞなー！			生命、マテリア、すべての答え							
シュコォ……シュコォ……。わしゃ　カガクシャ　ミュタミクス！おぬしゃ　だれぞ　なにもんぞ～？			シュコォ……シュコォ……。わしゃ　カガクシャ　ミュタミクス！おぬしゃ　だれぞ　なにもんぞ～？			生命、マテリア、すべての答え							
おやおや　ミンフィの使いぞな～？たしかに　連絡　うけたぞな～！			おやおや　ミンフィの使いぞな～？たしかに　連絡　うけたぞな～！			生命、マテリア、すべての答え							
マテリア　おしえて　強くしろ～。そんな　依頼を　うけたぞな～！ほいじゃ　武器を　かしてみよ～！			マテリア　おしえて　強くしろ～。そんな　依頼を　うけたぞな～！ほいじゃ　武器を　かしてみよ～！			生命、マテリア、すべての答え							
こいつぁ　しょんぼい　武器だぞな～！マテリア　つけにゃ　しょんぼいままぞ～！			こいつぁ　しょんぼい　武器だぞな～！マテリア　つけにゃ　しょんぼいままぞ～！			生命、マテリア、すべての答え							
お師様、これを。			お師様、これを。			生命、マテリア、すべての答え							
シュコォ……シュコォ……。ほれほれ　一同　ご注目～！マテリアつけりゃ～　かがやきはなつ～。			シュコォ……シュコォ……。ほれほれ　一同　ご注目～！マテリアつけりゃ～　かがやきはなつ～。			生命、マテリア、すべての答え							
ほいほい　できたぞ　成功ぞ～！しょんぼい武器が　ぴかぴか武器ぞ～！こいつを　ミンフィに　渡すぞな～！			ほいほい　できたぞ　成功ぞ～！しょんぼい武器が　ぴかぴか武器ぞ～！こいつを　ミンフィに　渡すぞな～！			生命、マテリア、すべての答え							
マテリアとは、使い込まれたことで、人の想いが染みついた武器や防具から、特殊な技術でエーテルを精製した結晶……。			マテリアとは、使い込まれたことで、人の想いが染みついた武器や防具から、特殊な技術でエーテルを精製した結晶……。			生命、マテリア、すべての答え							
そうしてできたマテリアを新たな装備品に装着することで、想いの力を受け継がせ、性質を強化できるわ。			そうしてできたマテリアを新たな装備品に装着することで、想いの力を受け継がせ、性質を強化できるわ。			生命、マテリア、すべての答え							
今回のようにボロ武器は、そこそこ使えるようになり、強い武器は、より強くすることができるということだな。			今回のようにボロ武器は、そこそこ使えるようになり、強い武器は、より強くすることができるということだな。			生命、マテリア、すべての答え							
シュコォ……シュコォ……。おぬしゃ　ちしきの　たんきゅうしゃ～？			シュコォ……シュコォ……。おぬしゃ　ちしきの　たんきゅうしゃ～？			生命、マテリア、すべての答え							
マテリア　しりたきゃ　鍛錬ぞ～。クラフタ　ちしきを　深めれば～。おのれで　マテリア　つけられる～！			マテリア　しりたきゃ　鍛錬ぞ～。クラフタ　ちしきを　深めれば～。おのれで　マテリア　つけられる～！			生命、マテリア、すべての答え							
マテリア　ちしきを　極めれば～。おぬしの　武具は　てんかいち～！			マテリア　ちしきを　極めれば～。おぬしの　武具は　てんかいち～！			生命、マテリア、すべての答え							
きょうみ　あるなら　鍛錬ぞ～。そこなる　弟子に　習うぞな～！			きょうみ　あるなら　鍛錬ぞ～。そこなる　弟子に　習うぞな～！			生命、マテリア、すべての答え							
おかえりなさい！ミュタミクスの技術を間近で見て、どうだった？なにか得るものはあったかしら？			おかえりなさい！ミュタミクスの技術を間近で見て、どうだった？なにか得るものはあったかしら？			生命、マテリア、すべての答え							
……やっぱり、「マテリア」を装着すると違うわね。扱うには技術が必要だって聞くけれど、あなたなら、きっと活用することができる。			……やっぱり、「マテリア」を装着すると違うわね。扱うには技術が必要だって聞くけれど、あなたなら、きっと活用することができる。			生命、マテリア、すべての答え							
あなたはこれからも、多くの戦いに身を投じるでしょう。勝つため……そして万が一にも負けないために、装備の強化は必須事項よ。			あなたはこれからも、多くの戦いに身を投じるでしょう。勝つため……そして万が一にも負けないために、装備の強化は必須事項よ。			生命、マテリア、すべての答え							
それがわかったら、次の作戦の話をしましょう。ちょうど、サンクレッドから報告が入っているの。			それがわかったら、次の作戦の話をしましょう。ちょうど、サンクレッドから報告が入っているの。			生命、マテリア、すべての答え							
「暁の血盟」のネドリック・アイアンハートは、冒険者にとっておきの情報を教えたいらしい。			「暁の血盟」のネドリック・アイアンハートは、冒険者にとっておきの情報を教えたいらしい。			ハラタリ修練所への誘い							
ネドリックから、東ザナラーンの「ハラタリ修練所」を紹介された。入り口にいる、不滅隊の「ファファジョニ上等闘兵」に声をかけよう。			ネドリックから、東ザナラーンの「ハラタリ修練所」を紹介された。入り口にいる、不滅隊の「ファファジョニ上等闘兵」に声をかけよう。			ハラタリ修練所への誘い							
「ハラタリ修練所」が利用可能になった。腕を磨くため、積極的に挑んでみよう！※コンテンツファインダーから攻略に参加できます。			「ハラタリ修練所」が利用可能になった。腕を磨くため、積極的に挑んでみよう！※コンテンツファインダーから攻略に参加できます。			ハラタリ修練所への誘い							
ハラタリ修練所のファファジョニ上等闘兵と話す			ハラタリ修練所のファファジョニ上等闘兵と話す			ハラタリ修練所への誘い							
いよう、嬢ちゃんダンナ。俺は、ネドリック・アイアンハート。探検家だ。			いよう、嬢ちゃんダンナ。俺は、ネドリック・アイアンハート。探検家だ。			ハラタリ修練所への誘い							
バリバリ働いてる嬢ちゃんダンナに、とっておきの穴場を教えてやろう。東ザナラーンのすみっこにある「ハラタリ修練所」……。			バリバリ働いてる嬢ちゃんダンナに、とっておきの穴場を教えてやろう。東ザナラーンのすみっこにある「ハラタリ修練所」……。			ハラタリ修練所への誘い							
100年前に建設された、剣闘士のための修練所さ。第七霊災のゴタゴタで放棄されちまったんだが……今、中がおもしろいことになってるって噂だ。			100年前に建設された、剣闘士のための修練所さ。第七霊災のゴタゴタで放棄されちまったんだが……今、中がおもしろいことになってるって噂だ。			ハラタリ修練所への誘い							
興味があるなら、入り口にいる不滅隊員……「ファファジョニ上等闘兵」という奴に声をかけてみな。俺から話は通しておいたから、中へ案内してくれるはずだ。			興味があるなら、入り口にいる不滅隊員……「ファファジョニ上等闘兵」という奴に声をかけてみな。俺から話は通しておいたから、中へ案内してくれるはずだ。			ハラタリ修練所への誘い							
ななな、なんの御用ですか！ここが「ハラタリ修練所」だとご存知で！？			ななな、なんの御用ですか！ここが「ハラタリ修練所」だとご存知で！？			ハラタリ修練所への誘い							
「ハラタリ」は、古い言葉で「日陰の多い土地」。大昔、僕らのご先祖が最初に住み着いた場所であり……ってそんな話じゃなくて！			「ハラタリ」は、古い言葉で「日陰の多い土地」。大昔、僕らのご先祖が最初に住み着いた場所であり……ってそんな話じゃなくて！			ハラタリ修練所への誘い							
ほら、耳をすませてごらんなさい。……大地を震わす、低い唸りが聞こえるでしょう？			ほら、耳をすませてごらんなさい。……大地を震わす、低い唸りが聞こえるでしょう？			ハラタリ修練所への誘い							
あれは風の音じゃない、飢えた獣の鳴き声です。闘技場で見世物にするために飼われていた獣が、今でもまだ、生きている……。			あれは風の音じゃない、飢えた獣の鳴き声です。闘技場で見世物にするために飼われていた獣が、今でもまだ、生きている……。			ハラタリ修練所への誘い							
しかも、とびきり凶暴な奴ばかり！僕ら不滅隊も、手出しできずにいるのが現状です。ですからあなたも……			しかも、とびきり凶暴な奴ばかり！僕ら不滅隊も、手出しできずにいるのが現状です。ですからあなたも……			ハラタリ修練所への誘い							
ええっ、あなたがForenameさん？もちろん話は聞いていますが……くれぐれも、新しいエサにならないでくださいね。			ええっ、あなたがForenameさん？もちろん話は聞いていますが……くれぐれも、新しいエサにならないでくださいね。			ハラタリ修練所への誘い							
狼煙の丘のココサムは、ミュタミクスが編み出した、新たなマテリア技術について教えたいようだ。			狼煙の丘のココサムは、ミュタミクスが編み出した、新たなマテリア技術について教えたいようだ。			想いを束ねる力							
ココサムによると、5つのマテリアを合成し、異なるマテリアに変容させる技術を、ミュタミクスが編み出したらしい。狼煙の丘の「ミュタミクス」に話を聞いてみよう。			ココサムによると、5つのマテリアを合成し、異なるマテリアに変容させる技術を、ミュタミクスが編み出したらしい。狼煙の丘の「ミュタミクス」に話を聞いてみよう。			想いを束ねる力							
ミュタミクスの元に、5つのマテリアを持っていけば、マテリア合成をしてくれるようだ。さっそく試してみるといいだろう。			ミュタミクスの元に、5つのマテリアを持っていけば、マテリア合成をしてくれるようだ。さっそく試してみるといいだろう。			想いを束ねる力							
ミュタミクスと話す			ミュタミクスと話す			想いを束ねる力							
「コールマター」で儲けることはできなくなっちまったが、その分マテリア関連市場が活性化してきた！……アンタもそう思うだろ？			「コールマター」で儲けることはできなくなっちまったが、その分マテリア関連市場が活性化してきた！……アンタもそう思うだろ？			想いを束ねる力							
だけど、どんなマテリアが生まれるかは運次第……。武具を強化したくても、好みのマテリアが手に入らないと、装着しようって気もおきやしねぇ。			だけど、どんなマテリアが生まれるかは運次第……。武具を強化したくても、好みのマテリアが手に入らないと、装着しようって気もおきやしねぇ。			想いを束ねる力							
そうなりゃ、「コールマター」を売りさばこうとしてる、俺たちギャザラーも、商売あがったりさ。			そうなりゃ、「コールマター」を売りさばこうとしてる、俺たちギャザラーも、商売あがったりさ。			想いを束ねる力							
そこで、耳寄りな情報があるんだぜ！ミュタミクス師匠が、5つのマテリアを合成して、「異なるマテリアに変容させる技術」を編み出したのさ。			そこで、耳寄りな情報があるんだぜ！ミュタミクス師匠が、5つのマテリアを合成して、「異なるマテリアに変容させる技術」を編み出したのさ。			想いを束ねる力							
これもまぁ、運次第ではあるんだが……不要品を新しいマテリアに変えられるチャンスさ！興味があるなら、師匠に声をかけてみるんだな。			これもまぁ、運次第ではあるんだが……不要品を新しいマテリアに変えられるチャンスさ！興味があるなら、師匠に声をかけてみるんだな。			想いを束ねる力							
シュコォ……シュコォ……マテリア　マテリラ　いろとりどりマテリダ　マテリガ　いろいろぞ～。			シュコォ……シュコォ……マテリア　マテリラ　いろとりどりマテリダ　マテリガ　いろいろぞ～。			想いを束ねる力							
いらない　マテリア　5つの　マテリアなんやら　かんやら　混ぜ込めば～新たな　マテリア　生まれるぞ～。			いらない　マテリア　5つの　マテリアなんやら　かんやら　混ぜ込めば～新たな　マテリア　生まれるぞ～。			想いを束ねる力							
おぬしゃ　合成　したいぞな～？ためしてみたけりゃ　もってこい～！5つの　マテリア　もってこい～！			おぬしゃ　合成　したいぞな～？ためしてみたけりゃ　もってこい～！5つの　マテリア　もってこい～！			想いを束ねる力							
なにができるか　運しだい～！いどむも勇気　やめるも勇気～！			なにができるか　運しだい～！いどむも勇気　やめるも勇気～！			想いを束ねる力							
不要なマテリア5つを、ミュタミクスに渡すと、それらを合成して、異なるマテリア1つに変換することができます。			不要なマテリア5つを、ミュタミクスに渡すと、それらを合成して、異なるマテリア1つに変換することができます。			想いを束ねる力							
ただし、どんなマテリアに変換されるのか、合成結果は運次第です。不要なマテリアがある場合に、利用してみましょう。			ただし、どんなマテリアに変換されるのか、合成結果は運次第です。不要なマテリアがある場合に、利用してみましょう。			想いを束ねる力							
