シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			自然に導かれし人々							
ぶっ通しで片づけをしていたら、さすがに疲れてさ。			ぶっ通しで片づけをしていたら、さすがに疲れてさ。			心をひとつに							
あんたも、一生懸命救助活動をしてくれてただろ？本当にありがとな……。			あんたも、一生懸命救助活動をしてくれてただろ？本当にありがとな……。			心をひとつに							
今は誰だってつらい……それでも、トライヨラは屈しねえさ。			今は誰だってつらい……それでも、トライヨラは屈しねえさ。			心をひとつに							
グルージャジャ様の子である新連王のふたりなら、きっとこの国を守ってくださるって、俺は信じてるぜ。			グルージャジャ様の子である新連王のふたりなら、きっとこの国を守ってくださるって、俺は信じてるぜ。			心をひとつに							
この人物には、説得の必要はないようだ……。			この人物には、説得の必要はないようだ……。			心をひとつに							
羽毛広場で説明があるんだろ？もうひと休みしたら向かうとするよ！			羽毛広場で説明があるんだろ？もうひと休みしたら向かうとするよ！			心をひとつに							
ん……？もしかして、様子を見にきてくれたのかな？			ん……？もしかして、様子を見にきてくれたのかな？			心をひとつに							
大丈夫……とは言えないけど、心配はいらないよ。こんなときだからこそ、落ち込んでいられないからさ……やれることを粛々とやるだけ。			大丈夫……とは言えないけど、心配はいらないよ。こんなときだからこそ、落ち込んでいられないからさ……やれることを粛々とやるだけ。			心をひとつに							
ウクラマト様とコーナ様も、きっと私たちを励ましてくださるつもりに違いないね。			ウクラマト様とコーナ様も、きっと私たちを励ましてくださるつもりに違いないね。			心をひとつに							
この人物には、説得の必要はないようだ……。			この人物には、説得の必要はないようだ……。			心をひとつに							
さーて、そろそろ羽毛広場に向かおうかな！			さーて、そろそろ羽毛広場に向かおうかな！			心をひとつに							
……トライヨラが襲撃に遭ったこと、いまだに信じられん。			……トライヨラが襲撃に遭ったこと、いまだに信じられん。			心をひとつに							
幸いウチの家族は無事だったが、そうでなかったら、取り乱していたことだろう。			幸いウチの家族は無事だったが、そうでなかったら、取り乱していたことだろう。			心をひとつに							
そういえば、羽毛広場で新連王から話があるそうだね。私も向かってみるつもりさ。			そういえば、羽毛広場で新連王から話があるそうだね。私も向かってみるつもりさ。			心をひとつに							
この人物には、説得の必要はないようだ……。			この人物には、説得の必要はないようだ……。			心をひとつに							
もしかして、心配して声をかけてくれたのかな？優しいんだな……ありがとうよ。			もしかして、心配して声をかけてくれたのかな？優しいんだな……ありがとうよ。			心をひとつに							
声、かけてきてくれたみたいだな……。ほんとにありがとよ。			声、かけてきてくれたみたいだな……。ほんとにありがとよ。			心をひとつに							
私も今しがた戻ってきたところだけど……アリゼーは君がまだ粘っていると聞いて、またすぐに飛びだしていったよ。			私も今しがた戻ってきたところだけど……アリゼーは君がまだ粘っていると聞いて、またすぐに飛びだしていったよ。			心をひとつに							
……トライヨラの問題にあなた方を巻き込んでしまって、今更ながら申し訳ありません。			……トライヨラの問題にあなた方を巻き込んでしまって、今更ながら申し訳ありません。			心をひとつに							
私たちも継承の儀を通じて、トラル大陸の各所を巡ってきたんだ。そして、そこで生きる人々と出会ってきた……他人事と思えるはずもないさ。			私たちも継承の儀を通じて、トラル大陸の各所を巡ってきたんだ。そして、そこで生きる人々と出会ってきた……他人事と思えるはずもないさ。			心をひとつに							
なにより、これはトライヨラだけの問題ではないはずだ。かねてから世界統一という野望を抱いていたゾラージャのことだ、放置すれば、いずれは大陸の外も狙うはずだからね。			なにより、これはトライヨラだけの問題ではないはずだ。かねてから世界統一という野望を抱いていたゾラージャのことだ、放置すれば、いずれは大陸の外も狙うはずだからね。			心をひとつに							
だから、君たちが護りたいものを……私たちにも、ともに護らせてほしい。			だから、君たちが護りたいものを……私たちにも、ともに護らせてほしい。			心をひとつに							
ありがとうございます……。この御恩は、きっと忘れません……。			ありがとうございます……。この御恩は、きっと忘れません……。			心をひとつに							
それよりも、君たち自身は無理してないかい？休む間もなかっただろう。			それよりも、君たち自身は無理してないかい？休む間もなかっただろう。			心をひとつに							
……あたしは、もう大丈夫だ。Forenameのおかげでな。			……あたしは、もう大丈夫だ。Forenameのおかげでな。			心をひとつに							
僕の方もご心配なく。父さん……いえ、父上から大切なものを受け継ぎましたから。			僕の方もご心配なく。父さん……いえ、父上から大切なものを受け継ぎましたから。			心をひとつに							
今の僕には、護るべき大切な人たちがいる……。悲しみは癒えずとも、立ち止まることはありません。			今の僕には、護るべき大切な人たちがいる……。悲しみは癒えずとも、立ち止まることはありません。			心をひとつに							
あらゆる手段を駆使して、この国に平和を取り戻す……。それが父上にできる弔いなんです。			あらゆる手段を駆使して、この国に平和を取り戻す……。それが父上にできる弔いなんです。			心をひとつに							
その一歩として……まずは今の僕たちの精一杯の言葉を、みんなに届けてこよう。			その一歩として……まずは今の僕たちの精一杯の言葉を、みんなに届けてこよう。			心をひとつに							
コーナ兄さん……！			コーナ兄さん……！			心をひとつに							
それじゃあ、そろそろ準備してくるぜ。始まるまで羽毛広場で待っててくれ！			それじゃあ、そろそろ準備してくるぜ。始まるまで羽毛広場で待っててくれ！			心をひとつに							
いい若者たちね。			いい若者たちね。			心をひとつに							
……ああ。			……ああ。			心をひとつに							
ご協力ありがとうございます……。より多くの民に想いを伝えようにも、話の場にいてくれなければ、届けようがありませんから……。			ご協力ありがとうございます……。より多くの民に想いを伝えようにも、話の場にいてくれなければ、届けようがありませんから……。			心をひとつに							
おかえりなさい。ケテンラムから、黄金郷の扉について聞いていたところよ。			おかえりなさい。ケテンラムから、黄金郷の扉について聞いていたところよ。			心をひとつに							
買い出し組のクルルとエレンヴィルは、まだ戻ってきていないようだな。			買い出し組のクルルとエレンヴィルは、まだ戻ってきていないようだな。			心をひとつに							
ヤ・シュトラたちは、まさしくシャーレアンの賢人だな。ガラフもそうだったが、矢継ぎ早の質問で圧倒されたぞ。			ヤ・シュトラたちは、まさしくシャーレアンの賢人だな。ガラフもそうだったが、矢継ぎ早の質問で圧倒されたぞ。			心をひとつに							
おや、アリゼーとすれ違わなかったかい？			おや、アリゼーとすれ違わなかったかい？			心をひとつに							
……ウクラマトとコーナの演説を聴いて、第一世界での日々を思い出したよ。			……ウクラマトとコーナの演説を聴いて、第一世界での日々を思い出したよ。			心をひとつに							
水晶公は王だったわけじゃないが、それでもクリスタリウムのみんなに語りかける機会は多かったし、彼らは言葉で、行動で応えてくれた。			水晶公は王だったわけじゃないが、それでもクリスタリウムのみんなに語りかける機会は多かったし、彼らは言葉で、行動で応えてくれた。			心をひとつに							
トライヨラの人々からも、同じ気風を感じたんだ。……いい国だな。			トライヨラの人々からも、同じ気風を感じたんだ。……いい国だな。			心をひとつに							
トライヨラのみんなが、ともに立ち向かおうとしている……。彼らの決意を無駄にしないためにも、私たちもしっかりと役目を果たしましょう。			トライヨラのみんなが、ともに立ち向かおうとしている……。彼らの決意を無駄にしないためにも、私たちもしっかりと役目を果たしましょう。			心をひとつに							
これだけ多くの種族が集まっているのに、国のために一致団結できるのは素晴らしいことだわ。			これだけ多くの種族が集まっているのに、国のために一致団結できるのは素晴らしいことだわ。			心をひとつに							
……あいつも、王様らしくなったもんだ。			……あいつも、王様らしくなったもんだ。			心をひとつに							
みんなが集まってくれて良かった……心配だったから、ギリギリまで走り回っちゃったわよ。さあ、私たちもできることをやりましょう。			みんなが集まってくれて良かった……心配だったから、ギリギリまで走り回っちゃったわよ。さあ、私たちもできることをやりましょう。			心をひとつに							
素晴らしい演説だったね。彼女らの言葉を嘘にしないためにも、必ずトライヨラを護り抜かなければならないと、改めて感じたよ。			素晴らしい演説だったね。彼女らの言葉を嘘にしないためにも、必ずトライヨラを護り抜かなければならないと、改めて感じたよ。			心をひとつに							
シェシェネ青燐泉のイヤーテは、思い出そうとしているようだ。			シェシェネ青燐泉のイヤーテは、思い出そうとしているようだ。			トライヨラが好きだから							
イヤーテと話す			イヤーテと話す			トライヨラが好きだから							
指定地点で見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			指定地点で見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			トライヨラが好きだから							
指定地点で再度見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			指定地点で再度見渡し、ブレイジング・セルリックアナラが現れたら討伐して高純度クリスタルを入手			トライヨラが好きだから							
イヤーテに高純度クリスタルを渡す			イヤーテに高純度クリスタルを渡す			トライヨラが好きだから							
ウクラマトと話す			ウクラマトと話す			トライヨラが好きだから							
ワーリカと話す			ワーリカと話す			トライヨラが好きだから							
さて……記憶を引っ張りだしてこなくちゃな。オレの経験が役に立つなら嬉しいよ。			さて……記憶を引っ張りだしてこなくちゃな。オレの経験が役に立つなら嬉しいよ。			トライヨラが好きだから							
シェンダさんに言われた素材を確認しているの。列車の改造、頑張りましょうね！			シェンダさんに言われた素材を確認しているの。列車の改造、頑張りましょうね！			トライヨラが好きだから							
ガーロンド・アイアンワークスのみんなが居たら、空飛ぶ武装列車でも作りかねないわよね。まあ、今から彼らを呼ぶ時間はないんだけどさ。			ガーロンド・アイアンワークスのみんなが居たら、空飛ぶ武装列車でも作りかねないわよね。まあ、今から彼らを呼ぶ時間はないんだけどさ。			トライヨラが好きだから							
……今のところ、敵に動きはないようだ。何かあればすぐに知らせる。			……今のところ、敵に動きはないようだ。何かあればすぐに知らせる。			トライヨラが好きだから							
ほんとありがとう！火属性の高純度クリスタルの件、「イヤーテ」さんに相談してみて！			ほんとありがとう！火属性の高純度クリスタルの件、「イヤーテ」さんに相談してみて！			トライヨラが好きだから							
そうそう、思い出した！			そうそう、思い出した！			トライヨラが好きだから							
この町を出て南の方に現れる「セルリックアナラ」って奴が、火属性のクリスタルを体内に溜め込む習性があるって、聞いたことがあるよ。			この町を出て南の方に現れる「セルリックアナラ」って奴が、火属性のクリスタルを体内に溜め込む習性があるって、聞いたことがあるよ。			トライヨラが好きだから							
ただ高純度となると、それなりに長命で身体も大きな個体を狙わないと……。かなり手強い相手だけど……あんたなら心配いらないか！			ただ高純度となると、それなりに長命で身体も大きな個体を狙わないと……。かなり手強い相手だけど……あんたなら心配いらないか！			トライヨラが好きだから							
私が案内するから、魔物を倒す役目はお願いね。腕っぷしが強いところ見せてよ！			私が案内するから、魔物を倒す役目はお願いね。腕っぷしが強いところ見せてよ！			トライヨラが好きだから							
この辺りって、青燐水が埋まってるからなのか、火属性の力が強い魔物が湧くことがあるの。			この辺りって、青燐水が埋まってるからなのか、火属性の力が強い魔物が湧くことがあるの。			トライヨラが好きだから							
ただ、群れを率いるような長命の個体となると、なかなか出会えないから……			ただ、群れを率いるような長命の個体となると、なかなか出会えないから……			トライヨラが好きだから							
まずは、通常の個体を倒してみて。そうすれば、親玉が怒って姿を現すと思うから……！			まずは、通常の個体を倒してみて。そうすれば、親玉が怒って姿を現すと思うから……！			トライヨラが好きだから							
おお、頼もしいねぇ！じゃあ、私は行商人がうっかり近づかないように見張ってるから、「ブレイジング・セルリックアナラ」の討伐よろしくね！			おお、頼もしいねぇ！じゃあ、私は行商人がうっかり近づかないように見張ってるから、「ブレイジング・セルリックアナラ」の討伐よろしくね！			トライヨラが好きだから							
通常個体を倒せば、親玉が現れるはずだよ。がんばってね！			通常個体を倒せば、親玉が現れるはずだよ。がんばってね！			トライヨラが好きだから							
この辺りには、対象の魔物はいないようだ……。もう少し南の方へ行ってみよう。			この辺りには、対象の魔物はいないようだ……。もう少し南の方へ行ってみよう。			トライヨラが好きだから							
親玉らしき大型個体が襲い掛かってきた！			親玉らしき大型個体が襲い掛かってきた！			トライヨラが好きだから							
うわあ、あっという間に倒しちゃったね！ほんとにすごい人なんだ……！			うわあ、あっという間に倒しちゃったね！ほんとにすごい人なんだ……！			トライヨラが好きだから							
高純度クリスタルはシェンダに渡せばいいんだよね？それなら、私が渡しておくよ！			高純度クリスタルはシェンダに渡せばいいんだよね？それなら、私が渡しておくよ！			トライヨラが好きだから							
いやあ、シャトナ族の狩人たちでも、あそこまで手際よく倒せないんじゃないかな。			いやあ、シャトナ族の狩人たちでも、あそこまで手際よく倒せないんじゃないかな。			トライヨラが好きだから							
……ありがとね。このことだけじゃなくて、私たちのためにいろいろしてくれてさ。			……ありがとね。このことだけじゃなくて、私たちのためにいろいろしてくれてさ。			トライヨラが好きだから							
聞いたよ、ドームに乗り込んでいくんでしょ？本当に……あんたたちには頭が上がらないよ。			聞いたよ、ドームに乗り込んでいくんでしょ？本当に……あんたたちには頭が上がらないよ。			トライヨラが好きだから							
それから、私が言うのもなんだけど……エレネッシパのこと……よろしくね！			それから、私が言うのもなんだけど……エレネッシパのこと……よろしくね！			トライヨラが好きだから							
さて、それじゃあ後は私に任せて！さっきウクラマト様が駅に向かうのが見えたから、合流してあげるといいんじゃないかな！			さて、それじゃあ後は私に任せて！さっきウクラマト様が駅に向かうのが見えたから、合流してあげるといいんじゃないかな！			トライヨラが好きだから							
シェンダから聞いたぜ、高純度クリスタルの調達に行ってくれたんだって？ありがとよ！			シェンダから聞いたぜ、高純度クリスタルの調達に行ってくれたんだって？ありがとよ！			トライヨラが好きだから							
アタシの方も、助っ人を募集してきたところだ。誰が駆けつけてくれるかは、来てのお楽しみだな！			アタシの方も、助っ人を募集してきたところだ。誰が駆けつけてくれるかは、来てのお楽しみだな！			トライヨラが好きだから							
こっちも、準備は順調にいってる。あとはとにかく、人手がそろえばって感じだな。			こっちも、準備は順調にいってる。あとはとにかく、人手がそろえばって感じだな。			トライヨラが好きだから							
正直、故郷のことを考えると気が気じゃないが……今ばかりは待つしかない。			正直、故郷のことを考えると気が気じゃないが……今ばかりは待つしかない。			トライヨラが好きだから							
なあ、エレンヴィル……お前のおふくろも、必ず見つけだすからな。			なあ、エレンヴィル……お前のおふくろも、必ず見つけだすからな。			トライヨラが好きだから							
カフキワとは、アタシが小さいころに会ったきりだけど、80年前にオヤジと一緒に旅したときの話とか、いろいろ聞きてぇしよ！			カフキワとは、アタシが小さいころに会ったきりだけど、80年前にオヤジと一緒に旅したときの話とか、いろいろ聞きてぇしよ！			トライヨラが好きだから							
ふっ……きっと、1聞けば100は答えが返ってくる。おふくろはそんな奴だから、長話は覚悟しておけよ。			ふっ……きっと、1聞けば100は答えが返ってくる。おふくろはそんな奴だから、長話は覚悟しておけよ。			トライヨラが好きだから							
ああ、そいつは楽しみだ！			ああ、そいつは楽しみだ！			トライヨラが好きだから							
それじゃあ、手伝いに戻ろうぜ！助っ人たちがそろったら、本格的に作業開始だ！			それじゃあ、手伝いに戻ろうぜ！助っ人たちがそろったら、本格的に作業開始だ！			トライヨラが好きだから							
遠いとこまでありがとな。お前らが来てくれて大助かりだぜ！			遠いとこまでありがとな。お前らが来てくれて大助かりだぜ！			トライヨラが好きだから							
トライヨラ襲撃の一件があってから、何か力になれることはないかと思案していたのです。			トライヨラ襲撃の一件があってから、何か力になれることはないかと思案していたのです。			トライヨラが好きだから							
そんなときにお声がけいただいたものですから、まさしく渡りに船でしたよ。			そんなときにお声がけいただいたものですから、まさしく渡りに船でしたよ。			トライヨラが好きだから							
ういうい！平和を取り戻して、みんなに飲んでもらいたいからね！美味しいメスカルをさ！			ういうい！平和を取り戻して、みんなに飲んでもらいたいからね！美味しいメスカルをさ！			トライヨラが好きだから							
そのためにできることなら、何だってするよ！			そのためにできることなら、何だってするよ！			トライヨラが好きだから							
王都の方も、先の襲撃の痛手で人手が要るとのことでしたので、そちらは、祭司長グーフールーがあたっております。			王都の方も、先の襲撃の痛手で人手が要るとのことでしたので、そちらは、祭司長グーフールーがあたっております。			トライヨラが好きだから							
ありがてえ……！			ありがてえ……！			トライヨラが好きだから							
こんなにも頼もしい奴らが協力してくれてるんだ。百人力どころか、百万人力だぜ！			こんなにも頼もしい奴らが協力してくれてるんだ。百人力どころか、百万人力だぜ！			トライヨラが好きだから							
よっしゃ、アタシもこうしちゃいられねぇな！みんな、もうひと踏ん張りだ！			よっしゃ、アタシもこうしちゃいられねぇな！みんな、もうひと踏ん張りだ！			トライヨラが好きだから							
……俺も、行ってくる！			……俺も、行ってくる！			トライヨラが好きだから							
よーし、作業は一旦ここまでだ！みんなありがとう！			よーし、作業は一旦ここまでだ！みんなありがとう！			トライヨラが好きだから							
車体に取り付ける装甲や砲座の準備は完了したし、あとはあたしたちに任せて、みんなは休んどくれ。			車体に取り付ける装甲や砲座の準備は完了したし、あとはあたしたちに任せて、みんなは休んどくれ。			トライヨラが好きだから							
アタシからも改めて礼を言わせてくれ。呼びかけに応じてくれて、本当に感謝してるぜ。			アタシからも改めて礼を言わせてくれ。呼びかけに応じてくれて、本当に感謝してるぜ。			トライヨラが好きだから							
おう、いいってことよ！俺様の助けが必要な時は、いつでも呼んでくれ！			おう、いいってことよ！俺様の助けが必要な時は、いつでも呼んでくれ！			トライヨラが好きだから							
なに、自国の危機とあらば当然のことです。			なに、自国の危機とあらば当然のことです。			トライヨラが好きだから							
ういうい！みんな、大好きなんだよ！この国と、武王ウクラマトのことが！			ういうい！みんな、大好きなんだよ！この国と、武王ウクラマトのことが！			トライヨラが好きだから							
みんなの想いに、絶対に応えてみせるぜ。アタシも、トライヨラとみんなのことが大好きだからな！			みんなの想いに、絶対に応えてみせるぜ。アタシも、トライヨラとみんなのことが大好きだからな！			トライヨラが好きだから							
おつかれさん。こっちも一段落したところだ。			おつかれさん。こっちも一段落したところだ。			トライヨラが好きだから							
お前さんたちも、手伝いありがとよ！おかげでだいぶ捗ったぜ。			お前さんたちも、手伝いありがとよ！おかげでだいぶ捗ったぜ。			トライヨラが好きだから							
大半の助っ人にも帰ってもらったし、あとの作業は俺たちに任せて、お前さんも少し休んでくれよな。			大半の助っ人にも帰ってもらったし、あとの作業は俺たちに任せて、お前さんも少し休んでくれよな。			トライヨラが好きだから							
羽毛広場のアルフィノは、静かに意気込んでいるようだ。			羽毛広場のアルフィノは、静かに意気込んでいるようだ。			荒野に落ちる影							
ウクラマトと話す			ウクラマトと話す			荒野に落ちる影							
フーサタイ宿場町のケマッカと話す			フーサタイ宿場町のケマッカと話す			荒野に落ちる影							
ウクラマトと話す			ウクラマトと話す			荒野に落ちる影							
襲撃の痕跡を調べる			襲撃の痕跡を調べる			荒野に落ちる影							
イヤーテと話す			イヤーテと話す			荒野に落ちる影							
XTRR社の事務員と話す			XTRR社の事務員と話す			荒野に落ちる影							
ウクラマトと話す			ウクラマトと話す			荒野に落ちる影							
ヤ・シュトラと話す			ヤ・シュトラと話す			荒野に落ちる影							
ウクラマトと話す			ウクラマトと話す			荒野に落ちる影							
トライヨラのみんなが、共に立ち向かおうとしている……。彼らの決意を無駄にしないためにも、私たちもしっかりと役目を果たしましょう。			トライヨラのみんなが、共に立ち向かおうとしている……。彼らの決意を無駄にしないためにも、私たちもしっかりと役目を果たしましょう。			荒野に落ちる影							
これだけ多くの種族が集まっているのに、国のために一致団結できるのは素晴らしいことだわ。			これだけ多くの種族が集まっているのに、国のために一致団結できるのは素晴らしいことだわ。			荒野に落ちる影							
……あいつも、王様らしくなったもんだ。			……あいつも、王様らしくなったもんだ。			荒野に落ちる影							
みんなが集まってくれて良かった……。私たちもできることをやりましょう。			みんなが集まってくれて良かった……。私たちもできることをやりましょう。			荒野に落ちる影							
トライヨラに平和が戻ったら、オレもいろいろなところを見て回りたくなったよ。			トライヨラに平和が戻ったら、オレもいろいろなところを見て回りたくなったよ。			荒野に落ちる影							
さて、いよいよ出発するときだね。			さて、いよいよ出発するときだね。			荒野に落ちる影							
突入組はこのままサカ・トラルへ向かうとして……残留組の私たちも、途中までは同行させてもらうつもりだよ。			突入組はこのままサカ・トラルへ向かうとして……残留組の私たちも、途中までは同行させてもらうつもりだよ。			荒野に落ちる影							
ええ、あのドームがどういう性質のものか……直接この目で視ておきたいの。			ええ、あのドームがどういう性質のものか……直接この目で視ておきたいの。			荒野に落ちる影							
それでは、準備が整い次第出発しよう。ラマチには私から声をかけて……			それでは、準備が整い次第出発しよう。ラマチには私から声をかけて……			荒野に落ちる影							
(-？？？？-)おおーーい！			(-？？？？-)おおーーい！			荒野に落ちる影							
あ……ラマチ！			あ……ラマチ！			荒野に落ちる影							
ちょうど呼びにいこうと思っていたところだよ。もういいのかい？			ちょうど呼びにいこうと思っていたところだよ。もういいのかい？			荒野に落ちる影							
ああ、時間をくれてありがとよ。おかげでトライヨラのみんなから、勇気までもらえちまった！			ああ、時間をくれてありがとよ。おかげでトライヨラのみんなから、勇気までもらえちまった！			荒野に落ちる影							
よっしゃ、この勢いのまま出発しちまおうぜ！「サカ・トラル関門前」に集合だ！			よっしゃ、この勢いのまま出発しちまおうぜ！「サカ・トラル関門前」に集合だ！			荒野に落ちる影							
みんな、準備はよさそうだな。			みんな、準備はよさそうだな。			荒野に落ちる影							
トライヨラのみんなのために、絶対に負けられねぇ。どんなことがあっても、ゾラージャ兄さんを……いや……ゾラージャを討って、トライヨラに平和を持ち帰る。			トライヨラのみんなのために、絶対に負けられねぇ。どんなことがあっても、ゾラージャ兄さんを……いや……ゾラージャを討って、トライヨラに平和を持ち帰る。			荒野に落ちる影							
それじゃ、まずは「シャーローニ荒野」へ急ごう！現地で監視にあたっている勇連隊から、向こうで動きがあったって報告も上がってきてるからな……。			それじゃ、まずは「シャーローニ荒野」へ急ごう！現地で監視にあたっている勇連隊から、向こうで動きがあったって報告も上がってきてるからな……。			荒野に落ちる影							
遠征のための準備は万全よ。数日分の食料に、お薬に、予備の装備に……全部エレンヴィルさんのナップサックに詰め込んであるわ！			遠征のための準備は万全よ。数日分の食料に、お薬に、予備の装備に……全部エレンヴィルさんのナップサックに詰め込んであるわ！			荒野に落ちる影							
離れた場所からでも、噂のドームとやらの異質さを感じるわ。			離れた場所からでも、噂のドームとやらの異質さを感じるわ。			荒野に落ちる影							
ドームに呑まれたヤースラニ荒野は、シャーローニ荒野から少なからず距離がある。列車という手段が断たれた状態で、どうやって移動するか……。			ドームに呑まれたヤースラニ荒野は、シャーローニ荒野から少なからず距離がある。列車という手段が断たれた状態で、どうやって移動するか……。			荒野に落ちる影							
いつでも出発できるわ！敵がどう出るかわからない以上、気を引き締めていきましょう。			いつでも出発できるわ！敵がどう出るかわからない以上、気を引き締めていきましょう。			荒野に落ちる影							
理王コーナとケテンラム殿は連王宮に戻っているよ。私も視察が終わり次第、彼らと合流して対策を練るつもりさ。			理王コーナとケテンラム殿は連王宮に戻っているよ。私も視察が終わり次第、彼らと合流して対策を練るつもりさ。			荒野に落ちる影							
ドームがあるのは……シャーローニ荒野のさらに先か。土地勘があるエレンヴィルが同行してくれるのは頼もしいな。			ドームがあるのは……シャーローニ荒野のさらに先か。土地勘があるエレンヴィルが同行してくれるのは頼もしいな。			荒野に落ちる影							
勇連隊から報告が上がってきてたんだ。この数刻の間に、次々とあの船がドームの方角から飛来してきて、威圧するように留まり始めたってな……。			勇連隊から報告が上がってきてたんだ。この数刻の間に、次々とあの船がドームの方角から飛来してきて、威圧するように留まり始めたってな……。			荒野に落ちる影							
嫌な感じ……。トライヨラのものと同じで、攻撃してくる様子はないわね。			嫌な感じ……。トライヨラのものと同じで、攻撃してくる様子はないわね。			荒野に落ちる影							
ああ、だが念のため各地の様子を見ておきてぇ。			ああ、だが念のため各地の様子を見ておきてぇ。			荒野に落ちる影							
ヤースラニ荒野に向かうにせよ、ドームの様子を見るにせよ、シャーローニ駅の辺りに行くことになる。その道中にある集落に寄って、状況を確認しておいてもいいか？			ヤースラニ荒野に向かうにせよ、ドームの様子を見るにせよ、シャーローニ駅の辺りに行くことになる。その道中にある集落に寄って、状況を確認しておいてもいいか？			荒野に落ちる影							
俺も手伝おう。ここらの連中とは交流があったばかりだからな。			俺も手伝おう。ここらの連中とは交流があったばかりだからな。			荒野に落ちる影							
助かるぜ！それなら二手に分かれよう。			助かるぜ！それなら二手に分かれよう。			荒野に落ちる影							
エレンヴィルとアリゼー、それからForenameは、アタシと一緒に集落を回って、住人たちから情報収集を……その間に、残りのメンバーはドームの様子を確認しておいてくれ。			エレンヴィルとアリゼー、それからForenameは、アタシと一緒に集落を回って、住人たちから情報収集を……その間に、残りのメンバーはドームの様子を確認しておいてくれ。			荒野に落ちる影							
了解だよ。では、後ほどシャーローニ駅で合流しよう。			了解だよ。では、後ほどシャーローニ駅で合流しよう。			荒野に落ちる影							
まずは、フーサタイ宿場町に行こう。たしかあそこは、自警隊が仕切っていたはずだな。			まずは、フーサタイ宿場町に行こう。たしかあそこは、自警隊が仕切っていたはずだな。			荒野に落ちる影							
ああ、隊長の「ケマッカ」に話を聞けばいいだろう。			ああ、隊長の「ケマッカ」に話を聞けばいいだろう。			荒野に落ちる影							
君たちは先日の……それにウクラマト様までご一緒とは……！			君たちは先日の……それにウクラマト様までご一緒とは……！			荒野に落ちる影							
自警隊のケマッカ隊長だよな？町のみんなの様子はどうだ？			自警隊のケマッカ隊長だよな？町のみんなの様子はどうだ？			荒野に落ちる影							
ええ……幸いにも、この町に直接的な被害はありません。空に浮かぶ船がやってきたときには騒然としましたが、今のところ動きもなく……。			ええ……幸いにも、この町に直接的な被害はありません。空に浮かぶ船がやってきたときには騒然としましたが、今のところ動きもなく……。			荒野に落ちる影							
しかし、いろいろな情報が錯綜してましてね……自警隊総動員で確認に当たっているのですが、まだシェシェネ青燐泉の方までは手が回っていない状況です。			しかし、いろいろな情報が錯綜してましてね……自警隊総動員で確認に当たっているのですが、まだシェシェネ青燐泉の方までは手が回っていない状況です。			荒野に落ちる影							
向こうの方には、機械仕掛けの兵士が現れたという情報もあったのですが……。			向こうの方には、機械仕掛けの兵士が現れたという情報もあったのですが……。			荒野に落ちる影							
何だって！？住民を襲ってたら大変だぞ……！			何だって！？住民を襲ってたら大変だぞ……！			荒野に落ちる影							
だとすると、ほかの集落も心配だな……俺はメワヘイゾーンを見てくる。おたくらは「シェシェネ青燐泉」へ向かってくれ。			だとすると、ほかの集落も心配だな……俺はメワヘイゾーンを見てくる。おたくらは「シェシェネ青燐泉」へ向かってくれ。			荒野に落ちる影							
私もエレンヴィルに同行するわ。またあとで落ち合いましょう！			私もエレンヴィルに同行するわ。またあとで落ち合いましょう！			荒野に落ちる影							
目に見える被害はなさそうだが……。			目に見える被害はなさそうだが……。			荒野に落ちる影							
真上で敵が監視している状況だっていうのに、慌てふためいた様子もない……さすがに荒野の連中は肝が据わってるな。			真上で敵が監視している状況だっていうのに、慌てふためいた様子もない……さすがに荒野の連中は肝が据わってるな。			荒野に落ちる影							
サカ・トラルには初めて来たけど……この土地には自治組織があるのね。			サカ・トラルには初めて来たけど……この土地には自治組織があるのね。			荒野に落ちる影							
武王自ら状況の確認に来てくださるとは……。君もありがとう、くれぐれも気をつけてな。			武王自ら状況の確認に来てくださるとは……。君もありがとう、くれぐれも気をつけてな。			荒野に落ちる影							
機械仕掛けの兵士は……。			機械仕掛けの兵士は……。			荒野に落ちる影							
よかった。今のところ見当たらねぇな。			よかった。今のところ見当たらねぇな。			荒野に落ちる影							
ひとまずは安心だが、情報の出処は確認しておかねぇとな。手分けして調べてみようぜ。			ひとまずは安心だが、情報の出処は確認しておかねぇとな。手分けして調べてみようぜ。			荒野に落ちる影							
あっ、Forenameさん！来てくれたんだね……こっちはなんとか無事だよ！			あっ、Forenameさん！来てくれたんだね……こっちはなんとか無事だよ！			荒野に落ちる影							
実は上のアレが来てから、白黒の甲冑を着込んだ不気味な連中が現れてさ。ここを包囲しようとしてきたんだ……。			実は上のアレが来てから、白黒の甲冑を着込んだ不気味な連中が現れてさ。ここを包囲しようとしてきたんだ……。			荒野に落ちる影							
でもね、すっごく強い旅人さんが助けてくれたんだ！あっという間に敵を薙ぎ払ってくれててさ。			でもね、すっごく強い旅人さんが助けてくれたんだ！あっという間に敵を薙ぎ払ってくれててさ。			荒野に落ちる影							
