オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「霜雪を踏みしめて」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「霜雪を踏みしめて」を完了する必要があります。			それは青燐の光							
教授から、さっそく次のお仕事の依頼があるそうですよ！			教授から、さっそく次のお仕事の依頼があるそうですよ！			それは青燐の光							
さて、ぼくたちはラザハン様式の再現を通じて学んだ、その特徴について、まとめていくつもりなのだが……あなたには先行して、次の文化再現の準備に着手してもらいたい。			さて、ぼくたちはラザハン様式の再現を通じて学んだ、その特徴について、まとめていくつもりなのだが……あなたには先行して、次の文化再現の準備に着手してもらいたい。			それは青燐の光							
それで……どこの文化にするんですか～？			それで……どこの文化にするんですか～？			それは青燐の光							
次は……ガレマール帝国の文化にしようと思う。			次は……ガレマール帝国の文化にしようと思う。			それは青燐の光							
ええっ、帝国ですかぁ！？それはなんていうか、ちょっとビックリですね。理想の生活と結びつかないっていうか……。			ええっ、帝国ですかぁ！？それはなんていうか、ちょっとビックリですね。理想の生活と結びつかないっていうか……。			それは青燐の光							
ガレマール帝国は、その成立以来、世界各地に侵略の手を伸ばしてきた覇権主義国家だからね。きみが戸惑うのも、わからないではない。			ガレマール帝国は、その成立以来、世界各地に侵略の手を伸ばしてきた覇権主義国家だからね。きみが戸惑うのも、わからないではない。			それは青燐の光							
だが、そんな彼らとも融和し、ともに暮らしていく時代が来るかもしれない。			だが、そんな彼らとも融和し、ともに暮らしていく時代が来るかもしれない。			それは青燐の光							
そこで、ガレアンのようにエーテル放射を不得手とする民を、シャーレアンに迎え入れたときのことを想定し、準備しておきたいんだ。			そこで、ガレアンのようにエーテル放射を不得手とする民を、シャーレアンに迎え入れたときのことを想定し、準備しておきたいんだ。			それは青燐の光							
未来に受け継ぐ最良の生活を検討するにあたって、我々シャーレアン以外のことも、しっかり視野に入れてるなんて、さすが教授ですね！			未来に受け継ぐ最良の生活を検討するにあたって、我々シャーレアン以外のことも、しっかり視野に入れてるなんて、さすが教授ですね！			それは青燐の光							
そんなわけで、あなたに調達してきていただきたいのは、文化再現に不可欠、かつガレマルドのみで産する素材だ。			そんなわけで、あなたに調達してきていただきたいのは、文化再現に不可欠、かつガレマルドのみで産する素材だ。			それは青燐の光							
極寒の地「ガレマルド」に向かい、彼の地特有の鉱石や、耐寒性に優れた果実など、「ガレマール文化の必需品」の調達をお願いしたい！			極寒の地「ガレマルド」に向かい、彼の地特有の鉱石や、耐寒性に優れた果実など、「ガレマール文化の必需品」の調達をお願いしたい！			それは青燐の光							
「ガレマール文化の必需品」は、ガレマルドの管理官舎G棟付近で採集することができます。			「ガレマール文化の必需品」は、ガレマルドの管理官舎G棟付近で採集することができます。			それは青燐の光							
「ガレマール文化の必需品」は、ガレマルドのキャンプ・ブロークングラス付近で、採集することができます。			「ガレマール文化の必需品」は、ガレマルドのキャンプ・ブロークングラス付近で、採集することができます。			それは青燐の光							
ガレマール帝国は、すでに崩壊の危機に瀕しているとも聞く。なればこそ、その文化を保存し、継承する意義は大きい。採集には危険がともなうだろうけれど、やり遂げてほしい！			ガレマール帝国は、すでに崩壊の危機に瀕しているとも聞く。なればこそ、その文化を保存し、継承する意義は大きい。採集には危険がともなうだろうけれど、やり遂げてほしい！			それは青燐の光							
文化の再現は、ヌーメノン大書院所蔵の資料や、先達の研究論文を参考にしているんですけど、実際に体験してみて、初めてわかることも多いんですよ～！			文化の再現は、ヌーメノン大書院所蔵の資料や、先達の研究論文を参考にしているんですけど、実際に体験してみて、初めてわかることも多いんですよ～！			それは青燐の光							
ありがとうございます～！極寒の地で採取してきたことを想像するだけで、感謝の念も倍増ですよ～！			ありがとうございます～！極寒の地で採取してきたことを想像するだけで、感謝の念も倍増ですよ～！			それは青燐の光							
わぁ、これはとても品質が良いですね～！これなら、荒廃する以前のガレマルドの文化を、見事に再現することができそうな気がします～！			わぁ、これはとても品質が良いですね～！これなら、荒廃する以前のガレマルドの文化を、見事に再現することができそうな気がします～！			それは青燐の光							
採集してきて頂いた鉱石は、超硬アダマン鋼を始めとする合金を作るのに欠かせません。ガレマルドの魔導技術を支える素材なんですよ！			採集してきて頂いた鉱石は、超硬アダマン鋼を始めとする合金を作るのに欠かせません。ガレマルドの魔導技術を支える素材なんですよ！			それは青燐の光							
採集してきて頂いた果実は、耐寒性に優れた作物です。温暖な地域とは採れる食材も異なりますから、特有の食文化が花開いたんですね！			採集してきて頂いた果実は、耐寒性に優れた作物です。温暖な地域とは採れる食材も異なりますから、特有の食文化が花開いたんですね！			それは青燐の光							
納品した素材を用いて、文化の再現が行われた！			納品した素材を用いて、文化の再現が行われた！			それは青燐の光							
本格的な防寒着に、魔導技術を使った暖房設備……最高に暖かいですね～！これはシャーレアンでも重宝されますよ！			本格的な防寒着に、魔導技術を使った暖房設備……最高に暖かいですね～！これはシャーレアンでも重宝されますよ！			それは青燐の光							
ああ、でもこの暖房は研究のため、大学に特別に用意してもらったものでね。残念だけど、今はここだけの使用に留めてほしい。			ああ、でもこの暖房は研究のため、大学に特別に用意してもらったものでね。残念だけど、今はここだけの使用に留めてほしい。			それは青燐の光							
わかりました！……でも、さすがに屋内だと蒸れますね。			わかりました！……でも、さすがに屋内だと蒸れますね。			それは青燐の光							
では、魔導機器を用いて調理した、アツアツのガレアン料理は要らなかったかな？			では、魔導機器を用いて調理した、アツアツのガレアン料理は要らなかったかな？			それは青燐の光							
いえ、食べます！いただきます！			いえ、食べます！いただきます！			それは青燐の光							
魔導技術の中核を成す青燐機関……。自然現象を応用した風力や水力と違い、青燐水の備蓄さえあれば、いつ、どんな場所でも、安定してエネルギーを供給できる。			魔導技術の中核を成す青燐機関……。自然現象を応用した風力や水力と違い、青燐水の備蓄さえあれば、いつ、どんな場所でも、安定してエネルギーを供給できる。			それは青燐の光							
これを動力源とした機械は、手引書に従えば、子どもにだって扱うことができる。			これを動力源とした機械は、手引書に従えば、子どもにだって扱うことができる。			それは青燐の光							
大量生産による機械技術の普及により、生産力は向上を続け、浮いた時間と労力を、さらなる発明に向けて投入……。かくして帝国は、技術力を急速に高めたに違いない。			大量生産による機械技術の普及により、生産力は向上を続け、浮いた時間と労力を、さらなる発明に向けて投入……。かくして帝国は、技術力を急速に高めたに違いない。			それは青燐の光							
ただし、青燐水の枯渇も視野に入れておく必要がある。代替エネルギーを模索し、併用していくことも研究するべきだろう。			ただし、青燐水の枯渇も視野に入れておく必要がある。代替エネルギーを模索し、併用していくことも研究するべきだろう。			それは青燐の光							
そもそも、星のエネルギーを人類だけが独占し、使い切るわけにはいかない。環境に優しく、持続可能な生活をしなければね。			そもそも、星のエネルギーを人類だけが独占し、使い切るわけにはいかない。環境に優しく、持続可能な生活をしなければね。			それは青燐の光							
いや～、それにしても美味しそうです～！ラザハン文化の再現をした時にも思ったんですが、教授って、料理お上手なんですね！			いや～、それにしても美味しそうです～！ラザハン文化の再現をした時にも思ったんですが、教授って、料理お上手なんですね！			それは青燐の光							
いやぁ、レシピの通りに再現してみただけだよ。でも、そんなに喜んでもらえるなら、悪い気はしないな。			いやぁ、レシピの通りに再現してみただけだよ。でも、そんなに喜んでもらえるなら、悪い気はしないな。			それは青燐の光							
まだまだ試してみたい料理はたくさんあるし、きみさえ良ければ、これからは毎日ぼくが作ろう。			まだまだ試してみたい料理はたくさんあるし、きみさえ良ければ、これからは毎日ぼくが作ろう。			それは青燐の光							
ふぉ、ふぉおお。是非お願いしますー！			ふぉ、ふぉおお。是非お願いしますー！			それは青燐の光							
な、なんだか、教授との距離が、一気に近づいたような気がします……。			な、なんだか、教授との距離が、一気に近づいたような気がします……。			それは青燐の光							
この調子で接近を続けていけば、タンキン教授の研究が完遂する頃には……妄想が止まりません！冒険者さん、引き続き研究への協力をお願いしますよ～！			この調子で接近を続けていけば、タンキン教授の研究が完遂する頃には……妄想が止まりません！冒険者さん、引き続き研究への協力をお願いしますよ～！			それは青燐の光							
文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の応援者」と感じているようです！			文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の応援者」と感じているようです！			それは青燐の光							
「採掘師／園芸師」のいずれかがレベル85以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			「採掘師／園芸師」のいずれかがレベル85以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			それは青燐の光							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			それは青燐の光							
工匠殿のジュードは、引き続き依頼をしたいようだ。			工匠殿のジュードは、引き続き依頼をしたいようだ。			吟じます							
ジュードから部品の製作を依頼された。「エーテル観測部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			ジュードから部品の製作を依頼された。「エーテル観測部材」を6個製作し、工匠殿の「ジュード」へ納品しよう。※納品は、収集価値「140」以上で可能となりますが、「290」以上で納品した場合、より多くの報酬が得られます。			吟じます							
ジュードに「エーテル観測部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			ジュードに「エーテル観測部材」を納品した。星見鏡完成へと向けて、準備が整い次第ふたたびジュードに声をかけよう。			吟じます							
ジュードにエーテル観測部材を納品			ジュードにエーテル観測部材を納品			吟じます							
Surnameさん、お待ちしていました。			Surnameさん、お待ちしていました。			吟じます							
そろそろ次の依頼をさせていただきたいのですが、準備はよろしいですか……？			そろそろ次の依頼をさせていただきたいのですが、準備はよろしいですか……？			吟じます							
ありがとうございます。			ありがとうございます。			吟じます							
今回、お願いしたいのは、星見鏡にとって心臓部とも呼べる重要な部品です。			今回、お願いしたいのは、星見鏡にとって心臓部とも呼べる重要な部品です。			吟じます							
通常の望遠鏡が捉えるのは光ですが、星見鏡は遠方のエーテルのゆらめきを魔法的に感知するんです。			通常の望遠鏡が捉えるのは光ですが、星見鏡は遠方のエーテルのゆらめきを魔法的に感知するんです。			吟じます							
その役割を担う「エーテル観測部材」は、観測精度に直結しますから、正確な仕上げが欠かせません。どうか、よろしくお願いします……！			その役割を担う「エーテル観測部材」は、観測精度に直結しますから、正確な仕上げが欠かせません。どうか、よろしくお願いします……！			吟じます							
「エーテル観測部材」を製作していただけますか？遠くにあるエーテルのゆらめきを感知する、重要な部品です。			「エーテル観測部材」を製作していただけますか？遠くにあるエーテルのゆらめきを感知する、重要な部品です。			吟じます							
ご協力ありがとうございます。星見鏡の完成が一歩近づきました。			ご協力ありがとうございます。星見鏡の完成が一歩近づきました。			吟じます							
おお、これは……ひとめ見ただけでも、精巧に作られているのがわかります……。これなら、どんなに離れたエーテルのゆらめきでも感知できますよ。			おお、これは……ひとめ見ただけでも、精巧に作られているのがわかります……。これなら、どんなに離れたエーテルのゆらめきでも感知できますよ。			吟じます							
今回も、ご協力いただきありがとうございます。まだ先は長いですが、引き続き……			今回も、ご協力いただきありがとうございます。まだ先は長いですが、引き続き……			吟じます							
なあ、ジュード。いつもいつもこんな場所に閉じこもっていたら、息が詰まるだろ。外に出たら、もっとイケてることがたくさんあるってのによ。			なあ、ジュード。いつもいつもこんな場所に閉じこもっていたら、息が詰まるだろ。外に出たら、もっとイケてることがたくさんあるってのによ。			吟じます							
イケてることって……たとえば……？			イケてることって……たとえば……？			吟じます							
そうだな……朝はラストスタンドに行って、コーヒーを飲むんだ。その後はパフィン広場で、みんなで詩を詠み聞かせあいながら、互いのことを深く知るのさ。			そうだな……朝はラストスタンドに行って、コーヒーを飲むんだ。その後はパフィン広場で、みんなで詩を詠み聞かせあいながら、互いのことを深く知るのさ。			吟じます							
僕、詩なんて書いたことないよ……。			僕、詩なんて書いたことないよ……。			吟じます							
イケてる人間になるためのチャレンジだと思って、ひとつ詠んでみろよ、ジュード。自分の心を、詩で表現するのさ……！			イケてる人間になるためのチャレンジだと思って、ひとつ詠んでみろよ、ジュード。自分の心を、詩で表現するのさ……！			吟じます							
……それで君に近づくことができるなら……。			……それで君に近づくことができるなら……。			吟じます							
深淵の闇に包まれし魂……悲痛な叫びは血の雨となって降り注ぐ……我が心に巣食う猛毒よ、この世界を無に還せ……！			深淵の闇に包まれし魂……悲痛な叫びは血の雨となって降り注ぐ……我が心に巣食う猛毒よ、この世界を無に還せ……！			吟じます							
あー、うん。やっぱり、初対面の他人にジュードのことを知ってもらうなら、詩はよしておいたほうが良さそうだな……。			あー、うん。やっぱり、初対面の他人にジュードのことを知ってもらうなら、詩はよしておいたほうが良さそうだな……。			吟じます							
ともかく、だ。詩吟同好会って集まりは、こんな感じで、毎日イケてる日々を送ってるわけだ。			ともかく、だ。詩吟同好会って集まりは、こんな感じで、毎日イケてる日々を送ってるわけだ。			吟じます							
お前の頭脳があれば、学部の移籍も問題ないだろう。次に来るときまでには、ちゃんと文法学部への移籍と、詩吟同好会への加入を考えておいてくれよな！			お前の頭脳があれば、学部の移籍も問題ないだろう。次に来るときまでには、ちゃんと文法学部への移籍と、詩吟同好会への加入を考えておいてくれよな！			吟じます							
彼が気を遣ってくれているのは、よくわかります。でも、「蒼の星」を見つけるという夢を、諦めることなんて……。			彼が気を遣ってくれているのは、よくわかります。でも、「蒼の星」を見つけるという夢を、諦めることなんて……。			吟じます							
何と言う？			何と言う？			吟じます							
諦めるな			諦めるな			吟じます							
お前の覚悟はそんなものか？			お前の覚悟はそんなものか？			吟じます							
うじうじするな！！！			うじうじするな！！！			吟じます							
……そう、ですね……。僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！			……そう、ですね……。僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！			吟じます							
気弱な僕をいつも引っ張ってくれて、ありがとうございます、Surnameさん……！			気弱な僕をいつも引っ張ってくれて、ありがとうございます、Surnameさん……！			吟じます							
ひぃぃぃ～！怒鳴らないでください～！！			ひぃぃぃ～！怒鳴らないでください～！！			吟じます							
って、僕、そんなにうじうじしてましたっけ……？もしやこれは、Surnameさんなりの、激励ということですね……？			って、僕、そんなにうじうじしてましたっけ……？もしやこれは、Surnameさんなりの、激励ということですね……？			吟じます							
僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！だから、素直に自分の気持ちに従います……！			僕には、叶えたい夢がある……。そのために魔法大学に……古典天文学研究会に入ったんだ……！だから、素直に自分の気持ちに従います……！			吟じます							
それにしても、なぜジェロメールは、ああまでして僕を天文学部から遠ざけたいのか……。彼だって、星が大好きだったはずなのに……。			それにしても、なぜジェロメールは、ああまでして僕を天文学部から遠ざけたいのか……。彼だって、星が大好きだったはずなのに……。			吟じます							
ともかく……Surnameさん、今回もご協力いただきありがとうございます。引き続き、よろしくお願いします……！			ともかく……Surnameさん、今回もご協力いただきありがとうございます。引き続き、よろしくお願いします……！			吟じます							
よし、今回もSurnameさんのおかげで、僕の心が「プリン並み」の柔らかハートから、「チョコボ並み」の繊細ハートに成長した気がするぞ……。			よし、今回もSurnameさんのおかげで、僕の心が「プリン並み」の柔らかハートから、「チョコボ並み」の繊細ハートに成長した気がするぞ……。			吟じます							
天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「突然距離感を縮めたりしてこない人」と感じているようです！			天文学部の貢献ランクが上昇しました！ジュードはあなたの事を、「突然距離感を縮めたりしてこない人」と感じているようです！			吟じます							
次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル85以上になると、工匠殿の「ジュード」から受注可能です。			次のクエストは「木工師／革細工師／裁縫師」の、いずれかがレベル85以上になると、工匠殿の「ジュード」から受注可能です。			吟じます							
光を帯びた犬は、周囲を強く警戒している。			光を帯びた犬は、周囲を強く警戒している。			星を救った英雄							
光を帯びた犬に目的を告げたところ、背に乗るように促された。嘆きの海の霊土の剣付近にいる「光を帯びた犬」に話しかけ、最後の剣まで移動しよう。			光を帯びた犬に目的を告げたところ、背に乗るように促された。嘆きの海の霊土の剣付近にいる「光を帯びた犬」に話しかけ、最後の剣まで移動しよう。			星を救った英雄							
最後の剣に到達したが、わずかな差で封印を破られてしまった。星を救うために創られたゾディアークに、世界を破壊させるわけにはいかない。最古にして最強の蛮神「ゾディアーク」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			最後の剣に到達したが、わずかな差で封印を破られてしまった。星を救うために創られたゾディアークに、世界を破壊させるわけにはいかない。最古にして最強の蛮神「ゾディアーク」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			星を救った英雄							
ゾディアークを討伐した。嘆きの海に退避しよう。			ゾディアークを討伐した。嘆きの海に退避しよう。			星を救った英雄							
ゾディアークは再封印されることなく消滅した。嘆きの海 南にいる「月の監視者」と話そう。			ゾディアークは再封印されることなく消滅した。嘆きの海 南にいる「月の監視者」と話そう。			星を救った英雄							
月の監視者は、ゼノスが月から去ったことを感じ取ったらしい。ゾディアークの消滅によって再来するという、いにしえの終末……。青き星は、どのような運命をたどるのだろうか。			月の監視者は、ゼノスが月から去ったことを感じ取ったらしい。ゾディアークの消滅によって再来するという、いにしえの終末……。青き星は、どのような運命をたどるのだろうか。			星を救った英雄							
光を帯びた犬と話す			光を帯びた犬と話す			星を救った英雄							
「ゾディアーク」を討伐			「ゾディアーク」を討伐			星を救った英雄							
月の監視者と話す			月の監視者と話す			星を救った英雄							
光を帯びた犬は、今にも唸り出しそうなほど、険しい顔をしている……。			光を帯びた犬は、今にも唸り出しそうなほど、険しい顔をしている……。			星を救った英雄							
何と言う？			何と言う？			星を救った英雄							
とにかく最後の「剣」を護ろう！			とにかく最後の「剣」を護ろう！			星を救った英雄							
自分はゼノスたちのところに行く……！			自分はゼノスたちのところに行く……！			星を救った英雄							
……犬は、鼻先で自分の背を示した。「乗れ」と言っているようだ！			……犬は、鼻先で自分の背を示した。「乗れ」と言っているようだ！			星を救った英雄							
光を帯びた犬に乗って移動しますか？			光を帯びた犬に乗って移動しますか？			星を救った英雄							
犬は力強く、宙を駆けあがる……！			犬は力強く、宙を駆けあがる……！			星を救った英雄							
「月の底」へ移動しますか？			「月の底」へ移動しますか？			星を救った英雄							
……あの若者の気配が消えた。この月から去ったようだ。			……あの若者の気配が消えた。この月から去ったようだ。			星を救った英雄							
貴殿があえて彼を追わないのであれば、私から、改めて話をさせてほしい。			貴殿があえて彼を追わないのであれば、私から、改めて話をさせてほしい。			星を救った英雄							
ゾディアークのこと……いにしえの終末のこと……私の知り得るすべてを託そう。あの青き星の、未来のために……。			ゾディアークのこと……いにしえの終末のこと……私の知り得るすべてを託そう。あの青き星の、未来のために……。			星を救った英雄							
月の監視者は、冒険者に告げたいことがあるようだ。			月の監視者は、冒険者に告げたいことがあるようだ。			泡沫は嘆きて							
気疎なげに囁く幻影と話す			気疎なげに囁く幻影と話す			泡沫は嘆きて							
朧げに囁く幻影と話す			朧げに囁く幻影と話す			泡沫は嘆きて							
寂しげに囁く幻影と話す			寂しげに囁く幻影と話す			泡沫は嘆きて							
物憂げに囁く幻影と話す			物憂げに囁く幻影と話す			泡沫は嘆きて							
光を帯びた犬と話し、先導に従って移動			光を帯びた犬と話し、先導に従って移動			泡沫は嘆きて							
儚げに囁く幻影と話す			儚げに囁く幻影と話す			泡沫は嘆きて							
儚げに囁く幻影と再度話す			儚げに囁く幻影と再度話す			泡沫は嘆きて							
光を帯びた犬と話し、先導に従って移動			光を帯びた犬と話し、先導に従って移動			泡沫は嘆きて							
想いを囁く幻影と話す			想いを囁く幻影と話す			泡沫は嘆きて							
私たちを揺り起こすのは……誰……？			私たちを揺り起こすのは……誰……？			泡沫は嘆きて							
月面に浮かび上がった、贄の幻影たち……。封印の「剣」を修復するため彼らを排除してほしいと言ったが、なにも戦う必要はない。			月面に浮かび上がった、贄の幻影たち……。封印の「剣」を修復するため彼らを排除してほしいと言ったが、なにも戦う必要はない。			泡沫は嘆きて							
多くの幻影は、ただ触れれば霧散するような、淡く不確かな存在だ。			多くの幻影は、ただ触れれば霧散するような、淡く不確かな存在だ。			泡沫は嘆きて							
しかし、先ほど貴殿が遭遇したように、彼らの想いが形を成して襲い掛かってくることもある……。それだけは、注意してほしい。			しかし、先ほど貴殿が遭遇したように、彼らの想いが形を成して襲い掛かってくることもある……。それだけは、注意してほしい。			泡沫は嘆きて							
では、私は「剣」の修復を続行しよう。まだ距離はあるが、貴殿以外の、招かれざる訪問者たちが、着実にこの区画へ近づいてきているのを感じるのでね……。			では、私は「剣」の修復を続行しよう。まだ距離はあるが、貴殿以外の、招かれざる訪問者たちが、着実にこの区画へ近づいてきているのを感じるのでね……。			泡沫は嘆きて							
封印の「剣」は、霊水、霊氷、霊土、霊火、霊雷、霊風の6つ。そのうち今残っているのは、霊雷と霊風の2つのみだ。			封印の「剣」は、霊水、霊氷、霊土、霊火、霊雷、霊風の6つ。そのうち今残っているのは、霊雷と霊風の2つのみだ。			泡沫は嘆きて							
それらを招かれざる訪問者たちが壊すまでに、どうにか「剣」の修復を終えて、堅牢な再封印を施さなければならない。			それらを招かれざる訪問者たちが壊すまでに、どうにか「剣」の修復を終えて、堅牢な再封印を施さなければならない。			泡沫は嘆きて							
そのためには、修復を妨げている、ゾディアークの贄の幻影たちを掃わなければ。貴殿にはその協力を頼みたいのだ。			そのためには、修復を妨げている、ゾディアークの贄の幻影たちを掃わなければ。貴殿にはその協力を頼みたいのだ。			泡沫は嘆きて							
ついに……目覚めのときなのか……？			ついに……目覚めのときなのか……？			泡沫は嘆きて							
私は……そう、私たちは……。			私は……そう、私たちは……。			泡沫は嘆きて							
懐かしい、あの日々の何もかもが……。			懐かしい、あの日々の何もかもが……。			泡沫は嘆きて							
今はいつかしら……。長く……長く……眠っていた気がする……。			今はいつかしら……。長く……長く……眠っていた気がする……。			泡沫は嘆きて							
そう……時は流れた……。すべては、むかしむかしのことだ……。			そう……時は流れた……。すべては、むかしむかしのことだ……。			泡沫は嘆きて							
あのころの私たちは、星と調和していた……。			あのころの私たちは、星と調和していた……。			泡沫は嘆きて							
自然を紐解いては、新たな種を創り出し……在るべきものを丹念に選んで……大いに栄えさせた……。			自然を紐解いては、新たな種を創り出し……在るべきものを丹念に選んで……大いに栄えさせた……。			泡沫は嘆きて							
ああ……そうだ……。あのころ、我々はまさに星の意志であり、細胞だった……。			ああ……そうだ……。あのころ、我々はまさに星の意志であり、細胞だった……。			泡沫は嘆きて							
この命こそが星に流るる血の一滴……己が身のごとく……星を育め……。			この命こそが星に流るる血の一滴……己が身のごとく……星を育め……。			泡沫は嘆きて							
そのために、我々は望むだけ生きた……。学び、創り、星を善くしていった。			そのために、我々は望むだけ生きた……。学び、創り、星を善くしていった。			泡沫は嘆きて							
欠けることなく満たされていたのだ……。星も、我々も……。			欠けることなく満たされていたのだ……。星も、我々も……。			泡沫は嘆きて							
なあ、そうだろう……？			なあ、そうだろう……？			泡沫は嘆きて							
「霊水の剣」の周囲には、もう幻影がいないようだ……。この「剣」の修復が妨げられることはなくなっただろう。			「霊水の剣」の周囲には、もう幻影がいないようだ……。この「剣」の修復が妨げられることはなくなっただろう。			泡沫は嘆きて							
光を帯びた犬が、こちらをじっと見つめている。警戒した様子はなく、なぜかとても懐かれている……。			光を帯びた犬が、こちらをじっと見つめている。警戒した様子はなく、なぜかとても懐かれている……。			泡沫は嘆きて							
犬は途中で立ち止まり、こちらを待っているようだ。……ついてこいということだろうか？			犬は途中で立ち止まり、こちらを待っているようだ。……ついてこいということだろうか？			泡沫は嘆きて							
ああ……黒い記憶が、こみあげてくる……。			ああ……黒い記憶が、こみあげてくる……。			泡沫は嘆きて							
光を帯びた犬は足を止めた。次なる「剣」のそばに佇む幻影を、静かに見つめている。			光を帯びた犬は足を止めた。次なる「剣」のそばに佇む幻影を、静かに見つめている。			泡沫は嘆きて							
光を帯びた犬は、まるで対処を促すかのように、「霊氷の剣」のそばに佇む幻影を見つめている。			光を帯びた犬は、まるで対処を促すかのように、「霊氷の剣」のそばに佇む幻影を見つめている。			泡沫は嘆きて							
そうよ……私たちも星も、満たされていた……。			そうよ……私たちも星も、満たされていた……。			泡沫は嘆きて							
なにもかも、うまくいっていたの……。悲しみなんて、知らなかった……。			なにもかも、うまくいっていたの……。悲しみなんて、知らなかった……。			泡沫は嘆きて							
なのに、あの恐るべき日がやってきたんだわ……！「終末の災厄」が……アァ……ッ！			なのに、あの恐るべき日がやってきたんだわ……！「終末の災厄」が……アァ……ッ！			泡沫は嘆きて							
幻影の苦悶が形を成し、襲い掛かってきた！！			幻影の苦悶が形を成し、襲い掛かってきた！！			泡沫は嘆きて							
あの災厄によって、私たちは、はじめて死を「押し付けられた」。			あの災厄によって、私たちは、はじめて死を「押し付けられた」。			泡沫は嘆きて							
同胞が、望みも役目も果たせずに終わっていく……。予定にない別離が、突如としてやってくる……。			同胞が、望みも役目も果たせずに終わっていく……。予定にない別離が、突如としてやってくる……。			泡沫は嘆きて							
闇のように素早く……灰のように冷たく……。			闇のように素早く……灰のように冷たく……。			泡沫は嘆きて							
あぁ……なんてこと……！これほど恐ろしく、悲しいことが、存在し得るというの……！？			あぁ……なんてこと……！これほど恐ろしく、悲しいことが、存在し得るというの……！？			泡沫は嘆きて							
「霊氷の剣」の周囲には、ほかに幻影がいないようだ……。この「剣」の修復が妨げられることはなくなっただろう。			「霊氷の剣」の周囲には、ほかに幻影がいないようだ……。この「剣」の修復が妨げられることはなくなっただろう。			泡沫は嘆きて							
ああ、ゾディアークよ……。			ああ、ゾディアークよ……。			泡沫は嘆きて							
光を帯びた犬は、再びこちらを見つめている……。また「先導」してくれるようだ。離れすぎてしまわないよう、後を追いかけよう。			光を帯びた犬は、再びこちらを見つめている……。また「先導」してくれるようだ。離れすぎてしまわないよう、後を追いかけよう。			泡沫は嘆きて							
光を帯びた犬は足を止めた。次なる「剣」のそばに佇む幻影を、静かに見つめている。			光を帯びた犬は足を止めた。次なる「剣」のそばに佇む幻影を、静かに見つめている。			泡沫は嘆きて							
光を帯びた犬は、一度こちらに目を遣ったあと、「霊土の剣」に視線を戻した。あちらに行けということだろうか……。			光を帯びた犬は、一度こちらに目を遣ったあと、「霊土の剣」に視線を戻した。あちらに行けということだろうか……。			泡沫は嘆きて							
テルティウム駅のユルスは、任務開始の準備が整うのを待っている。			テルティウム駅のユルスは、任務開始の準備が整うのを待っている。			あたたかな日々は遠く							
アリゼーと話す			アリゼーと話す			あたたかな日々は遠く							
フォルム・ソリウスで青燐水を探す			フォルム・ソリウスで青燐水を探す			あたたかな日々は遠く							
ユルスと話す			ユルスと話す			あたたかな日々は遠く							
探索地点を調べて青燐水を探す			探索地点を調べて青燐水を探す			あたたかな日々は遠く							
ユルスに循環装置の青燐水タンクを渡す			ユルスに循環装置の青燐水タンクを渡す			あたたかな日々は遠く							
どんな形であれ、凍えている彼らを助けられる可能性があるなら、力を尽くそうと思う。			どんな形であれ、凍えている彼らを助けられる可能性があるなら、力を尽くそうと思う。			あたたかな日々は遠く							
私も、青燐水を探しに行けるならよかったわ。あの人たちに、ただ「がんばれ」って言うなんて、できっこないもの……。			私も、青燐水を探しに行けるならよかったわ。あの人たちに、ただ「がんばれ」って言うなんて、できっこないもの……。			あたたかな日々は遠く							
……よさそうだな。ではこれより、帝都の中心地「ウルバニッシマ区」に赴き、青燐水を収集する任務を開始する。			……よさそうだな。ではこれより、帝都の中心地「ウルバニッシマ区」に赴き、青燐水を収集する任務を開始する。			あたたかな日々は遠く							
最初の探索場所は、テルティウム駅の北西にある公園、「フォルム・ソリウス」だ。			最初の探索場所は、テルティウム駅の北西にある公園、「フォルム・ソリウス」だ。			あたたかな日々は遠く							
