トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
まずはショブリト灰戦場を越えよう。ウクラマトがバクージャジャと戦ったという場所だ。分かれ道が多いから、迷わないように気をつけてくれ。			まずはショブリト灰戦場を越えよう。ウクラマトがバクージャジャと戦ったという場所だ。分かれ道が多いから、迷わないように気をつけてくれ。			ティーンベク洞道を抜けて							
本当に、大きくなったものだ……。			本当に、大きくなったものだ……。			ティーンベク洞道を抜けて							
イクブラーシャを出るときに、たっぷりシャブルク・ピビルを買いこんだのによ……気づいたら、あとひとつしか残ってねぇ！！			イクブラーシャを出るときに、たっぷりシャブルク・ピビルを買いこんだのによ……気づいたら、あとひとつしか残ってねぇ！！			ティーンベク洞道を抜けて							
ゾラージャ王子やコーナ王子は、すでにマムークへ向かったのかしら……。			ゾラージャ王子やコーナ王子は、すでにマムークへ向かったのかしら……。			ティーンベク洞道を抜けて							
ここでバクージャジャから秘石を取り戻したあと、彼はティーンベク洞道の方へ走り去ったと聞いた。やはりマムークへ向かおうとしたのだろうか……？			ここでバクージャジャから秘石を取り戻したあと、彼はティーンベク洞道の方へ走り去ったと聞いた。やはりマムークへ向かおうとしたのだろうか……？			ティーンベク洞道を抜けて							
ふたつの部族を相手取って戦いを終わらせるなんて、本当すごい人よね、連王って。			ふたつの部族を相手取って戦いを終わらせるなんて、本当すごい人よね、連王って。			ティーンベク洞道を抜けて							
ジャティーカ央森へと続くティーンベク洞道は、この道を進んだ先だ。			ジャティーカ央森へと続くティーンベク洞道は、この道を進んだ先だ。			ティーンベク洞道を抜けて							
さあ、行くぞ。			さあ、行くぞ。			ティーンベク洞道を抜けて							
この先、大きく道が曲がっているから気をつけてね。私も注意しながら進むわ。			この先、大きく道が曲がっているから気をつけてね。私も注意しながら進むわ。			ティーンベク洞道を抜けて							
坂道に負けないように力を入れて踏ん張ろうとすると、足がぷるぷるするの……。			坂道に負けないように力を入れて踏ん張ろうとすると、足がぷるぷるするの……。			ティーンベク洞道を抜けて							
途中、復旧作業にあたっていた人とすれ違ったのだが……彼によると、少し前に突然バクージャジャがやってきて、最後に残っていた倒木を、ひと蹴りで粉砕して行ったという。			途中、復旧作業にあたっていた人とすれ違ったのだが……彼によると、少し前に突然バクージャジャがやってきて、最後に残っていた倒木を、ひと蹴りで粉砕して行ったという。			ティーンベク洞道を抜けて							
やはり、双頭の力は侮れない。そんな相手にたったひとりで勝利したウクラマトは、見事というほかないよ。			やはり、双頭の力は侮れない。そんな相手にたったひとりで勝利したウクラマトは、見事というほかないよ。			ティーンベク洞道を抜けて							
バクージャジャはティーンベク洞道を通って、ジャティーカ央森へと向かったようだ。念のため、気をつけながら進んでくれ。			バクージャジャはティーンベク洞道を通って、ジャティーカ央森へと向かったようだ。念のため、気をつけながら進んでくれ。			ティーンベク洞道を抜けて							
「友の試練」の舞台がマムークだとすれば、先行したバクージャジャと再び争うことが予想される。今のウクラマトならば、何の心配もないけれどね。			「友の試練」の舞台がマムークだとすれば、先行したバクージャジャと再び争うことが予想される。今のウクラマトならば、何の心配もないけれどね。			ティーンベク洞道を抜けて							
かつてマムージャ族が、上の森へと攻め入る際に掘ったのが、このティーンベク洞道だそうよ。大昔にこれだけの穴を掘るなんて、すごい執念よね。			かつてマムージャ族が、上の森へと攻め入る際に掘ったのが、このティーンベク洞道だそうよ。大昔にこれだけの穴を掘るなんて、すごい執念よね。			ティーンベク洞道を抜けて							
すげぇ、なんだよこの光ってる大岩は！？			すげぇ、なんだよこの光ってる大岩は！？			ティーンベク洞道を抜けて							
おたくも、この輝きを帯びた岩が気になるのか？			おたくも、この輝きを帯びた岩が気になるのか？			ティーンベク洞道を抜けて							
なら、この石を……「グリーナーの磁鉄鉱」を近づけてみるといい。			なら、この石を……「グリーナーの磁鉄鉱」を近づけてみるといい。			ティーンベク洞道を抜けて							
「グリーナーの磁鉄鉱」を、輝きを帯びた岩に近づけてみろ。この岩について知るには、そうするのが早い。			「グリーナーの磁鉄鉱」を、輝きを帯びた岩に近づけてみろ。この岩について知るには、そうするのが早い。			ティーンベク洞道を抜けて							
輝きを帯びた岩に「グリーナーの磁鉄鉱」を近づけると、強い力で引っ張られ、くっついてしまった。			輝きを帯びた岩に「グリーナーの磁鉄鉱」を近づけると、強い力で引っ張られ、くっついてしまった。			ティーンベク洞道を抜けて							
磁鉄鉱がくっついただろ。つまり、その岩には鉄が含まれてるってことだ。一説では、大昔に天から降り注いだ隕石らしい……。			磁鉄鉱がくっついただろ。つまり、その岩には鉄が含まれてるってことだ。一説では、大昔に天から降り注いだ隕石らしい……。			ティーンベク洞道を抜けて							
しかも、この隕石は、今なお異質なエーテルを放射してるらしくてな。周辺の植物が、青く発光する原因になってるそうだ。			しかも、この隕石は、今なお異質なエーテルを放射してるらしくてな。周辺の植物が、青く発光する原因になってるそうだ。			ティーンベク洞道を抜けて							
これが隕石……こんなもんが天から落ちてくるなんて、おっかねぇぜ……。			これが隕石……こんなもんが天から落ちてくるなんて、おっかねぇぜ……。			ティーンベク洞道を抜けて							
お、追いついてきたか。			お、追いついてきたか。			ティーンベク洞道を抜けて							
この色……！まさしく「青の森(ヤクテル)」だわ！			この色……！まさしく「青の森(ヤクテル)」だわ！			ティーンベク洞道を抜けて							
イクブラーシャがあった上の森とは、趣がまったく異なるね。			イクブラーシャがあった上の森とは、趣がまったく異なるね。			ティーンベク洞道を抜けて							
南に見えるのが「マムーク」みてぇだな。あそこに行けば、もっとこの森を知ることができるはずだ。ここまでの旅で、そうしてきたようにさ！			南に見えるのが「マムーク」みてぇだな。あそこに行けば、もっとこの森を知ることができるはずだ。ここまでの旅で、そうしてきたようにさ！			ティーンベク洞道を抜けて							
よっしゃ、行こうぜ！最後の試練を超えて、黄金郷を見つけるんだ！			よっしゃ、行こうぜ！最後の試練を超えて、黄金郷を見つけるんだ！			ティーンベク洞道を抜けて							
友好的なマムージャ族は、ほとんどがトライヨラへ居を移したというが……。			友好的なマムージャ族は、ほとんどがトライヨラへ居を移したというが……。			ティーンベク洞道を抜けて							
なんだか、静かな街ね……。			なんだか、静かな街ね……。			ティーンベク洞道を抜けて							
ここで、最後の秘石を得るための試練が待っているのね。			ここで、最後の秘石を得るための試練が待っているのね。			ティーンベク洞道を抜けて							
よし、さっそく連王の選者を探すか！			よし、さっそく連王の選者を探すか！			ティーンベク洞道を抜けて							
俺も実際に来るのは初めてだが、ここがマムークで間違いない。			俺も実際に来るのは初めてだが、ここがマムークで間違いない。			ティーンベク洞道を抜けて							
フンムルクの話もある。あまり騒ぎ立てない方がいいだろう。			フンムルクの話もある。あまり騒ぎ立てない方がいいだろう。			ティーンベク洞道を抜けて							
ショブリト灰戦場のコーナは、バナナの葉の入手方法について考えているようだ。			ショブリト灰戦場のコーナは、バナナの葉の入手方法について考えているようだ。			食の試練							
ウケブと話す			ウケブと話す			食の試練							
コーナと話す			コーナと話す			食の試練							
指定地点で待機			指定地点で待機			食の試練							
ウクラマトと話す			ウクラマトと話す			食の試練							
ウクラマト王女のお役に立てたなら何より。			ウクラマト王女のお役に立てたなら何より。			食の試練							
ウケブのおかげで、この森で起こった戦いの歴史がわかったぜ。			ウケブのおかげで、この森で起こった戦いの歴史がわかったぜ。			食の試練							
思い返せば、「葦の試練」で神輿を直そうとしなかったら、ウケブと出会うこともなかったかもしれないんだもんな。巡り合わせってのは、不思議なもんだ。			思い返せば、「葦の試練」で神輿を直そうとしなかったら、ウケブと出会うこともなかったかもしれないんだもんな。巡り合わせってのは、不思議なもんだ。			食の試練							
シャブルク・ピビルがどういう経緯で生まれたのか、ウケブ殿のおかげで知ることができました。			シャブルク・ピビルがどういう経緯で生まれたのか、ウケブ殿のおかげで知ることができました。			食の試練							
しかし、肝心のバナナの葉の入手方法について、手がかりとなる情報は得られませんでしたね……。			しかし、肝心のバナナの葉の入手方法について、手がかりとなる情報は得られませんでしたね……。			食の試練							
もしかして、このショブリト灰戦場に、当時の和平会談の痕跡などが残っていたりするのでは？			もしかして、このショブリト灰戦場に、当時の和平会談の痕跡などが残っていたりするのでは？			食の試練							
ええ、おっしゃるとおりです。ご案内しましょう。			ええ、おっしゃるとおりです。ご案内しましょう。			食の試練							
僕の考えが正しければ、この辺りにあるはずなんです。			僕の考えが正しければ、この辺りにあるはずなんです。			食の試練							
コーナ兄さん、何をするつもりなんだ？			コーナ兄さん、何をするつもりなんだ？			食の試練							
こちらが、コーナ王子がお探しの物です。			こちらが、コーナ王子がお探しの物です。			食の試練							
この二振りの武器は、和平会談に際して両部族の代表が停戦の意思を示すため、突き刺したものだと伝えられています。			この二振りの武器は、和平会談に際して両部族の代表が停戦の意思を示すため、突き刺したものだと伝えられています。			食の試練							
シャブルク・ピビルの誕生秘話を「知る」上で、この灰戦場は要となる場所でしょう。だからこそ、試練を超えるための手がかりがあるかもしれない。			シャブルク・ピビルの誕生秘話を「知る」上で、この灰戦場は要となる場所でしょう。だからこそ、試練を超えるための手がかりがあるかもしれない。			食の試練							
ほかの試練のときのように、「実際に訪れた者にしかわからない」何かがね。			ほかの試練のときのように、「実際に訪れた者にしかわからない」何かがね。			食の試練							
ラマチ、それとForenameさん……手を貸していただけますか？周囲に何か気になる点がないか、見回ってみましょう。			ラマチ、それとForenameさん……手を貸していただけますか？周囲に何か気になる点がないか、見回ってみましょう。			食の試練							
よしきた！			よしきた！			食の試練							
やはり……地面に掘り返されたような跡がある。			やはり……地面に掘り返されたような跡がある。			食の試練							
お、なんか小箱が埋まってるぜ！			お、なんか小箱が埋まってるぜ！			食の試練							
箱の中に、真新しいバナナの葉が入っていますね。入手方法の手がかりでも残されていればと思っていましたが、まさか、現物が入っているとは……。			箱の中に、真新しいバナナの葉が入っていますね。入手方法の手がかりでも残されていればと思っていましたが、まさか、現物が入っているとは……。			食の試練							
我々がここに来ることを見越して、フンムルク殿が仕込んだのでしょう。			我々がここに来ることを見越して、フンムルク殿が仕込んだのでしょう。			食の試練							
へっ、手の込んだことをしやがるぜ……！			へっ、手の込んだことをしやがるぜ……！			食の試練							
ウケブ、ありがとよ。バナナの葉を見つけることができたのは、お前のおかげだ。			ウケブ、ありがとよ。バナナの葉を見つけることができたのは、お前のおかげだ。			食の試練							
それは何よりです。			それは何よりです。			食の試練							
コーナ王子の前で申し上げるのは恐縮ですが、私はハヌハヌ族の「葦の試練」を見届けて、確信したのです。あなたこそ、我らを率いていくに相応しい王の器であると。			コーナ王子の前で申し上げるのは恐縮ですが、私はハヌハヌ族の「葦の試練」を見届けて、確信したのです。あなたこそ、我らを率いていくに相応しい王の器であると。			食の試練							
あの折、継承候補者の皆々は一様に葦の不作を解決してみせた。しかし、試練とは無関係なハヌハヌ族の文化的な問題を見抜き、イヒーハナ祭を復活させたのは、あなただけだ。			あの折、継承候補者の皆々は一様に葦の不作を解決してみせた。しかし、試練とは無関係なハヌハヌ族の文化的な問題を見抜き、イヒーハナ祭を復活させたのは、あなただけだ。			食の試練							
ウクラマト王女ほど、この国に生きる者のことを心から考え、過去より継がれてきた想いに寄り添える御方はおられません。			ウクラマト王女ほど、この国に生きる者のことを心から考え、過去より継がれてきた想いに寄り添える御方はおられません。			食の試練							
また語り部が必要なときはお声がけください。船大工という本業の傍ら、あなたの力となりましょう。			また語り部が必要なときはお声がけください。船大工という本業の傍ら、あなたの力となりましょう。			食の試練							
では、失礼。			では、失礼。			食の試練							
そんなこと……			そんなこと……			食の試練							
ともかく、これでバナナの葉が手に入りました。イクブラーシャに戻りましょう。			ともかく、これでバナナの葉が手に入りました。イクブラーシャに戻りましょう。			食の試練							
ウケブの奴、船大工と語り部、どっちが本業なのかわかったもんじゃねぇな。			ウケブの奴、船大工と語り部、どっちが本業なのかわかったもんじゃねぇな。			食の試練							
僕たちが任された仕事は、無事完了ですね。ほかの皆さんが戻ってくるまで、ここで待ちましょう。			僕たちが任された仕事は、無事完了ですね。ほかの皆さんが戻ってくるまで、ここで待ちましょう。			食の試練							
あぁ～……歩き回ってもう腹ぺこだぜ！			あぁ～……歩き回ってもう腹ぺこだぜ！			食の試練							
これで全員そろいましたね。さっそく、状況を確認しましょう。			これで全員そろいましたね。さっそく、状況を確認しましょう。			食の試練							
こっちはバナナの葉を手に入れたぜ！ウケブのおかげでな！			こっちはバナナの葉を手に入れたぜ！ウケブのおかげでな！			食の試練							
ウケブさんと会ったの？私も挨拶したかったわ。			ウケブさんと会ったの？私も挨拶したかったわ。			食の試練							
ああ、あいつが教えてくれたんだ。この森で起こった戦いの歴史と、シャブルク・ピビルが生まれたきっかけを……。			ああ、あいつが教えてくれたんだ。この森で起こった戦いの歴史と、シャブルク・ピビルが生まれたきっかけを……。			食の試練							
シュバラール族とマムージャ族の戦いを終わらせたのが、グルージャジャ殿というのは納得だが……。まさか、シャブルク・ピビルの誕生にまで関わっていたとは。			シュバラール族とマムージャ族の戦いを終わらせたのが、グルージャジャ殿というのは納得だが……。まさか、シャブルク・ピビルの誕生にまで関わっていたとは。			食の試練							
相変わらず、滅茶苦茶なオヤジだよな。それで、そっちはどうだった？			相変わらず、滅茶苦茶なオヤジだよな。それで、そっちはどうだった？			食の試練							
私は、ウリエンジェさんと集落を回って、シャブルク・ピビル作りに必要そうな調理器具を借りてきたわ。			私は、ウリエンジェさんと集落を回って、シャブルク・ピビル作りに必要そうな調理器具を借りてきたわ。			食の試練							
蒸し焼きにするための薪もそろったよ。この森は良い薪が拾えるね。			蒸し焼きにするための薪もそろったよ。この森は良い薪が拾えるね。			食の試練							
すっかり、薪拾いのエキスパートね……。			すっかり、薪拾いのエキスパートね……。			食の試練							
私はエレンヴィルと、シャブルク・ピビルのメイン食材である、イブルクを捕まえてきたわ！			私はエレンヴィルと、シャブルク・ピビルのメイン食材である、イブルクを捕まえてきたわ！			食の試練							
イブルクは、近縁種のホッグと比べてずいぶんと活きが良い。罠まで追い込む役の誰かさんが、勢い余って、セノーテに落ちるほどにな……。			イブルクは、近縁種のホッグと比べてずいぶんと活きが良い。罠まで追い込む役の誰かさんが、勢い余って、セノーテに落ちるほどにな……。			食の試練							
ちょっと、それは言わない約束だったでしょ！			ちょっと、それは言わない約束だったでしょ！			食の試練							
スパイスの方も、ひととおりそろってるぞ。要になるベニノキの種子も採ってきた。			スパイスの方も、ひととおりそろってるぞ。要になるベニノキの種子も採ってきた。			食の試練							
調合割合については、村の炊事場で調理器具を借りがてら、確認してまいりました。			調合割合については、村の炊事場で調理器具を借りがてら、確認してまいりました。			食の試練							
これで食材と調理器具は、すべて手に入ったようですね。さっそく、シャブルク・ピビルを作りたいところですが、どなたか調理経験のある方は……？			これで食材と調理器具は、すべて手に入ったようですね。さっそく、シャブルク・ピビルを作りたいところですが、どなたか調理経験のある方は……？			食の試練							
私が引き受けるわ。自分のために料理する程度のものでよければ、多少は経験があるから。			私が引き受けるわ。自分のために料理する程度のものでよければ、多少は経験があるから。			食の試練							
あなたも手伝ってくれる？調理師としての腕もたしかだって噂を、聞いたことがあるもの。			あなたも手伝ってくれる？調理師としての腕もたしかだって噂を、聞いたことがあるもの。			食の試練							
あなたも、猪を捌くのを手伝ってくれる？冒険者なら、そうした経験も豊富でしょうから。			あなたも、猪を捌くのを手伝ってくれる？冒険者なら、そうした経験も豊富でしょうから。			食の試練							
ああ、早くシャブルク・ピビルを食ってみたいぜ！			ああ、早くシャブルク・ピビルを食ってみたいぜ！			食の試練							
少し待っていて。すぐに調理を開始するわ！			少し待っていて。すぐに調理を開始するわ！			食の試練							
次の目的地へ向かう前に、マーブルさんから聞いた話について、調べておきたいわね……。			次の目的地へ向かう前に、マーブルさんから聞いた話について、調べておきたいわね……。			食の試練							
最後の試練は、いったいどんな内容なのやら……。			最後の試練は、いったいどんな内容なのやら……。			食の試練							
ここまですべての秘石を手に入れてきたうちのひとりである、ゾラージャ王子をここで負かせたことは大きいよ。			ここまですべての秘石を手に入れてきたうちのひとりである、ゾラージャ王子をここで負かせたことは大きいよ。			食の試練							
そろそろ、バクージャジャに奪われた秘石をどうにかしたいわね……。			そろそろ、バクージャジャに奪われた秘石をどうにかしたいわね……。			食の試練							
それにしても、シャブルク・ピビル……美味かったなぁ！			それにしても、シャブルク・ピビル……美味かったなぁ！			食の試練							
クルルが、残った材料でおかわりを作ってくれたから、お前の分も渡しておくぜ！			クルルが、残った材料でおかわりを作ってくれたから、お前の分も渡しておくぜ！			食の試練							
もっと欲しけりゃ、出店を覗いてみるといいんじゃねぇか？シュバラール族が日常的に食ってる料理なんだし、「食の試練」も終わった今なら、作ってもらえるだろうさ。			もっと欲しけりゃ、出店を覗いてみるといいんじゃねぇか？シュバラール族が日常的に食ってる料理なんだし、「食の試練」も終わった今なら、作ってもらえるだろうさ。			食の試練							
イクブラーシャの「よろず屋」に新たな商品が追加されました！			イクブラーシャの「よろず屋」に新たな商品が追加されました！			食の試練							
マムーク入口のウクラマトは、連王の選者を探しに行きたいようだ。			マムーク入口のウクラマトは、連王の選者を探しに行きたいようだ。			樹海の民、マムージャ族							
アルフィノと話した。ヤクテル樹海のマムークで連王の選者について聞き込みをしよう。			アルフィノと話した。ヤクテル樹海のマムークで連王の選者について聞き込みをしよう。			樹海の民、マムージャ族							
マムークの住民は、冒険者たちの話を聞く気がないようだった。マムークの「ウクラマト」と話そう。			マムークの住民は、冒険者たちの話を聞く気がないようだった。マムークの「ウクラマト」と話そう。			樹海の民、マムージャ族							
ウクラマトと話した。マムークの「ウクラマト」と再度話そう。			ウクラマトと話した。マムークの「ウクラマト」と再度話そう。			樹海の民、マムージャ族							
友の試練の内容は、グルージャジャの幻影を倒して双頭を超える存在だと証明することだった。連王の選者であるゼレージャに対し、ウクラマトは試練を受けるのはマムークで知るべきことを知ったあとだと言い放つ。モシュク・レルーヌク演舞台の「アルフィノ」と話そう。			友の試練の内容は、グルージャジャの幻影を倒して双頭を超える存在だと証明することだった。連王の選者であるゼレージャに対し、ウクラマトは試練を受けるのはマムークで知るべきことを知ったあとだと言い放つ。モシュク・レルーヌク演舞台の「アルフィノ」と話そう。			樹海の民、マムージャ族							
アルフィノと話した。モシュク・レルーヌク演舞台西の「フビゴ族の女性」と話そう。			アルフィノと話した。モシュク・レルーヌク演舞台西の「フビゴ族の女性」と話そう。			樹海の民、マムージャ族							
ミーラジャと名乗ったフビゴ族によると、マムークの住人の多くは、「双血の教え」の信奉者らしい。双頭のマムージャ族こそトラル大陸の人々を導くべき優れた種だとするこの教えを、ミーラジャは終わらせたいそうだ。彼女がそう望む理由はいったい何なのだろうか？			ミーラジャと名乗ったフビゴ族によると、マムークの住人の多くは、「双血の教え」の信奉者らしい。双頭のマムージャ族こそトラル大陸の人々を導くべき優れた種だとするこの教えを、ミーラジャは終わらせたいそうだ。彼女がそう望む理由はいったい何なのだろうか？			樹海の民、マムージャ族							
マムークで聞き込みをする			マムークで聞き込みをする			樹海の民、マムージャ族							
ウクラマトと話す			ウクラマトと話す			樹海の民、マムージャ族							
ウクラマトと再度話す			ウクラマトと再度話す			樹海の民、マムージャ族							
アルフィノと話す			アルフィノと話す			樹海の民、マムージャ族							
フビゴ族の女性と話す			フビゴ族の女性と話す			樹海の民、マムージャ族							
友好的なマムージャ族は、ほとんどがトライヨラへ居を移したというが……。			友好的なマムージャ族は、ほとんどがトライヨラへ居を移したというが……。			樹海の民、マムージャ族							
なんだか、静かな街ね……。			なんだか、静かな街ね……。			樹海の民、マムージャ族							
ここで、最後の秘石を得るための試練が待っているのね。			ここで、最後の秘石を得るための試練が待っているのね。			樹海の民、マムージャ族							
どう動くか、ウクラマトと決めてくれ。			どう動くか、ウクラマトと決めてくれ。			樹海の民、マムージャ族							
まずは連王の選者を探さねぇとな。集落内を歩き回ってみるか。			まずは連王の選者を探さねぇとな。集落内を歩き回ってみるか。			樹海の民、マムージャ族							
私たちが今いる広場から、ふたつの路が伸びているようだね。			私たちが今いる広場から、ふたつの路が伸びているようだね。			樹海の民、マムージャ族							
アリゼーとクルルさんは南側の通路で、連王の選者について聞き込みを頼みたい。私とエレンヴィルで、その路の先を調べてみよう。			アリゼーとクルルさんは南側の通路で、連王の選者について聞き込みを頼みたい。私とエレンヴィルで、その路の先を調べてみよう。			樹海の民、マムージャ族							
Forenameはウクラマトとともに、北側の通路を探してくれ。では、行動開始だ。			Forenameはウクラマトとともに、北側の通路を探してくれ。では、行動開始だ。			樹海の民、マムージャ族							
なんか……誰も話を聞いてくれねぇぞ……。			なんか……誰も話を聞いてくれねぇぞ……。			樹海の民、マムージャ族							
…………。			…………。			樹海の民、マムージャ族							
こちらの声は聞こえているようだが、返事をする気はないようだ。			こちらの声は聞こえているようだが、返事をする気はないようだ。			樹海の民、マムージャ族							
話しかけようとした途端、立ち去ってしまった……。			話しかけようとした途端、立ち去ってしまった……。			樹海の民、マムージャ族							
くうう……どいつもこいつも無視ときた！Forename、そっちはどうだった？			くうう……どいつもこいつも無視ときた！Forename、そっちはどうだった？			樹海の民、マムージャ族							
ひとりもまともに話を聞いてくれねぇなんて、マムークの連中は、どうなってるんだよ……。			ひとりもまともに話を聞いてくれねぇなんて、マムークの連中は、どうなってるんだよ……。			樹海の民、マムージャ族							
すぐそこに商店みたいな建物があったから、そこに行こうぜ。さすがに客相手に無視したりしねぇだろ！			すぐそこに商店みたいな建物があったから、そこに行こうぜ。さすがに客相手に無視したりしねぇだろ！			樹海の民、マムージャ族							
よう、ちょっと話を聞かせてくれねぇか？			よう、ちょっと話を聞かせてくれねぇか？			樹海の民、マムージャ族							
……同胞以外と話す舌は持たぬ。			……同胞以外と話す舌は持たぬ。			樹海の民、マムージャ族							
同胞って……マムージャ族じゃない奴とは話したくねぇってことか？			同胞って……マムージャ族じゃない奴とは話したくねぇってことか？			樹海の民、マムージャ族							
まいったな……。話すらできねぇんじゃ、連王の選者を探すことも、マムークのことを知ることもできねぇぜ……。			まいったな……。話すらできねぇんじゃ、連王の選者を探すことも、マムークのことを知ることもできねぇぜ……。			樹海の民、マムージャ族							
(-アルフィノ-)皆、聞こえるかい。街の西側に大きな石造りの建物がある。急いでそこまで来てくれ！			(-アルフィノ-)皆、聞こえるかい。街の西側に大きな石造りの建物がある。急いでそこまで来てくれ！			樹海の民、マムージャ族							
あのゾラージャ兄さんが負けた……？			あのゾラージャ兄さんが負けた……？			樹海の民、マムージャ族							
ゾラージャ王子のお付きの賢士……サレージャと言ったかしら。彼、「黄金郷にたどり着くのは、この私だ」と呟いていたわ。			ゾラージャ王子のお付きの賢士……サレージャと言ったかしら。彼、「黄金郷にたどり着くのは、この私だ」と呟いていたわ。			樹海の民、マムージャ族							
ゾラージャ王子ではなく、「この私」ね……。深い意味がなければいいのだけれど。			ゾラージャ王子ではなく、「この私」ね……。深い意味がなければいいのだけれど。			樹海の民、マムージャ族							
……トライヨラの酒場で聞いたことがある。			……トライヨラの酒場で聞いたことがある。			樹海の民、マムージャ族							
マムージャ族のある一族が、古くより特殊な呪具を継承してるらしい、とな。なんでも吐き出した煙の中で、自在に幻影を創れるらしい。			マムージャ族のある一族が、古くより特殊な呪具を継承してるらしい、とな。なんでも吐き出した煙の中で、自在に幻影を創れるらしい。			樹海の民、マムージャ族							
ここに来て、とんだ大波乱ね……。			ここに来て、とんだ大波乱ね……。			樹海の民、マムージャ族							
これまで出会ってきた連王の選者たちは、一癖も二癖もある個性的な人物ばかりだったが、皆、次代の王を選ぼうとする気概があった。			これまで出会ってきた連王の選者たちは、一癖も二癖もある個性的な人物ばかりだったが、皆、次代の王を選ぼうとする気概があった。			樹海の民、マムージャ族							
しかし、あのゼレージャという選者は違う。双頭以外が王になることを、ハナから認める気がないようだ。			しかし、あのゼレージャという選者は違う。双頭以外が王になることを、ハナから認める気がないようだ。			樹海の民、マムージャ族							
そのような公平性に欠けた人物を、なぜグルージャジャ殿は選者に任命したのだろう。			そのような公平性に欠けた人物を、なぜグルージャジャ殿は選者に任命したのだろう。			樹海の民、マムージャ族							
ここで悩んでても埒が明かねぇ。まずは、さっき声をかけてくれたフビゴ族と話してみようぜ。ここじゃ、会話する気がある奴自体珍しいしな。			ここで悩んでても埒が明かねぇ。まずは、さっき声をかけてくれたフビゴ族と話してみようぜ。ここじゃ、会話する気がある奴自体珍しいしな。			樹海の民、マムージャ族							
たしか、西の街外れとか言ってたよな？行ってみようぜ！			たしか、西の街外れとか言ってたよな？行ってみようぜ！			樹海の民、マムージャ族							
とっとと話を聞いてみようぜ！			とっとと話を聞いてみようぜ！			樹海の民、マムージャ族							
どんな話が聞けるのかしらね……。			どんな話が聞けるのかしらね……。			樹海の民、マムージャ族							
ブネワ族のゼレージャといた、フビゴ族の女性、となれば……。			ブネワ族のゼレージャといた、フビゴ族の女性、となれば……。			樹海の民、マムージャ族							
こんなところに呼び出すということは、誰かに聞かれたくない話なのだろうか。			こんなところに呼び出すということは、誰かに聞かれたくない話なのだろうか。			樹海の民、マムージャ族							
さっき、あのゼレージャとか言う選者と一緒にいた人よね。信用していいのかしら。			さっき、あのゼレージャとか言う選者と一緒にいた人よね。信用していいのかしら。			樹海の民、マムージャ族							
(-ミーラジャ-)来てくれてありがとう。私はミーラジャ。			(-ミーラジャ-)来てくれてありがとう。私はミーラジャ。			樹海の民、マムージャ族							
(-ミーラジャ-)ここなら、あなたたちと話しているところを、マムークの人たちに見られることはないわ。			(-ミーラジャ-)ここなら、あなたたちと話しているところを、マムークの人たちに見られることはないわ。			樹海の民、マムージャ族							
それで、話ってのは？			それで、話ってのは？			樹海の民、マムージャ族							
(-ミーラジャ-)あなたたちは……この街をどう思う？			(-ミーラジャ-)あなたたちは……この街をどう思う？			樹海の民、マムージャ族							
どうって言われてもな。まともに話ができねぇ状態だから、マムークについて何か言えるほど知っちゃいねぇよ。			どうって言われてもな。まともに話ができねぇ状態だから、マムークについて何か言えるほど知っちゃいねぇよ。			樹海の民、マムージャ族							
(-ミーラジャ-)彼らが言葉を交わそうとしないのは、今も街に残っている者が皆、「双血の教え」の信奉者だからよ。			(-ミーラジャ-)彼らが言葉を交わそうとしないのは、今も街に残っている者が皆、「双血の教え」の信奉者だからよ。			樹海の民、マムージャ族							
(-ミーラジャ-)力と魔力を併せ持つ双頭こそ、トラル大陸の人々を導くべき優れた種であるという思想よ。加えて、他部族を劣等種と蔑み、見下し、拒んでいる。			(-ミーラジャ-)力と魔力を併せ持つ双頭こそ、トラル大陸の人々を導くべき優れた種であるという思想よ。加えて、他部族を劣等種と蔑み、見下し、拒んでいる。			樹海の民、マムージャ族							
バクージャジャも似たようなことを言ってたわ。彼も「双血の教え」の信奉者だったってことなのね。			バクージャジャも似たようなことを言ってたわ。彼も「双血の教え」の信奉者だったってことなのね。			樹海の民、マムージャ族							
(-ミーラジャ-)……私はもう、疲れてしまったの。「双血の教え」を信じ続けることに。			(-ミーラジャ-)……私はもう、疲れてしまったの。「双血の教え」を信じ続けることに。			樹海の民、マムージャ族							
(-ミーラジャ-)マムークの一部にも、私と同じように考えている人たちがいる。皆、声を上げることができないだけでね。			(-ミーラジャ-)マムークの一部にも、私と同じように考えている人たちがいる。皆、声を上げることができないだけでね。			樹海の民、マムージャ族							
(-ミーラジャ-)けれど今なら、「双血の教え」に疑いを持つ人々の背中を、押すことができるかもしれない。			(-ミーラジャ-)けれど今なら、「双血の教え」に疑いを持つ人々の背中を、押すことができるかもしれない。			樹海の民、マムージャ族							
(-ミーラジャ-)あなたが、双頭のバクージャジャに打ち勝った事実を知らせることで。			(-ミーラジャ-)あなたが、双頭のバクージャジャに打ち勝った事実を知らせることで。			樹海の民、マムージャ族							
