ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
我々は、警備体制を一から見直さねばな……。このような事態を、再び起こさぬためにも。			我々は、警備体制を一から見直さねばな……。このような事態を、再び起こさぬためにも。			ヴィクトリー号炎上							
……アートビルムについては、了解した。身内の不祥事だ、責任を感じるのもわかる。ヤツが落ち着くまで、見守るとしよう。			……アートビルムについては、了解した。身内の不祥事だ、責任を感じるのもわかる。ヤツが落ち着くまで、見守るとしよう。			ヴィクトリー号炎上							
だが、筆頭造船師のケジメのつけ方など、ただひとつ。ヴィクトリー号を立派に完成させることだけ……ヤツもすぐに、この答えに思い当たるだろう。			だが、筆頭造船師のケジメのつけ方など、ただひとつ。ヴィクトリー号を立派に完成させることだけ……ヤツもすぐに、この答えに思い当たるだろう。			ヴィクトリー号炎上							
そうそう、捕縛した海賊たちの身柄は、すでにイエロージャケットへ引き渡した。彼らが、しばらくここで取り調べを行うそうだ。			そうそう、捕縛した海賊たちの身柄は、すでにイエロージャケットへ引き渡した。彼らが、しばらくここで取り調べを行うそうだ。			ヴィクトリー号炎上							
ただ、身柄引き渡しの前の調査で、奇妙なものが見つかってな……よければ、お前に私の話を聞いてほしいのだ。			ただ、身柄引き渡しの前の調査で、奇妙なものが見つかってな……よければ、お前に私の話を聞いてほしいのだ。			ヴィクトリー号炎上							
ヴィクトリー号爆破を防ぐため、アーツァフィンを倒せ！			ヴィクトリー号爆破を防ぐため、アーツァフィンを倒せ！			ヴィクトリー号炎上							
オヤジ、やめてくれっ！？			オヤジ、やめてくれっ！？			ヴィクトリー号炎上							
狙った宝を物にするのが海賊だ！！			狙った宝を物にするのが海賊だ！！			ヴィクトリー号炎上							
みんな、このクソ親父を止めてくれ！			みんな、このクソ親父を止めてくれ！			ヴィクトリー号炎上							
任せておけ。Forename、カ・ナンゴ、行くぞ！			任せておけ。Forename、カ・ナンゴ、行くぞ！			ヴィクトリー号炎上							
アーツァフィンよ、契約に基づき加勢する、ぞ！ 			アーツァフィンよ、契約に基づき加勢する、ぞ！ 			ヴィクトリー号炎上							
 マムージャの傭兵だって！？ 			 マムージャの傭兵だって！？ 			ヴィクトリー号炎上							
傭兵は任せろ、お前はアーツァフィンを倒せ！			傭兵は任せろ、お前はアーツァフィンを倒せ！			ヴィクトリー号炎上							
こうなったら、奥の手だ！			こうなったら、奥の手だ！			ヴィクトリー号炎上							
ふっとびやがれっ！！　			ふっとびやがれっ！！　			ヴィクトリー号炎上							
みんな、すまねぇ、もうひと踏ん張りだ！			みんな、すまねぇ、もうひと踏ん張りだ！			ヴィクトリー号炎上							
冒険者よ、心せよ今の技でアーツァフィンの攻撃力が上がっているぞ！			冒険者よ、心せよ今の技でアーツァフィンの攻撃力が上がっているぞ！			ヴィクトリー号炎上							
私としたことが……			私としたことが……			ヴィクトリー号炎上							
た、隊長すみません……			た、隊長すみません……			ヴィクトリー号炎上							
カーラインカフェのミューヌは、「大御霊祭り」の主役である冒険者に……			カーラインカフェのミューヌは、「大御霊祭り」の主役である冒険者に……			大御霊祭り							
祭りの主役である冒険者は、とにかく堂々としていればいいそうだ。そろそろ祭りが始まる。「モノアの仮面」を着けて、ミィ・ケット野外音楽堂の「エステヌ」に話しかけよう。			祭りの主役である冒険者は、とにかく堂々としていればいいそうだ。そろそろ祭りが始まる。「モノアの仮面」を着けて、ミィ・ケット野外音楽堂の「エステヌ」に話しかけよう。			大御霊祭り							
エオルゼアにはかつて「光の戦士」と呼ばれる英雄がいたのだという。英雄がエオルゼアを守るために戦ったというカルテノーの戦い、その有様をずいぶん生々しく見たような気がするが……。カヌ・エ・センナがForenameを呼んでいるらしい。不語仙の座卓にいる「カヌ・エ・センナ」に話しかけよう。			エオルゼアにはかつて「光の戦士」と呼ばれる英雄がいたのだという。英雄がエオルゼアを守るために戦ったというカルテノーの戦い、その有様をずいぶん生々しく見たような気がするが……。カヌ・エ・センナがForenameを呼んでいるらしい。不語仙の座卓にいる「カヌ・エ・センナ」に話しかけよう。			大御霊祭り							
不語仙の座卓でForenameを待っていたカヌ・エ・センナ。口ぶりから察するに、なにか重要なことを話そうとしているようだ。どんな頼みも受けられるよう、冒険の準備を整えたら、カヌ・エ・センナから詳しい話を聞こう。			不語仙の座卓でForenameを待っていたカヌ・エ・センナ。口ぶりから察するに、なにか重要なことを話そうとしているようだ。どんな頼みも受けられるよう、冒険の準備を整えたら、カヌ・エ・センナから詳しい話を聞こう。			大御霊祭り							
モノアの仮面を着けてエステヌと話す			モノアの仮面を着けてエステヌと話す			大御霊祭り							
不語仙の座卓のカヌ・エ・センナと話す			不語仙の座卓のカヌ・エ・センナと話す			大御霊祭り							
「モノアの仮面」も用意できたことだし、あとは「大御霊祭り」に参加するだけだ。			「モノアの仮面」も用意できたことだし、あとは「大御霊祭り」に参加するだけだ。			大御霊祭り							
なに、祭りの主役といっても、緊張なんかしなくても大丈夫さ。			なに、祭りの主役といっても、緊張なんかしなくても大丈夫さ。			大御霊祭り							
細かいことは周りがやってくれるからね。君はただ、その「モノアの仮面」を身に着けて、堂々としていればいいだけさ。			細かいことは周りがやってくれるからね。君はただ、その「モノアの仮面」を身に着けて、堂々としていればいいだけさ。			大御霊祭り							
さあ、会場の「ミィ・ケット野外音楽堂」に向かい、受付のエステヌに声をかけるんだ。			さあ、会場の「ミィ・ケット野外音楽堂」に向かい、受付のエステヌに声をかけるんだ。			大御霊祭り							
くれぐれも「モノアの仮面」を着けるのを忘れずにね。			くれぐれも「モノアの仮面」を着けるのを忘れずにね。			大御霊祭り							
「大御霊祭り」の主役を張る冒険者ってのは、あんたかい？			「大御霊祭り」の主役を張る冒険者ってのは、あんたかい？			大御霊祭り							
会場の準備はできちゃいるけど……あんた自身の準備が、まだのようだね。ほらほら、「モノアの仮面」を着けておくれよ。			会場の準備はできちゃいるけど……あんた自身の準備が、まだのようだね。ほらほら、「モノアの仮面」を着けておくれよ。			大御霊祭り							
もし、仮面をなくしてしまったのなら、木工師ギルドのベアティヌ先生に相談するんだね。			もし、仮面をなくしてしまったのなら、木工師ギルドのベアティヌ先生に相談するんだね。			大御霊祭り							
おやおや、その仮面は……ついに「大御霊祭り」の主役の登場だね！			おやおや、その仮面は……ついに「大御霊祭り」の主役の登場だね！			大御霊祭り							
会場の準備はばっちりできてるよ。さあ、こっちだ。ついてきておくれ！			会場の準備はばっちりできてるよ。さあ、こっちだ。ついてきておくれ！			大御霊祭り							
おお……			おお……			大御霊祭り							
いらしたぞ！			いらしたぞ！			大御霊祭り							
カヌ・エ様だわ！			カヌ・エ様だわ！			大御霊祭り							
英雄に精霊の祝福を！			英雄に精霊の祝福を！			大御霊祭り							
その輝きは一体……？			その輝きは一体……？			大御霊祭り							
これは……。もしや、光のクリスタル……！？			これは……。もしや、光のクリスタル……！？			大御霊祭り							
もしや以前に、母なるクリスタル……。マザークリスタルに導かれたことが？			もしや以前に、母なるクリスタル……。マザークリスタルに導かれたことが？			大御霊祭り							
そう、エーテル酔いに似た感覚を体験したことがあるのではありませんか？			そう、エーテル酔いに似た感覚を体験したことがあるのではありませんか？			大御霊祭り							
ハイデリンの意思に、直接導かれるなんて……。			ハイデリンの意思に、直接導かれるなんて……。			大御霊祭り							
かつて、このエオルゼアには、蛮神と戦ったものたちがいました。			かつて、このエオルゼアには、蛮神と戦ったものたちがいました。			大御霊祭り							
そのものたちは、エオルゼア諸国が「グランドカンパニー」を設立すると、その一員となり「ガレマール帝国」とも戦ったのです。			そのものたちは、エオルゼア諸国が「グランドカンパニー」を設立すると、その一員となり「ガレマール帝国」とも戦ったのです。			大御霊祭り							
世界を救うために、「エオルゼア同盟軍」の一員として、5年前の「カルテノーの戦い」にも参加していました。			世界を救うために、「エオルゼア同盟軍」の一員として、5年前の「カルテノーの戦い」にも参加していました。			大御霊祭り							
しかし、カルテノーを最後に、その英雄たちは姿を消したのです……。			しかし、カルテノーを最後に、その英雄たちは姿を消したのです……。			大御霊祭り							
残された人々は、英雄が自分たちのために、命を賭して戦ったことを覚えています。……確かに彼らはそこに居た。			残された人々は、英雄が自分たちのために、命を賭して戦ったことを覚えています。……確かに彼らはそこに居た。			大御霊祭り							
ですが、その名を口に出そうとすると、日に焼けた書物を読み上げることができぬよう声に出すことができず……。			ですが、その名を口に出そうとすると、日に焼けた書物を読み上げることができぬよう声に出すことができず……。			大御霊祭り							
その顔を思い出そうとすると、閃光の中にあるように、輪郭が影に包まれてしまうのです。			その顔を思い出そうとすると、閃光の中にあるように、輪郭が影に包まれてしまうのです。			大御霊祭り							
この不可思議な現象から、人々は英雄たちのことを「光の戦士たち」と呼ぶようになりました。			この不可思議な現象から、人々は英雄たちのことを「光の戦士たち」と呼ぶようになりました。			大御霊祭り							
光の意思に導かれたあなたを見ているとかつての英雄の話を思い出します。			光の意思に導かれたあなたを見ているとかつての英雄の話を思い出します。			大御霊祭り							
冒険者殿。そのクリスタルを大事になさることです。			冒険者殿。そのクリスタルを大事になさることです。			大御霊祭り							
マザークリスタル……星の意思が、あなたに持たせた意味がきっとあるはず。			マザークリスタル……星の意思が、あなたに持たせた意味がきっとあるはず。			大御霊祭り							
あなたは一介の冒険者で終わらず、いずれは、世界をも左右する存在になるかもしれない。			あなたは一介の冒険者で終わらず、いずれは、世界をも左右する存在になるかもしれない。			大御霊祭り							
なぜなら……。あなたは「超える力」を持っているのですから。			なぜなら……。あなたは「超える力」を持っているのですから。			大御霊祭り							
不滅隊をもっと前に出せッ！			不滅隊をもっと前に出せッ！			大御霊祭り							
勝敗とは、早さと速さが別つのだ！ウルダハの兵(つわもの)たちよ、底力を見せてみよ！			勝敗とは、早さと速さが別つのだ！ウルダハの兵(つわもの)たちよ、底力を見せてみよ！			大御霊祭り							
チッ、左陣が手薄だ！バラクーダの連中を回せ！			チッ、左陣が手薄だ！バラクーダの連中を回せ！			大御霊祭り							
黒渦団本隊と特殊陸戦隊は、その場を死守だ！			黒渦団本隊と特殊陸戦隊は、その場を死守だ！			大御霊祭り							
双蛇党の白狼隊を、黄蛇隊の援護に回しなさい。			双蛇党の白狼隊を、黄蛇隊の援護に回しなさい。			大御霊祭り							
エオルゼアと帝国の戦いに、異邦人の冒険者も力を貸してくれているのです！誰ひとり死なせてはなりません！			エオルゼアと帝国の戦いに、異邦人の冒険者も力を貸してくれているのです！誰ひとり死なせてはなりません！			大御霊祭り							
どうされた？カヌ・エ・センナ殿。			どうされた？カヌ・エ・センナ殿。			大御霊祭り							
いえ……。			いえ……。			大御霊祭り							
うわっ！			うわっ！			大御霊祭り							
ぬおっ！？			ぬおっ！？			大御霊祭り							
狼狽えるな！この程度では、魔法障壁は破られはせん！			狼狽えるな！この程度では、魔法障壁は破られはせん！			大御霊祭り							
一体、あそこに何が……？			一体、あそこに何が……？			大御霊祭り							
ブルホーンから、ブラッドソーン！ブラッドソーン隊？どうした、応答しろ！？			ブルホーンから、ブラッドソーン！ブラッドソーン隊？どうした、応答しろ！？			大御霊祭り							
ええい！！			ええい！！			大御霊祭り							
(-リンクシェルからの声-)……ホーン。……ブルホーン……応答……願います！こちら……マッドドッグ……！			(-リンクシェルからの声-)……ホーン。……ブルホーン……応答……願います！こちら……マッドドッグ……！			大御霊祭り							
マッドドッグ？　ジャキス・ライダーか！？こちらブルホーン、ラウバーンだ！無事か！？			マッドドッグ？　ジャキス・ライダーか！？こちらブルホーン、ラウバーンだ！無事か！？			大御霊祭り							
(-リンクシェルからの声-)……周囲を……炎で囲まれ……脱出不可能！あれは……あのでかいやつは、一体何なんです！？……ぐあっ！			(-リンクシェルからの声-)……周囲を……炎で囲まれ……脱出不可能！あれは……あのでかいやつは、一体何なんです！？……ぐあっ！			大御霊祭り							
どうした、マッドドッグ！？			どうした、マッドドッグ！？			大御霊祭り							
(-リンクシェルからの声-)……クソったれ！局長……！　ここはもうダメだ……こらえきれねぇ！！			(-リンクシェルからの声-)……クソったれ！局長……！　ここはもうダメだ……こらえきれねぇ！！			大御霊祭り							
(-リンクシェルからの声-)……ぐあぁぁぁぁぁ！！			(-リンクシェルからの声-)……ぐあぁぁぁぁぁ！！			大御霊祭り							
マッドドッグ、応答しろッ！ジャキス、クロビソア、返事をしろッ！			マッドドッグ、応答しろッ！ジャキス、クロビソア、返事をしろッ！			大御霊祭り							
くそぉぉぉ！！なんだというのだ、これはッ！			くそぉぉぉ！！なんだというのだ、これはッ！			大御霊祭り							
バラクーダの連中にも、連絡は通じないのか？			バラクーダの連中にも、連絡は通じないのか？			大御霊祭り							
ダメです！リンクシェルが使い物にならんのです！			ダメです！リンクシェルが使い物にならんのです！			大御霊祭り							
こちらはどうです？			こちらはどうです？			大御霊祭り							
リンクシェル通信に妨害が発生している模様！おそらく、あの化け物の影響です！			リンクシェル通信に妨害が発生している模様！おそらく、あの化け物の影響です！			大御霊祭り							
交信を続けなさい。出るまで呼び続けるのです。			交信を続けなさい。出るまで呼び続けるのです。			大御霊祭り							
ハッ！			ハッ！			大御霊祭り							
メルウィブ提督、ラウバーン局長。限界でしょう……。残った兵を再編して撤収を。			メルウィブ提督、ラウバーン局長。限界でしょう……。残った兵を再編して撤収を。			大御霊祭り							
ルイゾワ殿を見捨てるわけにはいかんッ！			ルイゾワ殿を見捨てるわけにはいかんッ！			大御霊祭り							
勝敗は早さと速さが別つ、のではないのですか！			勝敗は早さと速さが別つ、のではないのですか！			大御霊祭り							
もはや、この戦いに勝者も敗者もありません。今は一人でも多くの仲間の命を助けるべきです。			もはや、この戦いに勝者も敗者もありません。今は一人でも多くの仲間の命を助けるべきです。			大御霊祭り							
ルイゾワ様には我々が付きましょう。ですが、利益を顧みず戦っている、冒険者の隊だけでも！			ルイゾワ様には我々が付きましょう。ですが、利益を顧みず戦っている、冒険者の隊だけでも！			大御霊祭り							
黒渦団全軍に通達。現時点をもって、すべての命令を無効とする。全隊、各個の判断で撤退せよ！			黒渦団全軍に通達。現時点をもって、すべての命令を無効とする。全隊、各個の判断で撤退せよ！			大御霊祭り							
いいか、しんがりには本隊を付けろ。冒険者たち特殊陸戦隊を、優先して逃がせ！			いいか、しんがりには本隊を付けろ。冒険者たち特殊陸戦隊を、優先して逃がせ！			大御霊祭り							
不滅隊にも撤退指示をだせ！……何ッ？リンクシェルが使えないだぁ？			不滅隊にも撤退指示をだせ！……何ッ？リンクシェルが使えないだぁ？			大御霊祭り							
バカやろう！！足で回って伝えるんだよッ！行けッ！			バカやろう！！足で回って伝えるんだよッ！行けッ！			大御霊祭り							
そう、これはもう戦いじゃない……。			そう、これはもう戦いじゃない……。			大御霊祭り							
衛星「ダラガブ」よりいでし、黒き蛮神による虐殺だわ……。			衛星「ダラガブ」よりいでし、黒き蛮神による虐殺だわ……。			大御霊祭り							
暗く……悍ましい気配……。この状況でも強く感じるなんて。			暗く……悍ましい気配……。この状況でも強く感じるなんて。			大御霊祭り							
撤収しつつ、ルイゾワ様の援護に回ります。各員、用意を！			撤収しつつ、ルイゾワ様の援護に回ります。各員、用意を！			大御霊祭り							
(-？？？？-)蛮神「バハムート」か……。再び、この目で見ることができようとはな。			(-？？？？-)蛮神「バハムート」か……。再び、この目で見ることができようとはな。			大御霊祭り							
(-？？？？-)久方ぶりの外界だというのに、よく動く……。			(-？？？？-)久方ぶりの外界だというのに、よく動く……。			大御霊祭り							
(-？？？？-)ほうっておけ。我々の気配を悟られようと、どうせ奴らには何もできん。			(-？？？？-)ほうっておけ。我々の気配を悟られようと、どうせ奴らには何もできん。			大御霊祭り							
(-？？？？-)これは始まりだ。この星が「真の姿」を取り戻す、その日へのな。			(-？？？？-)これは始まりだ。この星が「真の姿」を取り戻す、その日へのな。			大御霊祭り							
(-？？？？-)フハハハハハハ！			(-？？？？-)フハハハハハハ！			大御霊祭り							
やぁ、Forename。気が付いたかい？			やぁ、Forename。気が付いたかい？			大御霊祭り							
おや、覚えてないのかい？			おや、覚えてないのかい？			大御霊祭り							
君は大御霊祭りの最中に倒れてね。気を失っていたんだ。慌てて僕が宿まで運んだってわけさ。			君は大御霊祭りの最中に倒れてね。気を失っていたんだ。慌てて僕が宿まで運んだってわけさ。			大御霊祭り							
ここのところ、事件に次ぐ事件だったからね。疲れていたのかもしれない。			ここのところ、事件に次ぐ事件だったからね。疲れていたのかもしれない。			大御霊祭り							
うん、もう大丈夫のようだね。僕は戻るとしよう。			うん、もう大丈夫のようだね。僕は戻るとしよう。			大御霊祭り							
……そうそう。カヌ・エ様が、君に伝えたいことがあるそうだよ。			……そうそう。カヌ・エ様が、君に伝えたいことがあるそうだよ。			大御霊祭り							
今は「不語仙の座卓」にいらっしゃるはずだ。カヌ・エ様も、君のことを心配していたんだよ。挨拶にいっておいで。			今は「不語仙の座卓」にいらっしゃるはずだ。カヌ・エ様も、君のことを心配していたんだよ。挨拶にいっておいで。			大御霊祭り							
はあ……まさか、私が丹精込めて作った「モノアの仮面」をなくしたのですか？			はあ……まさか、私が丹精込めて作った「モノアの仮面」をなくしたのですか？			大御霊祭り							
今回だけは、予備の仮面を差しあげますが……次になくしたら、私の製材の腕前を披露しますよ？あなたの身体でね……フフ、フフフフフ。			今回だけは、予備の仮面を差しあげますが……次になくしたら、私の製材の腕前を披露しますよ？あなたの身体でね……フフ、フフフフフ。			大御霊祭り							
貴殿がSurnameか。カヌ・エ様が、この奥にて貴殿をお待ちだ。さっそく「不語仙の座卓」へ向かうか？			貴殿がSurnameか。カヌ・エ様が、この奥にて貴殿をお待ちだ。さっそく「不語仙の座卓」へ向かうか？			大御霊祭り							
「不語仙の座卓」に移動する？			「不語仙の座卓」に移動する？			大御霊祭り							
はい			はい			大御霊祭り							
いいえ			いいえ			大御霊祭り							
あのお方を待たせようというのか。……まあ、急ぐあまりに粗相があってもならん。準備があるのなら、慎重に、しかし急ぐのだぞ。			あのお方を待たせようというのか。……まあ、急ぐあまりに粗相があってもならん。準備があるのなら、慎重に、しかし急ぐのだぞ。			大御霊祭り							
お待ちしておりました。もう、お具合はよろしいのかしら？			お待ちしておりました。もう、お具合はよろしいのかしら？			大御霊祭り							
実は……。冒険者のあなたに、お願いがあります。この仕事を託せるのは、あなたしかいないのです……。			実は……。冒険者のあなたに、お願いがあります。この仕事を託せるのは、あなたしかいないのです……。			大御霊祭り							
ギムトータは冒険者の腕を見込んで、頼みたいことがあるようだ。			ギムトータは冒険者の腕を見込んで、頼みたいことがあるようだ。			蒼き刺青の男たち							
ヴィクトリー号爆破未遂事件の主導者アーツァフィンの所持品から、暗号のような文字のつづられた怪しい書簡が見つかった。ギムトータたちでは解読ができないため、バデロンに協力してほしいようだ。「怪しい書簡」を溺れた海豚亭の「バデロン」に届けよう。			ヴィクトリー号爆破未遂事件の主導者アーツァフィンの所持品から、暗号のような文字のつづられた怪しい書簡が見つかった。ギムトータたちでは解読ができないため、バデロンに協力してほしいようだ。「怪しい書簡」を溺れた海豚亭の「バデロン」に届けよう。			蒼き刺青の男たち							
書簡を解読したバデロンの顔色が変わってしまった。書簡には、なにやら重要なことが書かれていたらしいが……。どんな事態にも対応できるよう準備を整えたら、バデロンから詳しい話を聞こう。			書簡を解読したバデロンの顔色が変わってしまった。書簡には、なにやら重要なことが書かれていたらしいが……。どんな事態にも対応できるよう準備を整えたら、バデロンから詳しい話を聞こう。			蒼き刺青の男たち							
リムサ・ロミンサのバデロンに怪しい書簡を渡す			リムサ・ロミンサのバデロンに怪しい書簡を渡す			蒼き刺青の男たち							
Forename。君を見込んで、頼みたいことがある。			Forename。君を見込んで、頼みたいことがある。			蒼き刺青の男たち							
ヴィクトリー号の爆破を主導していたアーツァフィンの所持品を確認したところ、一通の書簡を見つけたのだ。			ヴィクトリー号の爆破を主導していたアーツァフィンの所持品を確認したところ、一通の書簡を見つけたのだ。			蒼き刺青の男たち							
この書簡には、まるで暗号のような……奇妙な文字がつづられていてな。			この書簡には、まるで暗号のような……奇妙な文字がつづられていてな。			蒼き刺青の男たち							
重要な機密が書かれている可能性が高いが、解読できる者がここにはいなかった。			重要な機密が書かれている可能性が高いが、解読できる者がここにはいなかった。			蒼き刺青の男たち							
イエロージャケットの者がいうには、この手の解読に関しては、いつもバデロンに協力を仰いでいるそうだ。			イエロージャケットの者がいうには、この手の解読に関しては、いつもバデロンに協力を仰いでいるそうだ。			蒼き刺青の男たち							
そこで、この「怪しい書簡」を溺れた海豚亭の「バデロン」へ届けてほしい。よろしく頼んだぞ。			そこで、この「怪しい書簡」を溺れた海豚亭の「バデロン」へ届けてほしい。よろしく頼んだぞ。			蒼き刺青の男たち							
よう、Surname。モラビー造船廠じゃ、大活躍だったそうじゃないか。			よう、Surname。モラビー造船廠じゃ、大活躍だったそうじゃないか。			蒼き刺青の男たち							
アートビルムから話は聞いたぜ。奴も父親のせいで災難だったが……。なんにせよ、ヴィクトリー号の爆破を事前に防げたんだ。			アートビルムから話は聞いたぜ。奴も父親のせいで災難だったが……。なんにせよ、ヴィクトリー号の爆破を事前に防げたんだ。			蒼き刺青の男たち							
俺からも、礼を言わせてもらおう。ありがとうな！			俺からも、礼を言わせてもらおう。ありがとうな！			蒼き刺青の男たち							
おまえさんも、すっかり、リムサ・ロミンサに慣れたようだな。これからも……。			おまえさんも、すっかり、リムサ・ロミンサに慣れたようだな。これからも……。			蒼き刺青の男たち							
……おや、なんだって？俺に頼み事だって？			……おや、なんだって？俺に頼み事だって？			蒼き刺青の男たち							
……奇妙な文字を解読できる人物ねぇ。いったい、どんな文字なんだ？その書簡とやらを見せてみろ。			……奇妙な文字を解読できる人物ねぇ。いったい、どんな文字なんだ？その書簡とやらを見せてみろ。			蒼き刺青の男たち							
これは……。			これは……。			蒼き刺青の男たち							
この文字を解読できる人物に心当たりがある。……この俺だ。			この文字を解読できる人物に心当たりがある。……この俺だ。			蒼き刺青の男たち							
Surname。……いや、もう余所余所しいのは止めよう。おまえさんは俺たちの仲間だ。			Surname。……いや、もう余所余所しいのは止めよう。おまえさんは俺たちの仲間だ。			蒼き刺青の男たち							
Forename。おまえさんの腕を見込んで頼みたいことがある。			Forename。おまえさんの腕を見込んで頼みたいことがある。			蒼き刺青の男たち							
この書簡には、重要なことが書かれていてな……。ちと厄介なことになるかもしれない。準備ができたら、声をかけてくれ。			この書簡には、重要なことが書かれていてな……。ちと厄介なことになるかもしれない。準備ができたら、声をかけてくれ。			蒼き刺青の男たち							
カーラインカフェのエラルは、何か驚いているようだ。			カーラインカフェのエラルは、何か驚いているようだ。			誰がために人は踊る							
冒険者のエラルは、真面目で退屈だと思っていたグリダニアの人々が、楽しそうな踊りをしていたことに驚いたようだ。グリダニアのどんぐり遊園にいる「イエディス」と話そう。			冒険者のエラルは、真面目で退屈だと思っていたグリダニアの人々が、楽しそうな踊りをしていたことに驚いたようだ。グリダニアのどんぐり遊園にいる「イエディス」と話そう。			誰がために人は踊る							
イエディスは、子どもたちに踊りを教えていたようだ。しかし、子どもたちは練習に飽きて、どこかに逃げていってしまったらしい。グリダニアの木工師ギルドにいる「ベアティヌ」に、子どもたちを手懐ける方法を聞いてみよう。			イエディスは、子どもたちに踊りを教えていたようだ。しかし、子どもたちは練習に飽きて、どこかに逃げていってしまったらしい。グリダニアの木工師ギルドにいる「ベアティヌ」に、子どもたちを手懐ける方法を聞いてみよう。			誰がために人は踊る							
ベアティヌによると、木製の玩具を渡せば、子どもたちの機嫌がなおるようだ。グリダニアで、逃げた子どもたちを捜して「木製の玩具」を渡そう。			ベアティヌによると、木製の玩具を渡せば、子どもたちの機嫌がなおるようだ。グリダニアで、逃げた子どもたちを捜して「木製の玩具」を渡そう。			誰がために人は踊る							
子どもたちは、どんぐり遊園に戻ったようだ。どんぐり遊園の「イエディス」に報告しよう。			子どもたちは、どんぐり遊園に戻ったようだ。どんぐり遊園の「イエディス」に報告しよう。			誰がために人は踊る							
イエディスが教えていた踊りは、グリダニアの収穫祭で踊るためのものだった。練習がうまくいき喜ぶイエディス。しかし、途中で現れたベアティヌに驚き、今度は彼女が逃げてしまった……。			イエディスが教えていた踊りは、グリダニアの収穫祭で踊るためのものだった。練習がうまくいき喜ぶイエディス。しかし、途中で現れたベアティヌに驚き、今度は彼女が逃げてしまった……。			誰がために人は踊る							
イエディスと話す			イエディスと話す			誰がために人は踊る							
ベアティヌと話す			ベアティヌと話す			誰がために人は踊る							
子どもたちに木製の玩具を渡す			子どもたちに木製の玩具を渡す			誰がために人は踊る							
イエディスに報告			イエディスに報告			誰がために人は踊る							
俺は、グリダニアの奴らのことを、とにかく真面目で、面白くない連中だと思っていた……。しかし、その印象を覆す物を見ちまったんだ！			俺は、グリダニアの奴らのことを、とにかく真面目で、面白くない連中だと思っていた……。しかし、その印象を覆す物を見ちまったんだ！			誰がために人は踊る							
どんぐり遊園で、見慣れない美人なお姉さんが、子どもたちと一緒に、楽しそうな踊りを練習してたんだ！			どんぐり遊園で、見慣れない美人なお姉さんが、子どもたちと一緒に、楽しそうな踊りを練習してたんだ！			誰がために人は踊る							
もしかして、俺たちのような冒険者が知らない、楽しい祭りがあるのかもな。興味があるなら、お前も覗いてきたらどうだ？			もしかして、俺たちのような冒険者が知らない、楽しい祭りがあるのかもな。興味があるなら、お前も覗いてきたらどうだ？			誰がために人は踊る							
楽しそうな踊りを見にきた、ですって？……本当に、冒険者というのは、浮かれた考えばかりですのね。			楽しそうな踊りを見にきた、ですって？……本当に、冒険者というのは、浮かれた考えばかりですのね。			誰がために人は踊る							
私は、神聖で崇高な目的のため、誠実に、真面目に、踊りを教えにきたのですよ？			私は、神聖で崇高な目的のため、誠実に、真面目に、踊りを教えにきたのですよ？			誰がために人は踊る							
……ま、まぁ、子どもたちは飽きてしまって、練習中に逃げていってしまったのですが……。			……ま、まぁ、子どもたちは飽きてしまって、練習中に逃げていってしまったのですが……。			誰がために人は踊る							
はぁ……子どもの扱いって、難しいですのね……。木工師ギルドでギルドマスターを務めている方は、子どもたちと仲が良いらしいのですが……。			はぁ……子どもの扱いって、難しいですのね……。木工師ギルドでギルドマスターを務めている方は、子どもたちと仲が良いらしいのですが……。			誰がために人は踊る							
……そうですわ！貴方、木工師ギルドのギルドマスターさんに相談して、子どもたちを懐柔する方法を、聞いてくれませんこと？			……そうですわ！貴方、木工師ギルドのギルドマスターさんに相談して、子どもたちを懐柔する方法を、聞いてくれませんこと？			誰がために人は踊る							
木工師ギルドのギルドマスターさんに相談して、子どもたちを懐柔する方法を、聞いてくれませんこと？			木工師ギルドのギルドマスターさんに相談して、子どもたちを懐柔する方法を、聞いてくれませんこと？			誰がために人は踊る							
おや、Forenameさん。今日は、どのような木工製品を見せてくれるのですか……！？			おや、Forenameさん。今日は、どのような木工製品を見せてくれるのですか……！？			誰がために人は踊る							
おや、冒険者さん。まさか、木工師ギルドへの入門希望を……？			おや、冒険者さん。まさか、木工師ギルドへの入門希望を……？			誰がために人は踊る							
……そう、違いますか。フフフ……先生ガッカリです……。			……そう、違いますか。フフフ……先生ガッカリです……。			誰がために人は踊る							
……子どもたちが、踊りの練習をサボったと……？そうですか……私が木工作業を教える時は、いつも集中しているのですが……。			……子どもたちが、踊りの練習をサボったと……？そうですか……私が木工作業を教える時は、いつも集中しているのですが……。			誰がために人は踊る							
では、このおもちゃを子どもたちに渡してください。きっと……機嫌が良くなるはずです。フフ、フフフフフ……。			では、このおもちゃを子どもたちに渡してください。きっと……機嫌が良くなるはずです。フフ、フフフフフ……。			誰がために人は踊る							
えー、踊りの練習なんて嫌だよ。イエディス先生の練習、退屈なんだもん。			えー、踊りの練習なんて嫌だよ。イエディス先生の練習、退屈なんだもん。			誰がために人は踊る							
