トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
何と言う？			何と言う？			奇跡の子							
カフキワは永久人だった			カフキワは永久人だった			奇跡の子							
…………			…………			奇跡の子							
……永久人、か。誰も知らない場所で暮らしているという、死者の記憶から再現された存在……。			……永久人、か。誰も知らない場所で暮らしているという、死者の記憶から再現された存在……。			奇跡の子							
おふくろは死んでたんだ。なのに生きている振りをして、俺たちの前に現れていた……！			おふくろは死んでたんだ。なのに生きている振りをして、俺たちの前に現れていた……！			奇跡の子							
……少なくとも、スフェーンは彼女を死者とは思っていないようだけれどね。			……少なくとも、スフェーンは彼女を死者とは思っていないようだけれどね。			奇跡の子							
ああ……あいつにとっては、永久人も護るべき大切な民なんだ……。			ああ……あいつにとっては、永久人も護るべき大切な民なんだ……。			奇跡の子							
……ただし、永久人たちを護るには生命力のエーテルが必須。恐らく、原初世界の人から奪う計画だったのでしょうけど、ゾラージャに裏切られ、その望みも潰えた。			……ただし、永久人たちを護るには生命力のエーテルが必須。恐らく、原初世界の人から奪う計画だったのでしょうけど、ゾラージャに裏切られ、その望みも潰えた。			奇跡の子							
そして今、追い詰められた彼女は「世界を繋ぐ力」を使い、異なる鏡像世界へと狙いを変えた。私たちからの干渉を避け、「命」を奪うために……。			そして今、追い詰められた彼女は「世界を繋ぐ力」を使い、異なる鏡像世界へと狙いを変えた。私たちからの干渉を避け、「命」を奪うために……。			奇跡の子							
……そんなことはさせない。鏡像世界には、オレたちと同じように生きている人がいるんだ。			……そんなことはさせない。鏡像世界には、オレたちと同じように生きている人がいるんだ。			奇跡の子							
スフェーンを追いかけよう。「向こう側」ならカフキワにも会えるかもしれねぇし、もう一度、スフェーンと話がしてぇ……。			スフェーンを追いかけよう。「向こう側」ならカフキワにも会えるかもしれねぇし、もう一度、スフェーンと話がしてぇ……。			奇跡の子							
少し検討する時間をもらえるかしら？追いかけようにも、ゲートを閉ざされてしまった以上、まずは世界を超える方法を考える必要があるもの。			少し検討する時間をもらえるかしら？追いかけようにも、ゲートを閉ざされてしまった以上、まずは世界を超える方法を考える必要があるもの。			奇跡の子							
ああ、頼む……。			ああ、頼む……。			奇跡の子							
では、私たちはここに残って急ぎ調査を進めるよ。ゲートがあったこの場所なら、向こう側との繋がりもまだ残っているかもしれない。			では、私たちはここに残って急ぎ調査を進めるよ。ゲートがあったこの場所なら、向こう側との繋がりもまだ残っているかもしれない。			奇跡の子							
俺も調査に加えてくれないか？雑用でも、何でもいい……！			俺も調査に加えてくれないか？雑用でも、何でもいい……！			奇跡の子							
もちろんさ。君の知識も頼りにさせてもらうよ。			もちろんさ。君の知識も頼りにさせてもらうよ。			奇跡の子							
いずれにせよ、調査には少し時間がかかるわ。ここは私たちに任せて、ラマチとグルージャは一度戻って、休んできたらどう？			いずれにせよ、調査には少し時間がかかるわ。ここは私たちに任せて、ラマチとグルージャは一度戻って、休んできたらどう？			奇跡の子							
……そうだな、悪いがそうさせてもらうぜ。オブリビオンの連中から、最新の状況も聞いておきたいからな。			……そうだな、悪いがそうさせてもらうぜ。オブリビオンの連中から、最新の状況も聞いておきたいからな。			奇跡の子							
グルージャ、一緒に行こう。			グルージャ、一緒に行こう。			奇跡の子							
Forenameも、ここは私たちに任せて大丈夫よ。あなたにはいつだって、頼りっぱなしだったから。			Forenameも、ここは私たちに任せて大丈夫よ。あなたにはいつだって、頼りっぱなしだったから。			奇跡の子							
僕は、大丈夫……！心配してくれてありがとう。			僕は、大丈夫……！心配してくれてありがとう。			奇跡の子							
一度にいろいろ起こりすぎて、頭が追いつかねぇ。			一度にいろいろ起こりすぎて、頭が追いつかねぇ。			奇跡の子							
ただ、ゾラージャ兄さんのことは、後悔してねぇよ。もちろんつらいし苦しいけど、お前がいてくれたし、何より自分で選んだ路だからな。			ただ、ゾラージャ兄さんのことは、後悔してねぇよ。もちろんつらいし苦しいけど、お前がいてくれたし、何より自分で選んだ路だからな。			奇跡の子							
だけど、追い詰められて、選んじゃならねぇ路に進んじまったスフェーンを……止められなかった……。			だけど、追い詰められて、選んじゃならねぇ路に進んじまったスフェーンを……止められなかった……。			奇跡の子							
この国のみんなは、あいつのことが大好きなんだ。なのに……最悪の王だなんて呼ばせたくねぇよ……。			この国のみんなは、あいつのことが大好きなんだ。なのに……最悪の王だなんて呼ばせたくねぇよ……。			奇跡の子							
トゥルービューのウクラマトは、住人のためにできる限りのことをしたいようだ。			トゥルービューのウクラマトは、住人のためにできる限りのことをしたいようだ。			痛みに手を重ねて							
住民を介抱			住民を介抱			痛みに手を重ねて							
バックルームのウクラマトと話す			バックルームのウクラマトと話す			痛みに手を重ねて							
グルージャと話す			グルージャと話す			痛みに手を重ねて							
ウクラマトと話す			ウクラマトと話す			痛みに手を重ねて							
カフキワと話す			カフキワと話す			痛みに手を重ねて							
オーティス、ありがとう……。あなたが生前の無念を晴らせたことを祈るわ。			オーティス、ありがとう……。あなたが生前の無念を晴らせたことを祈るわ。			痛みに手を重ねて							
信じられない……まさか自国の民に手を出すなんて……！			信じられない……まさか自国の民に手を出すなんて……！			痛みに手を重ねて							
トライヨラの方は無事らしいが、なぜこんなことに……。詳しい話はあとで聞かせてくれ。			トライヨラの方は無事らしいが、なぜこんなことに……。詳しい話はあとで聞かせてくれ。			痛みに手を重ねて							
……このドーム内で生きてきた人たちはさ、レギュレーターで死の恐怖から護られてきたんだよな。			……このドーム内で生きてきた人たちはさ、レギュレーターで死の恐怖から護られてきたんだよな。			痛みに手を重ねて							
魂資源っていう命の予備に加えて、死者の記憶すら消されて、別れの悲しみから遠ざけられてる。……死ぬってことの意味すら、曖昧になってたはずだ。			魂資源っていう命の予備に加えて、死者の記憶すら消されて、別れの悲しみから遠ざけられてる。……死ぬってことの意味すら、曖昧になってたはずだ。			痛みに手を重ねて							
それが今、魂資源が尽きるまで何度も殺されて……生き残ったとしても、死の恐怖を実感してるに違いねぇ。			それが今、魂資源が尽きるまで何度も殺されて……生き残ったとしても、死の恐怖を実感してるに違いねぇ。			痛みに手を重ねて							
……こういうときこそ王の励ましが必要だと思うが、スフェーンはどこにいったんだ？			……こういうときこそ王の励ましが必要だと思うが、スフェーンはどこにいったんだ？			痛みに手を重ねて							
わからねぇが……かなり切羽詰まった様子だった。ソリューション・ナイン以外にも街はあるらしいから、あちこち状況を確認してるのかもしれねぇし、もしかしたら……。			わからねぇが……かなり切羽詰まった様子だった。ソリューション・ナイン以外にも街はあるらしいから、あちこち状況を確認してるのかもしれねぇし、もしかしたら……。			痛みに手を重ねて							
どのみち、あいつひとりで手に負える状況じゃねぇ。この国にはトライヨラ出身の連中だって大勢暮らしてるし、何より、罪もない人たちが傷つけられて……放っておけるかよ。			どのみち、あいつひとりで手に負える状況じゃねぇ。この国にはトライヨラ出身の連中だって大勢暮らしてるし、何より、罪もない人たちが傷つけられて……放っておけるかよ。			痛みに手を重ねて							
トライヨラが襲われたとき、みんなが助けてくれたみてぇに、今度はアタシも、できる限りのことをする！			トライヨラが襲われたとき、みんなが助けてくれたみてぇに、今度はアタシも、できる限りのことをする！			痛みに手を重ねて							
よかったら手を貸してくれ……！怪我人の搬送や安全確保は慣れてるオブリビオンに任せて、アタシらで怯えている住民たちを介抱しよう！			よかったら手を貸してくれ……！怪我人の搬送や安全確保は慣れてるオブリビオンに任せて、アタシらで怯えている住民たちを介抱しよう！			痛みに手を重ねて							
もちろんよ！じゃあ、ラマチとForenameは「トゥルービュー」を、あとのみんなで、それ以外の場所を担当しましょう！			もちろんよ！じゃあ、ラマチとForenameは「トゥルービュー」を、あとのみんなで、それ以外の場所を担当しましょう！			痛みに手を重ねて							
よし……！終わったらバックルームに集合だ！			よし……！終わったらバックルームに集合だ！			痛みに手を重ねて							
ああ……人……人の温もりだ……。私、生きてるんだよね……。			ああ……人……人の温もりだ……。私、生きてるんだよね……。			痛みに手を重ねて							
はあ……本当にありがとう。落ち着いたら、悔しくて涙が出そうになってきた……。			はあ……本当にありがとう。落ち着いたら、悔しくて涙が出そうになってきた……。			痛みに手を重ねて							
こんなに理不尽なことってないじゃない。ゾラージャ王は何の権利があって、あたしたちの日常を奪ったんだ……。			こんなに理不尽なことってないじゃない。ゾラージャ王は何の権利があって、あたしたちの日常を奪ったんだ……。			痛みに手を重ねて							
勝手にあたしたちを争いに巻き込まないでよ……。返してよ……平和を……！			勝手にあたしたちを争いに巻き込まないでよ……。返してよ……平和を……！			痛みに手を重ねて							
勝手にあたしたちを争いに巻き込まないでよ……。返してよ……平和を……！			勝手にあたしたちを争いに巻き込まないでよ……。返してよ……平和を……！			痛みに手を重ねて							
怖い……こんな怖い想いをしたの、初めてだ……。いちど事故で命を落としたことがあるけど、そんなの比じゃない……。			怖い……こんな怖い想いをしたの、初めてだ……。いちど事故で命を落としたことがあるけど、そんなの比じゃない……。			痛みに手を重ねて							
殺されては蘇って、また殺されては蘇って……。これも全部、ゾラージャ王の命令だってのか……？			殺されては蘇って、また殺されては蘇って……。これも全部、ゾラージャ王の命令だってのか……？			痛みに手を重ねて							
あいつ、突然やってきて王になったばかりか、領土拡大だの何だの掲げて、機械兵の増産をして……。それをあろうことか、民に向けるなんて……！			あいつ、突然やってきて王になったばかりか、領土拡大だの何だの掲げて、機械兵の増産をして……。それをあろうことか、民に向けるなんて……！			痛みに手を重ねて							
くそっ、何が武王だ！誰かあいつを何とかしてくれ……！			くそっ、何が武王だ！誰かあいつを何とかしてくれ……！			痛みに手を重ねて							
くそっ、何が武王だ！誰かあいつを何とかしてくれ……！			くそっ、何が武王だ！誰かあいつを何とかしてくれ……！			痛みに手を重ねて							
すまねえ……助かったぜ。			すまねえ……助かったぜ。			痛みに手を重ねて							
……なあ、あんたスフェーン様と一緒に戦ってたよな。あの噂は本当だったのか……。			……なあ、あんたスフェーン様と一緒に戦ってたよな。あの噂は本当だったのか……。			痛みに手を重ねて							
スフェーン様は何百年も生きてて、人ならざる存在……。本当の体は雲の上だとか、別の場所にあって、特別な力を使って姿を現してるってさ。			スフェーン様は何百年も生きてて、人ならざる存在……。本当の体は雲の上だとか、別の場所にあって、特別な力を使って姿を現してるってさ。			痛みに手を重ねて							
……俺はずっと、ここの連中が彼女の正体を暴かないことが不思議だったんだが、その理由がなんとなくわかった。			……俺はずっと、ここの連中が彼女の正体を暴かないことが不思議だったんだが、その理由がなんとなくわかった。			痛みに手を重ねて							
あんなふうに必死に俺たちを護ろうとして……それだけで彼女は、間違いなく王の資質がある。正体なんて関係ないさ……。			あんなふうに必死に俺たちを護ろうとして……それだけで彼女は、間違いなく王の資質がある。正体なんて関係ないさ……。			痛みに手を重ねて							
あんなふうに必死に俺たちを護ろうとして……それだけで彼女は、間違いなく王の資質がある。正体なんて関係ないさ……。			あんなふうに必死に俺たちを護ろうとして……それだけで彼女は、間違いなく王の資質がある。正体なんて関係ないさ……。			痛みに手を重ねて							
ソリューション・ナインの方は、概ね救助は終わったよ。今は、ほかの層に人員を割いてるところさ。			ソリューション・ナインの方は、概ね救助は終わったよ。今は、ほかの層に人員を割いてるところさ。			痛みに手を重ねて							
…………。			…………。			痛みに手を重ねて							
粗方、介抱は終わったみてぇだな。アリゼーたちはまだ戻ってきてねぇが……			粗方、介抱は終わったみてぇだな。アリゼーたちはまだ戻ってきてねぇが……			痛みに手を重ねて							
グルージャが心配でよ……。			グルージャが心配でよ……。			痛みに手を重ねて							
ずっとあの様子で、ふさぎ込んじまってるんだ。無理もないよ……。			ずっとあの様子で、ふさぎ込んじまってるんだ。無理もないよ……。			痛みに手を重ねて							
……グルージャに、ありのままを話そうと思うんだ。あの子は賢い……ゾラージャのことを周りが隠そうとしたって、きっとすぐに自分で気づくだろう。			……グルージャに、ありのままを話そうと思うんだ。あの子は賢い……ゾラージャのことを周りが隠そうとしたって、きっとすぐに自分で気づくだろう。			痛みに手を重ねて							
もし自分だけ真実を聞かされてなかったって知ったら、余計に傷つくと思う。だから、アタシたちが今、きちんと伝えてやらねぇと。			もし自分だけ真実を聞かされてなかったって知ったら、余計に傷つくと思う。だから、アタシたちが今、きちんと伝えてやらねぇと。			痛みに手を重ねて							
……わかった。あの子にはあたしたちがいるってこと、伝えてあげなきゃね。			……わかった。あの子にはあたしたちがいるってこと、伝えてあげなきゃね。			痛みに手を重ねて							
あんな小さな子にこんな思いをさせるなんて……。やりきれないよ……。			あんな小さな子にこんな思いをさせるなんて……。やりきれないよ……。			痛みに手を重ねて							
全部話そう。何が起きたのかも、これからどうするつもりなのかも……。			全部話そう。何が起きたのかも、これからどうするつもりなのかも……。			痛みに手を重ねて							
グルージャ……ここまでずっと我慢してたんだね……。それに、ウクラマトもさ……。			グルージャ……ここまでずっと我慢してたんだね……。それに、ウクラマトもさ……。			痛みに手を重ねて							
ありがとう……。それから……来るなって言われてたのに……勝手な行動をとって……ごめんなさい……。			ありがとう……。それから……来るなって言われてたのに……勝手な行動をとって……ごめんなさい……。			痛みに手を重ねて							
父さんをどうしても止めたかったんだ……。それに、知りたかった……父さんのこと……少しは好きになれるかもしれないから……。			父さんをどうしても止めたかったんだ……。それに、知りたかった……父さんのこと……少しは好きになれるかもしれないから……。			痛みに手を重ねて							
……グルージャ、少し休もう。いろいろあって疲れただろ。			……グルージャ、少し休もう。いろいろあって疲れただろ。			痛みに手を重ねて							
うん、いっぱい泣いたからかな……ちょっと眠くなってきちゃった。			うん、いっぱい泣いたからかな……ちょっと眠くなってきちゃった。			痛みに手を重ねて							
それなら、奥の部屋を使って休むといい。ウクラマト、連れていってあげてくれるかい？			それなら、奥の部屋を使って休むといい。ウクラマト、連れていってあげてくれるかい？			痛みに手を重ねて							
ああ、使わせてもらうぜ。ありがとよ！			ああ、使わせてもらうぜ。ありがとよ！			痛みに手を重ねて							
子どもにあんな想いをさせちまうなんてね。捨て子だとしても、父親であることに変わりはないんだ……ますますゾラージャが許せないよ。			子どもにあんな想いをさせちまうなんてね。捨て子だとしても、父親であることに変わりはないんだ……ますますゾラージャが許せないよ。			痛みに手を重ねて							
あんたも、おつかれさま。本当にありがとね……。			あんたも、おつかれさま。本当にありがとね……。			痛みに手を重ねて							
みんなが戻ってくるまで、少しでも休んでおきな。もうすぐ、いろんなことに決着をつけなきゃならな……い……。			みんなが戻ってくるまで、少しでも休んでおきな。もうすぐ、いろんなことに決着をつけなきゃならな……い……。			痛みに手を重ねて							
決戦の準備をし……てき……いいし、バックルームで休ん……ても……しさ。			決戦の準備をし……てき……いいし、バックルームで休ん……ても……しさ。			痛みに手を重ねて							
え、ノイズが入ってるって？……まだおかしいかい？			え、ノイズが入ってるって？……まだおかしいかい？			痛みに手を重ねて							
ふむ……。古い機械だから、ガタが来たんだろうさ。			ふむ……。古い機械だから、ガタが来たんだろうさ。			痛みに手を重ねて							
そんなことより、みんながそろったらすぐ作戦会議だからね！あんたも、必要なら休憩をとってから、ここに戻ってきとくれ。			そんなことより、みんながそろったらすぐ作戦会議だからね！あんたも、必要なら休憩をとってから、ここに戻ってきとくれ。			痛みに手を重ねて							
バックルームのウクラマトは、シェールに伝える言葉を選んでいるようだ。			バックルームのウクラマトは、シェールに伝える言葉を選んでいるようだ。			新たな家族を迎えて							
トライヨラの指定地点で待機			トライヨラの指定地点で待機			新たな家族を迎えて							
ウクラマトと話す			ウクラマトと話す			新たな家族を迎えて							
ウクラマトと再度話す			ウクラマトと再度話す			新たな家族を迎えて							
ウクラマトとさらに話す			ウクラマトとさらに話す			新たな家族を迎えて							
コーナと話す			コーナと話す			新たな家族を迎えて							
コーナと再度話す			コーナと再度話す			新たな家族を迎えて							
僕は、大丈夫……！心配してくれてありがとう。			僕は、大丈夫……！心配してくれてありがとう。			新たな家族を迎えて							
悪いな……カフキワのことは、アタシたちもまだよくわかってねぇんだ。今はヤ・シュトラたちが上で調べてる。			悪いな……カフキワのことは、アタシたちもまだよくわかってねぇんだ。今はヤ・シュトラたちが上で調べてる。			新たな家族を迎えて							
カフキワさん……。いつかこんな日が来るのは覚悟していましたが、さよならくらいは言わせてほしかったですよ……。			カフキワさん……。いつかこんな日が来るのは覚悟していましたが、さよならくらいは言わせてほしかったですよ……。			新たな家族を迎えて							
……知ってたんだな。本当はカフキワが亡くなってたってこと。			……知ってたんだな。本当はカフキワが亡くなってたってこと。			新たな家族を迎えて							
はい……。オブリビオンのメンバーは、全員知っていました。			はい……。オブリビオンのメンバーは、全員知っていました。			新たな家族を迎えて							
カフキワさんから、口止めされてたんですよ。あなた方にはまだ言わないでくれ……そのときが来れば、自分から話すからって。			カフキワさんから、口止めされてたんですよ。あなた方にはまだ言わないでくれ……そのときが来れば、自分から話すからって。			新たな家族を迎えて							
きっと、息子であるエレンヴィルさんに対して、どう伝えるべきか、葛藤していたんでしょう……。			きっと、息子であるエレンヴィルさんに対して、どう伝えるべきか、葛藤していたんでしょう……。			新たな家族を迎えて							
そうか……そりゃそうだよな……。別に隠してたことを責めるつもりはねぇさ。			そうか……そりゃそうだよな……。別に隠してたことを責めるつもりはねぇさ。			新たな家族を迎えて							
それで、アレクサンドリアのみんなの様子はどうだ？……ゾラージャの記憶も、みんなの中から消えちまうのか？			それで、アレクサンドリアのみんなの様子はどうだ？……ゾラージャの記憶も、みんなの中から消えちまうのか？			新たな家族を迎えて							
大半の人たちはまだ事態を把握できていません。そしてどうやら、ゾラージャ王の記憶は消えていないようです。最上層のゲートが閉じられたことと、関係があるのかどうか……。			大半の人たちはまだ事態を把握できていません。そしてどうやら、ゾラージャ王の記憶は消えていないようです。最上層のゲートが閉じられたことと、関係があるのかどうか……。			新たな家族を迎えて							
彼の訃報を伝えれば、民の不安は取り除けるかもしれません。しかし、スフェーン様までいなくなったと知れ渡れば、ただでさえ混乱している状況が、さらに悪化するはず……。			彼の訃報を伝えれば、民の不安は取り除けるかもしれません。しかし、スフェーン様までいなくなったと知れ渡れば、ただでさえ混乱している状況が、さらに悪化するはず……。			新たな家族を迎えて							
今はジオードがカフキワさんに代わって、行政の高官や、関係各所に接触しているところです。しばらくは情報統制もやむなし、ってことになりそうですね。			今はジオードがカフキワさんに代わって、行政の高官や、関係各所に接触しているところです。しばらくは情報統制もやむなし、ってことになりそうですね。			新たな家族を迎えて							
ありがとよ。スフェーンのことに決着がついたら、ちゃんと説明する。これは……アタシの責任だ。			ありがとよ。スフェーンのことに決着がついたら、ちゃんと説明する。これは……アタシの責任だ。			新たな家族を迎えて							
ゾラージャが率いていた軍……機械兵の様子はどうだ？あいつら、ゾラージャの権限で動いてたんだよな。			ゾラージャが率いていた軍……機械兵の様子はどうだ？あいつら、ゾラージャの権限で動いてたんだよな。			新たな家族を迎えて							
そのことで報告があります。			そのことで報告があります。			新たな家族を迎えて							
実は…………ちょうどゾラージャが息を引き取ったと思しきタイミングで、武王の権限が、グルージャに移譲されていたんです。			実は…………ちょうどゾラージャが息を引き取ったと思しきタイミングで、武王の権限が、グルージャに移譲されていたんです。			新たな家族を迎えて							
なっ……！グルージャが新しい武王ってことか……！？			なっ……！グルージャが新しい武王ってことか……！？			新たな家族を迎えて							
少なくとも基幹システムには、武王の後継者として、グルージャの名が登録されています。正式には戴冠式を経て承認となるはずですが……。			少なくとも基幹システムには、武王の後継者として、グルージャの名が登録されています。正式には戴冠式を経て承認となるはずですが……。			新たな家族を迎えて							
そんな……僕、そんなの受け継げないよ……！			そんな……僕、そんなの受け継げないよ……！			新たな家族を迎えて							
もちろん、今すぐ決める必要はないさ。ただ、機械兵を動かす権限が含まれている以上、軽々しく誰かに手渡すわけにもいかねぇ。			もちろん、今すぐ決める必要はないさ。ただ、機械兵を動かす権限が含まれている以上、軽々しく誰かに手渡すわけにもいかねぇ。			新たな家族を迎えて							
みんなと話し合いながらゆっくり決めればいい。だけど、ゾラージャ……兄さんが、遺したものだ……今はお前が、大切に預かっててくれ。			みんなと話し合いながらゆっくり決めればいい。だけど、ゾラージャ……兄さんが、遺したものだ……今はお前が、大切に預かっててくれ。			新たな家族を迎えて							
うん……。			うん……。			新たな家族を迎えて							
ねえ、ウクラマト……大丈夫？			ねえ、ウクラマト……大丈夫？			新たな家族を迎えて							
え…………？			え…………？			新たな家族を迎えて							
うわ、なんだ……アタシ……。今頃こんな……っ……くそ……！			うわ、なんだ……アタシ……。今頃こんな……っ……くそ……！			新たな家族を迎えて							
……っ……わからなかったんだ。ゾラージャ兄さんに対して、どんな感情を抱いたらいいのか……でも、涙が出そうになる……これっておかしいことか？			……っ……わからなかったんだ。ゾラージャ兄さんに対して、どんな感情を抱いたらいいのか……でも、涙が出そうになる……これっておかしいことか？			新たな家族を迎えて							
何と言う？			何と言う？			新たな家族を迎えて							
おかしくない			おかしくない			新たな家族を迎えて							
少し時間が必要なだけだ			少し時間が必要なだけだ			新たな家族を迎えて							
そっか……よかった……。			そっか……よかった……。			新たな家族を迎えて							
こちらのことは、僕たちに任せてもらって大丈夫ですよ。ヤ・シュトラさんたちの調査にも時間がかかるようですし、いちど故郷に戻ってみてはどうです？			こちらのことは、僕たちに任せてもらって大丈夫ですよ。ヤ・シュトラさんたちの調査にも時間がかかるようですし、いちど故郷に戻ってみてはどうです？			新たな家族を迎えて							
……そうだな、トライヨラの様子も気になるし、どのみちコーナ兄さんにはちゃんと報告しなきゃならねぇ。			……そうだな、トライヨラの様子も気になるし、どのみちコーナ兄さんにはちゃんと報告しなきゃならねぇ。			新たな家族を迎えて							
そうだ、ふたりも一緒に行こうぜ！			そうだ、ふたりも一緒に行こうぜ！			新たな家族を迎えて							
でも僕……父さんの子どもだから……みんなに嫌われないかな……？			でも僕……父さんの子どもだから……みんなに嫌われないかな……？			新たな家族を迎えて							
嫌われねぇさ！最初はみんな戸惑うかもしれないが、アタシがそうさせねぇ。			嫌われねぇさ！最初はみんな戸惑うかもしれないが、アタシがそうさせねぇ。			新たな家族を迎えて							
それにコーナ兄さんにも、お前のことを紹介してぇんだ。……新しい家族だってさ。			それにコーナ兄さんにも、お前のことを紹介してぇんだ。……新しい家族だってさ。			新たな家族を迎えて							
いいの……！？			いいの……！？			新たな家族を迎えて							
ああ……もちろんだ！お前がよければ、だけどよ！			ああ……もちろんだ！お前がよければ、だけどよ！			新たな家族を迎えて							
うん、家族になりたいよ……！ありがとう、ウクラマト……ううん、ラマチ！			うん、家族になりたいよ……！ありがとう、ウクラマト……ううん、ラマチ！			新たな家族を迎えて							
それじゃ、みんなでトライヨラに一時帰還だ！コーナ兄さんに会うために、まず「羽毛広場」に向かおうぜ！			それじゃ、みんなでトライヨラに一時帰還だ！コーナ兄さんに会うために、まず「羽毛広場」に向かおうぜ！			新たな家族を迎えて							
ゆっくり羽を伸ばしてきてください。僕も少し、ひとりになりたくて……。			ゆっくり羽を伸ばしてきてください。僕も少し、ひとりになりたくて……。			新たな家族を迎えて							
僕は僕……。うん、そうだよね……！			僕は僕……。うん、そうだよね……！			新たな家族を迎えて							
ともかく、元気そうな顔を見られてよかった……。無事だと報告は受けていましたが、やはり心配でしたから。			ともかく、元気そうな顔を見られてよかった……。無事だと報告は受けていましたが、やはり心配でしたから。			新たな家族を迎えて							
ドームの中にはさ……たしかにゾラージャ兄さんの国があったよ。			ドームの中にはさ……たしかにゾラージャ兄さんの国があったよ。			新たな家族を迎えて							
いや……正確には、ゾラージャ兄さんとスフェーンっていう、武王と理王、ふたりの王が統治するアレクサンドリアって国だ。			いや……正確には、ゾラージャ兄さんとスフェーンっていう、武王と理王、ふたりの王が統治するアレクサンドリアって国だ。			新たな家族を迎えて							
トライヨラと同じ「連王国」ってわけだな。			トライヨラと同じ「連王国」ってわけだな。			新たな家族を迎えて							
そこで生きる人たちの暮らしは、アタシたちにとっては馴染みのねぇものだったけど、みんな前向きに、懸命に生きてたんだ。			そこで生きる人たちの暮らしは、アタシたちにとっては馴染みのねぇものだったけど、みんな前向きに、懸命に生きてたんだ。			新たな家族を迎えて							
特にスフェーンの存在が大きくてさ。民のひとりひとりを、まるで家族みてぇに大切にしてた。			特にスフェーンの存在が大きくてさ。民のひとりひとりを、まるで家族みてぇに大切にしてた。			新たな家族を迎えて							
民を家族のように……。それはラマチと気が合いそうだね。			民を家族のように……。それはラマチと気が合いそうだね。			新たな家族を迎えて							
ああ、でもよ……。民への愛が暴走して、あいつは間違った選択をしちまった。だからこそ、アタシたちで止めてやらないとダメなんだ。			ああ、でもよ……。民への愛が暴走して、あいつは間違った選択をしちまった。だからこそ、アタシたちで止めてやらないとダメなんだ。			新たな家族を迎えて							
そのスフェーンが大事にしてた国民たち……アレクサンドリアで出会った連中は、気のいい奴らだったさ。よそ者のアタシたちにも親切にしてくれた。			そのスフェーンが大事にしてた国民たち……アレクサンドリアで出会った連中は、気のいい奴らだったさ。よそ者のアタシたちにも親切にしてくれた。			新たな家族を迎えて							
だけど、そんな彼らを……護るべき民を……ゾラージャ兄さんは虐殺して、自分の力に変えちまったんだ。			だけど、そんな彼らを……護るべき民を……ゾラージャ兄さんは虐殺して、自分の力に変えちまったんだ。			新たな家族を迎えて							
なぜ……そんなことを……。ブライトプルーム・ポストへ向かう道すがら、何があったか教えてほしい。			なぜ……そんなことを……。ブライトプルーム・ポストへ向かう道すがら、何があったか教えてほしい。			新たな家族を迎えて							
父さん……。			父さん……。			新たな家族を迎えて							
自国の民に手を出すとは……。王としてあるまじき行為だ……。			自国の民に手を出すとは……。王としてあるまじき行為だ……。			新たな家族を迎えて							
トライヨラ襲撃に失敗したゾラージャ兄さんは、より強大な力を得るために、大量の民を殺すよう兵に命じ……魂を奪って、自分の肉体を強化するために使ったんだ。			トライヨラ襲撃に失敗したゾラージャ兄さんは、より強大な力を得るために、大量の民を殺すよう兵に命じ……魂を奪って、自分の肉体を強化するために使ったんだ。			新たな家族を迎えて							
なぜそこまでして……。			なぜそこまでして……。			新たな家族を迎えて							
トライヨラを支配し、さらに世界すべてを統一する……。そんなことを言ってたけど、本心とは思えねぇよな。			トライヨラを支配し、さらに世界すべてを統一する……。そんなことを言ってたけど、本心とは思えねぇよな。			新たな家族を迎えて							
……ねぇ。ラマチたちを育ててくれたグルージャジャ様って、すごい人だったんでしょ？			……ねぇ。ラマチたちを育ててくれたグルージャジャ様って、すごい人だったんでしょ？			新たな家族を迎えて							
だからきっと……父さんは、証明したかったんだと思う。「偉大な王様の子ども」じゃなく、自分は自分なんだって……。			だからきっと……父さんは、証明したかったんだと思う。「偉大な王様の子ども」じゃなく、自分は自分なんだって……。			新たな家族を迎えて							
父上の血を引いた「奇跡の子」という呼び名が……次期国王と期待され続けてきたことが……ずっと兄さんを苦しめていたというのか。			父上の血を引いた「奇跡の子」という呼び名が……次期国王と期待され続けてきたことが……ずっと兄さんを苦しめていたというのか。			新たな家族を迎えて							
そうやって父さんに刻まれた記憶が、父さんを作っていったんだ。だからこそ、僕は捨てられたのかもしれない……父さんと違って……まっさらだったから。			そうやって父さんに刻まれた記憶が、父さんを作っていったんだ。だからこそ、僕は捨てられたのかもしれない……父さんと違って……まっさらだったから。			新たな家族を迎えて							
くそっ……。心の内を見せてくれないなんて言ってないで、もっと踏み込めばよかったんだ……アタシから……！			くそっ……。心の内を見せてくれないなんて言ってないで、もっと踏み込めばよかったんだ……アタシから……！			新たな家族を迎えて							
歩こう……。少し、気持ちを整理しながら話させてくれ。			歩こう……。少し、気持ちを整理しながら話させてくれ。			新たな家族を迎えて							
もちろん、父さんがやったことはダメなことだよ。だけど……それでも……父さんの歩いてきた路を知れるのは、少し嬉しいな。			もちろん、父さんがやったことはダメなことだよ。だけど……それでも……父さんの歩いてきた路を知れるのは、少し嬉しいな。			新たな家族を迎えて							
……僕には兄さんが羨ましかった。でも、それすらも重荷だったのかもしれませんね。			……僕には兄さんが羨ましかった。でも、それすらも重荷だったのかもしれませんね。			新たな家族を迎えて							
