コスタ・デル・ソルの執事ペ・エバローは、片を付けてほしいことがあるようだ。			コスタ・デル・ソルの執事ペ・エバローは、片を付けてほしいことがあるようだ。			浜辺のカイ魚							
その歓待を受けるべき人物……「美人の女学者」と、「腕の立つ冒険者」が、ちょうど到着したらしい。……ここで最後の依頼だ。			その歓待を受けるべき人物……「美人の女学者」と、「腕の立つ冒険者」が、ちょうど到着したらしい。……ここで最後の依頼だ。			人の命運、ワインの運命							
すぐそこにいる「美人の女学者」に、「特別な晩餐」の準備は整ったと、声をかけてくれ！			すぐそこにいる「美人の女学者」に、「特別な晩餐」の準備は整ったと、声をかけてくれ！			人の命運、ワインの運命							
敵の気配を感じた！！			敵の気配を感じた！！			人の命運、ワインの運命							
ヤ・シュトラは冒険者に言いたいことがあるようだ。			ヤ・シュトラは冒険者に言いたいことがあるようだ。			永遠なる海雄旅団							
五傑衆は、歓待の準備を通じて「冒険者が蛮神討伐に必要な能力を持っているかどうか」を計っていたという。今ひとときは、コスタ・デル・ソルの宴を楽しもう。まずは「常夏の踊り子」に話しかけてみよう。			五傑衆は、歓待の準備を通じて「冒険者が蛮神討伐に必要な能力を持っているかどうか」を計っていたという。今ひとときは、コスタ・デル・ソルの宴を楽しもう。まずは「常夏の踊り子」に話しかけてみよう。			永遠なる海雄旅団							
美しい踊りを見せてもらった。次はディルストヴェイツの用意した食事を食べてみよう。			美しい踊りを見せてもらった。次はディルストヴェイツの用意した食事を食べてみよう。			永遠なる海雄旅団							
料理に舌鼓を打った。次は五傑衆のメンバーたちと話そう。			料理に舌鼓を打った。次は五傑衆のメンバーたちと話そう。			永遠なる海雄旅団							
五傑衆は皆、冒険者の能力を評価しているようだ。そろそろ宴もたけなわだ。「ヤ・シュトラ」に話しかけよう。			五傑衆は皆、冒険者の能力を評価しているようだ。そろそろ宴もたけなわだ。「ヤ・シュトラ」に話しかけよう。			永遠なる海雄旅団							
ヤ・シュトラは、ヴェイスケートたちの歓待方法に少し呆れているようだ。ヴェイスケートらの試練は乗り越えた。蛮神「タイタン」に挑む方法を教えてもらおう。			ヤ・シュトラは、ヴェイスケートたちの歓待方法に少し呆れているようだ。ヴェイスケートらの試練は乗り越えた。蛮神「タイタン」に挑む方法を教えてもらおう。			永遠なる海雄旅団							
常夏の踊り子と話す			常夏の踊り子と話す			永遠なる海雄旅団							
テーブルの食事を食べる			テーブルの食事を食べる			永遠なる海雄旅団							
ヴェイスケートたちと話す			ヴェイスケートたちと話す			永遠なる海雄旅団							
ヤ・シュトラと話す			ヤ・シュトラと話す			永遠なる海雄旅団							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			永遠なる海雄旅団							
ええ、お探しの「女学者」は私よ。あなたもひどい目に遭ったわね……。……何がって、この宴の準備よ！			ええ、お探しの「女学者」は私よ。あなたもひどい目に遭ったわね……。……何がって、この宴の準備よ！			永遠なる海雄旅団							
あなたは、歓待されるべき「腕の立つ冒険者」なのに、準備をいちから手伝わされていたの。			あなたは、歓待されるべき「腕の立つ冒険者」なのに、準備をいちから手伝わされていたの。			永遠なる海雄旅団							
ゲゲルジュも、とんだ勘違いをしたものだわ……。彼に、文句のひとつでも言ってらっしゃい。			ゲゲルジュも、とんだ勘違いをしたものだわ……。彼に、文句のひとつでも言ってらっしゃい。			永遠なる海雄旅団							
ひぇぇぇ！！どうか許してほしいんじゃよ～～！			ひぇぇぇ！！どうか許してほしいんじゃよ～～！			永遠なる海雄旅団							
すすす、すみませんっしたぁぁぁぁぁ！！せっせと働いてたもんじゃから、新しい使用人かとぉぉ！……このとおりじゃぁぁ！			すすす、すみませんっしたぁぁぁぁぁ！！せっせと働いてたもんじゃから、新しい使用人かとぉぉ！……このとおりじゃぁぁ！			永遠なる海雄旅団							
(-？？？？-)何とぼけたツラしてやがる。主役がそれじゃ、宴も盛り上がらんだろう。			(-？？？？-)何とぼけたツラしてやがる。主役がそれじゃ、宴も盛り上がらんだろう。			永遠なる海雄旅団							
旦那様とお前らだけじゃ、寂しかろうと思ってな。			旦那様とお前らだけじゃ、寂しかろうと思ってな。			永遠なる海雄旅団							
招待状をありがとう、海雄旅団の元副団長さん。……でも、盛り上がれというならば、まずは本人への説明が先ではないかしら？			招待状をありがとう、海雄旅団の元副団長さん。……でも、盛り上がれというならば、まずは本人への説明が先ではないかしら？			永遠なる海雄旅団							
そうだな、お前には説明しておかねばなるまい。……かつて海雄旅団には、ある取り決めがあった。			そうだな、お前には説明しておかねばなるまい。……かつて海雄旅団には、ある取り決めがあった。			永遠なる海雄旅団							
団長が選出した5人の団員……。我ら「五傑衆」の承認なく、蛮神に挑むことは認めない。仲間の命を無駄にしないための、鉄のシキタリだった。			団長が選出した5人の団員……。我ら「五傑衆」の承認なく、蛮神に挑むことは認めない。仲間の命を無駄にしないための、鉄のシキタリだった。			永遠なる海雄旅団							
勇ましき「度胸」を量るランドゥネル。巧みな「技」を量るウ・オド・ヌン。			勇ましき「度胸」を量るランドゥネル。巧みな「技」を量るウ・オド・ヌン。			永遠なる海雄旅団							
臨機応変な「機転」を量るブレイフロクス。不屈の「心」を量るシャマニ・ローマニ。			臨機応変な「機転」を量るブレイフロクス。不屈の「心」を量るシャマニ・ローマニ。			永遠なる海雄旅団							
そして、強き「力」を量るのが、この俺……。副団長ヴェイスケートの役目だったのだ。			そして、強き「力」を量るのが、この俺……。副団長ヴェイスケートの役目だったのだ。			永遠なる海雄旅団							
いずれも、蛮神と戦うのに必要な素質だ。圧倒的な力の相手に勝利を収めるため、俺たちは、共に命をかける仲間を見定めてきた。			いずれも、蛮神と戦うのに必要な素質だ。圧倒的な力の相手に勝利を収めるため、俺たちは、共に命をかける仲間を見定めてきた。			永遠なる海雄旅団							
あら、無駄に使い走りにしていたわけではないのね。……それで、結果はどうだったのかしら？			あら、無駄に使い走りにしていたわけではないのね。……それで、結果はどうだったのかしら？			永遠なる海雄旅団							
おいおい、宴の準備をさせたんだぜ？			おいおい、宴の準備をさせたんだぜ？			永遠なる海雄旅団							
ここに並べられた料理は、どれも中途半端な猛者に揃えられるものじゃねぇ。			ここに並べられた料理は、どれも中途半端な猛者に揃えられるものじゃねぇ。			永遠なる海雄旅団							
同時に、私たちの信頼の証でもあります。			同時に、私たちの信頼の証でもあります。			永遠なる海雄旅団							
シュコォ、シュコォ……オマエ　負けないゴブ！タイタン　たお～す！			シュコォ、シュコォ……オマエ　負けないゴブ！タイタン　たお～す！			永遠なる海雄旅団							
……というわけだ、Surname。海雄旅団は、お前のタイタン討伐に全面的に協力しよう。			……というわけだ、Surname。海雄旅団は、お前のタイタン討伐に全面的に協力しよう。			永遠なる海雄旅団							
俺たちの英雄譚を、お前に託す。			俺たちの英雄譚を、お前に託す。			永遠なる海雄旅団							
さあ宴だ！　踊り子たちの準備はいいな？ディルストヴェイツの料理は、ロータノ海で一番ンまいぞ！			さあ宴だ！　踊り子たちの準備はいいな？ディルストヴェイツの料理は、ロータノ海で一番ンまいぞ！			永遠なる海雄旅団							
久方ぶりに、蛮神「タイタン」討伐の英雄を送り出すんだ。宴席まで老け込むんじゃねぇぞ、野郎ども！			久方ぶりに、蛮神「タイタン」討伐の英雄を送り出すんだ。宴席まで老け込むんじゃねぇぞ、野郎ども！			永遠なる海雄旅団							
(-元海雄旅団の団員たち-)オォォォ！			(-元海雄旅団の団員たち-)オォォォ！			永遠なる海雄旅団							
こうして、昔なじみと再会しちまうとよォ！テメェみたいに、また冒険を始めたくなっちまうぜェェ！！			こうして、昔なじみと再会しちまうとよォ！テメェみたいに、また冒険を始めたくなっちまうぜェェ！！			永遠なる海雄旅団							
忘れられたオアシスを離れるのは久しぶりだ。旧知の仲間と、うまい飯……か。たまには、悪くねぇな。			忘れられたオアシスを離れるのは久しぶりだ。旧知の仲間と、うまい飯……か。たまには、悪くねぇな。			永遠なる海雄旅団							
珍味　ウマ～イ！景色　キレ～イ！			珍味　ウマ～イ！景色　キレ～イ！			永遠なる海雄旅団							
風が心地良いですね。今日は、素晴らしい日になりそうだ。			風が心地良いですね。今日は、素晴らしい日になりそうだ。			永遠なる海雄旅団							
宴の主役なんだから、もっともっと楽しんで？アタシたちも、今日はアナタのために踊るわ。うふっ。			宴の主役なんだから、もっともっと楽しんで？アタシたちも、今日はアナタのために踊るわ。うふっ。			永遠なる海雄旅団							
うふふ、アタシの踊りはいかが？とろけるような甘い夢を見せてあげる。			うふふ、アタシの踊りはいかが？とろけるような甘い夢を見せてあげる。			永遠なる海雄旅団							
三大珍味の料理をたいらげた！			三大珍味の料理をたいらげた！			永遠なる海雄旅団							
お前の「力」は本物だ。その実力があれば、蛮神「タイタン」に勝てるだろう。いい報せが来るのを待ってるぞ。			お前の「力」は本物だ。その実力があれば、蛮神「タイタン」に勝てるだろう。いい報せが来るのを待ってるぞ。			永遠なる海雄旅団							
へへっ、テメェの「度胸」があればよォ、タイタンを前にしても、怯むことはないはずだぜ？きつい一発を、ぶッ込んできやがれ！			へへっ、テメェの「度胸」があればよォ、タイタンを前にしても、怯むことはないはずだぜ？きつい一発を、ぶッ込んできやがれ！			永遠なる海雄旅団							
お前なら、タイタンにも勝てちまうかもしれねぇな。俺が認めた「技量」があるんだ、自信持てよ？			お前なら、タイタンにも勝てちまうかもしれねぇな。俺が認めた「技量」があるんだ、自信持てよ？			永遠なる海雄旅団							
オマエ　結構　みどころ　あるゴブ！「機転」　活かして　タイタン　倒せ～！			オマエ　結構　みどころ　あるゴブ！「機転」　活かして　タイタン　倒せ～！			永遠なる海雄旅団							
タイタンは恐ろしい蛮神です。勝利を掴むのは、容易ではないでしょう。			タイタンは恐ろしい蛮神です。勝利を掴むのは、容易ではないでしょう。			永遠なる海雄旅団							
ですが、私には見えます。不屈の「心」でタイタンに挑み、勝利するあなたの姿が。……ご武運お祈りしています。			ですが、私には見えます。不屈の「心」でタイタンに挑み、勝利するあなたの姿が。……ご武運お祈りしています。			永遠なる海雄旅団							
まったく、ヴェイスケートたちも人が悪いわ。でもこれで、タイタンに挑む方法を聞けそうね。			まったく、ヴェイスケートたちも人が悪いわ。でもこれで、タイタンに挑む方法を聞けそうね。			永遠なる海雄旅団							
さぁ、ヴェイスケートから聞きだしましょう。そして、蛮神「タイタン」を必ず……。			さぁ、ヴェイスケートから聞きだしましょう。そして、蛮神「タイタン」を必ず……。			永遠なる海雄旅団							
コスタ・デル・ソルのヴェイスケートは、冒険者に手伝わせたいことがあるようだ。			コスタ・デル・ソルのヴェイスケートは、冒険者に手伝わせたいことがあるようだ。			晩餐に添える華							
*本クエストは調整されました。一度破棄し、コスタ・デル・ソルの「ヤ・シュトラ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、コスタ・デル・ソルの「ヤ・シュトラ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			晩餐に添える華							
ディルストヴェイツから準備を指示された。まずは「鮮やかな花々」を「晩餐の装飾」に置こう。			ディルストヴェイツから準備を指示された。まずは「鮮やかな花々」を「晩餐の装飾」に置こう。			晩餐に添える華							
宴の席は鮮やかな花々で彩られた。次は「バッカスの酒杯」を「晩餐の酒杯」に置こう。			宴の席は鮮やかな花々で彩られた。次は「バッカスの酒杯」を「晩餐の酒杯」に置こう。			晩餐に添える華							
宴の席にバッカスの酒杯が並んだ。最後に「三大珍味の料理」を3つ、「晩餐の食卓」に置こう。			宴の席にバッカスの酒杯が並んだ。最後に「三大珍味の料理」を3つ、「晩餐の食卓」に置こう。			晩餐に添える華							
準備がすべて整った。「ヴェイスケート」に報告しよう。			準備がすべて整った。「ヴェイスケート」に報告しよう。			晩餐に添える華							
ヴェイスケートによると「歓待する要人」はすぐ近くにいるようだが……？			ヴェイスケートによると「歓待する要人」はすぐ近くにいるようだが……？			晩餐に添える華							
*本クエストは調整されました。一度破棄し、コスタ・デル・ソルのヤ・シュトラから再受注してください			*本クエストは調整されました。一度破棄し、コスタ・デル・ソルのヤ・シュトラから再受注してください			晩餐に添える華							
……さあ、ついに準備が整ったな。いろいろとご苦労だった。			……さあ、ついに準備が整ったな。いろいろとご苦労だった。			晩餐に添える華							
すでに、ゲゲルジュの旦那が「特別な晩餐」で歓待する要人……「美人の女学者」と、その連れが到着していてね。			すでに、ゲゲルジュの旦那が「特別な晩餐」で歓待する要人……「美人の女学者」と、その連れが到着していてね。			晩餐に添える華							
美人っつっても、俺はミコッテ族の女に興味はねえが……。学者の連れの「腕の立つ冒険者」は、十分に歓待してやらんとな！			美人っつっても、俺はミコッテ族の女に興味はねえが……。学者の連れの「腕の立つ冒険者」は、十分に歓待してやらんとな！			晩餐に添える華							
そうだ、飾りつけや配膳の手が足りんらしい。「ディルストヴェイツ」の手伝いをしてこい。			そうだ、飾りつけや配膳の手が足りんらしい。「ディルストヴェイツ」の手伝いをしてこい。			晩餐に添える華							
……あいつの料理はンまいぞ。期待しておけ。			……あいつの料理はンまいぞ。期待しておけ。			晩餐に添える華							
おっとっと、ちょうどいいところに来たな！この「三大珍味の料理」と「鮮やかな花々」、それから「バッカスの酒杯」を配ってくれよ！			おっとっと、ちょうどいいところに来たな！この「三大珍味の料理」と「鮮やかな花々」、それから「バッカスの酒杯」を配ってくれよ！			晩餐に添える華							
お前のおかげで用意できた「特別な晩餐」だ！最後まで、手を抜かずにやってくれよ？			お前のおかげで用意できた「特別な晩餐」だ！最後まで、手を抜かずにやってくれよ？			晩餐に添える華							
「料理」を指定の地点におく×３			「料理」を指定の地点におく×３			晩餐に添える華							
「料理」を指定の地点におく×３			「料理」を指定の地点におく×３			晩餐に添える華							
「料理」を指定の地点におく×３			「料理」を指定の地点におく×３			晩餐に添える華							
「ワイン」を指定の地点におく×２			「ワイン」を指定の地点におく×２			晩餐に添える華							
「ワイン」を指定の地点におく×２			「ワイン」を指定の地点におく×２			晩餐に添える華							
「かざりつけの花」を指定の地点におく×３			「かざりつけの花」を指定の地点におく×３			晩餐に添える華							
「かざりつけの花」を指定の地点におく×３			「かざりつけの花」を指定の地点におく×３			晩餐に添える華							
「かざりつけの花」を指定の地点におく×３			「かざりつけの花」を指定の地点におく×３			晩餐に添える華							
よし、準備は整ったようだな。では早速、宴を始めるとしようか！！			よし、準備は整ったようだな。では早速、宴を始めるとしようか！！			晩餐に添える華							
歓待する「美人の女学者」は、すぐそばにいる。さあ、声を掛けてみろ！			歓待する「美人の女学者」は、すぐそばにいる。さあ、声を掛けてみろ！			晩餐に添える華							
コスタ・デル・ソルのヴェイスケートは冒険者にタイタンの情報を教えたいようだ。			コスタ・デル・ソルのヴェイスケートは冒険者にタイタンの情報を教えたいようだ。			口笛は風に乗り							
タイタンのところに行くには「ある物」が必要らしい。ヴェイスケートの部下リオルに会うため、ブロンズレイクに3箇所ある「指定地点」で、口笛を吹こう。			タイタンのところに行くには「ある物」が必要らしい。ヴェイスケートの部下リオルに会うため、ブロンズレイクに3箇所ある「指定地点」で、口笛を吹こう。			口笛は風に乗り							
3箇所で口笛を吹いた。キャンプ・ブロンズレイクの一番高い所に現れた「リオル」に話しかけよう。			3箇所で口笛を吹いた。キャンプ・ブロンズレイクの一番高い所に現れた「リオル」に話しかけよう。			口笛は風に乗り							
リオルと無事会うことができた。リオルが調査しておいたと言う「ある物」とは、一体何なのだろうか。			リオルと無事会うことができた。リオルが調査しておいたと言う「ある物」とは、一体何なのだろうか。			口笛は風に乗り							
キャンプ・ブロンズレイクの指定地点で口笛を吹く			キャンプ・ブロンズレイクの指定地点で口笛を吹く			口笛は風に乗り							
リオルと話す			リオルと話す			口笛は風に乗り							
「五傑衆」が承認を出したんだ、約束どおり、蛮神「タイタン」のもとへ行く方法を教えよう。			「五傑衆」が承認を出したんだ、約束どおり、蛮神「タイタン」のもとへ行く方法を教えよう。			口笛は風に乗り							
オ・ゴモロ山の火口に乗り込むには、「ある物」を探さなきゃいけねぇ。だが安心しな、俺の元部下「リオル」が調査にあたっている。			オ・ゴモロ山の火口に乗り込むには、「ある物」を探さなきゃいけねぇ。だが安心しな、俺の元部下「リオル」が調査にあたっている。			口笛は風に乗り							
「ブロンズレイク」のあちこちで「口笛」を吹け。三ツ笛……それが「海雄旅団」の合図だ。ブロンズレイクの一番高いところにリオルが来てくれるさ。			「ブロンズレイク」のあちこちで「口笛」を吹け。三ツ笛……それが「海雄旅団」の合図だ。ブロンズレイクの一番高いところにリオルが来てくれるさ。			口笛は風に乗り							
ブロンズレイクは、ワインポートを北に抜けた先にある。気をつけていくんだぜ。			ブロンズレイクは、ワインポートを北に抜けた先にある。気をつけていくんだぜ。			口笛は風に乗り							
ブロンズレイクの指定地点で口笛を吹く×３			ブロンズレイクの指定地点で口笛を吹く×３			口笛は風に乗り							
ブロンズレイクの指定地点で口笛を吹く×３			ブロンズレイクの指定地点で口笛を吹く×３			口笛は風に乗り							
ブロンズレイクの指定地点で口笛を吹く×３			ブロンズレイクの指定地点で口笛を吹く×３			口笛は風に乗り							
お前が、副団長が言っていた冒険者か。ヴェイスケート副団長から連絡があったんだ。三ツ笛で呼び出されるなんざ、久しぶりだぜ。			お前が、副団長が言っていた冒険者か。ヴェイスケート副団長から連絡があったんだ。三ツ笛で呼び出されるなんざ、久しぶりだぜ。			口笛は風に乗り							
オ・ゴモロ山の火口に乗り込む、入り口のことだな？任せろ、とっくに調査済みさ。			オ・ゴモロ山の火口に乗り込む、入り口のことだな？任せろ、とっくに調査済みさ。			口笛は風に乗り							
