東龍鱗橋付近のイッセは、落ち着かない様子だ。			東龍鱗橋付近のイッセは、落ち着かない様子だ。			踏み出す一歩							
クロバナを探し、敵が現れたら討伐			クロバナを探し、敵が現れたら討伐			人狼族のクロバナ							
クロバナを救助			クロバナを救助			人狼族のクロバナ							
フクドに報告			フクドに報告			人狼族のクロバナ							
その見慣れぬ身なり、もしや旅の方か？もしそうなら、相談したいことがあるのだが、話だけでも聞いてはくれないだろうか？			その見慣れぬ身なり、もしや旅の方か？もしそうなら、相談したいことがあるのだが、話だけでも聞いてはくれないだろうか？			人狼族のクロバナ							
そなたは、「人狼族」をご存知かな？狼のような姿をした獣人でな、戦に長けた、武の民として知られているのだ。			そなたは、「人狼族」をご存知かな？狼のような姿をした獣人でな、戦に長けた、武の民として知られているのだ。			人狼族のクロバナ							
人狼族は、長くドマの殿様に仕えてきた歴史がある。もっとも、帝国の支配下となってからは、兵に取られたり、それを拒み野盗化した者がいたりと、散々な状況だがな。			人狼族は、長くドマの殿様に仕えてきた歴史がある。もっとも、帝国の支配下となってからは、兵に取られたり、それを拒み野盗化した者がいたりと、散々な状況だがな。			人狼族のクロバナ							
ところで、ここナマイ村にも、はるか昔から代々暮らしてきた人狼族の一族がいる。危険な獣や魔物から、村を守ってくれていたのだが……。			ところで、ここナマイ村にも、はるか昔から代々暮らしてきた人狼族の一族がいる。危険な獣や魔物から、村を守ってくれていたのだが……。			人狼族のクロバナ							
大黒柱だった、長兄が帝国軍に徴兵されてしまい、次男と病がちな母親のふたりが、残されることになったのだ。			大黒柱だった、長兄が帝国軍に徴兵されてしまい、次男と病がちな母親のふたりが、残されることになったのだ。			人狼族のクロバナ							
当然、村の皆は弟に、兄のような働きぶりを期待した。……ところが、その弟は、兄はおろか、ほかの人狼族とも比較にならぬ、ひ弱な者でな。			当然、村の皆は弟に、兄のような働きぶりを期待した。……ところが、その弟は、兄はおろか、ほかの人狼族とも比較にならぬ、ひ弱な者でな。			人狼族のクロバナ							
村を守るどころか、役にすら立てないでいる次第なのだ。そんな状況にあっては、人狼族特有の大食いも悪目立ちする。村の者からの視線も、厳しくなろうというものよな。			村を守るどころか、役にすら立てないでいる次第なのだ。そんな状況にあっては、人狼族特有の大食いも悪目立ちする。村の者からの視線も、厳しくなろうというものよな。			人狼族のクロバナ							
とはいえ、病弱な母を必死に支える優しい奴だから、陰口をたたかれる今の境遇が、どうにも不憫でならないのだ。			とはいえ、病弱な母を必死に支える優しい奴だから、陰口をたたかれる今の境遇が、どうにも不憫でならないのだ。			人狼族のクロバナ							
見たところ、そなたは、ただの風来坊ではなく、かなり腕の立つ武人とお見受けする。その腕で、どうか件の人狼族の力になってくれぬだろうか？			見たところ、そなたは、ただの風来坊ではなく、かなり腕の立つ武人とお見受けする。その腕で、どうか件の人狼族の力になってくれぬだろうか？			人狼族のクロバナ							
かたじけない。助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			かたじけない。助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			人狼族のクロバナ							
助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			助けていただきたい青年の名は、「クロバナ」。彼の住まいは、西の高台の上だ……訪ねてみてほしい。			人狼族のクロバナ							
見ない顔だが……どちらさんで？うちに何か用でも？			見ない顔だが……どちらさんで？うちに何か用でも？			人狼族のクロバナ							
フクドさんが、そんな話をしてたのか？あのおっさんも、本当に世話焼きだな、まったく……。			フクドさんが、そんな話をしてたのか？あのおっさんも、本当に世話焼きだな、まったく……。			人狼族のクロバナ							
たしかに、あなたがフクドさんから聞いたとおり、俺には戦いの才能がないんだ。何度挑戦しても、うまくいった試しなんて一度もないしな。			たしかに、あなたがフクドさんから聞いたとおり、俺には戦いの才能がないんだ。何度挑戦しても、うまくいった試しなんて一度もないしな。			人狼族のクロバナ							
もちろん、兄貴のように村の役に立ちたいとは思ってるさ。けれど、戦えないんじゃ、村の役に立ちようがないだろう？			もちろん、兄貴のように村の役に立ちたいとは思ってるさ。けれど、戦えないんじゃ、村の役に立ちようがないだろう？			人狼族のクロバナ							
病気がちな母さんを支えるために、自分で薬草を取って、村のみんなに迷惑をかけないようにするのが、俺にとっては、精一杯なんだよ……。			病気がちな母さんを支えるために、自分で薬草を取って、村のみんなに迷惑をかけないようにするのが、俺にとっては、精一杯なんだよ……。			人狼族のクロバナ							
……さてと、そろそろ失礼してもいいかな？採ってきた薬草をすり潰して、母さんに飲ませてやらないといけないからさ。			……さてと、そろそろ失礼してもいいかな？採ってきた薬草をすり潰して、母さんに飲ませてやらないといけないからさ。			人狼族のクロバナ							
クロバナは、かなり弱気なようだ。「励ます」と、彼もやる気を出してくれるかもしれない。			クロバナは、かなり弱気なようだ。「励ます」と、彼もやる気を出してくれるかもしれない。			人狼族のクロバナ							
なんだい、まだ何か用かい？特に無いようなら、お引き取り願えるかな。			なんだい、まだ何か用かい？特に無いようなら、お引き取り願えるかな。			人狼族のクロバナ							
旅人のあなたが、なんでそこまで俺を気にかけるんだか……わかったよ、やってみればいいんだろう？ひさしぶりに無二江のあたりで、魔物退治に挑戦してみるよ。			旅人のあなたが、なんでそこまで俺を気にかけるんだか……わかったよ、やってみればいいんだろう？ひさしぶりに無二江のあたりで、魔物退治に挑戦してみるよ。			人狼族のクロバナ							
けど、さっきも言ったとおり、うまくいった試しなんて一度もないんだ。期待しない方がいいと思うけどな……。			けど、さっきも言ったとおり、うまくいった試しなんて一度もないんだ。期待しない方がいいと思うけどな……。			人狼族のクロバナ							
……どうもありがとう、助かったよ。でも、これであなたもわかったろ？			……どうもありがとう、助かったよ。でも、これであなたもわかったろ？			人狼族のクロバナ							
俺には戦いの才能がない、ってさ。ハクロウ兄さんとは、違うんだよ……。			俺には戦いの才能がない、ってさ。ハクロウ兄さんとは、違うんだよ……。			人狼族のクロバナ							
さあ、俺への手助けは、もう終わりでいいよ。ちゃんと言われたとおり、力を貸したって、「フクド」さんに報告してやんな。			さあ、俺への手助けは、もう終わりでいいよ。ちゃんと言われたとおり、力を貸したって、「フクド」さんに報告してやんな。			人狼族のクロバナ							
さっき、槍を持って出かけるクロバナの姿が見えたぞ。結果はどうだった？			さっき、槍を持って出かけるクロバナの姿が見えたぞ。結果はどうだった？			人狼族のクロバナ							
そうか、ダメだったか……。兄のハクロウは、武に長けていたから、その血は、あいつにも、きっと流れていると思うんだがなぁ。			そうか、ダメだったか……。兄のハクロウは、武に長けていたから、その血は、あいつにも、きっと流れていると思うんだがなぁ。			人狼族のクロバナ							
どうにかして今の境遇を変えてやりたいんだが、いったいどうしたものか……。			どうにかして今の境遇を変えてやりたいんだが、いったいどうしたものか……。			人狼族のクロバナ							
どうするのがよい？			どうするのがよい？			人狼族のクロバナ							
魔物退治以外のことに挑戦させてみたら？			魔物退治以外のことに挑戦させてみたら？			人狼族のクロバナ							
…………。			…………。			人狼族のクロバナ							
魔物退治以外のことをやらせる？……そうか、そのとおりだ！なぜ、そんな単純な発想の転換ができなかったのか！			魔物退治以外のことをやらせる？……そうか、そのとおりだ！なぜ、そんな単純な発想の転換ができなかったのか！			人狼族のクロバナ							
ううむ……いや、待てよ。いっそ、魔物退治にこだわらずに、ほかのことをやらせてみるのも手か……！？			ううむ……いや、待てよ。いっそ、魔物退治にこだわらずに、ほかのことをやらせてみるのも手か……！？			人狼族のクロバナ							
人狼族であれば、誰もが武に長けているはずだと、頭が固くなってしまっていたようだ。まったく、年は重ねたくないものだな！			人狼族であれば、誰もが武に長けているはずだと、頭が固くなってしまっていたようだ。まったく、年は重ねたくないものだな！			人狼族のクロバナ							
そうと決まれば、さっそくクロバナのやつに、魔物退治以外のことをやらせてみるとしよう。			そうと決まれば、さっそくクロバナのやつに、魔物退治以外のことをやらせてみるとしよう。			人狼族のクロバナ							
旅の途中であろうに、止めてしまって悪いのだが、もし引き続き付き合ってくれるようなら、また私に声をかけてほしい。			旅の途中であろうに、止めてしまって悪いのだが、もし引き続き付き合ってくれるようなら、また私に声をかけてほしい。			人狼族のクロバナ							
ナマイ村のクロバナは、自分は間違っていないと確信しているようだ。			ナマイ村のクロバナは、自分は間違っていないと確信しているようだ。			クロバナ、原因究明に挑む！							
クロバナと話した。ハヤブサが、田の臭いの異変に気づいていないだけだと思う、と語るクロバナ。ナマイ村の、西の方の田に調査に向かった「クロバナ」と話そう。			クロバナと話した。ハヤブサが、田の臭いの異変に気づいていないだけだと思う、と語るクロバナ。ナマイ村の、西の方の田に調査に向かった「クロバナ」と話そう。			クロバナ、原因究明に挑む！							
クロバナと話した。どうやら、この辺りの田からは変な臭いはしないそうだ。雑草むしりをした田に向かった、玄水連山の「クロバナ」と再度話そう。			クロバナと話した。どうやら、この辺りの田からは変な臭いはしないそうだ。雑草むしりをした田に向かった、玄水連山の「クロバナ」と再度話そう。			クロバナ、原因究明に挑む！							
クロバナと話した。ここの田からは、やはり違う臭いがするらしい。物音がすると言い、貯水池に向かったクロバナ。玄水連山にいる「クロバナ」とさらに話そう。			クロバナと話した。ここの田からは、やはり違う臭いがするらしい。物音がすると言い、貯水池に向かったクロバナ。玄水連山にいる「クロバナ」とさらに話そう。			クロバナ、原因究明に挑む！							
クロバナと話した。眼前には、クロバナが見たことがないという魔物がいる。玄水連山で魔物を退治しよう。			クロバナと話した。眼前には、クロバナが見たことがないという魔物がいる。玄水連山で魔物を退治しよう。			クロバナ、原因究明に挑む！							
魔物を退治した。玄水連山にいる「クロバナ」と話そう。			魔物を退治した。玄水連山にいる「クロバナ」と話そう。			クロバナ、原因究明に挑む！							
クロバナと話した。臭いの原因は、どうやら冒険者が倒した魔物だったらしい。ナマイ村の「フクド」に、一部始終を報告しよう。			クロバナと話した。臭いの原因は、どうやら冒険者が倒した魔物だったらしい。ナマイ村の「フクド」に、一部始終を報告しよう。			クロバナ、原因究明に挑む！							
フクドに報告した。疑っていたことを謝ると同時に、倉にある収穫済みの米の確認と、田の見回りならぬ嗅ぎ回りをクロバナに頼むハヤブサ。突然の提案に驚くクロバナだが、これを快諾する。その様子を見ていたアゲタからも、同様の依頼を受け、村の人たちから必要とされる日が来るとは思っていなかったと、喜んで話すクロバナなのであった。			フクドに報告した。疑っていたことを謝ると同時に、倉にある収穫済みの米の確認と、田の見回りならぬ嗅ぎ回りをクロバナに頼むハヤブサ。突然の提案に驚くクロバナだが、これを快諾する。その様子を見ていたアゲタからも、同様の依頼を受け、村の人たちから必要とされる日が来るとは思っていなかったと、喜んで話すクロバナなのであった。			クロバナ、原因究明に挑む！							
クロバナと話す			クロバナと話す			クロバナ、原因究明に挑む！							
クロバナと再度話す			クロバナと再度話す			クロバナ、原因究明に挑む！							
クロバナとさらに話す			クロバナとさらに話す			クロバナ、原因究明に挑む！							
ホウコウを討伐			ホウコウを討伐			クロバナ、原因究明に挑む！							
クロバナと話す			クロバナと話す			クロバナ、原因究明に挑む！							
フクドに報告			フクドに報告			クロバナ、原因究明に挑む！							
ハヤブサさんの田なんだけど……やっぱり、絶対に臭いがヘンだったと思うんだ。			ハヤブサさんの田なんだけど……やっぱり、絶対に臭いがヘンだったと思うんだ。			クロバナ、原因究明に挑む！							
これがこう、って具体的には言いづらいんだけれど、とにかくどこか、普通の田とは違う臭いがしたんだよ。			これがこう、って具体的には言いづらいんだけれど、とにかくどこか、普通の田とは違う臭いがしたんだよ。			クロバナ、原因究明に挑む！							
俺たち人狼族は、ヒトより嗅覚が鋭いから、ハヤブサさんが、まだ気付いていないだけだと思うんだ。			俺たち人狼族は、ヒトより嗅覚が鋭いから、ハヤブサさんが、まだ気付いていないだけだと思うんだ。			クロバナ、原因究明に挑む！							
気になってしょうがないから、ちょっと調べたいんだけど、力を貸してくれないかい？			気になってしょうがないから、ちょっと調べたいんだけど、力を貸してくれないかい？			クロバナ、原因究明に挑む！							
調べるのは構わないが、これ以上ハヤブサを怒らせるようなことは避けるのだぞ。			調べるのは構わないが、これ以上ハヤブサを怒らせるようなことは避けるのだぞ。			クロバナ、原因究明に挑む！							
もちろんです！ご迷惑をおかけすることもないように、気を付けますから。			もちろんです！ご迷惑をおかけすることもないように、気を付けますから。			クロバナ、原因究明に挑む！							
さてと……。まずは、ほかの田で、もう一度臭いを確認したいと思うんだ。西の田まで来てくれるかい？			さてと……。まずは、ほかの田で、もう一度臭いを確認したいと思うんだ。西の田まで来てくれるかい？			クロバナ、原因究明に挑む！							
ううむ……まぁ、ハヤブサも悪いやつじゃない。田に愛情を注いでいるからこそ、怒っただけだろう。私からも詫びを入れておくとしよう……。			ううむ……まぁ、ハヤブサも悪いやつじゃない。田に愛情を注いでいるからこそ、怒っただけだろう。私からも詫びを入れておくとしよう……。			クロバナ、原因究明に挑む！							
う～ん……この田からは変な臭いはしないな。俺も知っている、普通の田の臭いだ。			う～ん……この田からは変な臭いはしないな。俺も知っている、普通の田の臭いだ。			クロバナ、原因究明に挑む！							
とすると、ハヤブサさんの田にだけ、何か異変が起きている……？よし、雑草抜きをした田にもう一度行って、改めて確かめてみるとしよう！			とすると、ハヤブサさんの田にだけ、何か異変が起きている……？よし、雑草抜きをした田にもう一度行って、改めて確かめてみるとしよう！			クロバナ、原因究明に挑む！							
やっぱり、この田は、先ほどの田とは臭いが違うぞ！原因は何だろう、水か……？			やっぱり、この田は、先ほどの田とは臭いが違うぞ！原因は何だろう、水か……？			クロバナ、原因究明に挑む！							
今、上の方から、物音が聞こえた気が……もしや、貯水池で何かが起きている？この上にある貯水池に行ってみよう！			今、上の方から、物音が聞こえた気が……もしや、貯水池で何かが起きている？この上にある貯水池に行ってみよう！			クロバナ、原因究明に挑む！							
なんだ、あの魔物は……ここいらでは見たことがないぞ！でも、俺の腕じゃ……すまないが、あいつを倒してくれないかい！？			なんだ、あの魔物は……ここいらでは見たことがないぞ！でも、俺の腕じゃ……すまないが、あいつを倒してくれないかい！？			クロバナ、原因究明に挑む！							
なんだ、あの魔物は……ここいらでは見たことがないぞ！でも、俺の腕じゃ……すまないが、あいつを倒してくれないかい！？			なんだ、あの魔物は……ここいらでは見たことがないぞ！でも、俺の腕じゃ……すまないが、あいつを倒してくれないかい！？			クロバナ、原因究明に挑む！							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			クロバナ、原因究明に挑む！							
強いとは思っていたけど、ハクロウ兄さんにも、勝るとも劣らない腕前なんだな！撃退してくれて、ありがとう。			強いとは思っていたけど、ハクロウ兄さんにも、勝るとも劣らない腕前なんだな！撃退してくれて、ありがとう。			クロバナ、原因究明に挑む！							
ハヤブサさんの田から感じたのを、何倍にもしたような、強烈な悪臭がプンプンしてきたよ。どうやら、臭いの原因は、あの魔物だったみたいだ。			ハヤブサさんの田から感じたのを、何倍にもしたような、強烈な悪臭がプンプンしてきたよ。どうやら、臭いの原因は、あの魔物だったみたいだ。			クロバナ、原因究明に挑む！							
恐らく、どこかからはぐれてやってきたんだろう。貯水池に近かったハヤブサさんの田だけが、影響を受けていたんだと思うよ。			恐らく、どこかからはぐれてやってきたんだろう。貯水池に近かったハヤブサさんの田だけが、影響を受けていたんだと思うよ。			クロバナ、原因究明に挑む！							
田の方は、水を入れ替えれば大丈夫だろうけど、すでに収穫した米に、何か影響が出てるかもしれない。			田の方は、水を入れ替えれば大丈夫だろうけど、すでに収穫した米に、何か影響が出てるかもしれない。			クロバナ、原因究明に挑む！							
念のため、倉に運び入れた米も調べたほうがいいだろうな。まずは「フクド」さんに、このことを報告しておこう。あの人なら、すぐに皆に伝えてくれるに違いないしね。			念のため、倉に運び入れた米も調べたほうがいいだろうな。まずは「フクド」さんに、このことを報告しておこう。あの人なら、すぐに皆に伝えてくれるに違いないしね。			クロバナ、原因究明に挑む！							
違う臭いがするって言われて、つい、カッとなってしまったんだ……。怒ったりして、大人気なかったと思ってるよ。			違う臭いがするって言われて、つい、カッとなってしまったんだ……。怒ったりして、大人気なかったと思ってるよ。			クロバナ、原因究明に挑む！							
おや、帰ってきたかい。ちょうど今、ハヤブサと話をしてたところだよ。			おや、帰ってきたかい。ちょうど今、ハヤブサと話をしてたところだよ。			クロバナ、原因究明に挑む！							
フクドさん、それにハヤブサさんにも聞いてほしいことがあるんだ。実は、ハヤブサさんの田を改めて調べさせてもらっていたんだ……そうしたら、貯水池に魔物がいたんだよ！			フクドさん、それにハヤブサさんにも聞いてほしいことがあるんだ。実は、ハヤブサさんの田を改めて調べさせてもらっていたんだ……そうしたら、貯水池に魔物がいたんだよ！			クロバナ、原因究明に挑む！							
ま、魔物だって！？			ま、魔物だって！？			クロバナ、原因究明に挑む！							
そうなんだ。とんでもなく、強烈な悪臭を放つ魔物でさ……。旅の方に倒してもらったけど、田の水は張り替えたほうがいいよ。			そうなんだ。とんでもなく、強烈な悪臭を放つ魔物でさ……。旅の方に倒してもらったけど、田の水は張り替えたほうがいいよ。			クロバナ、原因究明に挑む！							
まさか、貯水池に魔物がいただなんて……。クロバナ……理由も調べず、怒ってしまいすまない。			まさか、貯水池に魔物がいただなんて……。クロバナ……理由も調べず、怒ってしまいすまない。			クロバナ、原因究明に挑む！							
どうやら、君に対する陰口を聞いて、偏見を持っていたようだ。異変にいち早く気付いてくれたというのにね……。そして、魔物を退治してくれてありがとう。			どうやら、君に対する陰口を聞いて、偏見を持っていたようだ。異変にいち早く気付いてくれたというのにね……。そして、魔物を退治してくれてありがとう。			クロバナ、原因究明に挑む！							
いいってことさ。大事になる前に、異変に気づけてよかったよ。			いいってことさ。大事になる前に、異変に気づけてよかったよ。			クロバナ、原因究明に挑む！							
それと、もうひとつ。収穫済の米にも、何も影響がないとは言い切れないから、念のため調べたほうがいいかと思うんだけど、どうかな？			それと、もうひとつ。収穫済の米にも、何も影響がないとは言い切れないから、念のため調べたほうがいいかと思うんだけど、どうかな？			クロバナ、原因究明に挑む！							
うん、クロバナの言うとおりだと思う。とはいえ、ヒトの鼻では、かぎ分けられないと思う。			うん、クロバナの言うとおりだと思う。とはいえ、ヒトの鼻では、かぎ分けられないと思う。			クロバナ、原因究明に挑む！							
……クロバナにお願いがあるんだけれど、もしよかったら、倉の確認だけではなく、定期的に田の見回り……いや、嗅ぎ回りを頼めるかな？			……クロバナにお願いがあるんだけれど、もしよかったら、倉の確認だけではなく、定期的に田の見回り……いや、嗅ぎ回りを頼めるかな？			クロバナ、原因究明に挑む！							
この先、稲の病の臭いなんかも覚えてもらえば、誰よりも早く、田に迫る危機を見抜けると思うんだ。そうすれば、田が全滅するような事態も、未然に防げるはずだし。			この先、稲の病の臭いなんかも覚えてもらえば、誰よりも早く、田に迫る危機を見抜けると思うんだ。そうすれば、田が全滅するような事態も、未然に防げるはずだし。			クロバナ、原因究明に挑む！							
お、俺が田の危機を救うだって……？			お、俺が田の危機を救うだって……？			クロバナ、原因究明に挑む！							
誰かに何かを、頼られるなんてこと、これまでなかったから何て言えばいいのかわからないけど……俺でよければ、いくらでも協力させてもらうよ！			誰かに何かを、頼られるなんてこと、これまでなかったから何て言えばいいのかわからないけど……俺でよければ、いくらでも協力させてもらうよ！			クロバナ、原因究明に挑む！							
(-？？？？-)今の話、はたから聞いてたんだが……。			(-？？？？-)今の話、はたから聞いてたんだが……。			クロバナ、原因究明に挑む！							
よかったら、うちの稲も見てくれないか？			よかったら、うちの稲も見てくれないか？			クロバナ、原因究明に挑む！							
アゲタさんまで！？お、俺でいいんですか……？			アゲタさんまで！？お、俺でいいんですか……？			クロバナ、原因究明に挑む！							
もちろんだとも！点検してくれた分の給料だって、ちゃんと支払うさ！			もちろんだとも！点検してくれた分の給料だって、ちゃんと支払うさ！			クロバナ、原因究明に挑む！							
もちろん、喜んで！			もちろん、喜んで！			クロバナ、原因究明に挑む！							
魔物退治はてんでダメで、役に立てていなかった俺が、村の人たちから必要とされる日が来るなんて、想像してもみなかった……。			魔物退治はてんでダメで、役に立てていなかった俺が、村の人たちから必要とされる日が来るなんて、想像してもみなかった……。			クロバナ、原因究明に挑む！							
これも、俺のことを気にかけてくれたフクドさんと、わざわざ協力してくれた旅の方のおかげだよ。本当にありがとう！			これも、俺のことを気にかけてくれたフクドさんと、わざわざ協力してくれた旅の方のおかげだよ。本当にありがとう！			クロバナ、原因究明に挑む！							
ナマイ村のフクドは、まとまった考えを冒険者に伝えたいようだ。			ナマイ村のフクドは、まとまった考えを冒険者に伝えたいようだ。			クロバナ、雑草むしりに挑む！							
フクドと話した。次は、クロバナに雑草むしりをやらせてみることになった。この旨を伝えるため、玄水連山にいる「ハヤブサ」と話そう。			フクドと話した。次は、クロバナに雑草むしりをやらせてみることになった。この旨を伝えるため、玄水連山にいる「ハヤブサ」と話そう。			クロバナ、雑草むしりに挑む！							
ハヤブサと話した。クロバナと共に、雑草むしりをやってみることとなった。玄水連山の水田から「青々としたナマイ」を抜こう。			ハヤブサと話した。クロバナと共に、雑草むしりをやってみることとなった。玄水連山の水田から「青々としたナマイ」を抜こう。			クロバナ、雑草むしりに挑む！							
青々としたナマイを抜いた。玄水連山の「ハヤブサ」に「青々としたナマイ」を渡そう。			青々としたナマイを抜いた。玄水連山の「ハヤブサ」に「青々としたナマイ」を渡そう。			クロバナ、雑草むしりに挑む！							
ハヤブサに青々としたナマイを渡した。これなら出来そうだと語るクロバナだが、続けて、ほかの田とは違う臭いがしたと言う。これに機嫌を悪くしたハヤブサは、帰ってくれとクロバナに言い放つ。ナマイ村の「フクド」に、一連の出来事を報告しよう。			ハヤブサに青々としたナマイを渡した。これなら出来そうだと語るクロバナだが、続けて、ほかの田とは違う臭いがしたと言う。これに機嫌を悪くしたハヤブサは、帰ってくれとクロバナに言い放つ。ナマイ村の「フクド」に、一連の出来事を報告しよう。			クロバナ、雑草むしりに挑む！							
フクドに報告した。自分の方から、ハヤブサには詫びを入れておくと話すフクドなのであった。			フクドに報告した。自分の方から、ハヤブサには詫びを入れておくと話すフクドなのであった。			クロバナ、雑草むしりに挑む！							
ハヤブサと話す			ハヤブサと話す			クロバナ、雑草むしりに挑む！							
青々としたナマイを抜く			青々としたナマイを抜く			クロバナ、雑草むしりに挑む！							
ハヤブサに青々としたナマイを渡す			ハヤブサに青々としたナマイを渡す			クロバナ、雑草むしりに挑む！							
フクドに報告する			フクドに報告する			クロバナ、雑草むしりに挑む！							
力がいらない仕事となると、水田に生える雑草むしりでもやらせてみるか……。			力がいらない仕事となると、水田に生える雑草むしりでもやらせてみるか……。			クロバナ、雑草むしりに挑む！							
この村の名でもある「ナマイ」は、オモダカとも呼ばれる水生植物のことだ。これが、油断していると、すぐに水田にはびこってな。			この村の名でもある「ナマイ」は、オモダカとも呼ばれる水生植物のことだ。これが、油断していると、すぐに水田にはびこってな。			クロバナ、雑草むしりに挑む！							
雑草むしりは、稲作にとっては大事な仕事ということだ。だが、もしこれも今ひとつとなると、いよいよ任せられる仕事が無くなってくる。			雑草むしりは、稲作にとっては大事な仕事ということだ。だが、もしこれも今ひとつとなると、いよいよ任せられる仕事が無くなってくる。			クロバナ、雑草むしりに挑む！							
くれぐれも、途中で投げ出すことがないようにな！			くれぐれも、途中で投げ出すことがないようにな！			クロバナ、雑草むしりに挑む！							
雑草むしりは、細々した仕事が好きな俺に向いている気がするな。今回は、ちゃんと最後までやり遂げてみせるさ！			雑草むしりは、細々した仕事が好きな俺に向いている気がするな。今回は、ちゃんと最後までやり遂げてみせるさ！			クロバナ、雑草むしりに挑む！							
たしか「ハヤブサ」が、人手が足りないと言っていたはずだ。声をかけて、雑草むしりを手伝うと言ってきなさい。			たしか「ハヤブサ」が、人手が足りないと言っていたはずだ。声をかけて、雑草むしりを手伝うと言ってきなさい。			クロバナ、雑草むしりに挑む！							
旅の方も、クロバナが投げ出さないよう同行してくれますかな？			旅の方も、クロバナが投げ出さないよう同行してくれますかな？			クロバナ、雑草むしりに挑む！							
旅の方も、クロバナが投げ出さないよう同行してくれますかな？「ハヤブサ」のところに、向かったはずなので。			旅の方も、クロバナが投げ出さないよう同行してくれますかな？「ハヤブサ」のところに、向かったはずなので。			クロバナ、雑草むしりに挑む！							
雑草むしりは、細々した仕事が好きな俺に向いている気がするな。今回は、ちゃんと最後までやり遂げてみせるさ！			雑草むしりは、細々した仕事が好きな俺に向いている気がするな。今回は、ちゃんと最後までやり遂げてみせるさ！			クロバナ、雑草むしりに挑む！							
これからは、もう途中で投げ出したりはしないよ。			これからは、もう途中で投げ出したりはしないよ。			クロバナ、雑草むしりに挑む！							
おや、旅の方にクロバナとは、これまた奇妙な組み合わせだが……いったい何の用かな？			おや、旅の方にクロバナとは、これまた奇妙な組み合わせだが……いったい何の用かな？			クロバナ、雑草むしりに挑む！							
ほう、クロバナが雑草むしりを手伝ってくれると……。そいつは、ありがたい。			ほう、クロバナが雑草むしりを手伝ってくれると……。そいつは、ありがたい。			クロバナ、雑草むしりに挑む！							
ここらの水田では、油断していると、あっという間に「ナマイ」が茂ってしまうからね。			ここらの水田では、油断していると、あっという間に「ナマイ」が茂ってしまうからね。			クロバナ、雑草むしりに挑む！							
稲を傷つけないように、足下に注意しながら、ナマイだけを、引き抜いていってくれよ。			稲を傷つけないように、足下に注意しながら、ナマイだけを、引き抜いていってくれよ。			クロバナ、雑草むしりに挑む！							
……そうだ！せっかくだから、旅の方もナマイ村に来た記念にどうです？地味な作業も、仲間とやると楽しいものですよ！			……そうだ！せっかくだから、旅の方もナマイ村に来た記念にどうです？地味な作業も、仲間とやると楽しいものですよ！			クロバナ、雑草むしりに挑む！							
何と答える？			何と答える？			クロバナ、雑草むしりに挑む！							
すでに経験済みだから、任せてよ！			すでに経験済みだから、任せてよ！			クロバナ、雑草むしりに挑む！							
根っこから引き抜くのがコツだったはず……！			根っこから引き抜くのがコツだったはず……！			クロバナ、雑草むしりに挑む！							
なんと、もう別の田でやったことがあったんですか！？それなら話は早い、ぜひ腕前を見せてくださいよ！			なんと、もう別の田でやったことがあったんですか！？それなら話は早い、ぜひ腕前を見せてくださいよ！			クロバナ、雑草むしりに挑む！							
そうそう、よくご存知で！上の方だけ引きちぎるんじゃなくて、ちゃんと根の方から抜いてくださいね！			そうそう、よくご存知で！上の方だけ引きちぎるんじゃなくて、ちゃんと根の方から抜いてくださいね！			クロバナ、雑草むしりに挑む！							
それじゃあ、さっそくやってみるとしよう！この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			それじゃあ、さっそくやってみるとしよう！この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			クロバナ、雑草むしりに挑む！							
この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			クロバナ、雑草むしりに挑む！							
なんだか、違う臭いがする気がするな……気のせいか……？			なんだか、違う臭いがする気がするな……気のせいか……？			クロバナ、雑草むしりに挑む！							
どうです？雑草むしりは、終わりましたか？			どうです？雑草むしりは、終わりましたか？			クロバナ、雑草むしりに挑む！							
どれどれ……おぉ、旅の方もいい感じですね！上の方だけ千切っちゃうんじゃなくて、ちゃんと根っこから抜けていて、上出来ですよ！			どれどれ……おぉ、旅の方もいい感じですね！上の方だけ千切っちゃうんじゃなくて、ちゃんと根っこから抜けていて、上出来ですよ！			クロバナ、雑草むしりに挑む！							
俺も、抜いた雑草を見てもらったけど、大丈夫みたいだよ。これなら、ちゃんとやっていけそうだ。			俺も、抜いた雑草を見てもらったけど、大丈夫みたいだよ。これなら、ちゃんとやっていけそうだ。			クロバナ、雑草むしりに挑む！							
……ところで、雑草を抜いていて気になったんだけれど、ここの田は、ほかの田とは少し違った臭いがしないかい？			……ところで、雑草を抜いていて気になったんだけれど、ここの田は、ほかの田とは少し違った臭いがしないかい？			クロバナ、雑草むしりに挑む！							
