レヴナンツトールのコー・ラブンタと、目が合った気がする。			レヴナンツトールのコー・ラブンタと、目が合った気がする。			秘されしオルト・エウレカ							
オレたちが魔大陸で会ったティアマットは、数千年の時を経てなお、バハムートを想っていた。			オレたちが魔大陸で会ったティアマットは、数千年の時を経てなお、バハムートを想っていた。			猛きものも遂には滅びぬ							
お互いに本物じゃない……クローンのティアマットと、蛮神バハムートのことだとしても、彼女にとってはつらい真実だろうな……。			お互いに本物じゃない……クローンのティアマットと、蛮神バハムートのことだとしても、彼女にとってはつらい真実だろうな……。			猛きものも遂には滅びぬ							
かの竜に人が同情を寄せるか……。それもまた、時代よなぁ。			かの竜に人が同情を寄せるか……。それもまた、時代よなぁ。			猛きものも遂には滅びぬ							
オルト・エウレカで行われていた数々の研究が、今を生きるお前たちの目に、どう映るのかはわからん。			オルト・エウレカで行われていた数々の研究が、今を生きるお前たちの目に、どう映るのかはわからん。			猛きものも遂には滅びぬ							
ゆえにアラグの民として評するならば、あれらこそが人の強さであり、生存の手段であったのだ。			ゆえにアラグの民として評するならば、あれらこそが人の強さであり、生存の手段であったのだ。			猛きものも遂には滅びぬ							
……それにしては行き過ぎだと思うかね？			……それにしては行き過ぎだと思うかね？			猛きものも遂には滅びぬ							
しかし、自然のままの状態に手を加えて便利にすることこそが、いつの世も人を絶滅から遠ざけ、生かしてきた。魔科学とて、その原理からは逸脱しておらん。			しかし、自然のままの状態に手を加えて便利にすることこそが、いつの世も人を絶滅から遠ざけ、生かしてきた。魔科学とて、その原理からは逸脱しておらん。			猛きものも遂には滅びぬ							
川に治水工事を施して氾濫を防ぐこと……異なる種を掛け合わせ、病害に強い個体を生みだすこと……そういったものの延長に、あれらがあるのだよ。			川に治水工事を施して氾濫を防ぐこと……異なる種を掛け合わせ、病害に強い個体を生みだすこと……そういったものの延長に、あれらがあるのだよ。			猛きものも遂には滅びぬ							
どうだね、Forename。お前は己が見たものを、何とする……？			どうだね、Forename。お前は己が見たものを、何とする……？			猛きものも遂には滅びぬ							
何と言う？			何と言う？			猛きものも遂には滅びぬ							
アラグはすごいと思った！			アラグはすごいと思った！			猛きものも遂には滅びぬ							
肯定はできないが否定もしない			肯定はできないが否定もしない			猛きものも遂には滅びぬ							
あまりにも悪趣味だった			あまりにも悪趣味だった			猛きものも遂には滅びぬ							
……なあ、あんたはどうして、オルト・エウレカを探索してほしいって依頼したんだ？			……なあ、あんたはどうして、オルト・エウレカを探索してほしいって依頼したんだ？			猛きものも遂には滅びぬ							
何か問題が起こる前に、あの施設に残っている脅威を取り除きたかったとか……？			何か問題が起こる前に、あの施設に残っている脅威を取り除きたかったとか……？			猛きものも遂には滅びぬ							
いいや……。管理が為されていない以上、実験体であれ機構であれ、放っておけばやがては朽ちよう。			いいや……。管理が為されていない以上、実験体であれ機構であれ、放っておけばやがては朽ちよう。			猛きものも遂には滅びぬ							
そうしてすべてが静かに消えてなくなる前に、ただ、見ておいてほしかったのだ。			そうしてすべてが静かに消えてなくなる前に、ただ、見ておいてほしかったのだ。			猛きものも遂には滅びぬ							
研究の成果……彼らが掴みとった答えを……。誰か、アラグの外で生きている者に……。			研究の成果……彼らが掴みとった答えを……。誰か、アラグの外で生きている者に……。			猛きものも遂には滅びぬ							
わらわは道楽で研究に手を貸したに過ぎないが、弟子たちは、己と国の命運を懸けて、必死にやっていたからな。			わらわは道楽で研究に手を貸したに過ぎないが、弟子たちは、己と国の命運を懸けて、必死にやっていたからな。			猛きものも遂には滅びぬ							
弟子たち……？			弟子たち……？			猛きものも遂には滅びぬ							
大魔道士ノアは、皇族の指南役をしたこともあったという。			大魔道士ノアは、皇族の指南役をしたこともあったという。			猛きものも遂には滅びぬ							
オルト・エウレカでクローン技術の研究がされていたなら、あんたの弟子っていうのは、もしかして……！			オルト・エウレカでクローン技術の研究がされていたなら、あんたの弟子っていうのは、もしかして……！			猛きものも遂には滅びぬ							
ドーガとウネ。ザンデ直系の子孫であり、その蘇りと国の繁栄のために、自らのクローンを作ることを許したふたりだよ。			ドーガとウネ。ザンデ直系の子孫であり、その蘇りと国の繁栄のために、自らのクローンを作ることを許したふたりだよ。			猛きものも遂には滅びぬ							
つまるところ、わらわが見せたかったのは、弟子たちの頑張りと、それに端を発した技術の進歩だった……というわけだ。			つまるところ、わらわが見せたかったのは、弟子たちの頑張りと、それに端を発した技術の進歩だった……というわけだ。			猛きものも遂には滅びぬ							
ありのままを受け止めてきてくれて、感謝する。此度のお前の探索をもって、あの子らと故国への、ささやかな弔いとしよう。			ありのままを受け止めてきてくれて、感謝する。此度のお前の探索をもって、あの子らと故国への、ささやかな弔いとしよう。			猛きものも遂には滅びぬ							
それはそれとして、だ！アラグの叡智の結晶は、何もオルト・エウレカだけでない。			それはそれとして、だ！アラグの叡智の結晶は、何もオルト・エウレカだけでない。			猛きものも遂には滅びぬ							
かつて領土であった世界中のあちこちに、勢いに任せて造った施設やら何やらが遺っているだろう。			かつて領土であった世界中のあちこちに、勢いに任せて造った施設やら何やらが遺っているだろう。			猛きものも遂には滅びぬ							
遭遇したらば刮目せよ、冒険せよ！今回に勝るとも劣らない発見(エウレカ)が、お前たちを待っているはずだからな！			遭遇したらば刮目せよ、冒険せよ！今回に勝るとも劣らない発見(エウレカ)が、お前たちを待っているはずだからな！			猛きものも遂には滅びぬ							
望むところだッ！			望むところだッ！			猛きものも遂には滅びぬ							
改めて……ご苦労だったな、Forename。お前のおかげで願いを果たすことができた。			改めて……ご苦労だったな、Forename。お前のおかげで願いを果たすことができた。			猛きものも遂には滅びぬ							
よってわらわからの依頼は完了となるが、オルト・エウレカには、さらに下の階層が存在しておる。			よってわらわからの依頼は完了となるが、オルト・エウレカには、さらに下の階層が存在しておる。			猛きものも遂には滅びぬ							
深ければ深いほど、危険な研究に使われておってな……勧めはせんが、冒険者として宝なり名誉なりを求めて潜るなら、それもまたよしだ。			深ければ深いほど、危険な研究に使われておってな……勧めはせんが、冒険者として宝なり名誉なりを求めて潜るなら、それもまたよしだ。			猛きものも遂には滅びぬ							
わらわも、お前が見てきたものについて、昔話くらいはしてやれるだろう。いずれにせよ、無事に生還を果たしてこそだがな！			わらわも、お前が見てきたものについて、昔話くらいはしてやれるだろう。いずれにせよ、無事に生還を果たしてこそだがな！			猛きものも遂には滅びぬ							
オルト・エウレカの、「B31」以降に挑戦できるようになりました！			オルト・エウレカの、「B31」以降に挑戦できるようになりました！			猛きものも遂には滅びぬ							
挑戦するには、一定の条件を満たす必要があります。詳細は「カトゥン」にご確認ください。			挑戦するには、一定の条件を満たす必要があります。詳細は「カトゥン」にご確認ください。			猛きものも遂には滅びぬ							
また、「創出システム」の新たな機能が開放されました。オルト・エウレカ用の魔器装備の強化値を消費することで、「オルト魔器柄」が作成可能です。			また、「創出システム」の新たな機能が開放されました。オルト・エウレカ用の魔器装備の強化値を消費することで、「オルト魔器柄」が作成可能です。			猛きものも遂には滅びぬ							
「オルト魔器柄」を集めると、魔器装備と同じ見た目の「オルト装備」を、持ち出すことができます。			「オルト魔器柄」を集めると、魔器装備と同じ見た目の「オルト装備」を、持ち出すことができます。			猛きものも遂には滅びぬ							
メインホールのクルルは、仲間たちの様子を見ている。			メインホールのクルルは、仲間たちの様子を見ている。			「暁」が征く							
仲間たちと相談し、ゾットの塔の調査に赴くことになった。サベネア島のハンサ牧場跡付近にいる「ナブディーン」と話そう。			仲間たちと相談し、ゾットの塔の調査に赴くことになった。サベネア島のハンサ牧場跡付近にいる「ナブディーン」と話そう。			「暁」が征く							
ナブディーンから激励と小舟の案内を受けた。ハンサ牧場跡付近の浜辺にある「指定地点」で待機しよう。			ナブディーンから激励と小舟の案内を受けた。ハンサ牧場跡付近の浜辺にある「指定地点」で待機しよう。			「暁」が征く							
仲間たちと合流した。ヴァルシャンから受け取った霊鱗を携え「ゾットの塔」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			仲間たちと合流した。ヴァルシャンから受け取った霊鱗を携え「ゾットの塔」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			「暁」が征く							
ゾットの塔で、召喚されたメーガス三姉妹を撃破した。最上階を調査して、塔の外へ出よう。			ゾットの塔で、召喚されたメーガス三姉妹を撃破した。最上階を調査して、塔の外へ出よう。			「暁」が征く							
最上階の核らしき装置を破壊したところ、ゾットの塔が消滅した。ハンサ牧場跡付近の「サンクレッド」と話そう。			最上階の核らしき装置を破壊したところ、ゾットの塔が消滅した。ハンサ牧場跡付近の「サンクレッド」と話そう。			「暁」が征く							
サンクレッドから労われた。監視所から見渡しても、黒き塔はもう見えない。この勝利を、次に繋げていこう。			サンクレッドから労われた。監視所から見渡しても、黒き塔はもう見えない。この勝利を、次に繋げていこう。			「暁」が征く							
ハンサ牧場跡付近のナブディーンと話す			ハンサ牧場跡付近のナブディーンと話す			「暁」が征く							
指定地点で待機			指定地点で待機			「暁」が征く							
「異形楼閣 ゾットの塔」を攻略			「異形楼閣 ゾットの塔」を攻略			「暁」が征く							
サンクレッドと話す			サンクレッドと話す			「暁」が征く							
ちょうどいい頃合いみたいだし、オールド・シャーレアンやラヴィリンソスで知ったことと、サベネア島で知ったことを、みんなで共有しましょうか！			ちょうどいい頃合いみたいだし、オールド・シャーレアンやラヴィリンソスで知ったことと、サベネア島で知ったことを、みんなで共有しましょうか！			「暁」が征く							
ああ、お前か！連絡は回ってきてるぞ。塔の調査の先陣を切ってくれるんだってな。			ああ、お前か！連絡は回ってきてるぞ。塔の調査の先陣を切ってくれるんだってな。			「暁」が征く							
じき、霊鱗もここに届く手筈になってるそうだ。それまで、浜辺に用意してある小舟のところで待っててくれ。			じき、霊鱗もここに届く手筈になってるそうだ。それまで、浜辺に用意してある小舟のところで待っててくれ。			「暁」が征く							
お前の仲間も、到着し次第、そっちに誘導しておく。どうか無事で……そして勝利を！			お前の仲間も、到着し次第、そっちに誘導しておく。どうか無事で……そして勝利を！			「暁」が征く							
まさかお前が、太守様直々にこんな大役を任せるほどの、手練れだったとはな。			まさかお前が、太守様直々にこんな大役を任せるほどの、手練れだったとはな。			「暁」が征く							
星戦士団の一員として、感謝と敬意を……。浜辺に用意してある小舟のところで待っててくれ。			星戦士団の一員として、感謝と敬意を……。浜辺に用意してある小舟のところで待っててくれ。			「暁」が征く							
最悪なんですけど……何なのよ、あの新型エーテライト……。			最悪なんですけど……何なのよ、あの新型エーテライト……。			「暁」が征く							
事前に聞いていたとはいえ……想像以上だったね……。			事前に聞いていたとはいえ……想像以上だったね……。			「暁」が征く							
おかげで少し出遅れたが、こっちも参上だ。お待たせ、Forename！			おかげで少し出遅れたが、こっちも参上だ。お待たせ、Forename！			「暁」が征く							
みなさん、この度は申し出を受け入れてくださり、心より感謝申し上げます。			みなさん、この度は申し出を受け入れてくださり、心より感謝申し上げます。			「暁」が征く							
あなたが……ええと……「ヴァルシャンくん」と呼んだ方が、都合がいいでしょうか？			あなたが……ええと……「ヴァルシャンくん」と呼んだ方が、都合がいいでしょうか？			「暁」が征く							
ええ、兵士たちも近くにおりますので、是非そのように。			ええ、兵士たちも近くにおりますので、是非そのように。			「暁」が征く							
それじゃあ、遠慮なく。			それじゃあ、遠慮なく。			「暁」が征く							
こちらこそ、私たちを認め、みなさんの努力の結晶である霊鱗を託していただけること、大変光栄に思っています……と、太守様に伝えてください。			こちらこそ、私たちを認め、みなさんの努力の結晶である霊鱗を託していただけること、大変光栄に思っています……と、太守様に伝えてください。			「暁」が征く							
人数分の霊鱗は用意できています。ひとりひとつ、こちらをお持ちください。			人数分の霊鱗は用意できています。ひとりひとつ、こちらをお持ちください。			「暁」が征く							
ありがたい。これで俺たちも、「光の加護」を持つ者と同じに動ける。			ありがたい。これで俺たちも、「光の加護」を持つ者と同じに動ける。			「暁」が征く							
塔からのエーテル放射を防げるのはもちろんだが、蛮神との戦いをお前だけに任せるような事態も、やっとなくせるってわけだ。			塔からのエーテル放射を防げるのはもちろんだが、蛮神との戦いをお前だけに任せるような事態も、やっとなくせるってわけだ。			「暁」が征く							
何と言う？			何と言う？			「暁」が征く							
こうなる日を待ってた			こうなる日を待ってた			「暁」が征く							
これからも任せてくれて構わない			これからも任せてくれて構わない			「暁」が征く							
じゃあ、今度からお任せします……			じゃあ、今度からお任せします……			「暁」が征く							
……ああ、俺たちもだ。			……ああ、俺たちもだ。			「暁」が征く							
ああ、引き続き、お前の活躍には期待してるさ！俺たちも、せいぜい足を引っ張らないようにがんばるとしよう。			ああ、引き続き、お前の活躍には期待してるさ！俺たちも、せいぜい足を引っ張らないようにがんばるとしよう。			「暁」が征く							
残念だが、まだ隠居はさせないぞ。「暁」きっての実力、これからも頼りにしてるからな。			残念だが、まだ隠居はさせないぞ。「暁」きっての実力、これからも頼りにしてるからな。			「暁」が征く							
……さて、これで準備は整ったわけだし、作戦の最終確認をしておきましょうか。			……さて、これで準備は整ったわけだし、作戦の最終確認をしておきましょうか。			「暁」が征く							
私たちは今回、ふたつの部隊にわかれて、「ゾットの塔」攻略に挑むわ。			私たちは今回、ふたつの部隊にわかれて、「ゾットの塔」攻略に挑むわ。			「暁」が征く							
Forename率いる主力部隊は、防衛機構を突破しつつ、とにかく先へ。塔の核となっている中枢部を探して頂戴。			Forename率いる主力部隊は、防衛機構を突破しつつ、とにかく先へ。塔の核となっている中枢部を探して頂戴。			「暁」が征く							
私たち補助部隊は、防衛機構が蛮神召喚を行うことを想定し、塔に取り込まれている人々に治癒魔法をかけていくわ。			私たち補助部隊は、防衛機構が蛮神召喚を行うことを想定し、塔に取り込まれている人々に治癒魔法をかけていくわ。			「暁」が征く							
塔を守るために呼び降ろされるのは、サベネアの神話に名を連ねる神々でしょう……。			塔を守るために呼び降ろされるのは、サベネアの神話に名を連ねる神々でしょう……。			「暁」が征く							
カルテノーでの戦いと異なり、過去に相対した実績もない。くれぐれも、お気をつけて……。			カルテノーでの戦いと異なり、過去に相対した実績もない。くれぐれも、お気をつけて……。			「暁」が征く							
突入のタイミングは、君の指示に任せるよ。			突入のタイミングは、君の指示に任せるよ。			「暁」が征く							
ラザハンの皆のためにも……そして、各地で塔に抗っている人々のためにも、この作戦、必ず成功させよう！			ラザハンの皆のためにも……そして、各地で塔に抗っている人々のためにも、この作戦、必ず成功させよう！			「暁」が征く							
どうする？			どうする？			「暁」が征く							
話す			話す			「暁」が征く							
パーティを編成して突入			パーティを編成して突入			「暁」が征く							
キャンセル			キャンセル			「暁」が征く							
賢具を用いることになっても、私の役回りは変わらない。傷の治癒なら、引き続き任せてくれ。			賢具を用いることになっても、私の役回りは変わらない。傷の治癒なら、引き続き任せてくれ。			「暁」が征く							
……同時に、この賢具を持つからこそ、考えていきたいんだ。私が身を投じる戦いの意味、それが自分や父に、誇れるものであるのかどうかを。			……同時に、この賢具を持つからこそ、考えていきたいんだ。私が身を投じる戦いの意味、それが自分や父に、誇れるものであるのかどうかを。			「暁」が征く							
護魂の霊鱗、ありがたく頂戴したわ。これでやっと、あの迷惑千万な塔に踏み込めるわね。			護魂の霊鱗、ありがたく頂戴したわ。これでやっと、あの迷惑千万な塔に踏み込めるわね。			「暁」が征く							
それから！同じ殲滅係として、エスティニアンには負けないから。元蒼の竜騎士だろうがなんだろうが、絶対ッ！			それから！同じ殲滅係として、エスティニアンには負けないから。元蒼の竜騎士だろうがなんだろうが、絶対ッ！			「暁」が征く							
補助部隊にも、ヤ・シュトラとグ・ラハがいるからな。敵と交戦することになっても、十分、切り抜けられるだろう。			補助部隊にも、ヤ・シュトラとグ・ラハがいるからな。敵と交戦することになっても、十分、切り抜けられるだろう。			「暁」が征く							
俺たちは、自分のすべきことに集中すればいいってわけだ。さあ行くぞ、Forename！			俺たちは、自分のすべきことに集中すればいいってわけだ。さあ行くぞ、Forename！			「暁」が征く							
ラタトスクの加護を受けたこの鎧に、ヴリトラの加護を受けた霊鱗とはな……。成り行きとはいえ、立場の変化を思い知らされる。			ラタトスクの加護を受けたこの鎧に、ヴリトラの加護を受けた霊鱗とはな……。成り行きとはいえ、立場の変化を思い知らされる。			「暁」が征く							
そして、魔槍ニーズヘッグ……。これだけの力があれば、どんな相手が現れようが貫けるさ。			そして、魔槍ニーズヘッグ……。これだけの力があれば、どんな相手が現れようが貫けるさ。			「暁」が征く							
蛮神のほかに、人拐いを担っていた帝国兵なども、塔の中で待ち受けていると思われます……。			蛮神のほかに、人拐いを担っていた帝国兵なども、塔の中で待ち受けていると思われます……。			「暁」が征く							
テロフォロイが、何らかの術で送り込んできたのでしょうが、いかんせん全容が知れません。そちらにも、どうかご注意を……。			テロフォロイが、何らかの術で送り込んできたのでしょうが、いかんせん全容が知れません。そちらにも、どうかご注意を……。			「暁」が征く							
ご心配いただかなくても、治癒魔法の使い方を忘れたりはしていないわ。			ご心配いただかなくても、治癒魔法の使い方を忘れたりはしていないわ。			「暁」が征く							
状況を見て、臨機応変に魔法を扱う……「魔女」の異名をとるなら、それくらいはできなくてはね？			状況を見て、臨機応変に魔法を扱う……「魔女」の異名をとるなら、それくらいはできなくてはね？			「暁」が征く							
あんたはそっち、オレはこっち！……任せるから、任せてくれよな。			あんたはそっち、オレはこっち！……任せるから、任せてくれよな。			「暁」が征く							
で、終わったら話を聞かせてくれ。それが胸のすく冒険譚になるように……お互い、がんばらなくちゃな！			で、終わったら話を聞かせてくれ。それが胸のすく冒険譚になるように……お互い、がんばらなくちゃな！			「暁」が征く							
これほど近くで塔を見るのは初めてよ。なんて禍々しい気配なの……。			これほど近くで塔を見るのは初めてよ。なんて禍々しい気配なの……。			「暁」が征く							
実戦も久しぶりだから、ちょっと緊張してるんだと思う。でも、みんなと一緒なら大丈夫。できるかぎりのことをさせてもらうわ！			実戦も久しぶりだから、ちょっと緊張してるんだと思う。でも、みんなと一緒なら大丈夫。できるかぎりのことをさせてもらうわ！			「暁」が征く							
僕も、星戦士団とともに、監視所に留まるつもりです。塔に異変があれば察知できるよう、目を凝らしておきましょう。			僕も、星戦士団とともに、監視所に留まるつもりです。塔に異変があれば察知できるよう、目を凝らしておきましょう。			「暁」が征く							
ヴリトラの牙と爪に代わって、その鱗が、あなた方を護らんことを……。			ヴリトラの牙と爪に代わって、その鱗が、あなた方を護らんことを……。			「暁」が征く							
守らねば――我らが塔を守らねばならぬ――			守らねば――我らが塔を守らねばならぬ――			「暁」が征く							
ふー……。さすがに、アルカソーダラの巨体を運ぶのは骨が折れたな。だがまあ、生きて運びだせて何よりだ。			ふー……。さすがに、アルカソーダラの巨体を運ぶのは骨が折れたな。だがまあ、生きて運びだせて何よりだ。			「暁」が征く							
塔に捕まってた連中の搬送は、ひととおり終わったそうだ。全員、ラザハンの都で治療を試みるらしい。			塔に捕まってた連中の搬送は、ひととおり終わったそうだ。全員、ラザハンの都で治療を試みるらしい。			「暁」が征く							
アリゼーとヤ・シュトラは、テンパード化の治療を手伝いに。ほかの治癒魔法が得意な面々も、救護を手伝うために都へついていった。			アリゼーとヤ・シュトラは、テンパード化の治療を手伝いに。ほかの治癒魔法が得意な面々も、救護を手伝うために都へついていった。			「暁」が征く							
……改めて、お前もおつかれさまだ。			……改めて、お前もおつかれさまだ。			「暁」が征く							
「異形楼閣 ゾットの塔」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			「異形楼閣 ゾットの塔」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。			「暁」が征く							
八剣士の前庭のコー・ラブンタは、冒険者の様子を気にかけているようだ。			八剣士の前庭のコー・ラブンタは、冒険者の様子を気にかけているようだ。			エウレカの真相							
コー・ラブンタに、オルト・エウレカの最深部まで到達したことを報告した。八剣士の前庭の「コー・ラブンタ」と散歩がてら話をしよう。			コー・ラブンタに、オルト・エウレカの最深部まで到達したことを報告した。八剣士の前庭の「コー・ラブンタ」と散歩がてら話をしよう。			エウレカの真相							
名もなきエウレカの神についての話を聞いた。モードゥナの銀泪湖北岸にいる「コー・ラブンタ」と話そう。			名もなきエウレカの神についての話を聞いた。モードゥナの銀泪湖北岸にいる「コー・ラブンタ」と話そう。			エウレカの真相							
エウレカの神が創ったトリガーウェポンが、最深部で遭遇したエクスカリバーだったことを知った。モードゥナの銀泪湖北岸にいる「コー・ラブンタ」と話そう。			エウレカの神が創ったトリガーウェポンが、最深部で遭遇したエクスカリバーだったことを知った。モードゥナの銀泪湖北岸にいる「コー・ラブンタ」と話そう。			エウレカの真相							
エウレカの神の行方について雑談をした。モードゥナの聖コイナク財団の調査地付近にいる「コー・ラブンタ」と話そう。			エウレカの神の行方について雑談をした。モードゥナの聖コイナク財団の調査地付近にいる「コー・ラブンタ」と話そう。			エウレカの真相							
エクスカリバーと聖王アルトリウスにまつわる昔話を語り終えたノアの魂は、コー・ラブンタの身体から去ろうとした。しかし、当のコー・ラブンタが引き続き共存することを望んだため、もうしばらくは留まるようだ。彼女たちと、オルト・エウレカを踏破した冒険者がいるかぎり、アラグ帝国の見た夢が消え去ることはないだろう。			エクスカリバーと聖王アルトリウスにまつわる昔話を語り終えたノアの魂は、コー・ラブンタの身体から去ろうとした。しかし、当のコー・ラブンタが引き続き共存することを望んだため、もうしばらくは留まるようだ。彼女たちと、オルト・エウレカを踏破した冒険者がいるかぎり、アラグ帝国の見た夢が消え去ることはないだろう。			エウレカの真相							
コー・ラブンタと話す			コー・ラブンタと話す			エウレカの真相							
コー・ラブンタと再度話す			コー・ラブンタと再度話す			エウレカの真相							
コー・ラブンタとさらに話す			コー・ラブンタとさらに話す			エウレカの真相							
コー・ラブンタともう一度話す			コー・ラブンタともう一度話す			エウレカの真相							
お前、本腰を入れて研究所を探索しておったようだなぁ！もうずいぶん下の階層まで踏破したのではないか？			お前、本腰を入れて研究所を探索しておったようだなぁ！もうずいぶん下の階層まで踏破したのではないか？			エウレカの真相							
エクスカリバーに操られた衛士を倒し、最深部まで到達したぁ！？			エクスカリバーに操られた衛士を倒し、最深部まで到達したぁ！？			エウレカの真相							
アッハッハッ！お助けセットを渡したとはいえ、ほぼ身ひとつでその所業！そりゃあアモンも敵うわけがなかろうよ！			アッハッハッ！お助けセットを渡したとはいえ、ほぼ身ひとつでその所業！そりゃあアモンも敵うわけがなかろうよ！			エウレカの真相							
となれば、わらわも約束どおり昔話をせねばならんなぁ。オルト・エウレカでも機密中の機密……あの場所について語れる、最後のことを。			となれば、わらわも約束どおり昔話をせねばならんなぁ。オルト・エウレカでも機密中の機密……あの場所について語れる、最後のことを。			エウレカの真相							
ふむ……。Forename、少し散歩をせんか？			ふむ……。Forename、少し散歩をせんか？			エウレカの真相							
道すがら、あのエクスカリバーなる剣と、それに支配された男について語るとしよう。			道すがら、あのエクスカリバーなる剣と、それに支配された男について語るとしよう。			エウレカの真相							
さて、どこから話したものか……。			さて、どこから話したものか……。			エウレカの真相							
オルト・エウレカで研究されていたもののひとつに、闘神……今で言うところの蛮神があってな。			オルト・エウレカで研究されていたもののひとつに、闘神……今で言うところの蛮神があってな。			エウレカの真相							
中でもひときわ異質だったのが、「願いに応じて、どんなものでも創り出す闘神」だった。			中でもひときわ異質だったのが、「願いに応じて、どんなものでも創り出す闘神」だった。			エウレカの真相							
関係者たちは、確保したそれを誰にも渡さぬよう、あの研究所の奥深くに仕舞い込んだ。存在を隠すため、名前を呼ぶことさえ禁じたほどだ。			関係者たちは、確保したそれを誰にも渡さぬよう、あの研究所の奥深くに仕舞い込んだ。存在を隠すため、名前を呼ぶことさえ禁じたほどだ。			エウレカの真相							
そうして秘匿された「名もなきエウレカの神」は、地脈の数本を枯渇させるほど大量のエーテルと引き換えに、特殊な力を持つ武器を創り出したのだ……。			そうして秘匿された「名もなきエウレカの神」は、地脈の数本を枯渇させるほど大量のエーテルと引き換えに、特殊な力を持つ武器を創り出したのだ……。			エウレカの真相							
おっと、これではただの立ち話になってしまうな。散歩を続けるぞ、前庭の外に出よう。			おっと、これではただの立ち話になってしまうな。散歩を続けるぞ、前庭の外に出よう。			エウレカの真相							
それでだな……先に話した「エウレカの神」の力が、満を持して、トリガーウェポンの製造に使われることとなった。			それでだな……先に話した「エウレカの神」の力が、満を持して、トリガーウェポンの製造に使われることとなった。			エウレカの真相							
トリガーウェポンとは、闘神の召喚を簡略化する目的で作られた武器だ。資格ある者が手にするだけで、その身に神を降ろせる。			トリガーウェポンとは、闘神の召喚を簡略化する目的で作られた武器だ。資格ある者が手にするだけで、その身に神を降ろせる。			エウレカの真相							
従来は、聖石と呼ばれたクリスタルなど、特殊な材料を用いなければ製造できなかったのだが……「エウレカの神」は結果的に、それすらも創ってみせたのだ。			従来は、聖石と呼ばれたクリスタルなど、特殊な材料を用いなければ製造できなかったのだが……「エウレカの神」は結果的に、それすらも創ってみせたのだ。			エウレカの真相							
お前が戦った、エクスカリバー。あれこそが、まさにそのひと振りだったというわけだよ。			お前が戦った、エクスカリバー。あれこそが、まさにそのひと振りだったというわけだよ。			エウレカの真相							
ふぅ……。すぐに聖コイナク財団の調査地へ出ると思ったが、こうして歩いてみると、そこそこ遠いな……。			ふぅ……。すぐに聖コイナク財団の調査地へ出ると思ったが、こうして歩いてみると、そこそこ遠いな……。			エウレカの真相							
ああ、遠いといえば、「エウレカの神」は第四霊災の直前になって、どこか離れた場所へ運ばれたらしい。			ああ、遠いといえば、「エウレカの神」は第四霊災の直前になって、どこか離れた場所へ運ばれたらしい。			エウレカの真相							
研究員たちは、反乱軍の進攻を警戒していたからな。あの闘神については万が一にも奪われてなるものかと、先手を打ったようだ。			研究員たちは、反乱軍の進攻を警戒していたからな。あの闘神については万が一にも奪われてなるものかと、先手を打ったようだ。			エウレカの真相							
あれが最終的にどうなったのかは、わらわも把握しておらん。存外、この時代まで残っているかもしれないぞ……？			あれが最終的にどうなったのかは、わらわも把握しておらん。存外、この時代まで残っているかもしれないぞ……？			エウレカの真相							
すまんすまん、冗談だ。まあ、もし本当にそうだったとしても、お前たちならば対処してみせるだろうしなぁ。			すまんすまん、冗談だ。まあ、もし本当にそうだったとしても、お前たちならば対処してみせるだろうしなぁ。			エウレカの真相							
それらしき存在に会っただと？「創神エウレカ」と呼ばれていた……？			それらしき存在に会っただと？「創神エウレカ」と呼ばれていた……？			エウレカの真相							
なんとまぁ……ほかでもないお前から告げられると、偶然の仕業というより、いっそ宿命めいておるわ！			なんとまぁ……ほかでもないお前から告げられると、偶然の仕業というより、いっそ宿命めいておるわ！			エウレカの真相							
お前たちがいかなる対処法を選んだにせよ、あれを始末できたならば上等だ。よく頑張ったな、Forename。			お前たちがいかなる対処法を選んだにせよ、あれを始末できたならば上等だ。よく頑張ったな、Forename。			エウレカの真相							
……っと、いかん、また足が止まっておった。休憩は十分だ、このまま調査地の方へ行かせてくれ。			……っと、いかん、また足が止まっておった。休憩は十分だ、このまま調査地の方へ行かせてくれ。			エウレカの真相							
……うむ、ここまで来れば、あとのことも問題なかろう。			……うむ、ここまで来れば、あとのことも問題なかろう。			エウレカの真相							
話を本題に戻すとしようか。「名もなきエウレカの神」が創りしトリガーウェポン、エクスカリバーにまつわる物語だ。			話を本題に戻すとしようか。「名もなきエウレカの神」が創りしトリガーウェポン、エクスカリバーにまつわる物語だ。			エウレカの真相							
その完成からしばし時をさかのぼり、アモンによってザンデ復活の方法が模索されていたころ……試験的に蘇らせられた、ひとりの男がいた。			その完成からしばし時をさかのぼり、アモンによってザンデ復活の方法が模索されていたころ……試験的に蘇らせられた、ひとりの男がいた。			エウレカの真相							
