ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			どうか見つけて							
苦しくて、心がちっとも落ち着きません。だけど……私には、みなさんに伝えたいことがあるんです。それだけは……間違いないから……。			苦しくて、心がちっとも落ち着きません。だけど……私には、みなさんに伝えたいことがあるんです。それだけは……間違いないから……。			廃都ナバスアレン							
マグヌス氏は、線路の方で、タロースの確認をしてくださっています……。声をかけて、トロッコを動かしていただきましょう。			マグヌス氏は、線路の方で、タロースの確認をしてくださっています……。声をかけて、トロッコを動かしていただきましょう。			廃都ナバスアレン							
親方といっしょに、この瞬間に立ち会えたこと、本当によかったと思うよ。あんたたちには、いくら感謝してもたりないくらいだ！			親方といっしょに、この瞬間に立ち会えたこと、本当によかったと思うよ。あんたたちには、いくら感謝してもたりないくらいだ！			廃都ナバスアレン							
はぁぁぁ……どうしようー、トロッコが復活するー！もう、顔がニヤニヤして止まらないんだけど！？			はぁぁぁ……どうしようー、トロッコが復活するー！もう、顔がニヤニヤして止まらないんだけど！？			廃都ナバスアレン							
ああ、タロースなら、あのとおり……しっかり動いてるぞ。お前には、ちゃんと礼を言わなきゃならねぇな。			ああ、タロースなら、あのとおり……しっかり動いてるぞ。お前には、ちゃんと礼を言わなきゃならねぇな。			廃都ナバスアレン							
トロッコを動かそうと尽力してくれたこと……アグナの想いを、坑道から拾ってきてくれたこと……最初は素直に受け取ってやれなくて、すまなかった。			トロッコを動かそうと尽力してくれたこと……アグナの想いを、坑道から拾ってきてくれたこと……最初は素直に受け取ってやれなくて、すまなかった。			廃都ナバスアレン							
だが、こうして動いてるタロースを見たらよ……これは間違いなく、俺が引き継ぐべき、俺たち家族の夢だって、思えたんだ。			だが、こうして動いてるタロースを見たらよ……これは間違いなく、俺が引き継ぐべき、俺たち家族の夢だって、思えたんだ。			廃都ナバスアレン							
本当に、ありがとな。ナバスアレンまでのトロッコは、責任もって、俺が動かそう。			本当に、ありがとな。ナバスアレンまでのトロッコは、責任もって、俺が動かそう。			廃都ナバスアレン							
頼りにしてるぜ、親方。途中にある仕掛け扉ってのも、それで開くんだな……？			頼りにしてるぜ、親方。途中にある仕掛け扉ってのも、それで開くんだな……？			廃都ナバスアレン							
仕掛け扉……ああ、ゲートのことか。			仕掛け扉……ああ、ゲートのことか。			廃都ナバスアレン							
だったら心配はいらねぇ。今回動かしたタロースは、正真正銘、この路線用だからな。近づくだけで、ゲートが開くだろう。			だったら心配はいらねぇ。今回動かしたタロースは、正真正銘、この路線用だからな。近づくだけで、ゲートが開くだろう。			廃都ナバスアレン							
じゃあ、今度こそ……私たちがナバスアレンに行く準備は、整ったってことですね。			じゃあ、今度こそ……私たちがナバスアレンに行く準備は、整ったってことですね。			廃都ナバスアレン							
ああ……俺たちはこのまま「ビラン大鉱山」の操車場に行って、貨車のチェックと、タロースへの行動指示をすませよう。お前らも、乗車の準備ができたら来てくれ。			ああ……俺たちはこのまま「ビラン大鉱山」の操車場に行って、貨車のチェックと、タロースへの行動指示をすませよう。お前らも、乗車の準備ができたら来てくれ。			廃都ナバスアレン							
よし、お前ら、出発するぞ！タロースの挙動を見ながら行くから、うしろに回れ！			よし、お前ら、出発するぞ！タロースの挙動を見ながら行くから、うしろに回れ！			廃都ナバスアレン							
(-サーフとジェリック-)りょうかーい！			(-サーフとジェリック-)りょうかーい！			廃都ナバスアレン							
では、私たちも支度を整えて「ビラン大鉱山」に……。			では、私たちも支度を整えて「ビラン大鉱山」に……。			廃都ナバスアレン							
あ……あの……サンクレッド……！			あ……あの……サンクレッド……！			廃都ナバスアレン							
さっき、心核の石を採りに行ってくれてる間に、ソイルに魔力をこめておきました。			さっき、心核の石を採りに行ってくれてる間に、ソイルに魔力をこめておきました。			廃都ナバスアレン							
それから……一番最初……魔力をこめる練習用にもらった1発も、お返しします。			それから……一番最初……魔力をこめる練習用にもらった1発も、お返しします。			廃都ナバスアレン							
このソイルには、ずっとずっと、力を込めてきたから……どんな魔法が発動するかはわからないけれど、お守りだと思って、持っていてください。			このソイルには、ずっとずっと、力を込めてきたから……どんな魔法が発動するかはわからないけれど、お守りだと思って、持っていてください。			廃都ナバスアレン							
ミンフィリア、お前……。			ミンフィリア、お前……。			廃都ナバスアレン							
行きましょう、トロッコに乗りに……！			行きましょう、トロッコに乗りに……！			廃都ナバスアレン							
……わかってる。俺がちゃんと……今度こそしっかりやるさ。			……わかってる。俺がちゃんと……今度こそしっかりやるさ。			廃都ナバスアレン							
トロッコの準備は、つつがなく進んでいるようですね。なれば、私は…………。			トロッコの準備は、つつがなく進んでいるようですね。なれば、私は…………。			廃都ナバスアレン							
俺が腐ってた間も、こいつらが保守を続けてくれたおかげで、すぐにトロッコを動かせそうだ。……こいつらにも、あとでちゃんと礼を言わなきゃな。			俺が腐ってた間も、こいつらが保守を続けてくれたおかげで、すぐにトロッコを動かせそうだ。……こいつらにも、あとでちゃんと礼を言わなきゃな。			廃都ナバスアレン							
ジェリックが……見たことのないテンションで……かつてないほど機敏な動きで仕事してる……。気持ちはわからないでもないが……ヤバいな、俺の友達。			ジェリックが……見たことのないテンションで……かつてないほど機敏な動きで仕事してる……。気持ちはわからないでもないが……ヤバいな、俺の友達。			廃都ナバスアレン							
あーっ、そうだ！！ねえキミ、アレ持ってたりしない！？ほら、風景を転写できるっていう、なんかすごい魔器！			あーっ、そうだ！！ねえキミ、アレ持ってたりしない！？ほら、風景を転写できるっていう、なんかすごい魔器！			廃都ナバスアレン							
持ってるなら撮って！この、かわいくてかっこよくて愛嬌のあるトロッコを！今すぐ！　全方位から！　くまなく！　さあ！！			持ってるなら撮って！この、かわいくてかっこよくて愛嬌のあるトロッコを！今すぐ！　全方位から！　くまなく！　さあ！！			廃都ナバスアレン							
トロッコの準備は順調みたいですね。私たち、本当にナバスアレンに行けるんだ……。			トロッコの準備は順調みたいですね。私たち、本当にナバスアレンに行けるんだ……。			廃都ナバスアレン							
……本物の「ミンフィリア」に会ったらなんて言おうか、ここまで旅しながら、ずっと考えていたんです。			……本物の「ミンフィリア」に会ったらなんて言おうか、ここまで旅しながら、ずっと考えていたんです。			廃都ナバスアレン							
でも、みんなと一緒だと、1歩進むごとに風景が変わって……考えていたことが、ちっとも正しくない気もしてきて。			でも、みんなと一緒だと、1歩進むごとに風景が変わって……考えていたことが、ちっとも正しくない気もしてきて。			廃都ナバスアレン							
迷いはいつまでも尽きないけれど、私は……行こうと思います。ここで進むのをやめることが、絶対に、一番後悔するから。			迷いはいつまでも尽きないけれど、私は……行こうと思います。ここで進むのをやめることが、絶対に、一番後悔するから。			廃都ナバスアレン							
Forenameさん、ここまで私を連れてきてくれて、たくさんのことを教えてくれて、ありがとうございました。さあ、マグヌスさんに声をかけて、トロッコに乗りましょう。			Forenameさん、ここまで私を連れてきてくれて、たくさんのことを教えてくれて、ありがとうございました。さあ、マグヌスさんに声をかけて、トロッコに乗りましょう。			廃都ナバスアレン							
トロッコに乗るのは、もちろんはじめてです。みなさんとの旅は、いつだって、ドキドキするような新しいことばかりでした！			トロッコに乗るのは、もちろんはじめてです。みなさんとの旅は、いつだって、ドキドキするような新しいことばかりでした！			廃都ナバスアレン							
よぉし、こっちの準備も順調だ。……思いのほか単純な形で、驚いてるだろ？			よぉし、こっちの準備も順調だ。……思いのほか単純な形で、驚いてるだろ？			廃都ナバスアレン							
こいつを製造したダイダロス社ってのは、兎角、利便性を追求したタロースづくりをモットーとしててだな。			こいつを製造したダイダロス社ってのは、兎角、利便性を追求したタロースづくりをモットーとしててだな。			廃都ナバスアレン							
起伏が大きく、単線になっている箇所も多い鉱山トロッコには、簡単に動きの切り替えができる、この形が最適なんだと。			起伏が大きく、単線になっている箇所も多い鉱山トロッコには、簡単に動きの切り替えができる、この形が最適なんだと。			廃都ナバスアレン							
操作もシンプルで、タロースの専門家でない俺たちでも、速度や経路を教え込むことができる。ちっと滑稽に思うかもしれねぇが、笑って乗ってやってくれ。			操作もシンプルで、タロースの専門家でない俺たちでも、速度や経路を教え込むことができる。ちっと滑稽に思うかもしれねぇが、笑って乗ってやってくれ。			廃都ナバスアレン							
……で、どうする？間もなく準備完了になるが、出発してもいいか？			……で、どうする？間もなく準備完了になるが、出発してもいいか？			廃都ナバスアレン							
はいよ、それじゃあ貨車に乗ってくれ。足元に気をつけて、順番にな。			はいよ、それじゃあ貨車に乗ってくれ。足元に気をつけて、順番にな。			廃都ナバスアレン							
「廃都ナバスアレン」方面へ移動しますか？			「廃都ナバスアレン」方面へ移動しますか？			廃都ナバスアレン							
ここです……。この場所が、前にサンクレッドと訪れた、廃都ナバスアレン……「ミンフィリア」最期の地……。			ここです……。この場所が、前にサンクレッドと訪れた、廃都ナバスアレン……「ミンフィリア」最期の地……。			廃都ナバスアレン							
あのときは、湧き出してくる何かの気配が怖くて、意識を手放してしまったけれど……今は絶対に、目をそむけたりなんてしません。			あのときは、湧き出してくる何かの気配が怖くて、意識を手放してしまったけれど……今は絶対に、目をそむけたりなんてしません。			廃都ナバスアレン							
このわがままを許すと……そう言ってくれるなら、私は……。			このわがままを許すと……そう言ってくれるなら、私は……。			廃都ナバスアレン							
以後、廃都ナバスアレン方面へは、トゥワインにいる「冷静な見習い技師」に話しかけることで、移動できます。			以後、廃都ナバスアレン方面へは、トゥワインにいる「冷静な見習い技師」に話しかけることで、移動できます。			廃都ナバスアレン							
廃都ナバスアレンのミンフィリアは、真剣な眼差しをしている。			廃都ナバスアレンのミンフィリアは、真剣な眼差しをしている。			光の巫女							
指定地点で見渡す			指定地点で見渡す			光の巫女							
ミンフィリアを探す			ミンフィリアを探す			光の巫女							
サンクレッドを探す			サンクレッドを探す			光の巫女							
……進みましょう、Forenameさん。もっと、「光の氾濫」の跡の近くへ……彼女のいた場所へ。			……進みましょう、Forenameさん。もっと、「光の氾濫」の跡の近くへ……彼女のいた場所へ。			光の巫女							
近くまで行けば、何か、痕跡を感じられるはずです。			近くまで行けば、何か、痕跡を感じられるはずです。			光の巫女							
ああ……そうです……このあたりが…………。			ああ……そうです……このあたりが…………。			光の巫女							
(-ミンフィリア-)……ぅん………………。			(-ミンフィリア-)……ぅん………………。			光の巫女							
(-ミンフィリア-)私、いったい……。たしか……ミンフィリアと話して…………。			(-ミンフィリア-)私、いったい……。たしか……ミンフィリアと話して…………。			光の巫女							
(-ミンフィリア-)……Forenameさん？私、何かおかしいですか……？			(-ミンフィリア-)……Forenameさん？私、何かおかしいですか……？			光の巫女							
何と言う？			何と言う？			光の巫女							
髪の色が……			髪の色が……			光の巫女							
目の色が……			目の色が……			光の巫女							
(-ミンフィリア-)…………そっか。「ミンフィリア」が、私を本来の姿に、戻してくれたんだと思います。			(-ミンフィリア-)…………そっか。「ミンフィリア」が、私を本来の姿に、戻してくれたんだと思います。			光の巫女							
(-ミンフィリア-)金の髪に、水晶色の目……それらは転生して戦い続ける「ミンフィリア」の証だった……。			(-ミンフィリア-)金の髪に、水晶色の目……それらは転生して戦い続ける「ミンフィリア」の証だった……。			光の巫女							
(-ミンフィリア-)今、彼女は私に命を……私として生きる道を、託してくれた。だから…………。			(-ミンフィリア-)今、彼女は私に命を……私として生きる道を、託してくれた。だから…………。			光の巫女							
(-ミンフィリア-)……自分の中に、あたたかな力の流れを感じます。ずっと私のそばにいてくれた、優しい力が……前よりも、ずっとはっきりと……。			(-ミンフィリア-)……自分の中に、あたたかな力の流れを感じます。ずっと私のそばにいてくれた、優しい力が……前よりも、ずっとはっきりと……。			光の巫女							
(-ミンフィリア-)それに……わかるんです。今まで感じ取ることのできなかった、世界の流れ……光のうつろいと、それを操る方法が……。			(-ミンフィリア-)それに……わかるんです。今まで感じ取ることのできなかった、世界の流れ……光のうつろいと、それを操る方法が……。			光の巫女							
(-ミンフィリア-)大罪喰いの存在も、感じ取れています。アム・アレーンのどこにいるのかまで、しっかりと……。			(-ミンフィリア-)大罪喰いの存在も、感じ取れています。アム・アレーンのどこにいるのかまで、しっかりと……。			光の巫女							
(-ミンフィリア-)急いでサンクレッドやみなさんと合流して、討伐に…………			(-ミンフィリア-)急いでサンクレッドやみなさんと合流して、討伐に…………			光の巫女							
(-ミンフィリア-)……サンクレッドは、本当に、私を恨まないでしょうか。「ミンフィリア」としての証もなくなってしまって……。			(-ミンフィリア-)……サンクレッドは、本当に、私を恨まないでしょうか。「ミンフィリア」としての証もなくなってしまって……。			光の巫女							
何と言う？			何と言う？			光の巫女							
大丈夫、信じろ			大丈夫、信じろ			光の巫女							
自分で確かめるしかない			自分で確かめるしかない			光の巫女							
(-ミンフィリア-)そう……でしょうか……。			(-ミンフィリア-)そう……でしょうか……。			光の巫女							
(-ミンフィリア-)そう……ですよね……。自分でも、よく、わかっているんですが……。			(-ミンフィリア-)そう……ですよね……。自分でも、よく、わかっているんですが……。			光の巫女							
(-ミンフィリア-)……Forenameさん、もしよければ、先にサンクレッドのところに戻っていてください。私も……すぐにあとを追いかけますので……！			(-ミンフィリア-)……Forenameさん、もしよければ、先にサンクレッドのところに戻っていてください。私も……すぐにあとを追いかけますので……！			光の巫女							
少しだけ、気持ちを落ち着ける時間をください。すぐに……すぐに追いかけていきますので……！			少しだけ、気持ちを落ち着ける時間をください。すぐに……すぐに追いかけていきますので……！			光の巫女							
おお、戻ってきたのだね。			おお、戻ってきたのだね。			光の巫女							
あっ、来た来た！			あっ、来た来た！			光の巫女							
お戻りになられたのですね。ミンフィリアは……？			お戻りになられたのですね。ミンフィリアは……？			光の巫女							
おかえりなさい。あなたからも、彼にひとこと言ってやってもらえるかしら？			おかえりなさい。あなたからも、彼にひとこと言ってやってもらえるかしら？			光の巫女							
水の駅のリーンは、冒険者を見つめている。			水の駅のリーンは、冒険者を見つめている。			私はここに眠る							
リーンから、大罪喰いの居場所を知らされた。アム・アレーンのマリカの大井戸にある「指定地点」で見渡そう。一度ほかの場所に移動した場合は、トゥワインにいる「冷静な見習い技師」が、南アンバーヒルへ案内してくれるようだ。			リーンから、大罪喰いの居場所を知らされた。アム・アレーンのマリカの大井戸にある「指定地点」で見渡そう。一度ほかの場所に移動した場合は、トゥワインにいる「冷静な見習い技師」が、南アンバーヒルへ案内してくれるようだ。			私はここに眠る							
大井戸の奥から、大罪喰いが光を放っているのを感じ取った。「マリカの大井戸」に突入し、大罪喰いを倒そう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			大井戸の奥から、大罪喰いが光を放っているのを感じ取った。「マリカの大井戸」に突入し、大罪喰いを倒そう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			私はここに眠る							
大罪喰いを討伐した。大井戸の外へ帰ろう。			大罪喰いを討伐した。大井戸の外へ帰ろう。			私はここに眠る							
マリカの大井戸から帰還した。南アンバーヒルの「アリゼー」と話そう。			マリカの大井戸から帰還した。南アンバーヒルの「アリゼー」と話そう。			私はここに眠る							
アリゼーとともに、アム・アレーンの夜を取り戻したことを噛みしめた。これで、光に覆われた地域も、残すところはコルシア島付近のみとなった。最後の戦いを制し、無事、ふたつの世界を救うことはできるのだろうか。			アリゼーとともに、アム・アレーンの夜を取り戻したことを噛みしめた。これで、光に覆われた地域も、残すところはコルシア島付近のみとなった。最後の戦いを制し、無事、ふたつの世界を救うことはできるのだろうか。			私はここに眠る							
指定地点で見渡す			指定地点で見渡す			私はここに眠る							
「爽涼離宮 マリカの大井戸」を攻略			「爽涼離宮 マリカの大井戸」を攻略			私はここに眠る							
アリゼーと話す			アリゼーと話す			私はここに眠る							
思えば私も、最初は祖父と面識のあったミンフィリアを通じて、「暁」の活動に携わるようになったのだったね。			思えば私も、最初は祖父と面識のあったミンフィリアを通じて、「暁」の活動に携わるようになったのだったね。			私はここに眠る							
いつかそれを、タタルたちと、少しの寂しさをもって語らう日が来るのだとしても……今は、リーンの踏み出した一歩を、祝福しようと思うよ。			いつかそれを、タタルたちと、少しの寂しさをもって語らう日が来るのだとしても……今は、リーンの踏み出した一歩を、祝福しようと思うよ。			私はここに眠る							
まったく……サンクレッドもリーンも、さんざん心配させてくれちゃって。			まったく……サンクレッドもリーンも、さんざん心配させてくれちゃって。			私はここに眠る							
……ちょっとだけ、家族が恋しくなったじゃない。よければあなたも、いつか大きな戦いが終わったときに、シャーレアンまで遊びに来る？			……ちょっとだけ、家族が恋しくなったじゃない。よければあなたも、いつか大きな戦いが終わったときに、シャーレアンまで遊びに来る？			私はここに眠る							
リーンと……ミンフィリアにも、付き合ってくれて、ありがとうな。			リーンと……ミンフィリアにも、付き合ってくれて、ありがとうな。			私はここに眠る							
彼女たちが何を話したのかは……そうだな、いずれ聞こう。今はただ、俺も、進めるだけ進むとしよう。			彼女たちが何を話したのかは……そうだな、いずれ聞こう。今はただ、俺も、進めるだけ進むとしよう。			私はここに眠る							
「光の巫女」を第一世界に送るという、己の判断が、果たして正しかったのか……。私は生涯、悩み続けることでしょう。			「光の巫女」を第一世界に送るという、己の判断が、果たして正しかったのか……。私は生涯、悩み続けることでしょう。			私はここに眠る							
それでも……私の咎とは関わりなく、このふたりの笑顔は、あたたかな善いものです。			それでも……私の咎とは関わりなく、このふたりの笑顔は、あたたかな善いものです。			私はここに眠る							
リーンのエーテルが、少しだけ変わって視えるわ。……金色の陽だまりを混ぜたみたいな、優しい色をしてる。まるで、誰かさんの髪のような……ね。			リーンのエーテルが、少しだけ変わって視えるわ。……金色の陽だまりを混ぜたみたいな、優しい色をしてる。まるで、誰かさんの髪のような……ね。			私はここに眠る							
Forenameさん……ずっとそばで見守ってくれて、本当にありがとうございました。これからも、どうぞよろしくおねがいします……！			Forenameさん……ずっとそばで見守ってくれて、本当にありがとうございました。これからも、どうぞよろしくおねがいします……！			私はここに眠る							
……っていうか、あなた自身は大丈夫なの？「光の巫女」の力を、急に全部継承したりして……。			……っていうか、あなた自身は大丈夫なの？「光の巫女」の力を、急に全部継承したりして……。			私はここに眠る							
はい、大丈夫です。今なら、アム・アレーンの大罪喰いの居場所も、感じ取ることができます。			はい、大丈夫です。今なら、アム・アレーンの大罪喰いの居場所も、感じ取ることができます。			私はここに眠る							
大罪喰いの気配は、ここから西に感じます。しかも、かなり下の方……地面の中じゃないかと。			大罪喰いの気配は、ここから西に感じます。しかも、かなり下の方……地面の中じゃないかと。			私はここに眠る							
西方の、地下に続く道……それなら……！			西方の、地下に続く道……それなら……！			私はここに眠る							
ええ……あなたたちが戻ってくる前に、私たちで、この周辺の簡単な調査をしてみたのよ。			ええ……あなたたちが戻ってくる前に、私たちで、この周辺の簡単な調査をしてみたのよ。			私はここに眠る							
ちょうど、ここから西に進んだところに、「マリカの大井戸」と記された廃墟があったの。			ちょうど、ここから西に進んだところに、「マリカの大井戸」と記された廃墟があったの。			私はここに眠る							
ナバスアレン史は、ちょっとうろ覚えだけれど……確か、さる王妃が亡き王を偲んで作らせた井戸だったはずよ。冷たい地下水を汲み上げることで、涼を愉しむためにね。			ナバスアレン史は、ちょっとうろ覚えだけれど……確か、さる王妃が亡き王を偲んで作らせた井戸だったはずよ。冷たい地下水を汲み上げることで、涼を愉しむためにね。			私はここに眠る							
鉱業が大規模化してからは、その地下水を採掘用にすべく、線路を引き入れたんじゃないかしら……。			鉱業が大規模化してからは、その地下水を採掘用にすべく、線路を引き入れたんじゃないかしら……。			私はここに眠る							
かなり大規模な井戸だし、地下水路と交わっているのなら、それを伝って地中を広く移動できる可能性が高い。			かなり大規模な井戸だし、地下水路と交わっているのなら、それを伝って地中を広く移動できる可能性が高い。			私はここに眠る							
君の誘導があれば、目的地にたどりつけそうだが……頼めるかな、リーン？			君の誘導があれば、目的地にたどりつけそうだが……頼めるかな、リーン？			私はここに眠る							
はいっ、お任せください……！			はいっ、お任せください……！			私はここに眠る							
……決まりだな。それじゃ、その「マリカの大井戸」に行ってみるとしよう。			……決まりだな。それじゃ、その「マリカの大井戸」に行ってみるとしよう。			私はここに眠る							
ほら、かなりの規模だろう？			ほら、かなりの規模だろう？			私はここに眠る							
いかにも怪しいって感じね……。			いかにも怪しいって感じね……。			私はここに眠る							
こっちには、まだタロースが残っていたのか……。だが、制御されていないみたいだな。			こっちには、まだタロースが残っていたのか……。だが、制御されていないみたいだな。			私はここに眠る							
感じます……この奥から……。			感じます……この奥から……。			私はここに眠る							
ここもまた、時が止まったかのような場所ですね……。			ここもまた、時が止まったかのような場所ですね……。			私はここに眠る							
あなたも、そこから大井戸を覗いてみたら？なかなか壮観よ。			あなたも、そこから大井戸を覗いてみたら？なかなか壮観よ。			私はここに眠る							
……感じます。この井戸から吹き上げる風に、大罪喰いの放つ光が混じっているようです。			……感じます。この井戸から吹き上げる風に、大罪喰いの放つ光が混じっているようです。			私はここに眠る							
アタリってわけね。ついに、この地の大罪喰いと、対峙できる……。			アタリってわけね。ついに、この地の大罪喰いと、対峙できる……。			私はここに眠る							
行きましょう……！大井戸の先に潜むそいつを倒して、アム・アレーンにも、在るべき闇を取り戻すのよ……！			行きましょう……！大井戸の先に潜むそいつを倒して、アム・アレーンにも、在るべき闇を取り戻すのよ……！			私はここに眠る							
どうする？			どうする？			私はここに眠る							
話す			話す			私はここに眠る							
パーティを編成して突入			パーティを編成して突入			私はここに眠る							
キャンセル			キャンセル			私はここに眠る							
私やアリゼーが大罪喰いと直接対決するのは、ホルミンスターの一件以来になる……。だが、互いに調査を進めながら、少しずつ腕を上げてきたんだ。			私やアリゼーが大罪喰いと直接対決するのは、ホルミンスターの一件以来になる……。だが、互いに調査を進めながら、少しずつ腕を上げてきたんだ。			私はここに眠る							
ここまで戦い続け、道を繋いでくれた、すべての「ミンフィリア」たちに応えるつもりで、精一杯、尽力しよう。			ここまで戦い続け、道を繋いでくれた、すべての「ミンフィリア」たちに応えるつもりで、精一杯、尽力しよう。			私はここに眠る							
ついに、このときがきたわね……。私はあのとき、ハルリクの前で誓ったわ。戦って、世界を変えるって……。			ついに、このときがきたわね……。私はあのとき、ハルリクの前で誓ったわ。戦って、世界を変えるって……。			私はここに眠る							
今こそ、それを現実にする。あの子たちに、治る道を示してみせる……！さあ、行くわよ！			今こそ、それを現実にする。あの子たちに、治る道を示してみせる……！さあ、行くわよ！			私はここに眠る							
ああ、俺の体なら心配するな。ちょっとばかり無茶をしたが、おかげさまで、傷口はあらかた塞がれてる。			ああ、俺の体なら心配するな。ちょっとばかり無茶をしたが、おかげさまで、傷口はあらかた塞がれてる。			私はここに眠る							
……いや、ひどい恰好なのは確かだな。とりあえず、埃くらいは叩いておくか……。			……いや、ひどい恰好なのは確かだな。とりあえず、埃くらいは叩いておくか……。			私はここに眠る							
何にせよ、リーンとミンフィリアが導いてくれた場所だ。この俺が、ここでヘバってるわけにはいかないだろう？			何にせよ、リーンとミンフィリアが導いてくれた場所だ。この俺が、ここでヘバってるわけにはいかないだろう？			私はここに眠る							
光の気配といえば……Forenameさん、あなたは…………			光の気配といえば……Forenameさん、あなたは…………			私はここに眠る							
……いえ、今は目の前の戦いに集中します。奥に潜む大罪喰いを、必ず倒しましょう！			……いえ、今は目の前の戦いに集中します。奥に潜む大罪喰いを、必ず倒しましょう！			私はここに眠る							
ああ、お伝えし忘れておりました……。あなた方が乗ってきたトロッコについては、マグヌス氏に連絡をとり、回収をしていただきました。			ああ、お伝えし忘れておりました……。あなた方が乗ってきたトロッコについては、マグヌス氏に連絡をとり、回収をしていただきました。			私はここに眠る							
タロースには破損が見られましたが、幸いにして、内なる心核は無事だった様子……。母の想いというのは、強いものですね。			タロースには破損が見られましたが、幸いにして、内なる心核は無事だった様子……。母の想いというのは、強いものですね。			私はここに眠る							
そういえば……あのランジートという御仁、生きていたらしいわね。私が驚くのも変な話でしょうけど。			そういえば……あのランジートという御仁、生きていたらしいわね。私が驚くのも変な話でしょうけど。			私はここに眠る							
東側での陽動は、それなりに手ごたえがあったのよ。けれど、あの御仁の勘……戦いの嗅覚とでも言うのかしらね、そういう洞察力が、並外れているわ。			東側での陽動は、それなりに手ごたえがあったのよ。けれど、あの御仁の勘……戦いの嗅覚とでも言うのかしらね、そういう洞察力が、並外れているわ。			私はここに眠る							
サンクレッドにとっては、あれほど戦いづらい相手も、そういないでしょうに……本当によくやったわよ、彼。			サンクレッドにとっては、あれほど戦いづらい相手も、そういないでしょうに……本当によくやったわよ、彼。			私はここに眠る							
ついに、ヴァウスリーとの決着になるか……。しかしForename、今はこの地に闇が戻ったことを、アリゼーとともに喜んでやってはくれないかい？			ついに、ヴァウスリーとの決着になるか……。しかしForename、今はこの地に闇が戻ったことを、アリゼーとともに喜んでやってはくれないかい？			私はここに眠る							
っつ……さすがに体にガタがきてるな……。お前の方は、大丈夫か？			っつ……さすがに体にガタがきてるな……。お前の方は、大丈夫か？			私はここに眠る							
マグヌスさんたちも、この夜空を喜んでくれているでしょうか。もしそうだったら、とても嬉しいです。			マグヌスさんたちも、この夜空を喜んでくれているでしょうか。もしそうだったら、とても嬉しいです。			私はここに眠る							
だけど、Forenameさん……その体は、やっぱり…………。			だけど、Forenameさん……その体は、やっぱり…………。			私はここに眠る							
こうしてまたひとつ闇が戻り、戦いの終わりが近づいています。それは、何の終わりで、何の始まりとなるのでしょう……。			こうしてまたひとつ闇が戻り、戦いの終わりが近づいています。それは、何の終わりで、何の始まりとなるのでしょう……。			私はここに眠る							
今回は、エメトセルクの出迎えもないみたいね。本当に、読めない男……。			今回は、エメトセルクの出迎えもないみたいね。本当に、読めない男……。			私はここに眠る							
Forename、ありがとうね。ハルリクも……ほかの「旅立ちの宿」の患者たちも、少しずつだろうけれど、快方に向かうはずよ。			Forename、ありがとうね。ハルリクも……ほかの「旅立ちの宿」の患者たちも、少しずつだろうけれど、快方に向かうはずよ。			私はここに眠る							
あそこを出たときは、この地に闇を取り戻すなんて、「現実的じゃない」って言われてたけど……私たち、ちゃんとここにたどり着いたわ。			あそこを出たときは、この地に闇を取り戻すなんて、「現実的じゃない」って言われてたけど……私たち、ちゃんとここにたどり着いたわ。			私はここに眠る							
だったら、最後までだって、きっと辿りつける。アルフィノの言うとおり、次を最後の戦いにして、ふたつの世界をまとめて救ってやろうじゃない……！			だったら、最後までだって、きっと辿りつける。アルフィノの言うとおり、次を最後の戦いにして、ふたつの世界をまとめて救ってやろうじゃない……！			私はここに眠る							
南アンバーヒルのリーンは、何やら心配そうだ。			南アンバーヒルのリーンは、何やら心配そうだ。			君を救う痛み							
クリスタリウムのヤ・シュトラと話す			クリスタリウムのヤ・シュトラと話す			君を救う痛み							
ペンダント居住館の管理人と話す			ペンダント居住館の管理人と話す			君を救う痛み							
ついに、ヴァウスリーとの決着になるか……。しかしForename、今はこの地に闇が戻ったことを、アリゼーとともに喜んでやってはくれないかい？			ついに、ヴァウスリーとの決着になるか……。しかしForename、今はこの地に闇が戻ったことを、アリゼーとともに喜んでやってはくれないかい？			君を救う痛み							
すぐには無理かもしれないけれど、いつか、テスリーンにも報告しに行きましょ。彼女のお墓、簡単なものだけれど作ってあるから……。			すぐには無理かもしれないけれど、いつか、テスリーンにも報告しに行きましょ。彼女のお墓、簡単なものだけれど作ってあるから……。			君を救う痛み							
っつ……さすがに体にガタがきてるな……。お前の方は、大丈夫か？			っつ……さすがに体にガタがきてるな……。お前の方は、大丈夫か？			君を救う痛み							
こうしてまたひとつ闇が戻り、戦いの終わりが近づいています。それは、何の終わりで、何の始まりとなるのでしょう……。			こうしてまたひとつ闇が戻り、戦いの終わりが近づいています。それは、何の終わりで、何の始まりとなるのでしょう……。			君を救う痛み							
