ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
……おつかれさま。無事に戻ってきてくれて、嬉しいわ。			……おつかれさま。無事に戻ってきてくれて、嬉しいわ。			美神ラクシュミ							
シュー……戻りが遅いので心配していた。生きた状態で、ふたたび会えたことを嬉しく思う。			シュー……戻りが遅いので心配していた。生きた状態で、ふたたび会えたことを嬉しく思う。			美神ラクシュミ							
これで少なくとも、しばらくの間は、ウィルラ派のアナンタ族が安全になったね……。			これで少なくとも、しばらくの間は、ウィルラ派のアナンタ族が安全になったね……。			美神ラクシュミ							
これ以上、悲しい出来事を繰り返させないためにも、ギラバニアから、帝国軍を追い出さないと……。アタシ、頑張るよ、Forename！			これ以上、悲しい出来事を繰り返させないためにも、ギラバニアから、帝国軍を追い出さないと……。アタシ、頑張るよ、Forename！			美神ラクシュミ							
ピーリングストーンズのメ・ギゾは、狩場のことで困ったことがあるようだ。			ピーリングストーンズのメ・ギゾは、狩場のことで困ったことがあるようだ。			さまよう魂							
指定地点で見渡してブロークン・ブフートを討伐			指定地点で見渡してブロークン・ブフートを討伐			さまよう魂							
メ・ギゾに報告			メ・ギゾに報告			さまよう魂							
帝国がいなくなったおかげで、生活が楽になったよ。前までは、ひとけのない穴場で狩りをしているだけで、「反帝国活動」だとか疑われて、面倒臭かったんだよね。			帝国がいなくなったおかげで、生活が楽になったよ。前までは、ひとけのない穴場で狩りをしているだけで、「反帝国活動」だとか疑われて、面倒臭かったんだよね。			さまよう魂							
ただ、帝国がいなくなった後にも困ったことはあってね。私のお気に入りの狩場に、ブロークン・ブフートが棲みついちゃってさ。いつ襲われるかわからなくて、狩りができないんだよ。			ただ、帝国がいなくなった後にも困ったことはあってね。私のお気に入りの狩場に、ブロークン・ブフートが棲みついちゃってさ。いつ襲われるかわからなくて、狩りができないんだよ。			さまよう魂							
追い出そうにも、奴は高い崖の上にいて、私の弓じゃ届かないしね……。空が飛べるなら、すぐ退治しに行けるのになあ。			追い出そうにも、奴は高い崖の上にいて、私の弓じゃ届かないしね……。空が飛べるなら、すぐ退治しに行けるのになあ。			さまよう魂							
そこで、君にお願いがあるんだよ。崖の上の「ブロークン・ブフート」を退治してほしいんだ。面倒かもしれないけど、よろしく頼むよ……。			そこで、君にお願いがあるんだよ。崖の上の「ブロークン・ブフート」を退治してほしいんだ。面倒かもしれないけど、よろしく頼むよ……。			さまよう魂							
崖の上の「ブロークン・ブフート」を退治してほしいんだ。面倒かもしれないけど、よろしく頼むよ……。			崖の上の「ブロークン・ブフート」を退治してほしいんだ。面倒かもしれないけど、よろしく頼むよ……。			さまよう魂							
ブロークン・ブフートを倒したって？ということは、あの高い崖を越えたってこと？へえ、すごいなあ。			ブロークン・ブフートを倒したって？ということは、あの高い崖を越えたってこと？へえ、すごいなあ。			さまよう魂							
もったいないなあ。君が男なら、きっといい「ヌン」になれたのに……。私、君みたいな強い男は好きだよ。もちろん、「ヌン」の次にだけどね。			もったいないなあ。君が男なら、きっといい「ヌン」になれたのに……。私、君みたいな強い男は好きだよ。もちろん、「ヌン」の次にだけどね。			さまよう魂							
でも、ブロークン・ブフートはどうして崖の上なんかにいたんだ？普段は、墓地などの暗い場所にいるはずなんだけど。			でも、ブロークン・ブフートはどうして崖の上なんかにいたんだ？普段は、墓地などの暗い場所にいるはずなんだけど。			さまよう魂							
……そうか、ここは、昔たくさんの人が死んだ場所だから、死者の魂が彷徨っているのかもしれないね。……早く、彼らの帰る場所が見つかるといいな……。			……そうか、ここは、昔たくさんの人が死んだ場所だから、死者の魂が彷徨っているのかもしれないね。……早く、彼らの帰る場所が見つかるといいな……。			さまよう魂							
ピーリングストーンズのメ・セプサは、アナンタ族について調べているようだ。			ピーリングストーンズのメ・セプサは、アナンタ族について調べているようだ。			アナンタマーケティング							
ウィルラ・ニリヤのアナンタ族と話す			ウィルラ・ニリヤのアナンタ族と話す			アナンタマーケティング							
メ・セプサに報告			メ・セプサに報告			アナンタマーケティング							
指定地点で樹脂を入手			指定地点で樹脂を入手			アナンタマーケティング							
メ・セプサに樹脂入りの壺を渡す			メ・セプサに樹脂入りの壺を渡す			アナンタマーケティング							
ねえ、あなた。時間があるなら、私の頼みを聞いてくれないかしら？			ねえ、あなた。時間があるなら、私の頼みを聞いてくれないかしら？			アナンタマーケティング							
今度のアナンタ族との物々交換会で、定番の品と一緒に、彼女たちが喜ぶ品を用意したいの。			今度のアナンタ族との物々交換会で、定番の品と一緒に、彼女たちが喜ぶ品を用意したいの。			アナンタマーケティング							
そこで、「ウィルラ・ニリヤ」にいるアナンタ族から、彼女たちの願望や、困っていることについて、調査してほしいの。そうね……5人ぐらいから聞き取りを行ってくれる？			そこで、「ウィルラ・ニリヤ」にいるアナンタ族から、彼女たちの願望や、困っていることについて、調査してほしいの。そうね……5人ぐらいから聞き取りを行ってくれる？			アナンタマーケティング							
彼女たちの事情を知ることができれば、交換会でどんな品物を用意すればいいか、わかるからね。それじゃ、お願いね。			彼女たちの事情を知ることができれば、交換会でどんな品物を用意すればいいか、わかるからね。それじゃ、お願いね。			アナンタマーケティング							
「ウィルラ・ニリヤ」にいるアナンタ族から、彼女たちの願望や、困っていることについて、調査してほしいの。そうね……5人ぐらいから聞き取りを行ってくれる？			「ウィルラ・ニリヤ」にいるアナンタ族から、彼女たちの願望や、困っていることについて、調査してほしいの。そうね……5人ぐらいから聞き取りを行ってくれる？			アナンタマーケティング							
シュー……ほう、何か不足している物はないか、と？実は、狩猟に使う矢の数が心許なくなってきてな、そろそろ補充したいと思っていたところだ。			シュー……ほう、何か不足している物はないか、と？実は、狩猟に使う矢の数が心許なくなってきてな、そろそろ補充したいと思っていたところだ。			アナンタマーケティング							
シュー……不足している物？現在、メ族との交換会に向けて、装飾品を用意しているのだが、素材の見積もりを誤ってな……追加してもらえるとありがたい。			シュー……不足している物？現在、メ族との交換会に向けて、装飾品を用意しているのだが、素材の見積もりを誤ってな……追加してもらえるとありがたい。			アナンタマーケティング							
シュー……何か欲しい物はないか、と？我が麗しき肌を守るため、長手袋を新調したいのだが、素材となる糸が、貴重なため手に入らないのだ。			シュー……何か欲しい物はないか、と？我が麗しき肌を守るため、長手袋を新調したいのだが、素材となる糸が、貴重なため手に入らないのだ。			アナンタマーケティング							
シュー……困っていることと言ってよいのかわからぬが、矢に塗布する毒の効能が、幾分強すぎるように思う。			シュー……困っていることと言ってよいのかわからぬが、矢に塗布する毒の効能が、幾分強すぎるように思う。			アナンタマーケティング							
我らアナンタの美しい身体が、炎症を起こして爛れてしまったら、それは、大地が慟哭するほどの損失であろう？			我らアナンタの美しい身体が、炎症を起こして爛れてしまったら、それは、大地が慟哭するほどの損失であろう？			アナンタマーケティング							
シュー……我に悩んでいることなどない。強いて言えば、すべてが美しすぎること、だ。			シュー……我に悩んでいることなどない。強いて言えば、すべてが美しすぎること、だ。			アナンタマーケティング							
おかえりなさい。アナンタ族が何を欲しがっているか、わかった？			おかえりなさい。アナンタ族が何を欲しがっているか、わかった？			アナンタマーケティング							
……ふむふむ、なるほど。欲しいものはたくさんあるみたいね。次に、困っていることは？			……ふむふむ、なるほど。欲しいものはたくさんあるみたいね。次に、困っていることは？			アナンタマーケティング							
毒矢に使う毒の成分が強すぎるって？なるほど……肌に触れたときのことを恐れているのね。美意識の高い彼女たちらしいわね。			毒矢に使う毒の成分が強すぎるって？なるほど……肌に触れたときのことを恐れているのね。美意識の高い彼女たちらしいわね。			アナンタマーケティング							
そうだ、いいことを思いついちゃった。毒液さえも弾く樹脂を塗った繊維を使って、長手袋を作れば、彼女たちの需要を一気に解決できるじゃない！			そうだ、いいことを思いついちゃった。毒液さえも弾く樹脂を塗った繊維を使って、長手袋を作れば、彼女たちの需要を一気に解決できるじゃない！			アナンタマーケティング							
そうと決まれば、あなたはイーストエンド混交林に行って、樹脂を空っぽの壺いっぱいに集めてきてちょうだい！私は、急いで糸を紡いで用意しておくわ！			そうと決まれば、あなたはイーストエンド混交林に行って、樹脂を空っぽの壺いっぱいに集めてきてちょうだい！私は、急いで糸を紡いで用意しておくわ！			アナンタマーケティング							
イーストエンド混交林に行って、樹脂を空っぽの壺いっぱいに集めてきてちょうだい！私は、急いで糸を紡いで用意しておくわ！			イーストエンド混交林に行って、樹脂を空っぽの壺いっぱいに集めてきてちょうだい！私は、急いで糸を紡いで用意しておくわ！			アナンタマーケティング							
この木から採取できそうな樹脂はないようだ……。			この木から採取できそうな樹脂はないようだ……。			アナンタマーケティング							
お帰りなさい！樹脂は採れたかしら？			お帰りなさい！樹脂は採れたかしら？			アナンタマーケティング							
ありがとう！これだけあれば、十分よ。			ありがとう！これだけあれば、十分よ。			アナンタマーケティング							
アナンタ族とは、猟場を巡って対立することもあるけど、彼女たちの作る装飾品は、メ族も一目置いているのよ。今後も、いい関係を保ち続けないとね。			アナンタ族とは、猟場を巡って対立することもあるけど、彼女たちの作る装飾品は、メ族も一目置いているのよ。今後も、いい関係を保ち続けないとね。			アナンタマーケティング							
ギラバニア辺境地帯のメ・ゼト・ティアは、何かを決意したようだ。			ギラバニア辺境地帯のメ・ゼト・ティアは、何かを決意したようだ。			再戦！ メ・ラツ・ヌン							
決闘前の心の準備が整ったメ・ゼト・ティアは、メ・ラツ・ヌンに勝負を挑むようだ。ギラバニア辺境地帯のピーリングストーンズに向かった「メ・ゼト・ティア」を追おう。			決闘前の心の準備が整ったメ・ゼト・ティアは、メ・ラツ・ヌンに勝負を挑むようだ。ギラバニア辺境地帯のピーリングストーンズに向かった「メ・ゼト・ティア」を追おう。			再戦！ メ・ラツ・ヌン							
メ・ゼト・ティアは、「ヌン」の座を懸けた決闘に敗れてしまった。メ・ゼト・ティアの父親は、過去にメ・ラツ・ヌンとともにメ族の「ヌン」を務めていたメ・アト・ヌンだという。ヴィルジャラの涸れ谷の南部にいる「メ・ゼト・ティア」と話そう。			メ・ゼト・ティアは、「ヌン」の座を懸けた決闘に敗れてしまった。メ・ゼト・ティアの父親は、過去にメ・ラツ・ヌンとともにメ族の「ヌン」を務めていたメ・アト・ヌンだという。ヴィルジャラの涸れ谷の南部にいる「メ・ゼト・ティア」と話そう。			再戦！ メ・ラツ・ヌン							
メ・ゼト・ティアは、過去に父メ・アト・ヌンに捨てられ、ひとりで生きてきたという。孤独から脱するために「ヌン」を目指す彼に、再び修行をつけることになった。			メ・ゼト・ティアは、過去に父メ・アト・ヌンに捨てられ、ひとりで生きてきたという。孤独から脱するために「ヌン」を目指す彼に、再び修行をつけることになった。			再戦！ メ・ラツ・ヌン							
メ・ゼト・ティアを追う			メ・ゼト・ティアを追う			再戦！ メ・ラツ・ヌン							
メ・ゼト・ティアと話す			メ・ゼト・ティアと話す			再戦！ メ・ラツ・ヌン							
心の準備が整いましたぁ！！			心の準備が整いましたぁ！！			再戦！ メ・ラツ・ヌン							
ピーリングストーンズに乗り込んで、「ヌン」に決闘を申し込んでやる！師匠は立会人をお願いします！			ピーリングストーンズに乗り込んで、「ヌン」に決闘を申し込んでやる！師匠は立会人をお願いします！			再戦！ メ・ラツ・ヌン							
こ、こんなはずじゃ……。			こ、こんなはずじゃ……。			再戦！ メ・ラツ・ヌン							
どうしてオレはこんなにも弱いんだ……。			どうしてオレはこんなにも弱いんだ……。			再戦！ メ・ラツ・ヌン							
ひとつ教えてほしい。なぜそうまで「ヌン」の座に固執する？			ひとつ教えてほしい。なぜそうまで「ヌン」の座に固執する？			再戦！ メ・ラツ・ヌン							
……親父は、かつてメ族の「ヌン」だった。だが、その座を追われると、幼いオレを連れて集落を出た。			……親父は、かつてメ族の「ヌン」だった。だが、その座を追われると、幼いオレを連れて集落を出た。			再戦！ メ・ラツ・ヌン							
それからすぐのことだ……親父がオレを置いて消えたのは！！			それからすぐのことだ……親父がオレを置いて消えたのは！！			再戦！ メ・ラツ・ヌン							
お前が「ヌン」の座を奪わなければ！親父はオレを置いて消えたりしなかったんだ！！			お前が「ヌン」の座を奪わなければ！親父はオレを置いて消えたりしなかったんだ！！			再戦！ メ・ラツ・ヌン							
オレは……メ・ゼト・ティアは、お前を絶対に許さない！必ず、「ヌン」の座から引きずり下ろしてやる！！			オレは……メ・ゼト・ティアは、お前を絶対に許さない！必ず、「ヌン」の座から引きずり下ろしてやる！！			再戦！ メ・ラツ・ヌン							
……もしや、あの若者……奴の息子なのか……。			……もしや、あの若者……奴の息子なのか……。			再戦！ メ・ラツ・ヌン							
……かつて、この集落にはふたりの「ヌン」が存在した。「ヌン」を共通語で説明する際には、「族長」と表現するが、実のところ「家長」のような側面もあってな……。			……かつて、この集落にはふたりの「ヌン」が存在した。「ヌン」を共通語で説明する際には、「族長」と表現するが、実のところ「家長」のような側面もあってな……。			再戦！ メ・ラツ・ヌン							
広い狩場を縄張りとし、多くの一族を養えるのであれば、ひとつの集落に、ふたりの「ヌン」を置くこともあるのだ。だが、帝国の侵攻により縄張りが縮小してな……。			広い狩場を縄張りとし、多くの一族を養えるのであれば、ひとつの集落に、ふたりの「ヌン」を置くこともあるのだ。だが、帝国の侵攻により縄張りが縮小してな……。			再戦！ メ・ラツ・ヌン							
一族を存続させるため、「ヌン」をひとり減らすことになった。本来ならば、「ヌン」同士の決闘を行い、残る者を選ぶのが筋だろう……。			一族を存続させるため、「ヌン」をひとり減らすことになった。本来ならば、「ヌン」同士の決闘を行い、残る者を選ぶのが筋だろう……。			再戦！ メ・ラツ・ヌン							
ところが、メ・アト・ヌンは……あの若者の父親は、その権利を放棄し、幼子を連れて、ピーリングストーンズから出て行った。			ところが、メ・アト・ヌンは……あの若者の父親は、その権利を放棄し、幼子を連れて、ピーリングストーンズから出て行った。			再戦！ メ・ラツ・ヌン							
その後、奴にいったい何があったのだ……なぜあの子を置き去りにするようなことに……。			その後、奴にいったい何があったのだ……なぜあの子を置き去りにするようなことに……。			再戦！ メ・ラツ・ヌン							
彼の父親について、その後を知る者がいないか、一族の者たちや、交流のあるアナンタ族などに聞いてみよう。			彼の父親について、その後を知る者がいないか、一族の者たちや、交流のあるアナンタ族などに聞いてみよう。			再戦！ メ・ラツ・ヌン							
お前は「メ・ゼト・ティア」の側にいてやってくれ。今ごろはヴィルジャラの涸れ谷南部の根城へと戻っているだろう。			お前は「メ・ゼト・ティア」の側にいてやってくれ。今ごろはヴィルジャラの涸れ谷南部の根城へと戻っているだろう。			再戦！ メ・ラツ・ヌン							
相変わらず、あの男の気概は他者を抜きん出ているようだ。だが、それ以外はまだまだだな。			相変わらず、あの男の気概は他者を抜きん出ているようだ。だが、それ以外はまだまだだな。			再戦！ メ・ラツ・ヌン							
師匠……。みっともないところを……見せちゃいましたね。			師匠……。みっともないところを……見せちゃいましたね。			再戦！ メ・ラツ・ヌン							
親父に捨てられてから、オレはずっとひとりでした。ひとりで生きるのって、めちゃくちゃ辛いんですよ。			親父に捨てられてから、オレはずっとひとりでした。ひとりで生きるのって、めちゃくちゃ辛いんですよ。			再戦！ メ・ラツ・ヌン							
だから、オレは……強くならなきゃいけないんです。強くなって「ヌン」になれば、ひとりじゃなくなる。			だから、オレは……強くならなきゃいけないんです。強くなって「ヌン」になれば、ひとりじゃなくなる。			再戦！ メ・ラツ・ヌン							
……師匠、お願いします。オレの修行に、付き合ってください。			……師匠、お願いします。オレの修行に、付き合ってください。			再戦！ メ・ラツ・ヌン							
お前はメ・ゼト・ティアの側にいてやってくれ。今ごろはヴィルジャラの涸れ谷南部の根城へと戻っているだろう。			お前はメ・ゼト・ティアの側にいてやってくれ。今ごろはヴィルジャラの涸れ谷南部の根城へと戻っているだろう。			再戦！ メ・ラツ・ヌン							
ピーリングストーンズのメ・ラツ・ヌンは、冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、冒険者に頼みたいことがあるようだ。			不屈の若者							
メ・ラツ・ヌンから、素性の知れないサンシーカー族の若者に修行をつけるよう頼まれた。ギラバニア辺境地帯のヴィルジャラの涸れ谷の南部で、「サンシーカー族の若者」を探そう。			メ・ラツ・ヌンから、素性の知れないサンシーカー族の若者に修行をつけるよう頼まれた。ギラバニア辺境地帯のヴィルジャラの涸れ谷の南部で、「サンシーカー族の若者」を探そう。			不屈の若者							
サンシーカー族の若者は、メ・ゼト・ティアと名乗った。メ・ラツ・ヌンから「ヌン」の座を奪おうとする彼のために、修行をつけることになった。まずは冒険者の強さを見せるため、ピーリングストーンズ付近の「指定地点」で見渡し、現れた「アルファ・ガゼル」を討伐しよう。			サンシーカー族の若者は、メ・ゼト・ティアと名乗った。メ・ラツ・ヌンから「ヌン」の座を奪おうとする彼のために、修行をつけることになった。まずは冒険者の強さを見せるため、ピーリングストーンズ付近の「指定地点」で見渡し、現れた「アルファ・ガゼル」を討伐しよう。			不屈の若者							
アルファ・ガゼルを討伐した。「メ・ゼト・ティア」と話そう。			アルファ・ガゼルを討伐した。「メ・ゼト・ティア」と話そう。			不屈の若者							
メ・ゼト・ティアは、冒険者の戦いを見て、なぜか自信をつけたようだ。心の準備が整い次第、メ・ラツ・ヌンに再戦を挑むという。			メ・ゼト・ティアは、冒険者の戦いを見て、なぜか自信をつけたようだ。心の準備が整い次第、メ・ラツ・ヌンに再戦を挑むという。			不屈の若者							
サンシーカー族の若者を探す			サンシーカー族の若者を探す			不屈の若者							
指定地点で見渡してアルファ・ガゼルを討伐			指定地点で見渡してアルファ・ガゼルを討伐			不屈の若者							
メ・ゼト・ティアと話す			メ・ゼト・ティアと話す			不屈の若者							
……時に、冒険者の客人よ。多忙の身とは思うが、私の頼みを聞いてはもらえんだろうか。			……時に、冒険者の客人よ。多忙の身とは思うが、私の頼みを聞いてはもらえんだろうか。			不屈の若者							
近頃、素性の知れないサンシーカー族の若者から、幾度も決闘を申し込まれていてな。			近頃、素性の知れないサンシーカー族の若者から、幾度も決闘を申し込まれていてな。			不屈の若者							
どうやら、私の「ヌン」の座……つまりメ族を仕切る族長の立場を狙う者のようだ。強い者が「ヌン」となるのが伝統ゆえ、その点は問題ない。			どうやら、私の「ヌン」の座……つまりメ族を仕切る族長の立場を狙う者のようだ。強い者が「ヌン」となるのが伝統ゆえ、その点は問題ない。			不屈の若者							
ところが、これがまた話にならないぐらい弱くてな。何度も何度も、叩きのめして追い返しているのだ。最初の頃は、面倒なヤツだと思っていたが……			ところが、これがまた話にならないぐらい弱くてな。何度も何度も、叩きのめして追い返しているのだ。最初の頃は、面倒なヤツだと思っていたが……			不屈の若者							
そのうちに、決して諦めず立ち向かってくる、あの若者の気概を気に入ってしまってな。お前さえよければ、修行をつけてやってはもらえないだろうか。			そのうちに、決して諦めず立ち向かってくる、あの若者の気概を気に入ってしまってな。お前さえよければ、修行をつけてやってはもらえないだろうか。			不屈の若者							
敵を助けるなど馬鹿げたことだが、まぁ、酔狂だと思ってくれ。奴の根城は、ヴィルジャラの涸れ谷の南部にあるようだ。手間をかけるが、よろしく頼む。			敵を助けるなど馬鹿げたことだが、まぁ、酔狂だと思ってくれ。奴の根城は、ヴィルジャラの涸れ谷の南部にあるようだ。手間をかけるが、よろしく頼む。			不屈の若者							
貴様、最近メ族の集落に出入りしている冒険者だな。オレに何の用だ。			貴様、最近メ族の集落に出入りしている冒険者だな。オレに何の用だ。			不屈の若者							
メ族の「ヌン」に頼まれて、このオレに修行をつけに来ただと？……ククク、敵に塩を送るなど、見くびられたものだな！			メ族の「ヌン」に頼まれて、このオレに修行をつけに来ただと？……ククク、敵に塩を送るなど、見くびられたものだな！			不屈の若者							
面白いッ！ならば、貴様の力を見せてもらおうか！			面白いッ！ならば、貴様の力を見せてもらおうか！			不屈の若者							
(-サンシーカー族の若者-)ぐ、ぐぞぉぉぉぉ……こんなはずじゃ……どうして、どうしてオレはこんなにも弱いんだぁぁぁぁ！！			(-サンシーカー族の若者-)ぐ、ぐぞぉぉぉぉ……こんなはずじゃ……どうして、どうしてオレはこんなにも弱いんだぁぁぁぁ！！			不屈の若者							
……お、おい、お前！！			……お、おい、お前！！			不屈の若者							
あ……いや……し、師匠！今日からあなたを師と仰がせてください！だって、そのために来たんですよね！？			あ……いや……し、師匠！今日からあなたを師と仰がせてください！だって、そのために来たんですよね！？			不屈の若者							
や、やったー！　ククク、見てろよメ族の「ヌン」め！師匠の武を学び、必ずやその座を奪ってやる！			や、やったー！　ククク、見てろよメ族の「ヌン」め！師匠の武を学び、必ずやその座を奪ってやる！			不屈の若者							
……そう、オレは親父のような弱い男では終わらない……。絶対に、強くなるんだ……。そのためには、敵の差し金だろうと利用する……。			……そう、オレは親父のような弱い男では終わらない……。絶対に、強くなるんだ……。そのためには、敵の差し金だろうと利用する……。			不屈の若者							
……そういえば、まだ名乗っていませんでしたね。オレ、メ・ゼトっていいます。これからよろしくっす、師匠！			……そういえば、まだ名乗っていませんでしたね。オレ、メ・ゼトっていいます。これからよろしくっす、師匠！			不屈の若者							
(-メ・ゼト・ティア-)それじゃ早速、師匠の戦い方をオレに見せてもらえますか？さっきは一瞬で倒されて、よく見えなかったので……。			(-メ・ゼト・ティア-)それじゃ早速、師匠の戦い方をオレに見せてもらえますか？さっきは一瞬で倒されて、よく見えなかったので……。			不屈の若者							
(-メ・ゼト・ティア-)ちょ、ちょっと待ってください！戦う相手は、オレじゃないです！			(-メ・ゼト・ティア-)ちょ、ちょっと待ってください！戦う相手は、オレじゃないです！			不屈の若者							
(-メ・ゼト・ティア-)ピーリングストーンズ周辺に、大物のガゼルがいるので、そいつにしましょう！			(-メ・ゼト・ティア-)ピーリングストーンズ周辺に、大物のガゼルがいるので、そいつにしましょう！			不屈の若者							
(-メ・ゼト・ティア-)それじゃ、出発しますよー！			(-メ・ゼト・ティア-)それじゃ、出発しますよー！			不屈の若者							
かつて私も、一族でもっとも弱い男と呼ばれていた時がある。だが、厳しい修行を越えて、「ヌン」の座まで上り詰めたのだ。			かつて私も、一族でもっとも弱い男と呼ばれていた時がある。だが、厳しい修行を越えて、「ヌン」の座まで上り詰めたのだ。			不屈の若者							
あの若者のひたむきさは、私に懐古の情を起こさせる……彼のような男が増えればいいのだがな。			あの若者のひたむきさは、私に懐古の情を起こさせる……彼のような男が増えればいいのだがな。			不屈の若者							
例のガゼルは、この辺りを餌場にしてるようです。周りを「見渡して」、姿を探してみましょう！			例のガゼルは、この辺りを餌場にしてるようです。周りを「見渡して」、姿を探してみましょう！			不屈の若者							
さすがは師匠！　見事な戦いぶりでした！オレも、見ているだけで何だか強くなった気がします！			さすがは師匠！　見事な戦いぶりでした！オレも、見ているだけで何だか強くなった気がします！			不屈の若者							
もしかして、今ならメ族の「ヌン」にも勝てるかもしれない……？いやでも待てよ、まだ心の準備が……。			もしかして、今ならメ族の「ヌン」にも勝てるかもしれない……？いやでも待てよ、まだ心の準備が……。			不屈の若者							
ギラバニア辺境地帯のメ・ゼト・ティアは、強くなりたいようだ。			ギラバニア辺境地帯のメ・ゼト・ティアは、強くなりたいようだ。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、強い「ヌン」となって孤独を脱するため、もう一度修行をつけてほしいようだ。「メ・ゼト・ティア」を追いかけよう。			メ・ゼト・ティアは、強い「ヌン」となって孤独を脱するため、もう一度修行をつけてほしいようだ。「メ・ゼト・ティア」を追いかけよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、帝国軍の部隊が残していった兵器を使って、修行を行うという。ギラバニア辺境地帯のパイクフォールズにいるメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアは、帝国軍の部隊が残していった兵器を使って、修行を行うという。ギラバニア辺境地帯のパイクフォールズにいるメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、火薬の多さに戸惑っているようだ。再び、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアは、火薬の多さに戸惑っているようだ。再び、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、ちゃんと火薬が抜けているか不安に思っているようだ。さらにもう一度、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアは、ちゃんと火薬が抜けているか不安に思っているようだ。さらにもう一度、パイクフォールズのメ・ゼト・ティアに向かって、「XLII式グレネード」を当てよう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアは、うっかり火薬を抜き忘れたことを確信したようだ。パイクフォールズのメ・ゼト・ティアと話そう。			メ・ゼト・ティアは、うっかり火薬を抜き忘れたことを確信したようだ。パイクフォールズのメ・ゼト・ティアと話そう。			メ・ゼト・ティアよ永遠に							
修行の結果、メ・ゼト・ティアは、「ヌン」に勝てると確信したようだ。メ・ゼト・ティアの回復を待とう。			修行の結果、メ・ゼト・ティアは、「ヌン」に勝てると確信したようだ。メ・ゼト・ティアの回復を待とう。			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアを追う			メ・ゼト・ティアを追う			メ・ゼト・ティアよ永遠に							
XLII式グレネードをメ・ゼト・ティアに当てる			XLII式グレネードをメ・ゼト・ティアに当てる			メ・ゼト・ティアよ永遠に							
XLII式グレネードをメ・ゼト・ティアに再度当てる			XLII式グレネードをメ・ゼト・ティアに再度当てる			メ・ゼト・ティアよ永遠に							
XLII式グレネードをメ・ゼト・ティアにさらに当てる			XLII式グレネードをメ・ゼト・ティアにさらに当てる			メ・ゼト・ティアよ永遠に							
メ・ゼト・ティアと話す			メ・ゼト・ティアと話す			メ・ゼト・ティアよ永遠に							
それじゃ、修行を再開しましょう。			それじゃ、修行を再開しましょう。			メ・ゼト・ティアよ永遠に							
どうもオレには、強靱さが欠けているような気がします。「ヌン」にも師匠にも、一撃でやられるぐらいだし……。			どうもオレには、強靱さが欠けているような気がします。「ヌン」にも師匠にも、一撃でやられるぐらいだし……。			メ・ゼト・ティアよ永遠に							
そこで、オレに秘策があります！師匠、ついてきてください！			そこで、オレに秘策があります！師匠、ついてきてください！			メ・ゼト・ティアよ永遠に							
見てください、帝国軍の部隊が残していった、「XLII式グレネード」です！			見てください、帝国軍の部隊が残していった、「XLII式グレネード」です！			メ・ゼト・ティアよ永遠に							
師匠は、何度も帝国と戦ったことがあるそうですね。メ族の奴らが噂しているのを、耳にしたんです。			師匠は、何度も帝国と戦ったことがあるそうですね。メ族の奴らが噂しているのを、耳にしたんです。			メ・ゼト・ティアよ永遠に							
なら、帝国の兵器を扱うことぐらい、わけないですよね！こいつを使って、強靱さを鍛える修行を行います！			なら、帝国の兵器を扱うことぐらい、わけないですよね！こいつを使って、強靱さを鍛える修行を行います！			メ・ゼト・ティアよ永遠に							
さあ、オレに向かって投げてください！大丈夫です、火薬を少し抜いておきましたから！まともに食らっても、死にはしませんって！			さあ、オレに向かって投げてください！大丈夫です、火薬を少し抜いておきましたから！まともに食らっても、死にはしませんって！			メ・ゼト・ティアよ永遠に							
ぐおっ……！？も、もっと火薬を……抜いて……おくべきだった……。			ぐおっ……！？も、もっと火薬を……抜いて……おくべきだった……。			メ・ゼト・ティアよ永遠に							
な、なんのこれしき！さあ、もう一回「XLII式グレネード」を投げてください！			な、なんのこれしき！さあ、もう一回「XLII式グレネード」を投げてください！			メ・ゼト・ティアよ永遠に							
耐えてみせる……！			耐えてみせる……！			メ・ゼト・ティアよ永遠に							
ぐぼあぁぁぁ……！！はぁ……はぁ……これ、本当に火薬……抜けてる……？			ぐぼあぁぁぁ……！！はぁ……はぁ……これ、本当に火薬……抜けてる……？			メ・ゼト・ティアよ永遠に							
い、いや……弱音を吐くな、オレ！さあ、もっと「XLII式グレネード」を！			い、いや……弱音を吐くな、オレ！さあ、もっと「XLII式グレネード」を！			メ・ゼト・ティアよ永遠に							
