テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
私が集めた情報によれば、現在は研究の一環で、グリダニアに滞在中のようでっす。「アプカル滝」にいるらしいので、会いに行くでっす！			私が集めた情報によれば、現在は研究の一環で、グリダニアに滞在中のようでっす。「アプカル滝」にいるらしいので、会いに行くでっす！			地脈を彷徨い							
あら、何かご用かしら？……お連れさんと一緒に話した方がいい内容なのね？じゃあ、ここで待っているわ。			あら、何かご用かしら？……お連れさんと一緒に話した方がいい内容なのね？じゃあ、ここで待っているわ。			地脈を彷徨い							
グリダニアに彼女の親類が滞在しているとは、何と幸運なのだろう。さっそく、会いに行こうではないか。			グリダニアに彼女の親類が滞在しているとは、何と幸運なのだろう。さっそく、会いに行こうではないか。			地脈を彷徨い							
カヌ・エ様は、精霊と対話するための準備に入られた。貴殿も、準備を進めるとよろしかろう。			カヌ・エ様は、精霊と対話するための準備に入られた。貴殿も、準備を進めるとよろしかろう。			地脈を彷徨い							
あら、Forenameじゃない。いったい今日は、何の用かしら？えっと……そちらの方々は……？			あら、Forenameじゃない。いったい今日は、何の用かしら？えっと……そちらの方々は……？			地脈を彷徨い							
あら、私に何かご用かしら？そちらの方々も、あなたのお仲間？			あら、私に何かご用かしら？そちらの方々も、あなたのお仲間？			地脈を彷徨い							
お初にお目にかかります、ヤ・ミトラさん。私の名は、アルフィノ・ルヴェユール。こちらはタタル・タル嬢です。			お初にお目にかかります、ヤ・ミトラさん。私の名は、アルフィノ・ルヴェユール。こちらはタタル・タル嬢です。			地脈を彷徨い							
まぁ、姉の……シュトラの同志だったのね。「暁の血盟」のことは聞いているわ。			まぁ、姉の……シュトラの同志だったのね。「暁の血盟」のことは聞いているわ。			地脈を彷徨い							
クリスタルブレイブに追われているらしいと聞いていたから、心配になって、私も財団の仲間を通じて探していたの。			クリスタルブレイブに追われているらしいと聞いていたから、心配になって、私も財団の仲間を通じて探していたの。			地脈を彷徨い							
それにしても、禁術を使うなんて……無茶をして……。ともかく状況はわかったわ、教えてくれてありがとう。もちろん、協力させていただきます。			それにしても、禁術を使うなんて……無茶をして……。ともかく状況はわかったわ、教えてくれてありがとう。もちろん、協力させていただきます。			地脈を彷徨い							
腹違いとはいえ、私たちは実の姉妹……その魂を構成するエーテルの色合いは似ているはずよ。さっそく、エバーシェイドに向かいましょう。			腹違いとはいえ、私たちは実の姉妹……その魂を構成するエーテルの色合いは似ているはずよ。さっそく、エバーシェイドに向かいましょう。			地脈を彷徨い							
うっ、うっ、うっ……。ヤ・シュトラさんの顔を見たら……安心して……。			うっ、うっ、うっ……。ヤ・シュトラさんの顔を見たら……安心して……。			地脈を彷徨い							
とにかく見つかって、良かったでっす……。本当に、良かったでっす……。			とにかく見つかって、良かったでっす……。本当に、良かったでっす……。			地脈を彷徨い							
あとは、ヤ・シュトラの意識が戻ってくれればよいのだが……。			あとは、ヤ・シュトラの意識が戻ってくれればよいのだが……。			地脈を彷徨い							
すぐに宿に戻って、姉の看病をするつもりよ。学んできた幻術の知識をすべて使ってね。			すぐに宿に戻って、姉の看病をするつもりよ。学んできた幻術の知識をすべて使ってね。			地脈を彷徨い							
チョコボの森のオ・ベン・ティアは、雑用を丸投げしたエルヴォワに呆れているようだ。			チョコボの森のオ・ベン・ティアは、雑用を丸投げしたエルヴォワに呆れているようだ。			猟師の落とし前							
オ・ベン・ティアと話をしていたところ、何者かの悲鳴らしき声が聞こえた。チョコボの森で、悲鳴の主を探そう。			オ・ベン・ティアと話をしていたところ、何者かの悲鳴らしき声が聞こえた。チョコボの森で、悲鳴の主を探そう。			猟師の落とし前							
悲鳴の主は、キ・ヤンターだった。テイルフェザーを追放されたボリコワンの襲撃に遭い、相方の熟練猟師ヒュードが大怪我を負っていた。高地ドラヴァニアのテイルフェザーに戻り、「オ・ベン・ティア」らと合流しよう。			悲鳴の主は、キ・ヤンターだった。テイルフェザーを追放されたボリコワンの襲撃に遭い、相方の熟練猟師ヒュードが大怪我を負っていた。高地ドラヴァニアのテイルフェザーに戻り、「オ・ベン・ティア」らと合流しよう。			猟師の落とし前							
オ・ベン・ティアらと合流した。ジゾルのヒナチョコボがボリコワンに奪われたことがわかり、新米ふたりとオ・ベン・ティアがボリコワンを捕えに向かってしまった。テイルフェザーに残った「ルーパル」に、対応を相談しよう。			オ・ベン・ティアらと合流した。ジゾルのヒナチョコボがボリコワンに奪われたことがわかり、新米ふたりとオ・ベン・ティアがボリコワンを捕えに向かってしまった。テイルフェザーに残った「ルーパル」に、対応を相談しよう。			猟師の落とし前							
ルーパルに、オ・ベン・ティアたちを追いかけるよう頼まれた。テイルフェザーの北に向かった「オ・ベン・ティア」と合流しよう。			ルーパルに、オ・ベン・ティアたちを追いかけるよう頼まれた。テイルフェザーの北に向かった「オ・ベン・ティア」と合流しよう。			猟師の落とし前							
オ・ベン・ティアと合流したところ、待ち伏せしていた無法者が現れた。妨害を退け、「オ・ベン・ティア」を救助しよう。			オ・ベン・ティアと合流したところ、待ち伏せしていた無法者が現れた。妨害を退け、「オ・ベン・ティア」を救助しよう。			猟師の落とし前							
オ・ベン・ティアを救助したところ、ボリコワンを捕まえにいったキ・ヤンターとエルヴォワを追ってほしいと頼まれた。さらに北に向かったキ・ヤンターとエルヴォワを追い、「ボリコワン」の居場所を探しだそう。			オ・ベン・ティアを救助したところ、ボリコワンを捕まえにいったキ・ヤンターとエルヴォワを追ってほしいと頼まれた。さらに北に向かったキ・ヤンターとエルヴォワを追い、「ボリコワン」の居場所を探しだそう。			猟師の落とし前							
ボリコワンを発見した。新米のキ・ヤンターとエルヴォワは、見事ボリコワンを捕らえていたが、ヒナチョコボの救出はならなかった……。テイルフェザーの「ルーパル」に、顛末を報告しよう。			ボリコワンを発見した。新米のキ・ヤンターとエルヴォワは、見事ボリコワンを捕らえていたが、ヒナチョコボの救出はならなかった……。テイルフェザーの「ルーパル」に、顛末を報告しよう。			猟師の落とし前							
ルーパルに報告した。事件は、キレイ事ばかりでは終わらなかった。だが、ふたりの新米猟師には、チョコボたちへの感謝の気持ちがしっかりと根づいている……。先輩猟師たちはそのことを救いとして、それぞれの仕事に戻っていくのだった。			ルーパルに報告した。事件は、キレイ事ばかりでは終わらなかった。だが、ふたりの新米猟師には、チョコボたちへの感謝の気持ちがしっかりと根づいている……。先輩猟師たちはそのことを救いとして、それぞれの仕事に戻っていくのだった。			猟師の落とし前							
悲鳴の主を探す			悲鳴の主を探す			猟師の落とし前							
オ・ベン・ティアと合流			オ・ベン・ティアと合流			猟師の落とし前							
ルーパルに報告			ルーパルに報告			猟師の落とし前							
オ・ベン・ティアと合流			オ・ベン・ティアと合流			猟師の落とし前							
オ・ベン・ティアを救助			オ・ベン・ティアを救助			猟師の落とし前							
ボリコワンを探す			ボリコワンを探す			猟師の落とし前							
ルーパルに報告			ルーパルに報告			猟師の落とし前							
先輩、そんなに真面目に森のことを考えてたなんて。俺、マジ反省っす……。			先輩、そんなに真面目に森のことを考えてたなんて。俺、マジ反省っす……。			猟師の落とし前							
まったく、エルヴォワの野郎。まさか自分でやらずにあんたに任せてたとは……。……ん？			まったく、エルヴォワの野郎。まさか自分でやらずにあんたに任せてたとは……。……ん？			猟師の落とし前							
……誰かの声が聞こえなかったか？悲鳴のように聞こえたんだが……。北東の方角だな、ちょっと行ってみるか。			……誰かの声が聞こえなかったか？悲鳴のように聞こえたんだが……。北東の方角だな、ちょっと行ってみるか。			猟師の落とし前							
ちょ、ちょっと先輩……！冒険者さん、俺らも追いかけましょう！			ちょ、ちょっと先輩……！冒険者さん、俺らも追いかけましょう！			猟師の落とし前							
……チッ。俺としたことがな……。			……チッ。俺としたことがな……。			猟師の落とし前							
なっ、何があったんだよ、ヒュード！			なっ、何があったんだよ、ヒュード！			猟師の落とし前							
ヒュードさんって……熟練の猟師の方ですよね！？それが、どうしてこんな……！			ヒュードさんって……熟練の猟師の方ですよね！？それが、どうしてこんな……！			猟師の落とし前							
ぼ、冒険者さん！？助けて、ヒュードさんが怪我を……！			ぼ、冒険者さん！？助けて、ヒュードさんが怪我を……！			猟師の落とし前							
チッ……俺としたことがな。ひよっこに、ダセェところ見られちまった……。			チッ……俺としたことがな。ひよっこに、ダセェところ見られちまった……。			猟師の落とし前							
ボリコワンの野郎が、突然、ヤンターを矢で射ってきてな。とっさに庇ったんだが、このザマだ……。			ボリコワンの野郎が、突然、ヤンターを矢で射ってきてな。とっさに庇ったんだが、このザマだ……。			猟師の落とし前							
ボリコワンだって！？いや……それより、ひでぇ怪我だぞ！とりあえず、テイルフェザーに戻ろう。			ボリコワンだって！？いや……それより、ひでぇ怪我だぞ！とりあえず、テイルフェザーに戻ろう。			猟師の落とし前							
冒険者さんの力が、また必要になるかもしれません。……テイルフェザーで待ってます。			冒険者さんの力が、また必要になるかもしれません。……テイルフェザーで待ってます。			猟師の落とし前							
……話は聞いた。ヒュードはベッドで休ませたよ。ったく、やっかいなことになっちまったな。			……話は聞いた。ヒュードはベッドで休ませたよ。ったく、やっかいなことになっちまったな。			猟師の落とし前							
まさか、あのボリコワンが戻ってくるなんてね……。			まさか、あのボリコワンが戻ってくるなんてね……。			猟師の落とし前							
ボリコワン……嫌なやつだって噂は聞いてたっす！			ボリコワン……嫌なやつだって噂は聞いてたっす！			猟師の落とし前							
うう……うう……。ヤンターさんに助けてもらわなきゃ……。			うう……うう……。ヤンターさんに助けてもらわなきゃ……。			猟師の落とし前							
ボリコワンか……。このテイルフェザーを追い出されたクソ野郎だな？さて、どうしたもんか……。			ボリコワンか……。このテイルフェザーを追い出されたクソ野郎だな？さて、どうしたもんか……。			猟師の落とし前							
……ボリコワンのやつめ、追放処分ぐらいじゃ甘かったか！			……ボリコワンのやつめ、追放処分ぐらいじゃ甘かったか！			猟師の落とし前							
うぅ……。			うぅ……。			猟師の落とし前							
あれっ、ジゾルがなんでここにいるの？普通に混ざってたから、気づかなかった！久しぶり……って、なんだか元気なさそうだけど、どうしたの？			あれっ、ジゾルがなんでここにいるの？普通に混ざってたから、気づかなかった！久しぶり……って、なんだか元気なさそうだけど、どうしたの？			猟師の落とし前							
うぅぅ、聞いてくださいよぉ！ヤンターさんたちに、ヒナチョコボを見せようと思って、久しぶりにテイルフェザーに来たんですけど……。			うぅぅ、聞いてくださいよぉ！ヤンターさんたちに、ヒナチョコボを見せようと思って、久しぶりにテイルフェザーに来たんですけど……。			猟師の落とし前							
道中で、見知らぬ強面の男に会って……。そしたらそいつ、「喰ったら旨そうだな」って言って、僕のヒナチョコボを拐っていったんです！			道中で、見知らぬ強面の男に会って……。そしたらそいつ、「喰ったら旨そうだな」って言って、僕のヒナチョコボを拐っていったんです！			猟師の落とし前							
そいつは、去り際にこうも言ってました。「ルーパルとヤンターに伝えろ。　北西のキャンプでお前らを待つ、これは復讐だ」って……。			そいつは、去り際にこうも言ってました。「ルーパルとヤンターに伝えろ。　北西のキャンプでお前らを待つ、これは復讐だ」って……。			猟師の落とし前							
……間違いなく、ボリコワンね。テイルフェザーから追放されたことを、逆恨みしているんだわ！			……間違いなく、ボリコワンね。テイルフェザーから追放されたことを、逆恨みしているんだわ！			猟師の落とし前							
ちょっ……待てよ！ノコノコ行ったら、そいつの思う壺だっつーの！			ちょっ……待てよ！ノコノコ行ったら、そいつの思う壺だっつーの！			猟師の落とし前							
ばっかやろう！新米だけで、勝手に行動しやがるんじゃねぇ！くそっ……ルーパル、お前はジゾルを頼む！			ばっかやろう！新米だけで、勝手に行動しやがるんじゃねぇ！くそっ……ルーパル、お前はジゾルを頼む！			猟師の落とし前							
うぅ……僕のヒナチョコボ……。			うぅ……僕のヒナチョコボ……。			猟師の落とし前							
オ・ベン・ティアがついてるとはいえ、あのヒュードが不覚を取った相手だ……！あいつらだけで、本当に大丈夫なのか？			オ・ベン・ティアがついてるとはいえ、あのヒュードが不覚を取った相手だ……！あいつらだけで、本当に大丈夫なのか？			猟師の落とし前							
やっぱり不安だ。冒険者さん、あいつらに加勢してやってくれ！			やっぱり不安だ。冒険者さん、あいつらに加勢してやってくれ！			猟師の落とし前							
冒険者さん、あいつらに加勢してやってくれ！			冒険者さん、あいつらに加勢してやってくれ！			猟師の落とし前							
ボリコワンのやつ、また……！			ボリコワンのやつ、また……！			猟師の落とし前							
せ、先輩……先輩、大丈夫っすか！？			せ、先輩……先輩、大丈夫っすか！？			猟師の落とし前							
あの野郎……仲間を引き連れて、待ち伏せしてやがったぜ……。			あの野郎……仲間を引き連れて、待ち伏せしてやがったぜ……。			猟師の落とし前							
気をつけろ、まだいるぞ！ヤンター、エルヴォワ、お前たちは先に進め！			気をつけろ、まだいるぞ！ヤンター、エルヴォワ、お前たちは先に進め！			猟師の落とし前							
……ボリコワン、絶対に捕まえてみせる！			……ボリコワン、絶対に捕まえてみせる！			猟師の落とし前							
雑魚は後回しだ！			雑魚は後回しだ！			猟師の落とし前							
熟練者から殺せ！			熟練者から殺せ！			猟師の落とし前							
こんなみっともねぇ姿を、後輩に晒すとは情けねぇ。後輩は、先輩の背中を見て育つっていうのによ……。			こんなみっともねぇ姿を、後輩に晒すとは情けねぇ。後輩は、先輩の背中を見て育つっていうのによ……。			猟師の落とし前							
ヤンターとエルヴォワは、ボリコワンを捕まえにいった。ふたりだけじゃ心配だ……様子を見にいってくれ！			ヤンターとエルヴォワは、ボリコワンを捕まえにいった。ふたりだけじゃ心配だ……様子を見にいってくれ！			猟師の落とし前							
ヤンターとエルヴォワは、ボリコワンを捕まえにいった。ふたりだけじゃ心配だ……様子を見に行ってくれ！			ヤンターとエルヴォワは、ボリコワンを捕まえにいった。ふたりだけじゃ心配だ……様子を見に行ってくれ！			猟師の落とし前							
やってやったぜ、この腐れ外道が……！			やってやったぜ、この腐れ外道が……！			猟師の落とし前							
…………話を聞こうか。			…………話を聞こうか。			猟師の落とし前							
くっそ……てめぇらみてぇな、新米のガキどもにやられるなんてな……！			くっそ……てめぇらみてぇな、新米のガキどもにやられるなんてな……！			猟師の落とし前							
……で、あなた、ジゾルのヒナチョコボはどうしたの？			……で、あなた、ジゾルのヒナチョコボはどうしたの？			猟師の落とし前							
ヘッ！　あいつに言ったとおりにしてやったよ。旨そうだったから、ちょうどついさっき揚げたところさ！			ヘッ！　あいつに言ったとおりにしてやったよ。旨そうだったから、ちょうどついさっき揚げたところさ！			猟師の落とし前							
ハハッ、泣けよ……喚けよ！偽善者ども！			ハハッ、泣けよ……喚けよ！偽善者ども！			猟師の落とし前							
何が「卵を獲るな、抱卵中のチョコボを殺すな」だ！普段はチョコボを狩って、それで生活してるくせに！			何が「卵を獲るな、抱卵中のチョコボを殺すな」だ！普段はチョコボを狩って、それで生活してるくせに！			猟師の落とし前							
俺もお前らも、やってることは一緒だろ！？結局、チョコボを生活の糧だとしか考えてねえんだろ？			俺もお前らも、やってることは一緒だろ！？結局、チョコボを生活の糧だとしか考えてねえんだろ？			猟師の落とし前							
なぁ、偽善者ども！俺を追い出したのは、チョコボが可哀想だからじゃなくて、俺の実力に嫉妬しただけなんじゃねぇのか！？			なぁ、偽善者ども！俺を追い出したのは、チョコボが可哀想だからじゃなくて、俺の実力に嫉妬しただけなんじゃねぇのか！？			猟師の落とし前							
……いただきます。			……いただきます。			猟師の落とし前							
な、何で食ってんだよ……。可哀想じゃねえのか！？			な、何で食ってんだよ……。可哀想じゃねえのか！？			猟師の落とし前							
……これが、敬意よ。私たちは、命の犠牲の上で生きている。動物を、植物を、生きるための糧として利用しているんだ。			……これが、敬意よ。私たちは、命の犠牲の上で生きている。動物を、植物を、生きるための糧として利用しているんだ。			猟師の落とし前							
だからこそ、すべての犠牲に感謝している。遊ぶための狩りなんてしないよ。いたずらに奪われる命なんて、あっちゃいけない！			だからこそ、すべての犠牲に感謝している。遊ぶための狩りなんてしないよ。いたずらに奪われる命なんて、あっちゃいけない！			猟師の落とし前							
でも、あなたは違う。あなたは無駄な殺生をし、私たちが守る森の秩序を乱した。偽善者以下の……ただの、クズね。			でも、あなたは違う。あなたは無駄な殺生をし、私たちが守る森の秩序を乱した。偽善者以下の……ただの、クズね。			猟師の落とし前							
俺らはチョコボを狩ってるが、同時に、俺らはチョコボに生かされてる。……ここに来たからこそ、学んだことさ。			俺らはチョコボを狩ってるが、同時に、俺らはチョコボに生かされてる。……ここに来たからこそ、学んだことさ。			猟師の落とし前							
さて……私は、ジゾルのところに行って、ことの顛末について報告してくるわ。			さて……私は、ジゾルのところに行って、ことの顛末について報告してくるわ。			猟師の落とし前							
俺は、この腐れ外道を連行するよ。			俺は、この腐れ外道を連行するよ。			猟師の落とし前							
そう、わかった。じゃあ冒険者さん、ルーパルへの報告はお願い！			そう、わかった。じゃあ冒険者さん、ルーパルへの報告はお願い！			猟師の落とし前							
エルヴォワが迷惑をかけたな。			エルヴォワが迷惑をかけたな。			猟師の落とし前							
ヤンターの助けになってくれて、ありがとうな。			ヤンターの助けになってくれて、ありがとうな。			猟師の落とし前							
ありがとう、君のお陰で大事にならずに済んだよ。			ありがとう、君のお陰で大事にならずに済んだよ。			猟師の落とし前							
ボリコワンのやつをどうしたかって？あいつは、もう弓を引くことはできないだろうな。まぁ、なんというか……「落とし前はつけた」ってやつだ。			ボリコワンのやつをどうしたかって？あいつは、もう弓を引くことはできないだろうな。まぁ、なんというか……「落とし前はつけた」ってやつだ。			猟師の落とし前							
ジゾルは落ち込んでいたが、帰ったよ。アイツを待ってるチョコボが、まだほかにいる。いちいち落ち込んでられないはずだ。			ジゾルは落ち込んでいたが、帰ったよ。アイツを待ってるチョコボが、まだほかにいる。いちいち落ち込んでられないはずだ。			猟師の落とし前							
……キレイ事じゃ、腹は満たせねぇ。俺たちは、誰よりもそれを知っている。			……キレイ事じゃ、腹は満たせねぇ。俺たちは、誰よりもそれを知っている。			猟師の落とし前							
まぁ、新人たちも、それをわかったようで嬉しいよ。きっといい猟師になるだろう。			まぁ、新人たちも、それをわかったようで嬉しいよ。きっといい猟師になるだろう。			猟師の落とし前							
さてと……俺はそろそろ、この場からオサラバするぜ。出来のわりぃ「相方」の面倒を、みねぇといけねぇんでな。冒険者にはいろいろ世話かけちまったな、ありがとうよ。			さてと……俺はそろそろ、この場からオサラバするぜ。出来のわりぃ「相方」の面倒を、みねぇといけねぇんでな。冒険者にはいろいろ世話かけちまったな、ありがとうよ。			猟師の落とし前							
怪我も治ったし、俺も行くとしよう。見守ってねえと不安でしょうがねえ奴を、「相方」にしちまったからな。			怪我も治ったし、俺も行くとしよう。見守ってねえと不安でしょうがねえ奴を、「相方」にしちまったからな。			猟師の落とし前							
冒険者さん、改めて礼を言わせてくれ。本当に、ありがとう！			冒険者さん、改めて礼を言わせてくれ。本当に、ありがとう！			猟師の落とし前							
カーラインカフェのヤ・シュトラは、マトーヤという人物のことを教えてくれるようだ。			カーラインカフェのヤ・シュトラは、マトーヤという人物のことを教えてくれるようだ。			いざ、シャーレアンへ							
ヤ・シュトラの話によると、廃墟となったシャーレアンで、マトーヤはひとり隠遁生活を営んでいるそうだ。シャーレアンへ行くために、まずはイシュガルドへ戻ろう。イシュガルドのエーテライト・プラザ付近にいる「アルフィノ」と話そう。			ヤ・シュトラの話によると、廃墟となったシャーレアンで、マトーヤはひとり隠遁生活を営んでいるそうだ。シャーレアンへ行くために、まずはイシュガルドへ戻ろう。イシュガルドのエーテライト・プラザ付近にいる「アルフィノ」と話そう。			いざ、シャーレアンへ							
タタルとイシュガルドで別れ、冒険者たちは低地ドラヴァニアへ向かう。最初の目的地はテイルフェザーだ。高地ドラヴァニアのテイルフェザー付近にいる「ヤ・シュトラ」と話そう。			タタルとイシュガルドで別れ、冒険者たちは低地ドラヴァニアへ向かう。最初の目的地はテイルフェザーだ。高地ドラヴァニアのテイルフェザー付近にいる「ヤ・シュトラ」と話そう。			いざ、シャーレアンへ							
テイルフェザーに到着した。低地ドラヴァニアまでもうすぐだ。			テイルフェザーに到着した。低地ドラヴァニアまでもうすぐだ。			いざ、シャーレアンへ							
イシュガルドのアルフィノと話す			イシュガルドのアルフィノと話す			いざ、シャーレアンへ							
テイルフェザー付近のヤ・シュトラと話す			テイルフェザー付近のヤ・シュトラと話す			いざ、シャーレアンへ							
「マトーヤ」というのは、私の師匠にあたる人。魔法研究が進んだ学術都市「シャーレアン」においても、この人ありと謳われた老賢者よ。			「マトーヤ」というのは、私の師匠にあたる人。魔法研究が進んだ学術都市「シャーレアン」においても、この人ありと謳われた老賢者よ。			いざ、シャーレアンへ							
ただし、かなり偏屈な人でね……。自分の意見は決して曲げない、頑固者と言ったところかしら。			ただし、かなり偏屈な人でね……。自分の意見は決して曲げない、頑固者と言ったところかしら。			いざ、シャーレアンへ							
15年前、ガレマール帝国のアラミゴ侵攻を受けて、シャーレアンの住民が、北洋の本国に「大撤収」したときも、最後まで抵抗したくらいなんだから……。			15年前、ガレマール帝国のアラミゴ侵攻を受けて、シャーレアンの住民が、北洋の本国に「大撤収」したときも、最後まで抵抗したくらいなんだから……。			いざ、シャーレアンへ							
結局、住人が去って廃墟と化した廃都「シャーレアン」の側で、今もなお、ひとり隠居生活を続けているわ。			結局、住人が去って廃墟と化した廃都「シャーレアン」の側で、今もなお、ひとり隠居生活を続けているわ。			いざ、シャーレアンへ							
となると、次の目的地は「低地ドラヴァニア」か……。私にとっては、15年ぶりの生まれ故郷への再訪になるな。			となると、次の目的地は「低地ドラヴァニア」か……。私にとっては、15年ぶりの生まれ故郷への再訪になるな。			いざ、シャーレアンへ							
私たち兄妹は、低地ドラヴァニアの植民都市で生まれ、その後、「大撤収」とともに、北洋諸島の本国に渡ったんだ。以後、廃都を訪れる機会がなくてね。			私たち兄妹は、低地ドラヴァニアの植民都市で生まれ、その後、「大撤収」とともに、北洋諸島の本国に渡ったんだ。以後、廃都を訪れる機会がなくてね。			いざ、シャーレアンへ							
では、アルフィノ様の15年ぶりの里帰りのついでに、頑固者の老婆の説得に行きましょう。			では、アルフィノ様の15年ぶりの里帰りのついでに、頑固者の老婆の説得に行きましょう。			いざ、シャーレアンへ							
おいおい、それじゃあ目的が逆じゃないか。ともかく長旅になることは確かだ……。ひとまず「イシュガルド」に戻り、計画を立てるとしよう。			おいおい、それじゃあ目的が逆じゃないか。ともかく長旅になることは確かだ……。ひとまず「イシュガルド」に戻り、計画を立てるとしよう。			いざ、シャーレアンへ							
ふっふん、ヤ・シュトラさんの新装備、お似合いでっす！苦労して裁縫の勉強をしたかいがありまっした！			ふっふん、ヤ・シュトラさんの新装備、お似合いでっす！苦労して裁縫の勉強をしたかいがありまっした！			いざ、シャーレアンへ							
マトーヤ……。かつてそのような賢者がいたと、聞いたことはあるが……。			マトーヤ……。かつてそのような賢者がいたと、聞いたことはあるが……。			いざ、シャーレアンへ							
私たちの次の目的地は、「低地ドラヴァニア」の廃都「シャーレアン」だ。隠居しておられる「マトーヤ」老を訪ねるためにね。			私たちの次の目的地は、「低地ドラヴァニア」の廃都「シャーレアン」だ。隠居しておられる「マトーヤ」老を訪ねるためにね。			いざ、シャーレアンへ							
しかし、かの地へと向かうためには、「高地ドラヴァニア」を、西へ横断しなければならない。長く、過酷な旅になるだろう。			しかし、かの地へと向かうためには、「高地ドラヴァニア」を、西へ横断しなければならない。長く、過酷な旅になるだろう。			いざ、シャーレアンへ							
そこで、タタルにはイシュガルドに残り、引き続き、行方不明者の情報収集に当たってもらいたい。			そこで、タタルにはイシュガルドに残り、引き続き、行方不明者の情報収集に当たってもらいたい。			いざ、シャーレアンへ							
了解でっす！			了解でっす！			いざ、シャーレアンへ							
廃都「シャーレアン」に向かうのは、私とヤ・シュトラ、Forenameの3人だ。まずは、道中となる「テイルフェザー」を目指そう。			廃都「シャーレアン」に向かうのは、私とヤ・シュトラ、Forenameの3人だ。まずは、道中となる「テイルフェザー」を目指そう。			いざ、シャーレアンへ							
ヤ・シュトラさんを見つけることができたんでっす。きっと、ほかの皆さんとも再会できまっすよ！			ヤ・シュトラさんを見つけることができたんでっす。きっと、ほかの皆さんとも再会できまっすよ！			いざ、シャーレアンへ							
ここが皇都「イシュガルド」なのね。感慨深くはあるけど、旅を急がないと……。街を探訪するのは、またの機会にするわ。			ここが皇都「イシュガルド」なのね。感慨深くはあるけど、旅を急がないと……。街を探訪するのは、またの機会にするわ。			いざ、シャーレアンへ							
さすがに、地脈帰りの身体に、長旅は堪えるわね。でも、だいぶ調子が戻ってきたわ。			さすがに、地脈帰りの身体に、長旅は堪えるわね。でも、だいぶ調子が戻ってきたわ。			いざ、シャーレアンへ							
廃都「シャーレアン」に着くまでには、本調子に戻してみせるわよ。			廃都「シャーレアン」に着くまでには、本調子に戻してみせるわよ。			いざ、シャーレアンへ							
以前、ここを訪れたときは、君に加えて、イゼルとエスティニアン殿がいた。少し前のことなのに、懐かしくすら感じるよ。			以前、ここを訪れたときは、君に加えて、イゼルとエスティニアン殿がいた。少し前のことなのに、懐かしくすら感じるよ。			いざ、シャーレアンへ							
不浄の三塔のグリンカムビは、辛そうな唸りをあげている。			不浄の三塔のグリンカムビは、辛そうな唸りをあげている。			空腹のイライラ							
グリンカムビの話を聞いた。高地ドラヴァニアの悲嘆の飛泉付近で、「ゴールデン・バンダースナッチ」を討伐し、「バンダースナッチの生肉」を3つ入手しよう。			グリンカムビの話を聞いた。高地ドラヴァニアの悲嘆の飛泉付近で、「ゴールデン・バンダースナッチ」を討伐し、「バンダースナッチの生肉」を3つ入手しよう。			空腹のイライラ							
バンダースナッチの生肉を入手した。不浄の三塔の「グリンカムビ」に「バンダースナッチの生肉」を渡そう。			バンダースナッチの生肉を入手した。不浄の三塔の「グリンカムビ」に「バンダースナッチの生肉」を渡そう。			空腹のイライラ							
グリンカムビにバンダースナッチの生肉を渡した。バンダースナッチの生肉を食して空腹を満たすことで、彼女も落ち着きを取り戻すだろう。			グリンカムビにバンダースナッチの生肉を渡した。バンダースナッチの生肉を食して空腹を満たすことで、彼女も落ち着きを取り戻すだろう。			空腹のイライラ							
ゴールデン・バンダースナッチからバンダースナッチの生肉を入手			ゴールデン・バンダースナッチからバンダースナッチの生肉を入手			空腹のイライラ							
グリンカムビにバンダースナッチの生肉を渡す			グリンカムビにバンダースナッチの生肉を渡す			空腹のイライラ							
腹が減った……あぁ、腹が減ってしまってしょうがない！タマゴを温め続けるためには、体力がいるっていうのに……。……悪いけど、新鮮な肉でも取ってきてくれないかい？			腹が減った……あぁ、腹が減ってしまってしょうがない！タマゴを温め続けるためには、体力がいるっていうのに……。……悪いけど、新鮮な肉でも取ってきてくれないかい？			空腹のイライラ							
悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			空腹のイライラ							
悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			空腹のイライラ							
悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			悲嘆の飛泉の辺りに棲む「ゴールデン・バンダースナッチ」は、この辺りでは一番に美味いからねぇ。わかったら、「バンダースナッチの生肉」を3匹分ほど頼んだよ。			空腹のイライラ							
