ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
でも、モブリン族の好みは独特でね。腐茶という、鼻の曲がるような匂いのお茶を好むとか……。			でも、モブリン族の好みは独特でね。腐茶という、鼻の曲がるような匂いのお茶を好むとか……。			疲労回復ジュースクラフト！							
そんなものを店で出せば、営業停止待ったなしね。だから代わりになるものとして、アロエを発酵させて使うのはどうかと思っているの。			そんなものを店で出せば、営業停止待ったなしね。だから代わりになるものとして、アロエを発酵させて使うのはどうかと思っているの。			疲労回復ジュースクラフト！							
発酵させたアロエの香りは鮮烈だけど、フルーティーよ。モブリン族の好みを満たしつつ、ほかの部族にも興味を持たれるはず！			発酵させたアロエの香りは鮮烈だけど、フルーティーよ。モブリン族の好みを満たしつつ、ほかの部族にも興味を持たれるはず！			疲労回復ジュースクラフト！							
でも、疲れを癒やすには効果が今一歩、足りていなくて。その辺り、貴方の腕前を頼っていいかしら？			でも、疲れを癒やすには効果が今一歩、足りていなくて。その辺り、貴方の腕前を頼っていいかしら？			疲労回復ジュースクラフト！							
ありがとう。それと、ね……ハレナルクに試飲を断られたこと、覚えてる？			ありがとう。それと、ね……ハレナルクに試飲を断られたこと、覚えてる？			疲労回復ジュースクラフト！							
私、どうしても彼からも意見を出してほしくて。特に今回は、モブリン族向けの……クセの強いジュースになるから、彼の協力が不可欠だわ。			私、どうしても彼からも意見を出してほしくて。特に今回は、モブリン族向けの……クセの強いジュースになるから、彼の協力が不可欠だわ。			疲労回復ジュースクラフト！							
ハレナルクがつい頷いてしまうような、魅力たっぷりのジュースを準備して、もう一度だけ、飲んでほしいってお願いしたいの！			ハレナルクがつい頷いてしまうような、魅力たっぷりのジュースを準備して、もう一度だけ、飲んでほしいってお願いしたいの！			疲労回復ジュースクラフト！							
ふふ、頼もしいわ。それじゃあハレナルクが素材を集めに行ってるあいだに、「ロトンアロエジュース」を完成させましょう！			ふふ、頼もしいわ。それじゃあハレナルクが素材を集めに行ってるあいだに、「ロトンアロエジュース」を完成させましょう！			疲労回復ジュースクラフト！							
「ロトンアロエジュース」作り、どうかお願いね。モブリン族のためにも、ハレナルクに飲んでもらうためにも、疲労回復ジュースを生み出しましょう！			「ロトンアロエジュース」作り、どうかお願いね。モブリン族のためにも、ハレナルクに飲んでもらうためにも、疲労回復ジュースを生み出しましょう！			疲労回復ジュースクラフト！							
ありがとう、疲れを取れるジュースを作ってくれたのね。モブリン族に、喜んでもらえるといいけれど。			ありがとう、疲れを取れるジュースを作ってくれたのね。モブリン族に、喜んでもらえるといいけれど。			疲労回復ジュースクラフト！							
こ、この鮮烈な香り……！疲労を癒やす効果に加えてこの芳しさ、モブリン族ならきっと飛びついてくれるわ！			こ、この鮮烈な香り……！疲労を癒やす効果に加えてこの芳しさ、モブリン族ならきっと飛びついてくれるわ！			疲労回復ジュースクラフト！							
か、完成したわね……！発酵アロエに、疲労回復効果のあるトマトも加えて、おいしさと危険さのギリギリを目指すなんて……！			か、完成したわね……！発酵アロエに、疲労回復効果のあるトマトも加えて、おいしさと危険さのギリギリを目指すなんて……！			疲労回復ジュースクラフト！							
これならモブリン族も喜んでくれると思うけれど、ハレナルクが飲んでくれるかどうかね……。			これならモブリン族も喜んでくれると思うけれど、ハレナルクが飲んでくれるかどうかね……。			疲労回復ジュースクラフト！							
フゴォ……フゴォ……！なにこれ　なにこれ　とてとて良い匂い！			フゴォ……フゴォ……！なにこれ　なにこれ　とてとて良い匂い！			疲労回復ジュースクラフト！							
Forenameが用意してくれたものでね、疲れがとれる効果もあるのよ。			Forenameが用意してくれたものでね、疲れがとれる効果もあるのよ。			疲労回復ジュースクラフト！							
ハレナルクが採った果物のジュース、お客さんから好評だから、これを飲んで、今後も頑張ってもらえると嬉しいわ。うんとやる気を出して、ね。			ハレナルクが採った果物のジュース、お客さんから好評だから、これを飲んで、今後も頑張ってもらえると嬉しいわ。うんとやる気を出して、ね。			疲労回復ジュースクラフト！							
好評……？モブの果物　大好評～？			好評……？モブの果物　大好評～？			疲労回復ジュースクラフト！							
今はまだマムージャ族向けのジュースしか作れていないから、評判の声は限られたものだけれど……。3人で頑張れば、いつか必ず「大好評」になるはずよ。			今はまだマムージャ族向けのジュースしか作れていないから、評判の声は限られたものだけれど……。3人で頑張れば、いつか必ず「大好評」になるはずよ。			疲労回復ジュースクラフト！							
このジュースが、本当にモブリン族好みの味かどうか……それを貴方に確かめてもらえたら、嬉しいわ。			このジュースが、本当にモブリン族好みの味かどうか……それを貴方に確かめてもらえたら、嬉しいわ。			疲労回復ジュースクラフト！							
モブリン族　マスク外さぬ　人前で～飲み物　もらって　家で飲む～			モブリン族　マスク外さぬ　人前で～飲み物　もらって　家で飲む～			疲労回復ジュースクラフト！							
作ったジュース、受け取ってくれてよかった。貴方のおかげだわ、Forename。			作ったジュース、受け取ってくれてよかった。貴方のおかげだわ、Forename。			疲労回復ジュースクラフト！							
部族の特徴　知り尽くす……店主はもはや　お医者さま～？			部族の特徴　知り尽くす……店主はもはや　お医者さま～？			疲労回復ジュースクラフト！							
い……いえ、医者なんかじゃない、けど……			い……いえ、医者なんかじゃない、けど……			疲労回復ジュースクラフト！							
ただ……私はかつて、「呪術医」を目指していたの。			ただ……私はかつて、「呪術医」を目指していたの。			疲労回復ジュースクラフト！							
呪術医とは、薬草や果実によって作られる薬と、治癒魔法を組み合わせて、人々を救う役職。優れた頭脳と高い魔力が求められる賢士階級のひとつよ。			呪術医とは、薬草や果実によって作られる薬と、治癒魔法を組み合わせて、人々を救う役職。優れた頭脳と高い魔力が求められる賢士階級のひとつよ。			疲労回復ジュースクラフト！							
私の父親も呪術医でね。部族を問わず、トライヨラで多くの命を救ってきた。			私の父親も呪術医でね。部族を問わず、トライヨラで多くの命を救ってきた。			疲労回復ジュースクラフト！							
そんな父の姿に憧れ、私も魔力に優れたブネワ族として、持てる力で人の役に立ちたい、と……そう思っていたわ。			そんな父の姿に憧れ、私も魔力に優れたブネワ族として、持てる力で人の役に立ちたい、と……そう思っていたわ。			疲労回復ジュースクラフト！							
フゴォ……フゴォ……だから豊富　店主の知識……人の健康　守るため～？			フゴォ……フゴォ……だから豊富　店主の知識……人の健康　守るため～？			疲労回復ジュースクラフト！							
栄養学や各部族の特徴について、多少の心得はあるわ。……とはいえ、今はその夢は諦めて、しがないジュース屋の主をしてるわけだけど。			栄養学や各部族の特徴について、多少の心得はあるわ。……とはいえ、今はその夢は諦めて、しがないジュース屋の主をしてるわけだけど。			疲労回復ジュースクラフト！							
何はともあれハレナルク、そのジュースを飲んだら感想を教えてちょうだい？			何はともあれハレナルク、そのジュースを飲んだら感想を教えてちょうだい？			疲労回復ジュースクラフト！							
フゴォ……フゴォ……飲みたい　早く　今すぐに……マスクにヨダレ　垂れそうに～……			フゴォ……フゴォ……飲みたい　早く　今すぐに……マスクにヨダレ　垂れそうに～……			疲労回復ジュースクラフト！							
ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「信頼できる配合職人」と感じているようです！			ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「信頼できる配合職人」と感じているようです！			疲労回復ジュースクラフト！							
「錬金術師／調理師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シェーロジャ」から、次のクエストが受注可能です。			「錬金術師／調理師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シェーロジャ」から、次のクエストが受注可能です。			疲労回復ジュースクラフト！							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ティーンベク洞道を抜けて」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ティーンベク洞道を抜けて」を完了する必要があります。			疲労回復ジュースクラフト！							
ワチュメキメキ万貨街のラルソジのもとには、日用品の注文が舞い込んでいるようだ。			ワチュメキメキ万貨街のラルソジのもとには、日用品の注文が舞い込んでいるようだ。			便利な金荒物屋							
ラルソジと話し、次はタコスのチーちゃんから依頼があったと聞いた。「トルティーヤプレス」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			ラルソジと話し、次はタコスのチーちゃんから依頼があったと聞いた。「トルティーヤプレス」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「210」以上で可能となりますが、「430」以上で納品した場合、より多くの報酬が得られます。			便利な金荒物屋							
ラルソジにトルティーヤプレスを納品し、チーソジャに品物を渡した。パパーニは使い勝手のために加工を繰り返しているうち、ひとつしか完成できなかったようだ。店の先行きが不安だが、大丈夫だろうか……？			ラルソジにトルティーヤプレスを納品し、チーソジャに品物を渡した。パパーニは使い勝手のために加工を繰り返しているうち、ひとつしか完成できなかったようだ。店の先行きが不安だが、大丈夫だろうか……？			便利な金荒物屋							
ラルソジにトルティーヤプレスを納品			ラルソジにトルティーヤプレスを納品			便利な金荒物屋							
実際に使ってくれる人から直接お礼を言われるのって……こんなに嬉しいんだ……！！			実際に使ってくれる人から直接お礼を言われるのって……こんなに嬉しいんだ……！！			便利な金荒物屋							
よう、Forename。顔を出してくれて助かるよ。			よう、Forename。顔を出してくれて助かるよ。			便利な金荒物屋							
この前、お客が宣伝してくれたおかげで、葦刈鎌を手早く仕上げたって噂が広まったらしくてな。また大口注文が入ったんだが……協力してくれるか？			この前、お客が宣伝してくれたおかげで、葦刈鎌を手早く仕上げたって噂が広まったらしくてな。また大口注文が入ったんだが……協力してくれるか？			便利な金荒物屋							
あの、今回の依頼品はどういったもので？			あの、今回の依頼品はどういったもので？			便利な金荒物屋							
……チーちゃんの「トルティーヤプレス」だ。			……チーちゃんの「トルティーヤプレス」だ。			便利な金荒物屋							
えっ……チーちゃん……って誰……？			えっ……チーちゃん……って誰……？			便利な金荒物屋							
「タコスのチーちゃん」だ。あそこはトライヨラでも一、二を争う人気店なんだぞ。			「タコスのチーちゃん」だ。あそこはトライヨラでも一、二を争う人気店なんだぞ。			便利な金荒物屋							
「トルティーヤプレス」って、そう何個も必要になるものでしたっけ……？私が街での生活を知らないだけ……？			「トルティーヤプレス」って、そう何個も必要になるものでしたっけ……？私が街での生活を知らないだけ……？			便利な金荒物屋							
あの店用のトルティーヤを焼いている工房で、調理器具を一新することにしたらしい。予備を含めて重厚なプレス器を大量に用意してほしいそうだ。			あの店用のトルティーヤを焼いている工房で、調理器具を一新することにしたらしい。予備を含めて重厚なプレス器を大量に用意してほしいそうだ。			便利な金荒物屋							
Forenameには引き続き……そうだな、6つほど作ってもらいたい。残りは俺とパパーニでなんとかしよう。			Forenameには引き続き……そうだな、6つほど作ってもらいたい。残りは俺とパパーニでなんとかしよう。			便利な金荒物屋							
先方は、うちの店の仕事の早さを見込んで選んでくれたんだ。なるべく早めに作業に入ってもらえると助かる。			先方は、うちの店の仕事の早さを見込んで選んでくれたんだ。なるべく早めに作業に入ってもらえると助かる。			便利な金荒物屋							
はい！またお客さんに喜んでほしいから……頑張るぞおお！			はい！またお客さんに喜んでほしいから……頑張るぞおお！			便利な金荒物屋							
プレス器はトルティーヤを均一な厚さにできることが、なによりも最重要なんだとか！これは精巧な板金技術が必要だぁ……！			プレス器はトルティーヤを均一な厚さにできることが、なによりも最重要なんだとか！これは精巧な板金技術が必要だぁ……！			便利な金荒物屋							
タコスのチーちゃん用の「トルティーヤプレス」を頼む。俺も店番の合間に作っておこう。			タコスのチーちゃん用の「トルティーヤプレス」を頼む。俺も店番の合間に作っておこう。			便利な金荒物屋							
おお、もうできたのか、助かる。この品質ならいいトルティーヤができるはずだ。			おお、もうできたのか、助かる。この品質ならいいトルティーヤができるはずだ。			便利な金荒物屋							
おお、もうできたのか、助かる。この適度な重量感と、歪みのない盤面ならきっと、最高のトルティーヤができるはずだ。			おお、もうできたのか、助かる。この適度な重量感と、歪みのない盤面ならきっと、最高のトルティーヤができるはずだ。			便利な金荒物屋							
品物が揃ったんで、さっそくチーちゃんに来てもらった。			品物が揃ったんで、さっそくチーちゃんに来てもらった。			便利な金荒物屋							
どうも、「タコスのチーちゃん」店主の、チーソジャでございます～！トルティーヤプレスの製作、助かるわぁ！			どうも、「タコスのチーちゃん」店主の、チーソジャでございます～！トルティーヤプレスの製作、助かるわぁ！			便利な金荒物屋							
今までは木製のプレス器を使ってたんだけど、ちょっと油断して力を入れすぎると、す～ぐ壊れちゃって！金属製のプレス器なら、もう安心だわね！			今までは木製のプレス器を使ってたんだけど、ちょっと油断して力を入れすぎると、す～ぐ壊れちゃって！金属製のプレス器なら、もう安心だわね！			便利な金荒物屋							
ああ、使い倒してやってくれ。			ああ、使い倒してやってくれ。			便利な金荒物屋							
ええ、もちろんですとも！おたくのお店は仕事も早くって、ありがたいったらないわぁ。これからも調理器具の注文はおたくに頼みます！			ええ、もちろんですとも！おたくのお店は仕事も早くって、ありがたいったらないわぁ。これからも調理器具の注文はおたくに頼みます！			便利な金荒物屋							
じゃ、こちらを工房へ運び込まなくてはいけませんから、このあたりで失礼いたしますわぁ～！皆さんも、タコスを食べに来てちょうだいね！			じゃ、こちらを工房へ運び込まなくてはいけませんから、このあたりで失礼いたしますわぁ～！皆さんも、タコスを食べに来てちょうだいね！			便利な金荒物屋							
Forename、今回もありがとう。あんたのおかげで、なんとか店がまわってるよ。			Forename、今回もありがとう。あんたのおかげで、なんとか店がまわってるよ。			便利な金荒物屋							
Forenameさん、ラルソジさん……。ごめんなさい、私、今回も手が遅くて、ひとつしかできなくて……。			Forenameさん、ラルソジさん……。ごめんなさい、私、今回も手が遅くて、ひとつしかできなくて……。			便利な金荒物屋							
パパーニ……あんたは精いっぱい仕事に向き合ってるんだろう。それはわかっている。			パパーニ……あんたは精いっぱい仕事に向き合ってるんだろう。それはわかっている。			便利な金荒物屋							
だが今後もうちで働くのなら、課題は自覚しているとおりだ。本来であれば、Forenameに頼んでる分も、作れるようになってもらわないと困る。			だが今後もうちで働くのなら、課題は自覚しているとおりだ。本来であれば、Forenameに頼んでる分も、作れるようになってもらわないと困る。			便利な金荒物屋							
そばで見ているかぎりだと、ひとつに時間をかけすぎているように思うが……。			そばで見ているかぎりだと、ひとつに時間をかけすぎているように思うが……。			便利な金荒物屋							
す、すみません！前回お礼を言ってもらえたのが嬉しくて、もっと喜んでもらいたいと思って……			す、すみません！前回お礼を言ってもらえたのが嬉しくて、もっと喜んでもらいたいと思って……			便利な金荒物屋							
その、軋みや歪みが出ないようにしたり、長く使えるよう手入れをしやすくしたりと考えて……いろいろ工夫しているうちに、時間が……。			その、軋みや歪みが出ないようにしたり、長く使えるよう手入れをしやすくしたりと考えて……いろいろ工夫しているうちに、時間が……。			便利な金荒物屋							
いい品を作ろうとしているのはわかったが、客にとって普段使いの日用品は、大抵すぐに使いたいものだ。次からは意識してみてくれ。			いい品を作ろうとしているのはわかったが、客にとって普段使いの日用品は、大抵すぐに使いたいものだ。次からは意識してみてくれ。			便利な金荒物屋							
Forenameも、引き続き頼む。あんたの技術を頼りに……してばかりじゃダメだが、いましばらくは力を貸してくれ。			Forenameも、引き続き頼む。あんたの技術を頼りに……してばかりじゃダメだが、いましばらくは力を貸してくれ。			便利な金荒物屋							
金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「頼りになる金荒物職人」と感じているようです！			金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「頼りになる金荒物職人」と感じているようです！			便利な金荒物屋							
次のクエストは「鍛冶師／甲冑師／彫金師」の、いずれかがレベル95以上になると、ワチュメキメキ万貨街の「ラルソジ」から受注可能です。			次のクエストは「鍛冶師／甲冑師／彫金師」の、いずれかがレベル95以上になると、ワチュメキメキ万貨街の「ラルソジ」から受注可能です。			便利な金荒物屋							
ワチュメキメキ万貨街のシューニェは、今日も商いをしているようだ。			ワチュメキメキ万貨街のシューニェは、今日も商いをしているようだ。			海山川を乗り越えて							
シューニェから、商品調達を依頼された。「アポサカリーのまじない用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーのまじない用品」は、採掘師の場合コザマル・カの生い茂る薫風の屋敷付近で、園芸師の場合コザマル・カのオック・ハヌ付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			シューニェから、商品調達を依頼された。「アポサカリーのまじない用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーのまじない用品」は、採掘師の場合コザマル・カの生い茂る薫風の屋敷付近で、園芸師の場合コザマル・カのオック・ハヌ付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			海山川を乗り越えて							
シューニェにアポサカリーのまじない用品を納品した。ウヴロが集めてきた紫水晶の話に端を発して、彼の故郷、スカテイ山脈にあるクグマの里について聞くことができた。里のためにシャトナ族について学ばんとする彼とともに、引き続きシューニェの手助けをしていこう。			シューニェにアポサカリーのまじない用品を納品した。ウヴロが集めてきた紫水晶の話に端を発して、彼の故郷、スカテイ山脈にあるクグマの里について聞くことができた。里のためにシャトナ族について学ばんとする彼とともに、引き続きシューニェの手助けをしていこう。			海山川を乗り越えて							
生い茂る薫風の屋敷付近で採集したアポサカリーのまじない用品をシューニェに納品オック・ハヌ付近で採集したアポサカリーのまじない用品をシューニェに納品採掘師または園芸師になりアポサカリーのまじない用品をシューニェに納品			生い茂る薫風の屋敷付近で採集したアポサカリーのまじない用品をシューニェに納品オック・ハヌ付近で採集したアポサカリーのまじない用品をシューニェに納品採掘師または園芸師になりアポサカリーのまじない用品をシューニェに納品			海山川を乗り越えて							
店主の親切に報いるためにも、誠心誠意、働こう。これでも各地でいろいろな仕事をこなしてきたからな……何だって、やってやれないことはないはずだ。			店主の親切に報いるためにも、誠心誠意、働こう。これでも各地でいろいろな仕事をこなしてきたからな……何だって、やってやれないことはないはずだ。			海山川を乗り越えて							
ああ、Forename。調達の仕事を手伝いに……？			ああ、Forename。調達の仕事を手伝いに……？			海山川を乗り越えて							
ありがとうございます。優秀な調達役がひとり増えると、大助かりです。			ありがとうございます。優秀な調達役がひとり増えると、大助かりです。			海山川を乗り越えて							
何と言う？			何と言う？			海山川を乗り越えて							
ウヴロは順調に働けてる？			ウヴロは順調に働けてる？			海山川を乗り越えて							
ウヴロはちゃんと暮らせてる？			ウヴロはちゃんと暮らせてる？			海山川を乗り越えて							
はい、これが意外なほどに問題なく。しいて言えば、本当に素寒貧で、宿代すら持っていなかったのには困りました。			はい、これが意外なほどに問題なく。しいて言えば、本当に素寒貧で、宿代すら持っていなかったのには困りました。			海山川を乗り越えて							
仕事の方は問題ないのですが……こちらに滞在しようにも、本当に素寒貧で、宿代すら持っていなかったのには困りました。			仕事の方は問題ないのですが……こちらに滞在しようにも、本当に素寒貧で、宿代すら持っていなかったのには困りました。			海山川を乗り越えて							
野宿は得意だから気にするなと言われたんですが、雇った手前、そうもいかないでしょう？			野宿は得意だから気にするなと言われたんですが、雇った手前、そうもいかないでしょう？			海山川を乗り越えて							
結局、うちに居候させてるんですよ。			結局、うちに居候させてるんですよ。			海山川を乗り越えて							
……彼、向こう見ずなところはありますけど、基本的にはキッチリしてますねぇ。整理整頓、時間厳守、連絡だって怠らない。			……彼、向こう見ずなところはありますけど、基本的にはキッチリしてますねぇ。整理整頓、時間厳守、連絡だって怠らない。			海山川を乗り越えて							
お師匠さんたちと暮らしていたというから、その影響でしょうか……？			お師匠さんたちと暮らしていたというから、その影響でしょうか……？			海山川を乗り越えて							
対してシャトナの男は、独りで行動する時間が長いせいか、私も含めてマイペースな奴が多くって……彼の律儀さを新鮮に感じてますよ。			対してシャトナの男は、独りで行動する時間が長いせいか、私も含めてマイペースな奴が多くって……彼の律儀さを新鮮に感じてますよ。			海山川を乗り越えて							
仕事の話か？			仕事の話か？			海山川を乗り越えて							
ええ、そんなところです。ウヴロ、在庫の確認が終わったなら、Forenameと一緒に調達に行ってもらえますか？			ええ、そんなところです。ウヴロ、在庫の確認が終わったなら、Forenameと一緒に調達に行ってもらえますか？			海山川を乗り越えて							
よろしく頼む。同輩とともに仕事にあたれるのは、とても心強い。			よろしく頼む。同輩とともに仕事にあたれるのは、とても心強い。			海山川を乗り越えて							
では、改めて……。今回調達してもらいたいのは、「アポサカリーのまじない用品」です。			では、改めて……。今回調達してもらいたいのは、「アポサカリーのまじない用品」です。			海山川を乗り越えて							
具体的には、強い浄化の力を持つとされる香木。それから、ヨカ・トラルで特に重宝されている霊石……紫水晶を集めていただきたく。			具体的には、強い浄化の力を持つとされる香木。それから、ヨカ・トラルで特に重宝されている霊石……紫水晶を集めていただきたく。			海山川を乗り越えて							
どちらも、部族によって多少扱い方は異なるものの、心身に溜まった悪しきものを取り除いたり、魔除けにしたりといった用途で使われています。			どちらも、部族によって多少扱い方は異なるものの、心身に溜まった悪しきものを取り除いたり、魔除けにしたりといった用途で使われています。			海山川を乗り越えて							
なるほど、健やかさを保つのは薬ばかりではないか……。			なるほど、健やかさを保つのは薬ばかりではないか……。			海山川を乗り越えて							
ということは、そこに並べられている品々にも、何らかの力があるのか……？			ということは、そこに並べられている品々にも、何らかの力があるのか……？			海山川を乗り越えて							
一応は、謂れのあるものを選んでいますよ。ただ、何を良しとするかは人それぞれですからねぇ。			一応は、謂れのあるものを選んでいますよ。ただ、何を良しとするかは人それぞれですからねぇ。			海山川を乗り越えて							
効果の有無ではなく、ただ美しいと感じて買っていかれる方もいますし、私もそれでいいと思っています。			効果の有無ではなく、ただ美しいと感じて買っていかれる方もいますし、私もそれでいいと思っています。			海山川を乗り越えて							
扱う品が雑多になるのも道理だな。自分で各地に出向いて商品を探したりも……？			扱う品が雑多になるのも道理だな。自分で各地に出向いて商品を探したりも……？			海山川を乗り越えて							
いえ、それは……。あなたたちを頼るほかは、なじみの卸売商から仕入れるくらいです。			いえ、それは……。あなたたちを頼るほかは、なじみの卸売商から仕入れるくらいです。			海山川を乗り越えて							
店を空けるわけにもいきませんし、私はあまり……街の外には……。			店を空けるわけにもいきませんし、私はあまり……街の外には……。			海山川を乗り越えて							
……さ、そろそろ出発をお願いします。			……さ、そろそろ出発をお願いします。			海山川を乗り越えて							
「アポサカリーのまじない用品」は、コザマル・カの北部で採集できますので。できるだけ良好な状態のものを頼みますよ。			「アポサカリーのまじない用品」は、コザマル・カの北部で採集できますので。できるだけ良好な状態のものを頼みますよ。			海山川を乗り越えて							
俺は香木と紫水晶の両方を採ってこよう。お前はどちらでも、都合のいい方で進めてくれ。			俺は香木と紫水晶の両方を採ってこよう。お前はどちらでも、都合のいい方で進めてくれ。			海山川を乗り越えて							
「アポサカリーのまじない用品」の調達をお願いします。コザマル・カの北部、つまりオック・ハヌ方面で、採ることができるはずですよ。			「アポサカリーのまじない用品」の調達をお願いします。コザマル・カの北部、つまりオック・ハヌ方面で、採ることができるはずですよ。			海山川を乗り越えて							
ふふ、お願いしたとおりの品みたいですねぇ。詳しく拝見させてもらうとしましょう。			ふふ、お願いしたとおりの品みたいですねぇ。詳しく拝見させてもらうとしましょう。			海山川を乗り越えて							
おやまあ……なんて見事な……。			おやまあ……なんて見事な……。			海山川を乗り越えて							
ありがとうございます。このままの良好な状態を保てるよう、細心の注意を払いながら検品しましょう。			ありがとうございます。このままの良好な状態を保てるよう、細心の注意を払いながら検品しましょう。			海山川を乗り越えて							
すべて問題ないことが確認できました。改めて、おつかれさまです。			すべて問題ないことが確認できました。改めて、おつかれさまです。			海山川を乗り越えて							
前回といい、ずいぶんと手慣れた仕事ぶりですが、ほかでもこういった依頼を……？			前回といい、ずいぶんと手慣れた仕事ぶりですが、ほかでもこういった依頼を……？			海山川を乗り越えて							
戻ったぞ。香木と紫水晶……これで足りるか確認してくれ。			戻ったぞ。香木と紫水晶……これで足りるか確認してくれ。			海山川を乗り越えて							
おかえりなさい。どれ、拝見しましょう。			おかえりなさい。どれ、拝見しましょう。			海山川を乗り越えて							
おや……？			おや……？			海山川を乗り越えて							
香木も商品としての基準を満たしてはいますが、紫水晶については、特級品と呼べるほどですよ。いい鉱脈でも見つけましたか？			香木も商品としての基準を満たしてはいますが、紫水晶については、特級品と呼べるほどですよ。いい鉱脈でも見つけましたか？			海山川を乗り越えて							
石を見分けるのは得意なんだ。俺の故郷はスカテイ山脈の高地、雪と岩ばかりの場所だからな。			石を見分けるのは得意なんだ。俺の故郷はスカテイ山脈の高地、雪と岩ばかりの場所だからな。			海山川を乗り越えて							
一見すると似たような石の中に、力を秘めたものがある。俺たちはそれを、山に還った祖先の魂の断片と考え、御守りとして持ち歩くんだ。			一見すると似たような石の中に、力を秘めたものがある。俺たちはそれを、山に還った祖先の魂の断片と考え、御守りとして持ち歩くんだ。			海山川を乗り越えて							
スカテイ山脈……その話からして、かなり高い山々だとはわかりますが……。			スカテイ山脈……その話からして、かなり高い山々だとはわかりますが……。			海山川を乗り越えて							
そうか、トラル大陸の住民には馴染みがない場所だな。			そうか、トラル大陸の住民には馴染みがない場所だな。			海山川を乗り越えて							
Forename、地図を持ってるか？よければ、それを見ながら話をさせてくれ。			Forename、地図を持ってるか？よければ、それを見ながら話をさせてくれ。			海山川を乗り越えて							
ここが、スカテイ山脈だ。			ここが、スカテイ山脈だ。			海山川を乗り越えて							
東州オサード小大陸の中南部……永久焦土ザ・バーンと、旧ダルマスカ王国領の境目にあたる山々だな。			東州オサード小大陸の中南部……永久焦土ザ・バーンと、旧ダルマスカ王国領の境目にあたる山々だな。			海山川を乗り越えて							
ここには、ヴィナ・ヴィエラ族の里が点在している。俺の出身地「クグマの里」も、そのうちのひとつだ。			ここには、ヴィナ・ヴィエラ族の里が点在している。俺の出身地「クグマの里」も、そのうちのひとつだ。			海山川を乗り越えて							
ほかのヴィエラ族の里と同じで、女たちが集落を切り盛りし、男たちがそれを外から護る。			ほかのヴィエラ族の里と同じで、女たちが集落を切り盛りし、男たちがそれを外から護る。			海山川を乗り越えて							
凍てついた厳しい土地ではあるが、古くから受け継がれてきた狩猟採集の技術によって、生活は成り立っていたんだ……。			凍てついた厳しい土地ではあるが、古くから受け継がれてきた狩猟採集の技術によって、生活は成り立っていたんだ……。			海山川を乗り越えて							
だが、ガレマール帝国が台頭してきた。里が直接侵略されることはなかったが、周辺諸国が次々と呑み込まれたとあらば、他人事じゃない。			だが、ガレマール帝国が台頭してきた。里が直接侵略されることはなかったが、周辺諸国が次々と呑み込まれたとあらば、他人事じゃない。			海山川を乗り越えて							
里長たちは、しばらくの間、より厳重に外界との交流を断つことで里を護っていたものの……それでは根本的な解決にならないという声も上がっていた。			里長たちは、しばらくの間、より厳重に外界との交流を断つことで里を護っていたものの……それでは根本的な解決にならないという声も上がっていた。			海山川を乗り越えて							
そこで数年前に、里を出て知見を得る役目を立てることになったんだ。			そこで数年前に、里を出て知見を得る役目を立てることになったんだ。			海山川を乗り越えて							
世界情勢はもちろん、よその人々が今の時代をどう生きているか、里の存続に役立つ情報はないか……広く知り、持ち帰る役目。			世界情勢はもちろん、よその人々が今の時代をどう生きているか、里の存続に役立つ情報はないか……広く知り、持ち帰る役目。			海山川を乗り越えて							
もしや、あなたが……？			もしや、あなたが……？			海山川を乗り越えて							
俺の姓、ガーイェウェスフは雲を示す号。里のために世界を流浪する、まさしく雲というわけだ。			俺の姓、ガーイェウェスフは雲を示す号。里のために世界を流浪する、まさしく雲というわけだ。			海山川を乗り越えて							
なら、シャトナ族について知りたいというのも……。			なら、シャトナ族について知りたいというのも……。			海山川を乗り越えて							
ああ、その暮らしぶりから、何か里に有益な学びが得られないかと思ってな。			ああ、その暮らしぶりから、何か里に有益な学びが得られないかと思ってな。			海山川を乗り越えて							
