シリウス大灯台のダヴィッドは鍛冶師を出迎えたいようだ。			シリウス大灯台のダヴィッドは鍛冶師を出迎えたいようだ。			狂気の歌声							
……「幻影諸島」？　バカ言うんじゃないよ。第七霊災で「シリウス大灯台」がブッ壊れちまって以来、島にあるのは瓦礫の山とゆうれ……あ、いや、何でもねえ。			……「幻影諸島」？　バカ言うんじゃないよ。第七霊災で「シリウス大灯台」がブッ壊れちまって以来、島にあるのは瓦礫の山とゆうれ……あ、いや、何でもねえ。			船はいまだ港に							
情報収集ごくろうさまー！ねね、みんなの話はどうだった？			情報収集ごくろうさまー！ねね、みんなの話はどうだった？			船はいまだ港に							
えー？　「出る」って……何が？もしかして……ゆ、幽霊……？うわーやめてよー！　私そういうの苦手なのよー！			えー？　「出る」って……何が？もしかして……ゆ、幽霊……？うわーやめてよー！　私そういうの苦手なのよー！			船はいまだ港に							
双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			仮宿を訪ねて							
蛮神ラムウを奉じているシルフ族を調べていた博物学者「ヴォイス」からの連絡が途絶えている。彼を探しだすためシルフの仮宿に向かい、「オルムシオ」に相談しよう。			蛮神ラムウを奉じているシルフ族を調べていた博物学者「ヴォイス」からの連絡が途絶えている。彼を探しだすためシルフの仮宿に向かい、「オルムシオ」に相談しよう。			仮宿を訪ねて							
オルムシオは、ヘッポコ学者ならば長のところにいるという。シルフ族の長である「フリクシオ」から話をきいてみよう。			オルムシオは、ヘッポコ学者ならば長のところにいるという。シルフ族の長である「フリクシオ」から話をきいてみよう。			仮宿を訪ねて							
博物学者のヴォイスは3日前に「シルフ領」へ行ってしまったそうだ。彼の行方について、「オルムシオ」に相談してみよう。			博物学者のヴォイスは3日前に「シルフ領」へ行ってしまったそうだ。彼の行方について、「オルムシオ」に相談してみよう。			仮宿を訪ねて							
シルフ領に入って学者を救い出すには、充分な準備が必要そうだ。準備が整うまで、シルフ族からの依頼をこなしていこう。			シルフ領に入って学者を救い出すには、充分な準備が必要そうだ。準備が整うまで、シルフ族からの依頼をこなしていこう。			仮宿を訪ねて							
シルフの仮宿のオルムシオと話す			シルフの仮宿のオルムシオと話す			仮宿を訪ねて							
フリクシオと話す			フリクシオと話す			仮宿を訪ねて							
オルムシオに報告			オルムシオに報告			仮宿を訪ねて							
やぁ、君か。「双蛇党：統合司令部」にようこそ。			やぁ、君か。「双蛇党：統合司令部」にようこそ。			仮宿を訪ねて							
実は、君に折り入って頼みがある。歴戦の冒険者である君にしか頼めない、とても重要な任務だ。			実は、君に折り入って頼みがある。歴戦の冒険者である君にしか頼めない、とても重要な任務だ。			仮宿を訪ねて							
蛮神「ラムウ」を奉じているシルフ族が、最近、妙な動きをしているらしい。			蛮神「ラムウ」を奉じているシルフ族が、最近、妙な動きをしているらしい。			仮宿を訪ねて							
そこで我々は、シルフ族の生態と動植物研究の権威である博物学者をシルフ領に派遣し、原因の究明に乗り出した。彼の名は「ヴォイス」と言うんだが……。			そこで我々は、シルフ族の生態と動植物研究の権威である博物学者をシルフ領に派遣し、原因の究明に乗り出した。彼の名は「ヴォイス」と言うんだが……。			仮宿を訪ねて							
この数日、彼からの連絡が途絶えてね。……もしかしたら、何かあったのかもしれない。彼を探し出し、身の安全を確保してほしい。			この数日、彼からの連絡が途絶えてね。……もしかしたら、何かあったのかもしれない。彼を探し出し、身の安全を確保してほしい。			仮宿を訪ねて							
まずは「シルフの仮宿」に行ってくれ。「オルムシオ」というシルフが便宜を図ってくれるはずだ。よろしく頼んだよ。			まずは「シルフの仮宿」に行ってくれ。「オルムシオ」というシルフが便宜を図ってくれるはずだ。よろしく頼んだよ。			仮宿を訪ねて							
おやおや、強そうな冒険者でふっち。あたぴらに何の用でふっち？			おやおや、強そうな冒険者でふっち。あたぴらに何の用でふっち？			仮宿を訪ねて							
……エラい学者さんを探ちてるでふっち？う～ん、エラい学者さんは知らないけど、エラそうじゃないヘッポコ学者なら、知ってるでふっち。			……エラい学者さんを探ちてるでふっち？う～ん、エラい学者さんは知らないけど、エラそうじゃないヘッポコ学者なら、知ってるでふっち。			仮宿を訪ねて							
そのヘッポコ学者なら、すぐそこに……あれ、いないでふっち？……きっと、長ちゃまのとこにいるでふっち。			そのヘッポコ学者なら、すぐそこに……あれ、いないでふっち？……きっと、長ちゃまのとこにいるでふっち。			仮宿を訪ねて							
ヘッポコ学者は、あたぴらの「せーたい」について、調査しているらちいでふっち。長ちゃまのところに行ってみるでふっち。			ヘッポコ学者は、あたぴらの「せーたい」について、調査しているらちいでふっち。長ちゃまのところに行ってみるでふっち。			仮宿を訪ねて							
おお、冒険者どの、ご無沙汰でぶっち！その後の活躍、この仮宿にも聞こえてきているでぶっち。……ふむ、エラい学者を探ちてるのでぶっち？			おお、冒険者どの、ご無沙汰でぶっち！その後の活躍、この仮宿にも聞こえてきているでぶっち。……ふむ、エラい学者を探ちてるのでぶっち？			仮宿を訪ねて							
あいにく、エラい学者はいないでぶっち。エラそうじゃないヘッポコ学者なら、ついこの間までいたでぶっち。			あいにく、エラい学者はいないでぶっち。エラそうじゃないヘッポコ学者なら、ついこの間までいたでぶっち。			仮宿を訪ねて							
でも、3日前に「シルフ領」へ旅立ったのでぶっち。何でも、「ゆうこくのみこでん」というのを確かめるんだ！……とか何とか言っていたのでぶっち。			でも、3日前に「シルフ領」へ旅立ったのでぶっち。何でも、「ゆうこくのみこでん」というのを確かめるんだ！……とか何とか言っていたのでぶっち。			仮宿を訪ねて							
シルフ領には、悪い子シルフがたくさんいるのでぶっち。だからワチシは止めたのでぶっち。まったく、聞き分けのない困ったちゃんでぶっち。			シルフ領には、悪い子シルフがたくさんいるのでぶっち。だからワチシは止めたのでぶっち。まったく、聞き分けのない困ったちゃんでぶっち。			仮宿を訪ねて							
冒険者どの、もしシルフ領へ行くなら用心するのでぶっち。最近、森がザワザワと騒がしいのでぶっち。……何か、胸騒ぎがするのでぶっち。			冒険者どの、もしシルフ領へ行くなら用心するのでぶっち。最近、森がザワザワと騒がしいのでぶっち。……何か、胸騒ぎがするのでぶっち。			仮宿を訪ねて							
長ちゃまのとこに、ヘッポコ学者はいなかったでふっち？……ええっ、シルフ領に行ってしまったのでふっち！？それはご愁傷様でふっち。			長ちゃまのとこに、ヘッポコ学者はいなかったでふっち？……ええっ、シルフ領に行ってしまったのでふっち！？それはご愁傷様でふっち。			仮宿を訪ねて							
きっともう手遅れでふっち。魔物に食べられたか、悪い子シルフに捕まって、雷でビリビリされちゃってるでふっち。			きっともう手遅れでふっち。魔物に食べられたか、悪い子シルフに捕まって、雷でビリビリされちゃってるでふっち。			仮宿を訪ねて							
えええっ、助けにいくでふっち？　それは無謀でふっち！シルフ領には、恐ろしい魔物や、毒を出す草木や、テンパードになった悪い子シルフが、わんさかいるのでふっち。			えええっ、助けにいくでふっち？　それは無謀でふっち！シルフ領には、恐ろしい魔物や、毒を出す草木や、テンパードになった悪い子シルフが、わんさかいるのでふっち。			仮宿を訪ねて							
それでも行くのなら、ここでしっかり準備をするのでふっち。……ついでに、あたぴらのために、モリモリ働いていくといいのでふっち！			それでも行くのなら、ここでしっかり準備をするのでふっち。……ついでに、あたぴらのために、モリモリ働いていくといいのでふっち！			仮宿を訪ねて							
冒険者どの、もしシルフ領へ行くなら用心するのでぶっち。最近、森がザワザワと騒がしいのでぶっち。……何か、胸騒ぎがするのでぶっち。			冒険者どの、もしシルフ領へ行くなら用心するのでぶっち。最近、森がザワザワと騒がしいのでぶっち。……何か、胸騒ぎがするのでぶっち。			仮宿を訪ねて							
シルフの仮宿のオルムシオは、冒険者が博物学者を探す手伝いをしたいようだ。			シルフの仮宿のオルムシオは、冒険者が博物学者を探す手伝いをしたいようだ。			とある博物学者の苦悩							
オルムシオから、博物学者のヴォイスがいそうな場所を教えてもらった。ラークスコールの南に向かい、「指定地点」で待機して、辺りの様子を窺ってみよう。			オルムシオから、博物学者のヴォイスがいそうな場所を教えてもらった。ラークスコールの南に向かい、「指定地点」で待機して、辺りの様子を窺ってみよう。			とある博物学者の苦悩							
悪い子シルフは北東方面に逃げていった。ラークスコールにいる「ヴォイス」を救助しよう。			悪い子シルフは北東方面に逃げていった。ラークスコールにいる「ヴォイス」を救助しよう。			とある博物学者の苦悩							
ヴォイスを救助した。ここではおちついて話ができないようだ。シルフの仮宿に戻り、改めて「ヴォイス」に話しかけてみよう。			ヴォイスを救助した。ここではおちついて話ができないようだ。シルフの仮宿に戻り、改めて「ヴォイス」に話しかけてみよう。			とある博物学者の苦悩							
ヴォイスから伝説の御子についての驚くべき話を聞いた。シルフの仮宿の「オルムシオ」と相談しよう。			ヴォイスから伝説の御子についての驚くべき話を聞いた。シルフの仮宿の「オルムシオ」と相談しよう。			とある博物学者の苦悩							
シルフ族とヴォイスは伝説の御子について詳しく調べることにしたようだ。詳しいことがわかるまで、シルフ族の依頼をこなしていこう。			シルフ族とヴォイスは伝説の御子について詳しく調べることにしたようだ。詳しいことがわかるまで、シルフ族の依頼をこなしていこう。			とある博物学者の苦悩							
ラークスコールの指定地点で待機し様子を窺う			ラークスコールの指定地点で待機し様子を窺う			とある博物学者の苦悩							
ヴォイスを救助			ヴォイスを救助			とある博物学者の苦悩							
シルフの仮宿のヴォイスと話す			シルフの仮宿のヴォイスと話す			とある博物学者の苦悩							
オルムシオに報告			オルムシオに報告			とある博物学者の苦悩							
ええっ、ホントに「シルフ領」に行くのでふっち？ジョーダンと思ってたのでふっち……。			ええっ、ホントに「シルフ領」に行くのでふっち？ジョーダンと思ってたのでふっち……。			とある博物学者の苦悩							
ヘッポコ学者……「ヴォイス」というでふっち？そんな見ず知らずのヒトのためにガンバるなんて、まったくアナタも、おヒトよしなのでふっち。			ヘッポコ学者……「ヴォイス」というでふっち？そんな見ず知らずのヒトのためにガンバるなんて、まったくアナタも、おヒトよしなのでふっち。			とある博物学者の苦悩							
「ラークスコール」の辺りを探すといいでふっち。あそこらは、悪い子シルフとあたぴらの緩衝地帯でふっち。きっと、ヘッポコ学者も立ち往生してるでふっち。			「ラークスコール」の辺りを探すといいでふっち。あそこらは、悪い子シルフとあたぴらの緩衝地帯でふっち。きっと、ヘッポコ学者も立ち往生してるでふっち。			とある博物学者の苦悩							
ヘッポコ学者を見つけても、悪い子シルフを刺激しないように、まずは物陰からこっそり様子を見るといいでふっち。いってらっしゃいでふっち。			ヘッポコ学者を見つけても、悪い子シルフを刺激しないように、まずは物陰からこっそり様子を見るといいでふっち。いってらっしゃいでふっち。			とある博物学者の苦悩							
(-下っ端のシルフ族-)コイツ、コソコソと何やらメモをとってたでふっち！きっと学者か何かでふっち！			(-下っ端のシルフ族-)コイツ、コソコソと何やらメモをとってたでふっち！きっと学者か何かでふっち！			とある博物学者の苦悩							
(-謎のシルフ族-)……学者？　ふっちっち！ヒトの分際で、オレちゃまたちのナワバリに足を踏み入れるとは、ふてーヤロウだふっち！			(-謎のシルフ族-)……学者？　ふっちっち！ヒトの分際で、オレちゃまたちのナワバリに足を踏み入れるとは、ふてーヤロウだふっち！			とある博物学者の苦悩							
た、たたたた助けてー！食べられるぅー！！			た、たたたた助けてー！食べられるぅー！！			とある博物学者の苦悩							
(-謎のシルフ族-)……食べないでふっち！シルフ族は食事をちないでふっち！オマエ、学者のクセして、なーんも知らないでふっち？			(-謎のシルフ族-)……食べないでふっち！シルフ族は食事をちないでふっち！オマエ、学者のクセして、なーんも知らないでふっち？			とある博物学者の苦悩							
(-謎のシルフ族-)ははーん、さては何か企んでるでふっち！？もしかぴて……。伝説の「御子ちゃま」を嗅ぎつけたでふっち！？			(-謎のシルフ族-)ははーん、さては何か企んでるでふっち！？もしかぴて……。伝説の「御子ちゃま」を嗅ぎつけたでふっち！？			とある博物学者の苦悩							
「御子ちゃま」だって！？そ、それは本当かい！？やはり古の伝承は本当だったのか……！			「御子ちゃま」だって！？そ、それは本当かい！？やはり古の伝承は本当だったのか……！			とある博物学者の苦悩							
(-謎のシルフ族-)ぬぬぬ……それを知ったとあっちゃ、やはり生かちては返せないでふっち。……死ぬでふっち！			(-謎のシルフ族-)ぬぬぬ……それを知ったとあっちゃ、やはり生かちては返せないでふっち。……死ぬでふっち！			とある博物学者の苦悩							
き、君が言ったんじゃないかぁー！			き、君が言ったんじゃないかぁー！			とある博物学者の苦悩							
(-謎のシルフ族-)誰でふっち！？			(-謎のシルフ族-)誰でふっち！？			とある博物学者の苦悩							
(-下っ端のシルフ族-)ディルシオのオヤビン！　アイツ知ってるでふっち！仮宿にいた冒険者でふっち！チョー強いヤツでふっち！			(-下っ端のシルフ族-)ディルシオのオヤビン！　アイツ知ってるでふっち！仮宿にいた冒険者でふっち！チョー強いヤツでふっち！			とある博物学者の苦悩							
……ちっ！　邪魔者が入ったでふっち！ヤロウども、ずらかるでふっち！			……ちっ！　邪魔者が入ったでふっち！ヤロウども、ずらかるでふっち！			とある博物学者の苦悩							
うううう、助かったぁ……。シルフ族がこんなに凶暴な生き物だったとは……やはり書物を読んだだけでは、物事の本質はわからないなぁ。			うううう、助かったぁ……。シルフ族がこんなに凶暴な生き物だったとは……やはり書物を読んだだけでは、物事の本質はわからないなぁ。			とある博物学者の苦悩							
どこの誰かは存じませんが、ご親切にどうもありがとうございました。			どこの誰かは存じませんが、ご親切にどうもありがとうございました。			とある博物学者の苦悩							
……えっ？　ボクを助けるために「双蛇党」から派遣された？それはそれは！　ありがとうございます！			……えっ？　ボクを助けるために「双蛇党」から派遣された？それはそれは！　ありがとうございます！			とある博物学者の苦悩							
……こんなとこで立ち話も何ですね。「シルフの仮宿」に戻ります！こんなジメジメした森は、もうこりごりです～。			……こんなとこで立ち話も何ですね。「シルフの仮宿」に戻ります！こんなジメジメした森は、もうこりごりです～。			とある博物学者の苦悩							
おかえりなさい～！　ご無事でなによりです！ボクの名前は「ヴォイス」。ご存知の通りシルフ族の研究のため、ここにやってきました。			おかえりなさい～！　ご無事でなによりです！ボクの名前は「ヴォイス」。ご存知の通りシルフ族の研究のため、ここにやってきました。			とある博物学者の苦悩							
数ヶ月前、「碩老樹瞑想窟」の書庫で調べ物をしていたボクは、偶然、とある一冊の巻物をみつけました。「幽谷之御子伝」という古文書です。			数ヶ月前、「碩老樹瞑想窟」の書庫で調べ物をしていたボクは、偶然、とある一冊の巻物をみつけました。「幽谷之御子伝」という古文書です。			とある博物学者の苦悩							
それは、数百年前に記されたシルフ族に関する巻物でした。ボクは夢中で読み耽り……そして発見したのです。過去、いや、未来のシルフ族の運命を変える重大な記述……			それは、数百年前に記されたシルフ族に関する巻物でした。ボクは夢中で読み耽り……そして発見したのです。過去、いや、未来のシルフ族の運命を変える重大な記述……			とある博物学者の苦悩							
「伝説の御子」についての伝承を……。			「伝説の御子」についての伝承を……。			とある博物学者の苦悩							
その話、聞いたことがあるでぶっち！			その話、聞いたことがあるでぶっち！			とある博物学者の苦悩							
「伝説の御子」……千代に一度、誕生されると言われる伝説のシルフ族。生まれながら強大な魔力を持つ、選ばれた胤(たね)。			「伝説の御子」……千代に一度、誕生されると言われる伝説のシルフ族。生まれながら強大な魔力を持つ、選ばれた胤(たね)。			とある博物学者の苦悩							
その圧倒的な才と異能で、全シルフ族の未来を担い、導くとされる存在……それが伝説の御子ちゃまなのでぶっち。			その圧倒的な才と異能で、全シルフ族の未来を担い、導くとされる存在……それが伝説の御子ちゃまなのでぶっち。			とある博物学者の苦悩							
その伝承は真実だったんです。ボクは書物を漁り、その「伝説の御子」が、時を経て生まれる周期を計算しました。			その伝承は真実だったんです。ボクは書物を漁り、その「伝説の御子」が、時を経て生まれる周期を計算しました。			とある博物学者の苦悩							
そして、弾き出された数字は…………そう、今年です！			そして、弾き出された数字は…………そう、今年です！			とある博物学者の苦悩							
長ちゃま！もしかちて、最近、悪い子シルフたちが元気なのも、その「御子ちゃま」が原因なのでふっち！？			長ちゃま！もしかちて、最近、悪い子シルフたちが元気なのも、その「御子ちゃま」が原因なのでふっち！？			とある博物学者の苦悩							
……そうかもしれませんね。ボクを捕らえたシルフたちも、「伝説の御子」のことを知っていたし……。			……そうかもしれませんね。ボクを捕らえたシルフたちも、「伝説の御子」のことを知っていたし……。			とある博物学者の苦悩							
むむむ……でふっち！今すぐ仮宿のみんなに話ちて、何か対策を練るでふっち！			むむむ……でふっち！今すぐ仮宿のみんなに話ちて、何か対策を練るでふっち！			とある博物学者の苦悩							
「伝説の御子」がどこにいるのか？そして、今どんな状態にあるのか？……それはまだ、わかりません。			「伝説の御子」がどこにいるのか？そして、今どんな状態にあるのか？……それはまだ、わかりません。			とある博物学者の苦悩							
でも、シルフ族の未来がかかっていることは確かです。冒険者さん、ボクたちも仮宿のシルフと共に、御子が悪用されないよう努めるべきです！			でも、シルフ族の未来がかかっていることは確かです。冒険者さん、ボクたちも仮宿のシルフと共に、御子が悪用されないよう努めるべきです！			とある博物学者の苦悩							
もちろんボクも学者として、力の限り協力します。どーんと、まかせてください！			もちろんボクも学者として、力の限り協力します。どーんと、まかせてください！			とある博物学者の苦悩							
ぐふっ！　げほっ、げほっ……！			ぐふっ！　げほっ、げほっ……！			とある博物学者の苦悩							
むむむ……でふっち。なんだか、キナ臭いコトになってきたでふっち。			むむむ……でふっち。なんだか、キナ臭いコトになってきたでふっち。			とある博物学者の苦悩							
とりあえず、御子ちゃまの情報を集めるのは、あたぴらと、あのヘッポコ学者に任せるでふっち。			とりあえず、御子ちゃまの情報を集めるのは、あたぴらと、あのヘッポコ学者に任せるでふっち。			とある博物学者の苦悩							
アナタには、あたぴらといっしょに、悪い子シルフの野望を食い止めてほちいのでふっち！冒険者さん、お願いでふっち！			アナタには、あたぴらといっしょに、悪い子シルフの野望を食い止めてほちいのでふっち！冒険者さん、お願いでふっち！			とある博物学者の苦悩							
仮宿のシルフに協力する？			仮宿のシルフに協力する？			とある博物学者の苦悩							
もちろん！　任せるでふっち！			もちろん！　任せるでふっち！			とある博物学者の苦悩							
……いや、遠慮させてもらいます。			……いや、遠慮させてもらいます。			とある博物学者の苦悩							
よかったでふっち！あのヘッポコ学者だけじゃ、頼りないでふっち。よろぴくお願いするでふっち！			よかったでふっち！あのヘッポコ学者だけじゃ、頼りないでふっち。よろぴくお願いするでふっち！			とある博物学者の苦悩							
……残念でふっち。もう一度、考え直せないでふっち？あのヘッポコ学者だけじゃ、頼りないでふっち……。			……残念でふっち。もう一度、考え直せないでふっち？あのヘッポコ学者だけじゃ、頼りないでふっち……。			とある博物学者の苦悩							
ううう……た、助けてぇーっ！！			ううう……た、助けてぇーっ！！			とある博物学者の苦悩							
やはり「幽谷之御子伝」の伝承は本当だったんだ……！冒険者さん、彼らの手助けをしましょう！ボクも、できる限り協力します！			やはり「幽谷之御子伝」の伝承は本当だったんだ……！冒険者さん、彼らの手助けをしましょう！ボクも、できる限り協力します！			とある博物学者の苦悩							
「シルフ族：仮宿のシルフ」との友好関係が「中立」になり、シルフ族の「友好部族クエスト」が開放されました。			「シルフ族：仮宿のシルフ」との友好関係が「中立」になり、シルフ族の「友好部族クエスト」が開放されました。			とある博物学者の苦悩							
これ以降、シルフの仮宿にいる「トナクシア」より、繰り返し可能な「友好部族デイリークエスト」を受注することができます。			これ以降、シルフの仮宿にいる「トナクシア」より、繰り返し可能な「友好部族デイリークエスト」を受注することができます。			とある博物学者の苦悩							
また、「シルフ族のよろず屋」より、友好部族の取り扱う商品が購入できるようになりました。今後の冒険に役立てましょう！			また、「シルフ族のよろず屋」より、友好部族の取り扱う商品が購入できるようになりました。今後の冒険に役立てましょう！			とある博物学者の苦悩							
