エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
もしかして、スフェーンのこと……？			もしかして、スフェーンのこと……？			古を知る騎士							
自分たちもその人物を知っている			自分たちもその人物を知っている			古を知る騎士							
おお、そうか！お主らも彼女のことを知っていたか！			おお、そうか！お主らも彼女のことを知っていたか！			古を知る騎士							
スフェーン様は、永久人になっても優しい方であろう？			スフェーン様は、永久人になっても優しい方であろう？			古を知る騎士							
ひと目お会いしたいと想い続けて数百年……こんな身体じゃ、彼女を怖がらせてしまうと思ってな。			ひと目お会いしたいと想い続けて数百年……こんな身体じゃ、彼女を怖がらせてしまうと思ってな。			古を知る騎士							
ハッハッハッ……！			ハッハッハッ……！			古を知る騎士							
今のスフェーン様を遠目にお見掛けしたことはある。あるが……お声掛けする勇気は、ない……。			今のスフェーン様を遠目にお見掛けしたことはある。あるが……お声掛けする勇気は、ない……。			古を知る騎士							
臆病ゆえではないぞ？怖がらせてはならぬという配慮……そう、配慮なのだ……！			臆病ゆえではないぞ？怖がらせてはならぬという配慮……そう、配慮なのだ……！			古を知る騎士							
僕はその……オーティスに聞いてたから……。			僕はその……オーティスに聞いてたから……。			古を知る騎士							
何なのよそれ……。じゃあ、この国の王様って……人じゃないの……？			何なのよそれ……。じゃあ、この国の王様って……人じゃないの……？			古を知る騎士							
なあ、もう一度だけ確認させてほしいんだけどよ。スフェーンはその永久人とかいう存在で……生きてる人間じゃねぇってことか……？			なあ、もう一度だけ確認させてほしいんだけどよ。スフェーンはその永久人とかいう存在で……生きてる人間じゃねぇってことか……？			古を知る騎士							
生きている、生きていない……その境界は実に曖昧だ。			生きている、生きていない……その境界は実に曖昧だ。			古を知る騎士							
死者の記憶から人格を再現された永久人は、生前の記憶を受け継ぎ、考え、行動する。			死者の記憶から人格を再現された永久人は、生前の記憶を受け継ぎ、考え、行動する。			古を知る騎士							
ならば、それは生きている……とワタシは思うのだがな！			ならば、それは生きている……とワタシは思うのだがな！			古を知る騎士							
……国民たちはこのことを知ってるの？数百年も王様のままなら、当然気づく人もいるはずよね？			……国民たちはこのことを知ってるの？数百年も王様のままなら、当然気づく人もいるはずよね？			古を知る騎士							
……永久人という存在は、ごく一部の人しか知らないよ。レギュレーターを着けている人は、亡くなった人の記憶をなくしちゃうから。			……永久人という存在は、ごく一部の人しか知らないよ。レギュレーターを着けている人は、亡くなった人の記憶をなくしちゃうから。			古を知る騎士							
みんな、スフェーン様の見た目が変わらないことは気づいてる。だけど敢えて尋ねるようなことはしない……受け入れているんだ。			みんな、スフェーン様の見た目が変わらないことは気づいてる。だけど敢えて尋ねるようなことはしない……受け入れているんだ。			古を知る騎士							
正体が何であろうと、スフェーン様は、スフェーン様。奇跡の人なんだって……そう思ってるみたい。			正体が何であろうと、スフェーン様は、スフェーン様。奇跡の人なんだって……そう思ってるみたい。			古を知る騎士							
何と言う？			何と言う？			古を知る騎士							
永久人はほかにもいるのか？			永久人はほかにもいるのか？			古を知る騎士							
街の住民たちも永久人か？			街の住民たちも永久人か？			古を知る騎士							
死者の数だけ永久人は存在するはずだ。だが、永久人が生きていける環境は限られていると聞く……ここらに姿を現せる永久人は、スフェーン様だけだろう。			死者の数だけ永久人は存在するはずだ。だが、永久人が生きていける環境は限られていると聞く……ここらに姿を現せる永久人は、スフェーン様だけだろう。			古を知る騎士							
実はワタシも厳密には、永久人ではない。永久人は魂から抽出された「記憶を元に再現された生命」だが、ワタシの場合は、「魂ごと機械に入れられた存在」だからな！			実はワタシも厳密には、永久人ではない。永久人は魂から抽出された「記憶を元に再現された生命」だが、ワタシの場合は、「魂ごと機械に入れられた存在」だからな！			古を知る騎士							
ややこしいな……それって、何が違うんだ……？			ややこしいな……それって、何が違うんだ……？			古を知る騎士							
うむ、ワタシにもよくわからぬが、ワタシの命は、この機械の体とともにある……人と同じで壊れたら最後、永久不変の命ではないのだろうな！			うむ、ワタシにもよくわからぬが、ワタシの命は、この機械の体とともにある……人と同じで壊れたら最後、永久不変の命ではないのだろうな！			古を知る騎士							
永久不変の命、か……。まるで、ウルティマ・トゥーレで見た、イーアたちのようね。			永久不変の命、か……。まるで、ウルティマ・トゥーレで見た、イーアたちのようね。			古を知る騎士							
カフキワたちも知ってたのか……？永久人の存在を……。			カフキワたちも知ってたのか……？永久人の存在を……。			古を知る騎士							
エバーキープの基幹システムを調べてたような人たちだもの。気づいていてもおかしくはないけど……。			エバーキープの基幹システムを調べてたような人たちだもの。気づいていてもおかしくはないけど……。			古を知る騎士							
ひとまず、ラハたちに共有しましょう。なんだか嫌な予感がするわ……。			ひとまず、ラハたちに共有しましょう。なんだか嫌な予感がするわ……。			古を知る騎士							
ネオンスタインのタッソスは、背後の扉を護っているようだ。			ネオンスタインのタッソスは、背後の扉を護っているようだ。			エナジードリンクでガウガウ元気に							
タッソスと話し、オブリビオンの本拠地「バックルーム」に入ることができた。バックルームの「ゲノルト」と話そう。一度外に出た場合は、ネオンスタインの「タッソス」に話しかけると案内してくれるようだ。			タッソスと話し、オブリビオンの本拠地「バックルーム」に入ることができた。バックルームの「ゲノルト」と話そう。一度外に出た場合は、ネオンスタインの「タッソス」に話しかけると案内してくれるようだ。			エナジードリンクでガウガウ元気に							
ゲノルトと話した。ソリューション・ナインのトゥルービューにいる「フィロモン」と話そう。			ゲノルトと話した。ソリューション・ナインのトゥルービューにいる「フィロモン」と話そう。			エナジードリンクでガウガウ元気に							
フィロモンと話した。トゥルービューの「フィロモン」に「ドリンク引換券」を渡そう。			フィロモンと話した。トゥルービューの「フィロモン」に「ドリンク引換券」を渡そう。			エナジードリンクでガウガウ元気に							
フィロモンからエナジードリンクを受け取った。トゥルービューのフィロモンの前で、「初心者用のエナジードリンク」を飲み干そう。			フィロモンからエナジードリンクを受け取った。トゥルービューのフィロモンの前で、「初心者用のエナジードリンク」を飲み干そう。			エナジードリンクでガウガウ元気に							
エナジードリンクを飲み干した。バックルームの「ゲノルト」に「ゲノルト用のエナジードリンク」を渡そう。			エナジードリンクを飲み干した。バックルームの「ゲノルト」に「ゲノルト用のエナジードリンク」を渡そう。			エナジードリンクでガウガウ元気に							
ゲノルトにエナジードリンクを渡した。バックルームの「ウクラマト」と話そう。			ゲノルトにエナジードリンクを渡した。バックルームの「ウクラマト」と話そう。			エナジードリンクでガウガウ元気に							
ウクラマトと話した。話を聞いてしまったグルージャを追いかけなければ……。			ウクラマトと話した。話を聞いてしまったグルージャを追いかけなければ……。			エナジードリンクでガウガウ元気に							
ゲノルトと話す			ゲノルトと話す			エナジードリンクでガウガウ元気に							
フィロモンと話す			フィロモンと話す			エナジードリンクでガウガウ元気に							
フィロモンにドリンク引換券を渡す			フィロモンにドリンク引換券を渡す			エナジードリンクでガウガウ元気に							
フィロモンの前で、初心者用のエナジードリンクを使用			フィロモンの前で、初心者用のエナジードリンクを使用			エナジードリンクでガウガウ元気に							
ゲノルトにゲノルト用のエナジードリンクを渡す			ゲノルトにゲノルト用のエナジードリンクを渡す			エナジードリンクでガウガウ元気に							
ウクラマトと話す			ウクラマトと話す			エナジードリンクでガウガウ元気に							
…………。			…………。			エナジードリンクでガウガウ元気に							
とりあえず話しかけてみようぜ……。ここの連中、カフキワのこと知ってるみてぇだしな。			とりあえず話しかけてみようぜ……。ここの連中、カフキワのこと知ってるみてぇだしな。			エナジードリンクでガウガウ元気に							
普段は立ち入り禁止だが、カフキワさんから話は聞いている。			普段は立ち入り禁止だが、カフキワさんから話は聞いている。			エナジードリンクでガウガウ元気に							
通路に出たら、奥の部屋へ進め。			通路に出たら、奥の部屋へ進め。			エナジードリンクでガウガウ元気に							
よっしゃ、行こう！もう何が来ても驚かねぇぜ！			よっしゃ、行こう！もう何が来ても驚かねぇぜ！			エナジードリンクでガウガウ元気に							
アタシが攻撃に専念するときの動き方なんだが……前に出すぎない方がいいか？			アタシが攻撃に専念するときの動き方なんだが……前に出すぎない方がいいか？			エナジードリンクでガウガウ元気に							
そうね、なるべく足並みをそろえてほしいわ。敵に囲まれたくなかったらね。			そうね、なるべく足並みをそろえてほしいわ。敵に囲まれたくなかったらね。			エナジードリンクでガウガウ元気に							
この部屋、元プリザベーションの優秀な技師が設計したらしいよ。だからこんなに機械だらけになってるのさ。			この部屋、元プリザベーションの優秀な技師が設計したらしいよ。だからこんなに機械だらけになってるのさ。			エナジードリンクでガウガウ元気に							
……俺を恨むなよ。			……俺を恨むなよ。			エナジードリンクでガウガウ元気に							
…………！			…………！			エナジードリンクでガウガウ元気に							
暑苦しいところを見せちまったな。たまに、ああやってパッションが溢れちまうンだよ。			暑苦しいところを見せちまったな。たまに、ああやってパッションが溢れちまうンだよ。			エナジードリンクでガウガウ元気に							
しかも、テメェと目があったときに感じたンだ、デジャヴュっていうか、運命みてぇな感覚をよォ……。本当に初対面だよな？			しかも、テメェと目があったときに感じたンだ、デジャヴュっていうか、運命みてぇな感覚をよォ……。本当に初対面だよな？			エナジードリンクでガウガウ元気に							
ま、それはともかく、さっそくだがテメェに頼みがある。			ま、それはともかく、さっそくだがテメェに頼みがある。			エナジードリンクでガウガウ元気に							
オレ、実はいま二徹目でよォ……さすがに限界が近くて倒れちまいそうなンだ。			オレ、実はいま二徹目でよォ……さすがに限界が近くて倒れちまいそうなンだ。			エナジードリンクでガウガウ元気に							
もちろん仕事はするぜ？だけどそのためには、必要なンだよ、オレが愛飲してるエナジードリンクがな……。			もちろん仕事はするぜ？だけどそのためには、必要なンだよ、オレが愛飲してるエナジードリンクがな……。			エナジードリンクでガウガウ元気に							
ほれ、引換券だ。オレなりの歓迎のキモチってことで、テメェの分も渡したぜ。			ほれ、引換券だ。オレなりの歓迎のキモチってことで、テメェの分も渡したぜ。			エナジードリンクでガウガウ元気に							
トゥルービューにいる「フィロモン」って露天商に、その「ドリンク引換券」を渡して、交換してきてくれや！販売機じゃ売ってない、とびきりのブツとな！			トゥルービューにいる「フィロモン」って露天商に、その「ドリンク引換券」を渡して、交換してきてくれや！販売機じゃ売ってない、とびきりのブツとな！			エナジードリンクでガウガウ元気に							
あああ、くそおおおお！イメージはあるってのに、形にできねぇえええ……！			あああ、くそおおおお！イメージはあるってのに、形にできねぇえええ……！			エナジードリンクでガウガウ元気に							
いらっしゃい、何にする？			いらっしゃい、何にする？			エナジードリンクでガウガウ元気に							
は……販売機で売ってねぇエナジードリンクだあ！？そんなやべぇモン、うちじゃ扱ってねぇよ！			は……販売機で売ってねぇエナジードリンクだあ！？そんなやべぇモン、うちじゃ扱ってねぇよ！			エナジードリンクでガウガウ元気に							
帰った、帰った……！			帰った、帰った……！			エナジードリンクでガウガウ元気に							
……ただし、例の紙切れを持ってるなら、こっそり見せてみろ。怪しまれないように素早く、な……。			……ただし、例の紙切れを持ってるなら、こっそり見せてみろ。怪しまれないように素早く、な……。			エナジードリンクでガウガウ元気に							
ほう、ゲノルトの旦那の使いだったのか。旦那用とお前さんのぶん、それぞれ1本ずつだな？			ほう、ゲノルトの旦那の使いだったのか。旦那用とお前さんのぶん、それぞれ1本ずつだな？			エナジードリンクでガウガウ元気に							
ほらよ。こっちが旦那用で、もうひとつが初心者用だ。			ほらよ。こっちが旦那用で、もうひとつが初心者用だ。			エナジードリンクでガウガウ元気に							
別に違法品ってわけじゃねぇから安心しな。ただ、ネクサスアーケードの方を牛耳ってるロディナ商会に、こいつの存在が知られるのは、いろいろマズくてな。			別に違法品ってわけじゃねぇから安心しな。ただ、ネクサスアーケードの方を牛耳ってるロディナ商会に、こいつの存在が知られるのは、いろいろマズくてな。			エナジードリンクでガウガウ元気に							
そんなわけで、飲むつもりなら俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			そんなわけで、飲むつもりなら俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			エナジードリンクでガウガウ元気に							
飲むつもりなら、俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			飲むつもりなら、俺の目の前で飲み干してくれ。あんたには「初心者用のエナジードリンク」を渡したが、それでも効きすぎることがあるし、念の為にな……。			エナジードリンクでガウガウ元気に							
フィロモンの目の前で、「初心者用のエナジードリンク」を飲む必要がありそうだ……。			フィロモンの目の前で、「初心者用のエナジードリンク」を飲む必要がありそうだ……。			エナジードリンクでガウガウ元気に							
初心者用のエナジードリンクを、一気に飲み干した……！			初心者用のエナジードリンクを、一気に飲み干した……！			エナジードリンクでガウガウ元気に							
おっ、いい飲みっぷりだ！			おっ、いい飲みっぷりだ！			エナジードリンクでガウガウ元気に							
じきに心臓の鼓動が速まって、目が冴え渡ってくるはずだぜ。そして、身体の内側からエナジーが湧き上がるような、謎めいた感覚に包まれるんだ……！			じきに心臓の鼓動が速まって、目が冴え渡ってくるはずだぜ。そして、身体の内側からエナジーが湧き上がるような、謎めいた感覚に包まれるんだ……！			エナジードリンクでガウガウ元気に							
まるで、体中から七色のエナジーが溢れ出すかのようになぁ！			まるで、体中から七色のエナジーが溢れ出すかのようになぁ！			エナジードリンクでガウガウ元気に							
ゲノルトの旦那にも、そいつを渡してやんな……！今か今かと待ちわびてるところだろうからよ。			ゲノルトの旦那にも、そいつを渡してやんな……！今か今かと待ちわびてるところだろうからよ。			エナジードリンクでガウガウ元気に							
もう用事は済んだのか？アタシはレギュレーターについて、おさらいしてるところだぜ！			もう用事は済んだのか？アタシはレギュレーターについて、おさらいしてるところだぜ！			エナジードリンクでガウガウ元気に							
どうだい、個性的で愉快な仲間たちだろう？ゲノルトもシェールも、あたしが声をかけて組織に入れたんだよ。			どうだい、個性的で愉快な仲間たちだろう？ゲノルトもシェールも、あたしが声をかけて組織に入れたんだよ。			エナジードリンクでガウガウ元気に							
おかえりなさい。……って、なんか目がギラギラしてない？			おかえりなさい。……って、なんか目がギラギラしてない？			エナジードリンクでガウガウ元気に							
ゲノルトとかいう奴、やけに仕事熱心なんだな……。さっきから、唸ったり叫んだり忙しそうだ。			ゲノルトとかいう奴、やけに仕事熱心なんだな……。さっきから、唸ったり叫んだり忙しそうだ。			エナジードリンクでガウガウ元気に							
おお、手に入れてきてくれたか！頼む……そいつをオレにくれ……！			おお、手に入れてきてくれたか！頼む……そいつをオレにくれ……！			エナジードリンクでガウガウ元気に							
くうぅぅぅぅ！！これよ、これこれ、二徹した頭に効くぜェ……！			くうぅぅぅぅ！！これよ、これこれ、二徹した頭に効くぜェ……！			エナジードリンクでガウガウ元気に							
こいつを飲むと、オレの中の内なる何かが目覚める気がすンだよ。ガウガウ、ガウガウガウガウ……ってな！			こいつを飲むと、オレの中の内なる何かが目覚める気がすンだよ。ガウガウ、ガウガウガウガウ……ってな！			エナジードリンクでガウガウ元気に							
しょっぱなからお使いを頼んじまって悪かった！だが、オレはこいつが切れると集中力が続かなくってな……山積みの仕事が片付かねぇンだよ！			しょっぱなからお使いを頼んじまって悪かった！だが、オレはこいつが切れると集中力が続かなくってな……山積みの仕事が片付かねぇンだよ！			エナジードリンクでガウガウ元気に							
仲間の武器の改良に、ハッキング用のデバイスの修理……張り切って仕事してやンぜぇぇぇ！！			仲間の武器の改良に、ハッキング用のデバイスの修理……張り切って仕事してやンぜぇぇぇ！！			エナジードリンクでガウガウ元気に							
ダッハッハ！！ギンッギンに冴えてきたぜーーー！！			ダッハッハ！！ギンッギンに冴えてきたぜーーー！！			エナジードリンクでガウガウ元気に							
エバーキープ外縁のウクラマトは、グルージャを追いかけたいようだ。			エバーキープ外縁のウクラマトは、グルージャを追いかけたいようだ。			水没した街							
ウクラマトと話す			ウクラマトと話す			水没した街							
指定地点で見渡す			指定地点で見渡す			水没した街							
指定地点で見渡し、グルージャを密かに尾行			指定地点で見渡し、グルージャを密かに尾行			水没した街							
オーティスと話す			オーティスと話す			水没した街							
指定地点で見渡しヤング・ウールバックからウールバックのロース肉を入手			指定地点で見渡しヤング・ウールバックからウールバックのロース肉を入手			水没した街							
オーティスにウールバックのロース肉を渡す			オーティスにウールバックのロース肉を渡す			水没した街							
グルージャのやつ、すぐ建物の陰に隠れちまってさ……でも、もっと南の方に向かってるみてぇだった。アタシたちもこのまま進もう！			グルージャのやつ、すぐ建物の陰に隠れちまってさ……でも、もっと南の方に向かってるみてぇだった。アタシたちもこのまま進もう！			水没した街							
っと、アリゼーにも伝えておかなきゃな。道すがら連絡をとって、合流するよう頼んでおくぜ。			っと、アリゼーにも伝えておかなきゃな。道すがら連絡をとって、合流するよう頼んでおくぜ。			水没した街							
方角的にはこっちの廃墟で合ってると思うんだけど、陰になってる部分が多くて探しにくいな……。			方角的にはこっちの廃墟で合ってると思うんだけど、陰になってる部分が多くて探しにくいな……。			水没した街							
よし、アリゼーもじき来るだろうし、手分けして探すか。アタシは家屋のまわりを探すから、お前は、一段低くなってる水路の部分を探してもらえるか？			よし、アリゼーもじき来るだろうし、手分けして探すか。アタシは家屋のまわりを探すから、お前は、一段低くなってる水路の部分を探してもらえるか？			水没した街							
そうだ、もしグルージャを見つけても、あいつが目的地に着くまでは静かに見守ろうぜ。驚いて足を滑らせでもしたら大変だからな……。			そうだ、もしグルージャを見つけても、あいつが目的地に着くまでは静かに見守ろうぜ。驚いて足を滑らせでもしたら大変だからな……。			水没した街							
間もなくアリゼーが到着するはずだ。それまでは、アタシはここからグルージャを探すぜ。			間もなくアリゼーが到着するはずだ。それまでは、アタシはここからグルージャを探すぜ。			水没した街							
グルージャを見つけた！驚かさないように静かに追跡しよう……！			グルージャを見つけた！驚かさないように静かに追跡しよう……！			水没した街							
グルージャの「尾行」に再挑戦しますか？			グルージャの「尾行」に再挑戦しますか？			水没した街							
初めてグルージャが口を利いてくれたな！くぅ～っ！　嬉しいぜっ……！			初めてグルージャが口を利いてくれたな！くぅ～っ！　嬉しいぜっ……！			水没した街							
本当に無事でよかったわ。ついでに……このオーティスって機械なら、オブリビオンが知らないことも、知ってるかもしれないわね。			本当に無事でよかったわ。ついでに……このオーティスって機械なら、オブリビオンが知らないことも、知ってるかもしれないわね。			水没した街							
おなか空いてない……？オーティスのご飯はおいしいんだよ。			おなか空いてない……？オーティスのご飯はおいしいんだよ。			水没した街							
よーし、それじゃあ食材集めからだ！			よーし、それじゃあ食材集めからだ！			水没した街							
お主らにも手伝ってもらうぞ！みんなで作った方が、より楽しく、より美味くなるからな！			お主らにも手伝ってもらうぞ！みんなで作った方が、より楽しく、より美味くなるからな！			水没した街							
ああ、構わねぇぜ！アタシは何を手伝えばいい？			ああ、構わねぇぜ！アタシは何を手伝えばいい？			水没した街							
うむ、ではウクラマト殿とグルージャは、アウトスカーツで野菜を分けてもらってきてくれ。げんこつ芋と、ばくだんカボチャがあれば最高だ！			うむ、ではウクラマト殿とグルージャは、アウトスカーツで野菜を分けてもらってきてくれ。げんこつ芋と、ばくだんカボチャがあれば最高だ！			水没した街							
うん、わかった！いつもみたいに、廃棄しちゃうやつをもらってくるよ。			うん、わかった！いつもみたいに、廃棄しちゃうやつをもらってくるよ。			水没した街							
Forename殿とアリゼー殿には、ウールバックのロース肉を調達してきてもらいたい！			Forename殿とアリゼー殿には、ウールバックのロース肉を調達してきてもらいたい！			水没した街							
ウールバックは角が発達した魔物で、南東の岩地に棲息している。本来であれば牛肉を使うのだが……若い個体ならば、臭みも少なく肉も柔らかい！			ウールバックは角が発達した魔物で、南東の岩地に棲息している。本来であれば牛肉を使うのだが……若い個体ならば、臭みも少なく肉も柔らかい！			水没した街							
わかったわ。とびっきりのロース肉を持ってきてやろうじゃない！			わかったわ。とびっきりのロース肉を持ってきてやろうじゃない！			水没した街							
では皆の者、よろしく頼むぞ！ワタシはその間、下準備を進めておくとしよう。			では皆の者、よろしく頼むぞ！ワタシはその間、下準備を進めておくとしよう。			水没した街							
ハッハッハ！楽しくなってきたではないか！			ハッハッハ！楽しくなってきたではないか！			水没した街							
この辺りに居るって言ってたわよね。せっかくだし、どっちが早く倒せるか競争しましょうよ！			この辺りに居るって言ってたわよね。せっかくだし、どっちが早く倒せるか競争しましょうよ！			水没した街							
まさか、もう手伝いを終えたわけじゃないわよね？いくらなんでも早すぎるし……！			まさか、もう手伝いを終えたわけじゃないわよね？いくらなんでも早すぎるし……！			水没した街							
む……まさか、もう調達してきたのか？			む……まさか、もう調達してきたのか？			水没した街							
これは見事なロース肉！お主、なかなかやるではないか！			これは見事なロース肉！お主、なかなかやるではないか！			水没した街							
380年前なら、我が王国騎士団に勧誘していただろうな！ハッハッハッハ！			380年前なら、我が王国騎士団に勧誘していただろうな！ハッハッハッハ！			水没した街							
バックルームのウクラマトは、グルージャを探しにいきたいようだ。			バックルームのウクラマトは、グルージャを探しにいきたいようだ。			小さな君を探して							
エバーキープ前のウクラマトと話す			エバーキープ前のウクラマトと話す			小さな君を探して							
指定地点で見渡す			指定地点で見渡す			小さな君を探して							
ウクラマトと話す			ウクラマトと話す			小さな君を探して							
ウクラマトと再度話す			ウクラマトと再度話す			小さな君を探して							
面識がないとはいえ、自分の父親には変わりないんだから、「倒す」なんて聞いたら傷つくに決まってるわよね……。早く探しにいきましょう！			面識がないとはいえ、自分の父親には変わりないんだから、「倒す」なんて聞いたら傷つくに決まってるわよね……。早く探しにいきましょう！			小さな君を探して							
よし、すぐに下に向かおう！			よし、すぐに下に向かおう！			小さな君を探して							
いくら外を歩き慣れてるとはいえ、グルージャはまだ子どもだ……大人が傍にいてやらなくちゃ！			いくら外を歩き慣れてるとはいえ、グルージャはまだ子どもだ……大人が傍にいてやらなくちゃ！			小さな君を探して							
ええ……。とはいえ、こちらもいつまでも悠長にはしてられない……ラハたちには、引き続き情報を集めていてもらうことにしたわ。			ええ……。とはいえ、こちらもいつまでも悠長にはしてられない……ラハたちには、引き続き情報を集めていてもらうことにしたわ。			小さな君を探して							
じゃあひとまず、この3人でヘリテージファウンドに下りて、エバーキープの前に集まろう！			じゃあひとまず、この3人でヘリテージファウンドに下りて、エバーキープの前に集まろう！			小さな君を探して							
ヘリテージファウンドといっても、広いものね……。手分けして探さないと。			ヘリテージファウンドといっても、広いものね……。手分けして探さないと。			小さな君を探して							
下りてきたはいいが、手がかりも何もないんじゃ、どこから探していいかわからねぇな……。			下りてきたはいいが、手がかりも何もないんじゃ、どこから探していいかわからねぇな……。			小さな君を探して							
そうね……せめて目撃情報があればいいんだけど……。ひとまず、集落を中心に聞き込みしてみましょう！			そうね……せめて目撃情報があればいいんだけど……。ひとまず、集落を中心に聞き込みしてみましょう！			小さな君を探して							
ああ、そうだな。じゃあ、アウトスカーツはアリゼーに任せていいか？			ああ、そうだな。じゃあ、アウトスカーツはアリゼーに任せていいか？			小さな君を探して							
アタシとForenameで、まだ行ったことのない西側の区画を探そう！			アタシとForenameで、まだ行ったことのない西側の区画を探そう！			小さな君を探して							
グルージャ……どこに行っちまったんだ……。			グルージャ……どこに行っちまったんだ……。			小さな君を探して							
この辺りにグルージャの姿はない……。しかし、南西の坂の下に集落らしきものが見える。			この辺りにグルージャの姿はない……。しかし、南西の坂の下に集落らしきものが見える。			小さな君を探して							
なあ、あっちに集落が見えねぇか？行ってみようぜ、グルージャを見かけた人がいるかもしれねぇ！			なあ、あっちに集落が見えねぇか？行ってみようぜ、グルージャを見かけた人がいるかもしれねぇ！			小さな君を探して							
ふむ……知らない人の足音だね。			ふむ……知らない人の足音だね。			小さな君を探して							
集落にしては、ガレキばっかりの場所だが……誰かグルージャを見てないか聞いてみようぜ。			集落にしては、ガレキばっかりの場所だが……誰かグルージャを見てないか聞いてみようぜ。			小さな君を探して							
……グルージャはここにはいないよ。			……グルージャはここにはいないよ。			小さな君を探して							
お前、グルージャの知り合いか？あの子を探してるんだが……			お前、グルージャの知り合いか？あの子を探してるんだが……			小さな君を探して							
って、すまねぇ。もしかして、目が…………。			って、すまねぇ。もしかして、目が…………。			小さな君を探して							
気を遣うことではないよ。私の名前はタープ……目が見えずとも、音には人一倍敏感でね。だから、グルージャの足音だって聞き分けられる。			気を遣うことではないよ。私の名前はタープ……目が見えずとも、音には人一倍敏感でね。だから、グルージャの足音だって聞き分けられる。			小さな君を探して							
なら、ここには来てないってことか。いったい、どこに行っちまったんだ……。			なら、ここには来てないってことか。いったい、どこに行っちまったんだ……。			小さな君を探して							
ところで、お前さんたち……初めて聞く声だが、あの子とはどういう関係だね？なぜ、グルージャを探そうとする？			ところで、お前さんたち……初めて聞く声だが、あの子とはどういう関係だね？なぜ、グルージャを探そうとする？			小さな君を探して							
アタシは……グルージャの家族だ。血は繋がってねぇけど、あいつのオヤジは、アタシの義理の兄なんだ。			アタシは……グルージャの家族だ。血は繋がってねぇけど、あいつのオヤジは、アタシの義理の兄なんだ。			小さな君を探して							
だけど、グルージャとはまだ知り合ったばっかでさ。実を言うと、まともに話をしたこともねぇ……。			だけど、グルージャとはまだ知り合ったばっかでさ。実を言うと、まともに話をしたこともねぇ……。			小さな君を探して							
それなのに、これからアタシは……あいつから一生恨まれても仕方ないことをしなきゃならねぇ。だから、ちゃんと話がしてぇんだ。			それなのに、これからアタシは……あいつから一生恨まれても仕方ないことをしなきゃならねぇ。だから、ちゃんと話がしてぇんだ。			小さな君を探して							
血の繋がらぬ家族……もしや、あなた様は！？			血の繋がらぬ家族……もしや、あなた様は！？			小さな君を探して							
トライヨラの武王、ウクラマト。すべての業を背負う覚悟で、ここまで来た。			トライヨラの武王、ウクラマト。すべての業を背負う覚悟で、ここまで来た。			小さな君を探して							
ゾラージャはトライヨラに攻め入って、オヤジを殺し、罪のない民を大勢殺したんだ……。だから、国を護るためにゾラージャを倒さなきゃならねぇ。			ゾラージャはトライヨラに攻め入って、オヤジを殺し、罪のない民を大勢殺したんだ……。だから、国を護るためにゾラージャを倒さなきゃならねぇ。			小さな君を探して							
もちろんグルージャには、何の罪もねぇさ！武王の責務を果たすアタシを、嫌ったって恨んだっていい……！			もちろんグルージャには、何の罪もねぇさ！武王の責務を果たすアタシを、嫌ったって恨んだっていい……！			小さな君を探して							
だけど、あいつが誰かに助けを求めたくなったとき、駆けつけてやれる存在なんだってことを、知ってほしいんだ。それから……あいつのことも、もっと知りてぇと思ってる。			だけど、あいつが誰かに助けを求めたくなったとき、駆けつけてやれる存在なんだってことを、知ってほしいんだ。それから……あいつのことも、もっと知りてぇと思ってる。			小さな君を探して							
……兄君を討つということは、あなた様にとっても、痛みを伴うものなのでしょうな。いかに覚悟があれども……声の震えが、雄弁に物語っておられる。			……兄君を討つということは、あなた様にとっても、痛みを伴うものなのでしょうな。いかに覚悟があれども……声の震えが、雄弁に物語っておられる。			小さな君を探して							
グルージャはさきほどここを通り、あちらの方に向かいました。彼にとって、最も安心できる場所に向かったのでしょう。			グルージャはさきほどここを通り、あちらの方に向かいました。彼にとって、最も安心できる場所に向かったのでしょう。			小さな君を探して							
しっかりと話されるといい。			しっかりと話されるといい。			小さな君を探して							
そして願わくは彼の意思を知り、尊重してくだされ。かつてスフェーン様が、私たちトライヨラの民の想いを受け止め、こうして居場所を与えてくださったように……。			そして願わくは彼の意思を知り、尊重してくだされ。かつてスフェーン様が、私たちトライヨラの民の想いを受け止め、こうして居場所を与えてくださったように……。			小さな君を探して							
ああ、グルージャとまっすぐ向き合ってみるよ。			ああ、グルージャとまっすぐ向き合ってみるよ。			小さな君を探して							
だけど、スフェーンがお前たちの想いを受け止めたってのは……どういう意味だ？			だけど、スフェーンがお前たちの想いを受け止めたってのは……どういう意味だ？			小さな君を探して							
