オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
(-コフ＝コーグ-)では、こちらへ……。道中、砂漠を漂うイーアたちには気をつけてくれ。彼らはすぐにでも肉体がほしくてたまらないのさ。			(-コフ＝コーグ-)では、こちらへ……。道中、砂漠を漂うイーアたちには気をつけてくれ。彼らはすぐにでも肉体がほしくてたまらないのさ。			●の限界●●明し●星							
なんだか、思ったより普通に話せる相手だったわね……。			なんだか、思ったより普通に話せる相手だったわね……。			●の限界●●明し●星							
……忘れてはいけないわ。ウルティマ・トゥーレに存在している以上、彼らは本気で終わりを望み、成し遂げてしまったのだとね。			……忘れてはいけないわ。ウルティマ・トゥーレに存在している以上、彼らは本気で終わりを望み、成し遂げてしまったのだとね。			●の限界●●明し●星							
肉体を持たざる、朽ちることなき者たちの文明……終わりを望んだのは……いったい何故……？			肉体を持たざる、朽ちることなき者たちの文明……終わりを望んだのは……いったい何故……？			●の限界●●明し●星							
とにかく、彼の行った方向へ……「イーアの里」に行ってみましょう。			とにかく、彼の行った方向へ……「イーアの里」に行ってみましょう。			●の限界●●明し●星							
これが……「里」なのか……？			これが……「里」なのか……？			●の限界●●明し●星							
誰もいないように見えるけど……。			誰もいないように見えるけど……。			●の限界●●明し●星							
竜たちの集落も、重い沈黙に包まれていましたが……こちらはまるで、皆眠っているかのようですね。			竜たちの集落も、重い沈黙に包まれていましたが……こちらはまるで、皆眠っているかのようですね。			●の限界●●明し●星							
肉体なき者たちの里だもの。私たちの知るそれと、違っているのも当然か……。			肉体なき者たちの里だもの。私たちの知るそれと、違っているのも当然か……。			●の限界●●明し●星							
ここにも紫色のクリスタルか。星空の色と相まって、妙に不穏だな……。			ここにも紫色のクリスタルか。星空の色と相まって、妙に不穏だな……。			●の限界●●明し●星							
ここが「イーアの里」だ。私以外は今、家の中で、だらけているがね。			ここが「イーアの里」だ。私以外は今、家の中で、だらけているがね。			●の限界●●明し●星							
ほら、石状支柱に、水滴のようなクリスタルがついているだろう？あれが我々の家なのだよ。			ほら、石状支柱に、水滴のようなクリスタルがついているだろう？あれが我々の家なのだよ。			●の限界●●明し●星							
みんな、だらけているですって？あなたたち懐古主義者は、肉体を再現するために試行錯誤しているのではないの？			みんな、だらけているですって？あなたたち懐古主義者は、肉体を再現するために試行錯誤しているのではないの？			●の限界●●明し●星							
おお……素晴らしい……！まるで定命の生命体のような物言いじゃないか！……いや、君たちは実際にそうなのだろうがね。			おお……素晴らしい……！まるで定命の生命体のような物言いじゃないか！……いや、君たちは実際にそうなのだろうがね。			●の限界●●明し●星							
いいかい、私たちに、意欲的な研究などというものは、もう必要ない。したいと望んでもいない……。			いいかい、私たちに、意欲的な研究などというものは、もう必要ない。したいと望んでもいない……。			●の限界●●明し●星							
精々、微睡んでいるうちに何か思い立てば、起きて試してみる程度だよ。私はちょうどそのタイミングだったのさ。			精々、微睡んでいるうちに何か思い立てば、起きて試してみる程度だよ。私はちょうどそのタイミングだったのさ。			●の限界●●明し●星							
かといって、だらけることを必要としているわけでもないから、皆、声を掛ければ出てくることだろう。			かといって、だらけることを必要としているわけでもないから、皆、声を掛ければ出てくることだろう。			●の限界●●明し●星							
さあ、好きな「イーアの家」に交感し、中にいる同胞に語りかけてみるといい。			さあ、好きな「イーアの家」に交感し、中にいる同胞に語りかけてみるといい。			●の限界●●明し●星							
どれでも、好きな「イーアの家」に、交感してみるといい。中にいる者が応えてくれるはずだ。			どれでも、好きな「イーアの家」に、交感してみるといい。中にいる者が応えてくれるはずだ。			●の限界●●明し●星							
これが住居とは……だが、肉体なき精神体が宿る場所としては、道理なのだろうね。			これが住居とは……だが、肉体なき精神体が宿る場所としては、道理なのだろうね。			●の限界●●明し●星							
エーテライトにするみたいに、交感をすればいいのよね……？なんだか、途切れ途切れの呻きみたいなものしか、聞こえないんだけど……。			エーテライトにするみたいに、交感をすればいいのよね……？なんだか、途切れ途切れの呻きみたいなものしか、聞こえないんだけど……。			●の限界●●明し●星							
こちらの住居からは、反応がありません。深く眠っておいでなのでしょうか……あるいは……。			こちらの住居からは、反応がありません。深く眠っておいでなのでしょうか……あるいは……。			●の限界●●明し●星							
意欲的な研究は、もう必要ない……か。肉体を取り戻したいというのも、それほど切迫した願望ではないのかしら……？			意欲的な研究は、もう必要ない……か。肉体を取り戻したいというのも、それほど切迫した願望ではないのかしら……？			●の限界●●明し●星							
とにかく、ここで眠っているイーアたちを起こして、事情を聞かせてもらうとしましょう。			とにかく、ここで眠っているイーアたちを起こして、事情を聞かせてもらうとしましょう。			●の限界●●明し●星							
ここのイーアは、間もなく出てきてくれるそうだ。やっぱり、コフ＝コーグと同じような見た目なのかな……？			ここのイーアは、間もなく出てきてくれるそうだ。やっぱり、コフ＝コーグと同じような見た目なのかな……？			●の限界●●明し●星							
交感してみたが、反応がない。待ってみても、ただただ沈黙を続けている……。			交感してみたが、反応がない。待ってみても、ただただ沈黙を続けている……。			●の限界●●明し●星							
(-脳裏に響く声-)……ナ……シ……ハナシが……したいと……？			(-脳裏に響く声-)……ナ……シ……ハナシが……したいと……？			●の限界●●明し●星							
(-脳裏に響く声-)ああ……構わないとも……。すぐに支度をして……出ていこう……。			(-脳裏に響く声-)ああ……構わないとも……。すぐに支度をして……出ていこう……。			●の限界●●明し●星							
(-脳裏に響く声-)……僕らが、どうして終わりたいのかって？いいよ、話をしてあげよう。			(-脳裏に響く声-)……僕らが、どうして終わりたいのかって？いいよ、話をしてあげよう。			●の限界●●明し●星							
(-脳裏に響く声-)少し待っていてくれ……。形状……僕は……どんなだったか……。ずっと溶けていたからさ……わからなくて……。			(-脳裏に響く声-)少し待っていてくれ……。形状……僕は……どんなだったか……。ずっと溶けていたからさ……わからなくて……。			●の限界●●明し●星							
(-脳裏に響く声-)……ァ……アゥ……イィー…………。			(-脳裏に響く声-)……ァ……アゥ……イィー…………。			●の限界●●明し●星							
微かに、呻き声が聞こえてきたが、間もなく、それすらも聞こえなくなった。……こちらの要求が伝わったとは思えない。			微かに、呻き声が聞こえてきたが、間もなく、それすらも聞こえなくなった。……こちらの要求が伝わったとは思えない。			●の限界●●明し●星							
やあ君、首尾はどうだ？皆、話をしてくれると言っていたかい？			やあ君、首尾はどうだ？皆、話をしてくれると言っていたかい？			●の限界●●明し●星							
ああ、うまく対話できなかった者がいたのか。			ああ、うまく対話できなかった者がいたのか。			●の限界●●明し●星							
仕方ないね。長くだらけているうちに、思考まで溶けてしまう者がいるのさ。そうなった私たちは、ただの「少し濃いエーテル」だ。			仕方ないね。長くだらけているうちに、思考まで溶けてしまう者がいるのさ。そうなった私たちは、ただの「少し濃いエーテル」だ。			●の限界●●明し●星							
もうほかに住居をほしがる者もいないし、放置しておいても支障はないよ。それよりも、応答した同胞たちが出てくるのを待つとしよう。			もうほかに住居をほしがる者もいないし、放置しておいても支障はないよ。それよりも、応答した同胞たちが出てくるのを待つとしよう。			●の限界●●明し●星							
オストラコン・デカオクトのエスティニアンは、ため息をついている。			オストラコン・デカオクトのエスティニアンは、ため息をついている。			尊厳と平和							
ひとまず仲間たちに情報を共有しに戻ることになった。ウルティマ・トゥーレのリア・ターラにいる「アルフィノ」と話そう。			ひとまず仲間たちに情報を共有しに戻ることになった。ウルティマ・トゥーレのリア・ターラにいる「アルフィノ」と話そう。			尊厳と平和							
アルフィノたちと、どうしたら先に進めるか検討した。リア・ターラの北で「アル・エンド」を探そう。			アルフィノたちと、どうしたら先に進めるか検討した。リア・ターラの北で「アル・エンド」を探そう。			尊厳と平和							
エスティニアンが、竜星のドラゴン族が抱える想いとぶつかった。オストラコン・デカオクトの北端にいる「アルフィノ」と話そう。			エスティニアンが、竜星のドラゴン族が抱える想いとぶつかった。オストラコン・デカオクトの北端にいる「アルフィノ」と話そう。			尊厳と平和							
アルフィノは、風の集う場所を示した。オストラコン・デカオクトの北端にある「果ての竜巻」に触れ、移動先にある「指定地点」で待機しよう。			アルフィノは、風の集う場所を示した。オストラコン・デカオクトの北端にある「果ての竜巻」に触れ、移動先にある「指定地点」で待機しよう。			尊厳と平和							
オストラコン・デカオクトを突破し、仲間たちとも合流した。先に進めるのは、今もエスティニアンやサンクレッドが戦っているからだとアリゼーは言う。その事実を胸に、今はただ前へと歩んでいこう。			オストラコン・デカオクトを突破し、仲間たちとも合流した。先に進めるのは、今もエスティニアンやサンクレッドが戦っているからだとアリゼーは言う。その事実を胸に、今はただ前へと歩んでいこう。			尊厳と平和							
アルフィノと話す			アルフィノと話す			尊厳と平和							
アル・エンドを探す			アル・エンドを探す			尊厳と平和							
アルフィノと話す			アルフィノと話す			尊厳と平和							
果ての竜巻に触れ、指定地点で待機			果ての竜巻に触れ、指定地点で待機			尊厳と平和							
…………。			…………。			尊厳と平和							
……こいつはもう、話す気がないらしい。竜たちが何を嘆いているのか聞けただけ、上出来だと思っておくか……。			……こいつはもう、話す気がないらしい。竜たちが何を嘆いているのか聞けただけ、上出来だと思っておくか……。			尊厳と平和							
俺だって、かつては竜との奪い合いの渦中にいたんだ。こいつの言うとおり、争わなければ失わずに済んだものを、ごまんと知っている。			俺だって、かつては竜との奪い合いの渦中にいたんだ。こいつの言うとおり、争わなければ失わずに済んだものを、ごまんと知っている。			尊厳と平和							
だがな…………			だがな…………			尊厳と平和							
いや、ここで語るべきことでもないか……。			いや、ここで語るべきことでもないか……。			尊厳と平和							
見聞きしたことを、アルフィノたちにも伝えるぞ。一旦、最初の場所に戻るとしよう。			見聞きしたことを、アルフィノたちにも伝えるぞ。一旦、最初の場所に戻るとしよう。			尊厳と平和							
ああ、よかったわ……！あなたとも、ちゃんと合流できて。予想はしていたけれど、ここ、相当おかしな場所みたいなのよ。			ああ、よかったわ……！あなたとも、ちゃんと合流できて。予想はしていたけれど、ここ、相当おかしな場所みたいなのよ。			尊厳と平和							
私も、数体の竜から、お話を伺ってきました。あなたが受けた対応と、恐らく変わらないとは思いますが……。			私も、数体の竜から、お話を伺ってきました。あなたが受けた対応と、恐らく変わらないとは思いますが……。			尊厳と平和							
ひとまず、お互いの調査結果を共有しましょう。少しでも多く情報がほしいわ。			ひとまず、お互いの調査結果を共有しましょう。少しでも多く情報がほしいわ。			尊厳と平和							
あんたも、おかえり。……竜たちの様子は、どうだった？			あんたも、おかえり。……竜たちの様子は、どうだった？			尊厳と平和							
こいつらも、ちょうど戻ってきたようだな。あの竜の親子の話をしてやるか……。			こいつらも、ちょうど戻ってきたようだな。あの竜の親子の話をしてやるか……。			尊厳と平和							
君たちも無事に戻ってくれて、一安心だ……。さっそくだが、竜たちの様子を聞かせてくれるかい？			君たちも無事に戻ってくれて、一安心だ……。さっそくだが、竜たちの様子を聞かせてくれるかい？			尊厳と平和							
……争いの連鎖、戦いの輪廻からの脱却……か。			……争いの連鎖、戦いの輪廻からの脱却……か。			尊厳と平和							
彼らの状況がわかったことは大きいと思う。ありがとうForename、エスティニアン。			彼らの状況がわかったことは大きいと思う。ありがとうForename、エスティニアン。			尊厳と平和							
……次は、私たちからも報告させてくれ。			……次は、私たちからも報告させてくれ。			尊厳と平和							
まず、ほかの浮島に行く道がないかという調査だが……この島をひとまわりしてみたものの、見つけることができなかった。			まず、ほかの浮島に行く道がないかという調査だが……この島をひとまわりしてみたものの、見つけることができなかった。			尊厳と平和							
これだけ瓦礫が浮いていれば、整った道でなくとも、どこか飛び移れる場所があるんじゃないか？			これだけ瓦礫が浮いていれば、整った道でなくとも、どこか飛び移れる場所があるんじゃないか？			尊厳と平和							
それが……どうやら不可能らしい。試しに、この浮島の端から、別の浮島に向かって小石を投げてみたんだ。			それが……どうやら不可能らしい。試しに、この浮島の端から、別の浮島に向かって小石を投げてみたんだ。			尊厳と平和							
すると、何故か真上から小石が落ちてきた。メーティオンの言ったとおり、見えているとおりの場所ではないのだろうね……。			すると、何故か真上から小石が落ちてきた。メーティオンの言ったとおり、見えているとおりの場所ではないのだろうね……。			尊厳と平和							
一度ラグナロクに戻って、船の機能で探索ができないかも試してもらったの。			一度ラグナロクに戻って、船の機能で探索ができないかも試してもらったの。			尊厳と平和							
でも、船の周辺以外は、結果がめちゃくちゃ！ラグナロクを浮上させるのも危ないみたいで、隣の島まで、ひとっ飛びとはいかなかったわ。			でも、船の周辺以外は、結果がめちゃくちゃ！ラグナロクを浮上させるのも危ないみたいで、隣の島まで、ひとっ飛びとはいかなかったわ。			尊厳と平和							
あとは、「想いだけが真実になる」ってところに着目して、「あっち側に渡りたい」って強く願ったりもしてみた。残念ながら、何の効果もなかったけどな……。			あとは、「想いだけが真実になる」ってところに着目して、「あっち側に渡りたい」って強く願ったりもしてみた。残念ながら、何の効果もなかったけどな……。			尊厳と平和							
……早い話が、この浮島から出られないってことか。			……早い話が、この浮島から出られないってことか。			尊厳と平和							
本当に、想いが真実になるとして……ドラゴン族の想いが何より勝っているから、先に行けなくなっている……という線はないかしら？			本当に、想いが真実になるとして……ドラゴン族の想いが何より勝っているから、先に行けなくなっている……という線はないかしら？			尊厳と平和							
彼らは争いに疲れ、二度とそれに加わることなく滅びる道を選んだ。つまり、終わることを望んでいる……。			彼らは争いに疲れ、二度とそれに加わることなく滅びる道を選んだ。つまり、終わることを望んでいる……。			尊厳と平和							
それは、「ここを終点とする」願い。だから行き止まりになってしまうということよ。			それは、「ここを終点とする」願い。だから行き止まりになってしまうということよ。			尊厳と平和							
確かに、それなら筋が通るな。			確かに、それなら筋が通るな。			尊厳と平和							
しかし、だとすると、どうやって突破したものか……。竜たちを説得していく……？			しかし、だとすると、どうやって突破したものか……。竜たちを説得していく……？			尊厳と平和							
いや、彼らだって、長い歴史を経て正論(こたえ)を得たんだ。未来の展望も示せない状況で、説き伏せるなど……。			いや、彼らだって、長い歴史を経て正論(こたえ)を得たんだ。未来の展望も示せない状況で、説き伏せるなど……。			尊厳と平和							
……対話で納得してもらう必要は、ないのかもしれないわ。			……対話で納得してもらう必要は、ないのかもしれないわ。			尊厳と平和							
サンクレッドは、私たちを消滅させようとする意志に対し、「護る」という想いを貫いてみせた……。			サンクレッドは、私たちを消滅させようとする意志に対し、「護る」という想いを貫いてみせた……。			尊厳と平和							
それがウルティマ・トゥーレを創りかえたのだから、同じようにすれば……恐らくは……。			それがウルティマ・トゥーレを創りかえたのだから、同じようにすれば……恐らくは……。			尊厳と平和							
……何にせよ、今度は事情を聞くだけではなく、もっと竜たちの想いに踏み込んでみる必要があるかと。			……何にせよ、今度は事情を聞くだけではなく、もっと竜たちの想いに踏み込んでみる必要があるかと。			尊厳と平和							
実は、私が探索をした際に、酷く沈んだ様子で、ほとんど話を伺えなかった竜がいたのです。			実は、私が探索をした際に、酷く沈んだ様子で、ほとんど話を伺えなかった竜がいたのです。			尊厳と平和							
私の話術が至らぬせいもあるかと思いますので……次は皆さんから、声を掛けてはいただけないでしょうか？			私の話術が至らぬせいもあるかと思いますので……次は皆さんから、声を掛けてはいただけないでしょうか？			尊厳と平和							
かの竜は、ここからさらに奥へと進んだところにある、別の水場のそばにいらっしゃいます。ことに古き竜で、名を「アル・エンド」と言うそうです。			かの竜は、ここからさらに奥へと進んだところにある、別の水場のそばにいらっしゃいます。ことに古き竜で、名を「アル・エンド」と言うそうです。			尊厳と平和							
よし……行ってみましょう！			よし……行ってみましょう！			尊厳と平和							
エスティニアンを、引き留めることすらできなかった……。こうなるって知ってたら、私……！			エスティニアンを、引き留めることすらできなかった……。こうなるって知ってたら、私……！			尊厳と平和							
……ううん。知っててもきっと、止められなかったんでしょうね……。そんなこと……わかってるわ……。			……ううん。知っててもきっと、止められなかったんでしょうね……。そんなこと……わかってるわ……。			尊厳と平和							
吹く風は、猛き竜の羽ばたきのごとく……。この星の竜が天を舞うことをやめても、彼らは……。			吹く風は、猛き竜の羽ばたきのごとく……。この星の竜が天を舞うことをやめても、彼らは……。			尊厳と平和							
ああ……やはり……そうなのね…………。			ああ……やはり……そうなのね…………。			尊厳と平和							
風で、このあたり一帯を覆っていた霧が、流されたみたいだ……そのせいか、息が詰まる感じが薄れた気がする……。			風で、このあたり一帯を覆っていた霧が、流されたみたいだ……そのせいか、息が詰まる感じが薄れた気がする……。			尊厳と平和							
風が一点に流れ込み、力強く渦巻いている……。			風が一点に流れ込み、力強く渦巻いている……。			尊厳と平和							
見てくれ……。風の流れが、そこに集まっているんだ……。			見てくれ……。風の流れが、そこに集まっているんだ……。			尊厳と平和							
触れてみよう。エスティニアンの想いは……それでわかるはずだ……。			触れてみよう。エスティニアンの想いは……それでわかるはずだ……。			尊厳と平和							
……すまない……君から、頼む……。			……すまない……君から、頼む……。			尊厳と平和							
力強い風が身体を舞い上げ、この場所まで運んでくれた……。仲間たちも、間もなくこちらへ昇ってくるだろう。			力強い風が身体を舞い上げ、この場所まで運んでくれた……。仲間たちも、間もなくこちらへ昇ってくるだろう。			尊厳と平和							
…………先へ進めたね。			…………先へ進めたね。			尊厳と平和							
あの場所の竜たちが抱いていた想い……それを浴びせられても、エスティニアンは貫いたんだ。			あの場所の竜たちが抱いていた想い……それを浴びせられても、エスティニアンは貫いたんだ。			尊厳と平和							
戦った者の誇りを……だからこそ進んでこられたし、進めるのだという想いを……。			戦った者の誇りを……だからこそ進んでこられたし、進めるのだという想いを……。			尊厳と平和							
……ただ貫いたんじゃないわ。今も、貫き続けてるのよ。			……ただ貫いたんじゃないわ。今も、貫き続けてるのよ。			尊厳と平和							
サンクレッドだって、エスティニアンだって……デュナミスに身体を消し飛ばされても、まだ戦ってくれている。			サンクレッドだって、エスティニアンだって……デュナミスに身体を消し飛ばされても、まだ戦ってくれている。			尊厳と平和							
だから私たちはここに存在できるし、この場所に進んでこられたんでしょう……？			だから私たちはここに存在できるし、この場所に進んでこられたんでしょう……？			尊厳と平和							
行きましょう……今はただ、進めるだけ前へ……！			行きましょう……今はただ、進めるだけ前へ……！			尊厳と平和							
リア・ターラのウリエンジェは、沈痛な面持ちだ。			リア・ターラのウリエンジェは、沈痛な面持ちだ。			あらゆる■は淀み腐って							
リア・ターラで情報収集			リア・ターラで情報収集			あらゆる■は淀み腐って							
アーム・ノールで異変を探す			アーム・ノールで異変を探す			あらゆる■は淀み腐って							
割れた卵を調べる			割れた卵を調べる			あらゆる■は淀み腐って							
割れた卵をさらに調べる			割れた卵をさらに調べる			あらゆる■は淀み腐って							
アーム・ノール付近で子竜を探す			アーム・ノール付近で子竜を探す			あらゆる■は淀み腐って							
虚ろな様子の親竜と話す			虚ろな様子の親竜と話す			あらゆる■は淀み腐って							
レポリットたちの驚きは、間違っていなかったんだ……。人が生存可能な環境なんて、ここにあるはずがなかった。それを、サンクレッドが覆してくれたんだ……。			レポリットたちの驚きは、間違っていなかったんだ……。人が生存可能な環境なんて、ここにあるはずがなかった。それを、サンクレッドが覆してくれたんだ……。			あらゆる■は淀み腐って							
まさか、これでお別れなんてこと、ないわよね……？だって、彼の魂は……まだ……。			まさか、これでお別れなんてこと、ないわよね……？だって、彼の魂は……まだ……。			あらゆる■は淀み腐って							
彼が、ウルティマ・トゥーレを認識できる形に変えた。私にまで視えているのは、そのせいなのね。本当に……よく気づく人だこと……。			彼が、ウルティマ・トゥーレを認識できる形に変えた。私にまで視えているのは、そのせいなのね。本当に……よく気づく人だこと……。			あらゆる■は淀み腐って							
サンクレッドは貫いたのか……。息さえできない、あの混乱の中で……譲れない一念を……。			サンクレッドは貫いたのか……。息さえできない、あの混乱の中で……譲れない一念を……。			あらゆる■は淀み腐って							
狙いは的確だったはず……だが、メーティオンは俺の槍をかわしおおせた。			狙いは的確だったはず……だが、メーティオンは俺の槍をかわしおおせた。			あらゆる■は淀み腐って							
癪だが、奴の言うとおり、「見えるだけでは触れられない」ということか……。なら、どうしたら肉薄できる……！			癪だが、奴の言うとおり、「見えるだけでは触れられない」ということか……。なら、どうしたら肉薄できる……！			あらゆる■は淀み腐って							
…………肉体を失い、魂だけとなることを、何と呼ぶか。私とて、知らぬわけではございません。			…………肉体を失い、魂だけとなることを、何と呼ぶか。私とて、知らぬわけではございません。			あらゆる■は淀み腐って							
ですが私たちは、第一世界において、それと近しい状態にあったのです……。			ですが私たちは、第一世界において、それと近しい状態にあったのです……。			あらゆる■は淀み腐って							
あのときとは事情が違うとわかっていても……嘆いて立ち止まるよりは、信じたい。彼は「生きて」私たちを護っているのだと……。			あのときとは事情が違うとわかっていても……嘆いて立ち止まるよりは、信じたい。彼は「生きて」私たちを護っているのだと……。			あらゆる■は淀み腐って							
……調査を進めましょう。さきほど見たとおり、メーティオンを追いかけるだけでなく、ウルティマ・トゥーレを理解する必要があるようです。			……調査を進めましょう。さきほど見たとおり、メーティオンを追いかけるだけでなく、ウルティマ・トゥーレを理解する必要があるようです。			あらゆる■は淀み腐って							
まずは、この場所から……。竜にお詳しい、あなたとエスティニアン……そして私で、ここに集いしドラゴン族の調査を。			まずは、この場所から……。竜にお詳しい、あなたとエスティニアン……そして私で、ここに集いしドラゴン族の調査を。			あらゆる■は淀み腐って							
ほかの皆さんには、取り急ぎ、地形の確認をお願いしたく。先に進める道があるかどうかなど、調べていただいて、よろしいでしょうか……？			ほかの皆さんには、取り急ぎ、地形の確認をお願いしたく。先に進める道があるかどうかなど、調べていただいて、よろしいでしょうか……？			あらゆる■は淀み腐って							
了解だ。ひととおり調べ終えたら、このあたりに戻ってこよう。			了解だ。ひととおり調べ終えたら、このあたりに戻ってこよう。			あらゆる■は淀み腐って							
メーティオンによれば、ここにいる竜は、滅亡する前の末期の姿……魂なき、その再現体……。			メーティオンによれば、ここにいる竜は、滅亡する前の末期の姿……魂なき、その再現体……。			あらゆる■は淀み腐って							
私たちが知っている竜と、同じように話せるとはかぎらない。三人とも、くれぐれも気をつけてくれ。			私たちが知っている竜と、同じように話せるとはかぎらない。三人とも、くれぐれも気をつけてくれ。			あらゆる■は淀み腐って							
私たちは、手分けして竜の話を聞くところから始めましょう。			私たちは、手分けして竜の話を聞くところから始めましょう。			あらゆる■は淀み腐って							
ああ……小さき者よ……我が星に降りた流星よ……。			ああ……小さき者よ……我が星に降りた流星よ……。			あらゆる■は淀み腐って							
その細き手に、病のひとつも抱えていたなら……その吐く息が、血潮の熱を奪い去るなら……どんなにか君を愛せただろう……。			その細き手に、病のひとつも抱えていたなら……その吐く息が、血潮の熱を奪い去るなら……どんなにか君を愛せただろう……。			あらゆる■は淀み腐って							
私たちは待っているんだ。時がこの命を漂(さら)し、身は朽ちて、死に還ることを。			私たちは待っているんだ。時がこの命を漂(さら)し、身は朽ちて、死に還ることを。			あらゆる■は淀み腐って							
君がもし、私たちに問い、語り、諭そうというのならば、どうか何もせずに立ち去ってほしい……。ここに必要なのは静寂……ただ、静寂なのだ……。			君がもし、私たちに問い、語り、諭そうというのならば、どうか何もせずに立ち去ってほしい……。ここに必要なのは静寂……ただ、静寂なのだ……。			あらゆる■は淀み腐って							
静寂を乱さないでくれ……。音は、時の流れを正しく刻ませる……。意識を棄ててなお永き時を、どうしてそれで耐えられる？			静寂を乱さないでくれ……。音は、時の流れを正しく刻ませる……。意識を棄ててなお永き時を、どうしてそれで耐えられる？			あらゆる■は淀み腐って							
遠い……遠い……すべては霧の向こうだ……。鮮やかなものは、何もかも……。			遠い……遠い……すべては霧の向こうだ……。鮮やかなものは、何もかも……。			あらゆる■は淀み腐って							
我ら竜は、愛であった……力であった……誇りであった……。高潔であろうとし、事実、それそのものだった……。			我ら竜は、愛であった……力であった……誇りであった……。高潔であろうとし、事実、それそのものだった……。			あらゆる■は淀み腐って							
だというのに、敗れたのだ……。あの黒と鈍色の兵団に……血の繋がりを持たず、信念すらもない兵器(もの)たちに。			だというのに、敗れたのだ……。あの黒と鈍色の兵団に……血の繋がりを持たず、信念すらもない兵器(もの)たちに。			あらゆる■は淀み腐って							
あぁ……敗北は我らの威風を止めた……。大気は淀み、我らは沈む……。すべては霧の向こうだ……鮮やかなものは、何もかも……。			あぁ……敗北は我らの威風を止めた……。大気は淀み、我らは沈む……。すべては霧の向こうだ……鮮やかなものは、何もかも……。			あらゆる■は淀み腐って							
このまま静かに眠らせてくれ……。霧の向こうを想うのは、もう、疲れた……。			このまま静かに眠らせてくれ……。霧の向こうを想うのは、もう、疲れた……。			あらゆる■は淀み腐って							
聞く……？いったい、何を聞くというのか……。			聞く……？いったい、何を聞くというのか……。			あらゆる■は淀み腐って							
この世の愚かしさが、我を石へと変えたのだ。石は羽ばたかず、語らわず、咆哮を上げもしないが、静観と沈黙はもっとも利口だ。			この世の愚かしさが、我を石へと変えたのだ。石は羽ばたかず、語らわず、咆哮を上げもしないが、静観と沈黙はもっとも利口だ。			あらゆる■は淀み腐って							
ただひとつ、あの光景だけが、今も我の喉を震わせる。外れの岩地の「アーム・ノール」……謳われなかった竜詩たち……。			ただひとつ、あの光景だけが、今も我の喉を震わせる。外れの岩地の「アーム・ノール」……謳われなかった竜詩たち……。			あらゆる■は淀み腐って							
いかにして、あれを語れようか。竜詩でも……ましてや言葉などでは……。然して我はまた、石へと戻るのだ……。			いかにして、あれを語れようか。竜詩でも……ましてや言葉などでは……。然して我はまた、石へと戻るのだ……。			あらゆる■は淀み腐って							
石に語るべき言葉はない……。知りたくば訪ね、見るがいい。理解するには程遠かろうがな……。			石に語るべき言葉はない……。知りたくば訪ね、見るがいい。理解するには程遠かろうがな……。			あらゆる■は淀み腐って							
外れの岩地の「アーム・ノール」……我らの絶望……我らの終わり……。			外れの岩地の「アーム・ノール」……我らの絶望……我らの終わり……。			あらゆる■は淀み腐って							
ああ、お前もここを見に来たのか？俺も、「アーム・ノールこそ絶望と終わりの象徴」と聞いて、気にかかったものでな……。			ああ、お前もここを見に来たのか？俺も、「アーム・ノールこそ絶望と終わりの象徴」と聞いて、気にかかったものでな……。			あらゆる■は淀み腐って							
ここは、竜が卵を孵す場所のようだ。アーテリスでも、同じような竜の巣を見たことがある。			ここは、竜が卵を孵す場所のようだ。アーテリスでも、同じような竜の巣を見たことがある。			あらゆる■は淀み腐って							
……やはり、竜は竜か。ここはミドガルズオルムの故郷、その末期の再現なんだろうよ。			……やはり、竜は竜か。ここはミドガルズオルムの故郷、その末期の再現なんだろうよ。			あらゆる■は淀み腐って							
ヴリトラは、故郷の星を戦乱で追われたと言っていたが……この様子だと、ミドガルズオルムが離れたあとに、完全に敗北したようだな……。			ヴリトラは、故郷の星を戦乱で追われたと言っていたが……この様子だと、ミドガルズオルムが離れたあとに、完全に敗北したようだな……。			あらゆる■は淀み腐って							
ともかく、ここの卵を調べてみるか。絶望と終わりの象徴とくれば、予想はできるがな……。			ともかく、ここの卵を調べてみるか。絶望と終わりの象徴とくれば、予想はできるがな……。			あらゆる■は淀み腐って							
それにしても、酷い匂いだ……。風がないから余計に、腐臭が籠っていやがる……。			それにしても、酷い匂いだ……。風がないから余計に、腐臭が籠っていやがる……。			あらゆる■は淀み腐って							
割れた卵の中に、ドラゴン族の幼生体が横たわっている。……すでに腐敗の始まった死骸のようだ。			割れた卵の中に、ドラゴン族の幼生体が横たわっている。……すでに腐敗の始まった死骸のようだ。			あらゆる■は淀み腐って							
死骸は、生乾きの粘液にまみれている。うまく孵れなかったのだろうか……。			死骸は、生乾きの粘液にまみれている。うまく孵れなかったのだろうか……。			あらゆる■は淀み腐って							
腐臭を放つ粘液が、殻の中に溜まっている。色は濁り毒々しい……何らかの汚染を受けているのだろうか？			腐臭を放つ粘液が、殻の中に溜まっている。色は濁り毒々しい……何らかの汚染を受けているのだろうか？			あらゆる■は淀み腐って							
濁った粘液の中に沈んでいる大きな殻を、静かに持ち上げてみた。形さえも定かでない「何か」の塊が、粘液に浸っている……。			濁った粘液の中に沈んでいる大きな殻を、静かに持ち上げてみた。形さえも定かでない「何か」の塊が、粘液に浸っている……。			あらゆる■は淀み腐って							
