忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
異端者を討伐した。ファルコンネストの「レッドワルド」に報告しよう。			異端者を討伐した。ファルコンネストの「レッドワルド」に報告しよう。			異端者の出自							
レッドワルドに報告した。異端者の中には、生きるために徒党に加わった罪人もいるようだ。			レッドワルドに報告した。異端者の中には、生きるために徒党に加わった罪人もいるようだ。			異端者の出自							
デュランデル家の騎兵と話す			デュランデル家の騎兵と話す			異端者の出自							
ヘムロックで異端者を討伐			ヘムロックで異端者を討伐			異端者の出自							
レッドワルドに報告			レッドワルドに報告			異端者の出自							
貴公、ひとつ任務を任せてもいいだろうか。我々は常々、異端者の動向を追っているのだが、その調査に協力してもらいたいのだ。			貴公、ひとつ任務を任せてもいいだろうか。我々は常々、異端者の動向を追っているのだが、その調査に協力してもらいたいのだ。			異端者の出自							
ここから北にある廃村「ヘムロック」の門の近くに、斥候として放った部下がいるはず。部下から話を聞き、力を貸してやってくれ。			ここから北にある廃村「ヘムロック」の門の近くに、斥候として放った部下がいるはず。部下から話を聞き、力を貸してやってくれ。			異端者の出自							
ここから北にある廃村「ヘムロック」の門の近くに、斥候として放った部下がいるはず。部下から話を聞き、力を貸してやってくれ。			ここから北にある廃村「ヘムロック」の門の近くに、斥候として放った部下がいるはず。部下から話を聞き、力を貸してやってくれ。			異端者の出自							
……援軍ですって？　助かります！実はこの先に、異端者が潜伏しているようなのです。廃村を新たなアジトにでもするつもりでしょうか。			……援軍ですって？　助かります！実はこの先に、異端者が潜伏しているようなのです。廃村を新たなアジトにでもするつもりでしょうか。			異端者の出自							
私は、ここで逃げ出す者がいないか見張りましょう。貴方は廃村内に潜む、4名の異端者の排除をお願いします。任務完了後には、ぜひ「レッドワルド」卿に報告を！			私は、ここで逃げ出す者がいないか見張りましょう。貴方は廃村内に潜む、4名の異端者の排除をお願いします。任務完了後には、ぜひ「レッドワルド」卿に報告を！			異端者の出自							
私は、ここで逃げ出す者がいないか見張りましょう。貴方は廃村内に潜む、4名の異端者の排除をお願いします。任務完了後には、ぜひ「レッドワルド」卿に報告を！			私は、ここで逃げ出す者がいないか見張りましょう。貴方は廃村内に潜む、4名の異端者の排除をお願いします。任務完了後には、ぜひ「レッドワルド」卿に報告を！			異端者の出自							
無事に任務をやり遂げてくれたようだな、感謝するぞ。しかし奴らめ、このところ増える一方だ……。			無事に任務をやり遂げてくれたようだな、感謝するぞ。しかし奴らめ、このところ増える一方だ……。			異端者の出自							
一様に異端者と言っても、思想だけでなるわけではない。皇都で罪を犯した罪人らが徒党を組み、生きるために、ドラゴン族に協力するような場合もある。			一様に異端者と言っても、思想だけでなるわけではない。皇都で罪を犯した罪人らが徒党を組み、生きるために、ドラゴン族に協力するような場合もある。			異端者の出自							
どんな理由があろうとも、異端者を認めるわけにはいかないが、世知辛い世の中であることは確かだな……。			どんな理由があろうとも、異端者を認めるわけにはいかないが、世知辛い世の中であることは確かだな……。			異端者の出自							
宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
宝杖通りの商人マスは、発注書をなくしてしまったらしい。イシュガルドの「聖アンダリム神学院」に赴き、書棚や机にある「正教法大全」を調べたり、神学生から話を聞いたりして、不足している「正教法大全」を割り出そう。聖アンダリム神学院へは、上層の聖レマノー大聖堂にいる「神学院の司祭」が案内してくれるようだ。			宝杖通りの商人マスは、発注書をなくしてしまったらしい。イシュガルドの「聖アンダリム神学院」に赴き、書棚や机にある「正教法大全」を調べたり、神学生から話を聞いたりして、不足している「正教法大全」を割り出そう。聖アンダリム神学院へは、上層の聖レマノー大聖堂にいる「神学院の司祭」が案内してくれるようだ。			聖アンダリム神学院の消えた書物							
不足している「正教法大全」を調べた。書棚には1～9巻が並んでいたが、4巻と6巻は抜けていた。別の書棚には6巻が収められていた。机の上には10巻が置いてあった。テオモサンは12巻と13巻を借りていた。アルションバダンは最終巻を借りていた。レイは借りた巻を覚えていなかったが、ジャンシェトは自分の探している4巻をレイが延滞していると言っていた。宝杖通りの「マス」に、報告しよう。			不足している「正教法大全」を調べた。書棚には1～9巻が並んでいたが、4巻と6巻は抜けていた。別の書棚には6巻が収められていた。机の上には10巻が置いてあった。テオモサンは12巻と13巻を借りていた。アルションバダンは最終巻を借りていた。レイは借りた巻を覚えていなかったが、ジャンシェトは自分の探している4巻をレイが延滞していると言っていた。宝杖通りの「マス」に、報告しよう。			聖アンダリム神学院の消えた書物							
マスに報告した。これで彼は正しい「正教法大全」を納品して、「聖アンダリム神学院」の信用を失わずにすむだろう。			マスに報告した。これで彼は正しい「正教法大全」を納品して、「聖アンダリム神学院」の信用を失わずにすむだろう。			聖アンダリム神学院の消えた書物							
聖アンダリム神学院で正教法大全を探す			聖アンダリム神学院で正教法大全を探す			聖アンダリム神学院の消えた書物							
聖アンダリム神学院の神学生と話す			聖アンダリム神学院の神学生と話す			聖アンダリム神学院の消えた書物							
聖アンダリム神学院付近の神学生と話す			聖アンダリム神学院付近の神学生と話す			聖アンダリム神学院の消えた書物							
マスに報告			マスに報告			聖アンダリム神学院の消えた書物							
……おや、私を助けてくれるのですか？実は、お得意様の「聖アンダリム神学院」からの発注書を、無くしてしまったのです……。			……おや、私を助けてくれるのですか？実は、お得意様の「聖アンダリム神学院」からの発注書を、無くしてしまったのです……。			聖アンダリム神学院の消えた書物							
全14巻の「正教法大全」の一冊を注文されたものの、どの巻を手配すべきか、わからなくなってしまったのです。これじゃあ、面目丸潰れです……。			全14巻の「正教法大全」の一冊を注文されたものの、どの巻を手配すべきか、わからなくなってしまったのです。これじゃあ、面目丸潰れです……。			聖アンダリム神学院の消えた書物							
「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			聖アンダリム神学院の消えた書物							
「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			聖アンダリム神学院の消えた書物							
「正教法大全」の1～9巻が並んでいる。しかし、4巻と6巻が見当たらないようだ。			「正教法大全」の1～9巻が並んでいる。しかし、4巻と6巻が見当たらないようだ。			聖アンダリム神学院の消えた書物							
「正教法大全」の6巻が収められている。			「正教法大全」の6巻が収められている。			聖アンダリム神学院の消えた書物							
「正教法大全」の10巻が置いてある。			「正教法大全」の10巻が置いてある。			聖アンダリム神学院の消えた書物							
はっ、す、すいません！「正教法大全」なら、12巻と13巻を借りています。			はっ、す、すいません！「正教法大全」なら、12巻と13巻を借りています。			聖アンダリム神学院の消えた書物							
貴方が、今すぐ必要なら、お渡ししますよ。内容が難しいので、なかなか読み進められなくて、僕が読破するまでには、時間がかかりそうですから……。			貴方が、今すぐ必要なら、お渡ししますよ。内容が難しいので、なかなか読み進められなくて、僕が読破するまでには、時間がかかりそうですから……。			聖アンダリム神学院の消えた書物							
えっ、本を読みたいわけじゃないんですか？それなら、お言葉に甘えてしばらく借りておきますね。聖職者を目指すなら、正教法の修得は必須ですから。			えっ、本を読みたいわけじゃないんですか？それなら、お言葉に甘えてしばらく借りておきますね。聖職者を目指すなら、正教法の修得は必須ですから。			聖アンダリム神学院の消えた書物							
「正教法大全」なら、12巻と13巻を借りています。			「正教法大全」なら、12巻と13巻を借りています。			聖アンダリム神学院の消えた書物							
あーん、「正教法大全」を探しているって？貴様、平民の分際で正教の法典を学ぼうというのか？はっ、無駄な努力を……。			あーん、「正教法大全」を探しているって？貴様、平民の分際で正教の法典を学ぼうというのか？はっ、無駄な努力を……。			聖アンダリム神学院の消えた書物							
確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			聖アンダリム神学院の消えた書物							
未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			聖アンダリム神学院の消えた書物							
確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			確かに、私は「正教法大全」を借りている。だが、それはもっとも難解とされる最終巻……。			聖アンダリム神学院の消えた書物							
未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			未来の高位聖職者となる私ならまだしも、貴様のような凡人では、一生理解できない内容だぞ。ハッ、どうしても学びたいなら、1巻でも繰り返し読んでおけ。			聖アンダリム神学院の消えた書物							
……あら、あなたも「正教法大全」を探しているの？私も、4巻を探しているところですの。			……あら、あなたも「正教法大全」を探しているの？私も、4巻を探しているところですの。			聖アンダリム神学院の消えた書物							
「正教法大全」は、イシュガルド正教の教会法を記した法典。特に複雑な制裁について扱う、12巻以降を理解するためには、基礎的な信仰生活を論じた4巻の暗記が必須ですから。			「正教法大全」は、イシュガルド正教の教会法を記した法典。特に複雑な制裁について扱う、12巻以降を理解するためには、基礎的な信仰生活を論じた4巻の暗記が必須ですから。			聖アンダリム神学院の消えた書物							
4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			聖アンダリム神学院の消えた書物							
4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			4巻を借りたレイが、延滞してることはわかってるんですが、彼は、いじめられっこを助けるのに忙しそうなもので、催促できないでいますの……。			聖アンダリム神学院の消えた書物							
ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			聖アンダリム神学院の消えた書物							
っていうのも、貴族組の嫌がらせが、お人よしのテオモサンに集中してしまってな……。幼馴染の俺が、陰ながら露払いしてるってわけさ。			っていうのも、貴族組の嫌がらせが、お人よしのテオモサンに集中してしまってな……。幼馴染の俺が、陰ながら露払いしてるってわけさ。			聖アンダリム神学院の消えた書物							
それでも、腹黒い貴族組の方が、卒業後には、高位の聖職者になるんだから、世の中は、何か間違ってるとしか思えないぜ……。			それでも、腹黒い貴族組の方が、卒業後には、高位の聖職者になるんだから、世の中は、何か間違ってるとしか思えないぜ……。			聖アンダリム神学院の消えた書物							
ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			ああ……「正教法大全」なら、一冊借りているぞ。だが、最近は本を開く暇もないほど忙しくて、何巻だったかは、すまんが覚えていないな……。			聖アンダリム神学院の消えた書物							
おお、神学院での調査は終わりましたか？それで、「正教法大全」のうち神学院に在庫がなかったのは、何巻だったでしょうか？			おお、神学院での調査は終わりましたか？それで、「正教法大全」のうち神学院に在庫がなかったのは、何巻だったでしょうか？			聖アンダリム神学院の消えた書物							
発注すべき「正教法大全」は？			発注すべき「正教法大全」は？			聖アンダリム神学院の消えた書物							
「1巻」だと思う			「1巻」だと思う			聖アンダリム神学院の消えた書物							
「4巻」かもしれない			「4巻」かもしれない			聖アンダリム神学院の消えた書物							
「6巻」かなぁ……			「6巻」かなぁ……			聖アンダリム神学院の消えた書物							
「8巻」に違いない			「8巻」に違いない			聖アンダリム神学院の消えた書物							
「11巻」だ！			「11巻」だ！			聖アンダリム神学院の消えた書物							
「13巻」を購入すべき			「13巻」を購入すべき			聖アンダリム神学院の消えた書物							
「14巻」がない……			「14巻」がない……			聖アンダリム神学院の消えた書物							
う～ん……なんだか、ピンときません。その巻ではなかったような気がするのですが……。			う～ん……なんだか、ピンときません。その巻ではなかったような気がするのですが……。			聖アンダリム神学院の消えた書物							
注文する巻が異なっていたようです。ジャーナルをよく確認し、聖アンダリム神学院になかった巻を導き出しましょう。			注文する巻が異なっていたようです。ジャーナルをよく確認し、聖アンダリム神学院になかった巻を導き出しましょう。			聖アンダリム神学院の消えた書物							
あーーーー！！そうでした、そうでした！！よかった、これで神学院からの信用を失わずに済みます。			あーーーー！！そうでした、そうでした！！よかった、これで神学院からの信用を失わずに済みます。			聖アンダリム神学院の消えた書物							
なにせ「聖アンダリム神学院」は、聖職者の卵たちが集う場所ですからね。将来、教皇庁入りを果たす高位聖職者になる方もいます。			なにせ「聖アンダリム神学院」は、聖職者の卵たちが集う場所ですからね。将来、教皇庁入りを果たす高位聖職者になる方もいます。			聖アンダリム神学院の消えた書物							
そんな神学院の生徒たちからの信用を失ったら、商人生命が行き詰まることだって、あり得るんですよ。皇都を導くのは、教皇庁の聖職者様ですからね。			そんな神学院の生徒たちからの信用を失ったら、商人生命が行き詰まることだって、あり得るんですよ。皇都を導くのは、教皇庁の聖職者様ですからね。			聖アンダリム神学院の消えた書物							
いやー、想像しただけで、ぞっとします……。本当に、ありがとうございました。			いやー、想像しただけで、ぞっとします……。本当に、ありがとうございました。			聖アンダリム神学院の消えた書物							
マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
マエヌから、アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を届けるよう頼まれた。飛竜泊の「竜騎士団の荷箱」を入手しよう。			マエヌから、アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を届けるよう頼まれた。飛竜泊の「竜騎士団の荷箱」を入手しよう。			歴史的邂逅							
竜騎士団の荷箱を入手した。ドラヴァニア雲海のイーストン・アイにいる「北東偵察隊の竜騎士」から、「竜の巣観測記録」を入手しよう。			竜騎士団の荷箱を入手した。ドラヴァニア雲海のイーストン・アイにいる「北東偵察隊の竜騎士」から、「竜の巣観測記録」を入手しよう。			歴史的邂逅							
竜の巣観測記録を入手した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」に「竜騎士団の荷箱」と「竜の巣観測記録」を渡そう。			竜の巣観測記録を入手した。イシュガルドの神殿騎士団本部にいる「アンドゥルー」に「竜騎士団の荷箱」と「竜の巣観測記録」を渡そう。			歴史的邂逅							
アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡した。ドラヴァニア雲海のモグモグホームにいる「モグリン」と話そう。			アンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡した。ドラヴァニア雲海のモグモグホームにいる「モグリン」と話そう。			歴史的邂逅							
モグリンと話した。飛竜泊にいる「モグクル」と話そう。			モグリンと話した。飛竜泊にいる「モグクル」と話そう。			歴史的邂逅							
モグクルと話した。モーグリがドラヴァニア雲海の歴史を教えるかわりに、人は白亜の宮殿を修復する方法を教えるという約束を結び、アンドゥルーの一行は、モグモグホームへ案内された。こうして、人と空のモーグリの、歴史的邂逅がなされたのであった。			モグクルと話した。モーグリがドラヴァニア雲海の歴史を教えるかわりに、人は白亜の宮殿を修復する方法を教えるという約束を結び、アンドゥルーの一行は、モグモグホームへ案内された。こうして、人と空のモーグリの、歴史的邂逅がなされたのであった。			歴史的邂逅							
竜騎士団の荷箱を入手			竜騎士団の荷箱を入手			歴史的邂逅							
北東偵察隊の竜騎士と話し竜の巣観測記録を入手			北東偵察隊の竜騎士と話し竜の巣観測記録を入手			歴史的邂逅							
イシュガルドのアンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡す			イシュガルドのアンドゥルーに竜騎士団の荷箱と竜の巣観測記録を渡す			歴史的邂逅							
モグモグホームのモグリンと話す			モグモグホームのモグリンと話す			歴史的邂逅							
飛竜泊のモグクルと話す			飛竜泊のモグクルと話す			歴史的邂逅							
そろそろ帰るので、撤収作業をはじめました。冒険者さんのお陰で、無事に調査や計測ができました。ありがとうございました！			そろそろ帰るので、撤収作業をはじめました。冒険者さんのお陰で、無事に調査や計測ができました。ありがとうございました！			歴史的邂逅							
さて……これで、すべての戦場跡での計測結果がそろった。最後にひとつ、頼みたいことがある。			さて……これで、すべての戦場跡での計測結果がそろった。最後にひとつ、頼みたいことがある。			歴史的邂逅							
ふたつの品を、神殿騎士団本部にいる、アンドゥルー卿に送り届けてほしいのだ。			ふたつの品を、神殿騎士団本部にいる、アンドゥルー卿に送り届けてほしいのだ。			歴史的邂逅							
ひとつ目は、そこにある「竜騎士団の荷箱」。そして、もうひとつは「竜の巣観測記録」……こちらは「北東偵察隊の竜騎士」から受け取ってくれ。			ひとつ目は、そこにある「竜騎士団の荷箱」。そして、もうひとつは「竜の巣観測記録」……こちらは「北東偵察隊の竜騎士」から受け取ってくれ。			歴史的邂逅							
私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			歴史的邂逅							
私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			私は、各地に派遣した部下を回収してから帰還する。今回の任務では大変に世話になったな。この恩は忘れぬよ。			歴史的邂逅							
「マエヌ」隊長から、連絡は受けている。現時点で判明した情報は、しっかりと記しておいた。受け取ってくれ。			「マエヌ」隊長から、連絡は受けている。現時点で判明した情報は、しっかりと記しておいた。受け取ってくれ。			歴史的邂逅							
私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			歴史的邂逅							
私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			私たち北東偵察隊は、しばらくこの地に残り、調査を続行する。皇都の「アンドゥルー」卿に、どうかよろしく伝えてくれ。			歴史的邂逅							
Forename殿、どうやら任務は完了したようだな。して、偵察の結果はいかがであった？			Forename殿、どうやら任務は完了したようだな。して、偵察の結果はいかがであった？			歴史的邂逅							
……エーテル計測器と報告書、確かに受け取ったぞ。しかし、数百年前の異端者の成れの果てに襲われたとは。			……エーテル計測器と報告書、確かに受け取ったぞ。しかし、数百年前の異端者の成れの果てに襲われたとは。			歴史的邂逅							
エスティニアン殿と君たちが明らかにした、人と竜との共存時代。その果てにあるのが、異端者のドラゴン化と、憎しみの連鎖とはやりきれん……。			エスティニアン殿と君たちが明らかにした、人と竜との共存時代。その果てにあるのが、異端者のドラゴン化と、憎しみの連鎖とはやりきれん……。			歴史的邂逅							
できることなら、総長殿が思い描くように、ふたたび人と竜とが、共存できる日が来るといいのだが……。			できることなら、総長殿が思い描くように、ふたたび人と竜とが、共存できる日が来るといいのだが……。			歴史的邂逅							
ふむ……かつてのような共存を望むのであれば、ドラヴァニア雲海における歴史を、紐解く必要がありそうだな。			ふむ……かつてのような共存を望むのであれば、ドラヴァニア雲海における歴史を、紐解く必要がありそうだな。			歴史的邂逅							
……そうだ、エスティニアン殿の報告書に記されていた、雲海のモーグリ族ならば、古の歴史も詳しいやもしれぬ。			……そうだ、エスティニアン殿の報告書に記されていた、雲海のモーグリ族ならば、古の歴史も詳しいやもしれぬ。			歴史的邂逅							
君は、彼の地のモーグリ族とも親交があると聞く。帰ってきた早々に悪いが、モーグリ族と話をできるよう、渡りをつけてはもらえないだろうか？			君は、彼の地のモーグリ族とも親交があると聞く。帰ってきた早々に悪いが、モーグリ族と話をできるよう、渡りをつけてはもらえないだろうか？			歴史的邂逅							
ありがとう。礼を失しないよう、私自身も飛竜泊に出向くとしよう。では、さっそく出発しようではないか！			ありがとう。礼を失しないよう、私自身も飛竜泊に出向くとしよう。では、さっそく出発しようではないか！			歴史的邂逅							
では、さっそくドラヴァニア雲海に向かうことにしよう！			では、さっそくドラヴァニア雲海に向かうことにしよう！			歴史的邂逅							
おや、ダサい名前のForenameよ、今日はいったいどうしたくぽ？			おや、ダサい名前のForenameよ、今日はいったいどうしたくぽ？			歴史的邂逅							
……昔の話が聞きたいくぽ？世話になったForenameが、紹介するヒトなら、会って話を聞かせてあげてもいいくぽ。			……昔の話が聞きたいくぽ？世話になったForenameが、紹介するヒトなら、会って話を聞かせてあげてもいいくぽ。			歴史的邂逅							
ただし、ひとつだけ条件があるくぽ。モグたちモーグリ族は、平和に暮らしたいくぽ。だから、竜詩戦争には協力できないくぽ……。			ただし、ひとつだけ条件があるくぽ。モグたちモーグリ族は、平和に暮らしたいくぽ。だから、竜詩戦争には協力できないくぽ……。			歴史的邂逅							
それを理解してくれるなら、大歓迎くぽ。アンドゥルーってヒトは、どこにいるくぽ？			それを理解してくれるなら、大歓迎くぽ。アンドゥルーってヒトは、どこにいるくぽ？			歴史的邂逅							
……わかったくぽ。それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			……わかったくぽ。それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			歴史的邂逅							
それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			それじゃあ、迎えに「モグモグ護衛団」を派遣するくぽ。Forenameも、一緒に行ってほしいくぽ！			歴史的邂逅							
彼らが、モーグリ族……！？初めて見たが、何とも奇妙な連中だな。			彼らが、モーグリ族……！？初めて見たが、何とも奇妙な連中だな。			歴史的邂逅							
冒険者みたいなヒトが、たくさんいるくぽ～！モグ、なんだかちょっと緊張してきたくぽ……。			冒険者みたいなヒトが、たくさんいるくぽ～！モグ、なんだかちょっと緊張してきたくぽ……。			歴史的邂逅							
おぉ、Forename殿。この度の仲介、感謝するぞ。			おぉ、Forename殿。この度の仲介、感謝するぞ。			歴史的邂逅							
どうも、はじめましてくぽ！話はモグリン様から聞きましたくぽ、よろしくくぽ～！			どうも、はじめましてくぽ！話はモグリン様から聞きましたくぽ、よろしくくぽ～！			歴史的邂逅							
これは、わざわざご丁寧に。私はイシュガルドの神殿騎士団コマンド、アンドゥルー。こちらこそ、何とぞ宜しくお願い申しあげる。			これは、わざわざご丁寧に。私はイシュガルドの神殿騎士団コマンド、アンドゥルー。こちらこそ、何とぞ宜しくお願い申しあげる。			歴史的邂逅							
このたびは、ドラヴァニア雲海の歴史について、知識を分けていただけると聞き、誠に恐悦至極。無論、我らとしても、返礼は惜しまぬつもり……。			このたびは、ドラヴァニア雲海の歴史について、知識を分けていただけると聞き、誠に恐悦至極。無論、我らとしても、返礼は惜しまぬつもり……。			歴史的邂逅							
……アンドゥルー様は、大きい街の偉いひとくぽ？くぽ！　それなら、あれを知っているかもくぽ！			……アンドゥルー様は、大きい街の偉いひとくぽ？くぽ！　それなら、あれを知っているかもくぽ！			歴史的邂逅							
石作りの建物の修繕方法を、教えてほしいくぽ！そうすれば、モグたちの手で「白亜の宮殿」を、少しずつ直していけるくぽ！			石作りの建物の修繕方法を、教えてほしいくぽ！そうすれば、モグたちの手で「白亜の宮殿」を、少しずつ直していけるくぽ！			歴史的邂逅							
モグたちと聖竜様は、宮殿を守る盟約を交わしたくぽ。でも、宮殿は千年の時で、風化が進んでしまっているくぽ。			モグたちと聖竜様は、宮殿を守る盟約を交わしたくぽ。でも、宮殿は千年の時で、風化が進んでしまっているくぽ。			歴史的邂逅							
聖竜様が愛している「白亜の宮殿」は、竜とヒトが仲良くしていたころの「仲良しの象徴」なのくぽ！それを直せれば、失われた絆を取り戻すきっかけになるくぽ！			聖竜様が愛している「白亜の宮殿」は、竜とヒトが仲良くしていたころの「仲良しの象徴」なのくぽ！それを直せれば、失われた絆を取り戻すきっかけになるくぽ！			歴史的邂逅							
……なるほど、石造建築は皇都の得意とするところ。ぜひ皇都から、石工や大工を派遣することを検討しよう。			……なるほど、石造建築は皇都の得意とするところ。ぜひ皇都から、石工や大工を派遣することを検討しよう。			歴史的邂逅							
水を差すようで悪いけれど……ちょっと待ってほしいくぽ！			水を差すようで悪いけれど……ちょっと待ってほしいくぽ！			歴史的邂逅							
聖竜様の聖地に、たくさんのヒトが足を踏み入れるのは、まだ少し早い気がするくぽ……。聖竜様、びっくりしちゃうくぽ。			聖竜様の聖地に、たくさんのヒトが足を踏み入れるのは、まだ少し早い気がするくぽ……。聖竜様、びっくりしちゃうくぽ。			歴史的邂逅							
……だから、モグモグホームで、少しずつモグたちに、直し方を教えてほしいくぽ。そうやって、少しずつ、少しずつ直していくくぽ！			……だから、モグモグホームで、少しずつモグたちに、直し方を教えてほしいくぽ。そうやって、少しずつ、少しずつ直していくくぽ！			歴史的邂逅							
最初にできるのは、石組みひとつを直すだけかもしれないくぽ。でも、がんばっていけば、いつかは宮殿がピカピカになるくぽ！			最初にできるのは、石組みひとつを直すだけかもしれないくぽ。でも、がんばっていけば、いつかは宮殿がピカピカになるくぽ！			歴史的邂逅							
確かに、もっともな意見だ……。人と竜の関係は、一朝一夕で修復できるようなものではない。じっくり時間をかけ、修復をしていこうではないか。			確かに、もっともな意見だ……。人と竜の関係は、一朝一夕で修復できるようなものではない。じっくり時間をかけ、修復をしていこうではないか。			歴史的邂逅							
話もまとまったことだし、モグたちの集落に、みなさまをご案内するくぽ♪そこで、歴史の話もゆっくりするくぽ～♪			話もまとまったことだし、モグたちの集落に、みなさまをご案内するくぽ♪そこで、歴史の話もゆっくりするくぽ～♪			歴史的邂逅							
宝杖通りのエレイズは、何かを待っているようだ。			宝杖通りのエレイズは、何かを待っているようだ。			女商人の罠							
エレイズによると、店の売り上げを入れた袋の盗難事件が、多数発生しているそうだ。彼女から、犯人を捕まえるための罠を確認するよう頼まれた。宝杖通りの「エレイズの罠」を調べよう。			エレイズによると、店の売り上げを入れた袋の盗難事件が、多数発生しているそうだ。彼女から、犯人を捕まえるための罠を確認するよう頼まれた。宝杖通りの「エレイズの罠」を調べよう。			女商人の罠							
硬貨袋がなくなっている箇所を見つけた。宝杖通りの「エレイズ」と話そう。			硬貨袋がなくなっている箇所を見つけた。宝杖通りの「エレイズ」と話そう。			女商人の罠							
エレイズから、仕掛けた袋に、あらかじめ穴をあけていたことを教えてもらった。地面に落ちた偽硬貨を辿れば、犯人を追えるはずだ。イシュガルドの上層で犯人を探そう。			エレイズから、仕掛けた袋に、あらかじめ穴をあけていたことを教えてもらった。地面に落ちた偽硬貨を辿れば、犯人を追えるはずだ。イシュガルドの上層で犯人を探そう。			女商人の罠							
犯人らしきオゾリーを発見した。話しかけると、彼女は硬貨袋を置いて逃げていった。イシュガルド・ランディングの「穴の空いた硬貨袋」を入手しよう。			犯人らしきオゾリーを発見した。話しかけると、彼女は硬貨袋を置いて逃げていった。イシュガルド・ランディングの「穴の空いた硬貨袋」を入手しよう。			女商人の罠							
穴の空いた硬貨袋を入手した。宝杖通りの「エレイズ」に「穴の空いた硬貨袋」を渡そう。			穴の空いた硬貨袋を入手した。宝杖通りの「エレイズ」に「穴の空いた硬貨袋」を渡そう。			女商人の罠							
エレイズに穴の空いた硬貨袋を渡して、犯人について報告した。オゾリーは、有名な盗人らしい。今回の件で再犯を予防できたとみて、エレイズは良しとしたようだ。			エレイズに穴の空いた硬貨袋を渡して、犯人について報告した。オゾリーは、有名な盗人らしい。今回の件で再犯を予防できたとみて、エレイズは良しとしたようだ。			女商人の罠							
エレイズの罠を調べる			エレイズの罠を調べる			女商人の罠							
エレイズと話す			エレイズと話す			女商人の罠							
