クォーリーミルのメッフリッドは、冒険者に折り入って頼みがあるようだ。			クォーリーミルのメッフリッドは、冒険者に折り入って頼みがあるようだ。			角薬が繋ぐ縁							
彼らは私を笑ったわ。誇りなんか持つから、惨めな思いをするのだと。骸旅団は、帝国に下る意思さえあると……。			彼らは私を笑ったわ。誇りなんか持つから、惨めな思いをするのだと。骸旅団は、帝国に下る意思さえあると……。			若き血の暴走							
みんなと故郷で暮らすことを願うのは……アラミゴの民を名乗るのは……もう、間違いなのですか？			みんなと故郷で暮らすことを願うのは……アラミゴの民を名乗るのは……もう、間違いなのですか？			若き血の暴走							
なんということだ……。ひとまず火のそばで休みなさい、ベルトリアナ。その話を、ほかの誰かにしたか？			なんということだ……。ひとまず火のそばで休みなさい、ベルトリアナ。その話を、ほかの誰かにしたか？			若き血の暴走							
はい、入り口でウィルレッドに。そうしたら彼、ものすごい形相でどこかへ……。			はい、入り口でウィルレッドに。そうしたら彼、ものすごい形相でどこかへ……。			若き血の暴走							
この子を預けて、仲間たちと話をしてくる。お前は町の中を見回って、若い衆の様子を見てくれ。……手間をかけてすまない。			この子を預けて、仲間たちと話をしてくる。お前は町の中を見回って、若い衆の様子を見てくれ。……手間をかけてすまない。			若き血の暴走							
私なら大丈夫……。みんなといると、すごく安心できるんです。外の人から見たら、愚かな絆かもしれないけれど……。			私なら大丈夫……。みんなといると、すごく安心できるんです。外の人から見たら、愚かな絆かもしれないけれど……。			若き血の暴走							
壊神ラールガー……アラミゴの神よ……オレたちに力を貸してくれ……。			壊神ラールガー……アラミゴの神よ……オレたちに力を貸してくれ……。			若き血の暴走							
止めるつもりなら遅かったな。ほとんどの仲間は、もうここを出たぞ。			止めるつもりなら遅かったな。ほとんどの仲間は、もうここを出たぞ。			若き血の暴走							
あとは、アイツに言われたとおりにするだけだ。クリスタルさえ持ち帰れば、もう誰も、オレたちを虐げられない……！			あとは、アイツに言われたとおりにするだけだ。クリスタルさえ持ち帰れば、もう誰も、オレたちを虐げられない……！			若き血の暴走							
ベルトリアナ……かわいそうに……。あんな畜生どもにまで見下されるなんて、こんなみじめな生活、もう耐えられない！			ベルトリアナ……かわいそうに……。あんな畜生どもにまで見下されるなんて、こんなみじめな生活、もう耐えられない！			若き血の暴走							
私はウィルレッドの作戦にのるわ。相手を聞いて、怖気づいた子もいるけど……馬鹿ね。戦わなきゃ、どのみち生きてる意味なんてないのに！			私はウィルレッドの作戦にのるわ。相手を聞いて、怖気づいた子もいるけど……馬鹿ね。戦わなきゃ、どのみち生きてる意味なんてないのに！			若き血の暴走							
この作戦が成功したら、すげぇ力が手に入る。そしたら帝国をブチのめして、世界を見返してやるんだ！			この作戦が成功したら、すげぇ力が手に入る。そしたら帝国をブチのめして、世界を見返してやるんだ！			若き血の暴走							
フヌケたジジイの手先に、教えることなんかねぇ。さあ俺も……って、見取り図はどこにやったっけ……。			フヌケたジジイの手先に、教えることなんかねぇ。さあ俺も……って、見取り図はどこにやったっけ……。			若き血の暴走							
（若者の所持品１・地図）			（若者の所持品１・地図）			若き血の暴走							
（若者の所持品２・ナイフ）			（若者の所持品２・ナイフ）			若き血の暴走							
彼らの様子はどうだ。先ほどから姿が見えない者がいるが、もしや……。			彼らの様子はどうだ。先ほどから姿が見えない者がいるが、もしや……。			若き血の暴走							
狩りに使う短剣、それにザンラク……アマルジャ族の砦の、詳細な見取り図だ。まさか、ここからクリスタルを持ち帰ると？			狩りに使う短剣、それにザンラク……アマルジャ族の砦の、詳細な見取り図だ。まさか、ここからクリスタルを持ち帰ると？			若き血の暴走							
無謀だ、たどり着く前に殺される。クリスタルを求める理由は定かでないが、アマルジャ族がどれほど危険か、わかっていない……！			無謀だ、たどり着く前に殺される。クリスタルを求める理由は定かでないが、アマルジャ族がどれほど危険か、わかっていない……！			若き血の暴走							
冒険者よ、もう一度だけ力を貸してくれ。地図によると目的地は東、今から追えば、あるいは……！			冒険者よ、もう一度だけ力を貸してくれ。地図によると目的地は東、今から追えば、あるいは……！			若き血の暴走							
……ウィルレッド。生きているのは、これだけか？			……ウィルレッド。生きているのは、これだけか？			若き血の暴走							
違う……違うんだ……こんなはずじゃない……。オレたちはクリスタルを手に入れて……帝国を……。			違う……違うんだ……こんなはずじゃない……。オレたちはクリスタルを手に入れて……帝国を……。			若き血の暴走							
ウィルレッド！！			ウィルレッド！！			若き血の暴走							
ち、力がほしいなら、クリスタルと祈りを捧げて、「壊神ラールガー」を呼び降ろせと言われたんだ……！			ち、力がほしいなら、クリスタルと祈りを捧げて、「壊神ラールガー」を呼び降ろせと言われたんだ……！			若き血の暴走							
だからアマルジャ族の砦に忍び込んで、奴らが蓄えてるクリスタルを盗もうとした……。でも、すぐに見つかって……！			だからアマルジャ族の砦に忍び込んで、奴らが蓄えてるクリスタルを盗もうとした……。でも、すぐに見つかって……！			若き血の暴走							
逃がさぬぞ、厚顔無恥なる人の子よ！我らが御神に捧ぐ、聖なる供物を狙いし罪……その魂をもって償わせん！			逃がさぬぞ、厚顔無恥なる人の子よ！我らが御神に捧ぐ、聖なる供物を狙いし罪……その魂をもって償わせん！			若き血の暴走							
若い衆の粗相は謝罪しよう。だが、魂を差し出せというのは、できない相談だ……。			若い衆の粗相は謝罪しよう。だが、魂を差し出せというのは、できない相談だ……。			若き血の暴走							
今は未熟でも、彼らは国なき我らの希望。未来のために足掻くならば、その責任を共に負おう！			今は未熟でも、彼らは国なき我らの希望。未来のために足掻くならば、その責任を共に負おう！			若き血の暴走							
これほど腕が立つとはな……。うちの若い衆など、歯が立たないはずだ。			これほど腕が立つとはな……。うちの若い衆など、歯が立たないはずだ。			若き血の暴走							
ひとまず、リトルアラミゴへ戻ろう。追っ手が来ないとも限らない……ここは危険だ。			ひとまず、リトルアラミゴへ戻ろう。追っ手が来ないとも限らない……ここは危険だ。			若き血の暴走							
ま、待ってくれ！クリスタルを持って帰らないと……二人と一緒なら、きっとやれる！			ま、待ってくれ！クリスタルを持って帰らないと……二人と一緒なら、きっとやれる！			若き血の暴走							
お前も、アマルジャ族に連れられてきた「焼かれし者」……テンパードを見ただろう。			お前も、アマルジャ族に連れられてきた「焼かれし者」……テンパードを見ただろう。			若き血の暴走							
ウルダハの「不滅隊」からは隠せと言われているが、あれこそ、神に触れた者の末路だという……。お前の望みは……ああなることか？			ウルダハの「不滅隊」からは隠せと言われているが、あれこそ、神に触れた者の末路だという……。お前の望みは……ああなることか？			若き血の暴走							
う、嘘だろ！？「仮面の男」は、そんなこと言ってなかった！帝国を倒したければ、神を呼び降ろせって……！			う、嘘だろ！？「仮面の男」は、そんなこと言ってなかった！帝国を倒したければ、神を呼び降ろせって……！			若き血の暴走							
その話は、戻ってから聞かせてもらう。冒険者も交えて、じっくりな……。			その話は、戻ってから聞かせてもらう。冒険者も交えて、じっくりな……。			若き血の暴走							
もう隠し事はなしだ、ウィルレッド。お前に計画を与えたのは「仮面の男」だったのだな……？			もう隠し事はなしだ、ウィルレッド。お前に計画を与えたのは「仮面の男」だったのだな……？			若き血の暴走							
……ああ、そうだよ。仲間と話しているところに、アイツが現れたんだ。力を欲する者に、知恵を与えると言っていた。			……ああ、そうだよ。仲間と話しているところに、アイツが現れたんだ。力を欲する者に、知恵を与えると言っていた。			若き血の暴走							
でも、それきりだ。煙のように消えたから、どこへ行ったのかも知らない。			でも、それきりだ。煙のように消えたから、どこへ行ったのかも知らない。			若き血の暴走							
結局、騙されただけさ……。今度こそ変えられるなんて、どうして信じたんだろうな。アラミゴ人は、惨めに死んでいくしかないのに……。			結局、騙されただけさ……。今度こそ変えられるなんて、どうして信じたんだろうな。アラミゴ人は、惨めに死んでいくしかないのに……。			若き血の暴走							
ウィルレッド。我々の故郷はアラミゴだが、それがお前のすべてではない。どう生きるかは、お前次第だ。			ウィルレッド。我々の故郷はアラミゴだが、それがお前のすべてではない。どう生きるかは、お前次第だ。			若き血の暴走							
何を求めるにしても、困難な道になるだろう。だが、お前の命が、異郷の冒険者に救われたこと……忘れずにいるといい。			何を求めるにしても、困難な道になるだろう。だが、お前の命が、異郷の冒険者に救われたこと……忘れずにいるといい。			若き血の暴走							
…………少し、考えてみるよ。			…………少し、考えてみるよ。			若き血の暴走							
すまなかったな。あと……ありがとう。			すまなかったな。あと……ありがとう。			若き血の暴走							
私からも礼を言おう……。お前のような御仁がいることが、明日を生きる希望となる。本当に、世話になったな。			私からも礼を言おう……。お前のような御仁がいることが、明日を生きる希望となる。本当に、世話になったな。			若き血の暴走							
ウィルレッドを護ってアマルジャ族を倒せ！			ウィルレッドを護ってアマルジャ族を倒せ！			若き血の暴走							
グンドバルドさん……オレたちは、ただ力が欲しかったんだ！			グンドバルドさん……オレたちは、ただ力が欲しかったんだ！			若き血の暴走							
弁解は後だ。今は、生きることだけ考えろ……！			弁解は後だ。今は、生きることだけ考えろ……！			若き血の暴走							
油断大敵……！　罪人め、ここで討ち滅ぼさん！			油断大敵……！　罪人め、ここで討ち滅ぼさん！			若き血の暴走							
若き同胞の命、対価にしては余りある……。これ以上は、くれてやるものか！			若き同胞の命、対価にしては余りある……。これ以上は、くれてやるものか！			若き血の暴走							
冒険者よ、ウィルレッドを護ってやってくれ！			冒険者よ、ウィルレッドを護ってやってくれ！			若き血の暴走							
形勢不利、かくなる上は……出あえ、御神の聖火に焼かれし者よ！			形勢不利、かくなる上は……出あえ、御神の聖火に焼かれし者よ！			若き血の暴走							
もう少しだ……押し切るぞッ……！			もう少しだ……押し切るぞッ……！			若き血の暴走							
私は……また失うのか……。			私は……また失うのか……。			若き血の暴走							
くそッ！　やっぱり、未来なんて……。			くそッ！　やっぱり、未来なんて……。			若き血の暴走							
嫌だ、生きていたいよ……。			嫌だ、生きていたいよ……。			若き血の暴走							
ちくしょう……ちくしょうッ……！！			ちくしょう……ちくしょうッ……！！			若き血の暴走							
リトルアラミゴのグンドバルドは、冒険者に何か告げたいことがあるようだ。			リトルアラミゴのグンドバルドは、冒険者に何か告げたいことがあるようだ。			束の間の帰還							
グンドバルドが知り得る「仮面の男」の情報は、もうこれ以上はないらしい。次に赴くべき捜索の目標について相談するため、砂の家の「ミンフィリア」に話しかけよう。			グンドバルドが知り得る「仮面の男」の情報は、もうこれ以上はないらしい。次に赴くべき捜索の目標について相談するため、砂の家の「ミンフィリア」に話しかけよう。			束の間の帰還							
ミンフィリアはリトルアラミゴで起きた一連の事件について憂慮しているらしい。しかし同時に冒険者の活躍に満足しているようだ。新たな冒険に向け、英気を養おう。			ミンフィリアはリトルアラミゴで起きた一連の事件について憂慮しているらしい。しかし同時に冒険者の活躍に満足しているようだ。新たな冒険に向け、英気を養おう。			束の間の帰還							
砂の家のミンフィリアに報告			砂の家のミンフィリアに報告			束の間の帰還							
お前の追ってる「仮面の男」については、ウィルレッドが言っていたことがすべてだ。我々が知り得ることは伝えた……。			お前の追ってる「仮面の男」については、ウィルレッドが言っていたことがすべてだ。我々が知り得ることは伝えた……。			束の間の帰還							
別れは惜しいが、調査を続けるのであれば、ほかの地をあたるべきだろう。お前の仲間と、相談してみるといい。			別れは惜しいが、調査を続けるのであれば、ほかの地をあたるべきだろう。お前の仲間と、相談してみるといい。			束の間の帰還							
おかえりなさい！ハリベルトから聞いたけれど、ずいぶん大がかりな旅をさせてしまったようね。			おかえりなさい！ハリベルトから聞いたけれど、ずいぶん大がかりな旅をさせてしまったようね。			束の間の帰還							
無事に「仮面の男」の情報はつかめたのかしら。あなたが解決したリトルアラミゴの問題、聞かせてくれる？			無事に「仮面の男」の情報はつかめたのかしら。あなたが解決したリトルアラミゴの問題、聞かせてくれる？			束の間の帰還							
窮乏に喘ぐアラミゴの青年たちに、神降ろしの知識をあたえるだなんて……。まさに、争いの火種をまいていたわけね。			窮乏に喘ぐアラミゴの青年たちに、神降ろしの知識をあたえるだなんて……。まさに、争いの火種をまいていたわけね。			束の間の帰還							
各地で起きている問題は、第七霊災の混乱が招いたものだと思っていたけれど……裏で、何かが動いているのかもしれない。			各地で起きている問題は、第七霊災の混乱が招いたものだと思っていたけれど……裏で、何かが動いているのかもしれない。			束の間の帰還							
この問題、もう少し深く調べてみましょう。蛮神に関する報告も、入っていないことだしね。			この問題、もう少し深く調べてみましょう。蛮神に関する報告も、入っていないことだしね。			束の間の帰還							
相変わらず、ミンフィリアさんは仕事の鬼でっす。			相変わらず、ミンフィリアさんは仕事の鬼でっす。			束の間の帰還							
……何か言ったかしら？			……何か言ったかしら？			束の間の帰還							
し、失礼しまっす！			し、失礼しまっす！			束の間の帰還							
……コホン。少し休んでから、次の調査の話をしましょう。			……コホン。少し休んでから、次の調査の話をしましょう。			束の間の帰還							
砂の家のミンフィリアは、冒険者に新たな冒険を頼みたいようだ。			砂の家のミンフィリアは、冒険者に新たな冒険を頼みたいようだ。			浮き村の怪事件							
*本クエストは調整されました。一度破棄し、砂の家の「ミンフィリア」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、砂の家の「ミンフィリア」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			浮き村の怪事件							
砂の家のノラクシアから「仮面の男」の噂を聞いた。黒衣森・北部森林の「フォールゴウド」にいる山師「メドロド」と話そう。			砂の家のノラクシアから「仮面の男」の噂を聞いた。黒衣森・北部森林の「フォールゴウド」にいる山師「メドロド」と話そう。			浮き村の怪事件							
メドロドはひどく怯えているようだ。そばにいる「アイディーン」に話し、事情を聞こう。			メドロドはひどく怯えているようだ。そばにいる「アイディーン」に話し、事情を聞こう。			浮き村の怪事件							
アイディーンによると、取り乱したメドロドを落ち着かせるには、好物の「レンティル＆チェスナット」を食べさせればいいらしい。「レンティル＆チェスナット」を「メドロド」に渡そう。			アイディーンによると、取り乱したメドロドを落ち着かせるには、好物の「レンティル＆チェスナット」を食べさせればいいらしい。「レンティル＆チェスナット」を「メドロド」に渡そう。			浮き村の怪事件							
メドロドに好物の「レンティル＆チェスナット」を渡した。彼にエモート「なだめる」をして、気を落ち着かせよう。			メドロドに好物の「レンティル＆チェスナット」を渡した。彼にエモート「なだめる」をして、気を落ち着かせよう。			浮き村の怪事件							
落ち着いたメドロドに事情を聞いた。「仮面の男」はどうやらこのフォールゴウドで起きている「怪事件」と何かしらの関係があるという。はたして事件とは……？			落ち着いたメドロドに事情を聞いた。「仮面の男」はどうやらこのフォールゴウドで起きている「怪事件」と何かしらの関係があるという。はたして事件とは……？			浮き村の怪事件							
*本クエストは調整されました。一度破棄し、砂の家のミンフィリアから再受注してください			*本クエストは調整されました。一度破棄し、砂の家のミンフィリアから再受注してください			浮き村の怪事件							
さて、アシエンの調査を再開しましょう。あなたがザナラーンで調査をしている間に、新たな情報が入ったのよ。			さて、アシエンの調査を再開しましょう。あなたがザナラーンで調査をしている間に、新たな情報が入ったのよ。			浮き村の怪事件							
シルフ族の情報網によると、黒衣森の北部で、アシエンと思しき「仮面の男」が目撃されたそうよ。			シルフ族の情報網によると、黒衣森の北部で、アシエンと思しき「仮面の男」が目撃されたそうよ。			浮き村の怪事件							
周辺では、怪しい事件も起きてるみたい……。リトルアラミゴの状況とも一致するし、「当たり」の可能性は高いわ。			周辺では、怪しい事件も起きてるみたい……。リトルアラミゴの状況とも一致するし、「当たり」の可能性は高いわ。			浮き村の怪事件							
ノラクシアから詳しい話を聞いたら、さっそく現地へ向かってちょうだい。今度こそ、奴らの尻尾を掴みましょう！			ノラクシアから詳しい話を聞いたら、さっそく現地へ向かってちょうだい。今度こそ、奴らの尻尾を掴みましょう！			浮き村の怪事件							
やっと出番なのでふっち？わたぴが頑張って調べた「ジョウホウ」を、ありがたく聞くのでふっち。			やっと出番なのでふっち？わたぴが頑張って調べた「ジョウホウ」を、ありがたく聞くのでふっち。			浮き村の怪事件							
わたぴには「アッシュクラウン商会」という、クリスタル売りのおともだちがいるのでふっち。その子たちが聞いたお話でふっち。			わたぴには「アッシュクラウン商会」という、クリスタル売りのおともだちがいるのでふっち。その子たちが聞いたお話でふっち。			浮き村の怪事件							
フォールゴウドの「メドロド」っていう山師が、仮面を被ったコワ～イ人に、会ったらしいのでふっち。きっと、探してる悪い子なのでふっち！			フォールゴウドの「メドロド」っていう山師が、仮面を被ったコワ～イ人に、会ったらしいのでふっち。きっと、探してる悪い子なのでふっち！			浮き村の怪事件							
なんだよォ……俺のことは、放っておいてくれよォ……！			なんだよォ……俺のことは、放っておいてくれよォ……！			浮き村の怪事件							
どうせ俺は死ぬんだ……！死神を見た奴は、あの女みたいに殺されるんだよォ……！			どうせ俺は死ぬんだ……！死神を見た奴は、あの女みたいに殺されるんだよォ……！			浮き村の怪事件							
なんで、あんなもの見ちまったんだ……。うっうっ……親不孝な息子でごめんよ、母ちゃぁぁん……！			なんで、あんなもの見ちまったんだ……。うっうっ……親不孝な息子でごめんよ、母ちゃぁぁん……！			浮き村の怪事件							
もしかして、メドロドに用事？間が悪かったねー。こいつ、最近ずっとコレだもん。			もしかして、メドロドに用事？間が悪かったねー。こいつ、最近ずっとコレだもん。			浮き村の怪事件							
好物の「レンティル＆チェスナット」でも食べさせて、「なだめて」やれば、落ち着くかもね。「レンティル＆チェスナット」なら、グリダニアで扱ってるはずだよ。			好物の「レンティル＆チェスナット」でも食べさせて、「なだめて」やれば、落ち着くかもね。「レンティル＆チェスナット」なら、グリダニアで扱ってるはずだよ。			浮き村の怪事件							
なんで、あんなもの見ちまったんだ……。うっうっ……親不孝な息子でごめんよ、母ちゃぁぁん……！			なんで、あんなもの見ちまったんだ……。うっうっ……親不孝な息子でごめんよ、母ちゃぁぁん……！			浮き村の怪事件							
……うっ？　なんと、俺の大好物じゃないか！豆と栗のホクホク加減に、今日はホロリと涙が出るぜ。これも食い納めか……うっうっ……。			……うっ？　なんと、俺の大好物じゃないか！豆と栗のホクホク加減に、今日はホロリと涙が出るぜ。これも食い納めか……うっうっ……。			浮き村の怪事件							
俺を哀れに思って、好物を差し入れてくれたんだろ？うっうっ、やっぱり俺は死ぬんだぁ……！			俺を哀れに思って、好物を差し入れてくれたんだろ？うっうっ、やっぱり俺は死ぬんだぁ……！			浮き村の怪事件							
うっうっ、あんた、いい人だなぁ……。言われてみれば、俺、殺される理由がねぇや。ただ、不吉なものを見ただけだ。			うっうっ、あんた、いい人だなぁ……。言われてみれば、俺、殺される理由がねぇや。ただ、不吉なものを見ただけだ。			浮き村の怪事件							
忘れもしねぇ、アレは採掘終了の鐘が鳴ったときのことだ。目玉の化け物を従えた「仮面の男」を見かけたんだ。不気味に思って、そいつの来た方を見ると……			忘れもしねぇ、アレは採掘終了の鐘が鳴ったときのことだ。目玉の化け物を従えた「仮面の男」を見かけたんだ。不気味に思って、そいつの来た方を見ると……			浮き村の怪事件							
あったんだよ……。無残に殺された、女の死体がさぁぁぁッ！！ぎゃぁぁぁッ！！			あったんだよ……。無残に殺された、女の死体がさぁぁぁッ！！ぎゃぁぁぁッ！！			浮き村の怪事件							
……目玉の化け物が出た後には、必ず死体が見つかるんだ。俺はすぐに悟ったね……化け物を従えていた「仮面の男」は、死神に違いねぇって！			……目玉の化け物が出た後には、必ず死体が見つかるんだ。俺はすぐに悟ったね……化け物を従えていた「仮面の男」は、死神に違いねぇって！			浮き村の怪事件							
あの「仮面の男」を追っているって！？……つまりお前は、このフォールゴウドで起きている怪事件に興味があるんだな！？			あの「仮面の男」を追っているって！？……つまりお前は、このフォールゴウドで起きている怪事件に興味があるんだな！？			浮き村の怪事件							
そーいうことなら、わたしらに任せてよ！山師の楽しみときたら、晩酌と無駄話だけなんだから！			そーいうことなら、わたしらに任せてよ！山師の楽しみときたら、晩酌と無駄話だけなんだから！			浮き村の怪事件							
まったくです。メドロドが湿気っていた分、駄弁が溜まっていましてね。			まったくです。メドロドが湿気っていた分、駄弁が溜まっていましてね。			浮き村の怪事件							
ヘヘッ、お前ら……さすがだぜ！俺たちで、この親切な冒険者を助けてやろうぜ！！			ヘヘッ、お前ら……さすがだぜ！俺たちで、この親切な冒険者を助けてやろうぜ！！			浮き村の怪事件							
うっうっ、なんだってんだよォ……！最後の晩餐も済ませたんだ、放っておいてくれよォ！どうせ誰も「なだめて」もくれねぇしよォ……！			うっうっ、なんだってんだよォ……！最後の晩餐も済ませたんだ、放っておいてくれよォ！どうせ誰も「なだめて」もくれねぇしよォ……！			浮き村の怪事件							
砂の家のミンフィリアは、冒険者に新たな冒険を頼みたいようだ。			砂の家のミンフィリアは、冒険者に新たな冒険を頼みたいようだ。			浮き村の怪事件							
ミンフィリアの話によると、黒衣森の北部で、アシエンと思しき「仮面の男」が目撃されたらしい。「ノラクシア」から詳しい話を聞こう。			ミンフィリアの話によると、黒衣森の北部で、アシエンと思しき「仮面の男」が目撃されたらしい。「ノラクシア」から詳しい話を聞こう。			浮き村の怪事件							
砂の家のノラクシアから「仮面の男」の噂を聞いた。黒衣森・北部森林の「フォールゴウド」にいる山師「メドロド」と話そう。			砂の家のノラクシアから「仮面の男」の噂を聞いた。黒衣森・北部森林の「フォールゴウド」にいる山師「メドロド」と話そう。			浮き村の怪事件							
メドロドはひどく怯えているようだ。フォールゴウドの「メドロド」にエモート「なだめる」をしよう。			メドロドはひどく怯えているようだ。フォールゴウドの「メドロド」にエモート「なだめる」をしよう。			浮き村の怪事件							
落ち着いたメドロドに事情を聞いた。「仮面の男」はどうやらこのフォールゴウドで起きている「怪事件」と何かしらの関係があるという。はたして事件とは……？			落ち着いたメドロドに事情を聞いた。「仮面の男」はどうやらこのフォールゴウドで起きている「怪事件」と何かしらの関係があるという。はたして事件とは……？			浮き村の怪事件							
砂の家のノラクシアと話す			砂の家のノラクシアと話す			浮き村の怪事件							
フォールゴウドのメドロドと話す			フォールゴウドのメドロドと話す			浮き村の怪事件							
メドロドに「なだめる」をする			メドロドに「なだめる」をする			浮き村の怪事件							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			浮き村の怪事件							
さて、アシエンの調査を再開しましょう。あなたがザナラーンで調査をしている間に、新たな情報が入ったのよ。			さて、アシエンの調査を再開しましょう。あなたがザナラーンで調査をしている間に、新たな情報が入ったのよ。			浮き村の怪事件							
シルフ族の情報網によると、黒衣森の北部で、アシエンと思しき「仮面の男」が目撃されたそうよ。			シルフ族の情報網によると、黒衣森の北部で、アシエンと思しき「仮面の男」が目撃されたそうよ。			浮き村の怪事件							
周辺では、怪しい事件も起きてるみたい……。リトルアラミゴの状況とも一致するし、「当たり」の可能性は高いわ。			周辺では、怪しい事件も起きてるみたい……。リトルアラミゴの状況とも一致するし、「当たり」の可能性は高いわ。			浮き村の怪事件							
ノラクシアから詳しい話を聞いたら、さっそく現地へ向かってちょうだい。今度こそ、奴らの尻尾を掴みましょう！			ノラクシアから詳しい話を聞いたら、さっそく現地へ向かってちょうだい。今度こそ、奴らの尻尾を掴みましょう！			浮き村の怪事件							
やっと出番なのでふっち？わたぴが頑張って調べた「ジョウホウ」を、ありがたく聞くのでふっち。			やっと出番なのでふっち？わたぴが頑張って調べた「ジョウホウ」を、ありがたく聞くのでふっち。			浮き村の怪事件							
わたぴには「アッシュクラウン商会」という、クリスタル売りのおともだちがいるのでふっち。その子たちが聞いたお話でふっち。			わたぴには「アッシュクラウン商会」という、クリスタル売りのおともだちがいるのでふっち。その子たちが聞いたお話でふっち。			浮き村の怪事件							
フォールゴウドの「メドロド」っていう山師が、仮面を被ったコワ～イ人に、会ったらしいのでふっち。きっと、探してる悪い子なのでふっち！			フォールゴウドの「メドロド」っていう山師が、仮面を被ったコワ～イ人に、会ったらしいのでふっち。きっと、探してる悪い子なのでふっち！			浮き村の怪事件							
なんだよォ……俺のことは、放っておいてくれよォ……！			なんだよォ……俺のことは、放っておいてくれよォ……！			浮き村の怪事件							
どうせ俺は死ぬんだ……！死神を見た奴は、あの女みたいに殺されるんだよォ……！			どうせ俺は死ぬんだ……！死神を見た奴は、あの女みたいに殺されるんだよォ……！			浮き村の怪事件							
メドロドはひどく怯えている……。「メドロド」にエモート「なだめる」をしよう。			メドロドはひどく怯えている……。「メドロド」にエモート「なだめる」をしよう。			浮き村の怪事件							
なんで、あんなもの見ちまったんだ……。うっうっ……親不孝な息子でごめんよ、母ちゃぁぁん……！			なんで、あんなもの見ちまったんだ……。うっうっ……親不孝な息子でごめんよ、母ちゃぁぁん……！			浮き村の怪事件							
メドロドはひどく怯えている……。「メドロド」にエモート「なだめる」をしよう。			メドロドはひどく怯えている……。「メドロド」にエモート「なだめる」をしよう。			浮き村の怪事件							
うっうっ、あんた、いい人だなぁ……。言われてみれば、俺、殺される理由がねぇや。ただ、不吉なものを見ただけだ。			うっうっ、あんた、いい人だなぁ……。言われてみれば、俺、殺される理由がねぇや。ただ、不吉なものを見ただけだ。			浮き村の怪事件							
忘れもしねぇ、アレは採掘終了の鐘が鳴ったときのことだ。目玉の化け物を従えた「仮面の男」を見かけたんだ。不気味に思って、そいつの来た方を見ると……			忘れもしねぇ、アレは採掘終了の鐘が鳴ったときのことだ。目玉の化け物を従えた「仮面の男」を見かけたんだ。不気味に思って、そいつの来た方を見ると……			浮き村の怪事件							
あったんだよ……。無残に殺された、女の死体がさぁぁぁッ！！ぎゃぁぁぁッ！！			あったんだよ……。無残に殺された、女の死体がさぁぁぁッ！！ぎゃぁぁぁッ！！			浮き村の怪事件							
……目玉の化け物が出た後には、必ず死体が見つかるんだ。俺はすぐに悟ったね……化け物を従えていた「仮面の男」は、死神に違いねぇって！			……目玉の化け物が出た後には、必ず死体が見つかるんだ。俺はすぐに悟ったね……化け物を従えていた「仮面の男」は、死神に違いねぇって！			浮き村の怪事件							
あの「仮面の男」を追っているって！？……つまりお前は、このフォールゴウドで起きている怪事件に興味があるんだな！？			あの「仮面の男」を追っているって！？……つまりお前は、このフォールゴウドで起きている怪事件に興味があるんだな！？			浮き村の怪事件							
そーいうことなら、わたしらに任せてよ！山師の楽しみときたら、晩酌と無駄話だけなんだから！			そーいうことなら、わたしらに任せてよ！山師の楽しみときたら、晩酌と無駄話だけなんだから！			浮き村の怪事件							
まったくです。メドロドが湿気っていた分、駄弁が溜まっていましてね。			まったくです。メドロドが湿気っていた分、駄弁が溜まっていましてね。			浮き村の怪事件							
ヘヘッ、お前ら……さすがだぜ！俺たちで、この親切な冒険者を助けてやろうぜ！！			ヘヘッ、お前ら……さすがだぜ！俺たちで、この親切な冒険者を助けてやろうぜ！！			浮き村の怪事件							
