ホワイトブリム前哨地の治療師シャルミヌは、病が篤い患者を案じているようだ。			ホワイトブリム前哨地の治療師シャルミヌは、病が篤い患者を案じているようだ。			恋人たち							
ホワイトブリム前哨地のオストゥフォルは、冒険者に獲ってきてほしいものがあるようだ。			ホワイトブリム前哨地のオストゥフォルは、冒険者に獲ってきてほしいものがあるようだ。			炊事場最前線							
雪のせいで、都からの食料物資が遅れている。食料不足を解消するため、南東の洞窟「聖ダナフェンの旅程」の泉にいる「スポテッド・マッドパピー」から「マッドパピーの尾肉」を入手しよう。「スポテッド・マッドパピー」には「クルザスビネガー」が有効なようだ。			雪のせいで、都からの食料物資が遅れている。食料不足を解消するため、南東の洞窟「聖ダナフェンの旅程」の泉にいる「スポテッド・マッドパピー」から「マッドパピーの尾肉」を入手しよう。「スポテッド・マッドパピー」には「クルザスビネガー」が有効なようだ。			炊事場最前線							
「スポテッド・マッドパピー」を討伐した。「ホワイトブリム前哨地」の「オストゥフォル」に「マッドパピーの尾肉」を渡そう。			「スポテッド・マッドパピー」を討伐した。「ホワイトブリム前哨地」の「オストゥフォル」に「マッドパピーの尾肉」を渡そう。			炊事場最前線							
オストゥフォルは冒険者の捕ってきたマッドパピーの尾肉を、さっそく調理してくれた。3人の騎兵に「パピーステーキ」を渡そう。			オストゥフォルは冒険者の捕ってきたマッドパピーの尾肉を、さっそく調理してくれた。3人の騎兵に「パピーステーキ」を渡そう。			炊事場最前線							
パピーステーキを配り終えた。戻って「オストゥフォル」に報告しよう。			パピーステーキを配り終えた。戻って「オストゥフォル」に報告しよう。			炊事場最前線							
最後にもう一皿、野戦病院の「セノタ」にパピーステーキを渡そう。			最後にもう一皿、野戦病院の「セノタ」にパピーステーキを渡そう。			炊事場最前線							
セノタは冒険者の運んだ料理を喜んで受け取った。これで人々の腹が満たされればよいのだが……。			セノタは冒険者の運んだ料理を喜んで受け取った。これで人々の腹が満たされればよいのだが……。			炊事場最前線							
クルザスビネガーを使ってスポテッド・マッドパピーを倒しマッドパピーの尾肉を入手			クルザスビネガーを使ってスポテッド・マッドパピーを倒しマッドパピーの尾肉を入手			炊事場最前線							
オストゥフォルにマッドパピーの尾肉を渡す			オストゥフォルにマッドパピーの尾肉を渡す			炊事場最前線							
騎兵にパピーステーキを渡す			騎兵にパピーステーキを渡す			炊事場最前線							
オストゥフォルに報告			オストゥフォルに報告			炊事場最前線							
セノタにパピーステーキを渡す			セノタにパピーステーキを渡す			炊事場最前線							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			炊事場最前線							
うーん、冒険者か。あとで上から怒られそうだが、致し方ないね。僕に手を貸してくれないか？			うーん、冒険者か。あとで上から怒られそうだが、致し方ないね。僕に手を貸してくれないか？			炊事場最前線							
この雪のせいで、都からの食料物資が遅れてるんだ。騎兵たちの腹はおかまいなしに減るものだから、どうにか食料を集めたくてさ。			この雪のせいで、都からの食料物資が遅れてるんだ。騎兵たちの腹はおかまいなしに減るものだから、どうにか食料を集めたくてさ。			炊事場最前線							
南東の洞窟「聖ダナフェンの旅程」の泉に、「スポテッド・マッドパピー」がいる。こいつの肉を調達してほしいんだ。			南東の洞窟「聖ダナフェンの旅程」の泉に、「スポテッド・マッドパピー」がいる。こいつの肉を調達してほしいんだ。			炊事場最前線							
問題なのは、やたらと皮膚が硬いこと……。皮をやわらかくする「クルザスビネガー」を使って、ブニュッと仕留めてくれないか？			問題なのは、やたらと皮膚が硬いこと……。皮をやわらかくする「クルザスビネガー」を使って、ブニュッと仕留めてくれないか？			炊事場最前線							
（聖ダナフェンの旅程にある指定ポイントにアクセス、オオサンショウウオにアイテムを使って倒し魚肉獲得）			（聖ダナフェンの旅程にある指定ポイントにアクセス、オオサンショウウオにアイテムを使って倒し魚肉獲得）			炊事場最前線							
「スポテッド・マッドパピー」の肉は手に入ったかい？あいつの肉は食感がよくてね、火を通せば鶏肉だって言い張れるんだよ。			「スポテッド・マッドパピー」の肉は手に入ったかい？あいつの肉は食感がよくてね、火を通せば鶏肉だって言い張れるんだよ。			炊事場最前線							
バッチリだ、さっそく調理するから、腹ペコな騎兵たちに配ってきてくれないかい？食堂と兵舎、あわせて3人分だ。			バッチリだ、さっそく調理するから、腹ペコな騎兵たちに配ってきてくれないかい？食堂と兵舎、あわせて3人分だ。			炊事場最前線							
おなかすいたぁ……。鉄臭い鎧をきて、鉄兜の男たちと戦場をかける日々……せめてご飯くらいは、満足に食べたいわよねぇ。			おなかすいたぁ……。鉄臭い鎧をきて、鉄兜の男たちと戦場をかける日々……せめてご飯くらいは、満足に食べたいわよねぇ。			炊事場最前線							
あなたが遅れてた物資を取ってきてくれたの！？気が利くわね！　とっても美味しそうだわ、この鶏肉！			あなたが遅れてた物資を取ってきてくれたの！？気が利くわね！　とっても美味しそうだわ、この鶏肉！			炊事場最前線							
ああっ、空腹のあまりめまいが……ッ！冒険者にねだるなんて、はしたない……ッ！でも、もう我慢できませんーーーッ！			ああっ、空腹のあまりめまいが……ッ！冒険者にねだるなんて、はしたない……ッ！でも、もう我慢できませんーーーッ！			炊事場最前線							
至福ーーーッ！ふがいない他家の分まで働いているのですから、お食事も、その分いただきませんと！			至福ーーーッ！ふがいない他家の分まで働いているのですから、お食事も、その分いただきませんと！			炊事場最前線							
今日も今日とて、砦奪還のために槍を振るう日々！我輩は、とってもお疲れなのである！食事を所望するのである！			今日も今日とて、砦奪還のために槍を振るう日々！我輩は、とってもお疲れなのである！食事を所望するのである！			炊事場最前線							
ムッ、ご苦労！アインハルト家を助けるのは、強豪デュランデル家の使命！軟派者フォルタン家になど、任せられんからな！			ムッ、ご苦労！アインハルト家を助けるのは、強豪デュランデル家の使命！軟派者フォルタン家になど、任せられんからな！			炊事場最前線							
ご苦労さま、配膳は済んだようだね。彼ら、最近はいつもあんな調子さ……砦の奪還が思うように進んでないみたいでね。			ご苦労さま、配膳は済んだようだね。彼ら、最近はいつもあんな調子さ……砦の奪還が思うように進んでないみたいでね。			炊事場最前線							
最後にもう一皿、野戦病院の「セノタ」にも料理を届けてやってくれるかい？怪我人の相手ばかりで、休憩を忘れてるだろうからさ。			最後にもう一皿、野戦病院の「セノタ」にも料理を届けてやってくれるかい？怪我人の相手ばかりで、休憩を忘れてるだろうからさ。			炊事場最前線							
は、はひぃっ！？ぼぼぼ、冒険者さんの治療ですか！？いいのかな……院長様に怒られたりしないかな……！？			は、はひぃっ！？ぼぼぼ、冒険者さんの治療ですか！？いいのかな……院長様に怒られたりしないかな……！？			炊事場最前線							
わ、わたしに差し入れですか！？そういえば、ずーっと何も食べてませんでした……！			わ、わたしに差し入れですか！？そういえば、ずーっと何も食べてませんでした……！			炊事場最前線							
冒険者さんって……さては良い人ですね！？ありがとうございます、お食事、おいしくいただきます！			冒険者さんって……さては良い人ですね！？ありがとうございます、お食事、おいしくいただきます！			炊事場最前線							
敵の気配を感じた！！			敵の気配を感じた！！			炊事場最前線							
ホワイトブリム前哨地のニヴィは、心底困り果てているようだ。			ホワイトブリム前哨地のニヴィは、心底困り果てているようだ。			風雪に消えた書簡							
*本クエストは調整されました。一度破棄し、下記のNPCから再受注してください。なお、受注できるクエストは進行状況により異なります。ホワイトブリム前哨地の「オストゥフォル」ホワイトブリム前哨地の「シド」※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、下記のNPCから再受注してください。なお、受注できるクエストは進行状況により異なります。ホワイトブリム前哨地の「オストゥフォル」ホワイトブリム前哨地の「シド」※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			風雪に消えた書簡							
アインハルト家の書簡を見つけた。「ホワイトブリム前哨地」の「ドリユモン」に渡そう。			アインハルト家の書簡を見つけた。「ホワイトブリム前哨地」の「ドリユモン」に渡そう。			風雪に消えた書簡							
書簡をドリユモンに渡したが、負け犬の戦略と一笑に付されてしまった。「ニヴィ」に報告しよう。			書簡をドリユモンに渡したが、負け犬の戦略と一笑に付されてしまった。「ニヴィ」に報告しよう。			風雪に消えた書簡							
失態によって戦力が低下したアインハルト家は、四大名家の一角であるにも関わらず、他家から軽んじられているようだ。ここまできて諦めるわけにはいかない。ストーンヴィジルの立入許可をもらうため、ひとつひとつ信頼を重ねていこう。			失態によって戦力が低下したアインハルト家は、四大名家の一角であるにも関わらず、他家から軽んじられているようだ。ここまできて諦めるわけにはいかない。ストーンヴィジルの立入許可をもらうため、ひとつひとつ信頼を重ねていこう。			風雪に消えた書簡							
*本クエストは調整されました。一度破棄し、クエストを再受注してください			*本クエストは調整されました。一度破棄し、クエストを再受注してください			風雪に消えた書簡							
こ、こんなゴミ同様の私の頼みを聞いてくださるんですか？……私、下り坂アインハルト家の伝令使なんですが、大事な書簡をなくしてしまって……！			こ、こんなゴミ同様の私の頼みを聞いてくださるんですか？……私、下り坂アインハルト家の伝令使なんですが、大事な書簡をなくしてしまって……！			風雪に消えた書簡							
街道沿いは何度も探したのですが、見つかりませんでした。きっと、雲海からの強風で飛ばされたんです……。南の岸壁に引っかかっていないか、探してほしいんです！			街道沿いは何度も探したのですが、見つかりませんでした。きっと、雲海からの強風で飛ばされたんです……。南の岸壁に引っかかっていないか、探してほしいんです！			風雪に消えた書簡							
ゴミの分際ですみません！もし書簡を見つけたら、ドリユモン卿に渡してください。見つけ次第お届けすると、お話してありますので……。			ゴミの分際ですみません！もし書簡を見つけたら、ドリユモン卿に渡してください。見つけ次第お届けすると、お話してありますので……。			風雪に消えた書簡							
（ホワイトブリム～大審門間に落ちているEobj書簡に近づくと、ヴァルチャーがＰＯＰ）			（ホワイトブリム～大審門間に落ちているEobj書簡に近づくと、ヴァルチャーがＰＯＰ）			風雪に消えた書簡							
再び交渉をしにきたのなら無駄だ。かの「暁」を騙る輩に用はない。無論、ストーンヴィジルへの立入りを許可するつもりもない。			再び交渉をしにきたのなら無駄だ。かの「暁」を騙る輩に用はない。無論、ストーンヴィジルへの立入りを許可するつもりもない。			風雪に消えた書簡							
アインハルト家からの書簡……？傭兵の雇用による戦力増強の提案書か……フォルタン家の入れ知恵だな。			アインハルト家からの書簡……？傭兵の雇用による戦力増強の提案書か……フォルタン家の入れ知恵だな。			風雪に消えた書簡							
あの伝令使に、できぬ相談だと伝えろ。砦を落とされた軟弱者から授かる戦略などないと。			あの伝令使に、できぬ相談だと伝えろ。砦を落とされた軟弱者から授かる戦略などないと。			風雪に消えた書簡							
今のイシュガルドに必要なのは、揺るぎなき結束力だ。外様の兵など招きいれずとも、我らが必ず仇敵を討つ……！			今のイシュガルドに必要なのは、揺るぎなき結束力だ。外様の兵など招きいれずとも、我らが必ず仇敵を討つ……！			風雪に消えた書簡							
砦を落とされた軟弱者……？そそ、そうですよねー！私たちって本当にゴミの分際で……はぁ。			砦を落とされた軟弱者……？そそ、そうですよねー！私たちって本当にゴミの分際で……はぁ。			風雪に消えた書簡							
今やアインハルト家の力は衰え、失った砦の奪還さえ、こうして他家にお任せする始末。デュランデル家には頭が上がりません……。			今やアインハルト家の力は衰え、失った砦の奪還さえ、こうして他家にお任せする始末。デュランデル家には頭が上がりません……。			風雪に消えた書簡							
ですが、それが歪みを生んでいるのも事実。デュランデル家のみなさんも、かなり無理してます。こんなときに、ドラゴン族が攻めてきたら……。			ですが、それが歪みを生んでいるのも事実。デュランデル家のみなさんも、かなり無理してます。こんなときに、ドラゴン族が攻めてきたら……。			風雪に消えた書簡							
あわわわ、私ったら、ゴミの分際で偉そうに……！書簡のこと、本当にありがとうございました！			あわわわ、私ったら、ゴミの分際で偉そうに……！書簡のこと、本当にありがとうございました！			風雪に消えた書簡							
敵の気配を感じた！！			敵の気配を感じた！！			風雪に消えた書簡							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			風雪に消えた書簡							
野戦病院にいるシドは、冒険者に協力してほしいことがあるようだ。			野戦病院にいるシドは、冒険者に協力してほしいことがあるようだ。			野戦病院の蒸留器							
シドによると、調薬用の蒸留器を改良するための材料が必要だという。「アイススプライト」を倒して「アイススプライトの核」を3つ集めよう。			シドによると、調薬用の蒸留器を改良するための材料が必要だという。「アイススプライト」を倒して「アイススプライトの核」を3つ集めよう。			野戦病院の蒸留器							
シドに指定された材料が集まった。ホワイトブリム前哨地にいる「シド」に「アイススプライトの核」を渡そう。			シドに指定された材料が集まった。ホワイトブリム前哨地にいる「シド」に「アイススプライトの核」を渡そう。			野戦病院の蒸留器							
蒸留器を改良することで、野戦病院の信頼を勝ち取ろうとしたが、異端審問官ギイェームに水を注されてしまった。異端審問官をどうにかしないと、らちが明かないようだ。			蒸留器を改良することで、野戦病院の信頼を勝ち取ろうとしたが、異端審問官ギイェームに水を注されてしまった。異端審問官をどうにかしないと、らちが明かないようだ。			野戦病院の蒸留器							
アイススプライトからアイススプライトの核を入手			アイススプライトからアイススプライトの核を入手			野戦病院の蒸留器							
シドにアイススプライトの核を渡す			シドにアイススプライトの核を渡す			野戦病院の蒸留器							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			野戦病院の蒸留器							
ああ、お前か……。俺にできることはないかと思って、ここで調薬用の蒸留器の修理を手伝っていたんだ。			ああ、お前か……。俺にできることはないかと思って、ここで調薬用の蒸留器の修理を手伝っていたんだ。			野戦病院の蒸留器							
……道具の直し方は、はっきりわかるというのに、エンタープライズでここへ来たことも思い出せない……もどかしいな。			……道具の直し方は、はっきりわかるというのに、エンタープライズでここへ来たことも思い出せない……もどかしいな。			野戦病院の蒸留器							
飛空艇を取り戻すことに繋がると信じて、お前に頼みがある。「アイススプライト」を倒して、「アイススプライトの核」を3つ集めてきてくれないか？			飛空艇を取り戻すことに繋がると信じて、お前に頼みがある。「アイススプライト」を倒して、「アイススプライトの核」を3つ集めてきてくれないか？			野戦病院の蒸留器							
蒸留器を使いやすく改造してやろうと思ったが、この寒さでは、すぐに凍りついてしまうからな……。アイススプライトの力を、凍結防止に利用するんだ。			蒸留器を使いやすく改造してやろうと思ったが、この寒さでは、すぐに凍りついてしまうからな……。アイススプライトの力を、凍結防止に利用するんだ。			野戦病院の蒸留器							
「アイススプライトの核」は集まったか？それがあれば作業は終わる。大改造は、無性にたぎるな……ふぅ……。			「アイススプライトの核」は集まったか？それがあれば作業は終わる。大改造は、無性にたぎるな……ふぅ……。			野戦病院の蒸留器							
院長～！？うちの蒸留器が、何だかよくわからないけど、スッゴイことになってますー！？			院長～！？うちの蒸留器が、何だかよくわからないけど、スッゴイことになってますー！？			野戦病院の蒸留器							
ええ……使い方すらわかりませんが、スッゴイことになっていますね……。こんな技術、イシュガルドでは見たことがありません……！			ええ……使い方すらわかりませんが、スッゴイことになっていますね……。こんな技術、イシュガルドでは見たことがありません……！			野戦病院の蒸留器							
この人たち、スッゴイ献身的だって話題なんですよぅ！わたしも差し入れを届けてもらったし……ドリユモン卿に、信頼できる人だってオススメしません！？			この人たち、スッゴイ献身的だって話題なんですよぅ！わたしも差し入れを届けてもらったし……ドリユモン卿に、信頼できる人だってオススメしません！？			野戦病院の蒸留器							
うーん……そうですね……。			うーん……そうですね……。			野戦病院の蒸留器							
オヤオヤ……ずいぶん地道な活動をしているのですね。いけませんよ、無垢な民をたぶらかすのは。			オヤオヤ……ずいぶん地道な活動をしているのですね。いけませんよ、無垢な民をたぶらかすのは。			野戦病院の蒸留器							
この冒険者は、異端嫌疑者をかばい、審問の邪魔をした。そんな人物を信じていいのか……神民の誇りをもって、考えてみなさい。			この冒険者は、異端嫌疑者をかばい、審問の邪魔をした。そんな人物を信じていいのか……神民の誇りをもって、考えてみなさい。			野戦病院の蒸留器							
なんと、そんな危険人物だったとは！スッゴイ技術を前に、冷静さを欠いていたようですね……。ありがとうございます、異端審問官様。			なんと、そんな危険人物だったとは！スッゴイ技術を前に、冷静さを欠いていたようですね……。ありがとうございます、異端審問官様。			野戦病院の蒸留器							
くっ……あと一歩だったってのに！あいつは、俺たちに恨みでもあるのか！？			くっ……あと一歩だったってのに！あいつは、俺たちに恨みでもあるのか！？			野戦病院の蒸留器							
あの異端審問官がいるかぎり、らちが明かない……。……何か、対策を立てる必要があるだろう。			あの異端審問官がいるかぎり、らちが明かない……。……何か、対策を立てる必要があるだろう。			野戦病院の蒸留器							
大審門の神殿騎士ショノーレーは、瓦礫を撤去したいようだ。			大審門の神殿騎士ショノーレーは、瓦礫を撤去したいようだ。			大審門の残照							
ドラゴン族の襲撃により砕けた大審門の瓦礫が道をふさいでいる。「大審門の瓦礫」を撤去しよう。			ドラゴン族の襲撃により砕けた大審門の瓦礫が道をふさいでいる。「大審門の瓦礫」を撤去しよう。			大審門の残照							
大審門の瓦礫の撤去が完了した。大審門の神殿騎士「ショノーレー」に報告しよう。			大審門の瓦礫の撤去が完了した。大審門の神殿騎士「ショノーレー」に報告しよう。			大審門の残照							
今は見る影もない大審門だが、もとは立派な姿をしていたらしい。ショノーレーは、大審門を破壊したドラゴン族を根絶やしにしたいと考えているようだ。			今は見る影もない大審門だが、もとは立派な姿をしていたらしい。ショノーレーは、大審門を破壊したドラゴン族を根絶やしにしたいと考えているようだ。			大審門の残照							
大審門の瓦礫を撤去する			大審門の瓦礫を撤去する			大審門の残照							
ショノーレーに報告			ショノーレーに報告			大審門の残照							
ふむ、たしか冒険者とは、卑近な問題の解決を専門に引き受けるのだったな。ちょうど良い、貴様に簡単な雑役をくれてやろう。			ふむ、たしか冒険者とは、卑近な問題の解決を専門に引き受けるのだったな。ちょうど良い、貴様に簡単な雑役をくれてやろう。			大審門の残照							
にっくきドラゴン族どもの襲撃で、大審門の一部が砕け、都への道に破片が散らかっているのだ。急ぎ「大審門の瓦礫」を撤去せよ。			にっくきドラゴン族どもの襲撃で、大審門の一部が砕け、都への道に破片が散らかっているのだ。急ぎ「大審門の瓦礫」を撤去せよ。			大審門の残照							
eobjの瓦礫にアクセスして排除。(5箇所)			eobjの瓦礫にアクセスして排除。(5箇所)			大審門の残照							
うむ、ご苦労。これで騎士たちが通行しやすくなるだろう。			うむ、ご苦労。これで騎士たちが通行しやすくなるだろう。			大審門の残照							
かつてこの門は、堂々たる威容を誇っていたのだが、度重なるドラゴン族の襲撃により、今や見る影もない。クク……やはり奴らは根絶やしにせねば。			かつてこの門は、堂々たる威容を誇っていたのだが、度重なるドラゴン族の襲撃により、今や見る影もない。クク……やはり奴らは根絶やしにせねば。			大審門の残照							
大審門の神殿騎士ロアヌは、害鳥の駆除をしたいようだ。			大審門の神殿騎士ロアヌは、害鳥の駆除をしたいようだ。			吹雪の中の鳥退治							
大審門近辺に棲む魔物の駆除を依頼された。「バテラー」を5匹討伐しよう。			大審門近辺に棲む魔物の駆除を依頼された。「バテラー」を5匹討伐しよう。			吹雪の中の鳥退治							
バテラーを討伐した。大審門の神殿騎士「ロアヌ」に報告しよう。			バテラーを討伐した。大審門の神殿騎士「ロアヌ」に報告しよう。			吹雪の中の鳥退治							
ロアヌに報告した。バテラーは、神殿騎士の食料でもある、雲海に生息する浮行魚を食べてしまうらしい。			ロアヌに報告した。バテラーは、神殿騎士の食料でもある、雲海に生息する浮行魚を食べてしまうらしい。			吹雪の中の鳥退治							
バテラーを討伐			バテラーを討伐			吹雪の中の鳥退治							
ロアヌに報告			ロアヌに報告			吹雪の中の鳥退治							
冒険者よ、お前に仕事をくれてやる。この近辺に棲む「バテラー」を5匹駆除してくるのだ。			冒険者よ、お前に仕事をくれてやる。この近辺に棲む「バテラー」を5匹駆除してくるのだ。			吹雪の中の鳥退治							
我ら騎士はドラゴン族との聖戦の渦中にあり、卑しき雑事にかまけることなど許されていない。ゆえに、特別にお前に任せる。ぬかるでないぞ。			我ら騎士はドラゴン族との聖戦の渦中にあり、卑しき雑事にかまけることなど許されていない。ゆえに、特別にお前に任せる。ぬかるでないぞ。			吹雪の中の鳥退治							
鳥(赤)を5匹討伐。			鳥(赤)を5匹討伐。			吹雪の中の鳥退治							
ご苦労だったな。お前に討伐を命じた「バテラー」は食欲旺盛でな、雲海に生息する浮行魚を食い荒らしてしまうのだ。			ご苦労だったな。お前に討伐を命じた「バテラー」は食欲旺盛でな、雲海に生息する浮行魚を食い荒らしてしまうのだ。			吹雪の中の鳥退治							
雲海産の魚は、ドラゴン族との聖戦に臨む、我ら誇り高き騎士の血肉にこそなるべきもの。魔物に食われるなど、ありうべからざることなのだ。			雲海産の魚は、ドラゴン族との聖戦に臨む、我ら誇り高き騎士の血肉にこそなるべきもの。魔物に食われるなど、ありうべからざることなのだ。			吹雪の中の鳥退治							
野戦病院にいるシドは、冒険者に協力してほしいことがあるようだ。			野戦病院にいるシドは、冒険者に協力してほしいことがあるようだ。			野戦病院の蒸留器							
*本クエストは調整されました。一度破棄し、ホワイトブリム前哨地の「シド」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、ホワイトブリム前哨地の「シド」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			野戦病院の蒸留器							
シドに指定された材料が集まった。ホワイトブリム前哨地にいる「シド」に「アイススプライトの核」を渡そう。			シドに指定された材料が集まった。ホワイトブリム前哨地にいる「シド」に「アイススプライトの核」を渡そう。			野戦病院の蒸留器							
蒸留器を改良することで、野戦病院の信頼を勝ち取ろうとしたが、異端審問官ギイェームに水を注されてしまった。異端審問官をどうにかしないと、らちが明かないようだ。			蒸留器を改良することで、野戦病院の信頼を勝ち取ろうとしたが、異端審問官ギイェームに水を注されてしまった。異端審問官をどうにかしないと、らちが明かないようだ。			野戦病院の蒸留器							
*本クエストは調整されました。一度破棄し、ホワイトブリム前哨地のシドから再受注してください			*本クエストは調整されました。一度破棄し、ホワイトブリム前哨地のシドから再受注してください			野戦病院の蒸留器							
ああ、お前か……。俺にできることはないかと思って、ここで調薬用の蒸留器の修理を手伝っていたんだ。			ああ、お前か……。俺にできることはないかと思って、ここで調薬用の蒸留器の修理を手伝っていたんだ。			野戦病院の蒸留器							
……道具の直し方は、はっきりわかるというのに、エンタープライズでここへ来たことも思い出せない……もどかしいな。			……道具の直し方は、はっきりわかるというのに、エンタープライズでここへ来たことも思い出せない……もどかしいな。			野戦病院の蒸留器							
飛空艇を取り戻すことに繋がると信じて、お前に頼みがある。「アイススプライト」を倒して、「アイススプライトの核」を6つ集めてきてくれないか？			飛空艇を取り戻すことに繋がると信じて、お前に頼みがある。「アイススプライト」を倒して、「アイススプライトの核」を6つ集めてきてくれないか？			野戦病院の蒸留器							
蒸留器を使いやすく改造してやろうと思ったが、この寒さでは、すぐに凍りついてしまうからな……。アイススプライトの力を、凍結防止に利用するんだ。			蒸留器を使いやすく改造してやろうと思ったが、この寒さでは、すぐに凍りついてしまうからな……。アイススプライトの力を、凍結防止に利用するんだ。			野戦病院の蒸留器							
（アイスエレメントを討伐し、アイテム入手）			（アイスエレメントを討伐し、アイテム入手）			野戦病院の蒸留器							
「アイススプライトの核」は集まったか？それがあれば作業は終わる。大改造は、無性にたぎるな……ふぅ……。			「アイススプライトの核」は集まったか？それがあれば作業は終わる。大改造は、無性にたぎるな……ふぅ……。			野戦病院の蒸留器							
院長～！？うちの蒸留器が、何だかよくわからないけど、スッゴイことになってますー！？			院長～！？うちの蒸留器が、何だかよくわからないけど、スッゴイことになってますー！？			野戦病院の蒸留器							
ええ……使い方すらわかりませんが、スッゴイことになっていますね……。こんな技術、イシュガルドでは見たことがありません……！			ええ……使い方すらわかりませんが、スッゴイことになっていますね……。こんな技術、イシュガルドでは見たことがありません……！			野戦病院の蒸留器							
この人たち、スッゴイ献身的だって話題なんですよぅ！わたしも差し入れを届けてもらったし……ドリユモン卿に、信頼できる人だってオススメしません！？			この人たち、スッゴイ献身的だって話題なんですよぅ！わたしも差し入れを届けてもらったし……ドリユモン卿に、信頼できる人だってオススメしません！？			野戦病院の蒸留器							
うーん……そうですね……。			うーん……そうですね……。			野戦病院の蒸留器							
オヤオヤ……ずいぶん地道な活動をしているのですね。いけませんよ、無垢な民をたぶらかすのは。			オヤオヤ……ずいぶん地道な活動をしているのですね。いけませんよ、無垢な民をたぶらかすのは。			野戦病院の蒸留器							
この冒険者は、異端嫌疑者をかばい、審問の邪魔をした。そんな人物を信じていいのか……神民の誇りをもって、考えてみなさい。			この冒険者は、異端嫌疑者をかばい、審問の邪魔をした。そんな人物を信じていいのか……神民の誇りをもって、考えてみなさい。			野戦病院の蒸留器							
なんと、そんな危険人物だったとは！スッゴイ技術を前に、冷静さを欠いていたようですね……。ありがとうございます、異端審問官様。			なんと、そんな危険人物だったとは！スッゴイ技術を前に、冷静さを欠いていたようですね……。ありがとうございます、異端審問官様。			野戦病院の蒸留器							
くっ……あと一歩だったってのに！あいつは、俺たちに恨みでもあるのか！？			くっ……あと一歩だったってのに！あいつは、俺たちに恨みでもあるのか！？			野戦病院の蒸留器							
あの異端審問官がいるかぎり、らちが明かない……。……何か、対策を立てる必要があるだろう。			あの異端審問官がいるかぎり、らちが明かない……。……何か、対策を立てる必要があるだろう。			野戦病院の蒸留器							
大審門の神殿騎士ショノーレーは、冒険者にもうひとつ仕事を与えたいようだ。			大審門の神殿騎士ショノーレーは、冒険者にもうひとつ仕事を与えたいようだ。			聖戦の一助							
素材の調達を依頼された。「チンチラ」を4匹倒し、「チンチラの獣脂」を入手しよう。			素材の調達を依頼された。「チンチラ」を4匹倒し、「チンチラの獣脂」を入手しよう。			聖戦の一助							
チンチラの獣脂を入手した。大審門の神殿騎士「ショノーレー」に渡そう。			チンチラの獣脂を入手した。大審門の神殿騎士「ショノーレー」に渡そう。			聖戦の一助							
ショノーレーにチンチラの獣脂を渡した。彼によれば、この獣油はチョコボのしもやけに塗る軟膏になるのだそうだ。			ショノーレーにチンチラの獣脂を渡した。彼によれば、この獣油はチョコボのしもやけに塗る軟膏になるのだそうだ。			聖戦の一助							
チンチラからチンチラの獣脂を入手			チンチラからチンチラの獣脂を入手			聖戦の一助							
ショノーレーにチンチラの獣脂を渡す			ショノーレーにチンチラの獣脂を渡す			聖戦の一助							
事のついでだ、貴様にもうひとつ雑役をくれてやろう。その辺りに棲む「チンチラ」を倒し、「チンチラの獣脂」を入手してくるのだ。			事のついでだ、貴様にもうひとつ雑役をくれてやろう。その辺りに棲む「チンチラ」を倒し、「チンチラの獣脂」を入手してくるのだ。			聖戦の一助							
……そうだな、数は4つほどでいい。我ら神殿騎士の一助となるは、聖戦の一助となるに同じ。身に余る誉れにむせびつつ、急ぎ片を付けて参るがいい。			……そうだな、数は4つほどでいい。我ら神殿騎士の一助となるは、聖戦の一助となるに同じ。身に余る誉れにむせびつつ、急ぎ片を付けて参るがいい。			聖戦の一助							
グリフォンを4匹倒し、「チンチラの獣脂」をゲット			グリフォンを4匹倒し、「チンチラの獣脂」をゲット			聖戦の一助							
どうだ、「チンチラの獣脂」は入手できたか？頼んでいたのは4つだぞ。			どうだ、「チンチラの獣脂」は入手できたか？頼んでいたのは4つだぞ。			聖戦の一助							
