アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
呼びつけてすまぬな。引き続き、偽神獣の件で協力してもらいたい。			呼びつけてすまぬな。引き続き、偽神獣の件で協力してもらいたい。			髑髏の処刑人							
また会えたな、Forename。俺も今、「白羽根の会」の活動報告をしていたところさ。動かないと身体がなまっちまうからな。			また会えたな、Forename。俺も今、「白羽根の会」の活動報告をしていたところさ。動かないと身体がなまっちまうからな。			髑髏の処刑人							
まずは吾輩から偽神獣に関する報告をさせてくれ。結論から言うと、未だ発見には至っていない。どういうわけか、一件の目撃情報もなく、手掛かりが皆無の状態だ。			まずは吾輩から偽神獣に関する報告をさせてくれ。結論から言うと、未だ発見には至っていない。どういうわけか、一件の目撃情報もなく、手掛かりが皆無の状態だ。			髑髏の処刑人							
再び姿を現し、被害が出る前に討伐したいところだが……ギラバニア各地で獣化が相次いで報告されていてな。解放軍はそちらの対応を優先せざるを得なくなっている。			再び姿を現し、被害が出る前に討伐したいところだが……ギラバニア各地で獣化が相次いで報告されていてな。解放軍はそちらの対応を優先せざるを得なくなっている。			髑髏の処刑人							
……そして残念なことに、獣化した者たちが、髑髏連隊の関係者だったという噂が広まりつつある。それが遺族らの自責の念を煽り、獣化を誘発しているようなのだ。			……そして残念なことに、獣化した者たちが、髑髏連隊の関係者だったという噂が広まりつつある。それが遺族らの自責の念を煽り、獣化を誘発しているようなのだ。			髑髏の処刑人							
遺族たちを集めて保護すべきという意見も出たんだが、それこそ、差別を助長してしまいかねないだろ？何が最善なのか、難しいところだよ……。			遺族たちを集めて保護すべきという意見も出たんだが、それこそ、差別を助長してしまいかねないだろ？何が最善なのか、難しいところだよ……。			髑髏の処刑人							
「白羽根の会」の面々も、遺族たちの支援に回ってくれているが、それでも獣化が疑われるような事例が、数件出てしまっている。ゆえに、吾輩と手分けして対処にあたってもらいたい。			「白羽根の会」の面々も、遺族たちの支援に回ってくれているが、それでも獣化が疑われるような事例が、数件出てしまっている。ゆえに、吾輩と手分けして対処にあたってもらいたい。			髑髏の処刑人							
この件に関しては、新たに協力を志願してくれた人物がいてね。Forenameもよく知っている奴だぜ？まあ、なんだ……少し愛想は悪いが……			この件に関しては、新たに協力を志願してくれた人物がいてね。Forenameもよく知っている奴だぜ？まあ、なんだ……少し愛想は悪いが……			髑髏の処刑人							
(-？？？？-)何か言ったか？			(-？？？？-)何か言ったか？			髑髏の処刑人							
……お前と組むようにとの指示だ。ひとりで十分だと言ったが、監視が必要らしい。			……お前と組むようにとの指示だ。ひとりで十分だと言ったが、監視が必要らしい。			髑髏の処刑人							
そう卑屈になるなよ、フォルドラ。Forenameに同行してもらうのは、癒し手として、フォローしてもらうためなんだ。			そう卑屈になるなよ、フォルドラ。Forenameに同行してもらうのは、癒し手として、フォローしてもらうためなんだ。			髑髏の処刑人							
ああ、その通りだ。お前のことを信用していないわけではない。			ああ、その通りだ。お前のことを信用していないわけではない。			髑髏の処刑人							
だったら、この囚人用の首輪を外してもらいたいところだが。……まあいい、そいつなら足手まといにはならないだろうからな。			だったら、この囚人用の首輪を外してもらいたいところだが。……まあいい、そいつなら足手まといにはならないだろうからな。			髑髏の処刑人							
ふたりには協力要請があったアラガーナへ向かってもらいたい。あの辺りは「白羽根の会」の本拠地があることもあって、支援対象となる遺族も集まっているのだ。			ふたりには協力要請があったアラガーナへ向かってもらいたい。あの辺りは「白羽根の会」の本拠地があることもあって、支援対象となる遺族も集まっているのだ。			髑髏の処刑人							
……髑髏連隊に関わることなら、なにがあろうと、私がこの手で始末をつける。			……髑髏連隊に関わることなら、なにがあろうと、私がこの手で始末をつける。			髑髏の処刑人							
……行くぞ。			……行くぞ。			髑髏の処刑人							
……フォルドラのこと、どうか頼んだよ。今回の一件で、最も自責の念を感じているのは、髑髏連隊の隊長であった彼女のはずなんだ……。			……フォルドラのこと、どうか頼んだよ。今回の一件で、最も自責の念を感じているのは、髑髏連隊の隊長であった彼女のはずなんだ……。			髑髏の処刑人							
そのうえ、フォルドラは超越者としての強化の副作用で、頻繁に過去視が発生する体質になっている。彼女自身が望んだ任務とはいえ、心配なんだ。			そのうえ、フォルドラは超越者としての強化の副作用で、頻繁に過去視が発生する体質になっている。彼女自身が望んだ任務とはいえ、心配なんだ。			髑髏の処刑人							
本当だったら俺だって……！			本当だったら俺だって……！			髑髏の処刑人							
……いや、すまない。俺は俺にしかできないことを探すって、決めたんだ。必ず、前に進んでみせるさ。			……いや、すまない。俺は俺にしかできないことを探すって、決めたんだ。必ず、前に進んでみせるさ。			髑髏の処刑人							
「アラガーナ」でフォルドラと落ち合ってくれ。頼むぞ、Forename。			「アラガーナ」でフォルドラと落ち合ってくれ。頼むぞ、Forename。			髑髏の処刑人							
フォルドラのこと、よろしく頼む。俺は俺で、できることを探すからさ。			フォルドラのこと、よろしく頼む。俺は俺で、できることを探すからさ。			髑髏の処刑人							
……め、珍しい組み合わせだな。			……め、珍しい組み合わせだな。			髑髏の処刑人							
……。			……。			髑髏の処刑人							
Forenameに、フォルドラ……？め、珍しい組み合わせだな。解放軍に協力を要請したものの、まさかお前たちが来るとは……。			Forenameに、フォルドラ……？め、珍しい組み合わせだな。解放軍に協力を要請したものの、まさかお前たちが来るとは……。			髑髏の処刑人							
……獣はどこにいる？			……獣はどこにいる？			髑髏の処刑人							
ああ、もちろん伝えるが、その前にフォルドラ……。代表者会議以来だったかな。ええと……あのときは……お前のおかげで……。			ああ、もちろん伝えるが、その前にフォルドラ……。代表者会議以来だったかな。ええと……あのときは……お前のおかげで……。			髑髏の処刑人							
……終わったことはもういい。			……終わったことはもういい。			髑髏の処刑人							
そ、そうか……では本題に入ろう。実は、この近辺で活動していた「白羽根の会」の同志から、髑髏連隊の遺族ら数名と連絡が取れなくなったと、報告があった。			そ、そうか……では本題に入ろう。実は、この近辺で活動していた「白羽根の会」の同志から、髑髏連隊の遺族ら数名と連絡が取れなくなったと、報告があった。			髑髏の処刑人							
件の遺族は、祖父、祖母、母の3人暮らしのはずだが、巡回担当が自宅を訪ねたところ、ひとりの姿もなかった。室内は荒れ果て、鋭い爪で引っ掻かれたような傷があったそうだ。			件の遺族は、祖父、祖母、母の3人暮らしのはずだが、巡回担当が自宅を訪ねたところ、ひとりの姿もなかった。室内は荒れ果て、鋭い爪で引っ掻かれたような傷があったそうだ。			髑髏の処刑人							
……獣に堕ちた可能性があるということか。			……獣に堕ちた可能性があるということか。			髑髏の処刑人							
名前を伝えておくので、3人を捜索してもらいたい。万が一、獣化しているようだったら……人を襲ってしまう前に……どうか楽にしてやってほしい。			名前を伝えておくので、3人を捜索してもらいたい。万が一、獣化しているようだったら……人を襲ってしまう前に……どうか楽にしてやってほしい。			髑髏の処刑人							
手分けして探す方が早いだろう。私は西側を……お前は東側の捜索を頼む。			手分けして探す方が早いだろう。私は西側を……お前は東側の捜索を頼む。			髑髏の処刑人							
フォルドラの過去の行いを水に流すことなどできないが、彼女だけが悪いのではないと、今は考えを改めたのでな……。その後の彼女の活躍も、アレンヴァルドからきいている。			フォルドラの過去の行いを水に流すことなどできないが、彼女だけが悪いのではないと、今は考えを改めたのでな……。その後の彼女の活躍も、アレンヴァルドからきいている。			髑髏の処刑人							
しかし……いざ彼女を前にすると、どう接していいものやら、迷いが生じてしまうな。			しかし……いざ彼女を前にすると、どう接していいものやら、迷いが生じてしまうな。			髑髏の処刑人							
開封済みの手紙だ。何度も読まれたものなのか、端がボロボロになっている。宛名は依頼された捜索対象者のものだ。			開封済みの手紙だ。何度も読まれたものなのか、端がボロボロになっている。宛名は依頼された捜索対象者のものだ。			髑髏の処刑人							
中身を読みますか？			中身を読みますか？			髑髏の処刑人							
(-遺族宛の手紙-)お母さん、今までなにも親孝行できなくてごめんなさい。自由を勝ち取ったら、必ず迎えにいきます。それまでどうか身体に気を付けて、元気でいてください。			(-遺族宛の手紙-)お母さん、今までなにも親孝行できなくてごめんなさい。自由を勝ち取ったら、必ず迎えにいきます。それまでどうか身体に気を付けて、元気でいてください。			髑髏の処刑人							
……残りの遺族を探そう。			……残りの遺族を探そう。			髑髏の処刑人							
指輪が落ちている。名前らしき文字と日付が刻まれている。結婚指輪だろうか……捜索対象者のひとりと名前が一致した。			指輪が落ちている。名前らしき文字と日付が刻まれている。結婚指輪だろうか……捜索対象者のひとりと名前が一致した。			髑髏の処刑人							
この辺りには、もう手がかりはないようだ。ラガンフリッドに報告しよう……。			この辺りには、もう手がかりはないようだ。ラガンフリッドに報告しよう……。			髑髏の処刑人							
……その様子では、すでに獣化していたようだな。			……その様子では、すでに獣化していたようだな。			髑髏の処刑人							
捜索ご苦労だった。そちらも、遺族は見つかっただろうか？			捜索ご苦労だった。そちらも、遺族は見つかっただろうか？			髑髏の処刑人							
そうか……手遅れだったか……。またしても力が及ばなかった。			そうか……手遅れだったか……。またしても力が及ばなかった。			髑髏の処刑人							
こちらも別の獣を始末した。……それから、この指輪は遺品だろう。			こちらも別の獣を始末した。……それから、この指輪は遺品だろう。			髑髏の処刑人							
ふたりともありがとう。この遺品だけでも、丁重に弔ってやらねばな。彼らがこのアラミゴで、立派に生きた証だ。			ふたりともありがとう。この遺品だけでも、丁重に弔ってやらねばな。彼らがこのアラミゴで、立派に生きた証だ。			髑髏の処刑人							
……。			……。			髑髏の処刑人							
お前の目には偽善行為に見えるかもしれぬが、帝国に勝った今、我らはみな故郷を同じとするアラミゴ人だ。こんな悲しい最期があってはならないだろう……。			お前の目には偽善行為に見えるかもしれぬが、帝国に勝った今、我らはみな故郷を同じとするアラミゴ人だ。こんな悲しい最期があってはならないだろう……。			髑髏の処刑人							
ひとりでも多くの同胞を救いたい。今は地道に、絶望せぬよう対話を続けるしかないのだ。			ひとりでも多くの同胞を救いたい。今は地道に、絶望せぬよう対話を続けるしかないのだ。			髑髏の処刑人							
とにもかくにも、遺族たちの行方はわかったわけだ。ふたりとも、今回は嫌な役回りをさせてしまい、すまなかったな。			とにもかくにも、遺族たちの行方はわかったわけだ。ふたりとも、今回は嫌な役回りをさせてしまい、すまなかったな。			髑髏の処刑人							
(-？？？？-)ラガンフリッドさん、検品終わりましたよ！			(-？？？？-)ラガンフリッドさん、検品終わりましたよ！			髑髏の処刑人							
ああ、エヴラット君……！ご苦労だったね、疲れただろう。			ああ、エヴラット君……！ご苦労だったね、疲れただろう。			髑髏の処刑人							
紹介しよう。彼もまた「白羽根の会」の支援対象者で、髑髏連隊の遺族のひとりだ。			紹介しよう。彼もまた「白羽根の会」の支援対象者で、髑髏連隊の遺族のひとりだ。			髑髏の処刑人							
当初は、支援を拒んでいたのだが、辛抱強く接するうちに、心をひらいてくれるようになったのだ。今は我々の仲介によって、ここで仕事に就いたところでな……			当初は、支援を拒んでいたのだが、辛抱強く接するうちに、心をひらいてくれるようになったのだ。今は我々の仲介によって、ここで仕事に就いたところでな……			髑髏の処刑人							
おっ、お前は……髑髏の処刑人！！			おっ、お前は……髑髏の処刑人！！			髑髏の処刑人							
そうか……そうだった……許されていいはずがないんだ……。俺は、やっぱり、薄汚い裏切り者なんだ……。身内から同胞殺しを出した、売国奴……売国奴……売国奴ォォ……。			そうか……そうだった……許されていいはずがないんだ……。俺は、やっぱり、薄汚い裏切り者なんだ……。身内から同胞殺しを出した、売国奴……売国奴……売国奴ォォ……。			髑髏の処刑人							
皆そいつから離れろ！獣化するぞ！！			皆そいつから離れろ！獣化するぞ！！			髑髏の処刑人							
私の子どもに近付かないで！！！			私の子どもに近付かないで！！！			髑髏の処刑人							
彼女は子どもの命を守ったのだぞ！			彼女は子どもの命を守ったのだぞ！			髑髏の処刑人							
ご、ごめんなさい……。つい……。			ご、ごめんなさい……。つい……。			髑髏の処刑人							
なんて……なんてことだ……。ようやく心を開いてくれた、エヴラット君が…………。			なんて……なんてことだ……。ようやく心を開いてくれた、エヴラット君が…………。			髑髏の処刑人							
いや、私が迂闊だったのだ……。遺族たちが負った心の傷は、想像よりもずっと深い……。それなのに……すまない、本当にすまない……。			いや、私が迂闊だったのだ……。遺族たちが負った心の傷は、想像よりもずっと深い……。それなのに……すまない、本当にすまない……。			髑髏の処刑人							
とはいえ、今は生き残った者のことも考えなければ……。すまんが、フォルドラの傷を手当てしてやってくれぬか？私はここの者たちに、事情を説明しよう。			とはいえ、今は生き残った者のことも考えなければ……。すまんが、フォルドラの傷を手当てしてやってくれぬか？私はここの者たちに、事情を説明しよう。			髑髏の処刑人							
気が動転してしまって……。娘の命の恩人だというのに、私は酷いことを……。			気が動転してしまって……。娘の命の恩人だというのに、私は酷いことを……。			髑髏の処刑人							
すごくこわかったけど、あのお姉ちゃんが助けてくれたの。きちんとお礼が言いたかったのに……。			すごくこわかったけど、あのお姉ちゃんが助けてくれたの。きちんとお礼が言いたかったのに……。			髑髏の処刑人							
……あの母親の態度とて、責められまいよ。根底にあるのは、相手をよく知らぬがゆえの恐怖なのだ……。それにしても、ああ……エヴラット君……本当にすまない……。			……あの母親の態度とて、責められまいよ。根底にあるのは、相手をよく知らぬがゆえの恐怖なのだ……。それにしても、ああ……エヴラット君……本当にすまない……。			髑髏の処刑人							
……大した傷じゃない、大丈夫だ。お前は先に戻っていろ。			……大した傷じゃない、大丈夫だ。お前は先に戻っていろ。			髑髏の処刑人							
……放っておいてくれッ！			……放っておいてくれッ！			髑髏の処刑人							
何と言う？			何と言う？			髑髏の処刑人							
フォルドラが心配だ			フォルドラが心配だ			髑髏の処刑人							
癒し手として放っておけない			癒し手として放っておけない			髑髏の処刑人							
チッ……。どいつもこいつもお節介だな……好きにしろ。			チッ……。どいつもこいつもお節介だな……好きにしろ。			髑髏の処刑人							
チッ……。存外強引だな……わかったから、早くしてくれ。			チッ……。存外強引だな……わかったから、早くしてくれ。			髑髏の処刑人							
……あの母親の態度を見ただろう？表面上は取り繕ったって、結局腹の底は皆同じさ。			……あの母親の態度を見ただろう？表面上は取り繕ったって、結局腹の底は皆同じさ。			髑髏の処刑人							
なぜ、そんな顔をする？私はお前のような英雄が救うに値しない、ただの罪人だ。多くの命を奪い、仲間まで手にかけた……！			なぜ、そんな顔をする？私はお前のような英雄が救うに値しない、ただの罪人だ。多くの命を奪い、仲間まで手にかけた……！			髑髏の処刑人							
共に育ち、共に苦しみ、共に自由を夢見てきた仲間を、私はッ、殺したんだ……！			共に育ち、共に苦しみ、共に自由を夢見てきた仲間を、私はッ、殺したんだ……！			髑髏の処刑人							
これは……さっきの男と同じ靄……！？			これは……さっきの男と同じ靄……！？			髑髏の処刑人							
クソ……クソッ！！！			クソ……クソッ！！！			髑髏の処刑人							
何と言う？			何と言う？			髑髏の処刑人							
気をしっかり持て			気をしっかり持て			髑髏の処刑人							
大丈夫、自分がそばにいる			大丈夫、自分がそばにいる			髑髏の処刑人							
ハァ……ハァッ…………。			ハァ……ハァッ…………。			髑髏の処刑人							
視たんだ……あの男の過去を……。私が、死なせた……あいつの家族を……！			視たんだ……あの男の過去を……。私が、死なせた……あいつの家族を……！			髑髏の処刑人							
すまない……落ち着く時間をくれ。それまで、少しでいい……近くにいてほしい……。			すまない……落ち着く時間をくれ。それまで、少しでいい……近くにいてほしい……。			髑髏の処刑人							
……私は髑髏連隊で戦ったことを後悔などしていない。後悔は、同胞の自由につながると信じて戦い、死んでいった仲間たちを侮辱するに等しい。			……私は髑髏連隊で戦ったことを後悔などしていない。後悔は、同胞の自由につながると信じて戦い、死んでいった仲間たちを侮辱するに等しい。			髑髏の処刑人							
だが、ときどき自分の運命を呪うことがある。生まれた土地、時代、境遇がほんの少し違っただけで、死ななくて済んだ命が、無数にあっただろう。			だが、ときどき自分の運命を呪うことがある。生まれた土地、時代、境遇がほんの少し違っただけで、死ななくて済んだ命が、無数にあっただろう。			髑髏の処刑人							
私たちは皆平等に、同じ命だというのにな。			私たちは皆平等に、同じ命だというのにな。			髑髏の処刑人							
もちろん私にだって、違う道を歩めた可能性はあっただろう。			もちろん私にだって、違う道を歩めた可能性はあっただろう。			髑髏の処刑人							
……私の幼馴染に、ある兄弟がいてな。直情型の兄は、私と共に帝国軍に入り、心根の優しい弟は、戦いを嫌って志願を取りやめたんだ。			……私の幼馴染に、ある兄弟がいてな。直情型の兄は、私と共に帝国軍に入り、心根の優しい弟は、戦いを嫌って志願を取りやめたんだ。			髑髏の処刑人							
結果、兄の方は……私が命じた砲撃で死んだ。弟の方は今も生きているはずだが、とても顔向けはできない。私と違う道で、せめて自由を得ていてくれたならと、願っている。			結果、兄の方は……私が命じた砲撃で死んだ。弟の方は今も生きているはずだが、とても顔向けはできない。私と違う道で、せめて自由を得ていてくれたならと、願っている。			髑髏の処刑人							
何と言う？			何と言う？			髑髏の処刑人							
フルドルフという名の青年に出会った			フルドルフという名の青年に出会った			髑髏の処刑人							
砲撃から奇跡的に生還した青年を知っている			砲撃から奇跡的に生還した青年を知っている			髑髏の処刑人							
フルドルフが……！？そうか、あいつは生きていたのか……！			フルドルフが……！？そうか、あいつは生きていたのか……！			髑髏の処刑人							
まさか……！詳しく話を聞かせてくれ……！			まさか……！詳しく話を聞かせてくれ……！			髑髏の処刑人							
実は他にも、生還した昔馴染みがいるんだ。名をフルドルフと言ってな……。偶然にも、生還した事実を過去視で知ることになった。			実は他にも、生還した昔馴染みがいるんだ。名をフルドルフと言ってな……。偶然にも、生還した事実を過去視で知ることになった。			髑髏の処刑人							
……必死に生き延びた仲間たちがいる。偽神獣に髑髏連隊が関わっている可能性があるのなら、最後は私が……この手でカタをつけたいんだ……。			……必死に生き延びた仲間たちがいる。偽神獣に髑髏連隊が関わっている可能性があるのなら、最後は私が……この手でカタをつけたいんだ……。			髑髏の処刑人							
チッ……今日の私は喋りすぎだな。さっきは迷惑をかけた、もう大丈夫だ。			チッ……今日の私は喋りすぎだな。さっきは迷惑をかけた、もう大丈夫だ。			髑髏の処刑人							
私はアラミガン・クォーターに戻る。「ラウバーン」隊長へは、お前からも報告を頼む。			私はアラミガン・クォーターに戻る。「ラウバーン」隊長へは、お前からも報告を頼む。			髑髏の処刑人							
戻ったか、礼を言う。フォルドラから簡単な報告は受けてはいるが、貴様から見た今回の一件を聞かせてくれぬだろうか。			戻ったか、礼を言う。フォルドラから簡単な報告は受けてはいるが、貴様から見た今回の一件を聞かせてくれぬだろうか。			髑髏の処刑人							
そうか……。フォルドラが危うく獣化を……。			そうか……。フォルドラが危うく獣化を……。			髑髏の処刑人							
任務続行が可能かどうかは、慎重に検討しよう。			任務続行が可能かどうかは、慎重に検討しよう。			髑髏の処刑人							
Forenameたちの活躍のおかげもあり、獣の被害は最小限に食い止められている。だが、依然として髑髏連隊の遺族を中心に獣化は続いている状況だ。			Forenameたちの活躍のおかげもあり、獣の被害は最小限に食い止められている。だが、依然として髑髏連隊の遺族を中心に獣化は続いている状況だ。			髑髏の処刑人							
「白羽根の会」の報告では、遺族たちは集落を避け、辺境の地で身を隠して生活している者もいるらしい。中には、ザナラーンに移住した者さえいるのだとか……。			「白羽根の会」の報告では、遺族たちは集落を避け、辺境の地で身を隠して生活している者もいるらしい。中には、ザナラーンに移住した者さえいるのだとか……。			髑髏の処刑人							
解放軍はウルダハの不滅隊と共同戦線を張っているが、さらに連携を強化し、対策を講じる必要があるだろう。			解放軍はウルダハの不滅隊と共同戦線を張っているが、さらに連携を強化し、対策を講じる必要があるだろう。			髑髏の処刑人							
そういうわけで、ナナモ女王陛下への謁見を申請しようと思う。謁見の際には、貴様も共に来てくれると助かる。許可が下りるまでは、しばし待っていてくれ。			そういうわけで、ナナモ女王陛下への謁見を申請しようと思う。謁見の際には、貴様も共に来てくれると助かる。許可が下りるまでは、しばし待っていてくれ。			髑髏の処刑人							
おかえりなさいませ！お怪我はありませんでしたか？			おかえりなさいませ！お怪我はありませんでしたか？			髑髏の処刑人							
黒渦団：軍令部の黒渦団の書記官は、冒険者に共有したい情報があるようだ。			黒渦団：軍令部の黒渦団の書記官は、冒険者に共有したい情報があるようだ。			融和派と海嘯派							
黒渦団の書記官と話した。黒渦団を率いるメルウィブは、融和派のサハギン族と協力して、偽神獣を含む終末の獣の捜索を行いながら、海嘯派との対話を行うことで、新たに獣に転化する者が現れないようにしたいという。そのためには、海嘯派の司祭「ドォウ」と会う必要があるようだ。西ラノシアの南防波壁の「メルウィブ」と話そう。			黒渦団の書記官と話した。黒渦団を率いるメルウィブは、融和派のサハギン族と協力して、偽神獣を含む終末の獣の捜索を行いながら、海嘯派との対話を行うことで、新たに獣に転化する者が現れないようにしたいという。そのためには、海嘯派の司祭「ドォウ」と会う必要があるようだ。西ラノシアの南防波壁の「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブと話した。メルウィブを同行した状態で、西ラノシアのハーフストーンの「海嘯派のサハギン族」と話そう。※同行状態が解除された場合、再度「メルウィブ」に話しかけることで同行を再開できます。			メルウィブと話した。メルウィブを同行した状態で、西ラノシアのハーフストーンの「海嘯派のサハギン族」と話そう。※同行状態が解除された場合、再度「メルウィブ」に話しかけることで同行を再開できます。			融和派と海嘯派							
メルウィブとともに、海嘯派のサハギン族から話を聞いた。メルウィブを同行した状態で、西ラノシアのサプサ産卵地の「激流のドォウ」と話そう。			メルウィブとともに、海嘯派のサハギン族から話を聞いた。メルウィブを同行した状態で、西ラノシアのサプサ産卵地の「激流のドォウ」と話そう。			融和派と海嘯派							
メルウィブとともに、激流のドォウと話した。南防波壁の「メルウィブ」と話そう。			メルウィブとともに、激流のドォウと話した。南防波壁の「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブとともに、海嘯派との対話に臨んだ。メルウィブは、海嘯派に対して共闘を申し入れたが、ドォウは聞く耳を持たず。それどころか、ドォウの言葉で絶望を煽られた海嘯派のサハギン族たちが、終末の獣へと転化してしまう。南防波壁に現れた終末の獣を討伐しよう。			メルウィブとともに、海嘯派との対話に臨んだ。メルウィブは、海嘯派に対して共闘を申し入れたが、ドォウは聞く耳を持たず。それどころか、ドォウの言葉で絶望を煽られた海嘯派のサハギン族たちが、終末の獣へと転化してしまう。南防波壁に現れた終末の獣を討伐しよう。			融和派と海嘯派							
終末の獣を討伐した。南防波壁の「望潮のノォル」と話そう。			終末の獣を討伐した。南防波壁の「望潮のノォル」と話そう。			融和派と海嘯派							
望潮のノォルと話した。西ラノシアのスカルバレーの「メルウィブ」と話そう。			望潮のノォルと話した。西ラノシアのスカルバレーの「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブと話した。上甲板層の黒渦団：軍令部の「メルウィブ」と話そう。			メルウィブと話した。上甲板層の黒渦団：軍令部の「メルウィブ」と話そう。			融和派と海嘯派							
メルウィブと話した。海嘯派の対立が確定的になったことで、今後はさらなる妨害が予想されるだろう。しかしいまは、新たな情報が入るのを待つことしかできない。※いずれかの近接物理DPSジョブのレベルが87以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			メルウィブと話した。海嘯派の対立が確定的になったことで、今後はさらなる妨害が予想されるだろう。しかしいまは、新たな情報が入るのを待つことしかできない。※いずれかの近接物理DPSジョブのレベルが87以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			融和派と海嘯派							
南防波壁のメルウィブと話して同行させる			南防波壁のメルウィブと話して同行させる			融和派と海嘯派							
メルウィブを連れて海嘯派のサハギン族と話す			メルウィブを連れて海嘯派のサハギン族と話す			融和派と海嘯派							
メルウィブを連れて激流のドォウと話す			メルウィブを連れて激流のドォウと話す			融和派と海嘯派							
メルウィブと話す			メルウィブと話す			融和派と海嘯派							
終末の獣を討伐			終末の獣を討伐			融和派と海嘯派							
望潮のノォルと話す			望潮のノォルと話す			融和派と海嘯派							
メルウィブと話す			メルウィブと話す			融和派と海嘯派							
黒渦団：軍令部のメルウィブと話す			黒渦団：軍令部のメルウィブと話す			融和派と海嘯派							
あれからメルウィブ提督は、融和派との会談を重ねて、情報網の構築を急いでいます。いまも提督室で終末の獣の対策会議を行っております。			あれからメルウィブ提督は、融和派との会談を重ねて、情報網の構築を急いでいます。いまも提督室で終末の獣の対策会議を行っております。			融和派と海嘯派							
Forename、来ていたのか。ちょうど会議が終わったところだ。決まった対策を共有しよう。			Forename、来ていたのか。ちょうど会議が終わったところだ。決まった対策を共有しよう。			融和派と海嘯派							
現在、我々はサハギン族の獣化と、偽神獣というふたつの問題に直面している。			現在、我々はサハギン族の獣化と、偽神獣というふたつの問題に直面している。			融和派と海嘯派							
絶望によって獣に転化しているのは、人との共存を拒む、「海嘯派(かいしょうは)」の者たちだ。この問題を解決しない限り、真の融和は叶わない。			絶望によって獣に転化しているのは、人との共存を拒む、「海嘯派(かいしょうは)」の者たちだ。この問題を解決しない限り、真の融和は叶わない。			融和派と海嘯派							
そこで我らは、ふたつの対策を打ち立てた。			そこで我らは、ふたつの対策を打ち立てた。			融和派と海嘯派							
ひとつは、黒渦団と融和派の合同による監視体制の強化。偽神獣を含む獣を発見次第、情報を共有し、迅速に討伐する。二次被害を防ぐためにな……。			ひとつは、黒渦団と融和派の合同による監視体制の強化。偽神獣を含む獣を発見次第、情報を共有し、迅速に討伐する。二次被害を防ぐためにな……。			融和派と海嘯派							
ふたつめは、海嘯派との対話続行だ。さらなる獣化を防ぐには、彼らの絶望を和らげねばならない。			ふたつめは、海嘯派との対話続行だ。さらなる獣化を防ぐには、彼らの絶望を和らげねばならない。			融和派と海嘯派							
そのためには、サハギン族が求めてきた、産卵地の確保という命題に向き合う必要があるだろう。私は、この点で譲歩も辞さない覚悟だ。			そのためには、サハギン族が求めてきた、産卵地の確保という命題に向き合う必要があるだろう。私は、この点で譲歩も辞さない覚悟だ。			融和派と海嘯派							
だから、今回もコボルド族の時と同様に希望はあるはずだ。まずは、海嘯派と腹を割って話し合いたい。			だから、今回もコボルド族の時と同様に希望はあるはずだ。まずは、海嘯派と腹を割って話し合いたい。			融和派と海嘯派							
何と言う？			何と言う？			融和派と海嘯派							
素直に話し合いに応じるだろうか？			素直に話し合いに応じるだろうか？			融和派と海嘯派							
無理だと思う			無理だと思う			融和派と海嘯派							
やってみなければわからんさ。潮目のよいことに、融和派のノォル殿より、海嘯派の司祭「ドォウ」殿が、サプサ産卵地に来ていると聞いた。			やってみなければわからんさ。潮目のよいことに、融和派のノォル殿より、海嘯派の司祭「ドォウ」殿が、サプサ産卵地に来ていると聞いた。			融和派と海嘯派							
海嘯派の指導者だというドォウ殿と、会談の場を設けたく、無礼を承知の上で、これより現地に赴き、交渉を試みるつもりだ。ぜひ、君にも協力してもらいたい。			海嘯派の指導者だというドォウ殿と、会談の場を設けたく、無礼を承知の上で、これより現地に赴き、交渉を試みるつもりだ。ぜひ、君にも協力してもらいたい。			融和派と海嘯派							
ありがとう。では、「南防波壁」に集結し、共に向かうとしよう。			ありがとう。では、「南防波壁」に集結し、共に向かうとしよう。			融和派と海嘯派							
来てくれたか。こちらの準備も万端だ。			来てくれたか。こちらの準備も万端だ。			融和派と海嘯派							
先にも述べたとおり、今回の目標は、海嘯派の指導者である司祭「ドォウ」殿との交渉にある。			先にも述べたとおり、今回の目標は、海嘯派の指導者である司祭「ドォウ」殿との交渉にある。			融和派と海嘯派							
彼はサプサ産卵地を視察予定とのことだが、現時点では、その姿を確認できていない。			彼はサプサ産卵地を視察予定とのことだが、現時点では、その姿を確認できていない。			融和派と海嘯派							
まずは、話の通じそうな海嘯派のサハギン族に、その居場所を聞くのがいいだろう。			まずは、話の通じそうな海嘯派のサハギン族に、その居場所を聞くのがいいだろう。			融和派と海嘯派							
わかっていると思うが、我々は交渉しに行くのだ。もしも彼らと戦闘になったとて、私は手を出すことができない。どうか心得ておいてほしい。			わかっていると思うが、我々は交渉しに行くのだ。もしも彼らと戦闘になったとて、私は手を出すことができない。どうか心得ておいてほしい。			融和派と海嘯派							
