ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
うーん……いったいどうすれば……。			うーん……いったいどうすれば……。			新たな顧客はン・モゥ族							
あ、Forenameちゃん君。ちょっと聞いてほしい話があるんだ。			あ、Forenameちゃん君。ちょっと聞いてほしい話があるんだ。			新たな顧客はン・モゥ族							
キミの協力のおかげで、ズン族やモルド族、オンド族と取引関係を結ぶことができた。衛兵団しか顧客がいなかった頃を思えば、大躍進……なんだけど。			キミの協力のおかげで、ズン族やモルド族、オンド族と取引関係を結ぶことができた。衛兵団しか顧客がいなかった頃を思えば、大躍進……なんだけど。			新たな顧客はン・モゥ族							
実は、エイスモン君に給料を支払ったり、コラーナとスー・レンドを呼び戻すために使ったお金を差し引くと、黒鉄工房には、ほとんど資金が残らないのが現状なんだよ。			実は、エイスモン君に給料を支払ったり、コラーナとスー・レンドを呼び戻すために使ったお金を差し引くと、黒鉄工房には、ほとんど資金が残らないのが現状なんだよ。			新たな顧客はン・モゥ族							
この状況を打破するための方法はふたつ。大口取引をしてくれる太い顧客を探すか、エイスモン君の給料をカットするか。			この状況を打破するための方法はふたつ。大口取引をしてくれる太い顧客を探すか、エイスモン君の給料をカットするか。			新たな顧客はン・モゥ族							
イオラになんと言う？			イオラになんと言う？			新たな顧客はン・モゥ族							
新商品を開発しよう			新商品を開発しよう			新たな顧客はン・モゥ族							
エイスモンの給料を減らそう			エイスモンの給料を減らそう			新たな顧客はン・モゥ族							
うん、やっぱりそれがいいよね。ありがとう、Forenameちゃん君！			うん、やっぱりそれがいいよね。ありがとう、Forenameちゃん君！			新たな顧客はン・モゥ族							
よっしゃあっ、決まりね！エイスモン君の給料を10割引にしてもらおう！			よっしゃあっ、決まりね！エイスモン君の給料を10割引にしてもらおう！			新たな顧客はン・モゥ族							
……なんて、さすがに私も言えないよ。白ミミズが好物なのはアレだけど、悪い人じゃないし……。やっぱり、新たな顧客を探すしかないか。			……なんて、さすがに私も言えないよ。白ミミズが好物なのはアレだけど、悪い人じゃないし……。やっぱり、新たな顧客を探すしかないか。			新たな顧客はン・モゥ族							
実は、すでに次の顧客の目星はついているんだ。それは、犬のような姿をしたイル・メグに住む妖精、ン・モゥ族。フッブート王国が在った頃は、人とも友好的な関係にあったとか。			実は、すでに次の顧客の目星はついているんだ。それは、犬のような姿をしたイル・メグに住む妖精、ン・モゥ族。フッブート王国が在った頃は、人とも友好的な関係にあったとか。			新たな顧客はン・モゥ族							
なんでも噂によれば、公正な取引なら、応じてもらえるんだとか……。問題は、妖精が支配するイル・メグは、危険がいっぱいってこと。			なんでも噂によれば、公正な取引なら、応じてもらえるんだとか……。問題は、妖精が支配するイル・メグは、危険がいっぱいってこと。			新たな顧客はン・モゥ族							
彼らに認められた人が一緒だったら、話ぐらい聞いてくれそうなもんだけど……。そんなの、都合よく近くにいるわけないよねぇ？			彼らに認められた人が一緒だったら、話ぐらい聞いてくれそうなもんだけど……。そんなの、都合よく近くにいるわけないよねぇ？			新たな顧客はン・モゥ族							
何と答える？			何と答える？			新たな顧客はン・モゥ族							
ン・モゥ族とは面識がある			ン・モゥ族とは面識がある			新たな顧客はン・モゥ族							
妖精と話すことができる			妖精と話すことができる			新たな顧客はン・モゥ族							
うわぁ、いたよ！それもこんな近くに！！			うわぁ、いたよ！それもこんな近くに！！			新たな顧客はン・モゥ族							
でも、渡りに船とはまさにこのこと！キミがいれば、ン・モゥ族に会うことができるはず！旅の用意をしてくるから、イル・メグまでの道中で合流しよう！			でも、渡りに船とはまさにこのこと！キミがいれば、ン・モゥ族に会うことができるはず！旅の用意をしてくるから、イル・メグまでの道中で合流しよう！			新たな顧客はン・モゥ族							
さて、この先がイル・メグね。妖精が驚かせてくるかもしれないけど……はっきり言って無駄です！そんなことで動じる私じゃないってわけ！			さて、この先がイル・メグね。妖精が驚かせてくるかもしれないけど……はっきり言って無駄です！そんなことで動じる私じゃないってわけ！			新たな顧客はン・モゥ族							
さあ、新たな顧客との出会いに、しゅっぱーつ！！			さあ、新たな顧客との出会いに、しゅっぱーつ！！			新たな顧客はン・モゥ族							
先ほど、僕の給料をカットするとかどうとか、不穏なワードが聞こえた気がしたんですが……。僕の気のせいですよね……ね？			先ほど、僕の給料をカットするとかどうとか、不穏なワードが聞こえた気がしたんですが……。僕の気のせいですよね……ね？			新たな顧客はン・モゥ族							
うぎゃぁ～～～！！見えない何かがペタペタ触ってくる～～～～！！気持ちわり～～～～～！！！			うぎゃぁ～～～！！見えない何かがペタペタ触ってくる～～～～！！気持ちわり～～～～～！！！			新たな顧客はン・モゥ族							
あ、Forenameちゃん君～～～！早くン・モゥ族の集落に行くぞ～～～！！			あ、Forenameちゃん君～～～！早くン・モゥ族の集落に行くぞ～～～！！			新たな顧客はン・モゥ族							
おや、君は……長老から石の杖を与えられた冒険者ではないか。			おや、君は……長老から石の杖を与えられた冒険者ではないか。			新たな顧客はン・モゥ族							
こちらのお嬢さんは、君の連れかい？			こちらのお嬢さんは、君の連れかい？			新たな顧客はン・モゥ族							
あ、えっと……私、キミたちと取引がしたいの！かつてフッブート王国に仕えていたン・モゥ族は、フッブート金貨を持っているはず……それがほしい！			あ、えっと……私、キミたちと取引がしたいの！かつてフッブート王国に仕えていたン・モゥ族は、フッブート金貨を持っているはず……それがほしい！			新たな顧客はン・モゥ族							
ほう、なるほど。取引には相応の対価を要求するのが、我々、ン・モゥ族だ。金貨と釣り合いの取れる物でなければ、応じることはできないよ。			ほう、なるほど。取引には相応の対価を要求するのが、我々、ン・モゥ族だ。金貨と釣り合いの取れる物でなければ、応じることはできないよ。			新たな顧客はン・モゥ族							
ところで、君たちからは鉄の匂いがするね。もしや、鉄を扱う職人なのか？			ところで、君たちからは鉄の匂いがするね。もしや、鉄を扱う職人なのか？			新たな顧客はン・モゥ族							
ならば、「金属製の香炉」を造ってもらえないか？フッブート王国亡き後、この地から人が去ったことで、新しい香炉を手に入れることができず、困っていたのだ。			ならば、「金属製の香炉」を造ってもらえないか？フッブート王国亡き後、この地から人が去ったことで、新しい香炉を手に入れることができず、困っていたのだ。			新たな顧客はン・モゥ族							
金属製の香炉か……よし、わかったよ！黒鉄工房の名に懸けて、素晴らしい逸品を用意してみせる！設計するのは、私じゃないけど……。			金属製の香炉か……よし、わかったよ！黒鉄工房の名に懸けて、素晴らしい逸品を用意してみせる！設計するのは、私じゃないけど……。			新たな顧客はン・モゥ族							
では、完成した頃合いを見て、君の工房に伺うとしよう。			では、完成した頃合いを見て、君の工房に伺うとしよう。			新たな顧客はン・モゥ族							
そうと決まれば、すぐに取りかからなくちゃ！「ミーン工芸館」に戻りましょ！			そうと決まれば、すぐに取りかからなくちゃ！「ミーン工芸館」に戻りましょ！			新たな顧客はン・モゥ族							
Forenameちゃん君、おかえり。			Forenameちゃん君、おかえり。			新たな顧客はン・モゥ族							
ン・モゥ族をこの目で見るのは初めてだったけど、話に聞いたとおり、犬みたいな種族だったね。可愛いかどうかは、正直微妙な所だけど……。			ン・モゥ族をこの目で見るのは初めてだったけど、話に聞いたとおり、犬みたいな種族だったね。可愛いかどうかは、正直微妙な所だけど……。			新たな顧客はン・モゥ族							
ともかく、この取引が上手くいったら、フッブート金貨がザクザクと手に入るかもしれない！そうなれば、黒鉄工房の経営は安泰……の、はず！			ともかく、この取引が上手くいったら、フッブート金貨がザクザクと手に入るかもしれない！そうなれば、黒鉄工房の経営は安泰……の、はず！			新たな顧客はン・モゥ族							
さて、それじゃ、ニイ＝マーンに頼まれた「金属製の香炉」の製作に取りかかろう！			さて、それじゃ、ニイ＝マーンに頼まれた「金属製の香炉」の製作に取りかかろう！			新たな顧客はン・モゥ族							
材料が足りなかったら、「エイスモン」君に言ってね！			材料が足りなかったら、「エイスモン」君に言ってね！			新たな顧客はン・モゥ族							
フッブート金貨という報酬に見合うだけの物が造れるか、楽しみに待っているよ。			フッブート金貨という報酬に見合うだけの物が造れるか、楽しみに待っているよ。			新たな顧客はン・モゥ族							
黒鉄工房の経営を安定させるために、なんとしてもン・モゥ族との取引を成功させなきゃ！「金属製の香炉」ができたら、私に渡して！			黒鉄工房の経営を安定させるために、なんとしてもン・モゥ族との取引を成功させなきゃ！「金属製の香炉」ができたら、私に渡して！			新たな顧客はン・モゥ族							
金属製の香炉、確かに受け取ったよ！さすが、惚れ惚れする出来映えだね！これなら、依頼人も納得してくれるはずだよ！			金属製の香炉、確かに受け取ったよ！さすが、惚れ惚れする出来映えだね！これなら、依頼人も納得してくれるはずだよ！			新たな顧客はン・モゥ族							
あとは、ニイ＝マーンが来るのを待つだけだけど……そうだ、追いかけっこでもして時間を潰さない？			あとは、ニイ＝マーンが来るのを待つだけだけど……そうだ、追いかけっこでもして時間を潰さない？			新たな顧客はン・モゥ族							
(-？？？？-)やあやあ、ここがヒトの新しい都、クリスタリウムか……！なかなかに賑やかな場所じゃないか。			(-？？？？-)やあやあ、ここがヒトの新しい都、クリスタリウムか……！なかなかに賑やかな場所じゃないか。			新たな顧客はン・モゥ族							
な、なんじゃこりゃぁぁぁぁ！しゃべる豚が飛んできたぞ！？			な、なんじゃこりゃぁぁぁぁ！しゃべる豚が飛んできたぞ！？			新たな顧客はン・モゥ族							
期待通りの反応をありがとう。これは私……ニイ＝マーンが操っている使い魔さ。			期待通りの反応をありがとう。これは私……ニイ＝マーンが操っている使い魔さ。			新たな顧客はン・モゥ族							
我らン・モゥにとっては、結びつきの強いイル・メグを出るのは、どうにも億劫でね……使い魔越しに失礼させてもらうよ。それよりも、香炉を見せてもらおうじゃないか。			我らン・モゥにとっては、結びつきの強いイル・メグを出るのは、どうにも億劫でね……使い魔越しに失礼させてもらうよ。それよりも、香炉を見せてもらおうじゃないか。			新たな顧客はン・モゥ族							
ほほう……。なんとも見慣れない意匠だが……嫌いじゃない。むしろ、情緒があっていいじゃないか。			ほほう……。なんとも見慣れない意匠だが……嫌いじゃない。むしろ、情緒があっていいじゃないか。			新たな顧客はン・モゥ族							
金属製なこともあり、熱にも強そうだ。これならば、忌々しいヤツらを燻り殺すこともわけなさそうだ。			金属製なこともあり、熱にも強そうだ。これならば、忌々しいヤツらを燻り殺すこともわけなさそうだ。			新たな顧客はン・モゥ族							
急に物騒な話になったし！忌々しいヤツらって？			急に物騒な話になったし！忌々しいヤツらって？			新たな顧客はン・モゥ族							
プラ・エンニ茸窟はジメジメしてるから、羽虫が多くてね。ここ最近は、ヤツらのやかましい羽音のせいで、瞑想に集中することができなかった。			プラ・エンニ茸窟はジメジメしてるから、羽虫が多くてね。ここ最近は、ヤツらのやかましい羽音のせいで、瞑想に集中することができなかった。			新たな顧客はン・モゥ族							
だが、この香炉を使って煙で燻せば、一網打尽だろう。実に良い品を造ってくれたね。			だが、この香炉を使って煙で燻せば、一網打尽だろう。実に良い品を造ってくれたね。			新たな顧客はン・モゥ族							
フッブート王国が在った頃は、ヒトの職人たちにこうした品の製作を依頼していたものだが……今や、金貨を使って取引することもなくなったよ。			フッブート王国が在った頃は、ヒトの職人たちにこうした品の製作を依頼していたものだが……今や、金貨を使って取引することもなくなったよ。			新たな顧客はン・モゥ族							
んじゃ、かなりの金貨を貯め込んでいるはずだね。それ全部、うちの工房が搾り取ってみせるよ。			んじゃ、かなりの金貨を貯め込んでいるはずだね。それ全部、うちの工房が搾り取ってみせるよ。			新たな顧客はン・モゥ族							
フフフ、相変わらず面白い娘だ。今回のような取引ができれば、いずれその願いも叶うかもしれない。そのためにも、今後も良い関係を続けていこうじゃないか。			フフフ、相変わらず面白い娘だ。今回のような取引ができれば、いずれその願いも叶うかもしれない。そのためにも、今後も良い関係を続けていこうじゃないか。			新たな顧客はン・モゥ族							
ふぅ、なんとか気に入ってもらえたかな。それもこれも、全部キミのおかげだけどね。			ふぅ、なんとか気に入ってもらえたかな。それもこれも、全部キミのおかげだけどね。			新たな顧客はン・モゥ族							
何はともあれ、黒鉄工房の経営は安泰！すべてが元通り、何も心配する必要がなくなったよ！			何はともあれ、黒鉄工房の経営は安泰！すべてが元通り、何も心配する必要がなくなったよ！			新たな顧客はン・モゥ族							
イオラになんと言う？			イオラになんと言う？			新たな顧客はン・モゥ族							
指輪はいいのか？			指輪はいいのか？			新たな顧客はン・モゥ族							
取り返したい物があるんだろ？			取り返したい物があるんだろ？			新たな顧客はン・モゥ族							
あー……うん、でもいいんだ。今、私がやるべきことは、なくした思い出を探すことじゃない。黒鉄工房の儲けを増やして、みんなの居場所を守ることだから。			あー……うん、でもいいんだ。今、私がやるべきことは、なくした思い出を探すことじゃない。黒鉄工房の儲けを増やして、みんなの居場所を守ることだから。			新たな顧客はン・モゥ族							
あんな小娘に、今までひとりで頑張らせてきて、今度は守ってもらうなんて……アタイは自分が情けないよ。			あんな小娘に、今までひとりで頑張らせてきて、今度は守ってもらうなんて……アタイは自分が情けないよ。			新たな顧客はン・モゥ族							
そうだな。少しでもイオラの気持ちに応えられるよう、オレたちもできることをしなければ。			そうだな。少しでもイオラの気持ちに応えられるよう、オレたちもできることをしなければ。			新たな顧客はン・モゥ族							
さて、次の商品開発の話だけど……多分、これが成功すれば、黒鉄工房はかつての勢いを取り戻すことができると思う。			さて、次の商品開発の話だけど……多分、これが成功すれば、黒鉄工房はかつての勢いを取り戻すことができると思う。			新たな顧客はン・モゥ族							
取引相手もすでに決まっているんだけど、いろいろと準備が必要だから、また声をかけてくれる？			取引相手もすでに決まっているんだけど、いろいろと準備が必要だから、また声をかけてくれる？			新たな顧客はン・モゥ族							
次の納品依頼は、「鍛冶師／甲冑師／彫金師」のいずれかがレベル78以上になると、ミーン工芸館の「イオラ」から受注可能です。			次の納品依頼は、「鍛冶師／甲冑師／彫金師」のいずれかがレベル78以上になると、ミーン工芸館の「イオラ」から受注可能です。			新たな顧客はン・モゥ族							
「金属製の香炉」が完成したら、イオラさんに渡してください。			「金属製の香炉」が完成したら、イオラさんに渡してください。			新たな顧客はン・モゥ族							
材料が足りなくなったら用意いたしますので、Forenameさんは開発に専念してください。			材料が足りなくなったら用意いたしますので、Forenameさんは開発に専念してください。			新たな顧客はン・モゥ族							
ミーン工芸館のトゥナは、考え込んでいるようだ。			ミーン工芸館のトゥナは、考え込んでいるようだ。			実録データ002「工房を彩りし職人」							
彷徨う階段亭のトゥナと話す			彷徨う階段亭のトゥナと話す			実録データ002「工房を彩りし職人」							
ミーン工芸館のトゥナと話す			ミーン工芸館のトゥナと話す			実録データ002「工房を彩りし職人」							
製作手帳 ミーン工芸館取引：工房の看板を製作トゥナに工房の看板を納品			製作手帳 ミーン工芸館取引：工房の看板を製作トゥナに工房の看板を納品			実録データ002「工房を彩りし職人」							
う～ん……話すべきか、どうすべきか……。			う～ん……話すべきか、どうすべきか……。			実録データ002「工房を彩りし職人」							
わっ、ごめんなさいっ！すっかり考え込んでて気付かなかったわ……！			わっ、ごめんなさいっ！すっかり考え込んでて気付かなかったわ……！			実録データ002「工房を彩りし職人」							
実は……オーエルと私の関係について、あなたに話しておくべきかどうかで、悩んでいたのよ……。でも、やっぱり……少し話を聞いてくれる？			実は……オーエルと私の関係について、あなたに話しておくべきかどうかで、悩んでいたのよ……。でも、やっぱり……少し話を聞いてくれる？			実録データ002「工房を彩りし職人」							
前にも少し話したと思うんだけど、オーエルと私は……物心ついたときから、孤児……だったわ。			前にも少し話したと思うんだけど、オーエルと私は……物心ついたときから、孤児……だったわ。			実録データ002「工房を彩りし職人」							
ハリッグ師匠に拾われて弟子入りしてからは、私たちは毎日のように遊び、喧嘩し、競うようにして修業を積んだ。ある日突然、師匠がいなくなるその日まではね……。			ハリッグ師匠に拾われて弟子入りしてからは、私たちは毎日のように遊び、喧嘩し、競うようにして修業を積んだ。ある日突然、師匠がいなくなるその日まではね……。			実録データ002「工房を彩りし職人」							
師匠が亡くなった直接の原因について、まだ子供だった私たちに詳しいことは知らされなかったわ。でも、恐らくは罪喰いに……。			師匠が亡くなった直接の原因について、まだ子供だった私たちに詳しいことは知らされなかったわ。でも、恐らくは罪喰いに……。			実録データ002「工房を彩りし職人」							
それから、オーエルは一層無口になって……。私が「時の工房」を始めるって言ったときだけは、ただ「お前は何も理解していない」ってひとことだけ。			それから、オーエルは一層無口になって……。私が「時の工房」を始めるって言ったときだけは、ただ「お前は何も理解していない」ってひとことだけ。			実録データ002「工房を彩りし職人」							
つまり……なにを嫌って、私の仕事にイチャモンをつけているのかも、実はわからないのよ。			つまり……なにを嫌って、私の仕事にイチャモンをつけているのかも、実はわからないのよ。			実録データ002「工房を彩りし職人」							
オーエルって、ああ見えて工芸館でも顔が利くし、悪評でも流されたら、入る依頼も入らなくなってしまうわ。はぁ、そのうち彼と直接話さないと……もうお酒でも飲みたい気分！			オーエルって、ああ見えて工芸館でも顔が利くし、悪評でも流されたら、入る依頼も入らなくなってしまうわ。はぁ、そのうち彼と直接話さないと……もうお酒でも飲みたい気分！			実録データ002「工房を彩りし職人」							
ピピ……リョーカイ！「彷徨う階段亭」で待ッテロ！			ピピ……リョーカイ！「彷徨う階段亭」で待ッテロ！			実録データ002「工房を彩りし職人」							
………………へ？			………………へ？			実録データ002「工房を彩りし職人」							
ちょっと、嘘でしょ！？まさかオーエルを呼びに行っちゃったの！？			ちょっと、嘘でしょ！？まさかオーエルを呼びに行っちゃったの！？			実録データ002「工房を彩りし職人」							
もう、こうなったら腹を括るしかないかぁ……。「彷徨う階段亭」まで、一緒に来てくれると心強いわ……。			もう、こうなったら腹を括るしかないかぁ……。「彷徨う階段亭」まで、一緒に来てくれると心強いわ……。			実録データ002「工房を彩りし職人」							
オーエルはまだ来てないようね……。本当に来るのかしら……？			オーエルはまだ来てないようね……。本当に来るのかしら……？			実録データ002「工房を彩りし職人」							
急用だから付いてこいと言われて来てみれば、このクソ忙しいときに俺を呼び出したのはお前か、トゥナ。			急用だから付いてこいと言われて来てみれば、このクソ忙しいときに俺を呼び出したのはお前か、トゥナ。			実録データ002「工房を彩りし職人」							
そうダ！トゥナが、イチャモン！			そうダ！トゥナが、イチャモン！			実録データ002「工房を彩りし職人」							
あ？			あ？			実録データ002「工房を彩りし職人」							
ちょ、ちょっと……！イイコだから、静かにしててね。			ちょ、ちょっと……！イイコだから、静かにしててね。			実録データ002「工房を彩りし職人」							
ザザ……ザ……！？強制再起動、強制再起動。			ザザ……ザ……！？強制再起動、強制再起動。			実録データ002「工房を彩りし職人」							
えっと……オーエルに聞きたいことがあって。			えっと……オーエルに聞きたいことがあって。			実録データ002「工房を彩りし職人」							
なんだ？俺はお前らと違って、依頼に追われていて忙しいんだ。			なんだ？俺はお前らと違って、依頼に追われていて忙しいんだ。			実録データ002「工房を彩りし職人」							
だからその……。私の保存修復の仕事に反対してるみたいだけど、せめて理由を教えてくれないかな……？			だからその……。私の保存修復の仕事に反対してるみたいだけど、せめて理由を教えてくれないかな……？			実録データ002「工房を彩りし職人」							
おいおい……そんなことを聞くためにわざわざ呼びだしたのかよ。あーあ、これだから遊びで仕事をしているやつらは、まったくお気楽でいいよな！			おいおい……そんなことを聞くためにわざわざ呼びだしたのかよ。あーあ、これだから遊びで仕事をしているやつらは、まったくお気楽でいいよな！			実録データ002「工房を彩りし職人」							
あ……遊びじゃないわ！私たちは、このクリスタリウムで暮らす人たちが大切にしている、「思い出の品」を修復しているのよ。			あ……遊びじゃないわ！私たちは、このクリスタリウムで暮らす人たちが大切にしている、「思い出の品」を修復しているのよ。			実録データ002「工房を彩りし職人」							
いいか、教えてやる。			いいか、教えてやる。			実録データ002「工房を彩りし職人」							
先人たちの努力と工夫で、どうにかこのクリスタリウムは、人並みの暮らしができるようにはなってきている。が、まだまだ足りない物資は少なくない。			先人たちの努力と工夫で、どうにかこのクリスタリウムは、人並みの暮らしができるようにはなってきている。が、まだまだ足りない物資は少なくない。			実録データ002「工房を彩りし職人」							
お前が、古臭いアマロの装身具をひとつ直している間に、俺は、新品の装身具を10個作って納品した！			お前が、古臭いアマロの装身具をひとつ直している間に、俺は、新品の装身具を10個作って納品した！			実録データ002「工房を彩りし職人」							
ハリッグ師匠がいなくなった今、師匠の代わりにミーン工芸館を支えなきゃならないんだ。			ハリッグ師匠がいなくなった今、師匠の代わりにミーン工芸館を支えなきゃならないんだ。			実録データ002「工房を彩りし職人」							
……お前のように「遊び」に拘ったあげく、勝手にここを出て……帰らぬ人となった、師匠の代わりにな！			……お前のように「遊び」に拘ったあげく、勝手にここを出て……帰らぬ人となった、師匠の代わりにな！			実録データ002「工房を彩りし職人」							
ウイーン……ピピ。システム、再起動完了。			ウイーン……ピピ。システム、再起動完了。			実録データ002「工房を彩りし職人」							
……オーエル、呼んでクル？			……オーエル、呼んでクル？			実録データ002「工房を彩りし職人」							
ダメ……。			ダメ……。			実録データ002「工房を彩りし職人」							
ごめんなさい、あなたにも不快な思いをさせてしまったよね。昔はあんな人じゃなかったんだけどな……。			ごめんなさい、あなたにも不快な思いをさせてしまったよね。昔はあんな人じゃなかったんだけどな……。			実録データ002「工房を彩りし職人」							
それにしても……。オーエルは師匠の最期のときのことを、「勝手にここを出て」って言ってたけど……。			それにしても……。オーエルは師匠の最期のときのことを、「勝手にここを出て」って言ってたけど……。			実録データ002「工房を彩りし職人」							
……そう、師匠はあの日、修復に必要な素材を手に入れるために、ひとりでクリスタリウムを出ていったんだ。師匠が最後に修復しようとしていたもの……あれはたしか……。			……そう、師匠はあの日、修復に必要な素材を手に入れるために、ひとりでクリスタリウムを出ていったんだ。師匠が最後に修復しようとしていたもの……あれはたしか……。			実録データ002「工房を彩りし職人」							
Forenameさん。巻き込んでしまって悪いんだけど、この面倒な厄介ごとに、少し付き合ってもらえないかな……？			Forenameさん。巻き込んでしまって悪いんだけど、この面倒な厄介ごとに、少し付き合ってもらえないかな……？			実録データ002「工房を彩りし職人」							
ありがとう、本当に心強いわ……！こんなところで立ち話もなんだから、一度「ミーン工芸館」に戻りましょう。			ありがとう、本当に心強いわ……！こんなところで立ち話もなんだから、一度「ミーン工芸館」に戻りましょう。			実録データ002「工房を彩りし職人」							
ピピ……「オーエル」は手工科所属の職人。ヒュム族男性、配偶者ナシ。好物はホットミルク。			ピピ……「オーエル」は手工科所属の職人。ヒュム族男性、配偶者ナシ。好物はホットミルク。			実録データ002「工房を彩りし職人」							
「時の工房」を維持していくためには、批判を続けるオーエルの存在は無視できないわ……。			「時の工房」を維持していくためには、批判を続けるオーエルの存在は無視できないわ……。			実録データ002「工房を彩りし職人」							
彼に仕事を認めさせて批判を封じないと、悪評が広まって、ますます仕事が少なくなっちゃう。現に、ここのところ依頼が入っていないのよ……。			彼に仕事を認めさせて批判を封じないと、悪評が広まって、ますます仕事が少なくなっちゃう。現に、ここのところ依頼が入っていないのよ……。			実録データ002「工房を彩りし職人」							
まずは、「時の工房」は「遊び」なんかじゃなく、立派な工房だってことを、わかってもらう必要があるわ。その上で、保存修復という仕事を、ちゃんと理解してもらわないと！			まずは、「時の工房」は「遊び」なんかじゃなく、立派な工房だってことを、わかってもらう必要があるわ。その上で、保存修復という仕事を、ちゃんと理解してもらわないと！			実録データ002「工房を彩りし職人」							
後者については、当てがあるの……あるものを修復できれば……。きっと、師匠を慕っていたオーエルの心にも届くはず……。そちらについては、私が下準備を進めておくわ。			後者については、当てがあるの……あるものを修復できれば……。きっと、師匠を慕っていたオーエルの心にも届くはず……。そちらについては、私が下準備を進めておくわ。			実録データ002「工房を彩りし職人」							
問題は前者なんだけど、どうしたものかしら……。「時の工房」にハクを付けるための方法……			問題は前者なんだけど、どうしたものかしら……。「時の工房」にハクを付けるための方法……			実録データ002「工房を彩りし職人」							
何と言う？			何と言う？			実録データ002「工房を彩りし職人」							
批判は気にしない			批判は気にしない			実録データ002「工房を彩りし職人」							
店構えを整えよう			店構えを整えよう			実録データ002「工房を彩りし職人」							
玉っころが不安材料			玉っころが不安材料			実録データ002「工房を彩りし職人」							
うーん、本当はそうしたいところなんだけど……。実力派の職人であるオーエルが、批判している工房には、やっぱり仕事を頼みにくいと思うのよね……。			うーん、本当はそうしたいところなんだけど……。実力派の職人であるオーエルが、批判している工房には、やっぱり仕事を頼みにくいと思うのよね……。			実録データ002「工房を彩りし職人」							
たしかに……。言われてみれば、店らしい構えは何もないわね……。外装や外観を整えることは、存外大切かもしれないわ！			たしかに……。言われてみれば、店らしい構えは何もないわね……。外装や外観を整えることは、存外大切かもしれないわ！			実録データ002「工房を彩りし職人」							
………………ふふっ。私の大事なパートナーが、なぁに？			………………ふふっ。私の大事なパートナーが、なぁに？			実録データ002「工房を彩りし職人」							
ピピ……店構えと言エバ、「看板」を置いている店が一般的。「時の工房」には、なにひとつナイ！			ピピ……店構えと言エバ、「看板」を置いている店が一般的。「時の工房」には、なにひとつナイ！			実録データ002「工房を彩りし職人」							
看板……なるほど！			看板……なるほど！			実録データ002「工房を彩りし職人」							
あの……Forenameさん！このお店の看板製作を、あなたに依頼させてもらえないかな……？			あの……Forenameさん！このお店の看板製作を、あなたに依頼させてもらえないかな……？			実録データ002「工房を彩りし職人」							
これまで「時の工房」を助けてくれたあなたにこそ、このお店の顔である「看板」を作ってもらえたら嬉しい……。今や、あなたは私にとっての憧れであり、師であり、目標だから！			これまで「時の工房」を助けてくれたあなたにこそ、このお店の顔である「看板」を作ってもらえたら嬉しい……。今や、あなたは私にとっての憧れであり、師であり、目標だから！			実録データ002「工房を彩りし職人」							
引き受けてくれるのね、ありがとう！「工房の看板」、すっごく楽しみにしているわ！もしも材料が不足したら、実録システムから貰ってね！			引き受けてくれるのね、ありがとう！「工房の看板」、すっごく楽しみにしているわ！もしも材料が不足したら、実録システムから貰ってね！			実録データ002「工房を彩りし職人」							
材料が足りなくなった場合ハ、コレを使ッテ！			材料が足りなくなった場合ハ、コレを使ッテ！			実録データ002「工房を彩りし職人」							
看板、ジョウデキ！気に入ッタ！			看板、ジョウデキ！気に入ッタ！			実録データ002「工房を彩りし職人」							
「工房の看板」、すごく楽しみにしているわ！			「工房の看板」、すごく楽しみにしているわ！			実録データ002「工房を彩りし職人」							
わぁ……なんて、なんて素敵な看板なの……！細部まで丁寧に作りこまれた装飾に、デザインも素晴らしいわ！木工、革細工、裁縫の総合技術、保存修復が意匠になっているのね！			わぁ……なんて、なんて素敵な看板なの……！細部まで丁寧に作りこまれた装飾に、デザインも素晴らしいわ！木工、革細工、裁縫の総合技術、保存修復が意匠になっているのね！			実録データ002「工房を彩りし職人」							
いったい何年経ったらあなたに追いつけるかしら……。この看板を目標に、毎日技術の鍛錬に励まないと！本当にありがとう、Forenameさん！			いったい何年経ったらあなたに追いつけるかしら……。この看板を目標に、毎日技術の鍛錬に励まないと！本当にありがとう、Forenameさん！			実録データ002「工房を彩りし職人」							
これなら、オーエルにだって胸を張れるわ……！「時の工房」は、ごっこ遊びなんかじゃない。クリスタリウムの人たちのために、活動を続けていくんだから！			これなら、オーエルにだって胸を張れるわ……！「時の工房」は、ごっこ遊びなんかじゃない。クリスタリウムの人たちのために、活動を続けていくんだから！			実録データ002「工房を彩りし職人」							
ふふっ、他の職人たちも羨ましがるだろうなぁ。この看板は、私があとで工房に飾っておくわね！			ふふっ、他の職人たちも羨ましがるだろうなぁ。この看板は、私があとで工房に飾っておくわね！			実録データ002「工房を彩りし職人」							
そうそう、私の方も進展があったのよ。オーエルに「保存修復」という仕事を認めてもらうための策。えっと……まずは見てもらった方が早いかな、ちょっと待ってね。			そうそう、私の方も進展があったのよ。オーエルに「保存修復」という仕事を認めてもらうための策。えっと……まずは見てもらった方が早いかな、ちょっと待ってね。			実録データ002「工房を彩りし職人」							
