嘆きの海のウリエンジェは、冒険者を静かに待っている。			嘆きの海のウリエンジェは、冒険者を静かに待っている。			想い想われ、すれ違い							
そしてこちらが、巨大湧水のクリスタルを使った噴水です。見目麗しいだけでなく、水の製造にも一役買っています。			そしてこちらが、巨大湧水のクリスタルを使った噴水です。見目麗しいだけでなく、水の製造にも一役買っています。			あなたと散歩を							
あのクリスタルの丸みには、大変こだわって……フフ……究極の丸みを目指したんです……フフフフフ……！			あのクリスタルの丸みには、大変こだわって……フフ……究極の丸みを目指したんです……フフフフフ……！			あなたと散歩を							
おかげでどうです、この心地よい湿度！さあさあ遠慮せず、思いっきり「伸び」をしてくださいな！			おかげでどうです、この心地よい湿度！さあさあ遠慮せず、思いっきり「伸び」をしてくださいな！			あなたと散歩を							
さあさあ遠慮せず、思いっきり「伸び」をしてくださいな！			さあさあ遠慮せず、思いっきり「伸び」をしてくださいな！			あなたと散歩を							
グローウィングウェイは、期待の眼差しでこちらを見ている。エモート「伸びをする」をして見せよう。			グローウィングウェイは、期待の眼差しでこちらを見ている。エモート「伸びをする」をして見せよう。			あなたと散歩を							
ええっと……それはどういう……？			ええっと……それはどういう……？			あなたと散歩を							
グローウィングウェイは、困惑しているようだ。エモート「伸びをする」をして見せよう。			グローウィングウェイは、困惑しているようだ。エモート「伸びをする」をして見せよう。			あなたと散歩を							
んはぁー！Forenameさん、素晴らしい伸びっぷりですね！とっても気分がいいでしょう？			んはぁー！Forenameさん、素晴らしい伸びっぷりですね！とっても気分がいいでしょう？			あなたと散歩を							
こうしてヒトが当たり前のように息をしたり、出歩いたりできる環境にするには、なが～い年月が必要でした。			こうしてヒトが当たり前のように息をしたり、出歩いたりできる環境にするには、なが～い年月が必要でした。			あなたと散歩を							
もしよければ、森の中を歩きながら、そのあたりの話を聞いていただけませんか？ここでヒトと散歩するのが、私の夢だったんです！			もしよければ、森の中を歩きながら、そのあたりの話を聞いていただけませんか？ここでヒトと散歩するのが、私の夢だったんです！			あなたと散歩を							
一緒に散歩していただけるんですね、やったぁ！			一緒に散歩していただけるんですね、やったぁ！			あなたと散歩を							
何をする？			何をする？			あなたと散歩を							
話す			話す			あなたと散歩を							
同行状態を解除する			同行状態を解除する			あなたと散歩を							
キャンセル			キャンセル			あなたと散歩を							
遊歩道の上を、道なりに歩いてみましょう。新鮮な空気も、ぜひご堪能ください！			遊歩道の上を、道なりに歩いてみましょう。新鮮な空気も、ぜひご堪能ください！			あなたと散歩を							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			あなたと散歩を							
おや、休憩なさいますか？では、グレーテスト・エンズヴィルの噴水前で待っていますね！			おや、休憩なさいますか？では、グレーテスト・エンズヴィルの噴水前で待っていますね！			あなたと散歩を							
戻ってきたァッ……！もう来てくださらないのではと心配しましたよ……。ささ、ゆったりと散歩といきましょう！			戻ってきたァッ……！もう来てくださらないのではと心配しましたよ……。ささ、ゆったりと散歩といきましょう！			あなたと散歩を							
では……少しだけ、遠い昔の話をさせてください。			では……少しだけ、遠い昔の話をさせてください。			あなたと散歩を							
私たちレポリットが創られた当初、この月は、ゾディアークの檻であるだけの、本当に何もない場所でした。			私たちレポリットが創られた当初、この月は、ゾディアークの檻であるだけの、本当に何もない場所でした。			あなたと散歩を							
レポリットの最初の役目は、月に、宇宙を航行するための機能を備えつけること。			レポリットの最初の役目は、月に、宇宙を航行するための機能を備えつけること。			あなたと散歩を							
私たちは、ハイデリン様から授かった知識をもって、ヒトの時間にして6000年以上にわたる試行錯誤を続け……どうにかそれを成し遂げたのです。			私たちは、ハイデリン様から授かった知識をもって、ヒトの時間にして6000年以上にわたる試行錯誤を続け……どうにかそれを成し遂げたのです。			あなたと散歩を							
……ささ、このまま歩道に沿って歩きましょう！			……ささ、このまま歩道に沿って歩きましょう！			あなたと散歩を							
「人工クリスタル」について話す			「人工クリスタル」について話す			あなたと散歩を							
こちらは、風、雷、火、土、氷、水……六属性を有する人工クリスタルです。これを使って、月面の属性バランスを調整しています。			こちらは、風、雷、火、土、氷、水……六属性を有する人工クリスタルです。これを使って、月面の属性バランスを調整しています。			あなたと散歩を							
ただ、月はハイデリン様の創造物。どうしたって光……ああえっと、霊極性が強くって、属性の発露は大人しくなりがちです。			ただ、月はハイデリン様の創造物。どうしたって光……ああえっと、霊極性が強くって、属性の発露は大人しくなりがちです。			あなたと散歩を							
たとえば火属性をガンガン上げたとしても、炎が燃え盛るのではなく、ひたすら乾燥していきます。だから月面はどうしても荒涼としてしまうんです。			たとえば火属性をガンガン上げたとしても、炎が燃え盛るのではなく、ひたすら乾燥していきます。だから月面はどうしても荒涼としてしまうんです。			あなたと散歩を							
……ここだけの話、月の中心にいる時点で、ゾディアークとしては大変やりづらかったと思いますよ。それでもハイデリン様は苦心して抑え込んでいたわけですが。			……ここだけの話、月の中心にいる時点で、ゾディアークとしては大変やりづらかったと思いますよ。それでもハイデリン様は苦心して抑え込んでいたわけですが。			あなたと散歩を							
さて……宇宙を航行するための設備がようやく完成したので、次に、ヒトを乗せる環境を整えることになりました。			さて……宇宙を航行するための設備がようやく完成したので、次に、ヒトを乗せる環境を整えることになりました。			あなたと散歩を							
これもまた、長い長い年月がかかりました。ざっと4000年ほどでしょうか……。			これもまた、長い長い年月がかかりました。ざっと4000年ほどでしょうか……。			あなたと散歩を							
とはいえ環境開発は気長な戦いですから、機構を創るだけ創って、成果が出るまで数百年眠っている……なーんてこともしばしばでしたが！			とはいえ環境開発は気長な戦いですから、機構を創るだけ創って、成果が出るまで数百年眠っている……なーんてこともしばしばでしたが！			あなたと散歩を							
そうそう、途中でみんな飛び起きた事件があったんです。アーテリスから、赤い衛星やら何やらが、急に打ち上げられてきたんですよ。			そうそう、途中でみんな飛び起きた事件があったんです。アーテリスから、赤い衛星やら何やらが、急に打ち上げられてきたんですよ。			あなたと散歩を							
アラグ……でしたっけ？もしやゾディアーク側の息がかかっているんじゃないかと、私たち、固唾をのんで見守ってしまいました……。			アラグ……でしたっけ？もしやゾディアーク側の息がかかっているんじゃないかと、私たち、固唾をのんで見守ってしまいました……。			あなたと散歩を							
しばらくして、ハイデリン様から「滅びた」と聞いたときには、みんなでハミングしちゃいましたよ！フン　フフーン！			しばらくして、ハイデリン様から「滅びた」と聞いたときには、みんなでハミングしちゃいましたよ！フン　フフーン！			あなたと散歩を							
……ときに、この鉱物でできた木々の、上の方に注目していただけますか？			……ときに、この鉱物でできた木々の、上の方に注目していただけますか？			あなたと散歩を							
樹上の、たいへん愛らしい丸みの球……その周りに橙色の輪が見えますでしょう？			樹上の、たいへん愛らしい丸みの球……その周りに橙色の輪が見えますでしょう？			あなたと散歩を							
あの輪や、天井付近にある同色の巨大装置は、いわば太陽の代わりなんです。			あの輪や、天井付近にある同色の巨大装置は、いわば太陽の代わりなんです。			あなたと散歩を							
宇宙には、生物にとって有害な光線なんかが多く存在します。それをしっかり遮断しつつ、あの輪によって、必要なだけの陽光を照射しているのです。			宇宙には、生物にとって有害な光線なんかが多く存在します。それをしっかり遮断しつつ、あの輪によって、必要なだけの陽光を照射しているのです。			あなたと散歩を							
ね？　なかなかよくできた森でしょう？私としては、木のタイプごとに違う丸みが愉しめるのも、実にグレーテストな点だと思います……フフ……。			ね？　なかなかよくできた森でしょう？私としては、木のタイプごとに違う丸みが愉しめるのも、実にグレーテストな点だと思います……フフ……。			あなたと散歩を							
それで、ええと、なんでしたっけ……木々の美しい丸みの話ではなくて……ああそうだ！			それで、ええと、なんでしたっけ……木々の美しい丸みの話ではなくて……ああそうだ！			あなたと散歩を							
宇宙を航行する機能と、生命を乗せるための環境。それらを備えて、約2000年ほど前に、月の基礎が完成しました。			宇宙を航行する機能と、生命を乗せるための環境。それらを備えて、約2000年ほど前に、月の基礎が完成しました。			あなたと散歩を							
しかし、ここで私たちは重大な問題に直面することになります。現生生命のことが、ちーっともわからなかったのです……ハイ。			しかし、ここで私たちは重大な問題に直面することになります。現生生命のことが、ちーっともわからなかったのです……ハイ。			あなたと散歩を							
月の監視者は、あのとおり旧いヒトですし、私たちは、月の真実が明るみに出て悪用されないよう、アーテリスに降り立つことを自ら禁じていましたから。			月の監視者は、あのとおり旧いヒトですし、私たちは、月の真実が明るみに出て悪用されないよう、アーテリスに降り立つことを自ら禁じていましたから。			あなたと散歩を							
そのころには、ゾディアークが数度統合されたことで、ハイデリン様とも簡単には話せない状態になっていました。			そのころには、ゾディアークが数度統合されたことで、ハイデリン様とも簡単には話せない状態になっていました。			あなたと散歩を							
けれどどうにか対話が叶った際に、アーテリス側に「協力者」を立ててはいただけないかと、私たちは願ったのです。			けれどどうにか対話が叶った際に、アーテリス側に「協力者」を立ててはいただけないかと、私たちは願ったのです。			あなたと散歩を							
……ああ、いよいよ話も区切りがついてしまいそうです。名残惜しいですが、前へ進みましょう。			……ああ、いよいよ話も区切りがついてしまいそうです。名残惜しいですが、前へ進みましょう。			あなたと散歩を							
そうしてハイデリン様に「協力者」を求め、定期点検のとき以外は眠りながら待つこと数百年……！			そうしてハイデリン様に「協力者」を求め、定期点検のとき以外は眠りながら待つこと数百年……！			あなたと散歩を							
ついにハイデリン様は「協力者」を見つけ、力を振り絞って、彼らと一時的に声を繋いでくださったのです。			ついにハイデリン様は「協力者」を見つけ、力を振り絞って、彼らと一時的に声を繋いでくださったのです。			あなたと散歩を							
私たちは彼らに、できるだけのことを教えました。今後の交流の仕方、宇宙にまつわる知識、いずれ月に来るための方法……。			私たちは彼らに、できるだけのことを教えました。今後の交流の仕方、宇宙にまつわる知識、いずれ月に来るための方法……。			あなたと散歩を							
彼らはそれを実践してくれました。数年後、私たちのもとに、彼らから声が届いたのです。			彼らはそれを実践してくれました。数年後、私たちのもとに、彼らから声が届いたのです。			あなたと散歩を							
声はやがて手紙や資料になり、私たちは何度も情報を交換した。そして学んだことをもとに、現生生命にあわせて月を調整してきたのです。			声はやがて手紙や資料になり、私たちは何度も情報を交換した。そして学んだことをもとに、現生生命にあわせて月を調整してきたのです。			あなたと散歩を							
……以上が、月の歴史です。少しは楽しんでいただけたでしょうか？			……以上が、月の歴史です。少しは楽しんでいただけたでしょうか？			あなたと散歩を							
やったぁ！私も、私も、とっても楽しかったです！			やったぁ！私も、私も、とっても楽しかったです！			あなたと散歩を							
ヒトと散歩するって夢を叶えてくださって、本当にありがとうございました……！			ヒトと散歩するって夢を叶えてくださって、本当にありがとうございました……！			あなたと散歩を							
……あら、あなたもここに来ていたのね。			……あら、あなたもここに来ていたのね。			あなたと散歩を							
俺たちも、こっち側はまだ見てなかったからな。少し立ち寄ってみたんだが……。			俺たちも、こっち側はまだ見てなかったからな。少し立ち寄ってみたんだが……。			あなたと散歩を							
(-？？？？-)ああーっ！　やっと見つけましたわ！探しましたわよ、グローウィングウェイ！			(-？？？？-)ああーっ！　やっと見つけましたわ！探しましたわよ、グローウィングウェイ！			あなたと散歩を							
リヴィングウェイ……！？あっ、も、もしかして、居住区への転移の件ですか！？			リヴィングウェイ……！？あっ、も、もしかして、居住区への転移の件ですか！？			あなたと散歩を							
それはそれで、あとで始末書を書いてもらうとして、ひとまず今は別件ですわ。			それはそれで、あとで始末書を書いてもらうとして、ひとまず今は別件ですわ。			あなたと散歩を							
今後のことについて、緊急会議を開きます。あなたにも参加をお願いしたいですわ。			今後のことについて、緊急会議を開きます。あなたにも参加をお願いしたいですわ。			あなたと散歩を							
へ……私ですかぁ……？もちろん構いませんが……。			へ……私ですかぁ……？もちろん構いませんが……。			あなたと散歩を							
長引かせるつもりはございませんので、皆様は、引き続き月の見学をなさっていてくださいませ。……では、またのちほど。			長引かせるつもりはございませんので、皆様は、引き続き月の見学をなさっていてくださいませ。……では、またのちほど。			あなたと散歩を							
あなたの方は、どうだった？さっきのレポリットと、いろいろ話していたみたいだけれど。			あなたの方は、どうだった？さっきのレポリットと、いろいろ話していたみたいだけれど。			あなたと散歩を							
月が創られてから1万2000年……そんな途方もない時間を費やして、このときに備えてきたってわけか。			月が創られてから1万2000年……そんな途方もない時間を費やして、このときに備えてきたってわけか。			あなたと散歩を							
だとしたら、彼らの意気込みも頷ける。頷ける……が…………			だとしたら、彼らの意気込みも頷ける。頷ける……が…………			あなたと散歩を							
そうね……。まだ終末の実害が出ていない段階で、人がすんなり移住してくれるかは、怪しいところだわ。			そうね……。まだ終末の実害が出ていない段階で、人がすんなり移住してくれるかは、怪しいところだわ。			あなたと散歩を							
とても高度な技術で環境を整えてくれてはいるけれど、地上の常識と、かけ離れすぎている。恐らく、多くの人の気持ちがついてこられないわ……。			とても高度な技術で環境を整えてくれてはいるけれど、地上の常識と、かけ離れすぎている。恐らく、多くの人の気持ちがついてこられないわ……。			あなたと散歩を							
だな……。「協力者」とやらが、強制的に移住させる手段を持っているか、よほどうまく言いくるめないかぎり、難航するだろう。			だな……。「協力者」とやらが、強制的に移住させる手段を持っているか、よほどうまく言いくるめないかぎり、難航するだろう。			あなたと散歩を							
人が、生きるために生きられる存在だったなら、この月でも問題はなかったのでしょうけれどね……。			人が、生きるために生きられる存在だったなら、この月でも問題はなかったのでしょうけれどね……。			あなたと散歩を							
……失礼。私はまだ行きたい場所がございますので、ここを離れてもよろしいでしょうか？			……失礼。私はまだ行きたい場所がございますので、ここを離れてもよろしいでしょうか？			あなたと散歩を							
ああ、もちろんだ。厄介そうな場所なら同行するが、どうする？			ああ、もちろんだ。厄介そうな場所なら同行するが、どうする？			あなたと散歩を							
いえ、ひとりで行かせてください。それでは……。			いえ、ひとりで行かせてください。それでは……。			あなたと散歩を							
ウリエンジェ、あいつ……。			ウリエンジェ、あいつ……。			あなたと散歩を							
私たちは、このあとどうしようかしらね。もちろん今すぐ地上に戻って、月へ逃げる支度をすることもできるけれど……。			私たちは、このあとどうしようかしらね。もちろん今すぐ地上に戻って、月へ逃げる支度をすることもできるけれど……。			あなたと散歩を							
それでは第一世界を救えないという時点で、少なくともそこの誰かさんは、その道を選ばないでしょう。……私ももう少し、足掻いてみたいところだわ。			それでは第一世界を救えないという時点で、少なくともそこの誰かさんは、その道を選ばないでしょう。……私ももう少し、足掻いてみたいところだわ。			あなたと散歩を							
涙の入江のヤ・シュトラは、静かな決意に満ちている。			涙の入江のヤ・シュトラは、静かな決意に満ちている。			アーテリスの明日							
バブイルの塔：神門の間のサンクレッドと話す			バブイルの塔：神門の間のサンクレッドと話す			アーテリスの明日							
キャンプ・ブロークングラスのルキアと話す			キャンプ・ブロークングラスのルキアと話す			アーテリスの明日							
バルデシオン分館のクルルと話す			バルデシオン分館のクルルと話す			アーテリスの明日							
メインホールの指定地点で待機			メインホールの指定地点で待機			アーテリスの明日							
オジカ・ツンジカと話す			オジカ・ツンジカと話す			アーテリスの明日							
名前とは、そう在りたい、そう在ってほしいという願い……か。まったく…………。			名前とは、そう在りたい、そう在ってほしいという願い……か。まったく…………。			アーテリスの明日							
ウリエンジェに考えを読まれてた上に、お膳立てまでされる日が来るなんて、信じられないな。			ウリエンジェに考えを読まれてた上に、お膳立てまでされる日が来るなんて、信じられないな。			アーテリスの明日							
だが、せっかくの機会だ。俺は全力で、リーンたちの未来も護ってみせる。			だが、せっかくの機会だ。俺は全力で、リーンたちの未来も護ってみせる。			アーテリスの明日							
くれぐれもお気をつけて……。皆にも、そうお伝えください。地上から見上げた月には、私がおりますと。			くれぐれもお気をつけて……。皆にも、そうお伝えください。地上から見上げた月には、私がおりますと。			アーテリスの明日							
ゾディアークのいなくなった大穴を眺めていたら、貴殿らが次々に渡ってきたものだから、つられて出てきてしまったんだ。			ゾディアークのいなくなった大穴を眺めていたら、貴殿らが次々に渡ってきたものだから、つられて出てきてしまったんだ。			アーテリスの明日							
おかげで、懐かしいものが見られた。……といっても、これは私の記憶ではなく、私のオリジナルが持っていた知識だが。			おかげで、懐かしいものが見られた。……といっても、これは私の記憶ではなく、私のオリジナルが持っていた知識だが。			アーテリスの明日							
エルピス……その名を携え、行くといい。この先、アーテリスが暗い影に覆われたとしても、貴殿らが、希望の光を見つけ出せることを願っている。			エルピス……その名を携え、行くといい。この先、アーテリスが暗い影に覆われたとしても、貴殿らが、希望の光を見つけ出せることを願っている。			アーテリスの明日							
ボクたちは、終末を止める方法を知らない。けど、宇宙を飛び回ったり、星を開拓したりは大得意さ。			ボクたちは、終末を止める方法を知らない。けど、宇宙を飛び回ったり、星を開拓したりは大得意さ。			アーテリスの明日							
もしそういう知識が必要なことがあったら、きっと声をかけてよねぇ。ボクたちも、ボクたちのことを伝えたいからさ！			もしそういう知識が必要なことがあったら、きっと声をかけてよねぇ。ボクたちも、ボクたちのことを伝えたいからさ！			アーテリスの明日							
ウリエンジェがアーテリスのことを教えてくれるって聞いたら、ほかのレポリットたちも、ハミングしまくりだろうな！みんな、ずーっとあの星に憧れてたんだから。			ウリエンジェがアーテリスのことを教えてくれるって聞いたら、ほかのレポリットたちも、ハミングしまくりだろうな！みんな、ずーっとあの星に憧れてたんだから。			アーテリスの明日							
ああでも、話に夢中になりすぎて、月のメンテナンスがおざなりにならないよう注意だな！？			ああでも、話に夢中になりすぎて、月のメンテナンスがおざなりにならないよう注意だな！？			アーテリスの明日							
あの、は、はじめまして！プディングウェイと申します……！			あの、は、はじめまして！プディングウェイと申します……！			アーテリスの明日							
ズルしようとして、ごめんなさい。ウリエンジェと一緒に、お勉強しておくから……きっとまた会いましょう！			ズルしようとして、ごめんなさい。ウリエンジェと一緒に、お勉強しておくから……きっとまた会いましょう！			アーテリスの明日							
本当に、お騒がせいたしました……。何としてでも皆様を終末からお救いせねばと、そればっかりで……。			本当に、お騒がせいたしました……。何としてでも皆様を終末からお救いせねばと、そればっかりで……。			アーテリスの明日							
何と言う？			何と言う？			アーテリスの明日							
ウリエンジェとよく話すこと！			ウリエンジェとよく話すこと！			アーテリスの明日							
グローウィングウェイを散歩に誘っておいて			グローウィングウェイを散歩に誘っておいて			アーテリスの明日							
レポリットはもっと落ち着くべき			レポリットはもっと落ち着くべき			アーテリスの明日							
はいっ、承知いたしました……！ヒトのことやアーテリスのことを、たくさん聞いて、学んで、考えおきますわ。			はいっ、承知いたしました……！ヒトのことやアーテリスのことを、たくさん聞いて、学んで、考えおきますわ。			アーテリスの明日							
…………！ええ、ええ、必ず伝えておきます！たんこぶも引っ込むほど、大喜びすると思いますわ！			…………！ええ、ええ、必ず伝えておきます！たんこぶも引っ込むほど、大喜びすると思いますわ！			アーテリスの明日							
はうッ……肝に銘じておきますわ……。これからは技術も気品も兼ね備えたクルーになるべく、ウリエンジェのもとで、研鑽して参りますわ……！			はうッ……肝に銘じておきますわ……。これからは技術も気品も兼ね備えたクルーになるべく、ウリエンジェのもとで、研鑽して参りますわ……！			アーテリスの明日							
さて……。この場のことは、ウリエンジェが引き受けてくれたんだもの。私たちは、あの青い星に帰るとしましょう。			さて……。この場のことは、ウリエンジェが引き受けてくれたんだもの。私たちは、あの青い星に帰るとしましょう。			アーテリスの明日							
終末のことを伝えるべき相手もいるし、「協力者」たる哲学者議会の意向も知りたい……。地上でも、やるべきことは尽きなくてよ。			終末のことを伝えるべき相手もいるし、「協力者」たる哲学者議会の意向も知りたい……。地上でも、やるべきことは尽きなくてよ。			アーテリスの明日							
さあ、バブイルの塔へ。終末との戦いを、はじめようじゃない。			さあ、バブイルの塔へ。終末との戦いを、はじめようじゃない。			アーテリスの明日							
……ここはやっぱり冷えるわね。レポリットたちが月を快適に保ってくれていたということを、改めて実感させられるわ。			……ここはやっぱり冷えるわね。レポリットたちが月を快適に保ってくれていたということを、改めて実感させられるわ。			アーテリスの明日							
お前も異常はないか？……つい今しがたまで月にいたっていうのが、なんだか信じられないな。			お前も異常はないか？……つい今しがたまで月にいたっていうのが、なんだか信じられないな。			アーテリスの明日							
これからだが、ひとまずキャンプ・ブロークングラスの、ルキアを訪ねてみるとしよう。			これからだが、ひとまずキャンプ・ブロークングラスの、ルキアを訪ねてみるとしよう。			アーテリスの明日							
俺たちが月に移動した時点で、アニマのテンパードたちの抑え込みには成功していたが……治療のために残った連中の動向含め、どうなったやらだ。			俺たちが月に移動した時点で、アニマのテンパードたちの抑え込みには成功していたが……治療のために残った連中の動向含め、どうなったやらだ。			アーテリスの明日							
彼女を訪ねる前に、終末についてどこまで話すか、方針をすり合わせておきましょう。			彼女を訪ねる前に、終末についてどこまで話すか、方針をすり合わせておきましょう。			アーテリスの明日							
私としては、知り得ることは包み隠さず伝えて、各国盟主にも伝達してもらうべきだと思うわ。			私としては、知り得ることは包み隠さず伝えて、各国盟主にも伝達してもらうべきだと思うわ。			アーテリスの明日							
その上で、協力を仰げないかしら。終末は現状、いつ、どこから、どんな形で始まるかわからない。異常にすぐ対応できるよう、各国の力を借りるのよ。			その上で、協力を仰げないかしら。終末は現状、いつ、どこから、どんな形で始まるかわからない。異常にすぐ対応できるよう、各国の力を借りるのよ。			アーテリスの明日							
それが適切だろうな。あの盟主たちなら、下手に民衆の不安を煽ったりせず、秘密裏に警戒を強めてくれるはずだ。			それが適切だろうな。あの盟主たちなら、下手に民衆の不安を煽ったりせず、秘密裏に警戒を強めてくれるはずだ。			アーテリスの明日							
よし、こちらからの報告も兼ねて、ルキアのところへ行こう。			よし、こちらからの報告も兼ねて、ルキアのところへ行こう。			アーテリスの明日							
Forenameさん……！お戻りになったのですか！？			Forenameさん……！お戻りになったのですか！？			アーテリスの明日							
貴公は……どうしてここに……！？月での任務は終わったのか！？			貴公は……どうしてここに……！？月での任務は終わったのか！？			アーテリスの明日							
ああ、ひとまずできることはしてきた。			ああ、ひとまずできることはしてきた。			アーテリスの明日							
その報告もするつもりだが……だいぶ話が立て込みそうでな。先に、ガレマルドの状況を聞いてもいいか？			その報告もするつもりだが……だいぶ話が立て込みそうでな。先に、ガレマルドの状況を聞いてもいいか？			アーテリスの明日							
皆の尽力で保護できたアニマのテンパードたちだが、バブイルの塔内にいた者も加わったことで、相当な人数に上った。			皆の尽力で保護できたアニマのテンパードたちだが、バブイルの塔内にいた者も加わったことで、相当な人数に上った。			アーテリスの明日							
その全員を、厳しい環境下のガレマルドで治療するのは不可能。そう判断した我々は、各国盟主に相談をもちかけたのだ。			その全員を、厳しい環境下のガレマルドで治療するのは不可能。そう判断した我々は、各国盟主に相談をもちかけたのだ。			アーテリスの明日							
結果、ガレマールの支配から解放されたばかりの、反帝国感情がまだ苛烈な地域を除き、いくつかの国でテンパードを受け入れてもらえることになった。			結果、ガレマールの支配から解放されたばかりの、反帝国感情がまだ苛烈な地域を除き、いくつかの国でテンパードを受け入れてもらえることになった。			アーテリスの明日							
「暁」の皆を含めた派遣団の面々には、テンパードの移送と、そこでの治療にあたってもらっている。			「暁」の皆を含めた派遣団の面々には、テンパードの移送と、そこでの治療にあたってもらっている。			アーテリスの明日							
ということは、この拠点にはもう、保護したテンパードはいないのかしら？			ということは、この拠点にはもう、保護したテンパードはいないのかしら？			アーテリスの明日							
いや、少人数であれば、ここでも治療は続行できるからな。有志の魔道士たちが残り、対応してくれている。			いや、少人数であれば、ここでも治療は続行できるからな。有志の魔道士たちが残り、対応してくれている。			アーテリスの明日							
ユルス殿も、そのひとりだ。現在はまだ治療中で、面会することはできないが……			ユルス殿も、そのひとりだ。現在はまだ治療中で、面会することはできないが……			アーテリスの明日							
あの動乱の中、アルフィノ殿とアリゼー殿が駆けつけて、アニマの呪縛によって暴れる彼を押さえてみせたのだ。彼も周りも、傷つけることなく。			あの動乱の中、アルフィノ殿とアリゼー殿が駆けつけて、アニマの呪縛によって暴れる彼を押さえてみせたのだ。彼も周りも、傷つけることなく。			アーテリスの明日							
各国盟主は、ガレマルドの……ガレマール帝国の今後については、何か言っていたか？			各国盟主は、ガレマルドの……ガレマール帝国の今後については、何か言っていたか？			アーテリスの明日							
大方針が定まるまで、時間がかかりそうだ。東方連合に参加しているレジスタンスとは連携を継続するが、各属州の動向を、慎重に見極める必要があるからな。			大方針が定まるまで、時間がかかりそうだ。東方連合に参加しているレジスタンスとは連携を継続するが、各属州の動向を、慎重に見極める必要があるからな。			アーテリスの明日							
しかし、喜ばしい報告もある。アニマの討伐から間もなくして、各地にあった「終末の塔」が消滅したそうだ。			しかし、喜ばしい報告もある。アニマの討伐から間もなくして、各地にあった「終末の塔」が消滅したそうだ。			アーテリスの明日							
中に捕らえられていた人々は救助され、テンパード化治療の手ほどきを受けた、各種族の魔道士たちが、目下、奮闘しているところらしい。			中に捕らえられていた人々は救助され、テンパード化治療の手ほどきを受けた、各種族の魔道士たちが、目下、奮闘しているところらしい。			アーテリスの明日							
それは……マザーポークシーを預かっているマトーヤが、大わらわになってるでしょうね……。			それは……マザーポークシーを預かっているマトーヤが、大わらわになってるでしょうね……。			アーテリスの明日							
以て、イルサバード派遣団は、帝国民の保護と、塔の元凶を消滅させるという、当初の目的を達成……			以て、イルサバード派遣団は、帝国民の保護と、塔の元凶を消滅させるという、当初の目的を達成……			アーテリスの明日							
テンパードを移送した者たちには、落ち着き次第、祖国に帰還してもらうことになっている。			テンパードを移送した者たちには、落ち着き次第、祖国に帰還してもらうことになっている。			アーテリスの明日							
私やルキア殿を含めた一部の派遣団員は、引き続き、ガレマルドでの救援を続けていく予定です。			私やルキア殿を含めた一部の派遣団員は、引き続き、ガレマルドでの救援を続けていく予定です。			アーテリスの明日							
帝国が今後どうなるにせよ……まだ、この地で生きている人がいるのですから。			帝国が今後どうなるにせよ……まだ、この地で生きている人がいるのですから。			アーテリスの明日							
我々からの報告は以上だ。続けて、貴公らの話を伺えるだろうか？月で何があったのか……テロフォロイはどうなったのか……。			我々からの報告は以上だ。続けて、貴公らの話を伺えるだろうか？月で何があったのか……テロフォロイはどうなったのか……。			アーテリスの明日							
いにしえの終末が再来する……まさか、そのようなことが……。			いにしえの終末が再来する……まさか、そのようなことが……。			アーテリスの明日							
現状、まだ見通しの立っていないことが多すぎる。ひとまず今の情報を盟主たちに共有して、警戒を促したいのだけれど……お願いできるかしら？			現状、まだ見通しの立っていないことが多すぎる。ひとまず今の情報を盟主たちに共有して、警戒を促したいのだけれど……お願いできるかしら？			アーテリスの明日							
もちろんだ。グランドカンパニー・エオルゼアと、東方連合の指導者たちに、責任をもって伝えよう。			もちろんだ。グランドカンパニー・エオルゼアと、東方連合の指導者たちに、責任をもって伝えよう。			アーテリスの明日							
加えて、テンパードの移送で各地に向かった「暁」の面々が、オールド・シャーレアンに帰還できるよう、取り計らっておく。			加えて、テンパードの移送で各地に向かった「暁」の面々が、オールド・シャーレアンに帰還できるよう、取り計らっておく。			アーテリスの明日							
貴公らには、終末への対策を、最優先に進めてもらうべきだろうからな。			貴公らには、終末への対策を、最優先に進めてもらうべきだろうからな。			アーテリスの明日							
療養中だったクルル殿も、タタル殿の根回しで、バルデシオン分館へとお送りしました。そちらで再会できるでしょう。			療養中だったクルル殿も、タタル殿の根回しで、バルデシオン分館へとお送りしました。そちらで再会できるでしょう。			アーテリスの明日							
ありがとう、お気遣いに感謝するわ。			ありがとう、お気遣いに感謝するわ。			アーテリスの明日							
そういうことなら、俺たちも、バルデシオン分館に戻るとするか。			そういうことなら、俺たちも、バルデシオン分館に戻るとするか。			アーテリスの明日							
……Forenameさん。最後に、もうひとつだけよろしいですか。			……Forenameさん。最後に、もうひとつだけよろしいですか。			アーテリスの明日							
ゾディアークが消滅したあとに去ったという、ゼノス・イェー・ガルヴァスのことです。			ゾディアークが消滅したあとに去ったという、ゼノス・イェー・ガルヴァスのことです。			アーテリスの明日							
月を去ったなら、彼は地上に戻っているはず。……捜索隊を出すべきだと思いますか？			月を去ったなら、彼は地上に戻っているはず。……捜索隊を出すべきだと思いますか？			アーテリスの明日							
何と言う？			何と言う？			アーテリスの明日							
犠牲者を増やしたくなければ、やめておけ			犠牲者を増やしたくなければ、やめておけ			アーテリスの明日							
