不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
モグリンと話したが、仲間が足りていないことを見ぬかれ、旅に出る資格は得られなかった。モグチャとサンソン大牙士は、この地でギドゥロを探すそうだ。※吟遊詩人のレベルが60以上になると、モグモグホームのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			モグリンと話したが、仲間が足りていないことを見ぬかれ、旅に出る資格は得られなかった。モグチャとサンソン大牙士は、この地でギドゥロを探すそうだ。※吟遊詩人のレベルが60以上になると、モグモグホームのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			道は詩聖へと続く							
シルヴィエルと話す			シルヴィエルと話す			道は詩聖へと続く							
サンソン大牙士と話す			サンソン大牙士と話す			道は詩聖へと続く							
ソーム・アル山頂のサンソン大牙士と話す			ソーム・アル山頂のサンソン大牙士と話す			道は詩聖へと続く							
モグモグホームのモグリンと話す			モグモグホームのモグリンと話す			道は詩聖へと続く							
サンソン大牙士と話す			サンソン大牙士と話す			道は詩聖へと続く							
指定地点で周囲を見渡す			指定地点で周囲を見渡す			道は詩聖へと続く							
指定地点で再度周囲を見渡す			指定地点で再度周囲を見渡す			道は詩聖へと続く							
指定地点でさらに周囲を見渡す			指定地点でさらに周囲を見渡す			道は詩聖へと続く							
指定地点でもう一度周囲を見渡す			指定地点でもう一度周囲を見渡す			道は詩聖へと続く							
モグリンと話す			モグリンと話す			道は詩聖へと続く							
本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「雲海のモーグリ族」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「雲海のモーグリ族」を完了する必要があります。			道は詩聖へと続く							
ああ、Forenameさん……。ギドゥロは、あれから一向に姿を見せません……。……やはり、グリダニアに帰ったのでしょうか。			ああ、Forenameさん……。ギドゥロは、あれから一向に姿を見せません……。……やはり、グリダニアに帰ったのでしょうか。			道は詩聖へと続く							
シルヴィエルさんとも話したのですが、「天空に詩聖あり」という伝承の言葉は、天から歌声が聞こえてくることの表現みたいです。			シルヴィエルさんとも話したのですが、「天空に詩聖あり」という伝承の言葉は、天から歌声が聞こえてくることの表現みたいです。			道は詩聖へと続く							
そして、やはり雷鳴などの喩えなのではないか、と……。ギドゥロの予想どおりでしたね……。天空から聞こえる歌声なんて、何かの比喩に決まってる。			そして、やはり雷鳴などの喩えなのではないか、と……。ギドゥロの予想どおりでしたね……。天空から聞こえる歌声なんて、何かの比喩に決まってる。			道は詩聖へと続く							
でないと、空の上に歌を嗜む種族がいることになってしまう。そんなモーグリ族のような種族、いるわけないですよね……。			でないと、空の上に歌を嗜む種族がいることになってしまう。そんなモーグリ族のような種族、いるわけないですよね……。			道は詩聖へと続く							
………………なっ！雲海にモーグリの住む集落があるですって……！？そ、そんな……早く言ってくださいよ、人が悪い！			………………なっ！雲海にモーグリの住む集落があるですって……！？そ、そんな……早く言ってくださいよ、人が悪い！			道は詩聖へと続く							
もし、雲海のモーグリたちが、音楽を愛するなら、「終焉の戦歌」を知っていてもおかしくありません！急いで、現地に案内してください！			もし、雲海のモーグリたちが、音楽を愛するなら、「終焉の戦歌」を知っていてもおかしくありません！急いで、現地に案内してください！			道は詩聖へと続く							
……ギドゥロだって吟遊詩人です。戦歌があると聞けば、追いかけてくるかもしれません……。			……ギドゥロだって吟遊詩人です。戦歌があると聞けば、追いかけてくるかもしれません……。			道は詩聖へと続く							
「シルヴィエル」さんに、ギドゥロへの伝言を託してくれませんか？俺は先に「不浄の三塔」に向かっておきますから……。			「シルヴィエル」さんに、ギドゥロへの伝言を託してくれませんか？俺は先に「不浄の三塔」に向かっておきますから……。			道は詩聖へと続く							
ゲッ……Forename……！			ゲッ……Forename……！			道は詩聖へと続く							
……ふふ、ギドゥロ君、ついに見つかったね。よく、サンソン君のことをこっそり眺めたり、彼とどんな話をしたのか、聞きにきたりしてたんだよ。			……ふふ、ギドゥロ君、ついに見つかったね。よく、サンソン君のことをこっそり眺めたり、彼とどんな話をしたのか、聞きにきたりしてたんだよ。			道は詩聖へと続く							
霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			道は詩聖へと続く							
……どうだい、一緒に「ドラヴァニア雲海」を目指してみては。意地を張るのも、疲れるものだろう？			……どうだい、一緒に「ドラヴァニア雲海」を目指してみては。意地を張るのも、疲れるものだろう？			道は詩聖へと続く							
……なあ、Forename。お前は、俺がどうするべきだと思う？			……なあ、Forename。お前は、俺がどうするべきだと思う？			道は詩聖へと続く							
ギドゥロはどうするべき？			ギドゥロはどうするべき？			道は詩聖へと続く							
一緒に向かおう			一緒に向かおう			道は詩聖へと続く							
…………			…………			道は詩聖へと続く							
粋な吟遊詩人であるお前が、そうまで言うんなら、少しだけ、考えてやるか……。			粋な吟遊詩人であるお前が、そうまで言うんなら、少しだけ、考えてやるか……。			道は詩聖へと続く							
粋な吟遊詩人であるお前は、俺自身で決めろと言ってんだな。……少しだけ、考えてみるわ。			粋な吟遊詩人であるお前は、俺自身で決めろと言ってんだな。……少しだけ、考えてみるわ。			道は詩聖へと続く							
霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			霊峰「ソーム・アル」の頂に、そんな場所があるとは……。確かに「詩聖」が雲海のモーグリ族を指し示すと、考えることもできるだろう。			道は詩聖へと続く							
これは、また威容を誇る建造物ですね……。ギドゥロがいたら、この風景を歌にしたことでしょう……。			これは、また威容を誇る建造物ですね……。ギドゥロがいたら、この風景を歌にしたことでしょう……。			道は詩聖へと続く							
さて、ここからは、Forenameさんが頼りです。ドラゴン族の住処を抜けて、霊峰の先、「ドラヴァニア雲海」へと向かいましょう……！			さて、ここからは、Forenameさんが頼りです。ドラゴン族の住処を抜けて、霊峰の先、「ドラヴァニア雲海」へと向かいましょう……！			道は詩聖へと続く							
なんて景色なんだ……俺に詩才はありませんから、せめて、奴と再会できたとき、この光景を伝えられるよう、目に焼き付けておきます。			なんて景色なんだ……俺に詩才はありませんから、せめて、奴と再会できたとき、この光景を伝えられるよう、目に焼き付けておきます。			道は詩聖へと続く							
さて、この集落の長老に挨拶せねばなりませんね……。その「モグリン」様という方のところに向かいましょう。			さて、この集落の長老に挨拶せねばなりませんね……。その「モグリン」様という方のところに向かいましょう。			道は詩聖へと続く							
こちらがモグリン様……なんとも、貫禄が……。			こちらがモグリン様……なんとも、貫禄が……。			道は詩聖へと続く							
……おぬしから「終焉の戦歌」の名を聞くとは驚いたくぽ。しかし、あの戦歌は、あまりにも危険過ぎるくぽ……。			……おぬしから「終焉の戦歌」の名を聞くとは驚いたくぽ。しかし、あの戦歌は、あまりにも危険過ぎるくぽ……。			道は詩聖へと続く							
モグたちにとって、あれは禁忌の歌くぽ。さっきも、「モグチャ」という名の若い吟遊モーグリが、「終焉の戦歌」を探したいと言うから、叱ったところくぽ。			モグたちにとって、あれは禁忌の歌くぽ。さっきも、「モグチャ」という名の若い吟遊モーグリが、「終焉の戦歌」を探したいと言うから、叱ったところくぽ。			道は詩聖へと続く							
「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			道は詩聖へと続く							
…………ふむ。Forenameさん、どうも様子がおかしい。ここは一度退いて、集落の外で落ち合いましょう……。			…………ふむ。Forenameさん、どうも様子がおかしい。ここは一度退いて、集落の外で落ち合いましょう……。			道は詩聖へと続く							
「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			「モグチャ」は、怒って集落を出ていってしまったくぽ。どうやら「モグモグホーム」の北へ向かったようくぽ。ちょーっとだけ、心配くぽ……。			道は詩聖へと続く							
モグリン様は、禁忌と言いながら、俺たちと目的を同じくするモーグリの存在を教えてくれた。いったい、何故なのでしょう……？			モグリン様は、禁忌と言いながら、俺たちと目的を同じくするモーグリの存在を教えてくれた。いったい、何故なのでしょう……？			道は詩聖へと続く							
……何か、裏がありそうですね。ともかく、「モグチャ」という名のモーグリが鍵のようです。集落の北を何箇所か、ふたりで捜索してみましょう！			……何か、裏がありそうですね。ともかく、「モグチャ」という名のモーグリが鍵のようです。集落の北を何箇所か、ふたりで捜索してみましょう！			道は詩聖へと続く							
モグチャらしき姿は見当たりませんね……。			モグチャらしき姿は見当たりませんね……。			道は詩聖へと続く							
いじいじ……モグリンさまのバカ……くぽ……。			いじいじ……モグリンさまのバカ……くぽ……。			道は詩聖へと続く							
うーん、見つからないですね……。てっきり、「モグチャを探せ」という、モグリン様のメッセージかと思ったのですが……。			うーん、見つからないですね……。てっきり、「モグチャを探せ」という、モグリン様のメッセージかと思ったのですが……。			道は詩聖へと続く							
(-いじいじモーグリ-)くぽぽ～！？　い、いったい誰くぽ～！？モ、モグをいじめるつもりくぽ！？			(-いじいじモーグリ-)くぽぽ～！？　い、いったい誰くぽ～！？モ、モグをいじめるつもりくぽ！？			道は詩聖へと続く							
いじめはしないさ……君は、モグチャ、だね……？			いじめはしないさ……君は、モグチャ、だね……？			道は詩聖へと続く							
……なんで、モグの名前を知ってるくぽ？君たち、何者くぽ……？			……なんで、モグの名前を知ってるくぽ？君たち、何者くぽ……？			道は詩聖へと続く							
くぽぽ～！　「終焉の戦歌」を探してるくぽ！？モグと、おんなじくぽ～！			くぽぽ～！　「終焉の戦歌」を探してるくぽ！？モグと、おんなじくぽ～！			道は詩聖へと続く							
モグは、歌が大好きくぽっ。「空の地にひびく歌声、円と広がり、近づく者を破壊せん」……村にそう伝わる戦歌を探してみたいって、お願いしたら……。			モグは、歌が大好きくぽっ。「空の地にひびく歌声、円と広がり、近づく者を破壊せん」……村にそう伝わる戦歌を探してみたいって、お願いしたら……。			道は詩聖へと続く							
心から信頼できる仲間と一緒じゃないとダメだって、モグリンさまから諭されてしまったくぽ。モグには仲間がいないから、ダメらしいくぽ……。			心から信頼できる仲間と一緒じゃないとダメだって、モグリンさまから諭されてしまったくぽ。モグには仲間がいないから、ダメらしいくぽ……。			道は詩聖へと続く							
なあ、出会ったばかりだが、俺たちはみな戦歌を求めている。ともに「終焉の戦歌」を探す仲間になれないだろうか……？			なあ、出会ったばかりだが、俺たちはみな戦歌を求めている。ともに「終焉の戦歌」を探す仲間になれないだろうか……？			道は詩聖へと続く							
……モグと一緒に、「終焉の戦歌」を探しに行ってくれるくぽ？			……モグと一緒に、「終焉の戦歌」を探しに行ってくれるくぽ？			道は詩聖へと続く							
くぽ～！　モグにも、仲間ができたくぽ～！すっごくすっごく、嬉しいくぽ～！			くぽ～！　モグにも、仲間ができたくぽ～！すっごくすっごく、嬉しいくぽ～！			道は詩聖へと続く							
そうと決まれば、「モグモグホーム」に戻るくぽ！モグリンさまを説得するくぽ～！			そうと決まれば、「モグモグホーム」に戻るくぽ！モグリンさまを説得するくぽ～！			道は詩聖へと続く							
モグはもう、ひとりじゃないくぽ～！			モグはもう、ひとりじゃないくぽ～！			道は詩聖へと続く							
「終焉の戦歌」が、本当に見つかるかもしれません。……あとはギドゥロが……いえ、何でもありません。			「終焉の戦歌」が、本当に見つかるかもしれません。……あとはギドゥロが……いえ、何でもありません。			道は詩聖へと続く							
……ふむ、モグチャと意気投合したようくぽね。心から信頼できる仲間と一緒でなければならない……おぬしたちは、「終焉の戦歌」を探す資格を得たくぽ……。			……ふむ、モグチャと意気投合したようくぽね。心から信頼できる仲間と一緒でなければならない……おぬしたちは、「終焉の戦歌」を探す資格を得たくぽ……。			道は詩聖へと続く							
……と、言ってやりたいけど、おぬしたち、なーんだか頼りないくぽ！大事な欠片が、もうひとつ、足りていないような……。			……と、言ってやりたいけど、おぬしたち、なーんだか頼りないくぽ！大事な欠片が、もうひとつ、足りていないような……。			道は詩聖へと続く							
足りない欠片……やはり、ギドゥロの……。俺は、彼なら来てくれると思っていたのですが、それは、勘違いだったのでしょうか……？			足りない欠片……やはり、ギドゥロの……。俺は、彼なら来てくれると思っていたのですが、それは、勘違いだったのでしょうか……？			道は詩聖へと続く							
……Forenameさん、それは本当ですか！？ギドゥロの姿を、ここ雲海の地で見かけたと？			……Forenameさん、それは本当ですか！？ギドゥロの姿を、ここ雲海の地で見かけたと？			道は詩聖へと続く							
サンソン、Forename……そのギドゥロってヒトも、戦歌が大好きくぽ？			サンソン、Forename……そのギドゥロってヒトも、戦歌が大好きくぽ？			道は詩聖へと続く							
ああ……。あいつは、心から、戦歌を愛している吟遊詩人だ。			ああ……。あいつは、心から、戦歌を愛している吟遊詩人だ。			道は詩聖へと続く							
……なら、そのギドゥロが合流してから、「終焉の戦歌」を探しにいくくぽ！歌を愛する仲間は、多いほうが楽しいくぽ～！			……なら、そのギドゥロが合流してから、「終焉の戦歌」を探しにいくくぽ！歌を愛する仲間は、多いほうが楽しいくぽ～！			道は詩聖へと続く							
モグも、ギドゥロを探してみるくぽ！雲海の何処かにいるんなら、きっと見つかるくぽ。だから、サンソン……そんな悲しそうな顔はやめるくぽ！			モグも、ギドゥロを探してみるくぽ！雲海の何処かにいるんなら、きっと見つかるくぽ。だから、サンソン……そんな悲しそうな顔はやめるくぽ！			道は詩聖へと続く							
うむ、サンソンよ……おぬしの滞在を認めるくぽ……。その代わり、きっちり仲間を揃えてみせるくぽ！			うむ、サンソンよ……おぬしの滞在を認めるくぽ……。その代わり、きっちり仲間を揃えてみせるくぽ！			道は詩聖へと続く							
忘れられた騎士亭のアンソールムは、悩み事があるようだ。			忘れられた騎士亭のアンソールムは、悩み事があるようだ。			釣り道楽、雲海を目指す							
アンソールムのもとに、エレゼン族の老人が訪ねてきた。エレゼン族の老人が料理人として仕えている館に住む領主代理が、横暴な命令を突きつけてきているらしい。領主が要求するバルーンパファーを手に入れるため、リムサ・ロミンサの漁師ギルドにいる「シシプ」と相談しよう。			アンソールムのもとに、エレゼン族の老人が訪ねてきた。エレゼン族の老人が料理人として仕えている館に住む領主代理が、横暴な命令を突きつけてきているらしい。領主が要求するバルーンパファーを手に入れるため、リムサ・ロミンサの漁師ギルドにいる「シシプ」と相談しよう。			釣り道楽、雲海を目指す							
シシプと話した。バルーンパファーは、ドラヴァニア雲海になら棲息している可能性があるようだ。ドラヴァニア雲海のモグモグホームで情報を集めよう。			シシプと話した。バルーンパファーは、ドラヴァニア雲海になら棲息している可能性があるようだ。ドラヴァニア雲海のモグモグホームで情報を集めよう。			釣り道楽、雲海を目指す							
モグットと出会い、釣りが大好きなモーグリ族、モグックのことを教えてもらった。モグモグホームの北にいる「モグック」と話そう。			モグットと出会い、釣りが大好きなモーグリ族、モグックのことを教えてもらった。モグモグホームの北にいる「モグック」と話そう。			釣り道楽、雲海を目指す							
モグックと話した。「バルーンパファー」を釣り上げ、モグモグホーム北の「モグック」に見せよう。バルーンパファーは、ランドロード遺構の釣り場で釣ることができる。			モグックと話した。「バルーンパファー」を釣り上げ、モグモグホーム北の「モグック」に見せよう。バルーンパファーは、ランドロード遺構の釣り場で釣ることができる。			釣り道楽、雲海を目指す							
バルーンパファーの姿を見て、モグックも満足したようだ。モグックから、機械で空に浮かぶ大陸での釣法「魔泉釣り」を教わった。バルーンパファーを、忘れられた騎士亭の「アンソールム」に納品しよう。			バルーンパファーの姿を見て、モグックも満足したようだ。モグックから、機械で空に浮かぶ大陸での釣法「魔泉釣り」を教わった。バルーンパファーを、忘れられた騎士亭の「アンソールム」に納品しよう。			釣り道楽、雲海を目指す							
アンソールムにバルーンパファーを納品した。アンソールムは、バルーンパファーが持つ毒で、領主代理を苦しめることを提案するとともに、自身も領主の息子であったことを告白した。エレゼン族の老人を見送った後、アンソールムから、「魔泉釣り」に使えそうな釣り餌をもらった。機械でできた大陸に辿り着いたら、「魔泉釣り」に挑戦してみよう。※漁師のレベルが60以上になると、忘れられた騎士亭のアンソールムから次の漁師クエストを受注することができます。			アンソールムにバルーンパファーを納品した。アンソールムは、バルーンパファーが持つ毒で、領主代理を苦しめることを提案するとともに、自身も領主の息子であったことを告白した。エレゼン族の老人を見送った後、アンソールムから、「魔泉釣り」に使えそうな釣り餌をもらった。機械でできた大陸に辿り着いたら、「魔泉釣り」に挑戦してみよう。※漁師のレベルが60以上になると、忘れられた騎士亭のアンソールムから次の漁師クエストを受注することができます。			釣り道楽、雲海を目指す							
漁師ギルドのシシプと話す			漁師ギルドのシシプと話す			釣り道楽、雲海を目指す							
モグモグホームで情報を集める			モグモグホームで情報を集める			釣り道楽、雲海を目指す							
モグックと話す			モグックと話す			釣り道楽、雲海を目指す							
ドラヴァニア雲海でバルーンパファーを釣るモグックにバルーンパファーを見せる			ドラヴァニア雲海でバルーンパファーを釣るモグックにバルーンパファーを見せる			釣り道楽、雲海を目指す							
イシュガルドのアンソールムにバルーンパファーを納品			イシュガルドのアンソールムにバルーンパファーを納品			釣り道楽、雲海を目指す							
本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「雲海のモーグリ族」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「雲海のモーグリ族」を完了する必要があります。			釣り道楽、雲海を目指す							
おお、お前さんか……ちょうどいい……。この悩みは、オレひとりで抱えるにゃあ重すぎる……。			おお、お前さんか……ちょうどいい……。この悩みは、オレひとりで抱えるにゃあ重すぎる……。			釣り道楽、雲海を目指す							
このジッチャンは、オレの昔馴染みだ。お互い、同じ領地に暮らしていたんだが、最近、その領内が荒れててな……。			このジッチャンは、オレの昔馴染みだ。お互い、同じ領地に暮らしていたんだが、最近、その領内が荒れててな……。			釣り道楽、雲海を目指す							
きっかけは、領主の病死だ……。あそこを治めていた貴族の旦那には、ふたりの息子がいたんだが、継承権第一位の長男が、あいにく出奔しちまっててな。			きっかけは、領主の病死だ……。あそこを治めていた貴族の旦那には、ふたりの息子がいたんだが、継承権第一位の長男が、あいにく出奔しちまっててな。			釣り道楽、雲海を目指す							
さすがに、死んでもない長男をないがしろにはできない……。仕方なく次男は、領主代理として、ひとまずの任に就いた。			さすがに、死んでもない長男をないがしろにはできない……。仕方なく次男は、領主代理として、ひとまずの任に就いた。			釣り道楽、雲海を目指す							
だが、その次男が、とんでもない愚君だったんだ！領民は、領主代理からの無茶な要求に苦しんでいる……。			だが、その次男が、とんでもない愚君だったんだ！領民は、領主代理からの無茶な要求に苦しんでいる……。			釣り道楽、雲海を目指す							
こうして、ジッチャンが相談に来たのも、要求に応えるためさ。ジッチャンは、領主の館で専属調理師を務めているんだが……。			こうして、ジッチャンが相談に来たのも、要求に応えるためさ。ジッチャンは、領主の館で専属調理師を務めているんだが……。			釣り道楽、雲海を目指す							
領主代理の野郎、教皇庁からの客人を迎えるべく、絶滅した伝説の珍味「バルーンパファー」で料理を作れ、できなきゃ命で償え、なんて無茶な注文を出しやがったらしい。			領主代理の野郎、教皇庁からの客人を迎えるべく、絶滅した伝説の珍味「バルーンパファー」で料理を作れ、できなきゃ命で償え、なんて無茶な注文を出しやがったらしい。			釣り道楽、雲海を目指す							
いい加減、許しちゃおけねえ！オレも肚を決めて…………。			いい加減、許しちゃおけねえ！オレも肚を決めて…………。			釣り道楽、雲海を目指す							
……待てよ、いいことを思いついたぞ！確か、あの魚は……。			……待てよ、いいことを思いついたぞ！確か、あの魚は……。			釣り道楽、雲海を目指す							
Forename、後生だ！「バルーンパファー」を釣り上げちゃくれねえか！？			Forename、後生だ！「バルーンパファー」を釣り上げちゃくれねえか！？			釣り道楽、雲海を目指す							
「バルーンパファー」は、かつて皇都近くの雲海で釣れたという。貴族の乱獲によって、姿を消したが……雲海のさらなる奥地なら、まだ棲息してるかもしれん！			「バルーンパファー」は、かつて皇都近くの雲海で釣れたという。貴族の乱獲によって、姿を消したが……雲海のさらなる奥地なら、まだ棲息してるかもしれん！			釣り道楽、雲海を目指す							
とはいえ、雲海ってだけじゃあ情報が足りねえ……。お前さんは、一度「漁師ギルド」に戻って、シシプの嬢ちゃんから、話を聞いてみてくれ！			とはいえ、雲海ってだけじゃあ情報が足りねえ……。お前さんは、一度「漁師ギルド」に戻って、シシプの嬢ちゃんから、話を聞いてみてくれ！			釣り道楽、雲海を目指す							
おお……あなた方のお心遣い、痛み入りますぞ……。何卒、お願いいたします……。			おお……あなた方のお心遣い、痛み入りますぞ……。何卒、お願いいたします……。			釣り道楽、雲海を目指す							
奴め、絶滅した魚ってだけで、「バルーンパファー」にしたんだろうが、その選択を後悔させてやるぜ……！			奴め、絶滅した魚ってだけで、「バルーンパファー」にしたんだろうが、その選択を後悔させてやるぜ……！			釣り道楽、雲海を目指す							
雲海ってだけじゃあ情報が足りねえ……。お前さんは、一度「漁師ギルド」に戻って、シシプの嬢ちゃんから、話を聞いてみてくれ！			雲海ってだけじゃあ情報が足りねえ……。お前さんは、一度「漁師ギルド」に戻って、シシプの嬢ちゃんから、話を聞いてみてくれ！			釣り道楽、雲海を目指す							
おお……あなた方のお心遣い、痛み入りますぞ……。何卒、お願いいたします……。			おお……あなた方のお心遣い、痛み入りますぞ……。何卒、お願いいたします……。			釣り道楽、雲海を目指す							
……あらあら、そんなことが。でも、そんな凄腕さんが私を頼ってくれて嬉しいわ。			……あらあら、そんなことが。でも、そんな凄腕さんが私を頼ってくれて嬉しいわ。			釣り道楽、雲海を目指す							
「バルーンパファー」ね、ええ、知ってるわよ！以前、あなたが雲海に住む魚を納品してきたでしょう？面白いと思って、その頃からいろんな国の文献を調べてたの！			「バルーンパファー」ね、ええ、知ってるわよ！以前、あなたが雲海に住む魚を納品してきたでしょう？面白いと思って、その頃からいろんな国の文献を調べてたの！			釣り道楽、雲海を目指す							
「バルーンパファー」は毒を持ってて、その毒にあたっちゃうと、三日三晩、苦しむそうだけど……。適切に調理すれば、それはそれは美味しい魚だそうよ！			「バルーンパファー」は毒を持ってて、その毒にあたっちゃうと、三日三晩、苦しむそうだけど……。適切に調理すれば、それはそれは美味しい魚だそうよ！			釣り道楽、雲海を目指す							
生態は……なんて書いてあったかしら……。確か、西風に乗って姿を現す……だったはずよ！			生態は……なんて書いてあったかしら……。確か、西風に乗って姿を現す……だったはずよ！			釣り道楽、雲海を目指す							
イシュガルドの西の方に雲海でもあれば、まだ生き残ってる「バルーンパファー」がいるかも……。うーん、現地に暮らす住民でもいれば、話が聞けるんだけど。			イシュガルドの西の方に雲海でもあれば、まだ生き残ってる「バルーンパファー」がいるかも……。うーん、現地に暮らす住民でもいれば、話が聞けるんだけど。			釣り道楽、雲海を目指す							
イシュガルドの西の方に雲海でもあれば、まだ生き残ってる「バルーンパファー」がいるかも……。うーん、現地に暮らす住民でもいれば、話が聞けるんだけど。			イシュガルドの西の方に雲海でもあれば、まだ生き残ってる「バルーンパファー」がいるかも……。うーん、現地に暮らす住民でもいれば、話が聞けるんだけど。			釣り道楽、雲海を目指す							
オレの方でもいろいろと調べちゃいるが、皇都付近の雲海では、まったく目撃情報なしだ。やはり、もっと奥地の雲海まで行かないと駄目なのか……？			オレの方でもいろいろと調べちゃいるが、皇都付近の雲海では、まったく目撃情報なしだ。やはり、もっと奥地の雲海まで行かないと駄目なのか……？			釣り道楽、雲海を目指す							
……「バルーンパファー」を探してるくぽ？だったら、モグックに聞いてみればいいくぽ～！			……「バルーンパファー」を探してるくぽ？だったら、モグックに聞いてみればいいくぽ～！			釣り道楽、雲海を目指す							
あいつは、浮島で釣りをしていたら、島ごと迷子になって雲海で行方不明になったことがあるくらい、筋金入りの釣り道楽くぽ！			あいつは、浮島で釣りをしていたら、島ごと迷子になって雲海で行方不明になったことがあるくらい、筋金入りの釣り道楽くぽ！			釣り道楽、雲海を目指す							
「モグック」だったら、さっき、「モグモグホーム」の北へ行くのを見かけたくぽ。まだ、その辺りにいるはずくぽ～！			「モグック」だったら、さっき、「モグモグホーム」の北へ行くのを見かけたくぽ。まだ、その辺りにいるはずくぽ～！			釣り道楽、雲海を目指す							
「モグック」だったら、さっき、「モグモグホーム」の北へ行くのを見かけたくぽ。まだ、その辺りにいるはずくぽ～！			「モグック」だったら、さっき、「モグモグホーム」の北へ行くのを見かけたくぽ。まだ、その辺りにいるはずくぽ～！			釣り道楽、雲海を目指す							
く、くぽ！？　見たことないヤツくぽ！！しかも、お魚さんの匂いをプンプンさせてるくぽ！おまえ、何者くぽ……？			く、くぽ！？　見たことないヤツくぽ！！しかも、お魚さんの匂いをプンプンさせてるくぽ！おまえ、何者くぽ……？			釣り道楽、雲海を目指す							
……釣りのために、ここまで来たくぽ！？ははあ、おまえも、相当の釣り道楽と見たくぽ！ここまで来た熱意に敬意を表して、教えてやるくぽ！			……釣りのために、ここまで来たくぽ！？ははあ、おまえも、相当の釣り道楽と見たくぽ！ここまで来た熱意に敬意を表して、教えてやるくぽ！			釣り道楽、雲海を目指す							
「バルーンパファー」は、滅んではいないくぽ！モグも、一回しか釣りあげたことがなくて、そのときは、猛毒にあたって大変なことになったくぽ……。			「バルーンパファー」は、滅んではいないくぽ！モグも、一回しか釣りあげたことがなくて、そのときは、猛毒にあたって大変なことになったくぽ……。			釣り道楽、雲海を目指す							
「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			釣り道楽、雲海を目指す							
「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			「バルーンパファー」の棲処は、この辺りのはずだけど、普段は、全然姿を現さないくぽ！釣り上げることができたら、モグにも見せてほしいくぽ～！			釣り道楽、雲海を目指す							
くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			釣り道楽、雲海を目指す							
この魚は、食べる前に内臓を綺麗に取らないと、猛毒にやられるくぽ。モグが食べたときは……思い出すだけで、むかついてきたくぽ～！			この魚は、食べる前に内臓を綺麗に取らないと、猛毒にやられるくぽ。モグが食べたときは……思い出すだけで、むかついてきたくぽ～！			釣り道楽、雲海を目指す							
おまえが釣ってくれて、モグも気分がスッとしたくぽ！その腕前を見込んで、とっておきの話を聞かせてやるくぽ。モグも試したことのない、世にも不思議な釣りの話くぽ……。			おまえが釣ってくれて、モグも気分がスッとしたくぽ！その腕前を見込んで、とっておきの話を聞かせてやるくぽ。モグも試したことのない、世にも不思議な釣りの話くぽ……。			釣り道楽、雲海を目指す							
世界のどこかには、はるか古の時代に、キカイの力でお空に浮かべられた大陸があるらしいくぽ……。そこには、奇妙なお魚が棲む「魔泉」があるというくぽ！			世界のどこかには、はるか古の時代に、キカイの力でお空に浮かべられた大陸があるらしいくぽ……。そこには、奇妙なお魚が棲む「魔泉」があるというくぽ！			釣り道楽、雲海を目指す							
伝説では、「バイオレットワーム」を釣り餌に使うと、釣りができると言われているくぽ。……けれど、今となっては真相は定かではないくぽ！			伝説では、「バイオレットワーム」を釣り餌に使うと、釣りができると言われているくぽ。……けれど、今となっては真相は定かではないくぽ！			釣り道楽、雲海を目指す							
