コスタ・デル・ソルのヴェイスケートは、最後の珍味について説明したいようだ。			コスタ・デル・ソルのヴェイスケートは、最後の珍味について説明したいようだ。			ブレイフロクスの珍チーズ							
コスタ・デル・ソルのクザイ・タザイは、まだまだ困りごとがあるようだ。			コスタ・デル・ソルのクザイ・タザイは、まだまだ困りごとがあるようだ。			大型甲殻類の恐怖							
地震の影響で、スニッパーが陸に上がってくるらしい。まずは「スニッパー」を5匹倒そう。			地震の影響で、スニッパーが陸に上がってくるらしい。まずは「スニッパー」を5匹倒そう。			大型甲殻類の恐怖							
スニッパーを倒した。はたして、大ガニは現れるのだろうか……。「不穏な浜辺」で待機し、現れた魔物を倒そう。魔物には「緑色の錬金薬」が有効らしい。			スニッパーを倒した。はたして、大ガニは現れるのだろうか……。「不穏な浜辺」で待機し、現れた魔物を倒そう。魔物には「緑色の錬金薬」が有効らしい。			大型甲殻類の恐怖							
グリッパーを倒した。コスタ・デル・ソルのクザイ・タザイに報告しよう。			グリッパーを倒した。コスタ・デル・ソルのクザイ・タザイに報告しよう。			大型甲殻類の恐怖							
カニが陸に上がってくる原因であった地震は、魔物に起因しているという。いったいそれは、どんな魔物なのだろうか……。			カニが陸に上がってくる原因であった地震は、魔物に起因しているという。いったいそれは、どんな魔物なのだろうか……。			大型甲殻類の恐怖							
スニッパーを討伐			スニッパーを討伐			大型甲殻類の恐怖							
不穏な浜辺で待機し緑色の錬金薬を使って魔物を討伐			不穏な浜辺で待機し緑色の錬金薬を使って魔物を討伐			大型甲殻類の恐怖							
クザイ・タザイに報告			クザイ・タザイに報告			大型甲殻類の恐怖							
冒険者さんに、またお願いがあります……。最近、地震が増えてるんですが、そのたびに危険を察知して、「スニッパー」が陸にあがってくるんです。			冒険者さんに、またお願いがあります……。最近、地震が増えてるんですが、そのたびに危険を察知して、「スニッパー」が陸にあがってくるんです。			大型甲殻類の恐怖							
しかも、スニッパーを退治しようとすると、奴らの親分みたいな大ガニが現れて大暴れするもんで、まったく始末におえません！			しかも、スニッパーを退治しようとすると、奴らの親分みたいな大ガニが現れて大暴れするもんで、まったく始末におえません！			大型甲殻類の恐怖							
この「緑色の錬金薬」を渡しておきますね。なんでも硬い甲羅を柔らかくする薬だとかで……ゲゲルジュ様が、急いで作らせたものなんです。			この「緑色の錬金薬」を渡しておきますね。なんでも硬い甲羅を柔らかくする薬だとかで……ゲゲルジュ様が、急いで作らせたものなんです。			大型甲殻類の恐怖							
どうぞ、大ガニを退治するときに使ってください。腕の立つ冒険者さんにしか、お願いできないんです！どうか、よろしくお願いします！			どうぞ、大ガニを退治するときに使ってください。腕の立つ冒険者さんにしか、お願いできないんです！どうか、よろしくお願いします！			大型甲殻類の恐怖							
（スニッパーを５匹倒す）			（スニッパーを５匹倒す）			大型甲殻類の恐怖							
（現れた「不審な地点」で待機→特殊スニッパーがPOP　バトルアイテムを使って防御力を下げる→倒す）			（現れた「不審な地点」で待機→特殊スニッパーがPOP　バトルアイテムを使って防御力を下げる→倒す）			大型甲殻類の恐怖							
お帰りなさい！こんなに早く解決しちゃうだなんて、さすがですね！ありがとうございました。			お帰りなさい！こんなに早く解決しちゃうだなんて、さすがですね！ありがとうございました。			大型甲殻類の恐怖							
ところで、これはタダの噂なんですが……そもそもの地震の原因も、なんと魔物なんですって。どんな魔物の仕業か知りませんが……不安ですよね。			ところで、これはタダの噂なんですが……そもそもの地震の原因も、なんと魔物なんですって。どんな魔物の仕業か知りませんが……不安ですよね。			大型甲殻類の恐怖							
敵の気配を感じた！！			敵の気配を感じた！！			大型甲殻類の恐怖							
コスタ・デル・ソルのフィリルスンは、何かを失くしてしまったようだ。			コスタ・デル・ソルのフィリルスンは、何かを失くしてしまったようだ。			渚の白鴎塔							
フィリルスンは獅子印のメダルを失くしてしまったらしい。白鴎塔の頂上に向かい、印の上でエモート「見わたす」をしてみよう。			フィリルスンは獅子印のメダルを失くしてしまったらしい。白鴎塔の頂上に向かい、印の上でエモート「見わたす」をしてみよう。			渚の白鴎塔							
白鴎塔の頂上で、3つの光を見つけた。もしかすると、獅子印のメダルかもしれない。さっそく拾いにいこう。			白鴎塔の頂上で、3つの光を見つけた。もしかすると、獅子印のメダルかもしれない。さっそく拾いにいこう。			渚の白鴎塔							
獅子印のメダルを拾い終えた。コスタ・デル・ソルの「フィリルスン」に渡そう。			獅子印のメダルを拾い終えた。コスタ・デル・ソルの「フィリルスン」に渡そう。			渚の白鴎塔							
獅子印のメダルは、フィリルスンの戦友の形見だったらしい。大事なものを再び手にできて、彼は安心したようだ。			獅子印のメダルは、フィリルスンの戦友の形見だったらしい。大事なものを再び手にできて、彼は安心したようだ。			渚の白鴎塔							
白鴎塔頂上の印の上で「見わたす」をする			白鴎塔頂上の印の上で「見わたす」をする			渚の白鴎塔							
獅子印のメダルを入手			獅子印のメダルを入手			渚の白鴎塔							
フィリルスンに獅子印のメダルを渡す			フィリルスンに獅子印のメダルを渡す			渚の白鴎塔							
そうだ、もうひとつ頼まれてくれないか。実は、大事な「獅子印のメダル」を失くしちまったんだ……。			そうだ、もうひとつ頼まれてくれないか。実は、大事な「獅子印のメダル」を失くしちまったんだ……。			渚の白鴎塔							
俺は役目上、ここをうかつに離れられない。個人的な頼みなんだが、探すのを手伝ってくれねぇか！「獅子印のメダル」は、全部で3枚だ。			俺は役目上、ここをうかつに離れられない。個人的な頼みなんだが、探すのを手伝ってくれねぇか！「獅子印のメダル」は、全部で3枚だ。			渚の白鴎塔							
失くしたのはコボルド族を追っ払ったときだから……たぶん、落ちてるとしたら白鴎塔の近くだと思う。白鴎塔の頂上から「見渡して」探してみてくれよ。			失くしたのはコボルド族を追っ払ったときだから……たぶん、落ちてるとしたら白鴎塔の近くだと思う。白鴎塔の頂上から「見渡して」探してみてくれよ。			渚の白鴎塔							
（白鴎塔のてっぺんで「見渡す」　塔から見えるところにEOBJが3つＰＯＰ）			（白鴎塔のてっぺんで「見渡す」　塔から見えるところにEOBJが3つＰＯＰ）			渚の白鴎塔							
（EOBJにアクセスして「戦士のメダル」入手*3）◆GET　EItem：クエスト：GaiUsb207_00	戦士のメダル(仮)　*3			（EOBJにアクセスして「戦士のメダル」入手*3）◆GET　EItem：クエスト：GaiUsb207_00	戦士のメダル(仮)　*3			渚の白鴎塔							
どうだい！？「獅子印のメダル」は、見つかったかい？			どうだい！？「獅子印のメダル」は、見つかったかい？			渚の白鴎塔							
よかった……ありがとうな！こいつは、海雄旅団の証……俺が旅団の一員だった当時の、戦友のものさ。			よかった……ありがとうな！こいつは、海雄旅団の証……俺が旅団の一員だった当時の、戦友のものさ。			渚の白鴎塔							
蛮神討伐で散っていった友の形見を、いつも懐に忍ばせていたんだが、落としちまったらしい。俺にとっちゃ大切な品でよ……ほんと、助かったぜ。			蛮神討伐で散っていった友の形見を、いつも懐に忍ばせていたんだが、落としちまったらしい。俺にとっちゃ大切な品でよ……ほんと、助かったぜ。			渚の白鴎塔							
コスタ・デル・ソルの執事ペ・エバローには、もうひとつお願いがあるようだ。			コスタ・デル・ソルの執事ペ・エバローには、もうひとつお願いがあるようだ。			浜辺のカイ事件							
家屋の柱にウラグナイトが住み着いているらしい。「頑丈な支柱」に「鋼のヘラ」を使い、現れた「ウラグナイト」をすべて倒そう。			家屋の柱にウラグナイトが住み着いているらしい。「頑丈な支柱」に「鋼のヘラ」を使い、現れた「ウラグナイト」をすべて倒そう。			浜辺のカイ事件							
ウラグナイトをすべて倒した。コスタ・デル・ソルのペ・エバローに報告しよう。			ウラグナイトをすべて倒した。コスタ・デル・ソルのペ・エバローに報告しよう。			浜辺のカイ事件							
かつて海雄旅団で活動していたというペ・エバロー。彼女は蛮神との戦いによって、戦えない体になってしまったらしい。海雄旅団と蛮神の戦いは壮絶なものだったようだ……。			かつて海雄旅団で活動していたというペ・エバロー。彼女は蛮神との戦いによって、戦えない体になってしまったらしい。海雄旅団と蛮神の戦いは壮絶なものだったようだ……。			浜辺のカイ事件							
頑丈な支柱に鋼のヘラを使いウラグナイトを討伐			頑丈な支柱に鋼のヘラを使いウラグナイトを討伐			浜辺のカイ事件							
ペ・エバローに報告			ペ・エバローに報告			浜辺のカイ事件							
冒険者様、もうひとつ頼まれてはいただけませんか。この家屋の柱にウラグナイトが住み着いてしまい……すでにかなりの深さまで侵食しているようなのです。			冒険者様、もうひとつ頼まれてはいただけませんか。この家屋の柱にウラグナイトが住み着いてしまい……すでにかなりの深さまで侵食しているようなのです。			浜辺のカイ事件							
「ウラグナイト」は、支柱に「鋼のヘラ」を使えば現れるはず。3箇所ほど調べて、魔物をすべて駆除してください。			「ウラグナイト」は、支柱に「鋼のヘラ」を使えば現れるはず。3箇所ほど調べて、魔物をすべて駆除してください。			浜辺のカイ事件							
報酬はきちんとお支払いしますので。なにとぞ、よろしくお願いいたします。			報酬はきちんとお支払いしますので。なにとぞ、よろしくお願いいたします。			浜辺のカイ事件							
（コスタの柱にアイテムを使うとアンモがPOP*5）			（コスタの柱にアイテムを使うとアンモがPOP*5）			浜辺のカイ事件							
冒険者様、ご苦労さまでした。昔なら、このようなこと難なく片付けていたのですが……人に頼まねばならないとは、なんとも情けないものです。			冒険者様、ご苦労さまでした。昔なら、このようなこと難なく片付けていたのですが……人に頼まねばならないとは、なんとも情けないものです。			浜辺のカイ事件							
……わたくしは以前、海雄旅団で活動をしておりました。しかし、蛮神との戦いで、剣を捨てざるをえなくなり……今ではゲゲルジュ様の隣に立っているだけ……。			……わたくしは以前、海雄旅団で活動をしておりました。しかし、蛮神との戦いで、剣を捨てざるをえなくなり……今ではゲゲルジュ様の隣に立っているだけ……。			浜辺のカイ事件							
……申し訳ございません。つまらぬ愚痴をお聞かせしてしまいましたね。魔物を駆除していただき、ありがとうございました。			……申し訳ございません。つまらぬ愚痴をお聞かせしてしまいましたね。魔物を駆除していただき、ありがとうございました。			浜辺のカイ事件							
敵の気配を感じた！！			敵の気配を感じた！！			浜辺のカイ事件							
ワインポートのエトガルは、冒険者にお使いを頼みたいようだ。			ワインポートのエトガルは、冒険者にお使いを頼みたいようだ。			華麗なるエチケット							
ビルギレントはワインのラベルに自らの肖像を描きこむため、画家を雇ったらしい。船着場：レインキャッチャーに「ウルダハの細密画家」を迎えに行こう。			ビルギレントはワインのラベルに自らの肖像を描きこむため、画家を雇ったらしい。船着場：レインキャッチャーに「ウルダハの細密画家」を迎えに行こう。			華麗なるエチケット							
ウルダハの細密画家は急いでワインポートに向かってくれそうだ。ワインポートの「エトガル」に報告しよう。			ウルダハの細密画家は急いでワインポートに向かってくれそうだ。ワインポートの「エトガル」に報告しよう。			華麗なるエチケット							
ビルギレントのワインに対するこだわりは、ずいぶん徹底したもののようだ。そんな彼に、エトガルは心酔しているらしい。			ビルギレントのワインに対するこだわりは、ずいぶん徹底したもののようだ。そんな彼に、エトガルは心酔しているらしい。			華麗なるエチケット							
細密画家と話す			細密画家と話す			華麗なるエチケット							
ワインポートのエトガルに報告			ワインポートのエトガルに報告			華麗なるエチケット							
このワイナリーには、ワインのエチケット……つまりボトルに貼られているラベルに、ビルギレント様の麗しき肖像画を描くしきたりがあるのですぅ。			このワイナリーには、ワインのエチケット……つまりボトルに貼られているラベルに、ビルギレント様の麗しき肖像画を描くしきたりがあるのですぅ。			華麗なるエチケット							
そろそろ、その肖像画を描く細密画家が、はるか遠くウルダハから到着する予定なのですがぁ……。			そろそろ、その肖像画を描く細密画家が、はるか遠くウルダハから到着する予定なのですがぁ……。			華麗なるエチケット							
あなた、「レインキャッチャー」の船着場まで行って、細密画家を迎えにいってくれませんかねぇ？			あなた、「レインキャッチャー」の船着場まで行って、細密画家を迎えにいってくれませんかねぇ？			華麗なるエチケット							
ええ、たしかに私は細密画家ですが……。ビルギレントさんが待ってるって？は、はい！　今、行きますです！			ええ、たしかに私は細密画家ですが……。ビルギレントさんが待ってるって？は、はい！　今、行きますです！			華麗なるエチケット							
……はぁ、あの人、注文が多いんだよなぁ。エチケットはワイナリーの顔ですよ！最高のワインには、最高の私の絵を描きなさいってさ……。			……はぁ、あの人、注文が多いんだよなぁ。エチケットはワイナリーの顔ですよ！最高のワインには、最高の私の絵を描きなさいってさ……。			華麗なるエチケット							
さて、せっかく来たんだから、美味しいワインをお土産にでもしますかねぇ。			さて、せっかく来たんだから、美味しいワインをお土産にでもしますかねぇ。			華麗なるエチケット							
……今からこちらに来るんですねぇ。ありがとうごさいましたぁ。			……今からこちらに来るんですねぇ。ありがとうごさいましたぁ。			華麗なるエチケット							
霊災から苦節5年……ようやくできた今年のワインに、ビルギレント様の麗しい姿が描かれる……。うぅぅん、素晴らしい美の競演ですぅ。			霊災から苦節5年……ようやくできた今年のワインに、ビルギレント様の麗しい姿が描かれる……。うぅぅん、素晴らしい美の競演ですぅ。			華麗なるエチケット							
ワインポートのシャマニ・ローマニは、冒険者に「最高のワイン」についての情報を教えたいらしい。			ワインポートのシャマニ・ローマニは、冒険者に「最高のワイン」についての情報を教えたいらしい。			シャマニ・ローマニの求める香り							
「最高のワイン」は、ワインポートのオーナー「ビルギレント」が所有しているらしい。「ビルギレント」に話しかけよう。			「最高のワイン」は、ワインポートのオーナー「ビルギレント」が所有しているらしい。「ビルギレント」に話しかけよう。			シャマニ・ローマニの求める香り							
ビルギレントは高圧的な態度で、冒険者の話にまったく耳を貸してくれなかった。ワインポートの「シャマニ・ローマニ」に相談しよう。			ビルギレントは高圧的な態度で、冒険者の話にまったく耳を貸してくれなかった。ワインポートの「シャマニ・ローマニ」に相談しよう。			シャマニ・ローマニの求める香り							
どうやら新参者のシャマニ・ローマニは、あまり良い待遇を受けていないようだ。それでも彼には「最高のワイン」を探す算段があるようだが……？			どうやら新参者のシャマニ・ローマニは、あまり良い待遇を受けていないようだ。それでも彼には「最高のワイン」を探す算段があるようだが……？			シャマニ・ローマニの求める香り							
ビルギレントと話す			ビルギレントと話す			シャマニ・ローマニの求める香り							
シャマニ・ローマニと話す			シャマニ・ローマニと話す			シャマニ・ローマニの求める香り							
私は戦いで光を失い「海雄旅団」を引退しました。……流れ着いたこのワインポートでワイン造りに第二の人生を捧げようと思っております。			私は戦いで光を失い「海雄旅団」を引退しました。……流れ着いたこのワインポートでワイン造りに第二の人生を捧げようと思っております。			シャマニ・ローマニの求める香り							
ウフフ、ほかならぬヴェイスケート副団長の依頼です。すぐに最高のワインを用意しましょう。			ウフフ、ほかならぬヴェイスケート副団長の依頼です。すぐに最高のワインを用意しましょう。			シャマニ・ローマニの求める香り							
……と言いたいところなのですが。今現在、私の手元にあるワインは、どれもセカンドラベル……格下のものばかりなのです。			……と言いたいところなのですが。今現在、私の手元にあるワインは、どれもセカンドラベル……格下のものばかりなのです。			シャマニ・ローマニの求める香り							
一級品であるファーストラベルのワインは、醸造師であり、ワイナリーのオーナー……「ビルギレント」という男が独占しています。			一級品であるファーストラベルのワインは、醸造師であり、ワイナリーのオーナー……「ビルギレント」という男が独占しています。			シャマニ・ローマニの求める香り							
あまりお薦めはできないのですが……この際、仕方がないですね。ビルギレントに相談してきてもらえますか？			あまりお薦めはできないのですが……この際、仕方がないですね。ビルギレントに相談してきてもらえますか？			シャマニ・ローマニの求める香り							
なんですか、このワインは！？すっかり酸化して、とても飲めたものではありません！これはワインへの冒涜！　保存管理者はクビにしなさい！			なんですか、このワインは！？すっかり酸化して、とても飲めたものではありません！これはワインへの冒涜！　保存管理者はクビにしなさい！			シャマニ・ローマニの求める香り							
……うん？　誰ですかアナタは？シャマニ・ローマニからの遣いですって？ふん、あの新参者の醸造師ですか。			……うん？　誰ですかアナタは？シャマニ・ローマニからの遣いですって？ふん、あの新参者の醸造師ですか。			シャマニ・ローマニの求める香り							
ワインを譲って欲しいとは……ンふふ、冗談でしょう。どうして、どこのチョコボの骨かもわからない輩に、高級ワインを差し上げなくてはならないのですか？			ワインを譲って欲しいとは……ンふふ、冗談でしょう。どうして、どこのチョコボの骨かもわからない輩に、高級ワインを差し上げなくてはならないのですか？			シャマニ・ローマニの求める香り							
真の美を知る舌もないような者など、泥水でも飲んでいるのがお似合いですよ。ンふふふふ、さぁ、お帰りなさい！			真の美を知る舌もないような者など、泥水でも飲んでいるのがお似合いですよ。ンふふふふ、さぁ、お帰りなさい！			シャマニ・ローマニの求める香り							
……やはり、追い返されましたか。彼は、このワインポートを支配する醸造師の権威。そしてリムサ・ロミンサのワイン王とも呼ばれる存在……。			……やはり、追い返されましたか。彼は、このワインポートを支配する醸造師の権威。そしてリムサ・ロミンサのワイン王とも呼ばれる存在……。			シャマニ・ローマニの求める香り							
たしかにワインに賭ける情熱は素晴らしいのですが……ちょっと性格に難がありましてね。そのうえ、やっかいなことに、絶大な権力を持っています。			たしかにワインに賭ける情熱は素晴らしいのですが……ちょっと性格に難がありましてね。そのうえ、やっかいなことに、絶大な権力を持っています。			シャマニ・ローマニの求める香り							
……冒険者さん、私の光となって、少々手助けしてくれませんか？私たちで、最高のワインを見つけだしましょう。			……冒険者さん、私の光となって、少々手助けしてくれませんか？私たちで、最高のワインを見つけだしましょう。			シャマニ・ローマニの求める香り							
ワインポートのシャマニ・ローマニは、冒険者にお願いしたい仕事があるらしい。			ワインポートのシャマニ・ローマニは、冒険者にお願いしたい仕事があるらしい。			失われた伝説を訪ねて							
シャマニ・ローマニの求める「最高のワイン」は、伝説の「バッカスの酒」というワインらしい。ワインポートの醸造師と話し、情報を集めよう。			シャマニ・ローマニの求める「最高のワイン」は、伝説の「バッカスの酒」というワインらしい。ワインポートの醸造師と話し、情報を集めよう。			失われた伝説を訪ねて							
どうやらバッカスの酒は第七霊災により、すべて喪失してしまったらしい……。ワインポートの「シャマニ・ローマニ」に報告しよう。			どうやらバッカスの酒は第七霊災により、すべて喪失してしまったらしい……。ワインポートの「シャマニ・ローマニ」に報告しよう。			失われた伝説を訪ねて							
残念なニュースにシャマニ・ローマニは肩を落とした。彼が醸造師を目指したきっかけこそ「バッカスの酒」だったのだ。もう一度、伝説のワインを味わえる日は来るのだろうか……。			残念なニュースにシャマニ・ローマニは肩を落とした。彼が醸造師を目指したきっかけこそ「バッカスの酒」だったのだ。もう一度、伝説のワインを味わえる日は来るのだろうか……。			失われた伝説を訪ねて							
醸造師と話す			醸造師と話す			失われた伝説を訪ねて							
シャマニ・ローマニに報告			シャマニ・ローマニに報告			失われた伝説を訪ねて							
現在、このワイナリーで採れるブドウのほとんどは、「ローランドグレープ」という品種です。品質も、けっして悪くはありません。			現在、このワイナリーで採れるブドウのほとんどは、「ローランドグレープ」という品種です。品質も、けっして悪くはありません。			失われた伝説を訪ねて							
しかし、この品種では、私の求める最高のワインは作れないのです……。			しかし、この品種では、私の求める最高のワインは作れないのです……。			失われた伝説を訪ねて							
霊災以前、ローランドグレープを品種改良した折に、神のいたずらによって偶然創られたという、奇跡のブドウ種「バッカスグレープ」……！			霊災以前、ローランドグレープを品種改良した折に、神のいたずらによって偶然創られたという、奇跡のブドウ種「バッカスグレープ」……！			失われた伝説を訪ねて							
このワインポートの肥沃な土でしか実らないという大粒の「バッカスグレープ」を、超一流の醸造師が精魂こめて醸造する……。			このワインポートの肥沃な土でしか実らないという大粒の「バッカスグレープ」を、超一流の醸造師が精魂こめて醸造する……。			失われた伝説を訪ねて							
そこから生まれる至高の一滴こそが……！私の求める最高の、いえ究極のワイン、「バッカスの酒」なのです！！			そこから生まれる至高の一滴こそが……！私の求める最高の、いえ究極のワイン、「バッカスの酒」なのです！！			失われた伝説を訪ねて							
……すみません、少々興奮してしまいました。海雄旅団を引退した後、私は一度だけ、あの味に触れることができたのです。			……すみません、少々興奮してしまいました。海雄旅団を引退した後、私は一度だけ、あの味に触れることができたのです。			失われた伝説を訪ねて							
……それは、まるで天界におわす十二神。目の見えない私に彩り豊かな世界を与えてくれた……。			……それは、まるで天界におわす十二神。目の見えない私に彩り豊かな世界を与えてくれた……。			失われた伝説を訪ねて							
ですが、「バッカスグレープ」の木は、5年前の霊災で、全滅してしまったといいます……。つまり、もう「バッカスの酒」は作れないのです。			ですが、「バッカスグレープ」の木は、5年前の霊災で、全滅してしまったといいます……。つまり、もう「バッカスの酒」は作れないのです。			失われた伝説を訪ねて							
しかし、「特別な晩餐」に合うのは、あのワインしかない。望みがあるとすれば、ここの醸造師の秘蔵品……誰か持っていないか尋ねてみてください、お願いします。			しかし、「特別な晩餐」に合うのは、あのワインしかない。望みがあるとすれば、ここの醸造師の秘蔵品……誰か持っていないか尋ねてみてください、お願いします。			失われた伝説を訪ねて							
「バッカスの酒」だって？ありゃ第七霊災で全部なくなっちまったよ。なんせ、ワイン蔵が跡形もなく吹き飛んじまったからなぁ。			「バッカスの酒」だって？ありゃ第七霊災で全部なくなっちまったよ。なんせ、ワイン蔵が跡形もなく吹き飛んじまったからなぁ。			失われた伝説を訪ねて							
「バッカスの酒」かぁ……。あの美酒を味わいたいという気持ちはわかるが、さすがに無い物ねだりというものだろう。			「バッカスの酒」かぁ……。あの美酒を味わいたいという気持ちはわかるが、さすがに無い物ねだりというものだろう。			失われた伝説を訪ねて							
……そうですか。ボトル1本でも残されていないかと思ったのですが……。悔しいですが、諦めるしかないようです……。			……そうですか。ボトル1本でも残されていないかと思ったのですが……。悔しいですが、諦めるしかないようです……。			失われた伝説を訪ねて							
実は「バッカスの酒」こそ、私がワイン職人を志したキッカケだったのです。			実は「バッカスの酒」こそ、私がワイン職人を志したキッカケだったのです。			失われた伝説を訪ねて							
蛮神「タイタン」との激戦で光を失い、絶望のどん底にあった私に、生きる光明を与えてくれたのが、あのワインの味でした。			蛮神「タイタン」との激戦で光を失い、絶望のどん底にあった私に、生きる光明を与えてくれたのが、あのワインの味でした。			失われた伝説を訪ねて							
まだこんなにも豊かで美しく素晴らしいものがある……。そして、私はそれを充分に享受できる能力を持っている。目が見えなくとも心があれば、人は生きていけるのだと。			まだこんなにも豊かで美しく素晴らしいものがある……。そして、私はそれを充分に享受できる能力を持っている。目が見えなくとも心があれば、人は生きていけるのだと。			失われた伝説を訪ねて							
あの時に飲んだ「バッカスの酒」こそ、私の生きる希望、そして強き心の証だったのです……。			あの時に飲んだ「バッカスの酒」こそ、私の生きる希望、そして強き心の証だったのです……。			失われた伝説を訪ねて							
