主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			輝きは不滅なりて							
……汝、「いにしえの者」か？			……汝、「いにしえの者」か？			海底で待つは							
今、神秘、蘇るとき……。我ら、明かりの灯りし地、見たり……。			今、神秘、蘇るとき……。我ら、明かりの灯りし地、見たり……。			海底で待つは							
汝ら、導かれしヒトなれば、招き、誘わん。否なれば、疾く、去れ……。			汝ら、導かれしヒトなれば、招き、誘わん。否なれば、疾く、去れ……。			海底で待つは							
それは、どういう意味でしょうか……？			それは、どういう意味でしょうか……？			海底で待つは							
…………。			…………。			海底で待つは							
……自分たちで考えるしかなさそうだ。少し場所を変えて、相談するとしよう。			……自分たちで考えるしかなさそうだ。少し場所を変えて、相談するとしよう。			海底で待つは							
さて、どうする……。お前の身体の状態を思えば、先を急ぎたいところだが……。			さて、どうする……。お前の身体の状態を思えば、先を急ぎたいところだが……。			海底で待つは							
当てもなく岩場を探し続けるよりも、テンペストをよく知るであろうオンド族の協力を得た方が、探しやすくはありそうだ。			当てもなく岩場を探し続けるよりも、テンペストをよく知るであろうオンド族の協力を得た方が、探しやすくはありそうだ。			海底で待つは							
それに、族長さんの言っていたこと……「明かりの灯りし地」というのも気になります。			それに、族長さんの言っていたこと……「明かりの灯りし地」というのも気になります。			海底で待つは							
エメトセルクが帰還してきたことで、彼の根城に、明かりが灯った……とは考えられないでしょうか？			エメトセルクが帰還してきたことで、彼の根城に、明かりが灯った……とは考えられないでしょうか？			海底で待つは							
可能性はあるね。無論、憶測の域は出ないが……。			可能性はあるね。無論、憶測の域は出ないが……。			海底で待つは							
君は覚えているかな……最初にユールモアに潜入を試みたとき、私が、オンド族との交易によって自身を売り込もうとしていたことを。			君は覚えているかな……最初にユールモアに潜入を試みたとき、私が、オンド族との交易によって自身を売り込もうとしていたことを。			海底で待つは							
私との商談に応じてくれていたオンド族は、寡黙で独自の文化を持つものの、きちんと理解しあえる相手だった……。			私との商談に応じてくれていたオンド族は、寡黙で独自の文化を持つものの、きちんと理解しあえる相手だった……。			海底で待つは							
だから今回も……きっかけさえあれば、力を借りることができると思うんだ。			だから今回も……きっかけさえあれば、力を借りることができると思うんだ。			海底で待つは							
その「きっかけ」はどうする？族長の言葉は、どうにも要領を得なかったが……。			その「きっかけ」はどうする？族長の言葉は、どうにも要領を得なかったが……。			海底で待つは							
先を急げばこそ、初心に立ち返らん……。この集落は今、急に水が捌けたことで、いくつかの困難を抱えているようです。			先を急げばこそ、初心に立ち返らん……。この集落は今、急に水が捌けたことで、いくつかの困難を抱えているようです。			海底で待つは							
それらの解消に手を貸せば、我々に敵対の意志はないことも伝わりましょう……。			それらの解消に手を貸せば、我々に敵対の意志はないことも伝わりましょう……。			海底で待つは							
……ま、妥当だな。あまり時間は掛けられないが。			……ま、妥当だな。あまり時間は掛けられないが。			海底で待つは							
Forenameも、それでいいの？みんなの提案が的外れだとは思わないけど、最悪、オンド族から得られる情報は無関係かもしれないわ。			Forenameも、それでいいの？みんなの提案が的外れだとは思わないけど、最悪、オンド族から得られる情報は無関係かもしれないわ。			海底で待つは							
そのことだけど……彼らとアシエン、もしかしたら思った以上の繋がりがあるかもしれないわ。			そのことだけど……彼らとアシエン、もしかしたら思った以上の繋がりがあるかもしれないわ。			海底で待つは							
まだ確証はないから、調査が必要だけれど。……そういう意味でも、この集落に少しだけ滞在してみる方に、私は一票を投じるわ。			まだ確証はないから、調査が必要だけれど。……そういう意味でも、この集落に少しだけ滞在してみる方に、私は一票を投じるわ。			海底で待つは							
何と言う？			何と言う？			海底で待つは							
わかった、オンド族に歩み寄ってみよう			わかった、オンド族に歩み寄ってみよう			海底で待つは							
こんなときこそ「いつもどおり」いこう			こんなときこそ「いつもどおり」いこう			海底で待つは							
仕方ない……自分も付き合おう			仕方ない……自分も付き合おう			海底で待つは							
では、皆で手分けをして、オンド族に力を貸そう。ヤ・シュトラには、その間に調査を進めてほしい。			では、皆で手分けをして、オンド族に力を貸そう。ヤ・シュトラには、その間に調査を進めてほしい。			海底で待つは							
汝ら、運命の者か、見極めん……。			汝ら、運命の者か、見極めん……。			海底で待つは							
お前、アルフィノの、仲間か……？			お前、アルフィノの、仲間か……？			海底で待つは							
ああ、Forename！聞いてくれ、思わぬ再会ができたんだ。			ああ、Forename！聞いてくれ、思わぬ再会ができたんだ。			海底で待つは							
彼は、パウスィー・オーン。件のユールモア潜入前に取引してくれた、張本人さ！			彼は、パウスィー・オーン。件のユールモア潜入前に取引してくれた、張本人さ！			海底で待つは							
だが、あのとき、アルフィノ、来なかった。代わりに来たミステル族も、次、来なかった……。			だが、あのとき、アルフィノ、来なかった。代わりに来たミステル族も、次、来なかった……。			海底で待つは							
それについては、本当に申し訳ないことをしたね……。お詫びも兼ねて、何か手伝えることはないかい？			それについては、本当に申し訳ないことをしたね……。お詫びも兼ねて、何か手伝えることはないかい？			海底で待つは							
……北の「陸人の墓標」にいる、「スイミングクラブ」。普段なら、俺たち、あんなの怖くない。俺たちの泳ぎ、奴らより速いから。			……北の「陸人の墓標」にいる、「スイミングクラブ」。普段なら、俺たち、あんなの怖くない。俺たちの泳ぎ、奴らより速いから。			海底で待つは							
だが、水、なくなった。「スイミングクラブ」襲ってきても、速く、逃げられない。できるなら、いくらか、倒しておいてほしい。			だが、水、なくなった。「スイミングクラブ」襲ってきても、速く、逃げられない。できるなら、いくらか、倒しておいてほしい。			海底で待つは							
なるほど……。そういうことなら、任せてくれたまえ！			なるほど……。そういうことなら、任せてくれたまえ！			海底で待つは							
君も、まだ仕事が決まっていないなら、一緒に行かないかい？「陸人の墓標」というのは、なんとも不吉な名前だがね……。			君も、まだ仕事が決まっていないなら、一緒に行かないかい？「陸人の墓標」というのは、なんとも不吉な名前だがね……。			海底で待つは							
「陸人の墓標」は、洞窟……。赤いサンゴ、地上にいるお前たちの、血管、似てる。海で死んだお前たち、あそこ、眠る。			「陸人の墓標」は、洞窟……。赤いサンゴ、地上にいるお前たちの、血管、似てる。海で死んだお前たち、あそこ、眠る。			海底で待つは							
あの建物、やっぱり……。			あの建物、やっぱり……。			海底で待つは							
スイミングクラブ、倒してきたのか。あいつの殻、固いのに……お前、強いな……。			スイミングクラブ、倒してきたのか。あいつの殻、固いのに……お前、強いな……。			海底で待つは							
さすがに君の方が早かったか。狩りではまだまだ、及ばないね……。			さすがに君の方が早かったか。狩りではまだまだ、及ばないね……。			海底で待つは							
しかし、スイミングクラブの数は、かなり減ったよ。あれならば、君たちの大きな脅威にはならないはずだ。			しかし、スイミングクラブの数は、かなり減ったよ。あれならば、君たちの大きな脅威にはならないはずだ。			海底で待つは							
感謝する、ふたりとも……。礼は、どうすべきか。			感謝する、ふたりとも……。礼は、どうすべきか。			海底で待つは							
いや、これはお詫びでもあるんだから、気にしないでくれ。水がなくなったのだって、私たちの都合なんだ……。			いや、これはお詫びでもあるんだから、気にしないでくれ。水がなくなったのだって、私たちの都合なんだ……。			海底で待つは							
ただ、もしよければ、この集落について教えてくれないかい？君たちのことを、もっと知っていきたいんだ。			ただ、もしよければ、この集落について教えてくれないかい？君たちのことを、もっと知っていきたいんだ。			海底で待つは							
……もともと、オンドの拠点、もっと南の海にあった。だが、「光の氾濫」来て、全滅した。			……もともと、オンドの拠点、もっと南の海にあった。だが、「光の氾濫」来て、全滅した。			海底で待つは							
別の場所にいて、生き残ったオンド、帰れず、さまよった。そのうち、この海の底で、不思議な建物、見つけた。			別の場所にいて、生き残ったオンド、帰れず、さまよった。そのうち、この海の底で、不思議な建物、見つけた。			海底で待つは							
永い、永い間、海中にあったらしい、建物……なのに少しも朽ちず、傷つけられないほど頑丈……。			永い、永い間、海中にあったらしい、建物……なのに少しも朽ちず、傷つけられないほど頑丈……。			海底で待つは							
テンペストの激しい海流からも、危険な生き物からも、オンドのこと、護ってくれる……。宿なしのオンドには、奇跡に思えた。			テンペストの激しい海流からも、危険な生き物からも、オンドのこと、護ってくれる……。宿なしのオンドには、奇跡に思えた。			海底で待つは							
彼らは、ここに住みつき、奇跡の意味、考えた。……この建物を作った「いにしえの者」が、我ら、導いたのだと……。			彼らは、ここに住みつき、奇跡の意味、考えた。……この建物を作った「いにしえの者」が、我ら、導いたのだと……。			海底で待つは							
建物、朽ちないのは、「いにしえの者」、いつか戻るからだ。オンドは、それまでここを護るため、呼ばれたに違いない。			建物、朽ちないのは、「いにしえの者」、いつか戻るからだ。オンドは、それまでここを護るため、呼ばれたに違いない。			海底で待つは							
だから、水、なくなったこと……お前たち、来たこと……それもまた「いにしえの者」の導きなら、俺たち、歓迎する。			だから、水、なくなったこと……お前たち、来たこと……それもまた「いにしえの者」の導きなら、俺たち、歓迎する。			海底で待つは							
なるほど、そんな経緯があったとは……。しかし、私たちが「いにしえの者」に導かれて来たか否か、どうやって判断するつもりなんだい？			なるほど、そんな経緯があったとは……。しかし、私たちが「いにしえの者」に導かれて来たか否か、どうやって判断するつもりなんだい？			海底で待つは							
「いにしえの者」、オンドを護り、繁栄もたらす……。お前たちも、そうなら、導きに違いない。			「いにしえの者」、オンドを護り、繁栄もたらす……。お前たちも、そうなら、導きに違いない。			海底で待つは							
……私たちの進み方は、間違っていなかったようだね。			……私たちの進み方は、間違っていなかったようだね。			海底で待つは							
教えてくれてありがとう、パウスィー・オーン。私は引き続き、オンド族のためにできることをするよ。君も、また困ったことがあったら教えてくれ。			教えてくれてありがとう、パウスィー・オーン。私は引き続き、オンド族のためにできることをするよ。君も、また困ったことがあったら教えてくれ。			海底で待つは							
それでは、もう少しがんばってくるよ。君も……どうか、無理のない範囲でね。			それでは、もう少しがんばってくるよ。君も……どうか、無理のない範囲でね。			海底で待つは							
アマロ桟橋のウリエンジェは、出発のときを待っている。			アマロ桟橋のウリエンジェは、出発のときを待っている。			嵐多き海へ							
ウリエンジェから、テンペストに向かうにあたって、特別な手を打つ必要があると言われた。レイクランドのサレン郷にいる「ウリエンジェ」と話そう。			ウリエンジェから、テンペストに向かうにあたって、特別な手を打つ必要があると言われた。レイクランドのサレン郷にいる「ウリエンジェ」と話そう。			嵐多き海へ							
ウリエンジェと話した。レイクランドのはじまりの湖に潜り、「ケンの島の岩盤」を調べよう。			ウリエンジェと話した。レイクランドのはじまりの湖に潜り、「ケンの島の岩盤」を調べよう。			嵐多き海へ							
ケンの島の岩盤を調べた。レイクランドのケンの島にいる「ウリエンジェ」と話そう。			ケンの島の岩盤を調べた。レイクランドのケンの島にいる「ウリエンジェ」と話そう。			嵐多き海へ							
ウリエンジェと話した。ケンの島こと、ビスマルクと交渉して、テンペストへ向かおう。			ウリエンジェと話した。ケンの島こと、ビスマルクと交渉して、テンペストへ向かおう。			嵐多き海へ							
ビスマルクに乗って、巨大な泡に包まれたテンペストへと到着した。ノルヴラント大陸斜面の「ウリエンジェ」と話そう。テンペストへは、コルシア島のヴェンモント造船所にいる船頭、アイネウィルに話しかけることでも移動できるようだ。			ビスマルクに乗って、巨大な泡に包まれたテンペストへと到着した。ノルヴラント大陸斜面の「ウリエンジェ」と話そう。テンペストへは、コルシア島のヴェンモント造船所にいる船頭、アイネウィルに話しかけることでも移動できるようだ。			嵐多き海へ							
ウリエンジェは、無事にテンペストに到達できたことに、安堵していたようだ。水晶公を連れているエメトセルクは、まだこの土地のどこかにいるはずだ。辿り着くべきその場所にむけて、最後の冒険を始めよう。			ウリエンジェは、無事にテンペストに到達できたことに、安堵していたようだ。水晶公を連れているエメトセルクは、まだこの土地のどこかにいるはずだ。辿り着くべきその場所にむけて、最後の冒険を始めよう。			嵐多き海へ							
サレン郷のウリエンジェと話す			サレン郷のウリエンジェと話す			嵐多き海へ							
ケンの島の岩盤を調べる			ケンの島の岩盤を調べる			嵐多き海へ							
ウリエンジェと話す			ウリエンジェと話す			嵐多き海へ							
ウリエンジェと再度話す			ウリエンジェと再度話す			嵐多き海へ							
私はいつか、「友を救える男になりたい」と言った。その言葉は、Forename……君にだって向けられているんだよ。			私はいつか、「友を救える男になりたい」と言った。その言葉は、Forename……君にだって向けられているんだよ。			嵐多き海へ							
……私をひとりにするのも、あなたがひとりで行くのも、同じくらい……許さないんだから……。			……私をひとりにするのも、あなたがひとりで行くのも、同じくらい……許さないんだから……。			嵐多き海へ							
お前は散々、俺や「ミンフィリア」につきあってくれたんだ。俺だって、お前がどこに向かおうが、どんな状態だろうが、つきあうに決まってるだろ。			お前は散々、俺や「ミンフィリア」につきあってくれたんだ。俺だって、お前がどこに向かおうが、どんな状態だろうが、つきあうに決まってるだろ。			嵐多き海へ							
前にもお話ししたとおり、私では、あなたの中の光を減らすようなことはできないんです……。一時的に暴走の症状を抑えるくらいが、せいぜいで……。			前にもお話ししたとおり、私では、あなたの中の光を減らすようなことはできないんです……。一時的に暴走の症状を抑えるくらいが、せいぜいで……。			嵐多き海へ							
だからどうか、無理だけはしないでください。暴走が再開したら、今度こそ罪喰いに……そんなの絶対に……絶対に、だめです……。			だからどうか、無理だけはしないでください。暴走が再開したら、今度こそ罪喰いに……そんなの絶対に……絶対に、だめです……。			嵐多き海へ							
コルシア島に集っていた人たちは、無事、それぞれの住む場所に帰したわ。各地の混乱を収めるのにも、力を貸してくれたの。			コルシア島に集っていた人たちは、無事、それぞれの住む場所に帰したわ。各地の混乱を収めるのにも、力を貸してくれたの。			嵐多き海へ							
……準備はよろしいようですね。では、「テンペスト」の底を目指す方法をお伝えします。			……準備はよろしいようですね。では、「テンペスト」の底を目指す方法をお伝えします。			嵐多き海へ							
目的地が海底である以上、単に向かうだけでは不十分……。呼吸や戦闘にも不自由がないよう、特別な手を打つ必要があるでしょう。			目的地が海底である以上、単に向かうだけでは不十分……。呼吸や戦闘にも不自由がないよう、特別な手を打つ必要があるでしょう。			嵐多き海へ							
そのためには、「ある妖精」の力を借りるのが最善かと。私もまだ、実際に対面したことはないのですが……。			そのためには、「ある妖精」の力を借りるのが最善かと。私もまだ、実際に対面したことはないのですが……。			嵐多き海へ							
百聞は一見にしかず……ですね。街を出て、南西の「サレン郷」へお越しください。			百聞は一見にしかず……ですね。街を出て、南西の「サレン郷」へお越しください。			嵐多き海へ							
よくぞ、お越しくださいました。……西の方角に、ひときわ大きな島があるのが見えますか？			よくぞ、お越しくださいました。……西の方角に、ひときわ大きな島があるのが見えますか？			嵐多き海へ							
あれこそが、海底に向かう鍵……泳ぎの得意なあなたなら、水中から近づいて、その言葉の意味を知ることもできるでしょう。			あれこそが、海底に向かう鍵……泳ぎの得意なあなたなら、水中から近づいて、その言葉の意味を知ることもできるでしょう。			嵐多き海へ							
残念ながら……本当に遺憾なことですが……私はそれに及びませんので……舟で向かって、島の上でお待ちしております。			残念ながら……本当に遺憾なことですが……私はそれに及びませんので……舟で向かって、島の上でお待ちしております。			嵐多き海へ							
君も来たんだね。ここから島の上部へと登れるよ。			君も来たんだね。ここから島の上部へと登れるよ。			嵐多き海へ							
本当に大きな湖……。地理からすると、原初世界の銀泪湖にあたるんでしょうけど、あっちは戦いの影響で、だいぶ水が減っていたものね。			本当に大きな湖……。地理からすると、原初世界の銀泪湖にあたるんでしょうけど、あっちは戦いの影響で、だいぶ水が減っていたものね。			嵐多き海へ							
地元の連中は、ここを「ケンの島」と呼んでいるらしいな。ケンは人名だと思うが、確かもうひとつ意味が……「知恵」だったか……？			地元の連中は、ここを「ケンの島」と呼んでいるらしいな。ケンは人名だと思うが、確かもうひとつ意味が……「知恵」だったか……？			嵐多き海へ							
こうして近くで見ても、普通の島に思えますが……。			こうして近くで見ても、普通の島に思えますが……。			嵐多き海へ							
この島の真なる姿は、湖面の下にこそある……。是非、水中から近づいてみてください。			この島の真なる姿は、湖面の下にこそある……。是非、水中から近づいてみてください。			嵐多き海へ							
ウリエンジェなら、もっと上よ。この島の謎……私の眼には、むしろわかりやすくてよ。			ウリエンジェなら、もっと上よ。この島の謎……私の眼には、むしろわかりやすくてよ。			嵐多き海へ							
2枚の岩が、重なり合っている。まるで目蓋のようだ……。			2枚の岩が、重なり合っている。まるで目蓋のようだ……。			嵐多き海へ							
岩肌のように見えたが、触ると柔らかい。微かに動いているような気もする……。			岩肌のように見えたが、触ると柔らかい。微かに動いているような気もする……。			嵐多き海へ							
……いかがでしたでしょうか？あなたはこの島を、いかなるものと考えますか？			……いかがでしたでしょうか？あなたはこの島を、いかなるものと考えますか？			嵐多き海へ							
何と言う？			何と言う？			嵐多き海へ							
……ただの島？			……ただの島？			嵐多き海へ							
蛮神ビスマルクみたいな……			蛮神ビスマルクみたいな……			嵐多き海へ							
オオナマズ様っぽいっぺな！			オオナマズ様っぽいっぺな！			嵐多き海へ							
恐れながら、答えは「否」です。妖精たちの話によれば、この島そのものが、古き妖精なのだとか……。			恐れながら、答えは「否」です。妖精たちの話によれば、この島そのものが、古き妖精なのだとか……。			嵐多き海へ							
さすが、ご明察でございます。妖精たちの話によれば、この島そのものが、古き妖精なのだとか……。			さすが、ご明察でございます。妖精たちの話によれば、この島そのものが、古き妖精なのだとか……。			嵐多き海へ							
おや……当たらずも遠からずでしょうか。妖精たちの話によれば、この島そのものが、古き妖精なのだそうです……。			おや……当たらずも遠からずでしょうか。妖精たちの話によれば、この島そのものが、古き妖精なのだそうです……。			嵐多き海へ							
名を『ビスマルク』。原初世界のバヌバヌ族が信仰する雲神とは、同じ起源を持つのかもしれません。			名を『ビスマルク』。原初世界のバヌバヌ族が信仰する雲神とは、同じ起源を持つのかもしれません。			嵐多き海へ							
ともかく、この妖精の力を借りられれば、紅玉海の底にある集落などと同様に、海底を気泡で包むことができるでしょう。			ともかく、この妖精の力を借りられれば、紅玉海の底にある集落などと同様に、海底を気泡で包むことができるでしょう。			嵐多き海へ							
そうすれば、戦いが待ち受けていたとしても、後れをとることはない……。では、さっそく交渉を始めるといたしましょう……。			そうすれば、戦いが待ち受けていたとしても、後れをとることはない……。では、さっそく交渉を始めるといたしましょう……。			嵐多き海へ							
「テンペスト」に移動しますか？			「テンペスト」に移動しますか？			嵐多き海へ							
これほどの規模になるとは、妖精の力はすごいね。……割れて、水が入ってこないことを、心から祈っているよ。			これほどの規模になるとは、妖精の力はすごいね。……割れて、水が入ってこないことを、心から祈っているよ。			嵐多き海へ							
はじめて「碧のタマミズ」に行ったときも感動したけど……今回は、ちょっと、規模が違うわ……！			はじめて「碧のタマミズ」に行ったときも感動したけど……今回は、ちょっと、規模が違うわ……！			嵐多き海へ							
この規模で水が捌けてくれれば、探索には困らないな。必ず、エメトセルクを探し出すとしよう。			この規模で水が捌けてくれれば、探索には困らないな。必ず、エメトセルクを探し出すとしよう。			嵐多き海へ							
すごい……上が全然見えません……！			すごい……上が全然見えません……！			嵐多き海へ							
『ビスマルク』のことは、ウリエンジェが、妖精たちの相当無茶な要求を呑んで調べ上げたみたいなの。……彼なりの想いがあったのでしょうね。			『ビスマルク』のことは、ウリエンジェが、妖精たちの相当無茶な要求を呑んで調べ上げたみたいなの。……彼なりの想いがあったのでしょうね。			嵐多き海へ							
……ふぅ。ひとまずは、うまくいったようで安堵いたしました。			……ふぅ。ひとまずは、うまくいったようで安堵いたしました。			嵐多き海へ							
ここが「テンペスト」……。エメトセルクの根城であり、同時に、水晶公が囚われている場所だとも言えるでしょう。			ここが「テンペスト」……。エメトセルクの根城であり、同時に、水晶公が囚われている場所だとも言えるでしょう。			嵐多き海へ							
アシエンのみなれば、次元の狭間へも逃げられましょうが、水晶公を連れている以上は難しい……。			アシエンのみなれば、次元の狭間へも逃げられましょうが、水晶公を連れている以上は難しい……。			嵐多き海へ							
ましてや、時空の転移に用いるクリスタルタワーは、彼の身体があってこそ制御できるのです。無理にそれを捨てさせるのは、拐った意味を失うも同義……。			ましてや、時空の転移に用いるクリスタルタワーは、彼の身体があってこそ制御できるのです。無理にそれを捨てさせるのは、拐った意味を失うも同義……。			嵐多き海へ							
ゆえにこそ、我々には必ず「辿り着くべき場所」がある。参りましょう……この、暗がりの先へ……！			ゆえにこそ、我々には必ず「辿り着くべき場所」がある。参りましょう……この、暗がりの先へ……！			嵐多き海へ							
以後、テンペストへは、コルシア島のヴェンモント造船所にいる船頭、「アイネウィル」に話しかけることで移動できます。			以後、テンペストへは、コルシア島のヴェンモント造船所にいる船頭、「アイネウィル」に話しかけることで移動できます。			嵐多き海へ							
従者の門のライナは、案内をしてくれるようだ。			従者の門のライナは、案内をしてくれるようだ。			消えることなき希望の唄							
ライナが、深慮の間に案内してくれることになった。クリスタリウムの「星見の間」に向かおう。			ライナが、深慮の間に案内してくれることになった。クリスタリウムの「星見の間」に向かおう。			消えることなき希望の唄							
深慮の間に入り、水晶公の真実を知った。ドッサル大門前の「ライナ」と話そう。			深慮の間に入り、水晶公の真実を知った。ドッサル大門前の「ライナ」と話そう。			消えることなき希望の唄							
ライナと話した。クリスタリウムのアマロ桟橋にいる「新米のアマロ使い」と話そう。			ライナと話した。クリスタリウムのアマロ桟橋にいる「新米のアマロ使い」と話そう。			消えることなき希望の唄							
新米のアマロ使いと話していたところ、仲間たちがやってきた。アマロ桟橋の「ウリエンジェ」と話そう。			新米のアマロ使いと話していたところ、仲間たちがやってきた。アマロ桟橋の「ウリエンジェ」と話そう。			消えることなき希望の唄							
ウリエンジェと話した。拐われた水晶公、そしてエメトセルクの待つテンペストに向けて、いよいよ出発することになる。やり残したことがないよう、しっかりと準備を整えてから、再び彼に声を掛けよう。			ウリエンジェと話した。拐われた水晶公、そしてエメトセルクの待つテンペストに向けて、いよいよ出発することになる。やり残したことがないよう、しっかりと準備を整えてから、再び彼に声を掛けよう。			消えることなき希望の唄							
星見の間に向かう			星見の間に向かう			消えることなき希望の唄							
ライナと話す			ライナと話す			消えることなき希望の唄							
新米のアマロ使いと話す			新米のアマロ使いと話す			消えることなき希望の唄							
ウリエンジェと話す			ウリエンジェと話す			消えることなき希望の唄							
では、私は先に「星見の間」に向かい、奥に続く鍵を開けておきます。……あなたも、続けてお越しください。			では、私は先に「星見の間」に向かい、奥に続く鍵を開けておきます。……あなたも、続けてお越しください。			消えることなき希望の唄							
ライナ団長から、お話は伺っております。「星見の間」に向かわれますか？			ライナ団長から、お話は伺っております。「星見の間」に向かわれますか？			消えることなき希望の唄							
「星見の間」へ移動しますか？			「星見の間」へ移動しますか？			消えることなき希望の唄							
……いかがでしたか？もうよろしいのでしたら、再度施錠しますが……。			……いかがでしたか？もうよろしいのでしたら、再度施錠しますが……。			消えることなき希望の唄							
何と言う？			何と言う？			消えることなき希望の唄							
ところで、道を教えてほしい			ところで、道を教えてほしい			消えることなき希望の唄							
「テンペスト」を知っている？			「テンペスト」を知っている？			消えることなき希望の唄							
えっ……？テンペスト……黒風海への行き方ですか？コルシア島そのものではなく？			えっ……？テンペスト……黒風海への行き方ですか？コルシア島そのものではなく？			消えることなき希望の唄							
そ、そうですね……。「アマロ桟橋」で依頼すれば、どこへなり、アマロを飛ばしてもらえると思いますが……。			そ、そうですね……。「アマロ桟橋」で依頼すれば、どこへなり、アマロを飛ばしてもらえると思いますが……。			消えることなき希望の唄							
えっ……？テンペスト……コルシア島の周りに広がる、黒風海の別名ですね。			えっ……？テンペスト……コルシア島の周りに広がる、黒風海の別名ですね。			消えることなき希望の唄							
「アマロ桟橋」で依頼すれば、あの海の上空へも、アマロを飛ばしてもらえると思いますが……。			「アマロ桟橋」で依頼すれば、あの海の上空へも、アマロを飛ばしてもらえると思いますが……。			消えることなき希望の唄							
その様子……すぐに出かけるつもりなんですか？ほかの皆さんも待たず、おひとりで……？			その様子……すぐに出かけるつもりなんですか？ほかの皆さんも待たず、おひとりで……？			消えることなき希望の唄							
それは、その…………いえ、どうかお気をつけて。無事のお戻りを、お待ちしております。			それは、その…………いえ、どうかお気をつけて。無事のお戻りを、お待ちしております。			消えることなき希望の唄							
「アマロ桟橋」で依頼すれば、テンペストの上空へも、アマロを飛ばしてもらえると思います。それで、あなたの望みが叶えばいいのですが……。			「アマロ桟橋」で依頼すれば、テンペストの上空へも、アマロを飛ばしてもらえると思います。それで、あなたの望みが叶えばいいのですが……。			消えることなき希望の唄							
コルシア島方面へ、アマロを飛ばしたい？ええ、それならこの窓口で承りますが……。			コルシア島方面へ、アマロを飛ばしたい？ええ、それならこの窓口で承りますが……。			消えることなき希望の唄							
……黒風海？　しかも「黒き海の底」ですって？うーん、さすがに潜らせるのは……難しいな……。			……黒風海？　しかも「黒き海の底」ですって？うーん、さすがに潜らせるのは……難しいな……。			消えることなき希望の唄							
私はいつか、「友を救える男になりたい」と言った。その言葉は、Forename……君にだって向けられているんだよ。			私はいつか、「友を救える男になりたい」と言った。その言葉は、Forename……君にだって向けられているんだよ。			消えることなき希望の唄							
……私をひとりにするのも、あなたがひとりで行くのも、同じくらい……許さないんだから……。			……私をひとりにするのも、あなたがひとりで行くのも、同じくらい……許さないんだから……。			消えることなき希望の唄							
お前は散々、俺や「ミンフィリア」につきあってくれたんだ。俺だって、お前がどこに向かおうが、どんな状態だろうが、つきあうに決まってるだろ。			お前は散々、俺や「ミンフィリア」につきあってくれたんだ。俺だって、お前がどこに向かおうが、どんな状態だろうが、つきあうに決まってるだろ。			消えることなき希望の唄							
前にもお話ししたとおり、私では、あなたの中の光を減らすようなことはできないんです……。一時的に暴走の症状を抑えるくらいが、せいぜいで……。			前にもお話ししたとおり、私では、あなたの中の光を減らすようなことはできないんです……。一時的に暴走の症状を抑えるくらいが、せいぜいで……。			消えることなき希望の唄							
だからどうか、無理だけはしないでください。暴走が再開したら、今度こそ罪喰いに……そんなの絶対に……絶対に、だめです……。			だからどうか、無理だけはしないでください。暴走が再開したら、今度こそ罪喰いに……そんなの絶対に……絶対に、だめです……。			消えることなき希望の唄							
コルシア島に集っていた人たちは、無事、それぞれの住む場所に帰したわ。各地の混乱を収めるのにも、力を貸してくれたの。			コルシア島に集っていた人たちは、無事、それぞれの住む場所に帰したわ。各地の混乱を収めるのにも、力を貸してくれたの。			消えることなき希望の唄							
俺は、各地と荷物のやりとりをしながら、心配すんなって励ましてこようかね……。周りが湿気てたんじゃ、お前たちも力が出ないだろ？			俺は、各地と荷物のやりとりをしながら、心配すんなって励ましてこようかね……。周りが湿気てたんじゃ、お前たちも力が出ないだろ？			消えることなき希望の唄							
あたしたちは、この工芸館から、街を回し続けるよ。水晶公とあんたたちの留守を預かるんだから、いつもよりビシバシとね！			あたしたちは、この工芸館から、街を回し続けるよ。水晶公とあんたたちの留守を預かるんだから、いつもよりビシバシとね！			消えることなき希望の唄							
あら……元気の出るお薬、飲んでいくかしらぁ……？助けた公に飲ませるために、持って行ってくれてもいいのよ？ちょっと……香りが凄まじいけれど……。			あら……元気の出るお薬、飲んでいくかしらぁ……？助けた公に飲ませるために、持って行ってくれてもいいのよ？ちょっと……香りが凄まじいけれど……。			消えることなき希望の唄							
気をつけて行ってきたまえ、ご同輩。いざというときは、アマロたちを引き連れて、君たちを迎えにいこう。			気をつけて行ってきたまえ、ご同輩。いざというときは、アマロたちを引き連れて、君たちを迎えにいこう。			消えることなき希望の唄							
よっ、景気づけに一杯やってくか？……って言いたいところだが、今お前を酔わせるわけにはいかないな。			よっ、景気づけに一杯やってくか？……って言いたいところだが、今お前を酔わせるわけにはいかないな。			消えることなき希望の唄							
代わりに、勝利の祝杯を用意して待ってるぜ。必ず飲みに戻ってこいよな！			代わりに、勝利の祝杯を用意して待ってるぜ。必ず飲みに戻ってこいよな！			消えることなき希望の唄							
戦いに赴く準備は、万全か……？些細なことでも、気がかりは解消しておくといい……。公のことを、よろしく頼む……。			戦いに赴く準備は、万全か……？些細なことでも、気がかりは解消しておくといい……。公のことを、よろしく頼む……。			消えることなき希望の唄							
