クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			ナッツクランのモブハント（中級）							
賢き緑の王、虹の国を統べる者としての面影はもはやなく、ワタシたち妖精は、どうすることもできずに、王を城ごと封印したの。			賢き緑の王、虹の国を統べる者としての面影はもはやなく、ワタシたち妖精は、どうすることもできずに、王を城ごと封印したの。			封印の鍵							
そして、封印の鍵となる魔法を4つの宝に刻んで、分担して持つことにした……。			そして、封印の鍵となる魔法を4つの宝に刻んで、分担して持つことにした……。			封印の鍵							
はい、これがそのうちのひとつ……ピクシー族が持つ「純白のドレス」よ。みんなと相談して、アナタたちに託すことにしたわ。			はい、これがそのうちのひとつ……ピクシー族が持つ「純白のドレス」よ。みんなと相談して、アナタたちに託すことにしたわ。			封印の鍵							
ありがたいが……いいのかい？			ありがたいが……いいのかい？			封印の鍵							
ええ、素敵な贈り物には礼を返すのがワタシたちの流儀だし、少しだけだけど、アナタたちは一緒に遊んでくれたからね。			ええ、素敵な贈り物には礼を返すのがワタシたちの流儀だし、少しだけだけど、アナタたちは一緒に遊んでくれたからね。			封印の鍵							
アナタたちが、王に何をできるのかはわからないけど、ワタシたちだって、ずっと手をこまねいて待つばかりだった。なら、機会をあげた方が「おもしろい」と思っただけよ。			アナタたちが、王に何をできるのかはわからないけど、ワタシたちだって、ずっと手をこまねいて待つばかりだった。なら、機会をあげた方が「おもしろい」と思っただけよ。			封印の鍵							
ただし、あと3つの宝もそろわないと、花の城の扉が開くことはないわ。			ただし、あと3つの宝もそろわないと、花の城の扉が開くことはないわ。			封印の鍵							
水妖フーア族が持つ「貝殻の王冠」。対価の収集家、ン・モゥ族が持つ「石の杖」。ヴォレクドルフの聡きアマロたちが持つ「水晶の靴」……。			水妖フーア族が持つ「貝殻の王冠」。対価の収集家、ン・モゥ族が持つ「石の杖」。ヴォレクドルフの聡きアマロたちが持つ「水晶の靴」……。			封印の鍵							
がんばって、集めてね？			がんばって、集めてね？			封印の鍵							
私の知る情報とも一致しています。この試練、謹んでお受けすることにいたしましょう。			私の知る情報とも一致しています。この試練、謹んでお受けすることにいたしましょう。			封印の鍵							
では、みなさん、このまま湖畔へ。次なる宝、フーア族の「貝殻の王冠」を、いただきに参りましょう。			では、みなさん、このまま湖畔へ。次なる宝、フーア族の「貝殻の王冠」を、いただきに参りましょう。			封印の鍵							
神出鬼没な彼らですが、水際にある「触れ得ざる門」から呼びかければ、応じてくれるはずです。			神出鬼没な彼らですが、水際にある「触れ得ざる門」から呼びかければ、応じてくれるはずです。			封印の鍵							
ここはずいぶんと、草人が多いね……。			ここはずいぶんと、草人が多いね……。			封印の鍵							
今度は話が通じやすい奴だといいけど……。サンクレッドたちの様子を見てると、あまり期待できないわね。			今度は話が通じやすい奴だといいけど……。サンクレッドたちの様子を見てると、あまり期待できないわね。			封印の鍵							
かつてイル・メグに滞在していたときは、極力、湖に近寄るのを避けていた。……それで察してくれ。			かつてイル・メグに滞在していたときは、極力、湖に近寄るのを避けていた。……それで察してくれ。			封印の鍵							
大丈夫でしょうか……。フーア族とは関わるなって、前に言われたのですが……。			大丈夫でしょうか……。フーア族とは関わるなって、前に言われたのですが……。			封印の鍵							
こちらが「触れ得ざる門」です。			こちらが「触れ得ざる門」です。			封印の鍵							
聞こえますか、フーア族の皆さん。我々は、あなた方に頼みがあって来ました。			聞こえますか、フーア族の皆さん。我々は、あなた方に頼みがあって来ました。			封印の鍵							
……返事がないな。			……返事がないな。			封印の鍵							
フーア族って、水妖なんて異名をとるからには、水にまつわる妖精なんでしょう？			フーア族って、水妖なんて異名をとるからには、水にまつわる妖精なんでしょう？			封印の鍵							
この門、いかにもって感じで湖に繋がってるけど……反応がないようなら、水の中を探してみるべきかしら。			この門、いかにもって感じで湖に繋がってるけど……反応がないようなら、水の中を探してみるべきかしら。			封印の鍵							
そ、そうだね……。私も、あまり長時間でなければ、泳いで捜索をすることが可能……だと思う。			そ、そうだね……。私も、あまり長時間でなければ、泳いで捜索をすることが可能……だと思う。			封印の鍵							
サンクレッドはもちろん大丈夫だとして……ミンフィリアはどう？　泳げる？			サンクレッドはもちろん大丈夫だとして……ミンフィリアはどう？　泳げる？			封印の鍵							
はい、得意と言えるほどではないですが……。とりあえず溺れないくらいの泳ぎは、サンクレッドに習いました。			はい、得意と言えるほどではないですが……。とりあえず溺れないくらいの泳ぎは、サンクレッドに習いました。			封印の鍵							
バッチリね。			バッチリね。			封印の鍵							
そういえば……。ウリエンジェ、あなたは泳げたっけ？			そういえば……。ウリエンジェ、あなたは泳げたっけ？			封印の鍵							
……泳ぐくらいならば、水上を歩く術を編み出す方が効率的では？			……泳ぐくらいならば、水上を歩く術を編み出す方が効率的では？			封印の鍵							
おお！　おお！　ウリエンジェ！まさか君が同士だったとは！			おお！　おお！　ウリエンジェ！まさか君が同士だったとは！			封印の鍵							
しかし安心してくれたまえ。私が受けたアレンヴァルド式の特訓を、君に教えよう。大丈夫、やればできる！　できるとも！			しかし安心してくれたまえ。私が受けたアレンヴァルド式の特訓を、君に教えよう。大丈夫、やればできる！　できるとも！			封印の鍵							
(-湖底から響く声-)おやおや……ずいぶんと賑やかだねェ？ヒトの方からボクらに用事があるなんて、珍しいなァ。			(-湖底から響く声-)おやおや……ずいぶんと賑やかだねェ？ヒトの方からボクらに用事があるなんて、珍しいなァ。			封印の鍵							
姿は見えませんが……あなたは、フーア族ですね？私たちは、大罪喰いとの対決を望まんとする者……。			姿は見えませんが……あなたは、フーア族ですね？私たちは、大罪喰いとの対決を望まんとする者……。			封印の鍵							
リェー・ギア城の扉を開くため、あなた方の持つ「貝殻の王冠」を貸していただきたいのです。			リェー・ギア城の扉を開くため、あなた方の持つ「貝殻の王冠」を貸していただきたいのです。			封印の鍵							
(-湖底から響く声-)なァんだ、そんなこと。いいよいいよ、持ってお行き。			(-湖底から響く声-)なァんだ、そんなこと。いいよいいよ、持ってお行き。			封印の鍵							
ずいぶんと、軽い扱いじゃないか。……何か企んではいないだろうな？			ずいぶんと、軽い扱いじゃないか。……何か企んではいないだろうな？			封印の鍵							
(-湖底から響く声-)ケケッ……！企むも何も、実際それほど大事じゃないからねェ。			(-湖底から響く声-)ケケッ……！企むも何も、実際それほど大事じゃないからねェ。			封印の鍵							
(-湖底から響く声-)妖精王がどうなろうが、世界がどうなろうが、「はじめから終わってる」ボクらにはどうでもいいことさ！			(-湖底から響く声-)妖精王がどうなろうが、世界がどうなろうが、「はじめから終わってる」ボクらにはどうでもいいことさ！			封印の鍵							
(-湖底から響く声-)……ああでも、せっかくヒトが訪ねてきたんだ。これを楽しまない手はないね！			(-湖底から響く声-)……ああでも、せっかくヒトが訪ねてきたんだ。これを楽しまない手はないね！			封印の鍵							
(-湖底から響く声-)その触れ得ざる門に「触れ」て、こっちへおいで。ここは何処其処、誰が呼んだか「ドォーヌ・メグ」……禁断の園ときたもんだ。			(-湖底から響く声-)その触れ得ざる門に「触れ」て、こっちへおいで。ここは何処其処、誰が呼んだか「ドォーヌ・メグ」……禁断の園ときたもんだ。			封印の鍵							
(-湖底から響く声-)ボクらはまるで形なき水、ボクらの園は水面の幻。それでもキミが、心躍る大冒険を見せてくれたら、確かに宝を授けよう！			(-湖底から響く声-)ボクらはまるで形なき水、ボクらの園は水面の幻。それでもキミが、心躍る大冒険を見せてくれたら、確かに宝を授けよう！			封印の鍵							
どうする？			どうする？			封印の鍵							
話す			話す			封印の鍵							
パーティを編成して突入			パーティを編成して突入			封印の鍵							
キャンセル			キャンセル			封印の鍵							
大冒険を見せてくれたら宝を授ける、か……。その口ぶりからすると、平穏な場所ではなさそうだ。しっかり準備をしていこう、Forename。			大冒険を見せてくれたら宝を授ける、か……。その口ぶりからすると、平穏な場所ではなさそうだ。しっかり準備をしていこう、Forename。			封印の鍵							
終わりのない遊びにつきあわされるより、冒険しろって言われる方が、よっぽどやりやすいわ。フーア族の度肝を抜いてやりましょ。			終わりのない遊びにつきあわされるより、冒険しろって言われる方が、よっぽどやりやすいわ。フーア族の度肝を抜いてやりましょ。			封印の鍵							
乗り込むっていうなら、先陣は任せろ。今の俺の戦い方は、盾役に向いているからな。			乗り込むっていうなら、先陣は任せろ。今の俺の戦い方は、盾役に向いているからな。			封印の鍵							
ガンブレードの扱いは、原初世界にいたころ、帝国属州に潜り込んだときに、ある人物から習ったんだ。魔弾を補填できない俺には不向きだと、腐らせてたがな……。			ガンブレードの扱いは、原初世界にいたころ、帝国属州に潜り込んだときに、ある人物から習ったんだ。魔弾を補填できない俺には不向きだと、腐らせてたがな……。			封印の鍵							
こっちに来て、ミンフィリアを連れ出そうと決めたときに、前よりも敵を引きつけられる戦い方が望ましいと考えた。それで、工芸館の凄腕職人に特注したというわけさ。			こっちに来て、ミンフィリアを連れ出そうと決めたときに、前よりも敵を引きつけられる戦い方が望ましいと考えた。それで、工芸館の凄腕職人に特注したというわけさ。			封印の鍵							
わ、私も、みなさんについていきます……！サンクレッドから習っているので、少しは戦えるはずです……！			わ、私も、みなさんについていきます……！サンクレッドから習っているので、少しは戦えるはずです……！			封印の鍵							
やはり、何事もなくとはいきませんでしたか……。フーア族は、ともすればピクシー族以上に遊び好きなのです。			やはり、何事もなくとはいきませんでしたか……。フーア族は、ともすればピクシー族以上に遊び好きなのです。			封印の鍵							
しかも、遊びのたちが悪い……。水に引き込んで命を奪うようなことも、平気で行います。皆さんに万一のことがないよう、私も尽力いたしましょう。			しかも、遊びのたちが悪い……。水に引き込んで命を奪うようなことも、平気で行います。皆さんに万一のことがないよう、私も尽力いたしましょう。			封印の鍵							
ハァ……ハァ…………。			ハァ……ハァ…………。			封印の鍵							
ハァ……ハァ……。私、もう一回、潜って探してくる……！			ハァ……ハァ……。私、もう一回、潜って探してくる……！			封印の鍵							
いけません、アリゼー様。無理をされては、あなたの身まで危ない。どうか、しばし休息を……。			いけません、アリゼー様。無理をされては、あなたの身まで危ない。どうか、しばし休息を……。			封印の鍵							
どうだ、そっちは何か手掛かりが……			どうだ、そっちは何か手掛かりが……			封印の鍵							
って、Forename！お前、戻ってこられたのか！？			って、Forename！お前、戻ってこられたのか！？			封印の鍵							
そうか……気がつくと湖底に……。だが、大事はないようで、心から安心したよ……。			そうか……気がつくと湖底に……。だが、大事はないようで、心から安心したよ……。			封印の鍵							
本当に、もう……！水に呑まれたと思ったら、いつのまにか地上に戻されてるわ、あなただけ行方不明だわで、大混乱だったんだからね！			本当に、もう……！水に呑まれたと思ったら、いつのまにか地上に戻されてるわ、あなただけ行方不明だわで、大混乱だったんだからね！			封印の鍵							
はい、「貝殻の王冠」！それだけは、ご丁寧に握らされたままになってたわ。			はい、「貝殻の王冠」！それだけは、ご丁寧に握らされたままになってたわ。			封印の鍵							
お前も結局は無事に戻ってきたし、ひとまずは目的達成、だな。			お前も結局は無事に戻ってきたし、ひとまずは目的達成、だな。			封印の鍵							
ああ、まだそこにいてくれて、よかったわ。			ああ、まだそこにいてくれて、よかったわ。			封印の鍵							
スール＝ウィンじゃないか！どうかしたのかい？			スール＝ウィンじゃないか！どうかしたのかい？			封印の鍵							
私たちのイル・メグに、大勢のヒトたちが近づいてきてるみたいなの。武器を持って、怖い顔をしたヒトたちよ。			私たちのイル・メグに、大勢のヒトたちが近づいてきてるみたいなの。武器を持って、怖い顔をしたヒトたちよ。			封印の鍵							
あれは、あなたたちの仲間かしら？			あれは、あなたたちの仲間かしら？			封印の鍵							
増援だったら嬉しいところだが……クリスタリウムは今、街から衛兵団を動かせないはずだ。まず間違いなく、俺たちを追ってきたユールモア軍だろうな。			増援だったら嬉しいところだが……クリスタリウムは今、街から衛兵団を動かせないはずだ。まず間違いなく、俺たちを追ってきたユールモア軍だろうな。			封印の鍵							
あら、仲間ではないのね？だったら、遊び倒してしまってもいいかしら？			あら、仲間ではないのね？だったら、遊び倒してしまってもいいかしら？			封印の鍵							
念のため、私が同行して確認しよう。相手がユールモア軍ならば、君たちの力を大いに貸してほしい。			念のため、私が同行して確認しよう。相手がユールモア軍ならば、君たちの力を大いに貸してほしい。			封印の鍵							
素敵、とても楽しそう！アルフィノが来てくれるということは、アリゼーもよね？違って同じな、カワイイ双子！			素敵、とても楽しそう！アルフィノが来てくれるということは、アリゼーもよね？違って同じな、カワイイ双子！			封印の鍵							
う……わ、わかったわよ。ただし、遊び相手は私たちじゃなくて、ユールモア軍だから！そこのところ、忘れないでよね！			う……わ、わかったわよ。ただし、遊び相手は私たちじゃなくて、ユールモア軍だから！そこのところ、忘れないでよね！			封印の鍵							
それでは、私たちはピクシー族とともに行ってくる。宝集めを任せてしまって申し訳ないが……。			それでは、私たちはピクシー族とともに行ってくる。宝集めを任せてしまって申し訳ないが……。			封印の鍵							
何と言う？			何と言う？			封印の鍵							
心配ない、こっちは任せろ！			心配ない、こっちは任せろ！			封印の鍵							
大罪喰いを倒すのは自分の役目だ			大罪喰いを倒すのは自分の役目だ			封印の鍵							
ああ、任せた！あとでまた、お互いに無事で会おう！			ああ、任せた！あとでまた、お互いに無事で会おう！			封印の鍵							
……そうだとしても、できるかぎり共に歩みたいと思うよ。しばし場所は離れるが、必ず目的を成し遂げて、一緒にクリスタリウムへ帰ろう。			……そうだとしても、できるかぎり共に歩みたいと思うよ。しばし場所は離れるが、必ず目的を成し遂げて、一緒にクリスタリウムへ帰ろう。			封印の鍵							
ウリエンジェは、宝集めを再開するようだ。			ウリエンジェは、宝集めを再開するようだ。			3つ目の宝を求めて							
ウリエンジェと話す			ウリエンジェと話す			3つ目の宝を求めて							
ウリエンジェと再度話す			ウリエンジェと再度話す			3つ目の宝を求めて							
ウリエンジェと話す			ウリエンジェと話す			3つ目の宝を求めて							
ウリエンジェのもとへ戻る			ウリエンジェのもとへ戻る			3つ目の宝を求めて							
妖精除けの状態で峠道の先に向かう			妖精除けの状態で峠道の先に向かう			3つ目の宝を求めて							
サンクレッドと話す			サンクレッドと話す			3つ目の宝を求めて							
ユールモア軍であれば、ランジート将軍が率いていることは間違いない。あの老兵は強いぞ……本当にな。			ユールモア軍であれば、ランジート将軍が率いていることは間違いない。あの老兵は強いぞ……本当にな。			3つ目の宝を求めて							
……ごめんなさい。あのとき私が捕まらなければ……。			……ごめんなさい。あのとき私が捕まらなければ……。			3つ目の宝を求めて							
かくなる上は、強行軍になりますが、このまま次の目的地へと移動いたしましょう……。			かくなる上は、強行軍になりますが、このまま次の目的地へと移動いたしましょう……。			3つ目の宝を求めて							
宝を持つ、残り2つの種族のうち、より近くに拠点があるのは「ン・モゥ族」です。			宝を持つ、残り2つの種族のうち、より近くに拠点があるのは「ン・モゥ族」です。			3つ目の宝を求めて							
彼らは、この地が妖精郷となる前からの住民で、最も人に親しんでいる妖精でもあります。私に情報を提供してくれているのも、概ね彼らなのですよ。			彼らは、この地が妖精郷となる前からの住民で、最も人に親しんでいる妖精でもあります。私に情報を提供してくれているのも、概ね彼らなのですよ。			3つ目の宝を求めて							
……それでは、一旦、私の借りていた「篤学者の荘園」あたりへ向かいましょう。			……それでは、一旦、私の借りていた「篤学者の荘園」あたりへ向かいましょう。			3つ目の宝を求めて							
さて……この先の峠を越えた先に、ン・モゥ族の暮らす、「プラ・エンニ茸窟(じょうくつ)」があります。			さて……この先の峠を越えた先に、ン・モゥ族の暮らす、「プラ・エンニ茸窟(じょうくつ)」があります。			3つ目の宝を求めて							
サンクレッドとミンフィリアには、様子見も兼ねて、先に向かってもらいました。私たちも、進むといたしましょう。			サンクレッドとミンフィリアには、様子見も兼ねて、先に向かってもらいました。私たちも、進むといたしましょう。			3つ目の宝を求めて							
……湖畔にしては険しい道でしょう？フッブート王国の時代、ここは本当に山道だったそうです。			……湖畔にしては険しい道でしょう？フッブート王国の時代、ここは本当に山道だったそうです。			3つ目の宝を求めて							
あの巨大な湖は、人の去ったこの地にフーア族が来た際に、水を呼び込んで作られたもの……。もともとは、王都のある谷間でした。			あの巨大な湖は、人の去ったこの地にフーア族が来た際に、水を呼び込んで作られたもの……。もともとは、王都のある谷間でした。			3つ目の宝を求めて							
私たちが今いる場所は、いわば郊外……山を登った先にある、放牧地だったのです。			私たちが今いる場所は、いわば郊外……山を登った先にある、放牧地だったのです。			3つ目の宝を求めて							
環境を変えてしまった妖精たちを、責めることはできません。人はそれ以前に、この土地を捨てたのですから……。			環境を変えてしまった妖精たちを、責めることはできません。人はそれ以前に、この土地を捨てたのですから……。			3つ目の宝を求めて							
どちらかといえば私は、人にこれだけのものを捨てさせた罪喰いが……「光の氾濫」という世界の滅亡が、恐ろしく……哀しい。			どちらかといえば私は、人にこれだけのものを捨てさせた罪喰いが……「光の氾濫」という世界の滅亡が、恐ろしく……哀しい。			3つ目の宝を求めて							
それでも……Forenameさん。私は、こちらに招かれたことに感謝しています。			それでも……Forenameさん。私は、こちらに招かれたことに感謝しています。			3つ目の宝を求めて							
私はかつて、原初世界に渡ってきたアルバートたち光の戦士と、光の巫女たるミンフィリアを引き合わせました……。			私はかつて、原初世界に渡ってきたアルバートたち光の戦士と、光の巫女たるミンフィリアを引き合わせました……。			3つ目の宝を求めて							
なればこそ……もし第八霊災の阻止という大義名分がなかったとしても、私は、この世界の未来のために尽力すべきでしょう。			なればこそ……もし第八霊災の阻止という大義名分がなかったとしても、私は、この世界の未来のために尽力すべきでしょう。			3つ目の宝を求めて							
……いえ、義務であるかのように言うのはよくありませんね。これは、ある方からの、受け売りのようなものなのですが……			……いえ、義務であるかのように言うのはよくありませんね。これは、ある方からの、受け売りのようなものなのですが……			3つ目の宝を求めて							
大切な人の歩んだ道を、悲しい結末になどさせるものか……そのために自分は、戦い続ける。……私も、そういった心持ちなのです。			大切な人の歩んだ道を、悲しい結末になどさせるものか……そのために自分は、戦い続ける。……私も、そういった心持ちなのです。			3つ目の宝を求めて							
第一世界での戦いも、ただならぬものになりそうですが、必ずや最後まで、ともに戦い抜きましょう……。			第一世界での戦いも、ただならぬものになりそうですが、必ずや最後まで、ともに戦い抜きましょう……。			3つ目の宝を求めて							
(-騒がしいピクシー族-)あーっ、いたいた！やっぱりヒトがいたよぅ！			(-騒がしいピクシー族-)あーっ、いたいた！やっぱりヒトがいたよぅ！			3つ目の宝を求めて							
あなたは……？私たちに、何かご用でしょうか？			あなたは……？私たちに、何かご用でしょうか？			3つ目の宝を求めて							
(-騒がしいピクシー族-)用事なんてないよぅ！ただ、ヒトの匂いがしたから、遊びにきただけ！ねえねえ、遊ぼう、遊ぼうよぅ！			(-騒がしいピクシー族-)用事なんてないよぅ！ただ、ヒトの匂いがしたから、遊びにきただけ！ねえねえ、遊ぼう、遊ぼうよぅ！			3つ目の宝を求めて							
……なるほど、リダ・ラーンのピクシー族ではないようですね。			……なるほど、リダ・ラーンのピクシー族ではないようですね。			3つ目の宝を求めて							
申し訳ありませんが、私たちは先を急いでいます。遊びならば、また後日……。			申し訳ありませんが、私たちは先を急いでいます。遊びならば、また後日……。			3つ目の宝を求めて							
(-騒がしいピクシー族-)あら、急いでる？　先を急いでいるって言った？ウフフフ……それなら、こうしちゃえ！			(-騒がしいピクシー族-)あら、急いでる？　先を急いでいるって言った？ウフフフ……それなら、こうしちゃえ！			3つ目の宝を求めて							
ふむ……転移魔法をかけられたようですね。あまり遠くに飛ばされなかったのが、不幸中の幸いですが……。			ふむ……転移魔法をかけられたようですね。あまり遠くに飛ばされなかったのが、不幸中の幸いですが……。			3つ目の宝を求めて							
あの様子では、こちらを見つけ次第、また魔法をかけてくるかもしれません。かといって、迂回していくのも時間がかかる……。			あの様子では、こちらを見つけ次第、また魔法をかけてくるかもしれません。かといって、迂回していくのも時間がかかる……。			3つ目の宝を求めて							
かくなる上は、イル・メグで暮らすにあたって学んだ、「妖精除けのまじない」を使うといたしましょう。			かくなる上は、イル・メグで暮らすにあたって学んだ、「妖精除けのまじない」を使うといたしましょう。			3つ目の宝を求めて							
まじないが効いている間は、妖精からこちらの姿が見えなくなります。その隙に、この峠道を通り抜けてください。			まじないが効いている間は、妖精からこちらの姿が見えなくなります。その隙に、この峠道を通り抜けてください。			3つ目の宝を求めて							
(-騒がしいピクシー族-)あっ、また来たよぅ！おもしろいから、もう1回、飛ばしちゃえ～！			(-騒がしいピクシー族-)あっ、また来たよぅ！おもしろいから、もう1回、飛ばしちゃえ～！			3つ目の宝を求めて							
それでは、「妖精除けのまじない」をおかけします。効果がある間に、この峠道を通り抜け、先に行っているサンクレッドたちと合流しましょう。			それでは、「妖精除けのまじない」をおかけします。効果がある間に、この峠道を通り抜け、先に行っているサンクレッドたちと合流しましょう。			3つ目の宝を求めて							
まじないは、対象が小さく、静かなほど効果がある……くれぐれも騎乗はしないよう、お願いいたしますね。では……。			まじないは、対象が小さく、静かなほど効果がある……くれぐれも騎乗はしないよう、お願いいたしますね。では……。			3つ目の宝を求めて							
もう一度、「妖精除けのまじない」をいたしましょう。効果はあまり長くないので、急いで峠道を渡り切ってください。			もう一度、「妖精除けのまじない」をいたしましょう。効果はあまり長くないので、急いで峠道を渡り切ってください。			3つ目の宝を求めて							
(-うすら笑いのピクシー族-)ヘヘヘ……ヒト、みぃつけた！さあ、飛んでけ～！			(-うすら笑いのピクシー族-)ヘヘヘ……ヒト、みぃつけた！さあ、飛んでけ～！			3つ目の宝を求めて							
(-真面目そうなピクシー族-)あっ、いたいた。心配しないで、ボクはキミにイタズラする気はないんだ。			(-真面目そうなピクシー族-)あっ、いたいた。心配しないで、ボクはキミにイタズラする気はないんだ。			3つ目の宝を求めて							
(-真面目そうなピクシー族-)……な～んて！アハハハハ、残念、またがんばってね～！			(-真面目そうなピクシー族-)……な～んて！アハハハハ、残念、またがんばってね～！			3つ目の宝を求めて							
ピクシー族は諦めて帰っていった……			ピクシー族は諦めて帰っていった……			3つ目の宝を求めて							
あ、えっと、こちらは異常なし、です。			あ、えっと、こちらは異常なし、です。			3つ目の宝を求めて							
すぐ後ろにいるものだと思ってたが、ずいぶん遅かったじゃないか。……何かあったのか？			すぐ後ろにいるものだと思ってたが、ずいぶん遅かったじゃないか。……何かあったのか？			3つ目の宝を求めて							
なるほど、そいつは災難だったな……。			なるほど、そいつは災難だったな……。			3つ目の宝を求めて							
だが、ついに目的地に到着だ。この割れ目の先が、ン・モゥ族の住む「プラ・エンニ茸窟」。ウリエンジェが来るのを待って、入ってみよう。			だが、ついに目的地に到着だ。この割れ目の先が、ン・モゥ族の住む「プラ・エンニ茸窟」。ウリエンジェが来るのを待って、入ってみよう。			3つ目の宝を求めて							
た、大変だ……！ヒトが……ヒトがいっぱい来たぁ～！			た、大変だ……！ヒトが……ヒトがいっぱい来たぁ～！			3つ目の宝を求めて							
……おい、怯えられてるぞ。ン・モゥは人と親しい妖精だと、お前、言ってなかったか？			……おい、怯えられてるぞ。ン・モゥは人と親しい妖精だと、お前、言ってなかったか？			3つ目の宝を求めて							
ええ、相違はありません。あれは怯えているのではなく…………			ええ、相違はありません。あれは怯えているのではなく…………			3つ目の宝を求めて							
こ、困りますったら困ります！ヒトが急に……大勢でいらっしゃるなんて……			こ、困りますったら困ります！ヒトが急に……大勢でいらっしゃるなんて……			3つ目の宝を求めて							
こんな……ああ……嬉しくて困ってしまいますぅ～！			こんな……ああ……嬉しくて困ってしまいますぅ～！			3つ目の宝を求めて							
お久しぶりですね、ウィド＝インク長老。ほかのン・モゥ族の皆さんも……。			お久しぶりですね、ウィド＝インク長老。ほかのン・モゥ族の皆さんも……。			3つ目の宝を求めて							
今日は、あなた方の持つ「石の杖」をお借りするため、こちらに伺った次第なのですが……。			今日は、あなた方の持つ「石の杖」をお借りするため、こちらに伺った次第なのですが……。			3つ目の宝を求めて							
いっ、「石の杖」ですと！ということは、城の封印を解くおつもりで！？			いっ、「石の杖」ですと！ということは、城の封印を解くおつもりで！？			3つ目の宝を求めて							
こ、こ、困りますったら困ります！そんなことをして、ティターニア様が解き放たれでもしたら、今度はどれだけの被害が出ることか！			こ、こ、困りますったら困ります！そんなことをして、ティターニア様が解き放たれでもしたら、今度はどれだけの被害が出ることか！			3つ目の宝を求めて							
私たちン・モゥは、古くからこの土地に住まう妖精。ほかの種族とは違って、ここがどれほど荒れ果てようが、出ていくことなど考えられませぬ……。			私たちン・モゥは、古くからこの土地に住まう妖精。ほかの種族とは違って、ここがどれほど荒れ果てようが、出ていくことなど考えられませぬ……。			3つ目の宝を求めて							
ゆえに、罪喰いに堕ちたティターニア様を封じるときも、私たちン・モゥが最も多くの犠牲をはらって、がんばったのですよ！？			ゆえに、罪喰いに堕ちたティターニア様を封じるときも、私たちン・モゥが最も多くの犠牲をはらって、がんばったのですよ！？			3つ目の宝を求めて							
何と言う？			何と言う？			3つ目の宝を求めて							
ティターニアは必ず倒す			ティターニアは必ず倒す			3つ目の宝を求めて							
被害は出させない			被害は出させない			3つ目の宝を求めて							
四の五の言わずによこせ			四の五の言わずによこせ			3つ目の宝を求めて							
そ、そんなことしたら、あなたが新しい罪喰いになるだけではないですか！ちっとも安心できませぬ！			そ、そんなことしたら、あなたが新しい罪喰いになるだけではないですか！ちっとも安心できませぬ！			3つ目の宝を求めて							
そ、そうおっしゃられましても……。簡単に頷けるわけがありませぬ！			そ、そうおっしゃられましても……。簡単に頷けるわけがありませぬ！			3つ目の宝を求めて							
ひ、ひええぇ！こここ、困りますぅ……！			ひ、ひええぇ！こここ、困りますぅ……！			3つ目の宝を求めて							
長老……この方は、大罪喰いを倒すに足る強さと、放たれた光を相殺する、特別な力をお持ちなのです。			長老……この方は、大罪喰いを倒すに足る強さと、放たれた光を相殺する、特別な力をお持ちなのです。			3つ目の宝を求めて							
あなた方と、土地への思い入れこそ違うかもしれませんが、罪喰いを退け、平和を取り戻したいと願っているのは皆同じ。			あなた方と、土地への思い入れこそ違うかもしれませんが、罪喰いを退け、平和を取り戻したいと願っているのは皆同じ。			3つ目の宝を求めて							
この美しく、歴史ある地を、正しき形に戻さんがため、力を貸してはいただけないでしょうか……？			この美しく、歴史ある地を、正しき形に戻さんがため、力を貸してはいただけないでしょうか……？			3つ目の宝を求めて							
むぅ……これまでの取引から、ウリエンジェ殿が善きヒトであることは、承知しております。そちらのお方には、確かにただならぬ力があるのでしょう。			むぅ……これまでの取引から、ウリエンジェ殿が善きヒトであることは、承知しております。そちらのお方には、確かにただならぬ力があるのでしょう。			3つ目の宝を求めて							
それに、あなたのおっしゃるとおり、私たちの最愛の地から罪喰いと光を掃えるのならば、願ってもないことです。			それに、あなたのおっしゃるとおり、私たちの最愛の地から罪喰いと光を掃えるのならば、願ってもないことです。			3つ目の宝を求めて							
ただ……やはり、即決はできませぬ。ひと月ほど、皆と話し合う時間をいただきとうございます。			ただ……やはり、即決はできませぬ。ひと月ほど、皆と話し合う時間をいただきとうございます。			3つ目の宝を求めて							
……どうする。ユールモア軍も迫っている状況で、とてもじゃないが、ひと月なんて待てないぞ。			……どうする。ユールモア軍も迫っている状況で、とてもじゃないが、ひと月なんて待てないぞ。			3つ目の宝を求めて							
長老……皆さん……私たちは、大変「困っている」のです。			長老……皆さん……私たちは、大変「困っている」のです。			3つ目の宝を求めて							
無礼は承知で、どうにかもう少しお早い判断を、「お願い」できないでしょうか……？			無礼は承知で、どうにかもう少しお早い判断を、「お願い」できないでしょうか……？			3つ目の宝を求めて							
こ、困ってる……？　おおおお、お願い……！？ふぁ……ふぁぁぁぁ……！			こ、困ってる……？　おおおお、お願い……！？ふぁ……ふぁぁぁぁ……！			3つ目の宝を求めて							
い、いけませぬ、いけませぬ！そそ、そんな、私たちに……			い、いけませぬ、いけませぬ！そそ、そんな、私たちに……			3つ目の宝を求めて							
ヒトの手伝いを生きがいとする私たちに、そのような魅惑の言葉は、困りますぅ～～～！！			ヒトの手伝いを生きがいとする私たちに、そのような魅惑の言葉は、困りますぅ～～～！！			3つ目の宝を求めて							
