バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
ああ、言われずとも。我が子らに懸けて、今後いかなる波乱が起きようとも、かの地を護り抜いてみせよう。			ああ、言われずとも。我が子らに懸けて、今後いかなる波乱が起きようとも、かの地を護り抜いてみせよう。			志ある者たち							
ウェルリトの暫定政府も、帝都から避難民が生じた場合には、一時的な受け入れ先として名乗り出るつもりのようだ。体制を整え、貴殿らからの報を待つ。			ウェルリトの暫定政府も、帝都から避難民が生じた場合には、一時的な受け入れ先として名乗り出るつもりのようだ。体制を整え、貴殿らからの報を待つ。			志ある者たち							
そういったわけで、今回は私が、帝国内の案内役として同行させていただきます。			そういったわけで、今回は私が、帝国内の案内役として同行させていただきます。			志ある者たち							
亡命した身とはいえ、祖国の友のため……そして派遣団として立ち上がってくださった皆様のため、最善を尽くす所存です。			亡命した身とはいえ、祖国の友のため……そして派遣団として立ち上がってくださった皆様のため、最善を尽くす所存です。			志ある者たち							
ガイウスとの話が済んでいるのなら、「暁」を、派遣団のもとへ案内してもらえるな？			ガイウスとの話が済んでいるのなら、「暁」を、派遣団のもとへ案内してもらえるな？			志ある者たち							
そちらでは、君たちもよく知る人物が待っているだろう。……皆に、ハルオーネの加護があらんことを。			そちらでは、君たちもよく知る人物が待っているだろう。……皆に、ハルオーネの加護があらんことを。			志ある者たち							
アラミガン・クォーターのマキシマは、案内をしてくれるようだ。			アラミガン・クォーターのマキシマは、案内をしてくれるようだ。			イルサバード派遣団							
アラミゴ王宮に向かう			アラミゴ王宮に向かう			イルサバード派遣団							
ヤ・シュトラと話す			ヤ・シュトラと話す			イルサバード派遣団							
ア・ルン・センナに護魂の霊鱗を渡す			ア・ルン・センナに護魂の霊鱗を渡す			イルサバード派遣団							
シカルドに護魂の霊鱗を渡す			シカルドに護魂の霊鱗を渡す			イルサバード派遣団							
リセに護魂の霊鱗を渡す			リセに護魂の霊鱗を渡す			イルサバード派遣団							
ルキアに護魂の霊鱗を渡す			ルキアに護魂の霊鱗を渡す			イルサバード派遣団							
シリナに護魂の霊鱗を渡す			シリナに護魂の霊鱗を渡す			イルサバード派遣団							
マキシマに護魂の霊鱗を渡す			マキシマに護魂の霊鱗を渡す			イルサバード派遣団							
アルフィノと話す			アルフィノと話す			イルサバード派遣団							
彼らが背後で戦い続けてくれていること、忘れずにいよう。……さあ、派遣団のもとへ！			彼らが背後で戦い続けてくれていること、忘れずにいよう。……さあ、派遣団のもとへ！			イルサバード派遣団							
正しいと思うことをするのにも、しがらみはある……か。うん、今なら少し、わかるきがするわ。			正しいと思うことをするのにも、しがらみはある……か。うん、今なら少し、わかるきがするわ。			イルサバード派遣団							
彼が、あのガイウス……。こうして面と向かうと、眼差しひとつでも伝わってくる。厳しい世界に身を置いていたんだろうな。			彼が、あのガイウス……。こうして面と向かうと、眼差しひとつでも伝わってくる。厳しい世界に身を置いていたんだろうな。			イルサバード派遣団							
俺もガイウスと同じで、ヴァリス帝を殺したって疑いを掛けられているからな。帝国民と接するときには、せいぜい気をつけておくさ。			俺もガイウスと同じで、ヴァリス帝を殺したって疑いを掛けられているからな。帝国民と接するときには、せいぜい気をつけておくさ。			イルサバード派遣団							
そういえば、君にひとつ報告があった。塔から現れた異形の蛮神と戦っている最中、飛来した竜が助太刀してくれたとの報告が上がっていてね。			そういえば、君にひとつ報告があった。塔から現れた異形の蛮神と戦っている最中、飛来した竜が助太刀してくれたとの報告が上がっていてね。			イルサバード派遣団							
特徴を聞くに、ティアマット殿だろう。彼女もどこかの空の下で、ともに戦ってくれているのだ。			特徴を聞くに、ティアマット殿だろう。彼女もどこかの空の下で、ともに戦ってくれているのだ。			イルサバード派遣団							
さて、ついに派遣団が動き出すとなれば、吾輩も戦場へと戻らねばな。			さて、ついに派遣団が動き出すとなれば、吾輩も戦場へと戻らねばな。			イルサバード派遣団							
いくらかの手練れをそちらに送りはしたが……なに、その分もティソーナで斬ればいいだけのこと。「アラミゴの猛牛」たる所以、異形の蛮神どもに見せてやろう。			いくらかの手練れをそちらに送りはしたが……なに、その分もティソーナで斬ればいいだけのこと。「アラミゴの猛牛」たる所以、異形の蛮神どもに見せてやろう。			イルサバード派遣団							
報告のとおりに帝都が崩壊しているとするなら、派遣団の最大の敵は、寒さになるだろう。ガレマルドは、凍れる大地にそびえる都だ……。			報告のとおりに帝都が崩壊しているとするなら、派遣団の最大の敵は、寒さになるだろう。ガレマルドは、凍れる大地にそびえる都だ……。			イルサバード派遣団							
では、派遣団のもとへ向かいましょう。集合場所は、アラミゴ王宮です。			では、派遣団のもとへ向かいましょう。集合場所は、アラミゴ王宮です。			イルサバード派遣団							
私は先に行き、皆さんの到来を代表者に伝えておきます。そちらの「アラミゴ解放軍の衛兵」に声をかけ、王宮内へお越しください。			私は先に行き、皆さんの到来を代表者に伝えておきます。そちらの「アラミゴ解放軍の衛兵」に声をかけ、王宮内へお越しください。			イルサバード派遣団							
ようこそお越しくださいました。「イルサバード派遣団」の皆様、そして「暁」のお仲間も、すでにご到着していらっしゃいます。			ようこそお越しくださいました。「イルサバード派遣団」の皆様、そして「暁」のお仲間も、すでにご到着していらっしゃいます。			イルサバード派遣団							
このままご案内してもよろしいですか？			このままご案内してもよろしいですか？			イルサバード派遣団							
「アラミゴ王宮」へ移動しますか？			「アラミゴ王宮」へ移動しますか？			イルサバード派遣団							
イルサバード派遣団の皆様が、王宮内でお待ちです。ご案内いたしますか？			イルサバード派遣団の皆様が、王宮内でお待ちです。ご案内いたしますか？			イルサバード派遣団							
コマンドとしての経験はそれなりに積んできたつもりだが、これほど個性豊かな一団を率いるのは、初めての試みだ。			コマンドとしての経験はそれなりに積んできたつもりだが、これほど個性豊かな一団を率いるのは、初めての試みだ。			イルサバード派遣団							
最善を尽くすが、至らぬこともあるだろう。各地を旅し、多くの人を見てきた貴公の知恵を、貸してもらえるとありがたい。			最善を尽くすが、至らぬこともあるだろう。各地を旅し、多くの人を見てきた貴公の知恵を、貸してもらえるとありがたい。			イルサバード派遣団							
……私はかつて、帝国による属州統治の実態を知り、それを改革せんと「民衆派」に身を置きました。属州の民を尊重し、盟友として共栄する道を探していたのです。			……私はかつて、帝国による属州統治の実態を知り、それを改革せんと「民衆派」に身を置きました。属州の民を尊重し、盟友として共栄する道を探していたのです。			イルサバード派遣団							
しかし、民衆派は半ば異端の存在でした。幾人もの同胞や、私を支持してくれていた両親までもが、「不慮の事故による死」を迎えるほどに……。			しかし、民衆派は半ば異端の存在でした。幾人もの同胞や、私を支持してくれていた両親までもが、「不慮の事故による死」を迎えるほどに……。			イルサバード派遣団							
私は、此度の任務で、皆さんとともに知りたいのです。人はあの理想を実現できるのか……それが叶った世界に、どんな光景が広がるのかを。			私は、此度の任務で、皆さんとともに知りたいのです。人はあの理想を実現できるのか……それが叶った世界に、どんな光景が広がるのかを。			イルサバード派遣団							
それにしてもお久しぶりです、Forenameさん。テムルンお婆さまも、あなたのこと、とても気にかけていたんですよ。			それにしてもお久しぶりです、Forenameさん。テムルンお婆さまも、あなたのこと、とても気にかけていたんですよ。			イルサバード派遣団							
なんでも、私がこちらに加わることを決めた夜に、神託と思しき、不思議な夢を見たのだとか。			なんでも、私がこちらに加わることを決めた夜に、神託と思しき、不思議な夢を見たのだとか。			イルサバード派遣団							
赤々と燃える陽と、黒く冷え切った陽……ふたつの太陽が重なり、すべてが終わりを迎える。その壮絶な光景の中に、あなたの気配を感じたのだそうです。			赤々と燃える陽と、黒く冷え切った陽……ふたつの太陽が重なり、すべてが終わりを迎える。その壮絶な光景の中に、あなたの気配を感じたのだそうです。			イルサバード派遣団							
意味は読み解けていませんが、どうかお気をつけて……。私も派遣団の一員として、精一杯お手伝いさせていただきます！			意味は読み解けていませんが、どうかお気をつけて……。私も派遣団の一員として、精一杯お手伝いさせていただきます！			イルサバード派遣団							
あなたやアリゼーと一緒に紅玉海を渡って、ヒエンを探すために向かったアジムステップで、シリナたちに出会った……。			あなたやアリゼーと一緒に紅玉海を渡って、ヒエンを探すために向かったアジムステップで、シリナたちに出会った……。			イルサバード派遣団							
あの旅が、なんだか懐かしいよ。それぞれが、自由を目指して進み続けてた……。			あの旅が、なんだか懐かしいよ。それぞれが、自由を目指して進み続けてた……。			イルサバード派遣団							
その戦いを終えられたからこそ、次を目指せるんだ。もっと大きな自由……たとえば愛とかそういう心が通った……来たるべき明日に向けてね。			その戦いを終えられたからこそ、次を目指せるんだ。もっと大きな自由……たとえば愛とかそういう心が通った……来たるべき明日に向けてね。			イルサバード派遣団							
オレら海賊にとって、帝国の船といやぁ「獲物」だ。なにせ、唯一認められてる私掠の相手だったからな。			オレら海賊にとって、帝国の船といやぁ「獲物」だ。なにせ、唯一認められてる私掠の相手だったからな。			イルサバード派遣団							
それで散々食ってきたんだ。一度くらい助太刀に行くのも、ま、悪くねぇなと思ったのさ。			それで散々食ってきたんだ。一度くらい助太刀に行くのも、ま、悪くねぇなと思ったのさ。			イルサバード派遣団							
そうそう、「不浄なるもの」の一件で君と旅をしたエシヴァも、姉さまたちとともに、塔から森を護ってくれているんだ。			そうそう、「不浄なるもの」の一件で君と旅をしたエシヴァも、姉さまたちとともに、塔から森を護ってくれているんだ。			イルサバード派遣団							
本当なら派遣団に加わりたかったんだろうけど、僕が少しでも安心して森を離れられるように……ってね。帰ったら、ここで見聞きしたことを話してあげるつもりだよ。			本当なら派遣団に加わりたかったんだろうけど、僕が少しでも安心して森を離れられるように……ってね。帰ったら、ここで見聞きしたことを話してあげるつもりだよ。			イルサバード派遣団							
この派遣団には、いろんな想いというか……気配というか……とにかく森にはないものが渦巻いていて、くらくらしそうだよ。			この派遣団には、いろんな想いというか……気配というか……とにかく森にはないものが渦巻いていて、くらくらしそうだよ。			イルサバード派遣団							
とはいえ、カヌ・エ姉さまに任されたことだからね。三重の幻術皇として、やり抜いてみせるよ……。			とはいえ、カヌ・エ姉さまに任されたことだからね。三重の幻術皇として、やり抜いてみせるよ……。			イルサバード派遣団							
実はね、彼ら以外にも、アマルジャ族をはじめとした異種族から立候補があったの。			実はね、彼ら以外にも、アマルジャ族をはじめとした異種族から立候補があったの。			イルサバード派遣団							
残念ながら、寒冷地での活動が難しい体質だったり、人拐いの対象として狙われたりする可能性を考慮して、今回は見送りになったのだけれど……。			残念ながら、寒冷地での活動が難しい体質だったり、人拐いの対象として狙われたりする可能性を考慮して、今回は見送りになったのだけれど……。			イルサバード派遣団							
彼らの中にも、理解してくれた子たちがいたというのを、あなたも覚えておいてくれると嬉しいわ。			彼らの中にも、理解してくれた子たちがいたというのを、あなたも覚えておいてくれると嬉しいわ。			イルサバード派遣団							
……それじゃあ、出発の準備にとりかかりましょうか。何より大事な「護魂の霊鱗」は、あなたから各代表に渡してもらえて？			……それじゃあ、出発の準備にとりかかりましょうか。何より大事な「護魂の霊鱗」は、あなたから各代表に渡してもらえて？			イルサバード派遣団							
久しく会っていなかった相手もいるでしょうし、霊鱗を渡しながら、再会の挨拶をしてみるといいわ。			久しく会っていなかった相手もいるでしょうし、霊鱗を渡しながら、再会の挨拶をしてみるといいわ。			イルサバード派遣団							
その間に、私も問いたださなければならないことがあるの。サンクレッドとウリエンジェに……ね？			その間に、私も問いたださなければならないことがあるの。サンクレッドとウリエンジェに……ね？			イルサバード派遣団							
ああ、くだんの「護魂の霊鱗」だな。イシュガルドから来た者の分は、私がまとめて預かろう。			ああ、くだんの「護魂の霊鱗」だな。イシュガルドから来た者の分は、私がまとめて預かろう。			イルサバード派遣団							
確かに頂戴した。困難な任務になるだろうが、改めて、よろしく頼む。			確かに頂戴した。困難な任務になるだろうが、改めて、よろしく頼む。			イルサバード派遣団							
……知ってのとおり、私はガレアン人。帝国の工作員としてイシュガルドに潜入していたものの、アイメリク様からの提案を受けて、祖国を離反した身だ。			……知ってのとおり、私はガレアン人。帝国の工作員としてイシュガルドに潜入していたものの、アイメリク様からの提案を受けて、祖国を離反した身だ。			イルサバード派遣団							
そんな私が総指揮を拝命してもいいものか……話を受けたときは、困惑したものだ。			そんな私が総指揮を拝命してもいいものか……話を受けたときは、困惑したものだ。			イルサバード派遣団							
しかし、アイメリク様は迷いなくおっしゃった。生い立ちも経歴も、派遣団を導くため、大いに活用してやればいいのだ……と。			しかし、アイメリク様は迷いなくおっしゃった。生い立ちも経歴も、派遣団を導くため、大いに活用してやればいいのだ……と。			イルサバード派遣団							
それで、覚悟が決まったよ。私は私のすべてをもって、この任務を成功させる。帝国民のためにも、信じて大役を任せてくれた方のためにもな。			それで、覚悟が決まったよ。私は私のすべてをもって、この任務を成功させる。帝国民のためにも、信じて大役を任せてくれた方のためにもな。			イルサバード派遣団							
……僕に何か用？			……僕に何か用？			イルサバード派遣団							
へえ、これが霊鱗か……。グリダニアから来たみんなにも、配っておくよ。			へえ、これが霊鱗か……。グリダニアから来たみんなにも、配っておくよ。			イルサバード派遣団							
君には前に聞いてもらったけど、僕は今、ア・トワ様のような、森の外を知る角尊を目指してる。			君には前に聞いてもらったけど、僕は今、ア・トワ様のような、森の外を知る角尊を目指してる。			イルサバード派遣団							
だから派遣団に志願させてもらったんだ。帝国はグリダニアにとってまさに脅威だったけど、だからこそ、知らなくちゃって考えてね。			だから派遣団に志願させてもらったんだ。帝国はグリダニアにとってまさに脅威だったけど、だからこそ、知らなくちゃって考えてね。			イルサバード派遣団							
ガレアン人は魔法が不得手だから、怪我人の手当てにも苦戦してるかもしれない。治療にあたりながら、いろいろ学ばせてもらうつもりだよ。			ガレアン人は魔法が不得手だから、怪我人の手当てにも苦戦してるかもしれない。治療にあたりながら、いろいろ学ばせてもらうつもりだよ。			イルサバード派遣団							
本来、僕が森の外に出ることはないんだけど……カヌ・エ姉さまが、特例として許可をとってくれたんだ。			本来、僕が森の外に出ることはないんだけど……カヌ・エ姉さまが、特例として許可をとってくれたんだ。			イルサバード派遣団							
魔法を不得手とするガレアン人……違う文明を持つ人々……それを治療しながら、己の心の声に耳を澄ませてほしい。姉さまは、そう言っていた。			魔法を不得手とするガレアン人……違う文明を持つ人々……それを治療しながら、己の心の声に耳を澄ませてほしい。姉さまは、そう言っていた。			イルサバード派遣団							
何にせよ、僕だって三重の幻術皇のひとりだ。役目はきっちり果たしてみせるよ。			何にせよ、僕だって三重の幻術皇のひとりだ。役目はきっちり果たしてみせるよ。			イルサバード派遣団							
海都から来た連中をまとめてるのは誰かって？オレだよオレ、悪いかよ！			海都から来た連中をまとめてるのは誰かって？オレだよオレ、悪いかよ！			イルサバード派遣団							
お、例のテンパードにならなくなる護符だな。こいつはお宝だぜ、売ったらいくらに……って違う違う。			お、例のテンパードにならなくなる護符だな。こいつはお宝だぜ、売ったらいくらに……って違う違う。			イルサバード派遣団							
……まあ、自分でもわかってるさ。エインザルさんとかの方が、適任だっただろうってな。			……まあ、自分でもわかってるさ。エインザルさんとかの方が、適任だっただろうってな。			イルサバード派遣団							
けど、ここには各国の未来を担う奴が来てるはずだから、お前が行ってこいってよ……提督とヒルフィルのおじきが、そろって言いやがるんだ。			けど、ここには各国の未来を担う奴が来てるはずだから、お前が行ってこいってよ……提督とヒルフィルのおじきが、そろって言いやがるんだ。			イルサバード派遣団							
そこで怖気づいたら、断罪党の名が廃るってもんだ。陸(おか)の上じゃ働けないなんて言うつもりはねぇ……荷運びでも何でも、好きに使いやがれ！			そこで怖気づいたら、断罪党の名が廃るってもんだ。陸(おか)の上じゃ働けないなんて言うつもりはねぇ……荷運びでも何でも、好きに使いやがれ！			イルサバード派遣団							
あっ、もしかして霊鱗を配ってくれてるの？だったら、ウルダハとアラミゴから来た仲間の分は、私がまとめて受け取るよ！			あっ、もしかして霊鱗を配ってくれてるの？だったら、ウルダハとアラミゴから来た仲間の分は、私がまとめて受け取るよ！			イルサバード派遣団							
ありがとう！エーテル放射を防げるだなんて、本当、夢みたいだよね。こんな日が来るなんて、思ってもみなかった……。			ありがとう！エーテル放射を防げるだなんて、本当、夢みたいだよね。こんな日が来るなんて、思ってもみなかった……。			イルサバード派遣団							
これを持って、ガレマルドへ……。そこでは何が待っていて、アタシたちは、何ができるんだろう。			これを持って、ガレマルドへ……。そこでは何が待っていて、アタシたちは、何ができるんだろう。			イルサバード派遣団							
行ってみないとわからないことばかりだけど、もう、アタシはバカだからなんて言って考えるのを諦めたりしないよ。ゼノスのことも、今度こそ捕まえよう。			行ってみないとわからないことばかりだけど、もう、アタシはバカだからなんて言って考えるのを諦めたりしないよ。ゼノスのことも、今度こそ捕まえよう。			イルサバード派遣団							
私たちも、急いで出発の準備をします。草原の北部よりも寒いと聞いたので、防寒具はできるだけ用意してきたんですが……。			私たちも、急いで出発の準備をします。草原の北部よりも寒いと聞いたので、防寒具はできるだけ用意してきたんですが……。			イルサバード派遣団							
なるほど、それをひとりひとつ持つんですね！了解です、東方連合の面々に渡しておきます！			なるほど、それをひとりひとつ持つんですね！了解です、東方連合の面々に渡しておきます！			イルサバード派遣団							
あとは……そうだ、ヒエンさんからあなたに、伝言を預かってきたんです。きっと参加なさるだろうからって。			あとは……そうだ、ヒエンさんからあなたに、伝言を預かってきたんです。きっと参加なさるだろうからって。			イルサバード派遣団							
「わしらが立つは、ひと繋がりの大陸なれば、　近きも遠きも些末なことよ。　ともに奮い立ちて、大義を果たそうぞ」			「わしらが立つは、ひと繋がりの大陸なれば、　近きも遠きも些末なことよ。　ともに奮い立ちて、大義を果たそうぞ」			イルサバード派遣団							
……東方連合に属する地域では、ヤンサのほか、ナグサの奥地にも塔が見つかり、戦力を分けての抵抗が続いています。			……東方連合に属する地域では、ヤンサのほか、ナグサの奥地にも塔が見つかり、戦力を分けての抵抗が続いています。			イルサバード派遣団							
ヒエンさんやユウギリさんは、それらを結ぶ役として、奔走しているんです。			ヒエンさんやユウギリさんは、それらを結ぶ役として、奔走しているんです。			イルサバード派遣団							
私も……私たちだって、がんばらないと……！イルサバード派遣団の一員として、どうぞよろしくお願いします！			私も……私たちだって、がんばらないと……！イルサバード派遣団の一員として、どうぞよろしくお願いします！			イルサバード派遣団							
もしや……私も霊鱗をいただけるのですか？			もしや……私も霊鱗をいただけるのですか？			イルサバード派遣団							
……ありがとうございます。盟主の方々の決断と、ここに集ってくださった皆さんのことを、私は生涯、忘れずにいたいと思います。			……ありがとうございます。盟主の方々の決断と、ここに集ってくださった皆さんのことを、私は生涯、忘れずにいたいと思います。			イルサバード派遣団							
これより向かう「マグナ・グラキエス」は、零下の雪原です。霊鱗のほか、寒さへの対策もお忘れなく。			これより向かう「マグナ・グラキエス」は、零下の雪原です。霊鱗のほか、寒さへの対策もお忘れなく。			イルサバード派遣団							
降り立つ前には、ウルダハの錬金術師ギルドからいただいた、特製の防氷薬を飲んでいただく予定ですが……やはり、防寒具の着用は欠かせないでしょう。			降り立つ前には、ウルダハの錬金術師ギルドからいただいた、特製の防氷薬を飲んでいただく予定ですが……やはり、防寒具の着用は欠かせないでしょう。			イルサバード派遣団							
しっかりとご準備をなさってから、アラミガン・クォーターで待機している、「ガーロンド社の飛空士」のもとに集合してください。			しっかりとご準備をなさってから、アラミガン・クォーターで待機している、「ガーロンド社の飛空士」のもとに集合してください。			イルサバード派遣団							
では、この場は解散といたしましょう。また後ほど、飛空艇で……。			では、この場は解散といたしましょう。また後ほど、飛空艇で……。			イルサバード派遣団							
さーて、さっさと支度を済ませるわよ！			さーて、さっさと支度を済ませるわよ！			イルサバード派遣団							
このコートでも、それなりに寒さには耐えられるんだが……マグナ・グラキエスからの雪中行軍もあるとなると、もう一段あたたかいのを着ていくか。			このコートでも、それなりに寒さには耐えられるんだが……マグナ・グラキエスからの雪中行軍もあるとなると、もう一段あたたかいのを着ていくか。			イルサバード派遣団							
防氷薬というと、実質的な効果はないとして、昨今では出回ることすら少なくなっていたはず……。			防氷薬というと、実質的な効果はないとして、昨今では出回ることすら少なくなっていたはず……。			イルサバード派遣団							
それを効果が実証できるほどに改良したのだとしたら、ウルダハ式錬金術の意地……というものかもしれません。霊鱗の存在は、彼らにも良い刺激となったのですね。			それを効果が実証できるほどに改良したのだとしたら、ウルダハ式錬金術の意地……というものかもしれません。霊鱗の存在は、彼らにも良い刺激となったのですね。			イルサバード派遣団							
防寒着ね……どうしたものかしら……。			防寒着ね……どうしたものかしら……。			イルサバード派遣団							
オレも、服はほとんど持ってないからな……。一度オールド・シャーレアンまで戻れば、それなりに寒さに強いやつが買えそうだが……。			オレも、服はほとんど持ってないからな……。一度オールド・シャーレアンまで戻れば、それなりに寒さに強いやつが買えそうだが……。			イルサバード派遣団							
俺の準備はできてるぞ。この鎧と槍があれば、十分だからな。			俺の準備はできてるぞ。この鎧と槍があれば、十分だからな。			イルサバード派遣団							
イルサバード派遣団の皆様は、各々、出立の準備に向かわれました。無事のお帰りを、お待ちしております！			イルサバード派遣団の皆様は、各々、出立の準備に向かわれました。無事のお帰りを、お待ちしております！			イルサバード派遣団							
そうと決まれば、私たちも身支度をしないとね。			そうと決まれば、私たちも身支度をしないとね。			イルサバード派遣団							
俺とウリエンジェは、前回の偵察のときに用意した装備がある。			俺とウリエンジェは、前回の偵察のときに用意した装備がある。			イルサバード派遣団							
とびきりあたたかい鎧下を持ってるとか言っていた、エスティニアンも、そのままでいいとして……お前たちの防寒具はどうする？			とびきりあたたかい鎧下を持ってるとか言っていた、エスティニアンも、そのままでいいとして……お前たちの防寒具はどうする？			イルサバード派遣団							
派遣団の連中には、各国のグランドカンパニーなんかが、制服一式を支給するそうだ。言えば、それを借りられるとは思うが……。			派遣団の連中には、各国のグランドカンパニーなんかが、制服一式を支給するそうだ。言えば、それを借りられるとは思うが……。			イルサバード派遣団							
テロフォロイとの対決だってあり得るわけだし、できれば自分にあった装備で、万全を期しておきたいわね……。			テロフォロイとの対決だってあり得るわけだし、できれば自分にあった装備で、万全を期しておきたいわね……。			イルサバード派遣団							
(-？？？？-)フーッフッフッフ……！そんなことだろうと思っておりまっした！			(-？？？？-)フーッフッフッフ……！そんなことだろうと思っておりまっした！			イルサバード派遣団							
き、君は……！どうしてここに……！？			き、君は……！どうしてここに……！？			イルサバード派遣団							
(-？？？？-)私の情報網を、甘く見ないでほしいでっす！			(-？？？？-)私の情報網を、甘く見ないでほしいでっす！			イルサバード派遣団							
(-？？？？-)イルサバード派遣団が結成されること……みなさんとともに帝都へ向かうこと……何もかも把握済みなのでっす！			(-？？？？-)イルサバード派遣団が結成されること……みなさんとともに帝都へ向かうこと……何もかも把握済みなのでっす！			イルサバード派遣団							
(-？？？？-)ということで……			(-？？？？-)ということで……			イルサバード派遣団							
「暁」の受付兼衣装係、タタル・タルが、ズバババッとみなさんの防寒着を用意いたしまっした！			「暁」の受付兼衣装係、タタル・タルが、ズバババッとみなさんの防寒着を用意いたしまっした！			イルサバード派遣団							
おおぉ……さすがだな……！			おおぉ……さすがだな……！			イルサバード派遣団							
……けど、なんでタタルまで衣替えしてるんだ？			……けど、なんでタタルまで衣替えしてるんだ？			イルサバード派遣団							
それはもちろん、ＨＱ(ハイクオリティ)な防寒着を作るためでっす。道具や作業着は、職人の命なのでっす！			それはもちろん、ＨＱ(ハイクオリティ)な防寒着を作るためでっす。道具や作業着は、職人の命なのでっす！			イルサバード派遣団							
そして、もうひとつ、みなさんにお伝えしたいことが……。			そして、もうひとつ、みなさんにお伝えしたいことが……。			イルサバード派遣団							
実は先日、「暁」の中でも遠方での活動を主としていた、エルグムスさんやブルオムウィダさんが、帰っていらしたのでっす。			実は先日、「暁」の中でも遠方での活動を主としていた、エルグムスさんやブルオムウィダさんが、帰っていらしたのでっす。			イルサバード派遣団							
しばらくは「石の家」に留まって、エオルゼア側の様子を見ていただく予定でっす。			しばらくは「石の家」に留まって、エオルゼア側の様子を見ていただく予定でっす。			イルサバード派遣団							
それで、その……おふたりが……留守は守るから、Forenameさんたちと、合流したらどうだって、おっしゃってくれて……。			それで、その……おふたりが……留守は守るから、Forenameさんたちと、合流したらどうだって、おっしゃってくれて……。			イルサバード派遣団							
いいじゃない。バルデシオン分館でクルルと一緒に地盤を固めてくれたら、こちらとしても心強いわ。			いいじゃない。バルデシオン分館でクルルと一緒に地盤を固めてくれたら、こちらとしても心強いわ。			イルサバード派遣団							
私たちの魂が抜けて倒れたときだって、しっかり切り盛りしてくれたふたりだものね。頼りにしてる。			私たちの魂が抜けて倒れたときだって、しっかり切り盛りしてくれたふたりだものね。頼りにしてる。			イルサバード派遣団							
はいでっす……！みなさんにはもう倒れてほしくないでっすが、そのためにも、誠心誠意がんばりまっす！			はいでっす……！みなさんにはもう倒れてほしくないでっすが、そのためにも、誠心誠意がんばりまっす！			イルサバード派遣団							
では、私も準備ができ次第、オールド・シャーレアンに向かうとして……今はまず、みなさんのお見送りでっす。			では、私も準備ができ次第、オールド・シャーレアンに向かうとして……今はまず、みなさんのお見送りでっす。			イルサバード派遣団							
お渡しする防寒着が、ガレマルドの寒さからみなさんを護りますように……。			お渡しする防寒着が、ガレマルドの寒さからみなさんを護りますように……。			イルサバード派遣団							
そして、イルサバード派遣団の志が、テロフォロイの暴虐に苦しんでいる方々を、ひとりでも多く救いますように……。			そして、イルサバード派遣団の志が、テロフォロイの暴虐に苦しんでいる方々を、ひとりでも多く救いますように……。			イルサバード派遣団							
では、タタルから防寒具を受け取ったら、それぞれ身支度を整えて、「ガーロンド社の飛空士」のもとへ向かおう。			では、タタルから防寒具を受け取ったら、それぞれ身支度を整えて、「ガーロンド社の飛空士」のもとへ向かおう。			イルサバード派遣団							
はい、Forenameさん！タタル印の防寒着、よければ使ってほしいでっす！			はい、Forenameさん！タタル印の防寒着、よければ使ってほしいでっす！			イルサバード派遣団							
アラミガン・クォーターのタタルは、意気込み十分だ。			アラミガン・クォーターのタタルは、意気込み十分だ。			霜雪を踏みしめて							
タタルから見送りを受けた。アラミガン・クォーターの「ガーロンド社の飛空士」と話そう。			タタルから見送りを受けた。アラミガン・クォーターの「ガーロンド社の飛空士」と話そう。			霜雪を踏みしめて							
イルサバード派遣団とともに、飛空艇に乗ってマグナ・グラキエスに降り立った。テンパードとなった帝国兵たちを保護しつつ、ガレマルドへ向かおう。			イルサバード派遣団とともに、飛空艇に乗ってマグナ・グラキエスに降り立った。テンパードとなった帝国兵たちを保護しつつ、ガレマルドへ向かおう。			霜雪を踏みしめて							
ガレマルドに入った。キャンプ・ブロークングラスの「アルフィノ」と話そう。ほかの地に移動した場合は、アラミガン・クォーターの「ガーロンド社の飛空士」に話しかけることで、ガレマルドへ移送してもらえるようだ。			ガレマルドに入った。キャンプ・ブロークングラスの「アルフィノ」と話そう。ほかの地に移動した場合は、アラミガン・クォーターの「ガーロンド社の飛空士」に話しかけることで、ガレマルドへ移送してもらえるようだ。			霜雪を踏みしめて							
アルフィノから集合場所を伝えられた。キャンプ・ブロークングラスの「ヤ・シュトラ」と話そう。			アルフィノから集合場所を伝えられた。キャンプ・ブロークングラスの「ヤ・シュトラ」と話そう。			霜雪を踏みしめて							
ヤ・シュトラに集合するよう告げた。キャンプ・ブロークングラスの「グ・ラハ・ティア」と話そう。			ヤ・シュトラに集合するよう告げた。キャンプ・ブロークングラスの「グ・ラハ・ティア」と話そう。			霜雪を踏みしめて							
グ・ラハ・ティアにも集合するよう告げた。キャンプ・ブロークングラスの「ルキア」と話そう。			グ・ラハ・ティアにも集合するよう告げた。キャンプ・ブロークングラスの「ルキア」と話そう。			霜雪を踏みしめて							
ルキアたちと、これからやるべきことを相談した。キャンプ・ブロークングラスの「アリゼー」と話そう。			ルキアたちと、これからやるべきことを相談した。キャンプ・ブロークングラスの「アリゼー」と話そう。			霜雪を踏みしめて							
