あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
……じゃ、いったん集落に帰るとしましょ。ジゾル、一緒に帰るわよ！			……じゃ、いったん集落に帰るとしましょ。ジゾル、一緒に帰るわよ！			相方を探して							
はぁ……また、相方探しが始まるのね！			はぁ……また、相方探しが始まるのね！			相方を探して							
ルーパルさんにも、僕の意向は伝えました。一人前の厩務員になれるよう、がんばります！			ルーパルさんにも、僕の意向は伝えました。一人前の厩務員になれるよう、がんばります！			相方を探して							
クエエ～ッ！！			クエエ～ッ！！			相方を探して							
ジゾルのやつから、話は聞いたよ。残念だが、自分の人生は好きに生きるのが一番だ。			ジゾルのやつから、話は聞いたよ。残念だが、自分の人生は好きに生きるのが一番だ。			相方を探して							
ジゾルはヒナを連れてきちまったが、本来、卵やヒナを獲るのは禁じているんだ。そんなことを繰り返したら、チョコボが森から消えちまうからな。			ジゾルはヒナを連れてきちまったが、本来、卵やヒナを獲るのは禁じているんだ。そんなことを繰り返したら、チョコボが森から消えちまうからな。			相方を探して							
だが今回は、親チョコボとはぐれてたみたいだし……。それに、自分の手で育てると言ってるからな。特例として見逃すことにしたよ。			だが今回は、親チョコボとはぐれてたみたいだし……。それに、自分の手で育てると言ってるからな。特例として見逃すことにしたよ。			相方を探して							
本当にありがとうございます、ルーパルさん！ヤンターさん、それに冒険者さんも、短い間でしたが、ありがとうございました！			本当にありがとうございます、ルーパルさん！ヤンターさん、それに冒険者さんも、短い間でしたが、ありがとうございました！			相方を探して							
さてと……。これでヤンターの相方探しは、振り出しに戻ったわけか。次は、どうするかな……。			さてと……。これでヤンターの相方探しは、振り出しに戻ったわけか。次は、どうするかな……。			相方を探して							
邪竜の彫像付近のイゼルは、先を急ぎたいようだ。			邪竜の彫像付近のイゼルは、先を急ぎたいようだ。			竜の棲む塔							
イゼルと話した。不浄の三塔へ向かい、その地に住む竜の協力を得ることになった。高地ドラヴァニアの不浄の三塔の南にいる「イゼル」と話そう。			イゼルと話した。不浄の三塔へ向かい、その地に住む竜の協力を得ることになった。高地ドラヴァニアの不浄の三塔の南にいる「イゼル」と話そう。			竜の棲む塔							
イゼルと話した。不浄の三塔へ向かう道にも、グナース族が展開しているそうだ。不浄の三塔に繋がる「ダンナー街道」を進み、妨害されたら退けよう。			イゼルと話した。不浄の三塔へ向かう道にも、グナース族が展開しているそうだ。不浄の三塔に繋がる「ダンナー街道」を進み、妨害されたら退けよう。			竜の棲む塔							
襲いかかってきたグナース族を退けた。再度「ダンナー街道」を進み、妨害されたら退けよう。			襲いかかってきたグナース族を退けた。再度「ダンナー街道」を進み、妨害されたら退けよう。			竜の棲む塔							
再び襲いかかってきたグナース族を退けた。不浄の三塔付近の「イゼル」と話そう。			再び襲いかかってきたグナース族を退けた。不浄の三塔付近の「イゼル」と話そう。			竜の棲む塔							
ヴィゾーヴニルに会い、助力を頼んだ。しかし、グナース族が呼び降ろした蛮神を警戒し、不浄の三塔のドラゴン族は動けないという。助力を得るため、冒険者たちはグナース族の脅威を退けることになった。			ヴィゾーヴニルに会い、助力を頼んだ。しかし、グナース族が呼び降ろした蛮神を警戒し、不浄の三塔のドラゴン族は動けないという。助力を得るため、冒険者たちはグナース族の脅威を退けることになった。			竜の棲む塔							
イゼルと話す			イゼルと話す			竜の棲む塔							
ダンナー街道を進み、道中の妨害を退ける			ダンナー街道を進み、道中の妨害を退ける			竜の棲む塔							
再度ダンナー街道を進み、道中の妨害を退ける			再度ダンナー街道を進み、道中の妨害を退ける			竜の棲む塔							
イゼルと話す			イゼルと話す			竜の棲む塔							
西方に、巨大な塔が見えるな？イシュガルドの民は「不浄の三塔」などと呼ぶが、かの遺跡には、聖竜の眷属たる竜たちが棲んでいる。			西方に、巨大な塔が見えるな？イシュガルドの民は「不浄の三塔」などと呼ぶが、かの遺跡には、聖竜の眷属たる竜たちが棲んでいる。			竜の棲む塔							
霊峰「ソーム・アル」の麓に辿り着くためには、彼らの協力を得て、山道を拓いてもらわねばならん。……安心してくれ、塔に棲む竜を率いるのは私の友だ。			霊峰「ソーム・アル」の麓に辿り着くためには、彼らの協力を得て、山道を拓いてもらわねばならん。……安心してくれ、塔に棲む竜を率いるのは私の友だ。			竜の棲む塔							
むしろ、「グナース族」の動きの方が心配なくらいだよ。塔に続く道筋で、一度、辺りの様子を覗うとしよう。			むしろ、「グナース族」の動きの方が心配なくらいだよ。塔に続く道筋で、一度、辺りの様子を覗うとしよう。			竜の棲む塔							
ドラゴン族に加え、グナース族にも警戒しなければならないとはね……。			ドラゴン族に加え、グナース族にも警戒しなければならないとはね……。			竜の棲む塔							
竜にケンカを売るとは、あのアリどもも度胸があるじゃないか。教皇庁の奥に隠れているお歴々より、余程使えそうだな。			竜にケンカを売るとは、あのアリどもも度胸があるじゃないか。教皇庁の奥に隠れているお歴々より、余程使えそうだな。			竜の棲む塔							
まずいな……やはり、塔に至る道筋にも、グナース族の兵たちが展開しているようだ。			まずいな……やはり、塔に至る道筋にも、グナース族の兵たちが展開しているようだ。			竜の棲む塔							
確かマルスシャン氏が言っていたな。最近、グナース族がドラゴン族に対して、ちょっかいを出していると……もしや奴らは、塔に攻撃を？			確かマルスシャン氏が言っていたな。最近、グナース族がドラゴン族に対して、ちょっかいを出していると……もしや奴らは、塔に攻撃を？			竜の棲む塔							
我が友たる竜たちが心配だ……。気高き竜とはいえ、火砲を持つグナース族に襲われれば、傷を負うことは考えられる……。			我が友たる竜たちが心配だ……。気高き竜とはいえ、火砲を持つグナース族に襲われれば、傷を負うことは考えられる……。			竜の棲む塔							
致し方ない……。もし、グナース族の兵たちが好戦的な構えを見せたら、実力を以て、排除しながら進むとしよう。			致し方ない……。もし、グナース族の兵たちが好戦的な構えを見せたら、実力を以て、排除しながら進むとしよう。			竜の棲む塔							
やはり、押し通るしかないか……！			やはり、押し通るしかないか……！			竜の棲む塔							
やれやれ、同じ敵を持つ者同士とはいえ、協力する気はなさそうだな……。			やれやれ、同じ敵を持つ者同士とはいえ、協力する気はなさそうだな……。			竜の棲む塔							
こんなところにヒトだと！？			こんなところにヒトだと！？			竜の棲む塔							
しかし、グナース族は、いったいどうしてしまったのだ……。友を護るためとはいえ、無益な戦いはしたくなかったのに……。			しかし、グナース族は、いったいどうしてしまったのだ……。友を護るためとはいえ、無益な戦いはしたくなかったのに……。			竜の棲む塔							
……ともかく、塔の中に入ろう。竜たちとの対話は、どうか私に任せてほしい……。			……ともかく、塔の中に入ろう。竜たちとの対話は、どうか私に任せてほしい……。			竜の棲む塔							
くれぐれも手出しはするなよ、蒼の竜騎士エスティニアン。			くれぐれも手出しはするなよ、蒼の竜騎士エスティニアン。			竜の棲む塔							
光の戦士の顔に免じて、先に手出しはしないさ……「先に」はな……。			光の戦士の顔に免じて、先に手出しはしないさ……「先に」はな……。			竜の棲む塔							
いけ好かない男だ……。…………行くぞ。			いけ好かない男だ……。…………行くぞ。			竜の棲む塔							
すごい建造物だ……ここに聖竜の眷属が？			すごい建造物だ……ここに聖竜の眷属が？			竜の棲む塔							
この気配……。かなり高位のドラゴン族が、近づいてきているぞ……。			この気配……。かなり高位のドラゴン族が、近づいてきているぞ……。			竜の棲む塔							
テイルフェザーのヴィルジョームは、人手を探しているようだ。			テイルフェザーのヴィルジョームは、人手を探しているようだ。			しびれる罠							
ヴィルジョームにランプダケを採ってくるよう頼まれた。高地ドラヴァニアの南の洞窟に向かい、「ランプダケ」を入手しよう。			ヴィルジョームにランプダケを採ってくるよう頼まれた。高地ドラヴァニアの南の洞窟に向かい、「ランプダケ」を入手しよう。			しびれる罠							
ランプダケを入手した。テイルフェザーの「ヴィルジョーム」に「ランプダケ」を渡そう。			ランプダケを入手した。テイルフェザーの「ヴィルジョーム」に「ランプダケ」を渡そう。			しびれる罠							
ヴィルジョームは、ギサールの野菜とランプダケで、胞子まみれの野菜を作った。チョコボの森の「指定地点」に「胞子まみれの野菜」を置こう。			ヴィルジョームは、ギサールの野菜とランプダケで、胞子まみれの野菜を作った。チョコボの森の「指定地点」に「胞子まみれの野菜」を置こう。			しびれる罠							
指定地点に胞子まみれの野菜を置いた。テイルフェザーの「ヴィルジョーム」に報告しよう。			指定地点に胞子まみれの野菜を置いた。テイルフェザーの「ヴィルジョーム」に報告しよう。			しびれる罠							
ヴィルジョームに報告した。弱い麻痺毒のあるランプダケをギサールの野菜に振りかけて罠にし、チョコボを傷つけることなく捕獲するつもりのようだ。			ヴィルジョームに報告した。弱い麻痺毒のあるランプダケをギサールの野菜に振りかけて罠にし、チョコボを傷つけることなく捕獲するつもりのようだ。			しびれる罠							
ランプダケを入手			ランプダケを入手			しびれる罠							
ヴィルジョームにランプダケを渡す			ヴィルジョームにランプダケを渡す			しびれる罠							
指定地点に胞子まみれの野菜を置く			指定地点に胞子まみれの野菜を置く			しびれる罠							
ヴィルジョームに報告			ヴィルジョームに報告			しびれる罠							
お、あんた……いいところにきてくれた。チョコボを捕まえるための新たな罠を思いついてね。そこで、採ってきてほしいものがあるんだ。			お、あんた……いいところにきてくれた。チョコボを捕まえるための新たな罠を思いついてね。そこで、採ってきてほしいものがあるんだ。			しびれる罠							
南の洞窟に行ったことはあるか？あそこに生えてる「ランプダケ」を採ってきてほしい。俺は次の準備をしておくから、頼んだよ。			南の洞窟に行ったことはあるか？あそこに生えてる「ランプダケ」を採ってきてほしい。俺は次の準備をしておくから、頼んだよ。			しびれる罠							
南の洞窟に行ったことはあるか？あそこに生えてる「ランプダケ」を採ってきてほしい。俺は次の準備をしておくから、頼んだよ。			南の洞窟に行ったことはあるか？あそこに生えてる「ランプダケ」を採ってきてほしい。俺は次の準備をしておくから、頼んだよ。			しびれる罠							
南の洞窟に行ったことはあるか？あそこに生えてる「ランプダケ」を採ってきてほしい。俺は次の準備をしておくから、頼んだよ。			南の洞窟に行ったことはあるか？あそこに生えてる「ランプダケ」を採ってきてほしい。俺は次の準備をしておくから、頼んだよ。			しびれる罠							
……これで間違いない。ちょうど、こっちの準備もできたぞ。こいつの胞子を、ギサールの野菜にまぶしてっと……。			……これで間違いない。ちょうど、こっちの準備もできたぞ。こいつの胞子を、ギサールの野菜にまぶしてっと……。			しびれる罠							
よし、ついでにもうひとつ頼まれてくれるか？ウィロームリバーの上流までひとっ走りして、この「胞子まみれの野菜」を置いてきてくれ。			よし、ついでにもうひとつ頼まれてくれるか？ウィロームリバーの上流までひとっ走りして、この「胞子まみれの野菜」を置いてきてくれ。			しびれる罠							
よし、ついでにもうひとつ頼まれてくれるか？ウィロームリバーの上流までひとっ走りして、この「胞子まみれの野菜」を置いてきてくれ。			よし、ついでにもうひとつ頼まれてくれるか？ウィロームリバーの上流までひとっ走りして、この「胞子まみれの野菜」を置いてきてくれ。			しびれる罠							
藁の上には胞子まみれの野菜が置かれている……。			藁の上には胞子まみれの野菜が置かれている……。			しびれる罠							
やってきてくれたか、ありがとうよ！ランプダケの胞子は、チョコボにはちょっとした毒でな。食べると体が痺れて、動きが鈍くなるんだ。			やってきてくれたか、ありがとうよ！ランプダケの胞子は、チョコボにはちょっとした毒でな。食べると体が痺れて、動きが鈍くなるんだ。			しびれる罠							
これなら傷つけずに捕まえられるだろ？落とし穴は失敗に終わったが、今度こそ成功させてやるぜ！			これなら傷つけずに捕まえられるだろ？落とし穴は失敗に終わったが、今度こそ成功させてやるぜ！			しびれる罠							
テイルフェザーのルーパルは、新たな相方候補に心あたりがあるようだ。			テイルフェザーのルーパルは、新たな相方候補に心あたりがあるようだ。			最凶の相方候補							
キ・ヤンターは、新たな相方にあいさつに向かった。ふたりを見守るため、高地ドラヴァニアのテイルフェザーにいる「ボリコワン」と話そう。			キ・ヤンターは、新たな相方にあいさつに向かった。ふたりを見守るため、高地ドラヴァニアのテイルフェザーにいる「ボリコワン」と話そう。			最凶の相方候補							
ボリコワンと話し、さっそく狩りに出ることとなった。テイルフェザーの北西のチョコボの森にいる、「キ・ヤンター」と合流しよう。			ボリコワンと話し、さっそく狩りに出ることとなった。テイルフェザーの北西のチョコボの森にいる、「キ・ヤンター」と合流しよう。			最凶の相方候補							
キ・ヤンターと話したところ、待ち合わせたボリコワンがまだ現れていないようだ。近くにいるはずの「ボリコワン」を探してあげよう。			キ・ヤンターと話したところ、待ち合わせたボリコワンがまだ現れていないようだ。近くにいるはずの「ボリコワン」を探してあげよう。			最凶の相方候補							
ボリコワンを見つけたが、彼はすでに狩りを済ませていた。卵を守る親チョコボを、容赦なく殺してしまったようだ。テイルフェザーの北西の待ち合わせ場所に戻り、「キ・ヤンター」に報告しよう。			ボリコワンを見つけたが、彼はすでに狩りを済ませていた。卵を守る親チョコボを、容赦なく殺してしまったようだ。テイルフェザーの北西の待ち合わせ場所に戻り、「キ・ヤンター」に報告しよう。			最凶の相方候補							
キ・ヤンターに報告した。彼女は怒り心頭で、テイルフェザーに帰っていった。テイルフェザーで「ルーパル」に報告しよう。			キ・ヤンターに報告した。彼女は怒り心頭で、テイルフェザーに帰っていった。テイルフェザーで「ルーパル」に報告しよう。			最凶の相方候補							
ルーパルは、ボリコワンが抱卵中のチョコボを狩ったことを咎め、猟師たちの取り決めを破った彼を、テイルフェザーから追放してしまった。キ・ヤンターの相方探しは、またまた振り出しに戻ってしまったようだ。			ルーパルは、ボリコワンが抱卵中のチョコボを狩ったことを咎め、猟師たちの取り決めを破った彼を、テイルフェザーから追放してしまった。キ・ヤンターの相方探しは、またまた振り出しに戻ってしまったようだ。			最凶の相方候補							
ボリコワンと話す			ボリコワンと話す			最凶の相方候補							
キ・ヤンターと合流			キ・ヤンターと合流			最凶の相方候補							
ボリコワンを探す			ボリコワンを探す			最凶の相方候補							
キ・ヤンターに報告			キ・ヤンターに報告			最凶の相方候補							
ルーパルと話す			ルーパルと話す			最凶の相方候補							
あーあ、早く運命の相手が現れないかなぁ。			あーあ、早く運命の相手が現れないかなぁ。			最凶の相方候補							
ヤンターの相方候補の話だがな……。実はひとつだけ、心あたりがある。君たちがジゾルと出かけている間に、別の候補が現れたんだ。			ヤンターの相方候補の話だがな……。実はひとつだけ、心あたりがある。君たちがジゾルと出かけている間に、別の候補が現れたんだ。			最凶の相方候補							
「ボリコワン」という男が、相方を探してるそうでね。この森に来てから、まだ日は浅いが、相当な腕利きらしい。……納屋の方にいるから、ヤンター、会ってきたらどうだ？			「ボリコワン」という男が、相方を探してるそうでね。この森に来てから、まだ日は浅いが、相当な腕利きらしい。……納屋の方にいるから、ヤンター、会ってきたらどうだ？			最凶の相方候補							
やったー！新しい相方、いい人だといいな！さっそく、あいさつに行ってみよ～っと！			やったー！新しい相方、いい人だといいな！さっそく、あいさつに行ってみよ～っと！			最凶の相方候補							
さて、送り出してはみたものの……。なんとなく、嫌な予感がするんだよなぁ。冒険者さん……今回も、ヤンターを見守ってやってくれないか？			さて、送り出してはみたものの……。なんとなく、嫌な予感がするんだよなぁ。冒険者さん……今回も、ヤンターを見守ってやってくれないか？			最凶の相方候補							
ヤンターを見守ってやってくれないか？毎度すまないが、よろしく頼むな。			ヤンターを見守ってやってくれないか？毎度すまないが、よろしく頼むな。			最凶の相方候補							
なーんか、無愛想な男ねぇ。			なーんか、無愛想な男ねぇ。			最凶の相方候補							
……ん？　何だあんた？			……ん？　何だあんた？			最凶の相方候補							
あぁ、相方の話ね……。そういえば、そんな話をしたような気もするな。じゃあ、あんたが相方か？			あぁ、相方の話ね……。そういえば、そんな話をしたような気もするな。じゃあ、あんたが相方か？			最凶の相方候補							
違う、違う～！　相方は私！キ・ヤンターよ、よろしくねっ！			違う、違う～！　相方は私！キ・ヤンターよ、よろしくねっ！			最凶の相方候補							
こっちの姉ちゃんが、俺の相方？なんだか頼りねぇが……まぁ仕方ねぇ。さっさとチョコボを狩りに行こうぜ。			こっちの姉ちゃんが、俺の相方？なんだか頼りねぇが……まぁ仕方ねぇ。さっさとチョコボを狩りに行こうぜ。			最凶の相方候補							
北西のキャンプで、待ち合わせをしよう。さぁ～て、楽しい楽しいチョコボ狩りの時間だぜ！			北西のキャンプで、待ち合わせをしよう。さぁ～て、楽しい楽しいチョコボ狩りの時間だぜ！			最凶の相方候補							
自分だって駆け出しのくせに、失礼な男ね！フン、狩りでは負けないんだから！			自分だって駆け出しのくせに、失礼な男ね！フン、狩りでは負けないんだから！			最凶の相方候補							
……あいつ、ぜ～んぜん来ないんだけど！もし「ボリコワン」を見かけたら、教えてくれる？もう、どういうこと～！？			……あいつ、ぜ～んぜん来ないんだけど！もし「ボリコワン」を見かけたら、教えてくれる？もう、どういうこと～！？			最凶の相方候補							
もし「ボリコワン」を見かけたら、教えてくれる？もう、どういうこと～！？			もし「ボリコワン」を見かけたら、教えてくれる？もう、どういうこと～！？			最凶の相方候補							
……ん？　あぁ、あんたか。待ち合わせとか、ちっせーことは気にすんな。猟師たるもの、親の死よりも狩りの好機が優先ってな！			……ん？　あぁ、あんたか。待ち合わせとか、ちっせーことは気にすんな。猟師たるもの、親の死よりも狩りの好機が優先ってな！			最凶の相方候補							
ほら、見ろよこのチョコボ、俺が仕留めたんだ。待ち合わせ場所に向かう途中、偶然見つけてね！しかも……卵つきだ！			ほら、見ろよこのチョコボ、俺が仕留めたんだ。待ち合わせ場所に向かう途中、偶然見つけてね！しかも……卵つきだ！			最凶の相方候補							
ひと狩りで、チョコボ肉と卵が手に入るなんて運がいいぜ！姉ちゃんには、テイルフェザーに戻っておけと伝えてくれ！俺は、ひとりでこの卵と肉を持って帰るからな、ハハハッ！			ひと狩りで、チョコボ肉と卵が手に入るなんて運がいいぜ！姉ちゃんには、テイルフェザーに戻っておけと伝えてくれ！俺は、ひとりでこの卵と肉を持って帰るからな、ハハハッ！			最凶の相方候補							
姉ちゃんには、テイルフェザーに戻っておけと伝えてくれ！俺は、ひとりでこの卵と肉を持って帰るからな、ハハハッ！			姉ちゃんには、テイルフェザーに戻っておけと伝えてくれ！俺は、ひとりでこの卵と肉を持って帰るからな、ハハハッ！			最凶の相方候補							
あいつを見つけたって！？しかも、チョコボを殺してたぁ！？			あいつを見つけたって！？しかも、チョコボを殺してたぁ！？			最凶の相方候補							
卵もあったって……。それって、卵を温めてたチョコボを殺したんじゃないの？			卵もあったって……。それって、卵を温めてたチョコボを殺したんじゃないの？			最凶の相方候補							
……もし、そうなら大問題よ。教えてくれて、ありがとう。「ルーパル」のところへ戻りましょ……あいつの言うとおり、ね。			……もし、そうなら大問題よ。教えてくれて、ありがとう。「ルーパル」のところへ戻りましょ……あいつの言うとおり、ね。			最凶の相方候補							
卵を温めてるチョコボを殺すようなやつなんて、最低。			卵を温めてるチョコボを殺すようなやつなんて、最低。			最凶の相方候補							
おいおい、なんだよ……。血相変えちゃってさ。			おいおい、なんだよ……。血相変えちゃってさ。			最凶の相方候補							
冒険者さん、ありがとよ。……話は、ヤンターに聞いたぜ。			冒険者さん、ありがとよ。……話は、ヤンターに聞いたぜ。			最凶の相方候補							
ボリコワン！あんた、卵を温めてるチョコボを殺したね！？			ボリコワン！あんた、卵を温めてるチョコボを殺したね！？			最凶の相方候補							
ん～、どうかねぇ。俺は「卵の上に座ってた」だけだと思うけどな！			ん～、どうかねぇ。俺は「卵の上に座ってた」だけだと思うけどな！			最凶の相方候補							
そうか……。お前は、俺たちとは考え方が違うようだ。悪いが、テイルフェザーを離れて、好きに狩りをしてくれ。			そうか……。お前は、俺たちとは考え方が違うようだ。悪いが、テイルフェザーを離れて、好きに狩りをしてくれ。			最凶の相方候補							
……それって、出ていけってことかよ？卵を温めてるチョコボを殺っただけでか？好機と見れば獲物を狩る……それが猟師ってモンだろうが！			……それって、出ていけってことかよ？卵を温めてるチョコボを殺っただけでか？好機と見れば獲物を狩る……それが猟師ってモンだろうが！			最凶の相方候補							
ここの掟については、すでに説明したはずだ。消えろ……俺が、てめぇを狩る前にな！			ここの掟については、すでに説明したはずだ。消えろ……俺が、てめぇを狩る前にな！			最凶の相方候補							
チッ、クソ真面目野郎が……！こんなところ、俺の方から願い下げだ、腑抜けどもめ！！			チッ、クソ真面目野郎が……！こんなところ、俺の方から願い下げだ、腑抜けどもめ！！			最凶の相方候補							
……ふぅ、また相方探しは振り出しに戻ってしまったな。次は、三度目の正直と行きたいところだな。			……ふぅ、また相方探しは振り出しに戻ってしまったな。次は、三度目の正直と行きたいところだな。			最凶の相方候補							
テイルフェザーのキ・ヤンターは、ヒュードの相方になるための策を考えているようだ。			テイルフェザーのキ・ヤンターは、ヒュードの相方になるための策を考えているようだ。			絶対に死なない奴							
キ・ヤンターは、どうしてもヒュードと組みたいようだ。高地ドラヴァニアのテイルフェザーの北東で「キ・ヤンター」と合流しよう。			キ・ヤンターは、どうしてもヒュードと組みたいようだ。高地ドラヴァニアのテイルフェザーの北東で「キ・ヤンター」と合流しよう。			絶対に死なない奴							
キ・ヤンターと合流した。チョコボの森を北西の方角に進み、「キ・ヤンター」と再び合流しよう。			キ・ヤンターと合流した。チョコボの森を北西の方角に進み、「キ・ヤンター」と再び合流しよう。			絶対に死なない奴							
キ・ヤンターと再び合流した。チョコボの森を西の方角に進み、「キ・ヤンター」とさらに合流しよう。			キ・ヤンターと再び合流した。チョコボの森を西の方角に進み、「キ・ヤンター」とさらに合流しよう。			絶対に死なない奴							
キ・ヤンターとさらに合流した。チョコボの森を西の方角に進み、「キ・ヤンター」ともう一度合流しよう。			キ・ヤンターとさらに合流した。チョコボの森を西の方角に進み、「キ・ヤンター」ともう一度合流しよう。			絶対に死なない奴							
キ・ヤンターともう一度合流した。その場所で、ヒュードが置いたとおぼしきドラヴァニアリリーを発見した。「ドラヴァニアリリー」を調べてみよう。			キ・ヤンターともう一度合流した。その場所で、ヒュードが置いたとおぼしきドラヴァニアリリーを発見した。「ドラヴァニアリリー」を調べてみよう。			絶対に死なない奴							
ドラヴァニアリリーを調べていたところ、ヒュードが現れた。それは彼が、ここで死んだ、かつての相方に手向けたものだった。ヒュードが求める「絶対に死なない奴」になってみせる、と告げるキ・ヤンター。その固い決意に、ヒュードはついに、彼女の相方になることを承諾した。テイルフェザーに戻り、「ルーパル」に報告しよう。			ドラヴァニアリリーを調べていたところ、ヒュードが現れた。それは彼が、ここで死んだ、かつての相方に手向けたものだった。ヒュードが求める「絶対に死なない奴」になってみせる、と告げるキ・ヤンター。その固い決意に、ヒュードはついに、彼女の相方になることを承諾した。テイルフェザーに戻り、「ルーパル」に報告しよう。			絶対に死なない奴							
ルーパルに報告した。新たな相方の誕生は、以前の相方の死を悼んでばかりだったヒュードが、新たな一歩を踏み出すきっかけにもなったようだ。ふたつの懸案が一気に解決し、ルーパルは冒険者に感謝の言葉を告げるのだった。			ルーパルに報告した。新たな相方の誕生は、以前の相方の死を悼んでばかりだったヒュードが、新たな一歩を踏み出すきっかけにもなったようだ。ふたつの懸案が一気に解決し、ルーパルは冒険者に感謝の言葉を告げるのだった。			絶対に死なない奴							
キ・ヤンターと話す			キ・ヤンターと話す			絶対に死なない奴							
キ・ヤンターと再度話す			キ・ヤンターと再度話す			絶対に死なない奴							
キ・ヤンターとさらに話す			キ・ヤンターとさらに話す			絶対に死なない奴							
キ・ヤンターともう一度話す			キ・ヤンターともう一度話す			絶対に死なない奴							
ドラヴァニアリリーを調べる			ドラヴァニアリリーを調べる			絶対に死なない奴							
ルーパルに報告			ルーパルに報告			絶対に死なない奴							
うーん……やっぱり諦められない！私、ヒュードさんと組みたい！			うーん……やっぱり諦められない！私、ヒュードさんと組みたい！			絶対に死なない奴							
ヒュードさんを追いかけよう！流石にひとりで森の奥まで行くのは、ちょっと怖いけど、冒険者さんが一緒にいてくれれば大丈夫よ！			ヒュードさんを追いかけよう！流石にひとりで森の奥まで行くのは、ちょっと怖いけど、冒険者さんが一緒にいてくれれば大丈夫よ！			絶対に死なない奴							
ヒュードさんは北東の方角に向かったはず！さあ、逃がさないわよ～～～～！！			ヒュードさんは北東の方角に向かったはず！さあ、逃がさないわよ～～～～！！			絶対に死なない奴							
ヒュードさんが好きな花……摘まれたあとが増えてる。もしかして、ヒュードさんが……？			ヒュードさんが好きな花……摘まれたあとが増えてる。もしかして、ヒュードさんが……？			絶対に死なない奴							
……奥の方に行ってみましょ！			……奥の方に行ってみましょ！			絶対に死なない奴							
ドラヴァニアリリーの花びらが落ちてるわ……！このまま、さらに奥に進みましょ！			ドラヴァニアリリーの花びらが落ちてるわ……！このまま、さらに奥に進みましょ！			絶対に死なない奴							
クンクン……。このキャンプ……さっきまで、人がいたみたい。近づいてきた気がするわ、行きましょ！			クンクン……。このキャンプ……さっきまで、人がいたみたい。近づいてきた気がするわ、行きましょ！			絶対に死なない奴							
ドラヴァニアリリーの花が落ちてる……。でも、なんでここに花が落ちてるんだろう。花を調べてみましょ！			ドラヴァニアリリーの花が落ちてる……。でも、なんでここに花が落ちてるんだろう。花を調べてみましょ！			絶対に死なない奴							
この花、なんでここに落ちてるのかしら……？			この花、なんでここに落ちてるのかしら……？			絶対に死なない奴							
……！？お前、ここで何してるんだ？			……！？お前、ここで何してるんだ？			絶対に死なない奴							
その……ヒュードさんに、どーっしても組んでほしくて、それで、つい後を追っちゃって……。			その……ヒュードさんに、どーっしても組んでほしくて、それで、つい後を追っちゃって……。			絶対に死なない奴							
……俺に尾行を感づかせないとは、なかなかやるな。だが、前にも言ったとおり、お前と組む気はない！			……俺に尾行を感づかせないとは、なかなかやるな。だが、前にも言ったとおり、お前と組む気はない！			絶対に死なない奴							
ねぇねぇ、なんでそんなに頑なに組んでくれないの？			ねぇねぇ、なんでそんなに頑なに組んでくれないの？			絶対に死なない奴							
俺の元相方は、ここで死んだんだ……。狩りの途中、少し目を離した間にな。			俺の元相方は、ここで死んだんだ……。狩りの途中、少し目を離した間にな。			絶対に死なない奴							
もう、あんな絶望は味わいたくねぇ……。だから、次に組むなら「絶対死なない奴」と決めてんだ。お前みたいなひよっこには、務まらねぇ。			もう、あんな絶望は味わいたくねぇ……。だから、次に組むなら「絶対死なない奴」と決めてんだ。お前みたいなひよっこには、務まらねぇ。			絶対に死なない奴							
で、でも……。私、絶対死なないよ！　まだまだ成長するし！だから、一緒に狩りをしようよ！			で、でも……。私、絶対死なないよ！　まだまだ成長するし！だから、一緒に狩りをしようよ！			絶対に死なない奴							
口ではいくらでも言える……！			口ではいくらでも言える……！			絶対に死なない奴							
……その眼、本気かよ。俺もずいぶん頑固だが、お前も相当だな……。			……その眼、本気かよ。俺もずいぶん頑固だが、お前も相当だな……。			絶対に死なない奴							
お前みたいなひよっこ……俺が組んでやらねぇと、すぐに死んじまいそうだ。			お前みたいなひよっこ……俺が組んでやらねぇと、すぐに死んじまいそうだ。			絶対に死なない奴							
……言っとくが俺は厳しいからな、明日から覚悟しろよ！			……言っとくが俺は厳しいからな、明日から覚悟しろよ！			絶対に死なない奴							
えっ！？それって、つまり……！			えっ！？それって、つまり……！			絶対に死なない奴							
……わかったら、とっととテイルフェザーに帰るぞ！帰り道にいきなり、死ぬんじゃねぇぞ！！			……わかったら、とっととテイルフェザーに帰るぞ！帰り道にいきなり、死ぬんじゃねぇぞ！！			絶対に死なない奴							
お、冒険者さん。ヒュードのやつ、組んでくれそうかい？			お、冒険者さん。ヒュードのやつ、組んでくれそうかい？			絶対に死なない奴							
そうか、それはよかった！ようやくヤンターも、思う存分狩りができるな！ヒュードのやつも、ようやく前に進める！			そうか、それはよかった！ようやくヤンターも、思う存分狩りができるな！ヒュードのやつも、ようやく前に進める！			絶対に死なない奴							
あいつは、元相方が忘れられないみたいでね。いい腕をもっているのに、花を手向けてばかりだった……。ヒュードにはあのまま、腐ってほしくなかったんだ。			あいつは、元相方が忘れられないみたいでね。いい腕をもっているのに、花を手向けてばかりだった……。ヒュードにはあのまま、腐ってほしくなかったんだ。			絶対に死なない奴							
