ミューヌは冒険者に依頼人を紹介したいようだ。			ミューヌは冒険者に依頼人を紹介したいようだ。			タムタラの仄暗い底で							
ルーハンド甲軍曹が祈りを捧げていた墓は「エールグヘームル」という農夫のものだという。彼が足繁く墓を訪れるのは、サハギン族との戦いの意味やそれによる犠牲者を忘れないためであるらしい。			ルーハンド甲軍曹が祈りを捧げていた墓は「エールグヘームル」という農夫のものだという。彼が足繁く墓を訪れるのは、サハギン族との戦いの意味やそれによる犠牲者を忘れないためであるらしい。			エールグヘームルに捧ぐ							
ルーハンド甲軍曹と話す			ルーハンド甲軍曹と話す			エールグヘームルに捧ぐ							
エールグヘームルの墓にスプリングスターの花を使う			エールグヘームルの墓にスプリングスターの花を使う			エールグヘームルに捧ぐ							
ルーハンド甲軍曹と話す			ルーハンド甲軍曹と話す			エールグヘームルに捧ぐ							
まったく……ルーハンドの奴、兵器開発部の試作した新型砲弾の、試射をするって言っておいたのに……。			まったく……ルーハンドの奴、兵器開発部の試作した新型砲弾の、試射をするって言っておいたのに……。			エールグヘームルに捧ぐ							
どうせ、また墓参りでもしてるんだろう。……あいつは軍人にしては、ちと感傷的すぎるんだよなぁ。あんた、ルーハンドの奴を呼んできてもらえないか？			どうせ、また墓参りでもしてるんだろう。……あいつは軍人にしては、ちと感傷的すぎるんだよなぁ。あんた、ルーハンドの奴を呼んできてもらえないか？			エールグヘームルに捧ぐ							
大方、また「エールグヘームルの墓」にでも参ってるんだろう。この「スプリングスターの花」を渡して、墓に手向ければ、奴の気分も晴れるだろうよ。			大方、また「エールグヘームルの墓」にでも参ってるんだろう。この「スプリングスターの花」を渡して、墓に手向ければ、奴の気分も晴れるだろうよ。			エールグヘームルに捧ぐ							
……エールグヘームル……。英霊よ、安らかに眠りたまえ。			……エールグヘームル……。英霊よ、安らかに眠りたまえ。			エールグヘームルに捧ぐ							
これは……かぐわしい花だ、貴公も参りにきたのか。さぁ、遠慮することはない。その花を墓に手向けたまえ。			これは……かぐわしい花だ、貴公も参りにきたのか。さぁ、遠慮することはない。その花を墓に手向けたまえ。			エールグヘームルに捧ぐ							
エールグヘームルの墓に花を手向ける。			エールグヘームルの墓に花を手向ける。			エールグヘームルに捧ぐ							
この辺りには「ハーフストーン入植地」という集落があった。サハギン族の強襲を受けて全滅してしまったがな。しかし、仲間を逃がすため、鍬を手に戦った農夫がいた。			この辺りには「ハーフストーン入植地」という集落があった。サハギン族の強襲を受けて全滅してしまったがな。しかし、仲間を逃がすため、鍬を手に戦った農夫がいた。			エールグヘームルに捧ぐ							
それが「エールグヘームル」という男だ。以降、彼の墓はサハギン族との戦いで没した者の慰霊碑として、ここにこうして奉られている。			それが「エールグヘームル」という男だ。以降、彼の墓はサハギン族との戦いで没した者の慰霊碑として、ここにこうして奉られている。			エールグヘームルに捧ぐ							
我々「黒渦団」も、彼らの犠牲をけっして無駄にせず、これからも仇敵、サハギン族との戦いに立ち向かう所存だ。それを忘れないために、墓参りは欠かさないのだよ。			我々「黒渦団」も、彼らの犠牲をけっして無駄にせず、これからも仇敵、サハギン族との戦いに立ち向かう所存だ。それを忘れないために、墓参りは欠かさないのだよ。			エールグヘームルに捧ぐ							
北防波壁の黒渦団員ルーハンド甲軍曹は、冒険者に魔物の討伐を頼みたいようだ。			北防波壁の黒渦団員ルーハンド甲軍曹は、冒険者に魔物の討伐を頼みたいようだ。			祈りは退治の後で							
「エールグヘームルの墓」の周囲にキラーマンティスが繁殖してしまって困っているらしい。「キラーマンティス」を4匹討伐しよう。			「エールグヘームルの墓」の周囲にキラーマンティスが繁殖してしまって困っているらしい。「キラーマンティス」を4匹討伐しよう。			祈りは退治の後で							
キラーマンティスを討伐した。黒渦団員「ルーハンド甲軍曹」に報告しよう。			キラーマンティスを討伐した。黒渦団員「ルーハンド甲軍曹」に報告しよう。			祈りは退治の後で							
ルーハンド甲軍曹は、墓の周囲が静かになり満足したようだ。報酬を受け取りに「キャンプ・スカルバレー」の「ファルクブリダ中甲佐」に報告しよう。			ルーハンド甲軍曹は、墓の周囲が静かになり満足したようだ。報酬を受け取りに「キャンプ・スカルバレー」の「ファルクブリダ中甲佐」に報告しよう。			祈りは退治の後で							
ファルクブリダ中甲佐に報告した。上官である彼女も冒険者の仕事に満足しているようだ。			ファルクブリダ中甲佐に報告した。上官である彼女も冒険者の仕事に満足しているようだ。			祈りは退治の後で							
キラーマンティスを討伐			キラーマンティスを討伐			祈りは退治の後で							
ルーハンド甲軍曹に報告			ルーハンド甲軍曹に報告			祈りは退治の後で							
ファルクブリダ中甲佐に報告			ファルクブリダ中甲佐に報告			祈りは退治の後で							
貴公は冒険者なのであろう？墓参りのついでに、仕事を頼まれてくれないか？			貴公は冒険者なのであろう？墓参りのついでに、仕事を頼まれてくれないか？			祈りは退治の後で							
墓の周辺で、マンティスの卵が孵化してしまったようでな。周辺の「キラーマンティス」を狩ってきてほしいのだ。そうだな、4匹ほどでいいだろう。よろしく頼む。			墓の周辺で、マンティスの卵が孵化してしまったようでな。周辺の「キラーマンティス」を狩ってきてほしいのだ。そうだな、4匹ほどでいいだろう。よろしく頼む。			祈りは退治の後で							
「キラーマンティス」を4匹討伐			「キラーマンティス」を4匹討伐			祈りは退治の後で							
ご苦労だったな、冒険者。これで墓の下のエールグヘームルも安らかに眠れるだろう。			ご苦労だったな、冒険者。これで墓の下のエールグヘームルも安らかに眠れるだろう。			祈りは退治の後で							
さて、そろそろ任務に戻らねばならないな。……そうか、たしか新型砲弾の試射をする予定だった。急いでアリルーフのもとへ向かわねば。			さて、そろそろ任務に戻らねばならないな。……そうか、たしか新型砲弾の試射をする予定だった。急いでアリルーフのもとへ向かわねば。			祈りは退治の後で							
この報酬はスカルバレーの隊長である、ファルクブリダ中甲佐殿から受け取ってくれたまえ。では達者でな、冒険者よ。			この報酬はスカルバレーの隊長である、ファルクブリダ中甲佐殿から受け取ってくれたまえ。では達者でな、冒険者よ。			祈りは退治の後で							
冒険者か、どうかしたのか？……「キラーマンティス」を駆除しただと？			冒険者か、どうかしたのか？……「キラーマンティス」を駆除しただと？			祈りは退治の後で							
そうか、ご苦労だったな。部下に代わって上官である私が労おう。			そうか、ご苦労だったな。部下に代わって上官である私が労おう。			祈りは退治の後で							
キャンプ・スカルバレーのファルクブリダ中甲佐は、冒険者に報告したい案件があるようだ。			キャンプ・スカルバレーのファルクブリダ中甲佐は、冒険者に報告したい案件があるようだ。			重要任務はお役御免							
イエロージャケットのレイナーから依頼されたサスタシャ浸食洞の調査は、冒険者に委ねられた。黒渦団はこの件から手を引くらしい。「サスタシャ浸食洞」の入口にいる黒渦団員「カトグイストル准甲士」に声をかけ、任務完了を告げよう。			イエロージャケットのレイナーから依頼されたサスタシャ浸食洞の調査は、冒険者に委ねられた。黒渦団はこの件から手を引くらしい。「サスタシャ浸食洞」の入口にいる黒渦団員「カトグイストル准甲士」に声をかけ、任務完了を告げよう。			重要任務はお役御免							
カトグイストル准甲士と話すことができた。彼の様子から察するに「サスタシャ浸食洞」には、大変な危険が潜んでいるようだ……。			カトグイストル准甲士と話すことができた。彼の様子から察するに「サスタシャ浸食洞」には、大変な危険が潜んでいるようだ……。			重要任務はお役御免							
カトグイストル准甲士と話す			カトグイストル准甲士と話す			重要任務はお役御免							
色々と世話になったな、冒険者。リムサ・ロミンサの黒渦団軍令部から報告があってな。			色々と世話になったな、冒険者。リムサ・ロミンサの黒渦団軍令部から報告があってな。			重要任務はお役御免							
イエロージャケットのレイナー司令からの伝令だ。内容は「サスタシャ浸食洞」の調査について。司令は調査に腕利きの冒険者を雇ったらしい。			イエロージャケットのレイナー司令からの伝令だ。内容は「サスタシャ浸食洞」の調査について。司令は調査に腕利きの冒険者を雇ったらしい。			重要任務はお役御免							
おや……もしかして、その冒険者というのが貴公なのか？ははははは！　そういうことか！いや、縁というものは奇なものだ。			おや……もしかして、その冒険者というのが貴公なのか？ははははは！　そういうことか！いや、縁というものは奇なものだ。			重要任務はお役御免							
実は我々も、この調査に人員を割いていたのだ。とはいえ、我々の本分はあくまで砦の防衛。この件からは手を引き、あとは貴公に任せるとしよう。			実は我々も、この調査に人員を割いていたのだ。とはいえ、我々の本分はあくまで砦の防衛。この件からは手を引き、あとは貴公に任せるとしよう。			重要任務はお役御免							
サスタシャに赴く道中に、私の派遣した者がいるはずだ。彼……「カトグイストル准甲士」に声をかけ、任務完了を告げてくれるとありがたい。よろしく頼む。			サスタシャに赴く道中に、私の派遣した者がいるはずだ。彼……「カトグイストル准甲士」に声をかけ、任務完了を告げてくれるとありがたい。よろしく頼む。			重要任務はお役御免							
お前「サスタシャ浸食洞」に行くのか？やめとけやめとけ！　お前弱そうだし、絶対死ぬぜ？だって俺、死にそうになったもん。			お前「サスタシャ浸食洞」に行くのか？やめとけやめとけ！　お前弱そうだし、絶対死ぬぜ？だって俺、死にそうになったもん。			重要任務はお役御免							
今はここで作戦会議よ！　ひとり作戦会議！俺は「黒渦団」のエリートで期待の新人だからして～。ホンキ出せば余裕なんだけどね～。			今はここで作戦会議よ！　ひとり作戦会議！俺は「黒渦団」のエリートで期待の新人だからして～。ホンキ出せば余裕なんだけどね～。			重要任務はお役御免							
……キャンプ・スカルバレーに帰れって？ファルクブリダ中甲佐が言ってたの？任務完了ってことは、お役御免ってこと……？			……キャンプ・スカルバレーに帰れって？ファルクブリダ中甲佐が言ってたの？任務完了ってことは、お役御免ってこと……？			重要任務はお役御免							
あ、あははは、そうかあ～。わかった、後はまかせたわ！いや～残念だなぁ、俺のホンキ見せたかったなぁ……。			あ、あははは、そうかあ～。わかった、後はまかせたわ！いや～残念だなぁ、俺のホンキ見せたかったなぁ……。			重要任務はお役御免							
