パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
ハーストミルの商人を救助			ハーストミルの商人を救助			死に鎖された森							
カヌ・エ・センナに鎖死病の特効薬を渡す			カヌ・エ・センナに鎖死病の特効薬を渡す			死に鎖された森							
双蛇党：統合司令部の白蛇の守人と話す			双蛇党：統合司令部の白蛇の守人と話す			死に鎖された森							
では、手短だが説明させてもらいたい。現在、黒衣森にも偽神獣が出現しており、民の命が脅かされる非常事態となっている。			では、手短だが説明させてもらいたい。現在、黒衣森にも偽神獣が出現しており、民の命が脅かされる非常事態となっている。			死に鎖された森							
厄介なのは、その偽神獣が特殊な能力を有している点だ。対抗策を練ろうにも、調査のために接近することも容易ではない。			厄介なのは、その偽神獣が特殊な能力を有している点だ。対抗策を練ろうにも、調査のために接近することも容易ではない。			死に鎖された森							
そのため、討伐の協力者は、同行者の護衛に長けていることを必須条件と考えているのだが……			そのため、討伐の協力者は、同行者の護衛に長けていることを必須条件と考えているのだが……			死に鎖された森							
貴公ほどの手練れであれば、その心配はあるまい。どうか、黒衣森の偽神獣討伐に協力してもらえないだろうか？			貴公ほどの手練れであれば、その心配はあるまい。どうか、黒衣森の偽神獣討伐に協力してもらえないだろうか？			死に鎖された森							
何と言う？			何と言う？			死に鎖された森							
任せてくれ			任せてくれ			死に鎖された森							
仕方ないな……			仕方ないな……			死に鎖された森							
引き受けてくれるか！それでは、グリダニアの双蛇党：統合司令部にいる、「偽神獣担当官」に会い、取り次いでもらってほしい。			引き受けてくれるか！それでは、グリダニアの双蛇党：統合司令部にいる、「偽神獣担当官」に会い、取り次いでもらってほしい。			死に鎖された森							
グリダニアの双蛇党：統合司令部にいる、「偽神獣担当官」に取り次いでもらってくれ。以降はそちらの指示に従って行動してほしい。			グリダニアの双蛇党：統合司令部にいる、「偽神獣担当官」に取り次いでもらってくれ。以降はそちらの指示に従って行動してほしい。			死に鎖された森							
これは英雄殿……！ラザハンに派遣した武官から話は伺っております。偽神獣討伐の件ですね。			これは英雄殿……！ラザハンに派遣した武官から話は伺っております。偽神獣討伐の件ですね。			死に鎖された森							
それでは、偽神獣対策の指揮を執っておられる、カヌ・エ様をお呼びしますので、少々お待ちください！			それでは、偽神獣対策の指揮を執っておられる、カヌ・エ様をお呼びしますので、少々お待ちください！			死に鎖された森							
お待たせいたしました。この度は、偽神獣討伐に力添えしていただけるとのこと。森都の民を代表して、お礼を申し上げます。			お待たせいたしました。この度は、偽神獣討伐に力添えしていただけるとのこと。森都の民を代表して、お礼を申し上げます。			死に鎖された森							
さっそくですが本題に……黒衣森に現れた偽神獣について説明させてください。			さっそくですが本題に……黒衣森に現れた偽神獣について説明させてください。			死に鎖された森							
サベネア島での異変からほどなく、黒衣森でも、人が獣へと転じる現象が目撃されました。目撃者の証言では、見知らぬ男性であったそうです。			サベネア島での異変からほどなく、黒衣森でも、人が獣へと転じる現象が目撃されました。目撃者の証言では、見知らぬ男性であったそうです。			死に鎖された森							
即日、双蛇党はこの変異体を偽神獣と認定……。身体に鎖や綱のように見える紋様があったとの証言に従い、「グレイプニル」と名付け、対策に乗り出すことになりました。			即日、双蛇党はこの変異体を偽神獣と認定……。身体に鎖や綱のように見える紋様があったとの証言に従い、「グレイプニル」と名付け、対策に乗り出すことになりました。			死に鎖された森							
以後、グレイプニルは、森の各地に出没しては、あらゆる命を蹂躙しては姿を消す、という行動を繰り返しています。			以後、グレイプニルは、森の各地に出没しては、あらゆる命を蹂躙しては姿を消す、という行動を繰り返しています。			死に鎖された森							
かかる事態に森の精霊たちも、異物の排除を求める、悲鳴のような声を発しているのですが、そう簡単に手を出せない事情がありまして……。			かかる事態に森の精霊たちも、異物の排除を求める、悲鳴のような声を発しているのですが、そう簡単に手を出せない事情がありまして……。			死に鎖された森							
これまでの犠牲者を検分した結果、グレイプニルは、その爪や牙、そして角に、非常に強力な毒気を有しているらしいと判明しているのです。			これまでの犠牲者を検分した結果、グレイプニルは、その爪や牙、そして角に、非常に強力な毒気を有しているらしいと判明しているのです。			死に鎖された森							
ヤツの攻撃を受けると、たとえかすり傷程度であっても、傷口より毒気が入り込み、死に至ってしまうのです……。			ヤツの攻撃を受けると、たとえかすり傷程度であっても、傷口より毒気が入り込み、死に至ってしまうのです……。			死に鎖された森							
鎖死病(さしびょう)という病気を、ご存知でしょうか？実は、グレイプニルの毒気の影響は、その鎖死病の症状と酷似しているのです。			鎖死病(さしびょう)という病気を、ご存知でしょうか？実は、グレイプニルの毒気の影響は、その鎖死病の症状と酷似しているのです。			死に鎖された森							
鎖死病は、黒衣森特有の風土病で、発症すると身体に鎖状の紋様が浮かび、激痛を引き起こすという特徴があります。			鎖死病は、黒衣森特有の風土病で、発症すると身体に鎖状の紋様が浮かび、激痛を引き起こすという特徴があります。			死に鎖された森							
私はグリダニアの生まれではないため、鎖死病については、恥ずかしながら、聞きかじりの知識しか持っておりません。			私はグリダニアの生まれではないため、鎖死病については、恥ずかしながら、聞きかじりの知識しか持っておりません。			死に鎖された森							
ヒューラン族が感染した場合、確実に死に至ると聞きましたが、本当なのでしょうか？			ヒューラン族が感染した場合、確実に死に至ると聞きましたが、本当なのでしょうか？			死に鎖された森							
はい、ヒューラン族にとってはまさに致命的な病です。とはいえ、トモシビタケを用いた特効薬が開発されたことで、近年では大きな脅威とはみなされていませんでした。			はい、ヒューラン族にとってはまさに致命的な病です。とはいえ、トモシビタケを用いた特効薬が開発されたことで、近年では大きな脅威とはみなされていませんでした。			死に鎖された森							
ところが同じ症状をもたらす、グレイプニルが現れたことで、この忌まわしき記憶が呼び起こされ、不安が広がっております。そこに関連性があるのかは、未だわかっていないのですが……。			ところが同じ症状をもたらす、グレイプニルが現れたことで、この忌まわしき記憶が呼び起こされ、不安が広がっております。そこに関連性があるのかは、未だわかっていないのですが……。			死に鎖された森							
現状では、幻術や白魔法でも、毒気の浄化は不可能……。対抗策が見つからない限り、たとえグレイプニルと遭遇しても、むやみに攻撃を仕掛けるわけにもまいりません。			現状では、幻術や白魔法でも、毒気の浄化は不可能……。対抗策が見つからない限り、たとえグレイプニルと遭遇しても、むやみに攻撃を仕掛けるわけにもまいりません。			死に鎖された森							
失礼します、緊急通信です。			失礼します、緊急通信です。			死に鎖された森							
なんだって！？			なんだって！？			死に鎖された森							
先ほど、北部森林にて偽神獣による襲撃が発生。鬼哭隊によれば、グレイプニルはすでに姿を消したそうですが、負傷者がフォールゴウドに運び込まれたとのことです！			先ほど、北部森林にて偽神獣による襲撃が発生。鬼哭隊によれば、グレイプニルはすでに姿を消したそうですが、負傷者がフォールゴウドに運び込まれたとのことです！			死に鎖された森							
それはいけません！彼の地にいるのは、たしか「エーセルメール牙曹長」でしたね。すぐさまフォールゴウドに向かい、詳しい状況を伺いましょう。			それはいけません！彼の地にいるのは、たしか「エーセルメール牙曹長」でしたね。すぐさまフォールゴウドに向かい、詳しい状況を伺いましょう。			死に鎖された森							
グレイプニルは、まさに神出鬼没。黒衣森のどこに現れるか予測不能なのです……。			グレイプニルは、まさに神出鬼没。黒衣森のどこに現れるか予測不能なのです……。			死に鎖された森							
負傷者が出たという噂は、まだ集落中にまでは、広まっていないみたいですね。			負傷者が出たという噂は、まだ集落中にまでは、広まっていないみたいですね。			死に鎖された森							
おお、カヌ・エ様！お出でになると聞いて、お待ちしておりました。			おお、カヌ・エ様！お出でになると聞いて、お待ちしておりました。			死に鎖された森							
グレイプニルによる負傷者はどちらでしょうか？			グレイプニルによる負傷者はどちらでしょうか？			死に鎖された森							
ひとまず、浮かぶコルク亭の軒下を借りて収容し、フォールゴウドの道士が治療を試みております。カヌ・エ様、どうかお力添えを……！			ひとまず、浮かぶコルク亭の軒下を借りて収容し、フォールゴウドの道士が治療を試みております。カヌ・エ様、どうかお力添えを……！			死に鎖された森							
わかりました。			わかりました。			死に鎖された森							
急ぎ「フォールゴウドの道士」に合流し、できるだけのことをしてみましょう。おふたりも同行をお願いします。			急ぎ「フォールゴウドの道士」に合流し、できるだけのことをしてみましょう。おふたりも同行をお願いします。			死に鎖された森							
負傷者は浮かぶコルク亭の軒下で、「フォールゴウドの道士」が治療中だ。			負傷者は浮かぶコルク亭の軒下で、「フォールゴウドの道士」が治療中だ。			死に鎖された森							
まだ、持ちこたえてくれているようですね。なんとか治療してみましょう。			まだ、持ちこたえてくれているようですね。なんとか治療してみましょう。			死に鎖された森							
グレイプニルに襲われ、生き延びてなお、これほどの苦しみを受け続けるとは……やりきれません。			グレイプニルに襲われ、生き延びてなお、これほどの苦しみを受け続けるとは……やりきれません。			死に鎖された森							
う、ああ……！			う、ああ……！			死に鎖された森							
この男性が、グレイプニルに襲われた被害者です。考えうる限り、すべての治癒魔法を試みたのですが……。			この男性が、グレイプニルに襲われた被害者です。考えうる限り、すべての治癒魔法を試みたのですが……。			死に鎖された森							
裂傷は癒えたものの、毒気を浄化しきれず、患者の容態も悪くなる一方なのです。			裂傷は癒えたものの、毒気を浄化しきれず、患者の容態も悪くなる一方なのです。			死に鎖された森							
また、手当てをした際、一度服を脱がせてみたところ、身体に鎖状の紋様が出るという、鎖死病と同じ症状が見られました。この者はヒューラン族ですから、鎖死病だとすると……。			また、手当てをした際、一度服を脱がせてみたところ、身体に鎖状の紋様が出るという、鎖死病と同じ症状が見られました。この者はヒューラン族ですから、鎖死病だとすると……。			死に鎖された森							
死に至る恐れがあるということですね……。			死に至る恐れがあるということですね……。			死に鎖された森							
ここからは、私が治療にあたります。あなたはしばし休息を。			ここからは、私が治療にあたります。あなたはしばし休息を。			死に鎖された森							
(-？？？？-)チゴーだ！チゴーの大群が出たんだぁ！！			(-？？？？-)チゴーだ！チゴーの大群が出たんだぁ！！			死に鎖された森							
今の声は、「東の門」の方からです！			今の声は、「東の門」の方からです！			死に鎖された森							
チゴーは、鎖死病の毒を媒介することで知られています。人々が毒に対して敏感になっている現状、チゴーの出現は、非常によろしくありません……！			チゴーは、鎖死病の毒を媒介することで知られています。人々が毒に対して敏感になっている現状、チゴーの出現は、非常によろしくありません……！			死に鎖された森							
負傷者の治療は私にお任せを……おふたりは声の主を探し、チゴーの撃退を優先してください！			負傷者の治療は私にお任せを……おふたりは声の主を探し、チゴーの撃退を優先してください！			死に鎖された森							
チゴーは、鎖死病の毒を媒介することで知られています。人々が毒に対して敏感になっている現状、チゴーの出現は、非常によろしくありません……！			チゴーは、鎖死病の毒を媒介することで知られています。人々が毒に対して敏感になっている現状、チゴーの出現は、非常によろしくありません……！			死に鎖された森							
負傷者の治療は私にお任せを……おふたりは声の主を探し、チゴーの撃退を優先してください！			負傷者の治療は私にお任せを……おふたりは声の主を探し、チゴーの撃退を優先してください！			死に鎖された森							
先程、悲鳴をあげたのは彼でしょうか？詳しい話を聞いてみましょう。			先程、悲鳴をあげたのは彼でしょうか？詳しい話を聞いてみましょう。			死に鎖された森							
チゴーの大群だと……！？			チゴーの大群だと……！？			死に鎖された森							
ハーストミルへ向かう途中、アルダースプリングスで、チゴーの大群を見かけたんだ！			ハーストミルへ向かう途中、アルダースプリングスで、チゴーの大群を見かけたんだ！			死に鎖された森							
チゴーって、鎖死病を媒介するんだろ？妙な魔物が似たような被害を出すって話だし、近寄らねぇで、すぐに引き返してきたよ。			チゴーって、鎖死病を媒介するんだろ？妙な魔物が似たような被害を出すって話だし、近寄らねぇで、すぐに引き返してきたよ。			死に鎖された森							
待て、お前、チゴーに刺されてないだろうな？もし刺されていたら、すぐに治療をしなければ。			待て、お前、チゴーに刺されてないだろうな？もし刺されていたら、すぐに治療をしなければ。			死に鎖された森							
おどかさねぇでくれよ、俺は大丈夫だ！それより、早くチゴーをなんとかしねぇと、通りがかったやつが危ないだろう！			おどかさねぇでくれよ、俺は大丈夫だ！それより、早くチゴーをなんとかしねぇと、通りがかったやつが危ないだろう！			死に鎖された森							
うぅむ、だが大群というからには、我らだけで処理しきれるかどうか……。それにここの護りも固めなければならん。			うぅむ、だが大群というからには、我らだけで処理しきれるかどうか……。それにここの護りも固めなければならん。			死に鎖された森							
今から鬼哭隊に出動を要請していては、手遅れになる可能性があります。我々で手分けをして、殲滅にあたりましょう。			今から鬼哭隊に出動を要請していては、手遅れになる可能性があります。我々で手分けをして、殲滅にあたりましょう。			死に鎖された森							
すまない、助かる！「アルダースプリングス」はここから東だ。すぐに向かい、チゴーを殲滅してきてくれ！			すまない、助かる！「アルダースプリングス」はここから東だ。すぐに向かい、チゴーを殲滅してきてくれ！			死に鎖された森							
「アルダースプリングス」はここから東だ。すぐに向かい、チゴーを殲滅してきてくれ！万一、襲われている人がいたら、救助してほしい。			「アルダースプリングス」はここから東だ。すぐに向かい、チゴーを殲滅してきてくれ！万一、襲われている人がいたら、救助してほしい。			死に鎖された森							
あんな大群、初めて見たよ！			あんな大群、初めて見たよ！			死に鎖された森							
チゴーの大群ともなれば、すぐに見つかるはず。1匹たりとも討ち漏らさないようにしなければ！			チゴーの大群ともなれば、すぐに見つかるはず。1匹たりとも討ち漏らさないようにしなければ！			死に鎖された森							
どうやら片付いたようですね。念のため、私は周辺を偵察しつつ、フォールゴウドに戻ります。			どうやら片付いたようですね。念のため、私は周辺を偵察しつつ、フォールゴウドに戻ります。			死に鎖された森							
ありがとう、助かった！あれほどのチゴーの大群に出くわしたのは初めてだ。特効薬を持っているとはいえ、生きた心地がしなかったよ……。			ありがとう、助かった！あれほどのチゴーの大群に出くわしたのは初めてだ。特効薬を持っているとはいえ、生きた心地がしなかったよ……。			死に鎖された森							
フォールゴウドに、激痛に苦しんでる人がいるって？ああ、それを耳にしたんで、鎖死病の特効薬が効けばと思って、届けにいくところだったんだ。			フォールゴウドに、激痛に苦しんでる人がいるって？ああ、それを耳にしたんで、鎖死病の特効薬が効けばと思って、届けにいくところだったんだ。			死に鎖された森							
そうだ、一刻を争う事態だろうから、代わりにあんたが「浮かぶコルク亭」に届けてくれないかな？			そうだ、一刻を争う事態だろうから、代わりにあんたが「浮かぶコルク亭」に届けてくれないかな？			死に鎖された森							
ありがとう、頼んだよ。……それで治ってくれればいいんだが。私はハーストミルに戻るよ。			ありがとう、頼んだよ。……それで治ってくれればいいんだが。私はハーストミルに戻るよ。			死に鎖された森							
さっきの男だが、チゴーに刺された形跡はなかった。心配しなくて大丈夫だから、安心してくれ。			さっきの男だが、チゴーに刺された形跡はなかった。心配しなくて大丈夫だから、安心してくれ。			死に鎖された森							
まさか、チゴーに怯えることになるとは……。毒気の恐ろしさを知れば、無理もありませんね。			まさか、チゴーに怯えることになるとは……。毒気の恐ろしさを知れば、無理もありませんね。			死に鎖された森							
ハーストミルの商人から、鎖死病の特効薬を？それはありがたい、すぐにこの者に投薬を！			ハーストミルの商人から、鎖死病の特効薬を？それはありがたい、すぐにこの者に投薬を！			死に鎖された森							
チゴーの撃退、ありがとうございました。しかし、負傷者の容態は芳しくありません。症状の進行を抑えるのが精いっぱいです。			チゴーの撃退、ありがとうございました。しかし、負傷者の容態は芳しくありません。症状の進行を抑えるのが精いっぱいです。			死に鎖された森							
これは……鎖死病の特効薬？確かに症状は酷似しているので、試す価値はあります。さっそく、投薬してみましょう。			これは……鎖死病の特効薬？確かに症状は酷似しているので、試す価値はあります。さっそく、投薬してみましょう。			死に鎖された森							
薬の効果は、ほどなく出るはずです。			薬の効果は、ほどなく出るはずです。			死に鎖された森							
あ、あぁ、痛い……くる、し……！			あ、あぁ、痛い……くる、し……！			死に鎖された森							
もう少しの辛抱です！薬が効いてくれば、すぐに痛みも……！			もう少しの辛抱です！薬が効いてくれば、すぐに痛みも……！			死に鎖された森							
……なんにも、かわらない……！い、いたい……ハァハァ……。たす、けて……。			……なんにも、かわらない……！い、いたい……ハァハァ……。たす、けて……。			死に鎖された森							
あ……ぁ……。			あ……ぁ……。			死に鎖された森							
男の呻き声がやんだ。どうやら、息を引き取ったようだ……。			男の呻き声がやんだ。どうやら、息を引き取ったようだ……。			死に鎖された森							
……残念です。こんな形で、苦しみを終わらせることになろうとは。			……残念です。こんな形で、苦しみを終わらせることになろうとは。			死に鎖された森							
薬を与えるのが、遅かったのでしょうか？			薬を与えるのが、遅かったのでしょうか？			死に鎖された森							
いえ……元より、この薬では効果がなかったのでしょう。			いえ……元より、この薬では効果がなかったのでしょう。			死に鎖された森							
これではっきりしました。グレイプニルの毒気は、鎖死病に酷似しているものの、その実態はまったく異なる脅威……そう断定していいでしょう。			これではっきりしました。グレイプニルの毒気は、鎖死病に酷似しているものの、その実態はまったく異なる脅威……そう断定していいでしょう。			死に鎖された森							
そして毒気が強力すぎるため、チゴーなども、媒介することなく息絶えることでしょう。			そして毒気が強力すぎるため、チゴーなども、媒介することなく息絶えることでしょう。			死に鎖された森							
それでは、チゴーを恐れる必要はないということですね。誠に遺憾ながら、それがわかっただけでも、収穫です。尊い犠牲が、無駄にならずに済みました。			それでは、チゴーを恐れる必要はないということですね。誠に遺憾ながら、それがわかっただけでも、収穫です。尊い犠牲が、無駄にならずに済みました。			死に鎖された森							
神経質になり過ぎないよう、民に報せて安心させましょう。絶望は、人を獣へと転じさせると聞きます。			神経質になり過ぎないよう、民に報せて安心させましょう。絶望は、人を獣へと転じさせると聞きます。			死に鎖された森							
幸い我が国では、偽神獣以外、獣化した者は出ておりません。このまま抑え込むためには、皆が冷静でいることが大切なのです。			幸い我が国では、偽神獣以外、獣化した者は出ておりません。このまま抑え込むためには、皆が冷静でいることが大切なのです。			死に鎖された森							
この者を埋葬した後、今の話を広めるようにいたします。			この者を埋葬した後、今の話を広めるようにいたします。			死に鎖された森							
被害を食い止めるため、グレイプニルの行方を追わねば。新たな情報が寄せられているかもしれません。一旦、「双蛇党：統合司令部」まで戻りましょう。			被害を食い止めるため、グレイプニルの行方を追わねば。新たな情報が寄せられているかもしれません。一旦、「双蛇党：統合司令部」まで戻りましょう。			死に鎖された森							
この者を埋葬した後、今の話を広めるようにいたします。こうした尊い犠牲を無駄にせず、少しずつ希望が生まれてくれればよいのですが……。			この者を埋葬した後、今の話を広めるようにいたします。こうした尊い犠牲を無駄にせず、少しずつ希望が生まれてくれればよいのですが……。			死に鎖された森							
新たに寄せられた偽神獣の目撃情報が複数あるようで、カヌ・エ様は、すぐさまそちらの聴取に向かわれました。民が混乱していて、情報が錯綜しているのです。			新たに寄せられた偽神獣の目撃情報が複数あるようで、カヌ・エ様は、すぐさまそちらの聴取に向かわれました。民が混乱していて、情報が錯綜しているのです。			死に鎖された森							
慎重に情報を精査しますので、次の作戦の方針が固まるまで、今しばらく待機をお願いいたします。			慎重に情報を精査しますので、次の作戦の方針が固まるまで、今しばらく待機をお願いいたします。			死に鎖された森							
流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
アラミゴの駐在武官と話した。アラミゴに出現した偽神獣の件で、癒し手として協力を求められた。詳しい話を聞くため、ギラバニア湖畔地帯のアラミガン・クォーターで「偽神獣対策部隊の闘士」と話そう。			アラミゴの駐在武官と話した。アラミゴに出現した偽神獣の件で、癒し手として協力を求められた。詳しい話を聞くため、ギラバニア湖畔地帯のアラミガン・クォーターで「偽神獣対策部隊の闘士」と話そう。			自由が生みしアラミゴの獣							
偽神獣対策部隊の闘士と話した。ラウバーンの話では、偽神獣はアラミガン・クォーターに出現したあと、姿を消してしまったようだ。足取りを掴むためにも、獣に転じた人たちが、何に絶望していたかを探ることになった。まずは、獣化が報告された現場を確認するため、ギラバニア山岳地帯のアラガーナ付近で「ラウバーン」と話そう。			偽神獣対策部隊の闘士と話した。ラウバーンの話では、偽神獣はアラミガン・クォーターに出現したあと、姿を消してしまったようだ。足取りを掴むためにも、獣に転じた人たちが、何に絶望していたかを探ることになった。まずは、獣化が報告された現場を確認するため、ギラバニア山岳地帯のアラガーナ付近で「ラウバーン」と話そう。			自由が生みしアラミゴの獣							
獣との戦闘があった現場に到着すると、解放軍の闘士たちが傷を負っていた。アラガーナ付近で、「負傷した闘士」たちを癒そう。			獣との戦闘があった現場に到着すると、解放軍の闘士たちが傷を負っていた。アラガーナ付近で、「負傷した闘士」たちを癒そう。			自由が生みしアラミゴの獣							
負傷者を治療した。アラガーナに向かい、「ラウバーン」と話そう。			負傷者を治療した。アラガーナに向かい、「ラウバーン」と話そう。			自由が生みしアラミゴの獣							
アラガーナでラウバーンと話した。ラガンフリッドとアレンヴァルドは、「白羽根の会」という名のボランティア団体で、アラミゴ系帝国人たちの社会復帰を支援しているようだ。そんな彼らから、獣化した人物が髑髏連隊の遺族だったことを聞いた。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			アラガーナでラウバーンと話した。ラガンフリッドとアレンヴァルドは、「白羽根の会」という名のボランティア団体で、アラミゴ系帝国人たちの社会復帰を支援しているようだ。そんな彼らから、獣化した人物が髑髏連隊の遺族だったことを聞いた。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			自由が生みしアラミゴの獣							
ラウバーンと話した。獣の脅威を根本的に解決するためには、アレンヴァルドたち「白羽根の会」の協力が不可欠なようだ。偽神獣を追跡中の解放軍の報告が上がる頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが86以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			ラウバーンと話した。獣の脅威を根本的に解決するためには、アレンヴァルドたち「白羽根の会」の協力が不可欠なようだ。偽神獣を追跡中の解放軍の報告が上がる頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが86以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			自由が生みしアラミゴの獣							
アラミガン・クォーターの偽神獣対策部隊の闘士と話す			アラミガン・クォーターの偽神獣対策部隊の闘士と話す			自由が生みしアラミゴの獣							
アラガーナ付近のラウバーンと話す			アラガーナ付近のラウバーンと話す			自由が生みしアラミゴの獣							
負傷した闘士たちを癒す			負傷した闘士たちを癒す			自由が生みしアラミゴの獣							
ラウバーンと話す			ラウバーンと話す			自由が生みしアラミゴの獣							
アラミガン・クォーターのラウバーンと話す			アラミガン・クォーターのラウバーンと話す			自由が生みしアラミゴの獣							
Forename殿！お声掛けいただきありがとうございます！			Forename殿！お声掛けいただきありがとうございます！			自由が生みしアラミゴの獣							
実は偽神獣と思しき存在が、アラミゴでも確認されておりまして、目下、解放軍が全力で対応にあたっているそうなのですが……「解放者」である貴殿に、協力を仰ぐようにとの指示がありました。			実は偽神獣と思しき存在が、アラミゴでも確認されておりまして、目下、解放軍が全力で対応にあたっているそうなのですが……「解放者」である貴殿に、協力を仰ぐようにとの指示がありました。			自由が生みしアラミゴの獣							
諸事情がありまして、前線に出られる「癒し手」が、どうにも不足しているのです。そこで、ぜひ腕利きの貴殿に、ご助力をいただけないかと……！			諸事情がありまして、前線に出られる「癒し手」が、どうにも不足しているのです。そこで、ぜひ腕利きの貴殿に、ご助力をいただけないかと……！			自由が生みしアラミゴの獣							
何と言う？			何と言う？			自由が生みしアラミゴの獣							
任せてくれ			任せてくれ			自由が生みしアラミゴの獣							
仕方ないな……			仕方ないな……			自由が生みしアラミゴの獣							
頼もしいお返事、さすがは解放者殿！さっそくラウバーン隊長に朗報をお伝えしなくては。			頼もしいお返事、さすがは解放者殿！さっそくラウバーン隊長に朗報をお伝えしなくては。			自由が生みしアラミゴの獣							
小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			自由が生みしアラミゴの獣							
ありがたいお返事……ご助力、非常に助かります！終末の獣については、未知の部分も多く、どうしても対応が後手に回りがちなのです。			ありがたいお返事……ご助力、非常に助かります！終末の獣については、未知の部分も多く、どうしても対応が後手に回りがちなのです。			自由が生みしアラミゴの獣							
小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			自由が生みしアラミゴの獣							
現在、幸いにもウルダハには、偽神獣は出現しておりません。そこで不滅隊では、アラミゴの問題を解決するため、支援することを決定したのです。			現在、幸いにもウルダハには、偽神獣は出現しておりません。そこで不滅隊では、アラミゴの問題を解決するため、支援することを決定したのです。			自由が生みしアラミゴの獣							
……ですが、先日のパガルザンでの戦いの折、かなりの数の帝国兵が、捕虜とされておりまして。そのテンパード化治療に、解放軍の助力を得ている状況なのです。			……ですが、先日のパガルザンでの戦いの折、かなりの数の帝国兵が、捕虜とされておりまして。そのテンパード化治療に、解放軍の助力を得ている状況なのです。			自由が生みしアラミゴの獣							
これによって、アラミゴ側の癒し手が手薄になってしまい、心を痛めていたところでした……。そこにあなたの力添えが得られるとなれば、心強い限りです！			これによって、アラミゴ側の癒し手が手薄になってしまい、心を痛めていたところでした……。そこにあなたの力添えが得られるとなれば、心強い限りです！			自由が生みしアラミゴの獣							
それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			自由が生みしアラミゴの獣							
アラミゴの駐在武官から、お伝えしたいことがあるようです！			アラミゴの駐在武官から、お伝えしたいことがあるようです！			自由が生みしアラミゴの獣							
それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			自由が生みしアラミゴの獣							
ナナモ女王陛下も、アラミゴを気にかけておられるそうですよ。			ナナモ女王陛下も、アラミゴを気にかけておられるそうですよ。			自由が生みしアラミゴの獣							
あっ、Forenameさんですね。連絡を受けてお待ちしておりました！			あっ、Forenameさんですね。連絡を受けてお待ちしておりました！			自由が生みしアラミゴの獣							
現状について、ラウバーン隊長自らが説明するそうです。お取り次ぎしますので、少々お待ちくださいね！			現状について、ラウバーン隊長自らが説明するそうです。お取り次ぎしますので、少々お待ちくださいね！			自由が生みしアラミゴの獣							
(-ラウバーンの声-)よく来てくれたな、Forename。			(-ラウバーンの声-)よく来てくれたな、Forename。			自由が生みしアラミゴの獣							
星の危機に立ち向かいながらも、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			星の危機に立ち向かいながらも、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			自由が生みしアラミゴの獣							
星の危機を救ってなお、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			星の危機を救ってなお、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			自由が生みしアラミゴの獣							
武勇伝のひとつも聞かせてほしいところだが、この状況では、ゆっくりと話し込んでいるわけにもゆかぬのでな。悪いが、さっそく本題に入らせてくれ。			武勇伝のひとつも聞かせてほしいところだが、この状況では、ゆっくりと話し込んでいるわけにもゆかぬのでな。悪いが、さっそく本題に入らせてくれ。			自由が生みしアラミゴの獣							
まずは、改めて状況を説明しよう。駐在武官から多少の話は聞いているかもしれぬが、先日、ここアラミガン・クォーターにて、偽神獣が出現した。			まずは、改めて状況を説明しよう。駐在武官から多少の話は聞いているかもしれぬが、先日、ここアラミガン・クォーターにて、偽神獣が出現した。			自由が生みしアラミゴの獣							
不幸中の幸いだったのは、都ゆえに多くの闘士がいたことだ。我々は、パニックに陥る住民の避難誘導を優先……結果的に、人的被害は最小限に抑えることができた。			不幸中の幸いだったのは、都ゆえに多くの闘士がいたことだ。我々は、パニックに陥る住民の避難誘導を優先……結果的に、人的被害は最小限に抑えることができた。			自由が生みしアラミゴの獣							
