モモディは冒険者に依頼人を紹介したいようだ。			モモディは冒険者に依頼人を紹介したいようだ。			カッパーベルで消える夢							
わたしは以前、新人の冒険者同士で冒険をしていました。でも、リーダーだったアヴィールは、グリダニアで命を失いました……。			わたしは以前、新人の冒険者同士で冒険をしていました。でも、リーダーだったアヴィールは、グリダニアで命を失いました……。			カッパーベルで消える夢							
アヴィールは、最初にあなたを見かけてから、ずっとあなたの話をしていました。……あの冒険者は、きっとできるやつだって。			アヴィールは、最初にあなたを見かけてから、ずっとあなたの話をしていました。……あの冒険者は、きっとできるやつだって。			カッパーベルで消える夢							
アヴィールはわたしの婚約者だったんです……。彼が亡くなったあと、冒険者を辞めようと思いました。			アヴィールはわたしの婚約者だったんです……。彼が亡くなったあと、冒険者を辞めようと思いました。			カッパーベルで消える夢							
……でも、彼が言っていたように、あなたの姿や戦うところを見ていると、いつか、こういう冒険者になりたいと思ったのです。			……でも、彼が言っていたように、あなたの姿や戦うところを見ていると、いつか、こういう冒険者になりたいと思ったのです。			カッパーベルで消える夢							
だから、田舎に帰って、冒険者の修行を一からやり直すつもりです。			だから、田舎に帰って、冒険者の修行を一からやり直すつもりです。			カッパーベルで消える夢							
最後に、お名前を伺ってもいいですか？			最後に、お名前を伺ってもいいですか？			カッパーベルで消える夢							
Forename Surname。素敵なお名前……。ありがとうございます。			Forename Surname。素敵なお名前……。ありがとうございます。			カッパーベルで消える夢							
お話を聞いてくださって、ありがとうございました。さようなら！			お話を聞いてくださって、ありがとうございました。さようなら！			カッパーベルで消える夢							
……最初は、冒険者ギルドの顔役だなんて、面倒でイヤだったんだけど、今では、やってよかったと思っているわ。			……最初は、冒険者ギルドの顔役だなんて、面倒でイヤだったんだけど、今では、やってよかったと思っているわ。			カッパーベルで消える夢							
新人の冒険者に、ベテランの冒険者……。新しい顔に、消え逝く顔……。いろいろな人生を垣間見ることができる。			新人の冒険者に、ベテランの冒険者……。新しい顔に、消え逝く顔……。いろいろな人生を垣間見ることができる。			カッパーベルで消える夢							
それに、Forename。あなたに出会うこともできたもの！			それに、Forename。あなたに出会うこともできたもの！			カッパーベルで消える夢							
……あら？「暁の血盟」ですって？			……あら？「暁の血盟」ですって？			カッパーベルで消える夢							
そう。ついに動き出したのね……。			そう。ついに動き出したのね……。			カッパーベルで消える夢							
興味があるなら、声をかけてくれるかしら？彼らの拠点を教えてあげるわ。			興味があるなら、声をかけてくれるかしら？彼らの拠点を教えてあげるわ。			カッパーベルで消える夢							
冒険者か……俺一人で十分だぜ。ブチのめしてやるよ！			冒険者か……俺一人で十分だぜ。ブチのめしてやるよ！			カッパーベルで消える夢							
な、なかなかやるじゃねえか！			な、なかなかやるじゃねえか！			カッパーベルで消える夢							
あ、あれ？　ちょっと調子が悪りいな……。			あ、あれ？　ちょっと調子が悪りいな……。			カッパーベルで消える夢							
お、おいっ！てめぇら、突っ立ってないで手伝いやがれ！			お、おいっ！てめぇら、突っ立ってないで手伝いやがれ！			カッパーベルで消える夢							
く、くそっ！　何なんだよコイツは！？			く、くそっ！　何なんだよコイツは！？			カッパーベルで消える夢							
カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			奇異なる地下迷宮							
ノジロ・マルジロから、地下に広がる迷宮の情報を聞いた。南部森林のイソム・ハーの穴蔵にいる「鬼哭隊の調査隊士」から話を聞いてみよう。			ノジロ・マルジロから、地下に広がる迷宮の情報を聞いた。南部森林のイソム・ハーの穴蔵にいる「鬼哭隊の調査隊士」から話を聞いてみよう。			奇異なる地下迷宮							
地下迷宮へは、調査隊の隊長に話しかければ突入できるようだ。南部森林のクォーリーミルに向かい、冒険者の挑戦を受け付けている「鬼哭隊の調査隊長」と話そう。			地下迷宮へは、調査隊の隊長に話しかければ突入できるようだ。南部森林のクォーリーミルに向かい、冒険者の挑戦を受け付けている「鬼哭隊の調査隊長」と話そう。			奇異なる地下迷宮							
鬼哭隊の調査隊長から、「地下迷宮 死者の宮殿」の特異性について説明を受けた。迷宮の内部は、魔法により特殊な仕掛けが施されているようだ。挑戦するのならば、心してかかる必要があるだろう。			鬼哭隊の調査隊長から、「地下迷宮 死者の宮殿」の特異性について説明を受けた。迷宮の内部は、魔法により特殊な仕掛けが施されているようだ。挑戦するのならば、心してかかる必要があるだろう。			奇異なる地下迷宮							
イソム・ハーの穴蔵で鬼哭隊の調査隊士と話す			イソム・ハーの穴蔵で鬼哭隊の調査隊士と話す			奇異なる地下迷宮							
鬼哭隊の調査隊長と話す			鬼哭隊の調査隊長と話す			奇異なる地下迷宮							
よお、エオルゼアの各地で評判の冒険者ってのはお前だろ？その名声は、一介の冒険者である俺にも届いている……。お前のような凄腕に、似合いのヤマがあるぜ？			よお、エオルゼアの各地で評判の冒険者ってのはお前だろ？その名声は、一介の冒険者である俺にも届いている……。お前のような凄腕に、似合いのヤマがあるぜ？			奇異なる地下迷宮							
よお、お前も冒険者だろ？それも、結構な苦難をくぐり抜けていると見た……！お前のような腕利きに、似合いのヤマがあるぜ？			よお、お前も冒険者だろ？それも、結構な苦難をくぐり抜けていると見た……！お前のような腕利きに、似合いのヤマがあるぜ？			奇異なる地下迷宮							
最近、黒衣森を騒がせている、ある事件があるんだ……。この森の地下に、突然「迷宮」が現れたのさ！			最近、黒衣森を騒がせている、ある事件があるんだ……。この森の地下に、突然「迷宮」が現れたのさ！			奇異なる地下迷宮							
……オイオイ、これはマジな話なんだぜ？グリダニア成立前の地下都市「ゲルモラ」時代に造られた遺跡に、未知の階層が発見されたらしいんだ！			……オイオイ、これはマジな話なんだぜ？グリダニア成立前の地下都市「ゲルモラ」時代に造られた遺跡に、未知の階層が発見されたらしいんだ！			奇異なる地下迷宮							
問題は、この「迷宮」が普通じゃないってことさ……！魔法なのか呪いなのか……その内部では奇妙な現象が続出し、調査に乗り出した鬼哭隊も、手を焼いているらしい。			問題は、この「迷宮」が普通じゃないってことさ……！魔法なのか呪いなのか……その内部では奇妙な現象が続出し、調査に乗り出した鬼哭隊も、手を焼いているらしい。			奇異なる地下迷宮							
そんなこんなで、俺たち冒険者に調査依頼が出たってわけだ！迷宮の入口は、南部森林の「イソム・ハーの穴蔵」にある。興味があるなら、「鬼哭隊の調査隊士」に話を聞いてみな！			そんなこんなで、俺たち冒険者に調査依頼が出たってわけだ！迷宮の入口は、南部森林の「イソム・ハーの穴蔵」にある。興味があるなら、「鬼哭隊の調査隊士」に話を聞いてみな！			奇異なる地下迷宮							
未知の迷宮を、大手を振って探索できるチャンスだぜ。興味があるなら、南部森林の「イソム・ハーの穴蔵」へ向かい、「鬼哭隊の調査隊士」から、話を聞いてみな！			未知の迷宮を、大手を振って探索できるチャンスだぜ。興味があるなら、南部森林の「イソム・ハーの穴蔵」へ向かい、「鬼哭隊の調査隊士」から、話を聞いてみな！			奇異なる地下迷宮							
お前、「イソム・ハーの穴蔵」に現れた迷宮に挑戦するつもりか？ノジロ・マルジロと俺は、少し挑戦を見送ってるんだ。もっと情報が出揃ってからにしようと思ってな。			お前、「イソム・ハーの穴蔵」に現れた迷宮に挑戦するつもりか？ノジロ・マルジロと俺は、少し挑戦を見送ってるんだ。もっと情報が出揃ってからにしようと思ってな。			奇異なる地下迷宮							
最近、なんだか鬼哭隊の人が騒がしくしているけど……。私たちは私たちで、地下都市「ゲルモラ」の調査をしていくだけ。ここの調査を中止するつもりはないわ。			最近、なんだか鬼哭隊の人が騒がしくしているけど……。私たちは私たちで、地下都市「ゲルモラ」の調査をしていくだけ。ここの調査を中止するつもりはないわ。			奇異なる地下迷宮							
いったい僕たちの足の下で、何が起きているんだろう。「危険だから」って、中に入れてくれないんだ……。			いったい僕たちの足の下で、何が起きているんだろう。「危険だから」って、中に入れてくれないんだ……。			奇異なる地下迷宮							
おや、迷宮の調査協力に来た冒険者かい？まさかとは思うけど、ただの物見遊山じゃないよな……？			おや、迷宮の調査協力に来た冒険者かい？まさかとは思うけど、ただの物見遊山じゃないよな……？			奇異なる地下迷宮							
現在、穴蔵は鬼哭隊の許可なしには立ち入りできないよ。あっちのシェーダー族にも、何度もそう言ってるのに、一向に立ち退いてくれないんで、困ってるんだよね……。			現在、穴蔵は鬼哭隊の許可なしには立ち入りできないよ。あっちのシェーダー族にも、何度もそう言ってるのに、一向に立ち退いてくれないんで、困ってるんだよね……。			奇異なる地下迷宮							
調査協力の冒険者なら、大歓迎さ！うちの隊長が、君たち協力者を取りまとめている。隊長に声をかければ、迷宮への侵入を許可してもらえるはずだ。			調査協力の冒険者なら、大歓迎さ！うちの隊長が、君たち協力者を取りまとめている。隊長に声をかければ、迷宮への侵入を許可してもらえるはずだ。			奇異なる地下迷宮							
僕たち調査隊は、東の「クォーリーミル」を拠点にしている。そこに行って、「鬼哭隊の調査隊長」に声をかけてくれ。ただ、気をつけて……鬼哭隊の精鋭も手を焼く迷宮だからね。			僕たち調査隊は、東の「クォーリーミル」を拠点にしている。そこに行って、「鬼哭隊の調査隊長」に声をかけてくれ。ただ、気をつけて……鬼哭隊の精鋭も手を焼く迷宮だからね。			奇異なる地下迷宮							
迷宮に挑戦したいなら、東の「クォーリーミル」に向かい、「鬼哭隊の調査隊長」に声をかけてくれ。迷宮について判明している内容も、そこで聞けるはずさ。			迷宮に挑戦したいなら、東の「クォーリーミル」に向かい、「鬼哭隊の調査隊長」に声をかけてくれ。迷宮について判明している内容も、そこで聞けるはずさ。			奇異なる地下迷宮							
私を訪ねてきたということは、迷宮調査の志願者か……。協力に感謝する……我らも、あの迷宮には苦戦しておってな。			私を訪ねてきたということは、迷宮調査の志願者か……。協力に感謝する……我らも、あの迷宮には苦戦しておってな。			奇異なる地下迷宮							
君は「イソム・ハーの穴蔵」のことを、どれほど知っているかね？あの大穴の地下には、我らグリダニアの母都市とも言える、地下都市「ゲルモラ」の遺構が眠っているのだよ……。			君は「イソム・ハーの穴蔵」のことを、どれほど知っているかね？あの大穴の地下には、我らグリダニアの母都市とも言える、地下都市「ゲルモラ」の遺構が眠っているのだよ……。			奇異なる地下迷宮							
最初は、博物学者による単純な学術調査だったと聞く。だが、その地下遺跡の内部で、次々と奇妙な現象が発生……。我ら鬼哭隊に、支援要請が出されるまでになったのだ。			最初は、博物学者による単純な学術調査だったと聞く。だが、その地下遺跡の内部で、次々と奇妙な現象が発生……。我ら鬼哭隊に、支援要請が出されるまでになったのだ。			奇異なる地下迷宮							
実際に、私も入ってみたが驚いたよ……。特殊な「結界」が、地下全体に張られているらしく、一歩でも地下に踏み入ろうものなら、普段の力が出なくなる……！			実際に、私も入ってみたが驚いたよ……。特殊な「結界」が、地下全体に張られているらしく、一歩でも地下に踏み入ろうものなら、普段の力が出なくなる……！			奇異なる地下迷宮							
同行してくださった、角尊のエ・ウナ・コトロ様によれば、戦意に反応して発動する、一種の幻惑魔法とのこと……。ゆえに、外から持ち込んだ武器も役には立たないのだ。			同行してくださった、角尊のエ・ウナ・コトロ様によれば、戦意に反応して発動する、一種の幻惑魔法とのこと……。ゆえに、外から持ち込んだ武器も役には立たないのだ。			奇異なる地下迷宮							
エ・ウナ様が、使用者のエーテルを具現化する、特殊な魔器を作ってくださらなければ、どうなっていたか……！君たちにも「魔器」を支給するゆえ、活用してもらいたい。			エ・ウナ様が、使用者のエーテルを具現化する、特殊な魔器を作ってくださらなければ、どうなっていたか……！君たちにも「魔器」を支給するゆえ、活用してもらいたい。			奇異なる地下迷宮							
そして、何より奇妙なのは……迷宮に入るたびに、内部構造が変化するという現象が起こることだ！恐ろしく腕の立つ魔道士でなければ、こんな芸当は不可能だろう。			そして、何より奇妙なのは……迷宮に入るたびに、内部構造が変化するという現象が起こることだ！恐ろしく腕の立つ魔道士でなければ、こんな芸当は不可能だろう。			奇異なる地下迷宮							
……件の地下迷宮が、どれほど異様なのかわかったか？普段とおなじ戦い方は、通用しないと思ったほうがいい。腕のたつ仲間たちと、慎重に探索することだな。			……件の地下迷宮が、どれほど異様なのかわかったか？普段とおなじ戦い方は、通用しないと思ったほうがいい。腕のたつ仲間たちと、慎重に探索することだな。			奇異なる地下迷宮							
迷宮に挑戦したいときは、私に声をかけたまえ。内部に待ち構える障害を突破し、最深部に何が潜むのか、その謎を解き明かしてくれ……！			迷宮に挑戦したいときは、私に声をかけたまえ。内部に待ち構える障害を突破し、最深部に何が潜むのか、その謎を解き明かしてくれ……！			奇異なる地下迷宮							
ディープダンジョン「死者の宮殿」に挑戦可能となりました。こちらは、地下深くつづく迷宮を、1～4人で攻略するコンテンツとなります。			ディープダンジョン「死者の宮殿」に挑戦可能となりました。こちらは、地下深くつづく迷宮を、1～4人で攻略するコンテンツとなります。			奇異なる地下迷宮							
「鬼哭隊の調査隊長」に話しかけて、「固定パーティ」と「マッチングパーティ」の、どちらで突入するか選択することで、迷宮に挑戦できます。			「鬼哭隊の調査隊長」に話しかけて、「固定パーティ」と「マッチングパーティ」の、どちらで突入するか選択することで、迷宮に挑戦できます。			奇異なる地下迷宮							
初めて迷宮に挑戦する際は、「レベル1」で開始されます。また、装備していた武器も効力を発揮しなくなるので、迷宮専用の「魔器装備」を用いて、攻略していくことになります。			初めて迷宮に挑戦する際は、「レベル1」で開始されます。また、装備していた武器も効力を発揮しなくなるので、迷宮専用の「魔器装備」を用いて、攻略していくことになります。			奇異なる地下迷宮							
迷宮の中では、宝箱の配置や迷宮の構造が変化するなど、地上とは異なる様々な事態が起こります。			迷宮の中では、宝箱の配置や迷宮の構造が変化するなど、地上とは異なる様々な事態が起こります。			奇異なる地下迷宮							
「死者の宮殿」に挑戦する際は、「鬼哭隊の調査隊長」から、事前に、詳しい説明を聞いておくといいでしょう。			「死者の宮殿」に挑戦する際は、「鬼哭隊の調査隊長」から、事前に、詳しい説明を聞いておくといいでしょう。			奇異なる地下迷宮							
クイックサンドのモモディは、「暁の血盟」について教えてくれるようだ。			クイックサンドのモモディは、「暁の血盟」について教えてくれるようだ。			暁の血盟							
エオルゼアの問題と戦うため、「暁の血盟」は仲間を必要としているらしい。Forenameは、彼らの眼鏡にかなったらしいが……。「暁の血盟」の拠点があるという、西ザナラーンのベスパーベイに向かい、砂の家で受付をしている人物に話しかけよう。			エオルゼアの問題と戦うため、「暁の血盟」は仲間を必要としているらしい。Forenameは、彼らの眼鏡にかなったらしいが……。「暁の血盟」の拠点があるという、西ザナラーンのベスパーベイに向かい、砂の家で受付をしている人物に話しかけよう。			暁の血盟							
「砂の家」の受付でタタルに出会った。「暁の血盟」の盟主は、砂の家の奥にある「暁の間」で、Forenameを待っているという。暁の間前にいる「暁の血盟員」に話しかけよう。			「砂の家」の受付でタタルに出会った。「暁の血盟」の盟主は、砂の家の奥にある「暁の間」で、Forenameを待っているという。暁の間前にいる「暁の血盟員」に話しかけよう。			暁の血盟							
盟主のミンフィリアから、「暁の血盟」についての説明を受けた。ミンフィリアはエオルゼア救済のため、蛮神と戦うために、冒険者の力を必要としているらしい。「暁の血盟」に所属することは、冒険者にとっても利益があるようだ。決心がついたら、教えられた合言葉「のばら」を使ってみよう。			盟主のミンフィリアから、「暁の血盟」についての説明を受けた。ミンフィリアはエオルゼア救済のため、蛮神と戦うために、冒険者の力を必要としているらしい。「暁の血盟」に所属することは、冒険者にとっても利益があるようだ。決心がついたら、教えられた合言葉「のばら」を使ってみよう。			暁の血盟							
ベスパーベイの「砂の家」の受付と話す			ベスパーベイの「砂の家」の受付と話す			暁の血盟							
暁の血盟員と話す			暁の血盟員と話す			暁の血盟							
「暁の血盟」のことが気になるのね。冒険者は、そうでなくちゃ！			「暁の血盟」のことが気になるのね。冒険者は、そうでなくちゃ！			暁の血盟							
彼らは、エオルゼアの抱える大きな問題と戦おうとしている……。そのために、素質ある仲間が必要なの。			彼らは、エオルゼアの抱える大きな問題と戦おうとしている……。そのために、素質ある仲間が必要なの。			暁の血盟							
わたしは、あなたのような人を、彼らの拠点である「砂の家」へ誘導するよう頼まれているのよ。			わたしは、あなたのような人を、彼らの拠点である「砂の家」へ誘導するよう頼まれているのよ。			暁の血盟							
「砂の家」は、西ザナラーンの「ベスパーベイ」にあるわ。受付の人に、あなたの名前を伝えてみて。			「砂の家」は、西ザナラーンの「ベスパーベイ」にあるわ。受付の人に、あなたの名前を伝えてみて。			暁の血盟							
実力のある冒険者には、相応の仕事が集まってくるものよ。忙しくなるだろうけど、たまには元気な顔をみせてね？			実力のある冒険者には、相応の仕事が集まってくるものよ。忙しくなるだろうけど、たまには元気な顔をみせてね？			暁の血盟							
フンフ　フンフ　フーン。すーなの　こーやに　おーはなーが　さーいたー。			フンフ　フンフ　フーン。すーなの　こーやに　おーはなーが　さーいたー。			暁の血盟							
フンフ　フンフ　フフフ　フフーン。きーれいーな　おーはなーは　こーいの　はーじ、まりー。わーたしーの　こーころーも　はーじ、けるのー。			フンフ　フンフ　フフフ　フフーン。きーれいーな　おーはなーは　こーいの　はーじ、まりー。わーたしーの　こーころーも　はーじ、けるのー。			暁の血盟							
ベキッ！　ドキッ！　バキーン！ドスッ！　ドカッ！　ドカーン！			ベキッ！　ドキッ！　バキーン！ドスッ！　ドカッ！　ドカーン！			暁の血盟							
おおぅ！			おおぅ！			暁の血盟							
コ、コホン……。			コ、コホン……。			暁の血盟							
この「砂の家」に御用でっすか？			この「砂の家」に御用でっすか？			暁の血盟							
申し訳ないでっすが、ここは一般の方の立ち入りは、お控えいただいておりまっす。すみやかに、お引き取りねがいまっす。			申し訳ないでっすが、ここは一般の方の立ち入りは、お控えいただいておりまっす。すみやかに、お引き取りねがいまっす。			暁の血盟							
なんだってーん！イダさんとパパリモさんの、ご紹介でっすてー！？			なんだってーん！イダさんとパパリモさんの、ご紹介でっすてー！？			暁の血盟							
なんだってーん！サンクレッドさんの、ご紹介でっすてー！？			なんだってーん！サンクレッドさんの、ご紹介でっすてー！？			暁の血盟							
なんだってーん！ヤ・シュトラさんの、ご紹介でっすてー！？			なんだってーん！ヤ・シュトラさんの、ご紹介でっすてー！？			暁の血盟							
こ、これは失礼しまっした……。では、お名前を伺っても、よろしいでっすか？			こ、これは失礼しまっした……。では、お名前を伺っても、よろしいでっすか？			暁の血盟							
お名前、確かにございまっした。			お名前、確かにございまっした。			暁の血盟							
はて……？Forenameさん？			はて……？Forenameさん？			暁の血盟							
前にお会いしたことがありまっしたか？			前にお会いしたことがありまっしたか？			暁の血盟							
ウルダハの商店街で、私に声をかけてきた方？それとも、ミンフィリアさんに付きまとって、最後に平手打ちを食らった方？			ウルダハの商店街で、私に声をかけてきた方？それとも、ミンフィリアさんに付きまとって、最後に平手打ちを食らった方？			暁の血盟							
むー、どれも違いまっすね……。……ハッ！			むー、どれも違いまっすね……。……ハッ！			暁の血盟							
お名前、確かにございまっした。			お名前、確かにございまっした。			暁の血盟							
コ、コホン……改めまっして……。ようこそ「暁の血盟」の本部、砂の家へ！			コ、コホン……改めまっして……。ようこそ「暁の血盟」の本部、砂の家へ！			暁の血盟							
私は受付のタタルと申しまっす。			私は受付のタタルと申しまっす。			暁の血盟							
奥にある暁の間で、盟主がお待ちでっす。どうぞ、お進みくださいまっせ。			奥にある暁の間で、盟主がお待ちでっす。どうぞ、お進みくださいまっせ。			暁の血盟							
奥にある暁の間で、盟主がお待ちでっす。暁の間へは、そちらにある階段下の扉よりお進みくださいまっせ。			奥にある暁の間で、盟主がお待ちでっす。暁の間へは、そちらにある階段下の扉よりお進みくださいまっせ。			暁の血盟							
「暁の間」に用がある？ああ、お前が話題のSurnameか！			「暁の間」に用がある？ああ、お前が話題のSurnameか！			暁の血盟							
うちの盟主様がお待ちかねだぜ。お前の準備がよければ、すぐにでも取り次ごう。			うちの盟主様がお待ちかねだぜ。お前の準備がよければ、すぐにでも取り次ごう。			暁の血盟							
(-？？？？-)あなたが、噂の冒険者ね。			(-？？？？-)あなたが、噂の冒険者ね。			暁の血盟							
わたしはミンフィリア。この「暁の血盟」の盟主です。			わたしはミンフィリア。この「暁の血盟」の盟主です。			暁の血盟							
待っていたわ。			待っていたわ。			暁の血盟							
本当に……帰ってきた……。賢者ルイゾワの言ってたとおりね……。			本当に……帰ってきた……。賢者ルイゾワの言ってたとおりね……。			暁の血盟							
あなたの帰還を待ってたわ。おかえりなさい……。			あなたの帰還を待ってたわ。おかえりなさい……。			暁の血盟							
みんながあなたを忘れても、わたしは覚えている。今は、それだけ、忘れないで。			みんながあなたを忘れても、わたしは覚えている。今は、それだけ、忘れないで。			暁の血盟							
賢者ルイゾワが言っていたわ。あなたによろしく、と。本当に、無事でよかった……。			賢者ルイゾワが言っていたわ。あなたによろしく、と。本当に、無事でよかった……。			暁の血盟							
こちらへどうぞ？悪いようにはしないから安心して。			こちらへどうぞ？悪いようにはしないから安心して。			暁の血盟							
いろいろ聞きたいことはあると思うけど……。			いろいろ聞きたいことはあると思うけど……。			暁の血盟							
まずは、わたしたち「暁の血盟」について説明したほうがいいかしらね。			まずは、わたしたち「暁の血盟」について説明したほうがいいかしらね。			暁の血盟							
わたしたち「暁の血盟」は、国家間の垣根を超えて、エオルゼア全土で活動している団体です。			わたしたち「暁の血盟」は、国家間の垣根を超えて、エオルゼア全土で活動している団体です。			暁の血盟							
わたしたちの目的は1つ。神々に愛されし地、このエオルゼアを救済すること。			わたしたちの目的は1つ。神々に愛されし地、このエオルゼアを救済すること。			暁の血盟							
そのためにエオルゼア、いえ、世界が抱える脅威である、「蛮神問題」の解決に向けて取り組んでいます。			そのためにエオルゼア、いえ、世界が抱える脅威である、「蛮神問題」の解決に向けて取り組んでいます。			暁の血盟							
この「暁の血盟」には、あなたと同じ、不思議な力を持つ人が何人か居るの。			この「暁の血盟」には、あなたと同じ、不思議な力を持つ人が何人か居るの。			暁の血盟							
この不思議な力には、いくつか種類があるのだけれど……。			この不思議な力には、いくつか種類があるのだけれど……。			暁の血盟							
あなたは、これまでに、こんな経験をしたことがないかしら。			あなたは、これまでに、こんな経験をしたことがないかしら。			暁の血盟							
ノイズのような感覚……。何かに吸い込まれるような感覚……。まるで「幻」のように浮かび上がる風景。			ノイズのような感覚……。何かに吸い込まれるような感覚……。まるで「幻」のように浮かび上がる風景。			暁の血盟							
それこそが、あなたの能力……。精神の壁を超え、相手を「視る」ことができる、「超える力」よ。			それこそが、あなたの能力……。精神の壁を超え、相手を「視る」ことができる、「超える力」よ。			暁の血盟							
「超える力」は、「言葉の壁」を超える力。「心の壁」を超える力。			「超える力」は、「言葉の壁」を超える力。「心の壁」を超える力。			暁の血盟							
そして、幻の如く過去を見ることができる、「時間の壁」を超える力。			そして、幻の如く過去を見ることができる、「時間の壁」を超える力。			暁の血盟							
さすがに、過去が見えるだけで、相手と会話したり、結果を変えたりなんてことはできないわ。			さすがに、過去が見えるだけで、相手と会話したり、結果を変えたりなんてことはできないわ。			暁の血盟							
さまざまな能力の中でも、この「超える力」は特殊なもの。あなたは、その中でも強い力を持つ……。			さまざまな能力の中でも、この「超える力」は特殊なもの。あなたは、その中でも強い力を持つ……。			暁の血盟							
ただ、この力は、自分で「発動」をコントロールできないところが悩ましいのよね。			ただ、この力は、自分で「発動」をコントロールできないところが悩ましいのよね。			暁の血盟							
そう、わたしも、あなたと同じ力……。その「超える力」の能力者の1人よ。			そう、わたしも、あなたと同じ力……。その「超える力」の能力者の1人よ。			暁の血盟							
さて、本題よ。わたしたちの目的、エオルゼアの救済のためには、蛮神問題の解決が不可欠……。			さて、本題よ。わたしたちの目的、エオルゼアの救済のためには、蛮神問題の解決が不可欠……。			暁の血盟							
そのためには、国家、組織、種族、言葉、それに主義や思想……。あらゆる「壁」を超えた対策をしなくてはならない。			そのためには、国家、組織、種族、言葉、それに主義や思想……。あらゆる「壁」を超えた対策をしなくてはならない。			暁の血盟							
そこで、あなたの力が必要になる。わたしたち「暁の血盟」に協力してほしいの。			そこで、あなたの力が必要になる。わたしたち「暁の血盟」に協力してほしいの。			暁の血盟							
あなたの能力……「超える力」は、蛮神への切り札ともなるもの。蛮神問題を解決するため、世界を救うために必要な力よ。			あなたの能力……「超える力」は、蛮神への切り札ともなるもの。蛮神問題を解決するため、世界を救うために必要な力よ。			暁の血盟							
あなたが、エオルゼアを歩く冒険者として、何を求め、何に成りたいのか、わたしにはわからない。			あなたが、エオルゼアを歩く冒険者として、何を求め、何に成りたいのか、わたしにはわからない。			暁の血盟							
でも、この先も冒険者として生きるためには、もっとエオルゼアを知る必要があるでしょう？			でも、この先も冒険者として生きるためには、もっとエオルゼアを知る必要があるでしょう？			暁の血盟							
そして、そのエオルゼアには蛮神問題がある。			そして、そのエオルゼアには蛮神問題がある。			暁の血盟							
わたしたちと行動して、蛮神問題を追うことは、エオルゼアを知るのに、最も近道だと思うわ。			わたしたちと行動して、蛮神問題を追うことは、エオルゼアを知るのに、最も近道だと思うわ。			暁の血盟							
わたしたちは各国のグランドカンパニーに顔が利くの。冒険者として、さまざまな便宜を図ることができるのよ。			わたしたちは各国のグランドカンパニーに顔が利くの。冒険者として、さまざまな便宜を図ることができるのよ。			暁の血盟							
例えば……そうね、「リテイナー」というものをご存知？冒険者の活動を手助けする、専属の「資産管理人」よ。			例えば……そうね、「リテイナー」というものをご存知？冒険者の活動を手助けする、専属の「資産管理人」よ。			暁の血盟							
お話し中に失礼しまっす。			お話し中に失礼しまっす。			暁の血盟							
ありがとう、タタルさん。			ありがとう、タタルさん。			暁の血盟							
はいでっす。			はいでっす。			暁の血盟							
あなたが、いつでも、リテイナーを雇うことができるよう手配したわ。			あなたが、いつでも、リテイナーを雇うことができるよう手配したわ。			暁の血盟							
きっと冒険の役に立つはずよ。詳しくは、あとで担当者に聞いてね。			きっと冒険の役に立つはずよ。詳しくは、あとで担当者に聞いてね。			暁の血盟							
あなたが、わたしたち「暁の血盟」に協力してくれることを期待します。			あなたが、わたしたち「暁の血盟」に協力してくれることを期待します。			暁の血盟							
蛮神に関わる事象が起こった時に、現地で情報を集めたり、調べてくれればいいの。			蛮神に関わる事象が起こった時に、現地で情報を集めたり、調べてくれればいいの。			暁の血盟							
持ちつ持たれつ……ってわけじゃないけど、あなたも、わたしたちも、どちらも利があると思うわ。			持ちつ持たれつ……ってわけじゃないけど、あなたも、わたしたちも、どちらも利があると思うわ。			暁の血盟							
どうかしら？　少し考えてみて。そして、協力してくれるのなら声をかけてね。			どうかしら？　少し考えてみて。そして、協力してくれるのなら声をかけてね。			暁の血盟							
そうそう！あなたが関係者に連絡が取れるように、「暁の血盟」の合言葉を教えておくわね。			そうそう！あなたが関係者に連絡が取れるように、「暁の血盟」の合言葉を教えておくわね。			暁の血盟							
わたしたちの合言葉は「のばら」です。覚えておいてね！			わたしたちの合言葉は「のばら」です。覚えておいてね！			暁の血盟							
おお、Forename、よく来てくれた！君のおかげで、地下迷宮の調査も徐々に進んではおるが、いまだ、黒幕の所在は不明のまま……。			おお、Forename、よく来てくれた！君のおかげで、地下迷宮の調査も徐々に進んではおるが、いまだ、黒幕の所在は不明のまま……。			深淵へ続く地下迷宮							
君が倒した死者がつぶやいた「魔術師」という言葉……。恐らくは、地下迷宮を造り上げた黒幕を指すのだろう。			君が倒した死者がつぶやいた「魔術師」という言葉……。恐らくは、地下迷宮を造り上げた黒幕を指すのだろう。			深淵へ続く地下迷宮							
これほどの規模の地下迷宮を造り上げただけではなく、死者を復活させ使役する術をも使いこなすとは……。敵は、どれほどの力を持っているというのか……。			これほどの規模の地下迷宮を造り上げただけではなく、死者を復活させ使役する術をも使いこなすとは……。敵は、どれほどの力を持っているというのか……。			深淵へ続く地下迷宮							
