モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
まさしく、それだ……！稀代の天才たるこの私を、よくも使用人同然に……！貴様は、道連れだ……ソールディアァァァァァァァ！！！！			まさしく、それだ……！稀代の天才たるこの私を、よくも使用人同然に……！貴様は、道連れだ……ソールディアァァァァァァァ！！！！			揺れる天秤							
姫ッ！！			姫ッ！！			揺れる天秤							
チッ、こいつ……！！			チッ、こいつ……！！			揺れる天秤							
姫、ご無事ですか！？			姫、ご無事ですか！？			揺れる天秤							
ああ……それよりもブランデン、ひとつ頼みたいことがあるんだ……。			ああ……それよりもブランデン、ひとつ頼みたいことがあるんだ……。			揺れる天秤							
オレはあなたの剣になると誓った。騎士団を追われた後も、この想いは変わらない。何なりと、申しつけて……			オレはあなたの剣になると誓った。騎士団を追われた後も、この想いは変わらない。何なりと、申しつけて……			揺れる天秤							
ありがとう、ブランデン……お前のような騎士に恵まれて、私は幸せだ……。			ありがとう、ブランデン……お前のような騎士に恵まれて、私は幸せだ……。			揺れる天秤							
では……どうか頼む。お前を傷つけたくはない……。フッブート王国の民である、お前を……。			では……どうか頼む。お前を傷つけたくはない……。フッブート王国の民である、お前を……。			揺れる天秤							
できない……あなたを殺すことなど……オレにはできない！！			できない……あなたを殺すことなど……オレにはできない！！			揺れる天秤							
……頼む……ブラ……ン……デン……！！……畏れるな……正義を成すことを……！！……お前は……私の剣……なのだろう……？			……頼む……ブラ……ン……デン……！！……畏れるな……正義を成すことを……！！……お前は……私の剣……なのだろう……？			揺れる天秤							
(-魔物化したソールディア-)オマエガ……ブランデンダナ……。シンマイキシノ……ワリニ……ウデガタツト……キイテイル……。ワタシノケント……ナリ……ナリ……リリリリリリリ…………。			(-魔物化したソールディア-)オマエガ……ブランデンダナ……。シンマイキシノ……ワリニ……ウデガタツト……キイテイル……。ワタシノケント……ナリ……ナリ……リリリリリリリ…………。			揺れる天秤							
…………待ってくれ。オレが…………オレがやる…………。			…………待ってくれ。オレが…………オレがやる…………。			揺れる天秤							
(-魔物化したソールディア-)ブラン…………デン…………アリガ…………トウ…………。			(-魔物化したソールディア-)ブラン…………デン…………アリガ…………トウ…………。			揺れる天秤							
タドリクに協力していた者は、ひとり残らず捕らえ、地下牢に繋いでおきました。まだヒトの姿を保っていた者だけですが……。			タドリクに協力していた者は、ひとり残らず捕らえ、地下牢に繋いでおきました。まだヒトの姿を保っていた者だけですが……。			揺れる天秤							
オレは……もう二度と畏れたりはしない……。どんな犠牲を払ってでも、オレの正義を成してみせる……。それが、ソールディアへの手向けだ……。			オレは……もう二度と畏れたりはしない……。どんな犠牲を払ってでも、オレの正義を成してみせる……。それが、ソールディアへの手向けだ……。			揺れる天秤							
……どんな過去を視た？			……どんな過去を視た？			揺れる天秤							
あの野郎も……ブランデンも、大切な存在を自らの手で……？オレと……ミリンダの時のように……。			あの野郎も……ブランデンも、大切な存在を自らの手で……？オレと……ミリンダの時のように……。			揺れる天秤							
積もる話もあるじゃろうが……ひとまず「プラ・エンニ茸窟」に戻るとしようぞ。			積もる話もあるじゃろうが……ひとまず「プラ・エンニ茸窟」に戻るとしようぞ。			揺れる天秤							
こんな所まで連れてきて、何を話そうってんだ……。			こんな所まで連れてきて、何を話そうってんだ……。			揺れる天秤							
何故ワシがソールディア姫に仕えていたか……それは、あの御方に大きな恩があるゆえ。			何故ワシがソールディア姫に仕えていたか……それは、あの御方に大きな恩があるゆえ。			揺れる天秤							
かつてソールディア姫は、獣に襲われて死にかけていたワシを救ってくださった。			かつてソールディア姫は、獣に襲われて死にかけていたワシを救ってくださった。			揺れる天秤							
この世界に、命に代わる対価はない。ゆえに、ワシは命を懸けてソールディア姫に尽くすと誓ったのじゃ。			この世界に、命に代わる対価はない。ゆえに、ワシは命を懸けてソールディア姫に尽くすと誓ったのじゃ。			揺れる天秤							
ソールディア姫は亡くなられたが、ワシはまだ生きておる。ならば、あの御方への誓いは未だ続いているということじゃ。救わねばなるまいな……姫のために、ブランデンの亡骸を……。			ソールディア姫は亡くなられたが、ワシはまだ生きておる。ならば、あの御方への誓いは未だ続いているということじゃ。救わねばなるまいな……姫のために、ブランデンの亡骸を……。			揺れる天秤							
オレは…………。			オレは…………。			揺れる天秤							
復讐などという行為は、並の精神状態で成せるものではない。ゆえに、おぬしはブランデンとディカイオシュネー、そのどちらも憎むことで、復讐心を力に変えていたのじゃな。			復讐などという行為は、並の精神状態で成せるものではない。ゆえに、おぬしはブランデンとディカイオシュネー、そのどちらも憎むことで、復讐心を力に変えていたのじゃな。			揺れる天秤							
じゃが、ブランデンに起こった真実を知ったおぬしは、あやつに共感してしまい、その結果……憎しみが揺らいでしまった。恋人の仇を討つために捨てたはずの心が、まだ残っていたのじゃ。			じゃが、ブランデンに起こった真実を知ったおぬしは、あやつに共感してしまい、その結果……憎しみが揺らいでしまった。恋人の仇を討つために捨てたはずの心が、まだ残っていたのじゃ。			揺れる天秤							
そうなってしまっては、もう復讐のために剣は振るえまい。これからどうするのじゃ？			そうなってしまっては、もう復讐のために剣は振るえまい。これからどうするのじゃ？			揺れる天秤							
少し、考えさせてくれ……。			少し、考えさせてくれ……。			揺れる天秤							
ディカイオシュネーを討つためには、こやつの力が必要じゃ。どういう答えにたどり着くか、待ってみようではないか。			ディカイオシュネーを討つためには、こやつの力が必要じゃ。どういう答えにたどり着くか、待ってみようではないか。			揺れる天秤							
…………。			…………。			揺れる天秤							
彷徨う階段亭のジオットは、蜂蜜酒を浴びるように呑んでいるようだ。			彷徨う階段亭のジオットは、蜂蜜酒を浴びるように呑んでいるようだ。			坑道の真実							
ラミットの妹がいた場所が判明したらしい。コルシア島にあるトメラの村で「ジオット」と話そう。			ラミットの妹がいた場所が判明したらしい。コルシア島にあるトメラの村で「ジオット」と話そう。			坑道の真実							
ジオットは、冒険者が村までたどり着いたことに感服したようだ。トメラの村を奥へと進み、「ジオット」と話そう。			ジオットは、冒険者が村までたどり着いたことに感服したようだ。トメラの村を奥へと進み、「ジオット」と話そう。			坑道の真実							
ジオットの倒した罪喰いをきっかけに、冒険者の過去視が発動した。ラミットは、ドヴェルグ病に侵された者たちを救助したために、一族から追放され、兜もそのときに脱いでいたようだ。過去視の内容を聞いたジオットは、大きな衝撃を受けていた。坑道からトメラの村に出ていった「ジオット」を追いかけよう。			ジオットの倒した罪喰いをきっかけに、冒険者の過去視が発動した。ラミットは、ドヴェルグ病に侵された者たちを救助したために、一族から追放され、兜もそのときに脱いでいたようだ。過去視の内容を聞いたジオットは、大きな衝撃を受けていた。坑道からトメラの村に出ていった「ジオット」を追いかけよう。			坑道の真実							
ジオットは、過去の事実を呑み込めるようになるまで、時間がほしいという。その間、修行などをして、ジオットをそっとしておこう。※いずれかのHEALERジョブのレベルが80以上になると、トメラの村のジオットから次のHEALERロールクエストを受注することができます。			ジオットは、過去の事実を呑み込めるようになるまで、時間がほしいという。その間、修行などをして、ジオットをそっとしておこう。※いずれかのHEALERジョブのレベルが80以上になると、トメラの村のジオットから次のHEALERロールクエストを受注することができます。			坑道の真実							
トメラの村でジオットと合流			トメラの村でジオットと合流			坑道の真実							
ジオットと話す			ジオットと話す			坑道の真実							
ジオットと再度話す			ジオットと再度話す			坑道の真実							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「高き場所より見る景色」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「高き場所より見る景色」を完了する必要があります。			坑道の真実							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			坑道の真実							
おう、我が相棒ではないか……蜂蜜酒なら、もういらんぞ？いや、酒を頼んだのは、お前さんじゃなく、サイエラじゃったか……ヒック。			おう、我が相棒ではないか……蜂蜜酒なら、もういらんぞ？いや、酒を頼んだのは、お前さんじゃなく、サイエラじゃったか……ヒック。			坑道の真実							
呆れ果てて、言うべき言葉も見つからないとでも、言いたいという様子じゃな？いや、その場合、言いたいのか言いたくないのか、どっちじゃ？			呆れ果てて、言うべき言葉も見つからないとでも、言いたいという様子じゃな？いや、その場合、言いたいのか言いたくないのか、どっちじゃ？			坑道の真実							
イカン、イカン……最近、調べ物の連続で頭を使いすぎたようじゃ。出ない答えを探す、クサれ哲学者のようになってしまったわい。			イカン、イカン……最近、調べ物の連続で頭を使いすぎたようじゃ。出ない答えを探す、クサれ哲学者のようになってしまったわい。			坑道の真実							
いいか、ワシが言いたいのは、古の大再生魔法についての知識は得られなんだが、「ラミットの妹がいた場所」が判明したということじゃ。			いいか、ワシが言いたいのは、古の大再生魔法についての知識は得られなんだが、「ラミットの妹がいた場所」が判明したということじゃ。			坑道の真実							
それでは、我が相棒を招待しよう。ワシの故郷……コルシア島の「トメラの村」にの！			それでは、我が相棒を招待しよう。ワシの故郷……コルシア島の「トメラの村」にの！			坑道の真実							
しまったのう……Forenameのやつに、我が故郷に向かう方法を、教えるのを忘れておった……。しかし、秘密坑道を通れる者は限られておるしどうしたものか。			しまったのう……Forenameのやつに、我が故郷に向かう方法を、教えるのを忘れておった……。しかし、秘密坑道を通れる者は限られておるしどうしたものか。			坑道の真実							
ん……？Forenameではないか！？どうやって、ここまで来たんじゃ？			ん……？Forenameではないか！？どうやって、ここまで来たんじゃ？			坑道の真実							
ほう、あのラダー大昇降機を動かしたのは、お前さんたちじゃったか……！			ほう、あのラダー大昇降機を動かしたのは、お前さんたちじゃったか……！			坑道の真実							
いやはや、さすが我が相棒！やるではないか、見直したぞ？			いやはや、さすが我が相棒！やるではないか、見直したぞ？			坑道の真実							
……ゴホン。ともかく、目的地はすぐそこじゃ。今度こそしっかり案内するゆえ、ついてくるがいいぞい！			……ゴホン。ともかく、目的地はすぐそこじゃ。今度こそしっかり案内するゆえ、ついてくるがいいぞい！			坑道の真実							
はぁ、はぁ、はぁ……封鎖されていた廃坑道の扉を開いたら、中から突然、こやつが飛び出してきよった……！			はぁ、はぁ、はぁ……封鎖されていた廃坑道の扉を開いたら、中から突然、こやつが飛び出してきよった……！			坑道の真実							
ま、一族最強のワシは、不意打ち程度でやられはせんがの！顔面に渾身のドワーフパンチをお見舞いしてやったわい！			ま、一族最強のワシは、不意打ち程度でやられはせんがの！顔面に渾身のドワーフパンチをお見舞いしてやったわい！			坑道の真実							
何と答える？			何と答える？			坑道の真実							
ドワーフパンチって何？			ドワーフパンチって何？			坑道の真実							
で、ここは何なの？			で、ここは何なの？			坑道の真実							
すまん、一族以外の者には教えられん。お前さんとワシの仲であっても、掟で禁じられているゆえな。それよりも、この奥の坑道についての話をするぞい。			すまん、一族以外の者には教えられん。お前さんとワシの仲であっても、掟で禁じられているゆえな。それよりも、この奥の坑道についての話をするぞい。			坑道の真実							
うむ、それこそお前さんを、我が故郷に連れてきた理由じゃ。厳密には連れてきたわけではないが、まあ精神的には、招待しておったし、問題はなかろう。			うむ、それこそお前さんを、我が故郷に連れてきた理由じゃ。厳密には連れてきたわけではないが、まあ精神的には、招待しておったし、問題はなかろう。			坑道の真実							
ともかく、この坑道は「光の氾濫」以前のこと、ある病気を患った者たちを、隔離するために使われておった。			ともかく、この坑道は「光の氾濫」以前のこと、ある病気を患った者たちを、隔離するために使われておった。			坑道の真実							
病の名は「ドヴェルグ病」……。感染すると、少しずつ皮膚が岩のように変異していき、短い者は数ヶ月、長い者でも数年後には、完全に石化したという。			病の名は「ドヴェルグ病」……。感染すると、少しずつ皮膚が岩のように変異していき、短い者は数ヶ月、長い者でも数年後には、完全に石化したという。			坑道の真実							
原因も不明ならば、治療法もわからない。ゆえに感染拡大を防ごうと、「穢れの坑道」と名付けた廃坑道に、患者を押し込めるという忌まわしい行為に手を染め……			原因も不明ならば、治療法もわからない。ゆえに感染拡大を防ごうと、「穢れの坑道」と名付けた廃坑道に、患者を押し込めるという忌まわしい行為に手を染め……			坑道の真実							
ラミット！「穢れの坑道」に立ち入ってはならぬと申し付けたはず！			ラミット！「穢れの坑道」に立ち入ってはならぬと申し付けたはず！			坑道の真実							
勝手に里を出ただけでは飽き足らず、よそ者を連れて舞い戻り、さらに禁忌を犯すとは……もはや我慢ならん……お主に永久追放を言い渡すッ！			勝手に里を出ただけでは飽き足らず、よそ者を連れて舞い戻り、さらに禁忌を犯すとは……もはや我慢ならん……お主に永久追放を言い渡すッ！			坑道の真実							
(-ドワーフ族の戦士たち-)追放だッ！　追放だッ！			(-ドワーフ族の戦士たち-)追放だッ！　追放だッ！			坑道の真実							
なぜだッ！ラミットは、苦労の末に大再生魔法「リバイヴ」を修得して、不治の病に侵されていた妹さんたちを救ったんだぞ！？			なぜだッ！ラミットは、苦労の末に大再生魔法「リバイヴ」を修得して、不治の病に侵されていた妹さんたちを救ったんだぞ！？			坑道の真実							
よそ者は黙っておれ！これは、ドワーフの問題じゃ！			よそ者は黙っておれ！これは、ドワーフの問題じゃ！			坑道の真実							
(-ドワーフ族の戦士たち-)黙っとれッ！　黙っとれッ！			(-ドワーフ族の戦士たち-)黙っとれッ！　黙っとれッ！			坑道の真実							
黙っていられるものかよ……！俺たち……いや、ラミットがどれだけ……!			黙っていられるものかよ……！俺たち……いや、ラミットがどれだけ……!			坑道の真実							
もういいの、アルバート。理由はどうあれ、掟を破ったことは事実なんだもの……。			もういいの、アルバート。理由はどうあれ、掟を破ったことは事実なんだもの……。			坑道の真実							
わかりました、最長老さま……。永久追放を受け入れます。一族の証、この兜もまたお返ししましょう。			わかりました、最長老さま……。永久追放を受け入れます。一族の証、この兜もまたお返ししましょう。			坑道の真実							
ラミット……お前…………。			ラミット……お前…………。			坑道の真実							
お姉ちゃんが、永久追放だっていうなら、私も出ていきます！			お姉ちゃんが、永久追放だっていうなら、私も出ていきます！			坑道の真実							
私たちドヴェルグ病の患者たちは、この薄暗い「穢れの坑道」に押し込められて生きてきました。呼吸がつらいから、兜も外して……。			私たちドヴェルグ病の患者たちは、この薄暗い「穢れの坑道」に押し込められて生きてきました。呼吸がつらいから、兜も外して……。			坑道の真実							
家族以外の者には、素顔を見せるべからず。掟を破ったから追放だっていうなら、私たちだって！			家族以外の者には、素顔を見せるべからず。掟を破ったから追放だっていうなら、私たちだって！			坑道の真実							
そうじゃな。ワシら病人は、ラミットに命を救われた。彼女ひとりを掟破りとして追い出すわけにはいかん。			そうじゃな。ワシら病人は、ラミットに命を救われた。彼女ひとりを掟破りとして追い出すわけにはいかん。			坑道の真実							
ゆこう、皆の者……！誇り高き掟破りの追放者として、この里を出るのじゃ！			ゆこう、皆の者……！誇り高き掟破りの追放者として、この里を出るのじゃ！			坑道の真実							
みんな……！			みんな……！			坑道の真実							
あれで、よかったのかよ。			あれで、よかったのかよ。			坑道の真実							
今からでも里に戻って、あの石頭の最長老を……			今からでも里に戻って、あの石頭の最長老を……			坑道の真実							
あなたの自慢の斧で、叩き割るつもり？もう、やめてよね……。			あなたの自慢の斧で、叩き割るつもり？もう、やめてよね……。			坑道の真実							
今のあなたは、ホブゴブリンにやられる新米冒険者じゃない。その腕前なら、ドワーフ随一の戦士と呼ばれる最長老さまさえ、簡単に倒しちゃうと思うわ。			今のあなたは、ホブゴブリンにやられる新米冒険者じゃない。その腕前なら、ドワーフ随一の戦士と呼ばれる最長老さまさえ、簡単に倒しちゃうと思うわ。			坑道の真実							
でも、それじゃ、何の解決にもならない。今、私たちがやるべきは、病を広めた元凶を探して倒すこと。きっと今回の件の裏にも「影の王」がいるはずよ。			でも、それじゃ、何の解決にもならない。今、私たちがやるべきは、病を広めた元凶を探して倒すこと。きっと今回の件の裏にも「影の王」がいるはずよ。			坑道の真実							
アルバート……私、この世界を救うためになら、故郷だって捨ててみせるわ。			アルバート……私、この世界を救うためになら、故郷だって捨ててみせるわ。			坑道の真実							
それに、重い兜を脱いでみて、初めて気づいたの。風を感じるのが、こんなに気持ちいいってこと……。			それに、重い兜を脱いでみて、初めて気づいたの。風を感じるのが、こんなに気持ちいいってこと……。			坑道の真実							
へへ……そうかよ。			へへ……そうかよ。			坑道の真実							
ま、なんだ……俺も、素顔のラミットのほうがいいと思うぜ。			ま、なんだ……俺も、素顔のラミットのほうがいいと思うぜ。			坑道の真実							
アルバート……。			アルバート……。			坑道の真実							
また、心にもない罵詈雑言を、言わねばならんのか？やいこのアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			また、心にもない罵詈雑言を、言わねばならんのか？やいこのアホ面ヒュム高慢エルフ破廉恥ドワーフ猫もどきのミステル筋肉ゴリゴリガルジェント鱗まみれのドラン通さないロンゾピョンピョコ兎のヴィース娘野郎！！お前の母ちゃんホブゴブリン！！			坑道の真実							
どうにか、目を覚ましたようじゃな？			どうにか、目を覚ましたようじゃな？			坑道の真実							
今回ばかりは、さしものワシも焦ったぞい。突然、お前さんが例によってフラフラし始めたかと思えば、倒したと思っていた罪喰いが動き出すしで……。			今回ばかりは、さしものワシも焦ったぞい。突然、お前さんが例によってフラフラし始めたかと思えば、倒したと思っていた罪喰いが動き出すしで……。			坑道の真実							
まぁ、罪喰いの件は、トドメを刺せていなかったワシが悪いんじゃが……それで、今回は何を視たんじゃ？			まぁ、罪喰いの件は、トドメを刺せていなかったワシが悪いんじゃが……それで、今回は何を視たんじゃ？			坑道の真実							
なんと……ドヴェルグ病をラミットが……？死病に侵された多くの同胞を救っておきながら、それゆえに追放されていたと……！？			なんと……ドヴェルグ病をラミットが……？死病に侵された多くの同胞を救っておきながら、それゆえに追放されていたと……！？			坑道の真実							
しかも……永久追放を言い渡したのは……当時の最長老は…………			しかも……永久追放を言い渡したのは……当時の最長老は…………			坑道の真実							
…………。			…………。			坑道の真実							
お、お前さんか……すまんな、勝手にフラフラとこんなところまで……。			お、お前さんか……すまんな、勝手にフラフラとこんなところまで……。			坑道の真実							
じゃが、すまん……少しだけワシに時間をくれんか？お前さんが視たという過去について、その事実を呑み込むまで、少しだけ時間が必要なんじゃ……。			じゃが、すまん……少しだけワシに時間をくれんか？お前さんが視たという過去について、その事実を呑み込むまで、少しだけ時間が必要なんじゃ……。			坑道の真実							
お前さんは、少し修行でもしていてくれ……。それではな……。			お前さんは、少し修行でもしていてくれ……。それではな……。			坑道の真実							
アミティーのトリストルは、冒険者に伝えたいことがあるようだ。			アミティーのトリストルは、冒険者に伝えたいことがあるようだ。			トルだせ大作戦！							
トリストルから、トルー一家のドワーフ族を紹介された。コルシア島のトメラの村にいる「水晶公」と話そう。			トリストルから、トルー一家のドワーフ族を紹介された。コルシア島のトメラの村にいる「水晶公」と話そう。			トルだせ大作戦！							
水晶公とともに、ザモットに事情を伝えた。トメラの村の「ザモット」と話そう。			水晶公とともに、ザモットに事情を伝えた。トメラの村の「ザモット」と話そう。			トルだせ大作戦！							
ザモットと話した。トメラの村の「見届け役のドワーフ」と話し、トルだせ大作戦に臨もう。			ザモットと話した。トメラの村の「見届け役のドワーフ」と話し、トルだせ大作戦に臨もう。			トルだせ大作戦！							
トルだせ大作戦の練習をした。トメラの村の「見届け役のドワーフ」と再度話し、トルだせ大作戦の本番に臨もう。			トルだせ大作戦の練習をした。トメラの村の「見届け役のドワーフ」と再度話し、トルだせ大作戦の本番に臨もう。			トルだせ大作戦！							
トルだせ大作戦の本番を成功させた。トメラの村の「ザモット」と話そう。			トルだせ大作戦の本番を成功させた。トメラの村の「ザモット」と話そう。			トルだせ大作戦！							
ザモットは冒険者の実力を認め、協力を申し出てくれた。ドワーフ族とともに心核用の鉱石を入手し、巨大タロースの制作に一役買おう。			ザモットは冒険者の実力を認め、協力を申し出てくれた。ドワーフ族とともに心核用の鉱石を入手し、巨大タロースの制作に一役買おう。			トルだせ大作戦！							
水晶公と話す			水晶公と話す			トルだせ大作戦！							
ザモットと話す			ザモットと話す			トルだせ大作戦！							
見届け役のドワーフと話し、トルだせ大作戦を行う			見届け役のドワーフと話し、トルだせ大作戦を行う			トルだせ大作戦！							
見届け役のドワーフと再度話し、トルだせ大作戦を行う			見届け役のドワーフと再度話し、トルだせ大作戦を行う			トルだせ大作戦！							
ザモットと話す			ザモットと話す			トルだせ大作戦！							
心核探しの冒険……か。思いがけない機会が湧いて出たものだ……。			心核探しの冒険……か。思いがけない機会が湧いて出たものだ……。			トルだせ大作戦！							
心核とするのは、身体と同じ地域で得られる鉱石が望ましい。さっそく、トリストルの知恵を貸してもらおう。			心核とするのは、身体と同じ地域で得られる鉱石が望ましい。さっそく、トリストルの知恵を貸してもらおう。			トルだせ大作戦！							
ちゃんとお話をすることができて、よかったわ。これを最初のきっかけとして、今後もアミティーの方々と話し合いができればと思うの。			ちゃんとお話をすることができて、よかったわ。これを最初のきっかけとして、今後もアミティーの方々と話し合いができればと思うの。			トルだせ大作戦！							
心核用の鉱石を探す……ということであれば、力になってくれる方々を、紹介できるかもしれません。			心核用の鉱石を探す……ということであれば、力になってくれる方々を、紹介できるかもしれません。			トルだせ大作戦！							
名を、「トルー一家」。この土地で古くから採掘を営んでいるドワーフ族の一派であり、私たちを秘密の坑道で断崖の上へ連れてきてくれた人々です。			名を、「トルー一家」。この土地で古くから採掘を営んでいるドワーフ族の一派であり、私たちを秘密の坑道で断崖の上へ連れてきてくれた人々です。			トルだせ大作戦！							
彼らほど、この土地の石について詳しい者はいませんし、事情を話せば、きっと協力してくれるはず……。			彼らほど、この土地の石について詳しい者はいませんし、事情を話せば、きっと協力してくれるはず……。			トルだせ大作戦！							
北西にある「トメラの村」に行って、最長老の「ザモット」さんに声をかけてみてください。「ラリホー」とあいさつするのを、お忘れなく！			北西にある「トメラの村」に行って、最長老の「ザモット」さんに声をかけてみてください。「ラリホー」とあいさつするのを、お忘れなく！			トルだせ大作戦！							
Forename、私も同行しよう。今のところはまだ体も動いているし、多少なり、力にはなれるはずだ。			Forename、私も同行しよう。今のところはまだ体も動いているし、多少なり、力にはなれるはずだ。			トルだせ大作戦！							
では、ふたりで心核用の鉱石を確保してきてくれ。魔力が凝縮されてさえいれば、石の種類は何だっていい。			では、ふたりで心核用の鉱石を確保してきてくれ。魔力が凝縮されてさえいれば、石の種類は何だっていい。			トルだせ大作戦！							
私はその間に、大急ぎで設計を進めるとしよう。			私はその間に、大急ぎで設計を進めるとしよう。			トルだせ大作戦！							
悪いが、心核用の鉱石は頼んだぞ。魔力が強い石が望ましいが、数でまかなってくれても構わない。ダイダロス社秘伝の技をもってすれば、うまくやれるだろう。			悪いが、心核用の鉱石は頼んだぞ。魔力が強い石が望ましいが、数でまかなってくれても構わない。ダイダロス社秘伝の技をもってすれば、うまくやれるだろう。			トルだせ大作戦！							
水晶公は、どこかお体でも悪いの……？ふたりとも、気をつけていってらっしゃいね。			水晶公は、どこかお体でも悪いの……？ふたりとも、気をつけていってらっしゃいね。			トルだせ大作戦！							
トルー一家は、気のいいドワーフ族です。大昇降機が止まっている間も、島中にある坑道を使って、こっそり断崖の上下を行き来していたのですよ。			トルー一家は、気のいいドワーフ族です。大昇降機が止まっている間も、島中にある坑道を使って、こっそり断崖の上下を行き来していたのですよ。			トルだせ大作戦！							
ここが「トメラの村」か……。			ここが「トメラの村」か……。			トルだせ大作戦！							
おお、本当にドワーフ族ばかりだ。彼らはクリスタリウムでも滅多に見かけないから、こうも集まっていると……不思議な感覚になるな……。			おお、本当にドワーフ族ばかりだ。彼らはクリスタリウムでも滅多に見かけないから、こうも集まっていると……不思議な感覚になるな……。			トルだせ大作戦！							
……普段は何かと周りを見上げてばかりの私だが、ここならば……うん……視界が新鮮だ……！			……普段は何かと周りを見上げてばかりの私だが、ここならば……うん……視界が新鮮だ……！			トルだせ大作戦！							
(-声の大きなドワーフ族-)ラリホー！			(-声の大きなドワーフ族-)ラリホー！			トルだせ大作戦！							
何と言う？			何と言う？			トルだせ大作戦！							
ラリホーッ！！			ラリホーッ！！			トルだせ大作戦！							
ラリホー？			ラリホー？			トルだせ大作戦！							
……今、なんて？			……今、なんて？			トルだせ大作戦！							
(-声の大きなドワーフ族-)おお、すばらしい！どこかで習ってきたかのような、いい挨拶だッ！			(-声の大きなドワーフ族-)おお、すばらしい！どこかで習ってきたかのような、いい挨拶だッ！			トルだせ大作戦！							
(-声の大きなドワーフ族-)ちっがーう！全然、なっとらんッ！			(-声の大きなドワーフ族-)ちっがーう！全然、なっとらんッ！			トルだせ大作戦！							
(-声の大きなドワーフ族-)挨拶だ、挨拶！まずは礼儀を尽くすのだッ！			(-声の大きなドワーフ族-)挨拶だ、挨拶！まずは礼儀を尽くすのだッ！			トルだせ大作戦！							
(-声の大きなドワーフ族-)いいか……こうだぞ……！			(-声の大きなドワーフ族-)いいか……こうだぞ……！			トルだせ大作戦！							
(-声の大きなドワーフ族-)ラリホーーーーッ！			(-声の大きなドワーフ族-)ラリホーーーーッ！			トルだせ大作戦！							
何と言う？			何と言う？			トルだせ大作戦！							
ラリホーーーッ！！			ラリホーーーッ！！			トルだせ大作戦！							
ラ、ラリホー！			ラ、ラリホー！			トルだせ大作戦！							
(-声の大きなドワーフ族-)うんうん、まあまあなラリホーだな！			(-声の大きなドワーフ族-)うんうん、まあまあなラリホーだな！			トルだせ大作戦！							
(-声の大きなドワーフ族-)……それで、おみゃーらはナニモンだ？何しにここへ来た？			(-声の大きなドワーフ族-)……それで、おみゃーらはナニモンだ？何しにここへ来た？			トルだせ大作戦！							
(-声の大きなドワーフ族-)……それで、おみゃーらはナニモンだ？「兜なし」だなんて、いかにもワケアリだが……。			(-声の大きなドワーフ族-)……それで、おみゃーらはナニモンだ？「兜なし」だなんて、いかにもワケアリだが……。			トルだせ大作戦！							
アミティーの人々から紹介を受けて、トルー一家のドワーフ族に、力を貸してもらいに来た。最長老の「ザモット」はいるだろうか？			アミティーの人々から紹介を受けて、トルー一家のドワーフ族に、力を貸してもらいに来た。最長老の「ザモット」はいるだろうか？			トルだせ大作戦！							
ザモットはワシだ！なんだ、おみゃーら、ワシの客だったか。			ザモットはワシだ！なんだ、おみゃーら、ワシの客だったか。			トルだせ大作戦！							
しかも、あの秘密の村で紹介を受けたってんなら、タダゴトじゃないな！どれ、詳しく話を聞かせてみろ！			しかも、あの秘密の村で紹介を受けたってんなら、タダゴトじゃないな！どれ、詳しく話を聞かせてみろ！			トルだせ大作戦！							
なるほどなぁ！下にはもう、つまらん連中しかおらんと思ったが、なかなかおもしろいことを言い出すじゃないか！			なるほどなぁ！下にはもう、つまらん連中しかおらんと思ったが、なかなかおもしろいことを言い出すじゃないか！			トルだせ大作戦！							
ワシらとしても、急に山が浮いたと思ったら、罪喰いがわんさと飛んでくるようになって、心配しておったところでなぁ……。			ワシらとしても、急に山が浮いたと思ったら、罪喰いがわんさと飛んでくるようになって、心配しておったところでなぁ……。			トルだせ大作戦！							
おみゃーらが、アレをどうにかしてくれるんなら、もちろん、手伝ってやらんことはないぞ！			おみゃーらが、アレをどうにかしてくれるんなら、もちろん、手伝ってやらんことはないぞ！			トルだせ大作戦！							
たーだーしー！			たーだーしー！			トルだせ大作戦！							
おみゃーらが求めてるような鉱石は、ワシらにとっても、特別で大事なモンだ。			おみゃーらが求めてるような鉱石は、ワシらにとっても、特別で大事なモンだ。			トルだせ大作戦！							
実力のないヤツに渡して、「やっぱり作戦は失敗でした」なんて言われた日にゃ、酒を浴びても気がすまん！			実力のないヤツに渡して、「やっぱり作戦は失敗でした」なんて言われた日にゃ、酒を浴びても気がすまん！			トルだせ大作戦！							
そこでだ！おみゃーの実力、試させてもらうぞ。トルー一家伝統の、「あの方法」でなッ！			そこでだ！おみゃーの実力、試させてもらうぞ。トルー一家伝統の、「あの方法」でなッ！			トルだせ大作戦！							
「あの方法」とは……？			「あの方法」とは……？			トルだせ大作戦！							
