レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
Eobj足跡の付近でエモート「見渡す」を使用×５　３オーラムヴェイル→巨石郡→巨石郡北西の橋を順に誘導最後の地点で見渡したら、橋の下にウェッジＰＯＰ			Eobj足跡の付近でエモート「見渡す」を使用×５　３オーラムヴェイル→巨石郡→巨石郡北西の橋を順に誘導最後の地点で見渡したら、橋の下にウェッジＰＯＰ			ふたりの脱走者							
Eobj足跡の付近でエモート「見渡す」を使用×５　４オーラムヴェイル→巨石郡→巨石郡北西の橋を順に誘導最後の地点で見渡したら、橋の下にウェッジＰＯＰ			Eobj足跡の付近でエモート「見渡す」を使用×５　４オーラムヴェイル→巨石郡→巨石郡北西の橋を順に誘導最後の地点で見渡したら、橋の下にウェッジＰＯＰ			ふたりの脱走者							
Eobj足跡の付近でエモート「見渡す」を使用×５　５オーラムヴェイル→巨石郡→巨石郡北西の橋を順に誘導最後の地点で見渡したら、橋の下にウェッジＰＯＰ			Eobj足跡の付近でエモート「見渡す」を使用×５　５オーラムヴェイル→巨石郡→巨石郡北西の橋を順に誘導最後の地点で見渡したら、橋の下にウェッジＰＯＰ			ふたりの脱走者							
……ひぃぃぃ、ひぃぃぃ……。ここはどこッス、寒いッス、帰りたいッス……。……ビッグスぅぅぅ……どこいったッスぅぅぅ……。			……ひぃぃぃ、ひぃぃぃ……。ここはどこッス、寒いッス、帰りたいッス……。……ビッグスぅぅぅ……どこいったッスぅぅぅ……。			ふたりの脱走者							
ひゃぁぁぁぁ！！たたた、助けてッス！？たたたた、食べてもうまくないッス！？			ひゃぁぁぁぁ！！たたた、助けてッス！？たたたた、食べてもうまくないッス！？			ふたりの脱走者							
あああ！　Surname！……あぅぅ、怖かったッス！			あああ！　Surname！……あぅぅ、怖かったッス！			ふたりの脱走者							
帝国軍は追いかけてくるし、魔物はいるし、寒いし、お腹は減ったし、寒いし……とにかく怖かったッス！！			帝国軍は追いかけてくるし、魔物はいるし、寒いし、お腹は減ったし、寒いし……とにかく怖かったッス！！			ふたりの脱走者							
ビッグスは、ここにはいないッス……。オイラを助けるために、帝国兵の注意を引いて別方向へ逃げていったッス……。			ビッグスは、ここにはいないッス……。オイラを助けるために、帝国兵の注意を引いて別方向へ逃げていったッス……。			ふたりの脱走者							
……俺だ、シドだ。どうだ、ヤツらの情報は、何か得ることができたか？			……俺だ、シドだ。どうだ、ヤツらの情報は、何か得ることができたか？			ふたりの脱走者							
……なんだって！？　ウェッジを見つけたってのか！さすが、Forenameだ！感謝するぜッ！			……なんだって！？　ウェッジを見つけたってのか！さすが、Forenameだ！感謝するぜッ！			ふたりの脱走者							
……ふむ、ビッグスはまだ見つかってないんだな。俺も「ゼーメル要塞」周辺を探したが、見つけることはできなかった。			……ふむ、ビッグスはまだ見つかってないんだな。俺も「ゼーメル要塞」周辺を探したが、見つけることはできなかった。			ふたりの脱走者							
西の方に逃げたのは間違いなさそうなんだが……。いや、イダとヤ・シュトラも探してくれている。きっと見つかるさ。			西の方に逃げたのは間違いなさそうなんだが……。いや、イダとヤ・シュトラも探してくれている。きっと見つかるさ。			ふたりの脱走者							
俺もヤツを探しながらそっちに向かう。……そうだな、まだその辺りは、帝国兵がうろついている可能性があるな。			俺もヤツを探しながらそっちに向かう。……そうだな、まだその辺りは、帝国兵がうろついている可能性があるな。			ふたりの脱走者							
そこから西に「秘石の塔」という石塔があるはずだ。帝国軍もさすがに少数では、イシュガルドの拠点に近づきはしないだろう。そこで落ち合うぞ。			そこから西に「秘石の塔」という石塔があるはずだ。帝国軍もさすがに少数では、イシュガルドの拠点に近づきはしないだろう。そこで落ち合うぞ。			ふたりの脱走者							
今のはまさか……。まさか、シド親方ッス！？			今のはまさか……。まさか、シド親方ッス！？			ふたりの脱走者							
……よかった……親方、無事だったッス……。えぐ、えぐ……。ホントに、よかったッス……。			……よかった……親方、無事だったッス……。えぐ、えぐ……。ホントに、よかったッス……。			ふたりの脱走者							
……少し元気でたッス！シド親方が来るまで「秘石の塔」で待つッス！			……少し元気でたッス！シド親方が来るまで「秘石の塔」で待つッス！			ふたりの脱走者							
このような場所へ、何の御用かしら？……貴女貴方は冒険者？　外は寒かったでしょう。ここで暖まっていくといいわ。			このような場所へ、何の御用かしら？……貴女貴方は冒険者？　外は寒かったでしょう。ここで暖まっていくといいわ。			ふたりの脱走者							
あら大変、そちらの方はずいぶんと凍えている様子。ささ、こちらで火にあたってくださいな。……今、何か飲み物を持ってまいりましょう。			あら大変、そちらの方はずいぶんと凍えている様子。ささ、こちらで火にあたってくださいな。……今、何か飲み物を持ってまいりましょう。			ふたりの脱走者							
落ち着いたかしらね。しばらくここで、ゆっくりしていきなさいな。			落ち着いたかしらね。しばらくここで、ゆっくりしていきなさいな。			ふたりの脱走者							
……貴女貴方もよ。急ぐ旅ほど休息は必要なんですから。			……貴女貴方もよ。急ぐ旅ほど休息は必要なんですから。			ふたりの脱走者							
アドネール占星台のポルトゥレーンは、冒険者に便宜を図ってくれるようだ。			アドネール占星台のポルトゥレーンは、冒険者に便宜を図ってくれるようだ。			帝国を見張る目							
ガレマール帝国のさらなる情報は、ゼーメル要塞で得られる可能性があるらしい。西の「ゼーメル要塞」にいる「ブリセル」に「ブリセル宛の書簡」を渡そう。			ガレマール帝国のさらなる情報は、ゼーメル要塞で得られる可能性があるらしい。西の「ゼーメル要塞」にいる「ブリセル」に「ブリセル宛の書簡」を渡そう。			帝国を見張る目							
ブリセルによれば、不時着した帝国の飛空艇から脱走者が出たのだという。南西にある「オーラムヴェイル」へ向かい、目撃者の「ピエルモン」から話を聞こう。			ブリセルによれば、不時着した帝国の飛空艇から脱走者が出たのだという。南西にある「オーラムヴェイル」へ向かい、目撃者の「ピエルモン」から話を聞こう。			帝国を見張る目							
オーラムヴェイルのピエルモンに話を聞いた。不時着した飛空艇はすぐに飛び去ったが、その場に残った帝国兵が騒然としていたらしい。この情報が仲間たちを助ける糸口になるとよいのだが……。			オーラムヴェイルのピエルモンに話を聞いた。不時着した飛空艇はすぐに飛び去ったが、その場に残った帝国兵が騒然としていたらしい。この情報が仲間たちを助ける糸口になるとよいのだが……。			帝国を見張る目							
ブリセルにブリセル宛の書簡を渡す			ブリセルにブリセル宛の書簡を渡す			帝国を見張る目							
ピエルモンと話す			ピエルモンと話す			帝国を見張る目							
私はアバラシア山脈における、ガレマール帝国軍の情報を収集している。その関係で「暁」のヤ・シュトラ殿と縁があってな。			私はアバラシア山脈における、ガレマール帝国軍の情報を収集している。その関係で「暁」のヤ・シュトラ殿と縁があってな。			帝国を見張る目							
先ほど伝えた、帝国軍の飛空艇が不時着したとの報告は、「ゼーメル要塞」から届いたものだ。			先ほど伝えた、帝国軍の飛空艇が不時着したとの報告は、「ゼーメル要塞」から届いたものだ。			帝国を見張る目							
……よし、この紹介状を衛士「ブリセル」に渡すといい。私からだといえば、詳しく話をしてくれるだろう。			……よし、この紹介状を衛士「ブリセル」に渡すといい。私からだといえば、詳しく話をしてくれるだろう。			帝国を見張る目							
「ゼーメル要塞」は、ここを出て西に進んだ先にある。街道沿いにも魔物は多い、気をつけろよ。仲間と合流できることを祈っているぞ。			「ゼーメル要塞」は、ここを出て西に進んだ先にある。街道沿いにも魔物は多い、気をつけろよ。仲間と合流できることを祈っているぞ。			帝国を見張る目							
ここはイシュガルド四大名家のひとつ……ゼーメル家が守護する、ゼーメル要塞である。……用なき者は立ち去るがよい。			ここはイシュガルド四大名家のひとつ……ゼーメル家が守護する、ゼーメル要塞である。……用なき者は立ち去るがよい。			帝国を見張る目							
これはポルトゥレーン殿から？……なるほど、例の飛空艇が不時着した件か。			これはポルトゥレーン殿から？……なるほど、例の飛空艇が不時着した件か。			帝国を見張る目							
なんでも、帝国の飛空艇から脱走した者がいたらしく、この近辺まで帝国兵が出張ってきている。我々も警戒をしていたところだ。			なんでも、帝国の飛空艇から脱走した者がいたらしく、この近辺まで帝国兵が出張ってきている。我々も警戒をしていたところだ。			帝国を見張る目							
帝国に囚われた同胞を探している、と？ならば、その脱走者が関係している可能性があるな。よし、南西の「オーラムヴェイル」に向かいたまえ。			帝国に囚われた同胞を探している、と？ならば、その脱走者が関係している可能性があるな。よし、南西の「オーラムヴェイル」に向かいたまえ。			帝国を見張る目							
彼の地を守る衛士たちが、墜落現場に偵察隊を派遣していたはずだ。「ピエルモン」という名の衛士に詳細を尋ねるがよい。			彼の地を守る衛士たちが、墜落現場に偵察隊を派遣していたはずだ。「ピエルモン」という名の衛士に詳細を尋ねるがよい。			帝国を見張る目							
……飛空艇の不時着ですか？ええ、たしかに見ましたよ。			……飛空艇の不時着ですか？ええ、たしかに見ましたよ。			帝国を見張る目							
飛空艇自体はすぐに飛び去ったようでしたが……。その場に残った帝国兵たちは、ずいぶんと騒いでいましたね。			飛空艇自体はすぐに飛び去ったようでしたが……。その場に残った帝国兵たちは、ずいぶんと騒いでいましたね。			帝国を見張る目							
砂の家のヤ・シュトラは、冒険者にミンフィリア救出を手伝ってほしいようだ。			砂の家のヤ・シュトラは、冒険者にミンフィリア救出を手伝ってほしいようだ。			反攻の布石							
ミンフィリアが捕らえられているカストルム・セントリの情報を得るため、クルザス中央高地のアドネール占星台にいる「ポルトゥレーン」と話そう。			ミンフィリアが捕らえられているカストルム・セントリの情報を得るため、クルザス中央高地のアドネール占星台にいる「ポルトゥレーン」と話そう。			反攻の布石							
ポルトゥレーンと話すことができた。どうやら協力してくれそうだ。			ポルトゥレーンと話すことができた。どうやら協力してくれそうだ。			反攻の布石							
アドネール占星台のポルトゥレーンと話す			アドネール占星台のポルトゥレーンと話す			反攻の布石							
ミンフィリアたちは、モードゥナの奥地にある帝国軍の軍事拠点「カストルム・セントリ」に捕らえられているらしいわ。			ミンフィリアたちは、モードゥナの奥地にある帝国軍の軍事拠点「カストルム・セントリ」に捕らえられているらしいわ。			反攻の布石							
急いで向かいたいところだけど、相手は帝国軍……。その拠点ともなれば、簡単には手を出せない。			急いで向かいたいところだけど、相手は帝国軍……。その拠点ともなれば、簡単には手を出せない。			反攻の布石							
それに、私が使っているウルダハの情報屋の話では、「カストルム・セントリ」で何か動きがあったそうよ。……慎重に行動したほうがいいかもしれないわね。			それに、私が使っているウルダハの情報屋の話では、「カストルム・セントリ」で何か動きがあったそうよ。……慎重に行動したほうがいいかもしれないわね。			反攻の布石							
まずは「クルザス中央高地」の「アドネール占星台」へ向かいましょう。			まずは「クルザス中央高地」の「アドネール占星台」へ向かいましょう。			反攻の布石							
あそこには、高地における帝国軍の動きを探っている「ポルトゥレーン」という名の騎士がいるの。彼をあたってみましょう。			あそこには、高地における帝国軍の動きを探っている「ポルトゥレーン」という名の騎士がいるの。彼をあたってみましょう。			反攻の布石							
冒険者か……このような地に何のようだ？……私に聞きたいことが？			冒険者か……このような地に何のようだ？……私に聞きたいことが？			反攻の布石							
ふむ、ヤ・シュトラ殿の仲間だったのか。いいだろう、話を聞こう。			ふむ、ヤ・シュトラ殿の仲間だったのか。いいだろう、話を聞こう。			反攻の布石							
なに……？「カストルム・セントリ」で動きはなかったかだと？ずいぶんと、ぶっきらぼうな質問だな。			なに……？「カストルム・セントリ」で動きはなかったかだと？ずいぶんと、ぶっきらぼうな質問だな。			反攻の布石							
私たちの仲間が捕らえられているかもしれないの。少しでもいい、何か情報はないかしら？			私たちの仲間が捕らえられているかもしれないの。少しでもいい、何か情報はないかしら？			反攻の布石							
ふむ……確かに最近、帝国軍に動きがあったぞ。何人かの捕虜が運び込まれたとの報告を聞いている。			ふむ……確かに最近、帝国軍に動きがあったぞ。何人かの捕虜が運び込まれたとの報告を聞いている。			反攻の布石							
斥候の話によれば、金髪の女性を厳重な警備体制で護送していたというが……さすがに、それが尋ね人かどうかまではわからんな。			斥候の話によれば、金髪の女性を厳重な警備体制で護送していたというが……さすがに、それが尋ね人かどうかまではわからんな。			反攻の布石							
きっと、ミンフィリアだ！さっそく助けに行かなきゃ！			きっと、ミンフィリアだ！さっそく助けに行かなきゃ！			反攻の布石							
それに……。			それに……。			反攻の布石							
……まだあるの？			……まだあるの？			反攻の布石							
ああ……。時同じくして、クルザスに帝国の飛空艇が不時着してな。捕虜らしき者が脱走したらしい。			ああ……。時同じくして、クルザスに帝国の飛空艇が不時着してな。捕虜らしき者が脱走したらしい。			反攻の布石							
なんだって？			なんだって？			反攻の布石							
そっちは、ルガディンとララフェル。ともに、ガーロンド・アイアンワークスの制服を着た技術者風の者だったと聞いている。			そっちは、ルガディンとララフェル。ともに、ガーロンド・アイアンワークスの制服を着た技術者風の者だったと聞いている。			反攻の布石							
……ルガディンとララフェルで、うちの社員だと？間違いない、ビッグスとウェッジだ！よかった……あいつら生きていたんだな……。			……ルガディンとララフェルで、うちの社員だと？間違いない、ビッグスとウェッジだ！よかった……あいつら生きていたんだな……。			反攻の布石							
Forename！ヤツらもいっしょに助ける訳にはいかないか！？			Forename！ヤツらもいっしょに助ける訳にはいかないか！？			反攻の布石							
……ワガママを言っていることは理解している。しかし、これからの戦いに、ヤツらの力もきっと必要になる！			……ワガママを言っていることは理解している。しかし、これからの戦いに、ヤツらの力もきっと必要になる！			反攻の布石							
捕虜が連れ込まれたからかもしれんが、ここしばらく「カストルム・セントリ」は警備が厳重になっている。			捕虜が連れ込まれたからかもしれんが、ここしばらく「カストルム・セントリ」は警備が厳重になっている。			反攻の布石							
正面を切って突入するにしても、侵入するにしても、あの警備状況では、救出もままならないだろう。			正面を切って突入するにしても、侵入するにしても、あの警備状況では、救出もままならないだろう。			反攻の布石							
その技術者も、お前たちの大切な仲間なんだろう？そちらを先に救出してくるがいい。			その技術者も、お前たちの大切な仲間なんだろう？そちらを先に救出してくるがいい。			反攻の布石							
……ミンフィリアの持つ「超える力」が解明されるまでは、いくら帝国軍でも、そう簡単に手を出すとは思えない。			……ミンフィリアの持つ「超える力」が解明されるまでは、いくら帝国軍でも、そう簡単に手を出すとは思えない。			反攻の布石							
逆に言えば、ガーロンド・アイアンワークスの2人を救うには、今しか機会がないわ。……彼らは用が済めば、消される可能性も高い。			逆に言えば、ガーロンド・アイアンワークスの2人を救うには、今しか機会がないわ。……彼らは用が済めば、消される可能性も高い。			反攻の布石							
恩に着るぜ！……待ってろよ、ビッグス、ウェッジ。きっと助けてやるからな！			恩に着るぜ！……待ってろよ、ビッグス、ウェッジ。きっと助けてやるからな！			反攻の布石							
まもなく最終調整が終了します。			まもなく最終調整が終了します。			反攻の布石							
……化石同然だったコイツを発掘して5年。閣下の想いを現実にする日が、すぐそこに来ているのです。			……化石同然だったコイツを発掘して5年。閣下の想いを現実にする日が、すぐそこに来ているのです。			反攻の布石							
我々は蛮神を打ち払う、絶対の力を手に入れた。この地を未来へと導くためには、力こそが須要。			我々は蛮神を打ち払う、絶対の力を手に入れた。この地を未来へと導くためには、力こそが須要。			反攻の布石							
弱き為政者どもが掴みえなかった真の平和……。エオルゼアを我が手に収め、これを創造する。			弱き為政者どもが掴みえなかった真の平和……。エオルゼアを我が手に収め、これを創造する。			反攻の布石							
……御意に。完全な状態に仕上げてご覧にみせます。			……御意に。完全な状態に仕上げてご覧にみせます。			反攻の布石							
リットアティンよ。明朝0時を以て「カストルム・オクシデンス」への異動を命ずる。			リットアティンよ。明朝0時を以て「カストルム・オクシデンス」への異動を命ずる。			反攻の布石							
ぬしには「カステッルム・マリヌム」の兵力も併せ、総計四個歩兵大隊の指揮を任せる。オクシデンスに陣を構え、エオルゼア西部を固めよ。			ぬしには「カステッルム・マリヌム」の兵力も併せ、総計四個歩兵大隊の指揮を任せる。オクシデンスに陣を構え、エオルゼア西部を固めよ。			反攻の布石							
決戦は近い……。ウルダハとリムサ・ロミンサのグランドカンパニーを見事、抑えてみせよ。			決戦は近い……。ウルダハとリムサ・ロミンサのグランドカンパニーを見事、抑えてみせよ。			反攻の布石							
陣営隊長リットアティン・サス・アルヴィナ。「カストルム・オクシデンス」への異動を拝命、四個歩兵大隊を指揮いたします。			陣営隊長リットアティン・サス・アルヴィナ。「カストルム・オクシデンス」への異動を拝命、四個歩兵大隊を指揮いたします。			反攻の布石							
しかし、属州出身の私めに、軍団の半数近い兵力を任せようとは……。我が命に代えましても、閣下のために滅私奉公する所存。			しかし、属州出身の私めに、軍団の半数近い兵力を任せようとは……。我が命に代えましても、閣下のために滅私奉公する所存。			反攻の布石							
……全ては、ぬしの実績によるもの。我への忠義は、任を果たすことで示せ。			……全ては、ぬしの実績によるもの。我への忠義は、任を果たすことで示せ。			反攻の布石							
ハハッ！			ハハッ！			反攻の布石							
……後ほど、わしの私室へ出頭しろ。			……後ほど、わしの私室へ出頭しろ。			反攻の布石							
アルフィノは冒険者に話したいことがあるようだ。			アルフィノは冒険者に話したいことがあるようだ。			かすかな灯火							
蛮神討伐には成功したが、失った仲間たちは戻ってこない。アルフィノは、それでも暁の火を灯す決意を固めているようだ……。「ベスパーベイ」の「砂の家」、「暁の血盟」本部に戻り、先に戻っている「アルフィノ」と話そう。			蛮神討伐には成功したが、失った仲間たちは戻ってこない。アルフィノは、それでも暁の火を灯す決意を固めているようだ……。「ベスパーベイ」の「砂の家」、「暁の血盟」本部に戻り、先に戻っている「アルフィノ」と話そう。			かすかな灯火							
砂の家で待っていたのは、イダとヤ・シュトラだった。彼女らによると、死んだと思われていたミンフィリアたちは生きて帝国の虜となっているという。仲間を救出するため、新たな戦いへと赴こう。			砂の家で待っていたのは、イダとヤ・シュトラだった。彼女らによると、死んだと思われていたミンフィリアたちは生きて帝国の虜となっているという。仲間を救出するため、新たな戦いへと赴こう。			かすかな灯火							
砂の家でアルフィノと話す			砂の家でアルフィノと話す			かすかな灯火							
さて、「ベスパーベイ」の「砂の家」へ……。「暁の血盟」本部へ向かおう。			さて、「ベスパーベイ」の「砂の家」へ……。「暁の血盟」本部へ向かおう。			かすかな灯火							
「砂の家」の惨状は話に聞いているが、そのままにしておくわけにもいくまい。犧牲となった仲間たちを弔い、我々も少し休もう。			「砂の家」の惨状は話に聞いているが、そのままにしておくわけにもいくまい。犧牲となった仲間たちを弔い、我々も少し休もう。			かすかな灯火							
……あの場所から、もう一度「暁」に明かりを灯すのだからな。			……あの場所から、もう一度「暁」に明かりを灯すのだからな。			かすかな灯火							
Surname……。君が最後に見た時も、このような状態だったか？			Surname……。君が最後に見た時も、このような状態だったか？			かすかな灯火							
いや、妙に片付いていると思ってな……。……すまない、気にしすぎだろう。さぁ、中に入ろうじゃないか。			いや、妙に片付いていると思ってな……。……すまない、気にしすぎだろう。さぁ、中に入ろうじゃないか。			かすかな灯火							
……待て。			……待て。			かすかな灯火							
ダレだ！！			ダレだ！！			かすかな灯火							
人に名を尋ねる時は、自分から名乗るのが礼儀だって教わらなかったかい？			人に名を尋ねる時は、自分から名乗るのが礼儀だって教わらなかったかい？			かすかな灯火							
アルフィノ様！君も！			アルフィノ様！君も！			かすかな灯火							
なんと！シドまで！			なんと！シドまで！			かすかな灯火							
よッ！久しぶりだな！			よッ！久しぶりだな！			かすかな灯火							
よかった……。みんな無事だったんだね！			よかった……。みんな無事だったんだね！			かすかな灯火							
……しかし、ひどい有様だな。			……しかし、ひどい有様だな。			かすかな灯火							
みんなで蛮神「タイタン」を倒そー！って時に、グリダニアに向かって、お仕事してたんだけど……。			みんなで蛮神「タイタン」を倒そー！って時に、グリダニアに向かって、お仕事してたんだけど……。			かすかな灯火							
帰ってきたら、こんなことになってて……。			帰ってきたら、こんなことになってて……。			かすかな灯火							
イダ……。			イダ……。			かすかな灯火							
ヤ・シュトラと一緒に、残った遺体を埋葬したり、ここを片付けたりしてたんだ……。			ヤ・シュトラと一緒に、残った遺体を埋葬したり、ここを片付けたりしてたんだ……。			かすかな灯火							
彼女も無事なんだな？			彼女も無事なんだな？			かすかな灯火							
……うん。今は、情報を集めるんだって出かけてる。			……うん。今は、情報を集めるんだって出かけてる。			かすかな灯火							
パパリモや、ミンフィリアたちの遺体がないんだ。ヤ・シュトラが言うには、おそらく、どこかに連れ去られたんだろうって。			パパリモや、ミンフィリアたちの遺体がないんだ。ヤ・シュトラが言うには、おそらく、どこかに連れ去られたんだろうって。			かすかな灯火							
やったのは、おそらく帝国だ。			やったのは、おそらく帝国だ。			かすかな灯火							
……帝国が？			……帝国が？			かすかな灯火							
先の蛮神「ガルーダ」との戦いのおり、帝国の将、ガイウスが見ていたものがある。			先の蛮神「ガルーダ」との戦いのおり、帝国の将、ガイウスが見ていたものがある。			かすかな灯火							
……君だ。			……君だ。			かすかな灯火							
ガイウスは「持たざる者」と言った。それが君のような「特異な能力を持つ者」に対し、言葉返しで言っているとすれば……。			ガイウスは「持たざる者」と言った。それが君のような「特異な能力を持つ者」に対し、言葉返しで言っているとすれば……。			かすかな灯火							
帝国は……少なくともガイウスは、君の「超える力」を知っていることになる。			帝国は……少なくともガイウスは、君の「超える力」を知っていることになる。			かすかな灯火							
その力を解明するために、ミンフィリアたちが拐われた可能性が高い。			その力を解明するために、ミンフィリアたちが拐われた可能性が高い。			かすかな灯火							
「砂の家」の所在地まで知っていたんだ、敵の間諜が紛れていたか……それとも……。			「砂の家」の所在地まで知っていたんだ、敵の間諜が紛れていたか……それとも……。			かすかな灯火							
いずれにしても、帝国が動いている。「暁」を立て直し、エオルゼアを救わなければならない。			いずれにしても、帝国が動いている。「暁」を立て直し、エオルゼアを救わなければならない。			かすかな灯火							
協力してくれるか？			協力してくれるか？			かすかな灯火							
うん……まかせて……。まかせてちょーだい！			うん……まかせて……。まかせてちょーだい！			かすかな灯火							
よし、まずは休もう。みんな疲れている。			よし、まずは休もう。みんな疲れている。			かすかな灯火							
一休みしたら出発だ。			一休みしたら出発だ。			かすかな灯火							
聞いて……感じて……考えて……			聞いて……感じて……考えて……			かすかな灯火							
……光の意志を持つ者よ			……光の意志を持つ者よ			かすかな灯火							
……光のクリスタルを……すべてのクリスタルを揃えし 勇なる魂を持つ者よ！			……光のクリスタルを……すべてのクリスタルを揃えし 勇なる魂を持つ者よ！			かすかな灯火							
我が名はハイデリン……あなたが棲む星の声……			我が名はハイデリン……あなたが棲む星の声……			かすかな灯火							
ついに 闇が動き出しました……			ついに 闇が動き出しました……			かすかな灯火							
闇の化身……赤き仮面の者はまもなく滅びにいたる混沌を招くでしょう……			闇の化身……赤き仮面の者はまもなく滅びにいたる混沌を招くでしょう……			かすかな灯火							
あなたが手にした光のクリスタルは闇を打ち払う武器となり 闇から身を守る盾となります			あなたが手にした光のクリスタルは闇を打ち払う武器となり 闇から身を守る盾となります			かすかな灯火							
心して時を待つのです……			心して時を待つのです……			かすかな灯火							
闇は すぐそこまで迫っているのです……			闇は すぐそこまで迫っているのです……			かすかな灯火							
光の意志を持つ者よ……どうか あなたの力を……			光の意志を持つ者よ……どうか あなたの力を……			かすかな灯火							
ヤ・シュトラ！			ヤ・シュトラ！			かすかな灯火							
みんな……無事だったのね。それに、シド、アルフィノ様まで。			みんな……無事だったのね。それに、シド、アルフィノ様まで。			かすかな灯火							
なぜこのようなところに……。いえ、これは全て、ルイゾワ様の導きかもしれない。			なぜこのようなところに……。いえ、これは全て、ルイゾワ様の導きかもしれない。			かすかな灯火							
「暁」の灯火を消すな。……そう聞こえるよう……。			「暁」の灯火を消すな。……そう聞こえるよう……。			かすかな灯火							
ミンフィリアたちの行方がわかりました。どうか皆、ご助力を。			ミンフィリアたちの行方がわかりました。どうか皆、ご助力を。			かすかな灯火							
場所は！？			場所は！？			かすかな灯火							
モードゥナの奥地、帝国軍の軍事拠点……。カストルム・セントリ！			モードゥナの奥地、帝国軍の軍事拠点……。カストルム・セントリ！			かすかな灯火							
ウルダハ・ランディングのロビーへお入りになりますか？			ウルダハ・ランディングのロビーへお入りになりますか？			かすかな灯火							
「ロビー」へ移動しますか？			「ロビー」へ移動しますか？			かすかな灯火							
はい			はい			かすかな灯火							
いいえ			いいえ			かすかな灯火							
想像していたより、ずっとひどいな……。クソ……あの石頭のバカ狼が。こんなこと、いつまで続けようってんだ！			想像していたより、ずっとひどいな……。クソ……あの石頭のバカ狼が。こんなこと、いつまで続けようってんだ！			かすかな灯火							
シドは冒険者と共にガルーダ討伐に向かいたいようだ。			シドは冒険者と共にガルーダ討伐に向かいたいようだ。			暴虐の嵐神ガルーダ							
ついにガルーダ討伐作戦が開始された。飛空艇「エンタープライズ」で嵐を越え、蛮神「ガルーダ」の祭壇「ハウリングアイ石塔群」に到着した。祭壇前にいる「アルフィノ」と話そう。			ついにガルーダ討伐作戦が開始された。飛空艇「エンタープライズ」で嵐を越え、蛮神「ガルーダ」の祭壇「ハウリングアイ石塔群」に到着した。祭壇前にいる「アルフィノ」と話そう。			暴虐の嵐神ガルーダ							
アルフィノと話した。準備を整え、蛮神「ガルーダ」との決戦に挑もう！※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			アルフィノと話した。準備を整え、蛮神「ガルーダ」との決戦に挑もう！※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			暴虐の嵐神ガルーダ							
見事、ガルーダを倒すことができた。			見事、ガルーダを倒すことができた。			暴虐の嵐神ガルーダ							
ウルダハ・ランディングの「アルフィノ」と話そう。			ウルダハ・ランディングの「アルフィノ」と話そう。			暴虐の嵐神ガルーダ							
蛮神「ガルーダ」は斃れ、当面の脅威は去った。ガレマール帝国軍の軍団長「ガイウス」と彼の操る「アルテマウェポン」のことは気になるが、今はこの勝利を喜ぼう。			蛮神「ガルーダ」は斃れ、当面の脅威は去った。ガレマール帝国軍の軍団長「ガイウス」と彼の操る「アルテマウェポン」のことは気になるが、今はこの勝利を喜ぼう。			暴虐の嵐神ガルーダ							
アルフィノと話す			アルフィノと話す			暴虐の嵐神ガルーダ							
蛮神「ガルーダ」を討伐			蛮神「ガルーダ」を討伐			暴虐の嵐神ガルーダ							
ウルダハ・ランディングのアルフィノと話す			ウルダハ・ランディングのアルフィノと話す			暴虐の嵐神ガルーダ							
これで……いいはずだ。お前が集めてくれた偏属性クリスタルを組み合わせ、属性変換機構を作った。			これで……いいはずだ。お前が集めてくれた偏属性クリスタルを組み合わせ、属性変換機構を作った。			暴虐の嵐神ガルーダ							
まず、蛮神「ガルーダ」の風壁を、ラノシアのクリスタルで、風から水属性に変換する。			まず、蛮神「ガルーダ」の風壁を、ラノシアのクリスタルで、風から水属性に変換する。			暴虐の嵐神ガルーダ							
それを、黒衣森のクリスタルで水属性から土属性に変換。最後にザナラーンのクリスタルで、土属性から火属性に変換……している。			それを、黒衣森のクリスタルで水属性から土属性に変換。最後にザナラーンのクリスタルで、土属性から火属性に変換……している。			暴虐の嵐神ガルーダ							
……つまり、3つの「偏属性クリスタル」を直列に繋ぎ、属性を連続で変換させることで、「風属性を火属性に変換」したんだ。			……つまり、3つの「偏属性クリスタル」を直列に繋ぎ、属性を連続で変換させることで、「風属性を火属性に変換」したんだ。			暴虐の嵐神ガルーダ							
少々大変だったが……あとは、この船に組みこむだけだ。			少々大変だったが……あとは、この船に組みこむだけだ。			暴虐の嵐神ガルーダ							
……やはり、不思議だ。自分では何も思い出せないのに、手がすべてを覚えている。そして、作業に没頭していると、何故か心が浮き立つんだ。			……やはり、不思議だ。自分では何も思い出せないのに、手がすべてを覚えている。そして、作業に没頭していると、何故か心が浮き立つんだ。			暴虐の嵐神ガルーダ							
