アプカル滝のヤ・ミトラの調査は、難航しているようだ。			アプカル滝のヤ・ミトラの調査は、難航しているようだ。			闇に葬られた頁							
今から思えば、そりゃもうつたない椅子だったけど、あれを作っているときは、お母さんのことしか考えてなかったなぁ。そっか……誰かのために物を作る、ということなんですかね……。			今から思えば、そりゃもうつたない椅子だったけど、あれを作っているときは、お母さんのことしか考えてなかったなぁ。そっか……誰かのために物を作る、ということなんですかね……。			一脚の安楽椅子							
お母さんを楽にさせてあげたいと焦っている内に、早く一人前になることばかり、考えるようになっていた……。あの気持ちを、どこかに落っことしてきちゃったんですかね……。			お母さんを楽にさせてあげたいと焦っている内に、早く一人前になることばかり、考えるようになっていた……。あの気持ちを、どこかに落っことしてきちゃったんですかね……。			一脚の安楽椅子							
落としてしまったのなら、また拾えばいいだけです……。			落としてしまったのなら、また拾えばいいだけです……。			一脚の安楽椅子							
チェミ、確かにあなたは職人として大事なことを見失っていた。ですが、そのことに気づいたあなたは、きっとこれからいい職人になるでしょう……。			チェミ、確かにあなたは職人として大事なことを見失っていた。ですが、そのことに気づいたあなたは、きっとこれからいい職人になるでしょう……。			一脚の安楽椅子							
師匠……！！は、はいっ、ウチ、頑張ります！！			師匠……！！は、はいっ、ウチ、頑張ります！！			一脚の安楽椅子							
Forenameさんも、こんなウチをずっとサポートしてくれてありがとうございます！もう二度と、大事なことを見失ったりしませんから！			Forenameさんも、こんなウチをずっとサポートしてくれてありがとうございます！もう二度と、大事なことを見失ったりしませんから！			一脚の安楽椅子							
よーし、そうと決まれば、まずは製材です！チェミ・ジンジャル流、木工師の心得・そのいち！良い物を作るためには、いい木材から！			よーし、そうと決まれば、まずは製材です！チェミ・ジンジャル流、木工師の心得・そのいち！良い物を作るためには、いい木材から！			一脚の安楽椅子							
私からもお礼を言わせてください……。木について語ることは得意でも、人と話すのは苦手でして……あなたが、いい見本になってくれた……。			私からもお礼を言わせてください……。木について語ることは得意でも、人と話すのは苦手でして……あなたが、いい見本になってくれた……。			一脚の安楽椅子							
フフフフ……だから、きっとあの子はもう大丈夫でしょう……。もし心配なら、お帰りの際にでも、ギルド入口にいるであろう、チェミに声をかけていってくださいね……。			フフフフ……だから、きっとあの子はもう大丈夫でしょう……。もし心配なら、お帰りの際にでも、ギルド入口にいるであろう、チェミに声をかけていってくださいね……。			一脚の安楽椅子							
いろいろとありがとう。いつか店を開くことができたら、そのときは遊びにきてくれるかい。			いろいろとありがとう。いつか店を開くことができたら、そのときは遊びにきてくれるかい。			一脚の安楽椅子							
あ、Forenameさん！近々、師匠に依頼人の方をご紹介していただけるとのことです！生まれ変わったウチをご覧に入れたいので、ご同席くださいね！			あ、Forenameさん！近々、師匠に依頼人の方をご紹介していただけるとのことです！生まれ変わったウチをご覧に入れたいので、ご同席くださいね！			一脚の安楽椅子							
で、何をしているかというと、依頼人の方を待つ間、異国を回って見てきたものを、復習がてらに作ってみようかと！			で、何をしているかというと、依頼人の方を待つ間、異国を回って見てきたものを、復習がてらに作ってみようかと！			一脚の安楽椅子							
ふふ……ただ作るのではなく、出会った人たちの顔を思い浮かべながら……ですよね！			ふふ……ただ作るのではなく、出会った人たちの顔を思い浮かべながら……ですよね！			一脚の安楽椅子							
ふふふ！よーし！不肖このチェミ・ジンジャル、もう一度頑張るぞ～！！			ふふふ！よーし！不肖このチェミ・ジンジャル、もう一度頑張るぞ～！！			一脚の安楽椅子							
職人として大切なことを思い出したあの子は、必ずや芽吹いて、真っ直ぐな大樹へと育つことでしょう……。			職人として大切なことを思い出したあの子は、必ずや芽吹いて、真っ直ぐな大樹へと育つことでしょう……。			一脚の安楽椅子							
剣術士ギルドのミラは、冒険者に伝えたいことがあるようだ。			剣術士ギルドのミラは、冒険者に伝えたいことがあるようだ。			いざ、決勝戦へ……							
ミラと話した。決勝戦が開始されるかと思いきや、ブラック・ロータスが突然の出場辞退を申し出たため、冒険者の不戦勝が決まったという。事態を整理するため、剣術士ギルドの「ミラ」と話そう。			ミラと話した。決勝戦が開始されるかと思いきや、ブラック・ロータスが突然の出場辞退を申し出たため、冒険者の不戦勝が決まったという。事態を整理するため、剣術士ギルドの「ミラ」と話そう。			いざ、決勝戦へ……							
ミラと話し、闘技会の観戦受付から事の経緯を聞いた。辞退の背後関係を調べることになった。剣術士ギルドにいる「闘技会の受付人」に話を聞こう。			ミラと話し、闘技会の観戦受付から事の経緯を聞いた。辞退の背後関係を調べることになった。剣術士ギルドにいる「闘技会の受付人」に話を聞こう。			いざ、決勝戦へ……							
闘技会の受付人に話を聞いた。ブラック・ロータスは、棄権の理由も告げず、パールレーンの方に去っていったという。ウルダハのパールレーン付近で「ブラック・ロータス」を探そう。			闘技会の受付人に話を聞いた。ブラック・ロータスは、棄権の理由も告げず、パールレーンの方に去っていったという。ウルダハのパールレーン付近で「ブラック・ロータス」を探そう。			いざ、決勝戦へ……							
ブラック・ロータスを見つけた。彼の正体はアルディスで、行きずりで助けた子どもを人質に囚われてしまい、脅されたために棄権したことがわかった。子どもを助けるため、「パールレーン」で市民に聞き込みをしよう。			ブラック・ロータスを見つけた。彼の正体はアルディスで、行きずりで助けた子どもを人質に囚われてしまい、脅されたために棄権したことがわかった。子どもを助けるため、「パールレーン」で市民に聞き込みをしよう。			いざ、決勝戦へ……							
市民に聞き込みをし、闇賭博をしている者たちの手下の在り処と合言葉を掴んだ。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真実を疑え』と入力し、ウルダハのザル大門の「怪しげな男」に合言葉を言おう。			市民に聞き込みをし、闇賭博をしている者たちの手下の在り処と合言葉を掴んだ。チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『真実を疑え』と入力し、ウルダハのザル大門の「怪しげな男」に合言葉を言おう。			いざ、決勝戦へ……							
怪しげな男に合言葉を伝え、子どもの居場所を突き止めた。中央ザナラーンの刺抜盆地で「荒々しい男」を探そう。			怪しげな男に合言葉を伝え、子どもの居場所を突き止めた。中央ザナラーンの刺抜盆地で「荒々しい男」を探そう。			いざ、決勝戦へ……							
荒々しい男を見つけたところ、襲ってきたので倒した。刺抜盆地の「小柄な少年」を救助しよう。			荒々しい男を見つけたところ、襲ってきたので倒した。刺抜盆地の「小柄な少年」を救助しよう。			いざ、決勝戦へ……							
小柄な少年を救助した。アルディスとミラが駆けつけ、今回の件を仕組んだ黒幕が、オッドという元傭兵であるという証拠を押さえたという。また、ミラは決勝戦のやり直しをコロセウム財団に提案するという。今後のことを聞くため、ウルダハの剣術士ギルドの「ミラ」と話そう。			小柄な少年を救助した。アルディスとミラが駆けつけ、今回の件を仕組んだ黒幕が、オッドという元傭兵であるという証拠を押さえたという。また、ミラは決勝戦のやり直しをコロセウム財団に提案するという。今後のことを聞くため、ウルダハの剣術士ギルドの「ミラ」と話そう。			いざ、決勝戦へ……							
ミラと話した。決勝戦の開催に向けて主催側に掛け合うが、少し時間がかかりそうだ。来たるべき決勝戦に向けて、腕を磨いておくとしよう。※ナイトのレベルが70以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			ミラと話した。決勝戦の開催に向けて主催側に掛け合うが、少し時間がかかりそうだ。来たるべき決勝戦に向けて、腕を磨いておくとしよう。※ナイトのレベルが70以上になると、剣術士ギルドのミラから次のナイトクエストを受注することができます。			いざ、決勝戦へ……							
剣術士ギルドのミラと話す			剣術士ギルドのミラと話す			いざ、決勝戦へ……							
闘技会の受付人と話す			闘技会の受付人と話す			いざ、決勝戦へ……							
ブラック・ロータスを探す			ブラック・ロータスを探す			いざ、決勝戦へ……							
パールレーンで情報を集める			パールレーンで情報を集める			いざ、決勝戦へ……							
チャットの「Say」モードで『真実を疑え』と入力し怪しげな男に合言葉を言う			チャットの「Say」モードで『真実を疑え』と入力し怪しげな男に合言葉を言う			いざ、決勝戦へ……							
刺抜盆地で荒々しい男を探す			刺抜盆地で荒々しい男を探す			いざ、決勝戦へ……							
刺抜盆地で小柄な少年を救助			刺抜盆地で小柄な少年を救助			いざ、決勝戦へ……							
剣術士ギルドのミラと話す			剣術士ギルドのミラと話す			いざ、決勝戦へ……							
よく来たな、Forename。いよいよ決勝戦だ……頑張れよ、健闘を祈る！			よく来たな、Forename。いよいよ決勝戦だ……頑張れよ、健闘を祈る！			いざ、決勝戦へ……							
……お、お知らせいたします！ブラック・ロータス選手から、決勝戦の出場を辞退するとの申し出がありました！			……お、お知らせいたします！ブラック・ロータス選手から、決勝戦の出場を辞退するとの申し出がありました！			いざ、決勝戦へ……							
こ、これにより、ウル王杯闘技会の決勝戦は、Forename Surname選手の不戦勝となります……！			こ、これにより、ウル王杯闘技会の決勝戦は、Forename Surname選手の不戦勝となります……！			いざ、決勝戦へ……							
おいおい……もしかして、あの噂は本当なんじゃないか？			おいおい……もしかして、あの噂は本当なんじゃないか？			いざ、決勝戦へ……							
ブラック・ロータスが、あのコロセウムを追放された、アルディスだって話か？本当だか、にわかには信じがたいけどな……。			ブラック・ロータスが、あのコロセウムを追放された、アルディスだって話か？本当だか、にわかには信じがたいけどな……。			いざ、決勝戦へ……							
ナル・ブロックを制したブラック・ロータス選手ですが、なんと、突然の辞退とのことです……。			ナル・ブロックを制したブラック・ロータス選手ですが、なんと、突然の辞退とのことです……。			いざ、決勝戦へ……							
いったい何が起きてるってんだ！？			いったい何が起きてるってんだ！？			いざ、決勝戦へ……							
ぞ、続報が入り次第、我々もお知らせしたいと思います。各種対応もあります故、ひとまず今はこれにて……！			ぞ、続報が入り次第、我々もお知らせしたいと思います。各種対応もあります故、ひとまず今はこれにて……！			いざ、決勝戦へ……							
決勝戦を棄権とは、いったいどういうことだ……？			決勝戦を棄権とは、いったいどういうことだ……？			いざ、決勝戦へ……							
それが我々も、何がなんだかさっぱりでして……。棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			それが我々も、何がなんだかさっぱりでして……。棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			いざ、決勝戦へ……							
運営側も、事態を把握していないというのか……。			運営側も、事態を把握していないというのか……。			いざ、決勝戦へ……							
コロセウムで、この手の棄権騒ぎが起きるときは、よからぬ連中が裏で動いていることが多い……。			コロセウムで、この手の棄権騒ぎが起きるときは、よからぬ連中が裏で動いていることが多い……。			いざ、決勝戦へ……							
対戦相手の棄権で不戦勝だなんて、Forenameとしても、不本意だろう？そこで、背後関係を調べたいと思うのだが、手伝ってくれるか？			対戦相手の棄権で不戦勝だなんて、Forenameとしても、不本意だろう？そこで、背後関係を調べたいと思うのだが、手伝ってくれるか？			いざ、決勝戦へ……							
ありがとう！まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			ありがとう！まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			いざ、決勝戦へ……							
我々にも、何がなんだかさっぱりでして……棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			我々にも、何がなんだかさっぱりでして……棄権の話を聞いたのは「闘技会の受付人」なので、彼に聞けば、もう少し詳しい話が聞けるかもしれませんが……。			いざ、決勝戦へ……							
まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			まずは、棄権を打診されたという「闘技会の受付人」に、詳しい話を聞いてみるのがよさそうだな。			いざ、決勝戦へ……							
はい、確かに私がブラック・ロータス選手から、決勝戦を棄権する旨を聞きました。			はい、確かに私がブラック・ロータス選手から、決勝戦を棄権する旨を聞きました。			いざ、決勝戦へ……							
あれはちょうど、あなたが控室に入ったあとだったでしょうか。やってきて、控室に入られるかと思いきや、突然、棄権すると申し出てこられまして……。			あれはちょうど、あなたが控室に入ったあとだったでしょうか。やってきて、控室に入られるかと思いきや、突然、棄権すると申し出てこられまして……。			いざ、決勝戦へ……							
しかも、手続きだけ済ませると、早々に帰ろうとなさいまして……どうにか引き留めようと、追いかけたもののなしのつぶて。棄権の理由すら話してくれませんでした……。			しかも、手続きだけ済ませると、早々に帰ろうとなさいまして……どうにか引き留めようと、追いかけたもののなしのつぶて。棄権の理由すら話してくれませんでした……。			いざ、決勝戦へ……							
彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			いざ、決勝戦へ……							
彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			彼なら「パールレーン」の方へと去っていきましたよ。気になるようでしたら、そちらを捜してみてはいかがですか？			いざ、決勝戦へ……							
どうだ、何か手がかりは掴めたか？			どうだ、何か手がかりは掴めたか？			いざ、決勝戦へ……							
(-ブラック・ロータス-)おっと、追いつかれちまったか。……とっくにバレてたかもしれねェが、こうなっちまったら、もう正体を明かすしかなさそうだな。			(-ブラック・ロータス-)おっと、追いつかれちまったか。……とっくにバレてたかもしれねェが、こうなっちまったら、もう正体を明かすしかなさそうだな。			いざ、決勝戦へ……							
よぉ、ひさしぶりだな！……つっても、兜を被った状態で会ってたが。			よぉ、ひさしぶりだな！……つっても、兜を被った状態で会ってたが。			いざ、決勝戦へ……							
どうせ、棄権を引き留めにきたんだろう？まぁ、お前なら、そうするよな……いいか、これからする話は他言無用だぜ？			どうせ、棄権を引き留めにきたんだろう？まぁ、お前なら、そうするよな……いいか、これからする話は他言無用だぜ？			いざ、決勝戦へ……							
お前やミラ、そしてウルダハに別れを告げてから、俺は各地を転々と旅してきた……。			お前やミラ、そしてウルダハに別れを告げてから、俺は各地を転々と旅してきた……。			いざ、決勝戦へ……							
そんなあるとき、ひょんなことから、とある子どもを助けたことがあってな。お前さんも、大会前に会っただろう？			そんなあるとき、ひょんなことから、とある子どもを助けたことがあってな。お前さんも、大会前に会っただろう？			いざ、決勝戦へ……							
もちろん、俺の子どもってわけじゃねぇ。戦災孤児らしくて、どうしても俺から剣を習いたいと、撒いても撒いても追ってきやがってな……。			もちろん、俺の子どもってわけじゃねぇ。戦災孤児らしくて、どうしても俺から剣を習いたいと、撒いても撒いても追ってきやがってな……。			いざ、決勝戦へ……							
で、そのガキのことを、俺の子どもだと、脅してきたヤツらが勘違いしたみたいでな。ガキの命が惜しければ決勝戦は棄権しろ、と言ってきやがった。			で、そのガキのことを、俺の子どもだと、脅してきたヤツらが勘違いしたみたいでな。ガキの命が惜しければ決勝戦は棄権しろ、と言ってきやがった。			いざ、決勝戦へ……							
俺のことなら、自分でなんとかするが、他人の命が関わってちゃあ、話は別だ。何の縁もねぇガキだが、助けるために棄権したってわけさ。			俺のことなら、自分でなんとかするが、他人の命が関わってちゃあ、話は別だ。何の縁もねぇガキだが、助けるために棄権したってわけさ。			いざ、決勝戦へ……							
どうにも、ちょいとばかり情が移っちまったようでな。まったく、俺らしくもねェ……。			どうにも、ちょいとばかり情が移っちまったようでな。まったく、俺らしくもねェ……。			いざ、決勝戦へ……							
やっぱり、あんただったか。戦ったときにわかったよ……。			やっぱり、あんただったか。戦ったときにわかったよ……。			いざ、決勝戦へ……							
よう、ミラ！元気でやってたか？また一段とキレイになったんじゃねェか？			よう、ミラ！元気でやってたか？また一段とキレイになったんじゃねェか？			いざ、決勝戦へ……							
アルディス、貴様！手紙のひとつもよこさないとは、どういうことだ！？			アルディス、貴様！手紙のひとつもよこさないとは、どういうことだ！？			いざ、決勝戦へ……							
お～お、そう怒るなって。せっかくの顔にシワが増えちゃうぜ？			お～お、そう怒るなって。せっかくの顔にシワが増えちゃうぜ？			いざ、決勝戦へ……							
それにしても、何故急に戻ってきた！？			それにしても、何故急に戻ってきた！？			いざ、決勝戦へ……							
あれから各地を転々としてたんだが、Forenameの噂話はどこにいても伝わってきてな。スゴ腕の剣士だって、そこら中のヤツが話してた。			あれから各地を転々としてたんだが、Forenameの噂話はどこにいても伝わってきてな。スゴ腕の剣士だって、そこら中のヤツが話してた。			いざ、決勝戦へ……							
聞けば、自由騎士なんてもんを掲げてるときた。……どんだけ凄くなったのか、興味津々だったぜ。そして、できることなら剣を交えてみたい、とさえ思ってな。			聞けば、自由騎士なんてもんを掲げてるときた。……どんだけ凄くなったのか、興味津々だったぜ。そして、できることなら剣を交えてみたい、とさえ思ってな。			いざ、決勝戦へ……							
……そんな中、この大会の存在を聞いたってわけだ。ま、Forenameが出てくりゃよし、出てこなけりゃ、俺が優勝をさらって、また放浪ってな。			……そんな中、この大会の存在を聞いたってわけだ。ま、Forenameが出てくりゃよし、出てこなけりゃ、俺が優勝をさらって、また放浪ってな。			いざ、決勝戦へ……							
そこで、昔のツテを頼って招待状を手に入れ、バレないように兜を被って参戦したってわけさ。俺は追放された身……顔を出してたら参加できねェからな。			そこで、昔のツテを頼って招待状を手に入れ、バレないように兜を被って参戦したってわけさ。俺は追放された身……顔を出してたら参加できねェからな。			いざ、決勝戦へ……							
それなら、何故急に決勝戦を辞退した？Forenameと戦える、またとない機会だろう！？			それなら、何故急に決勝戦を辞退した？Forenameと戦える、またとない機会だろう！？			いざ、決勝戦へ……							
知ってのとおり、この手の闘技会では莫大な金が動く。合法な賭けならまだしも、豪商どもの遊びは、はした金じゃない。			知ってのとおり、この手の闘技会では莫大な金が動く。合法な賭けならまだしも、豪商どもの遊びは、はした金じゃない。			いざ、決勝戦へ……							
色々あったウルダハだが、金絡みになると、何も変わっちゃいねェな……。			色々あったウルダハだが、金絡みになると、何も変わっちゃいねェな……。			いざ、決勝戦へ……							
今回もご多分に漏れず、八百長してでもって奴らがいる。そいつらに、ガキがさらわれちまってな……。			今回もご多分に漏れず、八百長してでもって奴らがいる。そいつらに、ガキがさらわれちまってな……。			いざ、決勝戦へ……							
……ガキ、だと…………？			……ガキ、だと…………？			いざ、決勝戦へ……							
おいおい、こっ恥ずかしいから細かいことは聞かねェでくれよ。			おいおい、こっ恥ずかしいから細かいことは聞かねェでくれよ。			いざ、決勝戦へ……							
なんとしてでも、お前を優勝させたいって奴らがいるらしいな。優勝候補筆頭のお前を勝たせたって、うまみはねェと思うんだが……。			なんとしてでも、お前を優勝させたいって奴らがいるらしいな。優勝候補筆頭のお前を勝たせたって、うまみはねェと思うんだが……。			いざ、決勝戦へ……							
おっと、詳しい話はあとだ。こうしている間にも、命に危険が迫っているかもしれねぇ。			おっと、詳しい話はあとだ。こうしている間にも、命に危険が迫っているかもしれねぇ。			いざ、決勝戦へ……							
自分勝手で悪ぃとは思うんだが、よかったらガキを助けるのを手伝ってくれないか？			自分勝手で悪ぃとは思うんだが、よかったらガキを助けるのを手伝ってくれないか？			いざ、決勝戦へ……							
ありがとよ！まずは、さらっていったヤツらの根城を見つける必要がある。手分けして調査してみよう、お前はパールレーンの方を頼む。			ありがとよ！まずは、さらっていったヤツらの根城を見つける必要がある。手分けして調査してみよう、お前はパールレーンの方を頼む。			いざ、決勝戦へ……							
……ガキ、だと…………？あいつ、いつの間に……。			……ガキ、だと…………？あいつ、いつの間に……。			いざ、決勝戦へ……							
今回のウル王杯闘技会で、賭けをしているやつらを見たことがないかって？さぁ、そういう話は聞いたことがないな……。			今回のウル王杯闘技会で、賭けをしているやつらを見たことがないかって？さぁ、そういう話は聞いたことがないな……。			いざ、決勝戦へ……							
なんだよ、笑いものにしようってか？			なんだよ、笑いものにしようってか？			いざ、決勝戦へ……							
俺は知らないが、ここらへんのやつは、賭けで一発逆転を狙ってるやつも多くいるからな。知ってる人間の、ひとりやふたりはいそうな気がするが。			俺は知らないが、ここらへんのやつは、賭けで一発逆転を狙ってるやつも多くいるからな。知ってる人間の、ひとりやふたりはいそうな気がするが。			いざ、決勝戦へ……							
賭け？さ、さて、何のことだか……。			賭け？さ、さて、何のことだか……。			いざ、決勝戦へ……							
こ、こ、子どもをさらってるだって！？あいつら、そんなことにまで手を出すヤツらだったのか……あっ、うっかり…………！			こ、こ、子どもをさらってるだって！？あいつら、そんなことにまで手を出すヤツらだったのか……あっ、うっかり…………！			いざ、決勝戦へ……							
……わかったよ、教えてやるよ。闇賭博を仕切ってる連中は、足がつかないように、頻繁に賭けの窓口を変えているのさ。			……わかったよ、教えてやるよ。闇賭博を仕切ってる連中は、足がつかないように、頻繁に賭けの窓口を変えているのさ。			いざ、決勝戦へ……							
「ザル大門」に手下のひとりがいるから、そいつに「真実を疑え」と言ってみろ。きっと、窓口の場所を教えてくれるはずさ。			「ザル大門」に手下のひとりがいるから、そいつに「真実を疑え」と言ってみろ。きっと、窓口の場所を教えてくれるはずさ。			いざ、決勝戦へ……							
……く、くれぐれも、俺から聞いたって言わないでくれよ！？			……く、くれぐれも、俺から聞いたって言わないでくれよ！？			いざ、決勝戦へ……							
今回のウル王杯闘技会で、賭けをしているやつらを見たことがないかって？さぁ、そういう話は聞いたことがないな……。			今回のウル王杯闘技会で、賭けをしているやつらを見たことがないかって？さぁ、そういう話は聞いたことがないな……。			いざ、決勝戦へ……							
俺は知らないが、ここらへんのやつは、賭けで一発逆転を狙ってるやつも多くいるからな。知ってる人間のひとりやふたりはいそうな気がするが。			俺は知らないが、ここらへんのやつは、賭けで一発逆転を狙ってるやつも多くいるからな。知ってる人間のひとりやふたりはいそうな気がするが。			いざ、決勝戦へ……							
「ザル大門」に手下のひとりがいるから、そいつに「真実を疑え」と言ってみろ。きっと、窓口の場所を教えてくれるはずさ。			「ザル大門」に手下のひとりがいるから、そいつに「真実を疑え」と言ってみろ。きっと、窓口の場所を教えてくれるはずさ。			いざ、決勝戦へ……							
ガキ、だと…………？あいつ、いつの間に……。			ガキ、だと…………？あいつ、いつの間に……。			いざ、決勝戦へ……							
なんだ、お前は？ジロジロ見てんじゃねぇよ！			なんだ、お前は？ジロジロ見てんじゃねぇよ！			いざ、決勝戦へ……							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『真実を疑え』と合言葉を入力しましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『真実を疑え』と合言葉を入力しましょう。			いざ、決勝戦へ……							
……おっと、客だったか。今日の窓口は、「ササガン大王樹」付近だ。払い戻しなら、そこにいる仲間が仕切っている。			……おっと、客だったか。今日の窓口は、「ササガン大王樹」付近だ。払い戻しなら、そこにいる仲間が仕切っている。			いざ、決勝戦へ……							
ただ、ワケアリで預かったガキがいるから、少しばかり騒がしいかもしれんが……ま、その辺りは、気にしないでおいてくれや。			ただ、ワケアリで預かったガキがいるから、少しばかり騒がしいかもしれんが……ま、その辺りは、気にしないでおいてくれや。			いざ、決勝戦へ……							
今日の窓口は、「ササガン大王樹」付近だ。預かったガキがいるもんで、少しばかり騒がしいかもしれんが、その辺りは、気にしないでおいてくれや。			今日の窓口は、「ササガン大王樹」付近だ。預かったガキがいるもんで、少しばかり騒がしいかもしれんが、その辺りは、気にしないでおいてくれや。			いざ、決勝戦へ……							
真実を疑え			真実を疑え			いざ、決勝戦へ……							
何だお前は？			何だお前は？			いざ、決勝戦へ……							
何をしに来た？			何をしに来た？			いざ、決勝戦へ……							
お前たちを成敗しに来た！			お前たちを成敗しに来た！			いざ、決勝戦へ……							
子どもを返してもらおうか！			子どもを返してもらおうか！			いざ、決勝戦へ……							
なんだと！？こしゃくな！　やっちまえ！！			なんだと！？こしゃくな！　やっちまえ！！			いざ、決勝戦へ……							
子どもを返せ、だと？……まさか貴様、アルディスの味方か！？野郎ども、やっちまえ！！			子どもを返せ、だと？……まさか貴様、アルディスの味方か！？野郎ども、やっちまえ！！			いざ、決勝戦へ……							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			いざ、決勝戦へ……							
ううっ、あなたも悪い人たちの仲間なの……？アルディスおじさん、助けてぇ～！！			ううっ、あなたも悪い人たちの仲間なの……？アルディスおじさん、助けてぇ～！！			いざ、決勝戦へ……							
子どもは無事か！？			子どもは無事か！？			いざ、決勝戦へ……							
アルディスのおじさん、ありがとう！ごめんよ、僕がもっと強ければ、こんなことには……。			アルディスのおじさん、ありがとう！ごめんよ、僕がもっと強ければ、こんなことには……。			いざ、決勝戦へ……							
へっ、それならもっと剣の修行をするんだな。それに、今回お前さんを助けたのは俺じゃなくて、このForenameだ、礼を言う相手が違うぜ？			へっ、それならもっと剣の修行をするんだな。それに、今回お前さんを助けたのは俺じゃなくて、このForenameだ、礼を言う相手が違うぜ？			いざ、決勝戦へ……							
うん、そうだね！			うん、そうだね！			いざ、決勝戦へ……							
Forenameおねえちゃんおにいちゃん、助けてくれてありがとっ！最初は、ヤツらの仲間かと思っちゃった……。			Forenameおねえちゃんおにいちゃん、助けてくれてありがとっ！最初は、ヤツらの仲間かと思っちゃった……。			いざ、決勝戦へ……							
それにしても、すっごい剣さばきだったね……見とれちゃった！僕も自分の身くらいしっかり守れるように、強くなるよ！			それにしても、すっごい剣さばきだったね……見とれちゃった！僕も自分の身くらいしっかり守れるように、強くなるよ！			いざ、決勝戦へ……							
俺たちの方で、今回の一件を仕組んだ黒幕が、「オッド」という名の元傭兵だって証拠を押さえたぜ。銅刃団にタレ込んでおいたから、そのうちとっ捕まるだろうよ。			俺たちの方で、今回の一件を仕組んだ黒幕が、「オッド」という名の元傭兵だって証拠を押さえたぜ。銅刃団にタレ込んでおいたから、そのうちとっ捕まるだろうよ。			いざ、決勝戦へ……							
そういえば、さっきこの子、お前のことを「おじさん」と言っていたが……？			そういえば、さっきこの子、お前のことを「おじさん」と言っていたが……？			いざ、決勝戦へ……							
……それがどうした？「お兄ちゃん」と呼んでもらえるナリはしてないもンでな。			……それがどうした？「お兄ちゃん」と呼んでもらえるナリはしてないもンでな。			いざ、決勝戦へ……							
…………もしかしてミラ、お前まで、ヤツらと同じ勘違いしてるんじゃねェだろうな？			…………もしかしてミラ、お前まで、ヤツらと同じ勘違いしてるんじゃねェだろうな？			いざ、決勝戦へ……							
あっはっは！だから、ずっとご機嫌ナナメだったってわけか！？			あっはっは！だから、ずっとご機嫌ナナメだったってわけか！？			いざ、決勝戦へ……							
こいつは、行きずりで助けただけのガキだ、俺の子じゃねぇよ！			こいつは、行きずりで助けただけのガキだ、俺の子じゃねぇよ！			いざ、決勝戦へ……							
そ、そうなのか！？ウルダハを離れてからしばらく時間も経ったものだし、てっきり、そういうことかと……。			そ、そうなのか！？ウルダハを離れてからしばらく時間も経ったものだし、てっきり、そういうことかと……。			いざ、決勝戦へ……							
あっはっは！時間が経つって言ったってな、ガキがすぐ、こんなにデカくなるかよ。			あっはっは！時間が経つって言ったってな、ガキがすぐ、こんなにデカくなるかよ。			いざ、決勝戦へ……							
う、うるさい！そんなに笑うことないだろう！			う、うるさい！そんなに笑うことないだろう！			いざ、決勝戦へ……							
あっはっは！まぁ、とにもかくにも、これで俺の心配事は片付いた。Forenameと勝負できなかったことは心残りだが……。			あっはっは！まぁ、とにもかくにも、これで俺の心配事は片付いた。Forenameと勝負できなかったことは心残りだが……。			いざ、決勝戦へ……							
ちょっと待て！決勝戦の件だが、脅されていた証拠も掴んだことだし、やり直しを提案しようと思う。			ちょっと待て！決勝戦の件だが、脅されていた証拠も掴んだことだし、やり直しを提案しようと思う。			いざ、決勝戦へ……							
せっかく盛り上がっていた闘技会の決勝戦なんだ。運営側だって、再試合を開催した方が、興行的にもおいしいに決まっている！			せっかく盛り上がっていた闘技会の決勝戦なんだ。運営側だって、再試合を開催した方が、興行的にもおいしいに決まっている！			いざ、決勝戦へ……							
剣術士ギルドの代表として、正式にコロセウム財団に掛け合ってみるから、しばらく待ってくれないか？			剣術士ギルドの代表として、正式にコロセウム財団に掛け合ってみるから、しばらく待ってくれないか？			いざ、決勝戦へ……							
さすがミラ、俺が見込んだだけの女だぜ！			さすがミラ、俺が見込んだだけの女だぜ！			いざ、決勝戦へ……							
