トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
アーカイブと話した。蜃気楼の町の「ジェッフロイ」と話そう。			アーカイブと話した。蜃気楼の町の「ジェッフロイ」と話そう。			使えない使い魔							
まずは島の南部から探査することになった。準備ができたら蜃気楼の町のジェッフロイに話しかけ、出発しよう。			まずは島の南部から探査することになった。準備ができたら蜃気楼の町のジェッフロイに話しかけ、出発しよう。			使えない使い魔							
ジェッフロイと話す			ジェッフロイと話す			使えない使い魔							
先遣隊が町の外の様子を見に行っている。探査の前線基地を築けそうな場所があれば、報せが入る手筈だ。			先遣隊が町の外の様子を見に行っている。探査の前線基地を築けそうな場所があれば、報せが入る手筈だ。			使えない使い魔							
さて、あらためて……おぬしらが、この島に来た経緯を教えてもらえるかのう？			さて、あらためて……おぬしらが、この島に来た経緯を教えてもらえるかのう？			使えない使い魔							
ほう、この島の周囲が「死の三角海域」と呼ばれており、多くの船が行方不明になっておると……。			ほう、この島の周囲が「死の三角海域」と呼ばれており、多くの船が行方不明になっておると……。			使えない使い魔							
たしか、沖に沈没船もあると言っておったな。船を捨て、島に上陸できた者たちがおってもよいはずじゃが、誰もわしを目覚めさせようとしなかったのじゃろうか？			たしか、沖に沈没船もあると言っておったな。船を捨て、島に上陸できた者たちがおってもよいはずじゃが、誰もわしを目覚めさせようとしなかったのじゃろうか？			使えない使い魔							
何と言う？			何と言う？			使えない使い魔							
姿を見て、すぐに棺を閉じたのでは？			姿を見て、すぐに棺を閉じたのでは？			使えない使い魔							
扉が頑丈に施錠されていたようだ			扉が頑丈に施錠されていたようだ			使えない使い魔							
自分にだけ、不思議な声が聞こえた			自分にだけ、不思議な声が聞こえた			使えない使い魔							
なんと、そんな可能性が……！			なんと、そんな可能性が……！			使えない使い魔							
いやいや、わしは寝起きが良い方じゃから、棺を開けられたらすぐに飛び起きてたはずじゃぞい！			いやいや、わしは寝起きが良い方じゃから、棺を開けられたらすぐに飛び起きてたはずじゃぞい！			使えない使い魔							
ふむ、扉は施錠されていたと。とはいえ、この大男に解錠できたのなら、ほかの船乗りにもできそうなものじゃが……。			ふむ、扉は施錠されていたと。とはいえ、この大男に解錠できたのなら、ほかの船乗りにもできそうなものじゃが……。			使えない使い魔							
何者かがおぬしを導いた、と？それはまた奇妙な話じゃが、いったい誰が……。			何者かがおぬしを導いた、と？それはまた奇妙な話じゃが、いったい誰が……。			使えない使い魔							
すまんが知ってのとおり、わしは眠っておったゆえ、導きの正体はとんとわからん。			すまんが知ってのとおり、わしは眠っておったゆえ、導きの正体はとんとわからん。			使えない使い魔							
しかし知的好奇心がくすぐられる状況だぞい！この謎、解かずにはおられまいて！			しかし知的好奇心がくすぐられる状況だぞい！この謎、解かずにはおられまいて！			使えない使い魔							
(-幽けきフェアリー-)あなた、知りたい、の……？			(-幽けきフェアリー-)あなた、知りたい、の……？			使えない使い魔							
んん？なんじゃ、こやつは？			んん？なんじゃ、こやつは？			使えない使い魔							
使い魔のようだが……ニームの伝承にあるフェアリーに見えるな。アーカイブ、お前が召喚したんじゃないのか？			使い魔のようだが……ニームの伝承にあるフェアリーに見えるな。アーカイブ、お前が召喚したんじゃないのか？			使えない使い魔							
いいや、わしは、こんなチンチクリン、呼んどらんぞい？			いいや、わしは、こんなチンチクリン、呼んどらんぞい？			使えない使い魔							
失礼なヒト……私はアイリス。あなたみたいな「もの知らず」に召喚されてない……。			失礼なヒト……私はアイリス。あなたみたいな「もの知らず」に召喚されてない……。			使えない使い魔							
な、何を言うか……！わしは誰あろう「もの知りじいさん」じゃぞ？			な、何を言うか……！わしは誰あろう「もの知りじいさん」じゃぞ？			使えない使い魔							
いいえ、あなた……何も、知らない。知識が使えないように封印されているから。			いいえ、あなた……何も、知らない。知識が使えないように封印されているから。			使えない使い魔							
この島に導かれた、そこのかわいいきれいなまるっこいしなやかなつよそうなりりしいモフモフのうつくしいヒトが、見て知ったものについてしか、語ることはできないの。			この島に導かれた、そこのかわいいきれいなまるっこいしなやかなつよそうなりりしいモフモフのうつくしいヒトが、見て知ったものについてしか、語ることはできないの。			使えない使い魔							
わしの知識が、封印されておる……？どうりで、知っておるはずの魔法さえ使えんわけだぞい。この腰痛を癒やそうと思ったのに、イタタタタ……。			わしの知識が、封印されておる……？どうりで、知っておるはずの魔法さえ使えんわけだぞい。この腰痛を癒やそうと思ったのに、イタタタタ……。			使えない使い魔							
ええい、話が妙な方向に進んでるぞ。アイリスよ、お前の主はどこにいる？			ええい、話が妙な方向に進んでるぞ。アイリスよ、お前の主はどこにいる？			使えない使い魔							
答えられないなら、質問を変えよう。主から、何を命じられてここにいる？			答えられないなら、質問を変えよう。主から、何を命じられてここにいる？			使えない使い魔							
……知らない。			……知らない。			使えない使い魔							
なんじゃ、お前も何も知らんのじゃないか！わしが「もの知らぬもの知りじいさん」なら、お前は「使えない使い魔」だぞい！			なんじゃ、お前も何も知らんのじゃないか！わしが「もの知らぬもの知りじいさん」なら、お前は「使えない使い魔」だぞい！			使えない使い魔							
じゃが、アイリスとかいう使い魔から、この島を覆う魔法と同じエーテルを感じたぞい。			じゃが、アイリスとかいう使い魔から、この島を覆う魔法と同じエーテルを感じたぞい。			使えない使い魔							
島全体を、妙な術式の結界が包みこんでおるようでな。多くの船が引き込まれ、外海に逃げることが叶わなかったのも、それゆえじゃろうて……。			島全体を、妙な術式の結界が包みこんでおるようでな。多くの船が引き込まれ、外海に逃げることが叶わなかったのも、それゆえじゃろうて……。			使えない使い魔							
つまり、これまで起きた多くの遭難事故は、人為的なものだったかもしれない、ということか……。			つまり、これまで起きた多くの遭難事故は、人為的なものだったかもしれない、ということか……。			使えない使い魔							
だとすれば、探査を進める際には、その主とやらの正体や目的についても探るべきだろう。導きの声との関係も気になるところだしな。			だとすれば、探査を進める際には、その主とやらの正体や目的についても探るべきだろう。導きの声との関係も気になるところだしな。			使えない使い魔							
さて、そろそろ頃合いだな……。拠点設営の進捗を確認するため、町の西口にいる「ジェッフロイ」のところに向かおう。			さて、そろそろ頃合いだな……。拠点設営の進捗を確認するため、町の西口にいる「ジェッフロイ」のところに向かおう。			使えない使い魔							
町の西口にいる「ジェッフロイ」のところに向かおう。拠点設営の進捗を確認したい。			町の西口にいる「ジェッフロイ」のところに向かおう。拠点設営の進捗を確認したい。			使えない使い魔							
なんじゃ、おぬし、腰痛治しの治癒魔法について聞きたいのか？それは「コシケア」という名の白魔法でな、数ある魔法の中でも、最高の発明と言われておった気がするぞい。			なんじゃ、おぬし、腰痛治しの治癒魔法について聞きたいのか？それは「コシケア」という名の白魔法でな、数ある魔法の中でも、最高の発明と言われておった気がするぞい。			使えない使い魔							
ふう……これを話せるようになったのも、おぬしが「魔法で腰痛を治そうとするわし」を見て知ったからか？先ほどまで、名前すら口にできなかったのじゃが……。			ふう……これを話せるようになったのも、おぬしが「魔法で腰痛を治そうとするわし」を見て知ったからか？先ほどまで、名前すら口にできなかったのじゃが……。			使えない使い魔							
よう、設営は着々と進んでるぜ。船から荷を降ろしつつ、すでに先遣隊が前線の偵察に出向いてる。			よう、設営は着々と進んでるぜ。船から荷を降ろしつつ、すでに先遣隊が前線の偵察に出向いてる。			使えない使い魔							
そしたら、島の南側を探査するのに、うってつけの場所を見つけたって報告があってな。向こうにも活動拠点を構築してるところだ。			そしたら、島の南側を探査するのに、うってつけの場所を見つけたって報告があってな。向こうにも活動拠点を構築してるところだ。			使えない使い魔							
あんたも出発するときは、俺にひと声かけてほしい。その先、どういう方針で探査を進めていくかは、現地でケテンラムの旦那と相談して決めてくれ。			あんたも出発するときは、俺にひと声かけてほしい。その先、どういう方針で探査を進めていくかは、現地でケテンラムの旦那と相談して決めてくれ。			使えない使い魔							
それから、後方支援の部隊がこの町に残って、様々な形であんたの探検をサポートするぜ。			それから、後方支援の部隊がこの町に残って、様々な形であんたの探検をサポートするぜ。			使えない使い魔							
特に今回は、凄腕の鍛冶師が助っ人として雇われているらしい。そんな奴に武器をこしらえてもらえば、探検も楽になるかもしれねぇな。			特に今回は、凄腕の鍛冶師が助っ人として雇われているらしい。そんな奴に武器をこしらえてもらえば、探検も楽になるかもしれねぇな。			使えない使い魔							
鍛冶場は、ここから向かって右手に設営されるはずだから、興味があったら立ち寄ってみるといい。			鍛冶場は、ここから向かって右手に設営されるはずだから、興味があったら立ち寄ってみるといい。			使えない使い魔							
さぁ、長くなっちまったが、俺からの説明はここまでだ。南の活動拠点に向かう準備ができたら、声をかけてくれ！			さぁ、長くなっちまったが、俺からの説明はここまでだ。南の活動拠点に向かう準備ができたら、声をかけてくれ！			使えない使い魔							
「トライヨラ」の都市内エーテライトをすべて開放していた場合、ボーナスとして「蜃気楼の町」への転送が可能になります！			「トライヨラ」の都市内エーテライトをすべて開放していた場合、ボーナスとして「蜃気楼の町」への転送が可能になります！			使えない使い魔							
モザイク・コーヒーのグ・ラハ・ティアは、調査の進め方を練っているようだ。			モザイク・コーヒーのグ・ラハ・ティアは、調査の進め方を練っているようだ。			グルージャの冒険							
グ・ラハ・ティアと話した。ヘリテージファウンドのアウトスカーツにいる住人から、マムージャ族の女性に関する情報を集めよう。			グ・ラハ・ティアと話した。ヘリテージファウンドのアウトスカーツにいる住人から、マムージャ族の女性に関する情報を集めよう。			グルージャの冒険							
アウトスカーツの住人から、手がかりとなりそうな話題を集めた。ソリューション・ナインのバックルームにいる「シェール」に、集めた話題を提示しよう。			アウトスカーツの住人から、手がかりとなりそうな話題を集めた。ソリューション・ナインのバックルームにいる「シェール」に、集めた話題を提示しよう。			グルージャの冒険							
皆で集めた情報から、ゾラージャの研究施設の場所を割り出した。ヘリテージファウンドのドリフトダウンズにいる「グルージャ」と話そう。			皆で集めた情報から、ゾラージャの研究施設の場所を割り出した。ヘリテージファウンドのドリフトダウンズにいる「グルージャ」と話そう。			グルージャの冒険							
グルージャと話した。母親に関する手がかりを集めるため、「廃地討究 ユウェヤーワータ」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			グルージャと話した。母親に関する手がかりを集めるため、「廃地討究 ユウェヤーワータ」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			グルージャの冒険							
ユウェヤーワータの最奥にて、封印されていたトラルヴィドラールを討伐した。一度ユウェヤーワータから離れた場合は、「ドリフトダウンズ」から再度向かえるようだ。			ユウェヤーワータの最奥にて、封印されていたトラルヴィドラールを討伐した。一度ユウェヤーワータから離れた場合は、「ドリフトダウンズ」から再度向かえるようだ。			グルージャの冒険							
封印されていたトラルヴィドラールの過去を視て、ゾラージャにはテーシャジャという女性の部下がいたことが判明した。ユウェヤーワータの人魂管理室にいる「グルージャ」と話そう。			封印されていたトラルヴィドラールの過去を視て、ゾラージャにはテーシャジャという女性の部下がいたことが判明した。ユウェヤーワータの人魂管理室にいる「グルージャ」と話そう。			グルージャの冒険							
グルージャと話した。テーシャジャに関する手がかりを見つけるため、観測所のある上階を目指そう。			グルージャと話した。テーシャジャに関する手がかりを見つけるため、観測所のある上階を目指そう。			グルージャの冒険							
アウトスカーツで情報を集める			アウトスカーツで情報を集める			グルージャの冒険							
バックルームのシェールに話題を提示			バックルームのシェールに話題を提示			グルージャの冒険							
ドリフトダウンズのグルージャと話す			ドリフトダウンズのグルージャと話す			グルージャの冒険							
「廃地討究 ユウェヤーワータ」を攻略			「廃地討究 ユウェヤーワータ」を攻略			グルージャの冒険							
グルージャと話す			グルージャと話す			グルージャの冒険							
グルージャが決断した以上、とことん協力するぜ。なんたって、この子はアタシの家族なんだからな！			グルージャが決断した以上、とことん協力するぜ。なんたって、この子はアタシの家族なんだからな！			グルージャの冒険							
母さんを知ることは、父さんを知ることでもあるんだ……。僕、そんな風に考えたことなかったよ。			母さんを知ることは、父さんを知ることでもあるんだ……。僕、そんな風に考えたことなかったよ。			グルージャの冒険							
肉親でさえ、窺い知れない想いを秘めていることはあるし、その想いと行動が相反するように見えることだってある。だからこそ、知りたいと願うグルージャの気持ちはわかるよ。			肉親でさえ、窺い知れない想いを秘めていることはあるし、その想いと行動が相反するように見えることだってある。だからこそ、知りたいと願うグルージャの気持ちはわかるよ。			グルージャの冒険							
システムに記録が残ってなかったのなら、どこを調べたらいいのかしら……？			システムに記録が残ってなかったのなら、どこを調べたらいいのかしら……？			グルージャの冒険							
両親のことを知りたいと思ったのは、私も同じだったから……グルージャの気持ちはよくわかるわ。			両親のことを知りたいと思ったのは、私も同じだったから……グルージャの気持ちはよくわかるわ。			グルージャの冒険							
記憶からも記録からも消された母親か……。広範囲に聞き込みをするしかなさそうだから、手分けをしてあたろう。			記憶からも記録からも消された母親か……。広範囲に聞き込みをするしかなさそうだから、手分けをしてあたろう。			グルージャの冒険							
オレたちはソリューション・ナインを担当するから、あんたは外……アウトスカーツを頼めるか？何かわかったら、バックルームに集合しよう。			オレたちはソリューション・ナインを担当するから、あんたは外……アウトスカーツを頼めるか？何かわかったら、バックルームに集合しよう。			グルージャの冒険							
マムージャ族の女性を知らないかって？今も昔も、このあたりにマムージャ族は住んじゃいないよ。			マムージャ族の女性を知らないかって？今も昔も、このあたりにマムージャ族は住んじゃいないよ。			グルージャの冒険							
ああ、でもそういえば一度見かけたかな。障壁に閉じ込められる前……だいぶ昔のことだけどね。			ああ、でもそういえば一度見かけたかな。障壁に閉じ込められる前……だいぶ昔のことだけどね。			グルージャの冒険							
トラル勇連隊がこのあたりに行軍してきたことがあって、その一団の中に、マムージャ族の女性がいたのさ。作戦完了後は、みんなトライヨラに帰還したはずだよ。			トラル勇連隊がこのあたりに行軍してきたことがあって、その一団の中に、マムージャ族の女性がいたのさ。作戦完了後は、みんなトライヨラに帰還したはずだよ。			グルージャの冒険							
ただ、もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねえ。			ただ、もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねえ。			グルージャの冒険							
シャトナ族の女性との会話から、「マムージャ族の女性について」の話題を得た！			シャトナ族の女性との会話から、「マムージャ族の女性について」の話題を得た！			グルージャの冒険							
トラル勇連隊の中にマムージャ族の女性がいたのさ。もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねぇ。			トラル勇連隊の中にマムージャ族の女性がいたのさ。もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねぇ。			グルージャの冒険							
ゾラージャに関わりのあるマムージャ族の女性？知らないねえ……。			ゾラージャに関わりのあるマムージャ族の女性？知らないねえ……。			グルージャの冒険							
何か知ってる奴がいるとすれば、エバーキープの北にあった集落の連中じゃないか？ユウェヤーワータってところさ。			何か知ってる奴がいるとすれば、エバーキープの北にあった集落の連中じゃないか？ユウェヤーワータってところさ。			グルージャの冒険							
昔、集落の危機をゾラージャに救われたとかで、住人の大半が熱狂的な信奉者になったんだ。首長の名は……たしかカニロッカだったかな。			昔、集落の危機をゾラージャに救われたとかで、住人の大半が熱狂的な信奉者になったんだ。首長の名は……たしかカニロッカだったかな。			グルージャの冒険							
トナワータ族の中年男性との会話から、「ゾラージャの信奉者について」の話題を得た！			トナワータ族の中年男性との会話から、「ゾラージャの信奉者について」の話題を得た！			グルージャの冒険							
マムージャ族の女性……？			マムージャ族の女性……？			グルージャの冒険							
ああ、グルージャの母親のことを調べてるのか。悪いけど、なんにも知らないよ。			ああ、グルージャの母親のことを調べてるのか。悪いけど、なんにも知らないよ。			グルージャの冒険							
ゾラージャ様のことなら、多少は……昔、親父から聞いた話なんだけどさ。			ゾラージャ様のことなら、多少は……昔、親父から聞いた話なんだけどさ。			グルージャの冒険							
この一帯が障壁に閉ざされるよりも前、トラルヴィドラールとかいう凶暴な魔物が現れたんだってよ。			この一帯が障壁に閉ざされるよりも前、トラルヴィドラールとかいう凶暴な魔物が現れたんだってよ。			グルージャの冒険							
で、そいつを倒すため、部下を大勢引き連れて現れたのがゾラージャ様だったって話。そんな時代から、この地に来てたんだなあ。			で、そいつを倒すため、部下を大勢引き連れて現れたのがゾラージャ様だったって話。そんな時代から、この地に来てたんだなあ。			グルージャの冒険							
トナワータ族の青年との会話から、「凶暴な魔物の討伐について」の話題を得た！			トナワータ族の青年との会話から、「凶暴な魔物の討伐について」の話題を得た！			グルージャの冒険							
昔、この一帯にトラルヴィドラールが現れたんだってよ。それで、そいつを倒すため、部下を大勢引き連れて、ゾラージャ様がやって来たって話だ。			昔、この一帯にトラルヴィドラールが現れたんだってよ。それで、そいつを倒すため、部下を大勢引き連れて、ゾラージャ様がやって来たって話だ。			グルージャの冒険							
すまねぇ、これといった情報は聞けなかった。アタシにも冒険者の勘ってやつがあればな……。			すまねぇ、これといった情報は聞けなかった。アタシにも冒険者の勘ってやつがあればな……。			グルージャの冒険							
おかえりなさい！母さんのことを調べてるって、シェールにも話しておいたよ。			おかえりなさい！母さんのことを調べてるって、シェールにも話しておいたよ。			グルージャの冒険							
母親に直接関わるような手がかりは得られなかったが、ゾラージャ王の動向に関して、少しわかったことがあるよ。			母親に直接関わるような手がかりは得られなかったが、ゾラージャ王の動向に関して、少しわかったことがあるよ。			グルージャの冒険							
ラマチは空振りだったみたいね。あなたの方はどうだった？			ラマチは空振りだったみたいね。あなたの方はどうだった？			グルージャの冒険							
もともと武王は人々の前にあまり姿を現さなかったそうだから、目撃談が多くないのは織り込み済みよ。だからこそ、彼がどこにいたのかが重要だと思うわ。			もともと武王は人々の前にあまり姿を現さなかったそうだから、目撃談が多くないのは織り込み済みよ。だからこそ、彼がどこにいたのかが重要だと思うわ。			グルージャの冒険							
ソリューション・ナインは本当に広いな……。転移装置も活用したのに、一部しか回ってこられなかったよ。			ソリューション・ナインは本当に広いな……。転移装置も活用したのに、一部しか回ってこられなかったよ。			グルージャの冒険							
事情は聞きましたよ。グルージャの母親については、以前にも調べたことがありますが、そのときは何ひとつ掴めませんでした。			事情は聞きましたよ。グルージャの母親については、以前にも調べたことがありますが、そのときは何ひとつ掴めませんでした。			グルージャの冒険							
あなた方が集めてきてくれた情報を加えて、何らかの糸口が見つかればいいんですが……。			あなた方が集めてきてくれた情報を加えて、何らかの糸口が見つかればいいんですが……。			グルージャの冒険							
ああ、いろいろ聞いてきてくださったみたいですね。それでは、持ち寄った情報をつきあわせて、改めて全員で整理してみましょう。			ああ、いろいろ聞いてきてくださったみたいですね。それでは、持ち寄った情報をつきあわせて、改めて全員で整理してみましょう。			グルージャの冒険							
Forenameさんが集めてきた情報によると……世界が交わる前にも、ゾラージャはこの周辺に来ており、そのときの一団に、マムージャ族の女性がいたそうです。			Forenameさんが集めてきた情報によると……世界が交わる前にも、ゾラージャはこの周辺に来ており、そのときの一団に、マムージャ族の女性がいたそうです。			グルージャの冒険							
来訪の目的は、トラルヴィドラールという獣の討伐。キープの北にある集落「ユウェヤーワータ」を襲った危機は、その出来事だったとみてよさそうですね。			来訪の目的は、トラルヴィドラールという獣の討伐。キープの北にある集落「ユウェヤーワータ」を襲った危機は、その出来事だったとみてよさそうですね。			グルージャの冒険							
討伐の後処理のために勇連隊の一部が現場に残り、そのまま不幸にもドームの中に閉じ込められた……あり得そうだな。			討伐の後処理のために勇連隊の一部が現場に残り、そのまま不幸にもドームの中に閉じ込められた……あり得そうだな。			グルージャの冒険							
北の集落に関する話は、私たちも聞いたわ。10年ほど前までは人が暮らしていて、ゾラージャも定期的に訪れていたとか……。			北の集落に関する話は、私たちも聞いたわ。10年ほど前までは人が暮らしていて、ゾラージャも定期的に訪れていたとか……。			グルージャの冒険							
信奉者が多く集う場所なら、はかりごとも容易だっただろうね。そして、くだんの勇連隊の女性も集落に残り続けていたなら、ゾラージャとの接点にもなり得る。			信奉者が多く集う場所なら、はかりごとも容易だっただろうね。そして、くだんの勇連隊の女性も集落に残り続けていたなら、ゾラージャとの接点にもなり得る。			グルージャの冒険							
なるほど。ゾラージャは、その集落で何をしていたんでしょうね？			なるほど。ゾラージャは、その集落で何をしていたんでしょうね？			グルージャの冒険							
あの……それについて、手がかりがあるかもしれない。			あの……それについて、手がかりがあるかもしれない。			グルージャの冒険							
私とラハ君は、ゾラージャの足跡を辿るため、オリジェニクスに勤めていた研究者を訪ねたの。			私とラハ君は、ゾラージャの足跡を辿るため、オリジェニクスに勤めていた研究者を訪ねたの。			グルージャの冒険							
彼が言うには、20年近く前に同僚の何人かが、ゾラージャの命令でオリジェニクスから去ったそうよ。キープの外にある別の研究施設へ異動させられたんだとか。			彼が言うには、20年近く前に同僚の何人かが、ゾラージャの命令でオリジェニクスから去ったそうよ。キープの外にある別の研究施設へ異動させられたんだとか。			グルージャの冒険							
……初耳ですね。キープ外の武王直轄施設というとヴァンガードがありますが、あそこは前哨基地ですし……。			……初耳ですね。キープ外の武王直轄施設というとヴァンガードがありますが、あそこは前哨基地ですし……。			グルージャの冒険							
何らかの新兵器を開発していたらしい。それ以上のことは、わからないそうだが……。			何らかの新兵器を開発していたらしい。それ以上のことは、わからないそうだが……。			グルージャの冒険							
いえ、十分に価値のある情報ですよ。研究内容が極秘だとしても、その過程で必要になる資材は、必ずキープ内のプラントで製造していたはずです。			いえ、十分に価値のある情報ですよ。研究内容が極秘だとしても、その過程で必要になる資材は、必ずキープ内のプラントで製造していたはずです。			グルージャの冒険							
その運搬の履歴を辿れば……			その運搬の履歴を辿れば……			グルージャの冒険							
っと……見つけました。			っと……見つけました。			グルージャの冒険							
幾重にも迂回して経路偽装してますが、大量の資材が例の「ユウェヤーワータ」に流れてます。これは、いち集落にしては不自然なほどの量ですよ。			幾重にも迂回して経路偽装してますが、大量の資材が例の「ユウェヤーワータ」に流れてます。これは、いち集落にしては不自然なほどの量ですよ。			グルージャの冒険							
ただ、ここ数年は動きがありませんね。おそらく、現在は研究施設が稼働してないんでしょう。			ただ、ここ数年は動きがありませんね。おそらく、現在は研究施設が稼働してないんでしょう。			グルージャの冒険							
えっと、つまり……母さんかもしれない人のいた場所がわかった、ってこと……？			えっと、つまり……母さんかもしれない人のいた場所がわかった、ってこと……？			グルージャの冒険							
ああ！確定したわけじゃねぇが、かなり有力だぞ！			ああ！確定したわけじゃねぇが、かなり有力だぞ！			グルージャの冒険							
うわあ、みんなすごいね……！母さんのこと、誰も覚えてないのに、そんな風に導き出せるなんて……！			うわあ、みんなすごいね……！母さんのこと、誰も覚えてないのに、そんな風に導き出せるなんて……！			グルージャの冒険							
ひとつひとつの話は曖昧でも、繋ぎ合わせてみれば何かが見えてくることもある。			ひとつひとつの話は曖昧でも、繋ぎ合わせてみれば何かが見えてくることもある。			グルージャの冒険							
時が流れ、記憶が褪せたとしても、その人が歩んだ路までは、決して消せないということさ。			時が流れ、記憶が褪せたとしても、その人が歩んだ路までは、決して消せないということさ。			グルージャの冒険							
オレは、そういう英雄譚をいくつも知ってる。			オレは、そういう英雄譚をいくつも知ってる。			グルージャの冒険							
というわけで……今からその集落に向かって、研究施設を探してみねぇか？			というわけで……今からその集落に向かって、研究施設を探してみねぇか？			グルージャの冒険							
もちろんグルージャ、お前も一緒だ！			もちろんグルージャ、お前も一緒だ！			グルージャの冒険							
ユウェヤーワータがある北岸地帯に向かうには、ホバーカーゴを使って湖を渡るのがいいでしょう。ドリフトダウンズの桟橋から乗ってください。			ユウェヤーワータがある北岸地帯に向かうには、ホバーカーゴを使って湖を渡るのがいいでしょう。ドリフトダウンズの桟橋から乗ってください。			グルージャの冒険							
わかった、ありがとうシェール！			わかった、ありがとうシェール！			グルージャの冒険							
オリジェニクスに侵入したときと同様、キルーサがホバーカーゴの運転をします。ドリフトダウンズの桟橋に向かってください。			オリジェニクスに侵入したときと同様、キルーサがホバーカーゴの運転をします。ドリフトダウンズの桟橋に向かってください。			グルージャの冒険							
ドームの反対側か……以前は、そこもヤースラニ荒野だったはずだけど、今はどうなってるんだろうな？			ドームの反対側か……以前は、そこもヤースラニ荒野だったはずだけど、今はどうなってるんだろうな？			グルージャの冒険							
桟橋を利用すれば人目に付いたはず。おそらくゾラージャは、空を飛ぶ乗り物で、施設まで往復していたのではないだろうか。			桟橋を利用すれば人目に付いたはず。おそらくゾラージャは、空を飛ぶ乗り物で、施設まで往復していたのではないだろうか。			グルージャの冒険							
トナワータ族の集落っていうと、アウトスカーツも元はそうよね？似たような場所なのかしら？			トナワータ族の集落っていうと、アウトスカーツも元はそうよね？似たような場所なのかしら？			グルージャの冒険							
私が話を聞いた研究者は、別の施設に異動した同僚がいたことは覚えていたの。でも、どんな人たちだったかはまったく思い出せない様子で……。			私が話を聞いた研究者は、別の施設に異動した同僚がいたことは覚えていたの。でも、どんな人たちだったかはまったく思い出せない様子で……。			グルージャの冒険							
ゾラージャの信奉者が多い集落で、極秘に新兵器を開発……きな臭いものを感じるよな。			ゾラージャの信奉者が多い集落で、極秘に新兵器を開発……きな臭いものを感じるよな。			グルージャの冒険							
皆さんを対岸に降ろしたら離れますが、連絡をいただければ、すぐに迎えにあがりますよ！			皆さんを対岸に降ろしたら離れますが、連絡をいただければ、すぐに迎えにあがりますよ！			グルージャの冒険							
ここからカーゴに乗るんだね。僕、湖の向こう側には行ったことがないよ。			ここからカーゴに乗るんだね。僕、湖の向こう側には行ったことがないよ。			グルージャの冒険							
同じドームの中だ、環境が大きく違うってことはないだろうな。野生の魔物もいるかもしれねぇ。			同じドームの中だ、環境が大きく違うってことはないだろうな。野生の魔物もいるかもしれねぇ。			グルージャの冒険							
アタシたちが安全を確保しながら進むから、グルージャは後ろからついてきてくれ。			アタシたちが安全を確保しながら進むから、グルージャは後ろからついてきてくれ。			グルージャの冒険							
うん、ラマチたちも気をつけて！			うん、ラマチたちも気をつけて！			グルージャの冒険							
どうする？			どうする？			グルージャの冒険							
話す			話す			グルージャの冒険							
パーティを編成して突入			パーティを編成して突入			グルージャの冒険							
キャンセル			キャンセル			グルージャの冒険							
後見人のくせに、トライヨラに籠もりっきりで、全然一緒にいてやれなかったから……ここはひとつ、グルージャのためにがんばるぜ！			後見人のくせに、トライヨラに籠もりっきりで、全然一緒にいてやれなかったから……ここはひとつ、グルージャのためにがんばるぜ！			グルージャの冒険							
私だけドーム内での活動経験が浅いが、これまでだって未踏の地を旅してきたんだ。皆の足を引っ張らないように励むよ。			私だけドーム内での活動経験が浅いが、これまでだって未踏の地を旅してきたんだ。皆の足を引っ張らないように励むよ。			グルージャの冒険							
オリジェニクスに突入したときは、カフキワさんがいたわね。……ちょっと、思い出しちゃった。			オリジェニクスに突入したときは、カフキワさんがいたわね。……ちょっと、思い出しちゃった。			グルージャの冒険							
集落の近くにトラルヴィドラールが現れたのよね？オルコ・パチャにはヴァリガルマンダの痕跡が残っていたけれど、これから向かう場所はどうなっているかしら……。			集落の近くにトラルヴィドラールが現れたのよね？オルコ・パチャにはヴァリガルマンダの痕跡が残っていたけれど、これから向かう場所はどうなっているかしら……。			グルージャの冒険							
新兵器の研究施設というからには、厳重な警備体制が敷かれていてもおかしくはない。すでに稼働はしていないということだが、用心はしておこう。			新兵器の研究施設というからには、厳重な警備体制が敷かれていてもおかしくはない。すでに稼働はしていないということだが、用心はしておこう。			グルージャの冒険							
魔物に見つからないようにするのは得意だから、僕のことは気にしなくて大丈夫だよ！			魔物に見つからないようにするのは得意だから、僕のことは気にしなくて大丈夫だよ！			グルージャの冒険							
