聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
ほう……「竜の血」を使ったか……面白い！			ほう……「竜の血」を使ったか……面白い！			円形劇場の激闘							
これが「竜の血」の力！？人がああも姿を変えるというのか！			これが「竜の血」の力！？人がああも姿を変えるというのか！			円形劇場の激闘							
よくも、我が同志たちを……許さぬぞ、イシュガルドの騎士どもめ！			よくも、我が同志たちを……許さぬぞ、イシュガルドの騎士どもめ！			円形劇場の激闘							
な、なんという猛々しさ……！			な、なんという猛々しさ……！			円形劇場の激闘							
フッ……そうこなくてはな……。「蒼の竜騎士」の名が伊達ではないこと、思い知らせてやる！			フッ……そうこなくてはな……。「蒼の竜騎士」の名が伊達ではないこと、思い知らせてやる！			円形劇場の激闘							
やはり人の姿では、限界があるか……。今こそ竜より授かりし至高の力……見せてくれるッ！！			やはり人の姿では、限界があるか……。今こそ竜より授かりし至高の力……見せてくれるッ！！			円形劇場の激闘							
くそ、こんなところで……。			くそ、こんなところで……。			円形劇場の激闘							
こんな奴らに、この俺がやられるとは……。			こんな奴らに、この俺がやられるとは……。			円形劇場の激闘							
聖フィネア連隊の露営地のルシェーは、雪原が気になっているようだ。			聖フィネア連隊の露営地のルシェーは、雪原が気になっているようだ。			雪の中に残した相棒							
ルシェーに人探しを頼まれた。クルザス西部高地のリバーズミートで「使いの騎兵」を探そう。			ルシェーに人探しを頼まれた。クルザス西部高地のリバーズミートで「使いの騎兵」を探そう。			雪の中に残した相棒							
使いの騎兵のチョコボがイエティに連れ去られてしまったらしい。クルザス西部高地のレッドリムで「チョコボ」を探そう。			使いの騎兵のチョコボがイエティに連れ去られてしまったらしい。クルザス西部高地のレッドリムで「チョコボ」を探そう。			雪の中に残した相棒							
チョコボの死体を発見し、その羽根を手に入れた。聖フィネア連隊の露営地で、「使いの騎兵」に「軍用チョコボの羽根」を渡そう。			チョコボの死体を発見し、その羽根を手に入れた。聖フィネア連隊の露営地で、「使いの騎兵」に「軍用チョコボの羽根」を渡そう。			雪の中に残した相棒							
使いの騎兵に軍用チョコボの羽根を渡した。彼は、ずっと一緒だったチョコボの死を悲しみ、その羽根をお守りにするようだ。			使いの騎兵に軍用チョコボの羽根を渡した。彼は、ずっと一緒だったチョコボの死を悲しみ、その羽根をお守りにするようだ。			雪の中に残した相棒							
使いの騎兵を探す			使いの騎兵を探す			雪の中に残した相棒							
チョコボを探す			チョコボを探す			雪の中に残した相棒							
使いの騎兵に軍用チョコボの羽根を渡す			使いの騎兵に軍用チョコボの羽根を渡す			雪の中に残した相棒							
やれやれ……困ったね、まだ戻らない。使いひとつに、どれだけ時間をかけてるんだか。			やれやれ……困ったね、まだ戻らない。使いひとつに、どれだけ時間をかけてるんだか。			雪の中に残した相棒							
……いやね、ここの騎兵に、ファルコンネストまで、使いを頼んだんだけど……いつまで待っても、戻らないのさ。			……いやね、ここの騎兵に、ファルコンネストまで、使いを頼んだんだけど……いつまで待っても、戻らないのさ。			雪の中に残した相棒							
チョコボに乗っていたし、魔物に襲われても、逃げ切れると思うんだけど、やっぱり心配だよ……。あんた、「使いの騎兵」を探してきてくれないかねぇ？			チョコボに乗っていたし、魔物に襲われても、逃げ切れると思うんだけど、やっぱり心配だよ……。あんた、「使いの騎兵」を探してきてくれないかねぇ？			雪の中に残した相棒							
チョコボに乗っていたし、魔物に襲われても、逃げ切れると思うんだけど、やっぱり心配だよ……。あんた、「使いの騎兵」を探してきてくれないかねぇ？			チョコボに乗っていたし、魔物に襲われても、逃げ切れると思うんだけど、やっぱり心配だよ……。あんた、「使いの騎兵」を探してきてくれないかねぇ？			雪の中に残した相棒							
あんたは……？……なるほど、ルシェーに頼まれてきたのか。イエティに襲われて落羽してな……このザマだよ。			あんたは……？……なるほど、ルシェーに頼まれてきたのか。イエティに襲われて落羽してな……このザマだよ。			雪の中に残した相棒							
ルシェーには悪いが、俺はまだ戻れない。俺のチョコボが、奴に連れて行かれちまったんだ……！はやく助けに行かないと、イエティの晩飯にされちまう！			ルシェーには悪いが、俺はまだ戻れない。俺のチョコボが、奴に連れて行かれちまったんだ……！はやく助けに行かないと、イエティの晩飯にされちまう！			雪の中に残した相棒							
……あんたが代わりに行ってくれるっていうのかい？わかった、俺は戻ろう……。頼む、俺のチョコボを助けてくれ……！			……あんたが代わりに行ってくれるっていうのかい？わかった、俺は戻ろう……。頼む、俺のチョコボを助けてくれ……！			雪の中に残した相棒							
そんな事情があったのかい……。すまないけど、あいつのチョコボを探してやっておくれよ。			そんな事情があったのかい……。すまないけど、あいつのチョコボを探してやっておくれよ。			雪の中に残した相棒							
鞍を着けたチョコボの死体がある。どうやら、探していたチョコボのようだ……。……死体から、チョコボの羽根が抜け落ちた。			鞍を着けたチョコボの死体がある。どうやら、探していたチョコボのようだ……。……死体から、チョコボの羽根が抜け落ちた。			雪の中に残した相棒							
頼む、俺のチョコボを助けてくれ……！			頼む、俺のチョコボを助けてくれ……！			雪の中に残した相棒							
そうかい、遅かったんだね……。あいつに、その羽根を渡してやってくれないかい……？			そうかい、遅かったんだね……。あいつに、その羽根を渡してやってくれないかい……？			雪の中に残した相棒							
あいつは……俺のチョコボは見つかったかい！？			あいつは……俺のチョコボは見つかったかい！？			雪の中に残した相棒							
こ、この羽根は……そんな、嘘だ！ずっと一緒に戦ってきた相棒だったんだぞ！！いつも一緒だったんだ！　どうして……う、うぅっ……。			こ、この羽根は……そんな、嘘だ！ずっと一緒に戦ってきた相棒だったんだぞ！！いつも一緒だったんだ！　どうして……う、うぅっ……。			雪の中に残した相棒							
すまない、わざわざ危険を冒してくれたっていうのに……。この羽根は……お守りにでもさせてもらうよ……。……ありがとうな。			すまない、わざわざ危険を冒してくれたっていうのに……。この羽根は……お守りにでもさせてもらうよ……。……ありがとうな。			雪の中に残した相棒							
聖フィネア連隊の露営地のルシェーは、物資を確認しながらため息をついている。			聖フィネア連隊の露営地のルシェーは、物資を確認しながらため息をついている。			露営地の食料を守れ							
ルシェーに野獣退治を頼まれた。クルザス西部高地のツインプールズで「ポーラーベアー」を4体討伐しよう。			ルシェーに野獣退治を頼まれた。クルザス西部高地のツインプールズで「ポーラーベアー」を4体討伐しよう。			露営地の食料を守れ							
ポーラーベアーを倒した。聖フィネア連隊の露営地の「ルシェー」に報告しよう。			ポーラーベアーを倒した。聖フィネア連隊の露営地の「ルシェー」に報告しよう。			露営地の食料を守れ							
ポーラーベアーの討伐をルシェーに報告した。貴族は名をあげるため、ドラゴン族を倒すことにしか興味がないようだ。その分、食材やほかの脅威に無頓着なことに、ルシェーは呆れていた。			ポーラーベアーの討伐をルシェーに報告した。貴族は名をあげるため、ドラゴン族を倒すことにしか興味がないようだ。その分、食材やほかの脅威に無頓着なことに、ルシェーは呆れていた。			露営地の食料を守れ							
ポーラーベアーを討伐			ポーラーベアーを討伐			露営地の食料を守れ							
ルシェーに報告			ルシェーに報告			露営地の食料を守れ							
困っていることはないかって……？　あるよ、山ほどある。あんたもここに来る道中で、多くの野獣を見ただろう？脅威になるのは、ドラゴン族だけじゃないのさ。			困っていることはないかって……？　あるよ、山ほどある。あんたもここに来る道中で、多くの野獣を見ただろう？脅威になるのは、ドラゴン族だけじゃないのさ。			露営地の食料を守れ							
特に「ポーラーベアー」は、厄介な相手でね。あいつらは鼻が利くから、腹を空かせると、露営地の食料を狙ってくるのさ。			特に「ポーラーベアー」は、厄介な相手でね。あいつらは鼻が利くから、腹を空かせると、露営地の食料を狙ってくるのさ。			露営地の食料を守れ							
あんた、「ポーラーベアー」を倒してこれるかい？そうだね……4体ぐらい倒してくれたら、報酬を出すよ。			あんた、「ポーラーベアー」を倒してこれるかい？そうだね……4体ぐらい倒してくれたら、報酬を出すよ。			露営地の食料を守れ							
あんた、「ポーラーベアー」を倒してこれるかい？そうだね……4体ぐらい倒してくれたら、報酬を出すよ。			あんた、「ポーラーベアー」を倒してこれるかい？そうだね……4体ぐらい倒してくれたら、報酬を出すよ。			露営地の食料を守れ							
……へぇ、やるじゃない。どうやらあんたは、貴族のボンボンよりも使えるみたいだ。ありがとうよ。			……へぇ、やるじゃない。どうやらあんたは、貴族のボンボンよりも使えるみたいだ。ありがとうよ。			露営地の食料を守れ							
まったく、ここの連中は、みんな揃って、ドラゴン族狩りにしか興味がないご様子でね。食料が取られてるって言ってるのに、誰も動きやしないのさ。			まったく、ここの連中は、みんな揃って、ドラゴン族狩りにしか興味がないご様子でね。食料が取られてるって言ってるのに、誰も動きやしないのさ。			露営地の食料を守れ							
あんたみたいな冒険者は信用していなかったけど……。その行動力は、みんなに見習ってほしいところだね。これは礼さ、ちゃんと取っておきな。			あんたみたいな冒険者は信用していなかったけど……。その行動力は、みんなに見習ってほしいところだね。これは礼さ、ちゃんと取っておきな。			露営地の食料を守れ							
聖フィネア連隊の露営地のジャントゥローは、ドラゴン族の眷属狩りを始めたいようだ。			聖フィネア連隊の露営地のジャントゥローは、ドラゴン族の眷属狩りを始めたいようだ。			眷属狩りのお手伝い							
ジャントゥローから、ドラゴン族の眷属を倒してみるように言われた。クルザス西部高地のツインプールズで、「アルケオーニス」を3体討伐しよう。			ジャントゥローから、ドラゴン族の眷属を倒してみるように言われた。クルザス西部高地のツインプールズで、「アルケオーニス」を3体討伐しよう。			眷属狩りのお手伝い							
アルケオーニスを討伐した。聖フィネア連隊の露営地の「ジャントゥロー」に報告しよう。			アルケオーニスを討伐した。聖フィネア連隊の露営地の「ジャントゥロー」に報告しよう。			眷属狩りのお手伝い							
ジャントゥローに報告した。彼は眷属を倒した冒険者の力に感心したようだ。			ジャントゥローに報告した。彼は眷属を倒した冒険者の力に感心したようだ。			眷属狩りのお手伝い							
アルケオーニスを討伐			アルケオーニスを討伐			眷属狩りのお手伝い							
ジャントゥローに報告			ジャントゥローに報告			眷属狩りのお手伝い							
さて、いよいよドラゴン族の眷属狩りといこうじゃないか。ここらでの戦いに慣れた、俺たち「聖フィネア連隊」でも、苦戦させられることが多い強敵さ。			さて、いよいよドラゴン族の眷属狩りといこうじゃないか。ここらでの戦いに慣れた、俺たち「聖フィネア連隊」でも、苦戦させられることが多い強敵さ。			眷属狩りのお手伝い							
眷属の名は、「アルケオーニス」……。羽毛があるもんで、デカイ陸鳥って風情の相手だが、甲鱗綱の魔物で、ドラゴン族が好んで尖兵として使うんだ。			眷属の名は、「アルケオーニス」……。羽毛があるもんで、デカイ陸鳥って風情の相手だが、甲鱗綱の魔物で、ドラゴン族が好んで尖兵として使うんだ。			眷属狩りのお手伝い							
ベーンプールを目指して北に進めば、徘徊しているだろうから、「アルケオーニス」を見つけたら、3体ばかり狩ってきな。お手並み拝見といこうじゃないか。			ベーンプールを目指して北に進めば、徘徊しているだろうから、「アルケオーニス」を見つけたら、3体ばかり狩ってきな。お手並み拝見といこうじゃないか。			眷属狩りのお手伝い							
ベーンプールを目指して北に進めば、徘徊しているだろうから、「アルケオーニス」を見つけたら、3体ばかり狩ってきな。お手並み拝見といこうじゃないか。			ベーンプールを目指して北に進めば、徘徊しているだろうから、「アルケオーニス」を見つけたら、3体ばかり狩ってきな。お手並み拝見といこうじゃないか。			眷属狩りのお手伝い							
よう、どうだった？知性がない眷属とはいえ、なかなかの強敵だったろう？			よう、どうだった？知性がない眷属とはいえ、なかなかの強敵だったろう？			眷属狩りのお手伝い							
……って、ありゃ。その様子だと、余裕だったみたいだな！いやはや、お見それしやしたってモンだぜ、チクショウ！			……って、ありゃ。その様子だと、余裕だったみたいだな！いやはや、お見それしやしたってモンだぜ、チクショウ！			眷属狩りのお手伝い							
しかし、もったいないぜ……。お前が入隊希望者だったら、真っ先に俺の直属にするのによ。そうすりゃ、楽して出世間違いなしだもんな！　ガハハハ！			しかし、もったいないぜ……。お前が入隊希望者だったら、真っ先に俺の直属にするのによ。そうすりゃ、楽して出世間違いなしだもんな！　ガハハハ！			眷属狩りのお手伝い							
聖フィネア連隊の露営地のジャントゥローは、冒険者に眷属狩りを勧めようとしている。			聖フィネア連隊の露営地のジャントゥローは、冒険者に眷属狩りを勧めようとしている。			眷属狩りの肩慣らし							
ジャントゥローから、ドラゴン族の眷属狩りをする前に肩慣らしをしないかと提案された。クルザス西部高地のツインプールズで「ルーム」を3体討伐しよう。			ジャントゥローから、ドラゴン族の眷属狩りをする前に肩慣らしをしないかと提案された。クルザス西部高地のツインプールズで「ルーム」を3体討伐しよう。			眷属狩りの肩慣らし							
ルームを討伐した。聖フィネア連隊の露営地の「ジャントゥロー」に報告しよう。			ルームを討伐した。聖フィネア連隊の露営地の「ジャントゥロー」に報告しよう。			眷属狩りの肩慣らし							
ジャントゥローに報告した。次は眷属狩りの本番のため、準備が整ったら再びジャントゥローに声をかけよう。			ジャントゥローに報告した。次は眷属狩りの本番のため、準備が整ったら再びジャントゥローに声をかけよう。			眷属狩りの肩慣らし							
ルームを討伐			ルームを討伐			眷属狩りの肩慣らし							
ジャントゥローに報告			ジャントゥローに報告			眷属狩りの肩慣らし							
……お前、かなり腕が立つんだろ？どうだい、せっかく「聖フィネア連隊の露営地」に来たんだ、ドラゴン族の眷属狩りを楽しんでみないか？			……お前、かなり腕が立つんだろ？どうだい、せっかく「聖フィネア連隊の露営地」に来たんだ、ドラゴン族の眷属狩りを楽しんでみないか？			眷属狩りの肩慣らし							
だが、眷属とはいえ、相手はなかなかに手強い……。まずは肩慣らしに、「ルーム」を3体ほど倒してくるといい。ほらほら、物は試しって言うだろう？　さっそく行ってみろよ。			だが、眷属とはいえ、相手はなかなかに手強い……。まずは肩慣らしに、「ルーム」を3体ほど倒してくるといい。ほらほら、物は試しって言うだろう？　さっそく行ってみろよ。			眷属狩りの肩慣らし							
だが、眷属とはいえ、相手はなかなかに手強い……。まずは肩慣らしに、「ルーム」を3体ほど倒してくるといい。ほらほら、物は試しって言うだろう？　さっそく行ってみろよ。			だが、眷属とはいえ、相手はなかなかに手強い……。まずは肩慣らしに、「ルーム」を3体ほど倒してくるといい。ほらほら、物は試しって言うだろう？　さっそく行ってみろよ。			眷属狩りの肩慣らし							
おう、どうやら「ルーム」を仕留めてきたみてぇだな。どうだった、ヤツらもそれなりに歯ごたえがあったろう？……え？　そうでもなかった？			おう、どうやら「ルーム」を仕留めてきたみてぇだな。どうだった、ヤツらもそれなりに歯ごたえがあったろう？……え？　そうでもなかった？			眷属狩りの肩慣らし							
ハハハハッ、なかなかやるじゃねえか。「ルーム」程度の小物じゃ、肩慣らしにもならないってか？			ハハハハッ、なかなかやるじゃねえか。「ルーム」程度の小物じゃ、肩慣らしにもならないってか？			眷属狩りの肩慣らし							
それじゃあ、お次は本番と行こうじゃないか。準備ができたら、声をかけてくれよな。			それじゃあ、お次は本番と行こうじゃないか。準備ができたら、声をかけてくれよな。			眷属狩りの肩慣らし							
聖フィネア連隊の露営地のドミニアクは、焦燥感をにじませながら深く考えこんでいる。			聖フィネア連隊の露営地のドミニアクは、焦燥感をにじませながら深く考えこんでいる。			竜を狩る夢							
ドミニアクから、ドラゴン族についての情報を集めるよう頼まれた。聖フィネア連隊の露営地で、ドラゴン族の情報を持っている人物を探そう。			ドミニアクから、ドラゴン族についての情報を集めるよう頼まれた。聖フィネア連隊の露営地で、ドラゴン族の情報を持っている人物を探そう。			竜を狩る夢							
小賢しい巡回兵が、ドラゴン族の情報を教えてくれるという。しかし、その代わりに巡回を頼まれた。聖フィネア連隊の露営地付近にある「指定地点」で周囲を見渡そう。			小賢しい巡回兵が、ドラゴン族の情報を教えてくれるという。しかし、その代わりに巡回を頼まれた。聖フィネア連隊の露営地付近にある「指定地点」で周囲を見渡そう。			竜を狩る夢							
巡回を完了した。聖フィネア連隊の露営地にいる「小賢しい巡回兵」に報告しよう。			巡回を完了した。聖フィネア連隊の露営地にいる「小賢しい巡回兵」に報告しよう。			竜を狩る夢							
小賢しい巡回兵から、ドラゴン族の眷属の死体を放置していると、別の眷属をおびき出せるという情報を引き出した。聖フィネア連隊の露営地の「ドミニアク」に報告しよう。			小賢しい巡回兵から、ドラゴン族の眷属の死体を放置していると、別の眷属をおびき出せるという情報を引き出した。聖フィネア連隊の露営地の「ドミニアク」に報告しよう。			竜を狩る夢							
ドミニアクに報告した。彼はドラゴン族の眷属の習性を利用し、上位のドラゴン族を誘い出す計画を立てたようだ。冒険者も、その計画に協力しよう。			ドミニアクに報告した。彼はドラゴン族の眷属の習性を利用し、上位のドラゴン族を誘い出す計画を立てたようだ。冒険者も、その計画に協力しよう。			竜を狩る夢							
聖フィネア連隊の露営地でドラゴン族についての情報を集める			聖フィネア連隊の露営地でドラゴン族についての情報を集める			竜を狩る夢							
指定地点で見渡す			指定地点で見渡す			竜を狩る夢							
小賢しい巡回兵に報告			小賢しい巡回兵に報告			竜を狩る夢							
ドミニアクに報告			ドミニアクに報告			竜を狩る夢							
……むっ、貴公はフォルタン家に出入する冒険者か？貴公の話は、我が友アイメリクから聞いている。蛮神をも退けるその力、ぜひお借りしたい。			……むっ、貴公はフォルタン家に出入する冒険者か？貴公の話は、我が友アイメリクから聞いている。蛮神をも退けるその力、ぜひお借りしたい。			竜を狩る夢							
我が望みは、盟友アイメリクの志を支えること！なれども、イシュガルドの厳しい貴族社会においては、爵位を持たぬ私には、何の力もない。			我が望みは、盟友アイメリクの志を支えること！なれども、イシュガルドの厳しい貴族社会においては、爵位を持たぬ私には、何の力もない。			竜を狩る夢							
では、力を得るにはどうしたら良いのか！大物のドラゴン族を討ち倒し、大いなる武勲を挙げる、これこそが最上の道といえるだろう。			では、力を得るにはどうしたら良いのか！大物のドラゴン族を討ち倒し、大いなる武勲を挙げる、これこそが最上の道といえるだろう。			竜を狩る夢							
……そう思って、これまで一心に槍を振るってきたものの、思うような功績を挙げられていなくてな……。			……そう思って、これまで一心に槍を振るってきたものの、思うような功績を挙げられていなくてな……。			竜を狩る夢							
どうにか、大物の情報を得たいところなのだが……聖フィネア連隊の者は、互いに功績を争う間柄ゆえ、戦友に対しても口が堅いのだ。			どうにか、大物の情報を得たいところなのだが……聖フィネア連隊の者は、互いに功績を争う間柄ゆえ、戦友に対しても口が堅いのだ。			竜を狩る夢							
しかし、部外者である貴公が相手ならば、あるいはドラゴン族の情報を漏らすかもしれん。頼む、私の代わりに、連隊の者から情報を集めてくれ！			しかし、部外者である貴公が相手ならば、あるいはドラゴン族の情報を漏らすかもしれん。頼む、私の代わりに、連隊の者から情報を集めてくれ！			竜を狩る夢							
しかし、部外者である貴公が相手ならば、あるいはドラゴン族の情報を漏らすかもしれん。頼む、私の代わりに、連隊の者から情報を集めてくれ！			しかし、部外者である貴公が相手ならば、あるいはドラゴン族の情報を漏らすかもしれん。頼む、私の代わりに、連隊の者から情報を集めてくれ！			竜を狩る夢							
……ドラゴン族の情報？俺っちに聞くなんて、アンタ、わかってるな。貴族様も知らねえ、いいネタを知ってるぜ。			……ドラゴン族の情報？俺っちに聞くなんて、アンタ、わかってるな。貴族様も知らねえ、いいネタを知ってるぜ。			竜を狩る夢							
おっと、タダってわけにゃいかねえ。今日は特別寒いからな、巡回任務を代わってくれよ。地図に場所は書いてやるからさ、頼んだぜ？			おっと、タダってわけにゃいかねえ。今日は特別寒いからな、巡回任務を代わってくれよ。地図に場所は書いてやるからさ、頼んだぜ？			竜を狩る夢							
おっと、タダってわけにゃいかねえ。今日は特別寒いからな、巡回任務を代わってくれよ。地図に場所は書いてやるからさ、頼んだぜ？			おっと、タダってわけにゃいかねえ。今日は特別寒いからな、巡回任務を代わってくれよ。地図に場所は書いてやるからさ、頼んだぜ？			竜を狩る夢							
ドラゴン族について教えろって？教えるほどのネタなんてねえよ。			ドラゴン族について教えろって？教えるほどのネタなんてねえよ。			竜を狩る夢							
ドラゴン族の情報を教えてくれ……って、無理を言うなよ。そいつは俺たちにとって、出世するための武器だぜ。ホイホイ教えたら、意味がなくなっちまう。			ドラゴン族の情報を教えてくれ……って、無理を言うなよ。そいつは俺たちにとって、出世するための武器だぜ。ホイホイ教えたら、意味がなくなっちまう。			竜を狩る夢							
……お、巡回をしてきたみたいだな。それじゃ約束だ、とっときのネタを教えてやる。			……お、巡回をしてきたみたいだな。それじゃ約束だ、とっときのネタを教えてやる。			竜を狩る夢							
ドラゴン族の眷属の死体を放置してると、理由はわからねえが、上位の眷属が近寄ってくるんだ。この習性を利用すれば、奴らを罠にかけることができるぜ。			ドラゴン族の眷属の死体を放置してると、理由はわからねえが、上位の眷属が近寄ってくるんだ。この習性を利用すれば、奴らを罠にかけることができるぜ。			竜を狩る夢							
この話は、あちこちで言いふらすんじゃあねえぞ。ほら、大勢の人が知っちまったら、大騒動になっちまうだろ？			この話は、あちこちで言いふらすんじゃあねえぞ。ほら、大勢の人が知っちまったら、大騒動になっちまうだろ？			竜を狩る夢							
それに、最近このあたりも物騒でね。どうやら、家族を失った下級貴族の放蕩息子が、死に場所を求めてうろついてるって噂だ。			それに、最近このあたりも物騒でね。どうやら、家族を失った下級貴族の放蕩息子が、死に場所を求めてうろついてるって噂だ。			竜を狩る夢							
そういう自暴自棄な奴にこの情報がバレたら、何かに悪用されちまうかもしれねぇ。用心に越したことはないさ。			そういう自暴自棄な奴にこの情報がバレたら、何かに悪用されちまうかもしれねぇ。用心に越したことはないさ。			竜を狩る夢							
ドラゴン族の眷属の死体を放置してると、理由はわからねえが、上位の眷属が近寄ってくるんだ。この習性を利用すれば、奴らを罠にかけることができるぜ。			ドラゴン族の眷属の死体を放置してると、理由はわからねえが、上位の眷属が近寄ってくるんだ。この習性を利用すれば、奴らを罠にかけることができるぜ。			竜を狩る夢							
あなたは……見ない顔だけど、新人さんかな？まあ、僕には関係ないし、なんだっていいけどね……。			あなたは……見ない顔だけど、新人さんかな？まあ、僕には関係ないし、なんだっていいけどね……。			竜を狩る夢							
戻ったな、冒険者殿。何か、よい情報は得られただろうか？			戻ったな、冒険者殿。何か、よい情報は得られただろうか？			竜を狩る夢							
なるほど、眷属の死体を使い上位の眷属をおびき出す、か……。それを利用すれば、大物が釣れるかもしれん。少なくとも、試す価値はあるだろうな。			なるほど、眷属の死体を使い上位の眷属をおびき出す、か……。それを利用すれば、大物が釣れるかもしれん。少なくとも、試す価値はあるだろうな。			竜を狩る夢							
……つまりだ、おびき出した眷属を倒し、さらにその死体を使って、より上位の眷属を誘い出す。それを繰り返し、上位のドラゴン族が現れるのを待つのだ。			……つまりだ、おびき出した眷属を倒し、さらにその死体を使って、より上位の眷属を誘い出す。それを繰り返し、上位のドラゴン族が現れるのを待つのだ。			竜を狩る夢							
感謝する、貴公のおかげで光明が見えた。よければ、以降も力を貸してほしい。			感謝する、貴公のおかげで光明が見えた。よければ、以降も力を貸してほしい。			竜を狩る夢							
ゴルガニュ牧場の調査隊の騎兵隊長は、何か話したいことがあるようだ。			ゴルガニュ牧場の調査隊の騎兵隊長は、何か話したいことがあるようだ。			異端者の遺した物							
調査隊の騎兵隊長から話を聞いた。調査隊が発見した書簡に、手がかりがあるかもしれない。ゴルガニュ牧場にある「異端者の書簡」を入手しよう。			調査隊の騎兵隊長から話を聞いた。調査隊が発見した書簡に、手がかりがあるかもしれない。ゴルガニュ牧場にある「異端者の書簡」を入手しよう。			異端者の遺した物							
異端者の書簡を入手した。ゴルガニュ牧場の「調査隊の騎兵隊長」に「異端者の書簡」を渡そう。			異端者の書簡を入手した。ゴルガニュ牧場の「調査隊の騎兵隊長」に「異端者の書簡」を渡そう。			異端者の遺した物							
調査隊の騎兵隊長に、異端者の書簡を渡した。異端者の書簡には、アク・アファー円形劇場に潜む仲間とのやりとりが書かれていた。あの遺跡に、異端者が潜伏しているのかもしれない。			調査隊の騎兵隊長に、異端者の書簡を渡した。異端者の書簡には、アク・アファー円形劇場に潜む仲間とのやりとりが書かれていた。あの遺跡に、異端者が潜伏しているのかもしれない。			異端者の遺した物							
異端者の書簡を入手			異端者の書簡を入手			異端者の遺した物							
調査隊の騎兵隊長に異端者の書簡を渡す			調査隊の騎兵隊長に異端者の書簡を渡す			異端者の遺した物							
……なるほど、「氷の巫女」たちの足取りを追っているのですね。我々が発見した異端者が遺した書簡は、彼らの連絡記録のようでした……。			……なるほど、「氷の巫女」たちの足取りを追っているのですね。我々が発見した異端者が遺した書簡は、彼らの連絡記録のようでした……。			異端者の遺した物							
魔物に襲われたため、詳細な内容はわかりませんが、確認してみる価値はあるはずです。行ってみましょう。			魔物に襲われたため、詳細な内容はわかりませんが、確認してみる価値はあるはずです。行ってみましょう。			異端者の遺した物							
俺の方は、見事に空振りだった。その書簡とやらを、読んでみるほかないだろうな。……よし、皆で探すぞ。			俺の方は、見事に空振りだった。その書簡とやらを、読んでみるほかないだろうな。……よし、皆で探すぞ。			異端者の遺した物							
と、突然、襲われてね……倒したものの肝を冷やしたよ。			と、突然、襲われてね……倒したものの肝を冷やしたよ。			異端者の遺した物							
待たせたな、いま来たところだ。こっちは空振りだったぞ……。哨戒部隊は、ろくな情報を持ち帰らなかった……。			待たせたな、いま来たところだ。こっちは空振りだったぞ……。哨戒部隊は、ろくな情報を持ち帰らなかった……。			異端者の遺した物							
私も何通かの「異端者の書簡」を見つけた。一通り集め終わったら、「調査隊の騎兵隊長」に集約し、それぞれの内容を確認してみよう。			私も何通かの「異端者の書簡」を見つけた。一通り集め終わったら、「調査隊の騎兵隊長」に集約し、それぞれの内容を確認してみよう。			異端者の遺した物							
ああ、ここに書簡の束があったのですが……。どうやら魔物騒ぎで、散らばってしまったようです。			ああ、ここに書簡の束があったのですが……。どうやら魔物騒ぎで、散らばってしまったようです。			異端者の遺した物							
まったく面倒なことだな……。ドラゴン族と戦う方が、よほど気楽というものさ。			まったく面倒なことだな……。ドラゴン族と戦う方が、よほど気楽というものさ。			異端者の遺した物							
「異端者の書簡」は見つかりましたか？			「異端者の書簡」は見つかりましたか？			異端者の遺した物							
ありがとうございます。お三方から受け取ったものを合わせると……10通以上になりますね。			ありがとうございます。お三方から受け取ったものを合わせると……10通以上になりますね。			異端者の遺した物							
……ふむ……なるほど……どうやら、これらは「アク・アファー円形劇場」に潜伏する、奴らの仲間との、やり取りを記した記録のようです。			……ふむ……なるほど……どうやら、これらは「アク・アファー円形劇場」に潜伏する、奴らの仲間との、やり取りを記した記録のようです。			異端者の遺した物							
食料、その他を手配する旨が記されています。……ということは、あの遺跡にまだ異端者どもが？			食料、その他を手配する旨が記されています。……ということは、あの遺跡にまだ異端者どもが？			異端者の遺した物							
聖フィネア連隊の露営地のドミニアクは、計画を次の段階へ進めようとしている。			聖フィネア連隊の露営地のドミニアクは、計画を次の段階へ進めようとしている。			竜の決死圏							
サントレルモが、ドラゴン族を誘いだす計画を、次の段階に進める準備をしているそうだ。聖フィネア連隊の露営地北に向かった「サントレルモ」と合流しよう。			サントレルモが、ドラゴン族を誘いだす計画を、次の段階に進める準備をしているそうだ。聖フィネア連隊の露営地北に向かった「サントレルモ」と合流しよう。			竜の決死圏							
サントレルモと合流した。冒険者が倒した眷属の死体を、上位の眷属が持ち去っていたそうだ。クルザス西部高地の聖フィネア連隊の露営地北西で上位の眷属を討伐しよう。			サントレルモと合流した。冒険者が倒した眷属の死体を、上位の眷属が持ち去っていたそうだ。クルザス西部高地の聖フィネア連隊の露営地北西で上位の眷属を討伐しよう。			竜の決死圏							
現れた上位の眷属を討伐した。聖フィネア連隊の露営地北の「サントレルモ」に報告しよう。			現れた上位の眷属を討伐した。聖フィネア連隊の露営地北の「サントレルモ」に報告しよう。			竜の決死圏							
サントレルモと話した。聖フィネア連隊の露営地の「ドミニアク」に報告しよう。			サントレルモと話した。聖フィネア連隊の露営地の「ドミニアク」に報告しよう。			竜の決死圏							
