クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
咆哮を止める技、「ダグリングアロー」を編み出したいま、もうお前には負けない！いまこそ、仲間の仇を討ってやる……！			咆哮を止める技、「ダグリングアロー」を編み出したいま、もうお前には負けない！いまこそ、仲間の仇を討ってやる……！			勇気の狩人							
ふう……なんとか、倒すことができたな……！無事か、レンダ？			ふう……なんとか、倒すことができたな……！無事か、レンダ？			勇気の狩人							
アルバート……みんな……ありがとう。			アルバート……みんな……ありがとう。			勇気の狩人							
そして……勝手な行動をして……ごめんなさい。			そして……勝手な行動をして……ごめんなさい。			勇気の狩人							
聞かせてくれない？ノルヴラント中で恐れられた魔獣と、たったひとりで戦おうとしたわけを……。			聞かせてくれない？ノルヴラント中で恐れられた魔獣と、たったひとりで戦おうとしたわけを……。			勇気の狩人							
アタシには……みんなと知り合う前に、賞金首の魔獣を狩って旅をする仲間がいたんだ……。			アタシには……みんなと知り合う前に、賞金首の魔獣を狩って旅をする仲間がいたんだ……。			勇気の狩人							
怖いもの知らずだったアタシたちは、どんどん強い魔獣に挑んだ。同業者の間でも名を上げて、いつしか傲慢になっていた。そんなとき、バラム・キツェーと戦って……みんな……。			怖いもの知らずだったアタシたちは、どんどん強い魔獣に挑んだ。同業者の間でも名を上げて、いつしか傲慢になっていた。そんなとき、バラム・キツェーと戦って……みんな……。			勇気の狩人							
アタシは仇討ちを誓った。アルバートたちに加わったのも、本当はバラム・キツェーの討伐に協力してもらうためだった……。			アタシは仇討ちを誓った。アルバートたちに加わったのも、本当はバラム・キツェーの討伐に協力してもらうためだった……。			勇気の狩人							
でも、みんなと仲良くなるにつれて、過去の暗い話を打ち明けづらくなっていった。			でも、みんなと仲良くなるにつれて、過去の暗い話を打ち明けづらくなっていった。			勇気の狩人							
舞い込む依頼も増えてきて、アタシの私闘に、みんなを巻き込むわけにいかなくなった。			舞い込む依頼も増えてきて、アタシの私闘に、みんなを巻き込むわけにいかなくなった。			勇気の狩人							
そして何より……また仲間を……みんなを失うのが怖かったんだ……。			そして何より……また仲間を……みんなを失うのが怖かったんだ……。			勇気の狩人							
レンダ……俺たちは仲間だ……そうだろう？			レンダ……俺たちは仲間だ……そうだろう？			勇気の狩人							
どれだけ依頼が舞い込もうと、仲間のために動かない、「仲間」がどこにいる？それこそ、仲間からの「依頼」だったら、最優先で引き受けるさ。			どれだけ依頼が舞い込もうと、仲間のために動かない、「仲間」がどこにいる？それこそ、仲間からの「依頼」だったら、最優先で引き受けるさ。			勇気の狩人							
それに、仲間を失うのが怖いだって……？俺たちだって同じってことくらい、わかれよ！			それに、仲間を失うのが怖いだって……？俺たちだって同じってことくらい、わかれよ！			勇気の狩人							
レンダの弓と耳に救われたことだって、一度や二度じゃない。今やなくてはならない戦力なんだ！			レンダの弓と耳に救われたことだって、一度や二度じゃない。今やなくてはならない戦力なんだ！			勇気の狩人							
何より、レンダがいなけりゃ誰が、ブランデンの小言とナイルベルトの嫌味を聞かされると思う？そんなの俺ひとりじゃ、耐えられるかっての！			何より、レンダがいなけりゃ誰が、ブランデンの小言とナイルベルトの嫌味を聞かされると思う？そんなの俺ひとりじゃ、耐えられるかっての！			勇気の狩人							
ところでさ……コイツには、莫大な懸賞金が掛けられてるんだろ？それを倒したんなら、俺たちの名も……！			ところでさ……コイツには、莫大な懸賞金が掛けられてるんだろ？それを倒したんなら、俺たちの名も……！			勇気の狩人							
やれやれ、すぐ調子に乗って……。			やれやれ、すぐ調子に乗って……。			勇気の狩人							
勝って兜のなんとやら、だな……。だが、バラム・キツェーが現れ、怖れていた住人たちは、討伐の報を知れば喜んでくれることだろう。			勝って兜のなんとやら、だな……。だが、バラム・キツェーが現れ、怖れていた住人たちは、討伐の報を知れば喜んでくれることだろう。			勇気の狩人							
そ、そういうことだ！それにレンダが喜ぶことだって、俺たちには重要さ。だから、今後は何でも相談して、独走は慎んでくれよな！			そ、そういうことだ！それにレンダが喜ぶことだって、俺たちには重要さ。だから、今後は何でも相談して、独走は慎んでくれよな！			勇気の狩人							
アタシはみんなのことを思っているようで、結局は独りよがりなだけだったんだね……。			アタシはみんなのことを思っているようで、結局は独りよがりなだけだったんだね……。			勇気の狩人							
わかった！これからは、仲間のために生きる！どんなことがあっても、みんなについていくって誓うよ！			わかった！これからは、仲間のために生きる！どんなことがあっても、みんなについていくって誓うよ！			勇気の狩人							
さて……討伐の証を回収すべきじゃないのか？どうせなら、懸賞金とやらも得ておきたいからな……。			さて……討伐の証を回収すべきじゃないのか？どうせなら、懸賞金とやらも得ておきたいからな……。			勇気の狩人							
あら、綺麗なクリスタルですね……。せっかくですし、貴方の物にしたらどうです？かつての仲間の形見……いえ、貴方の決意の証として……。			あら、綺麗なクリスタルですね……。せっかくですし、貴方の物にしたらどうです？かつての仲間の形見……いえ、貴方の決意の証として……。			勇気の狩人							
おい……おい！しっかりしろって……！			おい……おい！しっかりしろって……！			勇気の狩人							
お前、なに考えてるんだよ！獲物を前にして、また過去を視てたってのか！？おかげで、アンドレイアに逃げられちまったじゃないか……！！			お前、なに考えてるんだよ！獲物を前にして、また過去を視てたってのか！？おかげで、アンドレイアに逃げられちまったじゃないか……！！			勇気の狩人							
この……役立たず！！			この……役立たず！！			勇気の狩人							
もういい！お前なんかいらない、俺はひとりでアンドレイアを倒す！			もういい！お前なんかいらない、俺はひとりでアンドレイアを倒す！			勇気の狩人							
何と言う？			何と言う？			勇気の狩人							
勝手にしろ……			勝手にしろ……			勇気の狩人							
こっちから願い下げだ！			こっちから願い下げだ！			勇気の狩人							
今回の報酬だけはくれてやるから、ゲートタウンまで来い。そこで、俺たちは終わりだ……。			今回の報酬だけはくれてやるから、ゲートタウンまで来い。そこで、俺たちは終わりだ……。			勇気の狩人							
何かあったようだけど、とにかく、ふたりとも無事に帰ってきてくれてよかったわ……。			何かあったようだけど、とにかく、ふたりとも無事に帰ってきてくれてよかったわ……。			勇気の狩人							
まったく、お前にはがっかりだよ……。オルヴァラにいくらか金を預けてたんで、最後の報酬はそこから渡すことにする。			まったく、お前にはがっかりだよ……。オルヴァラにいくらか金を預けてたんで、最後の報酬はそこから渡すことにする。			勇気の狩人							
リーク＆Forenameは、これにて解散だ。じゃあな……あばよ。			リーク＆Forenameは、これにて解散だ。じゃあな……あばよ。			勇気の狩人							
どうやら、ケンカしてしまったようね。お金がなくなり、お友達までなくしちゃうなんて……リーク坊ちゃんの、先行きが心配だわ。			どうやら、ケンカしてしまったようね。お金がなくなり、お友達までなくしちゃうなんて……リーク坊ちゃんの、先行きが心配だわ。			勇気の狩人							
あなたには本当に悪いんだけど、また、私のもとに来ていただけないかしら？精一杯のお礼は用意するので、どうか、よろしくお願いします……。			あなたには本当に悪いんだけど、また、私のもとに来ていただけないかしら？精一杯のお礼は用意するので、どうか、よろしくお願いします……。			勇気の狩人							
モルド・スークのグランソンは、冒険者に伝えたいことがあるようだ。			モルド・スークのグランソンは、冒険者に伝えたいことがあるようだ。			ブランデンとソールディア							
グランソンと話した。ディカイオシュネーに罪喰いへと変えられてしまった人物の家族から、首飾りについて話を聞いてきたようだ。一年前、イル・メグに入り込んだスカベンジャーたちは、フッブート王国に伝わる三種の国宝のうち、「双頭狼の牙」と「双頭狼の眼」を持ち出したという。しかし、命がけで持ち出したふたつの宝はディカイオシュネーの手に渡り、関わった者たちは悲惨な末路をたどることとなった。グランソンは、ディカイオシュネーの足取りを追うために、未だイル・メグに眠る最後の宝である「双頭狼の爪」と呼ばれる指輪を入手しようと考えているようだ。イル・メグのリダ・ラーンにいる「グランソン」と話そう。			グランソンと話した。ディカイオシュネーに罪喰いへと変えられてしまった人物の家族から、首飾りについて話を聞いてきたようだ。一年前、イル・メグに入り込んだスカベンジャーたちは、フッブート王国に伝わる三種の国宝のうち、「双頭狼の牙」と「双頭狼の眼」を持ち出したという。しかし、命がけで持ち出したふたつの宝はディカイオシュネーの手に渡り、関わった者たちは悲惨な末路をたどることとなった。グランソンは、ディカイオシュネーの足取りを追うために、未だイル・メグに眠る最後の宝である「双頭狼の爪」と呼ばれる指輪を入手しようと考えているようだ。イル・メグのリダ・ラーンにいる「グランソン」と話そう。			ブランデンとソールディア							
グランソンと話した。プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めよう。			グランソンと話した。プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めよう。			ブランデンとソールディア							
プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めた。「グランソン」と話そう。			プラ・エンニ茸窟のン・モゥ族から、双頭狼の爪の情報を集めた。「グランソン」と話そう。			ブランデンとソールディア							
グランソンと話した。プラ・エンニ茸窟の「スール＝オール」と話そう。			グランソンと話した。プラ・エンニ茸窟の「スール＝オール」と話そう。			ブランデンとソールディア							
スール＝オールと話した。スール＝オールは、ン・モゥ族でありながら、かつてフッブート王国に仕えていたようだ。そこでは、「光の戦士」と呼ばれた英雄のひとりであるブランデンや、フッブート王国の王女のソールディアとともに、人が魔物化する事件を追っていたという。スール＝オールから、双頭狼の爪の情報を聞き出すために、対価を支払うことになった。フッブーテンブルクの指定地点で見渡して、現れた魔物を討伐しよう。			スール＝オールと話した。スール＝オールは、ン・モゥ族でありながら、かつてフッブート王国に仕えていたようだ。そこでは、「光の戦士」と呼ばれた英雄のひとりであるブランデンや、フッブート王国の王女のソールディアとともに、人が魔物化する事件を追っていたという。スール＝オールから、双頭狼の爪の情報を聞き出すために、対価を支払うことになった。フッブーテンブルクの指定地点で見渡して、現れた魔物を討伐しよう。			ブランデンとソールディア							
指定地点で見渡して、現れた魔物を討伐した。プラ・エンニ茸窟の「スール＝オール」と話そう。			指定地点で見渡して、現れた魔物を討伐した。プラ・エンニ茸窟の「スール＝オール」と話そう。			ブランデンとソールディア							
スール＝オールと話した。グランソンが対価の支払いを終えるまで、しばらく待とう。※いずれかのTANKジョブのレベルが78以上になると、プラ・エンニ茸窟のスール＝オールから次のTANKロールクエストを受注することができます。			スール＝オールと話した。グランソンが対価の支払いを終えるまで、しばらく待とう。※いずれかのTANKジョブのレベルが78以上になると、プラ・エンニ茸窟のスール＝オールから次のTANKロールクエストを受注することができます。			ブランデンとソールディア							
リダ・ラーンのグランソンと話す			リダ・ラーンのグランソンと話す			ブランデンとソールディア							
プラ・エンニ茸窟で情報を集める			プラ・エンニ茸窟で情報を集める			ブランデンとソールディア							
グランソンと話す			グランソンと話す			ブランデンとソールディア							
スール＝オールと話す			スール＝オールと話す			ブランデンとソールディア							
指定地点で見渡して魔物を討伐			指定地点で見渡して魔物を討伐			ブランデンとソールディア							
スール＝オールと話す			スール＝オールと話す			ブランデンとソールディア							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「仕事には対価を」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「仕事には対価を」を完了する必要があります。			ブランデンとソールディア							
よう、相棒。			よう、相棒。			ブランデンとソールディア							
オレはあの後、件の首飾りを持っていた狩人の奥さんに会って、事の次第を報告してきた。			オレはあの後、件の首飾りを持っていた狩人の奥さんに会って、事の次第を報告してきた。			ブランデンとソールディア							
夫の死を知った彼女は、取り乱しつつも、首飾りについて知る限りのことを教えてくれたよ。			夫の死を知った彼女は、取り乱しつつも、首飾りについて知る限りのことを教えてくれたよ。			ブランデンとソールディア							
一年程前……命知らずのスカベンジャーたちが、妖精郷、イル・メグに向かったそうだ。			一年程前……命知らずのスカベンジャーたちが、妖精郷、イル・メグに向かったそうだ。			ブランデンとソールディア							
目的は、フッブート王国の遺産……手付かずの廃墟から、お宝を持ち帰ろうって話さ。そして、参加者のほとんどが妖精に襲われて死んじまった。			目的は、フッブート王国の遺産……手付かずの廃墟から、お宝を持ち帰ろうって話さ。そして、参加者のほとんどが妖精に襲われて死んじまった。			ブランデンとソールディア							
だが、一部の幸運な生き残りたちは、フッブート王国に伝わる三種の国宝のうち、二種を持ち帰った。これこそ、例の「腕輪」と「首飾り」さ。			だが、一部の幸運な生き残りたちは、フッブート王国に伝わる三種の国宝のうち、二種を持ち帰った。これこそ、例の「腕輪」と「首飾り」さ。			ブランデンとソールディア							
腕輪……つまり「双頭狼の牙」を手に入れた者は、金欲しさにユールモアの古物商の男に売却したらしい。おそらく、相棒が会った男のことだろう。			腕輪……つまり「双頭狼の牙」を手に入れた者は、金欲しさにユールモアの古物商の男に売却したらしい。おそらく、相棒が会った男のことだろう。			ブランデンとソールディア							
「双頭狼の牙」については、アンタも知っての通り、修復のためにライト村のミリンダに預けられ、襲撃を仕掛けてきたディカイオシュネーに奪われてしまった。			「双頭狼の牙」については、アンタも知っての通り、修復のためにライト村のミリンダに預けられ、襲撃を仕掛けてきたディカイオシュネーに奪われてしまった。			ブランデンとソールディア							
一方、首飾りの「双頭狼の眼」を手に入れた男は、いざという時に売却しようと肌身離さず所持していたが、腕輪同様、あの野郎に奪われてしまった。			一方、首飾りの「双頭狼の眼」を手に入れた男は、いざという時に売却しようと肌身離さず所持していたが、腕輪同様、あの野郎に奪われてしまった。			ブランデンとソールディア							
以上が、オレが彼女から聞いた話だ。			以上が、オレが彼女から聞いた話だ。			ブランデンとソールディア							
これが事実ならば、ディカイオシュネーの目的は、フッブート王国の国宝を入手すること、ってことになる……。			これが事実ならば、ディカイオシュネーの目的は、フッブート王国の国宝を入手すること、ってことになる……。			ブランデンとソールディア							
それなら、残った最後の国宝……「双頭狼の爪」と呼ばれる指輪を探して入手すれば、あの野郎をオレたちの元へ招待できるかもしれない、ってわけだ。			それなら、残った最後の国宝……「双頭狼の爪」と呼ばれる指輪を探して入手すれば、あの野郎をオレたちの元へ招待できるかもしれない、ってわけだ。			ブランデンとソールディア							
だが、イル・メグは危険な妖精の縄張りだ。スカベンジャーたちが、持ち帰ることのできなかった品を、どうやれば、安全に探し出せるのか……。			だが、イル・メグは危険な妖精の縄張りだ。スカベンジャーたちが、持ち帰ることのできなかった品を、どうやれば、安全に探し出せるのか……。			ブランデンとソールディア							
何と答える？			何と答える？			ブランデンとソールディア							
イル・メグに行ったことがある			イル・メグに行ったことがある			ブランデンとソールディア							
妖精の知り合いがいる			妖精の知り合いがいる			ブランデンとソールディア							
そいつは本当かい？なら、妖精たちに認められたってことじゃないか。			そいつは本当かい？なら、妖精たちに認められたってことじゃないか。			ブランデンとソールディア							
そいつは本当かい？妖精たちに認められたアンタが一緒なら、話が早いぜ。			そいつは本当かい？妖精たちに認められたアンタが一緒なら、話が早いぜ。			ブランデンとソールディア							
よし、それならオレたちがやるべきことはひとつだ。イル・メグに向かい、妖精たちから指輪について情報を集めよう。			よし、それならオレたちがやるべきことはひとつだ。イル・メグに向かい、妖精たちから指輪について情報を集めよう。			ブランデンとソールディア							
無事にここまでは来られたが……。さて、鬼が出るか蛇が出るか……いや、出るとすれば妖精か。			無事にここまでは来られたが……。さて、鬼が出るか蛇が出るか……いや、出るとすれば妖精か。			ブランデンとソールディア							
確か、妖精の中でもン・モゥ族は、フッブート王国の者たちとも関わりが深かったはずだ。連中の集落がどこにあるか、知っているか？			確か、妖精の中でもン・モゥ族は、フッブート王国の者たちとも関わりが深かったはずだ。連中の集落がどこにあるか、知っているか？			ブランデンとソールディア							
何と答える？			何と答える？			ブランデンとソールディア							
プラ・エンニ茸窟について話す			プラ・エンニ茸窟について話す			ブランデンとソールディア							
覚えていない			覚えていない			ブランデンとソールディア							
ここから北にある「プラ・エンニ茸窟」か……。了解だ、そこで情報を集めよう。			ここから北にある「プラ・エンニ茸窟」か……。了解だ、そこで情報を集めよう。			ブランデンとソールディア							
アンタだけが頼りなんだよ。頼む、思い出してくれ！			アンタだけが頼りなんだよ。頼む、思い出してくれ！			ブランデンとソールディア							
何か用かな？			何か用かな？			ブランデンとソールディア							
「双頭狼の爪」という指輪を探しているって？名前だけは聞いたことはあるが、どういった物かまでは知らないな。			「双頭狼の爪」という指輪を探しているって？名前だけは聞いたことはあるが、どういった物かまでは知らないな。			ブランデンとソールディア							
しかし、昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			しかし、昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			ブランデンとソールディア							
どうした、何か聞きたいことがありそうな顔をして。			どうした、何か聞きたいことがありそうな顔をして。			ブランデンとソールディア							
フッブート王国の国宝の指輪を知らんか、と？うむ、知っておるぞ。確か「双頭狼の爪」と言ったかのう？			フッブート王国の国宝の指輪を知らんか、と？うむ、知っておるぞ。確か「双頭狼の爪」と言ったかのう？			ブランデンとソールディア							
じゃが、フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			じゃが、フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			ブランデンとソールディア							
こいつらがン・モゥ族か……犬なのか人なのかよくわからん見た目をしているな……。ともかく、「双頭狼の爪」について情報を集めるとしよう。			こいつらがン・モゥ族か……犬なのか人なのかよくわからん見た目をしているな……。ともかく、「双頭狼の爪」について情報を集めるとしよう。			ブランデンとソールディア							
昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			昔フッブート王国の王女に仕えていたという、「スール＝オール」なら、何か知っているかもしれないよ。変わり者の年寄りだから、話を聞いてくれるかはわからないけどね。			ブランデンとソールディア							
フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			フッブート王国はとうの昔に滅んだ国。その指輪が現在どこにあるのかまでは知らぬよ。			ブランデンとソールディア							
よう、相棒。「双頭狼の爪」について知ってそうなヤツはいたかい？			よう、相棒。「双頭狼の爪」について知ってそうなヤツはいたかい？			ブランデンとソールディア							
へえ、「スール＝オール」というン・モゥ族は、フッブート王国の王女に仕えていたことがあるのか……。よし、そいつから話を聞いてみようぜ。			へえ、「スール＝オール」というン・モゥ族は、フッブート王国の王女に仕えていたことがあるのか……。よし、そいつから話を聞いてみようぜ。			ブランデンとソールディア							
何じゃ、おぬしらは？ワシに何か用か？			何じゃ、おぬしらは？ワシに何か用か？			ブランデンとソールディア							
おぬしも聞いておろうが、先日、5人目の犠牲者が出た。魔物化したのは、まだ成人にも満たない娘子だったそうじゃ。			おぬしも聞いておろうが、先日、5人目の犠牲者が出た。魔物化したのは、まだ成人にも満たない娘子だったそうじゃ。			ブランデンとソールディア							
突然、フッブート王国の民たちが、魔物に変貌して人を襲い出す一連の事件……原因はわかっていないのか？			突然、フッブート王国の民たちが、魔物に変貌して人を襲い出す一連の事件……原因はわかっていないのか？			ブランデンとソールディア							
魔物化した亡骸を調べたところ、魔力の残滓を感じた。何者かが魔法を悪用して起こしているのは間違いない……が、犯人の特定までは至っておらん。			魔物化した亡骸を調べたところ、魔力の残滓を感じた。何者かが魔法を悪用して起こしているのは間違いない……が、犯人の特定までは至っておらん。			ブランデンとソールディア							
だが、我ら宮廷魔道士が必ず見つけ出してみせよう。それまでの間、騎士である貴様には、魔物化した者の始末を頼みたい。			だが、我ら宮廷魔道士が必ず見つけ出してみせよう。それまでの間、騎士である貴様には、魔物化した者の始末を頼みたい。			ブランデンとソールディア							
元は、人であった相手を討てと！？本当に、元に戻すことはできないのか……？			元は、人であった相手を討てと！？本当に、元に戻すことはできないのか……？			ブランデンとソールディア							
気持ちはわかるが、致し方あるまい。王国騎士団の理念は、「弱き者の為の正義」だったな。民を危険から守るためには、決断せねばならぬこともあろう。			気持ちはわかるが、致し方あるまい。王国騎士団の理念は、「弱き者の為の正義」だったな。民を危険から守るためには、決断せねばならぬこともあろう。			ブランデンとソールディア							
それに、万が一にも王族たちの身に危険が及ぶようなことがあれば、騎士であるおぬしの立場も危うくなるのじゃぞ。			それに、万が一にも王族たちの身に危険が及ぶようなことがあれば、騎士であるおぬしの立場も危うくなるのじゃぞ。			ブランデンとソールディア							
(-？？？？-)要らぬ心配だな！			(-？？？？-)要らぬ心配だな！			ブランデンとソールディア							
此度の事件は、フッブート王国第一王女である、このソールディアが手ずから解決してみせよう！			此度の事件は、フッブート王国第一王女である、このソールディアが手ずから解決してみせよう！			ブランデンとソールディア							
何をおっしゃる、姫様！そのような危険なことはおやめくだされ！			何をおっしゃる、姫様！そのような危険なことはおやめくだされ！			ブランデンとソールディア							
ほう、民ならば危険に晒されても良いと申すのか？彼らが奪われていく様を、私だけ安全な場所で見ていろと？			ほう、民ならば危険に晒されても良いと申すのか？彼らが奪われていく様を、私だけ安全な場所で見ていろと？			ブランデンとソールディア							
し、しかし……。			し、しかし……。			ブランデンとソールディア							
お前がブランデンだな。騎士団長からは、新米の割に腕が立つと聞いている。私の剣となり、捜査の補助にあたれ。			お前がブランデンだな。騎士団長からは、新米の割に腕が立つと聞いている。私の剣となり、捜査の補助にあたれ。			ブランデンとソールディア							
な、なんですと！？			な、なんですと！？			ブランデンとソールディア							
もうこれ以上、無辜の民を奪われたくはない。私は、彼らを守るためなら命すら懸けよう。			もうこれ以上、無辜の民を奪われたくはない。私は、彼らを守るためなら命すら懸けよう。			ブランデンとソールディア							
ブランデン、畏れるな……正義を成すことを！			ブランデン、畏れるな……正義を成すことを！			ブランデンとソールディア							
ソールディア様……仰せのままに。我が剣に誓って、必ずあなたと民をお守りいたします。			ソールディア様……仰せのままに。我が剣に誓って、必ずあなたと民をお守りいたします。			ブランデンとソールディア							
ありがとう、ブランデン。期待しているよ。			ありがとう、ブランデン。期待しているよ。			ブランデンとソールディア							
では、早速捜査に着手するとしよう。とにもかくにも、まずは情報を集めなければな！			では、早速捜査に着手するとしよう。とにもかくにも、まずは情報を集めなければな！			ブランデンとソールディア							
ソ……ソールディア様！お待ちくださいッ！			ソ……ソールディア様！お待ちくださいッ！			ブランデンとソールディア							
おてんば姫め……言い出したら聞かんのじゃから。頼むぞ、ブランデン。			おてんば姫め……言い出したら聞かんのじゃから。頼むぞ、ブランデン。			ブランデンとソールディア							
おいおい、大丈夫か？			おいおい、大丈夫か？			ブランデンとソールディア							
会って早々、頭を抱え込みおって……。いったい何じゃというのじゃ？			会って早々、頭を抱え込みおって……。いったい何じゃというのじゃ？			ブランデンとソールディア							
なぜワシがソールディア姫に仕えていたことを……？まさか、おぬし……ブランデンと同じ、過去を視る力を持っておるのか！			なぜワシがソールディア姫に仕えていたことを……？まさか、おぬし……ブランデンと同じ、過去を視る力を持っておるのか！			ブランデンとソールディア							
……何だって？			……何だって？			ブランデンとソールディア							
ふむ、少し興味が沸いてきたぞ。おぬしらの用件について話してみるがよい。			ふむ、少し興味が沸いてきたぞ。おぬしらの用件について話してみるがよい。			ブランデンとソールディア							
「双頭狼の爪」について教えてくれ、じゃと？ふうむ……我らン・モゥ族については知っておろう。頼みごとならば対価を払ってもらわねばな。			「双頭狼の爪」について教えてくれ、じゃと？ふうむ……我らン・モゥ族については知っておろう。頼みごとならば対価を払ってもらわねばな。			ブランデンとソールディア							
ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ブランデンとソールディア							
その間、おぬしには別の仕事を与えよう。			その間、おぬしには別の仕事を与えよう。			ブランデンとソールディア							
どうやら、こいつが件の「スール＝オール」らしいな。早く話を聞いてみようぜ。			どうやら、こいつが件の「スール＝オール」らしいな。早く話を聞いてみようぜ。			ブランデンとソールディア							
いろいろと聞きたいことはあるが、まずはスール＝オールのお使いを終わらせてからだ。			いろいろと聞きたいことはあるが、まずはスール＝オールのお使いを終わらせてからだ。			ブランデンとソールディア							
ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ワシらが水場として利用しているフッブーテンブルクの河に、かれこれ長い間棲み着いている魔物がおってな。そやつを倒してきてもらいたい。			ブランデンとソールディア							
水場の魔物を倒してきたのじゃな？			水場の魔物を倒してきたのじゃな？			ブランデンとソールディア							
そうか……。そやつは、おぬしが視た過去に起こった、魔物化事件の犠牲者……人の成れの果てじゃよ。			そうか……。そやつは、おぬしが視た過去に起こった、魔物化事件の犠牲者……人の成れの果てじゃよ。			ブランデンとソールディア							
人が魔物に変異する現象か……。そいつは、罪喰い化とは違うものなのか？			人が魔物に変異する現象か……。そいつは、罪喰い化とは違うものなのか？			ブランデンとソールディア							
質問に答えるのは、ワシが与えた課題を終えてからじゃ。			質問に答えるのは、ワシが与えた課題を終えてからじゃ。			ブランデンとソールディア							
すでに縁を結んだForenameはともかく、おぬしの働きは「双頭狼の爪」について話す対価としては不十分。まだまだ働いてもらうぞい。			すでに縁を結んだForenameはともかく、おぬしの働きは「双頭狼の爪」について話す対価としては不十分。まだまだ働いてもらうぞい。			ブランデンとソールディア							
やれやれ。こっちは聞きたいことだらけだってのによ。スール＝オールにも……相棒、アンタにもな……。			やれやれ。こっちは聞きたいことだらけだってのによ。スール＝オールにも……相棒、アンタにもな……。			ブランデンとソールディア							
ともかく、こやつの対価の支払いが終わるまで待っておれ。それまでは何の問いにも答える気はない。			ともかく、こやつの対価の支払いが終わるまで待っておれ。それまでは何の問いにも答える気はない。			ブランデンとソールディア							
彷徨う階段亭のジオットは、ひたすらに酒を呑み続けているようだ。			彷徨う階段亭のジオットは、ひたすらに酒を呑み続けているようだ。			古の大再生魔法							
ソープロシュネーが目撃された場所で罪喰いを討伐することで、おびき寄せてみることになった。ラケティカ大森林のスリザーバウで「ジオット」と合流しよう。			ソープロシュネーが目撃された場所で罪喰いを討伐することで、おびき寄せてみることになった。ラケティカ大森林のスリザーバウで「ジオット」と合流しよう。			古の大再生魔法							
ジオットと手分けをして、はぐれ罪喰いを討伐することになった。イキス・マヤエの森の「指定地点」で見渡して、はぐれ罪喰いを討伐しよう。			ジオットと手分けをして、はぐれ罪喰いを討伐することになった。イキス・マヤエの森の「指定地点」で見渡して、はぐれ罪喰いを討伐しよう。			古の大再生魔法							
はぐれ罪喰いを討伐した。イキス・マヤエの森の「指定地点」で見渡して、更にはぐれ罪喰いを討伐しよう。			はぐれ罪喰いを討伐した。イキス・マヤエの森の「指定地点」で見渡して、更にはぐれ罪喰いを討伐しよう。			古の大再生魔法							
必要なだけのはぐれ罪喰いを討伐し終えた。イキス・マヤエの森で「ジオット」と合流しよう。			必要なだけのはぐれ罪喰いを討伐し終えた。イキス・マヤエの森で「ジオット」と合流しよう。			古の大再生魔法							
ソープロシュネーが再生能力で復活してみせたところで、冒険者はふたたびラミットの過去を視る。ラミットは、ロンカ洞でアルバートたちとともに何かを護る守護者を討伐しようとしていたようだ。ラケティカ大森林で、戦いの結末を見届けよう。			ソープロシュネーが再生能力で復活してみせたところで、冒険者はふたたびラミットの過去を視る。ラミットは、ロンカ洞でアルバートたちとともに何かを護る守護者を討伐しようとしていたようだ。ラケティカ大森林で、戦いの結末を見届けよう。			古の大再生魔法							
ラミットは、古の大再生魔法「リバイヴ」で、妹を助けようとしていたようだ。冒険者が過去を視ている間に、ジオットがなんとかソープロシュネーを追い返してくれたらしい。彷徨う階段亭に戻り、「ジオット」と話そう。			ラミットは、古の大再生魔法「リバイヴ」で、妹を助けようとしていたようだ。冒険者が過去を視ている間に、ジオットがなんとかソープロシュネーを追い返してくれたらしい。彷徨う階段亭に戻り、「ジオット」と話そう。			古の大再生魔法							
